
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly Andy and I co Renee rich you'll join me. We got lots to talk about
[00:04:19.760 --> 00:04:24.800]   Because you won't really get enough production of the iPhone 10
[00:04:24.800 --> 00:04:28.360]   Until then
[00:04:28.360 --> 00:04:36.400]   Furthermore, he says in 2018 the phones will see longer sales period than the 2017 iPhone 10 do the improvements and availability as Apple
[00:04:36.400 --> 00:04:43.360]   Perpects the production process in other words while there may be some iPhone 10s available on November 3rd
[00:04:43.360 --> 00:04:48.400]   It's gonna fill that pipeline. He is predicting
[00:04:48.400 --> 00:04:57.280]   210 million to 220 million iPhone sales in 2017 and then next year a big bump 245 to 255
[00:04:57.280 --> 00:05:05.040]   What what is your strategy gonna be Renee Richie forgetting
[00:05:05.920 --> 00:05:09.800]   Because you need this you yeah, you need it especially I need it
[00:05:09.800 --> 00:05:13.120]   We have the three of us really want to have an iPhone 10 in time
[00:05:13.120 --> 00:05:15.920]   You know to tell people whether to get it or not as
[00:05:15.920 --> 00:05:22.040]   Totally totally so I mean my usual modus operandi is to wake up at 3 a.m. Local time
[00:05:22.040 --> 00:05:29.560]   Which is 12 12 p.m. Your time and then hit the Apple Store app on the iPhone as hard as I possibly can and just try to get my
[00:05:29.560 --> 00:05:35.900]   Order through hope the servers stay up hope the Apple pays work and hope every you know Apple pays much faster than the other payment processing methods
[00:05:35.900 --> 00:05:41.040]   So I make sure I have that done I go in beforehand make sure all my account details my dress everything is is proper
[00:05:41.040 --> 00:05:44.760]   I try to buy something small a day before just make sure that everything works
[00:05:44.760 --> 00:05:48.500]   And I'm paranoid, but they are out to get me so I don't feel bad about doing that
[00:05:48.500 --> 00:05:51.840]   Well, you know I get a watch band like I got the hickin looper
[00:05:51.840 --> 00:05:56.200]   Hickin looper's night. Yeah, those those are good. This is the velcro
[00:05:56.200 --> 00:06:00.960]   I'm sorry. Yeah hook and look and look it was made
[00:06:00.960 --> 00:06:04.340]   It was made by velcro, but they're called it looking is it actually is velcro
[00:06:04.500 --> 00:06:09.620]   Yeah, I think I think Gruber was talking about that is it's a partnership with velcro the same way the glass is made by Corning
[00:06:09.620 --> 00:06:12.860]   But it's not branded say that it's that way. Yeah, yeah, yeah
[00:06:12.860 --> 00:06:17.220]   Yeah, this is actually this is for a sport band my favorite new sport band
[00:06:17.220 --> 00:06:23.020]   The idea is that I would never look scruffy no matter how often you pull them. Oh really up to pull down on yeah
[00:06:23.020 --> 00:06:28.340]   We shall see I have enough of this to be averted. Yeah, I also got a to match the gray
[00:06:28.340 --> 00:06:31.660]   I got a black millenies loop. Oh
[00:06:32.180 --> 00:06:36.700]   I got I'm wearing that today. Oh, I love it with the gray watch. That's pretty just looks so
[00:06:36.700 --> 00:06:42.860]   I'm a little worried though because my silver hook my silver millenies got scratched up pretty quick. So we'll see
[00:06:42.860 --> 00:06:47.780]   It I think the DLC coating is just so tough. Oh good. I hope so. Yeah
[00:06:47.780 --> 00:06:51.140]   So we shall see
[00:06:51.140 --> 00:06:56.020]   Andy do you have are you gonna try to get an iPhone 10 or you're just gonna wait and see if you get a review unit
[00:06:57.060 --> 00:07:03.140]   I'm gonna try I'm gonna try to get it. I buy an iPhone 10. It's I like to I'm not day one
[00:07:03.140 --> 00:07:07.020]   Reviewer. I like to like this ponder a little bit
[00:07:07.020 --> 00:07:12.980]   But I know that there might be that might be a lot of time for pondering as in pondering when I'm going to get one
[00:07:12.980 --> 00:07:18.020]   So yeah, I'm gonna I'm gonna be like Renee. I'm gonna be awake at 3 a.m. Central time
[00:07:18.020 --> 00:07:20.820]   Making sure that we can all tweet each other then
[00:07:20.820 --> 00:07:26.500]   At the same at the same time, you know, you can't like make requests
[00:07:26.580 --> 00:07:30.980]   Of Apple, but you can say obviously I'm going to be quite interested in
[00:07:30.980 --> 00:07:37.060]   Reviewing the iPhone 10 and I know it's gonna be a short supply and that's that's when you say that well
[00:07:37.060 --> 00:07:44.740]   I will probably I hope to do it my first my first radio show on national public radio in Boston as soon as after
[00:07:44.740 --> 00:07:50.100]   After the release to sort of again if there's like a if there's like a row of checkboxes
[00:07:50.100 --> 00:07:52.780]   I know that if there if there's a 10 out of 10
[00:07:52.780 --> 00:07:56.980]   I know that at most I'm gonna get three out of our four of those checkboxes
[00:07:56.980 --> 00:08:00.220]   But I want all four of those checkboxes whenever metric they're using
[00:08:00.220 --> 00:08:06.980]   Well, I'll even turn my hat backwards and do one of those like direct-to-camera unboxing videos that get all the hits
[00:08:06.980 --> 00:08:11.140]   If that's what anyone it just there's a guy named
[00:08:11.140 --> 00:08:16.020]   Robin Blanken has last name, but he's the guy who uses the iPad Pro to do the storyboards for things like
[00:08:16.020 --> 00:08:18.840]   designated survivor and Star Trek discovery and
[00:08:19.420 --> 00:08:24.360]   Pacific Rim does it all an iPad Pro? He's phenomenal and the other day he tweeted what is up guys?
[00:08:24.360 --> 00:08:27.840]   I keep watching YouTube videos, and I just don't know the answer guys. What's up guys? What's up guys?
[00:08:27.840 --> 00:08:31.820]   Oh, I hate that I hate that
[00:08:31.820 --> 00:08:38.460]   So what colors are we getting we're looking at here you get silver or black that's it right the silver is
[00:08:38.460 --> 00:08:43.740]   Incredibly silver it is like original iPhone so bright. You can't believe it's bright silver
[00:08:43.740 --> 00:08:48.820]   It's just shockingly bright silver the black is very muted the black stainless steel is actually
[00:08:48.820 --> 00:08:55.220]   It's I don't know if it's DLC code of the same way as a watch they call it vapor coding in DLC is a type of vapor coding
[00:08:55.220 --> 00:08:57.260]   So I'll leave that to the material science experts
[00:08:57.260 --> 00:09:02.020]   But it's got a very similar coding to what's on the Apple watch and a much darker palette
[00:09:02.020 --> 00:09:04.020]   So if you want something that really screams
[00:09:04.020 --> 00:09:10.500]   Bright shiny then the white one is for you if you want something that looks like Batman's phone then you want the and
[00:09:10.500 --> 00:09:12.980]   speaking of screaming Apple does
[00:09:12.980 --> 00:09:15.020]   two things to this phone I
[00:09:15.820 --> 00:09:21.420]   Think I would submit almost unnecessarily to make sure that everyone will know that you have the new iPhone
[00:09:21.420 --> 00:09:26.700]   Of course the notches one and then they've repositioned the camera lenses so that they're now
[00:09:26.700 --> 00:09:30.980]   Oriented vertically instead of horizontally so it'll be very clear. I'm standing is how it fit
[00:09:30.980 --> 00:09:35.540]   Yeah, so like because of the way the insides are rejiggered they couldn't fit it has a long way the way they'd
[00:09:35.540 --> 00:09:38.220]   Undel the other one so this it was a better fit for the components as well
[00:09:38.220 --> 00:09:42.540]   Well, but it's also a you know, it's a beneficial thing too because it is important. I think
[00:09:43.700 --> 00:09:47.860]   At least half the people buy iPhones maybe more buy them because it's a status symbol
[00:09:47.860 --> 00:09:52.780]   You want to have the latest iPhone and that's what drives a lot of first-day traffic anyway, super cycles Leo
[00:09:52.780 --> 00:09:58.900]   It drives super cycles. I think that the iPhone 10 especially because it's it's right now
[00:09:58.900 --> 00:10:05.140]   It seems as though you're gonna get the same processing power. I'm not expecting the camera to be that much better
[00:10:05.140 --> 00:10:10.900]   It's going to be you're gonna you're gonna get the better case gonna get a better form factor
[00:10:10.900 --> 00:10:15.860]   You're gonna get 3d face ID, but they're not a whole lot of people that are complaining about touch ID right now
[00:10:15.860 --> 00:10:20.280]   So yeah, I mean that there's again nothing to nothing to be ashamed of but
[00:10:20.280 --> 00:10:27.460]   The first the first thing piece I see that says that the I the new iPhone 10 is very much the culmination of
[00:10:27.460 --> 00:10:32.860]   Everything that the industry has been building towards for like okay. Yeah, it's a it's a nice. It's a cute
[00:10:32.860 --> 00:10:34.860]   It's a nice phone. It's a lovely phone. It's a pretty phone
[00:10:34.860 --> 00:10:38.100]   It's okay to spend extra money for nice lovely and pretty things
[00:10:38.100 --> 00:10:44.660]   But don't say that until until the tests come back don't say that it's something what color you're gonna go for
[00:10:44.660 --> 00:10:46.100]   It isn't it the opposite though Leo?
[00:10:46.100 --> 00:10:52.100]   It's like it's not the like the iPhone 8 feels like the culmination of what Apple's done till now and iPhone 10 feels like what
[00:10:52.100 --> 00:10:55.140]   They're gonna start doing from this point where they're aiming aiming to yeah
[00:10:55.140 --> 00:10:59.020]   They were they're going next so like it's like it's a rev a board and some people just avoid rev a board
[00:10:59.020 --> 00:11:00.660]   It's they want to stick with like the calm
[00:11:00.660 --> 00:11:04.900]   They would they much rather have the culmination product and let us test the new one and then they'll get iPhone
[00:11:05.380 --> 00:11:11.820]   10 - or whatever that is. I think I'm sorry handy is absolutely right. It's gonna be it's something different
[00:11:11.820 --> 00:11:15.460]   Yeah, I think I think that the thing that would be
[00:11:15.460 --> 00:11:21.940]   That would be most signifying of hey, this is a new revolution is if they really did say well
[00:11:21.940 --> 00:11:27.940]   We're gonna be putting the new neural net engines only in the iPhone 10 the iPhone 8 is gonna have to wait for a while
[00:11:27.940 --> 00:11:29.620]   For that to scale down a little bit
[00:11:29.620 --> 00:11:34.820]   But I think the one thing they absolutely did not want to compromise on where let's make sure that all the
[00:11:34.820 --> 00:11:40.900]   All the technology we have in here that requires machine learning can actually do that very very ably everything
[00:11:40.900 --> 00:11:47.780]   That's gonna require AR has to do that very very ably and they would never compromise on camera technology
[00:11:47.780 --> 00:11:50.260]   To not to the extent of there
[00:11:50.260 --> 00:11:55.140]   I believe that again having speaking with the authority of someone who has not even touched an iPhone 10
[00:11:55.140 --> 00:12:01.980]   The I believe that the only things that are going to enhance the camera on the iPhone 10 are going to be things that they can get for free
[00:12:02.100 --> 00:12:06.940]   By actually having a real 3d face camera up on the front
[00:12:06.940 --> 00:12:12.020]   So I think that like I said this there's I I'm not I'm not trying to snark on people
[00:12:12.020 --> 00:12:17.180]   It's perfectly you don't need to explain that I can I can afford the extra money for the iPhone 10
[00:12:17.180 --> 00:12:22.660]   I like the iPhone 10 I'm going this is a thing. I'm gonna be taking out of my pocket 10 to 40 times a day
[00:12:22.660 --> 00:12:27.260]   I would like to have and I like to have lovely things. That's why I'm spending extra money for it
[00:12:27.260 --> 00:12:33.820]   But the only difference on the back is the f2.4 and OIS on the both on both
[00:12:33.820 --> 00:12:42.140]   That's an important thing. Yeah, but even but even here all so much of the so much of the so much of the real magic in
[00:12:42.140 --> 00:12:49.460]   Camera improvements is going into computational photography as opposed as opposed to making these making the actual hardware better
[00:12:49.460 --> 00:12:54.380]   Yeah, it's interesting the first is Google now in this new they you know, they dropped the other shoe
[00:12:54.380 --> 00:13:00.860]   We heard Google's announcement on the pixel to this week and they announced that they didn't need two lenses that that was
[00:13:00.860 --> 00:13:03.540]   You know that they could do it with a single lens and they didn't need
[00:13:03.540 --> 00:13:10.700]   Last year they don't need two cameras. Well, that's that's the truth. They did they don't need two lenses
[00:13:10.700 --> 00:13:16.500]   But they did use left-right pixels in order to get things like depth. That was really interesting. Yeah, they're doing
[00:13:16.500 --> 00:13:20.980]   Yeah, I can't wait to get my hands on it. See how well it works
[00:13:21.460 --> 00:13:27.620]   The thing one of the things is that they have on one of the people who's leading leading up their computational photography team is this
[00:13:27.620 --> 00:13:31.860]   Really really smart cookie at from Stanford?
[00:13:31.860 --> 00:13:37.940]   They heard away from Stanford who used to be like one of the guys you would want to talk to about computational photography
[00:13:37.940 --> 00:13:41.420]   of one of my picks of the week like years and years ago was a
[00:13:41.420 --> 00:13:44.020]   I forget what was called
[00:13:44.020 --> 00:13:49.560]   But it was it actually let you do sort of depth of field effects by shooting through the camera and basically
[00:13:49.860 --> 00:13:55.660]   Focus stacking and that was basically a a research project. You released out of Stanford
[00:13:55.660 --> 00:14:02.780]   About again must been ten years ago nearly by then and he's and he's he retired from teaching
[00:14:02.780 --> 00:14:05.940]   I think he's doing one class. He got pulled back for a semester this year
[00:14:05.940 --> 00:14:14.140]   But it's they've got some pretty pretty cool stuff on there and also the things that they're when they talked about the Google clip camera
[00:14:14.140 --> 00:14:17.300]   Just again just to talk about computational photography
[00:14:17.500 --> 00:14:20.280]   Here is a camera that you just basically set it up
[00:14:20.280 --> 00:14:24.340]   It will wait for what it what looks to be a good picture happening in front of the camera
[00:14:24.340 --> 00:14:27.360]   And then it will take that picture if only
[00:14:27.360 --> 00:14:35.100]   800 people buy this camera it will have done a certain job by saying here is what here is where we think photography is going not necessarily
[00:14:35.100 --> 00:14:37.580]   Hooking up a bigger sensor or a bigger lens
[00:14:37.580 --> 00:14:44.900]   But putting putting better smarts inside that camera so that you never just like so you never actually see
[00:14:45.180 --> 00:14:50.660]   How bad a picture the image sensor is actually taking it's gonna cook it and it's gonna process it
[00:14:50.660 --> 00:14:52.660]   So that by the time it hits your screen it looks beautiful
[00:14:52.660 --> 00:14:58.540]   And this all the big-foot pictures that way just all the crummy big pictures that camera never took
[00:14:58.540 --> 00:15:02.460]   So are you gonna I just did this ice I
[00:15:02.460 --> 00:15:07.060]   Favourited the the iPhone 10 model. I'm gonna get yes
[00:15:07.060 --> 00:15:10.140]   256 silver I think what do you think yeah?
[00:15:10.140 --> 00:15:15.580]   I'm probably gonna get the space gray just because it'll match the watch that I'm
[00:15:15.580 --> 00:15:18.060]   Walking and I'm just that superficial
[00:15:18.060 --> 00:15:20.060]   You're just that superficial
[00:15:20.060 --> 00:15:24.300]   I just wish I wish you could like buy iPhones the way that you can buy theater seats
[00:15:24.300 --> 00:15:27.820]   And wish there's a but you could say do I want to be in the balcony do I want to be the orchestra?
[00:15:27.820 --> 00:15:30.900]   Do I want to be like you can just say just best available?
[00:15:30.900 --> 00:15:32.900]   I just say whatever I
[00:15:32.900 --> 00:15:38.700]   Whatever colors available whatever memory amount is available. I just want to own what I just need to own one of these
[00:15:38.900 --> 00:15:45.220]   Sell me the pink 16 gigabyte one with a cracked screen that no one else is touching nearest neighbor search
[00:15:45.220 --> 00:15:47.940]   I want this but give me the closest thing to it you have yeah
[00:15:47.940 --> 00:15:56.740]   It's a safe bet even on phones you can return them within 14 days so yeah if it if if if
[00:15:56.740 --> 00:16:00.820]   if you if you want to be if you really are that concerned about the series a
[00:16:00.820 --> 00:16:08.460]   Motherboards just keep it in the box a week later if people are not getting their eyes blinded by the
[00:16:08.460 --> 00:16:14.860]   But turns out to be an actual laser dot in the face ID then unbox it take a look at it
[00:16:14.860 --> 00:16:17.540]   Oh, that's gonna be a headline now Andy people laser to death by
[00:16:17.540 --> 00:16:23.460]   Exactly you should not that's why you should not buy and I do not pre-order an iPhone 10
[00:16:23.460 --> 00:16:28.420]   I'm telling you you'll you'll be you'll regret it if you if you were sitting online there
[00:16:28.420 --> 00:16:33.300]   Don't do it especially in the bottom 1,150 bucks
[00:16:33.300 --> 00:16:36.340]   But that's all right. It's just money, right?
[00:16:36.940 --> 00:16:42.700]   Pixel wasn't I mean I bought a pixel XL last week and it was not safe. No and actually I think I'll get the iPhone
[00:16:42.700 --> 00:16:48.540]   Well, I'm being optimistic if I get the iPhone 10 on November 3rd. I'll get it before I wait. I get my pixel
[00:16:48.540 --> 00:16:53.580]   Is a pixel XL or pixel 40? I can't tell with Roman numerals anymore. What are we supposed to say? Oh?
[00:16:53.580 --> 00:17:00.840]   Interesting good point. I didn't think of that it's 40. I'm gonna get the 40 a 40
[00:17:00.840 --> 00:17:03.660]   pixel 240 so
[00:17:04.300 --> 00:17:10.140]   You saw him Renee so yes is the new iPhone 10 smaller than the 8? I think it is
[00:17:10.140 --> 00:17:15.260]   It's a it's a little differently shaped like it's a little bit longer than a regular iPhone 8
[00:17:15.260 --> 00:17:18.260]   But not much. I think it's just a tad thinner and a little bit longer
[00:17:18.260 --> 00:17:21.420]   But I didn't have them at the same time. That's just my faulty recollection at work
[00:17:21.420 --> 00:17:23.580]   Yeah, it's way smaller than a plus though
[00:17:23.580 --> 00:17:27.660]   It's a bigger screen because it's a 5.7 inch screen instead of 5.5
[00:17:27.660 --> 00:17:33.180]   But let of course the bezels are infinitesimal so it deleted all the bezel all the bezel yeah
[00:17:34.140 --> 00:17:40.620]   Uh, okay. Yeah now one of the rumors also I think from Ming Chi quote is that the next iPad will have
[00:17:40.620 --> 00:17:47.500]   Face ID built-in as well that they're gonna extend this technology to the iPad will it have the notch?
[00:17:47.500 --> 00:17:50.380]   You know that's super interesting
[00:17:50.380 --> 00:17:54.860]   They went out of their way to make a not like they it would have been easier not to make a notch just to make that
[00:17:54.860 --> 00:18:00.460]   That part of the bezel run all the way across with other manufacturers with the note 8 they just yeah
[00:18:00.460 --> 00:18:05.260]   And it takes silicon to support that it takes the panel to support that it takes the UI to support that yeah
[00:18:05.260 --> 00:18:09.660]   You can't just buy a panel from Samsung and cut a chunk out of it. No
[00:18:09.660 --> 00:18:16.380]   Made that way right you got to fill that chunk with pixels like you got it you got to have the display drivers and everything and you know
[00:18:16.380 --> 00:18:21.820]   You got to do the curves. It's non trivial. I mean so that they might want that to be their next big identifier
[00:18:21.820 --> 00:18:27.020]   So this isn't this is a note 8 and yeah, actually even a bigger screen at six inch
[00:18:27.820 --> 00:18:29.820]   6.3 inch screen is like that
[00:18:29.820 --> 00:18:34.460]   But what they just did is they just have a look they have a bezel that's big enough to hold the camera and stuff and that
[00:18:34.460 --> 00:18:36.860]   You Apple could have done that
[00:18:36.860 --> 00:18:41.820]   Totally. I feel like they did the notch so it would be physically visually distinctive as much as anything else
[00:18:41.820 --> 00:18:45.580]   A lot of people who have them seem to like there's a lot of people already have them
[00:18:45.580 --> 00:18:48.700]   And like we've seen this right after the event they're allowed to open carry
[00:18:48.700 --> 00:18:52.860]   So a lot of people at Apple are out there testing them and using them doing things with them
[00:18:52.860 --> 00:18:55.660]   And from everything i'm hearing that either love it
[00:18:56.300 --> 00:19:00.300]   Like it or doesn't bother them. I've never heard anybody like actively come out against the wall
[00:19:00.300 --> 00:19:03.340]   Yeah, but they're all Apple employees. I know but sometimes you know
[00:19:03.340 --> 00:19:07.740]   Sometimes people in Apple grouse a lot like they'll hear them grousing about like the desk arrangements in
[00:19:07.740 --> 00:19:10.060]   Apple quarters for example
[00:19:10.060 --> 00:19:13.180]   So they will let your they will let their opinions suddenly be known if they have them
[00:19:13.180 --> 00:19:16.060]   But a lot of them like the character because it gives them another icon
[00:19:16.060 --> 00:19:22.300]   When you put them side by side, no one will mistake it for a Samsung or a lg or pixel or and that's part of the point, right?
[00:19:22.300 --> 00:19:25.260]   Unless they're running that android app that puts the bar
[00:19:25.900 --> 00:19:27.180]   It's on the screen
[00:19:27.180 --> 00:19:28.380]   Foiled again
[00:19:28.380 --> 00:19:35.180]   If I if I live in a San Francisco, I would so want to troll people by running that on my on my Samsung phone and just letting people think
[00:19:35.180 --> 00:19:37.260]   Oh my god, look at this person on my phone x
[00:19:37.260 --> 00:19:39.180]   I think well
[00:19:39.180 --> 00:19:42.060]   My guess is that they they tried it. They
[00:19:42.060 --> 00:19:45.180]   I wouldn't say that it was a deliberate choice
[00:19:45.180 --> 00:19:48.860]   I think that they you know, they're they're famous for testing and trying everything
[00:19:48.860 --> 00:19:51.180]   And I think that what happened was that
[00:19:51.340 --> 00:19:56.380]   Something that might have seemed disgusting in concept or Steve would never have done it that way
[00:19:56.380 --> 00:20:00.060]   And outside Apple sort of pouring view they built it they said
[00:20:00.060 --> 00:20:04.940]   I mean it doesn't suck does it and then the more they used it they realized that they don't care about it
[00:20:04.940 --> 00:20:07.500]   And then they said well, this solves so many problems. We don't have to do this
[00:20:07.500 --> 00:20:09.980]   We don't have to fix that we don't have a we don't have to adjust
[00:20:09.980 --> 00:20:18.060]   The vertical bezel bezel size here. We can do edge to edge as we wanted to and if people get if people react that badly to it
[00:20:18.220 --> 00:20:24.220]   You're as 18 lines of code. We add it to the os that lets you flip a switch inside settings and just turn the entire
[00:20:24.220 --> 00:20:28.780]   Turn the both of those ears black so that they completely blend in with the rest of the screen
[00:20:28.780 --> 00:20:31.500]   So I I have to I have to say that this is
[00:20:31.500 --> 00:20:35.180]   It's it's fun to watch people's reaction to it
[00:20:35.180 --> 00:20:39.900]   This is something that really doesn't matter either you like it or you don't like it
[00:20:39.900 --> 00:20:43.980]   If you and you are never wrong when you say how something makes you feel
[00:20:44.540 --> 00:20:48.380]   But when you say that oh, this is this is intrinsically a horrible design
[00:20:48.380 --> 00:20:53.660]   This is this apple apple would never ship a phone like this. Oh, wait crap. I'm sorry. I'm not I just remembered
[00:20:53.660 --> 00:20:58.300]   I'm not talking about an android device. I'm talking about an apple device. Oh, well apple did it correctly, you know
[00:20:58.300 --> 00:21:01.820]   It we as a community we spend so much time. I think
[00:21:01.820 --> 00:21:08.860]   Get making a big deal out of things that absolutely do not matter and in the end of the game is clearly just you know
[00:21:08.860 --> 00:21:13.740]   You know purple flag versus blue flag, you know, you're you've got the wrong flag
[00:21:13.740 --> 00:21:15.740]   So therefore I've got to dislike this thing
[00:21:15.740 --> 00:21:19.660]   I for feeling will probably just all accept it
[00:21:19.660 --> 00:21:24.220]   Yeah, I think I'll find it annoying. I don't like after I use it for a week
[00:21:24.220 --> 00:21:28.220]   I may not notice it, but my gut reaction in the event I was too excited. It was brand new. It was shiny
[00:21:28.220 --> 00:21:30.780]   It was flashy. It was HDR. Oh my god. Look as Wonder Woman
[00:21:30.780 --> 00:21:33.020]   And I didn't really get to pay attention to it
[00:21:33.020 --> 00:21:36.780]   My gut reaction just on seeing pictures is that I will not like it and it will bother me
[00:21:36.780 --> 00:21:40.780]   But I'm gonna use it for a week or a couple weeks before rendering. Yeah, yeah in opinion
[00:21:41.180 --> 00:21:46.220]   You get you get used to things like that. Yeah, it's it's not it's not like removing a headphone jack where they're practical
[00:21:46.220 --> 00:21:49.100]   Resolve that's still driving crazy if you do if you
[00:21:49.100 --> 00:21:51.660]   either again either
[00:21:51.660 --> 00:21:54.780]   There'll be three settings people who love it people who don't like it
[00:21:54.780 --> 00:22:01.100]   But we'll get used to it and then the people who just absolutely hated just just like we've had weekly conversations
[00:22:01.100 --> 00:22:05.900]   Didn't we about the about the new super super flat keyboards on the macbook purrs that there are
[00:22:05.900 --> 00:22:07.580]   I never would
[00:22:07.580 --> 00:22:10.860]   Yeah, I actually caused me to abandon the macbook, which is I feel bad
[00:22:10.860 --> 00:22:15.500]   I hate to say that because I love the macbook in every other respect, but yeah, so
[00:22:15.500 --> 00:22:20.620]   It's a little bit. I think it's gonna. I think it's gonna be a little less intense. Yeah, I don't think you'll be that bad
[00:22:20.620 --> 00:22:25.740]   Well touch bar is also polarizing the touch bar is another thing. I don't I can't get used to
[00:22:25.740 --> 00:22:32.620]   Well, we will refer listeners to the previous 11 hours. Yeah, we don't need
[00:22:33.340 --> 00:22:37.260]   I have a data point though. Once the eight came out
[00:22:37.260 --> 00:22:40.060]   I talked to my kids
[00:22:40.060 --> 00:22:42.380]   Abbie and henry and my mom
[00:22:42.380 --> 00:22:49.420]   Mary and said would you like a new phone? Hey, I have some I have like the seven plus I could give you and or i'll get you a new eight
[00:22:49.420 --> 00:22:54.620]   And none of them wanted to upgrade solely because of the I've the headphone jack
[00:22:54.620 --> 00:23:00.220]   All three of them said no no no I need I'm not gonna abandon the headphone jack. I need the headphone jack
[00:23:00.220 --> 00:23:05.020]   So I thought that was I mean, that's completely anecdotal, but that was a telling data point
[00:23:05.020 --> 00:23:09.740]   Well again, it's it's not it's I think one of the difficulties there is that
[00:23:09.740 --> 00:23:14.620]   You're not giving me something. It's not like they said we by the way, we deleted the headphone jack
[00:23:14.620 --> 00:23:16.780]   But that's because we've added this new thing called bluetooth
[00:23:16.780 --> 00:23:21.260]   So now you can have wireless headphones. They said no you've you had bluetooth and you had wired headphones
