
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly show where we talk about all the apples stuff
[00:04:25.680 --> 00:04:30.640]   I have to say my car buying to say I have to buy a new car in september my lease runs out
[00:04:30.640 --> 00:04:33.520]   and um
[00:04:33.520 --> 00:04:35.520]   It's gotten complicated
[00:04:37.040 --> 00:04:39.040]   I don't uh, I don't know exactly
[00:04:39.040 --> 00:04:43.760]   I really want carplay and and but I also want android auto
[00:04:43.760 --> 00:04:48.080]   But I presume anybody does want to do the other you want electric and do you want the current electric or is the technology going to get
[00:04:48.080 --> 00:04:52.800]   Yeah, right. Yeah. Yeah, it's really complicated. Yeah
[00:04:52.800 --> 00:04:58.400]   It's a phenomenal time though like as the systems get more sophisticated you do get the ability to
[00:04:58.400 --> 00:05:04.240]   separate the software of the car from the hardware and so it's one of the most exciting
[00:05:04.640 --> 00:05:09.920]   Developments in in like personal cars is the idea of you buy a tesla and then two years later
[00:05:09.920 --> 00:05:14.800]   It can do something it didn't it couldn't do leaving the factory just by getting an automatic update
[00:05:14.800 --> 00:05:17.840]   uh, so the idea of future proofing a car
[00:05:17.840 --> 00:05:26.080]   Uh and adding features that go beyond simply bolting a cosmetic rear spoiler and flame decals. Uh, it's pretty exciting
[00:05:26.080 --> 00:05:32.640]   Uh any who so so v dub for who else is going to do carplay
[00:05:33.200 --> 00:05:38.400]   I think apple just released a list a list they have a web page now. I believe that
[00:05:38.400 --> 00:05:44.640]   That has an entire list of every and it's basically all the vd every model and then random things of everybody else
[00:05:44.640 --> 00:05:46.320]   So I guess vw has really
[00:05:46.320 --> 00:05:48.320]   uh jumped on the on the carplay
[00:05:48.320 --> 00:05:53.680]   bandwagon, I gotta see it no Ferrari. I guess that's because eddy q's on the board, but it looked really nice in a in a california
[00:05:53.680 --> 00:05:59.680]   the interest the other carmaker interesting is that uh toyota as
[00:05:59.920 --> 00:06:04.560]   Just said goodbye says as turned its nose at both uh android auto and carplay
[00:06:04.560 --> 00:06:08.080]   And they're using something that they're building on top of uh, a
[00:06:08.080 --> 00:06:12.240]   Open ish system that ford has put together, uh oddly enough
[00:06:12.240 --> 00:06:17.840]   Uh, so uh, it's there the the excuse that they're the explanation that they're given
[00:06:17.840 --> 00:06:22.640]   Their giving is that they feel as though by letting a creating set of apis for this new system
[00:06:22.640 --> 00:06:28.400]   They can allow developers to have much richer access to car features than uh, android auto or carplay
[00:06:28.800 --> 00:06:34.880]   currently support, uh, but the other thing that you hear a lot from people in the auto industry is that they're
[00:06:34.880 --> 00:06:37.360]   uh hesitant about
[00:06:37.360 --> 00:06:39.760]   giving access to
[00:06:39.760 --> 00:06:42.000]   apple and google and worried that
[00:06:42.000 --> 00:06:44.720]   A year later or a year or a couple of years later
[00:06:44.720 --> 00:06:50.960]   They might change the terms of those in terms of how much data they're expected to deliver to apple or google and say well
[00:06:50.960 --> 00:06:54.400]   No, that's proprietary. That's valuable stuff and we don't want to give it a we don't either
[00:06:54.640 --> 00:06:59.760]   We don't want to give it away. Also. We don't want to ensure that we can't give it away to somebody else
[00:06:59.760 --> 00:07:02.880]   And so this is more uh more of toyota trying to
[00:07:02.880 --> 00:07:07.440]   Future proof its own interests rather than trying to screw over commoners, but that's dumb
[00:07:07.440 --> 00:07:10.160]   It was a pretty loud move though. Yeah
[00:07:10.160 --> 00:07:12.320]   So here is the apple page
[00:07:12.320 --> 00:07:17.040]   They say more than a hundred models to choose from a couple of models of outy couple of models of buick
[00:07:17.040 --> 00:07:20.000]   Looks like most of the cadillac 2016
[00:07:20.000 --> 00:07:22.720]   Models chevy
[00:07:22.720 --> 00:07:26.800]   Wow pretty much everybody, you know, it's funny the new bolt which they announced
[00:07:26.800 --> 00:07:29.120]   They're all electric car
[00:07:29.120 --> 00:07:34.800]   Not on this list the vault is but not the bolt. The bolt isn't released yet. Isn't the bolt doesn't come out until 2017
[00:07:34.800 --> 00:07:40.320]   Okay, so maybe they just haven't said anything. These are all 2016 miles for chevy spark cruise malibu camaro
[00:07:40.320 --> 00:07:42.800]   Silverado and paula vault Corvette
[00:07:42.800 --> 00:07:45.700]   Colorado tahoe and suburban cetra
[00:07:45.700 --> 00:07:48.800]   Cetra I would like a cetra
[00:07:48.800 --> 00:07:52.000]   I don't know what ds is
[00:07:52.960 --> 00:07:57.360]   Ferrari look at that the california t the spider the gtb the berlin that of the tdf and the ff
[00:07:57.360 --> 00:08:01.520]   That's all of them right. I don't know. I'm not I'm not I'm not complete
[00:08:01.520 --> 00:08:04.800]   The law Ferrari which I believe eddy q drives is not on that list
[00:08:04.800 --> 00:08:08.800]   2017 Ford escape
[00:08:08.800 --> 00:08:15.120]   But for did say I think all of their 2017 models with as long as they have sync three in them, which is not obviously everything
[00:08:15.120 --> 00:08:17.120]   That's probably an option
[00:08:17.120 --> 00:08:19.440]   GMc honda
[00:08:19.440 --> 00:08:20.480]   Hyundai
[00:08:20.480 --> 00:08:22.480]   Mercedes Benz Mitsubishi
[00:08:22.480 --> 00:08:26.800]   Opal glass. See they still make cars Porsche
[00:08:26.800 --> 00:08:29.920]   Puzhio
[00:08:29.920 --> 00:08:31.760]   seat
[00:08:31.760 --> 00:08:33.760]   The I want a seat abita
[00:08:33.760 --> 00:08:37.520]   Or is it pronounced? Yeah, a visa abita
[00:08:37.520 --> 00:08:39.920]   scotta
[00:08:39.920 --> 00:08:42.560]   Or scoda suzuki v dub
[00:08:42.560 --> 00:08:45.200]   Volvo yeah, no Toyota in that list
[00:08:46.400 --> 00:08:48.400]   I'm just by the study into
[00:08:48.400 --> 00:08:51.600]   Yeah, you know that I was gonna get a Tesla, but now I'm thinking well
[00:08:51.600 --> 00:08:55.280]   I don't know if I really would want a Tesla if I doesn't do it and read it or car play
[00:08:55.280 --> 00:09:02.320]   Competitors they seem as competitors Leo. Yeah, they and I'm maybe they're right. I don't know I I what what kind of uh
[00:09:02.320 --> 00:09:07.920]   Oh, I see I like the idea that my smartphone is gonna get updated very regularly
[00:09:07.920 --> 00:09:11.440]   And the hard was gonna get updated every year or two
[00:09:12.000 --> 00:09:17.600]   So shouldn't the shouldn't the smart to the car really be uh integrated with the car with the smartphone
[00:09:17.600 --> 00:09:21.120]   Where where you're gonna really get some more upgrades and you're gonna get on your regular car
[00:09:21.120 --> 00:09:24.480]   All I want well the other the other argument is that uh
[00:09:24.480 --> 00:09:30.320]   Would you rather have a truly bespoke entertainment a navigation experience?
[00:09:30.320 --> 00:09:36.560]   Something that is really designed to not to work with absolutely every car but is absolutely fine tuned to work with your car
[00:09:36.560 --> 00:09:38.960]   So I don't I don't think that anybody's shown a preference yet
[00:09:38.960 --> 00:09:42.160]   And I don't even think that uh that google or apple has shown
[00:09:42.160 --> 00:09:47.280]   Uh has really shown that breakthrough killer feature that says no, absolutely
[00:09:47.280 --> 00:09:52.000]   We would uh want to have this sort of system of bluetooth will not cut it and in car system will not cut it
[00:09:52.000 --> 00:09:54.720]   We really want all these apps to be served from our phones instead
[00:09:54.720 --> 00:09:57.680]   BMW also missing somebody the chamor said that's true
[00:09:57.680 --> 00:10:04.000]   But the the only thing that i'm really glad about though is that back when all this uh started the this talk started
[00:10:04.000 --> 00:10:07.760]   I was worried about this there's going to be sort of vhs versus beta thing
[00:10:08.000 --> 00:10:11.680]   But the car company seem to be way too smart for that and if they're supporting one
[00:10:11.680 --> 00:10:14.400]   They're almost always supporting the other or the supporting none
[00:10:14.400 --> 00:10:17.680]   So it's not as though you're kind of screwed if you have both a
[00:10:17.680 --> 00:10:23.200]   An android phone and a car or you have an iphone and a car you have to if you want to own a car
[00:10:23.200 --> 00:10:26.400]   You should also own an android phone or else nothing's going to work with it
[00:10:26.400 --> 00:10:30.640]   It really is they're going to accommodate pretty much whatever your platform of choices. Here's the uh
[00:10:30.640 --> 00:10:33.360]   Here's a video of the tesla
[00:10:33.360 --> 00:10:38.320]   Media says me as you say bespoke is the when you have a 17 inch screen
[00:10:38.320 --> 00:10:40.320]   You can really
[00:10:40.320 --> 00:10:46.160]   So many really good interface engineers and software engineering world and we've seen a lot of consumer electronics companies try to do software
[00:10:46.160 --> 00:10:49.120]   And it hasn't always gone well. Yeah much to happen google's acrylic
[00:10:49.120 --> 00:10:54.560]   They've really made a good they they've done everything they can not to make proprietary like they're building these systems on top of
[00:10:54.560 --> 00:10:58.160]   Yeah, cunix or other systems. I like what they're doing. I tried to lock them down at all
[00:10:58.160 --> 00:11:00.400]   Yeah, but if he's if you spend time
[00:11:00.400 --> 00:11:04.240]   Work using one of these tesla systems. It really is nice how
[00:11:04.240 --> 00:11:07.280]   It's just so intimate with all of your hard words
[00:11:07.280 --> 00:11:13.120]   When when your car leaves the factory not only of course you get the this little like digital model of your car
[00:11:13.120 --> 00:11:16.720]   So when it as when it's changing the ride level when it's turning things on and off
[00:11:16.720 --> 00:11:19.120]   It's updated on this little cartoon, but it's also
[00:11:19.120 --> 00:11:24.800]   It's your car color. It has all of your car options on it. Wow all those tiny little details
[00:11:24.800 --> 00:11:27.600]   So it doesn't look like a generic outline. It really is your car
[00:11:27.680 --> 00:11:31.760]   That's kind of cool. And that's just one example of the ways that the the tesla center console
[00:11:31.760 --> 00:11:35.360]   You you if it's probably the only center console system
[00:11:35.360 --> 00:11:40.640]   I've seen where I would absolutely prefer to just having my car my my phone in a car mount
[00:11:40.640 --> 00:11:45.360]   Right, I haven't even I haven't even seen any android auto or car play systems where it's like
[00:11:45.360 --> 00:11:53.920]   Okay, that's nice, but it's not necessarily nicer than having my little $50 ram mount right car mount for for my phone
[00:11:53.920 --> 00:11:55.520]   right
[00:11:55.520 --> 00:11:58.960]   Well, and I have to admit I still go back and forth thinking about whether
[00:11:58.960 --> 00:12:00.640]   I
[00:12:00.640 --> 00:12:05.680]   How much integration I want with my car I find when I rent cars and I play around with the
[00:12:05.680 --> 00:12:09.360]   Like the bluetooth integration or whatever with my with my phone
[00:12:09.360 --> 00:12:12.640]   I get kind of annoyed that as soon as it comes in it starts jumping around and start
[00:12:12.640 --> 00:12:17.520]   You know all my phone calls start coming through on the phone and I mean on the in the car because I don't think the mic sounds good
[00:12:17.520 --> 00:12:22.880]   And so there's all these things that that I'm still kind of I as I go for because
[00:12:23.440 --> 00:12:28.080]   Like you Leo, I'm looking for a car and I'm deciding I'm kind of going either total tech or total retro and I don't know which
[00:12:28.080 --> 00:12:32.240]   This is this does kind of work though because look you can you can go to
[00:12:32.240 --> 00:12:35.200]   Your music devices and if you've paired your phone
[00:12:35.200 --> 00:12:39.760]   It does give you a fairly decent interface to the phone's music interface
[00:12:39.760 --> 00:12:43.120]   And as they show here, you can plug in a usb
[00:12:43.120 --> 00:12:47.280]   Uh key it'll show up and any music on there will also play
[00:12:47.280 --> 00:12:52.560]   But but then there's maps and there's other things and I I hear the tesla gps is actually not all that
[00:12:53.280 --> 00:12:58.880]   Good. I I feel like google and app are working nice if they just let us use part of it. Yeah,
[00:12:58.880 --> 00:13:02.960]   Skill is a little bit. Yeah, just give us a little bit of that 17
[00:13:02.960 --> 00:13:07.680]   That nothing can nothing can even top like the free ways app is just exactly
[00:13:07.680 --> 00:13:14.960]   Just that ability to know that okay eight miles away. There is a tractor trailer that has put chickens on both sides of i95
[00:13:14.960 --> 00:13:17.040]   Perhaps i'm gonna avoid that right now. Now
[00:13:18.000 --> 00:13:23.200]   If you have carplay does that mean you could use other apps or do you have to use the apple map?
[00:13:23.200 --> 00:13:26.880]   They have to have car plays like overcast for example has carplay support
[00:13:26.880 --> 00:13:29.520]   I believe it's still a partnering system. Not anybody can make it
[00:13:29.520 --> 00:13:32.720]   Okay, you have to talk to apple about doing it, but there are several apps that have carplay
[00:13:32.720 --> 00:13:38.880]   So potentially you could have ways in google maps as well as apple maps for instance on your screen
[00:13:38.880 --> 00:13:42.880]   See that seems just so much better in every respect
[00:13:42.880 --> 00:13:46.240]   Well great for rentals like I want to just land it and right go pick up a car
[00:13:46.240 --> 00:13:50.880]   Not worry about the car because every car even like toyota all their cars have different interfaces and they're so confusing
[00:13:50.880 --> 00:13:55.360]   I just want to get in there have the maps. I know the music. I love all of that in one place. I drive out
[00:13:55.360 --> 00:14:01.840]   You uh, i'm more did send michael gartenberg down to uh, we didn't send that we so this is an interesting story michael gartenberg
[00:14:01.840 --> 00:14:06.160]   He was an analyst at gartner and then he worked very briefly at microsoft and for the last two years
[00:14:06.160 --> 00:14:08.480]   He was senior director of product marketing at apple
[00:14:08.480 --> 00:14:14.560]   And that is he ended his time at apple right on the new year. Oh, so we very quickly asked him to write his thoughts on
[00:14:14.640 --> 00:14:16.880]   Oh, so he's not an i'm more employee. He's a freelancer
[00:14:16.880 --> 00:14:22.720]   Yeah, well, he's doing a few articles for us. Oh good. All right and uh, and what was his conclusion?
[00:14:22.720 --> 00:14:25.120]   What you know, one other apple news was there from uh?
[00:14:25.120 --> 00:14:31.200]   Well, he kind of distilled it down into several trends like he called it jokingly the toaster fridge because they're really right
[00:14:31.200 --> 00:14:35.760]   They were all sorts of enabled devices that are smart, but maybe don't need to be smart
[00:14:35.760 --> 00:14:39.840]   And again with television they didn't manage to get us to buy the biggest one of the biggest conversions
[00:14:39.840 --> 00:14:43.520]   Of course was going to flat panel televisions in ten ADP and those are really good enough
[00:14:43.600 --> 00:14:46.400]   So we didn't care about 3d and now they're trying hdr
[00:14:46.400 --> 00:14:50.960]   And i'm gonna care about hdr is 4k going to be enough when is the next big transition going to happen
[00:14:50.960 --> 00:14:57.040]   So it's interesting to see this year cs seem to be sort of one of those transitional years where they're trying a lot of things
[00:14:57.040 --> 00:15:01.280]   But no really huge trends really took nothing nothing blew me away fit bit kind of
[00:15:01.280 --> 00:15:09.120]   Went straight up against the apple watch with its fit bit blaze, which i have unfortunately ordered and
[00:15:10.080 --> 00:15:12.080]   Wish i could cancel 199
[00:15:12.080 --> 00:15:16.880]   A nice fine. There were a bunch of analysts immediately who said oh, this is how you're spending our investment money. Oh
[00:15:16.880 --> 00:15:20.320]   And that didn't sound great. Oh
[00:15:20.320 --> 00:15:24.000]   It's a fitness watch that says stylish is is smart
[00:15:24.000 --> 00:15:27.040]   Well, I have to review it. So I guess you know
[00:15:27.040 --> 00:15:30.640]   It does it does work with the iphone. I guess
[00:15:30.640 --> 00:15:35.360]   It's a it's a super interesting space and it takes advantage of at least the perception
[00:15:35.840 --> 00:15:41.680]   That neither apple nor google or mojorilla have really spiked the ball when it comes to making a smartwatch
[00:15:41.680 --> 00:15:48.320]   There seems to be still a lot of room for a lot of consumers who just want a super super fitness enabled
[00:15:48.320 --> 00:15:53.040]   Risk watch and they don't care if there's this huge set of app apis
[00:15:53.040 --> 00:15:57.520]   They don't care about opening your garage door and seeing live video of the door opening
[00:15:57.520 --> 00:16:02.000]   They just want to know what's my heart rate and get notifications off of your phone
[00:16:02.080 --> 00:16:06.480]   So it's a the door is still wide open and this is why we're seeing so many of these devices like this
[00:16:06.480 --> 00:16:09.120]   Especially if they get a few hundred bucks or less, right?
[00:16:09.120 --> 00:16:11.920]   It seems easier to enter too like not everybody could make a phone
[00:16:11.920 --> 00:16:16.320]   Not everybody could make a tablet yet to have a platform like basically a computing platform to build it off of
[00:16:16.320 --> 00:16:19.760]   Whereas watches all sorts of different companies from the computer companies
[00:16:19.760 --> 00:16:23.840]   Two brand new companies like fitbit or can make really valid efforts at a smart
[00:16:23.840 --> 00:16:25.680]   smartwatch
[00:16:25.680 --> 00:16:28.320]   Everybody said it was really ugly though. I didn't see it. I just
[00:16:29.120 --> 00:16:31.920]   See I see how many square corners in a while
[00:16:31.920 --> 00:16:36.640]   I mean, I can see how how how fitbit would feel like they have to move towards the watch
[00:16:36.640 --> 00:16:42.000]   Because you know the idea of having a mono task thing even if it's got time on it. I mean when I had the Nike
[00:16:42.000 --> 00:16:47.040]   Whatever I called it. Um, but the whatever you call the little wristband
[00:16:47.040 --> 00:16:49.680]   It was yeah, it was it was nice
[00:16:49.680 --> 00:16:52.080]   It was nice that it had time
[00:16:52.080 --> 00:16:54.560]   But but at the same time I was
[00:16:54.560 --> 00:16:57.600]   You know, I really felt like you know what now they have the app watch
[00:16:57.600 --> 00:17:02.640]   I have all the things that I had there except that I have a whole bunch of other little features that I'm using fairly often
[00:17:02.640 --> 00:17:08.400]   Yeah, and uh, uh, obama was on comedians and cars getting coffee a couple weeks ago. Oh, yeah
[00:17:08.400 --> 00:17:11.920]   He was wearing a fitness band wasn't he he's wearing he was wearing a fitbit surge
[00:17:11.920 --> 00:17:18.800]   Which is not like a tiny little band. It was like in replacement of the really cool super oyster watch that I'd seen him
[00:17:18.800 --> 00:17:24.320]   Wearing before I can't imagine that the secret service allows him to wear a wireless tracking device
[00:17:24.800 --> 00:17:30.000]   Like that off of white house grounds, but it's it's interesting. These are things
[00:17:30.000 --> 00:17:32.080]   I'm sort of paying attention to you saw
[00:17:32.080 --> 00:17:37.040]   The the week that the apple watch was released you see all these celebrities wearing them
[00:17:37.040 --> 00:17:41.120]   Particularly if tim cook or someone was on like the colbert show
[00:17:41.120 --> 00:17:45.760]   Uh, and I kept just sort of paying attention to see okay. Are they going?
[00:17:45.760 --> 00:17:51.520]   Are they continuing to wear their apple watch and colbert's was office risk like two weeks later?
[00:17:51.840 --> 00:17:56.880]   However, jaylinnoh who used to wear I had such a cool watch earlier that I had to look it up some
[00:17:56.880 --> 00:17:59.760]   Sake $3,000 three dials seiko watch
[00:17:59.760 --> 00:18:03.520]   Uh, but he seems to like his stainless steel apple watch
[00:18:03.520 --> 00:18:05.520]   So it's it's an interesting thing to track
[00:18:05.520 --> 00:18:08.400]   It it just it just seemed interesting to me that even obama
[00:18:08.400 --> 00:18:17.040]   Would choose to wear a much simpler fitness watch than uh apple watch not not that he doesn't have people reminding him of things all the time
[00:18:17.040 --> 00:18:20.400]   But he is a human to do notification
[00:18:21.440 --> 00:18:25.520]   Stand up, please. So just to prove his personal fitness track. He would need the electronics anymore
[00:18:25.520 --> 00:18:30.000]   Actually, I think that this is probably the I hate to say it, but the surge seems like the
[00:18:30.000 --> 00:18:33.920]   If if fitness is what you're going for. It seems like the best
[00:18:33.920 --> 00:18:41.360]   Compromise also fit. It has this really good social network to connect you to other people that you're working out with or you're friendly with
[00:18:41.360 --> 00:18:45.760]   So it's it's such a it's there's so many interesting variables associated with all this
[00:18:45.760 --> 00:18:49.440]   Maybe people don't necessarily want the miraculous new digital stem
[00:18:49.680 --> 00:18:52.400]   They just want the ability to automatically know
[00:18:52.400 --> 00:18:57.120]   What the how their friends are doing and make sure that if your friends all your friends went out for a run today
[00:18:57.120 --> 00:19:01.280]   Then you're not going to let them go one up on use it now. You're going to go out on a run today. Right
[00:19:01.280 --> 00:19:03.840]   I really miss that on the iOS
[00:19:03.840 --> 00:19:06.560]   activity app on the watch i wish because on the fit that you see
[00:19:06.560 --> 00:19:10.720]   Your team and how you're doing and how you're ranked and it really it really gives you impetus to go
[00:19:10.720 --> 00:19:14.000]   And there's nothing like that on activities yet. You're nice to add
[00:19:14.000 --> 00:19:16.640]   Apple watch too is probably gonna
[00:19:17.200 --> 00:19:23.440]   Appear we think i'll tell you there's now some some compelling evidence since we can pair two watches to
[00:19:23.440 --> 00:19:29.280]   To our iphone that apple might be releasing a second watch and march come march. Yeah, new risks
[00:19:29.280 --> 00:19:31.360]   That's so that's an economic opportunity. Yeah
[00:19:31.360 --> 00:19:32.880]   Yeah
[00:19:32.880 --> 00:19:34.880]   What do you think rene is that uh?
[00:19:34.880 --> 00:19:39.200]   iOS 9.3 beta came out. I know you would have immediately installed it probably yeah
[00:19:39.200 --> 00:19:44.080]   No, I think the watch uh so apple typically for next generation products a lot of people get concerned
[00:19:44.160 --> 00:19:47.840]   I just bought an apple watch i'm not gonna buy another one. It's crazy, but apple's not targeting us
[00:19:47.840 --> 00:19:50.320]   They're targeting the people like us who buy everything of course
[00:19:50.320 --> 00:19:52.000]   But they're not targeting regular consumers
[00:19:52.000 --> 00:19:57.600]   This is similar to the iphone 3g or the ipad 2 where there's still an enormous amount of people who haven't bought an apple watch yet
[00:19:57.600 --> 00:20:00.080]   And they would sort of want to figure out what features are compelling
[00:20:00.080 --> 00:20:05.440]   I know some people still want it to be thinner because they have a trouble getting underneath their short sleeves when especially when they wear suits
[00:20:05.440 --> 00:20:09.360]   Some people really want gps some people really want ambient always on time
[00:20:09.360 --> 00:20:10.800]   I'm not to turn their wrist to see it
[00:20:10.800 --> 00:20:16.000]   There's whatever there is there's a bunch of features that have stopped people from buying them and usually the second models where apple figures out
[00:20:16.000 --> 00:20:21.600]   Who features that they can add the best the highest value to without destroying things like battery life and in apps
[00:20:21.600 --> 00:20:23.840]   Right
[00:20:23.840 --> 00:20:29.760]   That's an excellent point because uh we forget we we are deeply into apple and we're also we really enjoy
[00:20:29.760 --> 00:20:33.840]   And can appreciate the stuff that makes like the first iphone different from all of their phones
[00:20:33.840 --> 00:20:39.040]   Uh, it's almost as though most apple products have two separate and significant launches
[00:20:39.440 --> 00:20:47.040]   Uh, there was the original iphone, but it wasn't until the iphone 3g s that it became all the people that sort of admired the iphone and liked it
[00:20:47.040 --> 00:20:51.360]   That was the one where all the pieces are finally in place if you're you don't have to be a fan of apple
[00:20:51.360 --> 00:20:56.000]   You don't have to be on the next page of technology to really get the maximum benefit out of it
[00:20:56.000 --> 00:21:00.480]   Uh, I certainly don't think that the the uh, I certainly don't think that the apple watch is there yet
[00:21:00.480 --> 00:21:06.320]   But as soon as apple solves a couple of unknown as yet unidentified problems
[00:21:06.560 --> 00:21:12.560]   They're gonna have the apple watch 3gs that now everybody wants to have it doesn't we don't have to suffer in order to get it
[00:21:12.560 --> 00:21:14.560]   It'll be really a mass market sort of thing
[00:21:14.560 --> 00:21:19.680]   Yeah, and I think that I think that at some point apple just had to throw one on the you know throw something out there and see
[00:21:19.680 --> 00:21:24.400]   Uh, how people use it. That's how you learn is stuff in the lab and you want to have it
[00:21:24.400 --> 00:21:27.520]   Be perfect, but in the same, you know with a lot of these things that you know
[00:21:27.520 --> 00:21:32.480]   They they sold a lot of you know, they didn't sell me as many watches as analysts thought but they did so a lot
[00:21:32.720 --> 00:21:36.160]   So they've got a lot of people working, you know playing with it giving feedback talking about it
[00:21:36.160 --> 00:21:38.000]   And of course they're ready to iterate
[00:21:38.000 --> 00:21:41.840]   I mean it sounds like they had a pretty good idea where they were gonna go for version two and three
[00:21:41.840 --> 00:21:44.880]   So they're they already know that they just had to get something on the ground
[00:21:44.880 --> 00:21:46.880]   So I think that it's um, we're definitely gonna see it
[00:21:46.880 --> 00:21:50.320]   And that's again why I bought the sport instead of I was really looking at all the expensive ones
[00:21:50.320 --> 00:21:53.920]   And I was like, you know what? I'm gonna want to maybe not every single version
[00:21:53.920 --> 00:21:59.120]   Most versions upgrade and so I'm just gonna go with the cheaper version and just know that I'm ready to go
[00:22:00.000 --> 00:22:02.800]   Yeah, and this is really different for apple because there were 10 years of smartphones
[00:22:02.800 --> 00:22:05.600]   There were all the blackberries and all the trios before the iphone came out
[00:22:05.600 --> 00:22:10.000]   And there was a decade of tablet pcs before the ipad and they sort of identified what they thought were problems
