;FFMETADATA1
title=You Can't Touch This
artist=Leo Laporte, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-05-10
track=817
language=English
genre=Podcast
comment=The history of the iPod, Apple & FIDO, Apple's AR plans
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.340]   It's time for Mac Break Weekly. Alex has the day off Andy and Renee are here as we started the show
[00:06:53.700 --> 00:07:00.140]   It went through a lot of iterations the shuffle remember the shuffle
[00:07:00.140 --> 00:07:08.180]   Remember the the chewing gum buttonless shuffle the buttonless shuffle the iPod touch was the last version wide nano
[00:07:08.180 --> 00:07:15.660]   Remember this one the little clip on for sports. That's a very cool. Yeah
[00:07:16.620 --> 00:07:19.040]   What what killed the iPod touch was it just a
[00:07:19.040 --> 00:07:22.740]   What a feature it's a feature
[00:07:22.740 --> 00:07:29.780]   iPod touch the feature was 200 so much two hundred seventy nine bucks
[00:07:29.780 --> 00:07:36.860]   What was it I don't remember what it got down to cut down really low it is did it okay?
[00:07:36.860 --> 00:07:42.260]   It's basically an iPhone 5 like that thing is ancient. Yeah, but it was a good choice for kids
[00:07:42.980 --> 00:07:46.780]   The even one of I'm an iPhone, but you wanted to give them something
[00:07:46.780 --> 00:07:54.820]   Yeah, but it just became like Renee said just a real technological relic and even even the standalone iPods
[00:07:54.820 --> 00:08:01.380]   They for a long time they had a really important niche meaning that there are people who are out running
[00:08:01.380 --> 00:08:06.620]   They're people who are exercising who don't want like a thousand dollar phone or five hundred dollar phone filing out falling in their pocket
[00:08:06.620 --> 00:08:08.340]   To say nothing of the of all that weight
[00:08:08.340 --> 00:08:16.400]   But this beautiful little clip design that would have either a really cheap iPod that could do that could play all that digital rights managed
[00:08:16.400 --> 00:08:24.340]   iTunes content that they purchased or even this this poster stamp thing with a screen and a user interface that could have like Nike fitness apps on it
[00:08:24.340 --> 00:08:26.340]   That was a hell of a hell of an object
[00:08:26.340 --> 00:08:33.860]   I was a real moment for Apple design because this is I've I'm really intrigued by what Apple's
[00:08:33.980 --> 00:08:39.180]   design people can do when they're not constrained by form factors that are kind of
[00:08:39.180 --> 00:08:41.100]   dictated by
[00:08:41.100 --> 00:08:46.660]   Conventions where you can say nope. I'll be all we really need is a play and a pause button above that go nuts
[00:08:46.660 --> 00:08:53.420]   But then of course, but the the solution to the hey, I'm exercising and I want to be able to listen to music became
[00:08:53.420 --> 00:08:58.300]   Became Apple Watch plus AirPods and so even that was a sound of the market
[00:08:58.300 --> 00:09:03.860]   They couldn't compete with all the super super cheap stuff that was out there for people who actually wanted something that if it fell
[00:09:03.860 --> 00:09:07.380]   Off there if it fell off their their their t-shirt while they're running, you know
[00:09:07.380 --> 00:09:13.020]   Get a $20 thing from all the express or for from no name Amazon because you won't care about it
[00:09:13.020 --> 00:09:19.060]   Otherwise, yeah, you don't want to lose your Apple watch. Yeah right now. They're selling the 32 gig
[00:09:19.060 --> 00:09:24.980]   iPod touch for 200 bucks. Yeah, yeah 300 bucks for 128 gigs
[00:09:24.980 --> 00:09:32.060]   $400 no wonder they're killing this product for 256 gigs and you probably you know
[00:09:32.060 --> 00:09:35.140]   You have an iPhone that's got at least 32 gigs free floating around
[00:09:35.140 --> 00:09:41.020]   I can't see even buying a 32 gig version of this for a kid the kid would be insulted
[00:09:41.020 --> 00:09:45.620]   Developer camp was probably the last camera used them for was to buy 30 for a developer camp or something. Yeah
[00:09:45.620 --> 00:09:47.620]   Yeah, yeah, and also
[00:09:47.620 --> 00:09:52.180]   You want you want to talk about living in shame posting to Instagram with
[00:09:52.180 --> 00:09:54.500]   2000 with a
[00:09:54.500 --> 00:09:56.380]   iPhone 5 level camera on it. Yeah
[00:09:57.220 --> 00:10:02.780]   Yeah, you got to wonder why the thing is I always try to measure my complaints about things because you never know
[00:10:02.780 --> 00:10:10.180]   It's it'd be easy to say. Oh gosh. That was I can't believe they still sell that but there's probably a really real esoteric reason
[00:10:10.180 --> 00:10:12.980]   Why they were selling it that there was some market somewhere?
[00:10:12.980 --> 00:10:18.060]   That's that insisted that hey we need we need something to run iOS apps, but it can't be a phone
[00:10:18.060 --> 00:10:22.980]   It can't have a cellular radio in it and they kept it on the marks because it got a gun
[00:10:22.980 --> 00:10:33.840]   Well, you know Apple Apple has a camera. Yeah Apple actually will sell like a government an actual iPhone with actual iPhone branding on it
[00:10:33.840 --> 00:10:40.500]   That simply has all the it has a flat a flat a flat plane on the back of it instead of a cover with the iPhone's on it
[00:10:40.500 --> 00:10:45.300]   So again, I keep and given how much cost to just to do tooling on any new product
[00:10:45.300 --> 00:10:51.740]   It's so I wonder who it was who was buying just enough of these or what contract they had that required that
[00:10:51.740 --> 00:10:56.620]   Hey, if you're gonna operate in this market, you must also offer it amongst your product line a product that does this
[00:10:56.620 --> 00:11:03.140]   That said, you know what it is just paying the fines would cost more than just keeping this one little tiny product on the
[00:11:03.140 --> 00:11:05.500]   Overordered they over ordered and took them to you
[00:11:05.500 --> 00:11:14.180]   Well in a way it said I mean the iPod really was a transformational object when it came out 2001
[00:11:14.180 --> 00:11:20.620]   There were other MP3 players, but they were big they were clunky. They were unusable. What was that thing? Nope?
[00:11:20.620 --> 00:11:27.140]   No, mad. That was the famous slash dot response to the I oh, yeah iPod was it's not a nomad lame. Yeah, I
[00:11:27.140 --> 00:11:29.780]   Had a diamond Rio
[00:11:29.780 --> 00:11:32.140]   That was close to an iPod
[00:11:32.140 --> 00:11:39.540]   But let's not if you want to listen to the car you had to have you know a head unit with a trunk full of hard drives in the back
[00:11:39.540 --> 00:11:46.540]   Yeah, it was it's that's a long and wonderful fight the RAA try to have the diamond Rio
[00:11:46.860 --> 00:11:52.940]   Actually banned for sale rendered illegal saying that because it was a playback device for digital content
[00:11:52.940 --> 00:12:00.340]   Right and because the only the only way you could possibly get digital content was downloading it illegally because God got knows the technology for
[00:12:00.340 --> 00:12:04.180]   Converting a CD to an mp3 did not exist. Of course it did they said no
[00:12:04.180 --> 00:12:10.500]   It's only it's only device for piracy and they got damn close to having getting injunction to saying let's get to getting that thing
[00:12:10.500 --> 00:12:14.220]   Band and that was even this tiny little ropey. What was it a six?
[00:12:14.460 --> 00:12:18.580]   It didn't even it didn't even hold like a full CD's worth of content and that's that like
[00:12:18.580 --> 00:12:25.100]   Ancient like sticks and animal skins strapped together level of music
[00:12:25.100 --> 00:12:30.340]   Actually, I use it for audiobooks because it could play audible books. That's the that was the manors and I had diamond Rio
[00:12:30.340 --> 00:12:37.300]   All of that superseded by the iPod and it didn't how long do you remember how long it took for the iPod to take off?
[00:12:37.300 --> 00:12:40.620]   It feels like to me. It was an instant. It was an overnight. It was windows, right?
[00:12:40.620 --> 00:12:45.180]   It was it was always when yes, because it didn't support windows at first did it
[00:12:45.180 --> 00:12:49.380]   No, and so as I recall it was it was a big hit with nerds
[00:12:49.380 --> 00:12:57.100]   But a $500 music player competing with what was then 200 the big deal was the hard drive because it was the first really effective hard drive
[00:12:57.100 --> 00:13:02.140]   base player the people who are really digital music hadn't really taken off the RAA had a
[00:13:02.140 --> 00:13:06.580]   Point in that where most people were getting digital music back then wasn't by ripping CDs
[00:13:06.580 --> 00:13:10.060]   It was by going through limewire or Napster or someplace else
[00:13:10.060 --> 00:13:13.780]   But the it was a slow it was a slow take off
[00:13:13.780 --> 00:13:18.460]   But once it took off once once people discovered digital music once the tools for creating
[00:13:18.460 --> 00:13:24.900]   Creating your own music files from CDs took off. That's when things really really hit and I imagine
[00:13:24.900 --> 00:13:32.380]   Once you have windows you need you need to the windows version in order to you can't make a you can't make a lot of money by selling to just
[00:13:32.380 --> 00:13:39.500]   8 to 9% of the entire world p world desktop market you have to if you want a lot of the monies in the pockets of windows people
[00:13:39.500 --> 00:13:42.100]   And it was so big grudging like he's so what didn't want it
[00:13:42.100 --> 00:13:44.980]   They had to convince him to do it and he's like fine if you do it
[00:13:44.980 --> 00:13:46.980]   It's on you if it doesn't take off it's your fault
[00:13:46.980 --> 00:13:52.660]   And then he came out with that double cable is like the windows machines that USB is not powerful enough to actually even charge it
[00:13:52.660 --> 00:13:57.020]   You got to put two cables on the back of your windows one and we want to add a tax to the Mac users
[00:13:57.020 --> 00:14:02.060]   We're gonna charge that cable separately. It was just the whole thing was like you can always tell when Steve was slightly angry
[00:14:03.060 --> 00:14:09.900]   Tony Fidell whose book just came out actually good timing on the book Tony was the original designer hired by John Rubenstein
[00:14:09.900 --> 00:14:16.700]   Formerly it from General Magic and Phillips he had done the Phillips Vello PDA
[00:14:16.700 --> 00:14:19.420]   the Nino PDA
[00:14:19.420 --> 00:14:24.820]   Rubenstein had discovered a Toshiba little tiny quarter-sized Toshiba hard drive
[00:14:24.820 --> 00:14:31.520]   While meeting with an Apple supplier in Japan bought the rights for it and the question was now what do we do?
[00:14:32.360 --> 00:14:34.360]   Fidell hired in
[00:14:34.360 --> 00:14:41.360]   2001 as an independent contractor to work on the project then code name of a reading from Wikipedia P68
[00:14:41.360 --> 00:14:48.080]   He hired engineers from his startup fuse veteran engineers from General Magic and Phillips
[00:14:48.080 --> 00:14:50.840]   They had to do it in about eight months
[00:14:50.840 --> 00:14:53.040]   Yeah, didn't have a lot of time
[00:14:53.040 --> 00:14:59.440]   They bought so much stuff off the shelf even the OS even the software was off the shelf that they've been modified for their own uses
[00:14:59.920 --> 00:15:02.800]   The aesthetic inspired by the 1958
[00:15:02.800 --> 00:15:08.000]   Brown T3 transistor radio designed by the legendary Deeter Rams
[00:15:08.000 --> 00:15:14.440]   The wheelbase user interface prompted by banging all of since Beo comm 6000 telephone
[00:15:14.440 --> 00:15:21.400]   Pixo another company designed the user interface did a good job, right? But it wasn't designed inside Apple
[00:15:21.400 --> 00:15:28.080]   Although Steve I think had a lot to say about it. He's said to have dropped a prototype into an aquarium in
[00:15:28.560 --> 00:15:36.440]   Front of engineers to demonstrate from bubbles leaving its housing that there is internal space to be saved. That's so savage
[00:15:36.440 --> 00:15:39.320]   also, yes, that's the
[00:15:39.320 --> 00:15:45.960]   The other the other story I remember from that from the development was that like again that this is they had a deadline and also
[00:15:45.960 --> 00:15:48.640]   Apple did not have infinite resources at that point
[00:15:48.640 --> 00:15:55.840]   They would they'd basically learn to start treading water at that point recovering from the crisis that they were in and they were and
[00:15:56.160 --> 00:16:00.000]   Steve rejected rejected one of these prototypes because it had a green display
[00:16:00.000 --> 00:16:04.400]   What it was typical at the time a green backlit LCD display?
[00:16:04.400 --> 00:16:07.680]   They said no no this has a look and there's nothing green on this device
[00:16:07.680 --> 00:16:10.360]   It has to be white and so they had to somehow source
[00:16:10.360 --> 00:16:18.320]   From absolutely out of nowhere though the a very very rare like white backlit display for this like Steve
[00:16:18.320 --> 00:16:23.200]   We don't have time for this. We're we're building a life raft
[00:16:23.200 --> 00:16:28.080]   It doesn't matter like where we put the viewports for this there are not gonna be any windows
[00:16:28.080 --> 00:16:33.600]   We're trying to get off this island and survive a guy named Vinnie Chico or Chico
[00:16:33.600 --> 00:16:37.160]   Freelance copywriter who had been hired
[00:16:37.160 --> 00:16:40.960]   as a contractor by Apple to figure out how to
[00:16:40.960 --> 00:16:43.640]   introduce this new thing
[00:16:43.640 --> 00:16:49.160]   To the public gave it the name iPod after Chico saw prototype
[00:16:49.720 --> 00:16:54.800]   He thought of the movie 2001 and the phrase open the pod bay doors. How I?
[00:16:54.800 --> 00:17:00.280]   Had no idea that we call ourselves a podcast because of
[00:17:00.280 --> 00:17:02.920]   2001 a space Odyssey
[00:17:02.920 --> 00:17:04.440]   Why Leo?
[00:17:04.440 --> 00:17:07.200]   I'm sorry Dave. I can't do that
[00:17:07.200 --> 00:17:13.760]   It's the EVA pods of the Discovery one spaceship and of course how never did open those doors
[00:17:15.400 --> 00:17:19.960]   Wow now that same legacy is reflected in Siri because that's no series catchphrase
[00:17:19.960 --> 00:17:29.580]   Five gigabyte hard drive that was of course the tagline a thousand mechanical hard drive in your pocket a mechanical
[00:17:29.580 --> 00:17:32.760]   Tchaiba hard drive a thousand songs in your pocket
[00:17:32.760 --> 00:17:37.680]   They were really good the messaging though the meshing was so simple a dollar a song a thousand songs in your pocket the entire way through
[00:17:37.680 --> 00:17:43.400]   It was that the experience was so clean and I think he was right like to compete with the Napsters and all of the free downloads
[00:17:43.400 --> 00:17:46.480]   You had to make it easy. That was the only way you were gonna ever compete with them
[00:17:46.480 --> 00:17:49.320]   And that got him a lot of buy-in a lot of product traction. Yeah
[00:17:49.320 --> 00:17:55.720]   We really do have him to think for that because we forget about how hard how horrified a lot of these
[00:17:55.720 --> 00:18:02.560]   Companies were about digital music to begin with Sony you would think they've they created the Walkman
[00:18:02.560 --> 00:18:08.920]   They created this product category and their solution was because because they were their own music distributors
[00:18:08.920 --> 00:18:15.920]   They had they started putting copy protection on CDs that would that would install essentially malware on every single PC
[00:18:15.920 --> 00:18:22.160]   That this this was inserted to to make it really difficult to rip the CD and they also created this
[00:18:22.160 --> 00:18:28.920]   The age if you bought if you paid the money if you'd given them your money to own a Sony digital music player
[00:18:28.920 --> 00:18:35.760]   The software that was required to install music on it would instantly take a look grab all of your mp3s
[00:18:36.040 --> 00:18:41.820]   Convert them into a lock proprietary Sony format and I'm talking about the stuff you already own the stuff that you would already
[00:18:41.820 --> 00:18:48.520]   Legally actually converted from CD and made you sign it in and sign it out when you put it into the player
[00:18:48.520 --> 00:18:55.280]   This is the the the the strum are just just like we have the whole world has Steve Jobs to thank for the idea of
[00:18:55.280 --> 00:18:59.020]   Phone carriers no longer ordering phone manufacturers
[00:18:59.020 --> 00:19:02.520]   Here is the device that we want you to build for us here are the limitations
[00:19:02.520 --> 00:19:07.680]   We are going to put on you so that you don't stress our network that was Steve Jobs talked them out of that
[00:19:07.680 --> 00:19:12.320]   Steve Jobs had to talk an apple had to talk the music industry down from look
[00:19:12.320 --> 00:19:18.920]   People are either going to be getting your music illegally because you're not making it easy or even possible to get it digitally
[00:19:18.920 --> 00:19:23.560]   Or they're going to be buying it from you through the iTunes store. We have to make it easy
[00:19:23.560 --> 00:19:27.440]   We have to make it simple. I understand that even the argument about copy protection was
[00:19:28.120 --> 00:19:34.560]   Wasn't I don't think it was a fighting point but it was something that Apple didn't want but had to exceed two because otherwise
[00:19:34.560 --> 00:19:36.960]   They're not going to actually get there again. There's so
[00:19:36.960 --> 00:19:42.240]   Eventually they wore them did but yeah, they wore them down on copy protection and for better or worse
[00:19:42.240 --> 00:19:46.360]   Steve said you got to be able to sell your songs
[00:19:46.360 --> 00:19:52.320]   Individually and a lot of this is for better for worse because a lot of artists still bemoan the loss of the album
[00:19:52.920 --> 00:19:58.680]   You know as a kind of work of art as a coherent whole but really as soon as the night
[00:19:58.680 --> 00:20:00.680]   chapters on YouTube
[00:20:00.680 --> 00:20:06.840]   Right as yeah chapters screw them as soon as 99 cents songs came out by your book by chapters
[00:20:06.840 --> 00:20:10.040]   Right people people bought start buying individual songs
[00:20:10.040 --> 00:20:12.240]   It was really the end of the album as a work of art
[00:20:12.240 --> 00:20:18.440]   I think which was good and bad because some artists really put a lot of love and value and thought and preparedness into an album
[00:20:18.440 --> 00:20:21.920]   And some were like well, we need one or two hit some it was shovel yeah
[00:20:21.920 --> 00:20:23.920]   Yeah, and then just fill it up
[00:20:23.920 --> 00:20:24.280]   Yeah
[00:20:24.280 --> 00:20:30.760]   And that maybe that is as much responsible for the for the demise of the album as as Steve Jobs frankly
[00:20:30.760 --> 00:20:37.120]   Because a lot of albums are crap. I bought my sister back in 2006 the YouTube remember the YouTube version
[00:20:37.120 --> 00:20:44.200]   Yeah, I had a black back a red front. It only had 30 gigs, but it came when I say YouTube YouTube
[00:20:44.200 --> 00:20:47.200]   You - we're talking about Bono
[00:20:47.280 --> 00:20:54.200]   I came with I think did it come with the entire YouTube
[00:20:54.200 --> 00:21:01.360]   I think I think it did I remember I was at the event so I got I got great
[00:21:01.360 --> 00:21:04.720]   I got great like fourth row pictures of like a bono edge
[00:21:04.720 --> 00:21:11.280]   Yeah, this was before people got mad about Apple preloading you to yeah, this was back in 2006 with people like you to still
[00:21:11.280 --> 00:21:16.720]   Right actually I like him again after after Bono and edge played the edge played in the subway and
[00:21:16.960 --> 00:21:18.320]   Keve
[00:21:18.320 --> 00:21:21.840]   Over the weekend. So yeah, that was a class that was an iPod
[00:21:21.840 --> 00:21:25.920]   I don't know how long was available, but I think if you had an in-the-box you - iPod that might be worth
[00:21:25.920 --> 00:21:33.240]   Something with the white headphones like the all that's the other thing they made white headphones a signature
[00:21:33.240 --> 00:21:34.440]   Yeah
[00:21:34.440 --> 00:21:39.160]   Everybody else's headphones were black you knew immediately somebody had an iPod you sit on the subway
[00:21:39.160 --> 00:21:45.240]   There's the white headphones and of course I don't know if they did that do you think they were smart enough to say that's that's gonna
[00:21:45.240 --> 00:21:52.200]   Be our signature the white headphones. They did by the time of dance to lean into their like it seems like Steve was also very good at leaning in
[00:21:52.200 --> 00:21:56.320]   To constraints like the things that he had to put up with like I remember like with snow leopard
[00:21:56.320 --> 00:21:59.840]   They were saying he's like there's not enough new features. There's no way I'm going up on stage and embarrassing myself
[00:21:59.840 --> 00:22:04.360]   But what if we said there's no new features? Okay? There's no new features here's the here's the
[00:22:04.360 --> 00:22:10.840]   Iconic dancing iPod ads where you see those white headphones in fact, it's the only color
[00:22:10.840 --> 00:22:14.640]   It's all silhouettes the dancers and they're holding their white iPod in the white
[00:22:15.200 --> 00:22:20.280]   Headphones it really became a signature trade of era for their ad. This is 2006 this came out
[00:22:20.280 --> 00:22:26.000]   Yeah, so how about how about this for for amazing that the HP they actually licensed it to HP
[00:22:26.000 --> 00:22:29.560]   So there was an HP branded. Yeah, I remember that that flopped right
[00:22:29.560 --> 00:22:35.280]   Yeah, but still was it was a real iPod. It was what an early fan boys
[00:22:35.280 --> 00:22:37.960]   Yeah out there
[00:22:37.960 --> 00:22:42.160]   Let me see if I can find the first iPod ad I think this is it
[00:22:42.600 --> 00:22:44.600]   Here let me turn the sound on go ahead
[00:22:44.600 --> 00:22:50.040]   This is the guy sitting at a classic white
[00:22:50.040 --> 00:22:55.240]   MacBook he's got a bunch of CDs in front of us. He's rocking out
[00:22:55.240 --> 00:22:57.460]   He's he's
[00:22:57.460 --> 00:23:01.820]   Waking them what updating songs on what an iPod?
[00:23:01.820 --> 00:23:08.640]   Firewire baby and now a thousand songs in his pocket
[00:23:10.360 --> 00:23:13.000]   That's pretty awesome pretty awesome
[00:23:13.000 --> 00:23:15.880]   very first time
[00:23:15.880 --> 00:23:22.400]   And I hope the music in history does forgive us the use of whatever song I'm blanking on his name
[00:23:22.400 --> 00:23:25.120]   But there was that fashion icon they were talking about recently
[00:23:25.120 --> 00:23:31.200]   Who had like a thousand iPods with like little labels on them with all his different music all the time loaded up for him
[00:23:31.200 --> 00:23:37.280]   Wow, yeah, well, I think my favorite iPod was this one and John let me this one
[00:23:37.280 --> 00:23:43.720]   This is the iPod classic and this was the one with a hundred sixty gigs, which at the time was massive
[00:23:43.720 --> 00:23:46.280]   still a little hard drive in here and
[00:23:46.280 --> 00:23:50.640]   I bought several one I got got
[00:23:50.640 --> 00:23:56.200]   A pair that I could exchange with my mom so I put stuff on it sent it to her
[00:23:56.200 --> 00:24:00.760]   She'd send the old one back and I put new stuff on it. I hope she still has those
[00:24:00.760 --> 00:24:05.920]   John you carry this is you use this in your car, right? This is your yeah, yeah
[00:24:05.920 --> 00:24:11.740]   It was a great story about the Lord of the Rings last movie was so big it couldn't fit on anything except an iPod classic
[00:24:11.740 --> 00:24:13.600]   I had a hundred sixty five bird to the studio
[00:24:13.600 --> 00:24:18.520]   Yeah, so they put the return of the king on this iPod and then they'd walk it to the fiber optic station every day
