
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[00:04:26.760 --> 00:04:31.640]   Yeah, they're getting 36,000 iPhones is uh, there's something there's some cost there
[00:04:31.640 --> 00:04:35.400]   But will they get an eight that's the question will they wait and get well?
[00:04:35.400 --> 00:04:39.560]   They won't have to wait long two weeks from today according to the wall street journal
[00:04:40.520 --> 00:04:44.840]   Have the invites gone out? No, Andy. No, no in a week in a week though
[00:04:44.840 --> 00:04:47.880]   Go it's too early apple won't give us this much notice Andy might be walking already
[00:04:47.880 --> 00:04:50.120]   Well, it's really like a week ahead of time, right?
[00:04:50.120 --> 00:04:56.360]   Yeah, so uh, we got to get you a subscription on the wall street journal air cars and I can see you're getting cut off
[00:04:56.360 --> 00:04:59.800]   This was a very nervous story from the like you're reading this so cnbc had the same story
[00:04:59.800 --> 00:05:05.720]   But they just said september 12th and the wall street journal added this color to it saying that it was going to be at the steve jobs theater
[00:05:05.720 --> 00:05:10.520]   Yes, but the steve jobs theater may not be finished in time so they might change the date and or location
[00:05:10.520 --> 00:05:13.400]   Yeah, that was right at the bottom of the article. However
[00:05:13.400 --> 00:05:18.920]   However, should the uh jobs theater not be done? Uh, they could do it somewhere else
[00:05:18.920 --> 00:05:20.600]   Um
[00:05:20.600 --> 00:05:25.320]   Yeah, I'm this is town hall leo like really 500 of us just standing nose to nose and town hall
[00:05:25.320 --> 00:05:27.800]   Well, that's part of the problem is I don't know if you can book
[00:05:27.800 --> 00:05:33.400]   The bill graham auditorium on such short notice. Maybe they I mean tuesday's are not a busy day
[00:05:34.520 --> 00:05:38.440]   I don't know as far as I remember is that they could they didn't need as much time for
[00:05:38.440 --> 00:05:44.920]   For some of the other venues they were required by union rules or something to get extra days before and they they didn't want to leave the
[00:05:44.920 --> 00:05:47.880]   Venues open for as long as apple wanted to just work on them
[00:05:47.880 --> 00:05:52.600]   They thought it was bad for their image if they weren't seen as busy all all years so apple came to agreement with bill graham
[00:05:52.600 --> 00:05:56.680]   But that's still like I said a lot of headway here is the latest drone
[00:05:56.680 --> 00:05:59.400]   footage
[00:05:59.400 --> 00:06:04.360]   With the steve jobs theater prominently featured. Let's see. Are they done? Are they ready?
[00:06:04.600 --> 00:06:06.120]   Can you see the iphone in it?
[00:06:06.120 --> 00:06:10.680]   Can you see the iphone but all the solar panels are in and we know we know staffs moving in right
[00:06:10.680 --> 00:06:14.440]   Look at that. They've kind of got there's the lobby. Let me get rid of this
[00:06:14.440 --> 00:06:19.720]   Picker here. There's the lobby and they've got you know the little trees in there and stuff and
[00:06:19.720 --> 00:06:25.800]   And lights and candies and things but there's still equipment and look at that. Wait, wait, wait, wait
[00:06:25.800 --> 00:06:29.480]   I'm gonna go back a little bit here. See the grass the grass is kind of in
[00:06:29.480 --> 00:06:32.200]   They have a lawn
[00:06:32.680 --> 00:06:35.080]   Look at that. Is that synthetic or lawn?
[00:06:35.080 --> 00:06:39.240]   Well as we were saying you could roll out turf pretty quickly that you know when you take
[00:06:39.240 --> 00:06:43.080]   It would take it would take the long week to put turf out. I mean it wouldn't be much to do it
[00:06:43.080 --> 00:06:45.160]   That's the way you do it. You don't want to see things anymore
[00:06:45.160 --> 00:06:49.000]   No, yeah, just by the turf. Let me jump ahead to the uh
[00:06:49.000 --> 00:06:53.720]   Less johnny is laying it by hand, you know cutting it by eye bespoke bespoke lawns
[00:06:53.720 --> 00:06:56.840]   Although that that is kind of an interesting data point like like Alex says
[00:06:56.840 --> 00:07:01.960]   You put you put down the lawn at the last thing you do if we're expecting people in or when you're expecting to show it off
[00:07:02.360 --> 00:07:06.120]   Because you don't know that you know that the lawn will be beautiful and green and perfect for a week
[00:07:06.120 --> 00:07:11.240]   You don't know what it's going to look like in a couple of weeks until it roots in and takes so that I don't know
[00:07:11.240 --> 00:07:16.120]   Maybe that's an indication that they're planning for a lot of important people to be seeing that in person
[00:07:16.120 --> 00:07:21.400]   Not not through a drone camera. I feel like this could be done. This is
[00:07:21.400 --> 00:07:24.040]   This is uh late august
[00:07:24.040 --> 00:07:26.360]   If it was at all close that's late august
[00:07:26.360 --> 00:07:28.360]   I it doesn't
[00:07:28.360 --> 00:07:30.360]   the guy's sweeping
[00:07:30.520 --> 00:07:34.600]   They got a guys they got people sweeping that usually means the major construction is done
[00:07:34.600 --> 00:07:36.600]   They can see there's a guy mopping and the guy's sweeping
[00:07:36.600 --> 00:07:41.080]   I know all the press want to be there, you know, like that's where everyone wants to go
[00:07:41.080 --> 00:07:45.160]   I've actually uh I contacted people at apple said how do what do I need to do?
[00:07:45.160 --> 00:07:47.640]   Who do who do I need to bend the knee to?
[00:07:47.640 --> 00:07:52.120]   To get in there see that you can't you skype with your laptop?
[00:07:52.120 --> 00:07:56.200]   Well, I said I promise not to not to be rude and break any rules and
[00:07:56.200 --> 00:07:59.880]   I don't know. I feel like they're maybe they're clear close there they could they
[00:08:00.440 --> 00:08:03.080]   But it's the point you made Andy last week was
[00:08:03.080 --> 00:08:08.920]   Well, do you mind bringing people in when there's patently unfinished stuff around?
[00:08:08.920 --> 00:08:15.880]   I think that you're looking at this two weeks from now. You could you could have an event there
[00:08:15.880 --> 00:08:19.800]   They could get it in shape. I don't it's certainly no accident that the
[00:08:19.800 --> 00:08:23.240]   Steve jobs theater is again. It's not inside the campus
[00:08:23.240 --> 00:08:28.600]   It's way on the side so that again a car can come in off the highway go in there and not really be on the campus itself
[00:08:29.080 --> 00:08:33.160]   So again, if it were really important to them, they could get it looking presentable
[00:08:33.160 --> 00:08:36.360]   Even if it only had to look presentable for a week
[00:08:36.360 --> 00:08:38.920]   uh, the question is that
[00:08:38.920 --> 00:08:42.120]   You can I could make the argument either way that apple is a sort of company that says
[00:08:42.120 --> 00:08:45.640]   Hey, this is this this building is going to be here for 50 years
[00:08:45.640 --> 00:08:47.320]   We're going to be here for 50 years
[00:08:47.320 --> 00:08:49.960]   There's going to be a first event at some point. It doesn't have to be this one
[00:08:49.960 --> 00:08:52.920]   Or I could also see them saying that well, you know
[00:08:52.920 --> 00:08:57.960]   We want we really want we're very proud of this achievement and even though we can't show off the entire campus
[00:08:58.200 --> 00:09:00.680]   At this point architectural digest or to steve and leavey
[00:09:00.680 --> 00:09:06.360]   Uh, with now that all the pictures up and hung let's at least show people why we're so proud and so excited about this
[00:09:06.360 --> 00:09:08.680]   So I honestly don't know yeah, we don't know
[00:09:08.680 --> 00:09:13.800]   Uh part of it, of course is this issue of not only do you have to book a different venue
[00:09:13.800 --> 00:09:15.560]   But you have to set it up
[00:09:15.560 --> 00:09:17.720]   And usually when do when do they start?
[00:09:17.720 --> 00:09:23.240]   Putting up banners and putting paper on the windows and stuff like that usually around now or at the end
[00:09:23.240 --> 00:09:25.240]   I think they do the beginnings like they were
[00:09:26.360 --> 00:09:30.040]   For the build graves that are famously they put an air conditioning for the entire venue
[00:09:30.040 --> 00:09:33.800]   Yeah, but a lot of that will happen a week before I don't think they would need to do it before
[00:09:33.800 --> 00:09:40.520]   Um, uh, a week would be enough for just an event. Yeah, wwc takes longer to build up, but but I think that the
[00:09:40.520 --> 00:09:44.600]   Uh, you know just for an event. I mean a typical event production
[00:09:44.600 --> 00:09:48.200]   If you weren't adding air conditioning people would start loading in three days before the event
[00:09:48.200 --> 00:09:52.040]   And you would Alex would know by the way, he does big events like this all the time with
[00:09:52.200 --> 00:09:57.640]   Yeah, so I mean I don't think that they would need to um to to start loading in until after labor day
[00:09:57.640 --> 00:10:00.440]   Uh to you know to start making that happen and they probably send out the
[00:10:00.440 --> 00:10:04.040]   They the invitations will probably go out before they started loading in anywhere
[00:10:04.040 --> 00:10:09.480]   Uh, you know to kind of get get that over with is my guess and I think that they made a decision about where they were
[00:10:09.480 --> 00:10:14.200]   Going to be you know in june like in george lai like I don't think that they they're not you know
[00:10:14.200 --> 00:10:17.640]   We may be you know talking about it. They're not going to rush the finish
[00:10:17.640 --> 00:10:21.880]   You know apple's not going to rush the construction or rush anything for them to just do it there
[00:10:21.880 --> 00:10:25.960]   The whole point of building this and by the way the wall street journal said a thousand seats
[00:10:25.960 --> 00:10:29.160]   Which is comparable in size to the bill graham, right?
[00:10:29.160 --> 00:10:31.720]   Uh smaller
[00:10:31.720 --> 00:10:36.680]   We've yeah, but they don't use all that. I mean the last time they don't use the mezzanine. I think we've used them as a year
[00:10:36.680 --> 00:10:40.600]   Yeah, yeah, oh well. There was a lot of apple engineers and a huge demo area. All right
[00:10:40.600 --> 00:10:45.560]   Uh, and we have a reason if you're the thing to remember is that you're gonna have millions of people watching the live stream
[00:10:45.560 --> 00:10:48.520]   There's no, I mean anything over 300 people is just optics
[00:10:49.160 --> 00:10:50.120]   Yeah
[00:10:50.120 --> 00:10:55.320]   You will I think I do think that there's a prior one of the priorities is we have to have enough bodies in there so that we get a lot of
[00:10:55.320 --> 00:11:00.440]   Crowd noise right that is no it's no good. It's no good to have press on their hands
[00:11:00.440 --> 00:11:04.200]   Well, because the press aren't sure that there's a presser taking notes and presser
[00:11:04.200 --> 00:11:05.800]   You know doing their jobs
[00:11:05.800 --> 00:11:10.520]   So I I would I would think that that's part of their priority too that if they can get more bodies more cheering again
[00:11:10.520 --> 00:11:13.160]   More and also to be to be less cynical about it
[00:11:13.160 --> 00:11:16.200]   They're the apple employees are really pleased to be at that place too
[00:11:16.200 --> 00:11:20.040]   They're proud of the work they did so more people who worked on this they get to be at the event
[00:11:20.040 --> 00:11:23.480]   Uh, it's it's like it's like a field trip day from school
[00:11:23.480 --> 00:11:28.120]   So and two years ago they also made a conscious choice to have a bigger demo area because of the apple tv
[00:11:28.120 --> 00:11:32.040]   So they needed all those I think it was 10 mock living rooms and also they wanted international press
[00:11:32.040 --> 00:11:34.040]   So there was less us press which caused you know
[00:11:34.040 --> 00:11:38.920]   Constination amongst us media but a lot more Chinese and Asian and european press at the event
[00:11:38.920 --> 00:11:41.080]   Well, and if the rumors are accurate
[00:11:41.080 --> 00:11:44.920]   We're gonna see a lot of new products including a new apple tv. So
[00:11:45.640 --> 00:11:51.480]   You're gonna see a new apple watch you're gonna see three not two but three new iPhones and apple watch and apple tv
[00:11:51.480 --> 00:11:59.000]   Um, you might want some demo space. I don't know. I mean, well, we're not seeing in these images is what's downstairs
[00:11:59.000 --> 00:12:03.800]   This is the entryway, but you see your go down escalators on either side
[00:12:03.800 --> 00:12:08.440]   And that's where the demo area might be all this stuff is below. We don't know what's down there
[00:12:08.440 --> 00:12:15.240]   That's what shape it's in to me. That's the most what that's one of the most fascinating areas of the new campus next next to us
[00:12:15.320 --> 00:12:18.840]   You know johnny. I have land because you know how you know how much
[00:12:18.840 --> 00:12:23.080]   How sticklers they are for detail how much like they like control
[00:12:23.080 --> 00:12:31.480]   And also how far they're willing to go during a press event to make sure the things are just so now imagine that they're building a theater of bespoke
[00:12:31.480 --> 00:12:34.840]   theater specifically for apples needs and it's not
[00:12:34.840 --> 00:12:40.040]   Game of thrones premiere night parties. It's going to be there's there's there's going to be
[00:12:40.680 --> 00:12:46.600]   Really good green room areas so that when elvis castello comes in he has a very lovely place to stay
[00:12:46.600 --> 00:12:51.800]   They're going to be it's going to be easier when you have private briefings for some press
[00:12:51.800 --> 00:13:00.680]   To make sure that they get corralled off without having to like diss other members of the press by by you know
[00:13:00.680 --> 00:13:02.840]   removing them bodily
[00:13:02.840 --> 00:13:10.360]   having an archangel drop in and and and uh, send rene uh to the to the next to the to the to walk towards the light and stuff like that
[00:13:10.680 --> 00:13:13.240]   Uh, it's and I and like I said earlier
[00:13:13.240 --> 00:13:19.720]   I wouldn't be shocked if they didn't do a disneyland sort of thing where there is again a very well-appointed
[00:13:19.720 --> 00:13:24.200]   tunnel from the theater to the main campus so that again
[00:13:24.200 --> 00:13:29.720]   Uh, um, tim and rest can just simply get in and get out without having to go through crowds. No, right
[00:13:29.720 --> 00:13:33.400]   A merge not just for privacy, but just for speed that they don't
[00:13:33.400 --> 00:13:38.840]   In the stage they come up and they emerge standing in the stage in a puff of smoke
[00:13:39.320 --> 00:13:42.920]   And then when they're done they disappear into the stage and it's gone and they're gone
[00:13:42.920 --> 00:13:46.600]   Well, I think I just wonder if they're gonna roll out the teleporters where they just teleported on
[00:13:46.600 --> 00:13:48.200]   Like
[00:13:48.200 --> 00:13:54.360]   So here's the thing to look for is there heavy machinery? Is there any equipment in the vicinity?
[00:13:54.360 --> 00:13:57.000]   of the theater
[00:13:57.000 --> 00:14:00.520]   And i'm going to jump back a little bit so you could see the the actual day on this post
[00:14:00.520 --> 00:14:04.840]   Uh, this one is it says late august so I think
[00:14:04.840 --> 00:14:08.280]   Um, i'm gonna go back a little bit more. It seems
[00:14:08.440 --> 00:14:13.240]   I don't see any earth moving equipment around here. I don't see any heavy machinery
[00:14:13.240 --> 00:14:15.560]   There is a little uh lift
[00:14:15.560 --> 00:14:19.320]   But that would you be using clean windows or or something like that
[00:14:19.320 --> 00:14:22.200]   There's a tractor
[00:14:22.200 --> 00:14:26.440]   I know you know what? I think they're done with the heavy machinery in that area
[00:14:26.440 --> 00:14:33.720]   Well, I understand they also uh saved saved a lot of time by moving just the headstones and leaving the bodies there
[00:14:33.720 --> 00:14:38.120]   Which is not going to and they it is on the end of the grave site
[00:14:38.120 --> 00:14:41.400]   And I understand it will be haunted for every event. No, I'm just kidding
[00:14:41.400 --> 00:14:47.400]   Um, if this is look at their people in the r&d facility. This is already, uh occupied. Let me go back
[00:14:47.400 --> 00:14:54.680]   That you can see all of those tables and chairs there people in the parking lot
[00:14:54.680 --> 00:14:59.880]   Oh boy, I bet you know what i'm gonna say i'm gonna put my money on september 12th at
[00:14:59.880 --> 00:15:02.520]   apple park at the steve jobs theater
[00:15:02.520 --> 00:15:07.240]   That's what i'm gonna put my money on it is the 10th anniversary iphone after all which is steves greatest accomplishment
[00:15:07.880 --> 00:15:09.880]   The theater is named after him
[00:15:09.880 --> 00:15:15.960]   And frankly the wall street journal usually has pretty good sources and this stuff, right? They just say it people in the know
[00:15:15.960 --> 00:15:18.680]   Yeah
[00:15:18.680 --> 00:15:21.160]   All right
[00:15:21.160 --> 00:15:26.200]   Well, we'll know by next i would think by next tuesday you would have your invitations those of you're getting them
[00:15:26.200 --> 00:15:30.280]   And i as i said i'm lobbying hard because i want to be there with you guys
[00:15:30.280 --> 00:15:35.320]   Awesome. I want to be there. I I think i've been in purgatory long enough
[00:15:36.600 --> 00:15:40.440]   Seven years is long and almost eight years is long enough to be in purgatory. I'm
[00:15:40.440 --> 00:15:43.080]   I've I've done my penance
[00:15:43.080 --> 00:15:45.960]   I'm an abend-a-need-a-tim cook
[00:15:45.960 --> 00:15:50.520]   And uh, you know, you know, you know what help
[00:15:50.520 --> 00:15:57.240]   Since you since you have that beautiful huge screen windows machine and a pencil if you wrote i will not disrupt the
[00:15:57.240 --> 00:16:02.040]   The event in any way a hundred times like bark simpson line after line after line by hand
[00:16:02.520 --> 00:16:04.520]   There's also i mean apples not no cut
[00:16:04.520 --> 00:16:07.320]   based to
[00:16:07.320 --> 00:16:09.320]   disrupt
[00:16:09.320 --> 00:16:11.560]   Of course we are writing on a windows
[00:16:11.560 --> 00:16:15.640]   Hey, they can't they can't hold that against me. I'm wearing an apple watch
[00:16:15.640 --> 00:16:20.360]   I got an ipad here. I got an ipon in my pocket. They can't hold that against me
[00:16:20.360 --> 00:16:25.640]   I promise not to disrupt your event. I will follow all
[00:16:25.640 --> 00:16:29.400]   Rules
[00:16:29.880 --> 00:16:34.920]   All I mean apples not always the quickest to embrace there was a whole thing bruja
[00:16:34.920 --> 00:16:43.000]   WDC because no podcasters got invited and podcasters thought you know, they're a legitimate form of media and there is hey I host a
[00:16:43.000 --> 00:16:47.880]   nationally syndicated radio show on traditional media
[00:16:47.880 --> 00:16:54.200]   Every weekend for a million thousands thousands of people thousands people no million
[00:16:54.200 --> 00:16:57.640]   1 million listeners every weekend. That's the reach
[00:16:58.600 --> 00:17:00.600]   How could you turn me down?
[00:17:00.600 --> 00:17:07.720]   I don't care. It's fine. If I I said if I can't go can megan go actually what I did is I talked to the iTunes guys because you know james
[00:17:07.720 --> 00:17:11.000]   And steve and tom and then tom brought up. Yeah
[00:17:11.000 --> 00:17:16.360]   Tell him what you did leo that got you on the black list. I said there's a black list. He says no, there's no black list
[00:17:16.360 --> 00:17:25.000]   All those are people are gone anyway. Yeah, that's you know katie cotton had it in for me, but she's gone
[00:17:25.880 --> 00:17:29.640]   I actually don't even know who to talk to so uh, I asked james james that all
[00:17:29.640 --> 00:17:33.960]   I'll get how singing some names. I'll talk to people. So he's gonna put so good word for me
[00:17:33.960 --> 00:17:39.480]   And he's he's a big he's been around. He's he's a big wig over there. He's a big guy. Yeah. Nice guy. Thank you james
[00:17:39.480 --> 00:17:45.160]   I would like to go. I will be polite. I will I won't be rude. I'm excited. I'm gonna buy an iPhone
[00:17:45.160 --> 00:17:52.280]   Uh the new iF I'll spend the thousand dollars. Is it gonna be that expensive Renee? Do you think that that's outrageous or I mean
[00:17:53.160 --> 00:17:58.920]   Yeah, a thousand dollars given what the galaxy note seven nine hundred sixty dollars for a night eight nine hundred sixty
[00:17:58.920 --> 00:18:02.600]   I mean, I think that's the new upper tier for premium premium phones. The wheeze although
[00:18:02.600 --> 00:18:05.640]   I got half off because I bought a note seven
[00:18:05.640 --> 00:18:08.840]   Ooh, they're gonna I bought my note eight
[00:18:08.840 --> 00:18:13.320]   I just bought it this morning because I realized I could save that much. I mean it's like giving me four hundred dollars
[00:18:13.320 --> 00:18:15.400]   Apple won't give you credit for the note seven of us
[00:18:15.400 --> 00:18:20.520]   Well, by the way, you have to trade in a phone and it could be a iPhone, but it won't be
[00:18:21.160 --> 00:18:23.880]   Yeah, I have a note. I have my note five and on my note seven
[00:18:23.880 --> 00:18:27.720]   I had to give it it but because if you bought a note seven and you're in their database
[00:18:27.720 --> 00:18:34.680]   Which apparently I was because I gave my email address they said okay good you can you can buy for I think was 450 bucks or something like that
[00:18:34.680 --> 00:18:37.000]   a note eight and
[00:18:37.000 --> 00:18:43.080]   And will and will expedite it to you. They said they really felt bad say I'm talking about that whole note seven thing
[00:18:43.080 --> 00:18:47.160]   But I have to send them and then I don't even have to send them the phone to get the new phone
[00:18:47.400 --> 00:18:52.200]   I just have to take the box. They send me the new phone and input my old note five in there and send it back to
[00:18:52.200 --> 00:18:59.000]   That's a good. You know how you know how you think about how excited we all get when black friday said do you really apple's offering 10
[00:18:59.000 --> 00:19:01.400]   Dollars off the iPhone seven
[00:19:01.400 --> 00:19:09.080]   Quick well, that's just I mean that's the testament testament to how how important this next phone is and I and by the way
[00:19:09.080 --> 00:19:11.720]   I'm home still holding out for iPhone pro. I think that's the name
[00:19:12.840 --> 00:19:19.000]   Uh, I'm sure of it and I think that so I'm gonna call it that the iPhone pro will be worth it
[00:19:19.000 --> 00:19:23.320]   I think this is gonna be the biggest advance in an iPhone. It's quite some time
[00:19:23.320 --> 00:19:27.480]   Did now now don't get a ticket
[00:19:27.480 --> 00:19:34.520]   No, I'm not saying that because of that. Uh, I I really do think this is gonna be especially because of a arkett
[00:19:34.520 --> 00:19:37.800]   But also, I'm very excited. I keep talking about
[00:19:37.800 --> 00:19:41.720]   Heif the high efficiency image format. Yeah
[00:19:42.200 --> 00:19:44.200]   I feel like that's got some promise
[00:19:44.200 --> 00:19:48.120]   And now hecfa too, especially with the rumors of the 4k HDR
[00:19:48.120 --> 00:19:51.000]   Is it true because will it shoot that heck?
[00:19:51.000 --> 00:19:55.320]   Well, it does it does well it does already but the cool thing is there's rumors about apple
[00:19:55.320 --> 00:19:59.000]   Or at least like you said that new apple tv and for people have been waiting for 4k
[00:19:59.000 --> 00:20:03.000]   But previously 4k was mostly 8 bit which was just 4k standard
[00:20:03.000 --> 00:20:05.320]   Depth and now they have hdr
[00:20:05.320 --> 00:20:10.200]   Which is the 10 bit support they have it in the iphone well they have it in the new ipads will personally be in the new iphone
[00:20:10.200 --> 00:20:13.320]   So will then so will it be hdr for the new apple tv
[00:20:13.320 --> 00:20:17.240]   Uh, that's that's what it looks like. I mean even the mac has support for hdr now
[00:20:17.240 --> 00:20:23.480]   Will it be hdr again and dole b hdr or will it be just hdr 10 do we know and dole b stuff is fuzzy?
[00:20:23.480 --> 00:20:25.640]   There's been a lot of names thrown around okay
[00:20:25.640 --> 00:20:30.760]   And apple's releasing this they're a little they're a little slow to the 4k game
[00:20:30.760 --> 00:20:35.000]   um and uh a little the last 4k device
[00:20:35.000 --> 00:20:37.160]   Right, right, right?
[00:20:37.160 --> 00:20:41.640]   So I think there are a little slow to that. I think coming in without hdr puts them even further behind the ball
[00:20:41.640 --> 00:20:45.960]   I mean, I think that we're already with if you buy a busy o tv you're getting hdr from amazon
[00:20:45.960 --> 00:20:48.840]   You're getting you know like there's not you know, it's it's already built in
[00:20:48.840 --> 00:20:55.160]   I think they if they're gonna really make movement in the in that platform hdr has to be one of those things I think also
[00:20:55.160 --> 00:20:57.000]   um
[00:20:57.000 --> 00:21:02.520]   I think when we see them talking about you know higher frame rates and so on so forth. I could see them
[00:21:03.080 --> 00:21:04.200]   um
[00:21:04.200 --> 00:21:08.360]   You know looking at at doing comment, you know, I mean like there's been a lot of talk
[00:21:08.360 --> 00:21:14.040]   Uh about something better than 30 frames a second or 60 frames a second. Yeah, also hdr's
[00:21:14.040 --> 00:21:20.040]   I'm important. I'm sorry hdr is a lot more important than 4k in terms of what you're going to actually see on the screen
[00:21:20.040 --> 00:21:23.720]   Uh, once you once you get a certain distance away from a 4k screen
[00:21:23.720 --> 00:21:29.640]   It doesn't look any different from 1080 whereas hdr is always amazing no matter how what ang you're looking at it
[00:21:30.200 --> 00:21:37.080]   Also, but also I'm hoping that there it's a helping that the next apple tv is is pepier and better processing video
[00:21:37.080 --> 00:21:43.320]   Uh because I do have three or four different boxes plugged in and lots of different sources and consistently
[00:21:43.320 --> 00:21:50.040]   The one that to the only box that can't keep up with absolutely everything that I want to stream is the apple tv
[00:21:50.040 --> 00:21:52.680]   Like for instance things that I record off the air
[00:21:52.680 --> 00:21:58.920]   Every one of my boxes can play it back. No problem the apple tv. It's just stops and buffers and then it's just
[00:21:59.480 --> 00:22:01.480]   It's disappointing for an apple product. Yeah
[00:22:01.480 --> 00:22:06.200]   I'm really interested in live
[00:22:06.200 --> 00:22:08.760]   Obviously given that we're a live live production company
[00:22:08.760 --> 00:22:15.880]   We really are curious about you know a lot of the rumors that that apple is going to hopefully focus or or put a lot of support into live
[00:22:15.880 --> 00:22:21.960]   Broadcast now in the beginning and probably just live from the television stations, but hopefully that's something that I want to say even
[00:22:21.960 --> 00:22:24.040]   I have that. I know this is a big deal for apple
