
[00:00:00.000 --> 00:00:05.760]   It's time for Mac Break Weekly Andy and Akko's here and it's a rare sighting of Alex Lindsey
[00:04:33.160 --> 00:04:35.960]   A glowing apple will tell you where the iphone five is hidden
[00:04:35.960 --> 00:04:43.000]   It's actually the source of all of their innovations actually this just in apple is now suing the sun
[00:04:43.000 --> 00:04:45.960]   For stealing its trade design
[00:04:45.960 --> 00:04:53.080]   That's that is an amazing picture rick. Thank you for sending it to i left a steam coming off the water too. It's gorgeous
[00:04:53.080 --> 00:04:55.080]   Wow
[00:04:55.080 --> 00:04:58.280]   Anyway, so picture time is over, but we just thought yes
[00:04:59.640 --> 00:05:02.920]   Dwayne ignite in the chat room says thank you for being a nerd Andy
[00:05:02.920 --> 00:05:08.680]   You know it's
[00:05:08.680 --> 00:05:13.880]   I was I was listening to the judge john hodgman podcast and he made a really nicely
[00:05:13.880 --> 00:05:16.760]   nerdy iron man reference and
[00:05:16.760 --> 00:05:22.440]   Without even missing a beat i'm thinking oh was that that must have been from the bob late and david michalini era of iron man
[00:05:22.440 --> 00:05:26.760]   The story line. I don't remember the story arc he's referring by believe it was a bob late initiative. Oh
[00:05:27.400 --> 00:05:34.120]   Yeah, it's it's reflex you guys is nice now we that we love our nerds. That's what this whole channel is built for
[00:05:34.120 --> 00:05:36.040]   nerds
[00:05:36.040 --> 00:05:38.280]   You might as well we could just consider to what we should call nerds
[00:05:38.280 --> 00:05:45.000]   Like why didn't I do that we could come up with some retro nim that's where you have an acronym and you go backwards and you give it a meaning
[00:05:45.000 --> 00:05:47.720]   A retro nim yes, we could do that
[00:05:47.720 --> 00:05:50.920]   Nords chatroom work on it angry nerds angry
[00:05:50.920 --> 00:05:55.960]   There is a game right there right there is a candy we'd have to spell it differently
[00:05:56.920 --> 00:06:02.840]   And green nerds angry nerds. Yeah, so uh apple has this now i i'm
[00:06:02.840 --> 00:06:08.920]   Was a little head up over this but i'm going to give you guys a chance to defend apple over this a california district judge
[00:06:08.920 --> 00:06:11.560]   on friday granted apple
[00:06:11.560 --> 00:06:15.960]   And in junction against the samson galaxy nexus. This is the most recent
[00:06:15.960 --> 00:06:18.520]   Google experience phone
[00:06:18.520 --> 00:06:23.720]   Which makes it significant by the way it is not and i'm sure this is why apple picked this as a target
[00:06:24.120 --> 00:06:27.320]   It is not modified in any way by carriers. This is the google
[00:06:27.320 --> 00:06:33.080]   Experience or by manufacturers. It's also the first phone running ice cream sandwich
[00:06:33.080 --> 00:06:38.520]   The judge found that it likely infringes on all four patents cited by kupertino
[00:06:38.520 --> 00:06:42.200]   Uh and and uh, but
[00:06:42.200 --> 00:06:48.440]   The judge specifically singled out uh 604 which is called the syri patent
[00:06:48.440 --> 00:06:51.400]   There was slide to unlock
[00:06:51.960 --> 00:06:55.720]   Uh, what florian mueller calls data tapping and i still don't understand what it does
[00:06:55.720 --> 00:07:03.800]   And uh, basically autocorrect where it suggests responses, but the but judge co said the one she was most
[00:07:03.800 --> 00:07:07.320]   convinced by
[00:07:07.320 --> 00:07:11.480]   Is the is the patent that says when you do a search
[00:07:11.480 --> 00:07:17.480]   Go out look at a lot of different sources and put the results back into a single unified page
[00:07:17.480 --> 00:07:21.080]   For the user. That's the syri patent and of course
[00:07:21.560 --> 00:07:26.040]   Uh, I don't know exactly i'm not looked at the complaint, but exactly where in the nexus phone they're talking about
[00:07:26.040 --> 00:07:30.440]   But I would guess it's the google voice search feature, which is very much like syri where you'll
[00:07:30.440 --> 00:07:36.280]   Search for something and I presume it brings back Yelp and location and other stuff. What do you think? Andy
[00:07:36.280 --> 00:07:41.160]   This is this is all pretty gross. Uh, when you look at the actual patents that are being actioned on
[00:07:41.160 --> 00:07:44.760]   They're so broad that half of two of these things
[00:07:44.760 --> 00:07:48.200]   I can tell you that i've actually written in code myself
[00:07:48.840 --> 00:07:51.480]   And anytime in the past 20 years because they're just that basic
[00:07:51.480 --> 00:07:57.800]   uh, if they're the uh, the the thing that you're confused about is something that I think on apple
[00:07:57.800 --> 00:08:02.280]   It's actually called data detectors. This is the the data tapping thing data tapping
[00:08:02.280 --> 00:08:05.400]   It's it's essentially the idea that if someone sends you an email that says oh, that's cool
[00:08:05.400 --> 00:08:08.120]   I'll be in town if you need to get in touch with me. Here's my phone number
[00:08:08.120 --> 00:08:10.600]   That's the ability to detect that sequence right?
[00:08:10.600 --> 00:08:15.640]   That's the to turn that into you tap that and turns into uh into an actual voice call
[00:08:16.120 --> 00:08:21.000]   But I mean is this is that really so complicated that it is apple soul property
[00:08:21.000 --> 00:08:27.800]   The the patent for syri now when I the first time that I I was uh, I was looking at the these problems
[00:08:27.800 --> 00:08:33.400]   Um, i'm trying to get activated here. Here is here is like the samson galaxy three
[00:08:33.400 --> 00:08:38.680]   Version of syri and as you can see it looks almost identical. Yeah, what is that part of the problem?
[00:08:38.680 --> 00:08:44.040]   No, no, no, that's not where the patent is not the problem in the patent the patent is yeah
[00:08:44.040 --> 00:08:47.800]   See here it is as I was talking it said, I'm sorry. I don't understand
[00:08:47.800 --> 00:08:49.960]   What is the real deep?
[00:08:49.960 --> 00:08:52.600]   Do you want to search the web? It is really exactly like syri
[00:08:52.600 --> 00:08:57.160]   But that's not the that's not the nature of their complaint the nature their complaint is that
[00:08:57.160 --> 00:08:59.640]   the fritt the
[00:08:59.640 --> 00:09:04.280]   Transmogrification of the phrase what's the weather like out there to a search of a weather page
[00:09:04.280 --> 00:09:06.840]   on the internet and then
[00:09:06.840 --> 00:09:09.000]   a search a search of
[00:09:10.360 --> 00:09:14.760]   It's syri here. I could do it here. Let me try. Let me try. No. No Chad. Do you have an over the shoulder for me?
[00:09:14.760 --> 00:09:20.440]   No, uh, no, it's the what's the weather like out there? I'm just a nature of the happen
[00:09:20.440 --> 00:09:24.280]   Unfortunately, I put I placed the phone down on the
[00:09:24.280 --> 00:09:30.760]   Down the on the macbook that I use like to control the chat and so it's oh, I see a magnet. I bet the lid is closed
[00:09:30.760 --> 00:09:33.160]   I'm gonna try to go to sleep now
[00:09:33.160 --> 00:09:36.680]   More apple innovation. I don't think it's probably a magnet
[00:09:37.080 --> 00:09:42.680]   So it did I just did that though. I said what's the weather out there and uh, this is the samsung version
[00:09:42.680 --> 00:09:44.920]   This is not google voice. This is a samsung version
[00:09:44.920 --> 00:09:50.120]   Now the next is to something similar with ice cream sandwich and then it gave me the weather for a very nice presentation
[00:09:50.120 --> 00:09:58.120]   Uh, oh you've mute it now. I don't know what magnet you've got there, but you've now muted yourself. I'm taking it off now
[00:09:58.120 --> 00:10:00.120]   Okay
[00:10:00.120 --> 00:10:02.120]   Sorry about that. Um
[00:10:02.120 --> 00:10:06.040]   I hate when that happens, you know, you get everything set up just right and then
[00:10:06.840 --> 00:10:08.040]   I
[00:10:08.040 --> 00:10:13.320]   I'm actually a few weeks away from like actually it's been like a couple of years since I set up the studio
[00:10:13.320 --> 00:10:15.560]   I'm now a few weeks away from
[00:10:15.560 --> 00:10:19.320]   Truly like moving everything out and rebuilding everything like so it makes sense now
[00:10:19.320 --> 00:10:24.120]   And I think that just told me that i'm gonna have to put like something over this keyboard to keep myself from doing that
[00:10:24.120 --> 00:10:27.560]   Um, but do you get to get back to get back to the point
[00:10:27.560 --> 00:10:35.080]   They're patent on that they're using for this is just the idea of saying what's the weather and turning that into a search result specifically for weather
[00:10:35.080 --> 00:10:38.120]   That returns search results and that's another thing that
[00:10:38.120 --> 00:10:42.840]   Anybody could tell you that they've written code like that in the past 20 25 years
[00:10:42.840 --> 00:10:47.800]   It's just absolutely silly and it's just so broad that believe it or not
[00:10:47.800 --> 00:10:53.800]   I mean apple also tried to get injunction against this the scalloccy three a galaxy s3 from from samsung
[00:10:53.800 --> 00:11:01.160]   Uh, and the reason why the judge turned that down wasn't because uh, it was only because that apple had asked made so many requests of that
[00:11:01.160 --> 00:11:04.920]   Judge that she just didn't have time on the honor docket for it. So right now
[00:11:04.920 --> 00:11:08.680]   This is a very popular phone that a lot of people are very very happy with and are saying that
[00:11:08.680 --> 00:11:12.040]   Myself including that this is pretty much as good as an iphone
[00:11:12.040 --> 00:11:13.720]   It's just different strengths and different weaknesses
[00:11:13.720 --> 00:11:19.480]   This would not be on the market if not for the fact that uh, there just wasn't time nowhere for for apple to block it
[00:11:19.480 --> 00:11:21.800]   And it just makes it just gets me
[00:11:21.800 --> 00:11:25.640]   Really disappointed because that was thinking about this this morning that
[00:11:25.640 --> 00:11:29.480]   This is not the act of a greater nation
[00:11:29.960 --> 00:11:34.760]   This is the act of a lesser nation. This is the act of a nation of a society in decline
[00:11:34.760 --> 00:11:38.360]   I'm not saying that this is a sign that apple's going down and i'm predicting apple's going down
[00:11:38.360 --> 00:11:41.400]   I'm simply saying that when you look at the things that make you
[00:11:41.400 --> 00:11:44.120]   Think that a company has it all together
[00:11:44.120 --> 00:11:51.560]   Suing other companies into not making competing products based on what appear to be very flimsy excuses is not that thing
[00:11:51.560 --> 00:11:54.360]   And I had to come back to
[00:11:54.360 --> 00:11:58.360]   I'll cut myself off after this because this is clearly a two-hour rant. I don't want that to happen
[00:11:58.440 --> 00:12:02.680]   But I had to keep thinking about uh, what luis ck the comedian
[00:12:02.680 --> 00:12:09.080]   Would say a couple years ago when so many people were trying to claim that oh this comedian is stealing luis ck's bit
[00:12:09.080 --> 00:12:11.320]   Here's another comedian that's let stealing another one of his bits
[00:12:11.320 --> 00:12:15.000]   And he wasn't pleased that other comedians might have been using his material
[00:12:15.000 --> 00:12:21.640]   But his larger attitude is that well by the time they steal the bit that I was I was worked on two years ago and
[00:12:21.640 --> 00:12:25.880]   Performed on dvd last year. I've developed another two years worth of material
[00:12:26.040 --> 00:12:28.360]   So it doesn't really bother me or affect me all that much
[00:12:28.360 --> 00:12:33.640]   I mean if someone does a complete knockoff of syria the way that this samsung galaxy 3 did
[00:12:33.640 --> 00:12:38.680]   I think that's an issue, but man if you're going to say that you're not allowed to have to pop out
[00:12:38.680 --> 00:12:42.120]   A phone number from an email and turn that into a phone call
[00:12:42.120 --> 00:12:47.640]   And that's the reason why you're going to deny a very cool useful alternative device to an entire market
[00:12:47.640 --> 00:12:53.720]   That's just not that's not something that apple should be proud of and that's not something that any apple users should be proud of either
[00:12:55.240 --> 00:13:00.760]   You know just to use your analogy of the of the comic it almost feels I can understand why a comic would sue if the joke
[00:13:00.760 --> 00:13:05.160]   We're told by someone else has his own, but it's almost as if a comic said I
[00:13:05.160 --> 00:13:10.440]   Patent all airline peanut jokes. You cannot make jokes about airline peanuts
[00:13:10.440 --> 00:13:15.320]   It's it's a much broader thing than a and it strikes me as being overly broad now
[00:13:15.320 --> 00:13:19.240]   I should mention that uh samsung has requested a stay
[00:13:20.440 --> 00:13:27.400]   So this you know, this is still in process the the injunction which would prevent sales of galaxy nexus phones in the us
[00:13:27.400 --> 00:13:33.240]   Requires a couple of things apple has to post a $96 million bond in case the injunction
[00:13:33.240 --> 00:13:39.960]   Was inappropriate and there's damages to sam song. This is to protect sam song sam song has appealed in
[00:13:39.960 --> 00:13:42.440]   We're actually requested a stay
[00:13:42.440 --> 00:13:48.280]   And so until the stay has been ruled upon apple is not going to put up the bond
[00:13:48.360 --> 00:13:51.160]   So it's in other words, you could still buy a nexus phone
[00:13:51.160 --> 00:13:56.120]   Just just to give you an update on what's going on right now. What do you think Alex?
[00:13:56.120 --> 00:13:57.640]   Well, I think that um
[00:13:57.640 --> 00:14:00.680]   A few things. I mean I think that the fundamental problem is the patent office
[00:14:00.680 --> 00:14:03.800]   So the you know, so I think we know we know we know but when i'm bad, it's you're broken
[00:14:03.800 --> 00:14:08.760]   But the thing is is that is that the way it's set up right now is that if you do not patent
[00:14:08.760 --> 00:14:13.240]   Uh everything that you're doing some troll is going to come and sue you for it
[00:14:13.240 --> 00:14:15.960]   And if you do not patent it and adjudicate
[00:14:15.960 --> 00:14:20.280]   I mean if you don't take it to court if you don't take the court everyone who's you will lose the access to that
[00:14:20.280 --> 00:14:24.040]   Is that the case, you know, that is I believe it's I know it's a case with trademark
[00:14:24.040 --> 00:14:27.960]   I don't know if it's the case with pat. I do believe that you have to continue to um
[00:14:27.960 --> 00:14:30.840]   Do we have attorneys in the chatroom if you could fill us in on that
[00:14:30.840 --> 00:14:36.680]   But I believe that they have to go down that path beyond that I think that I think that google very much underestimated
[00:14:36.680 --> 00:14:44.280]   I think a how how close steve was to like really being excited about working with google and how upset he was when
[00:14:45.480 --> 00:14:49.400]   When they when they released something that was directly competitive with something that to what he was really
[00:14:49.400 --> 00:14:55.000]   Like everything that he was about, you know, and and the issue is is that is that this is you know
[00:14:55.000 --> 00:14:58.680]   This argument is not it's not a business argument. It is a
[00:14:58.680 --> 00:15:01.720]   Uh
[00:15:01.720 --> 00:15:03.720]   The the issue that you get into is
[00:15:03.720 --> 00:15:10.920]   Is this personal, you know, and I think it's going to remain personal and I think that I think that I think apple is going to continue to go down this path
[00:15:10.920 --> 00:15:14.040]   Um, I don't I don't think it's a business decision. I don't think it's trying to make more money
[00:15:14.120 --> 00:15:16.120]   I think it it literally is
[00:15:16.120 --> 00:15:17.640]   um
[00:15:17.640 --> 00:15:20.840]   You know they were crossed and I think that the apple may slowly tie away
[00:15:20.840 --> 00:15:26.440]   But this is all legacy stuff from when steve was upset and I don't think apple's just going to drop all of that all all of the sudden
[00:15:26.440 --> 00:15:31.000]   Um, I do think that one of the things that apple I think has a complaint about whether you know
[00:15:31.000 --> 00:15:36.920]   There's all these little technical things that are going on but overall what you're looking at is sam-sung releasing phones that
[00:15:36.920 --> 00:15:41.480]   Many pieces of them look exactly like what apple's doing so apple comes out with something in there
[00:15:41.480 --> 00:15:44.840]   And they really do look just like that and it's like yeah
[00:15:44.840 --> 00:15:46.680]   We can give you you know, we can't give you an iphone
[00:15:46.680 --> 00:15:50.520]   But we can give you something that is almost as good as an iphone and it does feel like
[00:15:50.520 --> 00:15:56.600]   A lot of these phones feel like a lot of the features that they're talking about feel like well, you know, we're getting something almost as good
[00:15:56.600 --> 00:16:02.520]   You know, it's it's actually I think that one I don't I would I might ascribe and I don't know and I you know
[00:16:02.520 --> 00:16:07.560]   I think it's completely possible that you could say apple is doing what they have to do as you say to protect their patent
[00:16:07.960 --> 00:16:11.640]   Uh, and you could even make the case well apple is right that this is an infringement
[00:16:11.640 --> 00:16:17.320]   I think you could also make the case that this phone. This is not the galaxy. Nestis. This is actually a better phone
[00:16:17.320 --> 00:16:22.360]   The s3 that's the one you have to Andy is superior in almost every respect to the iphone
[00:16:22.360 --> 00:16:26.280]   I mean, I certainly feel that well, I'm carrying on phone. I wouldn't call it superior
[00:16:26.280 --> 00:16:29.880]   I would say that it's just as good just in different ways. Well, we won't get to that
[00:16:29.880 --> 00:16:33.080]   Yeah, we don't need to debate it. I'm just my point is some might say it's superior
[00:16:33.080 --> 00:16:36.120]   I do some might say it's almost it's as good or equal some might not like it
[00:16:36.360 --> 00:16:42.600]   But I think that what's happened is then this is going this is already selling quite well is that
[00:16:42.600 --> 00:16:50.680]   You could also I'm not saying this but you could make the case that apples starting to be nervous about the competition post by google
[00:16:50.680 --> 00:16:52.760]   And android phones
[00:16:52.760 --> 00:16:58.680]   And that's why they're pursuing why I definitely think that there I do believe that it is an apple's dna to worry about
[00:16:58.680 --> 00:17:03.000]   Someone else coming in with another operating system and taking something that they had very popular
[00:17:03.000 --> 00:17:07.560]   I mean that is their history apples history is that they you know, they created a system. It was copied
[00:17:07.560 --> 00:17:12.680]   Essentially and then run over them, you know, you know, and and that happened, you know before and they're not gonna
[00:17:12.680 --> 00:17:14.760]   I think that they're not going to give any
[00:17:14.760 --> 00:17:20.200]   They're gonna take they're gonna take for their legal request. I really do want to confront one thing
[00:17:20.200 --> 00:17:23.080]   I don't believe that in any way. This is a copy of an iphone
[00:17:23.080 --> 00:17:28.440]   It's has exactly like it has it has so many features that are unique to this device
[00:17:28.440 --> 00:17:31.800]   This is why I keep saying that it's as good as an iphone
[00:17:31.800 --> 00:17:34.760]   But it has different strengths. There's probably serie. I think
[00:17:34.760 --> 00:17:37.080]   I have to I have to call this serie
[00:17:37.080 --> 00:17:41.320]   I think serie is the only thing I can see on this device which I can say yeah
[00:17:41.320 --> 00:17:46.120]   That was copied from the iron on that is a sad deal and the judge agrees with you else everything else
[00:17:46.120 --> 00:17:50.760]   I think you everything else I think is unique to this device. This is not a copy of the iphone
[00:17:50.760 --> 00:17:55.640]   But the judge agrees with you. That's exactly what the judge said is that is that serie is a copy of what what already exists there
[00:17:55.640 --> 00:17:57.720]   And so that's that's the issue. That's what the god
[00:17:57.960 --> 00:18:05.080]   They could have walked away from that wasn't that wasn't that wasn't the issue because they didn't say that the the version of voice command search
[00:18:05.080 --> 00:18:09.320]   That was articulated on this device is what is the point of contention? It was it is right?
[00:18:09.320 --> 00:18:12.360]   No, I'm saying I'm what I'm I'm sorry
[00:18:12.360 --> 00:18:15.160]   I'm speaking specifically of the mess case by which it works
[00:18:15.160 --> 00:18:20.840]   The way that the way that it works on this specific device the way it looks in the specific device which was clearly copied
[00:18:20.840 --> 00:18:23.240]   I mean it was it you could easily
[00:18:24.040 --> 00:18:29.640]   Lance at this phone with the voice command in operation and think that you're looking at an iphone. I think my point is there's certain
[00:18:29.640 --> 00:18:34.360]   Sensible ways to do this that somebody even in a vacuum
[00:18:34.360 --> 00:18:40.120]   Would for instance you making a touchscreen phone would make it the screen be this aspect ratio
[00:18:40.120 --> 00:18:44.280]   Even in a vacuum now you might argue this would put a button here
[00:18:44.280 --> 00:18:46.840]   This is a lot like an iphone with a button there
[00:18:46.840 --> 00:18:50.760]   And I understand with this is not the phone that's being litigated. It's the nexus, but
[00:18:51.960 --> 00:18:55.640]   One thing we have to remember this. I think that there is a point to be made. It's like apple
[00:18:55.640 --> 00:18:58.200]   patenting rounded rectangles that
[00:18:58.200 --> 00:19:02.680]   Which they haven't but that there are a certain sensible kind of almost
[00:19:02.680 --> 00:19:06.360]   uh aristatelian, but I think I think that i think that
[00:19:06.360 --> 00:19:13.160]   A perfection and apple is in effect saying we're gonna do it this remember this happened with the ipad
[00:19:13.160 --> 00:19:17.640]   They said well you can make an ipad as long as it's not this looks like that
[00:19:17.640 --> 00:19:21.800]   Okay, but we own the platonic ideal of ipad but one one thing we have to remember
[00:19:21.800 --> 00:19:25.720]   One thing we have to remember is no phone existed like that until the iphone came out
[00:19:25.720 --> 00:19:31.160]   No, that's not true. So i'm saying even had a phone exactly the same, but they had people so they had flip out keyboards
[00:19:31.160 --> 00:19:37.560]   No for all the time i remember seeing a few years before that there were palm devices that looked like that there were windows
[00:19:37.560 --> 00:19:39.080]   windows
[00:19:39.080 --> 00:19:44.120]   Pocket pc devices that looked exactly like that. They're the apple didn't want invent the concept
[00:19:44.680 --> 00:19:48.120]   Popular because they didn't really call a screen with no buttons underneath
[00:19:48.120 --> 00:19:52.520]   They just didn't really work. I guess that was the problem before no they were they were really popular palm was
[00:19:52.520 --> 00:19:55.960]   Palm was a huge huge huge. Leo's gonna show me up here
[00:19:55.960 --> 00:20:01.640]   Again, I can I can go into my I was almost about to go into my own my office life two doors down
[00:20:01.640 --> 00:20:04.040]   And grab a couple of different devices in there
[00:20:04.040 --> 00:20:07.800]   But so what i'll say is that yeah, this is starting to go that direction
[00:20:07.800 --> 00:20:11.560]   Just lots of little buttons all over the idea is moving everything to the screen except for one
[00:20:11.720 --> 00:20:15.320]   You know one singular piece. Yeah, that could have been a much more you could approve on this
[00:20:15.320 --> 00:20:21.880]   But you cannot say that apple invented this touch screen with an on-screen keyboard with a home button
[00:20:21.880 --> 00:20:24.280]   No, we we do need it. I mean, I don't feel
[00:20:24.280 --> 00:20:30.040]   Are not physical on samsung's phone, but they are there these back button and the home button
[00:20:30.040 --> 00:20:33.720]   Right, and we had and we had the newton and we had a lot of other things. I mean, this is a palm
[00:20:33.720 --> 00:20:40.040]   I should mention for those not watching this is a palm so cute life drive was a five megabyte hard drive in here
[00:20:40.040 --> 00:20:44.440]   I can't charge it because I can't fit set a proprietary charger. I think I had that proprietary charger if you could find it
[00:20:44.440 --> 00:20:48.200]   I would be very happy the trio, but this predates the iPhone by a good number of years
[00:20:48.200 --> 00:20:52.280]   I mean this is not so I guess I would say that everything was so clunky before
[00:20:52.280 --> 00:20:57.640]   There it is. I admit I admit apple is done at better and more beautifully right
[00:20:57.640 --> 00:21:05.000]   So but but that gives you rights for then on that only apple can make such a thing no I I don't I I don't I think that the
[00:21:06.040 --> 00:21:09.640]   I think that the issue though is when people have these complaints about all of these things, you know
[00:21:09.640 --> 00:21:11.640]   We should be really thinking about how to
[00:21:11.640 --> 00:21:16.440]   Rebuild the entire way that we look at pet the patent I agree because everybody is completely broken
[00:21:16.440 --> 00:21:20.600]   There's no I don't think that in the world who thinks that software patents make any sense and I think
[00:21:20.600 --> 00:21:22.680]   We understand this needs to change
[00:21:22.680 --> 00:21:26.680]   But that's where I mean that's where this the fundamental issue that we're going to run into over and over and over again
[00:21:26.680 --> 00:21:30.200]   You can't blame apple because they're just doing what the law says you have to do
[00:21:30.200 --> 00:21:34.840]   No, I'm not saying that I'm saying that I'm saying that that I think the reason apple's doing this and I have to admit
[00:21:35.480 --> 00:21:39.800]   I'm not one that which is clearly so by the way google's doing this in the opposite direction
[00:21:39.800 --> 00:21:45.000]   You understand motor roller has gone after apple. So I mean this this goes both ways
[00:21:45.000 --> 00:21:48.040]   In that sense, you're absolutely right. This is all this battling
[00:21:48.040 --> 00:21:54.520]   All this battling and billions of dollars being spent and us being jerked around is because our entire patent system is broken our entire copyright system
[00:21:54.520 --> 00:21:58.200]   I want to go I want to go rob the king on this and just say let's get along
[00:21:58.200 --> 00:22:03.640]   And each of you make the best thing you can and let the market decide this is an election year
[00:22:04.440 --> 00:22:09.320]   We need to be thinking about we need to be thinking about who our representatives are that have have a brain
[00:22:09.320 --> 00:22:13.320]   You know when it comes to dealing with this because most of them are bought by
[00:22:13.320 --> 00:22:18.840]   By the copyright holders and by the people who want to keep the status quo and they want to keep you know having these pieces
[00:22:18.840 --> 00:22:22.680]   And so, you know, you want to be if you're if you really want this to change
[00:22:22.680 --> 00:22:26.360]   You're not going to change it by complaining to apple you're not going to change but by boycotting the iphone
[00:22:26.360 --> 00:22:29.160]   You're not going to change it by doing those things. You're going to change it by voting in people
[00:22:29.160 --> 00:22:32.760]   Who are going to allow this to be moved forward?
[00:22:32.760 --> 00:22:35.000]   You know move the conversation forward it won't happen in one election
[00:22:35.000 --> 00:22:38.200]   but that's the only way any of this is going to change and I think that
[00:22:38.200 --> 00:22:42.520]   You know, I think that apple I definitely think that apple is doing this again because
