
[00:00:00.000 --> 00:00:05.060]   It's time for Mac break weekly Andy Renee and Alex are all here
[00:07:24.360 --> 00:07:27.240]   This has been experienced across the board by a lot of sites
[00:07:27.240 --> 00:07:32.840]   Uh facebook was down you can see here. This is down detector.com. You can see the flat line
[00:07:32.840 --> 00:07:36.520]   Facebook instagram, but you see last pass
[00:07:36.520 --> 00:07:45.320]   Uh, you see facebook messenger path of exile. Here's sharepoint microsoft sharepoint with big dead spot
[00:07:45.320 --> 00:07:49.880]   Um, I suspect this isn't any one particular
[00:07:50.600 --> 00:07:54.680]   Company I noticed people in the chat room complaining that some of them couldn't get to our website
[00:07:54.680 --> 00:08:03.720]   Uh, I think there is some big provider that's gone down. I hope it's not a an attack on the force. Yeah, hulu
[00:08:03.720 --> 00:08:07.720]   Um, you see this one drive. It's been a number of cloud providers
[00:08:07.720 --> 00:08:11.960]   Uh, I'm just I'm not sure now. Most of these guys are now kind of back up
[00:08:11.960 --> 00:08:18.360]   But uh, a lot a lot of people uh complaining about facebook being down. See I didn't even know even
[00:08:18.920 --> 00:08:28.040]   Website website is pretty much the big is that the the central? Uh, yeah, that flat well because that's that runs the apps everybody else is
[00:08:28.040 --> 00:08:35.880]   And as you notice internet service providers have been fine verizon a tnt com. Yes, it's so it's so it might be like a routing table
[00:08:35.880 --> 00:08:43.560]   Sort of problem. Yes, certain party party has in the past couple of weeks. Yeah, it's not the bgp problem where google traffic was routed through china
[00:08:44.360 --> 00:08:51.720]   Thanks to nigerian internet service provider these things have and then they went pakistan's pakistan tried to like shut down youtube for pakistan
[00:08:51.720 --> 00:08:53.720]   They wound up shutting it down for almost everybody
[00:08:53.720 --> 00:08:59.080]   That's I mean that's that's real. You've got don't know it's running your show at that point
[00:08:59.080 --> 00:09:01.240]   So it had created for such a simple
[00:09:01.240 --> 00:09:06.280]   Uh person to be able to cause such an international global problem
[00:09:06.280 --> 00:09:12.600]   It reminds it's it's the scary reminder that yes, the internet is under threat by national interests
[00:09:13.080 --> 00:09:18.520]   But also by it's also vulnerable to the fact that it was created in the 70s and 80s by hippies
[00:09:18.520 --> 00:09:25.080]   Who didn't who could not anticipate how how making things open and free and transparent?
[00:09:25.080 --> 00:09:31.080]   Which screw everybody in the 2000s once the non nerds got ahold of the internet so a ws
[00:09:31.080 --> 00:09:35.240]   Uh, i'm just looking at their service health dashboard. It looks like there was some
[00:09:35.240 --> 00:09:40.280]   issue with the the elastic complete cloud in northern virginia, which I bet a lot of
[00:09:40.680 --> 00:09:45.160]   People run on api and launch error rates, but not any down down
[00:09:45.160 --> 00:09:48.120]   Stuff so I I don't you know, I just don't know
[00:09:48.120 --> 00:09:52.440]   What it is. I just wanted to note that it's it's happened
[00:09:52.440 --> 00:09:57.560]   Uh, it seems to have been repaired and we don't know what the what the story is so
[00:09:57.560 --> 00:10:06.760]   Corco Maltese has weaponized the internet. Yeah doomed. Well, uh, we let me see it twit our twit website part is very complex
[00:10:07.640 --> 00:10:10.680]   Um, but part of it does run off through
[00:10:10.680 --> 00:10:14.760]   Not on but through amazon web services. So I don't know
[00:10:14.760 --> 00:10:18.680]   It's so complex that I don't really even understand it
[00:10:18.680 --> 00:10:23.880]   Yeah, but uh, that could be that's that's the other problem with the internet. Yeah
[00:10:23.880 --> 00:10:27.320]   We trust that it works, but we don't we
[00:10:27.320 --> 00:10:33.720]   It's it's the we're now in the phase where remember now that you opened the lid the the hood to your car
[00:10:33.720 --> 00:10:39.080]   And there's just this plastic bonnet covering everything you have no you no longer even know that okay
[00:10:39.080 --> 00:10:41.800]   That's the alternator a better or a better. It's a little battery connection
[00:10:41.800 --> 00:10:47.880]   There are fewer and fewer people who know what's wrong with the internet when the internet is no longer making us happy
[00:10:47.880 --> 00:10:52.040]   Yeah, according to internet traffic report internet the internet itself is working fine
[00:10:52.040 --> 00:10:57.480]   But see if amazon had a problem or somebody some provider had a problem it wouldn't necessarily show up
[00:10:57.480 --> 00:11:00.040]   as an internet traffic issue
[00:11:00.360 --> 00:11:04.600]   So I don't I don't know what's going on. I don't it's complicated. It's complicated
[00:11:04.600 --> 00:11:09.560]   Face tech time says facebook and instagram are down and the internet goes crazy
[00:11:09.560 --> 00:11:14.440]   No, no, it's facebook being up that makes people crazy
[00:11:14.440 --> 00:11:16.200]   Both
[00:11:16.200 --> 00:11:21.000]   That's my opinion facebook is jeez everybody uh all the fangs
[00:11:21.000 --> 00:11:25.560]   Are uh suffering they're all down including apple 20 percent
[00:11:25.560 --> 00:11:28.040]   Uh over the last couple of days
[00:11:28.520 --> 00:11:33.480]   Facebook amazon apple netflix google all down about 20 percent
[00:11:33.480 --> 00:11:40.440]   Um, hey, they had a pretty good run. Yeah, I mean some of this could be profit taking the stock market itself has gone down
[00:11:40.440 --> 00:11:47.160]   There's some uncertainty maybe some of this comes from the wall street journal report and I know that we do this every
[00:11:47.160 --> 00:11:51.160]   Every year but i'm gonna repeat it again
[00:11:51.160 --> 00:11:54.120]   uh wall street journal says
[00:11:54.120 --> 00:11:55.560]   that uh
[00:11:55.560 --> 00:11:57.960]   iPhone sales suck and all the suppliers are
[00:11:57.960 --> 00:12:04.200]   Back or say apple said don't make any more but rene i'll let you you should probably have this canned
[00:12:04.200 --> 00:12:09.960]   Uh, I mean I do at this point. So there's two things one is sales could always go down any given year
[00:12:09.960 --> 00:12:14.840]   Um sales could be down we're in a mature market and most people have a smartphone and the
[00:12:14.840 --> 00:12:20.920]   The result of everyone wanting massive growth in smartphones and to have the next billion and to have massive market penetration
[00:12:20.920 --> 00:12:24.120]   Is at some point the market gets penetrated and there's no apple stores on mars
[00:12:24.520 --> 00:12:27.880]   Uh, the the other side of that though is that historically every quarter
[00:12:27.880 --> 00:12:32.840]   Especially every big quarter there has been a run of hedge fund managers jim cramer
[00:12:32.840 --> 00:12:37.320]   Had a remarkably canned that interview about this many years ago where he said that whenever they want to make money
[00:12:37.320 --> 00:12:41.320]   They just call up and start a rumor saying the i don't know how that guy's not in jail
[00:12:41.320 --> 00:12:47.880]   I just don't understand i i don't know either and they and they all do it and they said that apple sites love to run those rumors
[00:12:47.880 --> 00:12:51.080]   So there's never any lack of anybody to publicize it for them
[00:12:51.320 --> 00:12:55.800]   And they get the stock to go down and they sell their shorts and they make their they make their quarter and they're super happy
[00:12:55.800 --> 00:13:01.240]   So this is today's wall street journal. I guess yesterday's wall street journal headline apple suppliers
[00:13:01.240 --> 00:13:09.640]   Suffer with uncertainty around iphone demand in recent weeks apple slash production orders for all three iphone models that it unveiled in september
[00:13:09.640 --> 00:13:15.320]   But if I remember uh you saying this last year when the same exact story was published
[00:13:15.800 --> 00:13:20.840]   Well, yeah, so they make a lot of them they announce them they sell a lot of them and then they say, okay
[00:13:20.840 --> 00:13:23.240]   We can slow down production now
[00:13:23.240 --> 00:13:26.920]   And also if you were if you were apple and you you know
[00:13:26.920 --> 00:13:29.880]   There's been a lot of years where we haven't been able to get the phone quickly
[00:13:29.880 --> 00:13:36.600]   And so if I were apple i'd be telling our suppliers to be ramping up be ready for right something much larger than what i expected
[00:13:36.600 --> 00:13:40.920]   And then I would pull them back. It's not very nice to the suppliers to do that
[00:13:40.920 --> 00:13:44.360]   But it also means that as apple you have a better chance of getting
[00:13:45.000 --> 00:13:51.960]   Uh, what you needed quickly and have them really ready for the the kind of demand that sometimes we've had and a lot of times we can't get our
[00:13:51.960 --> 00:13:55.560]   We can't get our our phone for months because it's way behind
[00:13:55.560 --> 00:13:59.880]   So gap is notorious for not really caring so much about suppliers, right?
[00:13:59.880 --> 00:14:03.880]   Well, yeah, that because they're they want their
[00:14:03.880 --> 00:14:09.000]   Suppliers are supposed to be big boys and big girls who know how to run a business
[00:14:09.000 --> 00:14:09.480]   That's right
[00:14:09.480 --> 00:14:15.080]   And remember that it used to be every single quarter after the after the iphone announcement quarter
[00:14:15.080 --> 00:14:23.080]   Uh, the shareholders would complain analysts would complain that wow you let the waiting lists for for ideal models was like two three four weeks
[00:14:23.080 --> 00:14:27.800]   They're turning away people who had money in their hands. Why can't app why can't apple solve their supply issues?
[00:14:27.800 --> 00:14:30.280]   So apple is
[00:14:30.280 --> 00:14:32.840]   Admits people trying to say oh well. This is an artificial
[00:14:32.840 --> 00:14:37.400]   Suspension of demand because they wanted they like to have the pictures of all those people in line
[00:14:37.800 --> 00:14:42.840]   And no, they really want to take the money of anybody who shows up with money to throw at an apple logo
[00:14:42.840 --> 00:14:49.640]   And now that they're finally getting into a verb where they can figure out how to make sure that everybody who wants a phone can get them
[00:14:49.640 --> 00:14:53.800]   At the time what they want them even if they want them on day one or week number one
[00:14:53.800 --> 00:14:59.880]   Sometimes that means that that means making sure that you're your customers are happier than your suppliers
[00:14:59.880 --> 00:15:02.200]   So that's absolutely not a problem
[00:15:02.200 --> 00:15:07.480]   And and a lot of companies do this where they cut back, you know based on a variety of things
[00:15:07.480 --> 00:15:09.480]   There's no one else cares about their pride
[00:15:09.480 --> 00:15:14.760]   No one else is tracking how many that and who they called and I mean this is a very common process
[00:15:14.760 --> 00:15:17.320]   Is to ask for more than you need and then pull back
[00:15:17.320 --> 00:15:20.520]   You know we're a supplier for companies that do that
[00:15:20.520 --> 00:15:24.440]   So it's it's not it's not uncommon for that kind of thing to happen
[00:15:24.440 --> 00:15:29.560]   It's just that no one else is they're not tracking every suppliers need for all these different services and goods
[00:15:29.560 --> 00:15:35.880]   Well, I don't know I watch billions and according to what I've learned about the market from hbo
[00:15:37.400 --> 00:15:44.120]   Uh, one of the things that really good investors do is go to instead of just reading the you know market
[00:15:44.120 --> 00:15:50.600]   Newspapers they go and they check and they call and they make calls and their journal says last week big suppliers of iphone components
[00:15:50.600 --> 00:15:52.920]   Including corvo
[00:15:52.920 --> 00:16:00.920]   Lamentum and japan display cut their quarterly profit estimates citing reduction and previously placed orders from a quote large customer
[00:16:00.920 --> 00:16:05.720]   Not apple wasn't named but but a third to a half of revenue in these companies according to the journal
[00:16:06.280 --> 00:16:08.280]   goat come from apple
[00:16:08.280 --> 00:16:10.840]   Foxconn
[00:16:10.840 --> 00:16:14.520]   Cut over time hours typically available during peak production periods
[00:16:14.520 --> 00:16:20.120]   But again, this you know the the market might draw a conclusion that the iphone isn't selling well
[00:16:20.120 --> 00:16:23.800]   But it could as you know as we've explained there's there's could be good reasons for this
[00:16:23.800 --> 00:16:25.960]   What do you think about maybe the tenr
[00:16:25.960 --> 00:16:29.560]   Being a little disappointing because that is brand new right?
[00:16:29.560 --> 00:16:34.440]   The iphone that came out a month later. Is it maybe that the tenr isn't selling that well?
[00:16:35.160 --> 00:16:38.840]   I mean there if you look across the industry like sam san is you know
[00:16:38.840 --> 00:16:42.920]   They're rumored to be making a super phone now because they want to sort of regain the the luster of the past
[00:16:42.920 --> 00:16:44.920]   Nobody's selling a ton of phones anymore
[00:16:44.920 --> 00:16:51.000]   And again, it could just be that the market is reaching a point where you have to look at the business differently the tenr seems to be popular in north america
[00:16:51.000 --> 00:16:56.520]   Whether it's popular or not internationally is difficult because the currency exchange is injurious
[00:16:56.520 --> 00:17:02.680]   At this point like a seven hundred fifty dollar phone in the us is a thousand dollar phone in Canada and it's worth in europe in brazil
[00:17:02.760 --> 00:17:06.680]   Yeah, and russia and places like that and that probably does tamper demand
[00:17:06.680 --> 00:17:11.960]   So there's a whole and component prices one of the reasons iphones are so expensive right now is component prices are through the roof
[00:17:11.960 --> 00:17:13.800]   Which makes it unfavorable for everybody?
[00:17:13.800 --> 00:17:17.640]   So there's a lot of as a confluence of a lot of factors that could be putting heavily
[00:17:17.640 --> 00:17:23.960]   On the iphone, but also apple brings on new suppliers all the time and it's possible that pegatron is doing more that pegatron is doing more than
[00:17:23.960 --> 00:17:28.840]   then um fox con right now or it's possible that a different supply company other than japan's
[00:17:28.840 --> 00:17:34.440]   Supplies picking up other volumes and it's really hard to sort of pick and choose one or two suppliers and see what the pattern is
[00:17:34.440 --> 00:17:37.160]   And we may know the the other problem here is that
[00:17:37.160 --> 00:17:44.040]   In every single presidential administration before this a company like apple felt like they could make plans
[00:17:44.040 --> 00:17:51.080]   Two three four five even eight years in advance even very conservative plans, but still they could plan well well ahead
[00:17:51.080 --> 00:17:54.280]   And now when I talk to people who are making those kind of decisions
[00:17:54.280 --> 00:18:01.800]   They're like we're not counting on any deal that we make today being enforceable in two or three years because the downside of
[00:18:01.800 --> 00:18:07.000]   The downside of having our entire product run of a keynote product in
[00:18:07.000 --> 00:18:15.720]   2020 rely on our ability to access a certain supplier at a certain rate in 2020 is now kind of in question right now
[00:18:15.720 --> 00:18:18.920]   So it doesn't mean that they are not making phones anymore
[00:18:18.920 --> 00:18:23.720]   But it does mean that decisions that used to be a slam dunk are now there's a lot more math involved
[00:18:23.880 --> 00:18:25.880]   And they're not willing to again make
[00:18:25.880 --> 00:18:34.920]   Gamble their entire company or all their profits for a certain quarter on being able to get access to a certain component that they desperately need from this one supplier
[00:18:34.920 --> 00:18:38.760]   So there's a lot of calculus that is new in 2018 that wasn't
[00:18:38.760 --> 00:18:45.960]   Part of the game in 2015 or 2016 particular tariffs and trade wars. I if you're an e-bike manufacturer today
[00:18:45.960 --> 00:18:50.360]   You're you're suffering. I've bought a couple of e-bikes in the last couple of months and one
[00:18:50.760 --> 00:18:54.920]   One of them the one I've talked about the super 73 these guys just sent me a note saying hey
[00:18:54.920 --> 00:18:59.480]   We're sorry. It's taken so long, but we've actually had to move our manufacturer outside the United States
[00:18:59.480 --> 00:19:03.400]   because 25 tariffs or 30 tariffs on
[00:19:03.400 --> 00:19:08.840]   Chinese made motors, which is apparently the only reasonable place to get e-bike motors
[00:19:08.840 --> 00:19:16.200]   Is killing us he said we got one shipment that we couldn't accept because it would have cost us 300 000 in tariffs
[00:19:16.840 --> 00:19:21.800]   And so what they're doing is their ship. They're trans shipping them to Germany or where they're going to make them there
[00:19:21.800 --> 00:19:28.360]   Where they don't have to pay that 300 000 but that slows everything down as they set up new production facilities and also by the way
[00:19:28.360 --> 00:19:33.640]   Cost jobs in the United States and I'll ultimately cost consumers because the tariffs just get passed along
[00:19:33.640 --> 00:19:39.480]   And Apple may have seen this coming at when they said they weren't going to talk about unit sales anymore
[00:19:39.480 --> 00:19:42.840]   You know like that. Well, that's so that's really what i'm asking here
[00:19:42.840 --> 00:19:47.160]   I know this happens every year, but what i'm really saying is maybe there is something to it this year
[00:19:47.160 --> 00:19:52.840]   Maybe because iPhone sales growth was zero close to zero over the last quarter
[00:19:52.840 --> 00:20:01.960]   Um, maybe there is and one of the things I maybe think you could draw from this is that the we saw this with the five c right and the se that
[00:20:01.960 --> 00:20:09.320]   Really people who buy iPhones aren't looking for the low price leader. They're looking for they don't want to give give up features
[00:20:09.640 --> 00:20:12.680]   They want the one terabyte they want the best one. Yeah, right?
[00:20:12.680 --> 00:20:17.000]   Yeah, and I think that apple has seen that this is the market that they're I don't think that it's
[00:20:17.000 --> 00:20:20.200]   That they're being elitist, but they're the market that's buying their phone
[00:20:20.200 --> 00:20:25.800]   Are the ones that are interested in that are buying it every year are the ones that are interested in these
[00:20:25.800 --> 00:20:31.880]   Bigger higher quality phones and so apple's going to sell less units and they're going to move that
[00:20:31.880 --> 00:20:34.520]   Uh asp up, you know
[00:20:35.000 --> 00:20:39.000]   Based on that because and they're really just reacting to the market that is that is working with them
[00:20:39.000 --> 00:20:42.360]   And they have that data and they have been moving towards services for years
[00:20:42.360 --> 00:20:44.520]   It's not like this is a sudden pivot
[00:20:44.520 --> 00:20:51.000]   You know, they're they're really you know, we can watch their in their their income constantly increasing around the phone
[00:20:51.000 --> 00:20:55.800]   As opposed to focusing on it and and even things like the watch are you know picking up speed? Yeah
[00:20:55.800 --> 00:21:01.560]   I think the ten hours a great choice. Uh, I don't think you sacrifice much and you save 250 bucks, but
[00:21:02.120 --> 00:21:05.880]   Um, obviously the mark maybe no I shouldn't even say that because we just don't know
[00:21:05.880 --> 00:21:10.840]   Uh, since apple doesn't really sales numbers. No one really knows unless you stood outside an apple store
[00:21:10.840 --> 00:21:16.040]   I think I just use the two x I think I use the two x on my phone way too much to want to go to an r
[00:21:16.040 --> 00:21:22.680]   That's my number. That's second lens that gives you that physical optical zoom you really that is I use that so often that
[00:21:22.680 --> 00:21:27.080]   I'm constantly reframing on my once you got used to it like for the first year. I didn't even do it
[00:21:27.080 --> 00:21:31.560]   Is yeah, you're giving up the second lens you're giving it up an OLED for an LCD?
[00:21:31.560 --> 00:21:36.920]   Although I think that's a minor trade and you're giving up 3d touch which I don't think anybody cares about
[00:21:36.920 --> 00:21:42.440]   So it's it really is the lens that people really care about I guess I don't know well
[00:21:42.440 --> 00:21:47.880]   It's it's it's variable depends on whether people really care that much about the effects
[00:21:47.880 --> 00:21:52.200]   I really think that portrait mode is a bigger sell for most people because still get portrait mode in the
[00:21:52.200 --> 00:21:59.720]   Selfie cam. Yeah, that's that's what that's what that's what I'm saying is that uh, I think that a feature like portrait mode where it's here
[00:21:59.720 --> 00:22:07.880]   Is the picture without portrait mode? Here's there's a feature with portrait mode when you talk about the zoom someone people like us who really appreciate
[00:22:07.880 --> 00:22:12.920]   Photography as opposed to taking pictures taking snapshots we can definitely see the difference
[00:22:12.920 --> 00:22:19.000]   But nowadays even when they're doing an optical zoom. They're not just blowing the pixels up like they were five years ago
[00:22:19.000 --> 00:22:23.000]   Every phone now does a really really good job of interpolating
[00:22:23.000 --> 00:22:25.480]   Between pixels and trying to make it look
[00:22:26.440 --> 00:22:33.880]   Maybe just like a sub-optimal zoom. So I'm not I don't know if the average person who uses a uses an iPhone for photography
[00:22:33.880 --> 00:22:38.840]   Absolutely appreciates the difference between having that second telephoto lens
[00:22:38.840 --> 00:22:42.840]   And simply having a strictly digital zoom feature
[00:22:42.840 --> 00:22:46.040]   Because I really think it's features like again
[00:22:46.040 --> 00:22:52.600]   Here's like like the like the nice site feature that just came to all the pixel all the pixels cameras that there are people
[00:22:52.760 --> 00:22:58.280]   I have a pixel one like it's two years old. It doesn't have any of the advanced features of the pixel three right now
[00:22:58.280 --> 00:23:03.000]   But it's like I almost don't need to upgrade my phone now because I'm happy
[00:23:03.000 --> 00:23:05.320]   I've got a camera that can do things that couldn't do before
[00:23:05.320 --> 00:23:09.960]   And I think that's why things like portrait mode on the on the on the iPhone camera
[00:23:09.960 --> 00:23:14.920]   Are kind of more important than these hardware features in terms of making customers happy. Yeah
[00:23:14.920 --> 00:23:20.920]   Maybe that's it. Yeah, it might be apples done too good a job selling those features making people want them right
[00:23:21.640 --> 00:23:24.680]   Let's take a little break and then Renee Richie's going to apologize
[00:23:24.680 --> 00:23:30.200]   I will sorry. He was wrong. I'm gonna apologize for apologizing. I want to defend you
[00:23:30.200 --> 00:23:33.000]   Okay, I don't think you're wrong, but anyway
[00:23:33.000 --> 00:23:39.640]   And then we're gonna I think I'll have Alex do this and I'll do this we're gonna snap our iPads in half
[00:23:39.640 --> 00:23:41.640]   It's all uh it's all coming up
