
[00:00:00.000 --> 00:00:03.620]   It's time for Mac break weekly Rene Richie and Andy and not go over here
[00:02:04.600 --> 00:02:10.640]   Little bit too bright out there for me today. I wish we were I wish we're still in eclipse where that fireball was gone for a while
[00:02:10.640 --> 00:02:17.560]   I don't know what happened also with us Renee Richie from Montreal where they couldn't see anything I was eclipsed Leo you were eclipsed
[00:02:17.560 --> 00:02:23.160]   I'm I like seeing the data like I like seeing the traffic patterns of all the people trying to get there and then like the temperature
[00:02:23.160 --> 00:02:29.960]   Graph of what what it changed during the eclipse. How much you've been changed a lot, right like yeah somebody I saw one
[00:02:29.960 --> 00:02:35.520]   Report five degrees another one said 20 degrees. I guess depends where you were or just keep it there
[00:02:35.520 --> 00:02:40.800]   We'll fix our weather some of our team was up there our editor Anthony Nielsen our it guy Russell Tammany
[00:02:40.800 --> 00:02:48.480]   My studio manager Jamerby John Slain where their Anthony has everybody's working on posting their pictures
[00:02:48.480 --> 00:02:50.880]   But Anthony posted this little video
[00:02:51.920 --> 00:02:53.040]   from
[00:02:53.040 --> 00:02:55.960]   They were up in Oregon Mitchell, Oregon sitting in a field
[00:02:55.960 --> 00:02:59.160]   There's Anthony and Russell and Shannon Morse
[00:02:59.160 --> 00:03:02.160]   from tech thing and
[00:03:02.160 --> 00:03:06.160]   Watch it's gonna. This is a time-lapse. It's gonna get this is this is
[00:03:06.160 --> 00:03:14.080]   Pointing his camera the wrong way through the totality as it gets darker and listen to the crowds because there's other people around I guess
[00:03:14.080 --> 00:03:19.000]   And as it gets darker
[00:03:20.280 --> 00:03:22.280]   Darker
[00:03:22.280 --> 00:03:24.320]   They can even more excited
[00:03:24.320 --> 00:03:28.120]   That's pretty cool. Someone's blotting out the Sun. Yeah
[00:03:28.120 --> 00:03:32.960]   That's pretty neat and then
[00:03:32.960 --> 00:03:37.160]   And then there's also a picture Russell says I'm still processing my shots
[00:03:37.160 --> 00:03:42.200]   Let me see if I can find that this one, but he posted a picture. He took his very fancy
[00:03:42.200 --> 00:03:49.000]   Sony a 9 camera and a hugely expensive lens and you could see in the viewfinder there
[00:03:49.520 --> 00:03:54.160]   That he's getting a very nice image. So I look forward to seeing
[00:03:54.160 --> 00:04:01.280]   His pictures of the clips. I hope you all enjoyed. Was this a Lex Luthor planned it Superman have to save us
[00:04:01.280 --> 00:04:03.280]   I'm very
[00:04:03.280 --> 00:04:07.840]   I love the guy who posted on Facebook the day before you know
[00:04:07.840 --> 00:04:13.280]   There seems to be consensus among scientists that there'll be an eclipse, but can you really trust scientists and
[00:04:13.280 --> 00:04:16.800]   Maybe they're wrong and you know and anyway
[00:04:17.000 --> 00:04:22.440]   Well when you say stuff like that you start to disprove evolution so you never know it's just it only begins with the eclipse
[00:04:22.440 --> 00:04:25.360]   We don't have much to say this week, do we?
[00:04:25.360 --> 00:04:28.640]   I mean there's stuff. There's things Leo things
[00:04:28.640 --> 00:04:33.800]   There's stuff, but not much stuff. Never stopped us before
[00:04:33.800 --> 00:04:38.120]   I guess we should kick things off with
[00:04:38.120 --> 00:04:43.640]   Do we have any idea when apples gonna do an event have been any clues at all?
[00:04:43.640 --> 00:04:46.360]   September
[00:04:46.360 --> 00:04:50.600]   But it could be October right I mean for a while their rumors are gonna be delayed with this
[00:04:50.600 --> 00:04:53.480]   now there's no there a lot
[00:04:53.480 --> 00:05:00.040]   Now there are a lot of people that are saying that the I if there is a super splendorferous iPhone 8 coming out
[00:05:00.040 --> 00:05:05.080]   That that might not ship at the same time as the iPhone 7s the updated iPhone 7
[00:05:05.080 --> 00:05:08.000]   So you never know maybe they'll have like a second
[00:05:08.000 --> 00:05:12.200]   mini event just to make that seem so special or
[00:05:13.840 --> 00:05:17.760]   Wall Street people would lose it if Apple didn't have an event like it's not really it's not reality
[00:05:17.760 --> 00:05:20.520]   It's perception management and if they didn't have a September event
[00:05:20.520 --> 00:05:24.880]   They would just be panic up and down Wall Street and there would be so many headlines Leo that I would just fall down
[00:05:24.880 --> 00:05:27.960]   But nobody there's no guarantee apples moved events before
[00:05:27.960 --> 00:05:36.600]   They had traditionally had a September and October event they stopped doing that but the first time was announced in January and shipped in June so
[00:05:36.600 --> 00:05:41.680]   Yeah, but that was that that was back in years ago
[00:05:42.760 --> 00:05:48.880]   It was president so I mean this at this. I mean Bernays right at the the amount of
[00:05:48.880 --> 00:05:55.480]   Earth that Apple is willing to move to make sure that the iPhone hits a September launched launch date is
[00:05:55.480 --> 00:05:57.840]   They'll they'll move heaven and earth
[00:05:57.840 --> 00:06:04.360]   They'll the the eclipse could have been just a test run for what they need to do to make sure that they get 3d touch working on the new
[00:06:04.360 --> 00:06:10.560]   Screen technology so don't I think you can count on an event in September whether or not there's a second iPhone event later on
[00:06:11.080 --> 00:06:18.280]   Is totally new territory because we've never had a situation where we're gonna there were there kind of forking the iPhone if they do
[00:06:18.280 --> 00:06:23.760]   If they do go together with this rumored idea of a super splendor for his iPhone, so yeah
[00:06:23.760 --> 00:06:25.480]   We do have precedent
[00:06:25.480 --> 00:06:30.060]   I mean like two years it was a two years ago where they did a mega event and they had the iPhones and because everything sort of
[00:06:30.060 --> 00:06:33.680]   Nothing was ready earlier. So they had the iPhones. They had the first iPad Pro
[00:06:33.680 --> 00:06:36.680]   They had the new Apple TV and the list just went on and on
[00:06:36.680 --> 00:06:40.840]   I mean the demo rooms just went on and on and not everything came out at once the iPhones came out
[00:06:40.840 --> 00:06:42.440]   And they usually did and then the iPad came out
[00:06:42.440 --> 00:06:46.440]   I think the Apple TV came out and then the iPads came out and it was like two weeks four weeks six weeks
[00:06:46.440 --> 00:06:49.280]   So there's nothing to stop them having in a September event
[00:06:49.280 --> 00:06:53.400]   They're just saying this will be available in limited quantities in October or to November or whatever
[00:06:53.400 --> 00:06:56.640]   Yeah, it's it's hard. It's a long list of things that are stacked up
[00:06:56.640 --> 00:06:59.560]   We've got iPhone 7s
[00:06:59.560 --> 00:07:02.840]   We're looking they're thinking about a simple bump on the iPhone 7
[00:07:02.840 --> 00:07:07.080]   We're thinking another phone called the iPhone 8 or the super splendor for his iPhone
[00:07:07.080 --> 00:07:13.240]   So that's that's called that a second product line. We've got rumors of an updated Apple watch. That's a third product. We have
[00:07:13.240 --> 00:07:15.560]   good rumors about a
[00:07:15.560 --> 00:07:21.720]   Updated version of the Apple TV that does at least HDR. So that's five
[00:07:21.720 --> 00:07:28.280]   They have a they have the home they have the home pod which they at least want to show functioning
[00:07:28.280 --> 00:07:35.960]   So that's number six. They might want to show off and I make sure people remember that the iMac is still a pressing concern
[00:07:35.960 --> 00:07:37.960]   So that's seven and that's
[00:07:37.960 --> 00:07:41.480]   Isn't the iMac Pro supposed to come out this year, right?
[00:07:41.480 --> 00:07:48.600]   This year but I feel I feel like we're gonna see December 28th 2930 and there'll be five of them
[00:07:48.600 --> 00:07:53.240]   There'll be five of them on the 25. Oh, there's president the Mac Pro last Mac Pro was announced
[00:07:53.240 --> 00:07:57.000]   But not really didn't really come into people's hands until January, but it was announced roughly that
[00:07:57.400 --> 00:07:59.400]   They ship five. I mean, that's all you need
[00:07:59.400 --> 00:08:02.360]   So I you're right and even that's at least seven
[00:08:02.360 --> 00:08:06.440]   Things they could talk about and that's not including software
[00:08:06.440 --> 00:08:11.960]   And the software they've been they've been pushing out so much now like they just put out a whole bunch of videos for ios 11 that they
[00:08:11.960 --> 00:08:17.160]   Don't usually do and it feels like they want to get they want to get past that part of the conversation so they can dive into that deep hardware
[00:08:17.160 --> 00:08:18.280]   pile
[00:08:18.280 --> 00:08:23.400]   Well, not not only that but it feels like there's stuff that they can't show off until they show off the hardware
[00:08:23.480 --> 00:08:30.040]   So people already know about how the new file launcher is going to work people already know about how the new dock
[00:08:30.040 --> 00:08:36.200]   New dock work so may as well push the get those the get those videos finished and shipped out so that in
[00:08:36.200 --> 00:08:39.640]   September or october whenever they're going to do this they can now talk about well
[00:08:39.640 --> 00:08:46.760]   Here is how to put here's here's how to align the magnets on your desk so that the new ipad does hover mode correctly without falling off the table
[00:08:46.760 --> 00:08:49.400]   They are they did just put out
[00:08:50.280 --> 00:08:55.720]   Developer beta 7 right of ios 11 and the public beta is now up to six
[00:08:55.720 --> 00:08:58.680]   I was surprised to get an update so quickly after
[00:08:58.680 --> 00:09:03.400]   Five came out so doing it really fast. I've been hustling
[00:09:03.400 --> 00:09:11.080]   Which kind of does indicate that we're close to the release date. I hope they don't do what i did you see what google did yesterday
[00:09:11.080 --> 00:09:14.680]   We are you yeah, so
[00:09:14.680 --> 00:09:18.520]   So google says on i think thursday or friday of last week
[00:09:18.840 --> 00:09:23.240]   We're gonna have an event we went right after the eclipse we're gonna have an event and announcing android. Oh
[00:09:23.240 --> 00:09:28.680]   And uh, so we all hands on deck when i you know that we're in a live stream it so we you know
[00:09:28.680 --> 00:09:38.440]   We we arrange to broadcast as we do i i was going to be here and then i realized i had already a prior engagement to do a radio show in san francisco
[00:09:38.440 --> 00:09:44.920]   Uh, and uh i tried to get out of that couldn't and but we got jason and and florin sion came in and
[00:09:44.920 --> 00:09:48.040]   And it was it was this it was
[00:09:48.040 --> 00:09:50.040]   It was
[00:09:50.040 --> 00:09:55.960]   The countdown there was nobody on stage. There was a stage out in a park in new york city where people were watching the eclipse
[00:09:55.960 --> 00:10:01.320]   There's a lot of smoke it opens up and there's a robot cookie and oreo
[00:10:01.320 --> 00:10:06.120]   It's a superhero. Yo really the only announcement was the o stands for oreo
[00:10:06.120 --> 00:10:11.000]   And kind of apple did this imagine how pissed off people would be
[00:10:11.000 --> 00:10:17.560]   It's over apple apple didn't that was it. I mean, that's it. That's all they did. Nobody said anything even
[00:10:18.120 --> 00:10:21.320]   And i feel bad for jason florin so i come in and cover this
[00:10:21.320 --> 00:10:24.680]   Non-event
[00:10:24.680 --> 00:10:26.680]   Uh, but we know we don't cook. We fell for it
[00:10:26.680 --> 00:10:32.040]   I was I was thinking oatmeal cookie because I didn't think they wanted to do a brand name again, but they they apparently did so
[00:10:32.040 --> 00:10:36.920]   But that's off the point who cares about androi we're talking about ios here
[00:10:36.920 --> 00:10:41.960]   We're talking iphone a lot of excitement about i'm excited about the new iphone
[00:10:41.960 --> 00:10:47.320]   Uh, and i have to say there there were there've been points in the last few years where i swear i'm not buying another iphone
[00:10:47.640 --> 00:10:48.920]   darn it
[00:10:48.920 --> 00:10:54.760]   And this was probably you have to yeah, well i have to and i want to and this one's going to be expensive
[00:10:54.760 --> 00:10:58.280]   We think right over maybe did you see those videos that they found in the latest firmware?
[00:10:58.280 --> 00:11:02.840]   We had almost like webOS style card gestures. I was so excited. I don't know if they're gonna do them or not
[00:11:02.840 --> 00:11:07.320]   But that those videos were very appealing to me. Well, uh, let me see if i can find those
[00:11:07.320 --> 00:11:13.560]   Well, this was for ios 11 and iphone yeah, and it might it was those might have been there was were buried
[00:11:13.640 --> 00:11:19.320]   So there's they might have been experiments that they tried and decided not to go with or they might be something put that in the firmware
[00:11:19.320 --> 00:11:24.600]   I mean i normally yells leo but since that home pod leak nothing is beyond me anymore
[00:11:24.600 --> 00:11:29.800]   Yeah, well no i mean but the thing is you're not going to put something in the firmware that you're not gonna
[00:11:29.800 --> 00:11:32.840]   I mean that's just wasting space
[00:11:32.840 --> 00:11:36.600]   Yeah, or somebody like what they destroyed my idea and i want to get publicity on it
[00:11:36.600 --> 00:11:43.000]   So we're sticking those back into the back here here are the twitter videos from uh giyama rambo
[00:11:43.880 --> 00:11:45.880]   Um, so this is a gesture
[00:11:45.880 --> 00:11:52.520]   Right, so you're limited in the amount of gestures bevel gestures you can do you have basic sorry bezel gestures
[00:11:52.520 --> 00:11:57.320]   You have basically one for each side which they're already using all those so if they put something else at the bottom
[00:11:57.320 --> 00:12:03.240]   You have to move control center to the top and that's what that showed it showed control center added to notification center in the top gesture
[00:12:03.240 --> 00:12:08.440]   Let me play it again. So now that i understand so i pull down the screen i just scroll left
[00:12:09.080 --> 00:12:14.280]   For your widgets right for the uh widgets or the control center other and then they scroll up
[00:12:14.280 --> 00:12:18.600]   For settings which is kind of nice. Well, he was on settings already
[00:12:18.600 --> 00:12:22.360]   To go back. Let's look at the other video then. Okay, so
[00:12:22.360 --> 00:12:25.480]   I'll show you why they did that says this is also interesting so
[00:12:25.480 --> 00:12:30.600]   Um, he's now just to use to get just okay. Oh, whoa. Okay. I know
[00:12:30.600 --> 00:12:35.480]   Okay, let's get this straight. So he's looking at uh instagram or something
[00:12:35.480 --> 00:12:36.840]   uh
[00:12:36.840 --> 00:12:38.680]   he now
[00:12:38.680 --> 00:12:45.080]   Swipes up from the bottom with his thumb and he gets recents right i've loved that ever since webOS the app switcher
[00:12:45.080 --> 00:12:50.200]   And then on the okay, oh, this is interesting
[00:12:50.200 --> 00:12:54.680]   Well, okay that that would make sense if you're getting if you're getting rid of the home button
[00:12:54.680 --> 00:12:58.440]   Remember that's how you get to the launch of the app switcher is you double tap on the home launcher
[00:12:58.440 --> 00:13:00.120]   So perhaps that's a
[00:13:00.120 --> 00:13:03.240]   Perhaps that would support the idea that there's not going to be a clicky home button
[00:13:03.240 --> 00:13:07.640]   That's going to be completely virtual or just eliminated entirely and then there's a control center
[00:13:07.960 --> 00:13:10.120]   uh
[00:13:10.120 --> 00:13:11.480]   On the right
[00:13:11.480 --> 00:13:14.840]   Yeah, the car committee a mini doc mini and i get presuming you could swipe that
[00:13:14.840 --> 00:13:17.240]   Wait, is that no wait is that or is that just the
[00:13:17.240 --> 00:13:22.200]   Is that just the left edge of that card? I would guess that's the left edge of that car
[00:13:22.200 --> 00:13:26.760]   It's coming in so like it looks like it's being added to the stock at the end in case you want to quickly get to
[00:13:26.760 --> 00:13:32.680]   Right and maybe and you know, maybe you can swipe over there if they wanted more the top cut the okay
[00:13:32.680 --> 00:13:36.200]   Maybe i see i see cards populating in from the left as well
[00:13:36.200 --> 00:13:42.200]   Yeah, the left is the other i think the left is the standard ones right the left is your hierarchy of reasons. Yeah
[00:13:42.200 --> 00:13:48.920]   Okay, so um these have to be in there these solve the problem right that you you have of
[00:13:48.920 --> 00:13:52.520]   Uh, you don't have a home button anymore
[00:13:52.520 --> 00:13:59.400]   And they were certainly interesting although it's weird that look at the look at the as look at the aspect ratio of that screen
[00:13:59.400 --> 00:14:02.280]   There's room at the bottom there for a physical home button
[00:14:02.600 --> 00:14:08.040]   I would expect to have seen that on something where they've made the screen larger or done something to justify
[00:14:08.040 --> 00:14:12.760]   Here's why we got rid of that that's because giermo doesn't have the new iphone. He just has the software
[00:14:12.760 --> 00:14:15.640]   Oh, okay
[00:14:15.640 --> 00:14:18.360]   Giermo needs the new iphone to really make this sing
[00:14:18.360 --> 00:14:22.040]   Um, if you take away the home button you have more screen real estate
[00:14:22.040 --> 00:14:23.800]   That's the reason to take away the home button
[00:14:23.800 --> 00:14:30.280]   But i'm i'm a little worried because i still find myself in apps where the only thing i can find to do to get out of a
[00:14:30.440 --> 00:14:33.560]   Particular screen is go back home your escape hatch. Yeah
[00:14:33.560 --> 00:14:39.400]   What do we do if we don't have that if if the swipe up from the bottom is now simply the home button
[00:14:39.400 --> 00:14:41.560]   Essentially that does the same action
[00:14:41.560 --> 00:14:46.040]   That people get used to it. Uh, also it solves the problem that I was
[00:14:46.040 --> 00:14:51.480]   Struggling with was how do you deal with somebody who has who can't see the screen?
[00:14:51.480 --> 00:14:55.720]   Uh, how can that person then find it's it's very good to have a physical
[00:14:56.280 --> 00:15:00.760]   Clicky button or something with a physical bump on it so that you can orient it in your hand and find
[00:15:00.760 --> 00:15:03.560]   And find it in your hand correctly
[00:15:03.560 --> 00:15:07.240]   That might mitigate that by simply saying if you can't see if you can't get a good look at the phone
[00:15:07.240 --> 00:15:09.320]   You just know that swipe up from the bottom
[00:15:09.320 --> 00:15:15.400]   Although now you've run into the problem of how do I how do I make sure that i'm holding it correctly with the top side up
[00:15:15.400 --> 00:15:21.960]   In my hand just by feel so you know, this is a tough thing for these kinds of interfaces in microsoft
[00:15:22.440 --> 00:15:26.840]   Learned at their peril that having kind of these hidden gestures
[00:15:26.840 --> 00:15:31.400]   Really confuses people for with windows 8 and 8.1
[00:15:31.400 --> 00:15:36.440]   They hid a lot of stuff in corners and things and you were just supposed to somehow
[00:15:36.440 --> 00:15:41.000]   Do you veos as well? Do you remember that like you had to almost do incantations to bring up the hub and to do
[00:15:41.000 --> 00:15:45.400]   And that's the dangers that you only have a very small amount of gross gestures that are easily understandable
[00:15:45.400 --> 00:15:50.600]   Basically the the eight corners of the device and really only four if you want them to be super easy to use
[00:15:50.840 --> 00:15:55.720]   And after that you're drawing patterns on the screen and it feels almost like the new doc and multitasking
[00:15:55.720 --> 00:15:59.720]   I feel like i'm i'm dealing cards when i'm using it
[00:15:59.720 --> 00:16:03.080]   But when you see people use it for the first time is like how do I hold this to put it on the side?
[00:16:03.080 --> 00:16:04.600]   How do I hold it to overlay it?
[00:16:04.600 --> 00:16:08.920]   How do I set up the two apps this way and there's a much deeper learning curve for those kinds of gestures?
[00:16:08.920 --> 00:16:11.560]   I mean, it's just the way it is it's tough because you don't have
[00:16:11.560 --> 00:16:14.600]   A lot of affordances you have to make it work
[00:16:14.600 --> 00:16:20.760]   Google is apparently htc's done this with their htc u11 and google is apparently going to adopt it for a pixel
[00:16:20.760 --> 00:16:22.360]   A squeeze gesture
[00:16:22.360 --> 00:16:26.760]   Yeah, where you use you pop up up up up you squeeze the phone
[00:16:26.760 --> 00:16:30.040]   And I guess that's going to be the google assistant
[00:16:30.040 --> 00:16:35.800]   I I feel like there should there needs to be something like that if you're gonna take away the home button there needs to be some
[00:16:35.800 --> 00:16:39.960]   gesture that's always available and somewhat intuitive to
[00:16:39.960 --> 00:16:42.600]   That that does the home button doesn't there
[00:16:42.600 --> 00:16:49.160]   Is a big rumor that both apple and google and other manufacturers really want to get rid of every hardware button and every port if they can because they
[00:16:49.480 --> 00:16:55.400]   Consider those areas of hardware failure and the more they can virtualize the the more reliable all of their devices will be
[00:16:55.400 --> 00:17:00.760]   And google's apparently getting there faster with ironically no user ever has said that but
[00:17:00.760 --> 00:17:07.400]   Well, remember in china there was that story about how they would put on the virtual home button because they were paranoid about the real hold but breaking
[00:17:07.400 --> 00:17:12.040]   Well, google's always had or often had both
[00:17:12.040 --> 00:17:17.960]   On screen home button and the physical home button and some of their some phones like the same song
[00:17:18.600 --> 00:17:24.440]   Although rumor is it will find out tomorrow the note eight is going to be announced tomorrow that that also sam's i'm going to
[00:17:24.440 --> 00:17:29.320]   Eliminate its physical home button. I mean you have to if you want more screen real estate and everybody
[00:17:29.320 --> 00:17:36.440]   Everybody see I think this is something users can have converged on more screen real estate is something we all want. Yes
[00:17:36.440 --> 00:17:42.920]   Um, maybe it really depends on the user. I think that's still a premium phone sort of feature
[00:17:43.480 --> 00:17:47.400]   We're seeing a lot of really great things happening down the three hundred dollar to four hundred dollar space
[00:17:47.400 --> 00:17:54.280]   And those phones are selling really well even though they just simply have a very large screen that they and they also have a certain amount of bezel
[00:17:54.280 --> 00:17:58.280]   For now. I think that deleting bezel increasing screen size is
[00:17:58.280 --> 00:18:03.560]   Right now more of a fashion thing than a practical thing. It does have practical
[00:18:03.560 --> 00:18:08.040]   Impact and that again bigger screen without making a bigger phone
[00:18:08.600 --> 00:18:15.080]   But realize that every single company that makes a really big phone also makes a more moderate sized phone because
[00:18:15.080 --> 00:18:18.840]   People don't not everybody wants anything that's even that size
[00:18:18.840 --> 00:18:21.720]   So I think I think it remains to be seen whether or not this is
[00:18:21.720 --> 00:18:26.680]   How much this is fashion and how much this is the direction that people want to go with their phones? Yeah
[00:18:26.680 --> 00:18:30.280]   uh, so
[00:18:30.280 --> 00:18:35.320]   Will the apple event be held at the new apple park
[00:18:37.080 --> 00:18:40.360]   We've been talking about that. I want to go. I'd love it to be
[00:18:40.360 --> 00:18:45.320]   I don't know if they're ready for us yet. I'm trying to think well. There's new drone footage
[00:18:45.320 --> 00:18:49.160]   Oh, this came out after our show last week
[00:18:49.160 --> 00:18:51.720]   the latest 4k
[00:18:51.720 --> 00:18:55.560]   apple drone tour and let's see if we can see
[00:18:55.560 --> 00:19:01.080]   How much we think of the older drone footage and when it was barely assembled and now looking at it now
[00:19:01.080 --> 00:19:04.040]   It's almost done. I mean that the landscaping is almost done
[00:19:04.760 --> 00:19:10.200]   You can see how it really is beautiful. They call it apple park and it's starting to look more and more parked like that by the way
[00:19:10.200 --> 00:19:13.560]   Is the steve jobs theater? We're looking at in the distance
[00:19:13.560 --> 00:19:18.120]   And I think it's conceivable that this could be ready to go in a week or two
[00:19:18.120 --> 00:19:23.080]   That's the road leading to it the curvy road there right and while there's still stuff
[00:19:23.080 --> 00:19:30.280]   You know happening it. It looks it's drivable. It's not a big particularly if if the
[00:19:30.840 --> 00:19:35.960]   Invitation says you're we're going to reconnoiter at a ramaa in parking lot. Oh, I'd bust you in
[00:19:35.960 --> 00:19:39.400]   Yeah, San Jose and then bust you in there. Yeah bring your heart in
[00:19:39.400 --> 00:19:43.320]   But i'm not sure that even they want to deal with even that
[00:19:43.320 --> 00:19:47.560]   Something is going to have to be the first event at the app at the new apple campus
[00:19:47.560 --> 00:19:52.520]   It's going to happen eventually why i'm sure they wanted to do it for the 10th anniversary. I phone
[00:19:52.520 --> 00:19:53.640]   I mean what did you see?
[00:19:53.640 --> 00:19:59.960]   Well, but but but also is this the company that would want you to drive past a drive on a road that hasn't been
[00:20:00.280 --> 00:20:04.840]   That hasn't been landscape hasn't been finished that looks like it's still got some planting to do
[00:20:04.840 --> 00:20:12.360]   That still has you can see you can look across the campus and still see employees beating their heads against their deaths because they've missed their cubicles
[00:20:12.360 --> 00:20:14.440]   They don't like being in within view of everybody
[00:20:14.440 --> 00:20:18.440]   And I've also heard I don't know if this is reliable or if this this will change
[00:20:18.440 --> 00:20:24.120]   But I've heard that they're really not that that precious about the 10th anniversary thing that it's 10th anniversary great whatever
[00:20:24.120 --> 00:20:29.800]   Here's what's next. It's not one of those things. Well, then if that's the case then they definitely won't have it here
[00:20:29.880 --> 00:20:34.200]   Because this is not I mean as as close as they are. It's not three weeks, sir
[00:20:34.200 --> 00:20:37.640]   I will I will make one prediction. I think that whenever then
[00:20:37.640 --> 00:20:42.840]   Wherever the next event is and maybe it's not going to be on the apple campus. You're going to see
[00:20:42.840 --> 00:20:52.440]   Five to maybe eight journalists come up with really great pictures of the apple campus right seven days after that right?
[00:20:52.440 --> 00:20:54.520]   Why seven days?
[00:20:54.520 --> 00:20:57.400]   I'm just pulling a number out. I think that I think that somebody will visit
[00:20:57.960 --> 00:21:02.600]   I think I think that over the over the two or three days they know the people are going to be there
[00:21:02.600 --> 00:21:05.480]   They're going to extend invitations to certain very very select people
[00:21:05.480 --> 00:21:08.760]   They're going to give them each a personal tour and then
[00:21:08.760 --> 00:21:15.960]   Mashable on Wednesday after the after that event are going to have a photo spread and you know and conversations with whomever
[00:21:15.960 --> 00:21:18.760]   Was leading them on the tourist and I don't believe it's going to be a group thing
[00:21:18.760 --> 00:21:24.040]   But I would be surprised if apple didn't take advantage of that the world has changed in some interesting ways
[00:21:24.040 --> 00:21:27.000]   David pogue brought together the four journalists
[00:21:27.720 --> 00:21:33.880]   Four count them four who got the iphone in 2007 before anybody else did three of them were walt mossberg
[00:21:33.880 --> 00:21:39.000]   Yeah, walt mossberg david from the wall street journal david pogue from the new york times
[00:21:39.000 --> 00:21:47.800]   Ed beg of usa today and steven levi of newsweek of those four only one is still at his publication
[00:21:47.800 --> 00:21:49.880]   I think ed beg still at the usa today
[00:21:49.880 --> 00:21:57.480]   And I wouldn't say any of those four were any are likely to get a pre-release of uh of any iphone that comes out
[00:21:58.040 --> 00:22:02.680]   Although steven levi did get the first article about apple park in wired magazine
[00:22:02.680 --> 00:22:07.000]   Uh, did you see john yi refuting the tree story that was hilarious?
[00:22:07.000 --> 00:22:13.320]   No, so which tree story there was a story that john yi was just basically pillaging every tree in san francis
[00:22:13.320 --> 00:22:17.560]   There were no trees to be bad. Yeah, yeah, he was just he was like strip mining california trees
[00:22:17.560 --> 00:22:23.080]   And he said that's ridiculous. This has been meticulously planned for yas when does not simply acquire this many trees on the spur of the moment
[00:22:23.080 --> 00:22:27.800]   Something I decided two weeks ago. Oh, no, I need trees. I need tree and you know what that's completely right
[00:22:27.800 --> 00:22:33.800]   Those people flattering themselves to think that their city trees are up to apple standards
[00:22:33.800 --> 00:22:37.800]   I don't think so well, but I have to say looking at that video
[00:22:37.800 --> 00:22:42.120]   Those are the the plantings look very nice the trees particular look very mature
[00:22:42.120 --> 00:22:45.720]   And all you have to do is get whatever else is gonna still they're still in dirt
[00:22:45.720 --> 00:22:49.560]   Although I have to say those look like mostly what pines and redwoods, right?
[00:22:50.200 --> 00:22:54.760]   Um, you can't plant anything under a redwood the needles are so acidic that
[00:22:54.760 --> 00:22:58.920]   Everything dies. All you'll have is pine needles under there. I didn't know that yeah
[00:22:58.920 --> 00:23:03.800]   So if they do plant something under there, they're gonna be replanting it on a frequent basis
[00:23:03.800 --> 00:23:06.280]   Not that i'm putting apple
[00:23:06.280 --> 00:23:10.280]   Putting that they should have put an apple tree somebody said you're right mashed potato and charamises
[00:23:10.280 --> 00:23:14.120]   What about apple trees? Wasn't it an apricot orchard that steve jobs prunes?
[00:23:14.120 --> 00:23:16.760]   Yeah prune plum orchard. Yeah
[00:23:16.760 --> 00:23:19.960]   That whole area was mostly a prune trees
[00:23:19.960 --> 00:23:23.800]   And they would keep apple employees regular as well see it's double
[00:23:23.800 --> 00:23:27.240]   In fact the big mall near there is called the prune yard
[00:23:27.240 --> 00:23:35.160]   Wow, which is not on the face of it a very felicitous name for a mall and in fact they're not doing all that well, but uh, you know, that's
[00:23:35.160 --> 00:23:36.840]   historic it was
[00:23:36.840 --> 00:23:39.560]   It was what they're yeah, they know I guess they want they don't want fruit trees
