
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[00:04:02.600 --> 00:04:04.600]   We saw a and you probably saw this from a a
[00:04:04.600 --> 00:04:07.480]   picture of a glass plate
[00:04:07.480 --> 00:04:12.040]   That it was clearly in a fox con or some chinese plant for the
[00:04:12.040 --> 00:04:15.240]   W for the tenochia wide screen nokia windows phone
[00:04:15.240 --> 00:04:18.360]   And it said you know, I mean you can't how are you gonna stop that?
[00:04:18.360 --> 00:04:24.840]   My favorite last week is the supplier that they did a report on labor conditions at not fox con but I forget the name the other factory
[00:04:25.160 --> 00:04:30.440]   Yeah, and they were talking about apple assembling the low-cost plastic iPhone in the report three different places
[00:04:30.440 --> 00:04:35.560]   You can't help it when those labor guys come in there and uh, right
[00:04:35.560 --> 00:04:39.480]   Do they talk about specs or anything like that?
[00:04:39.480 --> 00:04:41.560]   No, but I mean some people said all is the three gs
[00:04:41.560 --> 00:04:47.560]   But the three gs was discontinued that you know he applied a coating to the back of the plastic phone apple soon to be delivered plastic phone is gonna
[00:04:47.560 --> 00:04:49.560]   Oh my god
[00:04:49.560 --> 00:04:52.760]   So if they're building it a pegatron
[00:04:54.840 --> 00:04:57.800]   That would mean what shipping september october
[00:04:57.800 --> 00:05:01.800]   Well, let's just make sure that's why they're not building it megatron. Then we really
[00:05:01.800 --> 00:05:06.520]   I want a transformer phone
[00:05:06.520 --> 00:05:10.680]   It's a really an algae name right the optimist and they got to have a megatron next
[00:05:10.680 --> 00:05:17.800]   Yes, so last week google had an event where they announced a new uh, seven inch, uh tablet the next is seven. They announced uh
[00:05:17.800 --> 00:05:20.120]   android 4.3
[00:05:20.120 --> 00:05:22.120]   They announced um
[00:05:22.360 --> 00:05:28.760]   Chromecast which goes straight app against apple tv not as capable yet, but potentially could be a threatening
[00:05:28.760 --> 00:05:33.800]   Uh this week uh motor roll is gonna have its event on thursday and he's going to that
[00:05:33.800 --> 00:05:40.680]   Uh, and we'll finally see the moto x phone. Although that's been leaked like crazy. I don't know actually I do know there's some stuff that has not been leaked
[00:05:40.680 --> 00:05:45.480]   Uh, some very interesting stuff that's not been leaked. So there will be some some root product reveal a little bit
[00:05:45.480 --> 00:05:51.160]   Um and I get just the feeling that it's one of those you ever see you ever go to the ufc
[00:05:51.800 --> 00:05:56.760]   ultimate fighting championship and you got one guy it's attacking attacking attacking the other guy's just kind of
[00:05:56.760 --> 00:06:01.960]   Backing up and not fighting and it's a silver. It's a silver
[00:06:01.960 --> 00:06:05.640]   It's a silver approach right and people hate silver because he wins
[00:06:05.640 --> 00:06:09.080]   Right because he just waits and waits and then he goes bump and the guy falls over
[00:06:09.080 --> 00:06:15.080]   Except last time except he didn't last time and I I I feel like that's what's happening right now
[00:06:15.080 --> 00:06:21.640]   If google and apple were in the ring together, right google's just going bam bam bam
[00:06:21.960 --> 00:06:23.960]   and apple's just you know
[00:06:23.960 --> 00:06:27.320]   Actually, I don't even see apple doing anything apple just like
[00:06:27.320 --> 00:06:30.760]   Yeah, but apple
[00:06:30.760 --> 00:06:37.000]   This is google's in the same position that apple was in like four years ago five years ago where apple didn't have a phone
[00:06:37.000 --> 00:06:41.560]   They didn't have a tablet. They didn't have a tv solution. They didn't have a really good video store
[00:06:41.560 --> 00:06:44.680]   At least they're they're starting to pick up but they it wasn't really there yet
[00:06:44.680 --> 00:06:51.560]   And so it's big news when google really releases a tv product that isn't you know, piece of junk and it's affordable and it's actually useful
[00:06:51.960 --> 00:06:57.240]   It's big news when they come out with a tablet that's better than the one they that's significantly better than the one they have before
[00:06:57.240 --> 00:07:01.480]   It's that's that's the problem with apples quote success right now that once you have
[00:07:01.480 --> 00:07:08.360]   There's a wonderful period of building and then you have the house you have the garage you have the yard landscape
[00:07:08.360 --> 00:07:12.120]   You have the pool you have the jacuzzi just want to live now exactly
[00:07:12.120 --> 00:07:17.800]   And it's like can't we just like you know keep keep the pool clean and maybe we'll put a trampoline in the backyard
[00:07:17.800 --> 00:07:20.280]   But do we have to now put in a rocket port?
[00:07:20.280 --> 00:07:26.600]   Is this gonna have to be like the Baxter building every time we we we create something new it has to totally change the building
[00:07:26.600 --> 00:07:31.960]   I do have to say though that in the tech industry keeping up with the jones is or in this case keeping up with the googles is
[00:07:31.960 --> 00:07:37.800]   Is kind of important right or not maybe not maybe for maybe just for us because we're tech journalists
[00:07:37.800 --> 00:07:41.240]   I don't say she will maw. I think that the interesting thing is I think that apple
[00:07:41.240 --> 00:07:43.240]   I mean I think there is a pressure to
[00:07:43.240 --> 00:07:48.120]   Continue to innovate, but I think that what's interesting about apples. They're not really trying to do what everyone else is doing
[00:07:48.120 --> 00:07:51.240]   They're not trying to copy anybody else. They're thinking about what they want to add to the next
[00:07:51.240 --> 00:07:54.440]   You know the next layer of whatever they're doing. It sounds like
[00:07:54.440 --> 00:07:58.680]   Is it a fingerprint is gonna be one of those things? I don't know if I believe that
[00:07:58.680 --> 00:08:03.000]   Hmm. We'll see we'll see I don't but you know, but but you're right Alex
[00:08:03.000 --> 00:08:05.640]   I mean now it's now that you have all these things here
[00:08:05.640 --> 00:08:09.080]   It's new you no longer have to build build infrastructure now
[00:08:09.080 --> 00:08:11.560]   You can do do things that take advantage of that infrastructure
[00:08:11.560 --> 00:08:18.120]   So now's the time for something like I work in the cloud because now you have a multitude of devices that can eat that can easily accept and
[00:08:18.120 --> 00:08:22.680]   Accept a I work display windows and editing windows. What can you do with that?
[00:08:22.680 --> 00:08:27.400]   What can you what can you do with apple tv as a presentation device not only and as a game device
[00:08:27.400 --> 00:08:31.320]   Not only as a way of the 11th way in your house to access Netflix
[00:08:31.320 --> 00:08:33.640]   Yeah, and I'm kind of
[00:08:33.640 --> 00:08:38.600]   Amaze that we haven't seen something especially with games where your iPhone is really a controller for your eye
[00:08:38.600 --> 00:08:42.520]   There's an apple tv for games. Yeah, you guys would play multi person for the apple tv
[00:08:42.520 --> 00:08:44.200]   No, but like the iPad though when I
[00:08:44.200 --> 00:08:48.760]   I think they don't let you do that on the app. I know I feel like I feel like there's the I
[00:08:48.760 --> 00:08:53.880]   And I'm you know, there's probably some big grand plan that I'm that you know that we don't know about but
[00:08:53.880 --> 00:08:58.520]   I'm kind of amazed that you have an iOS device sitting on all these uh TVs that they don't
[00:08:58.520 --> 00:09:01.080]   let you
[00:09:01.080 --> 00:09:02.840]   You know, just install apps
[00:09:02.840 --> 00:09:05.320]   I mean apps on your tv. I think would be pretty revolutionary
[00:09:05.320 --> 00:09:09.560]   You know, I mean and I think that um, I mean the tv manufacturers are trying to do that
[00:09:09.560 --> 00:09:11.640]   And they haven't been very successful because I don't even know how to do it
[00:09:11.640 --> 00:09:14.840]   I have every tv I have I think has apps and I don't know how to get to them
[00:09:14.840 --> 00:09:19.800]   Um, but I know how to get to my apple tv and if there were games on there, I could play angry birds with my kids
[00:09:19.800 --> 00:09:21.960]   I know using my using that would be
[00:09:21.960 --> 00:09:26.120]   I think that that's a game changer. You know, I don't think you need to build a tv to do that
[00:09:26.120 --> 00:09:27.160]   I think you have an app tv
[00:09:27.160 --> 00:09:30.920]   And uh programming world there too. They're they're kind of opposing philosophies
[00:09:31.400 --> 00:09:38.600]   Uh one of which is gaining a scintency which is build fast break it and fix it right build release fix build release fix
[00:09:38.600 --> 00:09:41.320]   And it's a iterative cycle and we've seen it now
[00:09:41.320 --> 00:09:45.800]   Uh produce some really amazing things on the web very very very very quickly
[00:09:45.800 --> 00:09:52.680]   Google's clearly adopted that philosophy whereas apple is more old school where build it perfect it but do it so in private
[00:09:52.680 --> 00:09:56.680]   And then release it the problem with that is you don't get real people hammering on it
[00:09:56.760 --> 00:09:59.800]   In the quantity that you'd like to see I think microsoft
[00:09:59.800 --> 00:10:02.600]   Felt prey to that and they have a very wide open beta
[00:10:02.600 --> 00:10:09.640]   But nevertheless windows 8 really showed a lack of insight into what its end users were looking for heads 8.1
[00:10:09.640 --> 00:10:11.960]   I feel like that what google has done
[00:10:11.960 --> 00:10:15.240]   Uh, you know google yeah google tv crap
[00:10:15.240 --> 00:10:21.640]   Not crap actually. I liked it, but not what people were looking for wasn't it just it just wasn't a it wasn't an evocative product
[00:10:21.640 --> 00:10:26.280]   The queue then follows it and is so bad and so overpriced. It's never even released
[00:10:27.160 --> 00:10:30.600]   And then crumb cast and it feels to me
[00:10:30.600 --> 00:10:37.240]   It's it's one of those guys who's in it's in the on deck circle. He's got massive forearms
[00:10:37.240 --> 00:10:42.840]   And he's scary looking right and he's it it looks like he could step to the plate and hit it out of the park
[00:10:42.840 --> 00:10:46.920]   And it's it's all potential right now because it's only netflix youtube google
[00:10:46.920 --> 00:10:52.520]   Uh stuff google play right and pretend eventually it's gonna be pandora vimeo apparently is on the way
[00:10:52.760 --> 00:10:59.640]   H us only and it's us on well us only you know what all tv products start that way just because of the crazy rights
[00:10:59.640 --> 00:11:01.480]   Oh my gosh, it's it's insane
[00:11:01.480 --> 00:11:08.120]   But google doesn't have to stay us only because google's doing something so different from the way apple tv is and remember when apple tv came out
[00:11:08.120 --> 00:11:10.120]   I said god. I wish they'd let us buy apps
[00:11:10.120 --> 00:11:14.280]   Right if it's ios make it ios and I said the same thing on google tv
[00:11:14.280 --> 00:11:17.640]   They kind of had app stores, but you had it was like you had to be designed for tv
[00:11:17.640 --> 00:11:25.000]   So it was very limited this now any app that's playing on ios or android can be chromecast enabled the stk and api are open
[00:11:25.000 --> 00:11:30.120]   Easily adopted our own hudini seven is working right now in the twit tv app
[00:11:30.120 --> 00:11:35.480]   Actually, i'd love to get feedback from you kraig when you when you get a chance how hard this is it doesn't look hard
[00:11:35.480 --> 00:11:37.320]   if suddenly
[00:11:37.320 --> 00:11:41.400]   All of your apps on ios and android and on on chrome all the extensions
[00:11:41.400 --> 00:11:45.400]   Work with the chromecast the universe of potential is huge
[00:11:45.800 --> 00:11:50.360]   Yeah, that's that's the that's the really scary thing from the point of view of anybody who's you know
[00:11:50.360 --> 00:11:56.040]   Whose career is invested in apple tv that this is a device that costs 35 stinking dollars
[00:11:56.040 --> 00:11:57.160]   $3
[00:11:57.160 --> 00:12:03.720]   $5 for the cost of one apple tv you can conceivably have every tv in your house setup for chromecast
[00:12:03.720 --> 00:12:10.280]   And you when you're buying it you're buying it with the with the knowledge that it's not going to be a huge deal for hd
[00:12:10.280 --> 00:12:14.440]   HBO go to be delivered to this device. They don't have to make a deal with apple
[00:12:14.440 --> 00:12:17.400]   They don't for make a deal with roku that the the owners of
[00:12:17.400 --> 00:12:20.200]   Chromecast don't have to push out a system update
[00:12:20.200 --> 00:12:26.680]   It's just that hbo has to make the decision that they want this to happen on their on their mobile app and it happens
[00:12:26.680 --> 00:12:32.120]   the matter of fact the and so essentially that means that this could this device could come up to speed
[00:12:32.120 --> 00:12:38.200]   Way way faster than the apple tv took look how long it took for for apple tv to get hbo
[00:12:38.200 --> 00:12:40.840]   Which is one of the seminal apps for streaming video?
[00:12:41.240 --> 00:12:47.160]   It looks like the only real limitation that this device has is does hbo have certain deals
[00:12:47.160 --> 00:12:55.080]   Is this an intimate enough tv device that hbo's deals with with it's with the cable companies would kind of screw up
[00:12:55.080 --> 00:12:59.320]   They're they're supporting it and right now it looks like that's not the case
[00:12:59.320 --> 00:13:05.000]   But I have been told by by attorneys that you never know how deep it is a lot a lot of times
[00:13:05.000 --> 00:13:07.240]   It's it's a lot like a mob city turf
[00:13:07.480 --> 00:13:12.520]   It's not so much what will fly what won't fly but you have to make sure that you're not going to offend
[00:13:12.520 --> 00:13:18.760]   One of your friendly business partners by supporting something before that they've communicated that yes, don't find go ahead support this device
[00:13:18.760 --> 00:13:23.560]   We work we don't care. Yeah, because they did that with google tv there hulu who lulu blocked it almost
[00:13:23.560 --> 00:13:29.320]   Yeah, and this I mean right now it looks like it's hard because you can just broadcast anything from chrome to the chrome tv
[00:13:29.320 --> 00:13:35.000]   But you know these and he is saying an idyllic future that I wish we all lived in but the content providers have shown over and over again
[00:13:35.000 --> 00:13:40.040]   They're so changed adverse so fearful and so controlling that you know hbo made this aside
[00:13:40.040 --> 00:13:44.040]   We don't want to be on google tv. We've got to talk here's what's happening. No, no, no with this
[00:13:44.040 --> 00:13:48.120]   Finders want to do this
[00:13:48.120 --> 00:13:53.480]   But they can't because they need the money from the cable companies and they know they get cut off
[00:13:53.480 --> 00:13:58.120]   But what what google's doing is saying okay, no problem. We'll wait
[00:13:58.120 --> 00:14:00.840]   We're just going to give you a great platform
[00:14:00.840 --> 00:14:04.280]   And when you feel like the time has come that you could flip that switch and say okay
[00:14:04.280 --> 00:14:07.160]   Screw you cable companies because we never did like you because they don't
[00:14:07.160 --> 00:14:11.400]   HBO would love to sell direct. Yeah now they can I mean just do the cable
[00:14:11.400 --> 00:14:18.200]   I just have I just have to correct something the the problem that the cable that hbo and that what hulu and the other companies had with google tv
[00:14:18.200 --> 00:14:22.760]   Was that the way that box was designed google could get was aware of what?
[00:14:22.760 --> 00:14:28.600]   Programming people were using and they did not want to share that kind of audience information and ad revenue with with google
[00:14:28.920 --> 00:14:33.400]   This is a device where the controlling app is still the app on that mobile device
[00:14:33.400 --> 00:14:38.600]   So you can theory that exactly every all that that android won't have any particular
[00:14:38.600 --> 00:14:42.200]   if if if if hulu had no problem with
[00:14:42.200 --> 00:14:43.800]   google
[00:14:43.800 --> 00:14:47.000]   Knowing quote-unquote what people are doing with the hulu plus app
[00:14:47.000 --> 00:14:51.160]   Then that's clearly a problem that they already solved because they released that app for android
[00:14:51.160 --> 00:14:56.600]   So I don't think that's a that's a block that any kind of a block similar to what happened with with google tv
[00:14:56.760 --> 00:15:00.920]   Google acknowledges this they've put in drm and in android 4.3
[00:15:00.920 --> 00:15:03.240]   Specifically to make companies like netflix
[00:15:03.240 --> 00:15:09.320]   And I think that the crumpcast has drm built this because you could we were trying to hook it to a recorder yesterday. Oh interesting
[00:15:09.320 --> 00:15:12.280]   Oh, you are bad
[00:15:12.280 --> 00:15:13.960]   Evil man
[00:15:13.960 --> 00:15:18.360]   It was the natural thing to do like hey, I've got a little thing I can just plug in and and no
[00:15:18.360 --> 00:15:22.280]   It's just a matter of time and I think google's playing the long game on this is clear
[00:15:22.280 --> 00:15:25.960]   They are a lot with google tv and then q and then this it's iterative
[00:15:26.200 --> 00:15:29.960]   Thing with an x-7 the first x-7 was very interesting because it was 200 bucks
[00:15:29.960 --> 00:15:32.920]   But it didn't compete with an a ipad mini
[00:15:32.920 --> 00:15:39.160]   This not only competes it kicks the case ipad minis, but and by the way guys you are the ones who are told me you can't do a retina display
[00:15:39.160 --> 00:15:44.360]   At that at a reasonable price you can't you can't have enough battery life
[00:15:44.360 --> 00:15:47.080]   323 dots per inch
[00:15:47.080 --> 00:15:50.680]   $229 10 hours battery life. What are they giving up?
[00:15:50.680 --> 00:15:56.840]   No, it's different though because that has three quarters of the pixels of a retina ipad mini and it gets nine tenths of the battery life
[00:15:56.840 --> 00:16:01.080]   So i'm not saying it's impossible, but it's a different mathematical equation if you add 25 percent
[00:16:01.080 --> 00:16:05.640]   More pixels to that and you have to light them and you have to get battery life. It's okay
[00:16:05.640 --> 00:16:09.400]   So it's the form it's a four three form factor that's that's holding apple back
[00:16:09.400 --> 00:16:15.720]   It's a it's a smaller resolution. It's an s a 1080p tablet the apple tablet would be 2048 by 1356
[00:16:15.720 --> 00:16:18.840]   Which is way more than I mean if you do the math, it's it's almost
[00:16:19.560 --> 00:16:23.320]   Sorry, I'm sorry. I was I was gonna I was gonna back you up there that
[00:16:23.320 --> 00:16:27.720]   Whereas android has the ability to essentially make whatever screen dimensions
[00:16:27.720 --> 00:16:33.480]   They want because the apps that are gonna be cast into that will simply reflow to fit whatever container it's in apple
[00:16:33.480 --> 00:16:38.840]   For now really is locked into it has to be an ipad dimension screen. It has to be almost exactly like
[00:16:38.840 --> 00:16:43.480]   uh like uh, whatever the pixel dimensions are on every other ipad that's out there and that's what
[00:16:43.480 --> 00:16:48.760]   Prevents them through from cutting any corners that way rest by the way. That's of course
[00:16:49.400 --> 00:16:50.520]   All true
[00:16:50.520 --> 00:16:56.600]   But a consumer going into the market is not sinking. Well, you know, this would be a retina display if only it would four point three
[00:16:56.600 --> 00:17:01.880]   They're going wow that looks freaking amazing. It's what no you're at a 20 bucks. Oh my god
[00:17:01.880 --> 00:17:07.800]   I I mean this thing but I don't know I mean and I and I think this is particularly that the this mini tablet is
[00:17:07.800 --> 00:17:15.240]   Attacks a particular vulnerability because you really there android still can't do anything to compete with a full-sized ipad
[00:17:15.640 --> 00:17:19.400]   To me and this is this is my opinion people can disagree with it, but I'm very very confident about this
[00:17:19.400 --> 00:17:26.760]   Both the ipad mini and the nexus seven have a sub perfect answer to the question of how do you create tablet apps for a smaller screen
[00:17:26.760 --> 00:17:33.320]   Because as we all know there are very few very few tablet optimum nexus seven optimized apps out there
[00:17:33.320 --> 00:17:39.640]   The good news is that this method of reflowing a mobile app so that it fits those dimensions actually works well
[00:17:39.640 --> 00:17:43.320]   There are very very few true failures where it's just seems like a scaled up phone app
[00:17:43.320 --> 00:17:45.880]   But it's still not really taking advantage of that to
[00:17:45.880 --> 00:17:51.480]   If you're using an ipad mini you're getting the full library of ipad apps
[00:17:51.480 --> 00:17:54.120]   But I don't believe that that's an optimal experience
[00:17:54.120 --> 00:17:58.760]   I I do believe this really was designed for a 9.7 inch screen and when you scale it down
[00:17:58.760 --> 00:18:04.280]   One of the reasons why I don't really use my ipad mini on a day-to-day basis is that time and time again
[00:18:04.280 --> 00:18:09.080]   I'll get to that point where okay, let's search for this. Ah damn it and my soul just breaks a little bit
[00:18:09.080 --> 00:18:16.120]   Because I know that I'm going to have to now spend the next 13 seconds of my life trying to figure out how to tap that little circle with an x in it
[00:18:16.120 --> 00:18:19.080]   That I can hit every single time on the full size tablet
[00:18:19.080 --> 00:18:23.880]   But on the on the small size tablet when you scale it all the way down is just like trying to shoot out
[00:18:23.880 --> 00:18:25.960]   Like the the star in the middle of the paper
[00:18:25.960 --> 00:18:29.640]   At a circus midway you never get the you never get it perfect
[00:18:29.640 --> 00:18:33.640]   You never win the doll and always takes me 11 tries before I get it correctly
[00:18:33.640 --> 00:18:37.320]   So two sub optimal experiences if you put two of them side by side
[00:18:37.720 --> 00:18:41.000]   Particularly when you look at the non retinist green versus a retina screen
[00:18:41.000 --> 00:18:48.360]   100 bucks less the apps look bigger and they look a little bit a little bit easier to read and the less cluttered
[00:18:48.360 --> 00:18:56.120]   This that's that's the only point in which the weak quote weakness unquote of of an ipad interface starts to make you lean a little bit towards
[00:18:56.120 --> 00:18:57.960]   To the next seven I think a lot of people will anyway
[00:18:57.960 --> 00:19:02.120]   You know the nicest things about the seven is that the new one gets rid of tv dpi
[00:19:02.120 --> 00:19:06.760]   Which was the resolution the target resolution for developers on the original nexus seven
[00:19:06.760 --> 00:19:13.080]   Which was so bad even google told them not to use it and to use fragments instead where this now has a proper screen resolution
[00:19:13.080 --> 00:19:17.800]   So developers if they want to uh, yeah, sure they can reflow, but they can also target and a lot of developers
[00:19:17.800 --> 00:19:22.520]   Especially like the pocket like the pocket casts and the the ones who really care about their apps
[00:19:22.520 --> 00:19:27.560]   They want to make those specific interfaces and now they can I think that's going to greatly increase the quality of the software for the device
[00:19:27.560 --> 00:19:28.760]   You know
[00:19:28.760 --> 00:19:31.480]   Made an unusual choice with scaling
[00:19:32.120 --> 00:19:36.360]   You make this you make that excellent point because a lot of people say oh you're problem with andro
[00:19:36.360 --> 00:19:38.440]   There's no tablet apps
[00:19:38.440 --> 00:19:45.080]   Is a very ios centric way of thinking of things because as you said andy app scale beautifully on and right and it doesn't become an issue
[00:19:45.080 --> 00:19:46.920]   Yeah, I mean there
[00:19:46.920 --> 00:19:48.680]   Right. I mean there because it's not designed
[00:19:48.680 --> 00:19:50.280]   It's not that they make the text bigger
[00:19:50.280 --> 00:19:54.520]   It means that the container that the text is meant to go in gets bigger and it and the text reflow
[00:19:54.520 --> 00:19:58.920]   So because most apps are designed to let you set whatever the most comfortable text size is
[00:19:59.320 --> 00:20:03.320]   There it's I don't think it's as big as an issue as people think and also I came
[00:20:03.320 --> 00:20:08.040]   I I kind of encountered this just the other day it arrived like first thing thursday morning
[00:20:08.040 --> 00:20:10.120]   I was going out to dinner like later on that night
[00:20:10.120 --> 00:20:15.480]   And I was shocked to find out because I oh this is actually not only does this fit in my back pocket
[00:20:15.480 --> 00:20:20.840]   It actually fits in my shirt pocket. I mean not completely but I could close it. Yeah, I can carry it
[00:20:20.840 --> 00:20:23.240]   I can actually hold the carry it in my shirt pocket
[00:20:23.240 --> 00:20:25.880]   So I don't feel feel like i'm gonna break it when I sit down on top of it
[00:20:25.960 --> 00:20:33.960]   The iPad mini is just big enough that I almost still usually have to have a special case for it
[00:20:33.960 --> 00:20:39.800]   I do wear these these special like 5-1-1 tactical pants that have pockets
[00:20:39.800 --> 00:20:41.320]   They're they're so big that I do
[00:20:41.320 --> 00:20:41.720]   I do
[00:20:41.720 --> 00:20:47.000]   Yeah, I know I have one one of these before they before they modify the design slightly
[00:20:47.000 --> 00:20:53.400]   There's one pair in the collection that I can actually just barely get a full-sized iPad into but those don't count
[00:20:54.040 --> 00:20:55.560]   And when you when you
[00:20:55.560 --> 00:21:00.920]   When you show people that this is small enough that you will you will be able to simply carry this and whatever piece of clothing
[00:21:00.920 --> 00:21:02.520]   Whatever jacket pocket you have
[00:21:02.520 --> 00:21:07.560]   You're not gonna have to come in with your winter wardrobe to make sure that this is gonna fit in your inside jacket pocket
[00:21:07.560 --> 00:21:13.480]   There are a lot of really there are a lot of interesting things that make that I really think that the make the nexus 7
[00:21:13.480 --> 00:21:18.440]   Exactly as good as the iPad mini for different reasons, of course
[00:21:18.440 --> 00:21:22.600]   But I think that you can't really say that one is better than the other
[00:21:23.160 --> 00:21:28.440]   Well, it's we still have the original nexus 7 and I stopped using it just because they didn't have landscape support at launch
[00:21:28.440 --> 00:21:32.600]   And they didn't have lt and I use my iPad as the world's biggest
[00:21:32.600 --> 00:21:37.640]   My fi all the time and they solve both those problems because it looks like it, you know, this they even put the logo
[00:21:37.640 --> 00:21:43.240]   Horizontally now for landscape and it's not a cellular. It's like them saying. Yeah, it really you really do want this
[00:21:43.240 --> 00:21:45.640]   You know they rotated the logo
[00:21:45.640 --> 00:21:47.000]   So this isn't a google show
[00:21:47.000 --> 00:21:52.600]   But but the point being that apple is I think a little bit on the ropes and I think when you see this new moto x phone
[00:21:53.400 --> 00:21:58.840]   Do people are saying many of the same thing? There's a lot of pressure. I think also I think a lot of people would say on the ropes
[00:21:58.840 --> 00:22:00.600]   No
[00:22:00.600 --> 00:22:04.280]   I would say that now they rest just a couple of years ago
[00:22:04.280 --> 00:22:08.040]   Even just a couple of years ago. I would have to say for instance about the iPhone that well
[00:22:08.040 --> 00:22:12.040]   This is the best phone you can buy if for whatever reason. This is not the right phone for you
[00:22:12.040 --> 00:22:13.880]   Here are some alternatives
[00:22:13.880 --> 00:22:18.040]   Now in category after category after category, they don't really walk away with the win
[00:22:18.840 --> 00:22:23.720]   It's it's like larry bird in the last six six years of his career
