;FFMETADATA1
title=Treat It Like a Buritto
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=674
genre=Podcast
comment=http://twit.tv/mbw
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.280]   Hi, I'm Renee Ritchie.
[00:12:36.880 --> 00:12:41.040]   where somebody who's working with Apple in the hacker community can say, hey, I just figured out
[00:12:41.040 --> 00:12:46.960]   a way to stop that from happening. So we're good. So I think that's what what's being done now is
[00:12:46.960 --> 00:12:52.960]   what we can do. The balance would be all the people that are trying to break into Apple products.
[00:12:52.960 --> 00:12:57.520]   If there's equally enough people who are trying to find those breaks and tell Apple about it,
[00:12:57.520 --> 00:13:03.360]   that's the best balance that we can get. Well, this is this demonstrates that this is an industry
[00:13:03.360 --> 00:13:10.400]   with a very complex market. He wouldn't be I'm sure that if his if his goal were to simply
[00:13:10.400 --> 00:13:16.000]   spread chaos and help people to break into random phones, he wouldn't have announced this. He wouldn't
[00:13:16.000 --> 00:13:22.160]   would have made this really, really public. I think what he this was a a a way to tell everybody how
[00:13:22.160 --> 00:13:28.400]   cool how smart he is. That was a very clever hack. But also to tell yeah, but also to tell that
[00:13:28.400 --> 00:13:35.200]   all the world security agencies that if you want to if you approach me and give me $5,000 per unit,
[00:13:35.200 --> 00:13:40.000]   and I will sell you these cables, because when I see when as soon as I saw this, assuming that
[00:13:40.000 --> 00:13:45.760]   it really does look like a completely undocked lightning cable and all the pictures that I've seen
[00:13:45.760 --> 00:13:50.480]   have been just like stock images of like Apple cables. So I don't know that for sure. But that's
[00:13:50.480 --> 00:13:55.520]   how they described it that's that it could pass for a normal camel. I don't see it as someone
[00:13:55.520 --> 00:13:59.360]   trying to get after me or trying to get after a random person for their credit card information.
[00:13:59.360 --> 00:14:05.920]   I see it as a spy agency or a law enforcement agency getting a warrant breaking into somebody's
[00:14:05.920 --> 00:14:11.120]   office and just simply like dropping what replacing one of their cables, this person's cables with
[00:14:11.120 --> 00:14:17.440]   this special cable or as has been happening with like flash drives loaded with malware just hey,
[00:14:17.440 --> 00:14:21.600]   what do you know some idiot left their iPhone charger and cable like
[00:14:21.600 --> 00:14:25.040]   plugged in right here in the waiting room of CIA headquarters.
[00:14:25.040 --> 00:14:30.080]   Shink, that's going to be that's now it's my cable. So that's the sort of people who are going
[00:14:30.080 --> 00:14:34.640]   to be buying this. I think this is really advertising to sell this to again the espionage community,
[00:14:34.640 --> 00:14:39.040]   the law enforcement community. I don't I hope we don't see this in the wild because that would
[00:14:39.040 --> 00:14:44.080]   be a hell of a thing for someone to try to sneak a lightning cable into my bag and make sure that
[00:14:44.080 --> 00:14:50.320]   I use it. And then also be less than 300 feet away from you when you were trying to use it. I think
[00:14:50.320 --> 00:14:55.840]   I remember that was the other restriction. Yeah, so but it's Tom Riddle's diary, Lori,
[00:14:55.840 --> 00:15:02.800]   it's Tom Riddle's diary. It's still even though it's the we hear a lot about especially every
[00:15:02.800 --> 00:15:08.800]   year when they have the the white hacker event. We hear a lot of these these the people they come
[00:15:08.800 --> 00:15:12.480]   out and they say this is what I've done. This is what I can do. Here's the thing. I think there's
[00:15:12.480 --> 00:15:17.920]   another one that came out that you can spoof face ID by using a pair of glasses with just some tape
[00:15:17.920 --> 00:15:27.120]   on it. These are these are a big deal. So it's our responsibility as journalists because that's
[00:15:27.120 --> 00:15:32.800]   always the headline and say, Oh, someone's finally broken face ID says, okay, a you have to prepare
[00:15:32.800 --> 00:15:38.400]   a special pair of glasses. B you have to you have to put them on a person who is asleep,
[00:15:38.400 --> 00:15:43.280]   deep asleep and unconscious. And so it's not as though someone's going to be able to put on the
[00:15:43.280 --> 00:15:49.920]   magic glasses that gives them a godlike powered unlock iPhones. But yeah, it's I love what I love
[00:15:49.920 --> 00:15:55.600]   about the week after these conferences is again, how clever everybody is to just keep trying things
[00:15:55.600 --> 00:16:02.160]   because I think I really do think that one of the shared like geek youth culture experiences is
[00:16:02.160 --> 00:16:07.840]   the time you learn to like pick your first lock or the time you first learned how to pop open like
[00:16:07.840 --> 00:16:16.080]   a master high school lock. And that it leaves you with this wonderful mind expanding concept
[00:16:16.080 --> 00:16:22.560]   from like your teenage years onward that all locks are a lie. There is any lock can be any
[00:16:22.560 --> 00:16:27.120]   security can be defeated. It just depends on finding thinking of a way that the people who
[00:16:27.120 --> 00:16:33.200]   designed this either didn't think of or didn't think that you would bother to try. So that's so
[00:16:33.920 --> 00:16:37.840]   that just shows you the ingenuity that's at work here. Exactly.
[00:16:37.840 --> 00:16:41.200]   It's funny because a couple of years ago. So go ahead, Laurie.
[00:16:41.200 --> 00:16:50.240]   The hackers are absolutely incredible and talented and geniuses to come up with these ideas. And it's
[00:16:50.240 --> 00:16:58.400]   really such a fun culture to the whole point is to just see what you can do, see how you can break it.
[00:16:58.400 --> 00:17:04.480]   And I almost think it does them a disservice the white hat hackers especially a disservice
[00:17:04.480 --> 00:17:09.280]   when we report on it as it's some kind of scary thing because it's actually really fun and really
[00:17:09.280 --> 00:17:14.720]   funny that they've been able to figure out something like that. And just the fact that it exists in
[00:17:14.720 --> 00:17:19.840]   the world also means that companies like Apple in the case of Face ID, maybe they're going to work
[00:17:19.840 --> 00:17:25.360]   a little harder to make sure that the attention awareness is actually more specific to your
[00:17:26.400 --> 00:17:31.360]   the three deeness of your pupils even when you're wearing glasses or something like that. So it's
[00:17:31.360 --> 00:17:38.080]   all a lot of fun and most of the time not scary. The funniest time is not when like tech crunch
[00:17:38.080 --> 00:17:43.760]   or Forbes does a deep dive or motherboard does a deep dive after the presentation. It's when
[00:17:43.760 --> 00:17:49.200]   when some journalists at faster moving sites get the abstracts for the talk a week or two weeks
[00:17:49.200 --> 00:17:53.200]   before they come out and then just write all these scary articles based off nothing but the
[00:17:53.200 --> 00:17:58.160]   one-line blur a bit black at before the talk comes. But for this one, I think it's really
[00:17:58.160 --> 00:18:02.640]   valid point Laurie because some of these things are presented as scary but like a person being
[00:18:02.640 --> 00:18:09.200]   unconscious, you're least to your concern to someone with Face ID. I remember like was it a year ago
[00:18:09.200 --> 00:18:12.880]   where a woman waited for her husband to fall asleep on a flight then put his finger on his
[00:18:12.880 --> 00:18:18.000]   touch ID opened his phone saw the sneaky sneaker text that he was looking at and got so angry
[00:18:18.000 --> 00:18:22.400]   they had to land the flight and she's not a security researcher. She's just smart and she knew the
[00:18:22.400 --> 00:18:27.280]   information she wanted and she knew how to get it. And that we've seen Face ID exploits where people
[00:18:27.280 --> 00:18:32.000]   have put white tape on their eyes and things to get around it. So biometrics again, they're
[00:18:32.000 --> 00:18:38.800]   better, they're not passwords, they're usernames and if you use them and you're rendered unconscious
[00:18:38.800 --> 00:18:43.120]   or incapacitated there's all sorts of things that can happen. So I think it's just like you said
[00:18:43.120 --> 00:18:47.920]   a really good reminder of how far what the limits are to the convenience that you're getting from
[00:18:47.920 --> 00:18:53.200]   yeah. So our mech break tip of the week is that if you're fooling around on your wife or girlfriend
[00:18:53.200 --> 00:18:59.360]   make sure you just press that power button five times before you go to sleep just to deactivate
[00:18:59.360 --> 00:19:05.520]   all biometrics. Yeah, I've been saying this for a while now. I think we should have the option for
[00:19:05.520 --> 00:19:10.720]   passcodes and biometrics and not one or the other. I think that would be the best thing to it.
[00:19:10.720 --> 00:19:15.600]   So Craig mentioned that at the last WWDC because a lot of people have asked for that and he said that
[00:19:15.600 --> 00:19:21.520]   the only problem is when they test it, if it's like a thumbprint and a passcode and you burn your thumb
[00:19:21.520 --> 00:19:26.000]   you count, you can't get it into your phone anymore. So then you have to have like a longer
[00:19:26.000 --> 00:19:30.240]   recovery password hidden somewhere and most people forget what those are and lock themselves out of
[00:19:30.240 --> 00:19:36.480]   their phones. Yeah, but again, if it were an option, if it were a third option, passcode or face
[00:19:36.480 --> 00:19:41.760]   or touch ID and your third option if you're the kind of person who cheats on your spouse and you
[00:19:41.760 --> 00:19:46.320]   really want to protect your private stuff, the third option being that you can go ahead and
[00:19:46.320 --> 00:19:51.120]   enable that. I think that's, I don't know, I just like that idea. It gives us an extra step
[00:19:51.120 --> 00:19:57.840]   of protection. Yeah, yeah, real long. All right, so the last bit of news that it's not really
[00:19:57.840 --> 00:20:04.320]   tied to this, but I am going to tie to this is a story came out about Apple and third party repairs
[00:20:04.320 --> 00:20:10.800]   and this story involves, we've heard previously about how difficult it is to pair touch ID sensors
[00:20:10.800 --> 00:20:15.600]   or face ID sensors. If you swap out some of the other components, now what was discovered,
[00:20:15.600 --> 00:20:19.120]   it was originally on a YouTube channel by Justin and I fix it has picked up the story,
[00:20:19.120 --> 00:20:24.640]   is that Apple is doing the pairing with batteries. They've had the capability for a long time.
[00:20:24.640 --> 00:20:29.600]   It's been on Apple's website since at least March that they would be doing this, but now people
[00:20:29.600 --> 00:20:34.640]   are seeing it in the wild and what it basically means, it was misreported a little bit and that
[00:20:34.640 --> 00:20:38.000]   Apple was locking out third party batteries and that caused a lot of people to panic,
[00:20:38.000 --> 00:20:42.320]   especially people in countries that just don't have Apple stores or authorized Apple's repair
[00:20:42.320 --> 00:20:46.240]   people. They're not locking out the batteries, you can still replace a battery, anybody can still
[00:20:46.240 --> 00:20:51.200]   replace a battery. The only thing is if you replace a battery and you're not authorized by Apple,
[00:20:51.200 --> 00:20:58.480]   which means you don't have Apple's tools, you can't repair that battery with the iOS software,
[00:20:58.480 --> 00:21:03.120]   which means those new battery monitoring features that were introduced a couple of years ago that
[00:21:03.120 --> 00:21:08.240]   show you your battery health no longer functions. Instead, they give you this warning that says that
[00:21:08.240 --> 00:21:12.560]   this battery was not replaced by Apple and this feature was no longer than it will work.
[00:21:12.560 --> 00:21:17.200]   And we've seen a lot of reactions from this. Some people in the right to repair movement
[00:21:17.200 --> 00:21:22.080]   have been just completely flabbergasted, they're enraged by it, they see it as yet another encroached
[00:21:22.080 --> 00:21:26.960]   by Apple onto the freedoms an individual has to control their phone. Other people have pointed
[00:21:26.960 --> 00:21:33.280]   out that if you're just buying a phone, for example, it's nice to know that it doesn't have an Apple
[00:21:33.280 --> 00:21:37.760]   replaced battery. I think Lori Gill, I'll pass it to you first because you had an awesome idea for
[00:21:37.760 --> 00:21:41.280]   a pop-up instead of just turning it off. But what are your quick thoughts on this?
[00:21:41.280 --> 00:21:47.520]   Yeah, so just right out of the gate, I think in this particular circumstance,
[00:21:47.520 --> 00:21:53.680]   I don't think that Apple is doing its users, its customers, a service to,
[00:21:55.280 --> 00:22:00.960]   it's not locking down the battery, it's locking down that specific feature of the battery health
[00:22:00.960 --> 00:22:07.760]   by saying just, no, there's nothing there except we can't determine whether or not this has a
[00:22:07.760 --> 00:22:12.400]   good or bad battery health because it's not an, yeah, it's not a, yeah. And that's all it says.
[00:22:12.400 --> 00:22:18.480]   So to me, that's a disservice to the user because if I choose to, which they are now, you know,
[00:22:18.480 --> 00:22:23.600]   they're easing up on that third-party battery situation or third-party repair situation,
[00:22:23.600 --> 00:22:32.480]   not battery, allowing Apple support to change batteries that were originally replaced or
[00:22:32.480 --> 00:22:36.800]   repaired by a third-party. So they're moving in the right direction, but then to see this,
[00:22:36.800 --> 00:22:43.120]   it's sort of a backtrack because they're saying it's fine if you have a third-party repair,
[00:22:43.120 --> 00:22:48.000]   your battery, but we're going to remove this useful feature, which is to give you the battery
[00:22:48.000 --> 00:22:54.720]   health information. Now, I think Renee, you had suggested, I think that what would be a benefit
[00:22:54.720 --> 00:23:01.520]   or would work better is for Apple to give you that notification, kind of like when you plug in a
[00:23:01.520 --> 00:23:08.880]   device that's not in Fi compatible, so it'll say, we're sorry, this device is not compatible with
[00:23:08.880 --> 00:23:13.920]   the iPhone and you just swipe it away and a lot of times it still works, even though you get
[00:23:13.920 --> 00:23:19.600]   that notification. So a pop-up that says, we can't determine whether or not the battery of this
[00:23:19.600 --> 00:23:24.320]   health is actually what it is. So this is actually just an estimate, don't use it,
[00:23:24.320 --> 00:23:29.040]   but then you swipe it away and you're choosing whether or not you want to base
[00:23:29.040 --> 00:23:33.840]   that information on what you think is to be correct or not. I think that's fair,
[00:23:33.840 --> 00:23:38.320]   that's telling you that you've got a third-party repair or battery in your phone and therefore
[00:23:38.320 --> 00:23:43.280]   Apple's not responsible for it if something goes wrong, but it still allows the user to use that
[00:23:43.280 --> 00:23:48.640]   health, that battery health feature. It doesn't just completely disable that feature for them just
[00:23:48.640 --> 00:23:53.360]   because it was done, the repair was done somewhere else, even with an official battery.
[00:23:53.360 --> 00:23:59.360]   That also kind of gives me a little tingle in the back of my neck as it can be an official
[00:23:59.360 --> 00:24:05.600]   Apple battery, but if it's repaired at a third-party repair company, then you're now,
[00:24:05.600 --> 00:24:09.440]   it seems like a punishment, it feels like a punishment to me.
