
[00:00:00.000 --> 00:00:04.000]   [music]
[00:07:45.680 --> 00:07:49.080]   and you hear that crackling sound when you open it, you know, it's probably not a very
[00:07:49.080 --> 00:07:50.080]   good book at all.
[00:07:50.080 --> 00:07:54.400]   But if it's all the food stains and dog-eared it, it's like, oh my God, I got to buy me
[00:07:54.400 --> 00:07:55.400]   own copies.
[00:07:55.400 --> 00:07:56.400]   And that's my Kindle.
[00:07:56.400 --> 00:07:58.560]   I've got Velcro holding that little piece of plastic on the back now.
[00:07:58.560 --> 00:08:01.160]   Mine's held up pretty well, but I don't take it mine in places.
[00:08:01.160 --> 00:08:02.720]   It's really just by the bedside.
[00:08:02.720 --> 00:08:04.360]   It's where my reading material is.
[00:08:04.360 --> 00:08:09.640]   This is an Apple story because Amazon has said that they are going to make Kindle books available
[00:08:09.640 --> 00:08:11.440]   on other platforms, including the iPhone.
[00:08:11.440 --> 00:08:15.200]   Well, I'm still holding on for my tablet.
[00:08:15.200 --> 00:08:18.080]   Well, I mean, iPhone, it might even be tolerable.
[00:08:18.080 --> 00:08:19.080]   Yeah.
[00:08:19.080 --> 00:08:25.400]   And I think that still the killer app connected to all of this is still the iTunes Music Store.
[00:08:25.400 --> 00:08:30.160]   That if suddenly all of those digital books were available in the iTunes Music Store,
[00:08:30.160 --> 00:08:31.960]   people would be buying them.
[00:08:31.960 --> 00:08:34.000]   They buy a lot more from them than they're buying on Amazon.
[00:08:34.000 --> 00:08:40.440]   And I just, it's so painfully easy to order on the iTunes Music Store that I spend way
[00:08:40.440 --> 00:08:44.160]   more money than I should just because all I have to do is hit one little button and move
[00:08:44.160 --> 00:08:45.160]   on.
[00:08:45.160 --> 00:08:50.200]   Well, the thing that's cool is that Amazon is pushing hard to get every book ever published
[00:08:50.200 --> 00:08:51.200]   on these things.
[00:08:51.200 --> 00:08:55.760]   So if they get it on other platforms like the iPhone, I mean, already I think it's a
[00:08:55.760 --> 00:08:57.320]   quarter of a million books.
[00:08:57.320 --> 00:08:59.920]   There's a lot of 150,000, something like that.
[00:08:59.920 --> 00:09:02.360]   They say it's 230, 240,000.
[00:09:02.360 --> 00:09:06.480]   But that's exactly the sort of buying experience that makes the Kindle so compelling that there
[00:09:06.480 --> 00:09:11.000]   are so many times when I'm just not in the mood to spend, you know, $10 times three buying
[00:09:11.000 --> 00:09:13.120]   a whole bunch of books for a flight.
[00:09:13.120 --> 00:09:16.800]   But you know, during the next 20 minute delay, when I'm in the terminal, I'll just, you can
[00:09:16.800 --> 00:09:20.440]   download the first chapters of just about anything you're interested in and get three
[00:09:20.440 --> 00:09:25.720]   or four hours worth of reading on your belt for free of like good commercial current books.
[00:09:25.720 --> 00:09:28.680]   And time and time again, I get to like the end of the first chapter of something that
[00:09:28.680 --> 00:09:30.240]   I didn't think I'd be terribly interested in.
[00:09:30.240 --> 00:09:33.920]   But I thought I was just going to be, you know, sort of stealing this first chapter from Amazon.
[00:09:33.920 --> 00:09:37.400]   And then I'm like, Oh, damn it, I'm going to be clicking this link saying, please purchase
[00:09:37.400 --> 00:09:41.120]   this book immediately and have it available on my Kindle in the next 60 seconds.
[00:09:41.120 --> 00:09:46.320]   And that the thing that I would have missed the most about electronic books is that ability
[00:09:46.320 --> 00:09:50.600]   to just walk into a bookstore, leaf through books, read for a bit and find out what strikes
[00:09:50.600 --> 00:09:54.080]   my fancy and then then in there, take the book to the counter, decide, yep, this is good.
[00:09:54.080 --> 00:09:55.080]   This is a keeper.
[00:09:55.080 --> 00:09:56.160]   I'm going to take it.
[00:09:56.160 --> 00:09:58.880]   And Kindle really did mirror the experience very, very well.
[00:09:58.880 --> 00:10:00.360]   It's very, very browsable.
[00:10:00.360 --> 00:10:03.800]   And then of course, it's just way too easy to buy the book after you're done with the
[00:10:03.800 --> 00:10:04.800]   trial.
[00:10:04.800 --> 00:10:05.800]   Right.
[00:10:05.800 --> 00:10:07.800]   Well, imagine this on an iPhone.
[00:10:07.800 --> 00:10:10.120]   Would it be as compelling an experience?
[00:10:10.120 --> 00:10:14.240]   If they have this, if they had tried before you buy, yes, I'm sure they would.
[00:10:14.240 --> 00:10:15.240]   I'm sure they would.
[00:10:15.240 --> 00:10:16.240]   Yeah.
[00:10:16.240 --> 00:10:19.000]   And I think the screen is just a touch small for me to sit there and read it for.
[00:10:19.000 --> 00:10:24.120]   I mean, I have read, I mean, I have stanza and classics, which are two ebooks for the
[00:10:24.120 --> 00:10:26.680]   iPhone classics is pretty legible.
[00:10:26.680 --> 00:10:31.880]   I see it though, as more of the same sort of advantage we get when we buy movies on the
[00:10:31.880 --> 00:10:36.400]   iTunes store where I'm not going to, it's definitely a bit of a pain to watch a full
[00:10:36.400 --> 00:10:40.040]   movie on an iPhone screen unless you're in an airline seat.
[00:10:40.040 --> 00:10:45.120]   But the ability to watch the first hour of a show at home on your Apple TV and then,
[00:10:45.120 --> 00:10:49.280]   oh, but I got to leave the house right now, merely grab the iPhone out of your dock.
[00:10:49.280 --> 00:10:53.280]   And now not only is that movie synced to your phone, but it also remembers where you left
[00:10:53.280 --> 00:10:54.280]   off.
[00:10:54.280 --> 00:10:58.560]   And it's the same ability with the Kindle where the Kindle would remain actually, no, I'd
[00:10:58.560 --> 00:11:03.720]   actually have a three sort of a three utility thing going on because a MacBook turned on
[00:11:03.720 --> 00:11:08.720]   its side gives you huge, brightly illuminated, colorful, crisp pages that are a delight to
[00:11:08.720 --> 00:11:09.720]   read.
[00:11:09.720 --> 00:11:16.320]   If I could go from the MacBook to the Kindle to the iPhone in my pocket and always have
[00:11:16.320 --> 00:11:19.960]   a book that always remembers where I left off and all my notes and my bookmarks are
[00:11:19.960 --> 00:11:21.760]   the same from document from from from.
[00:11:21.760 --> 00:11:25.800]   So that's one of the features of the new Kindle, right, is that it has a bookmark syncing.
[00:11:25.800 --> 00:11:29.680]   Yeah, that's a, I mean, I think that's, you know, what they're really saying is you're
[00:11:29.680 --> 00:11:31.240]   going to have more than one Kindle.
[00:11:31.240 --> 00:11:34.040]   But now if they're going to, if they're going to do that, then please have more than one
[00:11:34.040 --> 00:11:35.360]   Kindle, please buy another one.
[00:11:35.360 --> 00:11:36.440]   You'll, they'll sync.
[00:11:36.440 --> 00:11:39.280]   You can't, you can't enjoy this feature unless you have multiple Kindle's.
[00:11:39.280 --> 00:11:42.760]   But if they did it with iPhone, you know, if they made a Kindle app for the iPhone and
[00:11:42.760 --> 00:11:47.880]   a Kindle app for other platforms and they had similar syncing, man, I mean, then you
[00:11:47.880 --> 00:11:51.720]   read it on your iPhone, you get home, you open up your Kindle, it's at the same spot.
[00:11:51.720 --> 00:11:52.720]   That's pretty, that's pretty.
[00:11:52.720 --> 00:11:58.280]   It would be a huge win because I often, I usually have my Kindle with me if I have my
[00:11:58.280 --> 00:11:59.280]   bag with me.
[00:11:59.280 --> 00:12:02.120]   Also it fits in the back pocket of my internet pants very, very nicely.
[00:12:02.120 --> 00:12:04.040]   But the iPhone is the only device that I've built.
[00:12:04.040 --> 00:12:06.680]   You put your Kindle in the back pocket of your pants?
[00:12:06.680 --> 00:12:09.200]   I got, I got my net book in the other back pocket.
[00:12:09.200 --> 00:12:11.400]   No, it's a big, big butt pants.
[00:12:11.400 --> 00:12:14.600]   They're tactical pants.
[00:12:14.600 --> 00:12:17.400]   How many times do I have to explain this to you?
[00:12:17.400 --> 00:12:19.200]   They're for tactical operation.
[00:12:19.200 --> 00:12:23.520]   So it wasn't, it's the Uzi pocket, but you're now using it for the Kindle.
[00:12:23.520 --> 00:12:27.080]   That's where you used to keep the jaw bones of your quarry so you can claim your bounty
[00:12:27.080 --> 00:12:28.480]   and prove that you killed them.
[00:12:28.480 --> 00:12:31.480]   But you can repurpose, they're for other uses too.
[00:12:31.480 --> 00:12:32.480]   But you know what I mean?
[00:12:32.480 --> 00:12:38.400]   I mean, there are books that I've downloaded that I only read like four pages at a time
[00:12:38.400 --> 00:12:44.640]   because I had no idea that at 2.30 in the afternoon, the post office would have this
[00:12:44.640 --> 00:12:45.840]   big of a line.
[00:12:45.840 --> 00:12:50.240]   And so for 10 minutes, I'd get a little bit deeper into an novel that probably wouldn't
[00:12:50.240 --> 00:12:51.240]   have sat down and read other books.
[00:12:51.240 --> 00:12:53.080]   I certainly do that with audio books.
[00:12:53.080 --> 00:12:54.760]   I mean, my preference is audio books.
[00:12:54.760 --> 00:12:59.560]   But now I'm showing, this is the classics application that Philip Ryu and his gang wrote.
[00:12:59.560 --> 00:13:01.200]   And I think it's just, it's very legible.
[00:13:01.200 --> 00:13:04.640]   You could, I'm showing it on camera for those who are watching it at home.
[00:13:04.640 --> 00:13:05.640]   It's very legible.
[00:13:05.640 --> 00:13:07.560]   The page turn is much better, frankly.
[00:13:07.560 --> 00:13:11.360]   That's one thing, you know, the E-ink screen isn't as crisp.
[00:13:11.360 --> 00:13:13.800]   It doesn't have that white background with black text.
[00:13:13.800 --> 00:13:15.560]   And the page turns a little flash.
[00:13:15.560 --> 00:13:16.560]   And I don't like that.
[00:13:16.560 --> 00:13:23.280]   But what I keep explaining to people is that an annoyance in a piece of technology is not
[00:13:23.280 --> 00:13:24.520]   bad in and of itself.
[00:13:24.520 --> 00:13:29.000]   What I need to ask the manufacturer is, okay, so you're taking from me the annoyance of
[00:13:29.000 --> 00:13:32.560]   having a little flash every time I turn a page, what am I getting in return?
[00:13:32.560 --> 00:13:36.720]   And when they say, well, you get an e-book reader that you can basically go for two weeks
[00:13:36.720 --> 00:13:41.480]   without recharging, that I can say, okay, I will take that.
[00:13:41.480 --> 00:13:42.480]   That's a fair trick.
[00:13:42.480 --> 00:13:43.480]   Right.
[00:13:43.480 --> 00:13:46.160]   Well, yeah, but I'm charging my iPhone every night anyway.
[00:13:46.160 --> 00:13:50.040]   I mean, the big thing that I get into when I think about my iPhone is that how many devices
[00:13:50.040 --> 00:13:51.760]   do I want to carry around?
[00:13:51.760 --> 00:13:55.040]   You know, that's the, I mean, I'm already, I have a backpack with, you know, three hard
[00:13:55.040 --> 00:13:58.840]   drives, a laptop, two cameras, a video camera, and my iPod.
[00:13:58.840 --> 00:13:59.840]   Yeah, you've got it.
[00:13:59.840 --> 00:14:00.840]   As an up.
[00:14:00.840 --> 00:14:04.000]   I'm kind of like, I don't need to have another, you know, but, but I think you keep your internet
[00:14:04.000 --> 00:14:07.360]   pants up with my internet belt.
[00:14:07.360 --> 00:14:10.520]   You get free with every purchase of the, you know, it's like, is it like an ethernet
[00:14:10.520 --> 00:14:11.520]   cable?
[00:14:11.520 --> 00:14:12.520]   Is that like an internet belt?
[00:14:12.520 --> 00:14:16.200]   I'm not some sort of internet okey or something.
[00:14:16.200 --> 00:14:17.200]   I don't need a cord.
[00:14:17.200 --> 00:14:20.600]   You've got 40 pounds holding in your pants.
[00:14:20.600 --> 00:14:21.920]   That's quite a load in your pants.
[00:14:21.920 --> 00:14:27.520]   How do you, how do you, I mean, you know, sometimes the listeners know when you're trying
[00:14:27.520 --> 00:14:30.920]   to manufacture the title of the show.
[00:14:30.920 --> 00:14:34.520]   It's like the American said, it was a joke.
[00:14:34.520 --> 00:14:38.120]   That was pretty blatant, wasn't it?
[00:14:38.120 --> 00:14:39.480]   And he's pant load.
[00:14:39.480 --> 00:14:40.520]   Is the name of this show?
[00:14:40.520 --> 00:14:41.520]   Yeah.
[00:14:41.520 --> 00:14:44.600]   Oh, I mean, seriously, I have, even if I have a wall in their keys in my pants, I have,
[00:14:44.600 --> 00:14:45.600]   they start falling down.
[00:14:45.600 --> 00:14:47.320]   I guess I have no hips.
[00:14:47.320 --> 00:14:51.000]   You have, I have that contour chisel physique of a professional technology columnist.
[00:14:51.000 --> 00:14:52.000]   That must be it.
[00:14:52.000 --> 00:14:53.000]   I'm just missing.
[00:14:53.000 --> 00:14:59.000]   Well, I know you wear your pants up under your, under your man chest and over your belly.
[00:14:59.000 --> 00:15:00.000]   Is that it?
[00:15:00.000 --> 00:15:02.360]   I think I'm just going to sit down.
[00:15:02.360 --> 00:15:03.680]   I'd over.
[00:15:03.680 --> 00:15:05.680]   Let's call the next four minutes.
[00:15:05.680 --> 00:15:07.280]   And just have a 20 row.
[00:15:07.280 --> 00:15:08.280]   There you go.
[00:15:08.280 --> 00:15:14.200]   Last Google not to use multi touch in Android, citing a developer who supposedly worked on
[00:15:14.200 --> 00:15:15.200]   Android.
[00:15:15.200 --> 00:15:21.880]   Venturebeat is saying Apple said to Google, please don't put multi touch in Android in
[00:15:21.880 --> 00:15:23.840]   the G one.
[00:15:23.840 --> 00:15:29.440]   The weird thing is Google said, Andy's reading a book, final cut by Stephen box.
[00:15:29.440 --> 00:15:30.440]   Stop it, Andy.
[00:15:30.440 --> 00:15:32.120]   I'm not mocking you anymore.
[00:15:32.120 --> 00:15:33.800]   I'm asking you a question.
[00:15:33.800 --> 00:15:37.280]   I'm in, I'm in the penalty box.
[00:15:37.280 --> 00:15:39.880]   It's up to you and me, Alex.
[00:15:39.880 --> 00:15:44.200]   So Apple asked and Android don't do multi touch.
[00:15:44.200 --> 00:15:48.360]   Further, the Android team member went on to say they were relieved that Google didn't
[00:15:48.360 --> 00:15:52.640]   go against Apple's wishes given the legal storm that appears to be brewing between Apple
[00:15:52.640 --> 00:15:53.640]   and Palm.
[00:15:53.640 --> 00:15:58.680]   Palm is using multi touch in the pre.
[00:15:58.680 --> 00:16:02.040]   Even if Apple ultimately decides not to pursue legal action against Palm, it's not clearly
[00:16:02.040 --> 00:16:03.040]   how likely that is.
[00:16:03.040 --> 00:16:05.080]   I'm reading for venturebeat right now.
[00:16:05.080 --> 00:16:08.760]   I'm just reading M.G. Seagly writing, but Apple does have an impressive array of patents
[00:16:08.760 --> 00:16:10.800]   on this multi touch.
[00:16:10.800 --> 00:16:14.720]   Now the question is really that people are starting to bring up is whether that the patents
[00:16:14.720 --> 00:16:15.720]   are too wide.
[00:16:15.720 --> 00:16:18.360]   Well, we talked about it that didn't seem.
[00:16:18.360 --> 00:16:22.800]   I mean, we've seen this kind of technology before Apple right even patented it.
[00:16:22.800 --> 00:16:27.160]   Of course, there's also the issue of how many former Apple employees are now working
[00:16:27.160 --> 00:16:30.520]   at Palm, right, which kind of opens another can.
[00:16:30.520 --> 00:16:34.440]   Well, not in California, though, because you don't have the same.
[00:16:34.440 --> 00:16:35.440]   It competes in California.
[00:16:35.440 --> 00:16:36.440]   That's it's very difficult.
[00:16:36.440 --> 00:16:37.440]   Okay.
[00:16:37.440 --> 00:16:38.440]   And he's done with this book now.
[00:16:38.440 --> 00:16:39.440]   That's too.
[00:16:39.440 --> 00:16:40.440]   And that's too.
[00:16:40.440 --> 00:16:43.600]   And you're out of the I'm at a little penalty box now.
[00:16:43.600 --> 00:16:46.880]   It was the team goon.
[00:16:46.880 --> 00:16:49.600]   He's sent on the ice to draw that penalty, but get out the lead score.
[00:16:49.600 --> 00:16:51.120]   I got you out of the game.
