;FFMETADATA1
title=Machine Gun Clippy
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-01-18
track=801
language=English
genre=Podcast
comment=Safari bug, Netherlands App Store ruling, Apple Watch ads
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:02.480]   [MUSIC PLAYING]
[00:08:10.440 --> 00:08:15.440]   $0.7 billion is like, eh, that's a small--
[00:08:15.440 --> 00:08:18.440]   Nearly 70 billion dollars, billion here, billion there.
[00:08:18.440 --> 00:08:20.440]   Pretty much it adds up.
[00:08:20.440 --> 00:08:23.440]   I do think it's an Apple story in the sense that Apple's going to have to get more serious
[00:08:23.440 --> 00:08:24.440]   about how they view games.
[00:08:24.440 --> 00:08:29.440]   I mean, they already pay a lot of attention to games, but Microsoft now has made a big move.
[00:08:29.440 --> 00:08:30.440]   I mean, they already have Xbox.
[00:08:30.440 --> 00:08:31.440]   They have Minecraft.
[00:08:31.440 --> 00:08:35.440]   They have-- you know, they have a lot of air at Halo, right, exactly.
[00:08:35.440 --> 00:08:39.440]   So there's a lot of things that they already have, and it really puts them in a really
[00:08:39.440 --> 00:08:43.440]   interesting position, I think, in a better position than the folks that are ahead of them.
[00:08:43.440 --> 00:08:46.440]   You know, there's a-- you know, they have Sony and others that are a little ahead of them
[00:08:46.440 --> 00:08:51.440]   in the game area, but I think that-- but the rest of Microsoft's infrastructure, you know,
[00:08:51.440 --> 00:08:55.440]   from Azure and everything else really puts them in a really-- a pole position to do some
[00:08:55.440 --> 00:08:58.440]   really interesting things, especially as it pertains to the metaverse.
[00:08:58.440 --> 00:08:59.440]   Yeah, absolutely.
[00:08:59.440 --> 00:09:05.440]   And remember that one of the companies that Steve Jobs absolutely admired and really kind of
[00:09:05.440 --> 00:09:09.440]   wanted to emulate in the early days was Sony, because he loved their-- how they were telling
[00:09:09.440 --> 00:09:11.440]   his story through their products, their products were really well designed.
[00:09:11.440 --> 00:09:15.440]   And of course, one of the pivoting-- the biggest pivoting moments of Sony was when they said,
[00:09:15.440 --> 00:09:18.440]   "Hey, you know what, we're having problems with people with--
[00:09:18.440 --> 00:09:22.440]   with brown-beating record companies and supporting our compact disc format and our
[00:09:22.440 --> 00:09:24.440]   debt format and all those other formats.
[00:09:24.440 --> 00:09:26.440]   You know what, let's just open the checkbooks.
[00:09:26.440 --> 00:09:31.440]   Let's just buy CBS Records, have our-- have become our own music company, exactly, and
[00:09:31.440 --> 00:09:35.440]   just keep buying these companies so to do-- not because not only will it be great for our
[00:09:35.440 --> 00:09:38.440]   hardware line, it'll be great for just-- just for our bottom line.
[00:09:38.440 --> 00:09:43.440]   And so, Apple-- this is-- I know that Alex, you talked a little bit about, "Gee, maybe
[00:09:43.440 --> 00:09:45.440]   Apple should try to buy Disney or something."
[00:09:45.440 --> 00:09:50.440]   It makes-- it makes a lot of sense on that basis where workers control the means of production,
[00:09:50.440 --> 00:09:55.440]   but when big corporations also control the means of creative output, yeah, that's a good
[00:09:55.440 --> 00:09:56.440]   place to be.
[00:09:56.440 --> 00:10:03.440]   As an employee of Epic Records when that happened, or as a-- you know, it was the best because
[00:10:03.440 --> 00:10:07.440]   you got 60% off all the Sony gear and you could buy it for your friends.
[00:10:07.440 --> 00:10:08.440]   We said, "Can I buy it?
[00:10:08.440 --> 00:10:10.440]   How much can I buy it for my friends?"
[00:10:10.440 --> 00:10:12.440]   And they were like, "Oh, yeah, you can buy it for your friends."
[00:10:12.440 --> 00:10:13.440]   And I was like, "Why?
[00:10:13.440 --> 00:10:14.440]   Why are we allowed to buy it for our friends?"
[00:10:14.440 --> 00:10:18.440]   And they said, "They just don't sell it somewhere, but you can buy it for people and give it to them."
[00:10:18.440 --> 00:10:20.440]   And they can pay you for it and everything else.
[00:10:20.440 --> 00:10:21.440]   And I was like, "Why?"
[00:10:21.440 --> 00:10:22.440]   And they're like, "Influence?"
[00:10:22.440 --> 00:10:28.440]   And everybody wants to be friends with a Sony employee because they can get them everything
[00:10:28.440 --> 00:10:29.440]   off at 60% off.
[00:10:29.440 --> 00:10:30.440]   Or a hybrid control brain.
[00:10:30.440 --> 00:10:33.440]   Yeah, but that-- and it made a huge difference.
[00:10:33.440 --> 00:10:34.440]   Yeah, it worked a bit.
[00:10:34.440 --> 00:10:35.440]   It worked a bit.
[00:10:35.440 --> 00:10:36.440]   Sorry.
[00:10:36.440 --> 00:10:37.440]   Yeah.
[00:10:37.440 --> 00:10:38.440]   I'm sorry, I'm 10 years old.
[00:10:38.440 --> 00:10:39.440]   I will shut up.
[00:10:39.440 --> 00:10:48.440]   Yeah, but it was-- you know, the Sony-- it broke all kinds of things for Sony, you know, to go
[00:10:48.440 --> 00:10:51.440]   into that area to be specific.
[00:10:51.440 --> 00:10:55.440]   But I think that, you know, there's a-- I mean, we talked about an office hours this morning,
[00:10:55.440 --> 00:11:00.440]   there are just a myriad of potential possibilities of what Microsoft can do with this.
[00:11:00.440 --> 00:11:03.440]   It's going to really give them some-- it's going to be really interesting.
[00:11:03.440 --> 00:11:04.440]   It's a great-- it's a great-- it's a great purchase of both of them.
[00:11:04.440 --> 00:11:05.440]   It's really made-- it's really made-- it's a great purchase.
[00:11:05.440 --> 00:11:06.440]   It's a great purchase of both of them.
[00:11:06.440 --> 00:11:07.440]   It's a great-- it's a great purchase of both of them.
[00:11:07.440 --> 00:11:08.440]   It's turned them into the largest gaming company in the world.
[00:11:08.440 --> 00:11:10.440]   They bought-- as you mentioned, they bought MoJang Minecraft.
[00:11:10.440 --> 00:11:13.440]   They bought ZeniMax, which owns Bethesda.
[00:11:13.440 --> 00:11:16.440]   So that's id software.
[00:11:16.440 --> 00:11:23.440]   They own now some of the biggest franchises in gaming, Call of Duty, Overwatch, Diablo,
[00:11:23.440 --> 00:11:24.440]   World of Warcraft.
[00:11:24.440 --> 00:11:27.440]   And let's not forget Candy Crush.
[00:11:27.440 --> 00:11:30.440]   Because King is also part of that deal.
[00:11:30.440 --> 00:11:31.440]   Yeah.
[00:11:31.440 --> 00:11:33.440]   So it really-- it's interesting.
[00:11:33.440 --> 00:11:37.440]   I think one of the things that makes this possible is the fact that all the antitrust
[00:11:37.440 --> 00:11:43.440]   scrutiny right now is at Google, Amazon, Facebook, Apple.
[00:11:43.440 --> 00:11:46.440]   Nobody-- notice Microsoft's-- they haven't-- they haven't have to show up, right?
[00:11:46.440 --> 00:11:48.440]   They didn't even go to Washington and testify.
[00:11:48.440 --> 00:11:54.440]   So I think that there-- because obviously at this point, there's such a big dominant
[00:11:54.440 --> 00:11:56.440]   aggregator of gaming companies.
[00:11:56.440 --> 00:11:58.440]   I think there should be regulatory over this.
[00:11:58.440 --> 00:12:00.440]   I think it sounds like there might be--
[00:12:00.440 --> 00:12:03.440]   There's like a two-year window, and it seems like the new legislation that they're
[00:12:03.440 --> 00:12:07.440]   drafting is specifically targeted for these kinds of mergers and acquisitions.
[00:12:07.440 --> 00:12:08.440]   Get it done now.
[00:12:08.440 --> 00:12:09.440]   And we'll hear you at this right now.
[00:12:09.440 --> 00:12:11.440]   No, no, I think they didn't get it done soon enough.
[00:12:11.440 --> 00:12:14.440]   It sounds like they're going to fall right in this sweet spot of this stuff ramping up.
[00:12:14.440 --> 00:12:15.440]   Yeah.
[00:12:15.440 --> 00:12:20.440]   And I think that what will be interesting is to see what happens to 2K games, to a lot
[00:12:20.440 --> 00:12:21.440]   of other--
[00:12:21.440 --> 00:12:22.440]   Tencent.
[00:12:22.440 --> 00:12:23.440]   Yeah.
[00:12:23.440 --> 00:12:26.440]   I mean, all of the-- well, Tencent because it's Chinese probably won't go anywhere, but
[00:12:26.440 --> 00:12:29.440]   the-- I mean, as far as-- it'll go somewhere as a huge company.
[00:12:29.440 --> 00:12:32.440]   Well, that's why there needs to be regulation, because it does make it hard for everybody
[00:12:32.440 --> 00:12:37.440]   else now, especially since Microsoft not only has all these studios, they have the
[00:12:37.440 --> 00:12:38.440]   Xbox.
[00:12:38.440 --> 00:12:42.440]   In fact, if I were Sony, I'd be complaining like crazy, because Microsoft says, "Oh,
[00:12:42.440 --> 00:12:45.440]   we're not going to make these exclusive."
[00:12:45.440 --> 00:12:46.440]   Yeah, sure.
[00:12:46.440 --> 00:12:47.440]   So at some point--
[00:12:47.440 --> 00:12:48.440]   Today, Leo.
[00:12:48.440 --> 00:12:49.440]   Yeah, not today.
[00:12:49.440 --> 00:12:52.440]   So at some point, PlayStation is going to really be challenged by this.
[00:12:52.440 --> 00:12:56.440]   Well, the question really is, as you look forward towards-- we spent all of yesterday
[00:12:56.440 --> 00:13:00.440]   with an NFT expert, and once you start thinking about it, you're like, "Oh, okay.
[00:13:00.440 --> 00:13:04.440]   I'll start--" Like, after-- off his hours yesterday was all NFT.
[00:13:04.440 --> 00:13:09.440]   And when you think about it, there's a point where you start moving potentially from selling
[00:13:09.440 --> 00:13:13.440]   the game to giving the game away so that you can man it, you can take a piece off of all
[00:13:13.440 --> 00:13:14.440]   the commerce.
[00:13:14.440 --> 00:13:15.440]   Well, that's kind of happened--
[00:13:15.440 --> 00:13:16.440]   It's not the game.
[00:13:16.440 --> 00:13:17.440]   I mean, that's--
[00:13:17.440 --> 00:13:18.440]   Yeah, I mean, that's--
[00:13:18.440 --> 00:13:19.440]   Right, but that's--
[00:13:19.440 --> 00:13:22.440]   Maybe make that more of an even scamier situation, but I don't think--
[00:13:22.440 --> 00:13:23.440]   It potentially could.
[00:13:23.440 --> 00:13:25.440]   I'm just saying that-- but what I'm saying is the exclusivity may not be what they're
[00:13:25.440 --> 00:13:26.440]   looking for.
[00:13:26.440 --> 00:13:29.440]   I mean, you know, at this point, the numbers could be so much bigger if they are-- if they
[00:13:29.440 --> 00:13:30.440]   are--
[00:13:30.440 --> 00:13:31.440]   I'm just--
[00:13:31.440 --> 00:13:32.440]   I'm thinking the regular--
[00:13:32.440 --> 00:13:33.440]   It was really good--
[00:13:33.440 --> 00:13:34.440]   Regulatory problems are going to--
[00:13:34.440 --> 00:13:35.440]   Absolutely.
[00:13:35.440 --> 00:13:37.440]   There was a really good tweet from Ashley Escheda, where she said Microsoft just wants to be
[00:13:37.440 --> 00:13:40.440]   the Netflix-- the games before Netflix is in Netflix, the games.
[00:13:40.440 --> 00:13:41.440]   Yeah, well, Netflix is already hiring.
[00:13:41.440 --> 00:13:42.440]   It's a game pass.
[00:13:42.440 --> 00:13:43.440]   Yeah.
[00:13:43.440 --> 00:13:48.040]   Yeah, I would be surprised if Netflix doesn't buy one or two game companies in relatively
[00:13:48.040 --> 00:13:53.140]   short order-- I mean, the next year or so, because they're already hiring staff for it.
[00:13:53.140 --> 00:13:55.440]   You know, they're hiring up-- I mean, that's public.
[00:13:55.440 --> 00:13:57.640]   I mean, you can see it on LinkedIn or whatever.
[00:13:57.640 --> 00:13:59.880]   So they're hiring people to manage games.
[00:13:59.880 --> 00:14:02.280]   So Netflix is definitely coming down that path.
[00:14:02.280 --> 00:14:06.280]   So I think that exasperates me so much is that Apple-- like all this is going on, everyone
