;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[00:06:06.040 --> 00:06:14.020]   Substantial bands like like the 70s to have like those like gauntlets sort of things that like that maybe you'll look like real beefy and real hunky
[00:06:14.020 --> 00:06:15.180]   like
[00:06:15.180 --> 00:06:18.640]   The day that the day that it was showing off. I thought that oh my god
[00:06:18.640 --> 00:06:26.340]   There's gonna be such a market on Etsy for like women's watch women's Apple watch ultra bands that make you look like either Wonder Woman
[00:06:26.340 --> 00:06:33.280]   or Zina if you if you're going for one of if you're going for one of those like ultra marathon likes
[00:06:33.280 --> 00:06:38.120]   Mucker sort of things you're gonna want to have like the the Wonder Woman bracer the zina
[00:06:38.120 --> 00:06:42.680]   This would be good. Yeah for a mutter. Yeah, how deep and how cold is the mud?
[00:06:42.680 --> 00:06:45.560]   yeah, I will say I watched a
[00:06:46.360 --> 00:06:49.480]   Okay, DC Rainmaker actually is a YouTube channel
[00:06:49.480 --> 00:06:54.060]   I just found it this morning and he tested the depth in one of those like cylindrical water
[00:06:54.060 --> 00:07:00.620]   And yeah, he brought it down all the way to 130 feet and that's when it stops measuring depth
[00:07:00.620 --> 00:07:05.480]   That's like the maximum at least in feet 130 feet and it stayed accurate with the gauge
[00:07:05.480 --> 00:07:12.960]   It's supposed to go to a thousand I mean a hundred meters, but that doesn't mean to you to measure
[00:07:14.200 --> 00:07:17.840]   Yeah, it does it does this cool thing that's very safe
[00:07:17.840 --> 00:07:22.880]   That says like it could probably measure beyond that but the screen just simply says okay. You're below 140 now
[00:07:22.880 --> 00:07:29.920]   I'm out. I'm not a I'm not your your your seems like a lot you have to be a specialized a diver right to go deeper than that
[00:07:29.920 --> 00:07:35.560]   Or no, yeah, I think that I think that's when you need mix. Yeah, yeah, but this is cool
[00:07:35.560 --> 00:07:42.960]   So this is a hyperbaric chamber for watches or something. He's got a it's got a pump on it and it can it can increase the water pressure
[00:07:42.960 --> 00:07:48.120]   Huh? Yeah, it's kind of it's good video. He said that he said that he had it commissioned
[00:07:48.120 --> 00:07:49.160]   He had it made so yeah
[00:07:49.160 --> 00:07:55.600]   It made so long ago that like the tablet that he's he's using with is using like a look at the bezel on generation outdated
[00:07:55.600 --> 00:08:00.240]   but he but he was hoping that he could he would like be able to like a
[00:08:00.240 --> 00:08:04.880]   Depth test like all these waterproof and like water resistant watches to failure
[00:08:04.880 --> 00:08:10.640]   And then he found out that even when he bought like these really really crappy watches like off-a-value express like they don't just like
[00:08:11.160 --> 00:08:17.880]   Graphically fail in a cool way. They just usually just kind of keep working until they stop. Yeah, so Apple says is water resistant
[00:08:17.880 --> 00:08:24.040]   And yet they show people swimming in it and they say you can dive is it really can you is it water proof?
[00:08:24.040 --> 00:08:26.400]   Why don't they say water proof?
[00:08:26.400 --> 00:08:30.400]   Kind of certification for
[00:08:30.400 --> 00:08:38.240]   Deepsea diving to a hundred meters. I mean, it's pretty resistant I would say unless you can only do it for 10 seconds and then
[00:08:39.240 --> 00:08:41.240]   I mean, I don't know
[00:08:41.240 --> 00:08:45.320]   My understanding last time I looked into it
[00:08:45.320 --> 00:08:50.840]   But yeah like a year two ago is that the the difference is usually that if it's waterproof
[00:08:50.840 --> 00:08:54.360]   That means that it has active measure active countermeasures against ingress
[00:08:54.360 --> 00:08:58.320]   Meaning that you have gaskets that are being held together by positive mechanical seals
[00:08:58.320 --> 00:09:05.480]   Whereas water resistant means that there's glue there's it's at some point this glue this system could fail at which point
[00:09:05.480 --> 00:09:09.000]   It doesn't at which point this ages out of the water resistant system
[00:09:09.000 --> 00:09:12.080]   IP stands for ingress protection and
[00:09:12.080 --> 00:09:19.480]   I don't what is the IP rating on this is it IP 68 68? Okay, so I guess six X
[00:09:19.480 --> 00:09:23.320]   Can resist high pressure heavy sprays of water?
[00:09:23.320 --> 00:09:28.920]   It's not about a water so is this a way that Apple can get out of
[00:09:28.920 --> 00:09:32.400]   Waranting it if it fails under water it seems
[00:09:32.400 --> 00:09:38.200]   They get out of warranty it by simply expressing that it's not it's not warranty against this water. They're good
[00:09:38.200 --> 00:09:45.560]   Yeah, it has a bunch of military spec certifications which are absolutely intense if you look at the entire library of certifications that come
[00:09:45.560 --> 00:09:52.400]   Under this category that they're that they're qualifying under a lot of it really is does it does it resist against chemical attack?
[00:09:52.400 --> 00:09:59.160]   Is it resist against acid doesn't resist against again fighting the fighting aliens on the so on the USS Salaco or something like that
[00:09:59.160 --> 00:10:04.680]   But however, I was excited when I saw that certification that I learned about the certification where it's passed against
[00:10:05.080 --> 00:10:08.120]   Certain elements of that but not the really really exciting one
[00:10:08.120 --> 00:10:15.400]   So if you are if you are on if your procurement requirements meaning we meaning your boss will your company will will
[00:10:15.400 --> 00:10:19.800]   authorize the the procurement of this device so long so it has this kind of
[00:10:19.800 --> 00:10:27.360]   Certification it will pass some kinds of these super super intense field certifications, but not others, but it does indicate it does point out that
[00:10:27.360 --> 00:10:34.800]   People like me or thinking oh well, I'm either I'm an adventurer or I'm just wants a really cool big fancy watch
[00:10:34.800 --> 00:10:40.200]   But there are a lot of people who like working the work in the energy industries like we're working on oil derricks people who are working in
[00:10:40.200 --> 00:10:48.760]   Construction that they really do need something that they can they can use all day just as a regular like regular fitness watch or just as a regular smartwatch
[00:10:48.760 --> 00:10:52.040]   They just need it to be super super durable even though they're not you know
[00:10:52.040 --> 00:10:55.040]   They're not skydiving off of Everest or something like that
[00:10:55.040 --> 00:11:00.200]   They just they they're operating heavy equipment. They need something that's gonna that's gonna hold up to that Apple says
[00:11:00.560 --> 00:11:08.320]   rather Wikipedia says mill standard 810 which is the Apple standard they're saying we have mill spec 810 H3 is a
[00:11:08.320 --> 00:11:18.040]   Flexible standard that it allows users to tailor test methods to fit the application as a result of vendors claim of compliance to us mill standard 810
[00:11:18.040 --> 00:11:26.600]   Can be misleading because no commercial organization or agency certifies compliance. So okay fine. It's kind of meaningless
[00:11:28.400 --> 00:11:33.200]   It's I know you know, it's it's you could take it out into battle. I guess I don't know
[00:11:33.200 --> 00:11:36.560]   Yeah, so
[00:11:36.560 --> 00:11:40.120]   But the point is made in fact didn't somebody try to hammer it and
[00:11:40.120 --> 00:11:45.280]   Ended up hammering destroying the table some youtuber. Yeah, that's a typical
[00:11:45.280 --> 00:11:52.480]   Usually the Apple watch stopped working before the screen was actually shattered and so the shock to the internal is messed
[00:11:52.480 --> 00:11:56.840]   It up before the screen would break but I mean enough hits the screen shatter too. So yeah
[00:11:56.840 --> 00:11:58.840]   I'm not gonna hit it with a hammer
[00:11:58.840 --> 00:12:01.840]   You know, I might I might take it swimming
[00:12:01.840 --> 00:12:07.360]   I might do that it's heard about my wrist if it gets hit with a hammer than anything. Yeah, that's a good point
[00:12:07.360 --> 00:12:11.480]   But I have to say I love it. I'm not curious Stephen what you think
[00:12:11.480 --> 00:12:16.000]   Unless Andy did you get one too? No, I think it's just me and Stephen at this point. Nope just you guys
[00:12:16.000 --> 00:12:23.080]   I like the bigger screen because I can actually type the passcode in the first time every time
[00:12:23.800 --> 00:12:28.840]   I are using the Wayfarer the new Wayfarer watch face
[00:12:28.840 --> 00:12:34.920]   I typically used a modular watch face and that's one of the weird things with the display because it's larger
[00:12:34.920 --> 00:12:42.040]   It's scaled up all the watch faces and it feels a little sparse like it's not feeling like the normal modular would feel
[00:12:42.040 --> 00:12:46.000]   So that's what weird and that's why I'm using Wayfarer because I have eight complications
[00:12:46.000 --> 00:12:53.360]   Which I like I love I have love my hand if I double tap the bezel I can I can see what longitude and latitude I'm at
[00:12:53.480 --> 00:12:58.840]   Which is not all that useful, but and it has it and it has a compass on it
[00:12:58.840 --> 00:13:02.600]   It also does some really interesting things you can set waypoints
[00:13:02.600 --> 00:13:05.200]   So if like breadcrumbs if your hands will incredible
[00:13:05.200 --> 00:13:11.960]   It'll you can drop waypoints as you're as you're hiking which means if you go on off trail at least you'll be able to maybe get back
[00:13:11.960 --> 00:13:16.600]   One of the waypoints can be where your car is parked. So for me, that's more useful
[00:13:16.600 --> 00:13:20.600]   Importantly that is a that is a watch OS
[00:13:21.080 --> 00:13:29.240]   Feature and so and yours do it too. Yeah any modern Apple watch is able to do the wayfinding thing. Oh, well never mind then iOS today
[00:13:29.240 --> 00:13:31.240]   post I
[00:13:31.240 --> 00:13:36.920]   Just I just think you can't do a lot of to latitude can you I cannot but that's just easily one of the coolest features in my
[00:13:36.920 --> 00:13:42.520]   Opinion the wayfinding thing I do like to do this very cool. I was excited to see it was available multiple watches
[00:13:42.520 --> 00:13:45.840]   I just as you say Steve in my battery life
[00:13:45.840 --> 00:13:51.120]   So they want you to sleep with it on five nights in a row so that you can project your ovulation
[00:13:51.120 --> 00:13:57.360]   Which I'm excited about so I have been sleeping with it on only hit least a once last night
[00:13:57.360 --> 00:14:02.560]   Which was which was good because this can leave quite a mark and and
[00:14:02.560 --> 00:14:08.640]   Battery life overnight is like six percent loss actually was like more even like four percent losses very low
[00:14:08.640 --> 00:14:12.920]   I wore it overnight last night all day yesterday with a workout
[00:14:12.920 --> 00:14:16.920]   It was down to 53% after a full 24 hours
[00:14:16.920 --> 00:14:23.200]   So that bodes well for 48 hour battery life charge it up in less than an hour while I was having breakfast
[00:14:23.200 --> 00:14:27.640]   This is a watch you can if you might not want to but it is certainly when you can wear all the time
[00:14:27.640 --> 00:14:30.280]   And then that's what I did I sleep with mine
[00:14:30.280 --> 00:14:35.200]   I slept with my series 7 and earlier watches anyway for sleep tracking and with like the two-day battery life
[00:14:35.200 --> 00:14:42.120]   It's pretty nice. Yeah, I swear it overnight and the charger it did charge up very quickly quicker than I would have thought being a larger battery
[00:14:42.520 --> 00:14:48.040]   But if you have that faster charging capability like the series 7 did and you have a charger that supports it
[00:14:48.040 --> 00:14:53.440]   It charged up very quickly. I was surprised as little disappointed for 700 or 800 bucks. It should come with a better
[00:14:53.440 --> 00:14:56.240]   Pock comes the same puck that the other
[00:14:56.240 --> 00:14:59.720]   Lestar braided cable though. Oh, it's true. It is braided
[00:14:59.720 --> 00:15:05.280]   I'll watch cable. Yeah, so the old edition watches would come with that fancy, you know, ultra suede
[00:15:05.280 --> 00:15:11.320]   Table stay I still have my original with it. I got a stainless steel original. Yeah watch. I still have the box
[00:15:11.320 --> 00:15:18.680]   Yeah, that's also be testing this Apple watch ultra in the hurricane. That's actually headed my way. Oh, where are you right now?
[00:15:18.680 --> 00:15:25.760]   my word I am near Tampa, Florida. Oh Tampa's gonna be the first time in 100 years Tampa's had a hurricane a
[00:15:25.760 --> 00:15:27.960]   Joking retweeted
[00:15:27.960 --> 00:15:34.120]   I tweeted last week when I got it jokingly. I get to test it in a hurricane and now I'm regretting that tweet because I think it will be a
[00:15:34.120 --> 00:15:41.000]   You didn't test. Yes, and I unfortunately I do have to say I'm about to lose power
[00:15:41.000 --> 00:15:43.960]   I did not plan for this that's okay if you lose power
[00:15:43.960 --> 00:15:50.840]   We'll wish you well and we'll think about you as Ian. So it's making it's made landfall. Is it is it stormy out?
[00:15:50.840 --> 00:15:57.800]   Well, I'm about to lose power because there's a generator being hooked up currently and I was told it wouldn't need to have the power off
[00:15:57.800 --> 00:16:01.400]   But it's going to and so when that kicks off. I'm not sure how long I'll be out
[00:16:01.400 --> 00:16:03.960]   But I'll be reporting live from the hurricane floor
[00:16:03.960 --> 00:16:10.720]   And I want you know how to watch ultra does neck kind of environment Wow, this is exciting
[00:16:11.280 --> 00:16:12.240]   Steven
[00:16:12.240 --> 00:16:16.400]   Can I make one request just for I mean this would be a generous gift for us
[00:16:16.400 --> 00:16:21.680]   But if you if the if the crew says oh by the way, we're gonna be shutting off power in about 30 seconds
[00:16:21.680 --> 00:16:23.440]   Could you just say oh my god?
[00:16:23.440 --> 00:16:24.880]   The winds are starting to pick up now
[00:16:24.880 --> 00:16:29.600]   I don't know how so that you get caught up in mid-sentence because that would make a really great thumbnail for the video
[00:16:29.600 --> 00:16:33.040]   That would be I mean be great for the channel. I know it's not your channel, but I mean
[00:16:33.040 --> 00:16:37.200]   I'll say the back to you to cut it off now. I'll try to time it right
[00:16:38.240 --> 00:16:41.840]   And just reach just like give the camera a little bit shake and like say wow
[00:16:41.840 --> 00:16:47.280]   Wow
[00:16:47.280 --> 00:16:52.000]   I hope everything works out. Okay. That was rude to me. Thank you. We'll be all right. I'll be all right
[00:16:52.000 --> 00:16:57.520]   Yeah, so if the power goes out, we'll understand it when you disappear appreciate. Sorry about that. No, that's better
[00:16:57.520 --> 00:16:59.920]   Do you have family in Puerto Rico as well?
[00:16:59.920 --> 00:17:06.240]   Not anymore everything we all move to New York and then um, yeah, so so known no one's there now
[00:17:06.400 --> 00:17:13.040]   Yeah, because it's got hit very hard and yeah our thoughts and various as they say out to our friends in Puerto Rico
[00:17:13.040 --> 00:17:19.760]   Um, yeah, I was gonna try and fly my DJI mini two drone, but I don't think it's gonna withstand those hurricane force work
[00:17:19.760 --> 00:17:22.800]   I think that's gonna work
[00:17:22.800 --> 00:17:25.840]   Yeah, mine doesn't even like a light breeze to be actually so
[00:17:25.840 --> 00:17:33.120]   I know you can't take it to the beach. No, yeah. Yeah, I know here's a tear down of the ultra
[00:17:33.760 --> 00:17:36.880]   We're in which you could see the giant the very giant
[00:17:36.880 --> 00:17:43.440]   Uh battery in it. This is at the I fix it folks who do such a great job with their tear downs
[00:17:43.440 --> 00:17:46.320]   Um, it one thing I did learn though though
[00:17:46.320 --> 00:17:50.560]   It has temptings that might be because there's pentelobe screws in the back very visible
[00:17:50.560 --> 00:17:56.960]   Uh, do not take your watch apart apparently it's not easy to put back together
[00:17:56.960 --> 00:18:00.080]   Unless you're a trained professional
[00:18:00.080 --> 00:18:03.040]   Do not
[00:18:03.120 --> 00:18:07.440]   Anyway, the kind of the bottom line reviews Steven on the uh ultra worth it
[00:18:07.440 --> 00:18:13.280]   Well, you know, I do like the bigger screen and I was always a titanium watch guy
[00:18:13.280 --> 00:18:17.280]   I liked the six and seven and titanium. I thought it showed less scratches plus
[00:18:17.280 --> 00:18:22.080]   I like the sapphire display and you don't get that option on the series eight anymore. So if you want tatin
[00:18:22.080 --> 00:18:23.680]   well
[00:18:23.680 --> 00:18:26.000]   There it goes. Oh bye bye Steven
[00:18:26.000 --> 00:18:29.680]   Pleasure talking to you. Good luck in the hurricane
[00:18:30.560 --> 00:18:35.440]   Holy come only that's scary. That's terrifying. I heard his you. Yeah. I heard his ups
[00:18:35.440 --> 00:18:37.840]   Yeah, beep beep. There goes the power
[00:18:37.840 --> 00:18:40.800]   Uh, okay. We're
[00:18:40.800 --> 00:18:42.800]   Watch show this show the wide shot
[00:18:42.800 --> 00:18:44.960]   The hurricane is what happens now is
[00:18:44.960 --> 00:18:46.960]   Percums in and removes you
[00:18:46.960 --> 00:18:49.920]   Way
[00:18:49.920 --> 00:18:52.960]   Wait, he's back. Put him back. He's in the dark. I'll last
[00:18:52.960 --> 00:18:57.440]   I'll last as long as my APC runs on my max dude. I hear the beepin
[00:18:57.440 --> 00:19:00.000]   I hear the beepin
[00:19:00.000 --> 00:19:02.000]   It's amazing
[00:19:02.000 --> 00:19:04.000]   It's america
[00:19:04.000 --> 00:19:11.600]   We're gonna call him lazzarus roblis roblis from now on that's awesome. I I have the same ups when I heard that people like
[00:19:11.600 --> 00:19:16.960]   What's happening in my office? I know that be so if you're hearing it folks. It's not you. It's him
[00:19:16.960 --> 00:19:21.760]   Uh, anyway, uh, yeah final apple watch ultra review. I really like it
[00:19:21.760 --> 00:19:25.120]   You know, whether it's worth it if you're not an adventure is hard to say
[00:19:25.680 --> 00:19:30.320]   Liking the material liking the bigger screen for accessibility if you like making super large text
[00:19:30.320 --> 00:19:33.600]   Sorry about the beeping that might be a worthwhile feature
[00:19:33.600 --> 00:19:36.960]   But uh, I don't know I remains to be seen i'm going to use it for the next few weeks
[00:19:36.960 --> 00:19:40.480]   Without my series seven just strictly ultra and we'll see how it goes
[00:19:40.480 --> 00:19:45.120]   Uh turn on the flashlight on the watch and then that way you can just use the light
[00:19:45.120 --> 00:19:47.840]   You're like your beard the beard will stay on beyond
[00:19:47.840 --> 00:19:51.040]   That's not that bright
[00:19:51.040 --> 00:19:54.960]   You have to keep twisting your wrist
[00:19:55.840 --> 00:19:57.840]   I
[00:19:57.840 --> 00:20:05.360]   Know that by his apple watch in the midst of hurricane Ian
[00:20:05.360 --> 00:20:09.040]   Direct from tampa. It's beer good dot fm
[00:20:09.040 --> 00:20:11.680]   He was he was gonna be like camera as well
[00:20:11.680 --> 00:20:15.840]   I think it's gonna be like for the next apple keynote where they you know
[00:20:15.840 --> 00:20:20.480]   But thank god that I had my apple watch was able to light me during my live stream if
[00:20:21.200 --> 00:20:24.000]   I just don't want to think about what would have happened if I had not had my apple
[00:20:24.000 --> 00:20:27.680]   That's hysterical if I do my apple watch in my iphone. I can kind of you really you're well
[00:20:27.680 --> 00:20:32.800]   Well, you're well. You're probably the brightest thing in tampa. You need you need ipad for your learning. That's great
[00:20:32.800 --> 00:20:35.360]   Point out. We should point out
[00:20:35.360 --> 00:20:40.800]   It's not even raining in tampa yet. This is because they are converting your power to a generator
[00:20:40.800 --> 00:20:46.480]   Uh at this time so that you'll be ready when the hurricane hits, but you are actually not yet in a storm
[00:20:47.600 --> 00:20:53.920]   That's right and I think the ua pc will probably last for 10 whole minutes. So that's good. Sorry again for the the short short
[00:20:53.920 --> 00:21:00.000]   Visit but thank you again for this to me. This is the apple watch. I've always wanted. I mean I
[00:21:00.000 --> 00:21:05.360]   You know, I was very skeptical of the first apple watch. I thought that you know, it's just an accessory to your
[00:21:05.360 --> 00:21:12.160]   Phone it's not doesn't and then apple slowly added features. It made it more enticing for me like the activity tracking and
[00:21:12.160 --> 00:21:14.000]   uh and
[00:21:14.000 --> 00:21:19.920]   By now this thing is a phone. I mean it really is a phone. I can go out with it. Listen to music
[00:21:19.920 --> 00:21:24.480]   I can make phone calls. I can I mean I could do all that before I guess but with that big screen
[00:21:24.480 --> 00:21:27.040]   I just feel like it's it's got some real utility
[00:21:27.040 --> 00:21:30.640]   Um and I can always find out what longitude and latitude i'm at
[00:21:30.640 --> 00:21:36.080]   The compass is great. You know, you can see you have you set up the action button for anything yet leo
[00:21:36.080 --> 00:21:41.040]   Uh, yeah use it for a stopwatch. Uh, it's limited what you can set it for right uh steve
[00:21:41.040 --> 00:21:44.960]   Yeah, I will say oh go ahead rosemary. You can do this morning. Yeah. Yeah. Go ahead talk
[00:21:44.960 --> 00:21:50.640]   Um she set up a really cool thing where she created a shortcut because of course you can trigger a shortcut
[00:21:50.640 --> 00:21:55.840]   She did one where it is contextually aware so the shortcut when you hit that button it says
[00:21:55.840 --> 00:21:59.440]   If i'm in my focus mode in this specific focus mode do this
[00:21:59.440 --> 00:22:06.640]   Otherwise do this or do this or do that and so instead of the button just being like turn on something or turn off something or activate something
[00:22:07.040 --> 00:22:11.280]   Because it can be contextually aware. She's got a whole bunch of different things that can run
[00:22:11.280 --> 00:22:17.200]   And so I was thinking oh it'd be so nice. I've got an action button say and I press that button
[00:22:17.200 --> 00:22:22.240]   And it knows that I met my uh in my office and so it turns on my lights
[00:22:22.240 --> 00:22:25.760]   It turns on do not disturb it goes ahead and runs everything for me
[00:22:25.760 --> 00:22:31.040]   But if i'm uh driving and I hit the button then that could be used to do something else
[00:22:31.040 --> 00:22:35.760]   So yeah, you can get really powerful with that action button whenever you use contextual shortcuts
[00:22:35.840 --> 00:22:41.920]   It also has a shortcuts complication now. So I think start it's time to start writing shortcuts for the apple watch
[00:22:41.920 --> 00:22:46.080]   Uh, absolutely. Yeah, I'll have to think of what I could do with it. That's really interesting
[00:22:46.080 --> 00:22:50.400]   Yeah, I've haven't tried a shortcut yet, but I did program it for a swimming workout
[00:22:50.400 --> 00:22:54.480]   Which is helpful because once you're in the water it is difficult to use the touch screen
[00:22:54.480 --> 00:22:56.800]   And it will actually lock often
[00:22:56.800 --> 00:23:02.080]   Uh where you can't interact with it. So being able to hit that button and start a swimming workout without touching the screen
[00:23:02.480 --> 00:23:08.880]   Is really beneficial. Um, I will say I think this change with watchOS 9 to eject the water now from an apple watch
[00:23:08.880 --> 00:23:11.680]   You used to be able to just roll the digital crown
[00:23:11.680 --> 00:23:17.680]   It would kind of would spin to do the sound and that's it and now you actually have to hold the digital crown and it feels like a slower process
