
[00:00:00.000 --> 00:00:04.000]   [music]
[00:07:52.160 --> 00:07:57.040]   I think it's increasingly and supremely annoying to Apple that they have to start, they have
[00:07:57.040 --> 00:07:59.120]   to keep dealing with these customer service issues.
[00:07:59.120 --> 00:08:02.760]   I do think that there's going to be a total overhaul of how applications are reviewed
[00:08:02.760 --> 00:08:08.840]   and disavowed from a Russian out of the App Store.
[00:08:08.840 --> 00:08:12.320]   It's not going to be because, well, we've decided that we're not doing right by our
[00:08:12.320 --> 00:08:13.320]   consumers.
[00:08:13.320 --> 00:08:17.800]   It's just that it's becoming way too much of a headache to keep screening these apps
[00:08:17.800 --> 00:08:21.520]   the way they're doing it right now and also of dealing with the backlash when somebody
[00:08:21.520 --> 00:08:26.200]   realizes that, hey, I just put $12,000 into this application and not only am I not going
[00:08:26.200 --> 00:08:29.520]   to recover any of that money, but I have to hand back the $1,000 that I made off of those
[00:08:29.520 --> 00:08:32.120]   few sales that I was able to make in the two days that it was available.
[00:08:32.120 --> 00:08:35.880]   It is starting to be a huge headache for Apple, but they make money on this.
[00:08:35.880 --> 00:08:39.640]   Presumably, it's, well, this is the old debate we had about iTunes too.
[00:08:39.640 --> 00:08:43.680]   Is this profitable or is it just a way of selling iPhones for Apple?
[00:08:43.680 --> 00:08:46.320]   Well, I think it's about iPhones for Apple.
[00:08:46.320 --> 00:08:51.480]   I think they're in their core, Apple is still a hardware company that is empowered by
[00:08:51.480 --> 00:08:52.480]   software.
[00:08:52.480 --> 00:08:54.560]   They've got to stop thinking that way, don't you think?
[00:08:54.560 --> 00:08:55.560]   I don't think so.
[00:08:55.560 --> 00:08:56.560]   It's done.
[00:08:56.560 --> 00:08:57.560]   We're pretty well for them.
[00:08:57.560 --> 00:09:03.200]   In fact, I would say that they should go further down that path.
[00:09:03.200 --> 00:09:05.640]   I mean, I think that we saw a little bit of that with a new final cut update.
[00:09:05.640 --> 00:09:08.640]   One of the things we didn't cover last week was the upgrade price, which was only $2.99
[00:09:08.640 --> 00:09:10.480]   for the, you know, for that lower than usual?
[00:09:10.480 --> 00:09:11.480]   Yeah.
[00:09:11.480 --> 00:09:12.480]   Yeah.
[00:09:12.480 --> 00:09:17.400]   Normally, you would see a six, like a software only company would do an upgrade of, you know,
[00:09:17.400 --> 00:09:20.520]   $6.99 or so, you know, $5.99.
[00:09:20.520 --> 00:09:25.080]   I think that's about the upgrade for the CS4 production suite, which is not selling as
[00:09:25.080 --> 00:09:27.080]   well as 20% off your target.
[00:09:27.080 --> 00:09:28.640]   Maybe it's $2.99, yeah.
[00:09:28.640 --> 00:09:32.720]   You know, but you know, Apple coming in at $2.99 is that's something you do when you're
[00:09:32.720 --> 00:09:36.320]   a hardware company that is empowering your hardware sales with software.
[00:09:36.320 --> 00:09:41.040]   You know, iMovie is something you do when you're a hardware company, you know, free, you know,
[00:09:41.040 --> 00:09:42.040]   iMovie garage band.
[00:09:42.040 --> 00:09:49.040]   I think it's a really small thing to do when you're a hardware company that isn't powered
[00:09:49.040 --> 00:09:50.040]   by software.
[00:09:50.040 --> 00:09:51.040]   Yeah.
[00:09:51.040 --> 00:09:56.040]   But as John C. Devorek famously said, many moons ago, I'd rather have Bill Gates wallet
[00:09:56.040 --> 00:09:58.040]   than Steve Jobs wallet.
[00:09:58.040 --> 00:10:05.040]   Yeah, but I think that I still, I still strongly believe that that was largely a 1986 to 1996
[00:10:05.040 --> 00:10:06.040]   problem.
[00:10:06.040 --> 00:10:10.040]   Well, that's, I guess kind of what I'm thinking is that being a hardware company is such a
[00:10:10.040 --> 00:10:11.040]   2000.
[00:10:11.040 --> 00:10:15.180]   No, no, no, I guess I strongly believe that Apple, you know, just started after Steve
[00:10:15.180 --> 00:10:20.240]   Jobs for all of his, you know, ups and downs after Steve Jobs left Apple or was forced out
[00:10:20.240 --> 00:10:21.240]   of Apple.
[00:10:21.240 --> 00:10:26.800]   I think Apple coasted on the trajectory that he had derived for them and almost coasted
[00:10:26.800 --> 00:10:30.000]   to a standstill until he came back in and literally just went right back to where he
[00:10:30.000 --> 00:10:32.520]   started with the iMac and started doing it again.
[00:10:32.520 --> 00:10:36.800]   So the thing, I think that trying to figure out whether windows would have been as successful
[00:10:36.800 --> 00:10:41.440]   as they, as they were, you know, they, in the most critical time of Apple's development,
[00:10:41.440 --> 00:10:45.360]   they didn't have, you know, anyone at the stick, in my opinion.
[00:10:45.360 --> 00:10:46.360]   Yeah.
[00:10:46.360 --> 00:10:49.440]   I mean, the guys that were after Steve Jobs were for the most part useless.
[00:10:49.440 --> 00:10:50.440]   Yeah.
[00:10:50.440 --> 00:10:51.840]   You know, that's, that's pretty obvious.
[00:10:51.840 --> 00:10:53.200]   Hair spindler and guillameal.
[00:10:53.200 --> 00:10:54.800]   They're all useless.
[00:10:54.800 --> 00:10:57.400]   John Scully is a list of characters.
[00:10:57.400 --> 00:10:58.400]   Yeah.
[00:10:58.400 --> 00:11:02.440]   They were just typical management that you can't run a, you can't run a company like
[00:11:02.440 --> 00:11:03.440]   Apple with.
[00:11:03.440 --> 00:11:08.520]   What about, did you see Christmas seen as a blog post on his blog, factory Joe.com?
[00:11:08.520 --> 00:11:10.640]   Steve Jobs hates the App Store.
[00:11:10.640 --> 00:11:17.160]   Now I know this is a little much, but, but there's a certain kind of clarity to this
[00:11:17.160 --> 00:11:21.000]   conspiracy theory, but, but, but here's the deal.
[00:11:21.000 --> 00:11:24.240]   For the sake of argument, to make a point says Chris, let's say for a moment that Steve
[00:11:24.240 --> 00:11:27.360]   Jobs really did hate the App Store and everything it stands for.
[00:11:27.360 --> 00:11:32.200]   What if deep in his gut, he'd realized he'd been wrong to give in to developer demand.
[00:11:32.200 --> 00:11:35.200]   Let's not forget that when the iPhone first came out, there was no App Store you were
[00:11:35.200 --> 00:11:37.200]   supposed to do.
[00:11:37.200 --> 00:11:40.280]   A browser based applications.
[00:11:40.280 --> 00:11:43.640]   What if his illness was caused by the guilty felt over what he'd wrought by launching the
[00:11:43.640 --> 00:11:44.640]   App Store?
[00:11:44.640 --> 00:11:48.960]   What if every ounce of his gaunt figure yearned for the demise of the App Store?
[00:11:48.960 --> 00:11:49.960]   What would he do?
[00:11:49.960 --> 00:11:55.360]   Well, he'd start by, says factory Joe capriciously and indiscriminately rejecting applications,
[00:11:55.360 --> 00:11:59.880]   raising the ire of developers as well as famous rock stars far and wide.
[00:11:59.880 --> 00:12:03.520]   Any label, any app that connected to third party servers of the web with the equivalent
[00:12:03.520 --> 00:12:08.320]   of an NC 17 rating cutting off anyone whose phone is locked down by parental controls?
[00:12:08.320 --> 00:12:09.320]   I didn't know that.
[00:12:09.320 --> 00:12:10.840]   Parental controls block all of that.
[00:12:10.840 --> 00:12:13.600]   To make matters even more interesting, he'd put the entire control of the rating system
[00:12:13.600 --> 00:12:18.800]   in the hand of monkeys and people's on the mechanical Turk.
[00:12:18.800 --> 00:12:23.440]   Then he'd go and produce a new hardware device in response to years of speculation and change
[00:12:23.440 --> 00:12:27.720]   up the form factor and screen real estate for apps, forcing developers to port their
[00:12:27.720 --> 00:12:31.920]   apps to this new resolution, resulting in even more headaches.
[00:12:31.920 --> 00:12:38.000]   Oh, and the price of an app would be perpetually driven down towards zero as reuse trails off
[00:12:38.000 --> 00:12:42.120]   after mere days of use, while only a few breakthrough successes would make any money
[00:12:42.120 --> 00:12:44.320]   whatsoever.
[00:12:44.320 --> 00:12:46.640]   Back and to the left.
[00:12:46.640 --> 00:12:48.320]   Back and to the left.
[00:12:48.320 --> 00:12:53.040]   Once again, back and to the left.
[00:12:53.040 --> 00:12:55.000]   So does that seem reasonable?
[00:12:55.000 --> 00:13:00.000]   It's true that if you think of it this way, Apple has done everything possible to make
[00:13:00.000 --> 00:13:04.920]   the App Store a nightmare for not only for its customers, but for Apple itself.
[00:13:04.920 --> 00:13:05.920]   You just said it.
[00:13:05.920 --> 00:13:10.600]   They'd love to get out of this business of picking apps.
[00:13:10.600 --> 00:13:14.960]   I think that they know how important the App Store is.
[00:13:14.960 --> 00:13:19.760]   The iPhone achieved much greater velocity after the App Store arrived than before when
[00:13:19.760 --> 00:13:21.200]   everything was web based.
[00:13:21.200 --> 00:13:27.080]   I think they want to make so much sense for them to essentially outsource the rating and
[00:13:27.080 --> 00:13:31.000]   the operation of the App Store only because again, it's produced.
[00:13:31.000 --> 00:13:33.040]   They want the money that it want the headaches.
[00:13:33.040 --> 00:13:36.640]   Outsourcing that operation will give them what they want on both sides.
[00:13:36.640 --> 00:13:41.280]   I think it's pretty obvious when you read the blog post that's more of a what if it's
[00:13:41.280 --> 00:13:42.280]   more.
[00:13:42.280 --> 00:13:43.280]   It's a tongue and cheek.
[00:13:43.280 --> 00:13:44.280]   I understand.
[00:13:44.280 --> 00:13:45.280]   Exactly.
[00:13:45.280 --> 00:13:46.280]   It's funny.
[00:13:46.280 --> 00:13:47.000]   It's like, you know, just like the Irish, probably, I think should not be eating their
[00:13:47.000 --> 00:13:50.160]   babies as the famous poet said.
[00:13:50.160 --> 00:13:52.280]   Some people might freak out and think of it.
[00:13:52.280 --> 00:13:54.600]   It's funny because there's some truth in it.
[00:13:54.600 --> 00:13:55.600]   It feels like it.
[00:13:55.600 --> 00:13:58.600]   But I think that, you know, I think Apple, I mean, I think we've seen what happens on
[00:13:58.600 --> 00:14:01.600]   the other end of that when you don't have enough control with the Amazon, the Kindle
[00:14:01.600 --> 00:14:05.600]   issue that happened that's turned into, you know, a lawsuit now.
[00:14:05.600 --> 00:14:06.600]   Yeah.
[00:14:06.600 --> 00:14:08.880]   Well, kind of late my homework, man.
[00:14:08.880 --> 00:14:12.880]   Well, but no, but I guess what I'd say though is that is that you, you know, Apple is still
[00:14:12.880 --> 00:14:13.880]   trying to figure it out.
[00:14:13.880 --> 00:14:17.960]   I think everyone's trying to figure out what the right method is, you know, to control
[00:14:17.960 --> 00:14:21.760]   your brand, you know, because there are, you know, and be able to get people the freedom
[00:14:21.760 --> 00:14:22.760]   that they want.
[00:14:22.760 --> 00:14:27.880]   Has Apple strayed too far in the side of control and fascism?
[00:14:27.880 --> 00:14:31.320]   For me, the Google one was the first one where I really went.
[00:14:31.320 --> 00:14:34.480]   They really, yeah, they really, that was too far.
[00:14:34.480 --> 00:14:36.680]   Andy, you think they've gone too far?
[00:14:36.680 --> 00:14:39.640]   I, again, I need to know exactly the reasons why they did it.
[00:14:39.640 --> 00:14:40.640]   I would be some.
[00:14:40.640 --> 00:14:41.640]   Well, what does that mean?
[00:14:41.640 --> 00:14:42.640]   They will never tell you.
[00:14:42.640 --> 00:14:43.640]   What does that mean?
[00:14:43.640 --> 00:14:50.720]   I'm saying that I'm inclined or maybe a better word would be prejudiced to believe that anytime
[00:14:50.720 --> 00:14:56.120]   that there is an app that's been rejected that could be blamed on a network issue.
[00:14:56.120 --> 00:15:00.320]   I think it, I think I really have to be open to the possibility that this is an AT&T contract
[00:15:00.320 --> 00:15:03.280]   issue as opposed to Apple just being jerks.
[00:15:03.280 --> 00:15:07.680]   I mean, Apple was quote being jerks and quote for not allowing turn by turn directions and
[00:15:07.680 --> 00:15:11.240]   then turns out that, well, no, it's because they licensed certain, they licensed certain
[00:15:11.240 --> 00:15:12.240]   map info.
[00:15:12.240 --> 00:15:17.360]   Rather, their deal with Google says that they cannot use the map data that they're getting
[00:15:17.360 --> 00:15:19.200]   from Google for turn by turn.
[00:15:19.200 --> 00:15:20.440]   Google can't Google.
[00:15:20.440 --> 00:15:23.200]   I mean, for me, exactly right.
[00:15:23.200 --> 00:15:27.520]   But so I mean, which, which, and then suddenly those blog posts is, oh, well, Apple doesn't
[00:15:27.520 --> 00:15:34.320]   want the Apple doesn't want the $9 application to compete with AT&T's $10 per month turn by
[00:15:34.320 --> 00:15:35.320]   turn navigation service.
[00:15:35.320 --> 00:15:37.080]   I know it turns out to be something very simple.
[00:15:37.080 --> 00:15:43.240]   Now, again, I'll say it again, I think that Apple was not prepared for what it would take
[00:15:43.240 --> 00:15:45.240]   for them to get an app store up and running.
[00:15:45.240 --> 00:15:51.360]   I don't think that they foresaw that a simple guy making maybe five bucks over minimum wage
[00:15:51.360 --> 00:15:54.880]   or simply clicks a yes or a no button on every application that comes in, that that could
[00:15:54.880 --> 00:15:59.800]   have incredible repercussions a week or two weeks after he clicks that button.
[00:15:59.800 --> 00:16:03.040]   And again, I would be very, very shocked if this time next year there was not some other
[00:16:03.040 --> 00:16:04.360]   sort of system in place.
[00:16:04.360 --> 00:16:11.120]   Either again, some sort of outsourced ranking system or some sort of set into stone written
[00:16:11.120 --> 00:16:14.000]   down on actual paper in ink, black and white.
[00:16:14.000 --> 00:16:16.040]   Here are the reasons why we will approve your app.
[00:16:16.040 --> 00:16:18.360]   Here are reasons why we will not approve.
[00:16:18.360 --> 00:16:19.720]   We will not approve your app.
[00:16:19.720 --> 00:16:24.400]   And if we ever, and though we reserved the right to turn down your app for any reason,
[00:16:24.400 --> 00:16:28.880]   if we use a reason that is not on this piece of paper, we will in some way compensate you
[00:16:28.880 --> 00:16:32.640]   for the losses that you incurred after we approved it and then pulled it.
[00:16:32.640 --> 00:16:37.520]   People do itself a hell of a lot of good if they explained that all of this is AT&T's
[00:16:37.520 --> 00:16:38.520]   fault.
[00:16:38.520 --> 00:16:39.520]   They're not.
[00:16:39.520 --> 00:16:40.880]   They're just, they're just eating it.
[00:16:40.880 --> 00:16:42.520]   You think they can't?
[00:16:42.520 --> 00:16:43.520]   I think they can.
[00:16:43.520 --> 00:16:45.480]   You know, you think they can.
[00:16:45.480 --> 00:16:46.480]   I don't think they can.
[00:16:46.480 --> 00:16:50.320]   I think that's part of the, they just have to suck it up.
[00:16:50.320 --> 00:16:55.000]   Again, I've had conversations with people at Apple like fairly high up and you talked
[00:16:55.000 --> 00:16:59.480]   them about AT&T and even in these situations, you know that their questions they can't answer.
[00:16:59.480 --> 00:17:02.320]   But you get, I don't know.
[00:17:02.320 --> 00:17:08.920]   I was about to say something that was based on my reading body language and intonations
[00:17:08.920 --> 00:17:10.000]   where I suppose I shouldn't say that.
[00:17:10.000 --> 00:17:15.200]   But as I said, it's one of the reasons why I am inclined to extend some benefit of the
[00:17:15.200 --> 00:17:21.640]   doubt to Apple when again, it could be an AT&T partnership problem as opposed to Apple
[00:17:21.640 --> 00:17:24.760]   just being shortsighted or Apple being jerks.
[00:17:24.760 --> 00:17:26.840]   All right.
[00:17:26.840 --> 00:17:28.560]   We'll give them the benefit of that.
[00:17:28.560 --> 00:17:30.840]   Again, that's not necessarily given the benefit of the doubt.
[00:17:30.840 --> 00:17:32.720]   That's one of the possibilities.
[00:17:32.720 --> 00:17:35.160]   Of all the reasons in front of us, I don't want to jump to again.
[00:17:35.160 --> 00:17:36.880]   You get to 10 or 12 hours.
