
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly. I'm back. I miss you guys Renee Richie's here Alex Lindsey's here
[00:04:37.820 --> 00:04:41.020]   Not that well that that's that's a really hard test case
[00:04:41.020 --> 00:04:46.940]   It's always using AI to figure out if there's a better one. Uh, there's a bust of some dead guy
[00:04:46.940 --> 00:04:53.340]   Bust of us that actually uses that actually uses portrait lighting. I have a chinese dish bust of some dead guy
[00:04:53.340 --> 00:04:58.460]   Um, let me see here. Uh, tell me when I get to it. You'll see it. Yeah
[00:04:58.460 --> 00:05:03.580]   Well, either with smooth edges. Oh that anything that's gonna look great and believe it and that
[00:05:03.580 --> 00:05:08.140]   And that is with that is with portrait lighting and I took I took one without portrait lighting and it was very
[00:05:08.140 --> 00:05:11.100]   Very flat not quite as interesting
[00:05:11.100 --> 00:05:17.740]   Uh, even so I would say that if you look at like the left edge of the of the of the head, that's a little too crisp
[00:05:17.740 --> 00:05:19.500]   It's a little too sharp
[00:05:19.500 --> 00:05:23.660]   But they did say that portrait lighting is uh is a is a beta at this point
[00:05:23.660 --> 00:05:27.580]   So uh and there and i've seen i've seen well set up shots
[00:05:27.580 --> 00:05:30.860]   Like where there's a lot of distance between the foreground and the background
[00:05:31.260 --> 00:05:36.300]   Uh, where a lot of these shots look just amazing, but you've been very impressed in it with the dynamic range
[00:05:36.300 --> 00:05:39.100]   Uh, effect. Here's a shot to give you a good example
[00:05:39.100 --> 00:05:41.980]   Yeah, that's that's uh
[00:05:41.980 --> 00:05:46.060]   If you uh, I believe I believe it selected hdr automatically for that one
[00:05:46.060 --> 00:05:50.060]   But i'm also taking pictures with a pixel right next to it and it's also available
[00:05:50.060 --> 00:05:55.420]   It also is allowed to use hdr if it wants and the thing is it's not it didn't just capture that really
[00:05:56.700 --> 00:06:01.420]   Subtle subtle disk of light being projected through the windows and that those doors
[00:06:01.420 --> 00:06:06.300]   But you can also look at the doors themselves and see that even though they're almost black in shadow
[00:06:06.300 --> 00:06:11.740]   It's like a leathery covered in a leathery substance. There are like rivets and studs in it
[00:06:11.740 --> 00:06:13.100]   I was very pleased with it
[00:06:13.100 --> 00:06:17.100]   Some of the hdr that I got from the iphone 8 were kind of artificial
[00:06:17.100 --> 00:06:22.620]   I wasn't posting if there's a I took an hdr picture at like little or that magic hour
[00:06:23.020 --> 00:06:27.580]   Uh in boston. Common where you can see the skyline of boston with a ball fields in front of it
[00:06:27.580 --> 00:06:30.380]   And it was a little it was it was a very pretty picture
[00:06:30.380 --> 00:06:35.900]   But it was a little unnatural uh to my eye not not as natural as the hdr plus that the google pixel does
[00:06:35.900 --> 00:06:40.700]   And also later on I was taking other pictures that were like, that's really so cartoony that
[00:06:40.700 --> 00:06:47.500]   I'm not an example. I see this a lot of kind of blown out images and i'm not sure why the iphone
[00:06:47.500 --> 00:06:52.780]   Yeah, well, that's confused here. That's panorama mode panorama. They're there. You can't do much about that
[00:06:52.860 --> 00:06:56.540]   Yeah, there are a few things that the I think that the pixel phones do better
[00:06:56.540 --> 00:07:03.340]   I think that the way that the way that it does panoramas on google phones is much much better
[00:07:03.340 --> 00:07:07.100]   It's kind of annoying to have to really i'm i'm kind of over the idea
[00:07:07.100 --> 00:07:10.220]   I'm going to have to carefully make sure the arrow is on the line
[00:07:10.220 --> 00:07:18.940]   It's kind of no no too fast. No, no too slow. Whereas the the google stock camera app. It just basically it's it's almost like augmented reality
[00:07:18.940 --> 00:07:20.700]   just simply
[00:07:20.700 --> 00:07:22.700]   puts circle targets
[00:07:22.700 --> 00:07:26.380]   Ring targets like in over the live
[00:07:26.380 --> 00:07:32.620]   Live image that you're looking at and you just simply move until you line up a blue dot
[00:07:32.620 --> 00:07:34.940]   Inside each one of those targets. So
[00:07:34.940 --> 00:07:39.260]   uh, like uh one of the later pictures, uh, there's uh tour groups come in through
[00:07:39.260 --> 00:07:46.620]   Uh, the library about once an hour hour and a half and you know, nothing will ruin a panorama like oh suddenly there are like 30 tourists
[00:07:46.700 --> 00:07:51.660]   Just standing right where you need to be so I was in the middle of a panorama with a google phone
[00:07:51.660 --> 00:07:53.340]   I was able to simply
[00:07:53.340 --> 00:07:58.300]   Send stand there patiently like that scene in the movie where someone is holding on to the the grenade
[00:07:58.300 --> 00:08:01.180]   And the moment he was like he drops it like the brain
[00:08:01.180 --> 00:08:01.980]   Gonna go off
[00:08:01.980 --> 00:08:06.700]   So I was standing there with the holding the phone in place for a good like eight to ten minutes
[00:08:06.700 --> 00:08:09.820]   And as soon as the crowd left then I could continue making this with the shot
[00:08:09.820 --> 00:08:11.180]   So
[00:08:11.180 --> 00:08:12.860]   But um, but to more of the point
[00:08:12.860 --> 00:08:16.860]   I mean, I was really really pleased with the iPhone 8 when I still think that the
[00:08:16.860 --> 00:08:19.340]   iPhone is
[00:08:19.340 --> 00:08:25.900]   Consistently my favorite phone camera, even though it doesn't necessarily always take the best pictures in every situation
[00:08:25.900 --> 00:08:33.820]   It's the one that acts most like a camera where you're you're there to hold up frame frame of compose a picture press a button and get a picture
[00:08:33.820 --> 00:08:39.500]   Uh, and that at that it's the most natural the most beautiful the most
[00:08:40.220 --> 00:08:45.100]   Inattressive way to get pictures unreliable too. So I'm I have to say that I'm now a notch
[00:08:45.100 --> 00:08:51.260]   It won't happen this year, but next year when next year I might buy an iPhone is my daily carry
[00:08:51.260 --> 00:08:53.740]   I just it's it's a nice phone man
[00:08:53.740 --> 00:08:59.420]   Well, I guess I had I didn't have the 8 on our vacation
[00:08:59.420 --> 00:09:02.540]   But I was but there were a couple of times when I didn't
[00:09:02.540 --> 00:09:08.060]   Bring my big camera my big heavy camera with me, but instead took pictures
[00:09:09.100 --> 00:09:13.900]   Using the iPhone and I have to say even the iPhone 7 plus I was I was very
[00:09:13.900 --> 00:09:19.900]   Happy with the images. I was getting um with the 7 plus effect. I I don't
[00:09:19.900 --> 00:09:23.020]   I know the 8 is an incremental
[00:09:23.020 --> 00:09:27.420]   Increment this is these are natural library low light 60 watt bulb of images
[00:09:27.420 --> 00:09:32.620]   I know the 8 is incrementally better, but I don't know if it's so much better that I would say to people if you've got a 7
[00:09:32.620 --> 00:09:37.260]   Plus you should go get an 8 plus would you no I would agree if you I
[00:09:37.660 --> 00:09:40.460]   For the past two or three generations, I think that uh
[00:09:40.460 --> 00:09:43.420]   Apple's been doing
[00:09:43.420 --> 00:09:45.580]   It's been for the past couple generations it's been
[00:09:45.580 --> 00:09:51.980]   Incrementally better than the model that came just before it but so much better the one that came just before that
[00:09:51.980 --> 00:09:57.420]   Yeah, so if you haven't bought a so if you're most people will upgrade their phones on a two or three year cycle
[00:09:57.420 --> 00:10:00.780]   Those are the people are gonna say oh my god. I can't believe the pictures
[00:10:00.780 --> 00:10:02.860]   I'm I can instantly tell but I look in instagram
[00:10:02.860 --> 00:10:05.660]   Which ones I took with the old camera which one I took with a new one?
[00:10:05.980 --> 00:10:11.420]   But it's not a reason it's been a while since there's been a reason to upgrade a phone just to get the new camera
[00:10:11.420 --> 00:10:14.940]   These are also I'm interested because even though I'm taking with a seven
[00:10:14.940 --> 00:10:17.340]   I guess because of iOS 11. These are stored
[00:10:17.340 --> 00:10:19.980]   In heic
[00:10:19.980 --> 00:10:26.940]   Format so that's interesting hia. Yeah, it says heic is the extension, but I know it's it's hef
[00:10:26.940 --> 00:10:30.860]   Yeah, yeah, but I presume this c is just some variant on that
[00:10:30.860 --> 00:10:35.740]   Um, there is a little compression softness, but I think that's google. These are google photos
[00:10:35.740 --> 00:10:38.460]   I don't have a as you know, yeah, I don't have a mac and tush
[00:10:38.460 --> 00:10:41.980]   The biggest difference for me is that the iPhone 7 took pictures iPhone 7 plus took pictures
[00:10:41.980 --> 00:10:45.580]   I couldn't get previously and the iPhone 8 plus just takes those pictures better
[00:10:45.580 --> 00:10:50.940]   So it's like the textures are better. The separation is better, but it's subtle leaves in it. Yeah, no totally
[00:10:50.940 --> 00:10:55.660]   Side-by-side ab comparison to really totally but like any said it's not yeah
[00:10:55.660 --> 00:10:57.980]   Most they don't really intend people to upgrade year after year
[00:10:57.980 --> 00:11:01.500]   They mean for people who were like two years on three years on to be getting that phone
[00:11:02.140 --> 00:11:05.980]   I keep meaning to write a column just about not about any particular phone camera
[00:11:05.980 --> 00:11:11.020]   But about how now I really think differently about phone cameras in general that I
[00:11:11.020 --> 00:11:16.940]   I've stopped doing those kind of meticulous side-by-side comparisons because I think that that's just a way to convince yourself
[00:11:16.940 --> 00:11:22.220]   That if you want to think that the iPhone 8 is will blow away the the iPhone 7
[00:11:22.220 --> 00:11:27.820]   Find a slightly challenging picture and then really zoom in on the pixels and say aha
[00:11:27.820 --> 00:11:31.500]   Yes, yeah, I can see more a little bit more noise when I magnified by a thousand times
[00:11:31.820 --> 00:11:36.060]   Right now if you spend if you spend a high end for amount of money for any phone
[00:11:36.060 --> 00:11:39.180]   You're almost never going to get a picture that's any less than good
[00:11:39.180 --> 00:11:44.860]   And when you go from model to model maker to maker you're going to find that there are some situations that
[00:11:44.860 --> 00:11:48.140]   One one phone will do better at than the others
[00:11:48.140 --> 00:11:50.700]   I will say that they're the only
[00:11:50.700 --> 00:11:57.420]   I think that the iPhone does have one quirk that seems to remain solid since the iPhone 7 it does have a tendency to
[00:11:57.420 --> 00:12:01.340]   I think it's oh, I think that internally it's philosophically okay
[00:12:01.820 --> 00:12:05.740]   With the occasional blowout like if you have if you're if you're
[00:12:05.740 --> 00:12:08.860]   Taking a picture of someone with like a shiny forehead
[00:12:08.860 --> 00:12:15.020]   You're more likely to get just this blown out like dot of white on that on that highlight on an iPhone
[00:12:15.020 --> 00:12:19.740]   Picture then on something I took with my pixel or with a with a Samsung phone
[00:12:19.740 --> 00:12:24.380]   I don't necessarily know what that is. It's I don't consider it a defect. I consider it a quirk
[00:12:24.380 --> 00:12:30.220]   I think it just says that if I can overexpose a little bit and make sure that the skin tones are good
[00:12:30.540 --> 00:12:33.580]   For instance skin tones are boy to those things pop
[00:12:33.580 --> 00:12:39.500]   That's I I don't I hesitate to pick to do like selfies as part of like my test because
[00:12:39.500 --> 00:12:43.580]   You know, I was I was lucky that I shaved that I shaved that morning
[00:12:43.580 --> 00:12:46.700]   I was wearing something nice because they have cameras in the studio
[00:12:46.700 --> 00:12:51.100]   Normally I might be like in work mode where oh god i haven't shaved for two days
[00:12:51.100 --> 00:12:57.740]   But this I included that one be at the bpl because again those skin they're vibrant. They're alive
[00:12:57.820 --> 00:13:00.860]   There's nothing flat about it. It was a really beautiful job
[00:13:00.860 --> 00:13:04.540]   Alex you're still using the success because you need a headphone jack. Do you
[00:13:04.540 --> 00:13:08.860]   Are you looking at these images and I you're a serious photographer too
[00:13:08.860 --> 00:13:13.900]   No, I I go back and forth. So I I actually carry both a seven and a success at this point
[00:13:13.900 --> 00:13:19.020]   So I have both of them usually in my pocket my my seven is my my T-Mobile that I
[00:13:19.020 --> 00:13:24.060]   Use primarily when i'm overseas and then my my success is the kind of the one that i'm using most of the time
[00:13:24.540 --> 00:13:29.020]   But I usually have them both and I and I admit that I if i'm gonna if i'm serious about a picture
[00:13:29.020 --> 00:13:32.300]   I'll usually pull out my seven and take a picture. Yeah, so it's definitely a
[00:13:32.300 --> 00:13:38.140]   I mean just the ability to zoom makes a difference. Yeah, you know you get you get used to that zoom and you're like
[00:13:38.140 --> 00:13:42.940]   Ah, you know, just even if you're just gonna go to two x just being able to just tap it and get a little bit of a closer shot
[00:13:42.940 --> 00:13:48.140]   We should say it's not fair to compare it to the pixel because that's a year old phone and tomorrow
[00:13:48.140 --> 00:13:51.100]   Google will announce the next generation
[00:13:51.420 --> 00:13:57.980]   Pixel and the one of the rumors that I would love to be true is that they will follow an lg's footsteps and do a really wide
[00:13:57.980 --> 00:14:01.420]   Do a two lens solution with 125 degree
[00:14:01.420 --> 00:14:07.020]   Uh angle on on the lg some of the lg wide angle shots. I've seen her just really great really cool
[00:14:07.020 --> 00:14:11.500]   And just oh I guess that the video is also really nice with the 60 frames per second 10 ADP
[00:14:11.500 --> 00:14:16.300]   We had a huge about a fun with that especially people who work on youtube seem to especially enamored
[00:14:16.300 --> 00:14:19.500]   Yeah with the 60 frames a second gives a point that go pro
[00:14:20.060 --> 00:14:26.140]   120 frame a second gives you kind of the go pro feel you know that so if someone wants to use that that's that's good solution
[00:14:26.140 --> 00:14:31.180]   Renee is the iphone 10 that's going to be the same camera, right?
[00:14:31.180 --> 00:14:39.740]   It's a slightly different instead of uh 2.8 is 2.4 on the telephoto and both of them are optically image stabilized
[00:14:39.740 --> 00:14:42.460]   Oh, and that's not the case on the eight plus yeah
[00:14:42.460 --> 00:14:47.820]   On the eight plus it's the same as the seven plus where the the quote unquote telephoto is don't actually that's it
[00:14:48.540 --> 00:14:51.180]   Well, I in my opinion a significant difference
[00:14:51.180 --> 00:14:53.660]   Uh, you have to go on that telephoto
[00:14:53.660 --> 00:15:00.380]   Yeah, you you might not notice it, but if some of your pictures whether you take with the with the zoom on the iphone seven or the iphone eight
[00:15:00.380 --> 00:15:03.900]   Seem like they're a little less sharp than others
[00:15:03.900 --> 00:15:09.820]   It's because when you zoom zoom zoom zoom zoom and you're using the using the uh the optical uh doubling
[00:15:09.820 --> 00:15:14.380]   If the if if you're in a low light situation the iphone says okay
[00:15:15.020 --> 00:15:20.140]   The light is so bad that I think that a better picture will result if I actually use the wide angle lens
[00:15:20.140 --> 00:15:24.380]   The normal lens that is more light sensitive and then just do a digital zoom
[00:15:24.380 --> 00:15:32.140]   Then to give the person the optical zoom through a lens that can let in less light. So that will get rid of one quote problem unquote. Yeah
[00:15:32.140 --> 00:15:34.860]   um
[00:15:34.860 --> 00:15:37.660]   I guess the so the question in people's minds at this point
[00:15:37.660 --> 00:15:44.460]   There are two one is if I have a six or six s or seven should I upgrade to the eight and then the second question is
[00:15:44.460 --> 00:15:46.940]   Should I just skip the eight and go right to the 10?
[00:15:46.940 --> 00:15:49.500]   the 10 is
[00:15:49.500 --> 00:15:51.500]   Just as I would say that the eight
[00:15:51.500 --> 00:15:55.420]   Plus is to the seven plus as the 10 is to the eight plus does that make
[00:15:55.420 --> 00:16:00.940]   It's a it's incremental. I could be a big difference on the screen. It's going to have face not touch
[00:16:00.940 --> 00:16:04.780]   The true depth camera the camera will be better. Yeah
[00:16:04.780 --> 00:16:10.220]   I my opinion is that I think that the iphone 10 has to be considered like it's a
[00:16:10.700 --> 00:16:16.540]   Different platform and a different thing you are partly right you have to swipe the ways that are different
[00:16:16.540 --> 00:16:21.100]   Yeah, you're not gonna have the home keep home button, but I I predict that people are going to be over that by
[00:16:21.100 --> 00:16:25.420]   The first week. I think once you get used to it. Uh, I think you'll get used to it
[00:16:25.420 --> 00:16:28.700]   It'll be it'll be like my adjustment on ios 10 on my ipad pro
[00:16:28.700 --> 00:16:35.580]   Where again, I'm I keep wanting to turn off and on wifi and keep forgetting how to do that but then gradually
[00:16:35.580 --> 00:16:38.620]   Um, I think it's gonna be it's it's gonna be a tough choice
[00:16:38.940 --> 00:16:42.700]   chiefly because remember that apple has apple apple is on its second or maybe even
[00:16:42.700 --> 00:16:48.860]   At least it's second iteration of building phones designed on this body type with the iphone 8 and the 8 plus
[00:16:48.860 --> 00:16:53.660]   So you know that everything is really locked down very very well. This is something they've with the iphone 10
[00:16:53.660 --> 00:16:57.020]   This is something they've never done before they've never built these before in volume
[00:16:57.020 --> 00:17:03.580]   There are going to be things that in this model that are going to be different in three months and different in the iphone
[00:17:03.580 --> 00:17:07.340]   x plus x plus one if whatever they decide to call it
[00:17:08.140 --> 00:17:14.860]   And it's you're not going to get a performance improvement because they really get they're gonna have the same cpu's and the same stuff like that
[00:17:14.860 --> 00:17:20.220]   I've met the only thing that makes it kind of an interesting question for people who are thinking about this is that
[00:17:20.220 --> 00:17:24.060]   They are probably going to be in really short supply. It's probably going to be really hard to get them
[00:17:24.060 --> 00:17:28.300]   Uh when you think you want to have them so and given that apple has the
[00:17:28.300 --> 00:17:35.260]   Has there two weeks we don't care. We don't even need a reason just return it with a box and everything it came with and we'll give you your money back thing
[00:17:35.660 --> 00:17:40.460]   I for that reason I think that it's not if you're interested in the iphone 10 as a daily carry
[00:17:40.460 --> 00:17:43.740]   It's not a bad idea to camp out in your living room
[00:17:43.740 --> 00:17:48.780]   With the with the apple app and try to get your order in as early as possible
[00:17:48.780 --> 00:17:54.060]   So that maybe you'll get it in the within the first month with the idea that you're just going to be testing it out for
[00:17:54.060 --> 00:17:56.700]   Two weeks minus four hours
[00:17:56.700 --> 00:18:02.060]   Uh and you'll be able to return it because believe me by the time you get by the time you get that iphone 10 ships
[00:18:02.460 --> 00:18:07.100]   You will be able to get any iphone 8 or 8 plus you want in any color with any size storage
[00:18:07.100 --> 00:18:09.580]   How hard is it going to be to get the iphone 10?
[00:18:09.580 --> 00:18:17.820]   Unknown but probably really hard easy. Yeah, but there was that story in the wall street journal last week about romeo and juliette
[00:18:17.820 --> 00:18:21.580]   Oh god a pair of components in the face id
[00:18:21.580 --> 00:18:23.260]   Uh
[00:18:23.260 --> 00:18:28.300]   What one of them i don't remember which one was delayed and they two go together
[00:18:28.300 --> 00:18:32.540]   So that's the component that's holding things up according to the journal journal is pretty good about this. Isn't it?
[00:18:32.540 --> 00:18:36.700]   Renee no, I mean it's good. It's it's every generation. I mean one year
[00:18:36.700 --> 00:18:42.620]   It's the retina display controls the next year is the a you know the a series processor the next year
[00:18:42.620 --> 00:18:47.340]   It's the touch i the touch i'd always always have to produce in such massive quantities
[00:18:47.340 --> 00:18:49.740]   It's brand like to anti-stirler point is brand new technology
[00:18:49.740 --> 00:18:53.340]   They're trying to produce at scale and this thing is full of quote unquote reveille boards
[00:18:53.340 --> 00:18:57.580]   So it's you know, it's all brand like the essential phone which only sold 5,000
[00:18:57.980 --> 00:18:59.980]   That's not so hard, right?
[00:18:59.980 --> 00:19:05.020]   Well, I mean, why are you 750 million? It's a you know, it's another matter entirely
[00:19:05.020 --> 00:19:09.980]   It will be easy to get an iphone 10. It will not be easy to get it anytime soon. Yeah, so yeah, right
[00:19:09.980 --> 00:19:17.100]   I mean, I think that everyone that orders between midnight and 1205 will probably get one in the first get one in two
[00:19:17.100 --> 00:19:22.140]   You think we'll get a october third. That's the ship date. No, no, no, no, no vember third
[00:19:22.140 --> 00:19:26.140]   Not me no vember third. Sorry. Yeah, uh, do you think some people will get it?
[00:19:26.380 --> 00:19:28.380]   No, I think some people will
[00:19:28.380 --> 00:19:36.300]   But again, I think I think all the one that says that the bulk he believes the because china is such an important market apple
[00:19:36.300 --> 00:19:39.340]   And they've been slipping in china and china is so status
[00:19:39.340 --> 00:19:47.420]   Sensitive and and and the chinese market really wants the latest greatest that the bulk of iphone 10s that they can make will be ships china
[00:19:47.420 --> 00:19:52.300]   Not to hear it'll probably I mean if they were really concerned they would only do the launch in the us and maybe china
[00:19:52.300 --> 00:19:55.260]   That's what they've done in the past when they were incredibly concerned about supply
[00:19:55.260 --> 00:20:00.220]   The fact that they're doing it and you know five or six or eight even countries means they're probably not critical
[00:20:00.220 --> 00:20:03.500]   On the amount of volume, but it will be constrained within each of those
[00:20:03.500 --> 00:20:10.060]   Constraints and constraints apply creates more press it creates more drive, you know, demand it's
[00:20:10.060 --> 00:20:16.700]   Horrible it's not bad for them. Especially if you have an iphone eight to sell you have something to sell people when they come in the store
[00:20:16.700 --> 00:20:19.580]   And there's also there's like there's a really interesting duality this year
[00:20:19.580 --> 00:20:23.420]   Like when apple went from the iphone five s to the iphone six or a lot of people who weren't happy
[00:20:23.500 --> 00:20:26.140]   They just did not want a bigger phone for a variety of reasons
[00:20:26.140 --> 00:20:28.140]   I feel it was in their hands or the design or whatever
[00:20:28.140 --> 00:20:32.380]   They wanted a better iphone five and it took apple 18 months to give them the iphone se
[00:20:32.380 --> 00:20:36.380]   And this year, you know if apple had just done the iphone six sorry the iphone 10
[00:20:36.380 --> 00:20:39.980]   Be much people say I just I don't want that I want touch idea. I want a home button
[00:20:39.980 --> 00:20:42.220]   I want I want what I want I just want it better
[00:20:42.220 --> 00:20:49.420]   And this year they're taking a lot of pressure off iphone 10 by saying if all you want is the iphone six or six s or whatever that you currently have
[00:20:49.900 --> 00:20:54.220]   Just a lot better version of it. You can go buy an iphone eight today. You'll have your home button. You'll have your touch ID
[00:20:54.220 --> 00:20:57.740]   Everything you're used to you don't have to worry about it. Nothing's going to change
[00:20:57.740 --> 00:21:03.500]   Go get it if you are bored to tears with this design. We heard you last year if you are bored to tears of design
[00:21:03.500 --> 00:21:07.340]   We have something all new for you. You got to pay a little bit of a price to get that all new thing
[00:21:07.340 --> 00:21:09.340]   But if you are bored now
[00:21:09.340 --> 00:21:11.820]   You can get the x-pon you in the hot and exciting right away
[00:21:11.820 --> 00:21:16.780]   And I think that that's actually the the confusing part for me is why the seven is still being sold
[00:21:16.860 --> 00:21:20.380]   You know, I think that the you know, the eight is and is close enough to the seven
[00:21:20.380 --> 00:21:25.180]   The six gives you your headphone the five c is cheap and gives you a really small phone
[00:21:25.180 --> 00:21:29.660]   And the ten is different. It just seems like as the eight came out the seven doesn't
[00:21:29.660 --> 00:21:33.500]   Make as much kept so many phones Alex. It kept like every phone
[00:21:33.500 --> 00:21:35.660]   Yeah line up
[00:21:35.660 --> 00:21:40.380]   I know it's I just feel like we're getting back into the like the apple in the mid 90s where there's so many
[00:21:40.380 --> 00:21:44.060]   There were so many computers that I literally couldn't buy one because I couldn't figure out which one
[00:21:44.540 --> 00:21:48.460]   Did what I wanted to do and I feel like it's starting to get muddy
[00:21:48.460 --> 00:21:52.860]   There's some evidence too. I think that people are not trying to get the iphone eight in the normal
[00:21:52.860 --> 00:21:57.820]   quantities of past years that there are a lot of people waiting for the iphone
[00:21:57.820 --> 00:22:04.620]   Ten slices and the hard part is like the intelligence which you know, I use slice a lot of people use slice to keep track of their shipments
[00:22:04.620 --> 00:22:07.500]   They say the shipments are down by like half
[00:22:07.500 --> 00:22:13.900]   According to the people who use slice really complex because you're gonna have a lot of people who want the there's a lot of you know a lot of
[00:22:14.380 --> 00:22:20.460]   Apple users have been trained to you know buy the new thing every year and they want the new thing the big new thing
[00:22:20.460 --> 00:22:25.260]   And they're all gonna wait and then the problem is they're all gonna wait and then it's gonna be six months or nine months
[00:22:25.260 --> 00:22:28.620]   We might get to the the iphone 11 before they finish
[00:22:28.620 --> 00:22:33.740]   I need anyway because they couldn't get the 10 or they couldn't get it when they wanted it. Yeah
[00:22:33.740 --> 00:22:37.660]   And then there's seven then I mean if you've got a seven you can wait for quite some time
[00:22:37.660 --> 00:22:40.620]   Yeah, and plus they're not
