;FFMETADATA1
title=It's Not a Clown, Bill
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-08-17
track=779
language=English
genre=Podcast
comment=Apple CSAM updates, Safari updates, Apple TV's value
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Mac break weekly Andy Renee Alex. They're all here lots to talk about
[00:03:13.800 --> 00:03:17.920]   So to be honest, I didn't feel like the quality of my hotel room was high enough for Mac break
[00:03:17.920 --> 00:03:20.000]   but but I
[00:03:20.000 --> 00:03:22.800]   Well, it's just that we have radio mics and I and I have a you know
[00:03:22.800 --> 00:03:25.480]   It still is still was very good, but you'll see the lighting
[00:03:25.480 --> 00:03:31.720]   I actually replaced the lighting in the hotel room with hue lights. Oh, it's quite beautiful actually
[00:03:31.720 --> 00:03:35.520]   I was like yeah, that was my that was my my little setup for
[00:03:35.520 --> 00:03:42.120]   For what I actually did so you went around and screwed in the light bulb the hues into it. Yeah, it's great
[00:03:43.320 --> 00:03:48.920]   Just naturally carry hue light bulbs in your suitcase. Well, actually I got down there and decided it was it wasn't worth
[00:03:48.920 --> 00:03:51.160]   So I had them sent I ordered them and sent them the hotel
[00:03:51.160 --> 00:03:58.040]   I was like I was like this is this is intolerable like I can't I can't do office hours day after day after day looking like this
[00:03:58.040 --> 00:04:05.440]   How do you control those without access to the Wi-Fi the new ones are Bluetooth. So you just literally yeah, yeah, so you just
[00:04:05.440 --> 00:04:12.280]   Just move the the light front and now I've used up my I've now used up my pick for the weekend
[00:04:12.280 --> 00:04:17.160]   Oh, no, no, you haven't still more all right. There we go. We want to hear what is it on the day
[00:04:17.160 --> 00:04:19.720]   That's what Alex does. He pluses it on the day. Yeah, yeah
[00:04:19.720 --> 00:04:23.360]   Mix pre to with noises is that built into the mix?
[00:04:23.360 --> 00:04:29.040]   Yeah, yeah, so I've mixed pre to with noises. It's a countryman mic and then these are those are nanlight
[00:04:29.040 --> 00:04:34.520]   Pavo tubes which fit really nicely four of them they magnet magnetize
[00:04:34.520 --> 00:04:41.960]   So they just fit together yeah in like a little box and then and then some little light stands and the most the most technical feature of that is the
[00:04:42.520 --> 00:04:44.520]   Ice bucket that I use to raise up my
[00:04:44.520 --> 00:04:53.960]   Ice bucket, that's good normally I pack all this in a 15 set hand and and I for I for some reason I put it back back
[00:04:53.960 --> 00:04:54.920]   I have no idea what got in me
[00:04:54.920 --> 00:04:57.800]   So I did that and so when I got down there was like all right
[00:04:57.800 --> 00:05:00.640]   This is why I take a 15 tennis because I can put my laptop on top of it again
[00:05:00.640 --> 00:05:05.440]   So I was looking around the room. Yeah, I gotta figure this out interesting. How is the laptop?
[00:05:05.440 --> 00:05:08.840]   Attached to the ice bucket. It seems to be floating gravity
[00:05:08.840 --> 00:05:14.120]   It's really good. It's a really good
[00:05:14.120 --> 00:05:20.600]   Alex Alex's gravity the product name of a $2,000 gimbal problem. Exactly. Yeah
[00:05:20.600 --> 00:05:32.160]   And of course the 1510 is a pelican case. Oh, yeah, yeah, I should probably explain to those of you are not in the know
[00:05:35.960 --> 00:05:39.560]   It's assumed that you'd use a pelican case and we know all the well, you know, which
[00:05:39.560 --> 00:05:44.680]   Case is the only question. I mean there's 1510 the big argument the the you know
[00:05:44.680 --> 00:05:47.320]   If everyone pretty much knows 1510 for the personal use
[00:05:47.320 --> 00:05:52.840]   But when you get into larger gear there is a lot of drama between 1640 and the 1650
[00:05:52.840 --> 00:05:55.800]   Oh, I bet 16. Oh we got into lots of arguments about it
[00:05:55.800 --> 00:06:02.360]   I'm I was a 1640 guy for a long time, but I've slowly learned that 1650s as a larger case is better
[00:06:02.360 --> 00:06:05.080]   I will admit wrench narr who might be listening
[00:06:05.880 --> 00:06:09.160]   Finally persuaded me that 1650 is the right is the right size for most things
[00:06:09.160 --> 00:06:14.680]   So do you leave the pick and pull foam in there and create different? I mean now usually I pull it all out
[00:06:14.680 --> 00:06:17.240]   You can get separate good foam separators. You get these
[00:06:17.240 --> 00:06:19.800]   Yeah, yeah, yeah, those actually work really well
[00:06:19.800 --> 00:06:24.200]   And so you just kind of you kind of piece together what you what you need and a lot of times I just have an empty and I just throw a bunch of stuff
[00:06:24.200 --> 00:06:27.160]   Pelican
[00:06:27.160 --> 00:06:32.520]   But then they have an air version my standard my standard rule we carry on I think is the fifth
[00:06:32.520 --> 00:06:37.960]   I think that for for a time they made a fifth version of the 1510 that was designed as like for clothing luggage
[00:06:37.960 --> 00:06:44.760]   Which means which only means that they let they lined the bare plastic with like just a unjust enough like felt or whatever
[00:06:44.760 --> 00:06:50.760]   So then it doesn't you know, but that it's that was like the perfect carry on for me because you can sit on it
[00:06:50.760 --> 00:06:55.160]   You can you can it's exactly the size of a legal carry on so it's not as though
[00:06:55.160 --> 00:06:58.120]   You don't unfortunately put too many socks in the outer compartment
[00:06:58.120 --> 00:07:02.120]   You can't get it up there and also but the reason why I bought it specifically was
[00:07:02.440 --> 00:07:06.600]   The number of times that I got zorched because oh, that's sorry you're great to have to gate check that bag
[00:07:06.600 --> 00:07:10.600]   They're no overheads left and I'm like, okay. I really did count on
[00:07:10.600 --> 00:07:12.360]   There's there's like a bottle
[00:07:12.360 --> 00:07:17.720]   There's there's there's something in here that I really thought I would have to keep and the thing is having this thing
[00:07:17.720 --> 00:07:19.720]   That's at least it's at least it's a pelican case
[00:07:19.720 --> 00:07:24.280]   At least that's gonna have give whatever it is a good chance of being able to
[00:07:24.280 --> 00:07:28.680]   Actually, you can you know you can carry on the 1510 can you carry on the 1610?
[00:07:29.240 --> 00:07:33.720]   No, no the 1510 is the care is the care there's the 1510 for United States
[00:07:33.720 --> 00:07:36.040]   It's the right size for Europe. It's a little long
[00:07:36.040 --> 00:07:42.120]   But it's 22 by 14 by 9 is the size and it's designed that at that size
[00:07:42.120 --> 00:07:48.120]   Um, so the 1510 works well that way the only problem you get into is is that uh, they look at it and they go
[00:07:48.120 --> 00:07:50.040]   I'm gonna have to weigh that yeah, because they
[00:07:50.040 --> 00:07:52.920]   No kids got gear, you know, like so looks very heavy
[00:07:52.920 --> 00:07:58.360]   I admit that we found that hiding things and especially if we're gonna go into a country without without carne
[00:07:58.840 --> 00:08:01.960]   We found that two mies were the other we would do me. We would get them
[00:08:01.960 --> 00:08:05.400]   Yeah, we would got them because they would look they would look like regular right
[00:08:05.400 --> 00:08:10.920]   Ones and inside they have a ton of gear. So is this the foam separator system use the with the tech track?
[00:08:10.920 --> 00:08:15.240]   Yeah, the tech track is amazing. That's pretty cool. They're really good. Yeah, they you
[00:08:15.240 --> 00:08:19.640]   They're awesome. I can talk about I can talk about packing all
[00:08:19.640 --> 00:08:22.360]   We're still luggage week
[00:08:22.360 --> 00:08:25.480]   It's time for macadamia weekly
[00:08:27.400 --> 00:08:32.840]   Today the best and over the shoulder messenger bags are they too trendy that actually we're not trying enough very well effect
[00:08:32.840 --> 00:08:36.760]   We probably could sell that show to spotify. I'm guessing but yeah, I'm in
[00:08:36.760 --> 00:08:40.680]   Yes, I just have to go to my closet
[00:08:40.680 --> 00:08:47.000]   I have funny because of you and elisa got me a filson bag for christmas last year because oh good. Yeah, yeah
[00:08:47.000 --> 00:08:49.640]   I love my
[00:08:49.640 --> 00:08:55.080]   I've now that i'm finally able to I bought there there are two or three things that i won't list them
[00:08:55.080 --> 00:08:56.600]   but like that like
[00:08:56.600 --> 00:08:58.200]   I
[00:08:58.200 --> 00:09:01.800]   A month before everything went into lockdown and I couldn't leave my house
[00:09:01.800 --> 00:09:07.400]   I bought two or three things that that where the mindset was oh, but I spend so much time like going to boston
[00:09:07.400 --> 00:09:11.400]   Going traveling, you know, I should buy this thing that will break and the filson bag
[00:09:11.400 --> 00:09:13.640]   Which is not a cheap bag was one of those things and of course
[00:09:13.640 --> 00:09:19.720]   It's been just like this beautiful bag has just been parked like in my bedroom for like an entire year
[00:09:19.720 --> 00:09:23.960]   And so now that i'm going out, it's like well, I'm going to be going on for like two hours
[00:09:24.040 --> 00:09:27.160]   I'll take the filson bag and i'll take those this light kit and i'll take this other thing
[00:09:27.160 --> 00:09:31.160]   Yeah, it's I love it. It's it's it's a very flexible very cool bag. Hope you like it
[00:09:31.160 --> 00:09:32.440]   All right
[00:09:32.440 --> 00:09:36.840]   I have to admit that I have so many bags from my travel my my years of travel and now
[00:09:36.840 --> 00:09:39.240]   Yeah, all week goes by and I barely get to the garage
[00:09:39.240 --> 00:09:42.200]   So I can't find my bag and find the bag
[00:09:42.200 --> 00:09:47.400]   I'm going to where it is where did I put all these bags and there's there's no idea how do you sell your on my phone anymore
[00:09:47.400 --> 00:09:50.440]   I know it's like
[00:09:50.440 --> 00:09:56.040]   I got like I I had to I updated my vpn for the first time in like a year
[00:09:56.040 --> 00:10:01.480]   On the on the mac and i've been using this mac for like six seven months without having a vpn on it
[00:10:01.480 --> 00:10:04.440]   Because like well you never take it out of the house where you need to be
[00:10:04.440 --> 00:10:08.040]   I have no idea like how am i gonna buy something when the world starts again?
[00:10:08.040 --> 00:10:10.040]   I have no idea what it's anymore. All right
[00:10:10.040 --> 00:10:16.200]   I I've gotten used to using face face time audio and the audio is so much better that now i call everyone that way
[00:10:16.200 --> 00:10:18.760]   And then yes tell it breaks down and then I use the phone
[00:10:18.760 --> 00:10:21.960]   But otherwise i'm just like I can't I can't listen to phone anymore. That's horrible
[00:10:21.960 --> 00:10:27.720]   Oh god, I'm with my people. I look I love this two hours. I spend with my people. Thank you
[00:10:27.720 --> 00:10:31.400]   I walk outside. You understand. Yeah. Yeah, yeah
[00:10:31.400 --> 00:10:35.960]   Really, we're gonna open up the hatchly are we gonna go outside and see the world has healed in our absence
[00:10:35.960 --> 00:10:38.280]   No, it hasn't a lot of these two insights along
[00:10:38.280 --> 00:10:43.400]   Alas, what happened is like punks of tony phil we stuck our head out sars shadows and we're back in
[00:10:43.400 --> 00:10:45.640]   We're in
[00:10:46.200 --> 00:10:51.080]   We stuck it we stuck our head out soft 8 000 people at the lake the lake the ozark
[00:10:51.080 --> 00:10:58.040]   Oh god. Yeah, and realize that oh god. We're gonna have for we're gonna have to buy more more more more masks. Are we okay?
[00:10:58.040 --> 00:11:03.640]   I'm getting i'm working on a good. I need I need to have by the by the dune launch. I want to have a good dune mask
[00:11:03.640 --> 00:11:08.680]   I've been thinking about it all year. I've decided what would you have a suit? I'm gonna make the yeah
[00:11:08.680 --> 00:11:13.000]   No, no, I'm just gonna make the the mess that just the dune the dune face mask would be a perfect face mask
[00:11:13.400 --> 00:11:17.160]   But you can only really use it right around the dune launch. So i'm gonna try to make one
[00:11:17.160 --> 00:11:20.680]   Let's see you need a bane mask to Alex. I have a bane mask
[00:11:20.680 --> 00:11:26.280]   I I I have a bane mask that I I I bought it because I when it first started when the when the
[00:11:26.280 --> 00:11:33.320]   Back in the spring of last year. I bought the bane mask specifically because I wanted to go to whole foods and just put the bane mask
[00:11:33.320 --> 00:11:37.880]   Gone shave my head put the bane mask on and just walk around going are you looking for the bananas?
[00:11:37.880 --> 00:11:40.520]   not here
[00:11:41.720 --> 00:11:43.720]   I was looking for a hilish
[00:11:43.720 --> 00:11:47.960]   As long as we've gone that far, I might as well show you the new star wars trailer
[00:11:47.960 --> 00:11:53.720]   Are you all excited about this? What is it called out lands? That's that's what here. Here's the uh
[00:11:53.720 --> 00:11:56.360]   Wait a minute. Am I gonna get sued?
[00:11:56.360 --> 00:12:03.400]   How that's what's not that's not all i'll say a couple of domain songs over it. It'll work star wars visions
[00:12:03.400 --> 00:12:05.160]   original series
[00:12:05.160 --> 00:12:11.400]   This is I am um covering the tweet. Okay streaming september 22nd at disney plus
[00:12:12.280 --> 00:12:14.280]   So with
[00:12:14.280 --> 00:12:21.160]   So they got a bunch of uh japanese anime studios to do
[00:12:21.160 --> 00:12:30.360]   Set well seven not a bunch seven different anime studios to do seven different star wars stories in anime style. Yes
[00:12:30.360 --> 00:12:34.040]   That's kind of cool. Yeah
[00:12:34.040 --> 00:12:37.880]   This is exactly what i've been hoping for for star wars. I'll turn the audio off
[00:12:38.680 --> 00:12:42.280]   Let's get let's make sure that all the fans are happy and they see their their easter eggs
[00:12:42.280 --> 00:12:46.760]   They can talk about it. I want people to say here is here's a budget of five million dollars
[00:12:46.760 --> 00:12:51.320]   You got five minutes to tell any story you want that's set in the star wars. Isn't that cool?
[00:12:51.320 --> 00:12:55.640]   That's a good idea. Yeah, the only the only rule is you can't use any characters that have already appeared
[00:12:55.640 --> 00:13:00.920]   So don't so it's not like oh, I want to tell the story of the whoever did the coffee service and the death star
[00:13:00.920 --> 00:13:07.720]   It's like no talk about someone who is they feel as though they're being screwed over by the the rebel alliance and by the empire equally
[00:13:07.880 --> 00:13:11.000]   They don't care who wins because they know their life is going to be terrible either way
[00:13:11.000 --> 00:13:17.320]   That's going to be that gets interest real quick. I uh, I feel like this is very much like um the animatrix
[00:13:17.320 --> 00:13:22.120]   You know, yes. Yes, that's right. It's amazing. Yeah. Yeah, animatrix is really really good
[00:13:22.120 --> 00:13:24.280]   It's clear disney plus is figured out
[00:13:24.280 --> 00:13:30.280]   If you really just want to keep people paying the ten dollars a month or whatever star wars can't set out every month
[00:13:30.280 --> 00:13:32.920]   It's uh, well
[00:13:32.920 --> 00:13:39.000]   I feel it this actually this is great because this will actually tie into something apple related. Oh, thank god. I think that
[00:13:39.000 --> 00:13:42.200]   I know I know
[00:13:42.200 --> 00:13:47.080]   I think I think the lock-in lock-in is an issue not just with apple not just with technology
[00:13:47.080 --> 00:13:54.280]   I think that part of disney strategy is also lock-in where it's like well rather than people rather than encourage people to go out and see
[00:13:54.280 --> 00:13:59.560]   Another science fiction series that and they're because it's animated. What if we create another
[00:14:00.200 --> 00:14:05.720]   A star wars science fiction series that's animated that will keep their money like coming into disney
[00:14:05.720 --> 00:14:12.360]   What is way we can't be cantalou- yeah, exactly. Well, we're gonna make make sure that these customers become
[00:14:12.360 --> 00:14:18.040]   uh, disney theme park customers disney cruise ship customers, uh, disney cinema customers
[00:14:18.040 --> 00:14:25.560]   Uh disney ice cream customers and that's that's the sort that's the broadly the thing that kind of bugs me a little bit about
[00:14:26.040 --> 00:14:31.080]   All the way that disney does stuff because even when they show me something that I really really like I feel as though
[00:14:31.080 --> 00:14:37.960]   Oh, god. You're just trying to make sure I don't do something stupid like go see the go see the dune movie because it's not owned by disney
[00:14:37.960 --> 00:14:44.760]   It's like, okay, whatever what i've actually been doing is avoiding the topic of the week. So I think at this point
[00:14:44.760 --> 00:14:46.760]   We will get to it. Um apple
[00:14:46.760 --> 00:14:52.120]   Obviously after last week in the furo over apple's child porn tracking system
[00:14:52.600 --> 00:14:55.640]   Uh apple's done some backtracking they've done some
[00:14:55.640 --> 00:15:04.200]   Explanations rene. Can you can you summarize the response? I know that they it's been all hands on deck kind of over the last week
[00:15:04.200 --> 00:15:06.200]   Do they approach you i want to yeah?
[00:15:06.200 --> 00:15:11.720]   Uh, no, but I think like I was I was doing the sort of like because it was so confusing
[00:15:11.720 --> 00:15:15.480]   I was doing explainers before explainers were cool. Right. So I was getting a lot of that
[00:15:15.480 --> 00:15:19.080]   They needed a lot of explanation frankly. Well, so there was two things
[00:15:19.080 --> 00:15:22.600]   Yeah, there's two big one they went on they I think we talked about sordi they went to matthew panzerino
[00:15:22.600 --> 00:15:28.600]   They had eric the usual privacy engineer usual says yeah, and then they went to join us stern with craig federiki
[00:15:28.600 --> 00:15:31.560]   Who's the big guy? The second was recognizable person after tim cook
[00:15:31.560 --> 00:15:35.880]   Um, and they're doing what they said is like people are misunderstanding the technology
[00:15:35.880 --> 00:15:40.520]   The only part that still concerns me is that I don't think like I think apple still misunderstands the pushback
[00:15:40.520 --> 00:15:47.480]   They think we don't understand the technology. That's why we're upset and they don't understand that regardless of the technology. We're upset
[00:15:47.960 --> 00:15:50.760]   Yeah, we don't understand. No, you don't understand
[00:15:50.760 --> 00:15:55.640]   That's what they said is he said there's like 30 is the amount of like for the um, yeah
[00:15:55.640 --> 00:15:57.640]   They've so they've actually clarified a little bit
[00:15:57.640 --> 00:16:04.040]   So now the threshold they say is 30 because they want to bend over backwards not to have false positives around there
[00:16:04.040 --> 00:16:09.480]   Yeah, how many how many how many fingerprints have to be triggered in order for you to be
[00:16:09.480 --> 00:16:15.160]   Uh, then reviewed by apple before you go to be reported the other big thing neck mac
[00:16:15.880 --> 00:16:20.840]   Is the auditing there there's they say like and this is all nebulous because who's doing the auditing and what's doing the auditing is
[00:16:20.840 --> 00:16:25.240]   But they saying that because there's a single disc image for ios across the entire world
[00:16:25.240 --> 00:16:29.240]   It can be audited and if there's any that the database isn't just from nick mac
[00:16:29.240 --> 00:16:33.800]   But it's it's assembled from the convergence of several databases to avoid any spurious results
[00:16:33.800 --> 00:16:40.680]   That's another thing that is multiple multiple national databases will be used. Yeah, which doesn't frankly reassure me at all
[00:16:40.680 --> 00:16:45.240]   That's not how does that make me if you don't want it on your device. You don't want it on your device
[00:16:45.240 --> 00:16:47.240]   That's the whole part, right? Yeah
[00:16:47.240 --> 00:16:53.400]   Uh, I thought that I did listen to joanna sternon view as as typical for joanna sternon view was excellent
[00:16:53.400 --> 00:16:58.600]   Uh, she is she's the the the ant the ant the ant if this ant if this is of a of abozo
[00:16:58.600 --> 00:17:06.520]   Uh, I did think that a couple of craigs arguments were kind of facetious because he he was making the point that hey
[00:17:06.520 --> 00:17:12.600]   There's the reason why our way is better than everyone else's is that like google scans every photo that comes
[00:17:12.920 --> 00:17:18.600]   Every photo on their server. We only scan the ones that like are you upload to the device and i'm like excuse me
[00:17:18.600 --> 00:17:22.680]   But what's the difference they you're still you're still coming into the result where
[00:17:22.680 --> 00:17:30.520]   Uh, if if google scans the photo after you uploaded to this to to google photos versus apple
[00:17:30.520 --> 00:17:35.400]   All the scanning every photo but before you sand it up to that's the specious argument
[00:17:35.400 --> 00:17:38.920]   Because it's the exact same result. It's not as though i don't seek anybody
[00:17:39.400 --> 00:17:44.280]   Really, I don't know. I won't speak for all of you or anybody else, but I feel like
[00:17:44.280 --> 00:17:48.360]   Look everybody else is scanning cloud storage
[00:17:48.360 --> 00:17:51.240]   for child
[00:17:51.240 --> 00:17:55.880]   Sexual abuse material that's not an unreasonable thing. Do ropbox does it google does it facebook does it
[00:17:55.880 --> 00:17:59.160]   I don't think it's unreasonable for apple to say if you're going to store it on our
[00:17:59.160 --> 00:18:03.320]   Systems our servers we're gonna scan it first fine
[00:18:03.320 --> 00:18:08.440]   I think the bigger one frankly is looking for nudity and messages coming in
[00:18:09.320 --> 00:18:11.480]   I'm just doing anything anything on the phone
[00:18:11.480 --> 00:18:14.280]   But anything like this has been because this is this is the line
[00:18:14.280 --> 00:18:21.800]   They felt i gathered from craig that they felt like oh, but don't worry. We're scanning on the phone before we upload that i clap
[00:18:21.800 --> 00:18:23.960]   It's a true
[00:18:23.960 --> 00:18:27.800]   Exactly. I think rene hit it on the head last last week when he suggested that
[00:18:27.800 --> 00:18:32.280]   Um, I'm I might be extrapolating a bit from what rene said last week
[00:18:32.280 --> 00:18:38.360]   But I really think that part of apple dogma is that if you're doing it on device that makes it intrinsically safe
[00:18:38.360 --> 00:18:43.960]   Or more secure more private and I think this is an this is an occasion where the dogma is
[00:18:43.960 --> 00:18:47.320]   Having a meltdown when it's faced with reality
[00:18:47.320 --> 00:18:50.520]   The fact that they're doing this thing that no one else is doing
[00:18:50.520 --> 00:18:55.400]   and everybody else the entire world seems to be okay with the idea of
[00:18:55.400 --> 00:18:59.640]   Stuff being scanned on a server on a service once i've let it
[00:18:59.640 --> 00:19:06.840]   Psychologically out of my control of by making the willful decision to take it off of my private device this thing that I control that I can
[00:19:07.320 --> 00:19:11.640]   Drive a nail through it if I if I want to do that thing and saying I
[00:19:11.640 --> 00:19:15.320]   Relinquishing enough control that saying that I want these services that
[00:19:15.320 --> 00:19:19.640]   Google photos is going to be giving me I accept that by taking this out of my control
[00:19:19.640 --> 00:19:24.920]   Google can do lots of things with it including scan it for things evidence that I might have been
[00:19:24.920 --> 00:19:31.800]   Conducting a crime or allowing law enforcement to have access to it if they get the the right court papers
[00:19:32.040 --> 00:19:38.280]   It's when the third rail is you're really skiving me out once you say that there's a there's a
[00:19:38.280 --> 00:19:45.960]   Traffic there's a form of traffic on your phone that we're going to start scanning on this device the thing that I'm supposed to be able to control
[00:19:45.960 --> 00:19:52.600]   Uh, and you're not gonna you're not gonna have it basically tears down that that that sort of brick barrier
[00:19:52.600 --> 00:19:58.120]   In our heads between our private device and a cloud service. So I think that it's it's I don't think they're doing anything wrong
[00:19:58.120 --> 00:20:03.800]   I just think that they don't understand exactly why this cheeses us off and gets us really really concerned
[00:20:03.800 --> 00:20:09.240]   And they shouldn't talk down to people about it. You you can't you cannot run the privacy
[00:20:09.240 --> 00:20:11.960]   Ads that they run
[00:20:11.960 --> 00:20:18.360]   Then get into the phone like it's not we don't have the expectation on a lot of other hardware or a lot of as apple users
[00:20:18.360 --> 00:20:25.960]   You know, it it just undermines the entire marketing that they're doing around privacy to do this and I and I feel like there must be some pressure
[00:20:26.360 --> 00:20:28.840]   That we're not seeing that required them to make this
[00:20:28.840 --> 00:20:34.440]   To do this federina just that specifically saying no it wasn't pressure just took us a while to figure out
[00:20:34.440 --> 00:20:38.440]   You know he didn't they should have taken a little while longer and figured it out better
[00:20:38.440 --> 00:20:43.720]   I don't I don't care if if if if a politician goes to a strip club
[00:20:43.720 --> 00:20:47.720]   I care if they're saying if they've been lobbying against strip clubs saying oh
[00:20:47.720 --> 00:20:53.800]   These incredible people these people were cooligans and terrible people who go to strip clubs just be consistent
[00:20:53.800 --> 00:20:57.640]   But once you try to play the card that I am more righteous than anybody else
[00:20:57.640 --> 00:21:05.000]   Okay, great now. We're gonna be checking your credentials a lot more closely than we would be checking someone who claims to be an ordinary human being
[00:21:05.000 --> 00:21:11.160]   and on privacy apple claims to be something other than google other than every other
[00:21:11.160 --> 00:21:17.880]   Entity that transacts business over the internet there. I think they're better, but they are still a multi-trillion dollar company
[00:21:17.880 --> 00:21:20.280]   And so I don't think they can play that card
[00:21:21.000 --> 00:21:24.200]   And you can be technically right and like morally wrong
[00:21:24.200 --> 00:21:28.600]   I mean there's a bunch of people who've looked at this now and said if you have to implement this solution
[00:21:28.600 --> 00:21:31.640]   This is probably the most privacy centric way of doing it
[00:21:31.640 --> 00:21:34.440]   But the argument isn't about privacy like we get lost in that argument
[00:21:34.440 --> 00:21:37.480]   The argument is about sanctity like you're now violating my device
[00:21:37.480 --> 00:21:40.920]   Even if you think you're doing it better like for better. Do you think it's more private?
[00:21:40.920 --> 00:21:45.080]   I will even concede that maybe technologically this is a brilliant piece of engineering
[00:21:45.080 --> 00:21:47.080]   I do not want it on my device
[00:21:47.080 --> 00:21:50.600]   And I did a I did a follow-up video now where I was where I was looking at both those systems
[00:21:50.600 --> 00:21:53.400]   The other one that they that you were talking about before and this new one
[00:21:53.400 --> 00:21:58.360]   And just like I think if apple is willing to take a step back and say okay
[00:21:58.360 --> 00:22:02.600]   We're gonna scan and we'll let parents block but not alert and or we're good
[00:22:02.600 --> 00:22:05.240]   We don't want we don't want seesam on our servers
[00:22:05.240 --> 00:22:07.800]   But we recognize that we can't violate your phone
[00:22:07.800 --> 00:22:12.360]   So what we're gonna do is we're gonna just move the photos to a private relay
[00:22:12.360 --> 00:22:15.800]   We'll do the hash matching on a private relay and then we'll do the
[00:22:16.680 --> 00:22:18.680]   the envelope verification
[00:22:18.680 --> 00:22:21.400]   Um on the the main apple server in that way
[00:22:21.400 --> 00:22:24.280]   We don't have full knowledge. You have nothing on your device
[00:22:24.280 --> 00:22:26.760]   And this is like the bargain that we're gonna strike
[00:22:26.760 --> 00:22:29.960]   But right now it feels like they're unwilling to compromise what they think is better
[00:22:29.960 --> 00:22:36.840]   Feel like technological privacy and they're forcing us to accept a way worse philosophical privacy and violation
[00:22:36.840 --> 00:22:38.760]   Is this in apples be our job to do that?
[00:22:38.760 --> 00:22:41.400]   It's the problem is this is in apples dna is we
[00:22:41.400 --> 00:22:44.520]   I'm asking. I don't I'm not asserting
