;FFMETADATA1
album=MacBreak Weekly October 2007
artist=Leo Laporte, Scott Bourne, Andy Ihnatko, and John Siracusa
comment=http://twit.tv/mbw64
genre=Podcast
title=MacBreak Weekly 64: Hello Leopard
date=2007

[00:00:00.000 --> 00:00:06.120]   Netcast you love.
[00:02:21.200 --> 00:02:22.200]   We haven't met before.
[00:02:22.200 --> 00:02:27.200]   In fact, we're meeting for the first time right now because I just, John, just a phone
[00:02:27.200 --> 00:02:30.360]   and I just sent him an urgent email saying, yes, please call.
[00:02:30.360 --> 00:02:38.160]   So John did an amazing 4,000 page review of Leopard in ours Technica, the first most detailed
[00:02:38.160 --> 00:02:40.800]   review given that Leopard's only been out a few days.
[00:02:40.800 --> 00:02:43.080]   I don't know when you found time to write that.
[00:02:43.080 --> 00:02:44.080]   Oh, I don't know.
[00:02:44.080 --> 00:02:45.080]   Over a couple of months.
[00:02:45.080 --> 00:02:48.880]   I mean, you can write a lot, but the developers just have to frantically revise it when the
[00:02:48.880 --> 00:02:49.880]   Gold Master comes out.
[00:02:49.880 --> 00:02:54.760]   Yeah, you and Andy Inaco both had played with the developer seed and Scott and I eschewed
[00:02:54.760 --> 00:02:58.560]   the betas and went right to the release version.
[00:02:58.560 --> 00:03:03.000]   I, you know, I have to say after listening to Andy and all the troubles he had with the
[00:03:03.000 --> 00:03:08.040]   beta, I was expecting lots of problems with Leopard.
[00:03:08.040 --> 00:03:13.920]   Andy, were you surprised at how smoothly and easily Leopard installed and how well its
[00:03:13.920 --> 00:03:15.120]   worked?
[00:03:15.120 --> 00:03:19.080]   I was surprised on the two of the three Macs in which it worked great.
[00:03:19.080 --> 00:03:24.760]   I was not surprised on the one machine that suddenly developed power manager issues.
[00:03:24.760 --> 00:03:28.120]   But that's sort of par for the course.
[00:03:28.120 --> 00:03:34.200]   I was just excited that so many bits of the OS that either was, we're just barely starting
[00:03:34.200 --> 00:03:35.520]   to work for me a few weeks ago.
[00:03:35.520 --> 00:03:40.920]   I mean, it's like the blind could see the lame could walk on that other cool test stuff.
[00:03:40.920 --> 00:03:48.960]   So yeah, I was very, I really was worried about this because usually the OS settles down considerably
[00:03:48.960 --> 00:03:52.520]   within like a month, a month and a half, two months before the release.
[00:03:52.520 --> 00:03:56.080]   With this one, I was still having really big issues just weeks beforehand.
[00:03:56.080 --> 00:03:59.360]   So I was wondering if they were just going to hold their nose and ship it and then deal
[00:03:59.360 --> 00:04:00.520]   with it later.
[00:04:00.520 --> 00:04:04.440]   But no, it seems as though it seems as though they knew what the problems were and they
[00:04:04.440 --> 00:04:08.680]   knew how to fix them and they fixed most of them or most of them that I was having problems
[00:04:08.680 --> 00:04:09.680]   with that.
[00:04:09.680 --> 00:04:12.440]   Was that your experience, Sean, having long, long, I actually wrote about that in the review.
[00:04:12.440 --> 00:04:16.200]   I mean, right up to the very last developer feed, it was like, this is the mess.
[00:04:16.200 --> 00:04:17.200]   You can't ship this.
[00:04:17.200 --> 00:04:18.200]   It's horrible.
[00:04:18.200 --> 00:04:23.520]   And very last developer feed before GM suddenly fixed like everything, you know, at least on
[00:04:23.520 --> 00:04:24.520]   my hardware.
[00:04:24.520 --> 00:04:27.120]   It just, I was, it arrived, I installed it and I said, this could be GM.
[00:04:27.120 --> 00:04:28.120]   There's nothing wrong with it.
[00:04:28.120 --> 00:04:30.720]   I mean, it was still only about a couple of weeks before release.
[00:04:30.720 --> 00:04:33.120]   But you know, right up to that point, it was pretty scary.
[00:04:33.120 --> 00:04:37.280]   I don't know if the developers he'd be lagging what they were doing inside Apple or they
[00:04:37.280 --> 00:04:39.600]   just fixed everything all at once, you know.
[00:04:39.600 --> 00:04:43.040]   I think they realized that it was going to be shipping the same day that saw for was
[00:04:43.040 --> 00:04:44.040]   going to be released.
[00:04:44.040 --> 00:04:48.640]   It's that or the saw.
[00:04:48.640 --> 00:04:53.760]   Well now Scott and I had probably partly because of Andy avoided the beta.
[00:04:53.760 --> 00:04:54.920]   I didn't want to deal with it.
[00:04:54.920 --> 00:04:57.000]   Scott, you said you didn't want to deal with it.
[00:04:57.000 --> 00:05:00.440]   We had too many production machines in play to take that chance.
[00:05:00.440 --> 00:05:01.440]   I sat down.
[00:05:01.440 --> 00:05:07.320]   I got it from Apple on Thursday, installed it on my MacBook, my MacBook Pro, my new iMac,
[00:05:07.320 --> 00:05:08.680]   and my Mac Pro.
[00:05:08.680 --> 00:05:09.680]   No problems.
[00:05:09.680 --> 00:05:11.000]   Of course, I wasn't running any hacksies.
[00:05:11.000 --> 00:05:14.840]   I think the application enhancer from Haxes from Insanity was part of the problem for
[00:05:14.840 --> 00:05:15.840]   a lot of people.
[00:05:15.840 --> 00:05:18.320]   But I was running a lot of software.
[00:05:18.320 --> 00:05:19.840]   It all works.
[00:05:19.840 --> 00:05:22.400]   You know, of course my mail act on is no longer working.
[00:05:22.400 --> 00:05:24.880]   Some of my mail plugins don't work anymore.
[00:05:24.880 --> 00:05:26.520]   But I'm stunned.
[00:05:26.520 --> 00:05:30.960]   I mean, this is the smoothest upgrade I've ever done of any operating system.
[00:05:30.960 --> 00:05:32.160]   And it works flawlessly.
[00:05:32.160 --> 00:05:33.880]   How's your experience been, Scott?
[00:05:33.880 --> 00:05:38.480]   We just put it on one machine, a test machine, which we're going to do some screencast on
[00:05:38.480 --> 00:05:39.520]   and all that sort of thing.
[00:05:39.520 --> 00:05:42.760]   And I will say, Greg Martin, my assistant put it on.
[00:05:42.760 --> 00:05:44.640]   He said it was absolutely flawless.
[00:05:44.640 --> 00:05:45.640]   There was no issues.
[00:05:45.640 --> 00:05:48.080]   Everything that was on the computer continues to work.
[00:05:48.080 --> 00:05:49.880]   And we've been playing with it a little bit today.
[00:05:49.880 --> 00:05:51.720]   And it's pretty.
[00:05:51.720 --> 00:05:52.720]   Playing with it.
[00:05:52.720 --> 00:05:55.040]   Don't you kind of now feel like, gosh, I really want to put it on the rest of them?
[00:05:55.040 --> 00:06:01.160]   No, because see, the problem is we do too much pro audio and video here and the software
[00:06:01.160 --> 00:06:06.360]   that we use on the pro side, you have to wait for, you know, like people like Digit Design
[00:06:06.360 --> 00:06:08.440]   to give you permission to upgrade.
[00:06:08.440 --> 00:06:10.440]   If you don't, your stuff literally doesn't work.
[00:06:10.440 --> 00:06:15.040]   Oh, I have to say, I am so happy with it.
[00:06:15.040 --> 00:06:22.480]   To me, this is a massive improvement, much more so than I even expected.
[00:06:22.480 --> 00:06:25.040]   John, you wrote, I don't know what, 24 pages?
[00:06:25.040 --> 00:06:26.040]   How many?
[00:06:26.040 --> 00:06:28.320]   I don't really pages because on the web, it's like one screen full.
[00:06:28.320 --> 00:06:31.040]   If you were to change it to PDF, I don't know how many pages it would be, but it's
[00:06:31.040 --> 00:06:32.040]   like 30,000 words.
[00:06:32.040 --> 00:06:33.040]   30,000 words.
[00:06:33.040 --> 00:06:34.040]   That's a pretty long review.
[00:06:34.040 --> 00:06:35.520]   They've either by the word over there, do they?
[00:06:35.520 --> 00:06:36.520]   I wish.
[00:06:36.520 --> 00:06:37.520]   There's a lot to say.
[00:06:37.520 --> 00:06:41.200]   I mean, I think there are different schools of thought on leopard and I think maybe that's
[00:06:41.200 --> 00:06:44.840]   changed now that it's out, but a lot of people said, "Oh, you know, this is going to be an
[00:06:44.840 --> 00:06:45.840]   incremental upgrade."
[00:06:45.840 --> 00:06:49.440]   I remember the mac-a-lope saying, "You know, don't get your hopes up so high, guys.
[00:06:49.440 --> 00:06:52.880]   This is the off-year upgrade that's not going to be such a big deal."
[00:06:52.880 --> 00:06:55.520]   I'm not sure that's quite true.
[00:06:55.520 --> 00:06:58.400]   Can you summarize, John, your feeling about this?
[00:06:58.400 --> 00:07:01.200]   Is this a must-have upgrade, a major upgrade?
[00:07:01.200 --> 00:07:05.520]   Well, I mean, it's not how I think it was going to be incremental because it's been
[00:07:05.520 --> 00:07:07.880]   two and a half years, the longest gap between versions.
[00:07:07.880 --> 00:07:09.880]   So obviously it's going to be something big.
[00:07:09.880 --> 00:07:13.520]   Just as it turns out, the big stuff is all kind of under the covers.
[00:07:13.520 --> 00:07:17.800]   There's not a part of the system underneath that hasn't been revived, added to improved
[00:07:17.800 --> 00:07:18.800]   and so on.
[00:07:18.800 --> 00:07:22.120]   Of course, what you see is the pictures on the back of the box, time machine, the windows
[00:07:22.120 --> 00:07:26.600]   look a little bit different, crazy doc stuff, translucent menus, but that's really surface
[00:07:26.600 --> 00:07:27.600]   stuff.
[00:07:27.600 --> 00:07:30.440]   The real upgrade of the operating system happened under the covers and it's going to provide
[00:07:30.440 --> 00:07:34.680]   for the ability to make better, more interesting applications with less code.
[00:07:34.680 --> 00:07:36.280]   I think that's the reason to upgrade.
[00:07:36.280 --> 00:07:39.400]   The reason to upgrade is because soon you want to be able to run all this leopard-only
[00:07:39.400 --> 00:07:43.320]   software that will be coming out because it's so much nicer to write applications for a
[00:07:43.320 --> 00:07:44.320]   leopard.
[00:07:44.320 --> 00:07:47.960]   Yeah, your reviews start, you know, really the bulk of your review is the kernel 64-bit
[00:07:47.960 --> 00:07:51.880]   FS events, core animation, core GL, core UI.
[00:07:51.880 --> 00:07:54.880]   I mean, it really is about all of this new stuff.
[00:07:54.880 --> 00:07:56.600]   Is it all cocoa now?
[00:07:56.600 --> 00:07:58.520]   No, the carbon is still there.
[00:07:58.520 --> 00:08:01.960]   You know, the carbon is basically been end of life to saying we're not going to bring
[00:08:01.960 --> 00:08:06.360]   carbon into 64-bit, which is a nice way of saying say goodbye to carbon eventually,
[00:08:06.360 --> 00:08:10.480]   obviously, it's going to be a long, long time before every single application is 64-bit,
[00:08:10.480 --> 00:08:13.880]   but by not bringing carbon along and saying we're not going to add more features to carbon
[00:08:13.880 --> 00:08:17.840]   anymore, just we're going to support it, we'll fix bugs in it, but it's not growing anymore,
[00:08:17.840 --> 00:08:19.960]   flying our carbon.
[00:08:19.960 --> 00:08:23.840]   And Finder is now, is Finder now all cocoa all 64-bit?
[00:08:23.840 --> 00:08:24.840]   No, no, still carbon.
[00:08:24.840 --> 00:08:25.840]   Still 32-bit.
[00:08:25.840 --> 00:08:27.880]   It does feel snappier.
[00:08:27.880 --> 00:08:28.880]   Maybe that's just...
[00:08:28.880 --> 00:08:32.400]   They improved it, but still, I mean, carbon's going to be around for a long time.
[00:08:32.400 --> 00:08:37.960]   It's just kind of one of these long-term decisions where the signal to developers, you know.
[00:08:37.960 --> 00:08:43.600]   Andy, Enoco, your kind of overall feelings?
[00:08:43.600 --> 00:08:48.080]   Is this the major upgrade that John's saying or incremental?
[00:08:48.080 --> 00:08:53.400]   Well, no, I definitely agree that most of the real octane in this OS is under the hood.
[00:08:53.400 --> 00:08:58.200]   It's going to be seen next year when everybody, all the developers start taking advantage
[00:08:58.200 --> 00:09:03.240]   of all these new frameworks and all these new technologies that are in leopard.
[00:09:03.240 --> 00:09:08.600]   In terms of individual features that users are going to get their hands on, I don't think
[00:09:08.600 --> 00:09:13.720]   there are a whole lot of really holistic, system-wide things that are really, really
[00:09:13.720 --> 00:09:14.720]   awesome.
[00:09:14.720 --> 00:09:19.240]   It's more like a theme park where, so long as there are two or three rides that you absolutely
[00:09:19.240 --> 00:09:22.440]   love, it doesn't matter that you don't care about the spinning teacups as long as you
[00:09:22.440 --> 00:09:24.200]   have the Matterhorn to go to.
[00:09:24.200 --> 00:09:27.640]   And I think for everybody, I mean, for me, the things they've done to the Finder with
[00:09:27.640 --> 00:09:33.160]   Quick Look and Cover Flow, I really want to see, so many things I agree with John.
[00:09:33.160 --> 00:09:38.360]   Page after page, my reaction kept pinging between my God, I had no idea it worked that
[00:09:38.360 --> 00:09:40.200]   way and my God, he's absolutely right.
[00:09:40.200 --> 00:09:43.600]   I have agreed with that since day one.
[00:09:43.600 --> 00:09:50.920]   And so the way that the totally lost my train of thought because I wanted to compliment
[00:09:50.920 --> 00:09:53.160]   John on this absolutely wonderful kickass too.
[00:09:53.160 --> 00:09:54.160]   I'm an idiot.
[00:09:54.160 --> 00:09:55.160]   You fool.
[00:09:55.160 --> 00:09:56.160]   I think we're waiting.
[00:09:56.160 --> 00:09:57.160]   We're waiting.
[00:09:57.160 --> 00:09:58.160]   We're waiting.
[00:09:58.160 --> 00:10:06.240]   I think where I was going with this is that I really wish that Cover Flow were available
[00:10:06.240 --> 00:10:08.920]   in every single standard open and closed dialogue box.
[00:10:08.920 --> 00:10:14.080]   I really wish that Quick Look were available everywhere, not just in selected places because
[00:10:14.080 --> 00:10:22.160]   it is so natural and so correct and so right that every application that I use in Leppard,
[00:10:22.160 --> 00:10:27.080]   I find myself just naturally looking for a button that says, "Where's my preview?"
[00:10:27.080 --> 00:10:28.080]   Yeah.
[00:10:28.080 --> 00:10:29.080]   Exactly.
[00:10:29.080 --> 00:10:30.080]   Like, is this a document I want?
[00:10:30.080 --> 00:10:32.440]   Well, I can just simply click on this button and preview it.
[00:10:32.440 --> 00:10:33.680]   It does work remarkably well.
[00:10:33.680 --> 00:10:38.480]   I do wish that they had a column view underneath instead of the list view or at least you got
[00:10:38.480 --> 00:10:40.960]   the choice of what you had underneath it.
[00:10:40.960 --> 00:10:42.960]   And I agree with you, it should be in the file browser.
[00:10:42.960 --> 00:10:43.960]   Oh, no, I remember.
[00:10:43.960 --> 00:10:44.960]   Now, I remember.
[00:10:44.960 --> 00:10:50.200]   I remember I was going to say, I really have been waiting for the Finder is ripe for revolution.
[00:10:50.200 --> 00:10:54.120]   The Finder is the last Tsar.
[00:10:54.120 --> 00:10:55.680]   The Finder is Marie Antoinette.
[00:10:55.680 --> 00:11:00.240]   It is just sitting there waiting for peasants to come and boot them out and replace with
[00:11:00.240 --> 00:11:02.160]   something that will let them stay here right now.
[00:11:02.160 --> 00:11:03.160]   It won't die.
[00:11:03.160 --> 00:11:05.000]   Yeah, I mean, he Mephelia.
[00:11:05.000 --> 00:11:06.000]   I forgot.
[00:11:06.000 --> 00:11:11.720]   I think the carbon and fiber is the hemophilia in this bloodline.
[00:11:11.720 --> 00:11:12.720]   Right.
[00:11:12.720 --> 00:11:17.360]   But so I was hoping for something revolutionary, but I'll take the few little tweaks they've
[00:11:17.360 --> 00:11:20.160]   given it because they are just so big and so wonderful.
[00:11:20.160 --> 00:11:25.880]   And also back to my Mac, I've that was the there was only one feature in throughout the
[00:11:25.880 --> 00:11:30.040]   only one feature that I really, really wish I could use in every single computer that
[00:11:30.040 --> 00:11:31.040]   I own.
[00:11:31.040 --> 00:11:35.400]   And that's just the simple idea of, look, I know that there are tubes connecting this
[00:11:35.400 --> 00:11:37.400]   computer with every other computer.
[00:11:37.400 --> 00:11:39.840]   Surely, Mr. Internet, you're smarter than I am.
[00:11:39.840 --> 00:11:43.600]   You can figure out where my computer is in this world and you can find a way to connect
[00:11:43.600 --> 00:11:45.800]   where I am right now to where that computer is.
[00:11:45.800 --> 00:11:47.400]   And now Apple has done that for me.
[00:11:47.400 --> 00:11:48.400]   Awesome.
[00:11:48.400 --> 00:11:52.800]   So the little quibbles about back to my Mac, that's what you're talking about, of course,
[00:11:52.800 --> 00:11:58.080]   is first of all, you have to turn on universal plug and play on your router or that the router
[00:11:58.080 --> 00:12:03.200]   has to support that PMP, both of which are potential security issues.
[00:12:03.200 --> 00:12:06.080]   They make me a little bit nervous.
[00:12:06.080 --> 00:12:12.400]   On the other hand, you know, you do get this amazing, easy to use connection between computers.
[00:12:12.400 --> 00:12:15.480]   And I'm very impressed with the speed of the desktop sharing.
[00:12:15.480 --> 00:12:16.480]   It really works well.
[00:12:16.480 --> 00:12:23.520]   I played with my kids because the first time I used this, I had the Mac and the living room
[00:12:23.520 --> 00:12:27.840]   set up and I was in the bedroom on my Mac and I took control of the Mac in the living
[00:12:27.840 --> 00:12:32.360]   room and had Alex start saying things like, "Who am I?
[00:12:32.360 --> 00:12:33.880]   What am I doing here?
[00:12:33.880 --> 00:12:35.520]   I am suddenly awake."
[00:12:35.520 --> 00:12:37.560]   And it fooled them for about three seconds.
[00:12:37.560 --> 00:12:40.360]   And then they started typing back, "Dad, you're a nerd.
[00:12:40.360 --> 00:12:41.360]   Stop."
[00:12:41.360 --> 00:12:42.360]   But it was fun.
[00:12:42.360 --> 00:12:45.480]   Leah, one thing I want to know, though, is, you know, there's a lot of excitement right
[00:12:45.480 --> 00:12:46.480]   after the iPhone.
[00:12:46.480 --> 00:12:49.480]   Then the bloom came off the rose and people started picking it apart.
[00:12:49.480 --> 00:12:53.800]   How long before we see that here when people start saying, "Well, this doesn't really
[00:12:53.800 --> 00:12:55.160]   go there like it should."
[00:12:55.160 --> 00:13:00.800]   And I mean, I see a lot of hoopla today, but I think that the comment I heard so far
[00:13:00.800 --> 00:13:05.680]   that it makes me, that resonates with me the most, is that we'll see more of the value
[00:13:05.680 --> 00:13:09.760]   of Leopard next year once we start to see apps that really take advantage of all this.
[00:13:09.760 --> 00:13:10.760]   Yeah.
[00:13:10.760 --> 00:13:13.720]   And there are little things that I start to notice that, you know, that have changed
[00:13:13.720 --> 00:13:14.720]   that I miss.
[00:13:14.720 --> 00:13:20.920]   But I can't figure out why they took the info panel out of iCal.
[00:13:20.920 --> 00:13:22.480]   It just baffles me.
[00:13:22.480 --> 00:13:25.040]   It really is a mistake as far as I could tell.
[00:13:25.040 --> 00:13:29.080]   You have to hit Command-i on an appointment to see the details of it.
[00:13:29.080 --> 00:13:30.880]   They took out the transitions in front row.
[00:13:30.880 --> 00:13:34.760]   That's not the end of the world, but it's odd that they removed some of these things.
[00:13:34.760 --> 00:13:40.640]   On the plus side, Apple told me that the quick look functionality is easily extensible.
[00:13:40.640 --> 00:13:44.440]   So in a way, it's like a spotlight extension.
[00:13:44.440 --> 00:13:49.520]   So when a developer writes a new file format, they can release a plugin for Quick Look that
[00:13:49.520 --> 00:13:50.520]   will make it work.
[00:13:50.520 --> 00:13:55.160]   So it's pretty much ensured that you'll be able to quick look into almost any kind of
[00:13:55.160 --> 00:13:57.840]   document, which is, I think, really great.
[00:13:57.840 --> 00:14:01.480]   Hit that spacebar when you're in the Finder to look at the thing.
[00:14:01.480 --> 00:14:02.800]   Some people don't know that you can do that.
[00:14:02.800 --> 00:14:03.800]   It's just really cool.
[00:14:03.800 --> 00:14:06.240]   I do think it's curious, though.
[00:14:06.240 --> 00:14:09.960]   I'm wondering if there was a technical reason why they just didn't simply amend the standard
[00:14:09.960 --> 00:14:15.120]   open-filed dialog box to just put that button inside every single dialog box.
[00:14:15.120 --> 00:14:16.840]   Why they didn't click look in every box.
[00:14:16.840 --> 00:14:20.160]   That's the age-old question of should open-save dialog box even exist?
[00:14:20.160 --> 00:14:23.520]   Or should it simply be like the Finder in another incarnation?
[00:14:23.520 --> 00:14:25.840]   That question has been going on for a decade now.
[00:14:25.840 --> 00:14:30.160]   Why is there this other way to get it filed that's specific to the application.
[00:14:30.160 --> 00:14:32.480]   It's in this little window and it's been adding features to it.
[00:14:32.480 --> 00:14:34.800]   But the bottom line is that it's duplication of efforts.
[00:14:34.800 --> 00:14:36.760]   Your task is to find a file and open it.
[00:14:36.760 --> 00:14:39.800]   And when you do it from within an application, you use this different-looking interface of
[00:14:39.800 --> 00:14:43.480]   those and have all the same features as the Finder.
[00:14:43.480 --> 00:14:46.000]   You could file a bug and say, "Oh, I want a quick look in there."
[00:14:46.000 --> 00:14:48.880]   You eventually end up duplicating the whole Finder in this little window.
[00:14:48.880 --> 00:14:49.880]   That's okay.
[00:14:49.880 --> 00:14:51.880]   I got a 200 gig hard drive.
[00:14:51.880 --> 00:14:52.880]   I bet that I-
[00:14:52.880 --> 00:14:53.880]   I don't know about memory.
[00:14:53.880 --> 00:14:55.880]   I'm talking about programmer effort debugging.
[00:14:55.880 --> 00:14:56.880]   I don't know.
[00:14:56.880 --> 00:15:00.160]   First of all, I don't care about the effort that other programs are.
[00:15:00.160 --> 00:15:01.160]   That's their problem.
[00:15:01.160 --> 00:15:02.160]   That's their problem.
[00:15:02.160 --> 00:15:06.600]   I'm saying for my own perspective.
[00:15:06.600 --> 00:15:12.520]   This is one of those really interesting user interface questions because I find it difficult
[00:15:12.520 --> 00:15:19.200]   to get my head around the concept of not having a standard file open box.
[00:15:19.200 --> 00:15:23.200]   If I hit command O to open a document in Word, what would happen if I did not have that?
[00:15:23.200 --> 00:15:24.200]   Right.
[00:15:24.200 --> 00:15:25.200]   That's why they haven't done it because it's a hard problem.
[00:15:25.200 --> 00:15:28.120]   Obviously, you don't chuck them back to the Finder in some sort of strange mode.
[00:15:28.120 --> 00:15:29.360]   You have to give them something.
[00:15:29.360 --> 00:15:33.040]   But from an implementation perspective, you want that to essentially be a componentized
[00:15:33.040 --> 00:15:34.040]   version of the Finder.
[00:15:34.040 --> 00:15:37.360]   With the Finder with the reusable component that you can make appear in any application.
[00:15:37.360 --> 00:15:38.880]   Or at least quick look.
[00:15:38.880 --> 00:15:39.880]   At least quick look.
[00:15:39.880 --> 00:15:41.880]   We need to open up.
[00:15:41.880 --> 00:15:42.880]   Yeah.
[00:15:42.880 --> 00:15:43.880]   Yeah.
[00:15:43.880 --> 00:15:44.880]   That is a great feature.
[00:15:44.880 --> 00:15:49.040]   Believe it or not, I find my- I can spend like 45 minutes just in cover flow and quick
[00:15:49.040 --> 00:15:51.240]   look because it's so much-
[00:15:51.240 --> 00:15:52.780]   It was productivity boost.
[00:15:52.780 --> 00:15:53.780]   Yes, it was.
[00:15:53.780 --> 00:15:58.360]   Well, it's not just that it's just that you know, I don't really- how much time I'm going
[00:15:58.360 --> 00:16:03.520]   to spend looking at the credit screen for an application that I didn't need to actually
[00:16:03.520 --> 00:16:04.520]   launch.
[00:16:04.520 --> 00:16:06.760]   Really, I just want to see what's on page four of this.
[00:16:06.760 --> 00:16:07.760]   Right.
[00:16:07.760 --> 00:16:08.760]   And then I need to go home.
[00:16:08.760 --> 00:16:09.760]   Right.
[00:16:09.760 --> 00:16:11.120]   No, it's immensely useful.
[00:16:11.120 --> 00:16:14.080]   I just like going back through old documents and reading them.
[00:16:14.080 --> 00:16:15.880]   It's really fun.
[00:16:15.880 --> 00:16:22.000]   With every single new update, they keep sticking it to anybody whose primary impulse is to
[00:16:22.000 --> 00:16:26.320]   organize their stuff and do what they've been taught to do since like their age eight.
[00:16:26.320 --> 00:16:30.000]   They put folder clothes neatly, hang them up, nicely in the closet.
[00:16:30.000 --> 00:16:34.320]   The people who just tossed things in one big pile with release after release, Apple keeps
[00:16:34.320 --> 00:16:37.840]   rewarding them with smart folders, with a cover flow, with quick look.
[00:16:37.840 --> 00:16:39.360]   It's like, "No, bother it.
[00:16:39.360 --> 00:16:40.360]   I organize."
[00:16:40.360 --> 00:16:41.360]   Ah.
[00:16:41.360 --> 00:16:43.240]   You see, we were right all along.
[00:16:43.240 --> 00:16:44.240]   That's messy, folks.
[00:16:44.240 --> 00:16:45.760]   Let's talk a little bit.
[00:16:45.760 --> 00:16:50.320]   You spent quite a few words on file system events, John.
[00:16:50.320 --> 00:16:53.280]   And I found this very interesting FS events.
[00:16:53.280 --> 00:16:57.480]   This is one of those under the hood things that people may not be aware of but could
[00:16:57.480 --> 00:17:00.360]   make a big difference in how the operating system works.
[00:17:00.360 --> 00:17:01.360]   What are FS events?
[00:17:01.360 --> 00:17:06.640]   Well, I mean, the basic problem is you want to ask a question like, you know, what has
[00:17:06.640 --> 00:17:09.480]   changed in this file system since the last time I asked.
[00:17:09.480 --> 00:17:13.560]   And if you have a 500 gig drive, that's a really expensive question to ask if you have
[00:17:13.560 --> 00:17:14.560]   to say, "Oh, I don't know.
[00:17:14.560 --> 00:17:18.120]   Let me go look at every single file on your desk and tell you which files have changed
[00:17:18.120 --> 00:17:19.560]   since the last time you asked."
[00:17:19.560 --> 00:17:20.560]   That's not feasible.
[00:17:20.560 --> 00:17:22.560]   Time machine to do it all the time.
[00:17:22.560 --> 00:17:25.120]   Time machine constantly to say, "What do I need to back up?
[00:17:25.120 --> 00:17:27.320]   What have you changed since the last time I made a backup?"
