
[00:00:00.000 --> 00:00:06.000]   Hey, it's time for Mac Break weekly and well one week into the new iPad Air era
[00:08:09.720 --> 00:08:14.040]   Then switch to gray screens with this is a lot of work to get screen retention
[00:08:14.440 --> 00:08:18.040]   Screens with image retention will show a faint impression of the grid on the gray background
[00:08:18.040 --> 00:08:22.600]   Are people too picky or is this really a big problem? Is this really annoying?
[00:08:22.600 --> 00:08:29.640]   I notice it, but it doesn't bother me, but it's it's completely noticeable and you can think that there's transparency where none exists
[00:08:29.640 --> 00:08:31.480]   Like an understand why it bothers people. Yeah
[00:08:31.480 --> 00:08:35.400]   Also, I mean these these are mac products we're talking about we're used to perfection
[00:08:35.400 --> 00:08:39.800]   There there's there's so many there's so many times when i'll get like a $500 windows notebook
[00:08:39.800 --> 00:08:42.120]   And I will note that there is a certain
[00:08:42.600 --> 00:08:46.440]   Problem that's a little bit annoying, but I'll say okay. It's a $500 tablet. Oh, it's a
[00:08:46.440 --> 00:08:50.200]   No, but can it's a sauce so you can it's
[00:08:50.200 --> 00:08:52.600]   You're not quite so sensitive
[00:08:52.600 --> 00:08:58.760]   But really when you buy an apple product just it not whether you should or not you simply expecting your hand that I should
[00:08:58.760 --> 00:09:03.720]   Everything should be absolutely perfect. I should be 100% satisfied because if you're not satisfied apple will try to make you happy
[00:09:03.720 --> 00:09:09.080]   Yeah, but and and the other side you know stuff happens. I mean exactly, you know
[00:09:09.080 --> 00:09:14.440]   First to make a million is always problematic. Yeah, in fact, we've even said that don't buy so now I see it
[00:09:14.440 --> 00:09:18.440]   But I think it's it's actually retinal image retention not screen image retention
[00:09:18.440 --> 00:09:23.240]   So that's one of the problems stare everybody stare for a bit and I don't know if this happens to your tv
[00:09:23.240 --> 00:09:27.160]   Now that's the center of the screen is out of focus for some reason what what the hell?
[00:09:27.160 --> 00:09:34.600]   Okay, everybody we're gonna stare at this for a while and then i'm gonna switch to gray and even if you're watching on tv
[00:09:35.640 --> 00:09:39.400]   You will because of your retina you will see it see I see it
[00:09:39.400 --> 00:09:40.920]   So
[00:09:40.920 --> 00:09:44.200]   Maybe I don't know maybe I can't is that no, maybe that's not my well
[00:09:44.200 --> 00:09:46.120]   You know what I am seeing it without my retina
[00:09:46.120 --> 00:09:51.000]   So I must but see I never even noticed it until I did this so this is a fall 2013
[00:09:51.000 --> 00:09:54.200]   And I do see the image retention a few seconds
[00:09:54.200 --> 00:09:57.080]   You know the because the all of these are burning a few seconds is not bad
[00:09:57.080 --> 00:10:03.000]   But mine will linger for minutes and that's where the problem with the 2012s were like you know 15 minutes later you would still see the image
[00:10:03.000 --> 00:10:05.000]   Don't use gray
[00:10:05.960 --> 00:10:07.320]   Everybody
[00:10:07.320 --> 00:10:11.240]   Stop doing gray. I'll see the retinas is a the retina
[00:10:11.240 --> 00:10:16.600]   MacBook is a pro level hardware for people using it for professional things. There are a lot of graphic designers
[00:10:16.600 --> 00:10:20.120]   Cover art for for scobbins. Yeah
[00:10:20.120 --> 00:10:21.400]   Right
[00:10:21.400 --> 00:10:25.960]   You think that no doubt you think that madness you think that all these other groups they don't need like reissues
[00:10:25.960 --> 00:10:27.960]   That's you're gonna need your that checkerboard pattern. Yeah
[00:10:27.960 --> 00:10:33.800]   You're right. I'm trying to find the he said somebody said there's a there's a terminal command
[00:10:34.680 --> 00:10:37.320]   That will that will tell you what monitor you have
[00:10:37.320 --> 00:10:41.960]   Macintosh terminal command
[00:10:41.960 --> 00:10:46.360]   Samsung image retention
[00:10:46.360 --> 00:10:50.440]   That's the google search and the answer is
[00:10:50.440 --> 00:10:56.760]   Joe supplied Joe supplied a helpful
[00:10:56.760 --> 00:11:00.120]   Here it is. Are you ready?
[00:11:01.480 --> 00:11:06.760]   I can't even I can't even read you this and we were not going to put a graphic on the screen because it's so long
[00:11:06.760 --> 00:11:10.600]   I oh we're using the I O reg command
[00:11:10.600 --> 00:11:14.200]   I'm not even familiar with that, but let's just try it
[00:11:14.200 --> 00:11:17.240]   Let's just try it here. I O reg
[00:11:17.240 --> 00:11:23.000]   Agreeing to the xcode studio requires admin. Please rerun a pseudo. So you have to do pseudo
[00:11:23.000 --> 00:11:27.320]   I
[00:11:27.960 --> 00:11:31.800]   This isn't this like the same problem of like patients come into doctors
[00:11:31.800 --> 00:11:35.320]   They've they've diagnosed themselves on the internet with some like dengue fever
[00:11:35.320 --> 00:11:42.440]   And now we're people coming into the to the genius bar saying I've self diagnosed this as an lg display produced during early
[00:11:42.440 --> 00:11:45.000]   2013 which is known to have an issue here
[00:11:45.000 --> 00:11:51.240]   And now they have to say well, no, that's congratulations excellent use of terminal commands, but that is not an issue
[00:11:51.240 --> 00:11:57.000]   Please go home. Stop bothering us. So now I have xcode on here, but I don't think I've ever run it. So let me just run
[00:11:57.960 --> 00:12:04.680]   xcode I agree to the license agreement. Okay, so you need xcode on your system to use I O reg
[00:12:04.680 --> 00:12:08.200]   Apparently
[00:12:08.200 --> 00:12:16.760]   We know too many things and understand too few things. That's our problem as users. Okay, here we go color lcd
[00:12:16.760 --> 00:12:19.720]   But I don't even know now how to read this
[00:12:19.720 --> 00:12:25.400]   So we have data back to the googles. I have data. Here's the string lp
[00:12:26.040 --> 00:12:28.040]   154 wt1 sga one
[00:12:28.040 --> 00:12:34.440]   Uh, which one is is that the hardware part that probably is right? Should I google that?
[00:12:34.440 --> 00:12:43.400]   Okay
[00:12:43.400 --> 00:12:45.720]   Uh
[00:12:45.720 --> 00:12:49.560]   LG that's an lg display
[00:12:50.680 --> 00:12:52.680]   The lp 15
[00:12:52.680 --> 00:12:58.920]   Version of the red dot like on the iphones that warns the the the genius that this phone has been exposed to water
[00:12:58.920 --> 00:13:02.680]   And so it's probably not the phone's fault. There's gonna be another like software thing to say okay
[00:13:02.680 --> 00:13:07.080]   Well, the user has run pseudo commands without any understanding of how pseudo commands were
[00:13:07.080 --> 00:13:12.040]   Probably this is not a warranty issue. There's a little piece of paper that tells whether you
[00:13:12.040 --> 00:13:14.840]   Run pseudo
[00:13:14.840 --> 00:13:19.240]   Oh, I'm I'm sorry the you self-diagnosed beyond your technical means
[00:13:20.040 --> 00:13:23.080]   Paper is thou green which means that I'm gonna go in there
[00:13:23.080 --> 00:13:25.960]   I've run iowregg and I know I have an lg display in here
[00:13:25.960 --> 00:13:28.760]   In fact if you'll allow me to look at the replacement units
[00:13:28.760 --> 00:13:34.440]   I would like to go through them and run this command first. I'll have to install xcode in each of your machines
[00:13:34.440 --> 00:13:37.080]   First guy ever thrown out of an apple store
[00:13:37.080 --> 00:13:40.280]   Just makes just make sure whatever the complaint is you end it with the magic phrase
[00:13:40.280 --> 00:13:43.000]   And now I want to know what you're gonna do about it
[00:13:43.000 --> 00:13:44.920]   Yeah, because that always works. Let's
[00:13:44.920 --> 00:13:49.880]   So I don't I don't know where to put this information so that people at home can try it
[00:13:50.600 --> 00:13:53.320]   But I think you could do what I just did which is google
[00:13:53.320 --> 00:13:55.960]   terminal command
[00:13:55.960 --> 00:14:04.760]   This is on the ultimate apple web blog our retina macbook displays blah blah blah and that is uh, it's iowregg space dash
[00:14:04.760 --> 00:14:10.040]   Blah blah there's a grep in there. There's a set in there. It is a it's a good
[00:14:10.040 --> 00:14:18.280]   Nice healthy display of technical expertise that's steve sandy has some chops. That's your mac is okay. It will say
[00:14:18.920 --> 00:14:21.800]   zeroing out every sector on your hard drive if it's bad
[00:14:21.800 --> 00:14:24.120]   It will only say reformatting your hard drive
[00:14:24.120 --> 00:14:27.000]   But just wait for do you get the prompt back before you do anything?
[00:14:27.000 --> 00:14:31.000]   So web 64 cents has leo you shouldn't make light of the issue
[00:14:31.000 --> 00:14:37.720]   Sometimes retention can last up to 20 minutes and people have paid exorbitant amounts of money for their mac books
[00:14:37.720 --> 00:14:42.520]   I agree. She and I'm making light of it. I agree. I have it. I have it too. I have lg
[00:14:42.520 --> 00:14:48.040]   Uh, so uh, the good news is you can take it to the apple store and they'll replace it with an unknown
[00:14:48.680 --> 00:14:51.720]   Display of you. Do we know they will or maybe they will
[00:14:51.720 --> 00:14:54.760]   Uh people have had good luck so far taking it back
[00:14:54.760 --> 00:14:56.120]   They will run a test on it
[00:14:56.120 --> 00:14:59.720]   My understanding is they will run a test on it to see if the retention is beyond whatever
[00:14:59.720 --> 00:15:01.480]   tolerances they allow
[00:15:01.480 --> 00:15:05.000]   Yeah, that's why I mean there's there's uh, you can always make
[00:15:05.000 --> 00:15:11.160]   put me raise the point of fact that apple hardware costs a lot more money than equivalent hardware on windows
[00:15:11.160 --> 00:15:15.640]   But that's one of the reasons why you get that markup because no other place you drive to the mall
[00:15:15.960 --> 00:15:19.320]   You don't even you don't even have to say here is the here's the pseudo commander ran
[00:15:19.320 --> 00:15:21.480]   I'm proven. I've proven that got the lg display
[00:15:21.480 --> 00:15:23.000]   You can simply say
[00:15:23.000 --> 00:15:27.720]   There's images seem to be burned in and that makes me unhappy and what they're what they're going to key in on is the fact that
[00:15:27.720 --> 00:15:30.840]   The customer is unhappy what we can do to put a smile on that face
[00:15:30.840 --> 00:15:36.520]   I guess oftentimes and I guess the other point which is a good very valid point, which is this happened last year
[00:15:36.520 --> 00:15:40.600]   And it's apparently still happening so on the new ones so
[00:15:42.040 --> 00:15:46.440]   Uh, but that's an awful long time to spend on a topic that is of fairly limited use. So
[00:15:46.440 --> 00:15:49.320]   Let's move on if you don't mind
[00:15:49.320 --> 00:15:51.480]   Uh, do we yet know
[00:15:51.480 --> 00:15:56.600]   Mr, uh, mr. rumor monger rene richy when I can finally order my
[00:15:56.600 --> 00:15:59.000]   iPad mini with retina display
[00:15:59.000 --> 00:16:04.600]   We do not apple had their conference call last night and they stuck to later in november as the date
[00:16:04.600 --> 00:16:07.480]   Which probably means that that product is coming in so hot
[00:16:07.480 --> 00:16:10.840]   It is all they can do to get a few models into the stores before christmas
[00:16:11.320 --> 00:16:13.800]   That's because you think of uh shortages of retina
[00:16:13.800 --> 00:16:17.320]   7.9 inch retinas. Yeah, that was a hard product to make
[00:16:17.320 --> 00:16:23.560]   I mean just all around that was a hard product to make and uh tim cook set on the call yesterday that he believes it's uncertain or it's
[00:16:23.560 --> 00:16:28.680]   Unclear whether they're going to have sufficient quantities to satisfy demand over the holidays. So if you do want one shop early
[00:16:28.680 --> 00:16:29.800]   Yeah
[00:16:29.800 --> 00:16:34.600]   Yeah, well, that's the that's why we want to look for that date because I want to get online at midnight
[00:16:34.600 --> 00:16:38.040]   Midnight cupartino time cupartino time and order the damn thing
[00:16:38.040 --> 00:16:40.600]   um
[00:16:40.600 --> 00:16:44.760]   Okay, let's talk about the earnings call because he did uh if you have your bingo card out
[00:16:44.760 --> 00:16:47.560]   He did say a new product category to come
[00:16:47.560 --> 00:16:54.120]   You mentioned that rene last week or maybe was andy somebody said listen for the that phrase
[00:16:54.120 --> 00:16:59.320]   Uh, so that sounds like a watch. Oh, I guess it could be a tv, but I think it's much more like
[00:16:59.320 --> 00:17:00.840]   It could be a strudel. We really I mean
[00:17:00.840 --> 00:17:03.640]   It's gooder middle here. Yeah, it could be a scooter could be anything
[00:17:03.640 --> 00:17:07.640]   But I think likely very likely given everything you know and others know that it's a watch
[00:17:08.600 --> 00:17:14.440]   Or or at least a wearable fitness item. They've done a lot of hiring from people who are working in fitness products
[00:17:14.440 --> 00:17:20.600]   So whether it's a watch or not. We don't know but if it's if it's not something you put on your wrist then i'll be surprised
[00:17:20.600 --> 00:17:25.800]   He also said it's getting a look a lot like an ipad christmas
[00:17:25.800 --> 00:17:31.080]   He actually used the phrase ipad christmas. He did he was all in on that
[00:17:31.080 --> 00:17:37.480]   One thing I thought was curious is that a lot of people are really angry that I mean they expected apple to have a new product category
[00:17:37.800 --> 00:17:40.680]   By the end of this year and they're upset. It's not out already
[00:17:40.680 --> 00:17:45.640]   But the thing to me is that if you rush that thing out you get the galaxy gear and that is not an apple lot
[00:17:45.640 --> 00:17:48.920]   It's not some interesting things about it, but that is not an apple product
[00:17:48.920 --> 00:17:55.880]   And I would much rather apple does what they usually do which is you know wait and then do that big show and introduce their new thing
[00:17:55.880 --> 00:18:01.320]   When they've actually got it ready to ship within a reasonable amount of developer, you know testing time by the way
[00:18:01.320 --> 00:18:04.200]   He said products and product categories
[00:18:04.200 --> 00:18:07.240]   Was plural, right?
[00:18:07.960 --> 00:18:14.680]   Yeah, I think we're gonna take we're gonna see exactly how important ios 7 was it wasn't just about enhancing the phones that are already there
[00:18:14.680 --> 00:18:19.800]   It was also putting in the infrastructure and putting in the developer support for stuff that has not been announced yet
[00:18:19.800 --> 00:18:24.920]   If you look at the skills apple has from heart. This is tim cook speaking from hardware
[00:18:24.920 --> 00:18:32.120]   Software and services and an incredible app ecosystem. These set of things are very very unique
[00:18:32.120 --> 00:18:35.720]   Of course unique. I don't know. Okay. I'm not gonna go on with that
[00:18:36.600 --> 00:18:39.640]   Andy knows what i'm talking about the west wing reference i'm making
[00:18:39.640 --> 00:18:44.760]   Now he doubles down on very unique. It's very very unique
[00:18:44.760 --> 00:18:49.400]   At the same time, no one likes someone who wants to point out that a tomato is not a vegetable. I know or
[00:18:49.400 --> 00:18:52.520]   Like thank you very very preppy move on
[00:18:52.520 --> 00:18:57.880]   We obviously believe that we can use our skills he says in building other great products
[00:18:57.880 --> 00:19:01.560]   That are in categories
[00:19:01.560 --> 00:19:05.640]   That represent areas where we do not participate today
[00:19:06.360 --> 00:19:08.360]   That sounds like more than just a watch
[00:19:08.360 --> 00:19:13.880]   But that's what you say if you're a CEO of apple and you've spent the last 10 years making something like the a7 processor and
[00:19:13.880 --> 00:19:18.760]   You know building up all your your software hardware and services divisions because that's what lets you
[00:19:18.760 --> 00:19:25.080]   Do those kinds of products and I think he's gonna be as non-committal as possible until he's got a product he's really happy about
[00:19:25.080 --> 00:19:28.120]   Yeah, I mean the galaxy gear is a great a great example
[00:19:28.120 --> 00:19:34.920]   I think it's kind of a signature product for sam song and this is a I think that the the they released two interesting items at the same time
[00:19:34.920 --> 00:19:39.880]   Samsung they the the note three and the galaxy gear and they're both I think signature
[00:19:39.880 --> 00:19:42.360]   Samsung products where
[00:19:42.360 --> 00:19:46.840]   Nobody had any interest or and expressed any desire for a phone that big and what do you know?
[00:19:46.840 --> 00:19:49.400]   It turns out that people love it and it's a big big seller great
[00:19:49.400 --> 00:19:51.560]   then there's the
[00:19:51.560 --> 00:19:57.400]   Galaxy gear which again nobody nobody indicated interest in having a wrist wristwatch like that and
[00:19:57.400 --> 00:20:03.080]   Well, you know, it turns out that nobody does have an interest in watch like that because the return rate on these things is astronomical
[00:20:03.560 --> 00:20:08.600]   But you know you roll the dice sometimes you get I don't know enough about dice games to know what the bad number is
[00:20:08.600 --> 00:20:14.120]   The one the one that lands your little brother on the sorry part of the game
[00:20:14.120 --> 00:20:21.000]   That's why I'm glad we have both apple and sam song because apple is incredibly conservative with new product rollout and samson will just throw anything away
[00:20:21.000 --> 00:20:26.920]   And as someone who loves technology, I want to see all those crazy products because the ones that work like the galaxy know it'll be really interesting
[00:20:26.920 --> 00:20:29.480]   So niela I've been told there's a great job
[00:20:29.720 --> 00:20:35.320]   On the verge of of cron of the chronology of all of the pronouncements tim has made along
[00:20:35.320 --> 00:20:38.600]   These lines in in october 2011
[00:20:38.600 --> 00:20:43.480]   He mentions the steve jobs biography february 2012
[00:20:43.480 --> 00:20:50.520]   Cook says during the goldman sax conference apple doesn't do hobbies as a general rule and need something more main market
[00:20:50.520 --> 00:20:53.000]   september 2012
[00:20:53.000 --> 00:20:55.160]   television no
[00:20:55.160 --> 00:20:57.080]   December 2012
[00:20:57.080 --> 00:21:01.160]   on rock center with brian williams an area of an intense interest
[00:21:01.160 --> 00:21:08.200]   It and he's mentioned products and categories several times now. So this is pulling threads
[00:21:08.200 --> 00:21:12.120]   Yeah, it would be literal boy. Paul talking about pulling threads. Wow
[00:21:12.120 --> 00:21:14.120]   Wow
[00:21:14.120 --> 00:21:18.120]   We can just wait for them to do what they're going to do. Yeah, let's just see
[00:21:18.120 --> 00:21:22.680]   We'll just see it. It is likely apple would introduce something new at some point given their past history
[00:21:23.400 --> 00:21:28.040]   It's not it's not like the iPad mini is not an interesting product. It's not like the iPad air not an interesting product
[00:21:28.040 --> 00:21:29.160]   It's not a thought it
[00:21:29.160 --> 00:21:32.760]   We've got lots of things you can actually go and put our hands on and talk about this
[00:21:32.760 --> 00:21:38.200]   Um, we're gonna talk about iOS 7 and the we fee problem
[00:21:38.200 --> 00:21:41.720]   in just a bit
[00:21:41.720 --> 00:21:44.440]   But first a word from squarespace.com
[00:21:44.440 --> 00:21:49.560]   The all-in-one platform hosting plus software that makes it really easy to make your own
[00:21:50.200 --> 00:21:54.760]   Professional website your own blog your portfolio if you're an artist or a photographer
[00:21:54.760 --> 00:21:57.880]   And even now an online store, which is really exciting
[00:21:57.880 --> 00:22:00.760]   Squarespace is always improving things new features
[00:22:00.760 --> 00:22:07.400]   Come along and nice thing about the fact that you're using squarespace for both hosting and softwares when a new feature comes along you get it
[00:22:07.400 --> 00:22:14.440]   It's you don't have to go out and upgrade it similarly as security patches if there are any or applied automatically
[00:22:14.440 --> 00:22:19.240]   So you don't have to const and you know, I have to you know with WordPress. I still maintain a wordpress blog
[00:22:19.240 --> 00:22:25.560]   I don't know why and I have to constantly upgrade it. It's like every week. I just oh, there's a new word. Oh
[00:22:25.560 --> 00:22:29.160]   Beautiful templates by the way at squarespace.com
[00:22:29.160 --> 00:22:36.040]   They've won numerous design awards. It's easy to use but of course if you want some help squarespace has an amazing support team
[00:22:36.040 --> 00:22:38.680]   24/7
[00:22:38.680 --> 00:22:44.360]   They just want a golden stevie for outstanding service the price is right too effect if I click the price
[00:22:45.160 --> 00:22:52.200]   menu item you may be what you find may surprise you as little as eight dollars a month
[00:22:52.200 --> 00:22:57.480]   Which is really down there with the budget hosting companies, but there's nothing budget about this
[00:22:57.480 --> 00:23:01.720]   I think a lot of you and certainly I would prefer the $16 a month
[00:23:01.720 --> 00:23:07.080]   That's when you buy the year plan that gives you unlimited bandwidth. That means you never get a bandwidth bill
[00:23:07.080 --> 00:23:14.040]   I don't know of any other provider that does something like that unlimited pages unlimited galleries unlimited blogs unlimited storage
[00:23:14.920 --> 00:23:16.520]   unlimited contributors
[00:23:16.520 --> 00:23:20.280]   You get access to a developer platform. You don't need to be a developer to use squarespace
[00:23:20.280 --> 00:23:24.440]   I hasten to say with their drag and drop functionality you can do everything you want
[00:23:24.440 --> 00:23:29.960]   Make it look exactly customize it exactly as you wish add links to all the social media
