;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[00:04:23.440 --> 00:04:29.680]   Saturday is what we call the long day, which is that we we do two hours of q&a and then we do uh, we do four
[00:04:30.320 --> 00:04:35.280]   One hour sessions so we have like, um, you know, nick joshishin from drexel universities doing unreal
[00:04:35.280 --> 00:04:40.240]   And then steve bays who used to be the senior product manager for final cut does final cut deep cuts
[00:04:40.240 --> 00:04:44.720]   So we get it pretty much from the guy who ice, you know, it's on the team and then
[00:04:44.720 --> 00:04:49.840]   And then we have alex goldner from uh that does a ton of work for the bbc
[00:04:49.840 --> 00:04:57.600]   Do it showing how live stuff, you know graphics get built and stuff like that and then and then um, but we range all over the place from unreal to
[00:04:58.160 --> 00:05:03.440]   You know other things like, you know and final cut in production. So it's so it's very it is very you know for
[00:05:03.440 --> 00:05:08.400]   Mac leaning, but there's definitely plenty of folks that are using other other software as well
[00:05:08.400 --> 00:05:11.680]   So I am totally intimidated, but I am going to be on thursday
[00:05:11.680 --> 00:05:17.280]   It's it we're so excited to have you everyone's everyone's excited because there's a lot of mac break listeners that are that are already in it
[00:05:17.280 --> 00:05:21.760]   Because they've heard about us talking about it here. So right so there's a ton of people that are excited
[00:05:21.760 --> 00:05:26.000]   We should mention there's a limit of 500 total people that can can attend so
[00:05:26.640 --> 00:05:28.640]   Uh, you can see after the fact
[00:05:28.640 --> 00:05:33.280]   But yeah, so there's you want to get there, uh, you know, we we open the doors
[00:05:33.280 --> 00:05:39.760]   Uh again at six a.m. Uh leo won't be on until eight, uh, so but um, that's like at six
[00:05:39.760 --> 00:05:46.080]   But yeah, it's limited to 500 concurrent and so um, uh, we haven't hit that number yet
[00:05:46.080 --> 00:05:50.000]   But we have thought about that the thursday may be I want to make it up there
[00:05:50.000 --> 00:05:51.520]   So everybody's tuned it
[00:05:51.520 --> 00:05:56.320]   So it's at youtube.com/allaxlindz for the after show but uh for the
[00:05:57.040 --> 00:06:04.080]   Produced version but you can you can there's a link at that page in the comments, uh to the actual zoom
[00:06:04.080 --> 00:06:05.360]   seminar
[00:06:05.360 --> 00:06:09.520]   Yeah, and if you want to the easier to remember a link is just it's just bitly slash the office hours
[00:06:09.520 --> 00:06:14.640]   Oh, nice. So it's so it's if you I finally realized I should probably make something that was easier to remember
[00:06:14.640 --> 00:06:17.440]   So if you do be a bit dot l y
[00:06:17.440 --> 00:06:23.680]   Slash the office hours you'll get to the zoom registration and you can you can jump in there and and uh and register
[00:06:23.680 --> 00:06:27.760]   And then you know if you don't want to get emails from us then cancel it later
[00:06:27.760 --> 00:06:30.720]   But but there's we had today
[00:06:30.720 --> 00:06:37.520]   We had uh one of the designers from sound devices talking about how their noise assist works and and uh tomorrow we're spending an hour talking about lenses
[00:06:37.520 --> 00:06:44.480]   So um so anyway, so it's a pretty fun if you like media geek geekery. It's a pretty uh pretty fun morning
[00:06:44.480 --> 00:06:47.920]   Uh
[00:06:47.920 --> 00:06:50.800]   Are you sure it's the office
[00:06:51.120 --> 00:06:53.680]   Hours it should be bitly
[00:06:53.680 --> 00:06:56.560]   B it dot l y slash
[00:06:56.560 --> 00:07:02.400]   The office hours that brings me to a youtube channel called the office hours
[00:07:02.400 --> 00:07:05.440]   Really? Yeah, that's
[00:07:05.440 --> 00:07:11.040]   So we'll get you the bit late podcast about the office maybe
[00:07:11.040 --> 00:07:13.760]   Uh
[00:07:13.760 --> 00:07:16.640]   No, it looks like they're reenacting the office
[00:07:19.200 --> 00:07:23.280]   Children reenacting the office. I think I don't know. That's interesting. He's like when I put it in
[00:07:23.280 --> 00:07:24.320]   uh
[00:07:24.320 --> 00:07:27.840]   B it dot l y slash the office hours
[00:07:27.840 --> 00:07:35.520]   That's t h e o f f i c e h o u r s
[00:07:35.520 --> 00:07:38.720]   Or no s yep
[00:07:38.720 --> 00:07:41.440]   With an s
[00:07:41.440 --> 00:07:44.640]   Anyway
[00:07:44.640 --> 00:07:51.680]   Hi, Alex and you know the link is available on the youtube channel youtube dot. Yeah, you get it Alex lensy and also with us
[00:07:51.680 --> 00:07:52.720]   Oh
[00:07:52.720 --> 00:07:54.720]   It's it's something I just learned
[00:07:54.720 --> 00:08:00.000]   I didn't realize that bitlies are our case defendant. So it's the office hours. It has the gift account
[00:08:00.000 --> 00:08:03.200]   So that's not very useful. Never mind. It's it's because it's uh
[00:08:03.200 --> 00:08:04.640]   Uh
[00:08:04.640 --> 00:08:08.880]   They suddenly for someone with 42 subscribers won't understand why everybody came there after they haven't done
[00:08:09.040 --> 00:08:15.280]   So it's capital t capital o capital h capital h and I I thought I just I didn't realize that it was that
[00:08:15.280 --> 00:08:19.680]   That's interesting. I didn't know it was case sensitive either. I didn't either. Yeah, now we've learned
[00:08:19.680 --> 00:08:24.000]   There's there's something learned that something new that we learned about really is that it's case sensitive
[00:08:24.000 --> 00:08:27.520]   We are only six minutes into the show and you've learned something
[00:08:27.520 --> 00:08:32.400]   See you see and we haven't even introduced uh, ani and ako yet
[00:08:32.400 --> 00:08:36.960]   Hello, andrew it's great to have you back. That's one to grow on. Hi could be back
[00:08:38.400 --> 00:08:40.400]   We rotate just as a
[00:08:40.400 --> 00:08:44.800]   Note because there's so many people who want to be on the show. We rotate one person out every week
[00:08:44.800 --> 00:08:48.880]   So rene is odd man out this week as and he was last week. He'll be back next week
[00:08:48.880 --> 00:08:54.400]   And uh, we thank you for uh your understanding, but I think this show particularly
[00:08:54.400 --> 00:08:57.120]   Everybody has a lot to say
[00:08:57.120 --> 00:09:02.160]   And it's better if we have fewer people on it and I will also shut up just to make more room
[00:09:02.160 --> 00:09:06.800]   How about that? We now know there will be a key well, we knew that'd be a keynote
[00:09:06.800 --> 00:09:09.600]   We know what time 10 a.m. On monday
[00:09:09.600 --> 00:09:12.640]   WW DC 2020 kicks off
[00:09:12.640 --> 00:09:17.120]   I presume it's tim apple, but we do know it's coming from the steve jobs theater
[00:09:17.120 --> 00:09:24.080]   Uh, and i'm thrilled excited more excited than I have been in a while for wwdc
[00:09:24.080 --> 00:09:29.520]   Something new something different. Yeah. Yeah. Yeah. Yeah, it's gonna be interesting. Sorry
[00:09:29.520 --> 00:09:35.680]   Go ahead. It's it's one of the things that might be even make it more interesting is the idea of do they do the entire keynote live
[00:09:35.920 --> 00:09:42.160]   Or do they have some stuff pre taped in which case they could have a much much deeper bench of talent to draw upon
[00:09:42.160 --> 00:09:46.720]   Or they might be able to give far far more substantive information and demonstrations from there
[00:09:46.720 --> 00:09:51.120]   So it's just it's sort of like just like it was exciting for the first couple of weeks to see
[00:09:51.120 --> 00:09:56.960]   Uh, see like jimmy fowlan and everybody all the late night hosts have to do shows from their rooms from their bedrooms
[00:09:56.960 --> 00:10:03.760]   And they've never done before it's going to be interesting to see apple to try to give this keynote without like 3,000 cheering people
[00:10:04.160 --> 00:10:07.520]   Of which like 500 500 800 are like apple people
[00:10:07.520 --> 00:10:09.440]   Uh
[00:10:09.440 --> 00:10:14.080]   They wouldn't they won't have to be able to say to insert applause breaks into the script for the for the keynote
[00:10:14.080 --> 00:10:17.120]   the uh
[00:10:17.120 --> 00:10:19.200]   Microsoft developer
[00:10:19.200 --> 00:10:20.960]   Event had a mix
[00:10:20.960 --> 00:10:26.320]   Some of the stuff was pre-recorded and some of it was live maybe it's just me but I could always tell
[00:10:26.320 --> 00:10:29.040]   When it was pre-recorded because the energy was worse
[00:10:29.440 --> 00:10:37.600]   It just felt canned the live stuff that microsoft did including their main keynote with scott hanselman was fantastic because it was live
[00:10:37.600 --> 00:10:40.960]   If well, I think that there's an there's a subtle energy that you get
[00:10:40.960 --> 00:10:45.120]   Um from from doing a live event that is just really hard to produce when you start to
[00:10:45.120 --> 00:10:50.160]   Now have control over every perfect edit and all the close-ups and everything else and it's been rehearsed
[00:10:50.160 --> 00:10:52.240]   It just doesn't feel the same
[00:10:52.240 --> 00:10:56.480]   You can make something that's great, but you then have to make it much better
[00:10:56.640 --> 00:11:00.160]   So I think that when you don't do live you get you really have to
[00:11:00.160 --> 00:11:04.160]   Up the production value. You can't just do a stage version
[00:11:04.160 --> 00:11:08.720]   Um pre-recorded and have it have the same energy as the live version of that
[00:11:08.720 --> 00:11:14.160]   Um, so, you know, I think we talked in the past about connections connections is great
[00:11:14.160 --> 00:11:17.440]   It's not live. You know, he figured it all out, but it's very well produced
[00:11:17.440 --> 00:11:20.000]   So yeah, yeah, yeah, no absolutely
[00:11:20.000 --> 00:11:23.520]   So some of the some of the best television most of it is not live
[00:11:24.000 --> 00:11:28.960]   But I think for I think for a presentation like a keynote, it's noticeable
[00:11:28.960 --> 00:11:34.160]   I prefer a lot of questions obvious questions that we do we need a presentation like a keynote, but that's a whole nother
[00:11:34.160 --> 00:11:39.920]   Discussion, you know, I think we do though because we need to be that you know
[00:11:39.920 --> 00:11:44.640]   Apple likes to kind of like be in control of the story that's being told
[00:11:44.640 --> 00:11:50.080]   They like to have the narrative and if they don't give us the narrative to talk about and write about
[00:11:50.480 --> 00:11:54.480]   Then we just kind of make it up as we go along and it may not kind of fit
[00:11:54.480 --> 00:11:58.000]   What they wanted us to know about something so for new
[00:11:58.000 --> 00:12:04.000]   Features and an operating system or something like that if they just said here's a list of all the new features
[00:12:04.000 --> 00:12:11.200]   That nothing would get called attention to it so that we wouldn't know what to assume would be like the most important feature
[00:12:11.200 --> 00:12:16.880]   So I do think a keynote is important to generate the kind of buzz that apple's really good at
[00:12:17.520 --> 00:12:22.160]   I think you could make one the thing is you could take a all I would say is that you could take a two-hour
[00:12:22.160 --> 00:12:23.760]   keynote
[00:12:23.760 --> 00:12:29.040]   You could cut it down and create a highly produced one hour that would say all the things that you want to say very fast
[00:12:29.040 --> 00:12:34.000]   And but it would look like a real show, you know, rather than trying to have it be people up there
[00:12:34.000 --> 00:12:36.800]   Trying to do that. Yeah
[00:12:36.800 --> 00:12:40.800]   Go ahead, Annie
[00:12:40.800 --> 00:12:42.800]   And we have seen what happens when
[00:12:43.040 --> 00:12:50.080]   You try to create a big launch that has a lot of subtle things to it without having an organized like hour-long
[00:12:50.080 --> 00:12:55.200]   We we we were the the company knows that you know that this is propaganda
[00:12:55.200 --> 00:13:01.760]   But nonetheless, this is at least the propaganda that they it's interesting to see what what features and what technologies
[00:13:01.760 --> 00:13:08.080]   They specifically want to highlight google got the double whammy of they were going to announce android 11
[00:13:08.720 --> 00:13:12.080]   During during the may google I/O that got canceled because of coronavirus
[00:13:12.080 --> 00:13:15.840]   Then they were going to have android 11 as a big live launch event on youtube
[00:13:15.840 --> 00:13:22.160]   But then they decided had a good taste to to cancel that because of the black lives matter protest
[00:13:22.160 --> 00:13:30.400]   And so they were left essentially with just a whole bunch of developer oriented videos posted to youtube and a blog post and that left a big big
[00:13:30.400 --> 00:13:34.480]   That wasn't very common for commentators yet to have to say okay. Well now we have the beta now
[00:13:34.480 --> 00:13:39.280]   We're going to have to explain on our own terms what doesn't matter what google thinks is important
[00:13:39.280 --> 00:13:43.440]   Doesn't matter how google shows something off. We're going to have to dig through this ourselves and come up with our own
[00:13:43.440 --> 00:13:48.320]   That's what a keynote really a bad thing. That's what a keynote is. It's spin. It's context
[00:13:48.320 --> 00:13:55.520]   I mean, there's two ways to put it. So I would say it's spin, but it's contextualization, right lory. It's it's telling people what's important
[00:13:55.520 --> 00:13:58.320]   Right. Yeah, this is
[00:13:58.320 --> 00:14:01.600]   I'm sorry go ahead lory. I interrupted
[00:14:02.160 --> 00:14:07.680]   This is exactly what i'm saying that you know apple likes to make sure that they kind of have control over how
[00:14:07.680 --> 00:14:12.080]   This information is presented to us. We can disseminate it all we want afterward
[00:14:12.080 --> 00:14:14.560]   But they're the ones who are going to say stuff like you know
[00:14:14.560 --> 00:14:21.440]   There's a new ecg feature or a new sleep feature on the iphone or on the um watch o s, you know
[00:14:21.440 --> 00:14:25.280]   They're going to call attention to that because they they they worked on it
[00:14:25.280 --> 00:14:30.080]   They think it's a great feature. They want to push that feature if they just give us a big list of things
[00:14:30.480 --> 00:14:33.920]   We have to figure out of the hundreds and hundreds of features
[00:14:33.920 --> 00:14:35.440]   Which ones are the most important one?
[00:14:35.440 --> 00:14:40.000]   They want to tell us which ones are the most important ones and then later we get to kind of
[00:14:40.000 --> 00:14:44.000]   Weed through all the other stuff and find other features we think are fun
[00:14:44.000 --> 00:14:46.000]   But but out of the gate
[00:14:46.000 --> 00:14:52.160]   And all keynotes are this so they wouldn't they wouldn't live stream them if they weren't meant as a marketing tactic to get us
[00:14:52.160 --> 00:14:54.240]   Interested in what's to come yeah
[00:14:54.240 --> 00:14:57.600]   Well in a lot of ways the the keynotes are still for the press in some ways because
[00:14:58.080 --> 00:15:02.720]   Even you know for a long time apple didn't live stream and that's you know leo live stream them from from the
[00:15:02.720 --> 00:15:07.040]   So lately
[00:15:07.040 --> 00:15:09.760]   The former journalist known as leo yeah
[00:15:09.760 --> 00:15:14.960]   Yeah, so so I think that for a while apple decided that we're they're only going to put press
[00:15:14.960 --> 00:15:18.160]   In that in that position and then spin it just to the press
[00:15:18.160 --> 00:15:23.600]   So I do agree with you that that a lot because in in reality from a popular pure popular perspective
[00:15:24.000 --> 00:15:28.640]   The most viewed thing is usually the highlight reel the tenor, you know the eight or ten minutes
[00:15:28.640 --> 00:15:32.800]   So just tell me what you actually released. Yeah, you know is is all most of that true
[00:15:32.800 --> 00:15:37.600]   Is that the biggest view numbers? I guess I make if you look on youtube, I think those numbers are pretty nice
[00:15:37.600 --> 00:15:40.240]   So we're so obsessed that we watch every freaking minute of it
[00:15:40.240 --> 00:15:41.440]   Yeah
[00:15:41.440 --> 00:15:43.440]   Analyze it and watch it again
[00:15:43.440 --> 00:15:47.920]   Freeze frame it and look at the words on the screen and see what that means literally yeah
[00:15:47.920 --> 00:15:50.800]   We do it's one of the reasons I don't mind not being in the room because
[00:15:51.680 --> 00:15:53.840]   I think you get it's less like watching a baseball game
[00:15:53.840 --> 00:15:56.800]   In the stands versus at home
[00:15:56.800 --> 00:16:02.080]   It's you get the the ambiance and the fun and the smell of the popcorn in the crowd at the game
[00:16:02.080 --> 00:16:06.960]   But if you really want to see what's going on the television coverage is always is always the best way to watch absolutely
[00:16:06.960 --> 00:16:11.520]   And from a commentary perspective, it's much easier to do commentary on the keynote because it's not moving very fast. Yeah
[00:16:11.520 --> 00:16:14.160]   Now I have to say
[00:16:14.160 --> 00:16:16.160]   uh, there is a range
[00:16:16.160 --> 00:16:20.000]   uh google's developers conference is always
[00:16:20.880 --> 00:16:23.040]   A little bit for developers and a little bit for the press
[00:16:23.040 --> 00:16:27.680]   Microsoft's this year was really for developers. They made no pretense
[00:16:27.680 --> 00:16:30.160]   Even when such an Adele was talking
[00:16:30.160 --> 00:16:35.920]   It really wasn't a it was certainly not a very if it wasn't intended for the press. It wasn't very effective
[00:16:35.920 --> 00:16:41.760]   Apple is kind of on the other side of the spectrum. They everything apple does is about marketing
[00:16:41.760 --> 00:16:46.640]   Uh even to developers and then they have the stuff in the side that you don't see but when they stream well
[00:16:46.640 --> 00:16:48.800]   Yeah, that's that's for the press and that's for the people
[00:16:48.800 --> 00:16:52.560]   And I believe that they're streaming all the things they normally stream on the first day of dub dub which is the
[00:16:52.560 --> 00:16:55.680]   Uh, they'll have the keynote, which is very different
[00:16:55.680 --> 00:17:01.360]   But then there's the state of the union and then there is the the awards. Is that right? Are those those
[00:17:01.360 --> 00:17:04.080]   29th
[00:17:04.080 --> 00:17:08.640]   29th, but but they have they have three events that usually happen on that first day and I think that those are all be streaming
[00:17:08.640 --> 00:17:14.320]   And what they do is they those the second two tend to be very developer focused, you know and not really
[00:17:14.880 --> 00:17:20.480]   um publicly focused so they have a couple more opportunities to talk to the developers and so but the first one is definitely for the developers
[00:17:20.480 --> 00:17:25.520]   but leaning towards the press and then the other ones start to get much more into the nitty gritty
[00:17:25.520 --> 00:17:28.480]   And then of course you have a whole week of getting really into the into the weeds
[00:17:28.480 --> 00:17:33.040]   It's interesting because I think apple really has come around for a while they didn't stream any of these now
[00:17:33.040 --> 00:17:34.400]   It's on the apples
[00:17:34.400 --> 00:17:41.600]   This is the apple website and they're saying not just to developers to everybody add to your calendar so you can watch the keynote
[00:17:41.680 --> 00:17:47.200]   I mean they they really want everybody to watch I think and you've been able to watch the
[00:17:47.200 --> 00:17:50.240]   the wwdc
[00:17:50.240 --> 00:17:59.360]   Sessions from the developer website. So it's been pretty easy to access these things all along they they almost
[00:17:59.360 --> 00:18:01.280]   Had it all
[00:18:01.280 --> 00:18:05.360]   It's like they had all the buttons ready to be sewn up
[00:18:05.360 --> 00:18:09.120]   Before this happened because there was they were already doing so much
[00:18:09.680 --> 00:18:15.760]   um, not live streaming but like allowing you to to watch the sessions after they happened so this is definitely kind of
[00:18:15.760 --> 00:18:18.320]   the next step in that process and since they
[00:18:18.320 --> 00:18:25.680]   Added support to different devices so that you can access the developer app on you know your mac and on
[00:18:25.680 --> 00:18:29.840]   apple tv. I really think that it's going to help a lot of people that are
[00:18:29.840 --> 00:18:35.200]   They don't want to just sit there and use their focus. I think the developer up is really kind of just been a way to
[00:18:36.880 --> 00:18:44.000]   When you're there get more information whereas now it's kind of being treated as this is where you find your information
[00:18:44.000 --> 00:18:46.560]   And I like that they've opened that up to
[00:18:46.560 --> 00:18:49.280]   They say right at the top download the app. That's what they want to
[00:18:49.280 --> 00:18:53.680]   Yeah, but only they know it so good luck. Sorry, Andy
[00:18:53.680 --> 00:18:54.720]   I
[00:18:54.720 --> 00:18:56.720]   It looks like it only you have
[00:18:56.720 --> 00:19:00.640]   If you have to be a developer and says well, no, it says it requires Catalina
[00:19:00.640 --> 00:19:03.120]   Oh, I could be oh, yeah
[00:19:03.600 --> 00:19:09.440]   And that's like I have I'm going to have to and I have to I will have to create a wc specific boot drive because I'm
[00:19:09.440 --> 00:19:12.000]   I have not put Catalina on any of my working max
[00:19:12.000 --> 00:19:16.880]   Because I don't want to take that leap to a tighter sandbox mac until I absolutely need one
[00:19:16.880 --> 00:19:21.360]   Well, and also if you're going to use the app you have to be a developer and I was about to pay the 99 bucks
[00:19:21.360 --> 00:19:23.840]   And now it wants a picture of my driver's license and
[00:19:23.840 --> 00:19:28.960]   This is there's a little bit of a speed bump. Go ahead. Alex. We I'm sorry
[00:19:28.960 --> 00:19:30.960]   I'm sorry I didn't remember all I can say is that it's still the the
[00:19:31.440 --> 00:19:36.400]   I mean, we'll see what happens with this app with it with the with the videos that are there but up until
[00:19:36.400 --> 00:19:43.680]   At least through this up until this app was released and until we've seen it work the best place to view the developer stuff is on chrome
[00:19:43.680 --> 00:19:45.200]   Right
[00:19:45.200 --> 00:19:48.800]   Because you can not you can download an extension that allows you to play back quickly
[00:19:48.800 --> 00:19:49.440]   Right
[00:19:49.440 --> 00:19:54.240]   The problem is watching sessions whether it's from google or microsoft or or facebook or apple
[00:19:54.240 --> 00:19:58.880]   Watching developer sessions at one x is just it's just brutal
[00:19:59.120 --> 00:20:01.760]   Like it's just really like why why do we need to do that? Like there's no
[00:20:01.760 --> 00:20:05.440]   It's it's the most insane decision process of not having
[00:20:05.440 --> 00:20:10.000]   Uh, you know not being able to go to 1.5 or 1.75x or maybe even 2x
[00:20:10.000 --> 00:20:12.000]   Holy
[00:20:12.000 --> 00:20:14.000]   This is something I've never thought of
[00:20:14.000 --> 00:20:16.080]   Yeah me neither. Oh my god
[00:20:16.080 --> 00:20:17.520]   I listen at 1x
[00:20:17.520 --> 00:20:19.280]   Lisa and Alex my wife
[00:20:19.280 --> 00:20:21.920]   You're living in double speed to everything they're
[00:20:21.920 --> 00:20:24.400]   Their brains work better than ours. I guess
[00:20:24.960 --> 00:20:30.240]   Well, I guess for me the the problem that I have I mean, I don't and I think part of it's an audible thing that I listen to books
[00:20:30.240 --> 00:20:34.880]   That you know that speed all the time and that's too the issue the issue is is that I have
[00:20:34.880 --> 00:20:38.240]   Um, there are definitely sessions that I have to slow down on
[00:20:38.240 --> 00:20:43.520]   But but for me that just takes them so long to get to the it takes everybody so long to get to the point
[00:20:43.520 --> 00:20:47.760]   They just want you just want to go faster and so um the uh
[00:20:47.760 --> 00:20:53.920]   But I think that for me I get my brain get saturated at about between 1.5 and 2 my brain gets saturated
[00:20:54.400 --> 00:20:57.280]   With the content and then I don't think about anything else. I'm able to focus
[00:20:57.280 --> 00:21:02.560]   When when information is coming to me really slowly, I'm thinking about six other things while people are talking
[00:21:02.560 --> 00:21:04.800]   So it's very hard for me to remember what they said
[00:21:04.800 --> 00:21:09.520]   So anyway, so so I need I need it to go faster and actually
[00:21:09.520 --> 00:21:15.440]   I'm being silly and teasing you because there's a significant amount of evidence that the faster
[00:21:15.440 --> 00:21:21.520]   The content comes in the years the better it's understood again because you're not you're not having other thoughts that are right unrelated
[00:21:22.080 --> 00:21:25.680]   At the same time you're you're pulling all that information and and it's you know
[00:21:25.680 --> 00:21:29.680]   You can do that in a bunch of different ways you can play it faster. You can also create denser content
[00:21:29.680 --> 00:21:32.880]   I think we talked about this when we were talking about connections is I can't
[00:21:32.880 --> 00:21:36.000]   Play connections at 2x, you know, you can't keep you
[00:21:36.000 --> 00:21:38.000]   Yeah, that one's a real time
[00:21:38.000 --> 00:21:42.240]   But like in our house if someone's playing connections and gets played a lot
[00:21:42.240 --> 00:21:43.680]   Um
[00:21:43.680 --> 00:21:47.920]   No one's a lot of talk in the living room because you can't you're you're afraid of losing like a couple words
[00:21:48.000 --> 00:21:52.080]   And so we should we should be well clarify for people who weren't here a couple of weeks ago
[00:21:52.080 --> 00:21:57.280]   We're talking about a very famous tv show called connections by historian james berg
[00:21:57.280 --> 00:22:02.720]   Which was on he's still around by the way leo he is like a triangulation with james berg
[00:22:02.720 --> 00:22:08.400]   Would be oh my god. I think as I remember we've been trying to get him for like 10 years
[00:22:08.400 --> 00:22:13.840]   Okay. Yeah, oh my god. I'm a huge fan. This was the 70s wasn't it? This was a little time ago
[00:22:14.320 --> 00:22:16.800]   I was posting about I was posting about I think I talked about this
[00:22:16.800 --> 00:22:22.400]   But I was posting that I that I wanted alton brown to team up with iLM and do a new connections and alton brown immediately came on and said
[00:22:22.400 --> 00:22:27.680]   While I was designing good eats. I was binging on connections. So good eats is basically connections
