;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[00:08:58.640 --> 00:09:03.200]   Uh, we will carry that and then we'll do windows weekly shortly after that
[00:09:03.200 --> 00:09:06.400]   Is it three or one? I I've gotten conflicting reports
[00:09:06.400 --> 00:09:11.440]   But it will as far as I know right now. It's three o'clock three so on the schedule of three p.m. Pacific's
[00:09:11.440 --> 00:09:13.920]   eastern
[00:09:13.920 --> 00:09:16.160]   What is there anything? Go ahead
[00:09:16.160 --> 00:09:24.320]   Yeah, does this mean that the developer conferences are starting to go back to being developer conferences instead of shows?
[00:09:24.320 --> 00:09:27.040]   I would actually say that started about two years ago
[00:09:27.040 --> 00:09:30.720]   Uh, in fact like the last big build that was really sort of like exciting
[00:09:30.720 --> 00:09:35.680]   It was probably 2015 they gave out xbox as to everybody that showed up and those back when they were
[00:09:35.680 --> 00:09:39.200]   very much tying things into device launches and
[00:09:40.000 --> 00:09:44.000]   Software for those and these the conference now is much more professional
[00:09:44.000 --> 00:09:49.600]   Aim that just pure developer news and that's why it's gone from where they would get on stage
[00:09:49.600 --> 00:09:53.120]   I'm even announced like years ago like alumia phone on stage, right?
[00:09:53.120 --> 00:09:59.520]   And obviously if not doing that anymore, but it's now much more focused just on software tools for the people who are paying
[00:09:59.520 --> 00:10:06.560]   What is the substantial amount of money to attend a developer conference and not get distracted by flashy more consumer news?
[00:10:07.040 --> 00:10:13.040]   Which they tend to now say for separate events and with google i/o right around the corner obviously on Tuesday
[00:10:13.040 --> 00:10:17.440]   Whatever major news they make that would be consumer or pop culture-ish
[00:10:17.440 --> 00:10:24.240]   Would quickly wane by within 24 hours because of google so I think they're it's actually smart to keep the conference like this
[00:10:24.240 --> 00:10:28.560]   But it makes it a little bit less interesting if you you know, I have been following these for a few years now
[00:10:28.560 --> 00:10:32.560]   You do have to give a give such a lot of credit though. Microsoft
[00:10:33.200 --> 00:10:39.840]   Joined the trillion dollar club this month. Yeah, did you see that uh that bloomberg cover with that crazy font?
[00:10:39.840 --> 00:10:41.440]   No, yeah
[00:10:41.440 --> 00:10:47.200]   Yeah, so the cover of bloomberg this week is uh how he saved the you know saved microsoft
[00:10:47.200 --> 00:10:49.280]   And it's this really insane like 90s
[00:10:49.280 --> 00:10:50.960]   font
[00:10:50.960 --> 00:10:53.520]   Uh, what did you think do you think he's really turned around the company?
[00:10:53.520 --> 00:11:01.440]   Yeah, I mean ends now. Yeah, oh god. Look at that. That's his story. The dallas onts is that the miracle of microsoft
[00:11:02.160 --> 00:11:05.920]   It looks like a detergent box. Yeah, right like a
[00:11:05.920 --> 00:11:09.600]   It's a great. It's like a pepto bizball font
[00:11:09.600 --> 00:11:14.800]   No guys guys what it is is it's those like cupcakes
[00:11:14.800 --> 00:11:17.920]   You know what I mean? Like it looks like a like a like a cupcake
[00:11:17.920 --> 00:11:22.240]   You'd get it like a gas station or something and because the sun is coming up over his dome
[00:11:22.240 --> 00:11:24.880]   You want to go?
[00:11:24.880 --> 00:11:28.240]   It's very such as in the clouds
[00:11:28.240 --> 00:11:31.680]   Uh, yeah that great font it's yellow with
[00:11:32.080 --> 00:11:39.680]   A pink outline the miracle of microsoft and then a very kind of 90s the greatest tech company of the 90s is back
[00:11:39.680 --> 00:11:42.560]   That's a that is a brilliant cover
[00:11:42.560 --> 00:11:45.520]   Yeah, yeah, I mean perfect timing for
[00:11:45.520 --> 00:11:50.320]   For build. Yeah, I love that. It is a miracle. It's a miracle
[00:11:50.320 --> 00:11:55.920]   I mean microsoft was so dull their stock was flat for a decade. I mean
[00:11:55.920 --> 00:11:59.440]   You could drive on it. It was so flat. Yeah
[00:12:00.080 --> 00:12:06.720]   Now they're doing really really well. I mean, it's it's not the same exciting stuff on the ball mar era and ball mar himself was always an
[00:12:06.720 --> 00:12:08.480]   entertaining person
[00:12:08.480 --> 00:12:12.960]   Whether interviews when the dollar is definitely a lot more restrained I would say but if you hold microsoft stock
[00:12:12.960 --> 00:12:19.600]   An entertaining CEO is number one on the list of things you want. Yeah ask anyone who has Tesla stock, right?
[00:12:19.600 --> 00:12:20.960]   Yeah, right. Yeah
[00:12:20.960 --> 00:12:25.440]   So, but I mean I think the changes he's done. I obviously I'm not super happy
[00:12:25.440 --> 00:12:28.480]   You know, I wish things with like phone everything. Well, you work for a
[00:12:29.040 --> 00:12:31.680]   publication called windows central
[00:12:31.680 --> 00:12:37.280]   Yeah, and it's one thing such it definitely did and I think I you commend him for it is really
[00:12:37.280 --> 00:12:43.600]   It when he arrived windows and office were everything they were the cash cow. They drove the company
[00:12:43.600 --> 00:12:50.080]   He wisely I think saw that desktop operating systems were not the future that the cloud was the future
[00:12:50.080 --> 00:12:52.560]   And he pivoted that company
[00:12:52.560 --> 00:12:57.280]   And thank god he did because if windows were still their fortune, it wouldn't be a very good
[00:12:57.680 --> 00:12:59.280]   Story to tell
[00:12:59.280 --> 00:13:03.280]   Yeah, and unfortunately that change probably should happen years ago. I mean back in 2007
[00:13:03.280 --> 00:13:07.280]   They missed mobile. I mean they were doing mobile and they were actually had a head start in mobile
[00:13:07.280 --> 00:13:11.840]   But as a company they were focused on desktop and we're completely ignoring where everything was going
[00:13:11.840 --> 00:13:16.480]   The company now is positioned in a much more forward leaning towards, you know
[00:13:16.480 --> 00:13:22.240]   Looking forward to future to lack in the next 10 years where computing is going to be and trying to get their head of everybody else
[00:13:22.240 --> 00:13:24.400]   That's why it's so much focus on AI machine learning
[00:13:24.800 --> 00:13:29.680]   HoloLens and these kind of technologies which as consumers we hear near various esoteric words
[00:13:29.680 --> 00:13:33.760]   And we're only starting now to see little bits of the stuff trickle into real world life
[00:13:33.760 --> 00:13:40.480]   But obviously they're betting that you know in 10 15 years is how tech is going to be and I think they're totally right on that so I agree
[00:13:40.480 --> 00:13:41.520]   Yeah
[00:13:41.520 --> 00:13:45.040]   But it's yeah, it's a little bit less exciting at least initially, but it's important stuff
[00:13:45.040 --> 00:13:47.280]   No, and you know what people like us
[00:13:47.280 --> 00:13:50.880]   Are not don't do enterprise for a reason right?
[00:13:51.600 --> 00:13:57.440]   Isn't the most exciting thing ever consumer technology? I like consumer technology
[00:13:57.440 --> 00:14:01.920]   But get you know get me get me stories about azure and hadoop and data lakes and
[00:14:01.920 --> 00:14:07.040]   You know, I'm out and which is good. It's good. We have mary joe folio. No, it's weekly because
[00:14:07.040 --> 00:14:10.960]   She's yeah, she loves it stuff. She seems to care about that stuff where else she's a very good actor
[00:14:10.960 --> 00:14:17.040]   Yeah, uh, but let me ask is it really so one of the reasons tech stocks are been going up
[00:14:17.040 --> 00:14:19.680]   Is because after the tax cut
[00:14:20.320 --> 00:14:23.680]   Companies like apple have been buying back stock like crazy
[00:14:23.680 --> 00:14:29.440]   That's what they're doing with their repatriated money and some say that's artificially pushing up these tech stocks
[00:14:29.440 --> 00:14:30.480]   Do you think?
[00:14:30.480 --> 00:14:34.080]   Microsoft's value true value has gone up by that much
[00:14:34.080 --> 00:14:37.200]   Or is it a shell game a little bit?
[00:14:37.200 --> 00:14:42.320]   Yeah, I mean i'm obviously not a financial person per se so uh, but from what I understand
[00:14:42.320 --> 00:14:46.960]   Their evaluation seems to be well within the range of being kind of conservative
[00:14:47.040 --> 00:14:50.960]   I think because everybody looks at their profits and the cloud computing area
[00:14:50.960 --> 00:14:53.280]   Which is just known to be a growth area
[00:14:53.280 --> 00:14:57.600]   There's not a ton of competition though the competition there with amazon and google
[00:14:57.600 --> 00:15:03.360]   I would say significant and obviously major players, but they seem to have a firm grasp and vision where they're going so
[00:15:03.360 --> 00:15:05.360]   Uh, it just seems like
[00:15:05.360 --> 00:15:07.760]   It's betting on a future business that seems to be doing well
[00:15:07.760 --> 00:15:10.000]   And the company itself is very conservative
[00:15:10.000 --> 00:15:16.480]   I would say in terms of how it approaches new problems or products and makes it a little bit safer to invest in
[00:15:17.360 --> 00:15:20.080]   But yeah, this stock buyback thing is always an interesting angle
[00:15:20.080 --> 00:15:22.720]   These companies are sitting on a ton of money these days
[00:15:22.720 --> 00:15:29.360]   And so it's we're entering a new era of this like massive hyper capitalism with some of these companies hitting over 1 trillion
[00:15:29.360 --> 00:15:36.320]   Dollars, you know making 30 billion in revenue per quarter. It's uh, it's it's kind of a new level. Yeah, it's kind of amazing
[00:15:36.320 --> 00:15:38.000]   So yeah
[00:15:38.000 --> 00:15:42.720]   Well, I mean if you thought that the margins were nice on advertising the margins are crazy on cloud computing
[00:15:42.720 --> 00:15:44.880]   And I think that's a big thing is that they're just making you know
[00:15:44.880 --> 00:15:48.160]   There's not a lot that they have to really do to make a lot of money on that
[00:15:48.160 --> 00:15:53.920]   And I think microsoft's also done an amazing job staying out of the sh that uh companies like
[00:15:53.920 --> 00:15:55.520]   Facebook
[00:15:55.520 --> 00:15:59.360]   Amazon google have gotten themselves into except for like the github acquisition
[00:15:59.360 --> 00:16:04.160]   Which she was like a little bit of drama like they really, you know, stay pretty well outside of
[00:16:04.160 --> 00:16:09.760]   A lot of the issues that play a lot of these other companies like they want facial recognition to be regulated
[00:16:09.760 --> 00:16:12.000]   You know that sort of thing. I think brad's really great
[00:16:13.520 --> 00:16:17.600]   Yeah, so we're just joking about that before how like microsoft doesn't have this
[00:16:17.600 --> 00:16:24.000]   And we'll talk about it in your show notes for youtube regarding like some their changes that are coming up like youtube now has this problem of like
[00:16:24.000 --> 00:16:26.480]   We help contribute evidently to the outbreak of measles
[00:16:26.480 --> 00:16:32.240]   Coming back like that's a terrible headline and news story to be associated with as google and youtube that microsoft
[00:16:32.240 --> 00:16:36.960]   Thankfully to this point has done how to story like that they could at any moment, right?
[00:16:36.960 --> 00:16:41.200]   That's the business we're in so we can't put them too high on a pedestal, but so far
[00:16:41.600 --> 00:16:44.160]   Uh, yeah, I mean absolutely right that the last few years
[00:16:44.160 --> 00:16:49.840]   It's been facebook and google taking the brunt of all this privacy stuff and uh, you know, it's worked in microsoft's favor
[00:16:49.840 --> 00:16:52.000]   well, but that's what's interesting because
[00:16:52.000 --> 00:16:54.160]   If you asked somebody a couple of years ago
[00:16:54.160 --> 00:17:00.080]   Is microsoft a privacy focused company they would say hell no look at windows 10 and all it took telemetry
[00:17:00.080 --> 00:17:02.160]   It sends back that you can't turn off
[00:17:02.160 --> 00:17:05.360]   Uh, but somehow without doing much it seems
[00:17:05.360 --> 00:17:10.240]   Microsoft has started to look more like I guess in the comparison to facebook and google
[00:17:10.560 --> 00:17:15.760]   A privacy focused company they're closer to apple right apple. I haven't like apple
[00:17:15.760 --> 00:17:21.520]   They haven't chit you know, they haven't taken the flag of privacy and planted and said this is us or have them
[00:17:21.520 --> 00:17:26.720]   They have a little bit, but they're definitely in between I would say apple and google in terms of privacy
[00:17:26.720 --> 00:17:29.600]   They're not quite as you know good as I would say apple
[00:17:29.600 --> 00:17:32.320]   But they're also different business models too, but obviously google
[00:17:32.320 --> 00:17:36.000]   I was just in we'll talk about the numbers later of google, but like I was blowing away that
[00:17:36.560 --> 00:17:39.920]   They made 36 billion in revenue 30 billion of that was advertising
[00:17:39.920 --> 00:17:46.960]   Like if you ever need to know what google's business is like that's a pretty clear sign versus what mark itself's businesses and so
[00:17:46.960 --> 00:17:49.360]   Microsoft does do advertise bing is an advertising
[00:17:49.360 --> 00:17:51.920]   Yeah company and they acquired
[00:17:51.920 --> 00:17:59.360]   Overture right which they wrote off as a flop, but they they wanted this is almost just luck for amazon for apple and microsoft
[00:17:59.360 --> 00:18:01.680]   both had ads
[00:18:01.680 --> 00:18:05.120]   They work both pursuing ad tech and in both cases it failed
[00:18:05.840 --> 00:18:09.840]   And whole hallelujah, we don't care anymore. We did that was a good thing, right?
[00:18:09.840 --> 00:18:14.080]   Yeah, it's a tough business. Obviously google was sweeping up everybody, but
[00:18:14.080 --> 00:18:16.960]   Yeah, there are numbers this quarter. Obviously weren't great
[00:18:16.960 --> 00:18:22.560]   I still also find that funny too. They're numbers that they only did said they had a 17% improvement for advertising and
[00:18:22.560 --> 00:18:28.160]   Evidently that's not good enough for wall free. It's like because it used to be like 22% so clearly there's a problem
[00:18:28.160 --> 00:18:32.560]   By get it. There's a slowdown in advertising and when that much of your business is advertising. It's
[00:18:33.200 --> 00:18:37.920]   Yeah, I'm best at doing this. Yeah, I love this is kirin mccarthy writing in the register
[00:18:37.920 --> 00:18:40.960]   Of course, you know, they're the kings of snark, but I love his choice clip art
[00:18:40.960 --> 00:18:48.480]   Microsoft promises to boil down its lengthy and confusing privacy controls in a 1500 word announcement
[00:18:48.480 --> 00:18:52.080]   And there's 1350 or okay
[00:18:52.080 --> 00:18:55.440]   All right, yeah
[00:18:55.440 --> 00:18:57.520]   1360
[00:18:59.520 --> 00:19:04.480]   So what is what is Microsoft's commitment to privacy? Are they genuinely?
[00:19:04.480 --> 00:19:07.600]   About that. I mean they do
[00:19:07.600 --> 00:19:13.120]   It often seems like the stuff they send back from windows is just telemetry giving them information about what people are doing with windows
[00:19:13.120 --> 00:19:15.120]   Not so much trying to track you
[00:19:15.120 --> 00:19:19.680]   Yeah, the difference is so there's information right and that's all we're talking about here is the information
[00:19:19.680 --> 00:19:24.560]   What are they doing with that information? Are they then selling to third parties? Are they themselves monetizing it?
[00:19:24.960 --> 00:19:27.440]   Uh, they're not a hundred percent not doing that right?
[00:19:27.440 --> 00:19:31.840]   So if you look at outlook outlook service of ads if you're not a paying subscriber to office
[00:19:31.840 --> 00:19:37.040]   Uh, and so and of course being in search has you know service ads for search results
[00:19:37.040 --> 00:19:40.800]   So there are there are some elements there, but when it comes to windows 10 collecting telemetry
[00:19:40.800 --> 00:19:48.160]   It's not tied to it not tied to your accountant in an identifiable way that can be used to track your behavior
[00:19:48.160 --> 00:19:52.800]   It is purely meant on a technical basis for them to help improve the product versus
[00:19:53.520 --> 00:19:57.360]   Profile you and then use that profile then sell off to advertisers
[00:19:57.360 --> 00:20:03.120]   Which many would I would say argue that google and facebook do look at you as the sort of the the target
[00:20:03.120 --> 00:20:08.000]   Um, and so mics have has always been doing that middle ground like I said between apple and google
[00:20:08.000 --> 00:20:14.320]   And finding the space between advertising and privacy, but as a flay, you know, luis mentioned this earlier about
[00:20:14.320 --> 00:20:21.600]   Facial scans and that kind of data. They're pushing that to be regulated by governments this idea of biometrics
[00:20:22.000 --> 00:20:27.760]   Having regulation I think is an interesting one and important one because so many things now scan our faces and data points
[00:20:27.760 --> 00:20:29.840]   It's like all right. Where's that information get stored?
[00:20:29.840 --> 00:20:32.320]   You know jet blue recently in boston where I am
[00:20:32.320 --> 00:20:35.440]   Started facial scans instead of boarding passes
[00:20:35.440 --> 00:20:37.760]   Well, that shocked people when they did that didn't that yeah
[00:20:37.760 --> 00:20:40.560]   Because then it was like wait, where are they getting the information from in terms?
[00:20:40.560 --> 00:20:44.560]   Oh, there we have a database and it's the government has it and they're working with the government on this
[00:20:44.560 --> 00:20:46.560]   There was just they got a little like weird
[00:20:46.560 --> 00:20:48.560]   No one signed off on that, you know
[00:20:48.720 --> 00:20:53.680]   Right, right? We're like you can opt out you can opt out and we were like yeah, but we want to opt in
[00:20:53.680 --> 00:20:58.720]   How this should be it came out of a tweet as I remember somebody tweeted this was weird
[00:20:58.720 --> 00:21:04.000]   I just boarded a jet blue plane and I didn't have to show my d they knew who I was from my face
[00:21:04.000 --> 00:21:09.280]   And it turns out it's a dhs database and that jet blue doesn't get access to it
[00:21:09.280 --> 00:21:13.440]   And jeff blue was like jeff blue was like oh, don't worry karen you can opt out
[00:21:13.440 --> 00:21:17.520]   It was like what but
[00:21:17.760 --> 00:21:24.000]   But yeah, I mean, I think there's a there's a big difference between say amazon who releases these like horrible blog posts where they're like
[00:21:24.000 --> 00:21:30.720]   Oh, we don't we think that like facial recognition's fine. Like here's our really weird like 1500 word statement on it versus
[00:21:30.720 --> 00:21:35.600]   The president of microsoft, you know giving a speech in paris about the importance of data and
[00:21:35.600 --> 00:21:41.200]   Writing op-eds about how facial recognition should be regulated. I think is like a really stark contrast
[00:21:41.200 --> 00:21:44.720]   So they've done a good job at least from a public relations standpoint of
[00:21:45.120 --> 00:21:48.720]   Trying to position themselves as a leader. Yeah, that's where I get squirrely because
[00:21:48.720 --> 00:21:55.760]   Do they do a good job of being a leader or just a good job of public relations?
[00:21:55.760 --> 00:22:01.120]   I think it's a little bit of both obviously they're facing a little more scrutiny right now in europe due to the heavier regulation
[00:22:01.120 --> 00:22:04.320]   There with telemetry and data collection and being upfront about it
[00:22:04.320 --> 00:22:11.360]   And it does force them to be you know reconsider and that's what sort of this letter was in response to about how they're going to respond to that
[00:22:11.840 --> 00:22:15.280]   And be a little bit more clear. I find their privacy controls to be pretty good
[00:22:15.280 --> 00:22:19.680]   You can just go through their website and turn everything on and off and everybody's kind of doing this now
