;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[00:01:56.560 --> 00:01:58.880]   dot-com slash twit
[00:01:58.880 --> 00:02:02.280]   And by molecule molecule is
[00:02:02.280 --> 00:02:08.840]   Reimagining the future of clean air starting with the air purifier. It's not just an innovation on existing technology
[00:02:08.840 --> 00:02:14.600]   It's a scientific breakthrough in air purification to save up to one hundred twenty dollars on an air purifier
[00:02:14.720 --> 00:02:19.600]   Visit molecule dot-com and enter the code TWIT 120 at checkout
[00:02:19.600 --> 00:02:32.680]   It's time for Twit this week in tech the show we cover the weeks tech news this week a panel of
[00:02:32.680 --> 00:02:38.280]   Two well three if you include me because we've got two of my favorite people on
[00:02:38.280 --> 00:02:41.680]   Amy Webb is here from the future today Institute
[00:02:41.680 --> 00:02:49.160]   I honestly think we could just do a show with just Amy. She's so full of information and your brand new
[00:02:49.160 --> 00:02:51.200]   14th annual
[00:02:51.200 --> 00:02:56.040]   Tech trends report is out. So we'll certainly be talking about that. Hi Amy
[00:02:56.040 --> 00:03:02.880]   Hey Liam good Pesach happy Passover. Thank you. I said it in Yiddish is it good to Pesach?
[00:03:02.880 --> 00:03:08.680]   It's a good I don't know if it's like a good thing. I mean we're all alive so that we made it the favorite
[00:03:08.680 --> 00:03:12.960]   And we made it had some had some horror set and some
[00:03:12.960 --> 00:03:18.760]   Do you do the whole stator thing do you hide the affocommen the matzah and do all that?
[00:03:18.760 --> 00:03:20.960]   Yeah, we do the whole thing we do the whole thing and
[00:03:20.960 --> 00:03:26.600]   We put it so if you don't know that that's we you hide a cracker when you explain these things out loud
[00:03:26.600 --> 00:03:29.000]   Not nothing makes sense. It all sounds really horrible
[00:03:29.000 --> 00:03:33.760]   But there's a part in all of this where you hide a cracker and then everybody has to go look for
[00:03:35.480 --> 00:03:40.640]   We put it in a pretty obvious place, but everybody overthought it our carpet got ripped up
[00:03:40.640 --> 00:03:45.000]   How many kids were there because only the kids are supposed to read yeah three
[00:03:45.000 --> 00:03:49.880]   It's fun out totally separately because this is weird. So yeah, basically like to break
[00:03:49.880 --> 00:03:54.440]   It's a long service. So like kids go out they they look for it
[00:03:54.440 --> 00:03:58.000]   They come back but my husband's family I found out did it in this really messed up way
[00:03:58.000 --> 00:04:05.280]   this their tradition was that the kids hide it and the adults have to go find it and in order to restart the service the
[00:04:05.280 --> 00:04:08.120]   The they have to barter and the kids have to get from the
[00:04:08.120 --> 00:04:11.560]   Award yeah really messed up
[00:04:11.560 --> 00:04:16.720]   Really stop so it's it's long the service is long enough
[00:04:16.720 --> 00:04:22.760]   The haggada that you go that you do is long enough most people that's their biggest complaint about Passover
[00:04:22.760 --> 00:04:24.760]   Yeah, I don't think you should make it longer
[00:04:24.760 --> 00:04:29.400]   No, and the kids know that so they're like you want to wrap this up. You got to give me something
[00:04:32.840 --> 00:04:38.440]   Let me see if I could find this part of the Red Sea Shanty that describes the Afro Conan
[00:04:38.440 --> 00:04:43.440]   Oh my god for real I did not see this
[00:04:43.440 --> 00:04:58.320]   This is a
[00:04:58.320 --> 00:05:07.720]   Israeli a cappella singing group called 613 they do every every every every Jewish holiday they do a weird song
[00:05:07.720 --> 00:05:10.520]   This is their Red Sea Shanty
[00:05:10.520 --> 00:05:16.360]   That's pretty hilarious. That's how I've learned everything. I know about that so first from these guys
[00:05:16.360 --> 00:05:21.520]   And also want to welcome Kevin Rose back. He's the original twit by the way
[00:05:21.520 --> 00:05:27.800]   You were on twit episode zero twit episode one and I don't know maybe the first hundred twits great to see you
[00:05:27.800 --> 00:05:30.040]   Good. Just good to see you Leo. Thanks for having me
[00:05:30.040 --> 00:05:35.240]   Venture capitalists with true ventures. He's got a brand new podcast. I want to give you a plug right up front
[00:05:35.240 --> 00:05:42.720]   Mo Phi the modern finance podcast you're only in your you've only done three episodes only two published so far
[00:05:42.720 --> 00:05:45.880]   But the first one is a must listen I listen to it immediately
[00:05:45.880 --> 00:05:50.860]   Because I am completely baffled by this whole crazy NFT thing
[00:05:50.860 --> 00:05:54.520]   We've spent a lot of time talking about the people's
[00:05:54.520 --> 00:05:57.040]   $69 million
[00:05:57.040 --> 00:05:58.320]   art
[00:05:58.320 --> 00:06:00.480]   JPEG sold at Christie's
[00:06:00.480 --> 00:06:06.920]   But you explained it all very well with I am DC investor off top hot saying
[00:06:06.920 --> 00:06:12.120]   Who was it was you know, I knew I guess you're also an investor. You've bought some NFTs
[00:06:12.120 --> 00:06:18.320]   Yeah, I mean I was definitely dabbling way back when crypto punks first came out which was
[00:06:18.320 --> 00:06:26.720]   Probably well that was before the the standard was actually defined so they weren't they weren't actually enough teas at first were they?
[00:06:27.440 --> 00:06:33.040]   That's right. Yeah, the standard was based on the work done with the crypto punks project
[00:06:33.040 --> 00:06:37.600]   Oh interesting. So they were so you're smart. I heard you say that you sold
[00:06:37.600 --> 00:06:45.080]   This is these are the crypto punks. They are 25 by 25 pixels. Yeah, they're icons of zombies, right?
[00:06:45.080 --> 00:06:49.520]   Other things zombie is one at attribute type. Yes, and
[00:06:50.160 --> 00:06:58.040]   Aliens zombies and yeah, they all have different mohawks and glasses and beard types and I mean, but you bought but you buy these
[00:06:58.040 --> 00:07:02.800]   I'm which I don't understand because I see them all right here. I have them all you
[00:07:02.800 --> 00:07:09.880]   You buy them so that if I if I click on the smiling zombie, which apparently you own
[00:07:09.880 --> 00:07:15.840]   I can look at it. I could print it. I could do anything. I want with it, but you own it
[00:07:16.320 --> 00:07:21.300]   That's right. Yeah, you could do the same thing with the get a high res copy of the Mona Lisa and print it out
[00:07:21.300 --> 00:07:24.080]   That's true house, but but you don't have it. That's true
[00:07:24.080 --> 00:07:28.280]   So it's like you got the Mona Lisa of smiling zombies
[00:07:28.280 --> 00:07:35.920]   Yeah, I mean it's basically just a way to use the blockchain to prove that someone actually has ownership over something that makes a lot of sense
[00:07:35.920 --> 00:07:38.480]   An ownership that makes a lot of sense. I'm ending it in the blockchain
[00:07:38.480 --> 00:07:42.260]   That's a real problem with artworks with baseball cards with a collectible is
[00:07:42.960 --> 00:07:48.200]   distribution and who owns it, but also is it real is it and so blockchain
[00:07:48.200 --> 00:07:52.080]   Yeah, and the third piece that's really important is how many were made?
[00:07:52.080 --> 00:07:58.680]   I mean one of the things that that happened in the the 90s around baseball cards and collectibles and comic books is
[00:07:58.680 --> 00:08:01.160]   You know, there's a there's a great story
[00:08:01.160 --> 00:08:07.520]   We all of course know the the very famous franchise of the Wolverine and the very first Wolverine comic is still
[00:08:08.160 --> 00:08:11.800]   $50 and I dug into this I'm like how this was made in the 80s
[00:08:11.800 --> 00:08:18.040]   How can this possibly be and it turns out they printed like something like 300,000 of them and didn't tell anyone?
[00:08:18.040 --> 00:08:22.480]   He sold as many as they could and which makes sense as a business
[00:08:22.480 --> 00:08:28.200]   But as collectors, you didn't know that you know and so the blockchain gives you a way to say proof and scarcity
[00:08:28.200 --> 00:08:33.000]   Ownership so that's that's nice. So there is another way
[00:08:33.000 --> 00:08:36.480]   biological way to
[00:08:36.600 --> 00:08:41.080]   barcode and to track authenticity in that's DNA so you can spray
[00:08:41.080 --> 00:08:47.360]   Custom DNA on just about anything. It's odorless. It's colorless. It leaves no residue. It leaves no mark
[00:08:47.360 --> 00:08:52.520]   And then you have physical so blockchain is great, but you know
[00:08:52.520 --> 00:08:56.920]   It's not physical way in fact. Yeah, I mean yeah
[00:08:56.920 --> 00:09:02.280]   The crypto punk is not in the blockchain right the image itself is not in the blockchain Kevin just the URL
[00:09:02.880 --> 00:09:06.680]   That's not true because the with crypto punks it was only a 25 by 25
[00:09:06.680 --> 00:09:10.040]   Oh, they're so small you could put it a hash of the yeah exactly
[00:09:10.040 --> 00:09:16.520]   You're right in any modern like the people's all that stuff. It is just a pointer to like an IPFS type
[00:09:16.520 --> 00:09:20.120]   You know asset right well at least it's I know problems
[00:09:20.120 --> 00:09:26.280]   Go ahead. I was gonna say I think all of that works well as long as you have a ton of redundancy built in
[00:09:26.280 --> 00:09:29.360]   Yeah, cuz if it's just if we're a web you are elegant
[00:09:29.360 --> 00:09:36.960]   You know the server go down at least with IPFS is a distributed file system and so in theory it's not gonna go away
[00:09:36.960 --> 00:09:39.880]   You could spray DNA
[00:09:39.880 --> 00:09:41.880]   So I'm not gonna ask you
[00:09:41.880 --> 00:09:47.680]   It's probably it's not the traditional method of spraying DNA. I'm assuming it's some other
[00:09:47.680 --> 00:09:53.400]   I know that's not what I was talking about. Okay, that's where my mind went
[00:09:54.720 --> 00:10:02.720]   It's a sneeze right you sneeze on it. I'm sure if you think about it that probably a few van goes have his DNA on them
[00:10:02.720 --> 00:10:04.960]   But you're not talking about that
[00:10:04.960 --> 00:10:09.600]   No, I'm not talking about that. I am you know one of the really cool things that's happened
[00:10:09.600 --> 00:10:15.600]   One of the positive after effects of the virus is that messenger RNA, which has been around forever
[00:10:15.600 --> 00:10:18.160]   It finally found a use case a business case
[00:10:18.160 --> 00:10:21.360]   To make the vaccines in this case
[00:10:21.880 --> 00:10:24.960]   That's right and mRNA is is a pretty cool technology
[00:10:24.960 --> 00:10:30.440]   That has some knock-on of effects and one of which is looking at
[00:10:30.440 --> 00:10:33.680]   RNA and DNA in sort of a new light so
[00:10:33.680 --> 00:10:38.840]   You can DNA is like nature's hard drive. You can store a ton of stuff in it
[00:10:38.840 --> 00:10:41.720]   And it doesn't go anywhere
[00:10:41.720 --> 00:10:45.520]   And likewise you can use DNA as a tracking system
[00:10:45.520 --> 00:10:49.720]   So if you've got a really valuable collection of comic books not Wolverine
[00:10:49.920 --> 00:10:56.080]   But something else more valuable, you know one way to physically mark products like that
[00:10:56.080 --> 00:11:04.720]   artifacts that you cannot authenticate in the future is using DNA fragments one of the advantages of blockchain in this regard is it's distributed and
[00:11:04.720 --> 00:11:09.240]   Everybody has a copy. There's no with DNA
[00:11:09.240 --> 00:11:11.960]   You'd still have to have some
[00:11:11.960 --> 00:11:18.320]   registry somewhere of what that what's what's what's in that RNA if I mean it doesn't have to be RNA it could be any
[00:11:19.040 --> 00:11:21.760]   coding method for encoding a long digit
[00:11:21.760 --> 00:11:26.320]   Right, I mean it's like a you can encode spores - it's just it's like a barcode
[00:11:26.320 --> 00:11:30.520]   But yes, you would still need or you would still need a registry that should be distributed
[00:11:30.520 --> 00:11:33.520]   That works great for like individual objects
[00:11:33.520 --> 00:11:38.680]   But if you're going to do something like say fractional and ownership of a digital object. Oh, you can't do that impossible
[00:11:38.680 --> 00:11:44.720]   You know smart contracts enable things like artworks to change over time based on rulesets
[00:11:44.720 --> 00:11:49.400]   Like like really kind of fun things like that as well are are pretty cool with some of the NFT stuff
[00:11:49.400 --> 00:11:54.280]   I think people and I include myself in this get distracted
[00:11:54.280 --> 00:11:55.920]   by
[00:11:55.920 --> 00:11:59.440]   Trying to wrap their mind around well people made a JPEG
[00:11:59.440 --> 00:12:06.760]   Which is infinitely reproducible and then was able to sell it for 69.3 million dollars
[00:12:06.760 --> 00:12:14.680]   To somebody who now can claim ownership in some abstract way and we get wrapped around this notion of collectible
[00:12:15.320 --> 00:12:18.760]   physical versus virtual objects and all of that and
[00:12:18.760 --> 00:12:24.400]   You know you can go either way on that. I mean, you know, I'm kind of of the opinion
[00:12:24.400 --> 00:12:28.480]   It's pretty speculative and but so is so our collectibles
[00:12:28.480 --> 00:12:32.880]   I mean you don't buy a hones wagon or baseball car because it has any intrinsic value
[00:12:32.880 --> 00:12:37.320]   You buy it because you think either you're really a big fan of the Pittsburgh Pirates or
[00:12:37.320 --> 00:12:41.600]   You think it's going to have more value and a down the road and you can sell it
[00:12:41.600 --> 00:12:48.520]   It's a way of storing value just like unfortunately a lot of artworks now are ways of storing value. They're not hung on any wall
[00:12:48.520 --> 00:12:53.620]   They're stored in a locker at some airport to avoid customs and taxes
[00:12:53.620 --> 00:13:01.240]   But they are a store of value and you know, you'll be able to sell them at some point probably for more than you paid for it, right?
[00:13:01.240 --> 00:13:03.720]   so I
[00:13:03.720 --> 00:13:10.040]   Acknowledged that this is a good way to this is a better blockchain is a better way to store value, but I think people like me get all
[00:13:10.920 --> 00:13:16.680]   Tied in a knot over this. Well, yeah, what are you kids doing? This is this is silly
[00:13:16.680 --> 00:13:21.560]   There's also and let me ask you about this Kevin because you didn't address this in modern finance
[00:13:21.560 --> 00:13:25.680]   There's also an environmental concern isn't there? I mean there's a lot of energy
[00:13:25.680 --> 00:13:28.480]   being used to create these
[00:13:28.480 --> 00:13:34.760]   Things and every transaction uses a lot of energy. I think the energy consumption of
[00:13:34.760 --> 00:13:38.280]   Proof-of-work blockchain has been known for for quite some time
[00:13:38.280 --> 00:13:42.040]   I mean, there's there's it's horrible and so I mean that's why
[00:13:42.040 --> 00:13:47.800]   There's a lot of work and effort going into making these chains just eco-friendly
[00:13:47.800 --> 00:13:54.240]   I mean if you take a look at all the layer two scaling solutions for Ethereum everything is they're doing with optimistic roll-ups
[00:13:54.240 --> 00:13:56.240]   these are like very
[00:13:56.240 --> 00:13:58.600]   lightweight ways to do
[00:13:58.600 --> 00:14:04.200]   Cryptographically proven transfers without affining to write it back to the main chain
[00:14:04.280 --> 00:14:09.640]   So without spending a lot of resource power until we get to something that is
[00:14:09.640 --> 00:14:12.080]   Proof-of-state, which is not proof-of-work
[00:14:12.080 --> 00:14:18.360]   Which is not using very intensive CPU or GPUs to do all these transaction processing which is on the Ethereum roadmap
[00:14:18.360 --> 00:14:24.160]   I mean this stuff is coming in for a long time though. Yeah, I know but you're also talking about, you know
[00:14:24.160 --> 00:14:28.880]   How many billions of dollars of you have to be very careful when you're when you're
[00:14:29.560 --> 00:14:34.840]   Changing directions of a plane of that size, right? Like you if you're if you're setting a new destination
[00:14:34.840 --> 00:14:38.600]   Like you don't want you want to really battle and harden the code
[00:14:38.600 --> 00:14:46.040]   And so you know there's been some you too is like there's they've crossed a couple major milestones and staking is the next big one
[00:14:46.040 --> 00:14:48.760]   And that will eliminate the
[00:14:48.760 --> 00:14:50.840]   grotesque energy expenditure
[00:14:50.840 --> 00:14:56.280]   Yes, and and and there's already other chains out there that like are getting a lot of traction that already green from the get-go
[00:14:56.520 --> 00:14:59.640]   Chia Bram Cohen the creator of BitTorrent just launched his coin
[00:14:59.640 --> 00:15:07.520]   Here just four or five days ago you actually interview him for the efficient green for the podcast. You just interviewed him for the podcast?
[00:15:07.520 --> 00:15:10.440]   Yeah, it's a very efficient super green cryptocurrency
[00:15:10.440 --> 00:15:15.080]   It's going to have support for smart contracts and other things on top of it
[00:15:15.080 --> 00:15:17.720]   Solana super like talk about
[00:15:17.720 --> 00:15:25.160]   High bandwidth high throughput they can do 50,000 transactions a second and it is super efficient and green
[00:15:25.720 --> 00:15:32.000]   So, you know these these are all problems that are being worked out, but I certainly acknowledge that today it sucks. I'm of course like
[00:15:32.000 --> 00:15:39.060]   Dependent upon where you're getting your energy from like there are a lot of miners that will go next to very cheap
[00:15:39.060 --> 00:15:46.520]   Sources which can be hydroelectric they can be you know solar and we're not there. They're mining those environments sure sure in fact
[00:15:46.520 --> 00:15:52.720]   It only makes sense to mine where electricity is cheap because otherwise you probably not making a profit, right?
[00:15:53.840 --> 00:15:57.520]   It kind of brings up the issue of as I saw some wag tweet
[00:15:57.520 --> 00:16:03.600]   Elon Musk said Tesla now will accept Bitcoin to purchase a Tesla automobile and
[00:16:03.600 --> 00:16:09.880]   Of course some wag pointed out that you might as well just put gas engines in a melon because
[00:16:09.880 --> 00:16:15.280]   If you're all the benefit the environmental benefit of an electric vehicle is kind of
[00:16:15.280 --> 00:16:19.880]   Abrogated by using Bitcoin to pay for him. I mean yes and no
[00:16:19.880 --> 00:16:25.160]   I think that there's a couple things here like what are the payment rails behind the scenes if you're going let's say
[00:16:25.160 --> 00:16:31.360]   I don't know what they're using for on the on the merchant side to accept Bitcoin, but let's just say it's it's Coinbase, right?
[00:16:31.360 --> 00:16:37.320]   Yeah, if you're going coin based to Coinbase, you're not doing any there's no conversion actually writing to the chain right exactly
[00:16:37.320 --> 00:16:44.080]   It's just staying within that that family so it depends and we talked about this a couple of weeks ago and somebody pointed out
[00:16:45.200 --> 00:16:51.200]   That you know, there's there's not inconsiderable energy usage in banking as well. I mean, you know
[00:16:51.200 --> 00:16:57.320]   We use a lot of energy for a lot of things including Google searches and we don't pay much attention to that
[00:16:57.320 --> 00:17:03.200]   And that we've got to pay attention to it all soon. Yeah. Yeah, because it's not it's not sustainable in the long run
[00:17:03.200 --> 00:17:07.480]   All right, oh
[00:17:07.480 --> 00:17:13.400]   Hey, okay as long as we're talking about this one more question for you because we we're talking about Bitcoin purchases
[00:17:13.960 --> 00:17:20.360]   Tesla's on the radio show with Samable Sam and our car guy and he said, you know people should consider the tax consequences if
[00:17:20.360 --> 00:17:23.400]   The Bitcoin gets converted into dollars
[00:17:23.400 --> 00:17:28.280]   The IRS is gonna want capital gains tax on
[00:17:28.280 --> 00:17:33.280]   The difference between the basis and and what you what that Bitcoin was worth when you converted is that right?
[00:17:33.280 --> 00:17:38.240]   That's right. They pay attention. They're gonna be short of long-term cap gains depending on how long you've held it for right?
[00:17:38.240 --> 00:17:41.000]   So only spend your first Bitcoin not your last
[00:17:42.160 --> 00:17:46.160]   Right first and first out is that possible? I guess it is
[00:17:46.160 --> 00:17:50.840]   Yeah, that's well the accounting software does that you know, yeah
[00:17:50.840 --> 00:18:00.320]   Do you cover this in your new report on trends this has to be part of the way the world is sure to do chaining
[00:18:00.320 --> 00:18:02.040]   Yeah, yeah
[00:18:02.040 --> 00:18:08.840]   So right so we produce a future today Institute has for 14 years put out an annual tech trends report
[00:18:10.560 --> 00:18:13.600]   They're longitudinal and quantitative. So
[00:18:13.600 --> 00:18:19.400]   He's 10 not to be flashes in the pan, which is why we really wrestled with what to do this year around NFTs
[00:18:19.400 --> 00:18:21.440]   because I
[00:18:21.440 --> 00:18:23.440]   It's hard to know and I
[00:18:23.440 --> 00:18:27.880]   Think I think the NFT is the modality of something different. I don't think that's that's the thing
[00:18:27.880 --> 00:18:34.640]   I think the thing is about how value is held digitally and this is just the current modality, but
[00:18:35.240 --> 00:18:41.400]   But yeah, so it's it's we have a there were so many aftershocks because of COVID that we wound up with
[00:18:41.400 --> 00:18:44.120]   22% more
[00:18:44.120 --> 00:18:46.040]   22% increase in the number of trends that we cover
[00:18:46.040 --> 00:18:51.960]   So so we we crossed the 500 mark this year and in trends and
[00:18:51.960 --> 00:18:56.720]   So we just we broke them up and and wrote of 12 separate reports
[00:18:56.720 --> 00:19:02.440]   so there is an entire report just on cryptos and blockchains and
[00:19:03.360 --> 00:19:09.880]   DLTs a FinTech report. Yep. I'm looking at it right now. There by the way, nice little sketch of you Amy
[00:19:09.880 --> 00:19:13.960]   Thanks, we have we work with a really amazing talented
[00:19:13.960 --> 00:19:17.400]   artist who's a futurist named Julia Durgy and and she did
[00:19:17.400 --> 00:19:24.400]   The hander on illustrations and our creative I should have brought the calendar you guys sent out in because it's really wonderful
[00:19:24.400 --> 00:19:29.720]   Each month is a different illustrator in a different concept and it's it's pretty cool. Yeah, thanks
[00:19:32.320 --> 00:19:39.080]   All right, I don't I I don't even I know I know so I understand this so poorly that I don't even know what questions to ask so
[00:19:39.080 --> 00:19:41.200]   maybe we'll just we'll just move on
[00:19:41.200 --> 00:19:44.640]   Is there
[00:19:44.640 --> 00:19:52.920]   These are a current manifestation, but you say it's a manifestation of something deeper I do and let's also so crypto kitties was what?
[00:19:52.920 --> 00:19:55.200]   2017 my
[00:19:55.200 --> 00:20:00.080]   My year so kitties. Yeah, I remember them. There's still around by the way. You can still buy a crypto kitty
[00:20:00.400 --> 00:20:02.800]   Sure, but I my point is and then you know
[00:20:02.800 --> 00:20:10.440]   It's good. It's good to remember went it's good to think about the factors that are contributing to excitement when it bursts
[00:20:10.440 --> 00:20:14.280]   Like it is right now in the space. So part of it is people are trapped inside
[00:20:14.280 --> 00:20:19.080]   And they it's perfect for quarantine. Yeah. Yeah, yeah
[00:20:19.080 --> 00:20:25.280]   So that's the first thing second thing is this is not the first time we've seen this this is at least the second and so
[00:20:27.160 --> 00:20:31.520]   As far as I'm you know the work that we do weren't we're usually not looking at the very first thing
[00:20:31.520 --> 00:20:33.520]   We're looking at the offshoots of that first thing
[00:20:33.520 --> 00:20:38.040]   And and then what is the thing so the the conversation about NFTs
[00:20:38.040 --> 00:20:41.960]   and Ethereum are related and and you know
[00:20:41.960 --> 00:20:45.480]   Not trying to buy a Tesla with a bit Bitcoin
[00:20:45.480 --> 00:20:50.800]   They're they're all related and and all of these things have to do with how we
[00:20:50.800 --> 00:20:54.640]   create and store value in a way that
[00:20:56.080 --> 00:20:59.760]   In a way that makes sense over a long period of time
[00:20:59.760 --> 00:21:04.760]   And so that's what's happening. So right now everybody is pretty excited about
[00:21:04.760 --> 00:21:11.360]   Digital art and that may shift to something else and it may shift to something else
[00:21:11.360 --> 00:21:18.040]   But ultimately the underlying current here is how how value gets exchanged using new new tech
[00:21:18.040 --> 00:21:21.360]   Eventually I would imagine
[00:21:21.720 --> 00:21:26.920]   Blockchain or something like it will replace centralized ledger systems
[00:21:26.920 --> 00:21:34.800]   You know, I guess I was at weft what 2018 my or maybe it was 2017 I forget the year
[00:21:34.800 --> 00:21:38.280]   You know
[00:21:38.280 --> 00:21:41.040]   Cryptos tied to fiat currency tied to
[00:21:41.040 --> 00:21:44.560]   National initiatives was being talked about a lot
[00:21:44.560 --> 00:21:51.160]   So and you know China's was talking about throwing some of its sovereign wealth fund at its own version of
[00:21:52.160 --> 00:21:54.160]   a national crypto so and
[00:21:54.160 --> 00:21:58.240]   Singapore's had some sort of nation-state experiments already
[00:21:58.240 --> 00:22:04.360]   So I think that this is just like many things right? This is a this is a change a fundamental change
[00:22:04.360 --> 00:22:08.760]   That'll just you know, sort of take some time to sort out
[00:22:08.760 --> 00:22:13.560]   Yeah, we've very seen national banks in many countries including our own
[00:22:13.560 --> 00:22:18.960]   Say yeah stable coin because we don't want the volatility
[00:22:19.800 --> 00:22:24.280]   But stable coin is going to be okay for something
[00:22:24.280 --> 00:22:28.980]   I don't we do we will we ever have a crypto based
[00:22:28.980 --> 00:22:32.880]   Currency in a national currency
[00:22:32.880 --> 00:22:35.800]   Is that gonna happen I
[00:22:35.800 --> 00:22:41.000]   Lived in China when I lived in Hong Kong when there were two currencies
[00:22:41.000 --> 00:22:48.320]   There were two different banknotes issued one was HSBC and the other one was some that the I forget the other one
[00:22:48.680 --> 00:22:53.720]   Bank of China and it was kind of a pain in the neck so I
[00:22:53.720 --> 00:22:59.280]   Don't I don't know that I want lots of different currency types ones enough
[00:22:59.280 --> 00:23:04.240]   Well, the question is Kevin kind of brought this up a moment ago
[00:23:04.240 --> 00:23:10.320]   But like what would it make what would it take for something like that to work and the back end processing that you would need?
[00:23:10.320 --> 00:23:14.760]   You know think of how long it took the United States just to get to contactless payment
[00:23:14.760 --> 00:23:17.400]   Right and we're still not there
[00:23:17.960 --> 00:23:22.000]   No, here's a crazy statistic. I was just talking to somebody who's a
[00:23:22.000 --> 00:23:24.760]   banking executive and
[00:23:24.760 --> 00:23:27.920]   Fewer than 10 percent. It's a it's single digits
[00:23:27.920 --> 00:23:35.280]   It's a very very low number of the people in the United States who use Apple pay even though the penetration rate of iPhones is quite high
[00:23:35.280 --> 00:23:37.960]   So we're just we're just not we're not there
[00:23:37.960 --> 00:23:44.440]   It's hard for those of us in the bubble and probably all three of us are in the bubble and certainly most of our listeners
[00:23:44.520 --> 00:23:48.320]   To understand that because I use Apple pay for every moment. I can
[00:23:48.320 --> 00:23:52.360]   online and in real world stores
[00:23:52.360 --> 00:24:00.040]   But it just seems so obvious and convenient. I mean we will have to have a national digital currency
[00:24:00.040 --> 00:24:04.920]   Like there's no doubt. I mean, that's the future. Why we're just gonna keep you're just gonna keep paper forever
[00:24:04.920 --> 00:24:11.560]   Like it's just kind of gonna it's it's it's already happened and that we have a stable coin that that represents the dollar and that works
[00:24:12.400 --> 00:24:19.520]   Is it expensive on Ethereum? Yes, is it expensive on salon? Oh, no, and it's the same stable coin is say, you know backed by Coinbase
[00:24:19.520 --> 00:24:25.080]   They're doing the all the bookkeeping for that, but I would imagine the US government has to eventually issue a
[00:24:25.080 --> 00:24:30.520]   National digital currency. I mean that's China's working on it. They're gonna do it
[00:24:30.520 --> 00:24:37.120]   And then also I mean what better way to attack the the value of the dollar
[00:24:37.480 --> 00:24:42.560]   Than for Russia and China and you know other countries to buy up Bitcoin
[00:24:42.560 --> 00:24:46.880]   I mean and try and create a global standard that is not the dollar. Oh interesting
[00:24:46.880 --> 00:24:50.160]   I mean, it's already happening like for the first time in Q4 of last year
[00:24:50.160 --> 00:24:55.240]   We saw more institutional money going into buying Bitcoin than retail for the first time
[00:24:55.240 --> 00:24:59.600]   That's massive and you think Tesla is gonna stop and of course not it's gonna
[00:24:59.600 --> 00:25:06.280]   Are you think Tesla's gonna be the only one and square? It's gonna be Google buying it Amazon buying it like more and more
[00:25:06.960 --> 00:25:12.400]   institutions wealthy family offices like hedge funds. They're all gonna be buying up this crypto and
[00:25:12.400 --> 00:25:17.000]   I don't know. I just have a feeling governments are not far behind and when that happens
[00:25:17.000 --> 00:25:22.000]   It's it's game on like if that's that's war against the dollar, which is gonna get really crazy
