;FFMETADATA1
title=St Jeff's Memorial Hospital
artist=Megan Morrone, Roberto Baldwin, Ashley Esqueda, Jason Howell
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2022-07-24
track=885
language=English
genre=Podcast
comment=Amazon Buys One Medical, Google Glass AR, Netflix Ad-Supported		
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:01.520]   It's time for Twit.
[00:01:27.720 --> 00:01:32.760]   Go to ziprecruiter.com/twit to try it for free.
[00:01:32.760 --> 00:01:33.760]   And Buy Audible.
[00:01:33.760 --> 00:01:37.720]   Audible lets you enjoy all of your audio entertainment in one app.
[00:01:37.720 --> 00:01:42.480]   Let Audible help you discover new ways to laugh, be inspired, or be entertained.
[00:01:42.480 --> 00:01:44.720]   New members can try it free for 30 days.
[00:01:44.720 --> 00:01:51.040]   Visit audible.com/twit or text Twit to 500-500.
[00:01:51.040 --> 00:01:52.800]   And Buy Stamps.com.
[00:01:52.800 --> 00:01:58.360]   Stop wasting time and start saving money when you use Stamps.com to mail and ship.
[00:01:58.360 --> 00:02:02.200]   Sign up at Stamps.com, click the microphone at the top of the page and enter code Twit
[00:02:02.200 --> 00:02:09.040]   for a special offer that includes a four-week trial plus free postage and a digital scale.
[00:02:09.040 --> 00:02:10.560]   And Buy Express VPN.
[00:02:10.560 --> 00:02:14.440]   If you don't like big tech tracking you and selling your personal data for profit, it's
[00:02:14.440 --> 00:02:16.000]   time to fight back.
[00:02:16.000 --> 00:02:27.880]   Get three extra months free with a one-year package by going to expressvpn.com/twit.
[00:02:27.880 --> 00:02:32.560]   It's time for Twit this week in tech and you can already tell it's a different kind of
[00:02:32.560 --> 00:02:37.560]   Twit because I'm your host today, Jason Howell filling in for Leo LaPorte who will be returning
[00:02:37.560 --> 00:02:40.920]   soon but not today.
[00:02:40.920 --> 00:02:46.960]   And what can I say on all the weeks like no matter what with Twit, you're guaranteed
[00:02:46.960 --> 00:02:49.760]   to end up on a panel of amazing people.
[00:02:49.760 --> 00:02:54.560]   But I've got three of my favorite internet people on with me today starting with Ashley
[00:02:54.560 --> 00:02:58.600]   Asquetha writer, host, internet rock on tour.
[00:02:58.600 --> 00:03:00.600]   How are you doing Ashley?
[00:03:00.600 --> 00:03:05.640]   I'm good, gainfully unemployed, working on stuff projects.
[00:03:05.640 --> 00:03:06.640]   I'm great.
[00:03:06.640 --> 00:03:07.640]   Things are good.
[00:03:07.640 --> 00:03:08.640]   Things are weird.
[00:03:08.640 --> 00:03:09.640]   Things are good.
[00:03:09.640 --> 00:03:10.640]   I like it.
[00:03:10.640 --> 00:03:14.280]   That sounds like the last couple of years in a nutshell, things are weird at least.
[00:03:14.280 --> 00:03:18.480]   I don't know if people would test with a good part maybe.
[00:03:18.480 --> 00:03:22.760]   Yeah, I might have to just like, I may have to throw a flag there but weird.
[00:03:22.760 --> 00:03:23.760]   Yeah, for sure.
[00:03:23.760 --> 00:03:24.760]   Fair.
[00:03:24.760 --> 00:03:25.760]   Fair enough.
[00:03:25.760 --> 00:03:26.760]   Well, it's great to have you here Ashley.
[00:03:26.760 --> 00:03:30.480]   It's been a while and really appreciate you joining us on this week in tech.
[00:03:30.480 --> 00:03:33.840]   Also joining us another person who has not been on the show.
[00:03:33.840 --> 00:03:36.800]   Actually I think everybody that's on the show has been on in quite a while.
[00:03:36.800 --> 00:03:39.120]   Roberto Baldwin is here.
[00:03:39.120 --> 00:03:43.320]   A co-host, Will Bering's podcast in Man about Town.
[00:03:43.320 --> 00:03:46.080]   Man about Town.
[00:03:46.080 --> 00:03:48.160]   I do things around town.
[00:03:48.160 --> 00:03:50.120]   Sometimes people pay me for those things.
[00:03:50.120 --> 00:03:51.120]   Wow.
[00:03:51.120 --> 00:03:52.120]   That's awesome.
[00:03:52.120 --> 00:03:54.120]   Hey, I heard that you did something around town last night.
[00:03:54.120 --> 00:03:55.400]   You had a show, right?
[00:03:55.400 --> 00:03:58.120]   Oh yeah, Friday night we had a show at the Rich Show.
[00:03:58.120 --> 00:03:59.120]   Oh, that was Friday.
[00:03:59.120 --> 00:04:00.120]   Sorry.
[00:04:00.120 --> 00:04:02.400]   Two of my like 17 bands had a show that night.
[00:04:02.400 --> 00:04:03.400]   So it was a good time.
[00:04:03.400 --> 00:04:04.840]   So if you were there, hi.
[00:04:04.840 --> 00:04:07.200]   If you weren't, I don't know, go there next time I guess.
[00:04:07.200 --> 00:04:08.200]   Right.
[00:04:08.200 --> 00:04:09.200]   There will be more.
[00:04:09.200 --> 00:04:10.200]   There will be more.
[00:04:10.200 --> 00:04:11.720]   One of these days I'm going to make it to one of your shows.
[00:04:11.720 --> 00:04:12.720]   Love it.
[00:04:12.720 --> 00:04:13.720]   That's awesome.
[00:04:13.720 --> 00:04:14.720]   Welcome back, Roberto.
[00:04:14.720 --> 00:04:15.720]   It's good to see you.
[00:04:15.720 --> 00:04:20.320]   And then also joining us, someone who folks who are familiar with the Twit Network are
[00:04:20.320 --> 00:04:21.320]   very familiar with.
[00:04:21.320 --> 00:04:25.720]   Haven't seen it a while on this network on this show, especially Megan Maroney.
[00:04:25.720 --> 00:04:27.840]   Welcome back, Megan.
[00:04:27.840 --> 00:04:28.840]   Thank you.
[00:04:28.840 --> 00:04:31.080]   I am so excited to be here.
[00:04:31.080 --> 00:04:32.720]   Forgive me if I faint.
[00:04:32.720 --> 00:04:34.560]   I got my second booster today.
[00:04:34.560 --> 00:04:37.440]   I got the Band-Aid and everything.
[00:04:37.440 --> 00:04:40.880]   So yeah, I feel great.
[00:04:40.880 --> 00:04:41.880]   Good.
[00:04:41.880 --> 00:04:44.040]   Well, you look great.
[00:04:44.040 --> 00:04:49.000]   And it's great to have you on for now until that booster kicks in and just give us a
[00:04:49.000 --> 00:04:50.000]   heads up, I guess.
[00:04:50.000 --> 00:04:51.800]   If you start getting dizzy or whatever, I don't.
[00:04:51.800 --> 00:04:53.120]   Yeah, just give us a heads up.
[00:04:53.120 --> 00:04:58.600]   Editor at Pro Call, of course, just so people know what you're up to now.
[00:04:58.600 --> 00:05:01.640]   But it is so good to see the three of you.
[00:05:01.640 --> 00:05:02.760]   This is going to be a lot of fun.
[00:05:02.760 --> 00:05:05.440]   We've got the keys to the sports car this week.
[00:05:05.440 --> 00:05:08.280]   So where should we drive first?
[00:05:08.280 --> 00:05:10.480]   We got a dock full of news.
[00:05:10.480 --> 00:05:14.160]   And I really do not want to start with Elon Musk.
[00:05:14.160 --> 00:05:17.480]   So I don't even know why I said that out loud because it almost makes it happen when you
[00:05:17.480 --> 00:05:18.480]   do that.
[00:05:18.480 --> 00:05:19.880]   It's going to say now I feel like we have to.
[00:05:19.880 --> 00:05:25.240]   I feel like you drove us right off the freeway into downtown.
[00:05:25.240 --> 00:05:27.600]   It's like everybody's got a knee gone wrong.
[00:05:27.600 --> 00:05:29.520]   It's like don't stare at the sun.
[00:05:29.520 --> 00:05:30.520]   Don't look at the sun.
[00:05:30.520 --> 00:05:31.520]   And then I looked at the sun.
[00:05:31.520 --> 00:05:33.080]   This is exactly what I did.
[00:05:33.080 --> 00:05:34.080]   Fine.
[00:05:34.080 --> 00:05:35.080]   Real quick.
[00:05:35.080 --> 00:05:36.880]   We're a recurring segment on Twitch.
[00:05:36.880 --> 00:05:38.560]   Just Elon did something.
[00:05:38.560 --> 00:05:41.960]   And then you just talk about it because it just seems like a guarantee every week.
[00:05:41.960 --> 00:05:44.680]   There's something going on with Elon Musk.
[00:05:44.680 --> 00:05:46.120]   It's a six sided die.
[00:05:46.120 --> 00:05:48.320]   And when you roll it, five of them say Musk.
[00:05:48.320 --> 00:05:51.200]   And the other one is like a random story.
[00:05:51.200 --> 00:05:52.200]   Yeah.
[00:05:52.200 --> 00:05:54.520]   So what is the thing that Elon Musk did this time?
[00:05:54.520 --> 00:05:57.560]   Well, I guess this has to do with his trial, right?
[00:05:57.560 --> 00:06:00.080]   There's this trial.
[00:06:00.080 --> 00:06:03.880]   And between Twitter and Elon Musk.
[00:06:03.880 --> 00:06:05.760]   Musk was pushing for it to go to next year.
[00:06:05.760 --> 00:06:07.440]   But that's not happening.
[00:06:07.440 --> 00:06:09.480]   Apparently Twitter was pushing for it to happen soon.
[00:06:09.480 --> 00:06:12.080]   They want to get this done.
[00:06:12.080 --> 00:06:19.280]   Reap whatever reward slash benefit they can from this really just messy, ugly situation.
[00:06:19.280 --> 00:06:22.080]   And apparently it's going to be expedited five day trial.
[00:06:22.080 --> 00:06:25.200]   It's going to happen in October.
[00:06:25.200 --> 00:06:26.880]   So we aren't going to have to wait long.
[00:06:26.880 --> 00:06:28.840]   I kind of felt like we're going to wait a lot longer.
[00:06:28.840 --> 00:06:32.400]   And this whole Musk thing was going to continue out forever and ever.
[00:06:32.400 --> 00:06:34.520]   But I suppose this is good news.
[00:06:34.520 --> 00:06:35.840]   What do you all think?
[00:06:35.840 --> 00:06:40.520]   Well, that Delaware court of chance re like they don't they don't tend to mess around.
[00:06:40.520 --> 00:06:44.480]   This is like a very no nonsense court.
[00:06:44.480 --> 00:06:51.240]   And yeah, it ended up I think the five days is actually one party wanted a shorter trial.
[00:06:51.240 --> 00:06:52.800]   The other wanted a longer one.
[00:06:52.800 --> 00:06:57.480]   And then of course, like Elon Musk said, my legal team needs more time to prepare.
[00:06:57.480 --> 00:07:00.280]   We have to push this until next year.
[00:07:00.280 --> 00:07:02.920]   Three, Nope, nope, we're going to do this in October.
[00:07:02.920 --> 00:07:04.480]   It's going to be five days and that's it.
[00:07:04.480 --> 00:07:09.520]   So I think, you know, Twitter just wants to put all this to bed, whatever, you know, come
[00:07:09.520 --> 00:07:11.800]   what may they would like to move past this.
[00:07:11.800 --> 00:07:16.960]   And so I think that, you know, this is a real big win for Twitter to not have to kind
[00:07:16.960 --> 00:07:21.200]   of drag this out even longer than it needs to be.
[00:07:21.200 --> 00:07:23.320]   It's it's on for you and to want to delay something.
[00:07:23.320 --> 00:07:26.960]   I've never that doesn't seem like it's in his personality at all.
[00:07:26.960 --> 00:07:30.600]   I don't know.
[00:07:30.600 --> 00:07:33.880]   The filing itself is funny because it's sort of designed for Twitter.
[00:07:33.880 --> 00:07:38.520]   Like it's in, you know, it has the little poop emoji that he tweeted in it.
[00:07:38.520 --> 00:07:44.320]   It's like little pieces that it's almost like they did it just like perfect for their platform.
[00:07:44.320 --> 00:07:45.600]   Like this is how it's going to play out.
[00:07:45.600 --> 00:07:47.000]   This is the speed it, which is going to play out.
[00:07:47.000 --> 00:07:52.600]   If you read it, it's just like little tweets basically in the filing, which is amazing.
[00:07:52.600 --> 00:07:54.920]   It's like a little performance art.
[00:07:54.920 --> 00:08:01.040]   The entire trial is expected to be rolled out in 140 characters per, you know, size.
[00:08:01.040 --> 00:08:02.880]   So I think you're absolutely right.
[00:08:02.880 --> 00:08:05.640]   I don't know how they're going to do it.
[00:08:05.640 --> 00:08:06.640]   280 now.
[00:08:06.640 --> 00:08:07.640]   Is it 280 now?
[00:08:07.640 --> 00:08:08.640]   Let's let it.
[00:08:08.640 --> 00:08:09.640]   Let's let it.
[00:08:09.640 --> 00:08:10.640]   That's true.
[00:08:10.640 --> 00:08:11.640]   They have expanded on that.
[00:08:11.640 --> 00:08:12.640]   It's expanded.
[00:08:12.640 --> 00:08:13.640]   The tweets have been expanded.
[00:08:13.640 --> 00:08:14.640]   Classic Twitter.
[00:08:14.640 --> 00:08:15.640]   It's going to be one long thread, one long thread.
[00:08:15.640 --> 00:08:17.640]   And the lawyers are not allowed to edit anything.
[00:08:17.640 --> 00:08:19.640]   They're not and I know what it is.
[00:08:19.640 --> 00:08:20.640]   Sorry.
[00:08:20.640 --> 00:08:21.640]   Sorry.
[00:08:21.640 --> 00:08:24.080]   There will be not a single edit made.
[00:08:24.080 --> 00:08:25.080]   No ends.
[00:08:25.080 --> 00:08:28.480]   Unless they subscribe to Twitter blue, in which case you can undo an argument.
[00:08:28.480 --> 00:08:29.480]   There you go.
[00:08:29.480 --> 00:08:30.480]   Really?
[00:08:30.480 --> 00:08:33.880]   Are you all using Twitter blue these days?
[00:08:33.880 --> 00:08:39.280]   I signed up for it initially and then after like a couple of weeks, like I think my credit
[00:08:39.280 --> 00:08:41.960]   card, like I had to replace my credit card, there was fraud or something like that and
[00:08:41.960 --> 00:08:43.200]   I just never updated it.
[00:08:43.200 --> 00:08:44.840]   So apparently I'm not missing it that much.
[00:08:44.840 --> 00:08:47.280]   But what about y'all?
[00:08:47.280 --> 00:08:48.280]   I do.
[00:08:48.280 --> 00:08:49.280]   For sure.
[00:08:49.280 --> 00:08:50.280]   Not enough.
[00:08:50.280 --> 00:08:51.280]   Yeah.
[00:08:51.280 --> 00:08:52.280]   I do still.
[00:08:52.280 --> 00:08:56.200]   I do so much that I feel like I like some of the features it has.
[00:08:56.200 --> 00:08:57.600]   So it's like helpful for me.
[00:08:57.600 --> 00:08:59.880]   But the undo is really nice.
[00:08:59.880 --> 00:09:04.800]   Like the end of it's like, Hey, if you want to undo this in like 10 seconds, then like
[00:09:04.800 --> 00:09:09.280]   here's your chance because it'll give me that one last like proofreading, which that's
[00:09:09.280 --> 00:09:11.280]   always when I catch it right after I post.
[00:09:11.280 --> 00:09:14.280]   So once I hit that tweet button and it's like, Oh, there's my typo.
[00:09:14.280 --> 00:09:15.280]   Undo that.
[00:09:15.280 --> 00:09:16.280]   Like let's just start over.
[00:09:16.280 --> 00:09:17.280]   So that's helpful.
[00:09:17.280 --> 00:09:18.280]   I like that.
[00:09:18.280 --> 00:09:19.280]   That's a nice feature.
[00:09:19.280 --> 00:09:21.280]   I actually do appreciate that feature.
[00:09:21.280 --> 00:09:22.280]   Yeah.
[00:09:22.280 --> 00:09:24.080]   Yeah, that was the only feature I used.
[00:09:24.080 --> 00:09:27.080]   And for $5 a month, I felt like it was worth it.
[00:09:27.080 --> 00:09:31.040]   But I also felt like it kind of trained me a little bit to take that extra look.
[00:09:31.040 --> 00:09:33.920]   So I don't know, you know, you form a habit in like 30 days.
[00:09:33.920 --> 00:09:42.200]   So like now I do feel like I, yeah, I, I think a little bit more and I do that last proofread
[00:09:42.200 --> 00:09:46.320]   before I tweet, but in the, the no ads thing never really worked for me.
[00:09:46.320 --> 00:09:51.920]   Like I would always click and get at, you know, like saying I'm supposed to be able to see
[00:09:51.920 --> 00:09:54.440]   content with no ads or maybe see it without a subscription.
[00:09:54.440 --> 00:09:55.440]   I don't know.
[00:09:55.440 --> 00:09:56.440]   That was.
[00:09:56.440 --> 00:09:57.440]   Yeah.
[00:09:57.440 --> 00:10:00.680]   It's the thing is very weird because it's like for LA times, like if I click on an LA times
[00:10:00.680 --> 00:10:03.520]   article, it says you need a subscription.
[00:10:03.520 --> 00:10:08.000]   And I guess if I have a subscription, that would be a thing I wouldn't see other ads
[00:10:08.000 --> 00:10:09.000]   on.
[00:10:09.000 --> 00:10:10.000]   It's very odd.
[00:10:10.000 --> 00:10:12.120]   And it doesn't work and it's weird and bad.
[00:10:12.120 --> 00:10:15.120]   And I don't like, I don't like how it's set up.
[00:10:15.120 --> 00:10:17.840]   It should just be here are the partnerships we have.
[00:10:17.840 --> 00:10:22.600]   If you click on an article in the Twitter app, we will open it in our proprietary browser
[00:10:22.600 --> 00:10:26.920]   and you can read it like in a reader mode or something like that with no ads and that's
[00:10:26.920 --> 00:10:27.920]   it.
[00:10:27.920 --> 00:10:30.000]   Like that should be how it works.
[00:10:30.000 --> 00:10:33.520]   But unfortunately that is not the case and it is very annoying.
[00:10:33.520 --> 00:10:34.520]   Yeah.
[00:10:34.520 --> 00:10:36.440]   And it's not hard to do that.
[00:10:36.440 --> 00:10:37.440]   But go ahead.
[00:10:37.440 --> 00:10:38.920]   No, it's not.
[00:10:38.920 --> 00:10:39.920]   Yeah.
[00:10:39.920 --> 00:10:42.280]   I thought about signing up and then I thought I don't care enough.
[00:10:42.280 --> 00:10:43.280]   I tweet.
[00:10:43.280 --> 00:10:44.280]   Oh my God.
[00:10:44.280 --> 00:10:45.280]   It's not so much.
[00:10:45.280 --> 00:10:49.120]   And they're all full of typos and I'm like, you know, I've gone this far.
[00:10:49.120 --> 00:10:52.120]   Why why why mess with the brand?
[00:10:52.120 --> 00:10:53.560]   Why mess with the brand?
[00:10:53.560 --> 00:10:54.560]   That's my brand.
[00:10:54.560 --> 00:10:55.560]   Exactly.
[00:10:55.560 --> 00:10:56.560]   Like why mess with it?
[00:10:56.560 --> 00:10:57.560]   Just let it go.
[00:10:57.560 --> 00:11:02.840]   If there are if there are five tweets happen and none of them have typos, people are just
[00:11:02.840 --> 00:11:04.200]   going to assume I've been kidnapped.
[00:11:04.200 --> 00:11:07.240]   So or how to understand or both.
[00:11:07.240 --> 00:11:11.200]   It's a good feel safe that you've inadvertently created for yourself.
[00:11:11.200 --> 00:11:12.200]   I like them.
[00:11:12.200 --> 00:11:13.200]   Yeah.
[00:11:13.200 --> 00:11:14.200]   It's my security.
[00:11:14.200 --> 00:11:16.200]   I'm going to say info sec.
[00:11:16.200 --> 00:11:17.200]   Very nice.
[00:11:17.200 --> 00:11:20.440]   Apparently we don't care about Musk because we're just talking about Twitter.
[00:11:20.440 --> 00:11:21.440]   It has nothing to do with Elon Musk.
[00:11:21.440 --> 00:11:22.440]   And you know what?
[00:11:22.440 --> 00:11:24.720]   That's just the way it deserves to be.
[00:11:24.720 --> 00:11:25.720]   That actually makes a lot of sense.
[00:11:25.720 --> 00:11:27.360]   There's so many other things he did this week too.
[00:11:27.360 --> 00:11:31.400]   Like today, yesterday, they before it just nonstop.
[00:11:31.400 --> 00:11:34.680]   He's just so much of it is just so tabloidy though.
[00:11:34.680 --> 00:11:38.280]   So I end up tuning out because it just feels like noise more than anything.
[00:11:38.280 --> 00:11:39.840]   You know, so much.
[00:11:39.840 --> 00:11:43.160]   I did almost get canceled on Twitter this week.
[00:11:43.160 --> 00:11:44.160]   Shall we talk about that?
[00:11:44.160 --> 00:11:45.160]   I love you.
[00:11:45.160 --> 00:11:46.160]   Do you tell?
[00:11:46.160 --> 00:11:47.160]   Yeah.
[00:11:47.160 --> 00:11:48.360]   Nobody can't look in.
[00:11:48.360 --> 00:11:52.880]   So I got home from work and my three teenagers were at the dinner table and I was like, did
[00:11:52.880 --> 00:11:56.680]   you see the pictures of Elon Musk without a shirt on?
[00:11:56.680 --> 00:12:03.000]   And my daughter said, Mom, you cannot body shame anyone, including billionaires.
[00:12:03.000 --> 00:12:04.000]   She's 19.
[00:12:04.000 --> 00:12:04.840]   It's smarter than me.
[00:12:04.840 --> 00:12:06.600]   And so I tweeted that.
[00:12:06.600 --> 00:12:11.920]   And I said, I thought she was wrong, which, you know, if you know me, I was joking.
[00:12:11.920 --> 00:12:13.680]   I'm not a body shamer.
[00:12:13.680 --> 00:12:17.920]   But then someone retweeted it and there was a whole big thing about like, if you body
[00:12:17.920 --> 00:12:23.000]   shame a billionaire, anyone with a similar body will feel like now they know, you know,
[00:12:23.000 --> 00:12:24.000]   what you think about them.
[00:12:24.000 --> 00:12:25.960]   It was a big learning moment.
[00:12:25.960 --> 00:12:30.200]   But it was one of those moments where I was like, Oh yeah, I guess everyone who follows
[00:12:30.200 --> 00:12:35.920]   me and follows the people who are going to retweet me don't really know when I'm joking.
[00:12:35.920 --> 00:12:36.920]   Right.
[00:12:36.920 --> 00:12:37.920]   So yeah.
[00:12:37.920 --> 00:12:39.120]   And then somebody retweeted today.
[00:12:39.120 --> 00:12:41.040]   And like, yeah, don't body shame the rich.
[00:12:41.040 --> 00:12:43.000]   Just eat the rich, which I thought was good.
[00:12:43.000 --> 00:12:44.000]   That's a good.
[00:12:44.000 --> 00:12:45.000]   Yeah.
[00:12:45.000 --> 00:12:48.760]   If you're going to eat the rich, you shouldn't be body shacking them.
[00:12:48.760 --> 00:12:51.760]   If anything wrong with eating the rich, right.
[00:12:51.760 --> 00:12:54.600]   Nothing wrong with eating the rich or taxing them for.
[00:12:54.600 --> 00:12:58.800]   There are just so many other ways to like poke fun at them.
[00:12:58.800 --> 00:12:59.800]   Yeah.
[00:12:59.800 --> 00:13:00.800]   He's a lot.
[00:13:00.800 --> 00:13:04.720]   It's like a lot is like, did you see his Eldred Ring build?
[00:13:04.720 --> 00:13:05.720]   It's garbage.
[00:13:05.720 --> 00:13:06.720]   Like that's that's there.
[00:13:06.720 --> 00:13:09.720]   I'm trying to get before.
[00:13:09.720 --> 00:13:12.600]   I'll be careful with that one.
[00:13:12.600 --> 00:13:15.960]   I will throw the word made and list around with out remorse.
[00:13:15.960 --> 00:13:19.440]   I have that's my favorite insult for people now.
[00:13:19.440 --> 00:13:24.720]   It's just that's part of my permanent lexicon just made and less behavior.
[00:13:24.720 --> 00:13:33.920]   Well, let's move on from Elon Musk to to just Twitter and snap.
[00:13:33.920 --> 00:13:38.560]   The only reason I'm going here is because I'm seeing kind of like a thing happening.
[00:13:38.560 --> 00:13:41.000]   I think this is kind of interesting to talk about.
[00:13:41.000 --> 00:13:47.200]   Snap had its weakest quarterly earnings report ever.
[00:13:47.200 --> 00:13:48.200]   It's growth.
[00:13:48.200 --> 00:13:51.280]   The slowest growth in history as a public company.
[00:13:51.280 --> 00:13:56.400]   And of course, the economy right now, everything's in flux, everything's upside down.
[00:13:56.400 --> 00:14:00.280]   It feels like, especially the last six months, things have changed a lot and a very short
[00:14:00.280 --> 00:14:02.000]   amount of time.
[00:14:02.000 --> 00:14:07.480]   And so what they're seeing because they rely so heavily on the ad spend is that that money
[00:14:07.480 --> 00:14:11.520]   is just being being removed, right?
[00:14:11.520 --> 00:14:18.320]   Not to mention Apple's privacy policy changes, which have had a dramatic effect on snap.
[00:14:18.320 --> 00:14:23.680]   This is of course the changes that allowed iOS users to opt out of ad tracking.
[00:14:23.680 --> 00:14:27.520]   So that's making things more difficult for a company, a poor company like snap.
[00:14:27.520 --> 00:14:29.040]   Shares dropped 25% on the news.
[00:14:29.040 --> 00:14:33.840]   Then you got Twitter, which reported lower than expected earnings for the quarter.
[00:14:33.840 --> 00:14:37.000]   Their ad revenue actually only grew 2% year over year.
[00:14:37.000 --> 00:14:41.720]   That's compared to 23% growth last year.
[00:14:41.720 --> 00:14:47.560]   And so a lot of what I was reading about this has to do with the ad spend slowdown that's
[00:14:47.560 --> 00:14:48.560]   happening right now.
[00:14:48.560 --> 00:14:53.440]   The economy, of course, with Twitter, you've got the shirtless Elon that we're just talking
[00:14:53.440 --> 00:14:54.440]   about.
[00:14:54.440 --> 00:15:00.720]   There's probably a lot of blame that can be placed on him as far as that's concerned.
[00:15:00.720 --> 00:15:06.280]   And actually Twitter's spent out of pocket a good amount of money just on that alone,
[00:15:06.280 --> 00:15:09.360]   $33 million between April and June.
[00:15:09.360 --> 00:15:14.840]   But setting all that aside, we're in this time of economic uncertainty.
[00:15:14.840 --> 00:15:21.280]   Apple's privacy move is compounding the pain that's felt by tech companies who are just
[00:15:21.280 --> 00:15:27.080]   really their business is totally reliant on ad spending and data tracking and all this
[00:15:27.080 --> 00:15:28.080]   crazy stuff.
[00:15:28.080 --> 00:15:32.440]   It just seems like Twitter and snap are a couple of examples.
[00:15:32.440 --> 00:15:37.440]   And I feel like we're going to be cascading effect as we move forward further into this
[00:15:37.440 --> 00:15:38.440]   year.
[00:15:38.440 --> 00:15:40.960]   We're going to see a lot more companies feeling the effects of this.
[00:15:40.960 --> 00:15:43.720]   >> It's just not where people are.
[00:15:43.720 --> 00:15:45.720]   >> I mean, Twitter is its own thing.
[00:15:45.720 --> 00:15:49.440]   I mean, I think Twitter has always, like they've always struggled, right?
[00:15:49.440 --> 00:15:56.120]   To turn a profit to make Twitter to really blow out Twitter into something similar to
[00:15:56.120 --> 00:15:58.120]   a Facebook.
[00:15:58.120 --> 00:16:02.880]   I think Twitter is a weird kind of outlier in its own way.
[00:16:02.880 --> 00:16:04.440]   But that's not where anybody is.
[00:16:04.440 --> 00:16:09.320]   And so it's like Snapchat is competing with Instagram and TikTok.
[00:16:09.320 --> 00:16:17.760]   And the thing is there was a point where there was a mix of younger and older people on Snapchat.
[00:16:17.760 --> 00:16:22.080]   And now it's the younger people have broken off for TikTok and the older people have
[00:16:22.080 --> 00:16:23.360]   broken off for reals.
[00:16:23.360 --> 00:16:24.760]   They're over on Instagram.
[00:16:24.760 --> 00:16:26.920]   And so there's just nobody there.
[00:16:26.920 --> 00:16:33.400]   It's not in use the same way that Instagram is being used and that TikTok is being used.
[00:16:33.400 --> 00:16:39.640]   And so it's just, I don't know anybody who uses Snapchat as their main mode of conversation
[00:16:39.640 --> 00:16:40.640]   with anybody anymore.
[00:16:40.640 --> 00:16:43.160]   I mean, used to, but not anymore.
[00:16:43.160 --> 00:16:47.160]   And I think that's sort of the struggle that they're going to have is they're going to find
[00:16:47.160 --> 00:16:53.040]   it very difficult because all of the, you know, millennials and older are on Facebook and
[00:16:53.040 --> 00:16:58.160]   Instagram and all of the Gen Z is all the Gen Z kids are on TikTok now.
[00:16:58.160 --> 00:17:00.760]   And so they've all broken off from Snapchat and they're like, bye.
[00:17:00.760 --> 00:17:02.840]   Like we're, this is much more interesting to us.
[00:17:02.840 --> 00:17:08.320]   And also you have apps like Be Real, which a lot of influencers who are, you know, in
[00:17:08.320 --> 00:17:12.160]   that younger demographic, they're also breaking off to apps like that.
[00:17:12.160 --> 00:17:17.400]   So it's just, it's a scenario where like Snapchat is like not in a great place.
