;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[00:01:54.080 --> 00:01:56.320]   2023
[00:01:56.320 --> 00:01:58.320]   Elon's little chisel
[00:01:58.320 --> 00:02:04.920]   This week attack is brought to you by net suite if you've been sizing net suite up to make the switch then you need to know
[00:02:04.920 --> 00:02:09.960]   This deal is unprecedented no interest and no payments for six months
[00:02:09.960 --> 00:02:17.120]   Take advantage of this special financing offer and get the visibility and control you need to weather any storm by visiting net suite
[00:02:17.600 --> 00:02:19.600]   dot com slash twit
[00:02:19.600 --> 00:02:22.320]   and by
[00:02:22.320 --> 00:02:27.800]   Mint mobile inflation is everywhere whether it's gas utilities or your favorite streaming services
[00:02:27.800 --> 00:02:34.680]   Thankfully mint mobile can give you a much-needed break get your new wireless plan for just 15 dollars a month
[00:02:34.680 --> 00:02:40.240]   And get the plan shipped to your door free go to mint mobile dot com slash twit
[00:02:40.240 --> 00:02:45.760]   And by collide collide is a device trust solution for companies with octa
[00:02:45.760 --> 00:02:51.000]   They ensure if a device isn't trusted and secure it can't log into your cloud apps
[00:02:51.000 --> 00:02:55.840]   Visit collide dot com slash twit to book an on-demand demo today
[00:02:55.840 --> 00:02:58.000]   and by
[00:02:58.000 --> 00:03:01.200]   AG1 take ownership of your health with a simpler
[00:03:01.200 --> 00:03:06.960]   Effective investment with AG1 try AG1 to get a free one-year supply of vitamin D and
[00:03:06.960 --> 00:03:14.600]   Five free AG1 travel packs with your first purchase of a subscription go to drink AG1 dot com slash twit
[00:03:14.600 --> 00:03:26.960]   It's time for twit this week in tech the show we cover the latest at weeks tech news
[00:03:26.960 --> 00:03:32.200]   It's gonna work to do another takeover. I like these takeovers the big technology podcast is
[00:03:32.200 --> 00:03:38.560]   Taking over the show you all know Alex Cantor wits the host and founder of big technology podcast
[00:03:38.560 --> 00:03:41.760]   The author of is it always day one?
[00:03:42.400 --> 00:03:46.520]   Always day one without without the books behind you. I don't I can't remember
[00:03:46.520 --> 00:03:53.140]   Exactly I have all those books always day one Amazon guru and big tech
[00:03:53.140 --> 00:03:58.880]   Expert we've talked before about the financialization of big tech. I think we'll be talking about that again
[00:03:58.880 --> 00:04:02.720]   This week great to have you Alex and Alex has brought along his
[00:04:02.720 --> 00:04:06.240]   co-host on the big technology podcast Ron John Roy
[00:04:06.240 --> 00:04:08.000]   he
[00:04:08.000 --> 00:04:10.720]   You come from the dark side a
[00:04:10.720 --> 00:04:19.800]   trader by trade the dark side the dark side a financial I can't I saw the light technology yeah
[00:04:19.800 --> 00:04:25.920]   So what what were you did you trade for yourself or for a company?
[00:04:25.920 --> 00:04:35.720]   For one of the larger banks all through the 2000s in the heyday of trading Wow and that little global financial crisis kind of
[00:04:36.480 --> 00:04:40.880]   Was the impetus to try to figure out what I really wanted to do and take the fun out of it, huh?
[00:04:40.880 --> 00:04:47.680]   Well, it's great to have you both we have a lot of stories that you will have something to say about
[00:04:47.680 --> 00:04:50.920]   No doubt. I suppose though. We should begin
[00:04:50.920 --> 00:04:54.240]   Because the time is running out on Twitter
[00:04:54.240 --> 00:04:58.760]   Not the company just the logo just the name just the bird
[00:04:58.760 --> 00:05:04.520]   Elon got up in the middle of the night last night and started tweeting
[00:05:05.200 --> 00:05:07.200]   Always a bad idea
[00:05:07.200 --> 00:05:12.560]   He wants to get rid of the bluebird and replace it with an X
[00:05:12.560 --> 00:05:20.920]   He he said interim logo goes live later today, which is why I want to do this story now in fact for all I know it's
[00:05:20.920 --> 00:05:26.320]   Already live remember the company that owns Twitter the parent company is called X
[00:05:26.320 --> 00:05:32.320]   In fact, I don't think there is a company called Twitter anymore. I think he renamed Twitter to X Corp
[00:05:33.760 --> 00:05:36.120]   and it sounded as if
[00:05:36.120 --> 00:05:44.440]   The richest man in the world just asked Twitter users to come up with a logo for him because he can't afford it I
[00:05:44.440 --> 00:05:50.240]   Don't know they also want to change the color scheme from blue to black
[00:05:50.240 --> 00:05:56.280]   And now I go with just check and see this may be another one of those Elon Musk's I know how to get press
[00:05:56.280 --> 00:05:59.280]   Moments yeah, it's still a bluebird
[00:06:01.400 --> 00:06:03.400]   You know there's a name for this bird
[00:06:03.400 --> 00:06:11.120]   Did you know that bird's not a no idea I didn't know it either, but it was a jeopardy question, so I figured it's got to be true
[00:06:11.120 --> 00:06:18.000]   And I've forgotten now. What is the name of the Twitter bird? It was like Jack Bird's name is Joey X
[00:06:18.000 --> 00:06:24.880]   Well, sir Larry Joey the bird no Larry Larry the bird Larry the bird Larry as in Larry
[00:06:24.880 --> 00:06:28.540]   Oh, I see where this is go. Celtics great
[00:06:29.640 --> 00:06:34.720]   Biz stone tweeted the name was chosen to honor Larry Bird of the Boston Celtics
[00:06:34.720 --> 00:06:37.880]   But I'd never heard that before
[00:06:37.880 --> 00:06:46.040]   But I did get the answer right in my mind because I they you know they said a social media site with a bird is a logo named Larry
[00:06:46.040 --> 00:06:55.840]   So no more Larry and apparently no more bird except it hasn't happened yet
[00:06:56.840 --> 00:06:58.840]   um
[00:06:58.840 --> 00:07:05.760]   What do you guys have an opinion on Elon cuz you know, we're all wondering what the hell
[00:07:05.760 --> 00:07:12.120]   We do have an opinion on Elon what's your opinion on Alex? Well, I'll start
[00:07:12.120 --> 00:07:18.600]   I mean obviously the guy is a very talented entrepreneur. I think you can't really take away what he's built at
[00:07:18.600 --> 00:07:24.000]   Tesla and at SpaceX and this idea of like the boring company is kind of cool
[00:07:24.000 --> 00:07:27.440]   And who knows maybe his X AI company will turn into something
[00:07:27.440 --> 00:07:31.560]   I mean he is also the founder of open AI or co-founder of open AI and
[00:07:31.560 --> 00:07:38.880]   PayPal so yeah, but he pulled out open AI when they said we're gonna make a profit and now he's doing he knows another way
[00:07:38.880 --> 00:07:44.080]   He got in the press last week. He announced he's gonna do what an AI that's not gonna eat the world
[00:07:44.080 --> 00:07:50.800]   So yeah, we'll see we'll see what it turns into but he he looks when you make announcements like this
[00:07:50.800 --> 00:07:57.280]   I'm looking into what are the resources behind it and who do you hire and he's bought a bunch of GPUs from Nvidia
[00:07:57.280 --> 00:08:00.920]   And he's hired people from DeepMind and the University of Toronto
[00:08:00.920 --> 00:08:04.760]   But you know how he's hired them by offering them inflated kind of stock
[00:08:04.760 --> 00:08:10.800]   trick them into thinking but these people are smart like you know, they they are they are worth a lot of money
[00:08:10.800 --> 00:08:16.000]   They know that and listen anyone who spent time talking with folks working in Silicon Valley
[00:08:16.400 --> 00:08:22.640]   Knows that they are extremely aware of the way that they get paid and it's very difficult to pull the wool over their eyes
[00:08:22.640 --> 00:08:25.760]   So I think that they probably understood what they were getting into with you on
[00:08:25.760 --> 00:08:32.320]   He valued is because I think he's gonna call it truth G at 20 billion dollars
[00:08:32.320 --> 00:08:35.960]   And then goes to the biggest names in AI
[00:08:35.960 --> 00:08:41.440]   You know the the the real thinkers the doers the coders and says I know I'll give you 1%
[00:08:42.040 --> 00:08:48.240]   Which is worth 200 million dollars if you come on over and they should really make it
[00:08:48.240 --> 00:08:52.720]   Please how many employees get 1% of a company right as at the start?
[00:08:52.720 --> 00:08:54.880]   So look is it gonna work out?
[00:08:54.880 --> 00:09:00.760]   No, but but a lot of like people in Silicon Valley say this is a worthwhile shot to take I get 1% of a company
[00:09:00.760 --> 00:09:03.880]   Yeah, Elon Musk is founding. That's why people are taking the shot
[00:09:03.880 --> 00:09:09.640]   I don't think that they like they know they can't cash out that stock and say from the day one that they're gonna be able to make that money
[00:09:09.640 --> 00:09:14.680]   But you know 1% of a company is definitely nothing is sneezing most people like you know
[00:09:14.680 --> 00:09:18.280]   You start you got a couple of basis points and you're thrilled 1% isn't bad
[00:09:18.280 --> 00:09:22.000]   But I think let's take it back to Larry Bird
[00:09:22.000 --> 00:09:26.200]   the fact that Twitter calm is still blue and
[00:09:26.200 --> 00:09:33.400]   Full of birds. I think Alex and I always get into this on our weekly segments about Elon
[00:09:33.400 --> 00:09:38.640]   He spoke he made a major claim whether he follows through on it
[00:09:38.640 --> 00:09:45.120]   I think this is the thing that in the medium to long term Elon is very interesting in the day-to-day in the short term
[00:09:45.120 --> 00:09:52.520]   I think it's best to try to ignore him. It's very tough to do that, but I still wonder for me Linda yacareno
[00:09:52.520 --> 00:09:59.800]   What is she thinking? How is she gonna approach this because I mean from the business side trying to convince
[00:09:59.800 --> 00:10:06.040]   Advertisers especially with the rise of threads that we are a stable place come here come do business and
[00:10:06.680 --> 00:10:13.920]   This is happening. I cannot imagine how tough those calls are she she had a very interesting tweet about this x thing
[00:10:13.920 --> 00:10:19.720]   Where she talks a little bit about what the strategy of Twitter is gonna be so X if you think about it is
[00:10:19.720 --> 00:10:25.000]   Sort of this cross-section and that's what she talks about X is the future state of unlimited
[00:10:25.000 --> 00:10:28.200]   Interactivity now listen. There's a lot of cringe going on in this tweet
[00:10:28.200 --> 00:10:33.520]   Let's just pay attention to the details for a second. She says it's gonna be centered in audio video messaging
[00:10:33.520 --> 00:10:35.760]   payments and banking
[00:10:35.760 --> 00:10:41.760]   Creating a global marketplace for ideas goods and services and opportunities powered by AI X will connect us all
[00:10:41.760 --> 00:10:46.100]   All in ways. We're just beginning to imagine and she talked about how people
[00:10:46.100 --> 00:10:48.760]   criticizing Twitter
[00:10:48.760 --> 00:10:52.920]   a powerpoint deck straight out of succession like
[00:10:52.920 --> 00:10:59.640]   Saying it's gonna work, but I'm saying we got a glimpse they want to do mark
[00:10:59.640 --> 00:11:03.200]   They want to create a marketplace. They want to do payments. There might be goods in there
[00:11:03.600 --> 00:11:10.080]   That's where they're going with this X is the future state of unlimited interactivity. Okay. I have not seen that
[00:11:10.080 --> 00:11:13.680]   I see that that was about until you hit the right limit until we
[00:11:13.680 --> 00:11:23.080]   Luckily, I must have hit the rate limit at that point, but man poor of Linda just selling selling an ad just delivering a stable ad product
[00:11:23.080 --> 00:11:29.720]   I think is the most important test right now versus trying to build the super app of the future and we've talked about this again
[00:11:30.240 --> 00:11:35.520]   Perhaps that is an opportunity perhaps Elon is the one that can deliver it, but I don't know
[00:11:35.520 --> 00:11:40.760]   I still this kind of day-to-day operation, especially when your business is
[00:11:40.760 --> 00:11:46.880]   Advertising I cannot see how this is gonna come out on the other side. Okay. Yeah, I'm with you after everything
[00:11:46.880 --> 00:11:51.080]   I said about you line the caveat is that what he's done with Twitter has been detrimental to him
[00:11:51.080 --> 00:11:57.880]   I mean objectively bad for him and all his businesses would be including his new AI company would be better off if he
[00:11:58.040 --> 00:12:00.040]   sold Twitter and that's what I think he should do I
[00:12:00.040 --> 00:12:06.760]   Think what may happen is it goes bankrupt and the and the 13 billion dollar worth of bank
[00:12:06.760 --> 00:12:08.440]   equity
[00:12:08.440 --> 00:12:10.440]   gets taken back and
[00:12:10.440 --> 00:12:15.560]   The banks own it and I think maybe that's even what Elon would like because at this point
[00:12:15.560 --> 00:12:20.320]   I feel like well who knows what Elon wants. So he wants just nuts. I don't know what he's looking for I
[00:12:20.320 --> 00:12:25.480]   Know I want JP Morgan to be the bastion
[00:12:25.480 --> 00:12:28.920]   Yeah, they're not gonna do a good job with it. I'm square
[00:12:28.920 --> 00:12:32.160]   That's what I've always dreamed it's always struck me
[00:12:32.160 --> 00:12:35.520]   I almost hate doing Elon stories because I feel I feel played when I do an Elon story
[00:12:35.520 --> 00:12:41.280]   It always strikes me that he woke at midnight and thought well, hey, I haven't been I haven't been the press has been writing
[00:12:41.280 --> 00:12:46.600]   About me in about 48 hours. What can I say that will get me a lot of coverage and that's oh?
[00:12:46.600 --> 00:12:54.000]   I will rename it X and give us your thoughts for our new logo and Bing bada-bung. We're talking about it
[00:12:54.720 --> 00:12:59.840]   He seems like a manipulator of the media more than anything else to me
[00:12:59.840 --> 00:13:01.560]   But he is a newsworthy person though
[00:13:01.560 --> 00:13:03.800]   I mean he definitely is a medium manipulator
[00:13:03.800 --> 00:13:08.720]   But he is he does own Twitter, which is a very important social network. Maybe the second most
[00:13:08.720 --> 00:13:15.920]   important and then like he does I mean SpaceX and Tesla like he did he commands the coverage I
[00:13:15.920 --> 00:13:21.640]   Could be better at covering him, but I certainly newsworthy. I snuck a spy into the
[00:13:22.760 --> 00:13:26.240]   Accession filming and got this PowerPoint slide
[00:13:26.240 --> 00:13:31.880]   From the hundred which was if you remember at the beginning of the season the company the kids were gonna start
[00:13:31.880 --> 00:13:38.280]   Here is how big can it get is the slide initial audience a hundred eighty million English language ready
[00:13:38.280 --> 00:13:43.040]   customer base across the world hungry for stimulating news and info
[00:13:43.040 --> 00:13:47.840]   Multilingual multifaceted growth opportunities follow the growth contagion
[00:13:47.840 --> 00:13:51.720]   financial model applicable the hundred franchises of
[00:13:51.920 --> 00:13:57.800]   the hundred thousands of permutations of the hundred available and scalable audio events and dating services
[00:13:57.800 --> 00:14:03.680]   This seems like you not just took this slide or at least Linda yackarino took this slide
[00:14:03.680 --> 00:14:10.080]   For their own. I mean this is this what I loved about this is a satire. This is
[00:14:10.080 --> 00:14:16.320]   armstrong Jesse Armstrong satire of the nuttiness of tech decks
[00:14:17.600 --> 00:14:22.360]   But it's real. I mean, that's exactly what X is right. It's BS
[00:14:22.360 --> 00:14:28.720]   Let's not forget a Kendall's description as it would be sub stack meets masterclass
[00:14:28.720 --> 00:14:32.200]   New York. I'm glad to know you watch the show
[00:14:32.200 --> 00:14:36.480]   I just haven't been able to it was a great line
[00:14:36.480 --> 00:14:44.120]   I've been able to get this thought out of my mind that Jamie diamond is eventually gonna be making content moderation decisions
[00:14:44.720 --> 00:14:51.280]   I'm believable and he's gonna he's gonna let us edit tweets even if you don't have a eight dollar subscription
[00:14:51.280 --> 00:14:56.360]   That's Jamie diamond for stuff. What was it again sub stack meets masterclass?
[00:14:56.360 --> 00:14:59.840]   Me the economist meets the New Yorker
[00:14:59.840 --> 00:15:06.200]   That's a description of this show actually I think that's exactly what we're doing
[00:15:06.200 --> 00:15:08.360]   here
[00:15:08.360 --> 00:15:11.040]   He did Elon did get some big names
[00:15:11.960 --> 00:15:16.160]   researchers from Google deep mind University of Toronto to join
[00:15:16.160 --> 00:15:20.840]   X AI, which is the current name of it
[00:15:20.840 --> 00:15:25.600]   He I
[00:15:25.600 --> 00:15:29.240]   Just want to write it all off to be honest with you and just say it's
[00:15:29.240 --> 00:15:32.360]   It's it's Elon's weird
[00:15:32.360 --> 00:15:35.240]   Bizarro world
[00:15:35.240 --> 00:15:39.160]   Meanwhile threads use down to six minutes a day
[00:15:40.360 --> 00:15:44.400]   Elon was very nervous about Mark Zuckerberg's Twitter clone
[00:15:44.400 --> 00:15:52.880]   Not doing that well according I think Ron John you posted this article from business insider
[00:15:52.880 --> 00:16:00.400]   Yeah, Alex and I talked about this last week on our podcast I think that
[00:16:00.400 --> 00:16:08.920]   Coming out as strong as they did and making such a big deal about making it to a hundred million users was actually a big mistake
[00:16:08.920 --> 00:16:14.080]   I think they even though they claim that they did no quote unquote promotion
[00:16:14.080 --> 00:16:18.600]   Mark Zuckerberg had it threaded or posted to threads or whatever we will call it
[00:16:18.600 --> 00:16:25.080]   I think they clearly you know leveraged whatever they had at their disposal if you have you downloaded the app
[00:16:25.080 --> 00:16:29.200]   I am on it. Yeah, so it basically your Instagram
[00:16:29.200 --> 00:16:32.080]   It you know pulls over all of your contacts
[00:16:32.080 --> 00:16:37.320]   It allows you to instantly follow everyone you don't even have to enter information to create an account
[00:16:37.320 --> 00:16:43.560]   So they clearly made it as frictionless as possible and leverage their billion strong Instagram user base
[00:16:43.560 --> 00:16:52.560]   But now it's got to be interesting and normally I mean I really was thinking back what communities have succeeded again YouTube
[00:16:52.560 --> 00:17:00.680]   Succeeds it starts with creators homegrown creators people who really make their way up on the platform even Twitter if you think about it
[00:17:00.680 --> 00:17:04.920]   It developed so well and so strongly because it developed its own voice
[00:17:04.920 --> 00:17:07.600]   It developed its own community
[00:17:07.600 --> 00:17:16.000]   You know getting to a hundred million users who are not sure what to expect having Paris Hilton tweeting a Taco Bell and Netflix and
[00:17:16.000 --> 00:17:23.360]   Spotify and everyone else trying to be funny. I feel does not make for a sticky community driven platform. So I
[00:17:23.360 --> 00:17:30.720]   Don't know they got the brands to move right over there as fast as possible even quite a few celebrity
[00:17:30.720 --> 00:17:33.280]   names that's that's kind of in
[00:17:34.440 --> 00:17:42.800]   Latter-day Twitter was the thing that people said they stayed on Twitter for the news the news brands the consumer brands
[00:17:42.800 --> 00:17:46.320]   And the celebrities I
[00:17:46.320 --> 00:17:51.480]   Don't know yeah, and I and I think it's an existential business threat
[00:17:51.480 --> 00:17:56.840]   Twitter whether or not people stick around but again they are and
[00:17:56.840 --> 00:18:03.600]   Alex wrote about this. I mean what how early advertisers gonna get on there whether it's Q4 of this year
[00:18:03.600 --> 00:18:10.400]   I mean, I think they are going to get every advertiser over there who's gonna run away from X
[00:18:10.400 --> 00:18:13.000]   dot com slash Twitter and
[00:18:13.000 --> 00:18:17.040]   And they want a safe place to go and they want a place they can trust and
[00:18:17.040 --> 00:18:18.480]   meta
[00:18:18.480 --> 00:18:26.280]   Owns advertisers and it's another place to go and they're gonna get every one of those ad budgets away from whatever is left at Twitter
[00:18:26.280 --> 00:18:27.920]   Yeah, and it's more than a safe place
[00:18:27.920 --> 00:18:36.280]   It's meta's ad platform, which is just able to target people and optimize in a way that's far better than any other social platform
[00:18:36.280 --> 00:18:41.400]   Could dream of and Twitter certainly has never held a candle to so I think when you talk to advertisers
[00:18:41.400 --> 00:18:45.640]   They're not saying well, I want you know a place where like I have a more politically correct
[00:18:45.640 --> 00:18:52.560]   Environment but my audio my message in front of people they just said we want platforms that can make our customers money and
[00:18:52.760 --> 00:19:00.160]   The meta ad platform is so good that that's where we spend our time on meta and on Google and everything else is an afterthought
[00:19:00.160 --> 00:19:03.840]   And it's just kind of more of that in terms of the monetization potential of threads
[00:19:03.840 --> 00:19:05.440]   But yeah, I mean it's like
[00:19:05.440 --> 00:19:12.840]   Ron John's totally right here that the the overhyping of the user numbers in the beginning was a terrible mistake and just my
[00:19:12.840 --> 00:19:16.840]   Experience I've been using threads a lot in my experience there has been that the
[00:19:17.640 --> 00:19:23.280]   The usage is is just an engagement is way way down and growth has tailed off completely
[00:19:23.280 --> 00:19:27.720]   Which leads me to believe that you know, they hit that a hundred million user number pretty quickly
[00:19:27.720 --> 00:19:34.040]   But they their curve must have just flattened are people going back to Twitter. Is that what you think's happening?
[00:19:34.040 --> 00:19:40.000]   Maybe people are just giving up on this format altogether. That's what I'm wondering it's a lot less
[00:19:40.000 --> 00:19:42.960]   I mean, that's what's happened to me. Maybe it's the end of social, you know
[00:19:43.600 --> 00:19:50.280]   Exactly. Well, it's like definitely like you you used to so the utility of these platforms was to know what happens in the moment
[00:19:50.280 --> 00:19:57.280]   Right and Twitter has because of Elon's algorithmic ranking changes and the end of verification of people that were making news
[00:19:57.280 --> 00:19:58.920]   Has made that
[00:19:58.920 --> 00:20:01.800]   Pre-sea utility, you know much less vital
[00:20:01.800 --> 00:20:07.480]   To the platform and then threads doesn't even want news on it. So it's like and you're blue skies too small
[00:20:07.480 --> 00:20:11.720]   So when Tony Bennett passed away god bless him RIP
[00:20:11.720 --> 00:20:13.720]   I
[00:20:13.720 --> 00:20:16.640]   Didn't learn about it on Twitter or on threads
[00:20:16.640 --> 00:20:22.000]   Used to be that's where you'd find out if or at least go if you heard somebody passed
[00:20:22.000 --> 00:20:30.640]   That's where you'd go, but I don't I don't think that that's the case anymore. That's just one example obviously the reason yeah the reason that Twitter has
[00:20:30.640 --> 00:20:36.520]   Been so has struggled to grow past 200 million users or 300 million users
[00:20:36.520 --> 00:20:43.000]   If you go monthly is because most of the population is totally okay getting their news on new sites and
[00:20:43.000 --> 00:20:49.280]   They don't need to know it that second they can know it five minutes later when it's on like NY times calm or the Wall Street Journal and
[00:20:49.280 --> 00:20:52.280]   You know while while these platforms to grades
[00:20:52.280 --> 00:20:56.660]   This is a sort of the point I was building up to when these platforms to grade the
[00:20:56.660 --> 00:21:00.520]   200 million or 300 million of us on Twitter and a digit switter
[00:21:00.800 --> 00:21:05.960]   We are we are forced to go back to home pages again and many people are gonna be like well
[00:21:05.960 --> 00:21:12.960]   That's not too bad. You may be I'll do that instead of yeah on this app that makes me angry and is filled with outrage and you know
[00:21:12.960 --> 00:21:16.600]   Just you know disgusting stuff and chat GPT influencers. I hope you're right
[00:21:16.600 --> 00:21:21.080]   Because that would be I think the most healthy thing
[00:21:21.080 --> 00:21:23.840]   wouldn't it for
[00:21:23.840 --> 00:21:26.840]   The internet is
[00:21:27.480 --> 00:21:33.200]   I feel like yeah, am I wrong? I think that's a good point because even for me that question there
[00:21:33.200 --> 00:21:39.800]   There's definitely been a transition period where I'm looking for someone to tell me what's happening right now
[00:21:39.800 --> 00:21:46.280]   About everything and then after a few days you start to realize maybe you don't need to know
[00:21:46.280 --> 00:21:49.560]   What's happening right now about everything at that moment?
[00:21:49.560 --> 00:21:54.860]   Yeah, I mean I've started opening the New York Times app more like starting
[00:21:56.360 --> 00:22:03.520]   Going to a new zap Wow going to a news app. It's like 2011 all over again. This is the future
[00:22:03.520 --> 00:22:07.600]   Yeah, I mean it is and also
[00:22:07.600 --> 00:22:13.480]   Being more topical and specific of only looking for things that I want to know about
[00:22:13.480 --> 00:22:20.440]   Actually tech meme and going to their actual site sites like that. I think curators of news that you trust
[00:22:20.440 --> 00:22:24.440]   I think all of these are gonna become much much more valuable than
[00:22:25.560 --> 00:22:30.800]   We were all spoiled because again if you had built your Twitter feed in a way in a smart way
[00:22:30.800 --> 00:22:37.440]   That really was the perfect way to tell you exactly what was happening, but that's it's just not the case anymore
[00:22:37.440 --> 00:22:41.600]   It's funny because I've been going to tech meme for probably a decade and a half
[00:22:41.600 --> 00:22:47.920]   As my as almost my home page on the internet, but I am doing tech news. So that's the first place I go
[00:22:47.920 --> 00:22:55.040]   But that's interesting because that is a very old-school style of site where they're aggregating stories from other
[00:22:55.720 --> 00:22:57.040]   news sites
[00:22:57.040 --> 00:22:59.880]   And and they used to do it GABY's to do it
[00:22:59.880 --> 00:23:05.040]   Automatically now has editors and they do it manually. It's it is a very old-school
[00:23:05.040 --> 00:23:07.240]   aggregator
[00:23:07.240 --> 00:23:14.240]   Yeah, but then even what I love that they do even add a bit of context and he headline to try to add their own yeah perspective
[00:23:14.240 --> 00:23:16.160]   yeah, rate
[00:23:16.160 --> 00:23:17.120]   tweets
[00:23:17.120 --> 00:23:23.760]   Skeets threads whatever else they built into the CMS right now, but I think again
[00:23:23.760 --> 00:23:29.040]   It's it's it does a good job for a community of telling you what's going on
[00:23:29.040 --> 00:23:31.520]   Obviously how you do that across different?
[00:23:31.520 --> 00:23:38.920]   Interest areas and communities is definitely not solved right now and maybe maybe doesn't get solved in the way it was before
[00:23:38.920 --> 00:23:42.840]   That's what's old is new again. Maybe that's the answers going back to the
[00:23:42.840 --> 00:23:49.960]   All what's what's next Google Reader comes back. I don't know if I believe it's gonna be yeah
[00:23:49.960 --> 00:23:52.640]   It'll be sub stacks and podcasts. That's the bet here. Yeah
[00:23:53.480 --> 00:23:55.920]   I mean big technology names
[00:23:55.920 --> 00:24:01.920]   I knew that this would be a story for you guys for sure
[00:24:01.920 --> 00:24:04.760]   Given your interest in finance and so forth
[00:24:04.760 --> 00:24:13.840]   For the longest time in the US if we want to send payments to friends we'd use Venmo or PayPal or cat the cash app
[00:24:13.840 --> 00:24:18.280]   It turns out and I did not know this in the rest of the world
[00:24:18.600 --> 00:24:23.800]   Their governments provided clearing houses that were free and widely available and instantaneous
[00:24:23.800 --> 00:24:30.920]   We just never had one in the US the Federal Reserve Bank has now launched it. It's called Fed now an
[00:24:30.920 --> 00:24:34.640]   Instant payment service that costs nothing
[00:24:34.640 --> 00:24:43.360]   Now of course it's got to attach to your bank and your bank may end up charging you even though it costs nothing for the Fed to do it
[00:24:43.360 --> 00:24:48.280]   They're launching with 41 banks 15 service providers including JP Morgan Chase
[00:24:48.800 --> 00:24:56.800]   Bank of New York Mellon bank Corp. They plan to add more banks and credit unions as the year goes by
[00:24:56.800 --> 00:25:04.480]   It you know the Fed has always run a clearing house. That's taken days. You write it. Remember writing checks
[00:25:04.480 --> 00:25:12.480]   You'd write a check you put it in the mail put it five cents stamp on it and you put it in the mailbox
[00:25:12.480 --> 00:25:14.480]   They don't have any of that anymore by the way
[00:25:14.480 --> 00:25:21.200]   And then it would arrive and the dentist's office would take it and they would cash it and the and the bank they cashed that
[00:25:21.200 --> 00:25:24.720]   Would send it to the federal clearing house, which you know, I think somebody
[00:25:24.720 --> 00:25:32.320]   With sleeve garters and a green visor would look at it and then stamp it and then three or four days later
[00:25:32.320 --> 00:25:37.240]   That money would be transferred over from your account to the dentist. It would clear
[00:25:37.240 --> 00:25:44.080]   That's how we did it until recently and I think the Fed is finally caught up with the 21st century
[00:25:44.080 --> 00:25:50.880]   and the rest of the world thoughts on Fed now you covered the bank the SVB bank run
[00:25:50.880 --> 00:25:59.720]   One one consideration. I know Ron. So was that this would really supercharge a bank run in the future making a lot easier
[00:25:59.720 --> 00:26:06.800]   No, but I still I think this is a huge story because I think this is a perfect example of
[00:26:06.800 --> 00:26:11.140]   Something a friction that has existed in industry over the last
