;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.940]   It's time for Treadt this week in Tech Plate Morris is here along with Scott Johnson
[00:05:50.020 --> 00:05:55.060]   That's you did that with Tom Merritt film sack. You gotta work on the names app Slappy and film sack
[00:05:56.060 --> 00:06:03.860]   I don't know current geek weekly love that hypothetical help as opposed to the real help final score the creep
[00:06:03.860 --> 00:06:09.000]   The morning stream, which is of course your morning show still on with Brian Abbott. That's a great show
[00:06:09.000 --> 00:06:14.000]   Yeah, just hit 400 on that actually this is you that's that's weird and congratulations. Thank you and
[00:06:14.000 --> 00:06:20.000]   Something new you're doing with Tom. Well, you've been doing about a year now autopilot. Yeah autopilot's great because
[00:06:20.820 --> 00:06:25.780]   Speaking of nerdy stuff if people are into like TV shows and there's a ton of new TV and old TV
[00:06:25.780 --> 00:06:29.700]   But being put on streaming services like Netflix and Hulu we go and find some
[00:06:29.700 --> 00:06:36.100]   Ancient pilot to some weird show some science fiction thing everyone forgot about and we just dig in and it's a blast
[00:06:36.100 --> 00:06:38.100]   That's one of my favorite things we're doing right now
[00:06:38.100 --> 00:06:40.100]   You do that it's the morning show every morning
[00:06:40.100 --> 00:06:45.280]   Every morning Monday through Thursday. We take fries off. We're kind of with a John Stewart of puck. Yeah
[00:06:45.280 --> 00:06:49.820]   Yeah, I guess you say you know Johnny Carson. Yeah next contract. You'll take his two. Yeah, exactly
[00:06:49.820 --> 00:06:54.660]   But they I think they take the day off. I end up doing two other shows that can flex
[00:06:54.660 --> 00:06:56.980]   So it's it all works out and keeps me nice and busy
[00:06:56.980 --> 00:07:01.620]   But frog pants calm is the home of all of the above if you want to know more
[00:07:01.620 --> 00:07:04.500]   Hey sad sad note. We should mention
[00:07:04.500 --> 00:07:10.740]   Roger Ebert passed away this week at a very young age only 70 years old as I get older 70 seems younger
[00:07:10.740 --> 00:07:12.820]   and
[00:07:12.820 --> 00:07:17.380]   Of course the great film critic the guy who became famous with the gene
[00:07:18.100 --> 00:07:19.540]   siskel for
[00:07:19.540 --> 00:07:27.100]   At the movies and the thumbs up and all of that and a guy who really became a friend of geeks because when he
[00:07:27.100 --> 00:07:31.740]   About six years ago suffered the loss of his jaw due to
[00:07:31.740 --> 00:07:33.740]   Cancer
[00:07:33.740 --> 00:07:38.500]   He couldn't speak anymore and ended up taking to Twitter and social media like nobody's business
[00:07:38.500 --> 00:07:43.460]   Somebody said really he invented social media long before this because everything was a conversation with him
[00:07:43.460 --> 00:07:47.460]   But he sure fit in with our crowd great
[00:07:47.460 --> 00:07:49.060]   And he will be much missed well
[00:07:49.060 --> 00:07:54.000]   He always did this thing which I mean it hit me a little hard actually because when I was a kid in
[00:07:54.000 --> 00:07:58.580]   1984 I was watching him in jeans fiscal on PBS with sneak previews and thinking man
[00:07:58.580 --> 00:08:02.300]   There's nothing else like this where I get to hear about a movie before it comes out
[00:08:02.300 --> 00:08:06.260]   This is before the internet is before any any way of finding out if anything was good or bad
[00:08:06.260 --> 00:08:10.220]   And it was kind of this this really unique source, but as time has gone on
[00:08:10.220 --> 00:08:14.800]   It became pretty obvious that he was more than just a film critic who got lucky with the TV show
[00:08:14.800 --> 00:08:18.420]   He was a guy that knew when a new technology would come his way
[00:08:18.420 --> 00:08:22.980]   He knew how to tackle it and how to take it on and how to integrate it into what he already did
[00:08:22.980 --> 00:08:27.200]   And he did that with with film and TV. He did that with Twitter and did it with social media
[00:08:27.200 --> 00:08:30.540]   He has one of the most amazing TED talks I've ever heard mm-hmm
[00:08:30.540 --> 00:08:34.840]   Just a just a fantastic dude, and I'm I was real sad to hear about his passing
[00:08:34.840 --> 00:08:40.460]   It's hard to read a guy's tweet like his last tweet the day before you know that he passed away that always kind of gives me the
[00:08:40.460 --> 00:08:46.560]   Willies and I did this time to it and it was also hard to read his final blog post at the Chicago Sun Times because it was so
[00:08:46.560 --> 00:08:51.640]   Hopeful, right? I think it was about a day and a half before he passed away and he said he was you know
[00:08:51.640 --> 00:08:57.160]   Relanguishing his duties there on his daily writing and reviews. He was going to focus on the reviews that he most cared about
[00:08:57.160 --> 00:09:02.360]   The movies that he longed to see but he had to do so many other film reviews all the time
[00:09:02.360 --> 00:09:07.320]   He was going to hand the reins over to other people and it was weird to see that just about a day and a half later
[00:09:07.320 --> 00:09:11.220]   Then he passed away so full of hope you know he said he was going to continue on
[00:09:11.220 --> 00:09:17.180]   He was going to do some great things over at Roger Ebert calm and continue to put out content on a regular basis and then
[00:09:17.180 --> 00:09:20.900]   Maybe it was just the hope speaking I suppose
[00:09:20.900 --> 00:09:25.620]   Yeah, he'll definitely be missed so we just thought we'd mentioned that
[00:09:25.620 --> 00:09:32.440]   Andy and not go of course one of the writers of Chicago sometimes knew Roger and we've asked him to come on
[00:09:32.440 --> 00:09:35.660]   He didn't really want to talk on the air that days
[00:09:35.660 --> 00:09:40.460]   It was just too intense, but he did write a nice blog post at his website celestial waste of bandwidth
[00:09:40.460 --> 00:09:43.220]   Cwob.com and you know
[00:09:43.220 --> 00:09:45.380]   I think there's also really good by the
[00:09:45.380 --> 00:09:51.620]   Fantastic and what I think I like about it the most is it's post his cancer treatment or when all that was sort of happening in
[00:09:51.620 --> 00:09:58.060]   2011 and he is one of the most optimistic voices. There's nothing in that book that says woe is me or poor me
[00:09:58.060 --> 00:10:01.420]   It's just a lot of really sort of positive reinforcement about the kind of life
[00:10:01.420 --> 00:10:05.380]   He's led and why he loves film so much and it's it's really really good. Yeah
[00:10:05.460 --> 00:10:07.460]   Roger Ebert
[00:10:07.460 --> 00:10:13.060]   Go ahead, sorry and I have to say this I tweeted out because everyone was focusing on some of the some of the last things
[00:10:13.060 --> 00:10:16.740]   He'd written but one of my favorite one of my favorite reviews
[00:10:16.740 --> 00:10:21.340]   Ever that he did was of a star transformers revenge of the
[00:10:21.340 --> 00:10:28.620]   Was it revenge of the fallen to me the worst movie ever made even worse than like land nine from outer space
[00:10:28.620 --> 00:10:30.620]   Which are sort of laughable movies
[00:10:31.100 --> 00:10:34.700]   He tweeted he wrote this great piece and it said you know
[00:10:34.700 --> 00:10:39.740]   What are the worst movies he's ever seen if you want if you want to if you want to see something better
[00:10:39.740 --> 00:10:44.820]   Go in and have a children's choir scream at you banging pots and pans together
[00:10:44.820 --> 00:10:51.460]   I mean it is an epic epic takedown of the Transformers movie and if you hate that movie as much as I do
[00:10:51.460 --> 00:10:56.700]   Yeah, you will enjoy that his pants revenge really good his pants were so good
[00:10:56.700 --> 00:11:02.620]   He said once of a movie however much patrons paid to get into this movie. They'll pay twice as much to get out
[00:11:02.620 --> 00:11:11.820]   He's just was the best I think the best tribute to Roger Ebert though was the onions obituary of Roger Ebert
[00:11:11.820 --> 00:11:16.180]   Which they got up within minutes Roger Ebert hails human existence as a triumph
[00:11:16.180 --> 00:11:23.860]   Calling the overall human experience poignant thought provoking in a complete tour de force film critic Roger Ebert praised existence Thursday as an audis
[00:11:23.860 --> 00:11:26.100]   audacious and thrilling
[00:11:26.100 --> 00:11:32.020]   Triumph I just this really kind of summed it up and you know you don't usually think of the onion is doing
[00:11:32.020 --> 00:11:36.820]   You know heartfelt pieces and this was of course a humor piece, but it was also very heartfelt
[00:11:36.820 --> 00:11:42.420]   Well, it's interesting to you kind of a you had a love-hate relationship with gamers because he was very famously
[00:11:42.420 --> 00:11:48.620]   Sort of out in the open about how he felt like video games could never truly be art or they couldn't express art in the way that
[00:11:48.620 --> 00:11:52.580]   film or or books or you know illustration or something else could and and
[00:11:53.100 --> 00:11:56.580]   A lot of us myself included took real issue with that. I think he argued it really well
[00:11:56.580 --> 00:12:02.900]   And he had very interesting points, but I think even they would admit even these gamers were a little bit jaded by that idea
[00:12:02.900 --> 00:12:05.940]   Are you know sad to see a guy like that pass?
[00:12:05.940 --> 00:12:07.980]   He was still a pretty interesting voice in that way well
[00:12:07.980 --> 00:12:13.300]   And it's a shame he didn't get to play bio-shock infinite because I thought he would have started to see the potential anyway for
[00:12:13.300 --> 00:12:18.780]   Gaming really telling a story in a way that's as deep
[00:12:18.780 --> 00:12:22.060]   perhaps as as a real movie
[00:12:22.840 --> 00:12:29.820]   Yeah, that's an affecting piece of software. Isn't that amazing? It's amazing absolutely incredible and it's not it's the whole package
[00:12:29.820 --> 00:12:33.980]   Which I think is what he admired in film, which was right this illusion from top to bottom
[00:12:33.980 --> 00:12:40.740]   It's this world you're never gonna see and it's done in a way that's so polished and so well thought out and so detailed and there's good acting
[00:12:40.740 --> 00:12:42.740]   And there's good pacing and there's incredible cinematography
[00:12:42.740 --> 00:12:49.620]   the gameplay still there but really it takes a backseat to these other things and it is a weird irony that he that he
[00:12:49.620 --> 00:12:56.620]   Died just as something you could quantify as possibly and a piece of art and video games happen to come out right around the same time
[00:12:56.620 --> 00:13:02.120]   Right, we're gonna take a break cuz we'll should have a little buffer as we think about Roger Ebert
[00:13:02.120 --> 00:13:02.740]   But we'll come back
[00:13:02.740 --> 00:13:08.380]   We I do want to talk about Facebook home Tim is going up and down because of his 4g issues if we get it back
[00:13:08.380 --> 00:13:14.540]   I'd love to but if not we'll talk about Facebook home with our guests Clayton Morris from Fox and friend Scott Johnson frog pants
[00:13:16.180 --> 00:13:22.060]   Lots to talk about this weekend. We'll get to it in just a moment first a word from our friends at Citrix the makers of go to
[00:13:22.060 --> 00:13:24.660]   meeting
[00:13:24.660 --> 00:13:25.820]   meetings are
[00:13:25.820 --> 00:13:27.020]   unfortunately
[00:13:27.020 --> 00:13:32.180]   Kind of a must at work. I've I've hated meetings Clayton. Do you hate do you have to go to meetings?
[00:13:32.180 --> 00:13:37.820]   Like I'm an executive producer one. Yeah, I had an executive producer in Los Angeles a good day
[00:13:37.820 --> 00:13:42.780]   I'll say to me when I was at 18 years old. He said I don't know 21 years old
[00:13:42.780 --> 00:13:48.020]   He said meetings are if a meeting lasts longer than five minutes. It's worthless
[00:13:48.020 --> 00:13:54.260]   We used to do it standing up because we figured if you could stay standing up to the meeting that it wasn't too long of a meeting
[00:13:54.260 --> 00:13:59.660]   But as you know, you got us, you know if for if you're on a TV show you got a plan the TV show
[00:13:59.660 --> 00:14:03.740]   You got a there's a great way to be creative to share ideas to solve problems
[00:14:03.740 --> 00:14:09.900]   But how do we make meetings more effective? How do we especially with teams spread out all over the place now?
[00:14:10.460 --> 00:14:12.820]   How do we make them fast effective?
[00:14:12.820 --> 00:14:14.260]   but
[00:14:14.260 --> 00:14:18.980]   But you got to have them and that's where go to meeting is so cool first of all of course if for years
[00:14:18.980 --> 00:14:25.260]   They've done the screen sharing which means we're all on the same page even if we're in different places on a Mac on a PC on
[00:14:25.260 --> 00:14:30.660]   Smartphones on tablets you can join these meetings you can see the same screen and now with HD faces
[00:14:30.660 --> 00:14:32.180]   You can see the people to
[00:14:32.180 --> 00:14:36.140]   Line up on the screen on the side or on the top you're interacting with them
[00:14:36.140 --> 00:14:38.420]   You're getting body language is great for sales presentations
[00:14:38.420 --> 00:14:42.180]   You know what the clients thinking because you're seeing them watch your presentation. I
[00:14:42.180 --> 00:14:44.660]   Just I think it's a really
[00:14:44.660 --> 00:14:48.940]   Good way to make the best use of the time that you have to spend in meetings
[00:14:48.940 --> 00:14:53.700]   And I want you to try it if you if you have meetings by the way you can now present from an iPad
[00:14:53.700 --> 00:14:58.020]   The using go to meeting on iPad is kind of amazing because here you are in a relaxed environment
[00:14:58.020 --> 00:15:03.180]   Maybe you're out in the garden or you're you know at a hotel you just relax you feed up you got the iPad
[00:15:03.180 --> 00:15:05.180]   You're getting the sound from the iPad you're getting them
[00:15:05.180 --> 00:15:12.020]   The they're they're seeing you from the iPad screen and you're presenting it doesn't even feel like work if it's just fun
[00:15:12.020 --> 00:15:17.060]   Go to meeting calm use the promo code twit you can try this for 30 days free go to meeting
[00:15:17.060 --> 00:15:20.580]   Dot com use a promo code twit meeting is
[00:15:20.580 --> 00:15:22.540]   believing
[00:15:22.540 --> 00:15:24.300]   Go to
[00:15:24.300 --> 00:15:25.300]   meeting
[00:15:25.300 --> 00:15:27.700]   So Thursday we talked a little bit about it
[00:15:27.700 --> 00:15:35.120]   Before the show I wasn't sure should we cover this Facebook event live Facebook set on an invitation saying come see
[00:15:35.120 --> 00:15:41.680]   Our new home on Android which turned out to be literally what they were showing it's called Facebook
[00:15:41.680 --> 00:15:44.460]   home, right
[00:15:44.460 --> 00:15:49.540]   Yeah, Facebook home, and it's essentially a launcher. I mean as far as I could tell it's an Android launcher
[00:15:49.540 --> 00:15:53.700]   Right and it as Mark Zuckerberg, so
[00:15:53.700 --> 00:16:01.740]   Made such a point of saying it's it's revolving around people and not applications and just a short time ago
[00:16:01.740 --> 00:16:08.060]   I guess just about an hour ago and perhaps Tim could be born to this they're just launched and I'm just watching it now actually
[00:16:08.060 --> 00:16:11.560]   Facebook just launched their television ad campaign for it
[00:16:11.560 --> 00:16:16.640]   And it makes you may oh my god. You want to show us see the airplane
[00:16:16.640 --> 00:16:23.680]   Yeah, is the airplane one where the guy sitting on an airplane and I think they must have like hired the Microsoft marketing team. Oh my god
[00:16:23.680 --> 00:16:26.480]   It's here. I cannot figure out. I mean
[00:16:27.200 --> 00:16:32.760]   It's a muddled nest. I mean to me. It doesn't tell me anything about that. That's actually not it
[00:16:32.760 --> 00:16:34.840]   But that's another one we could watch but there's one
[00:16:34.840 --> 00:16:39.160]   Where the guy's gear has it. Yeah, the guys get on an airplane. Let me let me
[00:16:39.160 --> 00:16:44.720]   He's walking around and it's all these weird random sort of cabaret dancers like popping
[00:16:44.720 --> 00:16:52.900]   We got it. We're gonna show it because it's just two it's too ridiculous and you saw it on TV because is it gonna be a TV campaign? I
[00:16:52.900 --> 00:16:56.160]   Think it's what yeah, it's gonna be a TV campaign Wow
[00:16:56.640 --> 00:16:58.280]   and
[00:16:58.280 --> 00:17:00.280]   Yeah, it
[00:17:00.280 --> 00:17:06.500]   Can't be so you know I wonder if they pulled it down because I've just tried to launch it and
[00:17:06.500 --> 00:17:10.700]   Show you the chat there it is here. Here we go play the play the audio to
[00:17:10.700 --> 00:17:13.360]   So the guy's getting on a plane. He's holding his phone
[00:17:13.360 --> 00:17:18.640]   That's creepy what's up, man? He opens the luggage bin. There's people in them
[00:17:18.640 --> 00:17:24.560]   But you know nothing could be wrong with a tuba
[00:17:25.560 --> 00:17:28.040]   And here comes a drag queen
[00:17:28.040 --> 00:17:35.400]   Was that Alicia Keys popped out there right it's Albert Albert Keys her brother
[00:17:35.400 --> 00:17:41.680]   Now here's a kid with chocolate all over his face or something Brown
[00:17:41.680 --> 00:17:47.280]   Dancers this isn't this isn't gonna help old people with their impression of Facebook
[00:17:47.280 --> 00:17:52.320]   No, and the legoubriest tuba music in the background, please now the steward who says can you turn that thing off?
[00:17:52.320 --> 00:17:56.320]   And of course he turns it back on I hate you and then he likes cats
[00:17:56.320 --> 00:18:13.800]   I mean it's led to believe like he's relaxed now as a result of all of these weirdos jumping out at him
[00:18:13.800 --> 00:18:15.800]   I would be paranoid about all of these
[00:18:15.800 --> 00:18:19.320]   Connections, I've got to like this person's photo before my flight takes off
[00:18:19.320 --> 00:18:23.800]   And I don't know that you know I don't want to be that connected and I think that that's part of this big
[00:18:23.800 --> 00:18:26.760]   That's part of the larger issue with this Facebook home is you know
[00:18:26.760 --> 00:18:29.800]   How connected do we need to be how often are we gonna be connected globally?
[00:18:29.800 --> 00:18:35.400]   So someone write a smart piece about you know while you might not be connected to your location services
[00:18:35.400 --> 00:18:39.280]   You may not be giving them authorization to know exactly where you are at every moment
[00:18:39.280 --> 00:18:42.440]   But while you're sleeping from 10 p.m. Until 6 a.m.
[00:18:42.440 --> 00:18:46.480]   Your phone Facebook will know that you haven't left a particular location
[00:18:47.920 --> 00:18:51.560]   We're no you're not dating so perhaps you'd like to see these young
[00:18:51.560 --> 00:18:56.760]   People of it. This is the Facebook mobile page if you thought the ad was scary
[00:18:56.760 --> 00:19:01.560]   That's the big picture on the Facebook mobile cage. It looks like cheetahs are attacking
[00:19:01.560 --> 00:19:07.760]   Some guy sleeping on an airplane. That's a Puma. What is that? That's not a cat is this literally like a
[00:19:07.760 --> 00:19:13.400]   Stepping stone toward an actual phone which has been rumored forever or is this them just saying throwing their arms up and going?
[00:19:13.400 --> 00:19:15.560]   You know what that is a business. We don't want to be in so instead
[00:19:15.560 --> 00:19:18.800]   We're just gonna give you a weird layer and call it good. They've just well first of all
[00:19:18.800 --> 00:19:20.800]   They've denied the phone rumor forever
[00:19:20.800 --> 00:19:26.800]   Yeah, and and I think it's clear now that it's only a phone in the it mean there is the HTC first
[00:19:26.800 --> 00:19:32.200]   Which will be available in AT&T next week. It's a cheap, you know kind of $99 mid-range Android phone
[00:19:32.200 --> 00:19:34.840]   Not a great device and by the way HTC
[00:19:34.840 --> 00:19:40.480]   Mentioned and if you don't like Facebook home, you can you could just use the regular launcher. You don't have to leave it on there
[00:19:40.480 --> 00:19:44.000]   That's the closest they got to a phone. I think it's a good idea
[00:19:44.560 --> 00:19:48.880]   It'll be of something that's very easy to install you just download it when you install the Facebook app
[00:19:48.880 --> 00:19:56.160]   It will say on Android. I believe would you like to use us as your home page and if you say yes
[00:19:56.160 --> 00:20:01.160]   It will modify your launcher now any anytime that you launch it. Do you do you start to hear that this music?
[00:20:01.160 --> 00:20:07.440]   You get the background to an M&M's
[00:20:07.440 --> 00:20:10.760]   That's the weirdest why would they choose that?
[00:20:10.760 --> 00:20:13.520]   Yes, it's back. Is that what it's from?
[00:20:14.400 --> 00:20:16.400]   You're not gonna forget it
[00:20:16.400 --> 00:20:20.880]   That's pretty great
[00:20:20.880 --> 00:20:26.960]   It sounds like elephants are stomping on me here. Well, this is why you're never gonna see us in iOS because this is
[00:20:26.960 --> 00:20:29.960]   Right you can't see it
[00:20:29.960 --> 00:20:34.960]   That's one of the things Zuckerberg said when he was asked he said we can't do this for iOS because we don't have access to all
[00:20:34.960 --> 00:20:36.280]   Right, right
[00:20:36.280 --> 00:20:37.920]   Is there gonna be a version of it?
[00:20:37.920 --> 00:20:43.640]   I mean much like the way we know the Google well we think Google now will be sort of an iOS eversion of Google now
[00:20:43.640 --> 00:20:49.200]   But not fully integrated you'd have to launch the Facebook app right because you can't take over the springboard
[00:20:49.200 --> 00:20:51.200]   You can't take over the home page
[00:20:51.200 --> 00:20:55.080]   Right, and so it maybe the Facebook app will look that way by the way, there's no buttons
[00:20:55.080 --> 00:20:57.080]   There's no controls. It's a lot of swiping
[00:20:57.080 --> 00:21:02.840]   When you want to chat with somebody you tap their head or whatever their image is which is gonna make some fun faces
[00:21:02.840 --> 00:21:08.680]   I thought that was interesting to they made a big point about how you know Zuckerberg talked about how chat is broken and
[00:21:08.680 --> 00:21:10.840]   You know in many ways
[00:21:10.840 --> 00:21:15.880]   Perhaps he's right that if you're doing other things they get in the way of the chat that you're currently having
[00:21:15.880 --> 00:21:18.600]   That it will be a persistent chat
[00:21:18.600 --> 00:21:24.960]   So you've got this little chat head that stays on the screen wherever you go above any other application that you're currently in
[00:21:24.960 --> 00:21:29.680]   So you can still see Instagram while you're in Instagram and you can move the little chat head
[00:21:29.680 --> 00:21:33.360]   It'll stick to the sides of the screen. It'll sort of snap to the sides
[00:21:33.360 --> 00:21:38.080]   Which I thought was interesting. I mean the design is beautiful. I have to say I mean I was blown away
[00:21:38.080 --> 00:21:43.520]   Do you feel it as some do that it's a rip off of windows phone that they were heavily inspired by windows phone?
[00:21:43.520 --> 00:21:45.840]   I think there's a lot of design aesthetics
[00:21:45.840 --> 00:21:49.880]   I mean to me this is sort of an RV red Lex Friedman's piece
[00:21:49.880 --> 00:21:56.360]   He over a mac world a few weeks ago. He had abandoned his iPhone for a while to go strictly windows phone
[00:21:56.360 --> 00:21:58.720]   It was pretty funny. He said you know at the end of the whole journey
[00:21:58.720 --> 00:22:03.600]   He wanted to create like a franken phone right bringing in like the best parts of all three
[00:22:03.600 --> 00:22:10.920]   Experiences windows Android and iOS and I think in in many ways you're seeing some of that here in the notifications are clean and nice
[00:22:10.920 --> 00:22:16.800]   You're getting to see that persistent information on the front screen like you some of the tile features that you're talking about from windows
[00:22:16.800 --> 00:22:19.920]   That's a we're just seeing an iPhone
