;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100
;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.760]   It's time for Twit this weekend tech white Silverman joins John C. Devorak and Jolie Odell
[00:03:24.360 --> 00:03:27.860]   It's it was about 75 degrees as your class
[00:03:27.860 --> 00:03:35.040]   Cloudless skies. It's beautiful. This is the time to be in Houston not summer not winter right this day pretty much
[00:03:35.040 --> 00:03:42.760]   It's actually the winter has been very mild for the very good for the stinging army ants arrive
[00:03:42.760 --> 00:03:45.320]   The mosquitoes and the skaters
[00:03:45.960 --> 00:03:52.760]   Mosquitoes are terrible here. Yeah. Yeah. Yeah, so without a hurricane. This was a massive week for tech news actually
[00:03:52.760 --> 00:03:54.760]   This was an amazing week for tech news
[00:03:54.760 --> 00:03:58.800]   Mobile World Congress going on Barcelona some really interesting announcements there
[00:03:58.800 --> 00:04:07.320]   Apple dropped the yeshoo on its announcement. They sent out invitations anybody going to that no no no me
[00:04:07.320 --> 00:04:12.520]   Well you we have I'm not invited you have people but I you're not in you wait a minute
[00:04:12.520 --> 00:04:20.040]   I'm never invited to get this straight. You probably have the biggest audience for anyone doing this sort of new media period in the
[00:04:20.040 --> 00:04:26.000]   Business you know about the stuff you've always been friendly with Apple and they have put you on a black list
[00:04:26.000 --> 00:04:31.720]   Blacklist didn't you try to live stream something from somebody that he was never told not to he was never told not to
[00:04:31.720 --> 00:04:38.320]   No one went up to him said sir sir. We would prefer you not live stream. There's no way to talk about this without sounding
[00:04:38.320 --> 00:04:41.840]   Golly this wonders they couldn't come up. I'm letting John do this for me
[00:04:41.840 --> 00:04:46.140]   Kid they could they had they have the guts to come up and tap you and just say mr
[00:04:46.140 --> 00:04:51.360]   Laport I believe anything and say can you please stop live stream effect the only thing that happened?
[00:04:51.360 --> 00:04:53.680]   It was a strike company from what I struck
[00:04:53.680 --> 00:04:59.400]   So it was the I original iPad announcement and they weren't streaming and it kind of makes me mad that Apple refuses to stream this
[00:04:59.400 --> 00:05:04.840]   They put the video out shortly thereafter. I think they're worried that something might untoward might happen and they can't control it or edit it out
[00:05:05.440 --> 00:05:08.320]   In this case although, you know, they've not you know
[00:05:08.320 --> 00:05:13.960]   Never happened well remember the big fail when Steve had to kind of yell at people turn off your phones turn off your phone
[00:05:13.960 --> 00:05:16.920]   They didn't edit that out of the stream. So there you get so that's
[00:05:16.920 --> 00:05:19.800]   Anyways, I'm not sure why they don't stream it
[00:05:19.800 --> 00:05:22.680]   I wish they would because they let bloggers in live blog it
[00:05:22.680 --> 00:05:29.600]   So what we're kind of reduced to doing in fact it really isn't good to be in there because you can't get anything out except to type
[00:05:29.600 --> 00:05:32.600]   So what we do is we sit here and Tom Merritt, Sarah Lane, and I
[00:05:33.160 --> 00:05:39.560]   Will sit here 930 on Wednesday am Pacific and we'll just watch the live blogs
[00:05:39.560 --> 00:05:41.840]   It's almost like one of those baseball games where you go
[00:05:41.840 --> 00:05:49.400]   And he's running down right we're reenacting 30s. We have to reenact it silly reenact the keynote
[00:05:49.400 --> 00:05:53.160]   But in any event it's usually somebody bootleg in it
[00:05:53.160 --> 00:05:59.280]   That's right, and I was the guy and no, but there's been guys since I'm never going they've never invited me since
[00:05:59.280 --> 00:06:04.120]   Yeah, they got the food at past publications. I've worked at we would send a guy and they would sit there with a phone
[00:06:04.120 --> 00:06:09.440]   And we'd all be on you listen. Yeah, and we'd that's how we would get out a great number of stories
[00:06:09.440 --> 00:06:15.840]   It's great. It's great marketing because it gets people excited about it
[00:06:15.840 --> 00:06:20.280]   It increases demand even for the news coming out of it. That's what it's all about, right?
[00:06:20.280 --> 00:06:28.680]   Yeah, why they do it. Why does a hot dog cost $20 at Disneyland because they can and it's good people people you care so much
[00:06:28.680 --> 00:06:31.480]   Right, it makes us care much. I don't believe that that expensive
[00:06:31.480 --> 00:06:34.440]   $20 at Disneyland. I don't know
[00:06:34.440 --> 00:06:38.280]   Give me
[00:06:38.280 --> 00:06:41.440]   How much does a hot dog I was at Disneyland?
[00:06:41.440 --> 00:06:46.760]   So Leah why can't you just go and camp out in front of the year of aboying a like you did
[00:06:46.760 --> 00:06:52.840]   You're not and do and do something from there and not necessarily go in. I don't think anybody could stop no
[00:06:52.840 --> 00:06:56.820]   No, no, we could do that. I don't see any advantage to doing that. So what we like man on the street types
[00:06:56.820 --> 00:07:00.980]   So we were in there. What's it? So what we do we you know Jason Snell from Mac world for instance will be there
[00:07:00.980 --> 00:07:03.780]   I was hope I don't know why Andy and notco didn't get an invitation
[00:07:03.780 --> 00:07:10.860]   He's at the Chicago said one thing or looked at him cross-eyed and this is really the story about that is that Apple really controls access
[00:07:10.860 --> 00:07:15.040]   And I think only invites people who are gonna give them positive and applause
[00:07:15.040 --> 00:07:18.960]   Plawed on you know you don't want me sitting there or anybody sitting there going
[00:07:18.960 --> 00:07:21.980]   You know when you go to the Letterman show same thing happens
[00:07:21.980 --> 00:07:25.180]   Well, they got to go out in front they have a bunch of guys with clipboards
[00:07:25.660 --> 00:07:30.640]   You're waiting in line to get your ticket. He spotted me. He said it was amazing. He knew who I was
[00:07:30.640 --> 00:07:34.620]   Unletterman no not to go on Letterman to get in the audience
[00:07:34.620 --> 00:07:34.980]   Oh, yeah
[00:07:34.980 --> 00:07:40.260]   I mean and it's the day before and he said a before well, no, maybe it was a few hours before it was early
[00:07:40.260 --> 00:07:43.440]   He said oh Leo we're gonna give you special seats
[00:07:43.440 --> 00:07:47.500]   Way in the back because it's the it's the balcony because they want the rooms
[00:07:47.500 --> 00:07:50.180]   Who are gonna be really excited to be there sitting there?
[00:07:50.180 --> 00:07:54.580]   Media people they put you away in the balcony because they don't want you to say they don't know what I was gonna
[00:07:54.580 --> 00:08:02.100]   Hey look who's here? They there's also distracting and in fact Apple also as you well-known puts in the front row puts Apple employees
[00:08:02.100 --> 00:08:04.300]   So there's always this
[00:08:04.300 --> 00:08:06.540]   Yeah, we're there's
[00:08:06.540 --> 00:08:10.380]   Skills they got it down. They know what they're doing
[00:08:10.380 --> 00:08:15.180]   iPad will it be three will it be HD do we we don't even know what it'll be called?
[00:08:15.180 --> 00:08:16.900]   There's the presumption iPad three
[00:08:16.900 --> 00:08:23.540]   But I think it could be called the iPad HD because we will have an a retina display. I'm sure I think with the iPhone 4s
[00:08:23.540 --> 00:08:29.100]   Have a look at that's great. Look how that looks. I think it's a not prism
[00:08:29.100 --> 00:08:32.700]   It's not a presumption. It's an assumption to say that anybody really knows no one knows
[00:08:32.700 --> 00:08:38.940]   I mean you've got digitimes sources and the supply chain saying it's gonna be a seven to eight inch iPad and
[00:08:38.940 --> 00:08:44.220]   Everyone's talking about the display or the photos or whatever. Can we just say we don't know?
[00:08:44.380 --> 00:08:46.660]   But here's a fun game. Let's play
[00:08:46.660 --> 00:08:52.260]   But we don't make money if we say we don't know right money if we say let's play the fun game because we will know in three days
[00:08:52.260 --> 00:08:58.700]   Predict what do you think Apple will announce what let's see? Let's get the scorecards out everybody. Let's write this down
[00:08:58.700 --> 00:09:00.980]   I think that they're decided to say the same thing
[00:09:00.980 --> 00:09:04.900]   They're gonna shutter the company and distribute it to a hundred billion dollars to the shareholders
[00:09:04.900 --> 00:09:12.140]   That would be huge the Dell solution just cash in in other words
[00:09:12.140 --> 00:09:15.540]   Well, sometimes if you're in a casino, that's a good enough. They're not gonna do that
[00:09:15.540 --> 00:09:21.740]   I would suspect is gonna be probably not as grandiose as everyone expects. That's the Jolio Del theory
[00:09:21.740 --> 00:09:23.860]   It'll be a for us. That's because what they always do
[00:09:23.860 --> 00:09:26.500]   They always over promise or they don't over promise
[00:09:26.500 --> 00:09:32.140]   They let the public over promise and then they under deliver as if they're doing more than you would have expected
[00:09:32.140 --> 00:09:36.060]   Right and so it'll be an eye, you know, I don't think it's gonna and I think it's gonna be called a iPad 3
[00:09:36.060 --> 00:09:41.140]   So they didn't go out of the numbering scheme for the iPhone and they're at up to four. There's no reason
[00:09:41.140 --> 00:09:45.660]   There was the iPhone the iPhone 3G not three
[00:09:45.660 --> 00:09:49.740]   iPhone 3GS then the iPhone
[00:09:49.740 --> 00:09:55.020]   Fact of four but the number is always in this so it had to be the iPad 3 HD
[00:09:55.020 --> 00:09:57.020]   But it's not gonna be the iPad HD
[00:09:57.020 --> 00:09:57.700]   I
[00:09:57.700 --> 00:10:02.940]   All right, go ahead. That's good. You're getting to do your predictions. Go ahead. That's it and then they're going to play
[00:10:02.940 --> 00:10:10.500]   It's gonna be sub retina sub retina, but it's gonna be higher just resolution than this one and it will have
[00:10:10.780 --> 00:10:14.940]   Better camera. You have a better camera for sure. Yeah, and it will have a
[00:10:14.940 --> 00:10:17.740]   Port that will surprise us all
[00:10:17.740 --> 00:10:21.020]   A lot more
[00:10:21.020 --> 00:10:25.660]   Surprise me. I'd sue the sons of it's gonna have a port that nobody expected
[00:10:25.660 --> 00:10:31.980]   Really do you have any idea what this port will be that display thing? Whatever. Oh many display port
[00:10:31.980 --> 00:10:34.620]   That would be interesting if they did that maybe we do have video
[00:10:34.620 --> 00:10:37.180]   This this just out of China
[00:10:37.540 --> 00:10:41.740]   Let me see if I can put this video up here. This is this is a purportedly
[00:10:41.740 --> 00:10:45.940]   Direct out of China video of the new
[00:10:45.940 --> 00:10:48.620]   iPad
[00:10:48.620 --> 00:10:54.900]   3 let's take a look look at that. It's edge to edge no bezel. Oh, this is where is this this is a this is something that they phoned
[00:10:54.900 --> 00:11:00.140]   Eat up. No, no, no, this is absolutely real. I like this, but it's the you there's the one that hooks entirely fake
[00:11:00.140 --> 00:11:04.020]   Yeah, but watch this watch this look at this here it comes the magnet
[00:11:04.620 --> 00:11:10.380]   Zip and it makes it one big screen now watch this is even it gets even better not buying turn it sideways turn it sideways
[00:11:10.380 --> 00:11:12.620]   Watch this first of all the magnets hold it. Okay?
[00:11:12.620 --> 00:11:16.860]   Beautiful goes sideways. What happens? Let's let's see
[00:11:16.860 --> 00:11:23.660]   Okay, now we're playing football. This is both fiction and pornography now watch this. Oh my god the controls
[00:11:23.660 --> 00:11:25.660]   They're projected at the sides of the screen
[00:11:25.660 --> 00:11:29.980]   And and people believe this
[00:11:29.980 --> 00:11:34.180]   That's what gets nobody believes this is obviously fake, but it's quite good though
[00:11:34.540 --> 00:11:39.460]   This is there this would be yeah, if you they do I'm buying two look at that. It's holographic
[00:11:39.460 --> 00:11:41.460]   They're actually above the screen
[00:11:41.460 --> 00:11:45.140]   Look, there's a goal post and then there's a bowling alley in there
[00:11:45.140 --> 00:11:49.660]   I can't put it in your purse with your tiny dog. That's a pretty amazing video there
[00:11:49.660 --> 00:11:56.540]   They're 3D animators. Obviously that's fake. So what do you think Jolie Odell? What is your prediction?
[00:11:56.540 --> 00:11:58.540]   Let's get you on the Oscar ballot
[00:12:00.020 --> 00:12:06.500]   No, you know, I don't have one. I'm not an apple reporter. I don't use apple products. No, I can't make a prediction
[00:12:06.500 --> 00:12:13.300]   I don't have my magic eight ball with me. She doesn't care is what she's trying to say. I can't make a prediction
[00:12:13.300 --> 00:12:15.660]   I don't know well
[00:12:15.660 --> 00:12:20.040]   I would like to I mean I I do often make predictions, you know, and I'm it's fun to make
[00:12:20.040 --> 00:12:25.260]   It's fun to make a prediction as a woman being always right. So if I know I'm probably not gonna be right
[00:12:25.260 --> 00:12:26.340]   I would take to make a
[00:12:26.340 --> 00:12:32.900]   Smart woman. Yes. Why predict if you can't know Dwight Silverman. Go ahead. Let's see how smarter woman Dwight
[00:12:32.900 --> 00:12:34.900]   Why is not getting a worded edge?
[00:12:34.900 --> 00:12:37.580]   You know, I was I when I was in college
[00:12:37.580 --> 00:12:43.580]   I was writing I was a music critic for the daily tax and I wrote a column predicting that disco was dead
[00:12:43.580 --> 00:12:47.780]   And then a few months later Saturday night fever came out. So I'm really good at
[00:12:47.780 --> 00:12:51.380]   Yes, so I
[00:12:52.420 --> 00:12:56.240]   like the the retina display or at least the double display the
[00:12:56.240 --> 00:12:58.860]   2048 display and I like
[00:12:58.860 --> 00:13:06.940]   the faster processor rumor and I like the I was liking the LTE rumor, but I'm kind of feeling less
[00:13:06.940 --> 00:13:11.340]   Good about that. I don't think there's gonna be LTE in it. I think
[00:13:11.340 --> 00:13:18.740]   We have a store here in Houston a new apple store that's gonna open on the 16th
[00:13:18.740 --> 00:13:26.340]   And they moved it up from the 17th and my suspicion is they did that so they could start selling iPad 3s on that day
[00:13:26.340 --> 00:13:29.180]   so I think it's gonna go on sale and 60 ought to be it and
[00:13:29.180 --> 00:13:31.940]   well, and
[00:13:31.940 --> 00:13:34.020]   Some sources who are pretty good
[00:13:34.020 --> 00:13:41.460]   I think on this one and I would have to say that it is probably I like John's port idea there was a rumor out there about a smaller
[00:13:41.460 --> 00:13:45.700]   Mini Doc that the 30-pin dock is kind of so
[00:13:46.260 --> 00:13:50.820]   Old and clunky technology. I think apples about due to update it
[00:13:50.820 --> 00:13:56.220]   So I could see that that coming as well. All right. I'm gonna tell you the answer you guys obviously answer
[00:13:56.220 --> 00:14:01.620]   I do have one and that is if you just follow the money
[00:14:01.620 --> 00:14:04.740]   You will see that Apple is kind of seeing a lot of heat
[00:14:04.740 --> 00:14:09.100]   No, I'm pun intended from Kindle fire and all those other sub iPad
[00:14:09.100 --> 00:14:15.540]   tablet hybrids I think that they are going to do something to make some sort of iPad cheaper
[00:14:15.540 --> 00:14:19.620]   I don't know if it's gonna be a smaller one you were just seven inch or no
[00:14:19.620 --> 00:14:25.500]   Nope, no dumb version of the iPad - I don't even think they have to do that
[00:14:25.500 --> 00:14:27.500]   I'm going to make something in the
[00:14:27.500 --> 00:14:30.660]   Two to three hundred dollar range with that that's too low. I
[00:14:30.660 --> 00:14:35.660]   Three to four three anything three to four. Yeah, cuz they're Apple. They can charge more
[00:14:35.660 --> 00:14:39.580]   No, they're not going after the Kindle, but they want to provide something slower cost
[00:14:39.580 --> 00:14:45.140]   I think they'll take the existing iPad to reduce it to 350 to $400. That's a significant reduction
[00:14:45.140 --> 00:14:50.160]   I still don't think it would cut into 99 they're not trying to beat the Kindle tonight. It's good price
[00:14:50.160 --> 00:14:56.400]   That's what Knox guy thinks and I think I think he's right. All right. I'm gonna tell you all like this
[00:14:56.400 --> 00:15:00.660]   - 99 I have I have put on my Steve Jobs thinking cap
[00:15:00.660 --> 00:15:04.900]   There will be a written display it'll be 2048 by 1536
[00:15:04.900 --> 00:15:07.840]   That's 2x each way and the reason they do that is so it scales well
[00:15:07.840 --> 00:15:10.880]   That's what they did with the iPhone 4 it's what they'll do with the iPad
[00:15:10.880 --> 00:15:17.740]   I predicted it'll be called the HD not the three because they want to really emphasize this HD now remember Apple for a long time said
[00:15:17.740 --> 00:15:20.560]   It's on a screen that size
[00:15:20.560 --> 00:15:23.680]   1024 768 fine 720p fine. That's age
[00:15:23.680 --> 00:15:28.940]   They're gonna completely reverse that story and say oh no you've got to have 1080p and we've got it
[00:15:28.940 --> 00:15:33.620]   They're gonna push this HD they will announce a new Apple TV HD as well and
[00:15:33.620 --> 00:15:39.400]   The availability of 1080p content in the iTunes store across the board that's gonna be a big push for Apple
[00:15:39.400 --> 00:15:45.200]   So I think they'll call it the iPad HD. I do believe it'll have an 8 megapixel iPhone 4s style camera in it
[00:15:45.200 --> 00:15:48.080]   I'm interested to see if they put Siri in it
[00:15:48.080 --> 00:15:52.860]   I think they might depends on whether their Siri servers can hold up. They haven't been doing very well lately
[00:15:52.860 --> 00:15:55.520]   They will not do LTE you're absolutely right
[00:15:55.520 --> 00:16:01.240]   Dwight for several reasons the international market being one is really not well penetrated in the US
[00:16:01.240 --> 00:16:08.520]   And it really cuts back on battery life and requires a different chip than the cheap and Qualcomm chip that they're using
[00:16:08.520 --> 00:16:15.840]   So I don't think we'll see LTE this time around except except the one the one the one but on that I know what you're gonna say Verizon
[00:16:15.840 --> 00:16:20.000]   But Verizon also the fact that if they're gonna have 1080p
[00:16:20.000 --> 00:16:25.240]   Content they may want to do LTE in order to deliver that because
[00:16:25.240 --> 00:16:31.680]   LTE will can give you faster speeds than a lot of home broadband connections that wire the Wi-Fi is connected to a point
[00:16:31.680 --> 00:16:34.200]   So they that's one possibility for LTE
[00:16:34.200 --> 00:16:38.480]   There's also the fact that Verizon said we're not gonna sell any more stuff that doesn't have LTE
[00:16:38.480 --> 00:16:43.000]   But that might have been a little saber rattling. I don't think they turn away the so how did you combine all these?
[00:16:43.000 --> 00:16:49.040]   I'm not done. No extra ports exactly the same some can some speculation. There wouldn't be a home button. That's BS
[00:16:49.040 --> 00:16:51.040]   There will always be a home button
[00:16:51.040 --> 00:16:52.560]   and
[00:16:52.560 --> 00:16:56.200]   I predict it will be available for the exact same prices existing iPads
[00:16:56.200 --> 00:16:59.360]   They'll cut the iPad to price by about a hundred hundred fifty bucks
[00:16:59.360 --> 00:17:05.640]   And finally and this is the this is the shocker just by the way as contradicts everyone who says is gonna be jacked up a little bit
[00:17:05.640 --> 00:17:10.360]   They're wrong and here's the shocker and I hope you're writing this down kids because we'll know on Wednesday
[00:17:10.360 --> 00:17:14.200]   And I'm gonna be right it will be available Friday March 9th
[00:17:14.200 --> 00:17:17.600]   I
[00:17:17.600 --> 00:17:23.000]   I'm done. I don't think you'll be able to so you just dream this up last night while you're snoring
[00:17:23.000 --> 00:17:26.700]   I mean this is something you've been putting together for a while. I've been thinking about it thinking
[00:17:26.700 --> 00:17:32.040]   So Leah you know, you know, I suspect inside information. I have a little inside of information. No
[00:17:32.480 --> 00:17:36.520]   That's not a prediction that says it'll be available Friday, which is actually very good news
[00:17:36.520 --> 00:17:40.480]   March 9th because that's right. That's like then a couple of days later
[00:17:40.480 --> 00:17:45.040]   And there's a good reason for that they don't want to cannibalize sales of the iPad 2 for any longer
[00:17:45.040 --> 00:17:49.760]   The reason they're gonna wait for 10 days is because they have to get it into the hands of
[00:17:49.760 --> 00:17:54.760]   Mossberg and pog already there shills have it already there
[00:17:59.200 --> 00:18:04.160]   So not yet they don't give them to him till after the talk to the launch announcement
[00:18:04.160 --> 00:18:10.080]   Then they give it to him. I'd be willing to bet that day and date they will have a review in the Wall Street Journal
[00:18:10.080 --> 00:18:14.000]   The New York Times USA Today not in the Houston Chronicle
[00:18:14.000 --> 00:18:20.800]   Not on channel devorex.com and definitely not on quit
[00:18:20.800 --> 00:18:26.400]   All right, that's not important, you know, they everyone makes a big deal about being the first out of the shoot
[00:18:26.400 --> 00:18:32.560]   I'd rather have a good thorough review than a first review by some guy who's obviously been
[00:18:32.560 --> 00:18:40.800]   Compromised in the process exactly ours technique. I always wait John Syracuse. It has great reviews online. They're on OS 10
[00:18:40.800 --> 00:18:47.320]   They're very good. I think in their long form reviews. Andy and Naka will do a very good long form review a week or two later as well
[00:18:47.320 --> 00:18:52.400]   That's the big story. We're gonna take a break come back because the other big story is of course windows 8
[00:18:53.200 --> 00:18:55.760]   At for oddly enough at mobile world Congress
[00:18:55.760 --> 00:18:59.280]   Microsoft shipped the consumer preview of windows 8
[00:18:59.280 --> 00:19:04.920]   Um and I think it's great, but John said it is great
[00:19:04.920 --> 00:19:10.360]   He's so I only think it's great because I can would you like something or is there a bug in your chowder? Oh, okay?
[00:19:10.360 --> 00:19:16.240]   There you go. That's a good fiance the bugga. You sure that wasn't from the HP
[00:19:16.240 --> 00:19:18.960]   buggy product
[00:19:19.200 --> 00:19:25.520]   You're a bad man John keep on you smoke them. She got him everybody. I want to say hello to our good friends at carbonite
[00:19:25.520 --> 00:19:34.360]   Dot com backup done right. What does that mean? I say it all the time? It's very simple in my opinion any backup solution has to be automatic
[00:19:34.360 --> 00:19:35.960]   You can't have to think about it
[00:19:35.960 --> 00:19:39.840]   It has to happen all the time because if it only backs up once a week on a schedule
[00:19:39.840 --> 00:19:42.880]   What happens in the middle of the week when you lose everything you've lost days worth the work?
[00:19:42.880 --> 00:19:45.280]   Nope continuous backup
[00:19:45.280 --> 00:19:48.520]   What else would I want to see I'd want to see it encrypted so nobody can see it?
[00:19:49.120 --> 00:19:54.680]   Also the transmission should be SSL right yeah should go to the cloud not next to my computer
[00:19:54.680 --> 00:19:55.920]   It's good to have it back up next to you Peter
[00:19:55.920 --> 00:19:59.640]   But you know if a fire flood somebody breaks and steals everything you can't have it's just sitting there
[00:19:59.640 --> 00:20:01.480]   You want it somewhere safe in the cloud?
[00:20:01.480 --> 00:20:06.520]   That's what carbonite does and the best of all is they do that at a really really low price
[00:20:06.520 --> 00:20:08.520]   I don't think anybody can give you a better price in carbonite
[00:20:08.520 --> 00:20:13.520]   Everything on your internal drive for less than five bucks a month 59 dollars a year
[00:20:14.120 --> 00:20:19.360]   They also have plans for multiple drives external drives multiple computers small businesses
[00:20:19.360 --> 00:20:23.920]   Visit carbonite comm and take a look and then when you decide you want to give it a try there
[00:20:23.920 --> 00:20:28.600]   It is right there you see they try the home free of the business free you get it free for 15 days
[00:20:28.600 --> 00:20:31.720]   which is usually enough for that first backup and and
[00:20:31.720 --> 00:20:35.320]   You don't even need a credit card. You just need the offer code TWIT
[00:20:35.320 --> 00:20:39.920]   Right there. What says offer code TW IT just do that 15 days of carbonite
[00:20:39.920 --> 00:20:43.920]   I like a company that believes in itself well enoughs to say hey try it free
[00:20:43.920 --> 00:20:46.560]   We're not even gonna get your credit card. Just give it a shot
[00:20:46.560 --> 00:20:52.840]   And if you like it, we know you'll come back besides if you decide to buy after the two-week trial use TWIT again
[00:20:52.840 --> 00:20:59.200]   You'll get 14 months for the price of 12 that is a very very good deal carbonite. You got to back it up to get it back
[00:20:59.200 --> 00:21:01.560]   Do it right
[00:21:01.560 --> 00:21:03.360]   carbonite
[00:21:03.360 --> 00:21:06.200]   Yeah, as Kane says with a new eco boost engine
[00:21:06.200 --> 00:21:09.080]   Kane Kane's got it all mushed together in his mind
[00:21:09.720 --> 00:21:11.720]   Windows 8
[00:21:11.720 --> 00:21:14.560]   first of all I
[00:21:14.560 --> 00:21:17.160]   Don't I wish I had it on this machine
[00:21:17.160 --> 00:21:22.200]   Did you if you installed it on anything I have I put it on my machine in the other room and I have it at home
[00:21:22.200 --> 00:21:23.280]   But I don't have it on a machine here
[00:21:23.280 --> 00:21:28.400]   So I can't show you but if you've seen the metro interface on a windows phone if you've seen the developer preview
[00:21:28.400 --> 00:21:33.520]   They released a few months ago. It looks pretty much the same big tiles looks the same no start button
[00:21:33.520 --> 00:21:37.640]   It's a start screen and you can still find the little thing if you dig around you go to the desktop one
[00:21:37.640 --> 00:21:42.480]   I still even on the desktop. There's no start button, but you can go down and hover and you can still you know
[00:21:42.480 --> 00:21:46.360]   Many of the features that people were used to Windows 7 will
[00:21:46.360 --> 00:21:50.600]   Probably be able to find there's a there's a still a run command. There's still a command line
[00:21:50.600 --> 00:21:55.560]   There's the console, you know system management console all those things under the hood
[00:21:55.560 --> 00:22:01.760]   But really they're focused on this tablet interface the metro interface. I know John's gonna say something
[00:22:01.760 --> 00:22:05.880]   So let's let's go this way this time and let Dwight start with all right. What do you think?
[00:22:06.280 --> 00:22:11.960]   Well, it's you're right. It's very much like the developer preview and it's clearly Microsoft
[00:22:11.960 --> 00:22:15.240]   Trying to make the tablet
[00:22:15.240 --> 00:22:22.560]   Environment and the desktop environment cohesive so you could move back and forth between one and the two of them one of the frustrating things
[00:22:22.560 --> 00:22:28.160]   I found about using it is that it's kind of jarring going back and forth between metro and
