;FFMETADATA1
title=Like a Fine Cheese
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=472
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.340]   It's time for "Twit!"
[00:03:55.920 --> 00:03:57.080]   You look great.
[00:03:57.080 --> 00:04:01.560]   Tim, did you-- I didn't see you at the community center this afternoon.
[00:04:01.560 --> 00:04:04.080]   I'll see you there later for shuffleboard.
[00:04:04.080 --> 00:04:04.600]   Yeah.
[00:04:04.600 --> 00:04:06.440]   I wasn't sure what time the co-op opened today,
[00:04:06.440 --> 00:04:07.240]   so I wanted to get there.
[00:04:07.240 --> 00:04:08.240]   Bingo.
[00:04:08.240 --> 00:04:08.760]   A little later.
[00:04:08.760 --> 00:04:11.120]   Right, but tonight is pot luck, so you'll need to bring--
[00:04:11.120 --> 00:04:14.440]   are you going to bring some of your fabulous biscuits and--
[00:04:14.440 --> 00:04:14.960]   Absolutely.
[00:04:14.960 --> 00:04:18.480]   And we've got some fresh honey today as well for the high.
[00:04:18.480 --> 00:04:19.800]   And that is actually not all the way up.
[00:04:19.800 --> 00:04:22.920]   That concludes the fire report on this edition.
[00:04:22.920 --> 00:04:24.120]   Twig.
[00:04:24.120 --> 00:04:25.760]   Now, I'm glad you guys are on vacation.
[00:04:25.760 --> 00:04:27.200]   This is the time to be on vacation.
[00:04:27.200 --> 00:04:28.080]   It's a slow time.
[00:04:28.080 --> 00:04:31.080]   And, Tekken, we're about to head into a very busy time
[00:04:31.080 --> 00:04:34.640]   because September 4th, Motorola's going to make its announcement.
[00:04:34.640 --> 00:04:37.320]   September 9th, of course, the Apple announcements.
[00:04:37.320 --> 00:04:38.720]   So now is the slow period.
[00:04:38.720 --> 00:04:40.240]   We all just kind of--
[00:04:40.240 --> 00:04:43.520]   let's be honest, you had to find three people who were not
[00:04:43.520 --> 00:04:44.720]   at Burning Man.
[00:04:44.720 --> 00:04:47.400]   Oh, wow.
[00:04:47.400 --> 00:04:48.800]   I don't know.
[00:04:48.800 --> 00:04:53.920]   Burning Man is, I guess, now gentrified, some have said,
[00:04:53.920 --> 00:04:57.680]   by all the tech executives who fly in via helicopter
[00:04:57.680 --> 00:05:01.520]   or drive in and customized buses and air streams.
[00:05:01.520 --> 00:05:01.920]   I don't know.
[00:05:01.920 --> 00:05:03.560]   I've never been to Burning Man.
[00:05:03.560 --> 00:05:04.720]   Well, I shouldn't-- I take it back.
[00:05:04.720 --> 00:05:06.960]   I haven't been to Burning Man since it happened
[00:05:06.960 --> 00:05:12.240]   on Ocean Beach in San Francisco, which is many, many years ago.
[00:05:12.240 --> 00:05:13.320]   Yeah.
[00:05:13.320 --> 00:05:14.320]   It's now in the desert.
[00:05:14.320 --> 00:05:16.920]   So now you-- any hankering to go?
[00:05:16.920 --> 00:05:18.880]   Tim, have you ever been to Burning Man?
[00:05:18.880 --> 00:05:20.000]   No, I've never been.
[00:05:20.000 --> 00:05:21.960]   I've talked with the Miriam Jouar quite a few times
[00:05:21.960 --> 00:05:22.960]   about her experiences there.
[00:05:22.960 --> 00:05:24.360]   And it always sounds like a hell of a show.
[00:05:24.360 --> 00:05:26.600]   But I don't know if it's exactly my cup of tea.
[00:05:26.600 --> 00:05:27.920]   It'd be good to visit, I think, for a day.
[00:05:27.920 --> 00:05:31.720]   But I don't know if I'd want to do a whole week right there.
[00:05:31.720 --> 00:05:33.960]   They're going up-- actually, a lot of people--
[00:05:33.960 --> 00:05:37.000]   a lot of the day visitors go later.
[00:05:37.000 --> 00:05:38.000]   It's a Labor Day weekend.
[00:05:38.000 --> 00:05:41.040]   The people who are going now are building stuff, right?
[00:05:41.040 --> 00:05:41.720]   Yeah, yeah.
[00:05:41.720 --> 00:05:43.600]   There's some amazing buildings that they put up out there.
[00:05:43.600 --> 00:05:45.960]   And I love watching the videos of all the sculptures
[00:05:45.960 --> 00:05:46.720]   and everything like that.
[00:05:46.720 --> 00:05:51.080]   But yeah, that's a long time to be in the desert for me.
[00:05:51.080 --> 00:05:54.400]   There's also many, many parties that are world-class.
[00:05:54.400 --> 00:05:57.600]   A lot of creative people go there to experiment
[00:05:57.600 --> 00:05:58.560]   with a performance.
[00:05:58.560 --> 00:06:00.400]   The orgy tent.
[00:06:00.400 --> 00:06:01.080]   Yeah.
[00:06:01.080 --> 00:06:02.080]   Well, there's that too.
[00:06:02.080 --> 00:06:03.080]   Yeah, it was going to go to the orgy tent.
[00:06:03.080 --> 00:06:04.600]   It was going to go to the orgy tent this year.
[00:06:04.600 --> 00:06:08.360]   I think all the twins put it to the orgy tent.
[00:06:08.360 --> 00:06:09.000]   We could have a--
[00:06:09.000 --> 00:06:11.360]   Well, that's the reason people go to Burning Man.
[00:06:11.360 --> 00:06:11.960]   I know why.
[00:06:11.960 --> 00:06:14.360]   I know why they go there to use drugs
[00:06:14.360 --> 00:06:17.000]   and have sexual relations.
[00:06:17.000 --> 00:06:17.560]   Some people--
[00:06:17.560 --> 00:06:19.040]   No, I've read that go there.
[00:06:19.040 --> 00:06:20.800]   Actually, there's the last thing you'd want to do.
[00:06:20.800 --> 00:06:23.880]   It's full of alkaloid sand.
[00:06:23.880 --> 00:06:24.480]   Yeah.
[00:06:24.480 --> 00:06:25.480]   Chasing.
[00:06:25.480 --> 00:06:27.200]   I misread the invitation, though.
[00:06:27.200 --> 00:06:27.960]   It said orgy tent.
[00:06:27.960 --> 00:06:29.760]   I thought it said ho-gee tent.
[00:06:29.760 --> 00:06:31.760]   Now that I go to.
[00:06:31.760 --> 00:06:32.680]   And I love a good ho-ge.
[00:06:32.680 --> 00:06:33.680]   That's--
[00:06:33.680 --> 00:06:36.240]   Our mutual first trade red cliff invited me to go--
[00:06:36.240 --> 00:06:37.280]   Trade love photography.
[00:06:37.280 --> 00:06:39.800]   And that aspect of it would have been appealing to me.
[00:06:39.800 --> 00:06:42.000]   I don't know that I could justify telling Fox, though.
[00:06:42.000 --> 00:06:43.000]   No.
[00:06:43.000 --> 00:06:43.200]   I'm going to go.
[00:06:43.200 --> 00:06:45.480]   I think you'd lose your credentials if you went.
[00:06:45.480 --> 00:06:47.400]   Although if you go, you should wear a nice suit,
[00:06:47.400 --> 00:06:50.480]   the British collar that you wear, the tie,
[00:06:50.480 --> 00:06:52.360]   real red tie, blue suit, white shirt.
[00:06:52.360 --> 00:06:54.320]   You'd fit right in.
[00:06:54.320 --> 00:06:55.160]   And no pants.
[00:06:55.160 --> 00:06:57.640]   And no pants.
[00:06:57.640 --> 00:06:58.560]   You know what?
[00:06:58.560 --> 00:07:00.440]   That might work.
[00:07:00.440 --> 00:07:01.400]   That would work out there.
[00:07:01.400 --> 00:07:01.960]   That might work.
[00:07:01.960 --> 00:07:05.320]   And ride around on a giant ferris wheel or a unicycle.
[00:07:05.320 --> 00:07:07.040]   So the results are in.
[00:07:07.040 --> 00:07:11.040]   And Twitter won the internet this week.
[00:07:11.040 --> 00:07:14.880]   The earthquake that hit the San Francisco Bay Area at 3.21
[00:07:14.880 --> 00:07:17.280]   this morning woke up.
[00:07:17.280 --> 00:07:21.160]   Apparently, every startup entrepreneur in the--
[00:07:21.160 --> 00:07:22.720]   every Twitter user in my--
[00:07:22.720 --> 00:07:24.120]   I tell you, the first thing I did after,
[00:07:24.120 --> 00:07:26.880]   I jumped out of bed shouting earthquake
[00:07:26.880 --> 00:07:29.640]   and ran around in circles as I pulled out the smartphone
[00:07:29.640 --> 00:07:32.000]   and looked at Twitter.
[00:07:32.000 --> 00:07:34.040]   There was nothing on Google+, there was nothing on--
[00:07:34.040 --> 00:07:36.920]   well, Facebook, there was a lot of people doing the ALS ice
[00:07:36.920 --> 00:07:38.760]   bucket challenge three days ago.
[00:07:38.760 --> 00:07:40.960]   And then Twitter was all about the earthquake.
[00:07:40.960 --> 00:07:45.720]   I got the magnitude, the epicenter, almost instantly.
[00:07:45.720 --> 00:07:49.160]   What you didn't see-- because I Facebooked first
[00:07:49.160 --> 00:07:51.120]   and then tweeted, and several people
[00:07:51.120 --> 00:07:53.840]   said I was the first one to tweet.
[00:07:53.840 --> 00:07:56.360]   I was still writing when the house was shaking.
[00:07:56.360 --> 00:07:57.640]   So on both.
[00:07:57.640 --> 00:07:59.680]   Oh, bully for you.
[00:07:59.680 --> 00:08:01.240]   Because that's what we do.
[00:08:01.240 --> 00:08:03.680]   We don't care about saving our lives.
[00:08:03.680 --> 00:08:07.360]   We care about getting the first tweet out.
[00:08:07.360 --> 00:08:11.000]   So while the futon was shaking, you were tweeting.
[00:08:11.000 --> 00:08:11.840]   Exactly.
[00:08:11.840 --> 00:08:14.440]   Dude, what was your first tweet?
[00:08:14.440 --> 00:08:15.640]   I said big earthquake.
[00:08:15.640 --> 00:08:16.360]   Big earthquake.
[00:08:16.360 --> 00:08:18.000]   Big earthquake was my first one on Facebook.
[00:08:18.000 --> 00:08:21.120]   And then big earthquake woke me up was my tweet.
[00:08:21.120 --> 00:08:24.400]   And well, I just had a curiosity.
[00:08:24.400 --> 00:08:27.840]   Within a minute, because I put both screens up,
[00:08:27.840 --> 00:08:32.080]   within a minute, my entire Facebook feed was the earthquake.
[00:08:32.080 --> 00:08:34.320]   And my entire Twitter feed was the earthquake.
[00:08:34.320 --> 00:08:37.000]   So it depends on who you followed, who you've
[00:08:37.000 --> 00:08:40.640]   lied to, you've taught the engine that you want to see.
[00:08:40.640 --> 00:08:43.080]   And even what you've put into the engine--
[00:08:43.080 --> 00:08:46.760]   so I bet it saw that I'm interested in an earthquake
[00:08:46.760 --> 00:08:49.960]   because I posted something about earthquake.
[00:08:49.960 --> 00:08:52.160]   And it brought me a whole bunch of stuff immediately.
[00:08:52.160 --> 00:08:54.360]   It was pretty interesting.
[00:08:54.360 --> 00:08:57.120]   Facebook's algorithm baffles me.
[00:08:57.120 --> 00:09:00.080]   I cannot figure out-- and I've complained about before,
[00:09:00.080 --> 00:09:01.760]   you said, I should come over and show you
[00:09:01.760 --> 00:09:04.040]   how to get Facebook working.
[00:09:04.040 --> 00:09:06.440]   I have yet to-- in fact, I was trying
[00:09:06.440 --> 00:09:10.400]   to find the picture of you in my studio on Facebook.
[00:09:10.400 --> 00:09:11.600]   I saw it immediately.
[00:09:11.600 --> 00:09:12.360]   And then it disappeared.
[00:09:12.360 --> 00:09:13.240]   And I never found it again.
[00:09:13.240 --> 00:09:16.040]   I actually have to go to your page to find it now.
[00:09:16.040 --> 00:09:16.440]   Yeah.
[00:09:16.440 --> 00:09:20.160]   I can't figure out how it works at all.
[00:09:20.160 --> 00:09:22.040]   It doesn't work.
[00:09:22.040 --> 00:09:24.600]   You're supposed to read it and then click like.
[00:09:24.600 --> 00:09:27.280]   And then it'll show you something else.
[00:09:27.280 --> 00:09:29.560]   And as Matt Houghton showed, if you like everything,
[00:09:29.560 --> 00:09:31.640]   it's going to go haywire.
[00:09:31.640 --> 00:09:33.400]   Or if you like nothing, right?
[00:09:33.400 --> 00:09:34.000]   Maybe that's it.
[00:09:34.000 --> 00:09:37.560]   So you think I don't like enough if I liked more stuff?
[00:09:37.560 --> 00:09:41.360]   It's what things you've liked, who your friends are,
[00:09:41.360 --> 00:09:43.120]   who you put on close friends list,
[00:09:43.120 --> 00:09:45.440]   and who you put on acquaintance list.
[00:09:45.440 --> 00:09:47.480]   Because if you put somebody in a close friends list,
[00:09:47.480 --> 00:09:48.840]   you'll see more items from them.
[00:09:48.840 --> 00:09:51.000]   So you're actually on my close friends list
[00:09:51.000 --> 00:09:53.800]   because I want to see every time you talk about Twitter
[00:09:53.800 --> 00:09:56.480]   or something, right?
[00:09:56.480 --> 00:09:58.480]   Close friends list.
[00:09:58.480 --> 00:09:59.200]   Yeah.
[00:09:59.200 --> 00:10:00.000]   OK.
[00:10:00.000 --> 00:10:01.040]   That doesn't mean that--
[00:10:01.040 --> 00:10:01.760]   I'm actually a little bit--
[00:10:01.760 --> 00:10:02.760]   I'm going to watch Facebook lately.
[00:10:02.760 --> 00:10:03.800]   It has been getting better.
[00:10:03.800 --> 00:10:07.360]   The more I hide, I find the more focused my news feed gets.
[00:10:07.360 --> 00:10:07.880]   There you go.
[00:10:07.880 --> 00:10:11.080]   So it takes you really kind of cultivating it
[00:10:11.080 --> 00:10:12.760]   to get it to be any good.
[00:10:12.760 --> 00:10:14.960]   But they do not expose how you do it.
[00:10:14.960 --> 00:10:16.880]   I mean, they don't say, oh, this is what you should do.
[00:10:16.880 --> 00:10:17.800]   Oh, no, no, no, no.
[00:10:17.800 --> 00:10:22.040]   Because it's trying to study your emotional attachment
[00:10:22.040 --> 00:10:26.440]   to things, to content, to places, to people.
[00:10:26.440 --> 00:10:30.920]   And so I'm giving it a more signal than most human beings.
[00:10:30.920 --> 00:10:33.280]   When you haven't given enough signal,
[00:10:33.280 --> 00:10:34.440]   it doesn't really work that way.
[00:10:34.440 --> 00:10:35.400]   So here's my question.
[00:10:35.400 --> 00:10:38.440]   I see this post from Julio Ojeda Zapata.
[00:10:38.440 --> 00:10:41.320]   Great journalist at the Minneapolis or Minnesota Twin
[00:10:41.320 --> 00:10:42.160]   Press.
[00:10:42.160 --> 00:10:43.360]   And it's of salsa dancing.
[00:10:43.360 --> 00:10:45.760]   Now, if I like this, what is the signal?
[00:10:45.760 --> 00:10:47.600]   Am I sending a signal that I like salsa dancing?
[00:10:47.600 --> 00:10:49.840]   Am I sending a signal I like Julio?
[00:10:49.840 --> 00:10:50.880]   You like Julio?
[00:10:50.880 --> 00:10:52.200]   You like salsa dancing?
[00:10:52.200 --> 00:10:54.640]   You like videos?
[00:10:54.640 --> 00:11:00.120]   Every one of them is a little tiny vote for more of that.
[00:11:00.120 --> 00:11:02.640]   How do I vote for less of this?
[00:11:02.640 --> 00:11:03.640]   Click hide.
[00:11:03.640 --> 00:11:05.200]   So they're over on the right side.
[00:11:05.200 --> 00:11:06.320]   There's a little button.
[00:11:06.320 --> 00:11:07.440]   But this is my problem.
[00:11:07.440 --> 00:11:12.560]   Am I hiding Julio?
[00:11:12.560 --> 00:11:15.800]   No, you're hiding that specific post.
[00:11:15.800 --> 00:11:17.160]   And you watch the signal.
[00:11:17.160 --> 00:11:19.280]   Is it going to give me less Julio?
[00:11:19.280 --> 00:11:21.760]   You're going to see maybe less salsa dancing.
[00:11:21.760 --> 00:11:24.960]   So it might-- you don't know how it works.
[00:11:24.960 --> 00:11:28.720]   But you admit this, you are guessing.
[00:11:28.720 --> 00:11:30.600]   I know that it's a signal that--
[00:11:30.600 --> 00:11:32.680]   Do you have to stand on the--
[00:11:32.680 --> 00:11:34.160]   Clue!
[00:11:34.160 --> 00:11:35.560]   They are watching the conference.
[00:11:35.560 --> 00:11:36.640]   I know they're watching.
[00:11:36.640 --> 00:11:39.480]   But do you have any clue what any of this is doing?
[00:11:39.480 --> 00:11:40.920]   Don't look behind the curtain, gentlemen.
[00:11:40.920 --> 00:11:42.640]   Quite a bit.
[00:11:42.640 --> 00:11:43.760]   Quite a bit.
[00:11:43.760 --> 00:11:44.680]   Here's an example.
[00:11:44.680 --> 00:11:49.160]   If I post a family photo, the first people to like it
[00:11:49.160 --> 00:11:51.760]   are almost always my family members.
[00:11:51.760 --> 00:11:55.640]   And if I post something like I'm on Twitch, like I just did,
[00:11:55.640 --> 00:11:59.520]   it goes to a more general audience, and it goes further.
[00:11:59.520 --> 00:12:02.000]   So it's keeping track of the kind of content
[00:12:02.000 --> 00:12:04.920]   that you click like on and hide, and it's
[00:12:04.920 --> 00:12:06.080]   trying to bring you more--
[00:12:06.080 --> 00:12:06.840]   I disagree.
[00:12:06.840 --> 00:12:08.600]   I don't see how Facebook could possibly
[00:12:08.600 --> 00:12:12.160]   distinguish between a post about family members
[00:12:12.160 --> 00:12:14.240]   or a post family member to be interested in.
[00:12:14.240 --> 00:12:17.000]   How does it know your family's not named Twitch?
[00:12:17.000 --> 00:12:18.520]   Because they're all on my list.
[00:12:18.520 --> 00:12:21.160]   I put them all on my family list.
[00:12:21.160 --> 00:12:23.480]   What if you call a family member a Twitter?
[00:12:23.480 --> 00:12:25.920]   Yeah, exactly.
[00:12:25.920 --> 00:12:27.920]   But here-- Robert, I don't want to steal your feed.
[00:12:27.920 --> 00:12:28.920]   I don't know.
[00:12:28.920 --> 00:12:30.520]   No, there's a family list over here.
[00:12:30.520 --> 00:12:31.680]   Yeah.
[00:12:31.680 --> 00:12:35.120]   You clicked family, and there's 32 people on that.
[00:12:35.120 --> 00:12:35.840]   So those--
[00:12:35.840 --> 00:12:37.600]   My Facebook knows that these people--
[00:12:37.600 --> 00:12:39.800]   Well, OK, now I never see her stuff,
[00:12:39.800 --> 00:12:43.040]   because she's on my family list, and I've taught my main feed
[00:12:43.040 --> 00:12:45.080]   not to show me her stuff, or my brother's--
[00:12:45.080 --> 00:12:45.600]   Wait a minute.
[00:12:45.600 --> 00:12:46.720]   Tavern, right?
[00:12:46.720 --> 00:12:46.920]   Wait a minute.
[00:12:46.920 --> 00:12:49.280]   I don't see-- look, there's a cat photo.
[00:12:49.280 --> 00:12:51.040]   I never see cat photos on my main feed.
[00:12:51.040 --> 00:12:51.920]   You're drunk, Robert.
[00:12:51.920 --> 00:12:53.200]   This makes no sense.
[00:12:53.200 --> 00:12:56.400]   You're saying I don't see her because she's on my family list,
[00:12:56.400 --> 00:12:57.520]   but I see more family.
[00:12:57.520 --> 00:12:58.720]   I don't understand.
[00:12:58.720 --> 00:12:59.320]   Because it--
[00:12:59.320 --> 00:13:01.320]   Right, isn't that precisely what you want to see more on?
[00:13:01.320 --> 00:13:02.320]   --to see more on.
[00:13:02.320 --> 00:13:05.040]   It's building a contextual system that is studying
[00:13:05.040 --> 00:13:07.800]   how to get news to you, route news to you,
[00:13:07.800 --> 00:13:11.160]   and it's trying to pick the best 30 things to show you
[00:13:11.160 --> 00:13:12.240]   right now, right?
[00:13:12.240 --> 00:13:13.240]   Actually, I take it back here.
[00:13:13.240 --> 00:13:13.800]   So look at my name.
[00:13:13.800 --> 00:13:14.400]   You're not drunk.
[00:13:14.400 --> 00:13:16.120]   Facebook is drunk.
[00:13:16.120 --> 00:13:19.000]   Now, here, I don't want to see this kind of post,
[00:13:19.000 --> 00:13:20.520]   so I hide that, right?
[00:13:20.520 --> 00:13:22.960]   Now I see a gig of own post.
[00:13:22.960 --> 00:13:25.600]   I see Eric, who runs Pebble Watch.
[00:13:25.600 --> 00:13:29.160]   I see Francisco, who does conferences for executives.
[00:13:29.160 --> 00:13:31.560]   I see Steve Jurbitson, who's not only a neighbor.
[00:13:31.560 --> 00:13:33.560]   Is this all stuff you want to see?
[00:13:33.560 --> 00:13:35.760]   Yes, this is all pretty high quality.
[00:13:35.760 --> 00:13:37.840]   How do you know that other stuff you want to see
[00:13:37.840 --> 00:13:38.920]   is not on there?
[00:13:38.920 --> 00:13:42.160]   Because I can use a list to see all of it.
[00:13:42.160 --> 00:13:44.800]   And when I click on my acquaintance list, for instance,
[00:13:44.800 --> 00:13:46.320]   I see all my acquaintances.
[00:13:46.320 --> 00:13:47.840]   You know, you're the only person in the world
[00:13:47.840 --> 00:13:49.280]   who's done this much less--
[00:13:49.280 --> 00:13:50.120]   It worked.
[00:13:50.120 --> 00:13:52.040]   That's why I know it's so great.
[00:13:52.040 --> 00:13:54.720]   I mean, don't you think that that much curation--
[00:13:54.720 --> 00:13:57.560]   no way in the world, the average user of Facebook
[00:13:57.560 --> 00:13:59.560]   is doing this much curation like you do.
[00:13:59.560 --> 00:14:00.040]   That's true.
[00:14:00.040 --> 00:14:03.640]   You do this on Google+, you do this on Twitter.
[00:14:03.640 --> 00:14:06.560]   My signals are helping the engine learn
[00:14:06.560 --> 00:14:09.000]   because the way Gmail's filters work,
[00:14:09.000 --> 00:14:12.120]   the way the machine learning on Facebook works,
[00:14:12.120 --> 00:14:15.880]   if I teach it how to create a good feed--
[00:14:15.880 --> 00:14:18.880]   and there's a whole team working on this at Facebook,
[00:14:18.880 --> 00:14:22.360]   they're trying to pick the right thing for the right person
[00:14:22.360 --> 00:14:24.680]   at the right time.
[00:14:24.680 --> 00:14:27.400]   If I help that engine by liking things,
[00:14:27.400 --> 00:14:29.320]   it brings more things into your view as well.
[00:14:29.320 --> 00:14:31.000]   It feels to me like a pinball game.
[00:14:31.000 --> 00:14:32.600]   You like something, then something else comes
[00:14:32.600 --> 00:14:33.960]   and you get too much of that.
[00:14:33.960 --> 00:14:36.120]   It doesn't ever seem to really suit, as far as I know.
[00:14:36.120 --> 00:14:37.400]   It does get better.
