;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[00:05:31.080 --> 00:05:34.960]   everybody from Microsoft talking about how this acquisition of
[00:05:34.960 --> 00:05:41.400]   Activision wouldn't harm gaming and and all of that the judge said yeah
[00:05:41.400 --> 00:05:43.840]   FTC sorry you got no case
[00:05:43.840 --> 00:05:47.280]   FTC was looking for a an injunction a temporary
[00:05:47.280 --> 00:05:54.000]   restraining order to keep Microsoft from making the acquisition before the August hearing from an administrative judge
[00:05:54.000 --> 00:05:59.580]   FTC appealed and as expected lost like instantly
[00:06:00.580 --> 00:06:03.580]   It's over basically right
[00:06:03.580 --> 00:06:08.220]   Yeah, I mean technically the appeal is still out there
[00:06:08.220 --> 00:06:10.780]   and it could go through
[00:06:10.780 --> 00:06:16.180]   Would they go to the Supreme Court with the FTC go to the Supreme isn't that what's next the nights are going to win it?
[00:06:16.180 --> 00:06:17.580]   They're not no yeah
[00:06:17.580 --> 00:06:22.140]   I mean they're not going to win it and even if you know Microsoft closes the deal at this point them
[00:06:22.140 --> 00:06:25.100]   Was it FTC going to try to break them apart?
[00:06:25.660 --> 00:06:31.760]   Find them, you know, it's just this was politically unpopular Linda Kahn went in front of Congress
[00:06:31.760 --> 00:06:34.500]   Congressional oversight committee this week
[00:06:34.500 --> 00:06:40.940]   Granted Republican controlled she's appointed by a Democrat such as the natural politics going on there
[00:06:40.940 --> 00:06:41.580]   but
[00:06:41.580 --> 00:06:47.100]   They brought up a couple legit questions like you you know got your butt handed to you in court
[00:06:47.100 --> 00:06:53.540]   Like flat out like why are you appealing this and wasting taxpayer money and you know she was asked
[00:06:54.100 --> 00:06:56.660]   Kind of rhetorically, but you know should you know?
[00:06:56.660 --> 00:07:02.780]   Are you bringing court cases that you know we're going to lose and of course like no, you know, of course not but it's like
[00:07:02.780 --> 00:07:06.460]   that decision by the judge earlier on the
[00:07:06.460 --> 00:07:09.020]   injunction was
[00:07:09.020 --> 00:07:15.020]   You know flat out obvious it there was no like wiggle room for them. There was no like little
[00:07:15.020 --> 00:07:21.060]   Bit of light, you know saying that like well if you just showed this right I might have considered it
[00:07:21.060 --> 00:07:27.620]   It was just completely shut down and so the only way appeals go through is if you can demonstrate that there were some kind of
[00:07:27.620 --> 00:07:30.340]   judiciary issue, you know
[00:07:30.340 --> 00:07:31.820]   the
[00:07:31.820 --> 00:07:36.180]   prosecution withheld something that defense didn't have something like you have to show something was wrong
[00:07:36.180 --> 00:07:38.100]   But there was nothing wrong in this case
[00:07:38.100 --> 00:07:44.020]   So it was even funny that they appealed and yeah, so now the injunction, you know is it not gonna happen
[00:07:44.020 --> 00:07:46.740]   It looks like mark or something is going to close the deal
[00:07:46.740 --> 00:07:48.300]   They were supposed to close it well
[00:07:48.300 --> 00:07:50.300]   They're gonna be closing it this week in the next couple days
[00:07:50.300 --> 00:07:54.100]   And that's when we the FTC their behavior kind of like
[00:07:54.100 --> 00:08:00.180]   They knew they were trying to trip up the closing date because we're this to fail
[00:08:00.180 --> 00:08:07.620]   Microsoft would be on the hook for three billion dollars were to not go through it the break out of the yeah, right
[00:08:07.620 --> 00:08:11.260]   Yeah, yeah, and so
[00:08:11.260 --> 00:08:14.780]   It looks like they're gonna go through the only thing now is the UK
[00:08:15.260 --> 00:08:21.740]   The UK still an issue, but even that went from we made our decision. That's it too. Well, I
[00:08:21.740 --> 00:08:26.060]   Guess now will maybe take some concessions a few more
[00:08:26.060 --> 00:08:32.380]   Negotiations here and there because those are the only two was the UK and the United States the rest of the world was like yep fine
[00:08:32.380 --> 00:08:38.100]   All right, you know and Microsoft was very proactive in making concessions and trying to say listen
[00:08:38.100 --> 00:08:40.980]   We're not going to keep calm duty off of like PlayStation
[00:08:40.980 --> 00:08:43.740]   You know, we're going to play fair with these
[00:08:44.700 --> 00:08:46.700]   It was a weird case because
[00:08:46.700 --> 00:08:53.380]   Microsoft is like a distant third and I quit the Activision Blizzard. They may have a shot at number two
[00:08:53.380 --> 00:09:00.220]   May and every every country in the world had already approved including Japan Sony's home nation. Yeah, it said go ahead
[00:09:00.220 --> 00:09:07.220]   I mean, it's reasonable for anti trust regulators to look at it. It was a very big
[00:09:07.220 --> 00:09:10.420]   acquisition and it
[00:09:10.420 --> 00:09:13.020]   Microsoft was quick to say oh, we're still number three
[00:09:13.620 --> 00:09:16.700]   But it made them a lot bigger in gaming
[00:09:16.700 --> 00:09:19.860]   Sure, and I and you know and it
[00:09:19.860 --> 00:09:22.740]   The argument that oh
[00:09:22.740 --> 00:09:26.900]   Lena Khan keeps bringing cases and losing cases she lost against meta
[00:09:26.900 --> 00:09:32.020]   Trying to keep them from buying that fitness app with from within
[00:09:32.020 --> 00:09:34.500]   I
[00:09:34.500 --> 00:09:38.580]   Think you could make the argument that even the threat of
[00:09:39.740 --> 00:09:45.300]   This action is enough to keep companies a little bit careful, and I don't think that's a bad thing
[00:09:45.300 --> 00:09:48.140]   Yeah, I mean the last time a
[00:09:48.140 --> 00:09:54.820]   Vertical merger like this happened. I think a well-timed right it didn't go so well
[00:09:54.820 --> 00:09:58.260]   I definitely want regulators to at least keep their eye on
[00:09:58.260 --> 00:10:04.060]   Acquisitions like this. Yeah, it is also the case though that this is why they wanted the injunction
[00:10:04.460 --> 00:10:10.660]   Once the acquisition happens is a lot harder to unwind that then it is to stop it before it happens
[00:10:10.660 --> 00:10:16.620]   So what happens Daniel in the UK now if if Microsoft goes ahead and they're expected by Tuesday to
[00:10:16.620 --> 00:10:22.020]   Finalize the deal then what is the UK just say well?
[00:10:22.020 --> 00:10:25.380]   What have we told you to stop what do they do? I?
[00:10:25.380 --> 00:10:32.980]   Mean worst case scenario which won't happen is like Microsoft closes the deal this goes through and it just block UK
[00:10:32.980 --> 00:10:40.260]   We're not gonna sell it in the UK. So you win. Yeah, congratulations like you're cut off enjoy your your Libra office
[00:10:40.260 --> 00:10:43.720]   Yeah, yeah, they just carve them out that won't happen though
[00:10:43.720 --> 00:10:49.260]   Obviously the UK is feeling the pressure now because they're the only one Microsoft says I hope you like Linux
[00:10:49.260 --> 00:10:58.100]   Yeah, it seems like the deal that's might go through is that Microsoft might sell off some the cloud hosting
[00:10:58.100 --> 00:11:03.820]   Yeah, the UK's concern was weird. It was that they would be too dominant in cloud gaming
[00:11:03.820 --> 00:11:09.100]   Which is yeah, not a hybrid category it is not
[00:11:09.100 --> 00:11:15.140]   Stadium the companies that are doing it like Nvidia's GeForce now Microsoft's
[00:11:15.140 --> 00:11:22.060]   Game Xbox game pass or no, what do they call it? I can't even remember what they call it. Yeah. Yeah Xbox game pass
[00:11:22.060 --> 00:11:26.800]   There's now. They're struggling. They're not huge by any means. Yeah
[00:11:27.260 --> 00:11:32.180]   Yeah, and I was revealed during the core case right they showed that like it's very soft right now for
[00:11:32.180 --> 00:11:37.780]   Cloud gaming there's a lot of potential there. We have a couple new handhelds out
[00:11:37.780 --> 00:11:43.420]   You know, but it's I could tell you even the handhelds are steamed at the a-son. Yeah, no
[00:11:43.420 --> 00:11:49.820]   Yeah, so it's like it's a weird argument, but yeah, they could you know let a local
[00:11:51.020 --> 00:11:57.340]   Company handle the cloud stuff in the UK and it rails will be happy just hopefully that
[00:11:57.340 --> 00:12:00.340]   Company can deliver the experience that Microsoft
[00:12:00.340 --> 00:12:07.820]   expects Xbox cloud gaming to deliver the UK movie a date line the deadline back in time or forward in time
[00:12:07.820 --> 00:12:13.980]   Indicating to I guess to experts. Oh, this means they're they're going to be negotiating some sort of
[00:12:13.980 --> 00:12:17.220]   Yeah, minor
[00:12:17.220 --> 00:12:20.300]   concession so that they can save face and back down
[00:12:20.620 --> 00:12:24.700]   I think it's a thing has just been strange. Yeah, it's been strange
[00:12:24.700 --> 00:12:31.140]   I mean I understand like if you're Sony listen if you're Sony and you're you know CEO you have to fight this right?
[00:12:31.140 --> 00:12:37.700]   That's your obligation to the your your shareholders. You have to try to block this as much as possible even though
[00:12:37.700 --> 00:12:46.300]   You're in it really didn't feel like Sony got the whole world all the regulators in every country to step up like
[00:12:46.780 --> 00:12:50.700]   You should do something about this, but it was more that they was it the rear
[00:12:50.700 --> 00:12:53.340]   I mean it ended up they were worried the call of duty
[00:12:53.340 --> 00:13:03.500]   Which is made by Activision and is a huge title on PlayStation would suddenly become exclusive to Microsoft's Xbox and they were worried about that but
[00:13:03.500 --> 00:13:09.980]   Microsoft said no, no, we'll we'll make a deal with you. They made a deal with Nintendo. They no no
[00:13:09.980 --> 00:13:14.620]   We're not this we're only Microsoft said is it credible Daniel Merbino that
[00:13:15.260 --> 00:13:21.940]   This is just to get into mobile gaming which we're not a part of and rights. That's the whole reason for this. Is that credible?
[00:13:21.940 --> 00:13:27.500]   Yeah, I mean between the cloud gaming aspect which is geared towards mobile users
[00:13:27.500 --> 00:13:32.540]   You can basically get a console experience on your smartphone directly as well as the stores
[00:13:32.540 --> 00:13:36.700]   You know they can launch their own store because yeah blizzard
[00:13:36.700 --> 00:13:42.380]   Activision King you know King it has a lot of games that is candy crush right?
[00:13:42.380 --> 00:13:44.620]   Yeah
[00:13:44.620 --> 00:13:46.820]   Boomers and Gen Xers unite
[00:13:46.820 --> 00:13:48.900]   Yeah, we're favorite games still apparently
[00:13:48.900 --> 00:13:55.100]   But it's it's a huge business and it's still an amazingly popular game and allows Microsoft to yeah
[00:13:55.100 --> 00:14:02.340]   I get a foothold into mobile gaming. It's gotta be a good business. They're paying 69 billion dollars billion dollars
[00:14:02.340 --> 00:14:08.740]   Yeah, it's it's which goes to show you how much cash had laying around I believe they had a hundred and thirty billion laying around so
[00:14:09.140 --> 00:14:13.540]   Again as a corporation you can't sit on like 30 billion dollars for long
[00:14:13.540 --> 00:14:20.740]   You either got to give it back to the shareholders at some point or you make a big acquisition or multiple acquisitions that benefit the company
[00:14:20.740 --> 00:14:24.100]   So that's what Microsoft is doing here, but the whole thing was just kind of strange
[00:14:24.100 --> 00:14:27.300]   I understand Sony was you know had to fight it legally, you know
[00:14:27.300 --> 00:14:33.540]   But the same time emails came out showing that even Sony wasn't like oh we know this won't really do anything to us
[00:14:33.540 --> 00:14:38.020]   Because and Nadella even came out said like listen we don't like exclusives
[00:14:38.020 --> 00:14:43.340]   You know if we could choose we would not have exclusives for gaming we think it's bad
[00:14:43.340 --> 00:14:49.460]   And that is kind of his thing lately, right? I mean ever since he came in he undid all the bomber stuff. Alma was very much
[00:14:49.460 --> 00:14:56.540]   Exclusive to Windows. We're gonna form our own Apple like ecosystem. The Dela came in and said now we're doing that
[00:14:56.540 --> 00:15:02.340]   We're putting Linux every where we want we're gonna, you know put our apps wherever we can we're gonna support every platform
[00:15:02.860 --> 00:15:09.060]   So I really believe him that he doesn't want exclusives as much, but Sony is so into exclusive
[00:15:09.060 --> 00:15:16.300]   And that's the irony Sony's the bad guy when it comes to exclusives. They really do they nailed it
[00:15:16.300 --> 00:15:20.180]   Yeah, I mean they pay so much money, but they have so many like I
[00:15:20.180 --> 00:15:23.460]   You know it was halo and like years of war
[00:15:23.460 --> 00:15:29.980]   Forza still there for us. They're still doing more but like Microsoft and Xbox just does not have a flagship game anymore
[00:15:30.220 --> 00:15:33.060]   Where is Sony's got a couple that you know they have the
[00:15:33.060 --> 00:15:41.220]   Was that God of war the spider-man series like they have like a bunch of really really good titles and they run commercials all the time
[00:15:41.220 --> 00:15:43.860]   Hammering that so it's a it's a weird case, but
[00:15:43.860 --> 00:15:48.820]   Thankfully looks like Sony has signed the 10 year deal for Call of Duty
[00:15:48.820 --> 00:15:53.820]   I thought they'd already made that agreement, but I guess maybe they'd agreed to it in principle
[00:15:53.820 --> 00:15:58.300]   But they hadn't they hadn't signed it so now it is a binding agreement the Call of Duty will stay on PlayStation
[00:15:58.820 --> 00:16:01.980]   For at least 10 years according to Phil Spencer tweeting yesterday
[00:16:01.980 --> 00:16:05.860]   And it can be renegotiated in 2033
[00:16:05.860 --> 00:16:13.380]   Yeah, and why would Microsoft look Microsoft as they as we've learned doesn't make any money on Xbox. It's kind of a loser
[00:16:13.380 --> 00:16:17.780]   Why wouldn't they try to make some money selling on a PlayStation?
[00:16:17.780 --> 00:16:22.180]   Why would they do it makes a question right say say they did make all dude exclusive to Xbox?
[00:16:22.180 --> 00:16:27.260]   What would the return of value be like are they gonna really catch up now to Sony all of a sudden in console sales
[00:16:27.340 --> 00:16:29.780]   Just because a Call of Duty and the revenue there
[00:16:29.780 --> 00:16:35.380]   No, of course not would they make more money keeping on PlayStation and still selling the game to them?
[00:16:35.380 --> 00:16:37.420]   Yes, they're gonna make way more money that way
[00:16:37.420 --> 00:16:41.820]   So it doesn't really make sense for them to even make it exclusive outside of just being bitter
[00:16:41.820 --> 00:16:44.060]   Balmer might have done that they'll give me rock
[00:16:44.060 --> 00:16:52.620]   Steve Balmer might have done Steve Jobs. Yeah, no such a such a changed Microsoft. He said what it used to be
[00:16:53.660 --> 00:16:58.740]   In fact the Microsoft mission statement was every computer on every desktop running
[00:16:58.740 --> 00:17:01.540]   Microsoft software and
[00:17:01.540 --> 00:17:07.140]   And Satya Nadella said we want to be wherever our customers are on any platform. They are and
[00:17:07.140 --> 00:17:15.460]   That was a huge shift and actually as as everybody who has Microsoft stock knows a very good a very good shift
[00:17:15.460 --> 00:17:20.340]   Stock market likes what happened on Friday as well
[00:17:20.340 --> 00:17:27.420]   So I guess Phil Spencer had offered this agreement in January to Sony, but just on he said we're not January of last year
[00:17:27.420 --> 00:17:32.300]   But Sony said we're not gonna say we're not gonna sign that we're gonna we're gonna find it
[00:17:32.300 --> 00:17:34.300]   Why would we sign if we think we can beat you?
[00:17:34.300 --> 00:17:42.340]   Came close right, you know the FTC like I think through more sand into the gears of this and a lot of people anticipated
[00:17:42.340 --> 00:17:49.100]   They were really caught and it was just a strange thing and I'm all 40 FTC and you know watching tech companies
[00:17:49.100 --> 00:17:54.340]   And you know, but this just was not that case, you know, it's like social media sure
[00:17:54.340 --> 00:17:58.900]   Let's take a look at that advertising sure. Let's take a look at that one bug gaming
[00:17:58.900 --> 00:18:01.460]   Yeah, I don't know that was a weird stretch
[00:18:01.460 --> 00:18:05.220]   It's not that a big a bra and Dan. I feel like we're leaving you out
[00:18:05.220 --> 00:18:09.500]   Are you guys gamers at all do you care about do you care and the least about this a bra? I?
[00:18:09.500 --> 00:18:14.540]   I'm sitting back and letting Dan and Dan. I'll take this conversation because I am not a gamer
[00:18:16.060 --> 00:18:19.300]   Come on do you play any games anything?
[00:18:19.300 --> 00:18:23.260]   No, you know that that class a question of when a kid sits sits next to you
[00:18:23.260 --> 00:18:28.420]   And is like do you have any games on your phone my nephew's always asking me that and I don't like it's I'm incredibly boring
[00:18:28.420 --> 00:18:31.260]   What do you do with your life if you don't play times? Oh?
[00:18:31.260 --> 00:18:42.100]   It needs a lot of time Dan Dan you play you play Diablo three you said before you got married
[00:18:43.260 --> 00:18:46.300]   I I became a gamer in my adulthood
[00:18:46.300 --> 00:18:50.780]   And kind of because I mean I like the systems in games. I like
[00:18:50.780 --> 00:18:56.780]   Figuring out it's like a puzzle right figure out the mechanics of a game and you figure out how things work
[00:18:56.780 --> 00:19:02.300]   It's kind of like tech right or or Linux or any type of a coding environment, right?
[00:19:02.300 --> 00:19:06.020]   You're trying to figure out systems and how they work. I was more look
[00:19:06.020 --> 00:19:06.740]   I agree
[00:19:06.740 --> 00:19:10.740]   I kind of want regulators to pay attention to different or maybe larger issues
[00:19:10.740 --> 00:19:14.860]   But I think that this was a good thing to pay attention to and I understand Sony's grievance
[00:19:14.860 --> 00:19:17.780]   Look, it sounds chilly to have an argument about Call of Duty
[00:19:17.780 --> 00:19:24.260]   Which is if you watched or read or listened to these hearings it really seemed to come down to Call of Duty
[00:19:24.260 --> 00:19:29.660]   But I can understand in ten years Microsoft and Daniel you rightly point out
[00:19:29.660 --> 00:19:36.740]   Microsoft has pivoted to services a long time ago and I can understand Sony saying hey look the hardware market might be shrinking
[00:19:36.740 --> 00:19:40.420]   And if Microsoft totally takes over cloud and services
[00:19:40.420 --> 00:19:44.260]   We could I mean exclusives only last as long as the next console
[00:19:44.260 --> 00:19:52.780]   We could shrink and there could be no competitors left for us to buy there could be no studios or very few studios that are capable of creating
[00:19:52.780 --> 00:20:01.900]   Triple-A quality games that we have as exclusive. So I understand Sony's fear Microsoft is a trillion-dollar company and them
[00:20:02.580 --> 00:20:09.700]   Making a vertical acquisition like this and integrating the service providers into the Xbox as the platform
[00:20:09.700 --> 00:20:13.860]   I would be scared and I think that consumers have a right to be
[00:20:13.860 --> 00:20:18.220]   Kind of wary of this acquisition because in the past
[00:20:18.220 --> 00:20:21.100]   Acquisitions like this have never gone well
[00:20:21.100 --> 00:20:23.100]   Having said that as a gamer
[00:20:23.100 --> 00:20:30.780]   I really would like Bobby Kotick the CEO of Activision blizzard king the guy who oversaw sexual harassment the guy who was
[00:20:31.020 --> 00:20:34.540]   Responsible for all kinds of union busting. I'd like that guy to leave
[00:20:34.540 --> 00:20:40.380]   I would like at least the studio to not be as noxious as it has been in the last
[00:20:40.380 --> 00:20:44.700]   Decade or so well and as I say this was Bobby's way of getting out
[00:20:44.700 --> 00:20:47.980]   He's gonna clear billions of dollars in this answer
[00:20:47.980 --> 00:20:53.740]   But I think he's still is any on the board still Daniel. I think he is he does still have like a role
[00:20:53.740 --> 00:20:55.340]   They haven't been as
[00:20:55.340 --> 00:20:56.540]   Yeah, I agree with Dan here
[00:20:56.540 --> 00:21:01.220]   They have not been is let's kick him out with the picture as much as I think a lot of us would like
[00:21:01.220 --> 00:21:03.780]   But he still does play a pretty big role in this
[00:21:03.780 --> 00:21:04.340]   Yeah
[00:21:04.340 --> 00:21:07.420]   And you know the company does have a lot to go through and Microsoft
[00:21:07.420 --> 00:21:11.180]   Yeah, you know their history of acquisitions is kind of mixed right like some of them
[00:21:11.180 --> 00:21:16.460]   But they're gaming history is not bad. Yeah, I mean overture was bet but but look what they did with Minecraft
[00:21:16.460 --> 00:21:22.620]   They were I think very good stewards great Minecraft. Yeah, they've they've improved this bill Spencer groan. Yeah
[00:21:23.580 --> 00:21:29.620]   The head of a trial Spencer's and lately GitHub that that we were all worried about the GitHub acquisition
[00:21:29.620 --> 00:21:35.900]   But that's been all right. I don't know I linked in I they certainly didn't change linked in I don't know
[00:21:35.900 --> 00:21:40.580]   They're they're making a lot of money. Are they the membership of linked in is grown? Yeah, okay?
[00:21:40.580 --> 00:21:45.220]   So they've been a good story there. It's a prop. It's a new Twitter. Yeah. Yeah
[00:21:45.220 --> 00:21:48.660]   Whatever professionals, there's so many new Twitter's though. I don't know
[00:21:49.900 --> 00:21:56.220]   With social web is atomized and dead. Yeah, except it's not that's what's really we'll talk about that a little bit
[00:21:56.220 --> 00:21:59.300]   Yeah, get rid of Bobby Kotick for sure
[00:21:59.300 --> 00:22:05.420]   There's also I mean they talked about Call of Duty, but there's World of Warcraft
[00:22:05.420 --> 00:22:12.740]   There's Diablo 4 just came out there. There's there's a lot of games. This is a big portfolio and
[00:22:12.740 --> 00:22:18.260]   You know don't forget we talk about gaming here, but that IP is important in other ways, right?
[00:22:18.260 --> 00:22:24.660]   What's the big thing we've been seeing lately is converting those kind of video games into blockbuster movies or TV series?
[00:22:24.660 --> 00:22:29.000]   Yeah, Microsoft controls at IP that said Microsoft hasn't had good luck yet
[00:22:29.000 --> 00:22:33.340]   In this into you know looking what they did the Halo series. Yeah mediocre reviews
[00:22:33.340 --> 00:22:41.100]   But up chair is compared to like the last of us right yeah, Sony and nailed right so Sony is actually really good at this stuff
[00:22:41.100 --> 00:22:46.340]   So I would love to see the Diablo series convert to a movie. We're all hoping for Gears of War
[00:22:46.340 --> 00:22:52.060]   That's been in the works forever. We've bought Dave Bautista like literally stepped up and said let me play the lead
[00:22:52.060 --> 00:22:57.820]   Well, he is well, so you're gonna guess he's perfect. Yeah, you know, so it's like they could do all this
[00:22:57.820 --> 00:23:03.040]   But it does have a lot of value besides yeah, just gave me right they the long-form TV series
[00:23:03.320 --> 00:23:09.920]   Premiere, you know prestige TV has a lot of potential. That's where the 70 billion comes into play. It's not gaming
[00:23:09.920 --> 00:23:16.600]   It's not mobile. It's IP. It's like the Marvel Cinematic Universe or Star Wars. It's yep
[00:23:16.600 --> 00:23:21.400]   And by the way Star Wars was a lot cheaper than this that was a hell of a deal for Disney
[00:23:21.400 --> 00:23:24.520]   Wow, 70 billion dollars. All right, so
[00:23:24.520 --> 00:23:31.660]   The next step before Windows weekly on Wednesday, it's probably likely that they will announce the acquisition has gone through. It's done
[00:23:32.360 --> 00:23:36.640]   The UK is gonna be left holding kind of a limp hand, but I guess maybe they'll
[00:23:36.640 --> 00:23:44.280]   Get some re some concession some face-saving concession out of Microsoft and then and then it's over as
[00:23:44.280 --> 00:23:47.120]   a gamer
[00:23:47.120 --> 00:23:52.120]   It makes me a little nervous to see consolidation. I liked I think
[00:23:52.120 --> 00:23:56.960]   From the I have mixed feelings. We talked about this little on Windows weekly
[00:23:56.960 --> 00:24:02.320]   It is the case that these days it costs more to make a triple a game than it costs to make a major motion picture
[00:24:02.320 --> 00:24:05.680]   It's hundreds of millions dollars. So in development hell
[00:24:05.680 --> 00:24:13.800]   So it isn't likely that a small independent garage startup is gonna create the next big game anyway
[00:24:13.800 --> 00:24:23.040]   Yeah, I a little disagree with that. We've seen quite a lot of studios come up over the recent years granted to get snatched up kind of quickly now
[00:24:23.040 --> 00:24:26.200]   You know, so there is that but you know, I think it like vampire survivors
