;FFMETADATA1
title=All the President's Phones
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=690
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2018
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.400]   It's time for Twit.
[00:05:40.760 --> 00:05:41.600]   I'll see you later.
[00:05:41.600 --> 00:05:43.800]   Could you just like--
[00:05:43.800 --> 00:05:46.120]   Well, I mean, a lot of people just go to these events.
[00:05:46.120 --> 00:05:46.720]   And then they leave.
[00:05:46.720 --> 00:05:49.000]   And like they go to the events, they get the hands on, they post their video, they
[00:05:49.000 --> 00:05:51.440]   get on the plane, they fly to the next event.
[00:05:51.440 --> 00:05:54.920]   But for good or for ill, I really only cover the Apple beat.
[00:05:54.920 --> 00:05:56.120]   So I get to stay there for a long haul.
[00:05:56.120 --> 00:05:58.440]   You get to stay the whole time.
[00:05:58.440 --> 00:06:00.480]   No other events for you to go to.
[00:06:00.480 --> 00:06:04.360]   Tomorrow will be the 1 plus event for their 6T.
[00:06:04.360 --> 00:06:06.600]   They had to move it.
[00:06:06.600 --> 00:06:10.160]   Because the last thing you want to do is do anything on Apple Day.
[00:06:10.160 --> 00:06:11.720]   They got big-footed.
[00:06:11.720 --> 00:06:15.160]   They got-- yeah, really stomped.
[00:06:15.160 --> 00:06:18.400]   So we'll have new phones to talk about this week.
[00:06:18.400 --> 00:06:19.640]   It won't stop this month, Leo.
[00:06:19.640 --> 00:06:22.240]   Like September and October has just been one thing after another.
[00:06:22.240 --> 00:06:24.840]   It's just crazy.
[00:06:24.840 --> 00:06:26.560]   I guess there's nothing more to say about that.
[00:06:26.560 --> 00:06:29.760]   [LAUGHTER]
[00:06:29.760 --> 00:06:32.360]   Maybe next week there'll be something to say about it.
[00:06:32.360 --> 00:06:33.760]   I feel-- am I jaded?
[00:06:33.760 --> 00:06:34.720]   I'm getting jaded.
[00:06:34.720 --> 00:06:35.240]   We're--
[00:06:35.240 --> 00:06:35.720]   No, don't be jaded.
[00:06:35.720 --> 00:06:36.680]   We're optimistically--
[00:06:36.680 --> 00:06:37.360]   We have to miss it.
[00:06:37.360 --> 00:06:40.160]   --the new technology, yes.
[00:06:40.160 --> 00:06:41.240]   We're getting rid of bezels.
[00:06:41.240 --> 00:06:42.920]   We're finally murdering all the bezels.
[00:06:42.920 --> 00:06:44.240]   It was not to love them.
[00:06:44.240 --> 00:06:45.240]   Buy bezels.
[00:06:45.240 --> 00:06:46.080]   I actually got my--
[00:06:46.080 --> 00:06:46.400]   They were offensive.
[00:06:46.400 --> 00:06:47.320]   They deserved to die.
[00:06:47.320 --> 00:06:48.720]   I got my 10R on Friday.
[00:06:48.720 --> 00:06:51.000]   And I do like it quite a bit, even though it has a little bit
[00:06:51.000 --> 00:06:51.560]   of a bezel.
[00:06:51.560 --> 00:06:53.120]   People are saying, oh, it's got too much bezel.
[00:06:53.120 --> 00:06:54.320]   It's got the little--
[00:06:54.320 --> 00:06:55.000]   little bezel.
[00:06:55.000 --> 00:06:56.120]   Oh, it's too much bezel.
[00:06:56.120 --> 00:06:58.360]   LCD backlight is still hard.
[00:06:58.360 --> 00:06:59.120]   I like it.
[00:06:59.120 --> 00:07:00.080]   I think it's nice.
[00:07:00.080 --> 00:07:01.920]   It's the best battery life of any iPhone, right?
[00:07:01.920 --> 00:07:02.920]   Yeah.
[00:07:02.920 --> 00:07:05.040]   It's got a forgivable bezel.
[00:07:05.040 --> 00:07:05.880]   Very forgivable.
[00:07:05.880 --> 00:07:07.240]   I think it's highly forgivable.
[00:07:07.240 --> 00:07:08.680]   I think it's pretty.
[00:07:08.680 --> 00:07:12.120]   Although, once again, you know, that love the colors,
[00:07:12.120 --> 00:07:14.440]   the product read it as gorgeous.
[00:07:14.440 --> 00:07:15.640]   But you got to put it in a case.
[00:07:15.640 --> 00:07:17.240]   So what does it matter?
[00:07:17.240 --> 00:07:19.040]   Well, Apple didn't give you a case as timely.
[00:07:19.040 --> 00:07:20.240]   Oh, so you got the good score.
[00:07:20.240 --> 00:07:21.840]   No, they have--
[00:07:21.840 --> 00:07:23.400]   Aren't they doing like a plastic--
[00:07:23.400 --> 00:07:25.440]   They are, but no one can find them.
[00:07:25.440 --> 00:07:27.520]   They're MIA, so everyone has to buy an Otterbox case
[00:07:27.520 --> 00:07:28.840]   like an animal right now.
[00:07:28.840 --> 00:07:30.760]   [LAUGHTER]
[00:07:30.760 --> 00:07:34.480]   I'm just going to carry it naked and hope I don't drop it,
[00:07:34.480 --> 00:07:35.800]   because it's glass and it's slippery.
[00:07:35.800 --> 00:07:37.560]   It'll be easy to--
[00:07:37.560 --> 00:07:39.600]   I mean, I'm surprised I haven't broken it already.
[00:07:39.600 --> 00:07:41.400]   It's not like-- I remember the Nexus 4.
[00:07:41.400 --> 00:07:43.560]   My boss and I put them in the middle of conference tables
[00:07:43.560 --> 00:07:46.120]   at CES and by the end of the meeting,
[00:07:46.120 --> 00:07:47.160]   they were both on the floor.
[00:07:47.160 --> 00:07:49.360]   It's not quite that slippery, but it's really close.
[00:07:49.360 --> 00:07:50.240]   It's pretty darn.
[00:07:50.240 --> 00:07:51.920]   Yeah.
[00:07:51.920 --> 00:07:52.760]   All right.
[00:07:52.760 --> 00:08:03.040]   We all decided we don't want to talk about the great tragedies
[00:08:03.040 --> 00:08:03.720]   in the world today.
[00:08:03.720 --> 00:08:06.960]   Although there is some complicity at Twitter,
[00:08:06.960 --> 00:08:09.080]   there is a site that was supposed
[00:08:09.080 --> 00:08:13.560]   to be the freedom of speech conservative site called GAB
[00:08:13.560 --> 00:08:15.240]   that pretty much everybody, as you're
[00:08:15.240 --> 00:08:16.720]   pulled their subscription, the credit card
[00:08:16.720 --> 00:08:19.480]   say you can't use it anymore to pay for it.
[00:08:19.480 --> 00:08:22.600]   GAB was where the anti-Semitic rantings of Illunatic
[00:08:22.600 --> 00:08:25.560]   were featured.
[00:08:25.560 --> 00:08:27.080]   I guess they're hosting company.
[00:08:27.080 --> 00:08:29.240]   They're hosting company.
[00:08:29.240 --> 00:08:31.000]   Shut them down also, giant.
[00:08:31.000 --> 00:08:34.920]   So they'll be leaving giant on Monday.
[00:08:34.920 --> 00:08:38.240]   And their chief technology officer quit this morning.
[00:08:38.240 --> 00:08:40.240]   Good.
[00:08:40.240 --> 00:08:40.760]   Yeah.
[00:08:40.760 --> 00:08:41.800]   Good.
[00:08:41.800 --> 00:08:44.880]   Of course, the founders said it was the lying mainstream
[00:08:44.880 --> 00:08:45.880]   media's fault.
[00:08:45.880 --> 00:08:48.320]   So there's that.
[00:08:48.320 --> 00:08:51.120]   Damn human decency.
[00:08:51.120 --> 00:08:52.240]   Yeah, there's nothing more to say,
[00:08:52.240 --> 00:08:55.520]   except send our condolences and love
[00:08:55.520 --> 00:08:57.680]   and those much needed thoughts and prayers
[00:08:57.680 --> 00:08:59.280]   to everybody involved.
[00:08:59.280 --> 00:09:03.920]   And the words never again really do have tremendous meaning
[00:09:03.920 --> 00:09:04.640]   this week.
[00:09:04.640 --> 00:09:06.200]   Yes, they do.
[00:09:06.200 --> 00:09:07.200]   Yeah.
[00:09:07.200 --> 00:09:15.480]   Tim Cook says it's all the fault of the data industrial complex,
[00:09:15.480 --> 00:09:16.280]   as long as we're talking.
[00:09:16.280 --> 00:09:20.800]   Apple Tim was invited to speak at the 40th International
[00:09:20.800 --> 00:09:24.360]   Conference of Data Protection and Privacy Commissioners,
[00:09:24.360 --> 00:09:32.400]   the jauntily named ICDPPC, which is in Brussels.
[00:09:32.400 --> 00:09:36.640]   He gave the keynote and took it as an opportunity
[00:09:36.640 --> 00:09:41.960]   to say that the weaponization of big data
[00:09:41.960 --> 00:09:47.040]   is a problem and that artificial intelligence is really
[00:09:47.040 --> 00:09:48.880]   the bad actor for artificial intelligence
[00:09:48.880 --> 00:09:49.720]   to be truly smart.
[00:09:49.720 --> 00:09:52.800]   It must respect human values, including privacy.
[00:09:52.800 --> 00:09:56.640]   If we get this wrong, the dangers are profound.
[00:09:56.640 --> 00:09:59.400]   Somebody said, though, well, easy enough for Tim
[00:09:59.400 --> 00:10:04.520]   to take potshots at Google, which is clearly what this is.
[00:10:04.520 --> 00:10:10.520]   But he's also letting China do whatever it wants
[00:10:10.520 --> 00:10:14.320]   with Apple servers on iCloud.
[00:10:14.320 --> 00:10:19.680]   So it is a point to be made that you can say all this.
[00:10:19.680 --> 00:10:22.640]   But if you're letting China have access to iCloud data,
[00:10:22.640 --> 00:10:25.320]   I don't know if you're really supporting privacy.
[00:10:25.320 --> 00:10:27.640]   The interesting thing there is that he indicated
[00:10:27.640 --> 00:10:28.960]   there might be a shift in policy.
[00:10:28.960 --> 00:10:32.800]   So previously, with iOS 7, Apple went all in on fail secure.
[00:10:32.800 --> 00:10:34.160]   You could barely get into anything.
[00:10:34.160 --> 00:10:37.160]   And if you lost your recovery number, that was it.
[00:10:37.160 --> 00:10:38.120]   Apple could not help you.
[00:10:38.120 --> 00:10:39.240]   And then they got a lot of pushback,
[00:10:39.240 --> 00:10:41.000]   because we talked about this previously.
[00:10:41.000 --> 00:10:43.680]   Some people, they don't care if anyone else gets their photos.
[00:10:43.680 --> 00:10:45.120]   You just better not lose their photo.
[00:10:45.120 --> 00:10:46.600]   That's the most important thing to them.
[00:10:46.600 --> 00:10:48.040]   And so Apple changed their policy.
[00:10:48.040 --> 00:10:50.760]   And now they have fail secure for anything that's real time
[00:10:50.760 --> 00:10:52.760]   and fail safe for anything that's in the backup.
[00:10:52.760 --> 00:10:54.360]   And he indicated in that speech,
[00:10:54.360 --> 00:10:55.920]   or I think in the comments following that speech,
[00:10:55.920 --> 00:10:57.280]   that Apple's reevaluating that.
[00:10:57.280 --> 00:10:59.080]   And it may be given the climate now.
[00:10:59.080 --> 00:11:01.080]   It'll be better to go to fail secure everywhere.
[00:11:01.080 --> 00:11:03.640]   Even if that means that they can't necessarily help somebody
[00:11:03.640 --> 00:11:06.360]   if they lose their access password or code
[00:11:06.360 --> 00:11:08.360]   or recovery digits or whatever.
[00:11:08.360 --> 00:11:10.800]   - Alex Stamos, who is the former Facebook
[00:11:10.800 --> 00:11:13.160]   chief information security officer, says,
[00:11:13.160 --> 00:11:15.160]   I agree with almost everything Tim Cook said
[00:11:15.160 --> 00:11:18.000]   in his privacy speech today, which is why it's so sad,
[00:11:18.000 --> 00:11:20.600]   to see the media credulously covering his statement
[00:11:20.600 --> 00:11:24.960]   without the context of Apple's action in China.
[00:11:24.960 --> 00:11:28.040]   Apple uses hardware rooted DRM to deny Chinese users
[00:11:28.040 --> 00:11:31.120]   the ability to install the VPN and E2E messaging apps,
[00:11:31.120 --> 00:11:33.040]   like Signal that would allow them to avoid
[00:11:33.040 --> 00:11:35.200]   pervasive censorship and surveillance.
[00:11:35.200 --> 00:11:38.480]   Apple moved iCloud data into a PRC controlled joint venture
[00:11:38.480 --> 00:11:41.160]   with unclear impacts.
[00:11:41.160 --> 00:11:43.520]   But he also points out China's an ethical blind spot
[00:11:43.520 --> 00:11:45.520]   for many in tech.
[00:11:45.520 --> 00:11:47.280]   We ignore the working conditions under which
[00:11:47.280 --> 00:11:48.600]   our beautiful devices are made,
[00:11:48.600 --> 00:11:50.400]   the censorship and surveillance.
[00:11:50.400 --> 00:11:54.000]   Necessary to ship apps there, the environmental externalities
[00:11:54.000 --> 00:11:56.640]   of cold powered Chinese Bitcoin farms.
[00:11:56.640 --> 00:12:00.680]   Cook is right, the US needs a strong privacy law
[00:12:00.680 --> 00:12:02.160]   and privacy regulator.
[00:12:02.160 --> 00:12:06.320]   But Apple needs to come clean on how iCloud works in China.
[00:12:06.320 --> 00:12:08.760]   - I mean, that's serious.
[00:12:08.760 --> 00:12:13.760]   - And Google already went through this dance
[00:12:13.760 --> 00:12:17.520]   a few years ago going into China
[00:12:17.520 --> 00:12:22.520]   and then exiting China for an extended period of time.
[00:12:22.520 --> 00:12:29.480]   And as I think everyone in that entire trillion dollar
[00:12:29.480 --> 00:12:35.240]   cohort has said along the way,
[00:12:35.240 --> 00:12:39.640]   China is this puzzle that there's no easy answer to.
[00:12:39.640 --> 00:12:44.320]   They represent such a huge part of the world
[00:12:44.320 --> 00:12:47.120]   that you can't ignore them.
[00:12:47.120 --> 00:12:51.480]   You can't just say, "Well, if you won't play by our rules,
[00:12:51.480 --> 00:12:53.840]   then we'll just stay out of your market."
[00:12:53.840 --> 00:12:58.840]   Because they're just too huge of a market.
[00:12:58.840 --> 00:13:02.400]   It's one of those conundrums that we need to be wrestling with
[00:13:02.400 --> 00:13:05.840]   and it's really good that we're having these conversations
[00:13:05.840 --> 00:13:09.240]   that we should have been having years and years ago.
[00:13:09.240 --> 00:13:11.160]   - Do you think though that Apple should,
[00:13:11.160 --> 00:13:12.200]   I hope you're right, Renee,
[00:13:12.200 --> 00:13:13.920]   that Apple's planning on doing something
[00:13:13.920 --> 00:13:15.760]   to step back a little bit
[00:13:15.760 --> 00:13:18.360]   and that Google should not be going back into China
[00:13:18.360 --> 00:13:19.680]   with sensor-searched?
[00:13:19.680 --> 00:13:22.840]   I mean, should American companies,
[00:13:22.840 --> 00:13:24.480]   you just point out how big a market is,
[00:13:24.480 --> 00:13:26.240]   turn their back on it?
[00:13:26.240 --> 00:13:27.480]   - I don't know.
[00:13:27.480 --> 00:13:32.480]   If you don't go into those markets,
[00:13:32.480 --> 00:13:39.000]   then you're denying billions of people
[00:13:39.000 --> 00:13:42.720]   access to transformative technology.
[00:13:42.720 --> 00:13:46.120]   If you do go into those markets under the terms
[00:13:46.120 --> 00:13:51.120]   that are being dictated by an increasingly autocratic regime,
[00:13:51.120 --> 00:13:57.520]   then you're complicit in things that are going to happen
[00:13:57.520 --> 00:14:01.840]   to the citizens of that country.
[00:14:01.840 --> 00:14:06.840]   So neither one of those things sounds like a good answer.
[00:14:06.840 --> 00:14:11.120]   It can't be a binary question.
[00:14:11.120 --> 00:14:11.960]   - Yeah.
[00:14:11.960 --> 00:14:13.920]   - Just isolation. - Just isolation.
[00:14:13.920 --> 00:14:15.880]   - Go ahead, Jason and then Renee.
[00:14:15.880 --> 00:14:17.720]   - Yeah, it's always the question, right?
[00:14:17.720 --> 00:14:22.720]   Like what will further the goals of the world,
[00:14:22.720 --> 00:14:26.800]   the better answer for the global community, right?
[00:14:26.800 --> 00:14:30.120]   Is it isolation when people are doing things
[00:14:30.120 --> 00:14:35.120]   that are regressive in human rights
[00:14:35.120 --> 00:14:41.200]   to their citizens, to other countries in some cases?
[00:14:41.800 --> 00:14:42.880]   Is it better to isolate them?
[00:14:42.880 --> 00:14:47.880]   Is it better to bring them into the global community
[00:14:47.880 --> 00:14:53.520]   and then put over time naturally pressure
[00:14:53.520 --> 00:14:54.840]   and gets put on them, right?
[00:14:54.840 --> 00:14:57.240]   That's the tactic that the Olympics takes.
[00:14:57.240 --> 00:15:00.120]   It's better to have them at the table
[00:15:00.120 --> 00:15:01.800]   than to have them off in their own room
[00:15:01.800 --> 00:15:04.120]   doing whatever they want, right, to their people.
[00:15:04.120 --> 00:15:08.680]   So it's playing out in tech
[00:15:08.680 --> 00:15:10.960]   because tech is a bigger part of the world
[00:15:10.960 --> 00:15:13.560]   and is becoming a bigger and bigger part of the world.
[00:15:13.560 --> 00:15:17.240]   I don't think it's possible for us at this point
[00:15:17.240 --> 00:15:20.320]   to separate or completely isolate China.
[00:15:20.320 --> 00:15:24.000]   All of these big tech companies are so connected to them.
[00:15:24.000 --> 00:15:26.640]   The question now is just sort of like,
[00:15:26.640 --> 00:15:29.200]   how much do we give them a seat at the table
[00:15:29.200 --> 00:15:32.960]   versus how much do we have this sort of carrot and stick?
[00:15:32.960 --> 00:15:35.440]   Whereas like if you become,
[00:15:35.440 --> 00:15:38.920]   if you sort of do things that share our values,
[00:15:38.920 --> 00:15:41.480]   then we give you more and if you don't,
[00:15:41.480 --> 00:15:43.880]   we pull back.
[00:15:43.880 --> 00:15:45.480]   It's all a matter of degrees.
[00:15:45.480 --> 00:15:50.480]   Like there's no complete answer to completely isolate China
[00:15:50.480 --> 00:15:54.000]   and there probably never will be not in the future
[00:15:54.000 --> 00:15:56.000]   in the foreseeable future for now.
[00:15:56.000 --> 00:15:57.720]   - Renee.
[00:15:57.720 --> 00:15:58.840]   - Yeah, the only thing I wanted to add is that
[00:15:58.840 --> 00:16:01.000]   as far as I know, there's not too many differences
[00:16:01.000 --> 00:16:02.800]   in the way that Apple handles iCloud in China
[00:16:02.800 --> 00:16:04.400]   as opposed to outside China.
[00:16:04.400 --> 00:16:06.480]   The real-time stuff is all end-to-end encrypted
[00:16:06.480 --> 00:16:08.920]   and nobody has the keys to that, not even Apple.
[00:16:08.920 --> 00:16:12.160]   The backup stuff is the same as it is in the US.
[00:16:12.160 --> 00:16:15.400]   The US government can and has gone in and demanded the data
[00:16:15.400 --> 00:16:17.840]   and China can go in and demand that data.
[00:16:17.840 --> 00:16:19.240]   The only difference is inside America,
[00:16:19.240 --> 00:16:21.200]   we look at China is scary, we're inside China,
[00:16:21.200 --> 00:16:23.080]   they're like, we don't want our citizens the data
[00:16:23.080 --> 00:16:24.640]   to be stored on American servers.
[00:16:24.640 --> 00:16:26.360]   You're gonna spy on us, we don't trust you.
[00:16:26.360 --> 00:16:28.000]   And France is wanting repatriation
[00:16:28.000 --> 00:16:30.040]   and other countries are wanting redata repatriation,
[00:16:30.040 --> 00:16:31.680]   which is why we have the Cloud Act.
[00:16:31.680 --> 00:16:33.120]   It's becoming an increasing problem.
[00:16:33.120 --> 00:16:34.200]   And if those companies,
[00:16:34.200 --> 00:16:35.920]   Apple's got a longstanding policy
[00:16:35.920 --> 00:16:37.600]   of always being engaged, they truly believe
