;FFMETADATA1
title=TWiT 34: Leoless
artist=Patrick Norton and the TWiTs
album=TWiT December 2005
iTunSMPB= 00000000 00000210 000008E8 00000000086B6308 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
genre=Podcast
comment=http://twit.tv/34
encoded_by=iTunes v6.0.1
iTunNORM= 00000B1E 000000A1 00031AF7 0000664A 0014796D 002FC063 0000828C 0000B959 000000D0 0030DFD6
date=2005
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT 34: Leoless
artist=Patrick Norton and the TWiTs
album=TWiT December 2005
iTunSMPB= 00000000 00000210 000008E8 00000000086B6308 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
genre=Podcast
comment=http://twit.tv/34
encoded_by=iTunes v6.0.1
iTunNORM= 00000B1E 000000A1 00031AF7 0000664A 0014796D 002FC063 0000828C 0000B959 000000D0 0030DFD6
date=2005
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:07.280]   Alright in three two one ladies and gentlemen welcome to episode number 34 of Twit this week of technology
[00:18:39.280 --> 00:18:59.280]   [Music]
[00:18:59.280 --> 00:19:19.280]   [Music]
[00:19:19.280 --> 00:19:39.280]   [Music]
[00:19:39.280 --> 00:19:59.280]   [Music]
[00:19:59.280 --> 00:20:19.280]   [Music]
[00:20:19.280 --> 00:20:39.280]   [Music]
[00:20:39.280 --> 00:20:59.280]   [Music]
[00:20:59.280 --> 00:21:19.280]   [Music]
[00:21:19.280 --> 00:21:39.280]   [Music]
[00:21:39.280 --> 00:21:59.280]   [Music]
[00:21:59.280 --> 00:22:19.280]   [Music]
[00:22:19.280 --> 00:22:39.280]   [Music]
[00:22:39.280 --> 00:22:59.280]   [Music]
[00:22:59.280 --> 00:23:19.280]   [Music]
[00:23:19.280 --> 00:23:39.280]   [Music]
[00:23:39.280 --> 00:23:59.280]   [Music]
[00:23:59.280 --> 00:24:19.280]   [Music]
[00:24:19.280 --> 00:24:39.280]   [Music]
[00:24:39.280 --> 00:24:59.280]   [Music]
[00:24:59.280 --> 00:25:19.280]   [Music]
[00:25:19.280 --> 00:25:39.280]   [Music]
[00:25:39.280 --> 00:25:59.280]   [Music]
[00:25:59.280 --> 00:26:19.280]   [Music]
[00:26:19.280 --> 00:26:39.280]   [Music]
[00:26:39.280 --> 00:26:59.280]   [Music]
[00:26:59.280 --> 00:27:19.280]   [Music]
[00:27:19.280 --> 00:27:39.280]   [Music]
[00:27:39.280 --> 00:27:59.280]   [Music]
[00:27:59.280 --> 00:28:19.280]   [Music]
[00:28:19.280 --> 00:28:39.280]   [Music]
[00:28:39.280 --> 00:28:59.280]   [Music]
[00:28:59.280 --> 00:29:19.280]   [Music]
[00:29:19.280 --> 00:29:39.280]   [Music]
[00:29:39.280 --> 00:29:59.280]   [Music]
[00:29:59.280 --> 00:30:19.280]   [Music]
[00:30:19.280 --> 00:30:39.280]   [Music]
[00:30:39.280 --> 00:30:59.280]   [Music]
[00:30:59.280 --> 00:31:19.280]   [Music]
[00:31:19.280 --> 00:31:39.280]   [Music]
[00:31:39.280 --> 00:31:59.280]   [Music]
[00:31:59.280 --> 00:32:19.280]   [Music]
[00:32:19.280 --> 00:32:39.280]   [Music]
[00:32:39.280 --> 00:32:59.280]   [Music]
[00:32:59.280 --> 00:33:19.280]   [Music]
[00:33:19.280 --> 00:33:39.280]   [Music]
[00:33:39.280 --> 00:33:59.280]   [Music]
[00:33:59.280 --> 00:34:19.280]   [Music]
[00:34:19.280 --> 00:34:39.280]   [Music]
[00:34:39.280 --> 00:34:59.280]   [Music]
[00:34:59.280 --> 00:35:19.280]   [Music]
[00:35:19.280 --> 00:35:39.280]   [Music]
[00:35:39.280 --> 00:35:59.280]   [Music]
[00:35:59.280 --> 00:36:19.280]   [Music]
[00:36:19.280 --> 00:36:39.280]   [Music]
[00:36:39.280 --> 00:36:59.280]   [Music]
[00:36:59.280 --> 00:37:19.280]   [Music]
[00:37:19.280 --> 00:37:39.280]   [Music]
[00:37:39.280 --> 00:37:59.280]   [Music]
[00:37:59.280 --> 00:38:19.280]   [Music]
[00:38:19.280 --> 00:38:39.280]   [Music]
[00:38:39.280 --> 00:38:59.280]   [Music]
[00:38:59.280 --> 00:39:19.280]   [Music]
[00:39:19.280 --> 00:39:39.280]   [Music]
[00:39:39.280 --> 00:39:59.280]   [Music]
[00:39:59.280 --> 00:40:19.280]   [Music]
[00:40:19.280 --> 00:40:39.280]   [Music]
[00:40:39.280 --> 00:40:59.280]   [Music]
[00:40:59.280 --> 00:41:19.280]   [Music]
[00:41:19.280 --> 00:41:39.280]   [Music]
[00:41:39.280 --> 00:41:59.280]   [Music]
[00:41:59.280 --> 00:42:19.280]   [Music]
[00:42:19.280 --> 00:42:39.280]   [Music]
[00:42:39.280 --> 00:42:59.280]   [Music]
[00:42:59.280 --> 00:43:19.280]   [Music]
[00:43:19.280 --> 00:43:39.280]   [Music]
[00:43:39.280 --> 00:43:59.280]   [Music]
[00:43:59.280 --> 00:44:19.280]   [Music]
[00:44:19.280 --> 00:44:39.280]   [Music]
[00:44:39.280 --> 00:44:59.280]   [Music]
[00:44:59.280 --> 00:45:19.280]   [Music]
[00:45:19.280 --> 00:45:39.280]   [Music]
[00:45:39.280 --> 00:45:59.280]   [Music]
[00:45:59.280 --> 00:46:19.280]   [Music]
[00:46:19.280 --> 00:46:39.280]   [Music]
[00:46:39.280 --> 00:46:59.280]   [Music]
[00:46:59.280 --> 00:47:19.280]   [Music]
[00:47:19.280 --> 00:47:39.280]   [Music]
[00:47:39.280 --> 00:47:59.280]   [Music]
[00:47:59.280 --> 00:48:19.280]   [Music]
[00:48:19.280 --> 00:48:39.280]   [Music]
[00:48:39.280 --> 00:48:59.280]   [Music]
[00:48:59.280 --> 00:49:19.280]   [Music]
[00:49:19.280 --> 00:49:39.280]   [Music]
[00:49:39.280 --> 00:49:59.280]   [Music]
[00:49:59.280 --> 00:50:19.280]   [Music]
[00:50:19.280 --> 00:50:39.280]   [Music]
[00:50:39.280 --> 00:50:59.280]   [Music]
[00:50:59.280 --> 00:51:19.280]   [Music]
[00:51:19.280 --> 00:51:39.280]   [Music]
[00:51:39.280 --> 00:51:59.280]   [Music]
[00:51:59.280 --> 00:52:19.280]   [Music]
[00:52:19.280 --> 00:52:39.280]   [Music]
[00:52:39.280 --> 00:52:59.280]   [Music]
[00:52:59.280 --> 00:53:19.280]   [Music]
[00:53:19.280 --> 00:53:21.860]   (upbeat music)
[00:53:21.860 --> 00:53:23.860]   [ Pause ]

