;FFMETADATA1
title=TWiT Episode 23
comment=http://twit.tv/23
album=TWiT September 2005
TYER=2005-09-18
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT Episode 23
comment=http://twit.tv/23
album=TWiT September 2005
TYER=2005-09-18
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.420]   This is Twitch this week in tech episode 23 for September 18 2005
[00:03:08.880 --> 00:03:14.000]   2003 when we we added that RSS feed in and the enclosure tag and there was no name for it at the time
[00:03:14.000 --> 00:03:18.920]   It's been two and a half years. Yeah, when you saw these Johnny come lately's like us. Did you kind of make it man?
[00:03:18.920 --> 00:03:22.720]   No, not at all. No, because every time you do something my traffic goes up
[00:03:22.720 --> 00:03:28.040]   We're all good for each other IT conversations now does 12 a week
[00:03:28.040 --> 00:03:34.320]   We're in 12 shows a week right now ramping up to about 14 because it's conference season and we do a lot of conference audio
[00:03:34.320 --> 00:03:37.200]   I like the conference audio because I don't have to go to the conferences
[00:03:37.200 --> 00:03:43.100]   I can listen to all the presentations on you know, I it's great a web 2.0. I listen to e-tech
[00:03:43.760 --> 00:03:50.400]   It's it web 2 when I was coming up you're gonna do another one web 2.0 is coming up and we got a our best show our most popular show from last
[00:03:50.400 --> 00:03:53.120]   I better not say best or all offend all the rest of the costumes
[00:03:53.120 --> 00:03:58.560]   But the most popular event we did last year was pop tech which is held in Camden, Maine and
[00:03:58.560 --> 00:04:01.960]   It's because here's here's the scoop for twit
[00:04:01.960 --> 00:04:07.840]   Tomorrow we're going to announce that we will have a live stream of the audio from pop tech this year
[00:04:07.840 --> 00:04:13.400]   Which is about four weeks from now and that'll be a free live stream. You can have an interesting business model
[00:04:13.960 --> 00:04:16.560]   Because what's a business? Yeah, don't ask me
[00:04:16.560 --> 00:04:23.200]   Your business model is the same as mine, but the idea eventually will be I mean these conferences
[00:04:23.200 --> 00:04:27.200]   You're kind of scooping them right because they want to sell tapes
[00:04:27.200 --> 00:04:29.880]   Well, what we do is
[00:04:29.880 --> 00:04:35.000]   In most conferences, we're basically metering out the content one show per week. So if you spread it out
[00:04:35.000 --> 00:04:39.240]   Yeah, there's a 25 presentation conference. It's gonna take six months before you get through that
[00:04:39.360 --> 00:04:45.920]   So we're not really competing with the conferences. We're actually enhancing that value because you might have 400 people at a conference
[00:04:45.920 --> 00:04:50.520]   But we're gonna hit 40 to 80 thousand right so we're really extending the reach of those so they don't mind that you
[00:04:50.520 --> 00:04:53.440]   Not at all everybody's renewed this year. It's really great
[00:04:53.440 --> 00:04:57.100]   I just I just love it and you know and unlike a twit because I have one volunteer
[00:04:57.100 --> 00:04:59.920]   Background at Witski you have a massive we have
[00:04:59.920 --> 00:05:04.240]   51 at the moment that's where do all the post-production work in their spare time
[00:05:04.240 --> 00:05:06.000]   That's really and we have a tip jar that feeds them
[00:05:06.000 --> 00:05:10.240]   So please donate to our tip jar the 100 as I say a hundred percent of your donation
[00:05:10.240 --> 00:05:15.040]   Goes to our volunteers who produce this content for you in their spare time. You got that memorized
[00:05:15.040 --> 00:05:23.400]   So I actually modeled a lot of what we do on what what Doug's been doing successfully all along and and it's a good model
[00:05:23.400 --> 00:05:27.560]   It works pretty well. Thank you. Let's get to our news stories of the week and I know that Kevin
[00:05:27.560 --> 00:05:32.840]   You you this I saw this on your blog and then it was dig dug. Yes
[00:05:33.840 --> 00:05:38.080]   Should should David set this up David probably should since he's one that told me about his origin
[00:05:38.080 --> 00:05:42.080]   It's his scoop. Yeah, it's his scoop. And is it is it true or what do we know?
[00:05:42.080 --> 00:05:45.880]   Okay, what we know well should I give a little bit background story?
[00:05:45.880 --> 00:05:51.880]   Yeah, you know Charles her shorn started the network G4 Charles her shorn and you know they purchased Hollywood Wunderboy
[00:05:51.880 --> 00:05:53.880]   he carried coffee for
[00:05:53.880 --> 00:05:59.120]   17 candles 70 what's your name 16 candles the redhead?
[00:06:00.000 --> 00:06:04.880]   What's her name? Molly ring wall. Yeah, Molly ring wall. That's his claim to fame, right? He got coffee from Molly ring
[00:06:04.880 --> 00:06:06.960]   Well, let's see how quick we make a long story short
[00:06:06.960 --> 00:06:13.240]   He convinced some people at Comcast to put in money because because of the fact that video games
[00:06:13.240 --> 00:06:15.920]   Pay generate a lot of money bigger than movies
[00:06:15.920 --> 00:06:21.720]   We'll let's make a television work out of it then they ended up buying tech TV and of course tech TV had all they had the opposite
[00:06:21.720 --> 00:06:24.960]   Idea with tech TV. Let's not make a television network out of yeah, so
[00:06:26.080 --> 00:06:32.640]   Let's see fast forward a little bit like tech TV bought tech TV killed a lot off a lot of the tech programming
[00:06:32.640 --> 00:06:36.840]   got rid of tech TV calm the way it was beforehand and
[00:06:36.840 --> 00:06:40.880]   Let's see let this this last Friday
[00:06:40.880 --> 00:06:46.160]   They were there was a meeting they called a last minute meeting today everyone come at 4 p.m
[00:06:46.160 --> 00:06:50.160]   Come to this meeting and they did a little PR thing and when I say PR thing
[00:06:50.160 --> 00:06:54.520]   Basically that means that he said I'm not gonna be in charge anymore
[00:06:55.360 --> 00:07:00.880]   I'm really excited to tell you we've been looking for someone we found someone from direct TV a guy named Neil something
[00:07:00.880 --> 00:07:05.160]   I actually didn't know anything Neil something that used to be with direct TV is gonna be running the show
[00:07:05.160 --> 00:07:10.320]   And he was excited to tell everyone about that and that he'd still be involved to some extent on the board or something like that
[00:07:10.320 --> 00:07:14.480]   But that was what officially went down on fired Friday think I don't know
[00:07:14.480 --> 00:07:17.480]   I mean, you know, there's ways of pushing people out or ink
[00:07:17.480 --> 00:07:19.760]   You know enticing people to step down you know
[00:07:19.760 --> 00:07:24.720]   He who knows if he got a golden parachute or not, but is it gonna spend more time with his family? Yeah, absolutely
[00:07:24.720 --> 00:07:30.560]   Yes, but you know, we're suing other interests. I'm Tim Buck - now basically everything I know is through
[00:07:30.560 --> 00:07:35.760]   You know, I used to work there so I know people that you know told me exactly what happened and so that meeting's for sure
[00:07:35.760 --> 00:07:38.320]   We know that that meeting's for sure that happened so I told Kevin
[00:07:38.320 --> 00:07:40.480]   Kevin
[00:07:40.480 --> 00:07:47.800]   Like this is going on dig story and then like what's interesting to see I think is that the immediate fallout is just the fact that
[00:07:47.800 --> 00:07:52.920]   Everyone thinks that it's such a positive thing and part of it is two full
[00:07:52.920 --> 00:07:56.840]   Well the diggers - because it did remember the diggers many of them are tech TV
[00:07:56.840 --> 00:07:59.640]   Yeah, well, I yeah, and I think it's it's several fold
[00:07:59.640 --> 00:08:05.040]   I mean the biggest thing is the main people that care the people that were upset of what happened right the original
[00:08:05.040 --> 00:08:07.560]   Which is a small group and smaller by the day
[00:08:07.560 --> 00:08:10.640]   But you know the fact that he was the one in charge of it
[00:08:10.640 --> 00:08:14.080]   They think that maybe you know, this is the beginning of a change to well
[00:08:14.080 --> 00:08:16.080]   He was the guy who put it together, right?
[00:08:16.080 --> 00:08:22.640]   So if he's gone, maybe games gear gadgets and gigabytes is history you think I don't know
[00:08:22.640 --> 00:08:26.760]   I mean I think that they might turn into a QVC like selling knives or something
[00:08:26.760 --> 00:08:28.640]   Well, that's what's gonna happen. That's exactly right
[00:08:28.640 --> 00:08:33.200]   I mean there a lot of the excitement is the fantasy that tech TV will reemerge. I mean I
[00:08:33.200 --> 00:08:38.320]   Guess I mean I'm only the like I was only the photoshop guy that shows up every once in a while
[00:08:38.320 --> 00:08:44.520]   And every time I speak in every public event I get at least four or five people who yeah come up to me and go
[00:08:44.520 --> 00:08:48.840]   Oh, I hate what they did to tech TV, but you know, it's it's it's this constant
[00:08:48.840 --> 00:08:51.840]   You know, I mean it's a dream of a lot of people I mean, you know
[00:08:51.840 --> 00:08:56.400]   I mean as much as I hate what they did tech TV and of course I lost my job because of it
[00:08:56.400 --> 00:08:59.960]   Although ironically, I'm the only guy here who has a show on G4 still so
[00:08:59.960 --> 00:09:03.560]   Weird thing right now
[00:09:03.560 --> 00:09:05.920]   I
[00:09:05.920 --> 00:09:09.600]   Don't I just don't see it happening. I don't see I think you're right
[00:09:09.600 --> 00:09:13.360]   I think much more likely the direct TV guy comes in and says oh, yeah
[00:09:13.360 --> 00:09:19.280]   Well, I mean clearly Comcast gave her short a year said turn it around
[00:09:19.680 --> 00:09:24.320]   Didn't turn it around right. I mean is that I don't know what I don't know exactly what the rate are
[00:09:24.320 --> 00:09:26.400]   I mean, there's were they successful were they making money?
[00:09:26.400 --> 00:09:28.600]   Do you think well the ratings went up a little bit?
[00:09:28.600 --> 00:09:29.800]   But they're not making money
[00:09:29.800 --> 00:09:35.720]   I just talked to a friend of mine that works there today and he was telling me that they all believe like the rumor
[00:09:35.720 --> 00:09:40.480]   Inside of G4 right now is that it's going to go the way of kind of like a spike TV. Yeah, well
[00:09:40.480 --> 00:09:45.280]   That's what they were doing. Right. But less gaming right so now. I think more yet
[00:09:45.280 --> 00:09:51.120]   I think that's actually much more likely. It's not a return to tech. It's going the other way even more, right?
[00:09:51.120 --> 00:09:53.520]   Which just means they'll be just another you know
[00:09:53.520 --> 00:09:58.480]   Channel, I don't think that I don't think it's gonna matter. I mean I think what what
[00:09:58.480 --> 00:10:01.160]   By tech TV non-existing anymore
[00:10:01.160 --> 00:10:06.880]   I think it's come I think it's really moved forward like the revolution to the fact that the people that were involved with that
[00:10:06.880 --> 00:10:09.080]   With that are doing stuff like what we're doing right now
[00:10:09.080 --> 00:10:14.040]   What Kevin's doing with system with dignity and and like there's so many other people exactly like like what you're doing
[00:10:14.040 --> 00:10:18.560]   I mean, you guys are starting to show. I mean, we're all working in Alex and I know Mac show
[00:10:18.560 --> 00:10:23.840]   Robert is doing with Patrick is doing live TV. Look at this. I mean this is it's in a way
[00:10:23.840 --> 00:10:30.960]   All the energy that the the audience put into bring back tech TV has really been come to fruition
[00:10:30.960 --> 00:10:36.560]   But not as a return to tech TV, but IP TV and especially for something like tech TV. There's no real reason
[00:10:36.560 --> 00:10:40.760]   I mean everybody I mean not everybody but most people who are on tech TV are gonna have a
[00:10:41.320 --> 00:10:44.640]   relatively high-speed connection they can download, you know the bit towards
[00:10:44.640 --> 00:10:48.360]   They don't need cable. They don't need cable and most of us would prefer not to have it
[00:10:48.360 --> 00:10:52.760]   Now, let's not give an argument to the direct TV guy for why you shouldn't go back to tech by the way
[00:10:52.760 --> 00:10:56.960]   I'd like to keep call for help on G4 for a little while. Okay, but you don't mind
[00:10:56.960 --> 00:11:03.800]   Do you think that cable companies? I mean television folks are just saying tech TV tech on TV failure?
[00:11:03.800 --> 00:11:06.440]   forget it
[00:11:06.440 --> 00:11:10.320]   Well, it all depends on I mean we know from working there that
[00:11:10.640 --> 00:11:17.800]   It's a very niche crowd, you know, it doesn't really hit the masses the way that you know traditional television does
[00:11:17.800 --> 00:11:21.220]   I love the niche though. What's wrong with nothing or at the niche and if you can bring the niche
[00:11:21.220 --> 00:11:26.340]   Advertisers to go along with that that pay the high dollar rates for that niche audience then you turn a profitable company
[00:11:26.340 --> 00:11:28.160]   Can you do that you think you can do that on I
[00:11:28.160 --> 00:11:28.840]   We're doing it right now
[00:11:28.840 --> 00:11:33.360]   We're starting to we have advertisers going in next month and some of our system episodes and things that we're doing
[00:11:33.360 --> 00:11:37.520]   That actually this we're releasing a new system on Monday that has an advertiser
[00:11:38.000 --> 00:11:44.960]   From Adobe that is gonna be really cool, but yeah, I think I think that the whole thing behind that is that you have a very small
[00:11:44.960 --> 00:11:51.440]   You really don't have a whole lot of people working for you, you know when you have a team of like five people working at system costs are low
[00:11:51.440 --> 00:11:56.380]   It's really easy to turn a profit. So that's that's the nice thing about doing it on your own
[00:11:56.380 --> 00:11:59.160]   I think that the dollars are gonna follow the passion
[00:11:59.160 --> 00:12:05.360]   You know if you get a network that that that goes after technology in a way that treats it like
[00:12:06.160 --> 00:12:09.840]   like everything else, you know like selling jewelry, it's not gonna be interesting and
[00:12:09.840 --> 00:12:15.600]   You know you've proven that you can do this kind of production and have it audio. What's the audience now?
[00:12:15.600 --> 00:12:19.800]   How many people are listening to we don't know it's a couple hundred thousand a lot a lot of people now
[00:12:19.800 --> 00:12:25.400]   That's not big big numbers by network television. It doesn't matter. It's enough. It's enough for us
[00:12:25.400 --> 00:12:28.960]   You know yeah, and it works and and you know as long as you've got
[00:12:28.960 --> 00:12:34.200]   The talent and you're disintermediating that distribution mechanism. I liked it that you know
[00:12:34.880 --> 00:12:41.120]   This is all you need right this works. Yeah, well and I think that I think that I mean I personally think the future is the niche
[00:12:41.120 --> 00:12:47.320]   You know I mean is that you know as you as we see more and more this as the cost of distribution becomes something that isn't that is free
[00:12:47.320 --> 00:12:50.160]   Or close to it. I mean relatively to what it was
[00:12:50.160 --> 00:12:56.760]   What you end up with is a whole slew of of these kind of programs and people start for every topic
[00:12:56.760 --> 00:13:01.560]   You can think exactly and people are interests and as long as we can find them and you know finding them will be the big thing
[00:13:01.560 --> 00:13:05.800]   But as long as we can find them as as consumers, you know, we're gonna get more of what we want
[00:13:05.800 --> 00:13:08.440]   We're gonna get the things people talking about what we really want
[00:13:08.440 --> 00:13:11.800]   They really want just want to show on Photoshop or we just want to one on our Mac
[00:13:11.800 --> 00:13:19.520]   So it's great for consumers because it's super niched if you can't afford to produce it and that's kind of the I mean
[00:13:19.520 --> 00:13:27.080]   Is there enough money in this in this highly focused programming? Well once you take out district once you take out the cost of distribution
[00:13:27.080 --> 00:13:32.200]   It's also you can have a whole lot of players that aren't looking for advertising. So it can it can also be you know
[00:13:32.200 --> 00:13:37.440]   And we talked about this previously, but it can also be people who want to promote something
[00:13:37.440 --> 00:13:42.220]   So, you know, if you know, you know, BMW could have a whole thing about how they design their cars or how to
[00:13:42.220 --> 00:13:44.800]   Very successful internet ad campaign has done very well
[00:13:44.800 --> 00:13:49.640]   You know and so you know, but if they made one just that was geeky about these German engineers going now's the viewer going
[00:13:49.640 --> 00:13:53.600]   So look at these, you know, it would be if you one of those things that they do very well for them
[00:13:53.600 --> 00:13:57.240]   I think it would reach out right to that core BMW drive
[00:13:57.240 --> 00:14:03.840]   People that want to know how how a certain automobile is made if they could do a special about exactly how they make their cars and people
[00:14:03.840 --> 00:14:08.480]   We watch it. It's really liberation. It's liberation from the notion of you have to produce
[00:14:08.480 --> 00:14:12.240]   Programming that has such a mass audience because it's so expensive
[00:14:12.240 --> 00:14:15.680]   It liberates you and you say well you don't have to have such a big audience
[00:14:15.680 --> 00:14:20.200]   You can do a lot more stuff well and also as these shows begin to diffuse the market
[00:14:20.200 --> 00:14:24.840]   That's the thing that that really causes problems for the advertisers because if as if you know
[00:14:24.840 --> 00:14:27.080]   It's fine if this one only has 200,000
[00:14:27.080 --> 00:14:35.040]   But if a thousand shows each are getting 200,000 viewers that choose up the entire TV market and then and then the and if that's scary
[00:14:35.040 --> 00:14:39.600]   For TV then the advertisers have a hard time figuring out where to advertise so they start producing their own shows
[00:14:39.600 --> 00:14:44.200]   So it becomes the vicious cycle where they use that system because they can't find another way
[00:14:44.200 --> 00:14:49.280]   You know that because the system that they had isn't working anymore and and it further taught, you know
[00:14:49.280 --> 00:14:51.800]   Tares the system we're seeing that we're right in the middle of that
[00:14:51.800 --> 00:14:55.960]   Yeah, I feel like we're right back in the heyday of the internet bubble
[00:14:55.960 --> 00:14:58.800]   I mean and just look at eBay buying Skype for
[00:14:58.800 --> 00:15:02.480]   2.6 billion dollars with a
[00:15:02.480 --> 00:15:07.760]   Guarantee of another one and a half billion if if things go well in a couple of years
[00:15:07.760 --> 00:15:11.160]   I think it's a bargain what yeah, I want it why wow yeah
[00:15:11.160 --> 00:15:16.240]   Dike says 2.6 billion is a deal there there there pay they're paying the money
[00:15:16.240 --> 00:15:19.640]   I think for the user base because the technology obviously
[00:15:19.640 --> 00:15:27.400]   Skype's revenues were 60 million dollars for 2005 critical mass how are you guys is a verb come on
[00:15:27.400 --> 00:15:34.120]   How would you like your product to be a verb? I'm gonna Skype you I mean that's so what does eBay do with it to justify?
[00:15:34.120 --> 00:15:43.140]   Hopefully hopefully not screw it up a free product only made 60 million dollars last year worth
[00:15:44.040 --> 00:15:50.780]   2.6 billion dollars, but but aren't they the name here they are but they're not necessarily the best
[00:15:50.780 --> 00:15:57.560]   Yeah, doesn't matter you know, but do you really I mean my parents don't know what Skype is they've never used it before
[00:15:57.560 --> 00:16:02.120]   I mean we as geeks we love sky buy you skype. Yeah, but when mom and dad come to you and say
[00:16:02.120 --> 00:16:07.160]   What should I use you're gonna say you would say I'll say Vonage
[00:16:11.080 --> 00:16:15.320]   You just say let's say what's that yeah, you just got Vonage didn't you yeah?
[00:16:15.320 --> 00:16:19.640]   How do you like it? It's great as long as Keith isn't playing Star Wars galaxy at the same time my house
[00:16:19.640 --> 00:16:24.840]   Because otherwise it just all starts to corrupt on it does it's it's not bad it works great
[00:16:24.840 --> 00:16:29.060]   It's unbelievable. I was talking to my dad about it and talking into actually setting up at his home
[00:16:29.060 --> 00:16:30.960]   But he should use
[00:16:30.960 --> 00:16:34.720]   Sky might then be coming here though to eBay for that very reason it's like well
[00:16:34.720 --> 00:16:39.840]   Okay, it's gonna fall under that and grow a company base says eBay says what they're gonna do is a call center you're gonna have a button
[00:16:40.400 --> 00:16:45.720]   Or buyers and sellers can talk to each other anonymously where you just want to do it over the phone rather than you can actually
[00:16:45.720 --> 00:16:50.880]   Move your mic in a little bit so we can hear you can hear the person's voice that you're actually gonna buy something from
[00:16:50.880 --> 00:16:54.920]   In in that case, you know, I mean I understand why eBay would want the service
[00:16:54.920 --> 00:16:57.600]   I just don't understand why they wouldn't spend their own money to build it right?
[00:16:57.600 --> 00:17:03.120]   I mean that's why I think it's the obviously they're buying the users the 54 million Skype subscribers and
[00:17:03.120 --> 00:17:06.720]   Someone here in an article I'm to a math and said that that's
[00:17:07.520 --> 00:17:10.800]   $50 almost $50 a subscriber. That's a lot of money
[00:17:10.800 --> 00:17:18.440]   You met the very important they could have built their own Google didn't build their own they went to global IP and licensed
[00:17:18.440 --> 00:17:21.120]   Technology that I think it sounds better than Skype
[00:17:21.120 --> 00:17:26.820]   Well the idea that they would use it for their existing base of buyers and sellers makes no sense at all
[00:17:26.820 --> 00:17:30.840]   That they gain nothing by that economics don't fly. Okay, so it's like they could have yeah
[00:17:30.840 --> 00:17:36.620]   It's and it's not the current user base about a brand name. It's a future version the future user base
[00:17:36.620 --> 00:17:41.360]   I think that they're paying for I think it's the broadcast comma and I really think that that's exactly what I mean
[00:17:41.360 --> 00:17:43.820]   When I say we're back in the bubble guys, there's a lot of
[00:17:43.820 --> 00:17:48.360]   Fantasy thinking going on and you're seeing it with all these new dot-com startups
[00:17:48.360 --> 00:17:50.440]   This looks like 2000 all over again
[00:17:50.440 --> 00:17:54.640]   I mean to me it just looks like there were a whole bunch of people looking at Skype and eBay had an idea that
[00:17:54.640 --> 00:17:58.240]   That's what they want to do and they just needed to jump on it and and quick get it
[00:17:58.240 --> 00:18:01.340]   And I think they were in a rush and I just think it's a taboo nuggle
[00:18:01.340 --> 00:18:03.920]   Amazing what you could do with a lot of cash
[00:18:04.620 --> 00:18:06.920]   speaking of which Microsoft a o l
[00:18:06.920 --> 00:18:13.520]   Will Microsoft they say they're gonna I mean there's different stories. This was broken by newsday. I think it was news day in New York City
[00:18:13.520 --> 00:18:20.600]   One story says they take a stake in a o l so they kind of merge a o l m s and another says they buy them out, right?
[00:18:20.600 --> 00:18:22.100]   then
[00:18:22.100 --> 00:18:27.420]   Another story says Google and yahoo are next in line bidding for a o l is a o l on the block?
[00:18:27.420 --> 00:18:32.340]   I've heard that that time Warner is is looking at getting rid of I mean
[00:18:32.340 --> 00:18:37.980]   Wouldn't you know if you were time long enough to to split those back out practically put time Warner out of business that a o l purchase
[00:18:37.980 --> 00:18:43.620]   How to know a o l seems like a bad buy to me. I mean 15 million subscribers though
[00:18:43.620 --> 00:18:48.180]   I mean look what how many what did you say that this guy Skype has 54 million but they're not paying 50
[00:18:48.180 --> 00:18:53.500]   They're not paying 30 bucks a month skype makes money when you decide that you want to place calls to
[00:18:53.500 --> 00:18:58.100]   Regular phones, right? That's and that made 60 million dollars
[00:18:58.100 --> 00:19:02.180]   Well, I think that but a o l I think has if I'm correct like 30% more
[00:19:02.180 --> 00:19:04.620]   users for the
[00:19:04.620 --> 00:19:12.100]   For the chat stuff then msn so it would be equal amn San was a is a flop right so Microsoft says look at Google
[00:19:12.100 --> 00:19:14.100]   Yahoo, they're about to eat our lunch of portals
[00:19:14.100 --> 00:19:16.740]   What can we do?
[00:19:16.740 --> 00:19:22.620]   Take a stake in a o l. They're basically saying forget amn San a o l be the new s m s n right?
[00:19:23.820 --> 00:19:29.120]   So you're thinking just like they're they're going to change there. I mean every obviously if they buy a well every single
[00:19:29.120 --> 00:19:33.580]   A well homepage is now going to be the MSN right you combine a well and MSN you're the number one side of the net
[00:19:33.580 --> 00:19:36.760]   I don't know it just seems to dial up users. Yeah
[00:19:36.760 --> 00:19:40.380]   And for forcing people to go to a site
[00:19:40.380 --> 00:19:45.020]   You know it's like the thing with Google and these other you know is that Google you have to make a decision on your own
[00:19:45.020 --> 00:19:50.740]   To launch and actually set that as your home page and go to that side and when you're going with MSN and I don't know
[00:19:50.740 --> 00:19:52.740]   I just it doesn't seem right to me
[00:19:53.300 --> 00:19:59.660]   A well doesn't seem like a goodbye. It's just two vanilla's a well and MSN would be the number one web site
[00:19:59.660 --> 00:20:05.780]   Beating in unique in terms of uniques and page views beating everybody including yahoo
[00:20:05.780 --> 00:20:08.620]   And that's probably because it's a default page for people who don't well
[00:20:08.620 --> 00:20:12.860]   I think that's why you get MSN right yeah, cuz if this what comes up when you open it and explore and you know
[00:20:12.860 --> 00:20:16.820]   So it makes I mean I don't think it's a bad deal for MSN. Oh
[00:20:16.820 --> 00:20:22.500]   If they can unload it come on. It's great for time Warner if they get that thing off their monkey off their back
[00:20:22.620 --> 00:20:26.020]   But wait a minute didn't AOL buy time Warner. So it's kind of
[00:20:26.020 --> 00:20:33.140]   It did but it turning it around according to one of these articles that you referenced a time Warner pulled in
[00:20:33.140 --> 00:20:41.220]   42 billion in revenue last year and 8.7 of it was from AOL so time Warner is obviously the big one now
[00:20:41.220 --> 00:20:44.100]   Yeah, I just know I'll never forget that ugly hug
[00:20:44.100 --> 00:20:49.700]   Between Gerald Levin and Steve case remember that at the main as the partnership
[00:20:50.460 --> 00:20:54.420]   I get chills still thinking about it. What else you get what you got the stories in front of you David?
[00:20:54.420 --> 00:20:55.980]   What else is hot?
[00:20:55.980 --> 00:20:57.900]   Well, let's see here
[00:20:57.900 --> 00:21:01.540]   Well, I mean part of the in part of the reason this whole thing went down between
[00:21:01.540 --> 00:21:07.260]   It might be going down between AOL and the others is because of the competition from the likes of Yahoo and Google and
[00:21:07.260 --> 00:21:09.300]   You put ahead
[00:21:09.300 --> 00:21:13.300]   Google is always launching new services one of their new ones. Here's their blog search and
[00:21:13.300 --> 00:21:18.660]   I don't know. I think it's kind of it. It doesn't work quite so
[00:21:19.660 --> 00:21:22.300]   Yeah, you know what when we were talking about that Charles Hershorne thing
[00:21:22.300 --> 00:21:25.940]   So I thought I'd go to the Google blog service and see what's your blog about it
[00:21:25.940 --> 00:21:29.100]   But I couldn't find it even though people had but it's not up today
[00:21:29.100 --> 00:21:32.540]   But what I do think is neat about it is the fact that you can create
[00:21:32.540 --> 00:21:40.260]   RSS feeds of searches so if the service actually does do pretty real-time like Google News
[00:21:40.260 --> 00:21:47.300]   You could theoretically I guess like Google alerts you could look for when people are blogging about specific things
