;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[00:02:29.200 --> 00:02:31.200]   Partly because I get to catch up with people I haven't seen in ages.
[00:02:31.200 --> 00:02:35.200]   Like Tim Stevens, oh my God, how long has it been?
[00:02:35.200 --> 00:02:37.200]   It's been a couple of years it feels like.
[00:02:37.200 --> 00:02:38.200]   It seems like it's been a real long time.
[00:02:38.200 --> 00:02:39.200]   I'm glad to be here with you.
[00:02:39.200 --> 00:02:40.200]   It's great to see you.
[00:02:40.200 --> 00:02:41.200]   I apologize.
[00:02:41.200 --> 00:02:43.200]   He's of course the editor in Chief of CNET's Roadshow,
[00:02:43.200 --> 00:02:45.200]   editor in large at CNET.
[00:02:45.200 --> 00:02:47.200]   And a car buff.
[00:02:47.200 --> 00:02:49.200]   And since you're a car buff,
[00:02:49.200 --> 00:02:52.200]   I thought I'd bring somebody along who has no car.
[00:02:52.200 --> 00:02:56.200]   Nate Langston, Tech editor from Bloomberg.
[00:02:56.200 --> 00:02:59.200]   He's in the UK and the host of Bloomberg's Quick Take,
[00:02:59.200 --> 00:03:01.200]   which is really cool.
[00:03:01.200 --> 00:03:05.200]   It's kind of a global news site.
[00:03:05.200 --> 00:03:06.200]   Thank you.
[00:03:06.200 --> 00:03:08.200]   I bet you're doing well, right?
[00:03:08.200 --> 00:03:10.200]   It is doing very well.
[00:03:10.200 --> 00:03:14.200]   I've actually just shot an episode where we are ripping
[00:03:14.200 --> 00:03:17.200]   well, joining the engineers who are ripping all the Huawei
[00:03:17.200 --> 00:03:20.200]   kits out of these five G towers.
[00:03:20.200 --> 00:03:21.200]   Wow.
[00:03:21.200 --> 00:03:23.200]   So that's going to go out next week.
[00:03:23.200 --> 00:03:25.200]   It's pretty crazy.
[00:03:25.200 --> 00:03:26.200]   That's a huge story.
[00:03:26.200 --> 00:03:27.200]   We'll talk about that in a second.
[00:03:27.200 --> 00:03:28.200]   That's fascinating.
[00:03:28.200 --> 00:03:30.200]   But I have to introduce the third member of our panel.
[00:03:30.200 --> 00:03:32.200]   I saved my favorite for last.
[00:03:32.200 --> 00:03:33.200]   Well, you're all my favorites.
[00:03:33.200 --> 00:03:36.200]   But Brianna Wu, I love seeing Brianna Wu.
[00:03:36.200 --> 00:03:39.200]   Former candidate for Congress, former game developer,
[00:03:39.200 --> 00:03:42.200]   Space Cat Gale, who can forget,
[00:03:42.200 --> 00:03:46.200]   and now executive director of rebellionpack.com
[00:03:46.200 --> 00:03:48.200]   political action committee.
[00:03:48.200 --> 00:03:49.200]   Hello, Brianna.
[00:03:49.200 --> 00:03:52.200]   I just want to say, current game developer,
[00:03:52.200 --> 00:03:54.200]   I can't tell you what I'm working on.
[00:03:54.200 --> 00:03:55.200]   Oh.
[00:03:55.200 --> 00:03:56.200]   Oh.
[00:03:56.200 --> 00:03:57.200]   Oh.
[00:03:57.200 --> 00:03:58.200]   Thank you, Nick.
[00:03:58.200 --> 00:04:03.200]   You don't think I bought a $7,000 machine just to sit here in my house.
[00:04:03.200 --> 00:04:06.200]   Is that the iMac Pro you're talking about?
[00:04:06.200 --> 00:04:07.200]   No, no, no.
[00:04:07.200 --> 00:04:10.200]   This is, I put together a monster machine,
[00:04:10.200 --> 00:04:15.200]   AMD Threadripper 24 cores, AMD 3090,
[00:04:15.200 --> 00:04:18.200]   just absolute monster machine.
[00:04:18.200 --> 00:04:22.200]   We're, Tim Stevens, are you in the AMD club or the Intel club?
[00:04:22.200 --> 00:04:24.200]   I'm rocking Intel at the moment.
[00:04:24.200 --> 00:04:25.200]   Aww.
[00:04:25.200 --> 00:04:29.200]   Oh, because Brianna and I both have, she's got a little bit more powerful.
[00:04:29.200 --> 00:04:34.200]   Threadripper, I only have eight cores on my 5900X,
[00:04:34.200 --> 00:04:37.200]   but it's a very, I have to say, I'm very impressed.
[00:04:37.200 --> 00:04:42.200]   And I only got the 3080, not the 3090, but boy,
[00:04:42.200 --> 00:04:43.200]   it really looks good.
[00:04:43.200 --> 00:04:48.200]   And I'm driving a big 4K display, an OLED, which is really nice.
[00:04:48.200 --> 00:04:50.200]   And I have to say, it's not just for gaming anymore.
[00:04:50.200 --> 00:04:55.200]   It's really nice to have, I'm running Linux, so I have a tile,
[00:04:55.200 --> 00:04:59.200]   a tile window manager, so I have four different 1080p windows open
[00:04:59.200 --> 00:05:00.200]   at the same time and they're big.
[00:05:00.200 --> 00:05:03.200]   And it's just, I'm loving life.
[00:05:03.200 --> 00:05:08.200]   Desktops aren't dead, I know they're dead, but they don't feel like they're dead.
[00:05:08.200 --> 00:05:10.200]   I don't think they're dead.
[00:05:10.200 --> 00:05:18.200]   Well, for developers, for specialized uses, but I think PC sales are almost all laptops, aren't they these days?
[00:05:18.200 --> 00:05:19.200]   No.
[00:05:19.200 --> 00:05:20.200]   I doubt it.
[00:05:20.200 --> 00:05:23.200]   And tablets are booming too, so yeah, it's interesting to see.
[00:05:23.200 --> 00:05:28.200]   I'm doing sim racing myself and I just upgraded to Vive 2 HD 4K.
[00:05:28.200 --> 00:05:30.200]   Oh, you're doing the VR thing.
[00:05:30.200 --> 00:05:38.200]   So I stepped up from a Rift S to Vive 2 and there's a lot more pixels I gotta push now, so that's what I need a little more horsepower on the computer.
[00:05:38.200 --> 00:05:40.200]   I have the original Vive at home.
[00:05:40.200 --> 00:05:44.200]   You know, my kid, my 18-year-old does it, but it doesn't, I can't.
[00:05:44.200 --> 00:05:45.200]   What do you play?
[00:05:45.200 --> 00:05:49.200]   Mostly iRacing and I set up a competition.
[00:05:49.200 --> 00:05:50.200]   Oh, of course.
[00:05:50.200 --> 00:05:53.200]   So sim racing is pretty much all that I'm up to these days.
[00:05:53.200 --> 00:05:59.200]   So if you're a real racer, I know you do ice racing.
[00:05:59.200 --> 00:06:03.200]   How close is the VR game to actual racing?
[00:06:03.200 --> 00:06:08.200]   It's pretty amazing how close it can be, especially with this newer sim, I set up course at competency.
[00:06:08.200 --> 00:06:10.200]   Oh, and the physics engine is unbelievable.
[00:06:10.200 --> 00:06:18.200]   They measure the tire temperature down to three different positions within the rubber, for example, to give an idea of how in-depth this physics engine is.
[00:06:18.200 --> 00:06:22.200]   And the feel, the sound, especially in VR, it's really, really engaging.
[00:06:22.200 --> 00:06:28.200]   And I also do a lot of rally racing and when you're doing that, then you constantly need to be looking over your shoulder as you're sliding around a corner.
[00:06:28.200 --> 00:06:32.200]   And so even if you have like a triple monitor set up, it doesn't really work very well.
[00:06:32.200 --> 00:06:35.200]   But as soon as you get into VR, now you can look anywhere you want to.
[00:06:35.200 --> 00:06:37.200]   It's like you're in the car.
[00:06:37.200 --> 00:06:38.200]   It's much more engaging.
[00:06:38.200 --> 00:06:38.200]   Yeah.
[00:06:38.200 --> 00:06:39.200]   Yeah.
[00:06:39.200 --> 00:06:40.200]   It's a lot more fun, a lot more engaging.
[00:06:40.200 --> 00:06:41.200]   And yeah, I love it.
[00:06:41.200 --> 00:06:46.200]   I love your opinion on this, but for me, you know, because I do track days too.
[00:06:46.200 --> 00:06:57.200]   And I feel like the disconnect, I personally feel when I try sim racing is so much of doing a track day well, I feel, is getting to know the G-Force and what it is.
[00:06:57.200 --> 00:07:02.200]   And when you're tires are going to break, that to me is so much of the skill of it.
[00:07:02.200 --> 00:07:10.200]   And when you're doing it in VR, you don't have, like you have steering wheel feedback, but you just don't feel it in the same way.
[00:07:10.200 --> 00:07:11.200]   Yeah.
[00:07:11.200 --> 00:07:12.200]   It's bizarre.
[00:07:12.200 --> 00:07:19.200]   I can be like racing my own literal track car in one of these racing simulators.
[00:07:19.200 --> 00:07:20.200]   And I just suck at it.
[00:07:20.200 --> 00:07:23.200]   And it's because of that lack of feedback.
[00:07:23.200 --> 00:07:24.200]   Yeah.
[00:07:24.200 --> 00:07:25.200]   It really is learning.
[00:07:25.200 --> 00:07:32.200]   I mean, the mechanics are much the same, the reactions that you need are much the same, but which the feedback that you're looking for is very different now.
[00:07:32.200 --> 00:07:35.200]   It's really about what you hear and what you see.
[00:07:35.200 --> 00:07:41.200]   So you need to learn to kind of pick up the real, tiny changes in perspective that you get when your car starts to slide.
[00:07:41.200 --> 00:07:45.200]   And yeah, force feedback wheels do help as well, but really it's about sound and vision.
[00:07:45.200 --> 00:07:54.200]   And that's why I think VR again helps, but it's also why a hybrid solid framerate is really important because if your framerate is stuttering at all, then that throws off your perception of what the car is doing.
[00:07:54.200 --> 00:07:59.200]   And that makes it really, really difficult to stay at it.
[00:07:59.200 --> 00:08:03.200]   Do you want to talk about bicycling or anything, Nate?
[00:08:03.200 --> 00:08:04.200]   I like bikes too.
[00:08:04.200 --> 00:08:05.200]   I'm a bicycle.
[00:08:05.200 --> 00:08:06.200]   I run all the time.
[00:08:06.200 --> 00:08:07.200]   Okay, let me tell you that.
[00:08:07.200 --> 00:08:14.200]   So I actually bought a bike about nine months ago.
[00:08:14.200 --> 00:08:18.200]   It's by this Belgian, I think the Belgian company called Cowboy.
[00:08:18.200 --> 00:08:23.200]   And I liked it because it's partly electric and it has blue cheese pancakes.
[00:08:23.200 --> 00:08:24.200]   I love you, bikes.
[00:08:24.200 --> 00:08:25.200]   Oh my God.
[00:08:25.200 --> 00:08:32.200]   So it felt like a toy, but it still doesn't do all the work for you, so it helps me get fit.
[00:08:32.200 --> 00:08:34.200]   So it's kind of the best of both worlds.
[00:08:34.200 --> 00:08:37.200]   I didn't want a basic, you know, basic push bike.
[00:08:37.200 --> 00:08:45.200]   And I also didn't want something that was just going to, you know, like a motorcycle, like a basic motorcycle or something like that.
[00:08:45.200 --> 00:08:48.200]   I just wanted something that was a bit of both.
[00:08:48.200 --> 00:08:51.200]   And I think these electric bikes have really come on a long way.
[00:08:51.200 --> 00:08:52.200]   I love it.
[00:08:52.200 --> 00:08:53.200]   I really love it.
[00:08:53.200 --> 00:08:57.200]   I'm not going crazy journeys with it and I'm mostly using it for pleasure.
[00:08:57.200 --> 00:09:03.200]   But it's great because I can use it on the road and I can cycle through the forest that we've gotten in here.
[00:09:03.200 --> 00:09:05.200]   That's pretty cool.
[00:09:05.200 --> 00:09:06.200]   Sounds great.
[00:09:06.200 --> 00:09:09.200]   Well, I've glued you all to your seats so that you can't go anywhere.
[00:09:09.200 --> 00:09:17.200]   While we talk about the week's tech news, I'm sorry, it's just not as interesting, but that's what we're going to talk about today.
[00:09:17.200 --> 00:09:22.200]   This was a big week for tech companies and quarterly results.
[00:09:22.200 --> 00:09:26.200]   All of the tech companies had phenomenal quarterly results, right?
[00:09:26.200 --> 00:09:32.200]   Microsoft, Apple, Google, all making a ton of money.
[00:09:32.200 --> 00:09:34.200]   It actually is interesting.
[00:09:34.200 --> 00:09:39.200]   There was an article about big tech in the New York Times.
[00:09:39.200 --> 00:09:46.200]   It pointed out that in 2020, now that we have all the results out for 2020, when you combine the revenues,
[00:09:46.200 --> 00:09:54.200]   yearly revenues of Amazon, Apple, Alphabet, Microsoft and Facebook, $1.2 trillion,
[00:09:54.200 --> 00:09:59.200]   that's gross of 25% over last year.
[00:09:59.200 --> 00:10:05.200]   In less than one week, those five companies make more in sales than McDonald's does in a year.
[00:10:05.200 --> 00:10:08.200]   They are behemoths.
[00:10:08.200 --> 00:10:16.200]   Of course, always concomitant with this kind of success, then there's both public upset
[00:10:16.200 --> 00:10:19.200]   and there's regulatory scrutiny.
[00:10:19.200 --> 00:10:28.200]   This week, Apple got the charges from the EU that the app store is a monopoly.
[00:10:28.200 --> 00:10:31.200]   This is at the behest of Spotify.
[00:10:31.200 --> 00:10:34.200]   Anti-trust violations in the Spotify case.
[00:10:34.200 --> 00:10:37.200]   There's Marta Vista here, the Competition Commission at the EU.
[00:10:37.200 --> 00:10:42.200]   She's really become the pit bull against a big tech in the United States.
[00:10:42.200 --> 00:10:50.200]   EU regulators say Apple squeezed rival music streaming apps.
[00:10:50.200 --> 00:10:53.200]   Spotify, which is where this came from.
[00:10:53.200 --> 00:10:57.200]   By requiring them to use Apple's in-app payment systems to sell digital content,
[00:10:57.200 --> 00:11:02.200]   they also say Apple distorted competition, that's the phrase they used,
[00:11:02.200 --> 00:11:07.200]   by limiting how app developers can inform users about cheaper ways to subscribe.
[00:11:07.200 --> 00:11:09.200]   This is a long-standing problem.
[00:11:09.200 --> 00:11:14.200]   Amazon didn't sell books in the Kindle store on iOS.
[00:11:14.200 --> 00:11:20.200]   When they had the temerity to say, "Oh, by the way, you can buy these books on Amazon.com."
[00:11:20.200 --> 00:11:22.200]   Apple said, "You can't say that."
[00:11:22.200 --> 00:11:26.200]   Apple's in-payment system, of course, charges 30% for most people.
[00:11:26.200 --> 00:11:29.200]   They've now lowered that for people that make more than a million dollars a year,
[00:11:29.200 --> 00:11:33.200]   which is all the big boys, to 15%.
[00:11:33.200 --> 00:11:36.200]   There's a second data point on this.
[00:11:36.200 --> 00:11:40.200]   I don't know how much credibility to give it, but, you know,
[00:11:40.200 --> 00:11:41.200]   Apple's in tomorrow.
[00:11:41.200 --> 00:11:43.200]   Apple's going to go to court with Epic.
[00:11:43.200 --> 00:11:45.200]   The big battle has begun.
[00:11:45.200 --> 00:11:50.200]   Epic has hired an expert to analyze documents obtained from Apple in discovery.
[00:11:50.200 --> 00:11:58.200]   Ned Barnes, he's a financial and economics researcher, said Apple has a 78% margin
[00:11:58.200 --> 00:11:59.200]   in the App Store.
[00:11:59.200 --> 00:12:02.200]   It's a 78% profit.
[00:12:02.200 --> 00:12:06.200]   Is Apple's App Store...
[00:12:06.200 --> 00:12:08.200]   It's obviously a problem for Apple now.
[00:12:08.200 --> 00:12:09.200]   They're getting a lot of scrutiny.
[00:12:09.200 --> 00:12:12.200]   But is there a good reason for it to be a problem, Brianna?
[00:12:12.200 --> 00:12:16.200]   Is there something wrong with the way Apple's doing it?
[00:12:16.200 --> 00:12:20.200]   Well, I think this is a hard situation to talk about, right?
[00:12:20.200 --> 00:12:24.200]   Like, no one, as a fan of iOS or the Apple ecosystem,
[00:12:24.200 --> 00:12:27.200]   wants them to open this up to competitors.
[00:12:27.200 --> 00:12:30.200]   Part of what keeps all of us safe is, you know,
[00:12:30.200 --> 00:12:35.200]   the curation and the limiting of who's able to run apps in the App Store.
[00:12:35.200 --> 00:12:41.200]   Just to really be frank with you, Leah, the only reason I stay on iOS is the privacy.
[00:12:41.200 --> 00:12:43.200]   There's no other reason.
[00:12:43.200 --> 00:12:46.200]   It's not the features, it's not the hardware.
[00:12:46.200 --> 00:12:48.200]   So that's one side of it.
[00:12:48.200 --> 00:12:53.200]   On the other, I think it's really increasingly difficult to say, you know,
[00:12:53.200 --> 00:12:56.200]   Apple deserves that high a cut.
[00:12:56.200 --> 00:13:01.200]   What value are they really producing to earn that 30%?
[00:13:01.200 --> 00:13:04.200]   It's not payment processing, which is cheaper than ever.
[00:13:04.200 --> 00:13:10.200]   It's not really discovery because the App Store tends to favor the biggest fish
[00:13:10.200 --> 00:13:14.200]   and, you know, people that can afford to do their own marketing.
[00:13:14.200 --> 00:13:16.200]   What are they providing here?
[00:13:16.200 --> 00:13:22.200]   As far as the profit itself, wow, stunner, headline, monopolies
[00:13:22.200 --> 00:13:24.200]   are insanely profitable.
[00:13:24.200 --> 00:13:26.200]   Who would have known that?
[00:13:26.200 --> 00:13:31.200]   So, you know, I think that if Apple doesn't want to be increasingly
[00:13:31.200 --> 00:13:35.200]   under the gun of regulators, I think it would be smart of them to bring that down
[00:13:35.200 --> 00:13:40.200]   to a margin that frankly doesn't seem as exploitive.
[00:13:40.200 --> 00:13:44.200]   The number 78% isn't confirmed by Apple.
[00:13:44.200 --> 00:13:48.200]   In fact, they asked the judge, can we not talk about this?
[00:13:48.200 --> 00:13:51.200]   They literally said to the judge, your honor,
[00:13:51.200 --> 00:13:52.200]   not talk about this.
[00:13:52.200 --> 00:13:57.200]   I don't know, the judge hasn't ruled yet, but somehow I feel like that might be
[00:13:57.200 --> 00:14:00.200]   material in the Epic case.
[00:14:00.200 --> 00:14:05.200]   Apple's services segment, according to Apple's own quarterly results,
[00:14:05.200 --> 00:14:10.200]   services includes Apple App Store, but other things is 70%.
[00:14:10.200 --> 00:14:14.200]   The gross margin for its products is 36%.
[00:14:14.200 --> 00:14:19.200]   This is an incredibly profitable company making an awful lot of money,
[00:14:19.200 --> 00:14:21.200]   but is that illegal?
[00:14:21.200 --> 00:14:23.200]   Nate, what do you think?
[00:14:23.200 --> 00:14:27.200]   You're from the former member of the EU.
[00:14:27.200 --> 00:14:30.200]   Yeah, I follow this stuff closely.
[00:14:30.200 --> 00:14:34.200]   And frankly, Apple's hardware margins on iPhone used to be a lot higher
[00:14:34.200 --> 00:14:35.200]   than they used to be.
[00:14:35.200 --> 00:14:38.200]   I think they were even comparable to some of the margins that we're talking about
[00:14:38.200 --> 00:14:41.200]   for App Store that this analyst was discussing.
[00:14:41.200 --> 00:14:45.200]   Wow, when you combine services and products, the total gross margin for the quarter
[00:14:45.200 --> 00:14:47.200]   was 42.5%.
[00:14:47.200 --> 00:14:49.200]   That's a phenomenally successful company.
[00:14:49.200 --> 00:14:55.200]   I know my company is not nearly so profitable, but I would guess most
[00:14:55.200 --> 00:15:01.200]   companies would be very happy with anything above 10%, maybe 20%, 42.5%.
[00:15:01.200 --> 00:15:02.200]   Wow.
[00:15:02.200 --> 00:15:05.200]   But I think there's a few ways of looking at it because on the one hand
[00:15:05.200 --> 00:15:09.200]   you could say, well, there's nothing wrong with a company being profitable,
[00:15:09.200 --> 00:15:10.200]   making money.
[00:15:10.200 --> 00:15:14.200]   That's kind of what capitalism is predominantly all about.
[00:15:14.200 --> 00:15:17.200]   The question is whether it's being abused and whether it could have,
[00:15:17.200 --> 00:15:22.200]   rather, rather that profitability and that market position is being abused.
[00:15:22.200 --> 00:15:25.200]   And if so, what needs to change in order for it not to be?
[00:15:25.200 --> 00:15:32.200]   And I don't believe that the EU is going to take as much of an issue with
[00:15:32.200 --> 00:15:37.200]   the profitability of the App Store from the perspective that, well,
[00:15:37.200 --> 00:15:39.200]   you could just make less profit.
[00:15:39.200 --> 00:15:45.200]   And actually it will come down to, well, are you artificially prohibiting people
[00:15:45.200 --> 00:15:50.200]   who depend on your App Store from circumventing your payment platform?
[00:15:50.200 --> 00:15:54.200]   So if you look at what Apple did with the Sign In with Apple system,
[00:15:54.200 --> 00:15:58.200]   where if you offer a sign in with Facebook or Google, you have to also
[00:15:58.200 --> 00:16:02.200]   offer sign in with Apple, Apple can push the benefits of choosing Apple over
[00:16:02.200 --> 00:16:04.200]   the others by saying, well, look, it's more private.
[00:16:04.200 --> 00:16:06.200]   It's faster.
[00:16:06.200 --> 00:16:08.200]   It uses Face ID to authenticate.
[00:16:08.200 --> 00:16:11.200]   It's not just typing in your password, all of which is true.
[00:16:11.200 --> 00:16:15.200]   And it offers a user that ability to say, well, I'm going to choose Apple to do this
[00:16:15.200 --> 00:16:17.200]   because it's faster and more convenient.
[00:16:17.200 --> 00:16:22.200]   If Apple were to be forced or choose to allow another form of payment system
[00:16:22.200 --> 00:16:28.200]   within an app, essentially the user, as Epic demonstrated with the Fortnite case,
[00:16:28.200 --> 00:16:32.200]   that kind of spearhead a lot of this stuff, that you know, you give someone a choice
[00:16:32.200 --> 00:16:35.200]   and they can go with Apple and it might cost more money,
[00:16:35.200 --> 00:16:38.200]   but it's tied into the payment system.
[00:16:38.200 --> 00:16:41.200]   It's done without going to a separate web page like when you have to pay with PayPal
[00:16:41.200 --> 00:16:42.200]   or something.
[00:16:42.200 --> 00:16:46.200]   Like you could see that, well, there's a legitimate argument that people are still
[00:16:46.200 --> 00:16:49.200]   going to use Apple because it's just faster and more convenient.
[00:16:49.200 --> 00:16:54.200]   So I think that is probably what will end up being talked about a lot more than just
[00:16:54.200 --> 00:16:55.200]   the sheer profitability.
[00:16:55.200 --> 00:16:59.200]   I mean, if you want to look at profit margins, look at the fashion industry, it's crazy.
[00:16:59.200 --> 00:17:00.200]   That's a good point.
[00:17:00.200 --> 00:17:04.200]   I mean, I roll like swatch is very much more than 42% profit.
[00:17:04.200 --> 00:17:05.200]   I'm sure.
[00:17:05.200 --> 00:17:06.200]   Yeah.
[00:17:06.200 --> 00:17:07.200]   Yeah.
[00:17:07.200 --> 00:17:10.200]   So I think that's what it all, it probably will come down to.
[00:17:10.200 --> 00:17:14.200]   And just one other thing that I thought is worth pointing out is this reminds me a lot
[00:17:14.200 --> 00:17:18.200]   of the conversation that went around at the sort of turn of the millennium with Microsoft
[00:17:18.200 --> 00:17:20.200]   and it's antitrust, with the EU.
[00:17:20.200 --> 00:17:21.200]   Exactly.
[00:17:21.200 --> 00:17:22.200]   Very much so.
[00:17:22.200 --> 00:17:29.200]   You know, yeah, I mean, but the result for Microsoft was essentially that it lost its ground
[00:17:29.200 --> 00:17:33.200]   on a lot of products and like browsers, obviously in particular, I think Windows Media
[00:17:33.200 --> 00:17:34.200]   Player suffered.
[00:17:34.200 --> 00:17:40.800]   And I think that kind of had a knock on effect that Microsoft was maybe less willing to be
[00:17:40.800 --> 00:17:46.720]   as aggressive in pushing its products against competitors than it may otherwise have would
[00:17:46.720 --> 00:17:48.200]   have if it wasn't scared of antitrust.
[00:17:48.200 --> 00:17:52.600]   And I'm going to be looking out for whether whatever the result of this happens, whatever
[00:17:52.600 --> 00:17:57.800]   decisions made, whatever appeals are made or overturned, is whether this changes Apple's
[00:17:57.800 --> 00:18:04.080]   aggressive pursuit of dominating its ecosystem or whether it will eventually end up seeding
[00:18:04.080 --> 00:18:06.120]   ground in a way Microsoft did.
[00:18:06.120 --> 00:18:07.640]   And I think that's going to be fascinating.
[00:18:07.640 --> 00:18:10.760]   I'm sure there'll be debate over this, but I agree with you.
[00:18:10.760 --> 00:18:18.720]   I think even though the DOJ Microsoft battle, which went on for almost a decade ended up,
[00:18:18.720 --> 00:18:23.760]   you know, kind of in a draw, it tempered Microsoft's aggression.
[00:18:23.760 --> 00:18:28.640]   But certainly, I think you make a strong case that Google, for instance, might not have
[00:18:28.640 --> 00:18:33.400]   existed if Microsoft hadn't been more careful about entering markets.
[00:18:33.400 --> 00:18:39.520]   You can also make the case that it's not been bad for Microsoft that they have, as a result,
[00:18:39.520 --> 00:18:42.200]   found new areas to make money in.
[00:18:42.200 --> 00:18:45.760]   And that's actually, I don't think you can look at Microsoft today and say they suffered
[00:18:45.760 --> 00:18:50.720]   because of what happened in the late '90s and the early 2000s with the DOJ.
[00:18:50.720 --> 00:18:54.760]   I mean, the company's worth over $2 trillion at this point.
[00:18:54.760 --> 00:18:56.760]   And it lost the Windows Phone Battle.
[00:18:56.760 --> 00:19:00.200]   I mean, if you were looking at an example of maybe how Microsoft would have approached
[00:19:00.200 --> 00:19:05.040]   a market opportunity more aggressively where it not for fears over antitrust, look at Windows
[00:19:05.040 --> 00:19:06.040]   phone.
[00:19:06.040 --> 00:19:07.040]   Perfect.
[00:19:07.040 --> 00:19:09.960]   Like that was not a product that should have failed, really.
[00:19:09.960 --> 00:19:14.360]   It had everything going for it in terms of the people who could have pushed it harder
[00:19:14.360 --> 00:19:15.360]   and didn't.
[00:19:15.360 --> 00:19:16.360]   That's interesting.
[00:19:16.360 --> 00:19:17.360]   It lost out.
[00:19:17.360 --> 00:19:20.640]   I have never heard anybody say that's why they lost the Windows Phone Market.
[00:19:20.640 --> 00:19:24.400]   You know, usually it's the carrier stores in the US that are blamed for not--
[00:19:24.400 --> 00:19:27.000]   I don't think exclusively, I think, used just a pop.
