;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[00:03:05.780 --> 00:03:11.580]   I wasn't gonna say anything that's that's Christina Warren. She is senior
[00:03:11.860 --> 00:03:17.220]   Advocate at Microsoft and we can tell from the stuffed animals behind you an animal crossing fan
[00:03:17.220 --> 00:03:25.020]   Yes, that's good. Um, no, they made these build-up hair animal crossing toys and I just had to buy them
[00:03:25.020 --> 00:03:32.300]   I was like there and Isabel Isabel they run the front desk in the city in the city hall. They're great
[00:03:32.300 --> 00:03:34.700]   They're your best buddies really
[00:03:34.700 --> 00:03:39.260]   Yeah, I want to get there's a few though. I need of my
[00:03:39.820 --> 00:03:42.540]   Residence that I need I have the goth
[00:03:42.540 --> 00:03:45.860]   Hypopotamus or something
[00:03:45.860 --> 00:03:52.460]   That's the vendor hard-o-r great to have you senior editor at end gadget
[00:03:52.460 --> 00:03:56.900]   Hello happy to be here last time we talked you would move to a lady happy
[00:03:56.900 --> 00:04:02.820]   It's it's good. It's very quiet. It's much slower than New York, but the piece is nice. You know, yeah
[00:04:02.820 --> 00:04:07.420]   You could park in front of your house. I can and inside the house. It's great
[00:04:07.420 --> 00:04:12.700]   Is that a wild experience after you've lived in a city? Wait a minute. My car's right here. That's incredible
[00:04:12.700 --> 00:04:16.740]   No, I didn't spend an hour looking for a parking space. It's amazing
[00:04:16.740 --> 00:04:22.940]   Great to have all three of you you have the github a little is it octopus to behind you? Yes
[00:04:22.940 --> 00:04:28.840]   Yeah, the octocat octocat because it's a cat with eight legs a cat with hit legs exactly
[00:04:28.840 --> 00:04:35.060]   Yes, github launch something in beta that is fascinating to me called co-pilot
[00:04:35.380 --> 00:04:37.380]   We've been talking a little bit about this
[00:04:37.380 --> 00:04:45.360]   The idea is it's artificial intelligence that will help write your code for you, right? Is that right?
[00:04:45.360 --> 00:04:52.660]   Yes, that's right. It's a visual studio code extension and it you know based on what you're writing can give you suggestions
[00:04:52.660 --> 00:04:56.260]   So like when you press tab, you know for some of your tab completion stuff
[00:04:56.260 --> 00:05:00.500]   It can give you some suggestions and it's really it's really good. It's uncanny
[00:05:00.500 --> 00:05:07.300]   I know for me like what I've been using it for is if I'm writing something in JavaScript and I'm using like an API that I don't
[00:05:07.300 --> 00:05:14.700]   Know or use very often and rather than opening up stack overflow or like the API, you know like a docs
[00:05:14.700 --> 00:05:20.380]   If I know a few of the kind of the characters and if I'm starting to kind of write what I'm trying to do
[00:05:20.380 --> 00:05:25.340]   It usually can do a pretty good job of inputting the rest of what I need
[00:05:25.340 --> 00:05:28.500]   yeah, github I mean a visual studio and
[00:05:29.900 --> 00:05:34.100]   Microsoft studio have had for a long time audit a lot of code auto completion
[00:05:34.100 --> 00:05:38.780]   Which is really nice feature where you just type the first few letters you hit tab and you can see the whole thing
[00:05:38.780 --> 00:05:42.380]   But this goes way beyond it. It's yeah, it's kind of like clippy
[00:05:42.380 --> 00:05:47.740]   Coding it's like well. I see you're writing a linked list
[00:05:47.740 --> 00:05:56.060]   We'll suggest code there's been a lot of conversation about it though because it's it's kind of it's getting the snippets
[00:05:56.660 --> 00:05:59.860]   From public repositories on github. That's the training
[00:05:59.860 --> 00:06:03.740]   Material right yeah, so so we use GPT 3
[00:06:03.740 --> 00:06:08.340]   Algorithm which honestly look like like and I'm not I want to be clear
[00:06:08.340 --> 00:06:10.380]   Like I'm not speaking on behalf of github or anything
[00:06:10.380 --> 00:06:17.020]   But from what I understand like that data set is available for anyone to use right anyone could use it's from it's from a
[00:06:17.020 --> 00:06:23.060]   Open AI org. I think yeah, yeah exactly open AI org and their GPT 3 algorithm and it's using the data set
[00:06:23.060 --> 00:06:26.500]   Which is you know the the code that is a public?
[00:06:26.500 --> 00:06:32.940]   On github now anybody else could use that and write something similar if they wanted to or build something else similar
[00:06:32.940 --> 00:06:36.500]   But yeah, that's that's what the training data is based on it's kind of it's a
[00:06:36.500 --> 00:06:42.780]   Picking of the future in some respect. There's there have been some interesting
[00:06:42.780 --> 00:06:48.580]   Anomalies but it is early days yet, so I'm not gonna hold it against it
[00:06:48.580 --> 00:06:52.860]   It apparently quoted some quake code that had a obscenity in the did you see that?
[00:06:53.860 --> 00:06:56.780]   Yeah in the comments yeah
[00:06:56.780 --> 00:07:00.500]   Well, I mean you have you had to be clear like to get that to come up
[00:07:00.500 --> 00:07:06.100]   You would need to be pretty specific about what you're typing in for the full things and it's not as if it's just going to insert that in
[00:07:06.100 --> 00:07:12.100]   What is more interesting to me is like when you just have a new file and what kind of the recommendations for that are
[00:07:12.100 --> 00:07:18.180]   It and it's it is fascinating to see and I think that as the feedback comes in from people who are because it's in private
[00:07:18.500 --> 00:07:24.940]   Preview right now as more people are led into it and this they get more feedback obviously they'll make adjustments to to what it does
[00:07:24.940 --> 00:07:31.140]   But GPT three wants to put divindra and larry out of business. That's the one that can also write pros
[00:07:31.140 --> 00:07:37.300]   Yeah, yeah, I've heard about this. Yeah, I think it can even write in fact. I think now already is writing
[00:07:37.300 --> 00:07:44.180]   You know sports updates. Yeah, because it's very easy. It's talk updates because they're very formulaic right
[00:07:44.180 --> 00:07:48.100]   Yeah, and I suppose it could you it could do general news headlines probably pretty easily
[00:07:48.580 --> 00:07:53.700]   Yeah, I don't know if it could do my obnoxious commentary can't do no see that's the thing it can't do that like
[00:07:53.700 --> 00:07:57.780]   No personality. Yeah, no well because people are freaking out
[00:07:57.780 --> 00:08:01.780]   Wouldn't they hear this stuff like oh, you know, it's gonna put writers out of business or coders out of business and it's like
[00:08:01.780 --> 00:08:05.620]   No a we're not at that point yet
[00:08:05.620 --> 00:08:09.460]   Is the idea to eventually get to the point when you could create net new
[00:08:09.460 --> 00:08:15.140]   Content that would be you know have its own kind of tone and personality. Yeah, are we there yet? No
[00:08:15.540 --> 00:08:23.140]   Even if we were to be at that place like I feel like the stuff that this is best at which would be things like sports square updates or stock updates or whatnot
[00:08:23.140 --> 00:08:27.460]   That's not stuff if you're a journalist. You really want to be doing anyway. Like that's yeah
[00:08:27.460 --> 00:08:31.700]   That's that's the that's exactly. I mean that's that's the intern or somebody else's job
[00:08:31.700 --> 00:08:38.740]   And so you know that that was always my least favorite part of doing you know stuff as a journalist was having to kind of do those
[00:08:38.740 --> 00:08:44.420]   Those fill in things and so I would be happy to pass that off the same thing with some of the coding stuff
[00:08:44.420 --> 00:08:49.060]   Like I don't have to access, you know my docs or or sack over for the answer
[00:08:49.060 --> 00:08:51.380]   And I can just get it and make this hidden writing
[00:08:51.380 --> 00:08:55.540]   That's the sad cases that a lot of code is just pasted from stackover. Yeah
[00:08:55.540 --> 00:08:59.220]   So this is probably better quality than that
[00:08:59.220 --> 00:09:01.460]   I would guess
[00:09:01.460 --> 00:09:04.260]   Um, it's interesting because we've for a long time
[00:09:04.260 --> 00:09:10.980]   I can remember in the very earliest days of programming and AI talking about computers writing their own code
[00:09:10.980 --> 00:09:15.780]   I mean that was always kind of the thinking is at some point we're gonna the point where humans don't write
[00:09:15.780 --> 00:09:18.900]   The code itself they write a description
[00:09:18.900 --> 00:09:25.220]   And this is kind of and then the computer writes its own code and this is kind of the step in that direction is interesting
[00:09:25.220 --> 00:09:29.860]   That's kind of like the Ray Kurzweil vision, right? Like we're just gonna talk and things will just be created. Yeah
[00:09:29.860 --> 00:09:32.340]   Uh
[00:09:32.340 --> 00:09:35.460]   This is probably something no one else cares about
[00:09:35.460 --> 00:09:40.420]   But computers are about to replace a business that I'm in
[00:09:41.300 --> 00:09:43.620]   Voiceover actors. Oh no
[00:09:43.620 --> 00:09:47.140]   Now you got a problem. You know I'm mad
[00:09:47.140 --> 00:09:51.620]   I you know, it's interesting to see automation slowly replace a lot of jobs
[00:09:51.620 --> 00:09:56.340]   But one job I thought I would probably be fairly safe in is uh voiceover
[00:09:56.340 --> 00:10:01.780]   This is an article from mit technology review. There are a number of companies well said labs one of the best
[00:10:01.780 --> 00:10:03.540]   known
[00:10:03.540 --> 00:10:07.140]   Which are taking real human voices. It's called prosody. They're taking the
[00:10:07.780 --> 00:10:15.460]   Real human inflection style and they're laying it over machine generated kind of robotic speech to make it sound human
[00:10:15.460 --> 00:10:17.940]   I don't know if i'm gonna be able to play these samples
[00:10:17.940 --> 00:10:25.060]   But but let me play um, let me see karen is the senior AI editor at mit technology review
[00:10:25.060 --> 00:10:32.500]   Covering the fields cutting edge research and its impacts on society. That is not a human. Yeah, it's not bad. That is not bad
[00:10:32.500 --> 00:10:34.660]   I'll play you um
[00:10:34.660 --> 00:10:36.660]   Another one here
[00:10:36.900 --> 00:10:38.900]   This is an AI
[00:10:38.900 --> 00:10:43.860]   Made to sound this sounds to me a little more robotic but i'm curious what you think made to sound like a customer service agent
[00:10:43.860 --> 00:10:47.220]   Thank you for calling our department store. How can I help you today?
[00:10:47.220 --> 00:10:52.660]   The little horseness pretty good that pauses the inflection audio books clearly
[00:10:52.660 --> 00:10:56.420]   There's no reason why you would need to hire an actor for an audiobook unless you wanted the personnel
[00:10:56.420 --> 00:10:59.700]   Here's from another company called vocal id they do ads
[00:10:59.700 --> 00:11:03.700]   At casper we've taken sleep to the next level
[00:11:04.260 --> 00:11:10.100]   Temperature regulation feels like sleeping with a cool. That's so good. You know if you're paying if you're paying that much for an ad
[00:11:10.100 --> 00:11:12.420]   Do you want me to read?
[00:11:12.420 --> 00:11:14.420]   Yeah, they want me to read. Yeah. Yeah. Yeah
[00:11:14.420 --> 00:11:19.380]   AI says I slept in a casper last night. It's not that credible. I'm just saying
[00:11:19.380 --> 00:11:24.580]   It's not also it's not that much money to pay the voiceover artist for the ad. It's cheaper
[00:11:24.580 --> 00:11:26.660]   Yeah, you know, it's cheaper. Is it?
[00:11:26.660 --> 00:11:32.660]   Like an audio is it a really good voiceover artist is very expensive and there's residuals
[00:11:33.140 --> 00:11:36.260]   But on the other hand, there's people like me. I'll give it to you for 15 bucks
[00:11:36.260 --> 00:11:41.540]   So I was gonna say I mean there's there's a much bigger there's a huge there's a huge pool right now
[00:11:41.540 --> 00:11:46.900]   Yeah, you can go online. There's freelancers who'll do it for no. Oh, yeah. Here's another one. Let's see if this sounds better
[00:11:46.900 --> 00:11:54.180]   Feels like summer is finally here. We've got drinks and snacks for the whole family in aisle six
[00:11:54.180 --> 00:11:56.980]   Yeah, it's a little bit
[00:11:56.980 --> 00:12:01.060]   I thought it was interesting another place you get voiceover work is
[00:12:01.460 --> 00:12:05.300]   Video games a lot of video voiceover artists who do work for video games
[00:12:05.300 --> 00:12:12.420]   This is from a company called obsidian entertainment. This is a robotic voice listen
[00:12:12.420 --> 00:12:21.620]   I can see this hurts, but I had to tell you sooner forget it. I trusted you. But if you look at it, you never listen
[00:12:21.620 --> 00:12:24.820]   You don't listen
[00:12:24.820 --> 00:12:25.620]   Wow
[00:12:25.620 --> 00:12:28.820]   And what's also that wow that's better acting than most humans
[00:12:29.700 --> 00:12:36.660]   To generate that dynamically depending on the can play that's where it can that you couldn't normally you'd go in and you reduce
[00:12:36.660 --> 00:12:40.740]   Spend days recording thousands of different variations online and so forth
[00:12:40.740 --> 00:12:46.900]   Don't have to have a human anymore now. They're humans involved. These were all almost all created with humans
[00:12:46.900 --> 00:12:52.900]   Who did the prosody and got paid for that and it says in the article and they knew
[00:12:52.900 --> 00:12:56.180]   They're putting themselves out of business
[00:12:56.180 --> 00:13:00.180]   They they license the voices and they knew that they would they would get paid one
[00:13:00.180 --> 00:13:03.860]   It's like when a worker packs you get paid to pack up the machinery to send a china, right?
[00:13:03.860 --> 00:13:07.940]   Listen
[00:13:07.940 --> 00:13:09.940]   You got one more job
[00:13:09.940 --> 00:13:15.780]   So I think that's kind of interesting. This is something google's been working on they've they're there
[00:13:15.780 --> 00:13:18.100]   They're where I learned that word prosody was from google
[00:13:18.100 --> 00:13:22.580]   I also I wonder if people are just getting used to hearing more robotic voices now too, right?
[00:13:22.580 --> 00:13:27.940]   One of my favorite features is pocket pocket has just read me this article, right?
[00:13:27.940 --> 00:13:31.940]   If you're online it gives you really good digital voice for every single article
[00:13:31.940 --> 00:13:38.340]   And I just walk around and listen to very long pieces and it's not perfect. You know, it's it's synthesized
[00:13:38.340 --> 00:13:43.140]   But it's good enough that you can listen to it. Yeah. Yeah. Yeah, although all the flip sides
[00:13:43.140 --> 00:13:47.220]   I subscribe to autumn which is a subscription service love autumn and that uses
[00:13:47.220 --> 00:13:49.700]   And that uses humans well
[00:13:49.700 --> 00:13:56.260]   Because I think the difference here and I think maybe this is where we're going to is like the middle ground of like the just okay voice
[00:13:56.260 --> 00:14:00.500]   Voice stuff. I think maybe goes away and you have high quality
[00:14:00.500 --> 00:14:06.420]   AI generated voice or like in the case of autumn or some of the stuff on audible you have incredibly high quality
[00:14:06.420 --> 00:14:11.460]   Very good readers because the quality of the readers on autumn. They're usually like the best
[00:14:11.460 --> 00:14:15.860]   People that are on audible right and and it's like really really good stuff
[00:14:15.940 --> 00:14:21.620]   And I've compared because apple has um real human readers doing stuff on apple news as well
[00:14:21.620 --> 00:14:25.060]   And I listened to an article that happened to have been done on both places
[00:14:25.060 --> 00:14:30.020]   It was a New York magazine article and one was on apple and one was on autumn and the autumn one was
[00:14:30.020 --> 00:14:35.140]   Like it wasn't even a comparable thing. It was just you had a much better reader a much better person
[00:14:35.140 --> 00:14:39.620]   Um, and so like I'm willing to pay for that experience
[00:14:39.620 --> 00:14:42.180]   Would I be willing to pay
[00:14:42.180 --> 00:14:46.340]   For the lesser reading experience versus something that's good enough like pocket
[00:14:46.340 --> 00:14:51.460]   Maybe not but if you're able to kind of reach I think like kind of that upper echelon of the people that
[00:14:51.460 --> 00:14:55.940]   Dear point leo can charge more and get the residuals and are very in demand
[00:14:55.940 --> 00:15:00.580]   I don't think those people are going to be replaced by you know, uh, AI because
[00:15:00.580 --> 00:15:06.180]   The quality difference is still so good that if that's what you're after there's an audit. Yeah
[00:15:06.180 --> 00:15:08.900]   And some of the audible books they'll do accents, you know
[00:15:09.380 --> 00:15:12.260]   And affects and it's like listening to a play. I mean, it's
[00:15:12.260 --> 00:15:17.140]   There's any reason that a computer couldn't do that as well. I mean you could be eventually
[00:15:17.140 --> 00:15:19.380]   Yeah, I think the entry level folks are screwed
[00:15:19.380 --> 00:15:24.340]   Basically the people who are entrenched in like have a reputation and are notable are going to be fine for a while
[00:15:24.340 --> 00:15:28.180]   But they're they're like the dinosaurs of that age. It's kind of like digital cameras
[00:15:28.180 --> 00:15:33.860]   You know, there's still a market for $2,000 great cameras. There's no market for crappy $200 cameras
[00:15:33.860 --> 00:15:37.060]   It's it's like, you know, the the margins go away
[00:15:37.860 --> 00:15:42.420]   Yeah, it's about $5,000 to record an audiobook
[00:15:42.420 --> 00:15:47.620]   I you know, maybe it will only cost you $500 to use a robotic voice
[00:15:47.620 --> 00:15:53.780]   I think there are a lot of people would want the real human voice. Audible. Good example. Actually lisa
[00:15:53.780 --> 00:15:58.260]   I at least have discovered autumn and listens to it because it says New Yorker. It's the Atlantic
[00:15:58.260 --> 00:16:04.420]   It's it's good sources of and they're very well read as you said she said they're too slow because they're reading carefully and yeah
[00:16:04.580 --> 00:16:10.020]   So she she actually emailed them and said could you add because she never listens anything at 1.0
[00:16:10.020 --> 00:16:13.700]   She's thinking you had a speed up. Yeah, and they dare you
[00:16:13.700 --> 00:16:20.340]   I was gonna say they have a speed up feature. They just added it. Yes, who they think thank you lisa
[00:16:20.340 --> 00:16:25.620]   Thank you lisa because she she won't listen to anything at 1.0. She didn't listen to me at 1.0
[00:16:25.620 --> 00:16:32.340]   Which when I get home, she says are you drunk you're speaking so slowly. Yeah, can you build that into your hearing aids?
[00:16:32.340 --> 00:16:34.340]   You know
[00:16:34.340 --> 00:16:43.540]   Sometimes sometimes people tell me they listen to my other podcast in fast-beat and all I can say is thank you very much
[00:16:43.540 --> 00:16:46.980]   Yeah, you have to talk like this because I think you're drunk forever. Yes
[00:16:46.980 --> 00:16:51.780]   This is weird, but it works if you slow any voice down. It sounds like
[00:16:57.460 --> 00:17:02.820]   Oh, I'm trying to find it now. I I read an article this week by a guy who
[00:17:02.820 --> 00:17:08.500]   Had the voice synthesizers for different languages read the english
[00:17:08.500 --> 00:17:15.700]   Like it was the Dutch voice read the english and it sounded like a Dutch person who learned english
[00:17:15.700 --> 00:17:21.380]   It really worked it was amazing the it oh if I can I gotta I'll find it. I gotta find it
[00:17:21.380 --> 00:17:26.740]   I I guess I didn't bookmark it. I like to I like to find that stuff as play it for you, but I I'll have to look
[00:17:27.300 --> 00:17:29.300]   um
[00:17:29.300 --> 00:17:34.500]   The president former president. I see you wrote this story here is suing
[00:17:34.500 --> 00:17:37.380]   Facebook Twitter and youtube
[00:17:37.380 --> 00:17:42.340]   Yeah, he sure is claiming his own government violated the constant wait a minute what that's not my car
[00:17:42.340 --> 00:17:46.500]   But yeah, um, yeah, this is mike maznik writing on the detector
[00:17:46.500 --> 00:17:48.500]   He got a few things wrong. I mean
[00:17:48.500 --> 00:17:55.940]   And he probably knew it because I don't think he has it he thinks he's gonna win that that lawsuit, but one is a quote-unquote lawsuit right now
[00:17:56.340 --> 00:17:58.980]   It's the first might call it a performative lawsuit
[00:17:58.980 --> 00:18:00.980]   Exactly
[00:18:00.980 --> 00:18:01.540]   It is
[00:18:01.540 --> 00:18:05.220]   You know one of the first amendment doesn't apply to private companies if you read it is pretty clear
[00:18:05.220 --> 00:18:06.980]   It says congress shall make no law
[00:18:06.980 --> 00:18:10.980]   But the other is this notion that these companies are are discriminating
[00:18:10.980 --> 00:18:14.340]   Well, first of all the reason I knew about the lawsuit
[00:18:14.340 --> 00:18:19.940]   Is that I read about it on twitter and facebook and on cnn and other so-called fake news sources
[00:18:19.940 --> 00:18:22.260]   So the fact is that these
[00:18:22.260 --> 00:18:28.340]   Services have millions of people on them in taw- junior trump jr. Still on twitter
[00:18:28.340 --> 00:18:29.780]   um
[00:18:29.780 --> 00:18:33.380]   Trump was on twitter until there was an insurrection so it wasn't as if
[00:18:33.380 --> 00:18:40.740]   They banned him for insulting people and well and and to be fair. This is a class action suit, which he's initiated
[00:18:40.740 --> 00:18:42.740]   I don't know if he has anybody else in the class
[00:18:42.740 --> 00:18:49.540]   But the the he says i'm defending the american people right against censorship by these
[00:18:50.180 --> 00:18:53.780]   Companies obviously it'll be thrown out immediately by any judge who says well
[00:18:53.780 --> 00:18:58.100]   This isn't a first amendment case because this isn't the government. These are private companies
[00:18:58.100 --> 00:19:05.220]   The really the thing they're going after is section 230 of the communications decency act because that's the
[00:19:05.220 --> 00:19:09.620]   As some say the fundamental law that made the internet possible
[00:19:09.620 --> 00:19:12.260]   However, and I make this point in my column
[00:19:12.260 --> 00:19:15.060]   Trump's misguided lawsuit against social media companies
[00:19:15.060 --> 00:19:19.860]   I know a lot about 230 because i'm in the internet safety business and that was an outgrowth of the communications
[00:19:19.860 --> 00:19:24.180]   Defense the act which I opposed because it was ron limes edition because he said
[00:19:24.180 --> 00:19:27.460]   Well, we got to have this we got a carve out an exemption
[00:19:27.460 --> 00:19:32.340]   Here's the thing though if it weren't for 230 trump might have been kicked off social media years ago
[00:19:32.340 --> 00:19:36.180]   He would have already been kicked off
[00:19:36.180 --> 00:19:42.580]   A reason oh protects these companies from having to censor people like donald trump
[00:19:42.580 --> 00:19:48.420]   Who say things which could for example when trump accused joe scarborough of murder
[00:19:48.500 --> 00:19:54.580]   Which he basically did scarborough. I mean even though scarborough is a public figure that could have well have been a litigatable
[00:19:54.580 --> 00:19:58.020]   Accusation he could have gone after twitter
[00:19:58.020 --> 00:20:02.260]   But he couldn't because of section 230. Yeah, right and if he had gone after twitter
[00:20:02.260 --> 00:20:05.220]   You better believe rather than face a multi-million dollar lawsuit
[00:20:05.220 --> 00:20:10.500]   They probably would have banned trump at that point so so I think it's probably the point of this suit is not he knows
[00:20:10.500 --> 00:20:14.980]   Or I presume any employer that's working for him and knows that it isn't a first amendment problem
[00:20:15.300 --> 00:20:18.180]   But is to highlight the problem with section 230
[00:20:18.180 --> 00:20:20.660]   Well
[00:20:20.660 --> 00:20:25.540]   I'm gonna say i'm gonna be even more cynical. I'm gonna say fundraising is the main goal
[00:20:25.540 --> 00:20:30.660]   It's he's sending out fundraising links and and to play into the in some ways
[00:20:30.660 --> 00:20:37.540]   Justifiable concern that a lot of americans have about big tech and big media and and at the end of my column
[00:20:37.540 --> 00:20:39.540]   I do point out that
[00:20:39.540 --> 00:20:46.420]   As much as I hate to even in any way shape or form give him any ammunition it is true that big tech is
[00:20:46.420 --> 00:20:52.500]   Even though they are private companies they are the public's forums and and an argument can be made
[00:20:52.500 --> 00:20:56.820]   That you know big tech should be regulated. There should be some oversight
[00:20:56.820 --> 00:21:03.380]   I'm not agreeing with trump's analysis, but I am saying that he's playing into that and this is the problem we have
[00:21:03.380 --> 00:21:05.940]   Is that even though twitter facebook
[00:21:07.220 --> 00:21:13.140]   YouTube or private parties they are the public. They are the they are there are where discussions
[00:21:13.140 --> 00:21:18.500]   Happen and so they does seem to me that they have a little bit of a higher responsibility
[00:21:18.500 --> 00:21:21.220]   then you know
[00:21:21.220 --> 00:21:26.500]   And that's one of the reasons why it took so long for them to kick trump off because they were bending over backwards
[00:21:26.500 --> 00:21:30.260]   And by the way, they created new rules for him so that he would not be kicked off
[00:21:30.260 --> 00:21:35.460]   And as I point out at the end of my column and I will disclose here my nonprofit gets money from facebook twitter
[00:21:35.460 --> 00:21:38.020]   Microsoft google and a lot of these companies so
[00:21:38.020 --> 00:21:44.020]   And I'm the first one to admit that these companies need to be looked at very carefully
[00:21:44.020 --> 00:21:47.780]   But again, they are private companies and from everything I can see
[00:21:47.780 --> 00:21:50.420]   They discriminate against bad behavior
[00:21:50.420 --> 00:21:55.460]   Whether it's from the left the right or the center anybody who goes on facebook and advocates violence or twitter
[00:21:55.460 --> 00:21:57.220]   Who?
[00:21:57.220 --> 00:22:03.140]   Propagate hate speech who harasses people they're going to get kicked off whether they're a liberal or a problem
[00:22:03.300 --> 00:22:07.700]   They're not perfect and they do it imperfectly and so because of those mistakes
[00:22:07.700 --> 00:22:12.340]   People can say well you banned the president, but you didn't ban
[00:22:12.340 --> 00:22:15.860]   Khomeini in uh in iran, right so
[00:22:15.860 --> 00:22:20.420]   Is it that you you know don't like the president, but you like the the
[00:22:20.420 --> 00:22:25.780]   regime and what did Khomeini say that I mean do you ban Khomeini because he's a bad guy
[00:22:25.780 --> 00:22:31.460]   Or do you did man do ban him if he says something on your platform that violates the term the service
[00:22:31.700 --> 00:22:36.020]   Which causes people to invade the capital, you know, right? That that seems like the thing
[00:22:36.020 --> 00:22:41.380]   Well, I mean, but what's interesting to me like if and I don't disagree with with you that I do feel like
[00:22:41.380 --> 00:22:48.660]   These platforms even though they're not the public square and they're not public utilities are definitely the way that people do use to communicate
[00:22:48.660 --> 00:22:54.420]   But if we were to regulate them and treat them like open airwaves or the telephone or other things
[00:22:54.420 --> 00:22:59.540]   I mean 230 would no longer even be that wouldn't even be like a debatable thing
[00:22:59.540 --> 00:23:05.140]   It's like of course you can't hold them responsible. You can't sue at and t right because someone makes death threats over the phone
[00:23:05.140 --> 00:23:11.220]   Right and at and t cannot prevent people from saying hateful things on the phone when they call people now
[00:23:11.220 --> 00:23:14.020]   Can there be a criminal complaint that you put against that person?
[00:23:14.020 --> 00:23:18.180]   Yes, but you can't go after the phone company the same thing with other public airwaves
[00:23:18.180 --> 00:23:20.580]   Like there there are decency laws and standards
[00:23:20.580 --> 00:23:28.180]   But a lot of that is really just up to like whatever the f fcc at that particular moment wants to choose to do and even then
[00:23:28.660 --> 00:23:34.820]   like free speech is is pretty broad as it's been decided so ironically, it's like the argument to me
[00:23:34.820 --> 00:23:36.660]   is really
[00:23:36.660 --> 00:23:41.460]   Completely incogruous because on the one hand it's saying this is violating my first women rights because this is
[00:23:41.460 --> 00:23:44.660]   Um the public square and i've been limited by what I can say
[00:23:44.660 --> 00:23:51.380]   On the other hand it's saying well, you know 230 needs to go away because I want to be able to sue these companies and it's like okay
