
[00:00:00.000 --> 00:00:01.180]   (upbeat music)
[00:05:13.460 --> 00:05:14.460]   Two kids.
[00:05:14.460 --> 00:05:15.460]   You've written the article.
[00:05:15.460 --> 00:05:18.780]   So literally unemployment is two among the youth.
[00:05:18.780 --> 00:05:22.260]   I want to go find the two people that are like, I just will not work.
[00:05:22.260 --> 00:05:23.260]   I'm sorry.
[00:05:23.260 --> 00:05:27.020]   You're going to import people to do the job that I won't do down the street from around
[00:05:27.020 --> 00:05:28.020]   the world.
[00:05:28.020 --> 00:05:29.020]   They're probably in a band.
[00:05:29.020 --> 00:05:31.460]   I was going to make a League of Legends joke.
[00:05:31.460 --> 00:05:33.020]   I was going to have a prim to be that.
[00:05:33.020 --> 00:05:34.020]   Hey, that's a job.
[00:05:34.020 --> 00:05:35.020]   That's a full-time gig.
[00:05:35.020 --> 00:05:37.540]   For like nine people playing Twitch.
[00:05:37.540 --> 00:05:41.220]   So what made me interested about this is last week when Jason Calicanis was on, I asked
[00:05:41.220 --> 00:05:45.260]   him, what do you and your other, you know, multi-millionaire ilk?
[00:05:45.260 --> 00:05:46.700]   Where is your hidey hole?
[00:05:46.700 --> 00:05:48.620]   Where are you going to go if it all goes to hell?
[00:05:48.620 --> 00:05:51.180]   And he says New Zealand.
[00:05:51.180 --> 00:05:53.220]   But you don't need to be a millionaire anymore.
[00:05:53.220 --> 00:05:55.540]   If you have $165,000, you can go.
[00:05:55.540 --> 00:05:58.500]   I even, I actually, after I read this article, tell me if you did this too, Alex.
[00:05:58.500 --> 00:06:01.620]   I went and looked up the immigration requirements for New Zealand.
[00:06:01.620 --> 00:06:02.620]   Did you?
[00:06:02.620 --> 00:06:06.140]   So no, there's an update when I read the story at the very bottom from like the, like the
[00:06:06.140 --> 00:06:07.540]   mayor of the town or something.
[00:06:07.540 --> 00:06:08.540]   Yeah.
[00:06:08.540 --> 00:06:11.380]   He was like, look this up first before you apply to make sure you're eligible for immigration
[00:06:11.380 --> 00:06:12.380]   to the area.
[00:06:12.380 --> 00:06:13.900]   I don't know if it's in the diversion you have.
[00:06:13.900 --> 00:06:14.900]   It is.
[00:06:14.900 --> 00:06:15.900]   Very impressive.
[00:06:15.900 --> 00:06:16.900]   So I read the announcement.
[00:06:16.900 --> 00:06:20.260]   I went and I looked up and if you're an entrepreneur, if you want to, so if I wanted
[00:06:20.260 --> 00:06:26.020]   to bring Twit, the business to New Zealand, all I have to do is invest $100,000.
[00:06:26.020 --> 00:06:30.540]   I'm spending five times that to build a new studio in town.
[00:06:30.540 --> 00:06:33.460]   And then I could have a three-year residency.
[00:06:33.460 --> 00:06:36.100]   And if at the end of that residency, I want to become a full citizen I could.
[00:06:36.100 --> 00:06:37.100]   So I'm moving to New Zealand.
[00:06:37.100 --> 00:06:38.460]   I just want to announce that.
[00:06:38.460 --> 00:06:40.100]   You want to come, John?
[00:06:40.100 --> 00:06:41.100]   Carsten Burke.
[00:06:41.100 --> 00:06:42.100]   Okay, that's all I need.
[00:06:42.100 --> 00:06:43.100]   I got the three people.
[00:06:43.100 --> 00:06:46.460]   I'm like, take us out by boat for in-studio appearances or like, what's the plan for them?
[00:06:46.460 --> 00:06:47.660]   You can hire those teenagers.
[00:06:47.660 --> 00:06:49.060]   Well, there's two more.
[00:06:49.060 --> 00:06:50.060]   The two teenagers.
[00:06:50.060 --> 00:06:51.460]   You know what I actually thought about that?
[00:06:51.460 --> 00:06:53.460]   I wonder if they can edit video.
[00:06:53.460 --> 00:06:54.460]   Probably not.
[00:06:54.460 --> 00:06:55.460]   They can be unpaid interns.
[00:06:55.460 --> 00:06:56.900]   They probably have medical cards though, I'm sure.
[00:06:56.900 --> 00:07:00.100]   Can they put out seats for our non-existent studio audience who won't be there because
[00:07:00.100 --> 00:07:04.700]   not only is this in New Zealand, but this is the remotest coast on the south of New
[00:07:04.700 --> 00:07:05.700]   Zealand.
[00:07:05.700 --> 00:07:06.900]   What's the surfing like?
[00:07:06.900 --> 00:07:09.420]   It's actually the southeastern corner of the excellent.
[00:07:09.420 --> 00:07:10.420]   Surfing is excellent.
[00:07:10.420 --> 00:07:11.420]   Is it?
[00:07:11.420 --> 00:07:13.020]   No, they specifically mentioned that.
[00:07:13.020 --> 00:07:14.620]   Okay, so here's the user.
[00:07:14.620 --> 00:07:15.620]   You're the surfer?
[00:07:15.620 --> 00:07:17.460]   Yeah, I'm out.
[00:07:17.460 --> 00:07:18.420]   My wife is a British citizen.
[00:07:18.420 --> 00:07:19.420]   Does that help?
[00:07:19.420 --> 00:07:20.420]   Doesn't.
[00:07:20.420 --> 00:07:21.420]   Damn it.
[00:07:21.420 --> 00:07:23.740]   So we've even made a kind of emotional video.
[00:07:23.740 --> 00:07:25.020]   What kind of bandwidth can you get?
[00:07:25.020 --> 00:07:26.020]   That's the big...
[00:07:26.020 --> 00:07:27.500]   I don't know why they're mentioning Australia.
[00:07:27.500 --> 00:07:28.500]   Zealand.
[00:07:28.500 --> 00:07:30.940]   Okay, I looked that up too.
[00:07:30.940 --> 00:07:33.340]   So there are two undersea cables to New Zealand.
[00:07:33.340 --> 00:07:35.700]   There's a TAS cable which comes from Australia.
[00:07:35.700 --> 00:07:36.700]   Not very many.
[00:07:36.700 --> 00:07:39.700]   But there's a very good one that comes from California to New Zealand.
[00:07:39.700 --> 00:07:40.700]   Really?
[00:07:40.700 --> 00:07:41.700]   Yeah.
[00:07:41.700 --> 00:07:46.580]   The DSL, the ADSL2, and other high-speed connections they have fiber.
[00:07:46.580 --> 00:07:47.580]   Okay.
[00:07:47.580 --> 00:07:50.580]   And I think there's sufficient bandwidth.
[00:07:50.580 --> 00:07:54.860]   I don't know if there's sufficient bandwidth to this particular island.
[00:07:54.860 --> 00:07:55.860]   But I think there's sufficient bandwidth.
[00:07:55.860 --> 00:07:58.140]   You know who moved to New Zealand, of course, is in Australia.
[00:07:58.140 --> 00:07:59.140]   Yeah, right.
[00:07:59.140 --> 00:08:00.140]   I love it.
[00:08:00.140 --> 00:08:01.140]   He loves it.
[00:08:01.140 --> 00:08:02.140]   He lives in Queenstown.
[00:08:02.140 --> 00:08:03.140]   What?
[00:08:03.140 --> 00:08:06.420]   What's the laughing about the two unemployed young people?
[00:08:06.420 --> 00:08:07.420]   Two.
[00:08:07.420 --> 00:08:08.420]   They're still unemployed.
[00:08:08.420 --> 00:08:09.420]   He just checked.
[00:08:09.420 --> 00:08:10.420]   Two.
[00:08:10.420 --> 00:08:13.860]   And they're known for being unemployed by purpose, for on purpose.
[00:08:13.860 --> 00:08:16.420]   And for ashamed parents.
[00:08:16.420 --> 00:08:20.340]   What I find interesting is that you, not only did you read this article, but I see now it
[00:08:20.340 --> 00:08:23.180]   is the most popular article that's ever since been chronicled.
[00:08:23.180 --> 00:08:24.180]   Ironically.
[00:08:24.180 --> 00:08:25.180]   Covering that local island.
[00:08:25.180 --> 00:08:27.180]   Do you think there's going to be this mass excellence?
[00:08:27.180 --> 00:08:28.660]   There was a farcical t-shirt on.
[00:08:28.660 --> 00:08:29.660]   We come out every day.
[00:08:29.660 --> 00:08:30.660]   I'm our brand for Ellen Tom's Day.
[00:08:30.660 --> 00:08:31.660]   Oh, I get it.
[00:08:31.660 --> 00:08:32.660]   It's a little pride joke.
[00:08:32.660 --> 00:08:33.660]   It's come out every day.
[00:08:33.660 --> 00:08:34.660]   That's good.
[00:08:34.660 --> 00:08:36.860]   All right, now we're going to cover the tech news.
[00:08:36.860 --> 00:08:37.860]   Oh, right.
[00:08:37.860 --> 00:08:38.860]   I know.
[00:08:38.860 --> 00:08:39.860]   It's not interesting.
[00:08:39.860 --> 00:08:44.100]   I'm a tech anglers, of course, which is the digital nomad lifestyle, which I have become
[00:08:44.100 --> 00:08:45.100]   a big evangelist.
[00:08:45.100 --> 00:08:46.100]   You inspire me.
[00:08:46.100 --> 00:08:48.220]   You don't have to stay in New Zealand.
[00:08:48.220 --> 00:08:52.260]   You could live in New Zealand for a while and then go to Australia for a while and then
[00:08:52.260 --> 00:08:53.260]   you can go to wherever.
[00:08:53.260 --> 00:08:54.260]   You move around.
[00:08:54.260 --> 00:08:55.260]   I moved around.
[00:08:55.260 --> 00:08:56.620]   I lived for a month in Cuba.
[00:08:56.620 --> 00:08:58.460]   I lived for a couple of months in Mexico.
[00:08:58.460 --> 00:09:00.460]   So you're a writer.
[00:09:00.460 --> 00:09:03.260]   So there's a difference because writing you can do anywhere.
[00:09:03.260 --> 00:09:04.860]   You don't even need very fast internet.
[00:09:04.860 --> 00:09:05.860]   You just upload.
[00:09:05.860 --> 00:09:06.860]   Right.
[00:09:06.860 --> 00:09:11.020]   If you went to videos a problem, it's expensive.
[00:09:11.020 --> 00:09:12.700]   What you do here is very, very difficult.
[00:09:12.700 --> 00:09:14.780]   Well, I could go back to audio.
[00:09:14.780 --> 00:09:15.780]   I could do audio.
[00:09:15.780 --> 00:09:17.980]   Do you think I could do audio podcasting for anywhere in the way?
[00:09:17.980 --> 00:09:19.460]   You know, I can't do as live streaming.
[00:09:19.460 --> 00:09:21.780]   I could do I could record it and upload it.
[00:09:21.780 --> 00:09:24.420]   I might take a day or two to do it.
[00:09:24.420 --> 00:09:29.020]   Anyway, believe me, I'm thinking about it.
[00:09:29.020 --> 00:09:32.460]   Only because it just feels like we're going to hell in a hand basket here.
[00:09:32.460 --> 00:09:33.460]   I don't know why.
[00:09:33.460 --> 00:09:34.460]   Is that me?
[00:09:34.460 --> 00:09:37.340]   I'm not taking the headphone jack out of the iPhone.
[00:09:37.340 --> 00:09:38.340]   That will not stand.
[00:09:38.340 --> 00:09:41.060]   I mean, it feels like it's all over.
[00:09:41.060 --> 00:09:42.060]   It's all over.
[00:09:42.060 --> 00:09:43.860]   The flop and drives are going to stay around.
[00:09:43.860 --> 00:09:45.700]   And this is the funny thing.
[00:09:45.700 --> 00:09:50.860]   Business Insider had an article saying how much innovation it's going to stimulate when
[00:09:50.860 --> 00:09:53.460]   they take the headphone jack out of the iPhone.
[00:09:53.460 --> 00:09:56.300]   I just vomited them out of mouth.
[00:09:56.300 --> 00:09:57.300]   Innovation.
[00:09:57.300 --> 00:09:58.300]   Whoa.
[00:09:58.300 --> 00:09:59.300]   Innovation.
[00:09:59.300 --> 00:10:00.300]   You'll see the CES 2017.
[00:10:00.300 --> 00:10:01.300]   I was sorry.
[00:10:01.300 --> 00:10:02.740]   Innovation is going to happen anyway.
[00:10:02.740 --> 00:10:04.820]   Because the Doppler here won.
[00:10:04.820 --> 00:10:06.940]   Oh my god.
[00:10:06.940 --> 00:10:07.940]   It's not finished yet.
[00:10:07.940 --> 00:10:10.340]   But like the Doppler in like three or four years, this thing.
[00:10:10.340 --> 00:10:11.820]   Which is the thing that aims at you?
[00:10:11.820 --> 00:10:12.820]   Right.
[00:10:12.820 --> 00:10:14.060]   No, this is the thing you open up the app and you're like, I don't want to hear the baby
[00:10:14.060 --> 00:10:17.420]   crying and then silence the baby remotely.
[00:10:17.420 --> 00:10:18.820]   You can like silence sirens.
[00:10:18.820 --> 00:10:20.420]   You can turn up this, turn down that.
[00:10:20.420 --> 00:10:23.700]   You can tailor exactly what you hear and the new one.
[00:10:23.700 --> 00:10:27.100]   You can stream your music and make phone calls and do all the things you can do with a regular
[00:10:27.100 --> 00:10:28.100]   ear.
[00:10:28.100 --> 00:10:29.100]   It's like fantastic.
[00:10:29.100 --> 00:10:30.180]   It's 300 bucks, unfortunately.
[00:10:30.180 --> 00:10:31.180]   But this is where-
[00:10:31.180 --> 00:10:32.180]   Wait a much.
[00:10:32.180 --> 00:10:33.180]   You're like six thousand dollars.
[00:10:33.180 --> 00:10:34.180]   Well, that's right.
[00:10:34.180 --> 00:10:35.180]   This is a replacement.
[00:10:35.180 --> 00:10:40.020]   These kinds of, this category of hearable, they don't like that term, but I like it hearable.
[00:10:40.020 --> 00:10:43.540]   There's several multi-core processors in each earbud.
[00:10:43.540 --> 00:10:46.540]   This is really sophisticated audio technology.
[00:10:46.540 --> 00:10:47.940]   And I think it's all going in that direction.
[00:10:47.940 --> 00:10:48.940]   It'll get cheaper.
[00:10:48.940 --> 00:10:49.940]   It'll get smaller.
[00:10:49.940 --> 00:10:51.420]   The battery life is the new wearable, isn't it?
[00:10:51.420 --> 00:10:52.420]   Yes.
[00:10:52.420 --> 00:10:53.420]   And so it's like, this is what I want.
[00:10:53.420 --> 00:10:54.980]   I want to never take them out.
[00:10:54.980 --> 00:10:57.380]   I want to hear only what I want to hear.
[00:10:57.380 --> 00:10:59.340]   Kind of like, you know, political opinions, whatever.
[00:10:59.340 --> 00:11:00.340]   Whatever.
[00:11:00.340 --> 00:11:01.340]   I only, I want my own filter bubble.
[00:11:01.340 --> 00:11:02.340]   You can't, you can't.
[00:11:02.340 --> 00:11:03.340]   No, you're out.
[00:11:03.340 --> 00:11:04.340]   You cannot.
[00:11:04.340 --> 00:11:05.340]   Not yet.
[00:11:05.340 --> 00:11:06.340]   Not yet.
[00:11:06.340 --> 00:11:06.340]   Wait till after there's all this kick-
[00:11:06.340 --> 00:11:07.340]   That would be a desirable plug-in.
[00:11:07.340 --> 00:11:08.340]   I don't want to hear anything about the election.
[00:11:08.340 --> 00:11:09.340]   But six months.
[00:11:09.340 --> 00:11:10.980]   That would be a plug-in.
[00:11:10.980 --> 00:11:11.980]   But exactly.
[00:11:11.980 --> 00:11:15.260]   But this ships by the end of the year, and it's fantastic.
[00:11:15.260 --> 00:11:17.260]   And then there are a few others, this matter.
[00:11:17.260 --> 00:11:19.540]   Well, you say it's fantastic.
[00:11:19.540 --> 00:11:20.540]   Have you used it?
[00:11:20.540 --> 00:11:21.540]   No.
[00:11:21.540 --> 00:11:22.540]   No, I have-
[00:11:22.540 --> 00:11:23.540]   So in principle-
[00:11:23.540 --> 00:11:26.860]   In principle, their previous product was impressive in multiple ways.
[00:11:26.860 --> 00:11:28.260]   There are a few things about this product.
[00:11:28.260 --> 00:11:29.260]   They're kind of parlor tricks.
[00:11:29.260 --> 00:11:32.380]   You can have the Darth Vader voice and all kind of stuff, which is dumb.
[00:11:32.380 --> 00:11:34.060]   Everybody else sounds like Darth Vader.
[00:11:34.060 --> 00:11:36.380]   Whatever you can, they sound like anything you want.
[00:11:36.380 --> 00:11:38.380]   I don't like that aspect of it.
[00:11:38.380 --> 00:11:39.380]   But I love it.
[00:11:39.380 --> 00:11:40.380]   I love it.
[00:11:40.380 --> 00:11:41.380]   So you know the concept-
[00:11:41.380 --> 00:11:42.380]   You think so, Roberta?
[00:11:42.380 --> 00:11:43.380]   Dumb?
[00:11:43.380 --> 00:11:44.380]   Would that be-
[00:11:44.380 --> 00:11:45.380]   Engagit has spoken.
[00:11:45.380 --> 00:11:46.380]   How about it?
[00:11:46.380 --> 00:11:47.380]   What do we do?
[00:11:47.380 --> 00:11:48.380]   I don't know.
[00:11:48.380 --> 00:11:49.380]   Everybody's voice.
[00:11:49.380 --> 00:11:50.380]   Yeah.
[00:11:50.380 --> 00:11:51.380]   Everybody's kind of like them.
[00:11:51.380 --> 00:11:52.380]   Do you get a little something million-
[00:11:52.380 --> 00:11:53.380]   The Enterprise market.
[00:11:53.380 --> 00:11:54.380]   The Pervy Grandpa from The Simpsons.
[00:11:54.380 --> 00:11:55.380]   Oh, well, my sh*t.
[00:11:55.380 --> 00:11:56.380]   Everybody is up.
[00:11:56.380 --> 00:11:57.380]   Yeah.
[00:11:57.380 --> 00:11:58.380]   You'd be like friends with that or-
[00:11:58.380 --> 00:11:59.220]   Family guy.
[00:11:59.220 --> 00:12:00.980]   Is that who he's from?
[00:12:00.980 --> 00:12:01.980]   Yes.
[00:12:01.980 --> 00:12:02.980]   Okay.
[00:12:02.980 --> 00:12:03.980]   Yeah.
[00:12:03.980 --> 00:12:06.460]   Smart noise filters is really intriguing.
[00:12:06.460 --> 00:12:07.460]   Yeah.
[00:12:07.460 --> 00:12:08.460]   The problem-
[00:12:08.460 --> 00:12:12.780]   You know, it's easy for the bows and other noise-canceling headphones to work with jet
[00:12:12.780 --> 00:12:16.580]   noise because it's a consistent sound, a consistent frequency.
[00:12:16.580 --> 00:12:18.780]   They don't work well at all with voice or anything else.
[00:12:18.780 --> 00:12:22.980]   So I'd be very curious how smart these smart noise filters are.
[00:12:22.980 --> 00:12:26.180]   I guess an airplane engine is not so hard, but office chatter?
[00:12:26.180 --> 00:12:27.380]   Can you really block that out?
[00:12:27.380 --> 00:12:28.380]   You can.
[00:12:28.380 --> 00:12:29.380]   These things work.
[00:12:29.380 --> 00:12:31.060]   They work like noise cancellation where it is.
[00:12:31.060 --> 00:12:33.500]   They essentially take in the noise and then they-
[00:12:33.500 --> 00:12:34.500]   Face it.
[00:12:34.500 --> 00:12:35.500]   -- oppose it.
[00:12:35.500 --> 00:12:36.500]   Yeah.
[00:12:36.500 --> 00:12:38.060]   And they do the same thing on the fly with specific frequencies.
[00:12:38.060 --> 00:12:40.740]   So they don't have a generic, for example, a baby filter.
[00:12:40.740 --> 00:12:44.340]   There's one everybody likes who's- we've all been on those airplanes.
[00:12:44.340 --> 00:12:46.180]   It doesn't generically filter out.
[00:12:46.180 --> 00:12:51.340]   It listens for and identifies exactly what that specific baby is doing and where it's
[00:12:51.340 --> 00:12:52.340]   doing it.
[00:12:52.340 --> 00:12:55.900]   So the filtering in each earbud is different based on the location of the baby and stuff
[00:12:55.900 --> 00:12:56.900]   like that.
[00:12:56.900 --> 00:12:57.900]   It's pretty sophisticated.
