
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[00:03:16.920 --> 00:03:22.400]   Yeah, there's a whole complicated story behind that I switch publishers basically is the the short version
[00:03:22.400 --> 00:03:28.320]   And so we we moved on and so book what was originally book two became book one in the new series
[00:03:28.320 --> 00:03:30.600]   So yeah, I kind of try to stick with that
[00:03:30.600 --> 00:03:36.160]   But is it confusing people ask a lot on the front it says the galactic cold war book three
[00:03:36.160 --> 00:03:39.520]   That's all we're going with that go with that baby can't wait
[00:03:39.520 --> 00:03:41.840]   Can't wait
[00:03:41.840 --> 00:03:48.120]   I like series. I have to say I really enjoy series. I'm in the middle of the boba verse right now
[00:03:48.120 --> 00:03:56.520]   which is yeah, it was kind of fun series and it's nice because it I don't know sci-fi lends itself to serialization I guess and
[00:03:56.520 --> 00:04:00.600]   chance to really develop some themes I think it's the same reason like TV shit
[00:04:00.600 --> 00:04:04.920]   You know it's the golden age of TV right like people like that sort of long-form storytelling
[00:04:04.920 --> 00:04:11.160]   And I think a series of books is the closest you can kind of get to that in yeah in literature world. Yeah, I think we're learning that
[00:04:11.480 --> 00:04:18.020]   It's better to develop a character over a longer period time speaking of characters Christine Warren and Christina Warren's here
[00:04:18.020 --> 00:04:24.200]   Brand new job for film girl now a senior dev advocate at github yay
[00:04:24.200 --> 00:04:31.200]   Yes, yes, congratulations. Thank you so much. I really appreciate it. I'm really really excited
[00:04:31.200 --> 00:04:37.720]   Is a new job though? I mean Microsoft owns github. Okay, so so this is a common thing
[00:04:37.720 --> 00:04:40.600]   This has come up a lot and and I've kind of tried to joke about it online
[00:04:40.600 --> 00:04:46.040]   I'm like it's people like you're being so dramatic you you know saying you're leaving Microsoft and like you went down the street
[00:04:46.040 --> 00:04:47.880]   granted
[00:04:47.880 --> 00:04:49.520]   Maybe a little dramatic
[00:04:49.520 --> 00:04:54.160]   It's kind of like like like Schrodinger's like Microsoft would like depending on like you know
[00:04:54.160 --> 00:04:56.160]   Like what we look in the box is it or is it not?
[00:04:56.160 --> 00:05:02.240]   Because here's the situation obviously yes Microsoft is the parent company, but it's it's run independently so
[00:05:03.880 --> 00:05:08.340]   There's a different email system. I have a different payroll system. I have different health benefits
[00:05:08.340 --> 00:05:13.560]   You know like it's a little different and different badge. Yeah, will you be talking to the same people?
[00:05:13.560 --> 00:05:17.560]   They sort of developers of it all use yeah
[00:05:17.560 --> 00:05:21.320]   Yeah, exactly so I mean it's a similar audience, but it's a little bit broader
[00:05:21.320 --> 00:05:27.600]   Whereas like Microsoft I was working for Azure the the Azure side and I was focusing on Linux and and so I
[00:05:27.600 --> 00:05:32.760]   Wasn't and I never I think no one on that team's purview has only been to target
[00:05:32.760 --> 00:05:36.080]   You know Azure users wanting to target all developers
[00:05:36.080 --> 00:05:41.480]   But you know hoping that they might find reasons to use Azure whereas github. It's a lot more broad
[00:05:41.480 --> 00:05:43.000]   It's like it doesn't matter
[00:05:43.000 --> 00:05:47.200]   You know like what what cloud you're on or if you're self-hosting or what the situation is
[00:05:47.200 --> 00:05:51.980]   It's about you know creating the best tools and experiences and community for developers
[00:05:51.980 --> 00:05:55.960]   I'm a huge github fan use it all the time
[00:05:55.960 --> 00:06:01.880]   So this is great. I'm excited for you. I think it's a perfect. I'm so glad you're there
[00:06:02.320 --> 00:06:05.440]   Yeah, no, I'm super excited and I feel like it's a really great fit too
[00:06:05.440 --> 00:06:11.440]   So it's because it brings in a lot of the things that I've loved over the years and and the strong community component
[00:06:11.440 --> 00:06:16.800]   Is something that that I'm really really psyched about we also have Wesley Faulkner on the panel
[00:06:16.800 --> 00:06:20.400]   It's always great to see Wesley head of community at single store
[00:06:20.400 --> 00:06:25.920]   It's good to see how's everything going Wesley you're wearing your blue blockers. That's good got to protect the eyes
[00:06:25.920 --> 00:06:30.360]   Yeah, it talked about how like life is challenging, but there's still like
[00:06:31.120 --> 00:06:33.120]   Some some highlights
[00:06:33.120 --> 00:06:39.080]   We just got back from the Twin Cities the Mall of America celebrating my daughter's
[00:06:39.080 --> 00:06:42.440]   Birthday is that where she wanted to go for a birthday?
[00:06:42.440 --> 00:06:48.520]   Yes, she wanted to go we spent the night fancy hotel. She loves pools
[00:06:48.520 --> 00:06:56.160]   And we went on rides and roller coasters got her a couple purses and some clothes
[00:06:56.720 --> 00:07:01.240]   Yeah, that's that was her choice and she enjoyed it so much. How old is she great? I?
[00:07:01.240 --> 00:07:07.340]   I'm reluctant to say to put it out there. Well, she's not 30. That's my daughter's birthday
[00:07:07.340 --> 00:07:12.760]   No, it's not just a couple of days. I'll just say that she's younger than eight and older than six. I think Abby
[00:07:12.760 --> 00:07:17.840]   Okay, I'll let you do that. That's good. Okay, that's the narrows it down
[00:07:17.840 --> 00:07:22.100]   No, Abby's 30 and she did not want to go to the Mall of America
[00:07:22.100 --> 00:07:29.060]   But actually asked maybe when she was about that age we went to the American Girl doll museum. Oh, yeah
[00:07:29.060 --> 00:07:34.000]   Okay, that would have yeah, I would have been into that. Yeah, that's that's pretty good
[00:07:34.000 --> 00:07:37.460]   I would have been in 12 America, too. That's awesome. Yeah, no, they're both good honestly
[00:07:37.460 --> 00:07:40.940]   But she had cut all the hair off of one of her American Girl dolls
[00:07:40.940 --> 00:07:44.780]   So we had a pay a visit to the hospital where they put new hair
[00:07:44.780 --> 00:07:51.700]   I remember this so I used to get the catalogs because it was like it was like the pleasant company
[00:07:51.700 --> 00:07:53.380]   Then it was the American company or whatever
[00:07:53.380 --> 00:07:55.840]   They used to send the big catalogs and in the back
[00:07:55.840 --> 00:07:58.620]   They would have a thing like if you had to send your doll at the doll hospital
[00:07:58.620 --> 00:08:02.300]   Yes, and and mine I took care of it, but my neighbors
[00:08:02.300 --> 00:08:05.180]   We had all four of the original ones but between us
[00:08:05.180 --> 00:08:08.340]   One of them had some sort of problem and the doll came back
[00:08:08.340 --> 00:08:11.100]   I'll never forget it came back like in a hospital gown and with like a
[00:08:11.100 --> 00:08:21.660]   They have a T room there where you have chairs for big people and they have little chairs for the doll
[00:08:22.220 --> 00:08:25.360]   And they serve T to the dolls somewhere. I have a picture of me
[00:08:25.360 --> 00:08:30.600]   Sitting there and then afterwards we went to Chicago Cubs game and I got to hold the doll
[00:08:30.600 --> 00:08:38.340]   It was it was her and her best friend and her best friend's dad. It was quite an outing. I'll never forget it
[00:08:38.340 --> 00:08:43.740]   That's what yeah, actually I'm glad there is a there. There is a build a bear in the mall of America
[00:08:43.740 --> 00:08:49.900]   That's that line. Yeah, always around the corner so funny the whole time. That's so funny
[00:08:50.860 --> 00:08:53.500]   Wow what we do for our kids, right?
[00:08:53.500 --> 00:08:56.420]   Anything anything
[00:08:56.420 --> 00:09:03.580]   Do you have kids Dan? You don't have kids. I do not currently no most science fiction authors in fact are single
[00:09:03.580 --> 00:09:07.140]   No, I am married
[00:09:07.140 --> 00:09:15.460]   It's just a joke. No, I'm just kidding boy. I was a little upset with wise this week
[00:09:16.260 --> 00:09:22.700]   WYZ I've been recommending their cameras. I thought they were the best thing ever up your way Christina in Seattle
[00:09:22.700 --> 00:09:26.460]   Because they were selling what would normally be very expensive
[00:09:26.460 --> 00:09:32.480]   cameras and other electronic products for remarkably low prices like
[00:09:32.480 --> 00:09:34.660]   20 and 30 dollars
[00:09:34.660 --> 00:09:40.700]   And they were good stuff. They sell now sprinkler controllers and noise canceling headphones and and earbuds
[00:09:40.700 --> 00:09:43.820]   But it was the wise cam number one
[00:09:44.860 --> 00:09:52.380]   That was the amazing first product turns out it was hackable for three years
[00:09:52.380 --> 00:09:56.780]   They did nothing about it. They didn't tell anybody they knew
[00:09:56.780 --> 00:10:01.340]   That that hackers could remotely access your camera
[00:10:01.340 --> 00:10:06.260]   Without much fanfare earlier this year. They discontinued it
[00:10:06.260 --> 00:10:14.820]   Without a full explanation eventually they sent out a a little note to wise cam version one owners saying hey friends
[00:10:15.260 --> 00:10:18.580]   It's a new year that comes with some important updates
[00:10:18.580 --> 00:10:22.740]   Protecting you and your security always top of mind for us to do that
[00:10:22.740 --> 00:10:25.460]   We'll need you to update your YZ app
[00:10:25.460 --> 00:10:31.060]   Update your camera firmware and oh by the way if it's version one throw it out. No, they don't say that
[00:10:31.060 --> 00:10:33.060]   But that's what you should do
[00:10:33.060 --> 00:10:39.300]   Because there are no updates version one now there is some debate over how hackable
[00:10:39.300 --> 00:10:42.140]   it was but
[00:10:42.460 --> 00:10:48.660]   Hackable at all and if it's known at the company and they don't tell you is a big deal. I
[00:10:48.660 --> 00:10:50.740]   Didn't know if it was the playable bulb
[00:10:50.740 --> 00:10:57.020]   But it they did say that it wasn't just inter intercepting a stream that actually reading the memory card
[00:10:57.020 --> 00:10:57.820]   Yes
[00:10:57.820 --> 00:11:05.900]   And so when you have the trigger setup where it only triggers useful events that's way more of a
[00:11:07.260 --> 00:11:13.220]   Pot of interesting information rather than just tapping into a random web chemistry everything the camera is recorded
[00:11:13.220 --> 00:11:18.020]   Specifically things that trigger it which are the things that people want to see right?
[00:11:18.020 --> 00:11:22.740]   Nobody's people aren't combing through hours and hours of footage to try and find like oh now
[00:11:22.740 --> 00:11:27.740]   I found the like one minute in this footage that's interesting. They're getting the highlight reel now
[00:11:27.740 --> 00:11:32.620]   I first became aware of it with Sean Hollister's article in the verge. I'm done with wise
[00:11:32.620 --> 00:11:35.020]   I'm throwing them all out
[00:11:35.020 --> 00:11:40.500]   And he got a little bit wrong wise reached out to tell him that there was
[00:11:40.500 --> 00:11:43.900]   Subscure well basically security through obscurity
[00:11:43.900 --> 00:11:49.340]   And in order for the attack to work it had needed an initial camera ID
[00:11:49.340 --> 00:11:54.900]   Which is a non predictable string that can only be acquired if you're on the same network as the device
[00:11:54.900 --> 00:12:02.500]   So hackers would have to camp outside get into your Wi-Fi for instance and see it that way or perhaps get into your house
[00:12:02.540 --> 00:12:08.060]   but it doesn't eliminate the evil made attack and I don't care vulnerable is vulnerable and
[00:12:08.060 --> 00:12:11.060]   I mean
[00:12:11.060 --> 00:12:19.940]   How I guess this is an interesting question how much Christina how much should we hold wise to the feet to the fire for this?
[00:12:19.940 --> 00:12:27.100]   I mean I think that if look if you make the decision that you were not going to update a product for whatever reason
[00:12:27.860 --> 00:12:33.220]   That's one thing and and I think that that especially given what type of product this is that that's
[00:12:33.220 --> 00:12:36.420]   Customers should probably look at it and be like okay
[00:12:36.420 --> 00:12:38.660]   Well, I'm never going to buy anything from you again if this is how you do it
[00:12:38.660 --> 00:12:43.900]   But the fact that like it seems like they waited so long three years three years before even alerting people
[00:12:43.900 --> 00:12:46.140]   That to me like when you know
[00:12:46.140 --> 00:12:52.220]   That's the unacceptable part if you don't want if you don't have the money or the time of the resources or the engineering talent
[00:12:52.220 --> 00:12:54.980]   Or whatever the case may be to update your old product fine
[00:12:55.220 --> 00:13:01.140]   That's we can critique that but but whatever but but to not even bother to let people know hey
[00:13:01.140 --> 00:13:06.580]   This security device which you are selling us a security device that is capturing pretty sensitive information
[00:13:06.580 --> 00:13:12.060]   Has vulnerabilities where people could take over it and could do things to it and you're not telling anyone?
[00:13:12.060 --> 00:13:16.540]   That's not that that's not that's unacceptable at all. I think we should definitely hold their feet to the fire
[00:13:16.540 --> 00:13:23.540]   There are also questions about bit defender because they learned about this vulnerability in March of 2019
[00:13:24.620 --> 00:13:26.620]   notified wise
[00:13:26.620 --> 00:13:30.420]   Normally with the security company. There is a responsible disclosure
[00:13:30.420 --> 00:13:37.900]   Agreement where you wait a certain amount of time usually three months and if the company doesn't fix it
[00:13:37.900 --> 00:13:40.660]   you then disclose it because
[00:13:40.660 --> 00:13:46.540]   It's only a matter of time before hackers discovered if bit defender could have discovered it for some reason
[00:13:46.540 --> 00:13:50.340]   bit defender decided not to do that
[00:13:51.700 --> 00:14:00.180]   And so I'm not bit defenders PR director told the Verge our findings were so serious
[00:14:00.180 --> 00:14:08.620]   Our decision regardless of our usually 90 day with grace period extensions policy was that publishing this report without wise his
[00:14:08.620 --> 00:14:15.060]   acknowledgement and mitigation was going to expose potentially millions of customers with unknown implications
[00:14:15.060 --> 00:14:21.060]   Since the vendor didn't have as far as we knew a security process
[00:14:21.940 --> 00:14:26.780]   We just delayed publishing and you know that's one of the arguments for never disclosing
[00:14:26.780 --> 00:14:30.100]   But at the same time it's if you could find a bit defender couldn't
[00:14:30.100 --> 00:14:37.540]   Yeah, yeah, I think it's also interesting that like as they point out wise didn't seem to have a security framework in place
[00:14:37.540 --> 00:14:40.980]   Which is a strange decision for a company that's you know
[00:14:40.980 --> 00:14:46.900]   Making smart home tech right we all know that smart home tech is a big vector for for cyber attack
[00:14:46.900 --> 00:14:52.940]   So you feels like you would have this in place and I can't help but think you know the sort of the fact that wise has been able to
[00:14:52.940 --> 00:14:59.820]   Sell these devices at such a low cost and generally we had felt previously like good quality
[00:14:59.820 --> 00:15:06.380]   But it makes you think well there are corners perhaps perhaps being cut here or there and it feels maybe a little fly-by night at times
[00:15:06.380 --> 00:15:10.300]   It's possibly to me I have to say
[00:15:10.300 --> 00:15:16.500]   The wise their whole deal especially with the wise camera one was that they didn't make any of the hardware
[00:15:16.500 --> 00:15:21.460]   they got cheap hardware from Chinese manufacturers and
[00:15:21.460 --> 00:15:29.260]   Only thing that they did was the software so they wrote their own software and so knowing
[00:15:29.260 --> 00:15:31.580]   that they were
[00:15:31.580 --> 00:15:33.580]   willing to wash their hands of
[00:15:33.580 --> 00:15:36.580]   at least that part is almost like what
[00:15:36.580 --> 00:15:44.700]   What is their expertise at that point because they are just now just passing on just the cheap like the
[00:15:45.140 --> 00:15:49.940]   stereotypical cheap Chinese knockoff hardware stuff where it could be really really
[00:15:49.940 --> 00:15:58.500]   Like hacked or not done in a way that it was secure and so now knowing that they are in themselves like
[00:15:58.500 --> 00:16:07.060]   At least at that point in time did not do all the safeguards needed to really protect our users and make sure that things were done at the
[00:16:07.060 --> 00:16:09.060]   High quality that they claimed
[00:16:09.060 --> 00:16:13.820]   It's almost like I wish that they had at that point of time
[00:16:14.420 --> 00:16:19.420]   Been outed and they most likely that would have killed the company sadly
[00:16:19.420 --> 00:16:25.300]   but now these these cameras are everywhere and people have them set up and people are relying on them and
[00:16:25.300 --> 00:16:30.780]   This this specific article even though now it's widely released
[00:16:30.780 --> 00:16:35.940]   How many of those cameras will hear about this right the people who are operating these cameras
[00:16:35.940 --> 00:16:40.100]   And so they probably would not have had them if this came out three years ago
[00:16:43.220 --> 00:16:47.920]   Should so I feel bad because I've been telling people for many years to buy wise
[00:16:47.920 --> 00:16:52.060]   Cameras back to those $20 version one cameras. We even have a few
[00:16:52.060 --> 00:17:01.380]   Is this bad enough that you don't recommend wise ever again because you know clearly they don't care about security or is this
[00:17:01.380 --> 00:17:05.300]   A mistake that could easily be made by a new young company
[00:17:05.300 --> 00:17:09.700]   They decided because you'd have to have access to the network. It wasn't that big a deal
[00:17:09.700 --> 00:17:16.500]   I mean we disclose lots of flaws that require physical access to the machine. That's it still should be disclosed
[00:17:16.500 --> 00:17:16.980]   Well, yeah
[00:17:16.980 --> 00:17:23.900]   I mean and deciding that it's not making the decision for your customers that it's not that big a deal strikes me as the thing that's kind of
[00:17:23.900 --> 00:17:30.820]   Feels uncomfortable right like that should be up to the owners of these cameras to decide whether or not that's an acceptable level of risk
[00:17:30.820 --> 00:17:37.300]   Yeah, I never was telling the company if they announce it and say and I guess wise didn't have a way to push updates
[00:17:37.300 --> 00:17:41.980]   But they could have sent you know, they could have said down, you know take that mini SD card
[00:17:41.980 --> 00:17:46.260]   Copy this file to it. Maybe they had no way to update it. I don't know
[00:17:46.260 --> 00:17:54.420]   Yeah, I mean every software company as you to their point Leo about like, you know places
[00:17:54.420 --> 00:17:59.420]   Don't not holding it against companies like every software company has to cause happen every single one, right?
[00:17:59.420 --> 00:18:03.140]   It's never not gonna be a case. So you told how you handle it
[00:18:04.380 --> 00:18:08.580]   And and of course this underscores the very good advice
[00:18:08.580 --> 00:18:17.460]   Stacey Higginbotham on her twig show gives she's an IOT expert and many others do not buy an IOT device that doesn't have a
[00:18:17.460 --> 00:18:22.580]   Security framework that doesn't have a way that patches can be applied especially
[00:18:22.580 --> 00:18:25.780]   ideally pushed to the device and
[00:18:25.780 --> 00:18:33.100]   Google's nest cameras they can push patches they'd have the ring doorbell they can push patches they have
[00:18:34.020 --> 00:18:40.300]   Stuff happens mistakes happen, but but ideally the company should be able to repair that device
[00:18:40.300 --> 00:18:43.540]   Even if you're not paying attention and apparently
[00:18:43.540 --> 00:18:47.300]   Wise did not I don't know what their current situation is
[00:18:47.300 --> 00:18:50.100]   I
[00:18:50.100 --> 00:18:52.940]   Mean I think the fact that it was three years me for me personally
[00:18:52.940 --> 00:18:55.420]   I would say that this becomes like a deal breaker, right?
[00:18:55.420 --> 00:18:58.820]   Like if you wanted to say three months six months were investigating
[00:18:58.820 --> 00:19:03.280]   We're trying to figure this out given the severity of what this is we don't want someone to create a zero day
[00:19:03.500 --> 00:19:07.460]   Sort of click and and whatever thing because if someone's local, you know
[00:19:07.460 --> 00:19:12.580]   It was exposed to the open internet which was some people's configurations might be you know that could be a problem
[00:19:12.580 --> 00:19:15.740]   Whatever I would still have a problem with this
[00:19:15.740 --> 00:19:19.980]   But I could be more sympathetic new company and whatnot but this number of years of
[00:19:19.980 --> 00:19:27.140]   This is a long time when you're now an unlike what version are they on on other products on version three I think yeah
[00:19:27.140 --> 00:19:33.300]   You know so you you release subsequent products that don't have this issue and in their own
[00:19:33.620 --> 00:19:37.140]   Explanation of this they said okay, well the the the small memory amount
[00:19:37.140 --> 00:19:42.300]   Which was the whole reason we had to go to to version two this is why we haven't been able to update version one
[00:19:42.300 --> 00:19:47.820]   Okay, well if you know this and if you're running into this issue then that means you need to alert people in my opinion
[00:19:47.820 --> 00:19:50.360]   Then in there you need to say hey
[00:19:50.360 --> 00:19:51.060]   This is a problem
[00:19:51.060 --> 00:19:57.180]   This can't be updated this as a vulnerability and you need to offer some sort of trade-in and you need to offer some sort of amount of credit
[00:19:57.180 --> 00:19:59.860]   If you don't like a good will thing this is okay
[00:19:59.860 --> 00:20:03.300]   here's you know like like 50 dollars off you know a
[00:20:03.300 --> 00:20:06.380]   version two or something right like
[00:20:06.380 --> 00:20:11.780]   Or at the very least because they are a low price point if people want to get mad
[00:20:11.780 --> 00:20:13.860]   Then they could have that say okay well
[00:20:13.860 --> 00:20:17.340]   I was only spending you know twenty dollars a pop on these things fine
[00:20:17.340 --> 00:20:22.220]   But let you got to let people know and the fact that you didn't and and as as you know
[00:20:22.220 --> 00:20:26.460]   More of these things might be on the market that that just becomes to me
[00:20:26.460 --> 00:20:29.740]   I don't think I could ever in good conscience recommend this again
[00:20:29.740 --> 00:20:36.660]   not the least without without like a very full a complete security audit of their framework and also of what's what
[00:20:36.660 --> 00:20:39.620]   devices they are you know
[00:20:39.620 --> 00:20:41.980]   Bringing in what what what's a good idea?
[00:20:41.980 --> 00:20:45.820]   They're bringing a third party and do a vulnerability and and you know
[00:20:45.820 --> 00:20:52.540]   They do have a whole page at wise.com on how to record report a security vulnerability and you know
[00:20:52.540 --> 00:20:59.660]   Presumably the newer devices have enough memory to do an update and things like that. I guess maybe there's a secondary moral
[00:20:59.660 --> 00:21:05.580]   Which is you shouldn't pay twenty dollars for a camera and expect it to be secure get what you pay for yeah
[00:21:05.580 --> 00:21:10.740]   Right, I mean and I think to me that almost is is on the one hand
[00:21:10.740 --> 00:21:12.220]   I think that makes a lot of common sense
[00:21:12.220 --> 00:21:14.660]   I think the reason why this is
[00:21:14.660 --> 00:21:21.700]   Troubling is because this was a company that their whole you know raised on death trail was to say we can sell it at these
[00:21:21.700 --> 00:21:25.700]   Cutaway prices, but we're not skimping on the software. We're actually taking that seriously
[00:21:25.700 --> 00:21:30.480]   We're doing this right so they're their entire sales pitch was basically yes
[00:21:30.480 --> 00:21:38.020]   We're the you know the Chinese knockoff price, but like we're actually doing doing real work on the software
[00:21:38.020 --> 00:21:41.100]   And it turns out that's just not true at least based on what we've seen
[00:21:41.100 --> 00:21:43.460]   I mean at the very least from from the security standpoint
[00:21:43.460 --> 00:21:49.040]   You know if you're going three years without even letting people know that there's this vulnerability
[00:21:49.040 --> 00:21:50.740]   I
[00:21:50.740 --> 00:21:53.940]   Don't know and I just I want to stress that the issue
[00:21:53.940 --> 00:22:01.980]   I think if I remember if I read correctly was that it's the web server making or exposing the the mounted drive to the web and so
[00:22:01.980 --> 00:22:04.380]   from from from my modest
[00:22:04.380 --> 00:22:11.820]   Opinion I feel that this is something where they could have fixed it, but they chose not to fix it
[00:22:11.820 --> 00:22:16.940]   So I'm gonna I'm gonna be very very skeptical about them saying that they could not fix this
[00:22:16.940 --> 00:22:20.220]   I don't think that they've gone through the trouble to fix it
[00:22:20.220 --> 00:22:24.220]   And it probably would been a lot of rewrite in order to make sure that that does work
[00:22:24.220 --> 00:22:25.620]   But I want to stress it
[00:22:25.620 --> 00:22:31.580]   I don't think the issue is that they could not have fixed it and keep in mind the same time three years ago
[00:22:31.580 --> 00:22:37.700]   They're releasing all the products that you just showed when you showed wise in the headphones the they're gonna gun safe
[00:22:37.700 --> 00:22:41.740]   Whatever that's great vacuum cleaners, whatever all that stuff that they're
[00:22:42.460 --> 00:22:48.060]   Accelerating which they are choosing to ignore or push this off instead of actually fixing
[00:22:48.060 --> 00:22:51.180]   Yeah, so that was a conscious choice of where they put their resources
[00:22:51.180 --> 00:22:53.900]   Fatted by former Amazon employees
[00:22:53.900 --> 00:22:56.420]   I
[00:22:56.420 --> 00:23:02.040]   Don't know we'll see how they I think they're gonna they're gonna need to do as zoom did and others have done kind of
[00:23:02.040 --> 00:23:06.380]   Maya culpa and step forward and say look this is what we're doing
[00:23:06.380 --> 00:23:10.020]   So this can't happen again before we can trust them
[00:23:10.820 --> 00:23:18.660]   You know absolutely or even I mean it's interesting because I look at this and I'm like if this you and feels remember the issue that Western Digital had last year
[00:23:18.660 --> 00:23:24.980]   We're some of their old connected drives that hadn't been updated and had been end of life for years people were able to remotely wipe them
[00:23:24.980 --> 00:23:27.500]   Because they were connected to the Internet, right?
[00:23:27.500 --> 00:23:30.700]   Do you remember that? Yeah, and it was it was it was a terrible situation
[00:23:30.700 --> 00:23:32.980]   It was a huge black mark for a big company like Western Digital
[00:23:32.980 --> 00:23:35.580]   And I thought that they'd handle it fairly poorly to be honest with you
[00:23:35.580 --> 00:23:40.340]   But at least they were going out of their way once it became clear how bad it was to instruct everyone
[00:23:40.540 --> 00:23:47.100]   Unplug these things from the Internet like to me in addition to having to do I think like the the full like no zoom
[00:23:47.100 --> 00:23:53.700]   You know apology tour they need to be doing a much better job getting the word out because it's not like they don't have everyone's email
[00:23:53.700 --> 00:23:59.940]   Because because the whole point wait how these companies work and one of the reasons they can get the the economies of scale
[00:23:59.940 --> 00:24:06.060]   Somewhat the way that they are all the way I bet they're losing a bunch of money on this anyway is by by you know
[00:24:06.060 --> 00:24:13.780]   Getting every single bit of information from all their purchasers and selling that so it's not like they don't have the emails of everyone who bought one of these things
[00:24:13.780 --> 00:24:19.580]   So, you know, why are you not emailing people loud and clear saying take this off the Internet?
[00:24:19.580 --> 00:24:24.980]   You don't even need the email you have to have you have to use the app in order to view the camera
[00:24:24.980 --> 00:24:33.240]   Oh, yes, you should just push an update to that absolutely. Yeah and have a big red banner. Hey, I noticed you're still using a V1
[00:24:33.540 --> 00:24:40.740]   I've I've turned it. I've deconfigured it and took it off the Internet for you. Yeah, please read more click this one. They actually did that
[00:24:40.740 --> 00:24:45.580]   Same year a few months later. They were they said oh
[00:24:45.580 --> 00:24:50.160]   Somebody got our server information and I think 12 million records were leaked
[00:24:50.160 --> 00:24:56.660]   So we're just gonna reset you right now, and you're gonna have to change the password. I mean say they have a history of whoops
[00:24:57.780 --> 00:25:00.700]   Fixing it. This is the oops and not fixing it
[00:25:00.700 --> 00:25:05.020]   And not even admitting it which really bugs the heck out of me
[00:25:05.020 --> 00:25:12.740]   I mean, I'm sorry you can you should write you should write you should take this story and write your story and make your apologies. I
[00:25:12.740 --> 00:25:16.460]   Just hate it when they just
[00:25:16.460 --> 00:25:19.940]   Pay no attention
[00:25:19.940 --> 00:25:24.940]   Oh speaking of hacking we now know that laps us
[00:25:25.820 --> 00:25:27.820]   Was a bunch of 16 year olds
[00:25:27.820 --> 00:25:34.980]   Yes, which I love I love and I have to give him huge credit because my favorite 16 year old
[00:25:34.980 --> 00:25:36.540]   I'm kidding. He's he's not 16
