
[00:00:00.000 --> 00:00:02.000]   This week in time.
[00:03:48.000 --> 00:03:49.000]   They had booth tours.
[00:03:49.000 --> 00:03:54.000]   They had live coverage of the keynotes.
[00:03:54.000 --> 00:03:55.000]   And they had an analysis.
[00:03:55.000 --> 00:03:59.000]   I thought they did as good a job as certainly a better job than I would have been.
[00:03:59.000 --> 00:04:01.000]   Yeah, no, that's the way I see it.
[00:04:01.000 --> 00:04:05.000]   But there's something else about these shows that are over covered like this,
[00:04:05.000 --> 00:04:09.000]   which I'm thinking is great for guys like Gary Shapiro and the CES folks.
[00:04:09.000 --> 00:04:13.000]   But the fact of the matter is even if you remember back during the tech TV days,
[00:04:13.000 --> 00:04:18.000]   they would take and put their entire budget into going down to CES,
[00:04:18.000 --> 00:04:19.000]   which is already over covered.
[00:04:19.000 --> 00:04:21.000]   We spent a million dollars one year.
[00:04:21.000 --> 00:04:23.000]   I can't remember if it was Comdex or CES.
[00:04:23.000 --> 00:04:24.000]   It was CES.
[00:04:24.000 --> 00:04:26.000]   A million bucks.
[00:04:26.000 --> 00:04:27.000]   Right.
[00:04:27.000 --> 00:04:28.000]   They spent a million dollars.
[00:04:28.000 --> 00:04:32.000]   Meanwhile, you have to remember there's 900 shows a year in the United States
[00:04:32.000 --> 00:04:33.000]   that have to do with computer technology.
[00:04:33.000 --> 00:04:34.000]   Really?
[00:04:34.000 --> 00:04:38.000]   Meanwhile, tech TV puts a million bucks in this and they won't spend 10 cents
[00:04:38.000 --> 00:04:41.000]   on sending anybody to any of the other shows where there's a lot of good stuff.
[00:04:41.000 --> 00:04:44.000]   I mean, there's not everybody with 2,500 booths.
[00:04:44.000 --> 00:04:45.000]   You know this.
[00:04:45.000 --> 00:04:49.000]   I mean, these are just the guys who can afford to go to CES and exhibit.
[00:04:49.000 --> 00:04:52.000]   Most of the really cool stuff is someplace else and you have to get out.
[00:04:52.000 --> 00:04:53.000]   Yeah.
[00:04:53.000 --> 00:04:55.000]   Next Fest, South by Southwest, demo.
[00:04:55.000 --> 00:04:58.000]   Those are much more interesting, frankly, than anything CES does.
[00:04:58.000 --> 00:05:00.000]   Well, demo, I have an issue.
[00:05:00.000 --> 00:05:03.000]   What would you have done with a million dollars, Kevin and David?
[00:05:03.000 --> 00:05:05.000]   I mean, you could go for years.
[00:05:05.000 --> 00:05:07.000]   You could do a thousand systems for that.
[00:05:07.000 --> 00:05:10.000]   Well, the problem with this show is like you guys are saying,
[00:05:10.000 --> 00:05:14.000]   it's just so big now and you're bombarded with like flat screen TVs.
[00:05:14.000 --> 00:05:17.000]   It's like now there's a 700-inch flat screen LCD.
[00:05:17.000 --> 00:05:18.000]   Right.
[00:05:18.000 --> 00:05:20.000]   It's just the web is really the way to do it.
[00:05:20.000 --> 00:05:22.000]   I mean, everyone else is doing it so well.
[00:05:22.000 --> 00:05:23.000]   I mean, at least--
[00:05:23.000 --> 00:05:24.000]   So why'd you go?
[00:05:24.000 --> 00:05:26.000]   Well, we went to shoot "Dignation" there.
[00:05:26.000 --> 00:05:29.000]   They were going to give us a free little spot on the showroom floor to shoot it.
[00:05:29.000 --> 00:05:31.000]   We met up with a bunch of fans that came out.
[00:05:31.000 --> 00:05:33.000]   So that was a lot of fun.
[00:05:33.000 --> 00:05:36.000]   Well, and-- but to look at products, I actually skipped the entire floor.
[00:05:36.000 --> 00:05:39.000]   I went to Dolby to see some of my friends there and other than that,
[00:05:39.000 --> 00:05:43.000]   I just took off and I've just turned to the web to find all the links and reviews.
[00:05:43.000 --> 00:05:45.000]   So even though you were there, you didn't even--
[00:05:45.000 --> 00:05:47.000]   It was a madhouse.
[00:05:47.000 --> 00:05:49.000]   I mean, it is just like, it's craziness.
[00:05:49.000 --> 00:05:51.000]   I can't even tell you how packed it was.
[00:05:51.000 --> 00:05:55.000]   Like, there was-- you get stuck in these little hallways and they kind of try and shuffle you through
[00:05:55.000 --> 00:05:57.000]   and then you're just like sitting there for like five minutes going,
[00:05:57.000 --> 00:05:59.000]   "How am I going to get out of this?"
[00:05:59.000 --> 00:06:00.000]   It's pretty crazy.
[00:06:00.000 --> 00:06:03.000]   You know, I'm not saying at any point that these shows should be over with
[00:06:03.000 --> 00:06:06.000]   and we should do everything on the internet because then that wouldn't work at all.
[00:06:06.000 --> 00:06:07.000]   You do need these shows.
[00:06:07.000 --> 00:06:11.000]   There are people that need to go to CES and those people tend to be salesmen
[00:06:11.000 --> 00:06:16.000]   who have to like do deals and they have to meet, you know, a lot of clients during a very short period of time.
[00:06:16.000 --> 00:06:18.000]   And I think it's very effective for that.
[00:06:18.000 --> 00:06:21.000]   But for people who go and look for new products at this particular show,
[00:06:21.000 --> 00:06:22.000]   I think it's futile.
[00:06:22.000 --> 00:06:27.000]   In fact, I was getting press releases during the show at my house here.
[00:06:27.000 --> 00:06:29.000]   And these press releases, if I was actually at the show,
[00:06:29.000 --> 00:06:33.000]   I wouldn't have been able to respond to any of these things because that had been too busy
[00:06:33.000 --> 00:06:35.000]   and then there's a lot of distractions.
[00:06:35.000 --> 00:06:39.000]   But John, if you don't need these shows, why did Condex fold if you need these shows?
[00:06:39.000 --> 00:06:43.000]   I mean, it wasn't that one point of Condex, was the dealers meet the vendors?
[00:06:43.000 --> 00:06:46.000]   Well, I mean, yeah, that's what the key to the success of these shows.
[00:06:46.000 --> 00:06:49.000]   And then you do need these shows for that kind of thing where,
[00:06:49.000 --> 00:06:52.000]   but again, it's mostly salespeople that need to have these kinds of meetings.
[00:06:52.000 --> 00:06:54.000]   So why did Condex fold?
[00:06:54.000 --> 00:06:57.000]   I think well, Condex folded for a number of reasons.
[00:06:57.000 --> 00:06:58.000]   For one thing, they lost their focus.
[00:06:58.000 --> 00:07:02.000]   They went to, they kind of gave up on the idea that the show was about computers
[00:07:02.000 --> 00:07:04.000]   and it became like an enterprise business show.
[00:07:04.000 --> 00:07:08.000]   I mean, this idea that you're going to start appealing to the enterprise people
[00:07:08.000 --> 00:07:09.000]   who never go to anything.
[00:07:09.000 --> 00:07:11.000]   But what's the focus of CES?
[00:07:11.000 --> 00:07:13.000]   I mean, there's no focus at all.
[00:07:13.000 --> 00:07:15.000]   It's consumer electronics.
[00:07:15.000 --> 00:07:16.000]   Yeah, but that's everything.
[00:07:16.000 --> 00:07:17.000]   I know it's something that's...
[00:07:17.000 --> 00:07:19.000]   I think it wanted to be everything.
[00:07:19.000 --> 00:07:21.000]   Well, I think CES doesn't want to be everything.
[00:07:21.000 --> 00:07:25.000]   I've talked to Shapiro about this and he's not that pleased with the...
[00:07:25.000 --> 00:07:30.000]   I mean, he's not carping about the money, but he's not pleased with the fact that they have to absorb Comdex.
[00:07:30.000 --> 00:07:32.000]   I would like to see him spin it off the computer show.
[00:07:32.000 --> 00:07:35.000]   They almost did it this year with that, with the event at the Sands,
[00:07:35.000 --> 00:07:37.000]   which was the innovation pavilion.
[00:07:37.000 --> 00:07:41.000]   And there's no reason that they can't actually literally recreate Comdex
[00:07:41.000 --> 00:07:46.000]   and just spin it off and not have this mix that they have now.
[00:07:46.000 --> 00:07:49.000]   That's the one place I wanted to go to the Sands innovation pavilion.
[00:07:49.000 --> 00:07:51.000]   That's the place I didn't get to go.
[00:07:51.000 --> 00:07:52.000]   That's what I really was really interested in seeing.
[00:07:52.000 --> 00:07:54.000]   I don't know what you heard about it or what was it.
[00:07:54.000 --> 00:07:55.000]   Well, I mean, I got pictures on the web.
[00:07:55.000 --> 00:07:56.000]   I don't know what it was like.
[00:07:56.000 --> 00:08:00.000]   I was like, it was fantastic.
[00:08:00.000 --> 00:08:03.000]   David and Kevin were there and saw nothing.
[00:08:03.000 --> 00:08:06.000]   You know what the worst thing was about Comdex for the journalists?
[00:08:06.000 --> 00:08:07.000]   The worst thing?
[00:08:07.000 --> 00:08:08.000]   See, what?
[00:08:08.000 --> 00:08:10.000]   I'm glad you did that because I was going to do that any minute now.
[00:08:10.000 --> 00:08:12.000]   The absolute worst thing was the media bags.
[00:08:12.000 --> 00:08:14.000]   It's always kind of cool to get a nice little sat.
[00:08:14.000 --> 00:08:15.000]   I love those.
[00:08:15.000 --> 00:08:16.000]   Oh, they're terrible.
[00:08:16.000 --> 00:08:20.000]   It's the crappiest little roller backpack you have ever seen.
[00:08:20.000 --> 00:08:22.000]   They had a pretty good bag a couple years ago.
[00:08:22.000 --> 00:08:23.000]   Yeah, I had the great one.
[00:08:23.000 --> 00:08:24.000]   That was the main reason I went.
[00:08:24.000 --> 00:08:25.000]   Yeah, I go to get the bag.
[00:08:25.000 --> 00:08:27.000]   This one is a Tachiba bags.
[00:08:27.000 --> 00:08:28.000]   Tachiba bags.
[00:08:28.000 --> 00:08:29.000]   You know what it was?
[00:08:29.000 --> 00:08:33.000]   It's because of the number, the sheer number of media that were there.
[00:08:33.000 --> 00:08:34.000]   The share of bags.
[00:08:34.000 --> 00:08:35.000]   Yeah.
[00:08:35.000 --> 00:08:36.000]   You know, 6,500 bags for all these people.
[00:08:36.000 --> 00:08:39.000]   It's just like, that's a lot of those things cost like $10.
[00:08:39.000 --> 00:08:42.000]   That's like $65,000 worth of bags for a bunch of bone.
[00:08:42.000 --> 00:08:43.000]   And you know what's funny?
[00:08:43.000 --> 00:08:47.000]   Here's what's really, really funny because this is one of the big news things that see us.
[00:08:47.000 --> 00:08:49.000]   Inside of the bag, though, is put things that people pay for.
[00:08:49.000 --> 00:08:53.000]   Well, inside of this bag is something from the Blu-ray group, Blu-ray group,
[00:08:53.000 --> 00:08:55.000]   and also inside the bag is something from the HD DVD group.
[00:08:55.000 --> 00:08:57.000]   And those are some of the only things in the bag.
[00:08:57.000 --> 00:08:58.000]   It's ridiculous.
[00:08:58.000 --> 00:09:01.000]   Hey, that was one thing I was surprised.
[00:09:01.000 --> 00:09:06.000]   Did anybody see a combined HD Blu-ray DVD playback unit?
[00:09:06.000 --> 00:09:08.000]   I don't think there was.
[00:09:08.000 --> 00:09:09.000]   There wasn't that.
[00:09:09.000 --> 00:09:15.000]   I mean, Broadcom announced a chip that'll do both at the same time on the same chip.
[00:09:15.000 --> 00:09:19.000]   But that's an issue because consumers are not going to buy two iDef DVD players.
[00:09:19.000 --> 00:09:21.000]   They're not going to buy one until this gets settled.
[00:09:21.000 --> 00:09:22.000]   It's not going to get settled.
[00:09:22.000 --> 00:09:24.000]   This is going to be the...
[00:09:24.000 --> 00:09:30.000]   This is truly, and I've always like poo-pooed the idea that everything is VHS beta, you know, revisited.
[00:09:30.000 --> 00:09:31.000]   This really is.
[00:09:31.000 --> 00:09:32.000]   I think it is too.
[00:09:32.000 --> 00:09:34.000]   This really, this is boneheaded.
[00:09:34.000 --> 00:09:36.000]   And we were...
[00:09:36.000 --> 00:09:37.000]   You know, I wish Robert Herron were here.
[00:09:37.000 --> 00:09:39.000]   He's also on route.
[00:09:39.000 --> 00:09:40.000]   He can't get back in time.
[00:09:40.000 --> 00:09:44.000]   But this was one thing Robert said from the beginning, "Oh, no, don't worry.
[00:09:44.000 --> 00:09:47.000]   There'll be dual format players, but there aren't."
[00:09:47.000 --> 00:09:50.000]   You know, the dual format, if you talk to either one of these groups,
[00:09:50.000 --> 00:09:52.000]   they'll tell you it's going to cost a lot of money to make a dual one.
[00:09:52.000 --> 00:09:55.000]   Because these two technologies are not that compatible.
[00:09:55.000 --> 00:10:00.000]   The other thing, you know, sitting from a distance, the other thing I noticed was there was no really big news.
[00:10:00.000 --> 00:10:03.000]   What was the big news of CES this year?
[00:10:03.000 --> 00:10:04.000]   Kevin?
[00:10:04.000 --> 00:10:05.000]   Well, that big story.
[00:10:05.000 --> 00:10:06.000]   What about Vista?
[00:10:06.000 --> 00:10:08.000]   Did you hear that funny video about Vista?
[00:10:08.000 --> 00:10:09.000]   No.
[00:10:09.000 --> 00:10:10.000]   Oh, I guess they were showing up.
[00:10:10.000 --> 00:10:11.000]   You'll get your...
[00:10:11.000 --> 00:10:12.000]   You'll get your...
[00:10:12.000 --> 00:10:13.000]   You'll get your...
[00:10:13.000 --> 00:10:14.000]   You'll just kind of try to flog it.
[00:10:14.000 --> 00:10:15.000]   That was a big...
[00:10:15.000 --> 00:10:16.000]   I mean, you didn't have anything to say in his keynote.
[00:10:16.000 --> 00:10:17.000]   That was a big story in the keynote.
[00:10:17.000 --> 00:10:19.000]   Apparently Larry Page gave a keynote that was maybe one of the worst in history, I'm told.
[00:10:19.000 --> 00:10:20.000]   Was that about Google Pack?
[00:10:20.000 --> 00:10:22.000]   Yeah, but probably a bit more complicated.
[00:10:22.000 --> 00:10:23.000]   But wait a minute.
[00:10:23.000 --> 00:10:25.000]   Robin Williams, it doesn't matter how bad the keynote was.
[00:10:25.000 --> 00:10:28.000]   15 minutes of Robin Williams redeems anything, doesn't it?
[00:10:28.000 --> 00:10:29.000]   Oh, yeah.
[00:10:29.000 --> 00:10:30.000]   Oh, yeah.
[00:10:30.000 --> 00:10:31.000]   I saw it?
[00:10:31.000 --> 00:10:33.000]   Did you neither of you guys saw it?
[00:10:33.000 --> 00:10:34.000]   I saw it as part of the stream.
[00:10:34.000 --> 00:10:36.000]   It was so boring that I turned it off.
[00:10:36.000 --> 00:10:39.000]   Well, as soon as I knew that Larry Page was doing it, I thought it might not be that good,
[00:10:39.000 --> 00:10:42.000]   because half the time that Google has one of their co-founders in the media,
[00:10:42.000 --> 00:10:47.000]   it's Sergey Brin, who's supposed to be the amicable guy, the guy who's good at talking.
[00:10:47.000 --> 00:10:51.000]   And as soon as you hear that Larry Page is giving the speech, at least from what I've heard
[00:10:51.000 --> 00:10:56.000]   people say, "Hey, Sergey Brin is totally the voice, then why wouldn't they have the guy who's more than that?"
[00:10:56.000 --> 00:10:58.000]   Neither one is exactly a pistol.
[00:10:58.000 --> 00:11:01.000]   We've had them both on the screen savers, and they're not exactly dynamic.
[00:11:01.000 --> 00:11:02.000]   But who cares?
[00:11:02.000 --> 00:11:03.000]   They're scientists.
[00:11:03.000 --> 00:11:04.000]   They're not.
[00:11:04.000 --> 00:11:05.000]   Who cares?
[00:11:05.000 --> 00:11:06.000]   They're rich.
[00:11:06.000 --> 00:11:07.000]   They're rich.
[00:11:07.000 --> 00:11:12.000]   The Google Pack, what's your take on that?
[00:11:12.000 --> 00:11:16.000]   I think it's a clever marketing scheme to bundle all of their crap together.
[00:11:16.000 --> 00:11:21.000]   They couldn't figure out a way to get you to install Google Desktop or some of their other stuff.
[00:11:21.000 --> 00:11:24.000]   And so they said, "Hey, we're going to make this pack that has everything all in one."
[00:11:24.000 --> 00:11:26.000]   But it's missing a word processor.
[00:11:26.000 --> 00:11:28.000]   Well, it's not supposed to be.
[00:11:28.000 --> 00:11:29.000]   It's just a bunch of...
[00:11:29.000 --> 00:11:31.000]   I think you picked the word exactly right, Kevin.
[00:11:31.000 --> 00:11:32.000]   It's a box of crap.
[00:11:32.000 --> 00:11:33.000]   It is.
[00:11:33.000 --> 00:11:34.000]   It's just a box of crap.
[00:11:34.000 --> 00:11:37.000]   And then they throw in trial versions of Norton Antivirus.
[00:11:37.000 --> 00:11:38.000]   That's like...
[00:11:38.000 --> 00:11:39.000]   I need that.
[00:11:39.000 --> 00:11:40.000]   Yeah.
[00:11:40.000 --> 00:11:45.000]   The other thing is, I have installed that Google Desktop search thing three or four times
[00:11:45.000 --> 00:11:50.600]   on every time I've had to take it off the system because it just steals cycles and it stalls
[00:11:50.600 --> 00:11:51.600]   the machine.
[00:11:51.600 --> 00:11:52.600]   They all do.
[00:11:52.600 --> 00:11:53.600]   They all do.
[00:11:53.600 --> 00:11:54.600]   This is a dixing.
[00:11:54.600 --> 00:11:55.600]   Yeah, but geez.
[00:11:55.600 --> 00:11:58.600]   I mean, there's got to be a smarter way of doing it.
[00:11:58.600 --> 00:11:59.600]   This pack...
[00:11:59.600 --> 00:12:00.600]   I mean, look at the software that's in there.
[00:12:00.600 --> 00:12:01.600]   It's so confusing.
[00:12:01.600 --> 00:12:04.000]   We're going to give you the Google toolbar for Internet Explorer.
[00:12:04.000 --> 00:12:07.640]   And you also get Firefox with the Google toolbar.
[00:12:07.640 --> 00:12:10.600]   And who wants real player, please?
[00:12:10.600 --> 00:12:11.600]   Who...
[00:12:11.600 --> 00:12:12.600]   What is real in there too, really?
[00:12:12.600 --> 00:12:14.500]   It's an optional install.
[00:12:14.500 --> 00:12:18.000]   The good news is, the best thing of it, by the way, was the installer.
[00:12:18.000 --> 00:12:22.720]   I really like the installer because it was very small, quick download.
[00:12:22.720 --> 00:12:24.200]   You could choose what you're going to install.
[00:12:24.200 --> 00:12:25.200]   It resumed.
[00:12:25.200 --> 00:12:27.560]   It downloads and then installs and then you can resume it.
[00:12:27.560 --> 00:12:28.560]   It has auto updating.
[00:12:28.560 --> 00:12:31.560]   I mean, that was the thing they should do more of.
[00:12:31.560 --> 00:12:32.760]   Give more of that stuff away.
[00:12:32.760 --> 00:12:34.800]   But yeah, the real player is one of the options.
[00:12:34.800 --> 00:12:38.480]   I mean, Norton Antivirus and Real Player 2 are the worst things you could put on a desktop
[00:12:38.480 --> 00:12:39.480]   computer.
[00:12:39.480 --> 00:12:40.920]   And who doesn't have Adobe Reader?
[00:12:40.920 --> 00:12:41.920]   Come on.
[00:12:41.920 --> 00:12:42.920]   Yeah.
[00:12:42.920 --> 00:12:44.160]   I don't get it.
[00:12:44.160 --> 00:12:45.160]   So that's the big announcement.
[00:12:45.160 --> 00:12:48.900]   Hey, hey, by the way, has anybody noticed that I had Adobe...
[00:12:48.900 --> 00:12:51.700]   That thing, by the way, is getting worse with age.
[00:12:51.700 --> 00:12:52.700]   But I had...
[00:12:52.700 --> 00:12:58.180]   They wanted to upgrade to Adobe 7 and it kept coming up saying, "Here's Adobe 7 and here's
[00:12:58.180 --> 00:12:59.180]   the Yahoo!
[00:12:59.180 --> 00:13:00.180]   Toolbars."
[00:13:00.180 --> 00:13:01.180]   Anyone seen this?
[00:13:01.180 --> 00:13:02.180]   Yes.
[00:13:02.180 --> 00:13:03.180]   And it won't let you not take the Yahoo!
[00:13:03.180 --> 00:13:04.180]   Toolbar.
[00:13:04.180 --> 00:13:05.180]   I don't want the Yahoo!
[00:13:05.180 --> 00:13:06.180]   Toolbar ever.
[00:13:06.180 --> 00:13:07.220]   We're in a bad era.
[00:13:07.220 --> 00:13:08.580]   This is a bad era.
[00:13:08.580 --> 00:13:09.580]   Everything.
[00:13:09.580 --> 00:13:12.820]   And somebody pointed out, and I think this is true, that Google's real business...
[00:13:12.820 --> 00:13:14.460]   We're finally seeing is not search.
[00:13:14.460 --> 00:13:16.960]   Google's business is to get AdSense everywhere.
[00:13:16.960 --> 00:13:19.320]   I think it was Jason Collicanis who said this.
[00:13:19.320 --> 00:13:20.320]   That's their business.
[00:13:20.320 --> 00:13:21.880]   Put ads everywhere.
[00:13:21.880 --> 00:13:23.760]   And that's what the pack is all about.
[00:13:23.760 --> 00:13:28.560]   Just how many Google ads can we stick on your desktop?
[00:13:28.560 --> 00:13:30.400]   All ads all the time.
[00:13:30.400 --> 00:13:35.600]   Now, was anybody surprised that they didn't announce a Google PC with the Google OS?
[00:13:35.600 --> 00:13:36.600]   That was...
[00:13:36.600 --> 00:13:37.600]   I wasn't surprised.
[00:13:37.600 --> 00:13:38.600]   There wasn't an "i" buzz.
[00:13:38.600 --> 00:13:41.240]   I don't see there being a Google OS for a long time.
[00:13:41.240 --> 00:13:43.640]   I mean, who would run Google OS?
[00:13:43.640 --> 00:13:47.980]   I mean, seriously, the first thing they would have to do is go hire or at least steal some
[00:13:47.980 --> 00:13:51.000]   of the Apple design guys, because if it's anything, then Google creates it's going to
[00:13:51.000 --> 00:13:52.780]   be ugly as all hell.
[00:13:52.780 --> 00:13:53.780]   They're great.
[00:13:53.780 --> 00:13:57.580]   I love their search engine, but they have no idea when it comes to a sense of design.
[00:13:57.580 --> 00:13:59.900]   I mean, I would not be running the Google OS.
[00:13:59.900 --> 00:14:04.300]   I mean, one of the reasons why most people, at least that are kind of in my demographic,
[00:14:04.300 --> 00:14:09.540]   run certain operating systems is because they'd love to customize it and it looks pretty.
[00:14:09.540 --> 00:14:10.940]   I can't see that coming out of Google.
[00:14:10.940 --> 00:14:12.780]   Anything good coming out of Google there.
[00:14:12.780 --> 00:14:14.540]   So this was the keynote that everybody was waiting.
[00:14:14.540 --> 00:14:16.740]   I mean, they put it on Friday for some reason.
[00:14:16.740 --> 00:14:18.060]   Everybody was saying, "Well, this is going to be good."
[00:14:18.060 --> 00:14:19.740]   Bill Gates started out with nothing, right?
[00:14:19.740 --> 00:14:21.540]   I mean, Justin Timberlake, he brings on.
[00:14:21.540 --> 00:14:22.540]   Oh boy.
[00:14:22.540 --> 00:14:26.020]   This is his idea of a hot commodity.
[00:14:26.020 --> 00:14:31.180]   He shows Vista and says, "Yes, sometime next year, sometime later this year."
[00:14:31.180 --> 00:14:35.940]   And they announced what some deal with MTV to do music and some deal with DirecTV.
[00:14:35.940 --> 00:14:37.620]   Nothing, basically.
[00:14:37.620 --> 00:14:41.060]   I don't understand why they take these keynotes.
[00:14:41.060 --> 00:14:43.660]   Why don't get some real heavy hitters?
[00:14:43.660 --> 00:14:49.020]   I mean, I guess string would be qualified, but I'm sick of listening to these same old
[00:14:49.020 --> 00:14:51.460]   speeches that are just nothing but promoting their own product.
[00:14:51.460 --> 00:14:52.460]   I mean, this is not a...
[00:14:52.460 --> 00:14:53.740]   Well, you think Bill Gates is a heavy hitter?
[00:14:53.740 --> 00:14:54.740]   There's no vision here.
[00:14:54.740 --> 00:14:55.740]   Yeah.
[00:14:55.740 --> 00:14:56.740]   Well, that's...
[00:14:56.740 --> 00:14:58.060]   Bill Gates announced this was the digital decade.
[00:14:58.060 --> 00:15:00.300]   Hey, good news.
[00:15:00.300 --> 00:15:01.300]   Here we are, 2006.
[00:15:01.300 --> 00:15:03.340]   He's figured this out.
[00:15:03.340 --> 00:15:07.340]   Have you guys seen the video that came out from CES about the product manager that was
[00:15:07.340 --> 00:15:10.660]   describing Vista and how they overlaid the video of OS X?
[00:15:10.660 --> 00:15:12.660]   Oh, it was awesome.
[00:15:12.660 --> 00:15:14.660]   It's going around the web right now.
[00:15:14.660 --> 00:15:17.820]   Basically, what they had this product manager saying, "Look at those transparent windows
[00:15:17.820 --> 00:15:19.420]   that you can see on top of each other."
[00:15:19.420 --> 00:15:22.580]   And here, you look at it in the toolbar, you can actually see video playing and they're
[00:15:22.580 --> 00:15:27.940]   showing OS X doing this right now as the Microsoft product manager is talking about it.
[00:15:27.940 --> 00:15:28.940]   It's hilarious.
