
[00:00:00.000 --> 00:00:02.000]   This Week in Time.
[00:03:27.400 --> 00:03:28.400]   Yeah, it was very confusing, actually.
[00:03:28.400 --> 00:03:29.400]   Right.
[00:03:29.400 --> 00:03:32.400]   Then you turned out to eventually they just said, "I don't think they do the two separate anymore."
[00:03:32.400 --> 00:03:33.400]   No, it's the same.
[00:03:33.400 --> 00:03:34.400]   It's the same show.
[00:03:34.400 --> 00:03:38.400]   And then you're from Florida, you're going on to Hanover.
[00:03:38.400 --> 00:03:42.400]   And you're going to Seabit, which is a big German trade show.
[00:03:42.400 --> 00:03:43.400]   Yeah.
[00:03:43.400 --> 00:03:45.400]   I go to that every couple of years too.
[00:03:45.400 --> 00:03:48.400]   I can't really don't like going every year because it's kind of a miserable show.
[00:03:48.400 --> 00:03:49.400]   It's huge.
[00:03:49.400 --> 00:03:51.400]   It's like a world's fair.
[00:03:51.400 --> 00:03:52.400]   They have pavilions.
[00:03:52.400 --> 00:03:54.400]   It's not like the thing in Vegas.
[00:03:54.400 --> 00:03:57.400]   These are like a permanent world's fair.
[00:03:57.400 --> 00:03:58.400]   It's got buildings.
[00:03:58.400 --> 00:03:59.400]   Lots of buildings.
[00:03:59.400 --> 00:04:01.400]   They've got a bus system that runs between the buildings.
[00:04:01.400 --> 00:04:03.400]   It's like going to a world's fair.
[00:04:03.400 --> 00:04:04.400]   It's huge.
[00:04:04.400 --> 00:04:05.400]   It's enormous.
[00:04:05.400 --> 00:04:11.400]   It tends to still be kind of German-centric as opposed to world class.
[00:04:11.400 --> 00:04:14.400]   So it's kind of annoying in that regard.
[00:04:14.400 --> 00:04:17.400]   But it's like a big German trade show.
[00:04:17.400 --> 00:04:19.400]   So this is a really funny phrase.
[00:04:19.400 --> 00:04:22.400]   It tends to be German-centric instead of world class.
[00:04:22.400 --> 00:04:29.400]   Not that the Germans have ever brought us any achievements in cars, optics, or warfare.
[00:04:29.400 --> 00:04:33.400]   Well, what I mean by that, Patrick, of course, is that everyone speaks German.
[00:04:33.400 --> 00:04:35.400]   They don't care about the international audience.
[00:04:35.400 --> 00:04:39.400]   And so, I mean, they're basically just selling to dealers in Germany.
[00:04:39.400 --> 00:04:40.400]   I mean, that's what I mean.
[00:04:40.400 --> 00:04:46.400]   So, anyway, but if anybody picks up this broadcast and they want to send me an email,
[00:04:46.400 --> 00:04:50.400]   and if they got some cool product they want me to check out, I'm going to go to Berlin after that,
[00:04:50.400 --> 00:04:51.400]   and I could use it to work.
[00:04:51.400 --> 00:04:53.400]   Berlin is amazing, City.
[00:04:53.400 --> 00:04:55.400]   John at Devorak.org.
[00:04:55.400 --> 00:04:57.400]   You've been to Berlin before, John?
[00:04:57.400 --> 00:05:01.400]   No, actually, I've been meaning to go to Berlin every time I go to Hanover,
[00:05:01.400 --> 00:05:03.400]   because it's only like an hour and a half on the train.
[00:05:03.400 --> 00:05:05.400]   And I just keep not doing it.
[00:05:05.400 --> 00:05:07.400]   I keep heading someplace else.
[00:05:07.400 --> 00:05:09.400]   And this time I'm going for sure.
[00:05:09.400 --> 00:05:11.400]   So I'm going to be a couple of nights in Berlin.
[00:05:11.400 --> 00:05:14.400]   I wonder how much Berlin has mellowed in the last decade.
[00:05:14.400 --> 00:05:18.400]   Well, everybody who's been there, it says it's one of the coolest places on the planet right now.
[00:05:18.400 --> 00:05:19.400]   There's some really neat stuff.
[00:05:19.400 --> 00:05:24.400]   I was spent the day there this summer with my son, and it's really an interesting city.
[00:05:24.400 --> 00:05:30.400]   Of course, the wall is completely gone, but there's a line in the street where you can follow the path of the wall.
[00:05:30.400 --> 00:05:32.400]   Go to the Brandenburg Gate, of course.
[00:05:32.400 --> 00:05:35.400]   I mean, that's an amazing thing to see, and a lot of history there.
[00:05:35.400 --> 00:05:38.400]   And the Reichstag has an incredible...
[00:05:38.400 --> 00:05:43.400]   On the roof of the Reichstag is an incredible kind of open greenhouse kind of thing
[00:05:43.400 --> 00:05:47.400]   with an amazing view, a spiral walkway, and an amazing view up there.
[00:05:47.400 --> 00:05:48.400]   I've got a little piece of the wall.
[00:05:48.400 --> 00:05:50.400]   You have a piece of the wall, so do I.
[00:05:50.400 --> 00:05:51.400]   Somebody give me a piece of the wall.
[00:05:51.400 --> 00:05:52.400]   I have a chunk too.
[00:05:52.400 --> 00:05:56.400]   You go to Checkpoint Charlie, they have the old...
[00:05:56.400 --> 00:06:04.400]   There's what's it called? Charlie House, where it was a kind of a rescue operation for people who had gotten over the wall
[00:06:04.400 --> 00:06:05.400]   for a long time.
[00:06:05.400 --> 00:06:09.400]   And of course, once the wall fell, it's now like a museum of the wall.
[00:06:09.400 --> 00:06:13.400]   It was a museum back in '86 when I was over there.
[00:06:13.400 --> 00:06:19.400]   Actually, a bunch of us actually managed to liberate a brick and break some pieces off the wall to break the back.
[00:06:19.400 --> 00:06:21.400]   So you've got the right way.
[00:06:21.400 --> 00:06:22.400]   You've got it by breaking down the wall.
[00:06:22.400 --> 00:06:26.400]   We actually bought it in case of plastic.
[00:06:26.400 --> 00:06:33.400]   You know, at one of the Microsoft cafeterias, I can't remember which segment of the campus it's on,
[00:06:33.400 --> 00:06:37.400]   but there's a piece of the wall that, apparently, I think was the Prime Minister
[00:06:37.400 --> 00:06:41.400]   or the head of Mercedes Benz or somebody gave Bill as a gift.
[00:06:41.400 --> 00:06:44.400]   And it's this whole section of the wall.
[00:06:44.400 --> 00:06:45.400]   Wow.
[00:06:45.400 --> 00:06:48.400]   You know, that's like about a story high, and it's got all the graffiti and stuff on it.
[00:06:48.400 --> 00:06:50.400]   And it's sitting in the cafeteria.
[00:06:50.400 --> 00:06:52.400]   It's actually quite an interesting piece of art.
[00:06:52.400 --> 00:06:54.400]   Is your piece dug must be painted, right?
[00:06:54.400 --> 00:06:56.400]   Because every piece I've seen has a lot of paint on it.
[00:06:56.400 --> 00:06:59.400]   Yeah, I mean, my piece is a tiny little thing in a baggie.
[00:06:59.400 --> 00:07:00.400]   Right.
[00:07:00.400 --> 00:07:02.400]   I shouldn't even get the plastic chunk of the wall.
[00:07:02.400 --> 00:07:06.400]   David Prager has joined us also from another...
[00:07:06.400 --> 00:07:10.400]   another video podcast, this thing called, "Rivision3.com."
[00:07:10.400 --> 00:07:11.400]   Hello, David.
[00:07:11.400 --> 00:07:12.400]   Hey there.
[00:07:12.400 --> 00:07:13.400]   Good to have you.
[00:07:13.400 --> 00:07:14.400]   Welcome.
[00:07:14.400 --> 00:07:15.400]   Thank you much.
[00:07:15.400 --> 00:07:17.400]   Kevin Rose is supposed to join us, but you can stand in for him.
[00:07:17.400 --> 00:07:18.400]   Okay.
[00:07:18.400 --> 00:07:21.400]   Because I'm going to ask him about digs suing all these people.
[00:07:21.400 --> 00:07:24.400]   Oh, dig suing people for intellectual property?
[00:07:24.400 --> 00:07:25.400]   Great.
[00:07:25.400 --> 00:07:26.400]   So he's going to plead ignorance.
[00:07:26.400 --> 00:07:27.400]   Yeah.
[00:07:27.400 --> 00:07:28.400]   Well, look, but, you know, first of all, there's...
[00:07:28.400 --> 00:07:29.400]   Well, we'll talk about it in a little bit.
[00:07:29.400 --> 00:07:30.400]   Prager doesn't work for dig.
[00:07:30.400 --> 00:07:31.400]   I know.
[00:07:31.400 --> 00:07:32.400]   So he can...
[00:07:32.400 --> 00:07:34.400]   He's not probably the right person to ask.
[00:07:34.400 --> 00:07:36.400]   Now, Woz was going to join us.
[00:07:36.400 --> 00:07:37.400]   He may still join us because I wanted to ask him.
[00:07:37.400 --> 00:07:39.400]   He gave an interview to the Globe and Mail and he was kind of
[00:07:39.400 --> 00:07:41.400]   critical of Apple.
[00:07:41.400 --> 00:07:44.400]   We'll talk about that a little bit too, but we'll wait until they
[00:07:44.400 --> 00:07:46.400]   join us before we get into that.
[00:07:46.400 --> 00:07:48.400]   Have you actually heard from Kevin today at all?
[00:07:48.400 --> 00:07:49.400]   I haven't.
[00:07:49.400 --> 00:07:51.400]   He said he was available, but not...
[00:07:51.400 --> 00:07:52.400]   No.
[00:07:52.400 --> 00:07:53.400]   Next Sunday, I should announce this also.
[00:07:53.400 --> 00:07:54.400]   We're going to...
[00:07:54.400 --> 00:07:55.400]   John, you won't be there.
[00:07:55.400 --> 00:07:56.400]   I'm sorry to say you'll be in...
[00:07:56.400 --> 00:07:57.400]   in Hanover.
[00:07:57.400 --> 00:08:00.400]   But next Sunday or next Friday, I should say March 3rd, we're going to
[00:08:00.400 --> 00:08:03.400]   be doing the show live from the Apple Store.
[00:08:03.400 --> 00:08:06.400]   So, Woz has said he joined us for that.
[00:08:06.400 --> 00:08:07.400]   So that'd be fun.
[00:08:07.400 --> 00:08:08.400]   That'll be pretty exciting.
[00:08:08.400 --> 00:08:10.400]   I got lucky to get out of that one.
[00:08:10.400 --> 00:08:11.400]   You don't want to be there?
[00:08:11.400 --> 00:08:12.400]   Oh, yeah, that's right.
[00:08:12.400 --> 00:08:13.400]   They'd stone you.
[00:08:13.400 --> 00:08:14.400]   At least currently.
[00:08:14.400 --> 00:08:16.400]   I didn't even close over.
[00:08:16.400 --> 00:08:17.400]   Let's put it that way.
[00:08:17.400 --> 00:08:18.400]   Yeah.
[00:08:18.400 --> 00:08:21.400]   Now, one of the biggest articles on dig.com right now is somebody,
[00:08:21.400 --> 00:08:26.400]   I guess, has written a point-by-point, point-by-point, you know,
[00:08:26.400 --> 00:08:29.400]   point-by-point refuting every single thing you posit in that
[00:08:29.400 --> 00:08:30.400]   article.
[00:08:30.400 --> 00:08:33.200]   And I keep running into Mac people that I know that no
[00:08:33.200 --> 00:08:34.200]   I know you.
[00:08:34.200 --> 00:08:36.200]   And they're like, "It works just to believe that, doesn't it?
[00:08:36.200 --> 00:08:37.200]   It's just, it's just to the column.
[00:08:37.200 --> 00:08:38.200]   You just like to agitate people."
[00:08:38.200 --> 00:08:40.200]   I'm like, "Yeah, every, you know, six to 12 weeks."
[00:08:40.200 --> 00:08:43.200]   John goes, "I haven't pissed off the entire apple-loving
[00:08:43.200 --> 00:08:44.200]   community in a few weeks.
[00:08:44.200 --> 00:08:47.200]   I could use a couple hundred extra thousand hits on this column."
[00:08:47.200 --> 00:08:50.200]   And it's just, but people are like, "People are like, "He doesn't
[00:08:50.200 --> 00:08:51.200]   believe that, doesn't he?"
[00:08:51.200 --> 00:08:54.200]   I'm surprised anybody would take the time to do a point-by-point
[00:08:54.200 --> 00:08:55.200]   refutation.
[00:08:55.200 --> 00:08:56.200]   That's what cracks me up.
[00:08:56.200 --> 00:08:58.200]   It shows you how psychopathic somebody's going.
[00:08:58.200 --> 00:08:59.200]   It's just nuts.
[00:08:59.200 --> 00:09:02.200]   Why spend the energy on that?
[00:09:02.200 --> 00:09:05.200]   I mean, it's only just, you know, it's a consideration.
[00:09:05.200 --> 00:09:08.200]   Somebody wrote me something nasty and I said, "You know, it's not
[00:09:08.200 --> 00:09:10.200]   like I'm on the board of apple suggesting this and you should
[00:09:10.200 --> 00:09:11.200]   be yelling at it."
[00:09:11.200 --> 00:09:12.200]   Right, right.
[00:09:12.200 --> 00:09:13.200]   It's just a column.
[00:09:13.200 --> 00:09:14.200]   It's just a column.
[00:09:14.200 --> 00:09:16.200]   Now, February 28th is Tuesday.
[00:09:16.200 --> 00:09:18.200]   Apple is going to make a big announcement.
[00:09:18.200 --> 00:09:20.200]   And I think that's exactly what they're going to announce.
[00:09:20.200 --> 00:09:22.200]   What do you think they're going to announce?
[00:09:22.200 --> 00:09:23.200]   They're going to have a big break.
[00:09:23.200 --> 00:09:25.200]   They're going to show shipping windows.
[00:09:25.200 --> 00:09:28.200]   Have you seen the pictures that are new iPod?
[00:09:28.200 --> 00:09:29.200]   Yeah, I have.
[00:09:29.200 --> 00:09:31.200]   I don't know how real they are.
[00:09:31.200 --> 00:09:32.200]   Let me tell a story and...
[00:09:32.200 --> 00:09:34.200]   I just heard it was an announcement of something fun.
[00:09:34.200 --> 00:09:37.200]   Yeah, let me tell a story and we can see if we can decipher.
[00:09:37.200 --> 00:09:39.200]   I mean, it's kind of...
[00:09:39.200 --> 00:09:40.200]   There's very cryptic.
[00:09:40.200 --> 00:09:43.200]   I got the email myself that says, "It's just got a little
[00:09:43.200 --> 00:09:45.200]   I-Cal picture, February 28th, 2006."
[00:09:45.200 --> 00:09:47.200]   And it says, "This is all.
[00:09:47.200 --> 00:09:51.200]   It's just eight words, but everybody is reading into this
[00:09:51.200 --> 00:09:53.200]   eight words amazingly.
[00:09:53.200 --> 00:09:57.200]   Come see some fun new products from Apple."
[00:09:57.200 --> 00:09:58.200]   That's all it says.
[00:09:58.200 --> 00:09:59.200]   Now, we're going to go down there.
[00:09:59.200 --> 00:10:00.200]   I'm going to go down with a camera crew and we're going to
[00:10:00.200 --> 00:10:01.200]   cover it.
[00:10:01.200 --> 00:10:04.200]   But it could just be iPod socks version two.
[00:10:04.200 --> 00:10:06.200]   Fun new products.
[00:10:06.200 --> 00:10:08.200]   It doesn't sound big.
[00:10:08.200 --> 00:10:10.200]   Any thoughts from anybody?
[00:10:10.200 --> 00:10:11.200]   The speculation.
[00:10:11.200 --> 00:10:14.200]   There's so little information to work on.
[00:10:14.200 --> 00:10:16.200]   It's like semiotics.
[00:10:16.200 --> 00:10:20.200]   You're trying to understand what could they have meant by fun.
[00:10:20.200 --> 00:10:22.200]   What do they mean by products?
[00:10:22.200 --> 00:10:23.200]   Fun new products?
[00:10:23.200 --> 00:10:25.200]   It's a video player.
[00:10:25.200 --> 00:10:26.200]   That's what...
[00:10:26.200 --> 00:10:29.200]   And then Gadget had a picture very similar to the picture.
[00:10:29.200 --> 00:10:31.200]   Of the video iPod.
[00:10:31.200 --> 00:10:34.200]   Except the whole thing is a display and it's touch screen.
[00:10:34.200 --> 00:10:35.200]   Touch screen.
[00:10:35.200 --> 00:10:36.200]   And you feel that that's accurate?
[00:10:36.200 --> 00:10:38.200]   David, or do you have inside information?
[00:10:38.200 --> 00:10:40.200]   I don't have inside information, but that's what everyone
[00:10:40.200 --> 00:10:43.200]   that thinks that they have accurate information.
[00:10:43.200 --> 00:10:44.200]   I don't know what I'm thinking.
[00:10:44.200 --> 00:10:48.200]   I think it's a high-fied boombox arriving next week
[00:10:48.200 --> 00:10:50.200]   amongst the other products.
[00:10:50.200 --> 00:10:52.200]   I bet you it'll have Wi-Fi also.
[00:10:52.200 --> 00:10:53.200]   Here's my thinking.
[00:10:53.200 --> 00:10:54.200]   Here's my thinking.
[00:10:54.200 --> 00:10:55.200]   I think you're exactly right, David.
[00:10:55.200 --> 00:10:58.200]   Apple's talking about media hub.
[00:10:58.200 --> 00:11:01.200]   I think people are saying it's going to be a Mac Mini media hub.
[00:11:01.200 --> 00:11:05.200]   But what if it were an iPod media hub with built-in Wi-Fi,
[00:11:05.200 --> 00:11:09.200]   the ability to store and playback pictures, video and audio?
[00:11:09.200 --> 00:11:11.200]   And purchase it wirelessly.
[00:11:11.200 --> 00:11:13.200]   And purchase it wirelessly and play it back wirelessly.
[00:11:13.200 --> 00:11:15.200]   And subscribe to Twitch.
[00:11:15.200 --> 00:11:16.200]   And subscribe.
[00:11:16.200 --> 00:11:17.200]   Wouldn't that be an interesting product?
[00:11:17.200 --> 00:11:19.200]   Well, that would be one of the things you'd be able to do.
[00:11:19.200 --> 00:11:20.200]   Right?
[00:11:20.200 --> 00:11:22.200]   And get all the free stuff as well.
[00:11:22.200 --> 00:11:23.200]   Ask an Inja.
[00:11:23.200 --> 00:11:24.200]   Right.
[00:11:24.200 --> 00:11:27.200]   But you know, we're going to see RSS clients in this stuff.
[00:11:27.200 --> 00:11:31.200]   So you're going to be able to actually not only put your podcast on your portable device,
[00:11:31.200 --> 00:11:33.200]   but even manage your subscriptions there.
[00:11:33.200 --> 00:11:34.200]   Screw the RSS.
[00:11:34.200 --> 00:11:35.200]   I want BitTorrent.
[00:11:35.200 --> 00:11:36.200]   There you go.
[00:11:36.200 --> 00:11:38.200]   It won't play WMV.
[00:11:38.200 --> 00:11:44.200]   No, I think we can safely say that's not in the fun new product category.
[00:11:44.200 --> 00:11:50.200]   The other thing that's I think probably a very possible bet is a media center Mac Mini.
[00:11:50.200 --> 00:11:51.200]   I mean, they're due for the new Mac Mini.
[00:11:51.200 --> 00:11:53.200]   They're not due for a new iPod.
[00:11:53.200 --> 00:11:55.200]   It could be a new iBook.
[00:11:55.200 --> 00:11:56.200]   Could be an iBook.
[00:11:56.200 --> 00:11:57.200]   Then no, it's no.
[00:11:57.200 --> 00:11:58.200]   It's a fun new product, right?
[00:11:58.200 --> 00:12:01.200]   iBooks are fun, especially in the shape like toilet seats.
[00:12:01.200 --> 00:12:05.200]   You know, it seems to me that every time Apple farts, everybody gets on.
[00:12:05.200 --> 00:12:06.200]   I know it's amazing.
[00:12:06.200 --> 00:12:08.200]   Let's go on to some other topic.
[00:12:08.200 --> 00:12:10.200]   I mean, who cares what it is until after they show it.
[00:12:10.200 --> 00:12:13.200]   And then it's going to be like overblown when it rolls out.
[00:12:13.200 --> 00:12:15.200]   We'll be talking about this for a month.
[00:12:15.200 --> 00:12:16.200]   All right.
[00:12:16.200 --> 00:12:17.200]   I think you're probably right.
[00:12:17.200 --> 00:12:22.200]   I do think it's very interesting that people are just going on and on trying to read into these eight words.
[00:12:22.200 --> 00:12:24.200]   You know, what it could possibly be.
[00:12:24.200 --> 00:12:26.200]   We're going to go to a Mac break.
[00:12:26.200 --> 00:12:27.200]   It's going to take a camera crew down there.
[00:12:27.200 --> 00:12:29.200]   We'll have the same day coverage.
[00:12:29.200 --> 00:12:32.200]   And if it's iPod socks, won't we be embarrassed?
[00:12:32.200 --> 00:12:35.200]   What do you think of this new Skype version?
[00:12:35.200 --> 00:12:37.200]   You know, 2.0 with video?
[00:12:37.200 --> 00:12:38.200]   I haven't tried it.
[00:12:38.200 --> 00:12:39.200]   Have you tried it?
[00:12:39.200 --> 00:12:40.200]   I haven't tried it.
[00:12:40.200 --> 00:12:44.200]   I know that they used to be a plug-in, a third-party company made for video to work on Skype.
[00:12:44.200 --> 00:12:45.200]   For you know, it's called.
[00:12:45.200 --> 00:12:46.200]   Right.
[00:12:46.200 --> 00:12:49.200]   But now you can do it for real on Windows, but not on the Mac.
[00:12:49.200 --> 00:12:52.200]   So I'm actually using Skype on the Mac right now.
[00:12:52.200 --> 00:12:53.200]   I know you're all on Windows.
[00:12:53.200 --> 00:13:00.200]   Actually, a friend just got a new T-Mobile selling a new Windows Mobile cell phone.
[00:13:00.200 --> 00:13:06.200]   It's called the MDA that has -- this is a cell phone, but it has Wi-Fi in it, Windows Mobile.
[00:13:06.200 --> 00:13:10.200]   And he's running -- he puts Skype for Pocket PC on there.
[00:13:10.200 --> 00:13:16.200]   And you have to overclock it because it clocks in about 200 megahertz, but you overclock it a little bit.
[00:13:16.200 --> 00:13:17.200]   It runs Skype.
[00:13:17.200 --> 00:13:21.200]   And he's able to on his T-Mobile cell phone make Skype calls via Wi-Fi.
[00:13:21.200 --> 00:13:23.200]   And he can fry eggs on a T-Mobile?
[00:13:23.200 --> 00:13:24.200]   Yeah.
[00:13:24.200 --> 00:13:25.200]   He probably can't.
[00:13:25.200 --> 00:13:26.200]   It probably gets hot enough when you're overclocking it.
[00:13:26.200 --> 00:13:30.200]   Yeah, the problem is the 12-volt battery you need to keep running for more than an hour.
[00:13:30.200 --> 00:13:31.200]   Well, that's an interesting question.
[00:13:31.200 --> 00:13:37.200]   Yeah, it's kind of a -- it's a neat-looking phone, but it doesn't -- you know, again, the problem with these smartphones, they don't have dial pads.
[00:13:37.200 --> 00:13:39.200]   It's like the sidekick.
[00:13:39.200 --> 00:13:43.200]   It's like the phone functionality is second to everything else.
[00:13:43.200 --> 00:13:47.200]   Okay, news.
[00:13:47.200 --> 00:13:48.200]   News? That's news.
[00:13:48.200 --> 00:13:49.200]   That's all news.
[00:13:49.200 --> 00:13:51.200]   Everything we just mentioned is news.
[00:13:51.200 --> 00:13:54.200]   Should we do the 32 Google stories that have come out?
[00:13:54.200 --> 00:13:56.200]   All right, Google's made it in the news a lot.
[00:13:56.200 --> 00:13:57.200]   So, okay.
[00:13:57.200 --> 00:14:09.200]   Google's made another small announcement, Google Base, where they can use link credit cards through Google accounts, do purchasing with people are predicting that it's Google's shot across the bow of PayPal and eBay.
[00:14:09.200 --> 00:14:13.200]   So, they're finally doing that to those transactions that they were promising, huh?
[00:14:13.200 --> 00:14:14.200]   How do I do that?
[00:14:14.200 --> 00:14:15.200]   I have a Google account.
[00:14:15.200 --> 00:14:17.200]   Do I go to googlebase.com or what --
[00:14:17.200 --> 00:14:20.200]   Would you have a Gmail account or do you have a Google account?
[00:14:20.200 --> 00:14:26.200]   What they're doing is they're allowing certain people to start selling stuff through Google Base.
[00:14:26.200 --> 00:14:27.200]   Oh, okay.
[00:14:27.200 --> 00:14:28.200]   Okay.
[00:14:28.200 --> 00:14:32.200]   So, Google Base is now becoming the eBay killer that people were worried it was going to become.
[00:14:32.200 --> 00:14:39.200]   Slash Craigslist.
[00:14:39.200 --> 00:14:47.200]   They also announced a content creator, a web design engineer, to compete with Yahoo's GeoCities and all that.
[00:14:47.200 --> 00:14:49.200]   Boy, is it land?
[00:14:49.200 --> 00:14:50.200]   Did you try it?
[00:14:50.200 --> 00:14:51.200]   I know.
[00:14:51.200 --> 00:14:52.200]   It was just useless.
[00:14:52.200 --> 00:14:59.200]   My son looked at it and equated it with the first AOL web thing that they dreamed up.
[00:14:59.200 --> 00:15:00.200]   Really?
[00:15:00.200 --> 00:15:02.200]   Yeah, just bad.
[00:15:02.200 --> 00:15:08.200]   Well, and ironically, it was so popular that they had to close it after the first day because so many people signed up for it.
[00:15:08.200 --> 00:15:11.200]   Well, you guys, do you guys have a readuser friendly.org?
[00:15:11.200 --> 00:15:12.200]   Yeah.
[00:15:12.200 --> 00:15:13.200]   The cartoon.
[00:15:13.200 --> 00:15:19.200]   There's been a really great series where, where, uh, Ilya had been making fun of people who were completely oblivious.
[00:15:19.200 --> 00:15:21.200]   You know, they're like, "Oh, Google's going to give away our information."
[00:15:21.200 --> 00:15:23.200]   It's like, "Well, Google is already selling your information."
[00:15:23.200 --> 00:15:26.200]   The writing joke is like, "Oh, great. Why do I sign up?"
[00:15:26.200 --> 00:15:35.200]   There's this whole series of cartoons where they're kind of taking the piss out of Google and its reputation and the fact that anything they do to everybody signs up.
[00:15:35.200 --> 00:15:36.200]   Half the planet wants to sign up.
