
[00:00:00.000 --> 00:00:03.080]   It's time for pizza also twitch
[00:02:35.360 --> 00:02:41.080]   Half of them say and if if he isn't I didn't say yes, I'm saying I don't listen
[00:02:41.080 --> 00:02:47.360]   So is it I think it's better to have somebody that stimulates that kind of polarization
[00:02:47.360 --> 00:02:53.120]   Huh in the audience. Yeah, because that means Sarah Palin. They feel strongly. Did you get her on the show?
[00:02:53.120 --> 00:02:56.400]   Yeah, you know what I would get her on the show. She's got great legs
[00:02:56.400 --> 00:03:01.640]   Okay
[00:03:01.640 --> 00:03:05.120]   I did not mean that the vorak that was slash blog
[00:03:05.120 --> 00:03:09.960]   I was I was I was doing an impression of Newsweek magazine and now ladies and gentlemen from Time magazine
[00:03:09.960 --> 00:03:15.840]   Mr. Harry McCracken wearing his Donald Duck watch I hear it could see yeah. Yeah, that's cool. There's Donald
[00:03:15.840 --> 00:03:19.680]   There's Donald is that there's there's some reason for that the Donald Duck watches
[00:03:19.680 --> 00:03:26.880]   I went to Disneyland a few weeks ago and everybody gets a Mickey Mouse watch right I figured Donald needed some love Donald Donald
[00:03:26.880 --> 00:03:33.840]   Donald's always been my favorite too actually. He's the way now. Oh, no. That was his uncle uncle Scrooge was rolling in money
[00:03:33.840 --> 00:03:38.000]   Yes, that's that's my goal. Well, there's another one the Gladstone Gander character
[00:03:38.000 --> 00:03:40.160]   Which is the one is the lucky one the world's luck. Yes
[00:03:40.160 --> 00:03:45.800]   Wait a minute. Wait a minute. There's a character in the Donald Duck cartoons called Gladstone Gander
[00:03:46.040 --> 00:03:50.560]   So apparently you really aren't that much of a Donald Duck fan. Yes, no, even McCracken
[00:03:50.560 --> 00:03:51.280]   No, it's just kind of
[00:03:51.280 --> 00:03:53.040]   Gander wasn't in a watch. He was a
[00:03:53.040 --> 00:03:59.140]   It was a comic book thing again. It was eventually in cartoons. We started out in comic books again with the comic books
[00:03:59.140 --> 00:04:05.700]   What about Andrei on the other hand was a TV character? That's the one I know not God free Gander
[00:04:05.700 --> 00:04:09.080]   Gladstone Gladstone Gander wait a minute
[00:04:09.080 --> 00:04:11.120]   And the chat room of course
[00:04:11.120 --> 00:04:16.120]   Comes through immediately with a picture of Gladstone Gladstone is the world's luckiest
[00:04:16.120 --> 00:04:25.760]   Waterfall by the way, I am now I guarantee you I'm gonna get an email from YouTube saying we cannot show this video because you have a picture of Gladstone Gander in it
[00:04:25.760 --> 00:04:30.520]   So do it again, you know, that's not quite the Gladstone Gantam
[00:04:30.520 --> 00:04:35.680]   The better one he had a longer beak and it was that's not by Karl Barks. You know, there's a different guy
[00:04:35.680 --> 00:04:38.240]   Oh, am I in trouble here? I'm surrounded
[00:04:38.240 --> 00:04:42.640]   I was just saying how much I hated the Avengers movie and I didn't realize I was surrounded by comic book nerds
[00:04:42.640 --> 00:04:48.440]   I'm not a comic book nerd Dwight Silverman. Help me out Dwight Silverman's all cracking definitely is definitely McCracken
[00:04:48.440 --> 00:04:51.480]   It's well Donald. I'm a more of a Donald Duck nerd than a comics nerd
[00:04:51.480 --> 00:04:57.880]   Hey, it's good to see you Dwight Silverman from the Houston Chronicle. Well good to see you
[00:04:57.880 --> 00:05:02.440]   And you know, I love the Avengers movie. Did you just I thought it was big fun?
[00:05:02.440 --> 00:05:06.560]   Yeah, I thought it was better certainly than the last Iron Man movie, which was hideous
[00:05:06.560 --> 00:05:11.360]   I skipped that one. I like Iron Man one. Is it in 3d? No, no, I would not see a movie
[00:05:11.360 --> 00:05:15.040]   I don't like 3d first of all if you wear glasses, it's tough, right? And
[00:05:15.040 --> 00:05:19.360]   No, it's not dark as it is. I wear glasses and I don't have any problem whatsoever
[00:05:19.360 --> 00:05:22.080]   I'm gonna get clip-ons, which I just discovered you can buy I
[00:05:22.080 --> 00:05:29.560]   Really like clip-ons. Yes. Yeah, you have to buy them, but yeah, but they're like $12 in that expensive
[00:05:29.560 --> 00:05:32.560]   I did like it that Mark Ruffalo was a Bruce Banner
[00:05:32.560 --> 00:05:35.320]   I thought that was an interesting choice because he's kind of funny looking
[00:05:35.320 --> 00:05:40.720]   Or every time in each of the Hulk movies. It's been a different one. I like the Ed Norton
[00:05:40.720 --> 00:05:46.280]   Bruce Banner the well, that's because you feel like at any moment Ed Norton might actually explode in the
[00:05:46.280 --> 00:05:49.080]   Very much like on edge
[00:05:49.080 --> 00:05:56.120]   It's a it's a mistake for me to tell our to say to admit that I don't like the Avengers because of are we not a bunch of nerds in
[00:05:56.120 --> 00:06:00.000]   The audience who probably loved there's probably more than a few people that didn't like it either
[00:06:01.200 --> 00:06:07.840]   And you know and there look Ryn Brand is trying to save me. He's like well actually Leo didn't like the premise of the Avengers
[00:06:07.840 --> 00:06:09.840]   It wasn't the movie he disliked
[00:06:09.840 --> 00:06:14.000]   No, I hated the movie even yeah anyway, Hulk versus Loki
[00:06:14.000 --> 00:06:20.280]   I think I do think joss Whedon had fun with this. There's a moment when Loki and
[00:06:20.280 --> 00:06:22.800]   Thor are
[00:06:22.800 --> 00:06:27.680]   Talking and it's like a bit out of Shakespeare and then Robert Downey Jr. shows up in his Iron Man costume
[00:06:27.680 --> 00:06:33.280]   In fact says what is this Shakespeare? It was very funny and then he starts doing this fake Shakespeare thing
[00:06:33.280 --> 00:06:41.920]   It was it was amusing. It is the fifth highest grossing movie of all time the number one movie of the year yeah over a billion dollars
[00:06:41.920 --> 00:06:45.020]   So clearly I'm wrong no no no that's certainly
[00:06:45.020 --> 00:06:47.920]   Right with those figures
[00:06:47.920 --> 00:06:57.440]   You know where the public was wrong with a Facebook IPO we got to talk about this because it's the class action lawsuits are flying
[00:06:58.000 --> 00:06:59.600]   fast and
[00:06:59.600 --> 00:07:04.640]   Furious is yours. I'm reviewing it. Yeah, what do you think well? I haven't seen one yet
[00:07:04.640 --> 00:07:09.660]   This is the Fujifilm X10. I have a X100 which I love overpriced camera right?
[00:07:09.660 --> 00:07:12.800]   No, this was 600 bucks. I have the overpriced overpriced
[00:07:12.800 --> 00:07:19.520]   But when I but look at this is kind of neat you turn it on by by doing that that turns it on switching zooming the lens
[00:07:19.520 --> 00:07:21.840]   It's kind of fascinating
[00:07:21.840 --> 00:07:25.760]   Can we start this show over
[00:07:26.600 --> 00:07:30.680]   Dwight Silverman is here from the Houston Chronicle and the great technology bites program
[00:07:30.680 --> 00:07:33.480]   Have you ever have you ever oh?
[00:07:33.480 --> 00:07:35.840]   We got a we got something for John
[00:07:35.840 --> 00:07:41.240]   Oh John this is the best hottest new camera on the market today. I saw it earlier
[00:07:41.240 --> 00:07:45.480]   We can't figure out how to open it though. I can get it open. Thank you. That'll keep me busy for an hour
[00:07:45.480 --> 00:07:52.560]   You wouldn't know how to keep John C. de Vorac and suspense so the
[00:07:55.520 --> 00:08:03.560]   Good luck. Oh my god. He opened it. He opened it. I can't believe it. There's a thousand dollar bill in there for you John
[00:08:03.560 --> 00:08:09.400]   I wish wow. I can't believe you did that but we had we had experts working on that for the last hour
[00:08:09.400 --> 00:08:15.760]   What kind of camera is it? It's a land a polaroid. I you should have mentioned. Oh, yeah, Lauren land camera. No, it's not
[00:08:15.760 --> 00:08:20.240]   It's not it's not always got there's a roll-thru right there. Well, I'm camera. Yes, it's a film camera
[00:08:20.240 --> 00:08:24.680]   I don't think that's a polaroid, but the original pole. No, it's not a polaroid. It's a polaroid. It's a take all film though
[00:08:25.200 --> 00:08:27.200]   This is not a polaroid. No
[00:08:27.200 --> 00:08:33.360]   He hasn't figured out how to extend the bellows get it. He probably had one of the originals
[00:08:33.360 --> 00:08:39.560]   That's how you know I have a very small camera collection and no so I I dealt with cameras like this before this and we now
[00:08:39.560 --> 00:08:45.040]   Know because it's written in pencil in here that this belonged originally to a something Thomas a hole
[00:08:50.200 --> 00:08:55.080]   Oh the patents are in here. Yeah, part of the reason we're fumpering around is because the tech news this week is just well
[00:08:55.080 --> 00:08:57.360]   Let's get on with it with it with the face all though
[00:08:57.360 --> 00:09:02.240]   You really do it's not dull. I was looking at that list and thought oh, this is gonna be a good alright
[00:09:02.240 --> 00:09:06.320]   All right. Well you I'll tell you what pick your favorite story Dwight. We'll kick off with a big one
[00:09:06.320 --> 00:09:11.880]   Oh the fate well my favorite story is necessarily the big one. It's the guy who spent
[00:09:11.880 --> 00:09:15.240]   Who lived in the AOL office
[00:09:16.680 --> 00:09:21.840]   I agree. This is a funny story. There's a great story here so far. I think it's awesome
[00:09:21.840 --> 00:09:24.520]   So he he wasn't an employee of AOL
[00:09:24.520 --> 00:09:27.320]   No, he was not an employee of AOL
[00:09:27.320 --> 00:09:31.520]   He was a guy who essentially I think was part of some kind of internship
[00:09:31.520 --> 00:09:38.360]   Entrepreneurial internship program and then he got a a key card and when the program was over
[00:09:38.360 --> 00:09:43.280]   He the key card kept working. So what he decided to do was
[00:09:43.840 --> 00:09:48.520]   Live at AOL while he worked on trying to develop the startup and he slept on a couch
[00:09:48.520 --> 00:09:51.300]   He ate in the free food in the cafeteria
[00:09:51.300 --> 00:09:55.680]   Brilliant and the shower in this pie people like Google right now. They're doing the same thing
[00:09:55.680 --> 00:10:01.240]   This is just brilliant there are people all over you know all over Silicon Valley doing this he's 19 years old
[00:10:01.240 --> 00:10:06.160]   So he's just a young guy and his name is Eric Simon's
[00:10:06.160 --> 00:10:10.320]   And he created a company called class connect
[00:10:11.560 --> 00:10:18.000]   Actually, it's a great idea help teachers teach more effectively. He says my expenses were about $30 a month
[00:10:18.000 --> 00:10:26.480]   And it's good AOL and $30 a month and he and he's clearly a rails
[00:10:26.480 --> 00:10:32.160]   It looks like he's using Ruby on rails. I have to say it. There's a certain look is that yeah, and that tells you where you end up right?
[00:10:32.160 --> 00:10:35.280]   homeless powered by rack space and
[00:10:36.440 --> 00:10:42.280]   He wound up he wound up because of the story and telling this story did he admit it? Yes
[00:10:42.280 --> 00:10:47.280]   He was caught eventually he was caught and he was caught by a security guard and he eventually
[00:10:47.280 --> 00:10:50.780]   Hey, dude. Are you have you been living here?
[00:10:50.780 --> 00:10:56.600]   So so he he eventually parlayed it into
[00:10:56.600 --> 00:11:02.400]   Some venture capital and he has started his company and he's allied living in a real house
[00:11:02.640 --> 00:11:08.920]   But he still has to go back to the AOL offices periodically for meetings because he's still involved with this group
[00:11:08.920 --> 00:11:15.840]   He says I make a beeline for my meeting and I make a beeline out. I don't stick around allowed to stay right
[00:11:15.840 --> 00:11:19.600]   You know, let's do in fact. This is gonna be upside down day on Twitter
[00:11:19.600 --> 00:11:21.600]   We're gonna do all of the stories in reverse
[00:11:21.600 --> 00:11:26.080]   So we're gonna start with all the good stuff that we usually say for the end of the show
[00:11:26.080 --> 00:11:29.280]   Oh, you mean it's not gonna be like a normal to it. We're just we start with
[00:11:31.160 --> 00:11:33.880]   This what I've got to know is this possible
[00:11:33.880 --> 00:11:38.400]   This guy it's actually the original story is in French
[00:11:38.400 --> 00:11:41.240]   So but this guy apparently
[00:11:41.240 --> 00:11:48.600]   Broke down in the desert and he had was driving a citrona so that explains it a dish of oh, which is the little small
[00:11:48.600 --> 00:11:55.640]   Citrona TV this sevey and he broke down and so he took it and he
[00:11:56.200 --> 00:12:03.240]   Tore it apart and and I think it took him two weeks later. He built a motorcycle out of the parts and and left
[00:12:03.240 --> 00:12:10.800]   Apparently who says there's not good tech news
[00:12:10.800 --> 00:12:18.640]   Apparently like the axle was busted so he couldn't get out in the dish of oh, so he
[00:12:18.640 --> 00:12:22.440]   Is this possible
[00:12:23.920 --> 00:12:27.160]   It's gotta be fake right fake. Yeah, where was he again?
[00:12:27.160 --> 00:12:33.660]   He was traveling through the desert Northwest Africa his dish of oh dangerous place today
[00:12:33.660 --> 00:12:40.160]   Especially in a crappy little citron this these these it's two horsepower is why they call it dish of a
[00:12:40.160 --> 00:12:43.480]   Originally it was yeah, it's a little better than that
[00:12:43.480 --> 00:12:50.080]   That's not just two horse parts and he was he was he stopped and told not to go any further due to some military conflict in the area
[00:12:50.080 --> 00:12:55.760]   Not wanting to listen to the advice he decides to loop around through the desert to circumvent the roadblock at which point
[00:12:55.760 --> 00:12:59.840]   He snaps a swing arm on his vehicle
[00:12:59.840 --> 00:13:07.440]   Leaving him stranded he decided the best course of action to disassemble the vehicle and build a motorcycle out of the parts
[00:13:07.440 --> 00:13:12.040]   It's unprepared no tools in the desert
[00:13:12.040 --> 00:13:17.400]   He drilled holes by bending metal and sawing at it then unbending it to be flat again in
[00:13:18.320 --> 00:13:21.400]   Took him 12 days. This has to be a fake
[00:13:21.400 --> 00:13:29.080]   Like this story it's a good creative story. Oh, he also the frame beam was broken as well as a swing arm
[00:13:29.080 --> 00:13:38.280]   He apparently had tools and he doesn't want to leave them because he doesn't want them. It's stolen stolen
[00:13:38.280 --> 00:13:47.560]   All right, there's no tech I guess I just maybe this is a mythbusters episode in the in the making
[00:13:48.080 --> 00:13:51.760]   He had a lot of tools apparently enough tools to do that
[00:13:51.760 --> 00:13:57.880]   He even put a little fender on the back. I love that keep the mud from hitting him in the head and
[00:13:57.880 --> 00:14:03.600]   The next story is all right. We'll move on move on. I don't want to how about
[00:14:03.600 --> 00:14:07.920]   Surprising new details about Mark Zuckerberg's wedding day
[00:14:07.920 --> 00:14:16.380]   He had green day play for him. Did they have green day? Yeah, so it's interesting because they immediately the the press agent
[00:14:16.380 --> 00:14:18.480]   releases pictures of mark and
[00:14:18.480 --> 00:14:25.740]   In his do bright Priscilla Chan it was a surprise wedding they invited everybody saying it was gonna be what a graduation party
[00:14:25.740 --> 00:14:30.980]   But in fact she emerges wearing a wedding gown all done for tax purposes, of course
[00:14:30.980 --> 00:14:38.340]   Made it became a 19 billionaire. Yeah, well, he still hasn't cashed out so he is no
[00:14:38.340 --> 00:14:40.340]   But he took him 1.8 or something like that right?
[00:14:41.340 --> 00:14:47.800]   Was so the mid wedding turns him into married so he can file differently so it wasn't actually thousand dollars all of green day
[00:14:47.800 --> 00:14:55.060]   Was it or was Billy? Here's Billy Joe Armstrong? He's singing a song. He wrote no last night on earth for the couple
[00:14:55.060 --> 00:14:57.880]   Who shared a dance in front of clapping guests?
[00:14:57.880 --> 00:15:05.540]   Apparently they've become friends Zuckerberg and Armstrong. Yes sure their next trip to Machu Picchu later this year
[00:15:05.540 --> 00:15:09.880]   They've been to Bob. She made a deal. So here's the deal. So if they broke up
[00:15:10.640 --> 00:15:14.320]   I got the whole story. I'm glad you're having fun with the camera. I'm getting it over
[00:15:14.320 --> 00:15:17.200]   There's a screwdriver on the camera, you know, you don't have to use where it's keys
[00:15:17.200 --> 00:15:23.760]   Here right here is a little mounted screwdriver. Oh, you busted it never just on there then there it is
[00:15:23.760 --> 00:15:25.760]   Oh, that would probably be useful
[00:15:25.760 --> 00:15:29.260]   Yeah, you could actually build a motorcycle with this thing if you tried
[00:15:29.260 --> 00:15:36.120]   This what I needed that's what you needed. There you go. There's this hole. So apparently mark and Priscilla
[00:15:36.120 --> 00:15:40.280]   Nobody's interested in this keep going where will this damn I'm riveted
[00:15:41.080 --> 00:15:45.000]   They when he moved to California she continued her studies at Harvard
[00:15:45.000 --> 00:15:50.560]   She got a biode read biology then has gone on to a med school. She's becoming she wants to be a pediatrician
[00:15:50.560 --> 00:15:54.600]   She'll graduate soon, but they broke up briefly while he was on the west coast. She was on the east coast
[00:15:54.600 --> 00:15:57.400]   He dated a somebody at Cal student or whatever
[00:15:57.400 --> 00:16:02.000]   But but they decided to get back together, but she made a deal with him. She said I
[00:16:02.000 --> 00:16:06.600]   require 100 minutes of your time a week and a date
[00:16:07.480 --> 00:16:14.200]   This is in the article idiotic that sounds it sounds like this sounds. It has to be true. Yeah, no
[00:16:14.200 --> 00:16:20.480]   I'm sure it's true, but it's like, you know, and I want a trip overseas once a year
[00:16:20.480 --> 00:16:24.200]   So they've been to China. They've been to India and they're gonna go to Peru later this year
[00:16:24.200 --> 00:16:27.320]   I'm pretty much done
[00:16:27.320 --> 00:16:28.480]   next
[00:16:28.480 --> 00:16:33.020]   If you thought the Avengers was exciting get ready for the internet defense league
[00:16:33.520 --> 00:16:37.920]   With the about signal they do they have an icon has cheeseburger signal
[00:16:37.920 --> 00:16:41.080]   Cheeseburgers code
[00:16:41.080 --> 00:16:46.240]   Code for what? I don't know we've tried to figure it out WordPress Reddit and cheeseburger are joining the new
[00:16:46.240 --> 00:16:49.320]   I think this is good the internet defense league members can sign up
[00:16:49.320 --> 00:16:51.920]   To receive code
[00:16:51.920 --> 00:16:57.180]   They can choose to include on their site to alert visitors about a perceived threat to internet freedom. Oh
[00:16:57.180 --> 00:17:00.240]   brother
[00:17:00.880 --> 00:17:07.720]   Reddit was the was the site that created this whole blackout thing remember when we all went dark for that freedom day
[00:17:07.720 --> 00:17:09.720]   I didn't of course you didn't
[00:17:09.720 --> 00:17:12.280]   Yeah, I found out about the day after
[00:17:12.280 --> 00:17:18.040]   We went gray we did we actually did a shows all our shows that day in black and white which I thought was kind of
[00:17:18.040 --> 00:17:21.680]   Yeah, that's cute. Yeah, it was a good idea. We didn't want to stop doing the shows. No, no
[00:17:21.680 --> 00:17:27.240]   So a Craig new mark of craigslist is involved in this public knowledge electronic frontier foundation
[00:17:27.240 --> 00:17:30.760]   imger
[00:17:30.760 --> 00:17:34.600]   Supposed to be imager imager I believe I am G you are imager
[00:17:34.600 --> 00:17:40.200]   The more formal launches planted two weeks when Congress returns to session
[00:17:40.200 --> 00:17:47.960]   The league is meant to act like an emergency broad I want to join can I join where do I sign up?
[00:17:47.960 --> 00:17:51.720]   An emergency broadcast is exist a more a bat signal for the internet
[00:17:51.720 --> 00:17:56.240]   Queuing activist sites to swoop in just as Batman would
[00:17:56.240 --> 00:17:59.440]   They they call it the cat signal
[00:18:00.440 --> 00:18:02.440]   Yeah
[00:18:02.440 --> 00:18:08.560]   Another winner, okay, those were the three stories that we would have normally put at the end of the show
[00:18:08.560 --> 00:18:12.040]   Yeah, they're actually better at the beginning because it just is so crappy
[00:18:12.040 --> 00:18:19.380]   California Senate has now passed a law that says that we could have autonomous vehicles on the road SB
[00:18:19.380 --> 00:18:22.560]   1298 let's the Department of the California Highway Patrol
[00:18:22.560 --> 00:18:28.760]   adopt rules and regulations to promote the safe operation of specific vehicles autonomous vehicles
[00:18:29.200 --> 00:18:35.120]   Soon they're legal in Nevada soon. They'll be legal in California working on a book on this are you it'd be a good book
[00:18:35.120 --> 00:18:40.640]   What is it? What is it? What is the premise the premise is it's a it's the most revolutionary things come out of Silicon Valley in history
[00:18:40.640 --> 00:18:42.880]   It's gonna change the world. Yeah like the segue
[00:18:42.880 --> 00:18:45.720]   Yeah, exactly
[00:18:45.720 --> 00:18:49.320]   Exactly like the segue that's right. Yeah, this is the amazing thing
[00:18:49.320 --> 00:18:56.320]   I don't you know the California state legislature can't agree on anything. They're the most incompetent body in the worst place in the world
[00:18:56.320 --> 00:18:59.360]   They're worse. They're worse than this than than Belize
[00:18:59.360 --> 00:19:02.520]   They agreed on this 37 and nothing
[00:19:02.520 --> 00:19:09.920]   Because they want all the owners show fur across the board douchebags across the board
[00:19:09.920 --> 00:19:16.160]   Here's what the Senate Senator Alex Padilla. He's a Democrat from pakoma
[00:19:16.160 --> 00:19:18.720]   Who will claim a pakoma?
[00:19:18.720 --> 00:19:26.120]   What the legislation said thousands of Californians tragically die in auto accidents each year the vast majority of these
[00:19:26.120 --> 00:19:32.220]   Collisions are due to human error. That's probably true, right? Sure through the use of computer sensors and other systems
[00:19:32.220 --> 00:19:37.440]   There is this problem right there a fallacious faith in computer systems
[00:19:37.440 --> 00:19:44.240]   Yeah, an autonomous vehicle can analyze the driving environment more quickly and accurately and can operate the vehicle more safely
[00:19:44.240 --> 00:19:48.280]   Are we excited
[00:19:48.280 --> 00:19:51.760]   How long before Texas has this Dwight?
[00:19:52.800 --> 00:19:58.480]   Texas should have it before California. Oh, he's dead. He's dead in the water. I knew we hadn't heard from Dwight in a while and now
[00:19:58.480 --> 00:20:02.880]   Back how's that yeah, that better. Yeah, okay?
[00:20:02.880 --> 00:20:08.640]   I was gonna say that I think that Texas would we would love to have one of these in Houston
[00:20:08.640 --> 00:20:15.440]   But the problem is with the autonomous cars is I think like everybody has to have them before they work really well
[00:20:15.440 --> 00:20:19.680]   No, I don't know. No, no, no, you know, I
[00:20:20.480 --> 00:20:23.920]   You know, I mean we have so we have so many miles of open
[00:20:23.920 --> 00:20:29.300]   Land and then we and then they I mean open highway and then they end in these big congested
[00:20:29.300 --> 00:20:31.160]   LA type cities here
[00:20:31.160 --> 00:20:35.320]   I think it would be really interesting to have one and I would love to have one in Houston traffic
[00:20:35.320 --> 00:20:39.920]   But I just think the problem is is if everybody doesn't have one
[00:20:39.920 --> 00:20:46.800]   Wouldn't it be less safe if unless I don't know I mean the Google car with a lidar and everything
[00:20:46.800 --> 00:20:51.680]   Yeah, it's made its way around and yeah, and it's legal legalized in Nevada now
[00:20:51.680 --> 00:20:55.160]   It's you had to have a person in it, but somebody has to be hovering their
[00:20:55.160 --> 00:20:58.520]   I think it's I think it's fine with it with the other with the
[00:20:58.520 --> 00:21:03.520]   Arizona Hawaii Florida and Oklahoma have all announced plans for similar legislation and
[00:21:03.520 --> 00:21:11.080]   Google along with the automobile Club of Southern California the California Foundation for independent living centers tech net and tech America
[00:21:11.080 --> 00:21:15.680]   Of all support of the California bill. So so John do you think this is actually gonna happen?
[00:21:16.400 --> 00:21:19.400]   Yeah, it's probably gonna happen sooner than we think that's the weird part
[00:21:19.400 --> 00:21:22.200]   It is interesting because it seems to be like this is there's
[00:21:22.200 --> 00:21:30.280]   Somebody I was Alan care one of these guys were talking about how it always takes 20 years for a technology to emerge and actually take hold
[00:21:30.280 --> 00:21:32.360]   Well, this technology is is
[00:21:32.360 --> 00:21:39.400]   Beyond the 20 year point. They've been talking about this since I was a kid and they were gonna put these sensors on the road
[00:21:39.400 --> 00:21:44.300]   That's what's changed. You no longer need to change right. That's what's changed the infrastructure doesn't have to be
[00:21:44.300 --> 00:21:46.300]   read there's been a
[00:21:46.300 --> 00:21:54.940]   A paradigm shift and how you do it and that's this is the same thing like the reason that the pad computer the I book is taken off because
[00:21:54.940 --> 00:22:00.040]   It was an old idea from in the 80s another 20 year old had what I say the I book
[00:22:00.040 --> 00:22:03.340]   I said the I book. Yeah, that's funny the iPad
[00:22:03.340 --> 00:22:06.620]   I do speak to Vorek
[00:22:06.620 --> 00:22:12.540]   I've been studying for years the iPad is like it is really an old idea that took one paradigm
[00:22:12.920 --> 00:22:19.120]   Paradigm shift a different kind of display and also that the icons wrote boom boom. Yeah, well, that's what's happening here
[00:22:19.120 --> 00:22:23.540]   Boom. Yeah, this idea has been around since at least the 30s when Google made its initial announcement
[00:22:23.540 --> 00:22:27.080]   I went back into popular science and popular mechanics
[00:22:27.080 --> 00:22:31.900]   Which you can do easily because they're both on Google books, but they've been talking about flying cars since that time -
[00:22:31.900 --> 00:22:33.900]   We're gonna get those up
[00:22:33.900 --> 00:22:37.740]   This technology leads to flying cars think about it really yeah
[00:22:37.740 --> 00:22:40.040]   Well, and also this technology
[00:22:40.040 --> 00:22:43.800]   they've already been taking it to GM and Chrysler and
[00:22:43.800 --> 00:22:47.640]   And Ford have already heard from Google about this, you know
[00:22:47.640 --> 00:22:51.760]   They're pitching them on trying to get this into cars and I'll tell you I agree
[00:22:51.760 --> 00:22:54.640]   I think it'll happen if they can get enough states to approve it
[00:22:54.640 --> 00:22:56.320]   I'll tell you right now
[00:22:56.320 --> 00:23:04.040]   Ford is because I went on that Ford trip to Madrid and that little focus especially the hatchback that little five-door
[00:23:04.520 --> 00:23:09.500]   That is an unbelievable car from a technology standpoint. You can't flip that thing
[00:23:09.500 --> 00:23:16.040]   It's got all kinds of things in it that prevent you from flipping it and they've actually gave you these cars to try to ruin them
[00:23:16.040 --> 00:23:22.160]   And these cars had all they got radar all around it's like telling me I'm gonna bump something
[00:23:22.160 --> 00:23:26.440]   Do you remember this at CES a year ago? I drove this the enemy from General Motors
[00:23:26.440 --> 00:23:30.040]   Yeah, in fact, I brought this to live with Regis and Kelly
[00:23:30.040 --> 00:23:33.240]   What is that actually Kelly got locked in by accident?
[00:23:34.120 --> 00:23:39.280]   Help me. It's kind of scary. It's a segue, but no, but this is it is a segue in effect
[00:23:39.280 --> 00:23:43.120]   There's just because it's a two-wheeler. It's an urban vehicle, but it's autonomous
[00:23:43.120 --> 00:23:45.760]   Oh in fact it can be programmed to have
[00:23:45.760 --> 00:23:48.840]   Because it only holds two people if you have a family of four
[00:23:48.840 --> 00:23:52.000]   They said no problem the second one will follow the first one the first one drives
[00:23:52.000 --> 00:23:55.720]   You can put the kids in the first one let the car just go. I'd rather be in a small car
[00:23:55.720 --> 00:23:59.680]   I drove it and it was actually pretty cool. Yeah, can you imagine getting a hit net thing?
[00:23:59.680 --> 00:24:05.400]   Well, you the whole point of this stuff is you don't get hit because they you know all of them are that way
[00:24:05.400 --> 00:24:09.760]   And so they don't run into each other. Yeah, unless there's something from a Woody Allen movie
[00:24:09.760 --> 00:24:16.680]   It goes back and forth on its axis because that's how it it hovers up. It's good. That's again GM
[00:24:16.680 --> 00:24:23.200]   It's a concept. It's not but it was a working concept. We I wrote it. It was pretty cool. They had a they were demoing it
