
[00:00:00.000 --> 00:00:01.180]   (upbeat music)
[00:02:03.880 --> 00:02:06.640]   and keeps you from losing your most valued possessions.
[00:02:06.640 --> 00:02:11.000]   Visit the tracker.com/twit to save 20% off any order.
[00:02:11.000 --> 00:02:15.240]   It's time for Twit this week in tech.
[00:02:15.240 --> 00:02:18.080]   This show we cover the week's tech news.
[00:02:18.080 --> 00:02:20.760]   We got kind of an almost all CBS panels.
[00:02:20.760 --> 00:02:23.440]   It's CBS and Canada together.
[00:02:23.440 --> 00:02:25.320]   It's a great combination.
[00:02:25.320 --> 00:02:26.440]   It's a great combination.
[00:02:26.440 --> 00:02:27.480]   Lindsay Turrentine is here.
[00:02:27.480 --> 00:02:30.720]   Haven't had her on the show in so long and I apologize.
[00:02:30.720 --> 00:02:33.680]   I'm thrilled to have you, editor-in-chief at cnet.com
[00:02:33.680 --> 00:02:34.600]   in studio.
[00:02:34.600 --> 00:02:35.440]   Thank you.
[00:02:35.440 --> 00:02:36.520]   I love being here.
[00:02:36.520 --> 00:02:37.880]   And not sick.
[00:02:37.880 --> 00:02:39.040]   Not sick.
[00:02:39.040 --> 00:02:40.800]   Easy drive.
[00:02:40.800 --> 00:02:42.360]   Wow, this is great.
[00:02:42.360 --> 00:02:46.160]   We'll talk about CES, absolutely, in just a little bit.
[00:02:46.160 --> 00:02:47.840]   But we have other things to talk about.
[00:02:47.840 --> 00:02:51.280]   Tim Stevens is here also editor at large at Roadshow,
[00:02:51.280 --> 00:02:53.040]   which is of course on cnet.com.
[00:02:53.040 --> 00:02:54.040]   Hi, Tim.
[00:02:54.040 --> 00:02:54.920]   How's it going, Leo?
[00:02:54.920 --> 00:02:56.480]   I could tell by the badges behind you,
[00:02:56.480 --> 00:02:59.000]   you've been to a few CES's.
[00:02:59.000 --> 00:03:01.200]   Yeah, I've had a few badges just the past couple of weeks,
[00:03:01.200 --> 00:03:02.200]   as a matter of fact.
[00:03:02.200 --> 00:03:04.200]   And then the Detroit Auto Show.
[00:03:04.200 --> 00:03:04.760]   That's right.
[00:03:04.760 --> 00:03:06.600]   Yeah, I just got back from there the other day.
[00:03:06.600 --> 00:03:08.880]   And then, yeah, it's been a long couple of weeks,
[00:03:08.880 --> 00:03:10.800]   but I'm glad we're going for a couple of days.
[00:03:10.800 --> 00:03:11.360]   Welcome back.
[00:03:11.360 --> 00:03:11.920]   And--
[00:03:11.920 --> 00:03:12.400]   Thank you.
[00:03:12.400 --> 00:03:15.000]   We will have lots to talk about, I know.
[00:03:15.000 --> 00:03:18.560]   But before I start the conversation, let's also say hi.
[00:03:18.560 --> 00:03:20.280]   And welcome back to Georgia Dow.
[00:03:20.280 --> 00:03:23.520]   I haven't seen Georgia in the ages from imore.com.
[00:03:23.520 --> 00:03:25.000]   Our mom passed a little while ago.
[00:03:25.000 --> 00:03:27.960]   We're all our deep love and condolences.
[00:03:27.960 --> 00:03:30.760]   And we're just glad this is your first show sense, right?
[00:03:30.760 --> 00:03:32.880]   It's my first podcast period.
[00:03:32.880 --> 00:03:35.160]   So I'm rusty.
[00:03:35.160 --> 00:03:37.480]   Oh, well, no, we're thrilled to have you.
[00:03:37.480 --> 00:03:38.840]   Always, always thrilled.
[00:03:38.840 --> 00:03:43.200]   Georgia is, besides being a great gadget hound and a writer
[00:03:43.200 --> 00:03:45.320]   for iMore, a psychotherapist.
[00:03:45.320 --> 00:03:48.400]   So if any of you should feel the need at any time,
[00:03:48.400 --> 00:03:50.640]   just scream.
[00:03:50.640 --> 00:03:53.280]   No more CES.
[00:03:53.280 --> 00:03:54.200]   You feel free.
[00:03:54.200 --> 00:03:56.920]   Actually, Georgia, you're the only person beside you and me
[00:03:56.920 --> 00:03:57.760]   didn't go to CES.
[00:03:57.760 --> 00:03:58.520]   These two--
[00:03:58.520 --> 00:03:59.680]   No, I didn't go this year.
[00:03:59.680 --> 00:04:00.680]   What did we--
[00:04:00.680 --> 00:04:02.680]   [MUSIC PLAYING]
[00:04:02.680 --> 00:04:05.080]   So we talked about it last week, of course, a little bit,
[00:04:05.080 --> 00:04:06.520]   as well.
[00:04:06.520 --> 00:04:09.400]   It struck me that I didn't miss anything, but am I wrong?
[00:04:09.400 --> 00:04:11.080]   You missed a blackout.
[00:04:11.080 --> 00:04:13.680]   Besides that.
[00:04:13.680 --> 00:04:15.640]   That is the first time I can think of the CES
[00:04:15.640 --> 00:04:16.480]   suffered a blackout.
[00:04:16.480 --> 00:04:16.960]   That's it.
[00:04:16.960 --> 00:04:19.640]   And I have to say, and this is going to sound self-congratulatory.
[00:04:19.640 --> 00:04:20.280]   It's not really.
[00:04:20.280 --> 00:04:21.120]   It was just exciting.
[00:04:21.120 --> 00:04:24.080]   I was backstage at the CNET stage when that happened.
[00:04:24.080 --> 00:04:25.200]   No, that's in the South Hall, isn't it?
[00:04:25.200 --> 00:04:26.080]   It's in the South Hall.
[00:04:26.080 --> 00:04:29.680]   And we had people out on the floor doing live hits already
[00:04:29.680 --> 00:04:31.640]   from Central Hall, where the power went out.
[00:04:31.640 --> 00:04:34.360]   So we just immediately turned into like CNN.
[00:04:34.360 --> 00:04:35.120]   Blackout Central.
[00:04:35.120 --> 00:04:35.600]   Blackout Central.
[00:04:35.600 --> 00:04:36.920]   We were growing--
[00:04:36.920 --> 00:04:38.800]   I was standing here in front of an out--
[00:04:38.800 --> 00:04:40.680]   blacked out TV set.
[00:04:40.680 --> 00:04:41.200]   Yes.
[00:04:41.200 --> 00:04:42.440]   And it was--
[00:04:42.440 --> 00:04:42.880]   But I really--
[00:04:42.880 --> 00:04:44.080]   --relatively exciting.
[00:04:44.080 --> 00:04:45.200]   That's the big hole.
[00:04:45.200 --> 00:04:51.080]   That's where the LG curvy TV portal was.
[00:04:51.080 --> 00:04:52.640]   And all these stuff just were--
[00:04:52.640 --> 00:04:52.980]   Yep.
[00:04:52.980 --> 00:04:54.320]   The whole Samsung booth went down.
[00:04:54.320 --> 00:04:57.320]   There were a few booths with their own generators.
[00:04:57.320 --> 00:04:59.200]   Like this boat that was all lit up.
[00:04:59.200 --> 00:05:00.560]   But who's going to come visit that?
[00:05:00.560 --> 00:05:01.560]   It was very strange.
[00:05:01.560 --> 00:05:02.600]   Make your way through the bitch's left.
[00:05:02.600 --> 00:05:05.720]   It was just uncanny and ironic, right, of all places.
[00:05:05.720 --> 00:05:06.840]   It is.
[00:05:06.840 --> 00:05:09.240]   It is, especially since this was the CES where the--
[00:05:09.240 --> 00:05:11.160]   for instance, showed a collared bathroom
[00:05:11.160 --> 00:05:14.240]   that without electricity is completely useless.
[00:05:14.240 --> 00:05:14.760]   Correct.
[00:05:14.760 --> 00:05:15.560]   That's true.
[00:05:15.560 --> 00:05:16.240]   That's a good point.
[00:05:16.240 --> 00:05:16.600]   Yeah.
[00:05:16.600 --> 00:05:17.080]   Yeah.
[00:05:17.080 --> 00:05:20.280]   So in a way, it's kind of showing--
[00:05:20.280 --> 00:05:21.280]   How ridiculously--
[00:05:21.280 --> 00:05:23.200]   --dividend and vulnerability of the grid.
[00:05:23.200 --> 00:05:23.720]   Yes.
[00:05:23.720 --> 00:05:25.120]   This is vulnerable.
[00:05:25.120 --> 00:05:27.280]   There were some companies talking about solar power.
[00:05:27.280 --> 00:05:28.480]   And you know they were just sitting back,
[00:05:28.480 --> 00:05:30.800]   rubbing their hand thinking, oh, yes, come to us.
[00:05:30.800 --> 00:05:32.000]   We're going to make some more technology.
[00:05:32.000 --> 00:05:32.000]   Yeah.
[00:05:32.000 --> 00:05:32.960]   Make some more money today.
[00:05:32.960 --> 00:05:33.760]   Yeah.
[00:05:33.760 --> 00:05:35.160]   Yeah.
[00:05:35.160 --> 00:05:36.960]   It did seem like, though, that--
[00:05:36.960 --> 00:05:37.920]   were there some breakthroughs?
[00:05:37.920 --> 00:05:39.240]   I guess--
[00:05:39.240 --> 00:05:42.200]   I mean, in TVs, we could talk about Samsung's micro LED.
[00:05:42.200 --> 00:05:42.640]   Sure.
[00:05:42.640 --> 00:05:44.240]   I mean, the wall, right?
[00:05:44.240 --> 00:05:46.800]   The idea of this modular wall-based television
[00:05:46.800 --> 00:05:48.000]   was exciting.
[00:05:48.000 --> 00:05:49.680]   You're not going to be able to afford it for a long time.
[00:05:49.680 --> 00:05:53.000]   It's a cool idea that you can be able to expand and contract
[00:05:53.000 --> 00:05:56.120]   a television based on what you need for your house.
[00:05:56.120 --> 00:05:57.560]   If you want--
[00:05:57.560 --> 00:05:59.160]   There's just been a size of your wall.
[00:05:59.160 --> 00:06:00.880]   In my opinion, that's a spin.
[00:06:00.880 --> 00:06:03.480]   Because they can't get them-- the micro LEDs
[00:06:03.480 --> 00:06:06.960]   are very, very small LEDs, just as they sound like red, green,
[00:06:06.960 --> 00:06:07.880]   and blue.
[00:06:07.880 --> 00:06:10.280]   And they combine together to make a pixel.
[00:06:10.280 --> 00:06:12.760]   But they can't get them small enough.
[00:06:12.760 --> 00:06:15.480]   The only way you can make a 40 TV out of micro LEDs
[00:06:15.480 --> 00:06:17.960]   is to make it 146 inches.
[00:06:17.960 --> 00:06:20.360]   So they made a virtue out of this,
[00:06:20.360 --> 00:06:22.200]   because they can't do anything smaller.
[00:06:22.200 --> 00:06:25.960]   So they made a virtue, oh, well, it's modular.
[00:06:25.960 --> 00:06:27.200]   Yeah, that's true, because otherwise,
[00:06:27.200 --> 00:06:28.960]   we'd be able to get it in the door.
[00:06:28.960 --> 00:06:30.080]   That's true.
[00:06:30.080 --> 00:06:33.280]   I mean, the thing is, once it's that large, though,
[00:06:33.280 --> 00:06:36.400]   you're not going to be able to appreciate a much better
[00:06:36.400 --> 00:06:37.800]   resolution than that without getting--
[00:06:37.800 --> 00:06:38.480]   Oh, I agree.
[00:06:38.480 --> 00:06:40.360]   Unless you're very, very close to it.
[00:06:40.360 --> 00:06:41.320]   They were 8K.
[00:06:41.320 --> 00:06:41.560]   Scrantz.
[00:06:41.560 --> 00:06:42.520]   There were 8Ks.
[00:06:42.520 --> 00:06:43.360]   Crazy.
[00:06:43.360 --> 00:06:43.720]   Oh, that's crazy.
[00:06:43.720 --> 00:06:44.720]   Insane.
[00:06:44.720 --> 00:06:46.720]   So C and 16K, though, surprisingly.
[00:06:46.720 --> 00:06:47.320]   What?
[00:06:47.320 --> 00:06:48.400]   Stop it.
[00:06:48.400 --> 00:06:49.360]   No.
[00:06:49.360 --> 00:06:49.720]   Really?
[00:06:49.720 --> 00:06:51.280]   The deal is coming soon.
[00:06:51.280 --> 00:06:52.840]   Oh, man.
[00:06:52.840 --> 00:06:55.040]   The LG Roll-Up TV, though, that was really impressive.
[00:06:55.040 --> 00:06:57.000]   Unfortunately, they didn't have that on the show floor.
[00:06:57.000 --> 00:06:59.600]   But we've all known that OLEDs are flexible,
[00:06:59.600 --> 00:07:00.720]   and they can be rolled up.
[00:07:00.720 --> 00:07:03.680]   And we've seen a lot of concepts of small flexible displays
[00:07:03.680 --> 00:07:04.880]   from companies like Samsung.
[00:07:04.880 --> 00:07:07.040]   But for LG to roll out a 4K, I think
[00:07:07.040 --> 00:07:09.680]   it was 65 inch if I remember correctly.
[00:07:09.680 --> 00:07:10.440]   Roll-Up TV.
[00:07:10.440 --> 00:07:13.880]   Roll-Up to a tube like a window blind kind of thing.
[00:07:13.880 --> 00:07:15.360]   And that was really, really impressive.
[00:07:15.360 --> 00:07:16.840]   I was just disappointed they didn't have it
[00:07:16.840 --> 00:07:18.360]   on the show floor going all day long.
[00:07:18.360 --> 00:07:19.200]   It was really cool.
[00:07:19.200 --> 00:07:21.320]   The one thing to note about it, though--
[00:07:21.320 --> 00:07:24.360]   and David Katzmer from CNET took a really close look at it.
[00:07:24.360 --> 00:07:25.440]   He was super impressed.
[00:07:25.440 --> 00:07:27.680]   He had the same thing to say that Tim just said,
[00:07:27.680 --> 00:07:31.400]   but they would not reveal the mechanism into which it
[00:07:31.400 --> 00:07:32.600]   was rolling.
[00:07:32.600 --> 00:07:34.040]   So to see how it's a box.
[00:07:34.040 --> 00:07:38.160]   But you couldn't actually see where it was going.
[00:07:38.160 --> 00:07:40.160]   It was probably like two people's
[00:07:40.160 --> 00:07:42.640]   hands just kind of rolling it up regularly.
[00:07:42.640 --> 00:07:44.640]   We don't know how tight the roll was, I guess,
[00:07:44.640 --> 00:07:45.640]   is what I'm saying.
[00:07:45.640 --> 00:07:48.520]   We couldn't see whether it was really tight,
[00:07:48.520 --> 00:07:50.680]   and it was kind of like a window shade or whether it was this--
[00:07:50.680 --> 00:07:52.000]   I suspect it was a very big--
[00:07:52.000 --> 00:07:53.360]   It was a big thing to lose.
[00:07:53.360 --> 00:07:54.440]   A very loose--
[00:07:54.440 --> 00:07:55.440]   --stealing behinds.
[00:07:55.440 --> 00:07:56.520]   --cool.
[00:07:56.520 --> 00:07:57.760]   Still.
[00:07:57.760 --> 00:07:59.760]   Scott Wilkinson, our home theater guy,
[00:07:59.760 --> 00:08:04.080]   said I'm wondering what you think that 70 inches is the new 55
[00:08:04.080 --> 00:08:04.640]   or 60.
[00:08:04.640 --> 00:08:07.680]   That TVs are going to get bigger.
[00:08:07.680 --> 00:08:09.360]   I think that that's just sort of a truism.
[00:08:09.360 --> 00:08:10.840]   It's like the Moore's Law TV.
[00:08:10.840 --> 00:08:11.960]   They just get bigger.
[00:08:11.960 --> 00:08:14.160]   And we all have this weird sci-fi expectation
[00:08:14.160 --> 00:08:17.000]   that eventually TVs are going to fill our whole wall.
[00:08:17.000 --> 00:08:18.560]   We just seem to want that.
[00:08:18.560 --> 00:08:20.160]   I'm not sure exactly what--
[00:08:20.160 --> 00:08:22.840]   So most of us now just watch on this.
[00:08:22.840 --> 00:08:23.360]   I know.
[00:08:23.360 --> 00:08:24.040]   That's so crazy.
[00:08:24.040 --> 00:08:26.520]   I was just watching the football game on my iPad.
[00:08:26.520 --> 00:08:27.240]   It's over now.
[00:08:27.240 --> 00:08:30.560]   So I don't put it away because that's rude.
[00:08:30.560 --> 00:08:32.480]   But yeah, I think a lot of people--
[00:08:32.480 --> 00:08:33.800]   I look at my son's generation.
[00:08:33.800 --> 00:08:37.440]   They don't care if it's 70 inches or 10 inches.
[00:08:37.440 --> 00:08:39.120]   They don't seem to care that much.
[00:08:39.120 --> 00:08:41.000]   They may, though, when they start to buy houses.
[00:08:41.000 --> 00:08:41.920]   Yeah.
[00:08:41.920 --> 00:08:43.840]   It's an old person thing.
[00:08:43.840 --> 00:08:45.360]   You want to sit in comfy chairs?
[00:08:45.360 --> 00:08:48.200]   [LAUGHTER]
[00:08:48.200 --> 00:08:49.920]   So how about cars?
[00:08:49.920 --> 00:08:51.920]   This is one of the things that's weird about CES.
[00:08:51.920 --> 00:08:53.920]   It's right before the auto show.
[00:08:53.920 --> 00:08:56.160]   And yet there's a lot of automotive technology.
[00:08:56.160 --> 00:08:57.960]   Is CES right, Tim?
[00:08:57.960 --> 00:08:58.680]   Yeah, absolutely.
[00:08:58.680 --> 00:09:00.120]   There's a huge amount of stuff there.
[00:09:00.120 --> 00:09:02.560]   And a lot of companies, US CES, is kind of a launching point
[00:09:02.560 --> 00:09:04.160]   for their Detroit show, actually.
[00:09:04.160 --> 00:09:08.520]   So they'll announce some technology in Vegas at CES.
[00:09:08.520 --> 00:09:10.880]   For example, Mercedes-Benz showed off their new infotainment
[00:09:10.880 --> 00:09:12.600]   system at Vegas.
[00:09:12.600 --> 00:09:15.640]   And then they went into Detroit and showed off the new G-Class,
[00:09:15.640 --> 00:09:16.760]   their big new SUV.
[00:09:16.760 --> 00:09:18.320]   So that way they can get their tech story,
[00:09:18.320 --> 00:09:20.520]   and they can get that angle covered in Vegas.
[00:09:20.520 --> 00:09:23.240]   And then they can get their big metal story done
[00:09:23.240 --> 00:09:24.720]   into Detroit as well without kind of stepping
[00:09:24.720 --> 00:09:25.560]   on their own toes.
[00:09:25.560 --> 00:09:27.800]   Because in Detroit, not that many people
[00:09:27.800 --> 00:09:29.880]   would really care about a new infotainment system.
[00:09:29.880 --> 00:09:31.280]   And in Vegas, certainly not that many people
[00:09:31.280 --> 00:09:33.320]   would care about what is ultimately
[00:09:33.320 --> 00:09:36.480]   a new version of their ancient giant SUV.
[00:09:36.480 --> 00:09:38.640]   So that way they can basically target their story
[00:09:38.640 --> 00:09:41.160]   at the appropriate media and kind of cover both bases
[00:09:41.160 --> 00:09:42.160]   pretty well.
[00:09:42.160 --> 00:09:45.040]   But there were quite a few automotive announcements at CES.
[00:09:45.040 --> 00:09:46.840]   Biden was probably the biggest one,
[00:09:46.840 --> 00:09:48.960]   new Chinese manufacturing with a relatively low cost
[00:09:48.960 --> 00:09:50.400]   all-electric SUV.
[00:09:50.400 --> 00:09:52.680]   Hopefully, coming to the US in 2020, fingers crossed.
[00:09:52.680 --> 00:09:54.960]   We'll see.
[00:09:54.960 --> 00:09:58.280]   So electrics are interesting because you've got, of course,
[00:09:58.280 --> 00:09:58.760]   Tesla.
[00:09:58.760 --> 00:10:02.320]   But then you now have the Nissan Leaf, which
[00:10:02.320 --> 00:10:05.720]   is a big seller, the Bolt from BOLT, from Chevy,
[00:10:05.720 --> 00:10:07.320]   which is a big seller.
[00:10:07.320 --> 00:10:09.760]   And every car manufacturer--
[00:10:09.760 --> 00:10:11.040]   I'm curious.
[00:10:11.040 --> 00:10:12.120]   They've announced electrics.
[00:10:12.120 --> 00:10:14.720]   But do they see this as the future of the market?
[00:10:14.720 --> 00:10:17.200]   Or doing this for regulatory reasons?
[00:10:17.200 --> 00:10:19.000]   There are countries like Norway where it fits
[00:10:19.000 --> 00:10:19.520]   not electric.
[00:10:19.520 --> 00:10:22.040]   You won't be able to sell it in a few years.
[00:10:22.040 --> 00:10:23.240]   What's driving electric?
[00:10:23.240 --> 00:10:23.960]   Is it demand?
[00:10:23.960 --> 00:10:25.240]   I don't think it's demand.
[00:10:25.240 --> 00:10:26.440]   It's definitely not demand.
[00:10:26.440 --> 00:10:28.480]   In fact, I was just looking at some numbers
[00:10:28.480 --> 00:10:29.480]   not that long ago.
[00:10:29.480 --> 00:10:33.120]   And the average incentive price on top of an EV
[00:10:33.120 --> 00:10:35.280]   is in the $10,000 to $15,000 range.
[00:10:35.280 --> 00:10:37.320]   It's basically how much dealers need to knock off
[00:10:37.320 --> 00:10:39.360]   the price of the car to move those.
[00:10:39.360 --> 00:10:42.000]   So for example, the Chevy Bolt EV, the electric car,
[00:10:42.000 --> 00:10:44.240]   outsold the Volt to their plug-in hybrid last year,
[00:10:44.240 --> 00:10:46.360]   which is on the surface a pretty great story.
[00:10:46.360 --> 00:10:49.560]   But they had to knock off somewhere around $12,000, $13,000
[00:10:49.560 --> 00:10:51.080]   on every Bolt to get them out the door.
[00:10:51.080 --> 00:10:52.960]   And that's on top of any federal incentives.
[00:10:52.960 --> 00:10:55.720]   So there's a lot of deals like that going on
[00:10:55.720 --> 00:10:57.720]   to get these things out the door.
[00:10:57.720 --> 00:11:00.240]   And the expectation is that they could be the future.
[00:11:00.240 --> 00:11:02.200]   But there are actually a lot of executives
[00:11:02.200 --> 00:11:02.920]   that are skeptical.
[00:11:02.920 --> 00:11:05.640]   It was a KPMG study from a few months back
[00:11:05.640 --> 00:11:07.640]   where I think it was on the order of 60% or 70%
[00:11:07.640 --> 00:11:09.880]   of automotive executives think that battery
[00:11:09.880 --> 00:11:11.040]   electrics are actually a fad.
[00:11:11.040 --> 00:11:12.640]   And they're actually going to go away.
[00:11:12.640 --> 00:11:14.840]   So that's pretty interesting.
[00:11:14.840 --> 00:11:17.840]   Right now they're allowing these automotive companies
[00:11:17.840 --> 00:11:20.480]   to basically increase their average fuel economy
[00:11:20.480 --> 00:11:22.600]   and ultimately reduce the fleet emissions
[00:11:22.600 --> 00:11:23.840]   of all their vehicles.
[00:11:23.840 --> 00:11:24.680]   So they get credits.
[00:11:24.680 --> 00:11:27.480]   And ultimately that allows them to build big trucks
[00:11:27.480 --> 00:11:29.440]   or sports cars or whatever else they want to do.
[00:11:29.440 --> 00:11:31.520]   But they're having to incentivize those EVs a lot
[00:11:31.520 --> 00:11:32.560]   in order to get them out the door.
[00:11:32.560 --> 00:11:34.360]   I'm hoping that that changes this year
[00:11:34.360 --> 00:11:36.000]   with the Model 3 coming out in mass.
[00:11:36.000 --> 00:11:37.680]   But that remains to be seen.
[00:11:37.680 --> 00:11:39.920]   Part of the problem is a gas is cheap right now.
[00:11:39.920 --> 00:11:43.320]   Gas is super cheap and it's still not easy to charge.
[00:11:43.320 --> 00:11:45.200]   It's not all my friends who drive electric vehicles.
[00:11:45.200 --> 00:11:46.400]   I have quite a few because I live in Berkeley.
[00:11:46.400 --> 00:11:49.200]   That's like, you know, I don't do yoga
[00:11:49.200 --> 00:11:50.120]   and I don't have an electric car.
[00:11:50.120 --> 00:11:50.960]   So I'm going to get kicked out.
[00:11:50.960 --> 00:11:52.920]   At least you eat granola and wear burka stocks.
[00:11:52.920 --> 00:11:53.760]   So you're halfway there.
[00:11:53.760 --> 00:11:55.040]   Granola.
[00:11:55.040 --> 00:11:56.040]   Yes.
[00:11:56.040 --> 00:11:58.120]   (laughing)
[00:11:58.120 --> 00:12:00.600]   But it's still this kind of crazy like,
[00:12:00.600 --> 00:12:02.040]   wait, where's there a whole foods?
[00:12:02.040 --> 00:12:03.040]   I got to charge.
[00:12:03.040 --> 00:12:05.560]   And this is just taking too long.
[00:12:05.560 --> 00:12:06.760]   I'm not going to make my appointment.
[00:12:06.760 --> 00:12:08.120]   I think it still happens a lot
[00:12:08.120 --> 00:12:09.520]   and it stresses people out.
[00:12:09.520 --> 00:12:10.960]   Charging fast with the barrier.
[00:12:10.960 --> 00:12:12.520]   I mean, if you're used to going to the gas station
[00:12:12.520 --> 00:12:14.320]   and filling up in a few minutes,
[00:12:14.320 --> 00:12:16.080]   you're going to be charging for,
[00:12:16.080 --> 00:12:18.320]   if it's a supercharger, half an hour.
[00:12:18.320 --> 00:12:20.440]   And if it's not, long, long time.
[00:12:20.440 --> 00:12:22.200]   Yeah, so that was actually one of the cool things
[00:12:22.200 --> 00:12:25.680]   we saw at CDS was the first production ready car
[00:12:25.680 --> 00:12:27.000]   with a solid state battery.
[00:12:27.000 --> 00:12:28.560]   That was the new Fisker Emotion,
[00:12:28.560 --> 00:12:31.840]   which is a beautiful four-door kind of sporty sedan thing.
[00:12:31.840 --> 00:12:33.920]   But we've heard a lot of talk about solid state batteries.
[00:12:33.920 --> 00:12:35.680]   And Fisker was the first one to actually show us a car
[00:12:35.680 --> 00:12:36.840]   that had one in it.
[00:12:36.840 --> 00:12:40.920]   And in nine minutes, that car will do 125 miles with charging,
[00:12:40.920 --> 00:12:42.600]   which is about two hours of driving.
[00:12:42.600 --> 00:12:45.240]   So you figure if your crew's done the highway every two hours,
[00:12:45.240 --> 00:12:47.720]   maybe stop, get a coffee, use the restroom.
[00:12:47.720 --> 00:12:49.720]   And in that time, you'd get another 120 miles of rain.
[00:12:49.720 --> 00:12:51.560]   So in theory, that's pretty cool.
[00:12:51.560 --> 00:12:53.280]   And we're expecting to see something similar
[00:12:53.280 --> 00:12:55.520]   from Porsche this year a little later on.
[00:12:55.520 --> 00:12:57.840]   But solid state batteries could really change the industry
[00:12:57.840 --> 00:13:00.280]   and that could get us the charging rate that we need,
[00:13:00.280 --> 00:13:01.560]   but we're still going to need those charges of course.
[00:13:01.560 --> 00:13:02.400]   - That's really cool.
[00:13:02.400 --> 00:13:04.960]   Tim, what did you think of the Qualcomm demo of the,
[00:13:04.960 --> 00:13:08.520]   it was basically like wireless charging for your car, right?
[00:13:08.520 --> 00:13:09.720]   That was what I got out of it.
[00:13:09.720 --> 00:13:12.000]   - Yeah, they put it in the freeway and you charge as you drive.
[00:13:12.000 --> 00:13:13.160]   - Well, just like as you park,
[00:13:13.160 --> 00:13:16.000]   you just parked over the charging pad.
[00:13:16.000 --> 00:13:17.200]   - They're actually working on both.
[00:13:17.200 --> 00:13:19.640]   So the technology is called Halo and it's,
[00:13:19.640 --> 00:13:21.040]   the basic idea is that yeah,
[00:13:21.040 --> 00:13:23.440]   you'd be able to deploy this within a parking spot
[00:13:23.440 --> 00:13:25.280]   at a grocery store or something like that.
[00:13:25.280 --> 00:13:28.240]   And it actually will do fast DC charging wirelessly,
[00:13:28.240 --> 00:13:29.080]   which is pretty cool.
[00:13:29.080 --> 00:13:30.680]   So you just park your car over it.
[00:13:30.680 --> 00:13:32.280]   And I think the loss rate is only,
[00:13:32.280 --> 00:13:34.960]   it's less than 5% if I can recall correctly.
[00:13:34.960 --> 00:13:36.920]   So it's actually not that much worse
