
[00:00:00.000 --> 00:00:05.600]   It's time for Twit this weekend taking all in studio panel Nathan Olaveras, Giles, Rob Reed and
[00:02:27.960 --> 00:02:31.680]   I just hope you stay here longer than you stayed at wired. Yeah, that would be nice. Yeah
[00:02:31.680 --> 00:02:36.280]   Nate is
[00:02:36.280 --> 00:02:39.960]   Of course gonna be on a lot of the shows you're gonna be regular on the new screen savers
[00:02:39.960 --> 00:02:44.920]   Yeah, but you'll also I think you're gonna develop you're working on some shows that you would like to do here
[00:02:44.920 --> 00:02:48.960]   Yep, I want you to do a gaming show because you're a serious gamer consider it done
[00:02:48.960 --> 00:02:49.800]   Yeah, let's do it
[00:02:49.800 --> 00:02:54.240]   And I thought if we did a gaming show we should really do a let's play ish kind of show where we play the games
[00:02:54.240 --> 00:02:57.480]   Because what we did a gaming show for a while and was talking about the games
[00:02:57.480 --> 00:03:02.400]   That's not as interesting. I think people on you know would love to see how bad I am in video games. I'm totally okay
[00:03:02.400 --> 00:03:07.200]   Good. I'm sorry. That's always fun to watch other people. Oh, yeah resident evil or something. Who's voice?
[00:03:07.200 --> 00:03:13.160]   This is a voice and so from it. Oh, it's Georgia down. Hi Georgia down visiting us from Mariah. Yeah
[00:03:13.160 --> 00:03:18.040]   I'm so excited to be here. I'm thrilled to have you in studio Georgia was on the new screensavers yesterday
[00:03:18.040 --> 00:03:23.120]   With and rave reviews. They said please hire her. She should be on the show
[00:03:23.120 --> 00:03:25.640]   But I don't think we can get you to move from Canada
[00:03:25.640 --> 00:03:30.280]   I love it's beautiful anytime you come down. Yeah, that we're getting some good weather
[00:03:30.280 --> 00:03:34.200]   Well, no it's raining you like that though, and you did wine cut. Did you do anything?
[00:03:34.200 --> 00:03:37.400]   Well, I don't really I don't really do one
[00:03:37.400 --> 00:03:42.400]   Candela wrong place we do have beer do you do beer? No
[00:03:43.280 --> 00:03:49.640]   She's good at sleep though. She has a number of videos at anxiety - videos calm including I love this
[00:03:49.640 --> 00:03:57.240]   Sleep like a baby. That's nice. That's a good one. It's a good one. Hey, totally passed out like I know that's baby sleep
[00:03:57.240 --> 00:04:03.480]   Well, I could sleep like that I would get you could sleep in that position you could sleep in any position
[00:04:03.480 --> 00:04:08.640]   That's true, and that is Rob Reed great to have you Rob Reed. It is great to be here read Rob Reed calm
[00:04:08.640 --> 00:04:12.320]   I like that is that the new site read Rob Reed. It's a site. It is a site
[00:04:12.320 --> 00:04:18.540]   Yeah, I love that and I think I have every derivative of the word read in both positions all pointing there
[00:04:18.540 --> 00:04:25.760]   It's read our E ad Rob. Oh, I get it read Rob Reed. It's a commander request now that we've had you on before
[00:04:25.760 --> 00:04:30.880]   On this show and also on triangulation to talk about year zero. Yes, Rob did a great
[00:04:30.880 --> 00:04:34.200]   I hope you've seen it if you haven't go see it Ted talk on on
[00:04:35.040 --> 00:04:39.480]   Copyright math yes, I did and it was actually really probably one of the best
[00:04:39.480 --> 00:04:47.700]   Explanation is of why copy you know why this this whole complaint of the music industry that they're losing money to pirates is bogus
[00:04:47.700 --> 00:04:55.440]   And then he followed it up with this book which is aliens it turns out aliens have been using our music for a long time
[00:04:55.440 --> 00:04:58.640]   And they owe us a horrendous amount of terrible copyright violation
[00:04:58.640 --> 00:05:06.000]   So this is the tale based on a true story of a vast alien civilization that is so into American pop music that they accidentally
[00:05:06.000 --> 00:05:08.760]   Commit the biggest copyright infringement since the dawn of time
[00:05:08.760 --> 00:05:14.280]   There boy thereby bankrupting the entire universe. There's a episode of Rick and Morty, which is one of my favorite cartoons
[00:05:14.280 --> 00:05:19.760]   That was based on this you're kidding is anybody. Oh you do Rick and Morty now. There's like a karaoke show and they like have
[00:05:19.760 --> 00:05:26.760]   Rob you better investigate this well would they did they come before this but this is a few years old my book?
[00:05:26.760 --> 00:05:28.760]   So no, this is this is just like last year
[00:05:28.760 --> 00:05:35.760]   I'll find the ironic
[00:05:35.760 --> 00:05:40.520]   Source you guys fighting copyright violation ends up
[00:05:40.520 --> 00:05:45.240]   Now the news about this because I am here on Twitter this week
[00:05:45.240 --> 00:05:50.880]   Random House has agreed at my urgent request to put the digital version of this book on
[00:05:50.880 --> 00:05:55.400]   Crazy discount it is a buck ninety nine all week because of this
[00:05:56.120 --> 00:06:00.200]   Literally because of this because of this I'm gonna be on Twitter and it'd be real
[00:06:00.200 --> 00:06:05.760]   I mean the books been out for a few years. It's really funny in fact the first sentences aliens suck at music
[00:06:05.760 --> 00:06:13.240]   For a lack of trying so and Rob has a little bit of experience in this having found a listen.com and Rhapsody
[00:06:13.240 --> 00:06:17.800]   So you go back a little way I go back a little you're a reformed entrepreneur. I take it
[00:06:17.800 --> 00:06:23.440]   I am a recovering entrepreneur turned science fiction author. I like it. Yes. I like it. Of course
[00:06:24.160 --> 00:06:30.680]   Tech TV fans will know that Morgan web is your spouse she is which is pretty cool very cool
[00:06:30.680 --> 00:06:38.560]   It was incredibly cool is the coolest fact about tell Morgan and the coolest aspect of my life a year from May when you're from now
[00:06:38.560 --> 00:06:42.840]   Is the 20th anniversary of the launch of ZD TV slash tech TV a year?
[00:06:42.840 --> 00:06:50.640]   20 years so I think we need to have a big party what day what day a day 11th 2018
[00:06:51.480 --> 00:06:54.260]   That's kind of scary that it was ZD TV at the time
[00:06:54.260 --> 00:06:59.000]   Did she was she there to be now she would have not she would have still been in Berkeley at that point
[00:06:59.000 --> 00:07:06.040]   But she came in she probably started there 2000 2001 ish nice. I'm gonna guess yeah, and it was already tech TV
[00:07:06.040 --> 00:07:08.040]   I know when she came over. Yeah, yeah
[00:07:08.040 --> 00:07:12.280]   Well, it was a week for tech news there was a lot of it
[00:07:12.280 --> 00:07:19.000]   I think we should probably mention because we talked about it on Wednesday that the Senate did indeed vote to
[00:07:19.440 --> 00:07:22.720]   revoke an FCC rule a rule that had only been
[00:07:22.720 --> 00:07:26.080]   promulgated October of last year that
[00:07:26.080 --> 00:07:34.120]   Prevented internet service providers from selling your browser history to the highest bidder well without permission first
[00:07:34.120 --> 00:07:36.120]   Let's make it clear without permission
[00:07:36.120 --> 00:07:41.440]   This is something that every ISP is basically doing AT&T did create a
[00:07:41.440 --> 00:07:47.880]   Deal where if you agreed to it you would get a somewhat reduced price for your internet access
[00:07:47.880 --> 00:07:53.160]   But for the most part until October of last year they just did whatever they wanted with it
[00:07:53.160 --> 00:07:55.880]   Yep, including putting you know Verizon put those
[00:07:55.880 --> 00:07:57.960]   Undelitable cookies
[00:07:57.960 --> 00:08:04.200]   Whenever you surf with a Verizon phone you identified yourself to the website and then they would charge websites for that information
[00:08:04.200 --> 00:08:11.320]   Oh, we'll tell you Julio is we'll tell you we'll tell you that they I mean they inject ads into your
[00:08:11.320 --> 00:08:16.080]   Search results they inject ads into your surfing they've done all of these things
[00:08:17.080 --> 00:08:23.640]   They were really stymied and didn't like it one bit that the FCC stopped that but this is back under Obama
[00:08:23.640 --> 00:08:30.800]   Senate has now voted in a fairly close vote along party lines exactly 50 to 48. I think it was
[00:08:30.800 --> 00:08:33.640]   Yeah
[00:08:33.640 --> 00:08:36.480]   To say that's it you can do anything you want
[00:08:36.480 --> 00:08:42.640]   Yeah, and this is going to be the trend I think from the FCC and from Congress to just eliminate consumer protections and say oh
[00:08:43.040 --> 00:08:47.720]   Practition will take care of it. I don't I don't know if I agree with that the house has to approve it
[00:08:47.720 --> 00:08:50.600]   But it's because the house has an even greater majority of Republicans
[00:08:50.600 --> 00:08:53.880]   Yeah, the house has to prove it and then Trump would have to sign into law is it a bill?
[00:08:53.880 --> 00:08:59.960]   It's no, I think it's just a rule. I think it does not it's not it's not a law. It's the rollback of a regulation
[00:08:59.960 --> 00:09:02.760]   Yeah, I don't think it's it's an a review act right?
[00:09:02.760 --> 00:09:10.120]   Okay, but what is you something that was done within 60 congressional days and they can review it and then without presidential signature
[00:09:10.120 --> 00:09:12.560]   Yeah
[00:09:12.560 --> 00:09:14.360]   sad
[00:09:14.360 --> 00:09:16.360]   What's really sad to me is that
[00:09:16.360 --> 00:09:23.280]   Our members of Congress are frankly and very clearly in the pockets of big companies and not in the pockets of consumers
[00:09:23.280 --> 00:09:26.960]   And I'll add that it's rather cool that a Canadian knows our laws better than we
[00:09:26.960 --> 00:09:30.680]   Thank you for that. She's the three of us had no idea
[00:09:30.680 --> 00:09:36.120]   She just knows everything better than well, you know, I don't want to sound defeatist here
[00:09:36.120 --> 00:09:41.280]   I feel like this this should be one of those opportunities if this is something you strongly believe in whether you're a Republican or
[00:09:42.000 --> 00:09:46.240]   Democrat like call up your your Congress member call up your congressman and call up your Congresswoman
[00:09:46.240 --> 00:09:50.320]   Yeah, tell them. I mean that vote was close and it was long party lines, but
[00:09:50.320 --> 00:09:54.080]   As I think we just saw with the GOP giving up
[00:09:54.080 --> 00:09:58.960]   They can be persuaded they can be persuaded. Yeah, and ultimately the vote we're the boss
[00:09:58.960 --> 00:10:03.120]   Yeah, and we have to but we have to assert that exactly and the fact the matter is is that
[00:10:03.120 --> 00:10:07.040]   ISPs cable companies TV set makers
[00:10:07.600 --> 00:10:14.400]   Basically any sort of internet connected device you have is collecting this sort of data. This is a business for all of these companies. So
[00:10:14.400 --> 00:10:18.720]   Whether or not you like that business existing is another separate issue
[00:10:18.720 --> 00:10:25.680]   But I think whether or not there's transparency about it and whether or not they ask us permission first is what this is about, right?
[00:10:25.680 --> 00:10:28.480]   So keeping that rule in place
[00:10:28.480 --> 00:10:34.400]   I don't see how that negatively impacts this business, which is in existence and growing
[00:10:34.960 --> 00:10:39.200]   If anything it just keeps us in the loop about that and I don't know how anyone can be mad at that. So
[00:10:39.200 --> 00:10:44.480]   You know, hey, if you if you if you want them to roll this back repeal it
[00:10:44.480 --> 00:10:48.480]   Tell all your elected officials that too. Let them know that you think they're doing the right thing
[00:10:48.480 --> 00:10:52.480]   But here's an opportunity to be active and engaged. So I'll get off my soapbox now
[00:10:52.480 --> 00:10:55.600]   I should point out though that we should give up on it. You know this rule this regulation
[00:10:55.600 --> 00:11:01.760]   And by the way, I'm reading an article on buzzfeed, which does say the president does have to sign it. It is a bill. It is a law
[00:11:01.760 --> 00:11:03.440]   Yes
[00:11:03.440 --> 00:11:07.360]   Indicated well and I know it won't make any difference rules. Yeah
[00:11:07.360 --> 00:11:12.720]   But I should point out this is prior to october 2016. This is the was the state of this
[00:11:12.720 --> 00:11:19.040]   It's not like a change of suddenly much worse than it's been for years. This is back to the way it was six months ago. Yeah
[00:11:19.040 --> 00:11:21.760]   It's just it's unfortunate
[00:11:21.760 --> 00:11:25.600]   I would hope that we would get some protection of our privacy
[00:11:25.600 --> 00:11:32.960]   We are you know, we talk a lot of and I hear from people a lot our audience who are upset about google spying on them or facebook spying on them
[00:11:33.360 --> 00:11:38.640]   But your internet service provider is prior to google and facebook it knows much more about what you do online
[00:11:38.640 --> 00:11:42.880]   And by the way, this would allow them also sell location information
[00:11:42.880 --> 00:11:47.680]   Because it's isp's not just landline based but also cell phone companies
[00:11:47.680 --> 00:11:53.120]   So verizon and t-mobile and sprinting at and t who know where you are it's everything could sell your location information
[00:11:53.120 --> 00:11:55.520]   And I don't think that people really get that this would be
[00:11:55.520 --> 00:11:58.080]   You know what time you wake up at
[00:11:58.320 --> 00:12:03.440]   Where you were when you woke up what websites you've surfed what people you follow it's
[00:12:03.440 --> 00:12:08.960]   Communicating with like where that traffic is going back to how long it takes you to get somewhere
[00:12:08.960 --> 00:12:14.720]   It's it's information about everything in your life. I've got a living scale. How much I weigh
[00:12:14.720 --> 00:12:18.800]   Isp no I tweet that so they you know, that's available
[00:12:18.800 --> 00:12:21.360]   Sundry
[00:12:21.360 --> 00:12:25.040]   But it would be nice if you could make the choice to tweet that rather than just give them the
[00:12:25.920 --> 00:12:30.320]   Least know because if you know that you could choose to say if you have if you're in a place where there's a choice
[00:12:30.320 --> 00:12:34.400]   Some people don't even have a choice right they may only have one isp provider that is in their area
[00:12:34.400 --> 00:12:39.440]   At least then if you have a choice then they'll say like elaska said that they're not going to be using this information
[00:12:39.440 --> 00:12:42.080]   Signing it. Yeah, so people they're like, oh, okay, that sounds good
[00:12:42.080 --> 00:12:45.680]   And that would at least give a little bit of competition where if you know verizon says well
[00:12:45.680 --> 00:12:52.320]   We're gonna sell your data. It would just give us a little bit more power in that our isp's sonic that definitely does not sell that
[00:12:52.640 --> 00:12:57.680]   That's actually a very good point you choose. So now your opportunity is to choose the right isp
[00:12:57.680 --> 00:13:00.000]   Well, if you have the
[00:13:00.000 --> 00:13:02.000]   If you have a choice
[00:13:02.000 --> 00:13:05.200]   And then as this will likely I would guess
[00:13:05.200 --> 00:13:09.520]   Will turn out to be is if you if you can afford that choice because it's a good point
[00:13:09.520 --> 00:13:12.480]   This is probably going to be a sort of situation where you're going to have those
[00:13:12.480 --> 00:13:18.480]   You know, boutique. Oh, you think they'll rebate you the the money they make from no
[00:13:19.680 --> 00:13:22.160]   To have that choice. I think you could pay extra
[00:13:22.160 --> 00:13:24.960]   Outside of the phone book
[00:13:24.960 --> 00:13:28.240]   They're probably can't have to pay money so that I wouldn't be in the I know it's not annoying
[00:13:28.240 --> 00:13:30.320]   I think they do that candidates
[00:13:30.320 --> 00:13:35.520]   If they offered it at all how did it work before october because like I don't think we really were aware of this
[00:13:35.520 --> 00:13:41.440]   Prior to us right like I don't know if this is a radical change the other thing that I worry about with with transparency
[00:13:41.440 --> 00:13:45.440]   Maybe I'm just a little too cynical about you know how companies go about things
[00:13:45.440 --> 00:13:52.480]   But if if transparency were imposed on them, I just imagine it being you know the 10,000th word in the yula
[00:13:52.480 --> 00:13:57.760]   When you when you're clicking, you know, robotically through things like even if they do have to ask
[00:13:57.760 --> 00:14:00.320]   That's the notification that we would have gotten
[00:14:00.320 --> 00:14:03.040]   Here's here's an article
[00:14:03.040 --> 00:14:05.040]   From the electronic frontier foundation
[00:14:05.040 --> 00:14:09.360]   Jeremy gallelujah wrote the five things and this is the
[00:14:09.360 --> 00:14:13.280]   Subset of the total things the correct five creepy things your ISP could do
[00:14:13.520 --> 00:14:16.000]   And the reason these are credible because they've done them all
[00:14:16.000 --> 00:14:19.360]   Sell your data marketers hijack your searches
[00:14:19.360 --> 00:14:23.760]   Snoop through your traffic. Do you remember the neb you add and the form?
[00:14:23.760 --> 00:14:28.480]   Controversy, this was software we talked a lot about this on security now that
[00:14:28.480 --> 00:14:32.320]   Isp's were using including here's an article about british tel
[00:14:32.320 --> 00:14:37.280]   Telecom using it to to insert ads into your surfing
[00:14:37.280 --> 00:14:42.320]   Yeah, so they get marketing information about you like facebook does and instead of it being on facebook
[00:14:42.320 --> 00:14:44.320]   It's everywhere you go
[00:14:44.320 --> 00:14:49.920]   Pre-installing software on your phone to record vurls you visit atnt and sprint and t-mobile did that
[00:14:49.920 --> 00:14:52.400]   And injecting undetectable
[00:14:52.400 --> 00:14:54.400]   Undelievable tracking cookies. That's what for rising
[00:14:54.400 --> 00:14:55.440]   I mean to a certain extent
[00:14:55.440 --> 00:14:59.840]   This is a sort of situation where technology is moving faster than the laws have been able to keep up
[00:14:59.840 --> 00:15:02.080]   And that's that I think that's what we see that all the time now
[00:15:02.080 --> 00:15:05.360]   Yeah, and that's what makes this kind of discouraging is finally just in october
[00:15:05.360 --> 00:15:08.560]   They got their act together and they said you got to ask permission first
[00:15:08.560 --> 00:15:14.960]   We were so close and then their points. Yeah, they often say they just do it because they can not ask if they should
[00:15:14.960 --> 00:15:17.360]   And then how should that be enacted to that?
[00:15:17.360 --> 00:15:23.760]   I think that one if if anyone that that's in the house had this happened to them with all of their information kind of given back to them
[00:15:23.760 --> 00:15:28.320]   I think that would be the first time that they're like oh my goodness. How nefarious this could be how this could be
[00:15:28.320 --> 00:15:32.160]   Both
[00:15:32.160 --> 00:15:35.840]   No, no, no, that would be wrong
[00:15:36.160 --> 00:15:38.640]   But it's that thing is that wrong but effective
[00:15:38.640 --> 00:15:46.400]   Anybody got the number for the Turkish crime family we could call them and ask them by the way to put a pin in an upcoming story
[00:15:46.400 --> 00:15:50.960]   Undelievable traffic cookie. I forecast that that will be android's dessert for the letter
[00:15:50.960 --> 00:15:59.760]   Good we were talking before the show and I guess we'll do it again about what android o could be named what what dessert
[00:15:59.760 --> 00:16:03.840]   And they're really a limited number but rob has this has a pic that I think is
[00:16:04.640 --> 00:16:09.520]   I gotta say I think that's so that's gonna be the wild card. I don't know if that's gonna be the first choice
[00:16:09.520 --> 00:16:11.680]   I'm hoping for should we talk about an hour?
[00:16:11.680 --> 00:16:17.760]   That's a tease we'll also talk about the Turkish crime family
[00:16:17.760 --> 00:16:24.080]   That's a tease and I am mad as heck and apparently somebody else is because my my rundown's been defaced
[00:16:24.080 --> 00:16:30.000]   With the words why what the hell is wrong with you google google's taken is that was that you karsten?
[00:16:31.760 --> 00:16:35.360]   Carsten amis at google's dropping sms support from hangouts
[00:16:35.360 --> 00:16:37.520]   Why
[00:16:37.520 --> 00:16:41.440]   We'll talk about that in two just a bit our show today brought to you by blue apron
[00:16:41.440 --> 00:16:45.840]   I got a box waiting for me. I think we're gonna go out to dinner after the show, but
[00:16:45.840 --> 00:16:51.040]   All right tomorrow. I'll have a box waiting for me with a blue apron meal ready to go
[00:16:51.040 --> 00:16:56.560]   I love blue apron we get the box and you get to choose by the way it's not a subscription you choose what weeks you get it in each
[00:16:56.560 --> 00:16:58.880]   refrigerated box
[00:16:58.880 --> 00:17:03.920]   Blue apron will send you three different meals that you can make yourself include the recipe card and every ingredient
[00:17:03.920 --> 00:17:08.640]   So you know even if and it's not more than you need like if it's got if it needs two teaspoons of soy sauce
[00:17:08.640 --> 00:17:11.200]   You get a little bottle with two teaspoons of soy sauce, which I love
[00:17:11.200 --> 00:17:18.080]   Everything you need ingredients you've never tried before and a meal that will blow your mind they have plans for couples
[00:17:18.080 --> 00:17:22.640]   And they have plans for families with more kid-friendly ingredients
[00:17:22.640 --> 00:17:26.880]   You pick the day you get the box you don't it's not automatic
[00:17:27.040 --> 00:17:29.360]   You pick the meals that you want in the box
[00:17:29.360 --> 00:17:36.800]   And you're gonna save money you'll say blue apron is less expensive than shopping at the grocery store and it's better food
[00:17:36.800 --> 00:17:42.160]   It's always fresh. It's from local farms. The meat is fresh. The fish is fresh from sustainable fisheries
[00:17:42.160 --> 00:17:46.960]   uh the the beef chicken and pork come from responsibly raised animals
[00:17:46.960 --> 00:17:53.120]   The farms they use use regenerative farming practices is they're really trying to build a more sustainable food system
[00:17:53.440 --> 00:17:58.560]   So you have the good feeling of knowing that you're getting amazing fresh food without the middleman
[00:17:58.560 --> 00:18:02.640]   Which saves you money a grocery store is gonna be 60 percent more expensive than blue apron
[00:18:02.640 --> 00:18:08.880]   They delivered it. I'm sorry to hawaii in Alaska blue apron delivers to 99 percent of the continental United States
[00:18:08.880 --> 00:18:14.000]   Sorry, there's no weekly commitment you customize it based on your dietary preferences
[00:18:14.000 --> 00:18:19.840]   And there's you know what they're pointing out that they save food too because there's no waste if you need two scallions two carrots
[00:18:19.840 --> 00:18:24.160]   Whatever they're gonna send you what you need the only thing I said it wrong once if you need a clove of garlic
[00:18:24.160 --> 00:18:28.640]   They do send you the whole head. That's okay. I can always find a use for garlic
[00:18:28.640 --> 00:18:34.400]   Uh, yes, they don't want to peel the one clove off of a garlic to send that along
[00:18:34.400 --> 00:18:40.800]   What's on the menu this week? How about salmon pakata with orzo and broccoli pork chops and miso butter with bok choy and marinade of apple
[00:18:40.800 --> 00:18:42.960]   I have learned 12 ways to cook bok choy
[00:18:42.960 --> 00:18:47.920]   I didn't ever like bok choy until I got my blue apron box and now I am a bok choy master
[00:18:48.560 --> 00:18:51.200]   And it's good for you. It's a really good vegetable
[00:18:51.200 --> 00:18:56.800]   Vegetable chili and sweet baked sweet potatoes with crispy tortilla strips spicy
[00:18:56.800 --> 00:19:02.560]   shrimp coconut curry with cabbage and rice just look what's on the menu and order your first box
[00:19:02.560 --> 00:19:08.240]   You're gonna get your first three meals free with your first purchase and free shipping if you go to blue apron.com slash twit
[00:19:08.240 --> 00:19:09.920]   the meals on us
[00:19:09.920 --> 00:19:11.760]   blue apron
[00:19:11.760 --> 00:19:14.080]   Ooh short rib burgers on pretzel bonds
[00:19:14.640 --> 00:19:18.080]   When's that gonna be in my I think that's a they don't repeat more than once a year
[00:19:18.080 --> 00:19:19.200]   So that's the unfortunate thing
[00:19:19.200 --> 00:19:23.040]   But once you've cooked once you've cooked it, you know how so you can go and and make it again
[00:19:23.040 --> 00:19:28.160]   And your kids will say mommy I want that short rib burgers and pretzel buttons thing again and you'll have to say
[00:19:28.160 --> 00:19:30.880]   honey not till next year
[00:19:30.880 --> 00:19:35.280]   dot com slash twit actually I uh
[00:19:35.280 --> 00:19:40.080]   Having cooked that with blue apron. I do make I do make the recipes again because you have the recipe card now
[00:19:40.080 --> 00:19:42.080]   You know how the ingredients oh, that's so cool
[00:19:42.480 --> 00:19:45.120]   So it's really it's really expanded my repertoire
[00:19:45.120 --> 00:19:50.160]   So they call themselves the turkish crime family almost certainly not turkish
[00:19:50.160 --> 00:19:52.800]   Definitely not a family, but they are criminals
[00:19:52.800 --> 00:19:56.320]   They claim they have a quarter million
[00:19:56.320 --> 00:20:05.040]   I cloud accounts passwords and log in 250 million quarter billion quarter billion. I got it wrong quarter billion
[00:20:05.040 --> 00:20:07.600]   damn
[00:20:07.600 --> 00:20:09.520]   I I I cloud accounts
[00:20:10.080 --> 00:20:14.800]   And they're apparently blackmailing apple. They say if you don't pay the ransom by april seventh
[00:20:14.800 --> 00:20:20.560]   We will reset the passwords on those accounts and remotely wipe iphones what?
[00:20:20.560 --> 00:20:24.000]   But what do they want georgia
[00:20:24.000 --> 00:20:30.320]   Well, it's that's the best part is it's like 75 thousand dollars in in bitcoin or
[00:20:30.320 --> 00:20:34.320]   a hundred thousand dollars in itunes cards gift cards so
[00:20:34.320 --> 00:20:38.880]   You see an apple is a good deal right you're if you go on the streets and you're like
[00:20:39.600 --> 00:20:41.600]   iTunes card
[00:20:41.600 --> 00:20:48.560]   I got 75 thousand items car how much you want? It's kind of like dr. Evil, isn't it?
[00:20:48.560 --> 00:20:52.080]   Like I've got a quarter of a billion accounts. What do we want?
[00:20:52.080 --> 00:20:55.920]   $75,000
[00:20:55.920 --> 00:21:00.080]   Do more and then they're like okay, okay
[00:21:00.080 --> 00:21:03.920]   It's
[00:21:03.920 --> 00:21:08.800]   They would just sell them all the little cards or would you have one card that was like a hundred thousand dollars?
[00:21:08.800 --> 00:21:15.120]   I think they just have a lot of friends and they want to just gift people with songs and right
[00:21:15.120 --> 00:21:18.080]   This is a friendly group of people
[00:21:18.080 --> 00:21:20.800]   You're they're gonna wipe all of your accounts
[00:21:20.800 --> 00:21:27.040]   And then you get to replenish them with all of these cards that they give you later the turkish crime family apparently is very available to the media
[00:21:27.040 --> 00:21:30.880]   They there's a quote from motherboard. I just want I'm gonna add the accent
[00:21:30.880 --> 00:21:34.720]   I don't know really where they're from. I just want to lend money and they thought this would be interesting
[00:21:34.720 --> 00:21:41.960]   Report that lots of apple customers would be interested in reading and hearing is that what turkish people's own? No, they're not from turkey. That's just a lot of
[00:21:41.960 --> 00:21:47.840]   That's a Slavic. That's a generic Slavic. So they wrote to yeah generic slobbikics
[00:21:47.840 --> 00:21:52.960]   Are you willing to share a sample the data set an unnamed member of apple security team wrote to the hackers a week ago?
[00:21:52.960 --> 00:21:58.480]   Uh the hackers did in fact give a subset of the data 54
[00:21:58.960 --> 00:22:05.520]   Passwords to zd net zd net took the trouble of verifying that they were in fact passwords to iCloud accounts
[00:22:05.520 --> 00:22:11.760]   They weren't just random data and then they attempted to contact the account holders. They were able to get a hold of 10 of them
[00:22:11.760 --> 00:22:16.640]   So at least 10 were real in this set of 54
[00:22:16.640 --> 00:22:23.120]   Uh, they talked to the various people's most of these were old passwords
[00:22:23.120 --> 00:22:25.600]   Uh
[00:22:25.600 --> 00:22:28.480]   And like a three or four years old
[00:22:29.280 --> 00:22:35.840]   10 people, uh said they were accurate and have changed them the 10 people we spoke to says eating that were based in the uk and had uk
[00:22:35.840 --> 00:22:37.440]   cell phone numbers, but
[00:22:37.440 --> 00:22:39.440]   the turkish heck is collector
[00:22:39.440 --> 00:22:47.600]   Says well, we just have um did the in groups. It's bundled so we gave you a uk bundle, but that it's all over world
[00:22:47.600 --> 00:22:50.560]   uh, they also
[00:22:50.560 --> 00:22:56.320]   All 10 confirmed they had used the same passwords since opening their iCloud account. So we don't know how old they are
[00:22:56.960 --> 00:23:02.880]   Most of them four or five years old doesn't it? However, this is the weird one one of the people
[00:23:02.880 --> 00:23:09.360]   You what your what what the presumption is at this point is that apple wasn't breached somebody else was breached
[00:23:09.360 --> 00:23:13.840]   And people got passwords that were had been reused on iCloud and then the turkish hacker group
[00:23:13.840 --> 00:23:21.840]   family, um like reverse engineered it probably were probably did some sort of automated system of saying is this an iCloud password
[00:23:21.840 --> 00:23:24.720]   one of the people though that they confirmed
[00:23:25.680 --> 00:23:27.360]   That they talked to
[00:23:27.360 --> 00:23:32.800]   Actually three people said their iCloud email address and password were unique to iCloud had not been used on any other site
[00:23:32.800 --> 00:23:39.200]   Which would kind of indicate that maybe iCloud was breached
[00:23:39.200 --> 00:23:43.520]   Though they they said that they they didn't say that they breached apple
