
[00:00:00.000 --> 00:00:01.880]   It's time for Twit.
[00:01:45.360 --> 00:01:49.840]   Get started at Rocket Mortgage dot com slash Twit 2.
[00:01:49.840 --> 00:01:51.200]   And by Audible.
[00:01:51.200 --> 00:01:57.200]   For a free audiobook with a 30 day free trial go to audible.com slash Twit or text Twit
[00:01:57.200 --> 00:01:58.600]   to 500-500.
[00:01:58.600 --> 00:02:03.520]   It's time for Twit this week in Tech the show.
[00:02:03.520 --> 00:02:07.440]   We get together with the best Tech journalists in the business and talk about the week's
[00:02:07.440 --> 00:02:08.640]   Tech news.
[00:02:08.640 --> 00:02:18.200]   And this is a special Twit because April 17, 2005, the very first Twit was recorded with
[00:02:18.200 --> 00:02:22.840]   Patrick Norton, Kevin Rose, Robert Herron, David Prager.
[00:02:22.840 --> 00:02:26.680]   And we are so this is as close as you get to our 13th anniversary episode.
[00:02:26.680 --> 00:02:27.680]   And you know what?
[00:02:27.680 --> 00:02:31.960]   We put together a panel of people I love and cupcakes.
[00:02:31.960 --> 00:02:34.080]   So we won't eat the cupcakes yet.
[00:02:34.080 --> 00:02:35.080]   They are here.
[00:02:35.080 --> 00:02:37.880]   But as soon as I introduce you, you may dive in.
[00:02:37.880 --> 00:02:42.800]   We'll start all the way over to my right with the author of Follow the Geeks, Tech Republic's
[00:02:42.800 --> 00:02:48.800]   editor in chief, my good buddy, the guy who got me elected president of the internet.
[00:02:48.800 --> 00:02:49.800]   Jason Heiner.
[00:02:49.800 --> 00:02:50.880]   Thank you, Jason, for being here.
[00:02:50.880 --> 00:02:51.880]   A pleasure.
[00:02:51.880 --> 00:02:52.880]   Very glad to be here.
[00:02:52.880 --> 00:02:54.680]   We'll bring you out to this coast.
[00:02:54.680 --> 00:02:59.080]   Got some meetings at work with many of the awesome people at CBS Interactive.
[00:02:59.080 --> 00:03:02.720]   People like maybe Lindsey Turned Time Editor in Chief at CNET.com perhaps.
[00:03:02.720 --> 00:03:05.440]   I hope I get to be in a meeting with you.
[00:03:05.440 --> 00:03:06.440]   Is this an annual?
[00:03:06.440 --> 00:03:08.440]   Yeah, let's make sure we do it.
[00:03:08.440 --> 00:03:09.440]   Oh, aren't they cute?
[00:03:09.440 --> 00:03:10.440]   All right.
[00:03:10.440 --> 00:03:12.680]   Can break it up you two.
[00:03:12.680 --> 00:03:14.480]   Is this an annual thing for CBS Interactive?
[00:03:14.480 --> 00:03:16.280]   I'm here for RSA.
[00:03:16.280 --> 00:03:19.560]   And then like a couple days at RSA and a couple days in the office.
[00:03:19.560 --> 00:03:20.720]   RSA is a big security conference.
[00:03:20.720 --> 00:03:21.720]   It is.
[00:03:21.720 --> 00:03:22.720]   Sorry.
[00:03:22.720 --> 00:03:23.720]   Yeah.
[00:03:23.720 --> 00:03:25.840]   Lindsey's also here and Lindsey brought her daughter.
[00:03:25.840 --> 00:03:28.520]   It's so nice to see how grown up your daughter is.
[00:03:28.520 --> 00:03:29.520]   Oh, she disappeared.
[00:03:29.520 --> 00:03:30.520]   She's back there.
[00:03:30.520 --> 00:03:33.520]   She's got her iPad.
[00:03:33.520 --> 00:03:35.960]   She's here to see the, I called it Nerd Hollywood.
[00:03:35.960 --> 00:03:38.040]   Nerd Hollywood.
[00:03:38.040 --> 00:03:40.240]   Not nearly as fun as real Hollywood.
[00:03:40.240 --> 00:03:42.480]   I'm going to assure you.
[00:03:42.480 --> 00:03:46.520]   So another book author and a good friend, Amy Webb, is here.
[00:03:46.520 --> 00:03:49.760]   She is the founder of the Future Today Institute, the author of a book.
[00:03:49.760 --> 00:03:52.720]   This is how I met Amy talking about her book The Signals are talking.
[00:03:52.720 --> 00:03:54.600]   Why today's fringe is tomorrow's mainstream.
[00:03:54.600 --> 00:03:55.760]   Hello, Amy Webb.
[00:03:55.760 --> 00:03:56.760]   Hello.
[00:03:56.760 --> 00:03:58.240]   Congrats on the anniversary.
[00:03:58.240 --> 00:03:59.240]   That's so cool.
[00:03:59.240 --> 00:04:00.240]   13.
[00:04:00.240 --> 00:04:01.240]   Can you believe it?
[00:04:01.240 --> 00:04:06.320]   I mean, this podcasting began really began in earnest in 2004, late 2004.
[00:04:06.320 --> 00:04:07.320]   We started in the spring.
[00:04:07.320 --> 00:04:09.120]   You were really at the beginning of all of this.
[00:04:09.120 --> 00:04:10.320]   Yeah, it's amazing.
[00:04:10.320 --> 00:04:14.440]   If you told me then that in 13 years you'll still be doing this show, I would have just,
[00:04:14.440 --> 00:04:17.760]   I would have killed myself.
[00:04:17.760 --> 00:04:20.360]   I would have said, oh, I hope we have cupcakes.
[00:04:20.360 --> 00:04:22.280]   Please, we got red velvet.
[00:04:22.280 --> 00:04:23.280]   I'm sorry, Amy.
[00:04:23.280 --> 00:04:26.960]   We don't have any way of sending them at keys, but we have get red velvet.
[00:04:26.960 --> 00:04:27.960]   I'm going to try one.
[00:04:27.960 --> 00:04:28.960]   I'm going to catch one to any man.
[00:04:28.960 --> 00:04:32.560]   I'm going to get the H. I remember being here for the 10th anniversary.
[00:04:32.560 --> 00:04:33.880]   Well, I was writing my book.
[00:04:33.880 --> 00:04:34.880]   I came here for the 10th anniversary.
[00:04:34.880 --> 00:04:35.880]   That's right.
[00:04:35.880 --> 00:04:36.880]   And what do we have?
[00:04:36.880 --> 00:04:37.880]   Cupcakes.
[00:04:37.880 --> 00:04:38.880]   You did have a couple of minutes.
[00:04:38.880 --> 00:04:39.880]   That's right.
[00:04:39.880 --> 00:04:40.880]   Cupcakes seem like.
[00:04:40.880 --> 00:04:41.880]   Can't just be crunchy.
[00:04:41.880 --> 00:04:49.320]   It didn't seem like so amazing that this thing was still going strong after 10 years.
[00:04:49.320 --> 00:04:54.960]   Now, to be fair, most of the podcasts that were going strong back then are long since
[00:04:54.960 --> 00:05:00.000]   history, but this one seems like it just keeps getting stronger.
[00:05:00.000 --> 00:05:04.880]   We've survived long enough to live through podcast renaissance, which is going out right
[00:05:04.880 --> 00:05:05.880]   now.
[00:05:05.880 --> 00:05:06.880]   Yeah.
[00:05:06.880 --> 00:05:07.880]   Yeah.
[00:05:07.880 --> 00:05:08.880]   Yeah.
[00:05:08.880 --> 00:05:10.880]   It's kind of funny.
[00:05:10.880 --> 00:05:18.160]   Well, in a way, I feel like we're now such old hat that, you know, all the new podcasts
[00:05:18.160 --> 00:05:23.200]   get all the attention serial and, you know, all the WNYC stuff and gimlet media and all
[00:05:23.200 --> 00:05:24.200]   that stuff.
[00:05:24.200 --> 00:05:25.760]   But they don't have cupcakes.
[00:05:25.760 --> 00:05:28.160]   They will in 13 years.
[00:05:28.160 --> 00:05:29.160]   Please be my guest.
[00:05:29.160 --> 00:05:30.160]   Red velvet.
[00:05:30.160 --> 00:05:31.160]   Yeah.
[00:05:31.160 --> 00:05:32.160]   All right.
[00:05:32.160 --> 00:05:33.160]   I'm taking the exclamation point.
[00:05:33.160 --> 00:05:35.680]   And your daughter, by the way, can have one.
[00:05:35.680 --> 00:05:37.200]   You want to come have a cupcake?
[00:05:37.200 --> 00:05:38.200]   No.
[00:05:38.200 --> 00:05:39.200]   Yeah.
[00:05:39.200 --> 00:05:40.200]   Yeah.
[00:05:40.200 --> 00:05:41.920]   Burke, Burke's going to have one.
[00:05:41.920 --> 00:05:42.920]   That's for sure.
[00:05:42.920 --> 00:05:43.920]   Excellent.
[00:05:43.920 --> 00:05:45.680]   Can I reach you a cupcake?
[00:05:45.680 --> 00:05:47.240]   I'm vegan.
[00:05:47.240 --> 00:05:48.240]   So I doubt that.
[00:05:48.240 --> 00:05:49.240]   Oh, these aren't vegan.
[00:05:49.240 --> 00:05:50.560]   Are they vegan cupcakes?
[00:05:50.560 --> 00:05:52.120]   The red velvet has coffee in them.
[00:05:52.120 --> 00:05:53.120]   That's almost vegan.
[00:05:53.120 --> 00:05:54.120]   All right.
[00:05:54.120 --> 00:05:55.880]   I didn't realize you were a vegan.
[00:05:55.880 --> 00:05:56.880]   Yeah.
[00:05:56.880 --> 00:05:59.880]   You know, with funny thing on YouTube, I think it was Zanep Tuficke.
[00:05:59.880 --> 00:06:03.720]   You'd notice this in an editorial on the New York Times a couple of weeks ago that
[00:06:03.720 --> 00:06:05.560]   there's just a natural thing in the algorithm.
[00:06:05.560 --> 00:06:10.360]   And really, one of the things we talk a lot about these days is algorithms and how algorithms
[00:06:10.360 --> 00:06:13.880]   are driving technology in kind of a weird way.
[00:06:13.880 --> 00:06:18.280]   But one of the things about YouTube's algorithms is no matter what you look at, it pushes you
[00:06:18.280 --> 00:06:19.440]   something more extreme.
[00:06:19.440 --> 00:06:23.360]   So if you go to look, she mentioned this, a vegetarian video, it'll suggest a vegan
[00:06:23.360 --> 00:06:24.360]   video.
[00:06:24.360 --> 00:06:28.000]   If it's vegan, it'll suggest a raw vegan.
[00:06:28.000 --> 00:06:29.160]   Raw vegans, right.
[00:06:29.160 --> 00:06:30.160]   And then, you know, nuts.
[00:06:30.160 --> 00:06:31.160]   You want to move on nuts?
[00:06:31.160 --> 00:06:32.160]   Yeah.
[00:06:32.160 --> 00:06:33.160]   Water and carrots.
[00:06:33.160 --> 00:06:34.160]   Water and air.
[00:06:34.160 --> 00:06:35.160]   Okay.
[00:06:35.160 --> 00:06:39.360]   But there is something that it's not that the engineers are doing that.
[00:06:39.360 --> 00:06:41.400]   It's not that any humans are thinking about that.
[00:06:41.400 --> 00:06:44.280]   It's just that this is what algorithms do.
[00:06:44.280 --> 00:06:47.080]   Their algorithms are tuned to improve engagement.
[00:06:47.080 --> 00:06:48.400]   And over time, they get better.
[00:06:48.400 --> 00:06:50.480]   Thanks to machine learning and big data.
[00:06:50.480 --> 00:06:53.160]   And what they learn is this is how you engage people.
[00:06:53.160 --> 00:06:57.960]   You get more and more extreme, but unfortunately, it's not just in dietary things.
[00:06:57.960 --> 00:07:01.640]   It's also in, you know, political and on and on.
[00:07:01.640 --> 00:07:07.000]   Ernie, is that something that you and your research kind of noticed in the past?
[00:07:07.000 --> 00:07:09.800]   Or is this something new and unexpected?
[00:07:09.800 --> 00:07:16.080]   Well, I mean, it's new in the digital realm, but it's certainly not unexpected.
[00:07:16.080 --> 00:07:20.280]   So from the digital realm, attention is currency, right?
[00:07:20.280 --> 00:07:25.400]   The way that you would liken this is to what's going to compel somebody to keep, I guess,
[00:07:25.400 --> 00:07:26.400]   spending.
[00:07:26.400 --> 00:07:27.400]   And in this case, it'd be their time.
[00:07:27.400 --> 00:07:31.960]   At some point, you reach a certain threshold and you need more, right?
[00:07:31.960 --> 00:07:37.320]   Which is why we see gradients of everything from porn to...
[00:07:37.320 --> 00:07:39.440]   Yeah, porn gets more extreme, doesn't it?
[00:07:39.440 --> 00:07:40.440]   Yeah.
[00:07:40.440 --> 00:07:41.440]   Right.
[00:07:41.440 --> 00:07:43.400]   So I mean, it's just like we cognitively like we need...
[00:07:43.400 --> 00:07:44.400]   Stinger's.
[00:07:44.400 --> 00:07:46.200]   Yeah, all the time.
[00:07:46.200 --> 00:07:52.600]   Yeah, actually, the prime example of this is television, which started fairly innocently
[00:07:52.600 --> 00:07:59.120]   and turned into Morton Downey Jr. and it's more and more extreme realism and reality shows.
[00:07:59.120 --> 00:08:00.480]   Or staged extreme realism.
[00:08:00.480 --> 00:08:01.480]   Staged, more things.
[00:08:01.480 --> 00:08:03.480]   And we think we know that it has to get more and more extreme.
[00:08:03.480 --> 00:08:05.320]   Newspakers tend to get more sensationalistic.
[00:08:05.320 --> 00:08:06.480]   They don't have to.
[00:08:06.480 --> 00:08:11.160]   When it doesn't happen, it doesn't happen in TV when you get somebody like CBS's Edward
[00:08:11.160 --> 00:08:13.400]   Armaro who said, "No, we're going to be the Tiffany network.
[00:08:13.400 --> 00:08:15.320]   We're not going to go down that road."
[00:08:15.320 --> 00:08:18.320]   Or somebody like the New York Times, who said, "We're not going to go down that road.
[00:08:18.320 --> 00:08:20.440]   Let the National Enquirer to go down that road."
[00:08:20.440 --> 00:08:26.760]   It doesn't seem in tech that there's anybody saying, "No, let's be responsible.
[00:08:26.760 --> 00:08:29.480]   Let's not maximize 100% for attention.
[00:08:29.480 --> 00:08:30.800]   Let's be more responsible."
[00:08:30.800 --> 00:08:33.920]   I think the pressure is going to be on for YouTube now that people know that they're
[00:08:33.920 --> 00:08:38.120]   doing this and Facebook and all these others to draw the line at some point.
[00:08:38.120 --> 00:08:39.120]   That's the problem.
[00:08:39.120 --> 00:08:40.120]   They're not drawing the line.
[00:08:40.120 --> 00:08:42.400]   But is there also a user responsibility part of that?
[00:08:42.400 --> 00:08:43.840]   I mean, there is this sort of...
[00:08:43.840 --> 00:08:45.960]   If you're offered a platter of...
[00:08:45.960 --> 00:08:46.960]   It's our responsibility.
[00:08:46.960 --> 00:08:47.960]   It's our responsibility.
[00:08:47.960 --> 00:08:48.960]   And we're never going to dream.
[00:08:48.960 --> 00:08:49.960]   Yeah.
[00:08:49.960 --> 00:08:52.040]   We have to stop picking the extreme ones.
[00:08:52.040 --> 00:08:54.920]   Do you think humans can do that?
[00:08:54.920 --> 00:09:00.520]   My son, who's not in the audience, he said the other day, he's like, "Oh, I know what
[00:09:00.520 --> 00:09:01.800]   Clickbait is."
[00:09:01.800 --> 00:09:04.240]   And I know he said, "I just considered a Clickbait tax."
[00:09:04.240 --> 00:09:07.360]   And so about once a week I decided, "I'm just going to go in on Clickbait.
[00:09:07.360 --> 00:09:08.360]   I know what this is.
[00:09:08.360 --> 00:09:09.360]   I know it's ridiculous."
[00:09:09.360 --> 00:09:10.360]   But it's a tax.
[00:09:10.360 --> 00:09:14.960]   And I'm just going to click on it and pay the tax and enjoy it and then limit myself in
[00:09:14.960 --> 00:09:15.960]   the future.
[00:09:15.960 --> 00:09:16.960]   Which is a problem.
[00:09:16.960 --> 00:09:17.960]   We need to look at it.
[00:09:17.960 --> 00:09:22.240]   It's not that simple of a transaction though, because on the one hand you're clicking and
[00:09:22.240 --> 00:09:26.880]   absorbing whatever the content is, but you're still being scraped on the back end.
[00:09:26.880 --> 00:09:30.000]   All of these systems, the business model for all of them is surveillance.
[00:09:30.000 --> 00:09:31.000]   That sounds painful.
[00:09:31.000 --> 00:09:34.280]   I don't want to be scraped on the back end.
[00:09:34.280 --> 00:09:38.000]   Very few people do, but that's kind of extreme.
[00:09:38.000 --> 00:09:39.000]   Some people do.
[00:09:39.000 --> 00:09:41.320]   I'm sure.
[00:09:41.320 --> 00:09:45.320]   If you watch Pat on the back end videos, you'll get scraped on the back end videos later.
[00:09:45.320 --> 00:09:46.320]   Yeah.
[00:09:46.320 --> 00:09:47.320]   I'm sorry.
[00:09:47.320 --> 00:09:49.320]   I should not have derailed that.
[00:09:49.320 --> 00:09:50.760]   Exist every time.
[00:09:50.760 --> 00:09:53.760]   No, but here's the example.
[00:09:53.760 --> 00:09:58.880]   Mark Zuckerberg testifying in Congress.
[00:09:58.880 --> 00:10:02.360]   Some members of Congress had different agendas, but a number of them wanted to know about
[00:10:02.360 --> 00:10:04.440]   what do they call them?
[00:10:04.440 --> 00:10:09.040]   The dark dossies that Facebook gathers on people who aren't even members.
[00:10:09.040 --> 00:10:11.320]   They're getting scraped on the back end.
[00:10:11.320 --> 00:10:16.880]   Well, the interesting thing is, you know, chasing the clicks, right, is kind of what
[00:10:16.880 --> 00:10:17.880]   we're getting at.
[00:10:17.880 --> 00:10:21.360]   Well, it's ruined blogging.
[00:10:21.360 --> 00:10:23.400]   You could say, certainly.
[00:10:23.400 --> 00:10:28.560]   There's a really good post on this on, I think it was on Facebook by somebody who's been in
[00:10:28.560 --> 00:10:31.840]   the industry a long time, been on the show many times.
[00:10:31.840 --> 00:10:32.840]   Lance, you're going off.
[00:10:32.840 --> 00:10:33.840]   Well, Lance, yeah.
[00:10:33.840 --> 00:10:34.840]   Right.
[00:10:34.840 --> 00:10:35.840]   Great guy was terrific.
[00:10:35.840 --> 00:10:37.760]   Lance is kind of a victim of this, isn't he?
[00:10:37.760 --> 00:10:38.760]   Yes.
[00:10:38.760 --> 00:10:43.600]   Because he went to Mashable to be editor in chief, and Mashable is the poster child for
[00:10:43.600 --> 00:10:44.600]   chasing the clicks.
[00:10:44.600 --> 00:10:45.600]   Chase and clicks.
[00:10:45.600 --> 00:10:46.600]   Or it was.
[00:10:46.600 --> 00:10:47.600]   And what happened?
[00:10:47.600 --> 00:10:48.600]   What happened, right?
[00:10:48.600 --> 00:10:49.600]   Yeah.
[00:10:49.600 --> 00:10:53.640]   And so, Lance wrote this great post very kind of introspective about the fact that I got
[00:10:53.640 --> 00:10:55.160]   really good at doing this.
[00:10:55.160 --> 00:10:57.040]   And he was one of the best.
[00:10:57.040 --> 00:11:01.200]   We used to, you know, joke, and he would send, sometimes we would do some really good at
[00:11:01.200 --> 00:11:02.960]   the height of when this was going on.
[00:11:02.960 --> 00:11:04.200]   We would do something really good.
[00:11:04.200 --> 00:11:09.480]   Like, I think one time we did 20 things to do that'll lose your geek card or something.
[00:11:09.480 --> 00:11:11.120]   Got a zillion pages in traffic.
[00:11:11.120 --> 00:11:15.520]   And I remember Lance and Lance sent me a message saying, "I just, you know, went in and
[00:11:15.520 --> 00:11:18.760]   excoriated my team for not thinking of this idea first."
[00:11:18.760 --> 00:11:19.760]   Oh.
[00:11:19.760 --> 00:11:20.760]   You know, great.
[00:11:20.760 --> 00:11:21.760]   He got stuff.
[00:11:21.760 --> 00:11:25.280]   But, you know, I understand why you feel like you have a responsibility to your staff.
[00:11:25.280 --> 00:11:26.280]   Right.
[00:11:26.280 --> 00:11:30.200]   That, you know, and your owners that you need to generate revenue that this is what they
[00:11:30.200 --> 00:11:31.400]   brought you here for.
[00:11:31.400 --> 00:11:35.760]   And even somebody like Lance, who is editor in chief at PC Magazine, who really has real
[00:11:35.760 --> 00:11:39.360]   strong journalistic credentials, got sucked in by this.
[00:11:39.360 --> 00:11:40.360]   Yes.
[00:11:40.360 --> 00:11:43.960]   And in fact, this is kind of what this may a culpa in medium that he wrote is.
[00:11:43.960 --> 00:11:44.960]   Yes.
[00:11:44.960 --> 00:11:47.880]   And he's just pondering new rules for an old profession.
[00:11:47.880 --> 00:11:54.800]   And the thing is, is Mashable is kind of the prime example, but it's not just Mashable,
[00:11:54.800 --> 00:12:00.680]   right, is that you follow the clicks and eventually what you find.
[00:12:00.680 --> 00:12:08.720]   And a lot of places are finding or having their comeuppance on this is that you can't
[00:12:08.720 --> 00:12:09.720]   monetize that.
[00:12:09.720 --> 00:12:10.720]   There's a great quote.
[00:12:10.720 --> 00:12:12.480]   Oh, God, I hope that's true.
[00:12:12.480 --> 00:12:16.760]   Where Lance goes to his editor and his editors like they're about to put up a paywall and
[00:12:16.760 --> 00:12:19.040]   he goes to and said, you got to stop.
[00:12:19.040 --> 00:12:20.040]   And he's like, why?
[00:12:20.040 --> 00:12:24.200]   And he said, because everything that we have, you can find anywhere else.
[00:12:24.200 --> 00:12:25.200]   Content is free.
[00:12:25.200 --> 00:12:32.000]   Well, and here's the thing it used to be before algorithm started to rule publishing that
[00:12:32.000 --> 00:12:35.640]   the simple way to get more traffic was to write more content.
[00:12:35.640 --> 00:12:36.640]   Right.
[00:12:36.640 --> 00:12:40.960]   It's almost like dumbly simple, but actually no longer.
[00:12:40.960 --> 00:12:42.320]   That's kind of demand media, right?
[00:12:42.320 --> 00:12:47.280]   That was a whole, there was a whole generation couple of years back of sites that were created
[00:12:47.280 --> 00:12:48.600]   around Google searches.
[00:12:48.600 --> 00:12:53.920]   Like you monetize the search for tortoise shell belt buckles and you're right, a dumb,
[00:12:53.920 --> 00:12:56.320]   meaningless article, but you know, you'll get traffic because people search for that.
[00:12:56.320 --> 00:13:00.680]   Yeah, it's like Wickey How or any of the big how to engines, which kind of got shut down
[00:13:00.680 --> 00:13:01.680]   algorithmically.
[00:13:01.680 --> 00:13:03.080]   But here's the interesting thing to me.
[00:13:03.080 --> 00:13:08.720]   I think that algorithms are very good at understanding what people want for a little while,
[00:13:08.720 --> 00:13:12.920]   but people are the smartest algorithm and we start to burn out.
[00:13:12.920 --> 00:13:17.280]   We all know exactly what a clickbait headline sounds like.
[00:13:17.280 --> 00:13:19.800]   And we now are starting to get bored and move.
[00:13:19.800 --> 00:13:20.800]   That's what hit Facebook.
[00:13:20.800 --> 00:13:22.640]   That's why Facebook deprecated the publishers, right?
[00:13:22.640 --> 00:13:25.240]   I think it depends on how you define the we.
[00:13:25.240 --> 00:13:27.400]   We who, right?
[00:13:27.400 --> 00:13:31.240]   Like we may understand what a clickbait headline is, but I mean.
[00:13:31.240 --> 00:13:33.960]   Well, ultimately, the only matters of traffic goes down.
[00:13:33.960 --> 00:13:38.280]   But I think the larger we are starting to understand what that looks like.
[00:13:38.280 --> 00:13:43.240]   The larger we totally got duped by Facebook on Facebook.
[00:13:43.240 --> 00:13:46.960]   So I'm not a big, you know, like, I don't know if I gave a lot of credence to the we
[00:13:46.960 --> 00:13:47.960]   here.
[00:13:47.960 --> 00:13:52.160]   I think that the algorithms are much more powerful than we give them credit for.
[00:13:52.160 --> 00:13:53.920]   So I don't know.
[00:13:53.920 --> 00:13:55.680]   I think maybe you're right.
[00:13:55.680 --> 00:13:58.040]   It worked, but maybe we won't get fooled again.
[00:13:58.040 --> 00:14:00.680]   You know, maybe now we go, Oh, that didn't work.
[00:14:00.680 --> 00:14:04.880]   I mean, Mashable is gone effectively, right?
[00:14:04.880 --> 00:14:08.120]   Facebook stopped dep, you know, deprecated link baiting.
[00:14:08.120 --> 00:14:11.720]   And I think not because I don't think Facebook did it altruistically because they want to
[00:14:11.720 --> 00:14:13.640]   protect the Facebook does nothing altruistic.
[00:14:13.640 --> 00:14:15.920]   No, they did it because it wasn't working anymore.
[00:14:15.920 --> 00:14:16.920]   Right.
[00:14:16.920 --> 00:14:19.920]   And I think it was trashing up the it was polluting the stream.
[00:14:19.920 --> 00:14:27.560]   I actually don't give we credit and sort of I don't think that the larger we was is has
[00:14:27.560 --> 00:14:29.720]   grown wiser necessarily.
[00:14:29.720 --> 00:14:32.200]   I just think that humans are susceptible to trends.
[00:14:32.200 --> 00:14:33.880]   We get bored very quickly.
[00:14:33.880 --> 00:14:39.440]   We recognize trends very quick and then we move on to new ones and there's something
[00:14:39.440 --> 00:14:41.240]   else out there that is going to replace it.
[00:14:41.240 --> 00:14:45.480]   And I think that there's a good reason people if you spend much time on Facebook and have
[00:14:45.480 --> 00:14:50.760]   continued to spend even before last week, Facebook's getting kind of dead.
[00:14:50.760 --> 00:14:53.840]   Yeah, it's just it's just not that interesting anymore.
[00:14:53.840 --> 00:14:55.240]   And I think people are starting to move on.
[00:14:55.240 --> 00:14:59.880]   I mean, there's a reason that nobody under the age of 25 spends any time on Facebook.
[00:14:59.880 --> 00:15:00.880]   Yeah.
[00:15:00.880 --> 00:15:01.880]   Yeah.
[00:15:01.880 --> 00:15:06.360]   So we sort of looked at this pretty hard because we were going, you know, we're like a smaller
[00:15:06.360 --> 00:15:08.160]   niche player, right?
[00:15:08.160 --> 00:15:09.720]   And so we're tech republic.
[00:15:09.720 --> 00:15:12.840]   Sorry, tech republic is a smaller niche player.
[00:15:12.840 --> 00:15:17.320]   I'm a zee net the other site that I spend, you know, a lot of time on.
[00:15:17.320 --> 00:15:22.840]   And we sort of got to this point where it's like, okay, we could go all in on like Lindsey
[00:15:22.840 --> 00:15:28.480]   saying like, get more put more content out there and try to keep up with the rat race.
[00:15:28.480 --> 00:15:35.320]   And what we decided at the time was to go in a different direction was that our users
[00:15:35.320 --> 00:15:38.240]   were just, we were, we don't want to produce more stuff.
[00:15:38.240 --> 00:15:41.800]   Our conclusion was, and when we asked our users, we're, we don't want to produce more
[00:15:41.800 --> 00:15:44.120]   stuff that really doesn't have a lot of value.
[00:15:44.120 --> 00:15:50.640]   So we did instead was really listen to what our users tell us, the stuff that we create
[00:15:50.640 --> 00:15:52.160]   that gives the brings them value.
[00:15:52.160 --> 00:15:53.760]   That's to me responsible journalism.
[00:15:53.760 --> 00:15:58.760]   I gather, Amy, you don't feel like that's widespread.
[00:15:58.760 --> 00:16:01.600]   Well, no, I mean, I can tell you that trunk.
[00:16:01.600 --> 00:16:04.360]   Oh, God, trunk lowercase trunk.
[00:16:04.360 --> 00:16:09.400]   So under what before Michael Farro, who was the chairman left, this was the old Chicago
[00:16:09.400 --> 00:16:10.400]   Tribune, right?
[00:16:10.400 --> 00:16:11.400]   Right.
[00:16:11.400 --> 00:16:14.320]   And as a Chicago, like I'm originally from Chicago and I grew up with the with the
[00:16:14.320 --> 00:16:19.320]   Chicago, you know, like it was heartbreaking watching this whole place get dismantled by
[00:16:19.320 --> 00:16:21.440]   somebody who had never worked inside of a newsroom.
[00:16:21.440 --> 00:16:24.520]   And quite frankly, he knows very little about AI.
[00:16:24.520 --> 00:16:30.840]   And the grand plan was that he had acquired over a hundred AI patents that were going
[00:16:30.840 --> 00:16:37.360]   to be used to automatically generate content because the business model was predicated
[00:16:37.360 --> 00:16:39.640]   on just like barfing up a lot of news.
[00:16:39.640 --> 00:16:42.440]   I remember the speech he gave to the troops.
[00:16:42.440 --> 00:16:44.000]   Well, I'll tell you something.
[00:16:44.000 --> 00:16:47.560]   I read every one of those patents.
[00:16:47.560 --> 00:16:52.680]   And not only did basically none of them have any direct applicability to anything that
[00:16:52.680 --> 00:16:57.880]   was happening at the Chicago Tribune, but any of the automation that was being discussed,
[00:16:57.880 --> 00:16:59.920]   like it was better spelled out in Magic Leap.
[00:16:59.920 --> 00:17:01.880]   You know, Amazon is already pretty far ahead.
[00:17:01.880 --> 00:17:04.120]   Like everybody else was pretty far ahead.
