
[00:00:00.000 --> 00:00:02.500]   It's time for Twitch.
[00:01:36.720 --> 00:01:40.400]   an exceptionally comfortable sleep experience one night at a time.
[00:01:40.400 --> 00:01:48.480]   For a limited time, save up to $225 off your order by visiting casper.com/savings.
[00:01:48.480 --> 00:01:54.040]   Learn by Blue Apron, the number one fresh ingredient in recipe delivery service in the country.
[00:01:54.040 --> 00:02:02.400]   Check out this week's menu and get your first three meals free with free shipping at BlueAperon.com/twit.
[00:02:02.400 --> 00:02:05.800]   It's time for Twitch this week in tech, the show where we get together with the best tech
[00:02:05.800 --> 00:02:08.560]   journalists in the biz and talk about the week's tech news.
[00:02:08.560 --> 00:02:12.420]   We're going to have a lot of fun today because we have a great panel starting with all the
[00:02:12.420 --> 00:02:16.280]   way to my left, Mr. Tech Burger.
[00:02:16.280 --> 00:02:19.080]   And now I should call you Mr. FuelFix.
[00:02:19.080 --> 00:02:21.600]   I'm helping with that.
[00:02:21.600 --> 00:02:23.520]   I'm learning a lot about the energy industry.
[00:02:23.520 --> 00:02:31.120]   They've got me doing some of our business website pages as well as tech burger.
[00:02:31.120 --> 00:02:32.640]   And I'm having a good time.
[00:02:32.640 --> 00:02:33.640]   It's really interesting.
[00:02:33.640 --> 00:02:36.520]   Well, if you're in Houston, you can tell you the difference between upstream and downstream,
[00:02:36.520 --> 00:02:37.520]   Leo.
[00:02:37.520 --> 00:02:38.720]   No, thanks.
[00:02:38.720 --> 00:02:39.720]   If you're in...
[00:02:39.720 --> 00:02:43.360]   It doesn't sound interesting at all.
[00:02:43.360 --> 00:02:47.920]   If you're in Houston, FuelFix is probably an important read, I would imagine.
[00:02:47.920 --> 00:02:48.920]   Oh, yeah.
[00:02:48.920 --> 00:02:49.920]   Yeah.
[00:02:49.920 --> 00:02:52.200]   It's the core of our energy coverage.
[00:02:52.200 --> 00:02:53.200]   Interesting.
[00:02:53.200 --> 00:02:55.920]   Houston Chronicle, a longtime Houston Chronicle guy.
[00:02:55.920 --> 00:02:57.440]   And it's great to have you.
[00:02:57.440 --> 00:02:59.000]   A longtime Twit member.
[00:02:59.000 --> 00:03:04.960]   I remember sitting with Dwight in 2010 when the iPad was announced.
[00:03:04.960 --> 00:03:08.480]   We won't bring up your verdict on the iPad, however.
[00:03:08.480 --> 00:03:09.480]   Yeah.
[00:03:09.480 --> 00:03:11.880]   Well, it got changed.
[00:03:11.880 --> 00:03:14.120]   It's a much better product than it was then.
[00:03:14.120 --> 00:03:15.120]   True.
[00:03:15.120 --> 00:03:16.640]   That's a good point.
[00:03:16.640 --> 00:03:19.600]   Also with us from Channel 9 and Microsoft.
[00:03:19.600 --> 00:03:20.840]   Oh, we love her.
[00:03:20.840 --> 00:03:21.840]   Christina Warren.
[00:03:21.840 --> 00:03:24.240]   See your cloud dev advocate at Microsoft Filmgirl.
[00:03:24.240 --> 00:03:25.240]   Hi, Christina.
[00:03:25.240 --> 00:03:26.240]   Hey, Leo.
[00:03:26.240 --> 00:03:27.240]   How are you?
[00:03:27.240 --> 00:03:28.240]   I'm great.
[00:03:28.240 --> 00:03:29.240]   So nice to see you.
[00:03:29.240 --> 00:03:31.040]   I see you on Channel 9 all the time now.
[00:03:31.040 --> 00:03:32.040]   You're so good.
[00:03:32.040 --> 00:03:33.520]   Thank you so much.
[00:03:33.520 --> 00:03:34.520]   Loving it.
[00:03:34.520 --> 00:03:35.520]   Loving it.
[00:03:35.520 --> 00:03:36.520]   But it's a good time.
[00:03:36.520 --> 00:03:37.520]   That's a good time.
[00:03:37.520 --> 00:03:40.520]   So you and your honey are happy with the move to Seattle.
[00:03:40.520 --> 00:03:42.560]   Yeah, he loves Seattle so much.
[00:03:42.560 --> 00:03:44.200]   I still miss New York.
[00:03:44.200 --> 00:03:48.240]   I think I will always miss New York, but I love the job and I love my team.
[00:03:48.240 --> 00:03:50.160]   But he's very happy in the Pacific Northwest.
[00:03:50.160 --> 00:03:52.240]   What's important to your husband's house?
[00:03:52.240 --> 00:03:53.240]   Yes.
[00:03:53.240 --> 00:03:54.240]   No, it is.
[00:03:54.240 --> 00:03:57.400]   Well, he kind of suffered through the whole time we were in New York.
[00:03:57.400 --> 00:03:59.840]   So he didn't want to be in New York.
[00:03:59.840 --> 00:04:00.840]   Not really.
[00:04:00.840 --> 00:04:01.840]   Not really.
[00:04:01.840 --> 00:04:04.120]   I mean, he liked it, but it got to the point where he was really not happy.
[00:04:04.120 --> 00:04:09.160]   So that was actually one of the reasons why when I was approached, I started to kind of
[00:04:09.160 --> 00:04:13.000]   think seriously about it because I was like, well, we looked at cities that we would want
[00:04:13.000 --> 00:04:14.000]   to live in.
[00:04:14.000 --> 00:04:17.560]   And the hard thing was, as a journalist, there are kind of limited places where I could do
[00:04:17.560 --> 00:04:19.040]   what I did.
[00:04:19.040 --> 00:04:24.040]   But we talked before, we said, well, Austin would be a place, Portland would be a place,
[00:04:24.040 --> 00:04:25.040]   Seattle would be a place.
[00:04:25.040 --> 00:04:26.480]   We had a couple of different places.
[00:04:26.480 --> 00:04:32.360]   And then Microsoft reached out and I was like, oh, well, this is interesting timing, especially
[00:04:32.360 --> 00:04:34.120]   with everything happening in the media world.
[00:04:34.120 --> 00:04:35.600]   So it worked out well.
[00:04:35.600 --> 00:04:36.960]   And it's been exciting, I think.
[00:04:36.960 --> 00:04:37.960]   It's been very interesting.
[00:04:37.960 --> 00:04:38.960]   And it's been fun.
[00:04:38.960 --> 00:04:41.000]   I'm loving a lot of new skills.
[00:04:41.000 --> 00:04:42.000]   I work with awesome people.
[00:04:42.000 --> 00:04:43.000]   So it's been good.
[00:04:43.000 --> 00:04:47.120]   It's really interesting how Microsoft, it's stock and its fortunes have improved since
[00:04:47.120 --> 00:04:48.120]   Christina Warren's.
[00:04:48.120 --> 00:04:50.120]   Yeah, yeah, yeah.
[00:04:50.120 --> 00:04:57.280]   It is completely not in relation to me at all, but I can say, yeah, that stock has gone
[00:04:57.280 --> 00:05:00.320]   up and I'm very grateful.
[00:05:00.320 --> 00:05:03.880]   But yeah, it is absolutely not because of me.
[00:05:03.880 --> 00:05:06.760]   Maybe that Nadella guy had a little something to do with it.
[00:05:06.760 --> 00:05:08.480]   Maybe, maybe, maybe something.
[00:05:08.480 --> 00:05:09.480]   I mean, yeah.
[00:05:09.480 --> 00:05:11.800]   Actually, Microsoft had a really interesting time.
[00:05:11.800 --> 00:05:14.440]   I mean, they just acquired GitHub.
[00:05:14.440 --> 00:05:20.240]   They have done something that so few tech companies do, which is completely reinvent
[00:05:20.240 --> 00:05:23.800]   themselves, especially when you're a big hit, you know, you dominate the world with
[00:05:23.800 --> 00:05:25.480]   Windows and Office.
[00:05:25.480 --> 00:05:28.480]   And then suddenly it's no longer about operating systems.
[00:05:28.480 --> 00:05:32.200]   It's about the cloud and to make that pivot is remarkable.
[00:05:32.200 --> 00:05:33.600]   Yeah, no, it is.
[00:05:33.600 --> 00:05:35.960]   And it's been really interesting being on the Azure team.
[00:05:35.960 --> 00:05:40.200]   And, you know, that's what I'm an advocate for and talking with the product people and
[00:05:40.200 --> 00:05:44.040]   the developers and obviously all the people in our communities and trying to get insights
[00:05:44.040 --> 00:05:45.360]   into how we can do even better.
[00:05:45.360 --> 00:05:46.360]   But yeah, you're right.
[00:05:46.360 --> 00:05:48.040]   It's really exciting and it's a challenge, right?
[00:05:48.040 --> 00:05:53.840]   Because we dominate in office and in Windows and we have a really big competitor in cloud
[00:05:53.840 --> 00:05:56.360]   and they are actually in our backyards.
[00:05:56.360 --> 00:06:03.040]   You know, they're like literally like my personal apartment is closer to Amazon than it is
[00:06:03.040 --> 00:06:05.800]   to the Redmond campus where I'm recording this.
[00:06:05.800 --> 00:06:09.320]   And so, you know, we've got to be on our toes and we have to be authentic.
[00:06:09.320 --> 00:06:14.040]   And it's been really interesting for me, somebody who never would have necessarily seen myself
[00:06:14.040 --> 00:06:21.640]   working at Microsoft to see what the companies become and how real, you know, everybody at
[00:06:21.640 --> 00:06:24.080]   least that I've interacted with is it's about the transition.
[00:06:24.080 --> 00:06:25.080]   And that's been really exciting.
[00:06:25.080 --> 00:06:26.080]   It is.
[00:06:26.080 --> 00:06:29.200]   It's one of the most exciting companies in tech right now, which is pretty surprising
[00:06:29.200 --> 00:06:30.200]   and amazing.
[00:06:30.200 --> 00:06:34.800]   Now watch what happens to IBM stock because Wesley Fogg is here.
[00:06:34.800 --> 00:06:36.040]   Wesley just took a new job.
[00:06:36.040 --> 00:06:39.240]   He starts tomorrow, formerly the FSC.
[00:06:39.240 --> 00:06:42.720]   And we thank FSC because they've been very supportive of you being on Twitch.
[00:06:42.720 --> 00:06:44.720]   Now you're going to big blue.
[00:06:44.720 --> 00:06:47.120]   Yeah, it's going to be super exciting.
[00:06:47.120 --> 00:06:49.840]   I'm going to be joining a great team.
[00:06:49.840 --> 00:06:51.600]   It's going to be here in Austin.
[00:06:51.600 --> 00:06:55.960]   So I'm not moving, at least not cities anyway, moving houses.
[00:06:55.960 --> 00:07:00.080]   Like I said before, we're in a, we're just setting up boxes everywhere in my new house
[00:07:00.080 --> 00:07:01.080]   here.
[00:07:01.080 --> 00:07:02.080]   Congratulations.
[00:07:02.080 --> 00:07:04.760]   It's going to be, it's going to be a great company.
[00:07:04.760 --> 00:07:06.320]   They're doing really exciting things.
[00:07:06.320 --> 00:07:10.920]   They're trying to make a startup within a giant corporations that's over 100 years
[00:07:10.920 --> 00:07:13.160]   old, which is, they're doing really good things.
[00:07:13.160 --> 00:07:15.840]   Yeah, and some ways they're faced with a similar challenge to Microsoft.
[00:07:15.840 --> 00:07:18.800]   You know, they need to reinvent themselves.
[00:07:18.800 --> 00:07:26.480]   It's got to be hard to be an old tech company, including old tech company Google and Apple.
[00:07:26.480 --> 00:07:30.440]   You've got to reinvent yourself much more often than you used to, much more often than
[00:07:30.440 --> 00:07:32.280]   US Steel has to, you know.
[00:07:32.280 --> 00:07:37.200]   Yeah, but they've been really making some really big moves, but it's just more quiet
[00:07:37.200 --> 00:07:44.960]   and to larger, more senior people that actually here are in the know because, you know, Google
[00:07:44.960 --> 00:07:49.520]   helps with websites and, but I've been in power as companies and governments all around
[00:07:49.520 --> 00:07:50.520]   the world.
[00:07:50.520 --> 00:07:52.040]   So it's going to be one of those things.
[00:07:52.040 --> 00:07:55.240]   Is Watson the big thing, the AI and all of that?
[00:07:55.240 --> 00:08:01.520]   Yes, it seems, if you look at what Watson does in healthcare, it has changed things.
[00:08:01.520 --> 00:08:03.720]   It's just that people just don't know about it.
[00:08:03.720 --> 00:08:07.360]   And they just did a debate version of Watson where they could hold a debate.
[00:08:07.360 --> 00:08:09.320]   And it held its own.
[00:08:09.320 --> 00:08:10.320]   Yeah.
[00:08:10.320 --> 00:08:11.320]   But they do.
[00:08:11.320 --> 00:08:19.520]   And just being able to hear assertions and challenge them may even help us think differently.
[00:08:19.520 --> 00:08:24.000]   Even from a government standpoint of coming up with a premise and being able to work it
[00:08:24.000 --> 00:08:28.600]   out with a computer before you bring it to the masses would be great.
[00:08:28.600 --> 00:08:33.520]   Like if you think about debating is one of the things Watson would be like Jeopardy,
[00:08:33.520 --> 00:08:36.600]   very good at because it has a huge database of information.
[00:08:36.600 --> 00:08:42.200]   And so it's really about kind of organizing that information in support of a debate argument.
[00:08:42.200 --> 00:08:47.240]   And there's this always the saying saying you don't know what you don't know.
[00:08:47.240 --> 00:08:54.800]   So being able to find a way of exposing that before you get the ire of the press or under
[00:08:54.800 --> 00:08:58.200]   criticalize that definitely is going to help.
[00:08:58.200 --> 00:09:01.680]   What what critical eyes of the prep?
[00:09:01.680 --> 00:09:03.400]   What are you talking about?
[00:09:03.400 --> 00:09:04.400]   The enemy of the people.
[00:09:04.400 --> 00:09:06.400]   Oh, that's us.
[00:09:06.400 --> 00:09:07.400]   That's right.
[00:09:07.400 --> 00:09:08.400]   That's us.
[00:09:08.400 --> 00:09:11.560]   Actually, I shouldn't joke about it because of course there was another terrible shooting
[00:09:11.560 --> 00:09:18.000]   in the United States this weekend was in a newsroom of a newspaper in Baltimore area.
[00:09:18.000 --> 00:09:21.560]   And so our hearts go out to all the people affected by that.
[00:09:21.560 --> 00:09:23.280]   Just terrible, terrible thing.
[00:09:23.280 --> 00:09:28.840]   And just reminds you being a journalist can be dangerous.
[00:09:28.840 --> 00:09:29.840]   Often is.
[00:09:29.840 --> 00:09:34.600]   Fortunately, it certainly made us much more cautious.
[00:09:34.600 --> 00:09:35.600]   I bet.
[00:09:35.600 --> 00:09:36.600]   Yeah.
[00:09:36.600 --> 00:09:42.920]   When I when I left that day, I was headed out the front door and the publisher was talking
[00:09:42.920 --> 00:09:48.360]   to the to the receptionist at the front door, explained to her what they were going to do
[00:09:48.360 --> 00:09:50.080]   to improve security after that.
[00:09:50.080 --> 00:09:52.080]   It was pretty pretty moving.
[00:09:52.080 --> 00:09:53.880]   We went through that radio.
[00:09:53.880 --> 00:09:57.760]   San Francisco radio station guy came in shot a number of people in the radio station many,
[00:09:57.760 --> 00:09:59.480]   many, many decades ago.
[00:09:59.480 --> 00:10:02.000]   And it was this was this the talk.
[00:10:02.000 --> 00:10:03.000]   Yeah.
[00:10:03.000 --> 00:10:04.000]   Yeah.
[00:10:04.000 --> 00:10:05.000]   Yeah.
[00:10:05.000 --> 00:10:06.000]   Yeah.
[00:10:06.000 --> 00:10:07.000]   What was the movie?
[00:10:07.000 --> 00:10:08.000]   The Oliver Stone film.
[00:10:08.000 --> 00:10:09.000]   Oh, he may have.
[00:10:09.000 --> 00:10:11.240]   Well, no, then there was another one in Colorado.
[00:10:11.240 --> 00:10:13.840]   Very famous case and call that was the one I was thinking out.
[00:10:13.840 --> 00:10:14.840]   That was radio.
[00:10:14.840 --> 00:10:15.840]   Yeah.
[00:10:15.840 --> 00:10:16.840]   That was radio.
[00:10:16.840 --> 00:10:17.840]   Yeah.
[00:10:17.840 --> 00:10:20.480]   And it's scary that you could confuse them because there are so many.
[00:10:20.480 --> 00:10:21.480]   Yeah.
[00:10:21.480 --> 00:10:22.720]   It's a shame that we have to.
[00:10:22.720 --> 00:10:23.880]   Oh, no, not that one.
[00:10:23.880 --> 00:10:24.880]   The other one.
[00:10:24.880 --> 00:10:25.880]   Yeah.
[00:10:25.880 --> 00:10:29.960]   But, you know, we have, I mean, every radio station in San Francisco after that, you
[00:10:29.960 --> 00:10:34.800]   know, severely improved security, we have an armed guard at our door.
[00:10:34.800 --> 00:10:35.800]   Yeah.
[00:10:35.800 --> 00:10:38.880]   You can't if you're in media, you know that there are risks.
[00:10:38.880 --> 00:10:39.880]   Definitely.
[00:10:39.880 --> 00:10:45.880]   I remember when Charlie Hepdo happens, you know, so Mashable is in the same building as
[00:10:45.880 --> 00:10:49.800]   a gizmodo media group, which, you know, was then Gawker and the intercept.
[00:10:49.800 --> 00:10:55.120]   And I believe all three publications published the Charlie Hepdo comic.
[00:10:55.120 --> 00:10:57.560]   The cartoons after that terrible attack.
[00:10:57.560 --> 00:11:00.520]   And there were there were a number of bomb threats against that building.
[00:11:00.520 --> 00:11:03.240]   And so I it was one of those things because we're all in the same building.
[00:11:03.240 --> 00:11:09.200]   And I felt I felt bad for MasterCard and Capital One and some of the other, you know, tenants
[00:11:09.200 --> 00:11:12.680]   who were kind of like, what did we, you know, what did we get into?
[00:11:12.680 --> 00:11:14.080]   But it becomes like a real thing.
[00:11:14.080 --> 00:11:17.600]   Like you don't think about it until, you know, like you're talking about Leo, you know,
[00:11:17.600 --> 00:11:22.480]   the radio station thing or you see something that happened with the gazette, which is just
[00:11:22.480 --> 00:11:25.200]   terrible and or something else happens.
[00:11:25.200 --> 00:11:29.960]   And you have to kind of assess to go, Oh, this is actually dangerous because I think
[00:11:29.960 --> 00:11:33.680]   a lot of us when we get into it, especially if we're not doing hard news, we're not,
[00:11:33.680 --> 00:11:37.800]   you know, in war zones, you don't necessarily think that you're doing something where your
[00:11:37.800 --> 00:11:39.200]   life could be at risk.
[00:11:39.200 --> 00:11:40.200]   Yeah.
[00:11:40.200 --> 00:11:41.200]   That's true.
[00:11:41.200 --> 00:11:45.200]   And I always figured tech journalism is fairly safe.
[00:11:45.200 --> 00:11:47.200]   Knock on, knock on wood.
[00:11:47.200 --> 00:11:48.200]   Yeah.
[00:11:48.200 --> 00:11:49.200]   Really.
[00:11:49.200 --> 00:11:54.080]   No, but you know, I don't think we ruffle feathers that much in tech journalism.
[00:11:54.080 --> 00:11:55.080]   Thank goodness.
[00:11:55.080 --> 00:11:57.160]   A couple of big stories this week.
[00:11:57.160 --> 00:12:03.240]   Not it wasn't a huge news week, but Apple and Samsung buried the hatchet.
[00:12:03.240 --> 00:12:10.200]   That's kind of a surprising story after good Lord, seven years started in 2011.
[00:12:10.200 --> 00:12:13.720]   It kind of following this is a twisted tale all by itself.
[00:12:13.720 --> 00:12:18.760]   Apparently, Apple got a billion dollar ruling, then a series of appeals pushed the dispute
[00:12:18.760 --> 00:12:20.820]   to the Supreme Court.
[00:12:20.820 --> 00:12:24.960]   It turned out lower courts had validated Samsung's patent.
[00:12:24.960 --> 00:12:26.040]   I mean, Apple's patent.
[00:12:26.040 --> 00:12:28.840]   So it wasn't about the patents.
[00:12:28.840 --> 00:12:32.960]   It ended up being what the damages would be.
[00:12:32.960 --> 00:12:33.960]   It went back.
[00:12:33.960 --> 00:12:37.880]   There were a number of design patents, a number of utility patents.
[00:12:37.880 --> 00:12:42.880]   Eventually, the verdict was whittled down to $539 million for Apple.
[00:12:42.880 --> 00:12:45.280]   Samsung appealed on that.
[00:12:45.280 --> 00:12:49.720]   They reached an agreement before it could be litigated again that Judge Lucy Cohen, that
[00:12:49.720 --> 00:12:55.120]   last court case said, "You two get together and work this thing out."
[00:12:55.120 --> 00:13:00.840]   And while we don't know the terms, I think probably both companies lost their thirst
[00:13:00.840 --> 00:13:01.840]   for battle.
[00:13:01.840 --> 00:13:02.840]   This was released.
[00:13:02.840 --> 00:13:03.840]   Steve Jobs' battle, wasn't it?
[00:13:03.840 --> 00:13:04.840]   Oh, yeah.
[00:13:04.840 --> 00:13:09.920]   We realized that it would have been horrible if they actually got a settlement because I
[00:13:09.920 --> 00:13:16.680]   think the part they're working out is what percentage of the Samsung phones were due to
[00:13:16.680 --> 00:13:19.440]   the infringed Apple patents.
[00:13:19.440 --> 00:13:25.400]   So if they were able to monetize saying, "Okay, we got the screen and this is worth this much,"
[00:13:25.400 --> 00:13:30.440]   it would have done an end-to-end around all the other companies in terms of patent infringement
[00:13:30.440 --> 00:13:32.280]   because they would have just done it.
[00:13:32.280 --> 00:13:35.720]   And if they got caught and said, "Oh, it's only been 5% of our design as yours."
[00:13:35.720 --> 00:13:36.720]   Oh, good.
[00:13:36.720 --> 00:13:37.720]   We can do that.
[00:13:37.720 --> 00:13:38.720]   Great.
[00:13:38.720 --> 00:13:39.720]   Yeah.
[00:13:39.720 --> 00:13:40.720]   Exactly.
[00:13:40.720 --> 00:13:42.720]   And so if they did the settlement, if they didn't work it out before, then that could
[00:13:42.720 --> 00:13:44.520]   have totally screwed both companies over.
[00:13:44.520 --> 00:13:45.520]   Oh, that's interesting.
[00:13:45.520 --> 00:13:50.520]   So there was actually some economic incentive not to continue the battle.
[00:13:50.520 --> 00:13:51.520]   Yeah.
[00:13:51.520 --> 00:13:56.120]   But I think also you have to look at the phones and the devices that were cited in that case
[00:13:56.120 --> 00:13:57.120]   were all.
[00:13:57.120 --> 00:14:02.040]   I think the original thing started in 2010 is when some of the early kind of back and
[00:14:02.040 --> 00:14:03.040]   forth started.
[00:14:03.040 --> 00:14:06.840]   And so you're looking at like it was like the Galaxy S3, I think, and it was some of
[00:14:06.840 --> 00:14:08.000]   the earlier phones.
[00:14:08.000 --> 00:14:14.440]   And so from that point forward, after the first lawsuit, Samsung started to change things
[00:14:14.440 --> 00:14:20.400]   just enough so that they were, I guess, avoiding whatever patents everything may be.
[00:14:20.400 --> 00:14:27.440]   If you look at a Galaxy S9, you can't say that's based on Apple unless you think that
[00:14:27.440 --> 00:14:30.440]   all slabs of glass with rounded corners are Apple's.
[00:14:30.440 --> 00:14:31.440]   Right.
[00:14:31.440 --> 00:14:32.440]   Well, exactly.
[00:14:32.440 --> 00:14:34.440]   I mean, and at this point you could argue that if anything like the iPhone X.
[00:14:34.440 --> 00:14:35.440]   It was the other one.
[00:14:35.440 --> 00:14:36.440]   Yeah.
[00:14:36.440 --> 00:14:37.440]   Exactly.
[00:14:37.440 --> 00:14:41.240]   It looks a lot like the Galaxy S8 and the Galaxy S9 in some regards.
[00:14:41.240 --> 00:14:47.480]   But yeah, I mean, I think Wesley's point, there probably was some sort of economic thing.
[00:14:47.480 --> 00:14:52.000]   But also at this point, it's gone back and forth between the courts so many times.
[00:14:52.000 --> 00:14:56.160]   As you said, it was a Steve Jobs thing where he was really trying to fight two companies.
[00:14:56.160 --> 00:14:58.960]   He said we're going thermonuclear on them.
[00:14:58.960 --> 00:15:01.400]   He was just like, I'm done.
[00:15:01.400 --> 00:15:04.840]   But at a certain point, you're now litigating over phones that haven't been sold in seven
[00:15:04.840 --> 00:15:07.640]   years and damages and whatnot.
[00:15:07.640 --> 00:15:10.640]   And you're paying lawyers who only knows what.
[00:15:10.640 --> 00:15:14.520]   And I'm sure that Judge Lucy Coe has been so tired of this case because she's been dragged
[00:15:14.520 --> 00:15:16.720]   into all of the variations.
[00:15:16.720 --> 00:15:18.840]   She's just like, okay, just settle this.
[00:15:18.840 --> 00:15:19.920]   Just get it over with.
[00:15:19.920 --> 00:15:21.800]   So finally, you know.
[00:15:21.800 --> 00:15:23.960]   Although not all of it, not all of it was look.
[00:15:23.960 --> 00:15:26.480]   Some of it, I think the pinch to zoom was one of the issues as well.
[00:15:26.480 --> 00:15:27.480]   Yes.
[00:15:27.480 --> 00:15:28.480]   Yes.
[00:15:28.480 --> 00:15:29.480]   And a lot, right.
[00:15:29.480 --> 00:15:33.520]   And both of those are still found on all smartphones.
[00:15:33.520 --> 00:15:38.720]   So I suspect the lawyers probably would have loved to have continued it.
[00:15:38.720 --> 00:15:46.760]   But I agree with Leo and Christina that it really was Steve Jobs's fight and that's over.
[00:15:46.760 --> 00:15:50.280]   It's interesting to look back.
[00:15:50.280 --> 00:15:56.160]   It's really from the Walter Isaacson book where the biography of Jobs, he said, "Steve's
[00:15:56.160 --> 00:15:58.760]   was livid in 2010 when HTC introduced."
[00:15:58.760 --> 00:16:01.080]   Remember the G1, the first Android phone?
[00:16:01.080 --> 00:16:02.080]   Yeah.
[00:16:02.080 --> 00:16:03.520]   And it had touch.
[00:16:03.520 --> 00:16:10.120]   Apple sued Jobs, told Isaacson in an, this is the AP writing, in an expletive laced rant
[00:16:10.120 --> 00:16:12.240]   that Google's actions amounted to grand theft.
[00:16:12.240 --> 00:16:17.720]   Quote, "I will spend my last dying breath if I need to and I will spend every penny of
[00:16:17.720 --> 00:16:20.880]   Apple's $40 billion in the bank to right this wrong.
[00:16:20.880 --> 00:16:24.400]   I'm going to destroy Android because it's a stolen product.
[00:16:24.400 --> 00:16:27.120]   I'm willing to go thermonuclear war on this."
[00:16:27.120 --> 00:16:28.120]   Holy cow.
[00:16:28.120 --> 00:16:32.360]   And I think, keep in mind also that someone from Google was on the board of Apple at the
[00:16:32.360 --> 00:16:33.360]   time.
[00:16:33.360 --> 00:16:34.360]   Eric Schmidt.
[00:16:34.360 --> 00:16:35.360]   Eric Schmidt.
[00:16:35.360 --> 00:16:36.360]   Eric Schmidt.
[00:16:36.360 --> 00:16:37.360]   It wasn't someone.
[00:16:37.360 --> 00:16:38.360]   It was like the CEO, you know.
[00:16:38.360 --> 00:16:39.360]   They had a partnership.
[00:16:39.360 --> 00:16:40.360]   He was at the iPhone launch.
[00:16:40.360 --> 00:16:45.360]   And we know that Google, and I think we know this maybe from the trial, when Google saw
[00:16:45.360 --> 00:16:49.120]   the iPhone, they scrapped their plans for the Android phone.
[00:16:49.120 --> 00:16:52.640]   They've been planning on ripping off, it was a combination of a blackberry ripoff and
[00:16:52.640 --> 00:16:53.640]   a Windows mobile ripoff.
[00:16:53.640 --> 00:16:57.160]   If you looked at their original Android phone, it had a keyboard and it basically looked
[00:16:57.160 --> 00:17:00.800]   like what the blackberry was at the time, but a lot of the interface things for what
[00:17:00.800 --> 00:17:03.200]   Windows mobile 6.5 did.
[00:17:03.200 --> 00:17:08.840]   And as soon as they saw it, they're like, "We got to start over."
[00:17:08.840 --> 00:17:10.400]   There's a great book about that dogfight.
[00:17:10.400 --> 00:17:11.400]   Eric Schmidt.
[00:17:11.400 --> 00:17:12.400]   Oh, I love that book.
[00:17:12.400 --> 00:17:13.400]   Yes.
[00:17:13.400 --> 00:17:14.400]   Yeah.
[00:17:14.400 --> 00:17:18.960]   And I think both companies realized that in the, there was collateral damage, as always
[00:17:18.960 --> 00:17:25.520]   there is in this kind of trial, where because of discovery, public is learning secrets about
[00:17:25.520 --> 00:17:30.080]   how the companies develop products, what Apple's thoughts were and all that stuff.
[00:17:30.080 --> 00:17:31.880]   And Apple is so secretive.
[00:17:31.880 --> 00:17:35.320]   I was actually surprised that they pursued this as long as they don't need the half
[00:17:35.320 --> 00:17:36.320]   a billion dollars.
[00:17:36.320 --> 00:17:37.320]   It's not like the money.
[00:17:37.320 --> 00:17:42.760]   No, although it's funny for you to read that quote again, to go back to 2011, or 2010,
[00:17:42.760 --> 00:17:44.960]   or whenever Apple only had $40 billion in cash.
[00:17:44.960 --> 00:17:48.360]   Yeah, they have $240 billion now or more.
[00:17:48.360 --> 00:17:52.160]   Yeah, it hasn't hurt Apple's bottom line.
