
[00:00:00.000 --> 00:00:01.000]   Let's do the twit.
[00:01:31.480 --> 00:01:34.960]   In fact, we tried that eye check conferencing but it just really, we didn't have the bandwidth
[00:01:34.960 --> 00:01:35.960]   to make that work.
[00:01:35.960 --> 00:01:36.960]   So close.
[00:01:36.960 --> 00:01:37.960]   It looks like a Brady bunch intro.
[00:01:37.960 --> 00:01:38.960]   It did.
[00:01:38.960 --> 00:01:41.040]   Here's the story of three geeky guys.
[00:01:41.040 --> 00:01:42.840]   Ladies and gentlemen, John C. Devorek.
[00:01:42.840 --> 00:01:43.840]   Hello.
[00:01:43.840 --> 00:01:50.640]   He gets, say it with me, he gets no spam.
[00:01:50.640 --> 00:01:51.720]   I don't.
[00:01:51.720 --> 00:01:55.520]   I don't know why this has become a big deal.
[00:01:55.520 --> 00:01:58.880]   Because you're the only one in North America who doesn't.
[00:01:58.880 --> 00:02:00.960]   He gets no.
[00:02:00.960 --> 00:02:03.360]   Let's do that one more time because I really want some volume.
[00:02:03.360 --> 00:02:04.760]   You're just going to use this on it.
[00:02:04.760 --> 00:02:05.920]   You're going to use this as a role.
[00:02:05.920 --> 00:02:07.560]   It's going to be part of our music.
[00:02:07.560 --> 00:02:09.560]   Ashley Twitt has already recorded.
[00:02:09.560 --> 00:02:10.560]   He gets.
[00:02:10.560 --> 00:02:11.560]   Oh, damn.
[00:02:11.560 --> 00:02:15.120]   Oh, my God.
[00:02:15.120 --> 00:02:19.760]   And now we have, I'm really pleased to say joining us right now, Roger McGwin, who is,
[00:02:19.760 --> 00:02:24.240]   of course, the man who is famous for the birds and for his own solo career, eight miles
[00:02:24.240 --> 00:02:28.280]   high.
[00:02:28.280 --> 00:02:29.760]   You've heard.
[00:02:29.760 --> 00:02:31.760]   Yeah.
[00:02:31.760 --> 00:02:36.600]   You're kind of a gadget hound, aren't you?
[00:02:36.600 --> 00:02:37.600]   Yes, I am.
[00:02:37.600 --> 00:02:38.600]   Yeah, I love it.
[00:02:38.600 --> 00:02:39.600]   Yeah.
[00:02:39.600 --> 00:02:40.600]   Up tech.
[00:02:40.600 --> 00:02:41.600]   So he sent us an email.
[00:02:41.600 --> 00:02:42.600]   He said, "I want to be in San Francisco."
[00:02:42.600 --> 00:02:43.600]   He kind of come by.
[00:02:43.600 --> 00:02:44.600]   He actually brought some stuff to show.
[00:02:44.600 --> 00:02:45.600]   We'll talk about that in just a little bit.
[00:02:45.600 --> 00:02:47.240]   And you've known Devorek for a few years.
[00:02:47.240 --> 00:02:48.240]   About 10 years.
[00:02:48.240 --> 00:02:49.760]   He invented this guitar.
[00:02:49.760 --> 00:02:50.760]   Seriously.
[00:02:50.760 --> 00:02:51.760]   What do you mean?
[00:02:51.760 --> 00:02:52.760]   I really did.
[00:02:52.760 --> 00:02:53.760]   That's why I brought it.
[00:02:53.760 --> 00:02:54.760]   It's a seven string.
[00:02:54.760 --> 00:02:55.760]   Seven string, yeah.
[00:02:55.760 --> 00:02:58.120]   And they have seven stringing tours, but not this configuration.
[00:02:58.120 --> 00:03:00.560]   Well, you're famous for your beautiful 12 string playing.
[00:03:00.560 --> 00:03:01.560]   Right.
[00:03:01.560 --> 00:03:02.800]   Is this kind of a cross between six and 12?
[00:03:02.800 --> 00:03:03.800]   Yes, exactly.
[00:03:03.800 --> 00:03:04.800]   That's what it is.
[00:03:04.800 --> 00:03:06.800]   It's got the cool G string parallel.
[00:03:06.800 --> 00:03:14.600]   It's like the best part of it, 12 string, is this part here like a...
[00:03:14.600 --> 00:03:17.920]   It's almost like a sitari kind of resonance in the background.
[00:03:17.920 --> 00:03:18.920]   Yeah.
[00:03:18.920 --> 00:03:20.280]   It's got a high string and a low string.
[00:03:20.280 --> 00:03:21.840]   So I've got that.
[00:03:21.840 --> 00:03:26.720]   And then I had a regular six string aside from that so you can bend it.
[00:03:26.720 --> 00:03:28.720]   That's beautiful.
[00:03:28.720 --> 00:03:32.200]   So it gives it like a bluesy thing, but you can do the 12 string thing too.
[00:03:32.200 --> 00:03:33.200]   But this is a Martin.
[00:03:33.200 --> 00:03:35.000]   So you not only invented it, but it's actually being manufactured.
[00:03:35.000 --> 00:03:38.600]   I had Martin make me one and then a couple of guys came up and said, "Hey, I want one
[00:03:38.600 --> 00:03:39.600]   too."
[00:03:39.600 --> 00:03:41.960]   So Martin decided to make a special edition of his brain.
[00:03:41.960 --> 00:03:42.960]   That's really neat.
[00:03:42.960 --> 00:03:43.960]   It's called the HD7.
[00:03:43.960 --> 00:03:44.960]   The HD7.
[00:03:44.960 --> 00:03:46.960]   Well, it's not exactly tech, but it's pretty cool.
[00:03:46.960 --> 00:03:47.960]   It's low tech.
[00:03:47.960 --> 00:03:48.960]   It's a gadget.
[00:03:48.960 --> 00:03:50.760]   It's a wooden steel tech.
[00:03:50.760 --> 00:03:54.080]   As Devorek pointed out before we got started, there are people in the audience with their
[00:03:54.080 --> 00:03:56.800]   blogging even as we speak.
[00:03:56.800 --> 00:03:57.800]   Is that wild?
[00:03:57.800 --> 00:03:58.800]   Well, he's actually...
[00:03:58.800 --> 00:04:00.720]   He says now that he's not blogging live.
[00:04:00.720 --> 00:04:02.400]   He's making a movie.
[00:04:02.400 --> 00:04:03.400]   Making a movie.
[00:04:03.400 --> 00:04:08.560]   So there'll be a competitor to the official Twitter video.
[00:04:08.560 --> 00:04:10.360]   I'm going to see if I can get...
[00:04:10.360 --> 00:04:11.360]   Matt, would you get me the handheld?
[00:04:11.360 --> 00:04:14.040]   It's also going to be a great shot of your ass, Leo.
[00:04:14.040 --> 00:04:15.040]   Thank you.
[00:04:15.040 --> 00:04:16.280]   Just to write you some of the microphone.
[00:04:16.280 --> 00:04:19.240]   He had the fact he had to do a panorama.
[00:04:19.240 --> 00:04:23.320]   I noticed he panned away from my backside.
[00:04:23.320 --> 00:04:25.520]   You could just remove it.
[00:04:25.520 --> 00:04:28.960]   So we actually have a bit of a setup.
[00:04:28.960 --> 00:04:33.520]   We also have a lot more people here that we're going to get on Mike later on.
[00:04:33.520 --> 00:04:34.520]   What's your name?
[00:04:34.520 --> 00:04:35.520]   I'm AJ.
[00:04:35.520 --> 00:04:36.520]   AJ, what are you doing?
[00:04:36.520 --> 00:04:37.680]   I'm recording you guys.
[00:04:37.680 --> 00:04:38.680]   On your eyesight.
[00:04:38.680 --> 00:04:39.680]   Yes I am.
[00:04:39.680 --> 00:04:40.680]   And then what are you going to do with that?
[00:04:40.680 --> 00:04:42.680]   I'm going to share with my friends who weren't able to make it today.
[00:04:42.680 --> 00:04:43.520]   You could post it if you want.
[00:04:43.520 --> 00:04:46.200]   If you want me to serve it, I'll be glad to for you.
[00:04:46.200 --> 00:04:47.200]   Alright.
[00:04:47.200 --> 00:04:48.200]   Cool.
[00:04:48.200 --> 00:04:49.200]   I'm going to have a audition for the revision 3D.
[00:04:49.200 --> 00:04:50.200]   It's all great.
[00:04:50.200 --> 00:04:53.280]   What format are you recording?
[00:04:53.280 --> 00:04:54.800]   What are you recording in AJ?
[00:04:54.800 --> 00:04:55.800]   What format?
[00:04:55.800 --> 00:04:57.640]   It's just QuickTime.
[00:04:57.640 --> 00:05:00.960]   QuickTime recording in 2iMovie.
[00:05:00.960 --> 00:05:04.160]   So you could make 264 or it's DV.
[00:05:04.160 --> 00:05:05.160]   It's Firewire.
[00:05:05.160 --> 00:05:07.160]   Do H264, whatever.
[00:05:07.160 --> 00:05:08.160]   Yeah.
[00:05:08.160 --> 00:05:09.160]   It's okay quality.
[00:05:09.160 --> 00:05:12.040]   So you know Apple put it in this invitation.
[00:05:12.040 --> 00:05:15.840]   Did you get one John with the blue denim, the jeans, the pocket of the jeans?
[00:05:15.840 --> 00:05:16.840]   No I don't get any.
[00:05:16.840 --> 00:05:20.520]   The biggest revolution since a thousand songs in your pocket.
[00:05:20.520 --> 00:05:23.160]   They invited everybody to this thing Wednesday.
[00:05:23.160 --> 00:05:24.160]   Yeah.
[00:05:24.160 --> 00:05:25.160]   Yeah I'm going.
[00:05:25.160 --> 00:05:27.720]   Well I'm going too but do you think they'll be a surprise because an analyst like the
[00:05:27.720 --> 00:05:28.720]   next day.
[00:05:28.720 --> 00:05:30.080]   Well you know we should talk about that here on the show.
[00:05:30.080 --> 00:05:33.440]   We've got all these brainiacs here and maybe some gossip mongers out there and maybe somebody
[00:05:33.440 --> 00:05:34.440]   knows.
[00:05:34.440 --> 00:05:37.880]   Well because I talked to Mark off the other day about it and he says that everyone's still
[00:05:37.880 --> 00:05:40.040]   trying to guess what they're up with.
[00:05:40.040 --> 00:05:41.040]   John Mark off the New York Times.
[00:05:41.040 --> 00:05:42.160]   Well he doesn't know.
[00:05:42.160 --> 00:05:46.040]   But this analyst I can't remember his Morgan Stanley or whatever but he said oh no it's
[00:05:46.040 --> 00:05:49.200]   singular is going to do the telemotorilla phone it'll be the iTunes phone.
[00:05:49.200 --> 00:05:50.200]   It's kind of boring.
[00:05:50.200 --> 00:05:51.200]   It is boring.
[00:05:51.200 --> 00:05:53.160]   It doesn't sound like as big an announcement as the original iPod.
[00:05:53.160 --> 00:05:54.160]   No.
[00:05:54.160 --> 00:05:55.160]   I want the video iPod.
[00:05:55.160 --> 00:05:56.160]   Who wants a video iPod?
[00:05:56.160 --> 00:05:57.160]   How many of you think it's a video iPod?
[00:05:57.160 --> 00:05:58.160]   Definitely one.
[00:05:58.160 --> 00:06:00.960]   Well doesn't Steve say that video iPods are bad isn't it?
[00:06:00.960 --> 00:06:01.960]   Jobs it's the spot.
[00:06:01.960 --> 00:06:05.560]   Yeah that's what he says because right now he's milking it with this overpriced iPod.
[00:06:05.560 --> 00:06:06.560]   It's going to change his mind.
[00:06:06.560 --> 00:06:10.960]   He's going to say until the sales start to flop a little bit then he'll jack into a
[00:06:10.960 --> 00:06:11.960]   wheel of his mind.
[00:06:11.960 --> 00:06:12.960]   It changes mind.
[00:06:12.960 --> 00:06:13.960]   Can we say this stuff in the Apple store?
[00:06:13.960 --> 00:06:14.960]   We like to.
[00:06:14.960 --> 00:06:16.960]   They can throw us out of it.
[00:06:16.960 --> 00:06:21.960]   I actually would say overpriced I mean considering what the prestige is.
[00:06:21.960 --> 00:06:23.960]   It's a cool thing.
[00:06:23.960 --> 00:06:25.960]   It's a thing of beauty.
[00:06:25.960 --> 00:06:28.160]   It's a work of art.
[00:06:28.160 --> 00:06:29.680]   John's not worried about being thrown out.
[00:06:29.680 --> 00:06:32.640]   He's worried about getting through the horde of angry Apple fans between him and the front
[00:06:32.640 --> 00:06:33.640]   door.
[00:06:33.640 --> 00:06:38.240]   Hey move your microphone a little bit closer to your mouth there because you're not as
[00:06:38.240 --> 00:06:39.240]   loud as the rest of the room.
[00:06:39.240 --> 00:06:40.240]   Maybe Apple's.
[00:06:40.240 --> 00:06:42.240]   Roger Williams pulled out his iPod.
[00:06:42.240 --> 00:06:43.240]   He's whipped out of it.
[00:06:43.240 --> 00:06:44.240]   Whipped out your iPod.
[00:06:44.240 --> 00:06:45.240]   How many of you have iPods?
[00:06:45.240 --> 00:06:46.240]   Yes.
[00:06:46.240 --> 00:06:48.240]   They're whipping out their iPods.
[00:06:48.240 --> 00:06:49.240]   There's a mini.
[00:06:49.240 --> 00:06:50.240]   There's a regular iPod.
[00:06:50.240 --> 00:06:52.240]   I have four but they're all at home.
[00:06:52.240 --> 00:06:56.120]   You see maybe Apple's going to announce a countersuit to creative, creative suing Apple
[00:06:56.120 --> 00:06:58.760]   because of the fact for patenting their interface.
[00:06:58.760 --> 00:07:00.680]   Apple tried to patent the interface in 2002.
[00:07:00.680 --> 00:07:02.240]   They hadn't gone through yet.
[00:07:02.240 --> 00:07:04.600]   But it's just that patent thing is just nested menus.
[00:07:04.600 --> 00:07:09.480]   Well it's, we, you know, here's an interesting, because a patent lawyer sent me an email after
[00:07:09.480 --> 00:07:13.560]   we talked about it because remember we said Microsoft got there first and patented it.
[00:07:13.560 --> 00:07:15.840]   And this guy said, first of all nobody got there.
[00:07:15.840 --> 00:07:17.000]   No patents have been approved.
[00:07:17.000 --> 00:07:19.160]   So nobody, nobody has the rights.
[00:07:19.160 --> 00:07:21.280]   And he says it's not exactly what anybody's been saying.
[00:07:21.280 --> 00:07:23.880]   Of course I don't have the email in front of me so I can't.
[00:07:23.880 --> 00:07:25.480]   But this creative is a real patent.
[00:07:25.480 --> 00:07:26.920]   I mean obviously they're pursuing it.
[00:07:26.920 --> 00:07:31.000]   So they have a patent and they're suing Apple.
[00:07:31.000 --> 00:07:32.720]   John's fascinated by the iPod interface.
[00:07:32.720 --> 00:07:34.160]   Have you ever seen that before John?
[00:07:34.160 --> 00:07:35.160]   No.
[00:07:35.160 --> 00:07:36.600]   It's a pretty cool thing isn't it?
[00:07:36.600 --> 00:07:37.600]   It's in color.
[00:07:37.600 --> 00:07:38.600]   It's in color.
[00:07:38.600 --> 00:07:39.600]   This one is.
[00:07:39.600 --> 00:07:41.000]   You give it a screen which bigger could be video.
[00:07:41.000 --> 00:07:45.720]   It's got problems of its own though they shipped something like 10,000 neon's to Asia.
[00:07:45.720 --> 00:07:46.720]   4,000?
[00:07:46.720 --> 00:07:49.080]   4,000 units to Japan with a worm on the install software.
[00:07:49.080 --> 00:07:51.160]   They put a windows worm on the software.
[00:07:51.160 --> 00:07:53.160]   What's that?
[00:07:53.160 --> 00:07:54.160]   Scan disks.
[00:07:54.160 --> 00:07:56.960]   What, so they recall them all?
[00:07:56.960 --> 00:07:58.880]   Nobody seems to be following up on that.
[00:07:58.880 --> 00:08:01.080]   Nobody's heard anything from creative about it.
[00:08:01.080 --> 00:08:02.480]   It's just a patient.
[00:08:02.480 --> 00:08:08.880]   Well, if you, I mean one thing it's like it's horrible that somebody shipping, you know,
[00:08:08.880 --> 00:08:11.960]   where an install disc is CD with a worm on it.
[00:08:11.960 --> 00:08:18.080]   But the flip side is, you know, 4,000 CDs for installing a creative product that's not
[00:08:18.080 --> 00:08:19.520]   particularly popular anywhere.
[00:08:19.520 --> 00:08:21.520]   The me on.
[00:08:21.520 --> 00:08:26.760]   Followed by the fact that, you know, Windows XP is getting ransacked on a daily basis anytime
[00:08:26.760 --> 00:08:27.760]   you go online.
[00:08:27.760 --> 00:08:29.280]   It's like, yeah, big deal.
[00:08:29.280 --> 00:08:32.120]   Keith, I hope you're getting this Roger McQuinne showing John DeVorick how to use
[00:08:32.120 --> 00:08:33.280]   an iPod.
[00:08:33.280 --> 00:08:35.760]   That's a moment in history.
[00:08:35.760 --> 00:08:37.760]   Hey, how you doing?
[00:08:37.760 --> 00:08:42.560]   So, another story.
[00:08:42.560 --> 00:08:44.680]   I think we've lost all interest in this one.
[00:08:44.680 --> 00:08:45.680]   Have we?
[00:08:45.680 --> 00:08:46.680]   Is there anything more to say?
[00:08:46.680 --> 00:08:47.680]   Creative suing, Apple?
[00:08:47.680 --> 00:08:48.680]   I mean, is that a big story?
[00:08:48.680 --> 00:08:49.680]   Is there something to say there?
[00:08:49.680 --> 00:08:50.680]   It's interesting.
[00:08:50.680 --> 00:08:55.160]   It's kind of there's, there's so many lawsuits going around the portable interfaces right
[00:08:55.160 --> 00:08:56.160]   now.
[00:08:56.160 --> 00:08:57.160]   Right.
[00:08:57.160 --> 00:09:00.320]   You know, the Microsoft in one direction, Apple in another direction.
[00:09:00.320 --> 00:09:03.880]   Creatives got, I mean ironically creative which has like the ugliest interface on the planet
[00:09:03.880 --> 00:09:08.320]   may have gotten the, you know, the nesting menus or everyone to categorize it, patent
[00:09:08.320 --> 00:09:09.320]   first.
[00:09:09.320 --> 00:09:10.520]   So, they're going to sue them.
[00:09:10.520 --> 00:09:13.080]   So, it's going to be another long drawn out legal court battle.
[00:09:13.080 --> 00:09:14.240]   See, we talked about this earlier.
[00:09:14.240 --> 00:09:17.880]   I said Microsoft will never sue Apple because they each have their, you know, patents in
[00:09:17.880 --> 00:09:21.000]   their back pocket that could cause a shooting war back and forth.
[00:09:21.000 --> 00:09:22.440]   But what does creative got to lose?
[00:09:22.440 --> 00:09:25.920]   I mean, they're kind of, are they not kind of out of the business practice?
[00:09:25.920 --> 00:09:26.920]   They can't sell their stuff.
[00:09:26.920 --> 00:09:31.200]   Well, they're actually, they're the second largest provider of portable media devices
[00:09:31.200 --> 00:09:33.240]   or MP3 players after Apple right now.
[00:09:33.240 --> 00:09:37.040]   I just saw a story saying they're going to start pushing sound cards because they're
[00:09:37.040 --> 00:09:38.760]   giving up on the MP3 market for this.
[00:09:38.760 --> 00:09:40.760]   Well, I was at a table with the CEO two weeks ago.
[00:09:40.760 --> 00:09:41.760]   He says he's going to keep doing it.
[00:09:41.760 --> 00:09:44.960]   Yeah, the CEO seems to have a very different opinion.
[00:09:44.960 --> 00:09:49.440]   In terms of sheer volume, they're still turning over the pretty much the largest or from
[00:09:49.440 --> 00:09:53.200]   what I've seen, they're the second largest provider of MP3 players after Apple.
[00:09:53.200 --> 00:09:54.840]   But, well, but I mean Apple's 80%.
[00:09:54.840 --> 00:09:56.240]   So, second largest does a joke.
[00:09:56.240 --> 00:09:57.240]   It doesn't mean.
[00:09:57.240 --> 00:09:59.400]   Well, yeah, but that's like saying AMD is a joke.
[00:09:59.400 --> 00:10:03.480]   You know, if you can get, you know, 10% of an $18 billion market, that's still a fair
[00:10:03.480 --> 00:10:04.480]   amount of change, right?
[00:10:04.480 --> 00:10:08.120]   I think the microprocessor market's a little bigger than the...
[00:10:08.120 --> 00:10:09.320]   I'm not arguing that it is.
[00:10:09.320 --> 00:10:10.320]   Yeah, I can.
[00:10:10.320 --> 00:10:11.320]   I can argue.
[00:10:11.320 --> 00:10:12.320]   Well, is it?
[00:10:12.320 --> 00:10:13.320]   I guess it is.
[00:10:13.320 --> 00:10:14.320]   Oh.
[00:10:14.320 --> 00:10:15.320]   Yeah.
[00:10:15.320 --> 00:10:16.320]   Because even if iPod has to have an iMac processor, by definition, it would be a bigger
[00:10:16.320 --> 00:10:17.320]   market.
[00:10:17.320 --> 00:10:19.320]   The iPod Plus market.
[00:10:19.320 --> 00:10:25.880]   AMD is, you know, sued Intel now Intel saying they're just a bunch of cry babies.
[00:10:25.880 --> 00:10:29.040]   Did you see that Intel released this week?
[00:10:29.040 --> 00:10:30.640]   There's a lot of things going on.
[00:10:30.640 --> 00:10:34.480]   Well, okay, let's talk about this because we never really talked about this Intel AMD
[00:10:34.480 --> 00:10:36.000]   thing.
[00:10:36.000 --> 00:10:40.280]   Is this a case of the time-honored tradition of if you can't succeed in the marketplace
[00:10:40.280 --> 00:10:41.280]   sue?
[00:10:41.280 --> 00:10:43.240]   And that's what creatives do.
[00:10:43.240 --> 00:10:48.320]   If somebody sees somebody that they perceive or are benefiting from illegal activities
[00:10:48.320 --> 00:10:50.080]   from their perspective, they should sue.
[00:10:50.080 --> 00:10:51.080]   They should sue.
[00:10:51.080 --> 00:10:55.760]   It's like if you somebody shot a friend of yours and the governor...
[00:10:55.760 --> 00:10:58.480]   And the police department don't want to do anything about it.
[00:10:58.480 --> 00:10:59.920]   You can always sue for wrongful death.
[00:10:59.920 --> 00:11:04.320]   I mean, there are ways of suing people for doing the, you know, doing wrong things.
[00:11:04.320 --> 00:11:06.040]   Now who's right and who's wrong on the thing?
[00:11:06.040 --> 00:11:07.040]   The courts have to decide.
[00:11:07.040 --> 00:11:09.680]   But it wasn't thrown out of court.
[00:11:09.680 --> 00:11:10.680]   No, that's right.
[00:11:10.680 --> 00:11:11.680]   It wasn't.
[00:11:11.680 --> 00:11:12.680]   But did you read what Intel said?
[00:11:12.680 --> 00:11:13.680]   I don't have it in front of me.
[00:11:13.680 --> 00:11:16.080]   But Intel was whining and moaning saying, "Oh, it's..."
[00:11:16.080 --> 00:11:18.080]   Right here, I believe.
[00:11:18.080 --> 00:11:20.040]   Kevin's doing Devorax research.
[00:11:20.040 --> 00:11:21.840]   Kevin's got this thing down.
[00:11:21.840 --> 00:11:23.760]   He's got everything you can bring up.
[00:11:23.760 --> 00:11:27.360]   Kevin's got a tab for it on Firefox and he just popped it.
[00:11:27.360 --> 00:11:28.360]   Except for that story.
[00:11:28.360 --> 00:11:31.280]   I don't think you sent that one around, Leo.
[00:11:31.280 --> 00:11:33.080]   You forgot to send that one around.
[00:11:33.080 --> 00:11:36.640]   It sounds more like Intel's doing the whining.
[00:11:36.640 --> 00:11:37.800]   Yeah, you're right.
[00:11:37.800 --> 00:11:40.840]   I'm saying they said there's no merit to it.
[00:11:40.840 --> 00:11:45.520]   You think that AMD is rightfully complaining that Intel is...
[00:11:45.520 --> 00:11:47.640]   What's the same thing Microsoft was doing there saying?
[00:11:47.640 --> 00:11:49.120]   We'll give you discounts if you...
[00:11:49.120 --> 00:11:53.520]   I recommend people go to the AMD site or you can go to devorax.org/blog@oforax.com.
[00:11:53.520 --> 00:11:55.640]   I recommend...
[00:11:55.640 --> 00:11:59.200]   He has a link to intel.com there if you can't remember that.
[00:11:59.200 --> 00:12:01.160]   Hey, you know, you'd be surprised.
[00:12:01.160 --> 00:12:05.720]   So anyway, you should go to the AMD site and then click on the complaint and read it for
[00:12:05.720 --> 00:12:08.280]   yourself and you make your own decisions.
[00:12:08.280 --> 00:12:09.680]   It's very entertaining reading.
[00:12:09.680 --> 00:12:13.640]   I've read a lot of legal documents in my day, but this is the most fun one I've ever
[00:12:13.640 --> 00:12:14.640]   run into.
[00:12:14.640 --> 00:12:15.640]   It has merit, you think.
[00:12:15.640 --> 00:12:16.640]   It's hilarious.
[00:12:16.640 --> 00:12:17.640]   I never said that.
[00:12:17.640 --> 00:12:21.400]   Because you're very careful not to say things like that.
[00:12:21.400 --> 00:12:22.400]   I'm objective.
[00:12:22.400 --> 00:12:25.000]   He's a journalist, ladies and gentlemen.
[00:12:25.000 --> 00:12:27.000]   You got a...
[00:12:27.000 --> 00:12:28.000]   Yes, Patrick.
[00:12:28.000 --> 00:12:31.080]   Outpost Crystal or the CNET Google debacle?
[00:12:31.080 --> 00:12:32.760]   Well, you know, I kind of want...
[00:12:32.760 --> 00:12:35.080]   We didn't talk about the CNET Google thing when it happened.
[00:12:35.080 --> 00:12:36.080]   It's now...
[00:12:36.080 --> 00:12:37.080]   It's like six weeks old.
[00:12:37.080 --> 00:12:39.120]   But I thought John might have something to say about this.
[00:12:39.120 --> 00:12:40.120]   You heard what happened.
[00:12:40.120 --> 00:12:45.200]   Of course, CNET wrote a story reporter was writing a story on privacy issues with Google
[00:12:45.200 --> 00:12:46.480]   and she used...
[00:12:46.480 --> 00:12:51.680]   She looked up Eric Schmidt, the Google CEO, and using stuff that she found on Google wrote
[00:12:51.680 --> 00:12:55.320]   an article saying, "Look, even Eric Schmidt, the CEO of Google, this stuff..."
[00:12:55.320 --> 00:12:56.320]   And Google hit the roof.
[00:12:56.320 --> 00:12:57.840]   In fact, they cut off CNET.
[00:12:57.840 --> 00:12:59.680]   They said, "We're not going to talk to you anymore for a year."
[00:12:59.680 --> 00:13:02.800]   Well, it seems to me that anyone can do that anytime they want to.
[00:13:02.800 --> 00:13:04.560]   They don't have to talk to you.
[00:13:04.560 --> 00:13:05.560]   But...
[00:13:05.560 --> 00:13:06.560]   But it's whiny.
[00:13:06.560 --> 00:13:07.560]   That's not...
[00:13:07.560 --> 00:13:08.560]   It's a little...
[00:13:08.560 --> 00:13:11.360]   Eric Schmidt's getting a little sensitive now that he's a billionaire.
[00:13:11.360 --> 00:13:12.360]   He's acting up.
[00:13:12.360 --> 00:13:13.600]   A lot of people do.
[00:13:13.600 --> 00:13:18.240]   But it seems to me as long as they haven't really messed with CNET's links on Google,
[00:13:18.240 --> 00:13:19.240]   you know, in other words...
[00:13:19.240 --> 00:13:20.240]   Well, that would be bad.
[00:13:20.240 --> 00:13:23.400]   So, this is just a pissing contest.
[00:13:23.400 --> 00:13:24.400]   Who cares?
[00:13:24.400 --> 00:13:27.720]   I mean, the thing about the information that Eric Schmidt's, it's all something that would
[00:13:27.720 --> 00:13:30.000]   be available in any public filings.
[00:13:30.000 --> 00:13:31.000]   Exactly.
[00:13:31.000 --> 00:13:32.000]   It was on Google.
[00:13:32.000 --> 00:13:33.000]   Well, the information is public.
[00:13:33.000 --> 00:13:34.000]   It's not even that it was that private.
[00:13:34.000 --> 00:13:39.920]   What I've heard from some people who say "work at CNET in certain departments" was that
[00:13:39.920 --> 00:13:45.040]   Google was upset that CNET wrongfully accused them of using desktop search to catalog what
[00:13:45.040 --> 00:13:46.040]   was on people's desktops.
[00:13:46.040 --> 00:13:47.040]   They didn't like that.
[00:13:47.040 --> 00:13:50.560]   They sent it back to their super secret Google servers where all these secret information
[00:13:50.560 --> 00:13:51.560]   is kept.
[00:13:51.560 --> 00:13:52.560]   I see.
[00:13:52.560 --> 00:13:54.720]   I mean, the fundamental question is, and it comes back to an incident we had here on
[00:13:54.720 --> 00:13:59.520]   Twitter last Saturday night, was how exactly do you guarantee privacy?
[00:13:59.520 --> 00:14:02.760]   Not that I would ever whine about somebody revealing something that was public.
[00:14:02.760 --> 00:14:03.760]   Well, the point...
[00:14:03.760 --> 00:14:12.200]   But the point being is, you know, our complete bit to our system has been redirected because
[00:14:12.200 --> 00:14:15.680]   our feed burner system has been redirected because you felt that they revealed information
[00:14:15.680 --> 00:14:16.680]   that shouldn't be public.
[00:14:16.680 --> 00:14:17.680]   Yeah.
[00:14:17.680 --> 00:14:18.680]   They said we had 41,000 subscribers.
[00:14:18.680 --> 00:14:21.960]   I think there's more people in this room.
[00:14:21.960 --> 00:14:26.960]   I think the issue with Google is that they're using their size and power to try to muscle
[00:14:26.960 --> 00:14:27.960]   CNET.
