
[00:00:00.000 --> 00:00:02.640]   (whistling)
[00:03:04.900 --> 00:03:07.500]   like $13,854.
[00:03:07.500 --> 00:03:09.500]   So, that's pretty exciting.
[00:03:09.500 --> 00:03:11.420]   - Yeah, I think it's really cool.
[00:03:11.420 --> 00:03:13.660]   You know, I think that there's a lot of people who,
[00:03:13.660 --> 00:03:15.620]   you know, obviously this version isn't--
[00:03:15.620 --> 00:03:17.340]   - They don't help pay as legal expenses
[00:03:17.340 --> 00:03:18.380]   when the Apple sues him.
[00:03:18.380 --> 00:03:19.540]   - Well, there's two people right?
[00:03:19.540 --> 00:03:21.780]   - That's what apparently this is legal.
[00:03:21.780 --> 00:03:22.620]   - This is completely legal.
[00:03:22.620 --> 00:03:23.620]   - We say apparently.
[00:03:23.620 --> 00:03:25.620]   - This is that they're keen to keep their anonymity
[00:03:25.620 --> 00:03:28.300]   and are known only by the handles, NARF and Blanca.
[00:03:28.300 --> 00:03:29.580]   - A carf, oh my god.
[00:03:29.580 --> 00:03:30.940]   - NARF 2006.
[00:03:30.940 --> 00:03:33.620]   - Okay, that's the demo, that's the old NARF.
[00:03:33.620 --> 00:03:35.300]   - And the other guy named us after--
[00:03:35.300 --> 00:03:37.660]   - This is on the BBC News website.
[00:03:37.660 --> 00:03:39.660]   - Oh, that place filled with lies.
[00:03:39.660 --> 00:03:43.300]   And about the price is 7,895 pounds.
[00:03:43.300 --> 00:03:45.260]   - So, okay, so what do you say, John?
[00:03:45.260 --> 00:03:47.220]   Where's the DMCA violation?
[00:03:47.220 --> 00:03:48.380]   Where's the lawsuit here?
[00:03:48.380 --> 00:03:50.540]   - It depends on whether there's a license agreement
[00:03:50.540 --> 00:03:52.100]   when you buy a Macintosh or not.
[00:03:52.100 --> 00:03:55.540]   When you buy a Macintosh and you open OS X
[00:03:55.540 --> 00:03:56.660]   or whatever they wanna call it.
[00:03:56.660 --> 00:03:57.500]   - How is it?
[00:03:57.500 --> 00:03:59.260]   - OS X there was this 10, 10.
[00:03:59.260 --> 00:04:04.260]   - Or you are agreeing to a shrink wrapped license, right?
[00:04:04.260 --> 00:04:05.620]   - Right.
[00:04:05.620 --> 00:04:07.580]   - Well, in there, there may be something about this.
[00:04:07.580 --> 00:04:08.980]   - I don't know, I'm not gonna--
[00:04:08.980 --> 00:04:10.820]   - Didn't Apple say they're not gonna fight anybody
[00:04:10.820 --> 00:04:12.620]   or touch anybody that wants to do it?
[00:04:12.620 --> 00:04:14.460]   - Apple said we're not gonna do anything
[00:04:14.460 --> 00:04:15.860]   to stop people from putting XP on.
[00:04:15.860 --> 00:04:17.100]   We're not, you know, it's not something we know.
[00:04:17.100 --> 00:04:18.540]   - Well, you know why, right?
[00:04:18.540 --> 00:04:19.700]   - It's gonna double their market share.
[00:04:19.700 --> 00:04:21.900]   - Because no, I didn't, because they're gonna do it themselves.
[00:04:21.900 --> 00:04:25.940]   - I don't wanna, I have to go through this again, John.
[00:04:25.940 --> 00:04:26.900]   - Hey, just a thought.
[00:04:26.900 --> 00:04:29.420]   I think it would be, it would be more likely
[00:04:29.420 --> 00:04:32.100]   that Apple would find a way to run Windows applications
[00:04:32.100 --> 00:04:33.820]   in the OS X operating system than it would be
[00:04:33.820 --> 00:04:35.060]   for them to port.
[00:04:35.060 --> 00:04:37.420]   I mean, you know, to allow Windows, you know,
[00:04:37.420 --> 00:04:39.500]   dels to run OS X. - Like it natively run,
[00:04:39.500 --> 00:04:41.220]   like virtual PC through.
[00:04:41.220 --> 00:04:43.260]   - But not like virtual PC, like just run it.
[00:04:43.260 --> 00:04:44.100]   I mean, I think that was--
[00:04:44.100 --> 00:04:45.260]   - Oh, I see without the OS overhead.
[00:04:45.260 --> 00:04:46.700]   - You just double click on a Windows app
[00:04:46.700 --> 00:04:47.820]   and it opens in OS X.
[00:04:47.820 --> 00:04:49.260]   I think it's more likely that that would happen
[00:04:49.260 --> 00:04:54.260]   than Apple's exposing themselves by releasing it to Dell.
[00:04:54.260 --> 00:04:57.860]   So that's my Apple--
[00:04:57.860 --> 00:04:58.700]   - That's his theory.
[00:04:58.700 --> 00:05:01.620]   - That's my story on adding over and greasing up.
[00:05:01.620 --> 00:05:04.260]   - So what happens next?
[00:05:04.260 --> 00:05:05.900]   You're talking about like certain wireless drivers
[00:05:05.900 --> 00:05:07.340]   on a there, certain graphics drivers on it there?
[00:05:07.340 --> 00:05:08.980]   - Yeah, the networking drivers are in place.
[00:05:08.980 --> 00:05:11.820]   They don't have a native video driver for it yet.
[00:05:11.820 --> 00:05:15.620]   So it's run it as a stock 640 by 480 BGA driver.
[00:05:15.620 --> 00:05:17.780]   - It doesn't look like 640 by 480 on that thing.
[00:05:17.780 --> 00:05:21.220]   - The last one I saw, they hadn't had a proper VGA driver.
[00:05:21.220 --> 00:05:22.220]   - It's pretty good.
[00:05:22.220 --> 00:05:23.060]   - Or proper driver.
[00:05:23.060 --> 00:05:27.220]   - Actually, there is no hardware driver for the video.
[00:05:27.220 --> 00:05:29.820]   So I mean, when you move the window around it,
[00:05:29.820 --> 00:05:31.660]   it does the little stutter bit.
[00:05:31.660 --> 00:05:34.580]   'Cause the CPU's redrawing the screen itself.
[00:05:34.580 --> 00:05:36.660]   - But I'm fairly sure that's 1024 by 768.
[00:05:36.660 --> 00:05:38.020]   I'd have to go over and look at that.
[00:05:38.020 --> 00:05:39.660]   - It doesn't look like, yeah, it looks like this
[00:05:39.660 --> 00:05:40.500]   what it looks like.
[00:05:40.500 --> 00:05:41.340]   - Okay.
[00:05:41.340 --> 00:05:43.300]   Well, maybe they've gotten something working.
[00:05:43.300 --> 00:05:44.140]   - But no doom to me on that.
[00:05:44.140 --> 00:05:46.300]   - Well, I'm a PC user and I want a Mac
[00:05:46.300 --> 00:05:47.980]   and I would love to be able to continue using
[00:05:47.980 --> 00:05:50.060]   my Windows apps on it.
[00:05:50.060 --> 00:05:51.740]   I'm sure most people are like running Macs,
[00:05:51.740 --> 00:05:53.060]   want to be able to run Windows apps.
[00:05:53.060 --> 00:05:55.060]   I already have Windows, I just want to be able
[00:05:55.060 --> 00:05:55.900]   to run Mac apps.
[00:05:55.900 --> 00:05:57.700]   - Well, I'm in a situation where there's a hand,
[00:05:57.700 --> 00:06:00.140]   I have a PC because there's a handful of programs
[00:06:00.140 --> 00:06:04.260]   that I need for visual effects production that are on a PC.
[00:06:04.260 --> 00:06:08.340]   And I would love to be able to just run them on my G5
[00:06:08.340 --> 00:06:13.340]   and whatever the next, my super duo tower,
[00:06:13.340 --> 00:06:15.460]   whatever it's gonna be.
[00:06:15.460 --> 00:06:17.020]   - Oh, that'd be fantastic.
[00:06:17.020 --> 00:06:18.700]   And I'd get rid of my PC.
[00:06:18.700 --> 00:06:20.260]   (laughs)
[00:06:20.260 --> 00:06:21.580]   So.
[00:06:21.580 --> 00:06:22.420]   - That'd be awesome.
[00:06:22.420 --> 00:06:24.140]   - Well, okay, well, I guess that topic died.
[00:06:24.140 --> 00:06:27.220]   - Someone's saying that Leo might be in Vegas
[00:06:27.220 --> 00:06:29.980]   because there's a lot of people there doing the NCA
[00:06:29.980 --> 00:06:31.420]   tournament, if anyone cares about that.
[00:06:31.420 --> 00:06:33.060]   But I thought there's a cool--
[00:06:33.060 --> 00:06:33.900]   - Is that like a basketball player?
[00:06:33.900 --> 00:06:34.740]   - There's a basketball player.
[00:06:34.740 --> 00:06:36.020]   But there's a good tech into this.
[00:06:36.020 --> 00:06:38.940]   There's a CBS is doing a thing, a lot of people done it,
[00:06:38.940 --> 00:06:40.660]   but you can watch every game, VOD,
[00:06:40.660 --> 00:06:42.460]   you can go back and watch any game that's already been played,
[00:06:42.460 --> 00:06:45.220]   you can watch it all free and there's providing this
[00:06:45.220 --> 00:06:47.980]   with the understanding that they're gonna get their costs back
[00:06:47.980 --> 00:06:49.420]   as ad revenue.
[00:06:49.420 --> 00:06:51.900]   And it's, I mean, I think it's really cool.
[00:06:51.900 --> 00:06:54.300]   You can go back and watch the highlights of any game like that.
[00:06:54.300 --> 00:06:57.020]   You can go watch any game live as it's happening like that.
[00:06:57.020 --> 00:06:57.860]   - I wonder--
[00:06:57.860 --> 00:06:58.700]   - And they're not charging it down.
[00:06:58.700 --> 00:06:59.940]   - I wonder what the model is though,
[00:06:59.940 --> 00:07:02.700]   because ad revenue is based on viewership.
[00:07:02.700 --> 00:07:05.700]   And if for, say for example, and they pay in advance,
[00:07:05.700 --> 00:07:07.340]   I mean, what, well, say I take out an ad
[00:07:07.340 --> 00:07:08.740]   and it's on one of these basketball games.
[00:07:08.740 --> 00:07:11.540]   And the next thing you know, there's a 20 million downloads.
[00:07:11.540 --> 00:07:13.340]   Am I supposed to pay more money?
[00:07:13.340 --> 00:07:14.780]   And if I'm not supposed to pay more money,
[00:07:14.780 --> 00:07:15.820]   how's CBS making money?
[00:07:15.820 --> 00:07:16.660]   - I don't know how they--
[00:07:16.660 --> 00:07:17.740]   - I don't know how they roll models.
[00:07:17.740 --> 00:07:21.300]   - Yeah, but it's a lot less wacky for the people
[00:07:21.300 --> 00:07:24.300]   who are normally advertising on CBS or ESPN
[00:07:24.300 --> 00:07:26.660]   than it is for say somebody would be, you know,
[00:07:26.660 --> 00:07:28.260]   advertising on this podcast.
[00:07:28.260 --> 00:07:29.100]   You know what I mean?
[00:07:29.100 --> 00:07:31.100]   If you're buying in terms of CPMs,
[00:07:31.100 --> 00:07:33.820]   then you're already buying for millions of eyeballs,
[00:07:33.820 --> 00:07:36.940]   having a couple million more isn't gonna exactly kill you.
[00:07:36.940 --> 00:07:39.820]   - No, I mean, yes, but you don't wanna get surprised.
[00:07:39.820 --> 00:07:41.300]   I mean, you know, people do have budget--
[00:07:41.300 --> 00:07:43.900]   - Yeah, but you know, the salespeople are not that stupid.
[00:07:43.900 --> 00:07:45.900]   - They probably never gonna put it in the contract.
[00:07:45.900 --> 00:07:47.020]   - Sorry, you repeat that again.
[00:07:47.020 --> 00:07:49.980]   - Salespeople are not that stupid, neither are the ad buyers.
[00:07:49.980 --> 00:07:51.740]   They're gonna put a cat in it and they're gonna rotate.
[00:07:51.740 --> 00:07:53.060]   Yes, they're gonna rotate, you know,
[00:07:53.060 --> 00:07:54.460]   they're gonna rotate in on their advertising.
[00:07:54.460 --> 00:07:55.700]   - Well, when they did the Olympics,
[00:07:55.700 --> 00:07:58.100]   they sold, I heard, that they sold ads
[00:07:58.100 --> 00:08:00.020]   and they promised a certain number of viewers,
[00:08:00.020 --> 00:08:01.980]   but they weren't positive because some of the other networks
[00:08:01.980 --> 00:08:04.180]   were ramping up their big shows like Lost and some of those
[00:08:04.180 --> 00:08:05.660]   others to really take on the Olympics.
[00:08:05.660 --> 00:08:07.940]   And so I know that some of these contracts had,
[00:08:07.940 --> 00:08:09.620]   we project, you know--
[00:08:09.620 --> 00:08:10.540]   - So many--
[00:08:10.540 --> 00:08:12.340]   - Seven million viewers for such and such.
[00:08:12.340 --> 00:08:15.020]   And if we get five or four, we're gonna give you your money back
[00:08:15.020 --> 00:08:17.500]   or we'll give you free ad space on our other stuff
[00:08:17.500 --> 00:08:19.140]   until we reach what our goal was.
[00:08:19.140 --> 00:08:19.980]   - They didn't even--
[00:08:19.980 --> 00:08:20.900]   - I don't know how they broke it for this,
[00:08:20.900 --> 00:08:25.420]   but according to the, I don't know what,
[00:08:25.420 --> 00:08:29.260]   according to the AFP, they said that the first day
[00:08:29.260 --> 00:08:32.780]   of games, they had over 1.2 million internet viewers
[00:08:32.780 --> 00:08:35.100]   quoting CBS and then they said they--
[00:08:35.100 --> 00:08:35.940]   - Really?
[00:08:35.940 --> 00:08:38.380]   - The CBS claimed that they set a new internet record
[00:08:38.380 --> 00:08:41.100]   for a live entertainment event of more than 268,000
[00:08:41.100 --> 00:08:42.260]   simultaneous streams.
[00:08:42.260 --> 00:08:43.100]   I don't know.
[00:08:43.100 --> 00:08:43.940]   - Wasn't live eight figures.
[00:08:43.940 --> 00:08:45.580]   - They said that that was the biggest and they want to
[00:08:45.580 --> 00:08:48.580]   break that or they just broke it, which is AOL's little
[00:08:48.580 --> 00:08:50.700]   music portal that did the live eight ones.
[00:08:50.700 --> 00:08:52.860]   - I don't know if I call it a little music portal.
[00:08:52.860 --> 00:08:53.860]   - I know.
[00:08:53.860 --> 00:08:56.340]   - Above and beyond the relationship that Twid has with
[00:08:56.340 --> 00:08:57.820]   with AOL distributing the bandwidth,
[00:08:57.820 --> 00:08:58.900]   live eight was pretty big.
[00:08:58.900 --> 00:09:00.500]   Okay, who's seen AOL's television now?
[00:09:00.500 --> 00:09:03.860]   Television.aol.com/intoTV.
[00:09:03.860 --> 00:09:04.700]   - It's cool.
[00:09:04.700 --> 00:09:06.580]   - Pinky in the brain is back.
[00:09:06.580 --> 00:09:08.420]   - This is still like--
[00:09:08.420 --> 00:09:09.260]   - It is.
[00:09:09.260 --> 00:09:11.420]   - It's like a bizarre collection of Warner,
[00:09:11.420 --> 00:09:12.820]   I guess Warner Brothers shows.
[00:09:12.820 --> 00:09:14.020]   - Warner Brothers, Alice.
[00:09:14.020 --> 00:09:17.860]   - Babylon 5, Beetlejuice, Chico and the Man, Dark Justice.
[00:09:17.860 --> 00:09:19.500]   - Dark Justice was a pretty bad show though.
[00:09:19.500 --> 00:09:21.380]   - After all the spelking grass loy.
[00:09:21.380 --> 00:09:25.300]   - Especially in certain episodes of Wonder Woman.
[00:09:25.300 --> 00:09:27.220]   - With them Nikita, Lois and Clark.
[00:09:27.220 --> 00:09:28.940]   The new Adventures of Batman.
[00:09:28.940 --> 00:09:30.740]   - New Adventures of Batman, love it.
[00:09:30.740 --> 00:09:31.580]   Good.
[00:09:31.580 --> 00:09:32.740]   - The V, welcome back Carter.
[00:09:32.740 --> 00:09:35.580]   - The Carter, but I can't even say that.
[00:09:35.580 --> 00:09:36.980]   - Have you seen that they're gonna release,
[00:09:36.980 --> 00:09:38.740]   I think it's 10 episodes of Office
[00:09:38.740 --> 00:09:41.060]   that are internet only over the summer?
[00:09:41.060 --> 00:09:42.540]   - Is it the British, is it the British,
[00:09:42.540 --> 00:09:43.380]   the Office?
[00:09:43.380 --> 00:09:44.220]   - I'm not positive.
[00:09:44.220 --> 00:09:45.460]   - Which one it is.
[00:09:45.460 --> 00:09:47.860]   But they're gonna put it out over the summer,
[00:09:47.860 --> 00:09:50.180]   it's gonna be on, I think it's on NBC's website.
[00:09:50.180 --> 00:09:52.260]   - Is this 'cause they have too much content to put out
[00:09:52.260 --> 00:09:53.580]   or because it's an experiment?
[00:09:53.580 --> 00:09:54.420]   - I think it's an experiment.
[00:09:54.420 --> 00:09:56.980]   - Well Channel 4 in the UK is actually putting out
[00:09:56.980 --> 00:09:59.620]   episodes of their kind of technology
[00:09:59.620 --> 00:10:01.620]   or IT sitcom called The IT Crowd.
[00:10:01.620 --> 00:10:02.780]   I'm not sure anyone's watched it.
[00:10:02.780 --> 00:10:03.620]   - The IT Crowd.
[00:10:03.620 --> 00:10:04.460]   - The IT Crowd.
[00:10:04.460 --> 00:10:07.660]   It's funny, I mean in a British way.
[00:10:08.500 --> 00:10:09.460]   (laughs)
[00:10:09.460 --> 00:10:11.340]   - But I think a lot of them are just trying to see
[00:10:11.340 --> 00:10:13.700]   if they can generate enough eyeballs
[00:10:13.700 --> 00:10:17.260]   to make a self-sustaining revenue.
[00:10:17.260 --> 00:10:18.300]   - Well I mean when you look at,
[00:10:18.300 --> 00:10:22.060]   like selling something on iTunes,
[00:10:22.060 --> 00:10:25.380]   the rumor is they're making about a buck 50 per show
[00:10:25.380 --> 00:10:27.020]   when people are buying them.
[00:10:27.020 --> 00:10:29.660]   You know, that Apple's not making much as usual
[00:10:29.660 --> 00:10:31.020]   'cause it's just a push for the iPod.
[00:10:31.020 --> 00:10:32.500]   - Buck 50 to the studios.
[00:10:32.500 --> 00:10:34.300]   - The buck 50 to the studios, now on average,
[00:10:34.300 --> 00:10:37.740]   that's three times as much as that they make on advertising.
[00:10:37.740 --> 00:10:40.020]   I mean what they're hoping to make is 45 cents,
[00:10:40.020 --> 00:10:43.700]   50 cents per viewer, you know, across for advertising.
[00:10:43.700 --> 00:10:46.100]   And so they're actually doing significantly better.
[00:10:46.100 --> 00:10:47.140]   I think that they're gonna get to a point
[00:10:47.140 --> 00:10:49.500]   where they start releasing more of these shows ahead of time.
[00:10:49.500 --> 00:10:51.540]   You know more of them, you know, a week early on.
[00:10:51.540 --> 00:10:52.900]   - It's a sense of viewer?
[00:10:52.900 --> 00:10:55.180]   - 50 cents of viewer on the advertising.
[00:10:55.180 --> 00:10:57.020]   - This seems pretty high to me.
[00:10:57.020 --> 00:10:58.460]   - That's, you know, I read it.
[00:10:58.460 --> 00:11:00.460]   It must be, it must be, it's an industry number I read it.
[00:11:00.460 --> 00:11:01.620]   It must be the truth. - I actually get it.
[00:11:01.620 --> 00:11:02.460]   That doesn't sound right.
[00:11:02.460 --> 00:11:03.700]   - Okay, check it out.
[00:11:03.700 --> 00:11:08.700]   But if it's lower than that, then it's lower than that.
[00:11:08.700 --> 00:11:11.940]   Then the argument becomes even more intense
[00:11:11.940 --> 00:11:14.460]   that they would be more likely if iTunes continues
[00:11:14.460 --> 00:11:16.660]   to pick up speed or other online sales.
[00:11:16.660 --> 00:11:17.860]   They'd be more likely to do--
[00:11:17.860 --> 00:11:20.620]   - That's like the advertising rate of $500 to $1,000.
[00:11:20.620 --> 00:11:22.820]   This doesn't make any mathematical sense.
[00:11:22.820 --> 00:11:27.380]   - You, as I said, it's--
[00:11:27.380 --> 00:11:28.500]   - It's a number that was--
[00:11:28.500 --> 00:11:31.140]   - It was the number, I read it in an industry thing.
[00:11:31.140 --> 00:11:32.660]   So I don't have it right in front of me.
[00:11:32.660 --> 00:11:34.420]   I don't have to go look for it.
[00:11:34.420 --> 00:11:36.540]   - But if it's lower than that, if it's a lot lower than that,
[00:11:36.540 --> 00:11:39.620]   then what your, it still makes the point
[00:11:39.620 --> 00:11:41.300]   that they're more likely to let you download it
[00:11:41.300 --> 00:11:42.180]   and buy it first.
[00:11:42.180 --> 00:11:43.180]   At least you get that number.
[00:11:43.180 --> 00:11:45.380]   - I think there's five cents has gotta be the number.
[00:11:45.380 --> 00:11:46.820]   - If it's five cents, it's even, it's even,
[00:11:46.820 --> 00:11:48.780]   I mean, the bottom one is regardless of whether it's
[00:11:48.780 --> 00:11:53.620]   five cents or 50 cents, it is, it is, I mean,
[00:11:53.620 --> 00:11:55.020]   that number doesn't make any difference
[00:11:55.020 --> 00:11:56.940]   other than it's either three or 30 cents.
[00:11:56.940 --> 00:11:57.860]   - Right, this is a higher number.
[00:11:57.860 --> 00:11:59.620]   - It's a much higher number for the download.
[00:11:59.620 --> 00:12:00.460]   - Yeah, right, right.
[00:12:00.460 --> 00:12:03.060]   - So about a buck and a half per viewer, although,
[00:12:03.060 --> 00:12:05.220]   you know, you could pass it around.
[00:12:05.220 --> 00:12:07.500]   I mean, if I've downloaded it and then my kid wanted
[00:12:07.500 --> 00:12:11.180]   to watch it, there goes the per viewer rate, 75 cents.
[00:12:11.180 --> 00:12:12.260]   (laughing)
[00:12:12.260 --> 00:12:14.220]   And then I cut it half again by handing it over
[00:12:14.220 --> 00:12:15.780]   to somebody else or whatever.
[00:12:15.780 --> 00:12:18.500]   - I guess there's probably, I'm sure,
[00:12:18.500 --> 00:12:20.100]   but if those people are gonna do that,
[00:12:20.100 --> 00:12:22.580]   they're just as likely to go get it in BitTorrent anyway.
[00:12:22.580 --> 00:12:24.900]   So you're mostly, you know, I mean, it's, it's, I mean,
[00:12:24.900 --> 00:12:26.940]   if they're gonna pass it, once they start breaking the law,
[00:12:26.940 --> 00:12:28.460]   the why bother going to iTunes.
[00:12:28.460 --> 00:12:29.580]   - Once you start breaking it,
[00:12:29.580 --> 00:12:31.620]   I'll just go, "What's your real life?"
[00:12:31.620 --> 00:12:33.460]   - Once you realize you get everything at higher risk.
[00:12:33.460 --> 00:12:35.820]   - Does anybody know the, you know, another story
[00:12:35.820 --> 00:12:38.580]   that's on the list is, does anybody know the details
[00:12:38.580 --> 00:12:40.740]   on this French situation?
[00:12:40.740 --> 00:12:43.060]   - Which French, the one where they said, "Okay, you know,
[00:12:43.060 --> 00:12:45.060]   "all the MP3 players have to be interoperable,
[00:12:45.060 --> 00:12:47.940]   "and Apple's gonna have to open up the iTunes
[00:12:47.940 --> 00:12:49.700]   "play back on portables."
[00:12:49.700 --> 00:12:51.340]   - Apple's gonna just pull out of the market.
[00:12:51.340 --> 00:12:53.180]   - Is this because of the French, or is it because
[00:12:53.180 --> 00:12:56.820]   of another company that's decided to fight it in France?
[00:12:56.820 --> 00:13:00.540]   - Because of a, I think it's a French government initiative.
[00:13:00.540 --> 00:13:01.380]   - Is it?
[00:13:01.380 --> 00:13:02.220]   - Yeah.
[00:13:02.220 --> 00:13:03.060]   - In fact, they've had a lot of initiatives.
[00:13:03.060 --> 00:13:05.860]   I think the most recent, the other most recent
[00:13:05.860 --> 00:13:09.260]   kind of newsmaker was the one where they allowed,
[00:13:09.260 --> 00:13:14.180]   let's say, peer to peer sharing of media and stuff
[00:13:14.180 --> 00:13:16.580]   and not classified as illegal.
[00:13:16.580 --> 00:13:17.420]   - So are they serving?
[00:13:17.420 --> 00:13:19.100]   - Well, there is nothing wrong with peer to peer sharing.
[00:13:19.100 --> 00:13:20.300]   - No, no, what's your sharing?
[00:13:20.300 --> 00:13:22.180]   - You know, exactly, with copyrighted material.
[00:13:22.180 --> 00:13:26.620]   It was, remember, they wrote it, it was about two months ago.
[00:13:26.620 --> 00:13:28.300]   They said that it was no one.
[00:13:28.300 --> 00:13:29.700]   - I'll see if I can look at the story.
[00:13:29.700 --> 00:13:30.540]   - Yeah, I'll tell.
[00:13:30.540 --> 00:13:31.700]   (laughing)
[00:13:31.700 --> 00:13:33.500]   - It's, well.
