
[00:00:00.000 --> 00:00:02.000]   It's time for Twit.
[00:03:10.040 --> 00:03:11.040]   That sounds smart.
[00:03:11.040 --> 00:03:12.040]   That's a good word for you.
[00:03:12.040 --> 00:03:13.040]   I would.
[00:03:13.040 --> 00:03:14.040]   Perugia is a medieval city.
[00:03:14.040 --> 00:03:17.400]   Isn't it the oldest university in Perugia?
[00:03:17.400 --> 00:03:18.400]   Medieval university?
[00:03:18.400 --> 00:03:19.760]   It's one of the oldest.
[00:03:19.760 --> 00:03:20.760]   It's certainly pretty old.
[00:03:20.760 --> 00:03:23.400]   I mean it was the capital of the Etruscan Empire.
[00:03:23.400 --> 00:03:25.200]   So that's pretty old.
[00:03:25.200 --> 00:03:27.960]   Well, you don't get better than that.
[00:03:27.960 --> 00:03:30.880]   Hey, I want to welcome Dan Gilmore back to the show.
[00:03:30.880 --> 00:03:34.040]   I think the last time Dan was on was many moons ago.
[00:03:34.040 --> 00:03:35.440]   It's great to have you.
[00:03:35.440 --> 00:03:37.080]   Dan was a...
[00:03:37.080 --> 00:03:41.000]   For a long time at the San Jose Mercury News he left to create citizen journalism.
[00:03:41.000 --> 00:03:46.280]   As we know it, he is a technology writer, director of the Knight Center for Digital Media
[00:03:46.280 --> 00:03:52.200]   Entrepreneurship at the Cronkite School of Journalism at ASU, and writes a regular
[00:03:52.200 --> 00:03:59.920]   column on the Guardian which I find increasingly I turn to because you really seem to do a
[00:03:59.920 --> 00:04:04.040]   very good job of boiling this stuff down.
[00:04:04.040 --> 00:04:05.040]   You're kind to say so.
[00:04:05.040 --> 00:04:06.040]   No.
[00:04:06.040 --> 00:04:08.520]   It's a lot of fun to be back in the journalism thing.
[00:04:08.520 --> 00:04:09.520]   Yeah.
[00:04:09.520 --> 00:04:13.360]   The journalism thing that we love so well.
[00:04:13.360 --> 00:04:16.320]   I was, by the way, I was over in Peruja as well.
[00:04:16.320 --> 00:04:17.320]   Oh, man.
[00:04:17.320 --> 00:04:19.280]   So we'll both put in a word for you.
[00:04:19.280 --> 00:04:21.680]   Was it wonderful?
[00:04:21.680 --> 00:04:22.960]   It's an amazing conference.
[00:04:22.960 --> 00:04:23.960]   Yeah.
[00:04:23.960 --> 00:04:24.960]   Absolutely amazing.
[00:04:24.960 --> 00:04:25.960]   Yeah.
[00:04:25.960 --> 00:04:28.040]   Yeah, that sounds like a good conference actually.
[00:04:28.040 --> 00:04:29.040]   It's incredible.
[00:04:29.040 --> 00:04:30.040]   Yeah.
[00:04:30.040 --> 00:04:31.720]   So let's talk.
[00:04:31.720 --> 00:04:32.920]   We can start off with the FCC.
[00:04:32.920 --> 00:04:36.600]   We've been talking about net neutrality now for a couple of weeks.
[00:04:36.600 --> 00:04:40.880]   These days the day that we will finally see whatever these proposed rules are.
[00:04:40.880 --> 00:04:49.840]   It was leaked to the Financial Times apparently who wrote a couple of weeks ago, "Oh my God,
[00:04:49.840 --> 00:04:51.160]   the end of the world is nigh.
[00:04:51.160 --> 00:05:00.040]   The FCC is going to allow carriers, broadband carriers to charge for access to their customers."
[00:05:00.040 --> 00:05:05.040]   In other words, charge edge providers like me, like Netflix.
[00:05:05.040 --> 00:05:06.520]   You're an edge provider?
[00:05:06.520 --> 00:05:09.480]   Anybody who provides content over the internet, you're an edge provider and you're an edge
[00:05:09.480 --> 00:05:12.400]   provider and you and you and you and you.
[00:05:12.400 --> 00:05:15.720]   And of course, the world went, "What?"
[00:05:15.720 --> 00:05:20.000]   And there's Alexis O'Haines raising money to put a billboard outside the FCC.
[00:05:20.000 --> 00:05:22.920]   I called Tom Wheeler a troll.
[00:05:22.920 --> 00:05:27.240]   I mean, it's just, but the truth is we haven't seen the rules, right, Dan?
[00:05:27.240 --> 00:05:29.560]   Or do we know what the rules are going to be?
[00:05:29.560 --> 00:05:32.200]   Well, we know pretty much what they're going to be.
[00:05:32.200 --> 00:05:40.560]   And it's a proposal, it's not official rules yet, but they're in the process of, if it
[00:05:40.560 --> 00:05:48.240]   happens the way Wheeler wants, then there will in fact be a slow lane and a fast lane
[00:05:48.240 --> 00:05:52.520]   on the internet and it would be pretty damaging.
[00:05:52.520 --> 00:05:56.280]   The rule, what's going to happen Wednesday is the commission as a whole will see these
[00:05:56.280 --> 00:06:02.040]   proposed rules for the first time, vote to open a period of public comment.
[00:06:02.040 --> 00:06:09.520]   I think it's a total of 90 days of public comment, 60 and 30, and then vote on the rules.
[00:06:09.520 --> 00:06:13.560]   This is in response and stop me, anybody, if I'm saying this wrong.
[00:06:13.560 --> 00:06:16.480]   I'm doing my best, but this is, A, it's technical.
[00:06:16.480 --> 00:06:21.000]   So you have to have some technical expertise and a lot of the commentators I've read who
[00:06:21.000 --> 00:06:25.240]   understand the politics of it don't understand the technology and vice versa.
[00:06:25.240 --> 00:06:30.160]   So you've got to understand the politics of it and the legal ramifications of it and
[00:06:30.160 --> 00:06:31.520]   the technology of it.
[00:06:31.520 --> 00:06:32.760]   But this is my understanding.
[00:06:32.760 --> 00:06:38.560]   The FCC proposed internet rules, Verizon challenged them in court and won.
[00:06:38.560 --> 00:06:44.400]   And the court, the court said is you don't have a mandate from Congress under the Telecommunications
[00:06:44.400 --> 00:06:48.520]   Act to tell internet service providers what to do.
[00:06:48.520 --> 00:06:54.080]   The court said, come back, they said we are, we reckon, in effect in the opinion, we recognize
[00:06:54.080 --> 00:06:58.640]   open internet, a free internet is important, but you just don't have the legal authority
[00:06:58.640 --> 00:06:59.640]   to do this.
[00:06:59.640 --> 00:07:01.520]   You don't have, you don't have jurisdiction.
[00:07:01.520 --> 00:07:04.240]   Come back and try again.
[00:07:04.240 --> 00:07:05.720]   And there are a couple of approaches.
[00:07:05.720 --> 00:07:09.920]   One, the FCC can rewrite the rules under the framework proposed under Title 3 of the
[00:07:09.920 --> 00:07:14.480]   Telecommunications Act, Section 706, or, and a lot of people are suggesting they should
[00:07:14.480 --> 00:07:20.920]   do this, they can use Title 2, they can declare the broadband providers a common carrier,
[00:07:20.920 --> 00:07:24.720]   like a telco, and say, hey, you're a common carrier, now we're in charge.
[00:07:24.720 --> 00:07:27.920]   We regularly, FCC regulates common carriers.
[00:07:27.920 --> 00:07:31.280]   We can say we didn't want the FCC or the government in wealth in the internet.
[00:07:31.280 --> 00:07:32.760]   But now all of a sudden we do.
[00:07:32.760 --> 00:07:37.760]   No, well, see, this is, and I agree, this is part of the conundrum of this is certainly
[00:07:37.760 --> 00:07:41.040]   government regulation, the internet is a, everybody agrees a bad idea.
[00:07:41.040 --> 00:07:42.040]   But it's going to happen.
[00:07:42.040 --> 00:07:44.200]   The way it is headed and the way you guys are.
[00:07:44.200 --> 00:07:46.480]   Well, I don't even know that actually promoting it.
[00:07:46.480 --> 00:07:51.760]   The government set up a situation in the United States that is pretty bad with a really strong
[00:07:51.760 --> 00:07:52.760]   lack of competition.
[00:07:52.760 --> 00:07:55.680]   They basically gave monopolies to cable companies.
[00:07:55.680 --> 00:07:59.480]   They created Duapolis in most areas where you have two possible providers, your phone
[00:07:59.480 --> 00:08:00.920]   and your cable company.
[00:08:00.920 --> 00:08:01.920]   There's not a lot of competition.
[00:08:01.920 --> 00:08:05.000]   The lack of competition means you can't go anywhere if you don't like what your cable
[00:08:05.000 --> 00:08:06.000]   is doing.
[00:08:06.000 --> 00:08:07.000]   Right, you're stuck.
[00:08:07.000 --> 00:08:09.840]   And the local governments can't do much about it because there's certain regulations
[00:08:09.840 --> 00:08:10.840]   that were put in place.
[00:08:10.840 --> 00:08:14.600]   Now we had a very good this week in law on Friday and I was listening very carefully
[00:08:14.600 --> 00:08:15.600]   to it.
[00:08:15.600 --> 00:08:16.840]   And a couple of things came up.
[00:08:16.840 --> 00:08:22.520]   First of all, some of the panelists on the show believed that Tom Wheeler was not the
[00:08:22.520 --> 00:08:28.200]   devil incarnate who knew, did not represent the interests of the cable companies and the
[00:08:28.200 --> 00:08:32.680]   wireless companies, both of which he's worked for in the past as a lobbyist.
[00:08:32.680 --> 00:08:37.160]   But in fact, was trying to do the best he could without going title two.
[00:08:37.160 --> 00:08:41.800]   And the panel felt that the title two rules were really draconian and start to regulate
[00:08:41.800 --> 00:08:46.440]   the internet like broadband providers like common carriers and it is a nightmare.
[00:08:46.440 --> 00:08:48.640]   In fact, that was AT&T's opinion.
[00:08:48.640 --> 00:08:52.480]   This week AT&T said, oh, no title two.
[00:08:52.480 --> 00:08:54.440]   That's going to kill the internet.
[00:08:54.440 --> 00:08:56.640]   Dan, maybe can you cut?
[00:08:56.640 --> 00:08:58.280]   Have I said anything wrong at this point?
[00:08:58.280 --> 00:09:00.520]   And can you cut through this a little bit?
[00:09:00.520 --> 00:09:09.200]   Well, I'm equally concerned about the idea of going to the common carrier rules without
[00:09:09.200 --> 00:09:12.360]   thinking through really carefully what that means.
[00:09:12.360 --> 00:09:16.160]   And it could all go wrong if they do that.
[00:09:16.160 --> 00:09:24.800]   However, as John pointed out himself, what we have now is effectively a duopoly or really
[00:09:24.800 --> 00:09:33.600]   a monopoly in the places where either Verizon has fiber or Comcast or the cable companies
[00:09:33.600 --> 00:09:35.400]   pretty much everywhere else.
[00:09:35.400 --> 00:09:38.800]   If you want to have even decent speed.
[00:09:38.800 --> 00:09:44.960]   And we've seen that these carriers simply are going to insist on the right to decide
[00:09:44.960 --> 00:09:50.360]   what bits get delivered, where, at what speed, whether they get there at all.
[00:09:50.360 --> 00:09:52.680]   And that's just not acceptable.
[00:09:52.680 --> 00:09:57.120]   It would common carrier notion means that they have to do their best.
[00:09:57.120 --> 00:10:05.920]   And you also pointed out, and this is right, that the lack of competition for what we laughingly
[00:10:05.920 --> 00:10:09.960]   call broadband in this country, which isn't really broadband.
[00:10:09.960 --> 00:10:16.320]   The lack of competition comes from the fact that the government starting with Congress
[00:10:16.320 --> 00:10:20.840]   basically gave these companies control.
[00:10:20.840 --> 00:10:25.000]   And here we are, what people have been predicting for more than a decade is starting to come
[00:10:25.000 --> 00:10:26.000]   true.
[00:10:26.000 --> 00:10:32.160]   And Title II is awful, but it's probably less awful than letting the cable companies run
[00:10:32.160 --> 00:10:36.160]   rush shot and the telecoms run rush shot.
[00:10:36.160 --> 00:10:42.600]   And keep in mind that with wireless, mobile, it's already over.
[00:10:42.600 --> 00:10:46.480]   No one's even contesting that they're going to control that stuff.
[00:10:46.480 --> 00:10:48.360]   So this is really close to being over.
[00:10:48.360 --> 00:10:51.240]   Well, actually, why don't people complain about that more?
[00:10:51.240 --> 00:10:56.160]   That the wireless thing, there's no equal bits, equal packets for everybody on wireless.
[00:10:56.160 --> 00:10:59.720]   Even Google is in bed with Verizon on this one.
[00:10:59.720 --> 00:11:03.680]   And they said, well, we understand that wireless has, and I think this is true, wireless is
[00:11:03.680 --> 00:11:06.960]   very difficult, different technical considerations.
[00:11:06.960 --> 00:11:11.560]   And wireless shouldn't have to be, at least at this point, neutral.
[00:11:11.560 --> 00:11:12.560]   It's not going back.
[00:11:12.560 --> 00:11:13.560]   It should be.
[00:11:13.560 --> 00:11:14.560]   You're not going backwards.
[00:11:14.560 --> 00:11:20.520]   I don't understand why we accept this for wireless either.
[00:11:20.520 --> 00:11:26.560]   Yes, they have different issues, but if it's a matter of capacity, then charge people on
[00:11:26.560 --> 00:11:31.160]   how much they use, but the people out at the edge of the network should be making the
[00:11:31.160 --> 00:11:34.000]   choices, not the people in the center.
[00:11:34.000 --> 00:11:39.320]   And inexorably, we're moving toward the people in the center deciding for us.
[00:11:39.320 --> 00:11:40.520]   Really, the real problem.
[00:11:40.520 --> 00:11:45.040]   In conjunction with their partners that are really big companies in other respects.
[00:11:45.040 --> 00:11:49.800]   No, but I don't want government involvement in the internet, but I also don't trust Comcast
[00:11:49.800 --> 00:11:51.800]   as far as I can throw them.
[00:11:51.800 --> 00:11:57.960]   And all of these companies, AT&T, Verizon, Comcast, their job, their mandate is to maximize profits.
[00:11:57.960 --> 00:11:59.760]   I love Comcast.
[00:11:59.760 --> 00:12:00.760]   They don't have.
[00:12:00.760 --> 00:12:01.760]   They don't know.
[00:12:01.760 --> 00:12:03.320]   I can't use it for podcasting.
[00:12:03.320 --> 00:12:04.320]   Why not?
[00:12:04.320 --> 00:12:05.320]   Because we have jitter.
[00:12:05.320 --> 00:12:06.320]   It's weird.
[00:12:06.320 --> 00:12:07.320]   Well, what a surprise.
[00:12:07.320 --> 00:12:12.720]   I mean, that's the other problem is that these companies are all in the television business.
[00:12:12.720 --> 00:12:14.760]   They're all, Comcast not only owns.
[00:12:14.760 --> 00:12:15.760]   They're NBC.
[00:12:15.760 --> 00:12:22.680]   It's also provides content, premium content over the wire, and they have telephony.
[00:12:22.680 --> 00:12:25.640]   So all of these companies are in direct competition with the free internet services.
[00:12:25.640 --> 00:12:27.480]   This is all monopoly stuff.
[00:12:27.480 --> 00:12:28.480]   It's a mess.
[00:12:28.480 --> 00:12:32.440]   But that's the real problem to me as far as I'm concerned.
[00:12:32.440 --> 00:12:38.080]   So there is a way out, but we're not going to get there with the current people in charge.
[00:12:38.080 --> 00:12:42.760]   The way out is to do what the what other countries have done in many cases.
[00:12:42.760 --> 00:12:49.320]   It was just to say to the people who have these monopolies or at most do-oppoles on
[00:12:49.320 --> 00:12:58.840]   the pipes say, okay, you have to lease capacity to competing ISPs at an imputed cost.
[00:12:58.840 --> 00:13:00.800]   It's roughly what you pay now.
[00:13:00.800 --> 00:13:04.720]   And that doesn't fix it instantly, but that's what we have to do or we're just not going
[00:13:04.720 --> 00:13:05.720]   to get there.
[00:13:05.720 --> 00:13:08.040]   I loved your article in the Guardian.
[00:13:08.040 --> 00:13:11.120]   The FCC is about to axe murder net neutrality.
[00:13:11.120 --> 00:13:14.520]   But your advice is don't get mad, get even and you suggest.
[00:13:14.520 --> 00:13:15.520]   And I think I agree.
[00:13:15.520 --> 00:13:16.520]   I think this-
[00:13:16.520 --> 00:13:17.520]   Can I guess what he says?
[00:13:17.520 --> 00:13:18.520]   I didn't read this.
[00:13:18.520 --> 00:13:19.520]   Yeah.
[00:13:19.520 --> 00:13:20.520]   How would you get even?
[00:13:20.520 --> 00:13:21.520]   Get off the internet now.
[00:13:21.520 --> 00:13:24.280]   And then, take your cable subscription though.
[00:13:24.280 --> 00:13:26.960]   He said, that's getting-
[00:13:26.960 --> 00:13:27.960]   Or I'll stop practical.
[00:13:27.960 --> 00:13:28.960]   Yes, it is.
[00:13:28.960 --> 00:13:29.960]   There's no reason for us.
[00:13:29.960 --> 00:13:30.960]   I'm signing off right now.
[00:13:30.960 --> 00:13:31.960]   No, we have no net.
[00:13:31.960 --> 00:13:32.960]   We can-
[00:13:32.960 --> 00:13:34.280]   You just put me out of business.
[00:13:34.280 --> 00:13:35.280]   Thank you very much.
[00:13:35.280 --> 00:13:36.580]   You're not out of business.
[00:13:36.580 --> 00:13:37.580]   Without the internet.
[00:13:37.580 --> 00:13:40.320]   Okay, you can find something else to do.
[00:13:40.320 --> 00:13:41.320]   You've got-
[00:13:41.320 --> 00:13:43.680]   You make most of your money from the radio show anyway that's indicated.
[00:13:43.680 --> 00:13:44.920]   You make a fortune on that thing.
[00:13:44.920 --> 00:13:45.920]   You can still do that.
[00:13:45.920 --> 00:13:47.760]   You're such a disturbing.
[00:13:47.760 --> 00:13:49.720]   I'm just saying.
[00:13:49.720 --> 00:13:53.600]   You recommend and I think this is a good solution.
[00:13:53.600 --> 00:13:57.280]   Community internet movement, I think that's a really good movement.
[00:13:57.280 --> 00:14:00.560]   If you don't like the internet, build your own.
[00:14:00.560 --> 00:14:03.120]   Community broadband networks own and operate it for the public.
[00:14:03.120 --> 00:14:06.120]   You say, waiting for Google fiber.
[00:14:06.120 --> 00:14:07.560]   You might as well wait to win the lottery.
[00:14:07.560 --> 00:14:10.160]   Google's not your daddy or your savior.
[00:14:10.160 --> 00:14:12.760]   You got that right.
[00:14:12.760 --> 00:14:15.760]   Yeah, and then call Congress.
[00:14:15.760 --> 00:14:21.720]   See, I talked to John Perry Barlow about this a couple of years ago.
[00:14:21.720 --> 00:14:24.600]   He's of course founder of the Electronic Frontier Foundation and on the board.
[00:14:24.600 --> 00:14:28.200]   He said even among the board members of the EFF were divided.
[00:14:28.200 --> 00:14:33.040]   Some of us understand that government regulation would be a terrible thing in any regard.
[00:14:33.040 --> 00:14:36.200]   Others say, well, but there's no other solution at this point.
[00:14:36.200 --> 00:14:37.200]   Matthew Ingram help us.
[00:14:37.200 --> 00:14:38.200]   Cut the Gordian knot.
[00:14:38.200 --> 00:14:39.200]   What do we do?
[00:14:39.200 --> 00:14:40.200]   It's your fault.
[00:14:40.200 --> 00:14:41.200]   Wow.
[00:14:41.200 --> 00:14:42.200]   Yeah, you're Canadian.
[00:14:42.200 --> 00:14:43.200]   He's Canadian.
[00:14:43.200 --> 00:14:44.200]   He doesn't care.
[00:14:44.200 --> 00:14:45.720]   You don't, you can say whatever you want.
[00:14:45.720 --> 00:14:46.720]   Hey, Canada.
[00:14:46.720 --> 00:14:48.720]   Stop it.
[00:14:48.720 --> 00:14:49.720]   I do.
[00:14:49.720 --> 00:14:57.280]   I do the only sort of rational argument that I've heard for why making the cable carriers,
[00:14:57.280 --> 00:14:59.400]   common carriers, wouldn't be a good idea.
[00:14:59.400 --> 00:15:03.680]   Came from Mark Andreessen, who I had a sort of back and forth with along with a bunch
[00:15:03.680 --> 00:15:08.880]   of other people on Twitter about when this first came up and when they lost the ability
[00:15:08.880 --> 00:15:09.880]   to regulate.
[00:15:09.880 --> 00:15:13.320]   Everyone is saying, well, make them common carriers.
[00:15:13.320 --> 00:15:19.880]   His argument was if we want to have the internet get faster and faster and faster and more
[00:15:19.880 --> 00:15:26.040]   and more bandwidth so we can do virtual reality or so we can do telepresence and we can do
[00:15:26.040 --> 00:15:31.720]   all these amazing things, education and so on over the internet, then we need investment
[00:15:31.720 --> 00:15:33.160]   in the infrastructure.
[00:15:33.160 --> 00:15:39.920]   And his point was if we make cable companies, common carriers, they lose the incentive to
[00:15:39.920 --> 00:15:44.640]   invest or over invest in the kind of infrastructure that we need.
[00:15:44.640 --> 00:15:50.040]   I know I'm not saying I believe him, but that was the sort of nub of his argument that,
[00:15:50.040 --> 00:15:53.920]   and he didn't really know how to prevent them from doing the things we want to prevent
[00:15:53.920 --> 00:15:55.360]   them from doing either.
[00:15:55.360 --> 00:16:01.760]   But his point was if you just legislate that they are common carriers, they will presumably
[00:16:01.760 --> 00:16:05.200]   lose the incentive to invest as much as they have.
[00:16:05.200 --> 00:16:07.040]   This is why it's so damn complicated.
[00:16:07.040 --> 00:16:11.040]   I don't know if there's a golden or silver bullet on this.
[00:16:11.040 --> 00:16:13.440]   I really don't.
[00:16:13.440 --> 00:16:19.360]   The more I learn, the more in transit, intractable it seems, frankly.
[00:16:19.360 --> 00:16:26.680]   Well, you know, if this country had common sense, which I'm afraid we don't anymore,
[00:16:26.680 --> 00:16:32.880]   we would look at this the way we looked at the interstate highway system in the 1950s,
[00:16:32.880 --> 00:16:39.200]   a public works project that is essential, that we the taxpayers should pay for.
[00:16:39.200 --> 00:16:42.520]   We should put dark fiber everywhere, essentially, as taxpayers.
[00:16:42.520 --> 00:16:47.080]   We should put it there and then light private industry light it up.
[00:16:47.080 --> 00:16:49.400]   Again, I don't see us doing it.
[00:16:49.400 --> 00:16:55.120]   I think there's been a conscious decision made by the government to get in bed with the telecoms
[00:16:55.120 --> 00:16:59.040]   and to control our communications.
[00:16:59.040 --> 00:17:02.160]   And I don't think that's not conspiracy, it's just reality.
[00:17:02.160 --> 00:17:03.160]   Yeah.
[00:17:03.160 --> 00:17:04.160]   I think there is a lot.
[00:17:04.160 --> 00:17:07.520]   Another thing that Mark and others have mentioned is that there's a lot the FCC and
[00:17:07.520 --> 00:17:13.680]   the government could do in terms of helping regions or towns or cities, you know, provide
[00:17:13.680 --> 00:17:16.000]   their own high speed access.
[00:17:16.000 --> 00:17:20.720]   And some of that is freeing up on license spectrum, you know, forcing carriers to give
[00:17:20.720 --> 00:17:22.640]   up spectrum they're not using.
[00:17:22.640 --> 00:17:27.760]   So that then you can, you know, those different like smaller areas can create their own effectively
[00:17:27.760 --> 00:17:32.280]   Google fiber or their own ISP and provide some competition.
[00:17:32.280 --> 00:17:37.080]   Great post on the level three's blog, Observations of an Internet Middleman.
[00:17:37.080 --> 00:17:43.440]   This is Mark Taylor writing and he really kind of lets you know that these big broadband
[00:17:43.440 --> 00:17:46.960]   providers are not looking out for our best interest.
[00:17:46.960 --> 00:17:54.280]   Level three is kind of an Internet middleman, they own backbones, they make deals with other
[00:17:54.280 --> 00:17:57.400]   networks to provide access to the Internet.
[00:17:57.400 --> 00:18:00.800]   Most of these deals are peering what we call peering relationships.
[00:18:00.800 --> 00:18:04.400]   Mutual agreements that have gone on since the beginning of the Internet often handshake
[00:18:04.400 --> 00:18:08.040]   deals between engineers saying, hey, we'll direct connect to you if you'll direct connect
[00:18:08.040 --> 00:18:09.720]   us.
[00:18:09.720 --> 00:18:11.800]   Sometimes those relationships are asymmetric.
[00:18:11.800 --> 00:18:15.200]   One user sends more data over the network than the others in those cases.
[00:18:15.200 --> 00:18:18.760]   Maybe there's payment and so forth.
[00:18:18.760 --> 00:18:24.720]   But he says typically in these agreements, the way it works is everybody's responsible
[00:18:24.720 --> 00:18:27.480]   for fixing congestion.
[00:18:27.480 --> 00:18:31.080]   If all of a sudden the way people use the Internet changes and there's a lot of congestion on
[00:18:31.080 --> 00:18:36.160]   a particular route or router, they beef it up.
[00:18:36.160 --> 00:18:37.560]   That's normal.
[00:18:37.560 --> 00:18:42.520]   So he mentions that level three and by the way, these are real numbers and that's one
[00:18:42.520 --> 00:18:47.680]   of the nice things about this is that this is somebody who's right there in the middle.
[00:18:47.680 --> 00:18:50.720]   Level three has 51 peers like that.
[00:18:50.720 --> 00:18:58.040]   They are interconnected in 45 cities, 1,360 10 gigabit ethernet ports.
[00:18:58.040 --> 00:19:04.880]   That's capacity of 13.6 gigabits, 13.6 thousand gigabits per second.
[00:19:04.880 --> 00:19:05.880]   13 terabytes.
[00:19:05.880 --> 00:19:09.800]   13 terabytes per second per second.
[00:19:09.800 --> 00:19:14.680]   And the average number of interconnection cities per peer is five.
[00:19:14.680 --> 00:19:23.400]   So he shows a normal situation where this is 100 gigabit port in Washington, DC, a peer
[00:19:23.400 --> 00:19:27.000]   connection without congestion.
[00:19:27.000 --> 00:19:28.680]   That's the bottom graph here.
[00:19:28.680 --> 00:19:32.560]   And you see these spikes of usage, but there's no congestion.
[00:19:32.560 --> 00:19:33.560]   All the packets get through.
[00:19:33.560 --> 00:19:37.640]   In fact, the bottom right graph shows zero packet loss.
[00:19:37.640 --> 00:19:39.320]   Look at the top line.
[00:19:39.320 --> 00:19:46.240]   This is a connection with one of the five major broadband providers in this country.
[00:19:46.240 --> 00:19:47.240]   It is congested.
[00:19:47.240 --> 00:19:53.040]   So you see that the top, the peaks of the graph are cut off and you see the packet loss significant.
[00:19:53.040 --> 00:19:59.160]   I mean, at the point where the port is so congested that it is unusable.
