
[00:00:00.000 --> 00:00:07.000]   This is Twit, this week in Tech, episode 35 for December 18, 2005.
[00:06:09.000 --> 00:06:17.000]   There is, actually, I know people have been arrested, charged, even convicted for some, and the crime is using a laser to annoy people is actually a crime.
[00:06:17.000 --> 00:06:21.000]   But if you're using it for fun, they enjoy it and you're not really trying to scare them.
[00:06:21.000 --> 00:06:24.000]   Using it to scare them is the crime.
[00:06:24.000 --> 00:06:30.000]   Well, and as a cat toy, a little, no, a laser pointer is such an amazing cat toy.
[00:06:30.000 --> 00:06:34.000]   They just go chasing themselves all over the place. This is wonderful.
[00:06:34.000 --> 00:06:41.000]   These bright green lasers get people to pull over so fast, but then when they see a little Prius slide go by, they're probably pissed.
[00:06:41.000 --> 00:06:43.000]   One guy shined his brakes on you.
[00:06:43.000 --> 00:06:46.000]   You have a coming after with a gun if you keep this up.
[00:06:46.000 --> 00:06:49.000]   One guy shined his brakes on me.
[00:06:49.000 --> 00:06:55.000]   Really? Now, do you use a green instead of a red because you don't want people to think you're targeting them with your laser sights?
[00:06:55.000 --> 00:07:02.000]   I carry green, red, and blue. And the blue is my most valuable gadget because you can't buy it and you can't, they aren't made. They aren't really sold.
[00:07:02.000 --> 00:07:04.000]   Doing a blue laser is tough, huh?
[00:07:04.000 --> 00:07:12.000]   Yeah, blue handheld laser. There is a solid state interior that lasers blue. It's very expensive and it's not made into laser pointers, but I got the company to build me one.
[00:07:12.000 --> 00:07:13.000]   Wow, very cool.
[00:07:13.000 --> 00:07:15.000]   There you go, the benefit of celebrity.
[00:07:15.000 --> 00:07:22.000]   Yes, and when you take the green laser and the red laser and the blue laser and you shine them on a bald head and have them all go in circles and it takes about three people.
[00:07:22.000 --> 00:07:27.000]   Because one person can't hold two lasers and do them very effectively. It is so funny to see those three colors.
[00:07:27.000 --> 00:07:34.000]   If you could do it fast enough, you could do a TV show. Have you done any laser hacking Kevin Rose? Is this the sound that someone's hearing to?
[00:07:34.000 --> 00:07:41.000]   No, it's just one of those things where I bought one of lasers. I thought it would be fun to do the exact same thing, but in Las Vegas they take it a little more seriously.
[00:07:41.000 --> 00:07:53.000]   I used to live and learn. Yeah, friend of mine got arrested recently for that. Her daughter had shined a laser on some kind of daughter cleaned up on the roof when the cops came and she said the daughter wasn't home.
[00:07:53.000 --> 00:07:56.000]   Oh my goodness, I'm sorry I brought up the question now.
[00:07:56.000 --> 00:07:58.000]   No, I'm enjoying this. This is great.
[00:07:58.000 --> 00:08:04.000]   Alright, I suppose we should get to some tech news. Before we do that, I just want to mention a couple of things.
[00:08:04.000 --> 00:08:15.000]   First of all, Waz, he's going on another Macmania cruise and I know Captain Neil would be really upset if I didn't mention that we're going to Mexico on Macmania 4, February 4th through 11th. You're still on for that, right, Waz?
[00:08:15.000 --> 00:08:25.000]   I am on for that. I'm excited for that. And right after that, I'm heading over to New Zealand for the... I'm representing the United States of America in the very first international Segway Polo match.
[00:08:25.000 --> 00:08:28.000]   Oh man. I thought you invited the Chinese?
[00:08:28.000 --> 00:08:30.000]   I thought you invented Segway Polo.
[00:08:30.000 --> 00:08:35.000]   We did. Our group did. We didn't quite invent it because a lot of people were talking about it.
[00:08:35.000 --> 00:08:40.000]   But we were the first ones that started playing it and we played it for a year and a half and we've got the long-term reputation.
[00:08:40.000 --> 00:08:48.000]   So most of the Segway Polo groups in the world use our rules and we're inviting the Chinese and the Australians and hope that that turns out great.
[00:08:48.000 --> 00:08:55.000]   Too fun. Isn't that great? Waz has a number of Segways and they play... You play in Mountain View? I forgot where you play, but on the peninsula.
[00:08:55.000 --> 00:09:01.000]   So, you play in Sunnyvale and Oakland and I wanted to bring the Segways on the cruise and was told it was going to be too inconvenient.
[00:09:01.000 --> 00:09:04.000]   Oh, you can't? No.
[00:09:04.000 --> 00:09:09.000]   Are there after factory mods to the Segway to do cool things?
[00:09:09.000 --> 00:09:10.000]   Like Polo?
[00:09:10.000 --> 00:09:13.000]   Well, there are. One of the things is to take off any speed governors, for example.
[00:09:13.000 --> 00:09:20.000]   The key tells you how fast it goes and I went on the online and forgot the codes for the speed and the codes for the CRC and figured out all the algorithms.
[00:09:20.000 --> 00:09:26.000]   And then I programmed a little processor to re-burn the keys with different speed codes, but I'm so good a person.
[00:09:26.000 --> 00:09:29.000]   I only programmed for slower codes.
[00:09:29.000 --> 00:09:30.000]   Oh.
[00:09:30.000 --> 00:09:35.000]   But to have people ask me, how fast have you taken it? Because the legal limit is 12 and a half miles an hour and I always tell them the truth.
[00:09:35.000 --> 00:09:38.000]   I've taken mine 60 miles an hour without a helmet.
[00:09:38.000 --> 00:09:39.000]   Oh my God, you're crazy.
[00:09:39.000 --> 00:09:40.000]   Without a helmet?
[00:09:40.000 --> 00:09:41.000]   Any backup?
[00:09:41.000 --> 00:09:42.000]   Oh, that fast?
[00:09:42.000 --> 00:09:44.000]   Oh, no, it's in the back of his Hummer.
[00:09:44.000 --> 00:09:45.000]   Oh.
[00:09:45.000 --> 00:09:48.000]   How fast will the Segway go if you took off all the governors?
[00:09:48.000 --> 00:09:53.000]   They have extra governing down in the base that I haven't gone to and tried to reverse engineer.
[00:09:53.000 --> 00:09:58.000]   That would be a big job and that one is going to be, so it's 12 and a half as fast as I've really gone.
[00:09:58.000 --> 00:10:04.000]   Well, a plug for the Geek Cruise, GeekCruises.com was and I and David Pogue and a lot of other people beyond that.
[00:10:04.000 --> 00:10:05.000]   And that should be a lot of fun.
[00:10:05.000 --> 00:10:11.000]   And if Apple goes ahead with its Intel Max, maybe that's all we'll be talking about because it'll be a month after the Mac world expo.
[00:10:11.000 --> 00:10:13.000]   So there might be a lot to talk about.
[00:10:13.000 --> 00:10:15.000]   And that should be a lot of fun. Guess what just happened?
[00:10:15.000 --> 00:10:16.000]   What?
[00:10:16.000 --> 00:10:20.000]   My nerd meter went to 10. I've never seen that before.
[00:10:20.000 --> 00:10:21.000]   Believe it.
[00:10:21.000 --> 00:10:25.000]   John hates it when we get all nerdy and stuff like that.
[00:10:25.000 --> 00:10:28.000]   We'll talk about the tech news right now.
[00:10:28.000 --> 00:10:31.000]   AOL, and this is kind of an interesting story.
[00:10:31.000 --> 00:10:38.000]   AOL about two weeks ago said, "We're going to dump Google search for MSN search.
[00:10:38.000 --> 00:10:45.000]   Google, it turns out, makes made $400 million this year alone on the AOL links to Google.
[00:10:45.000 --> 00:10:51.000]   That's a valuable commodity." So they went to AOL and said, "No, no, you can't do that."
[00:10:51.000 --> 00:10:55.000]   They offered them a billion dollars, took a 5% stake in America online.
[00:10:55.000 --> 00:10:57.000]   Google now is a 5% owner of AOL.
[00:10:57.000 --> 00:11:01.000]   And this is where I get a little hanky about the whole thing.
[00:11:01.000 --> 00:11:05.000]   They also are giving AOL pride of place in their ads.
[00:11:05.000 --> 00:11:08.000]   They're going to, you know, I'm worried that a little bit of a sellout.
[00:11:08.000 --> 00:11:14.000]   Do you think that Google might now be a little bit more interested in promoting AOL links?
[00:11:14.000 --> 00:11:16.000]   Guess not.
[00:11:16.000 --> 00:11:17.000]   Hello.
[00:11:17.000 --> 00:11:25.000]   I've been trying to figure this story out, and I haven't really come to any conclusions like that.
[00:11:25.000 --> 00:11:32.000]   I mean, there's, you know, for one thing, you know, getting a piece of AOL and people switching
[00:11:32.000 --> 00:11:37.000]   from one search engine to another and all this kind of, it seems like a lot of politics here,
[00:11:37.000 --> 00:11:41.000]   you know, and the fact of the matter is if you're going to be using a search engine
[00:11:41.000 --> 00:11:45.000]   in your, unless somebody has a better search engine, I don't know why you'd swap out of Google.
[00:11:45.000 --> 00:11:51.000]   Well, tell you why you'd leave Google if all of a sudden Google's results were tainted by partnerships they'd made.
[00:11:51.000 --> 00:11:52.000]   I don't think it's going to happen.
[00:11:52.000 --> 00:11:53.000]   They wouldn't do that.
[00:11:53.000 --> 00:11:55.000]   I actually think it makes sense.
[00:11:55.000 --> 00:11:56.000]   How so?
[00:11:56.000 --> 00:12:03.000]   I think that AOL's new entries into like the multimedia content of the world, entertainment content,
[00:12:03.000 --> 00:12:04.000]   a lot into music.
[00:12:04.000 --> 00:12:08.000]   They did the live 8 and all that, making a big push in that direction.
[00:12:08.000 --> 00:12:11.000]   And that's sort of an expansion area that makes a lot of sense for Google.
[00:12:11.000 --> 00:12:16.000]   Do you think AOL's reputation is starting to be buffed up a little bit by this relationship
[00:12:16.000 --> 00:12:18.000]   with Google doing things like Live 8.
[00:12:18.000 --> 00:12:23.000]   They're no longer seen as kind of the newbie internet service, but really more of a big player in content?
[00:12:23.000 --> 00:12:26.000]   I think it's going to be a slow switch that way.
[00:12:26.000 --> 00:12:27.000]   Well, also...
[00:12:27.000 --> 00:12:28.000]   We'll really have an opinion about AOL.
[00:12:28.000 --> 00:12:30.000]   Well, how's AOL Radio doing?
[00:12:30.000 --> 00:12:31.000]   I think it's doing very well.
[00:12:31.000 --> 00:12:36.000]   They say they have 10 million uniques, of course, we're part of AOL Radio, and we should just claim that right up front.
[00:12:36.000 --> 00:12:40.000]   They broadcast this show on their podcast channel and give us bandwidth and return.
[00:12:40.000 --> 00:12:42.000]   No money, but bandwidth.
[00:12:42.000 --> 00:12:48.000]   You might also wonder what Microsoft was offering AOL to carry MSN in lieu or in favor of Google,
[00:12:48.000 --> 00:12:56.000]   because we know that Microsoft's got a big concern for the growth of Google and what's happening in the future.
[00:12:56.000 --> 00:13:00.000]   So, you know, Gates may have been offering AOL something really substantial.
[00:13:00.000 --> 00:13:07.000]   Washington Post says they were offering hundreds of millions of dollars, but, you know, certainly Microsoft could have given them a billion.
[00:13:07.000 --> 00:13:08.000]   I mean, why not?
[00:13:08.000 --> 00:13:14.000]   Does anybody else but me find it pathetic that Microsoft has to pay people off for them to use a search engine?
[00:13:14.000 --> 00:13:22.000]   Well, I think really it was an AOL's party must have been a bluff, because certainly they couldn't have wanted to shift from Google to MSN search.
[00:13:22.000 --> 00:13:24.000]   Their users wouldn't have been happy about that.
[00:13:24.000 --> 00:13:26.000]   I think it was a bluff, you know.
[00:13:26.000 --> 00:13:33.000]   They're really getting out of that whole walled garden thing, and so they're making their move into, like, they need this money.
[00:13:33.000 --> 00:13:39.000]   They're going to get all this free ad dollars to promote all of their new sites that are going to be launching over the next year.
[00:13:39.000 --> 00:13:41.000]   So, it just makes sense for AOL.
[00:13:41.000 --> 00:13:42.000]   Yep.
[00:13:42.000 --> 00:13:44.000]   And to have prime placement on Google now as a result.
[00:13:44.000 --> 00:13:45.000]   I mean, that's super valuable.
[00:13:45.000 --> 00:13:47.000]   Oh, I think it's a very good deal for AOL.
[00:13:47.000 --> 00:13:48.000]   It'll be hard to...
[00:13:48.000 --> 00:13:49.000]   What could Microsoft...
[00:13:49.000 --> 00:13:54.000]   I mean, obviously Microsoft could offer more money, but what else could they offer compared to what Google's given them?
[00:13:54.000 --> 00:13:55.000]   I think it's just a good deal for AOL.
[00:13:55.000 --> 00:13:56.000]   Yep.
[00:13:56.000 --> 00:14:00.000]   You know, maybe Microsoft should spend most of its time and money improving its search engine.
[00:14:00.000 --> 00:14:03.000]   Does anybody think that's a possibility? It's like a really good idea.
[00:14:03.000 --> 00:14:05.000]   I think they're doing a lot of R&D on the search.
[00:14:05.000 --> 00:14:08.000]   I mean, I've seen a lot of stories saying MSN targets Google and...
[00:14:08.000 --> 00:14:13.000]   Dad, there's a lot of talkin', you know, and I see a lot of talk, but I don't see much action.
[00:14:13.000 --> 00:14:20.000]   And I'll tell you why I say that is because I really monitor the vorac.org/blog to an extreme.
[00:14:20.000 --> 00:14:24.000]   And I see those robots when they come through, and I count them up, and I look at robots coming through,
[00:14:24.000 --> 00:14:29.000]   and by far Google hits the site, and the other sites that I monitor,
[00:14:29.000 --> 00:14:34.000]   by a factor of 10 over MSN, and then the second place is Yahoo! Not even MSN.
[00:14:34.000 --> 00:14:38.000]   I don't even know what Yahoo's doing, but they come by about 1/3 as much.
[00:14:38.000 --> 00:14:43.000]   I think that's fair. I think it's Google number one, Yahoo number two, and everybody else far behind.
[00:14:43.000 --> 00:14:48.000]   Well, and Microsoft likes to buy things that they can't create, or they're very slow to create things.
[00:14:48.000 --> 00:14:52.000]   So it makes sense that they would throw money, which is what they have,
[00:14:52.000 --> 00:14:56.000]   to compensate for what they don't have, which is a really contemporary search.
[00:14:56.000 --> 00:14:59.000]   They may in 10 years, but there's no way to cheat that.
[00:14:59.000 --> 00:15:03.000]   I mean, there's no way to fake having a good search the way they are able to fake having good anything else.
[00:15:03.000 --> 00:15:08.000]   Well, there may not be a way to cheat it, but they could at least put their bots out there, or increase the number of 'em.
[00:15:08.000 --> 00:15:10.000]   I mean, they could do that.
[00:15:10.000 --> 00:15:12.000]   Well, I think they're doing some really interesting stuff.
[00:15:12.000 --> 00:15:17.000]   If you go to sandbox.msn.com, they have their search results clustering stuff, their new start.com,
[00:15:17.000 --> 00:15:21.000]   which is like the Google IG killer, and there's a few different things on their little tools
[00:15:21.000 --> 00:15:23.000]   that they've been starting to slowly roll out.
[00:15:23.000 --> 00:15:29.000]   Have you played with the live.com? Microsoft's new start page is kind of like the start.com.
[00:15:29.000 --> 00:15:30.000]   What do you think?
[00:15:30.000 --> 00:15:32.000]   I played with live maps.
[00:15:32.000 --> 00:15:36.000]   Yeah, I think there's some interesting stuff, but it all feels like it's following on.
[00:15:36.000 --> 00:15:40.000]   It doesn't feel like it's innovative. It feels like, well, let's do something like Google.
[00:15:40.000 --> 00:15:44.000]   It's like 1999 portals all over again, just now you can move the content around.
[00:15:44.000 --> 00:15:46.000]   Yeah, it's with Ajax.
[00:15:46.000 --> 00:15:47.000]   Yeah.
[00:15:47.000 --> 00:15:51.000]   Well, here's an interesting question. Do you use Google or do you use Yahoo?
[00:15:51.000 --> 00:15:53.000]   Does anybody move to Yahoo?
[00:15:53.000 --> 00:15:56.000]   Why would you move to Yahoo? You'd move from Yahoo?
[00:15:56.000 --> 00:15:58.000]   Some people are saying Yahoo's doing a better job.
[00:15:58.000 --> 00:16:00.000]   In fact, we were talking about that the other day.
[00:16:00.000 --> 00:16:03.000]   You got to put dark glasses on to go to Yahoo's page.
[00:16:03.000 --> 00:16:07.000]   I mean, it just jumps. You can't find anything. It's just a disaster.
[00:16:07.000 --> 00:16:13.000]   But I do know from, actually from a friend of mine who's spoken to Google engineers that they believe
[00:16:13.000 --> 00:16:17.000]   Yahoo produces better results than their own search.
[00:16:17.000 --> 00:16:22.000]   So what you need is something that scrapes Yahoo's search and gives you the results in a clean page.
[00:16:22.000 --> 00:16:24.000]   What do you use, Woz?
[00:16:24.000 --> 00:16:25.000]   Google.
[00:16:25.000 --> 00:16:26.000]   Yeah.
[00:16:26.000 --> 00:16:27.000]   Yeah. It's just so clean.
[00:16:27.000 --> 00:16:29.000]   It's real straightforward. I got it.
[00:16:29.000 --> 00:16:30.000]   He uses a laser.
[00:16:30.000 --> 00:16:32.000]   [laughter]
[00:16:32.000 --> 00:16:35.000]   Have you seen the new, has anybody tried the new Yahoo mail beta?
[00:16:35.000 --> 00:16:37.000]   It looks really cool.
[00:16:37.000 --> 00:16:38.000]   Isn't it slick?
[00:16:38.000 --> 00:16:39.000]   Yeah.
[00:16:39.000 --> 00:16:42.000]   Yahoo bought Oddpost about a year ago, which it was sad to me because Oddpost was the coolest
[00:16:42.000 --> 00:16:50.000]   internet mail. They were really duplicating Microsoft Outlook's user interface using very slick DHTML and CSS.
[00:16:50.000 --> 00:16:54.000]   Finally, Yahoo has come out with the new interface.
[00:16:54.000 --> 00:16:59.000]   I think if anybody was a Yahoo mail account, should be able to sign up for it, even a free account.
[00:16:59.000 --> 00:17:01.000]   I've been playing with it. It's great.
[00:17:01.000 --> 00:17:03.000]   Is it a little slow for you to load?
[00:17:03.000 --> 00:17:06.000]   I only played for it with it once, so I haven't gone back in.
[00:17:06.000 --> 00:17:09.000]   When you're doing all that Ajax stuff, you've got to preload a lot of stuff.
[00:17:09.000 --> 00:17:12.000]   Well, talking about Ajax, has anybody looked at Protopage?
[00:17:12.000 --> 00:17:14.000]   Yeah. Isn't that cool?
[00:17:14.000 --> 00:17:18.000]   Well, I don't know if it's cool or not. I've been looking at it. It looks like it should be cool.
[00:17:18.000 --> 00:17:23.000]   It is cool. In fact, it's a nice tie, and we're going to interview the founder and creator Protopage.
[00:17:23.000 --> 00:17:28.000]   It's just a two-person company on inside the net on Tuesday, so you can hear the interview with Andre.
[00:17:28.000 --> 00:17:34.000]   Protopage.com. I mean, this is like the ultimate Ajax. You've played with it. Yes, Kevin?
[00:17:34.000 --> 00:17:36.000]   Yeah, I played around with it a little bit.
[00:17:36.000 --> 00:17:42.000]   The idea is you could use it as a way of creating your own homepage or sharing it with other people.
[00:17:42.000 --> 00:17:49.000]   There are people who use it. There's a husband and wife, Andre, who used it to pass notes to each other, like shopping lists and things like that.
[00:17:49.000 --> 00:17:56.000]   You can also put RSS feeds in it and your own backgrounds. It's pretty cool.
[00:17:56.000 --> 00:17:59.000]   Does anybody remember desktop.com from Wayback?
[00:17:59.000 --> 00:18:01.000]   I vaguely do.
[00:18:01.000 --> 00:18:06.000]   It was just like this, just like Protopage, but it was way back before the Ajax Times.
[00:18:06.000 --> 00:18:11.000]   Well, you know, what is Ajax besides DHTML, which Microsoft was promoting six years ago?
[00:18:11.000 --> 00:18:13.000]   I mean, isn't it just DHTML?
[00:18:13.000 --> 00:18:18.000]   Well, it's like asynchronous JavaScript. It's an easy way to pull live content without having to refresh the page.
[00:18:18.000 --> 00:18:24.000]   That's what DHTML was. The idea was there's content that you can open up as a window without rebuilding the page.
[00:18:24.000 --> 00:18:27.000]   I mean, I don't think it's... Unless there's something I'm missing.
[00:18:27.000 --> 00:18:30.000]   I don't see that it's anything new. It's just they gave it a name.
[00:18:30.000 --> 00:18:32.000]   I made it sexy and it's not Microsoft.
[00:18:32.000 --> 00:18:34.000]   And all the browsers now support it, so it's...
[00:18:34.000 --> 00:18:35.000]   Well, that's true.
[00:18:35.000 --> 00:18:36.000]   Yeah.
[00:18:36.000 --> 00:18:40.000]   That was the big problem with DHTML. It was Internet Explorer only, really.
[00:18:40.000 --> 00:18:49.000]   You know, during the era when Bill was first getting busted by the government, I ran into him and chatted with him about that a little bit.
[00:18:49.000 --> 00:18:53.000]   But he brought up this DHTML thing.
[00:18:53.000 --> 00:18:56.000]   Yeah, about '97 or '98. This was Microsoft's voice.
[00:18:56.000 --> 00:19:00.000]   It was like a big deal. He made the comment. I was kind of baffled by it.
[00:19:00.000 --> 00:19:04.000]   He says, "Yeah, I think this is the future of the Internet. Blah, blah, blah."
[00:19:04.000 --> 00:19:09.000]   I'm thinking... I think he's thinking about XML and he just got mixed up, although Bill's not the type to do that.
[00:19:09.000 --> 00:19:13.000]   He usually doesn't, you know, just start talking about one thing while really meeting another.
[00:19:13.000 --> 00:19:22.000]   And to this day, I've been kind of baffled by it because the trend really has been toward XML in regards to the net, generally speaking,
[00:19:22.000 --> 00:19:26.000]   not necessarily in terms of this kind of thing where you're moving stuff around.
[00:19:26.000 --> 00:19:32.000]   And the whole DHTML thing just kind of died on the vine, I thought. Does anybody see it differently?
[00:19:32.000 --> 00:19:40.000]   That's kind of what you're seeing here. You're seeing a combination of JavaScript, Cascading Style Sheets, HTML 2, and there is XML in it as well.
