
[00:00:00.000 --> 00:00:07.600]   This is Twit this week in tech episode 9 recorded Sunday June 12th delivered Sunday June 19th
[00:10:42.700 --> 00:10:49.060]   Yeah, but actually it's pretty cool server elements.com as a website and there's you can get downloads
[00:10:49.060 --> 00:10:53.540]   On fresh meat that and it essentially just turns a box into a network
[00:10:53.540 --> 00:10:57.100]   Network attached storage box. I'm gonna try that and see if it works
[00:10:57.140 --> 00:10:59.220]   But it's really cool. So they've got a version of it
[00:10:59.220 --> 00:11:04.900]   They've got a they've actually have a version of it that'll do large disk support on older systems. That's cool
[00:11:04.900 --> 00:11:11.380]   I am I have I foolishly went out and bought the Iogear boss, which is you know network attached storage slash
[00:11:11.380 --> 00:11:13.260]   router
[00:11:13.260 --> 00:11:19.700]   Oh, what a piece of I can't believe you bought one of those. I am such a moron by anything that says boss on it
[00:11:19.700 --> 00:11:20.780]   Yeah, well boy
[00:11:20.780 --> 00:11:27.100]   I tell you we should we should actually have a round of applause for being honest and and open enough to admit that you actually
[00:11:27.100 --> 00:11:29.100]   bought one of those
[00:11:29.100 --> 00:11:35.100]   Mean you knew it was a bad idea. I should have asked you first. I didn't know I yes
[00:11:35.100 --> 00:11:40.960]   You should have asked me it seemed like a good idea because I mean I am using it as storage
[00:11:40.960 --> 00:11:44.920]   There's a I'll tell you the flaws though. I'll tell you what's wrong with it first of all see here's what I thought look
[00:11:44.920 --> 00:11:50.820]   It's got built-in VPN built in FTP built-in web server. It's a 200 gigabyte hard drive 300 bucks
[00:11:50.820 --> 00:11:56.580]   And I have in its firewall. It's a firewall. It's a router. So here's what's wrong with it
[00:11:56.580 --> 00:12:01.860]   Mmm crappy router. It has very few port forwarding capabilities really limited kind of stuff
[00:12:01.860 --> 00:12:04.260]   It doesn't stealth it only stealths two ports
[00:12:04.260 --> 00:12:10.140]   It's delts the bios net that that bios ports, but it leaves all the other ports are closed, but they're visible
[00:12:10.140 --> 00:12:13.060]   So it's like it's saying shoot me come on get me come on and then
[00:12:13.060 --> 00:12:17.940]   It's got a couple of just like really gross flaws for instance if the power goes off
[00:12:17.940 --> 00:12:21.980]   It stays off the thing doesn't come back on so your whole your whole network storage
[00:12:22.980 --> 00:12:29.340]   Is down right it doesn't and your routers down right and you don't know what's what happened to my network because the power was
[00:12:29.340 --> 00:12:31.340]   All were you accidentally turned it off or whatever?
[00:12:31.340 --> 00:12:36.460]   It it's I mean it's just it goes on and on and on it's it's just goofy
[00:12:36.460 --> 00:12:39.660]   But I am using it as network attached storage and I've backed up all my
[00:12:39.660 --> 00:12:44.100]   Photos to it and all my music to it and I mean it works for that. It's fine for that
[00:12:44.100 --> 00:12:46.340]   And so that's you know, it's it's a centralized backup
[00:12:46.340 --> 00:12:51.580]   I plug every piece of a sensitive equipment I have into an interrupted power supply including my network here
[00:12:51.580 --> 00:12:54.260]   Yeah, even if the power goes off for like 15 to 20 minutes
[00:12:54.260 --> 00:12:57.380]   I can still sit there and you know finish up what I was doing without worry
[00:12:57.380 --> 00:13:02.380]   Yeah, but it's it should but true if it totally drains at least my router comes back on and everything just resets
[00:13:02.380 --> 00:13:07.300]   Right the worst thing I have to worry about is maybe getting a different IP address and extend around a router
[00:13:07.300 --> 00:13:12.500]   Shouldn't you know go away and not come back when the power comes back. This doesn't make sense anyway
[00:13:12.500 --> 00:13:16.180]   It's it's disappointing. It's overpriced. It's just as far as file backup ghost
[00:13:16.180 --> 00:13:21.020]   You guys ever use like the offline files app that's built into windows itself
[00:13:21.020 --> 00:13:26.620]   I believe my IT department at work has a way set up on our local network that anything I drop into my documents
[00:13:26.620 --> 00:13:30.020]   We'll get backed up to a mirror my documents folder sitting on my drive
[00:13:30.020 --> 00:13:33.300]   So I use that frequently and I do that on the Mac
[00:13:33.300 --> 00:13:38.740]   They have they have an iDISC backup on the Mac that I do it automatically syncs your iDISC that has the advantage of sinking it to
[00:13:38.740 --> 00:13:44.500]   All of the Macs that are that you're using so I have access to the all the same files on all my computers
[00:13:44.500 --> 00:13:47.180]   Which is kind of nice and it makes local that is exactly yeah
[00:13:47.180 --> 00:13:53.780]   It's a nice, you know, I mean you only get 250 megs of if you mess with Google's like using a Google program to use a Google Drive as a
[00:13:53.780 --> 00:13:57.980]   Remote storage Google file system Google that's well
[00:13:57.980 --> 00:14:01.700]   I mean like say you I mean not their file system like their OS that they use internally
[00:14:01.700 --> 00:14:07.420]   But using like the two gigs you have is as an emails for online storage. Yeah, it's slow
[00:14:07.420 --> 00:14:10.940]   That's actually I mean people have been talking about that, but I just haven't tried doing it
[00:14:10.940 --> 00:14:17.580]   I haven't seen anybody's actually running it that you mean the download that you can use to back stuff up kind of automatically email stuff
[00:14:17.580 --> 00:14:23.540]   No, where it simply just takes a Google account you have and uses it as two gigs of remote storage like a drive
[00:14:23.540 --> 00:14:25.700]   You can actually give it a drive letter and right
[00:14:25.700 --> 00:14:31.380]   But how does it what I want to know is how it spans the files because you've got a limit to the amount you can attach to an individual
[00:14:31.380 --> 00:14:36.300]   Email at it. Yeah, I've used it before it breaks it up in a small little five megabyte chunks
[00:14:36.300 --> 00:14:40.260]   And then gives it a little ID and like the subject and then uploads them one at a time
[00:14:40.260 --> 00:14:43.500]   It's just all transparent to the user. I mean behind the scenes. Yeah, it's a hack
[00:14:43.500 --> 00:14:49.260]   It's just a simple changes something it breaks everything and then there goes a silly hack leo
[00:14:49.260 --> 00:14:55.220]   Or is it a cheap bomb proof 2 gigabytes of storage for nothing? That's what I'm thinking. It's a silly hack
[00:14:55.220 --> 00:15:00.460]   How are you gonna get it back? What how do you restore it? The only thing that's what it is now with the client software
[00:15:00.460 --> 00:15:02.660]   Is for yeah, that's how the client software works, right?
[00:15:02.660 --> 00:15:07.860]   You are putting the data out there and if something ever went wrong with that account you lost them with any other storage system
[00:15:07.860 --> 00:15:13.780]   See the only thing I'm concerned with is I would want them to use the Google's API in order to actually make this work
[00:15:13.780 --> 00:15:17.540]   But they were using the official like Google API then I would say okay
[00:15:17.540 --> 00:15:22.220]   Maybe this white might work, but they're actually kind of scraping the system and it's a little bit of a hack
[00:15:22.220 --> 00:15:24.340]   Yeah, that's what makes me nervous. I agree
[00:15:24.340 --> 00:15:29.820]   I mean if Google said here's your SDK for saving files on Google, but they're never gonna do that. Oh, that'd be awesome
[00:15:29.820 --> 00:15:36.020]   Yeah, that's true. It would be abusive probably in Google's eyes. So not the coolest thing well there to their credit
[00:15:36.020 --> 00:15:38.220]   They haven't done anything about it. I mean they're letting people do it
[00:15:38.220 --> 00:15:45.020]   I probably because most people aren't not doing it yet yet. Hey, did you see that the OS 10?
[00:15:45.020 --> 00:15:51.300]   point four point one the Intel OS 10 is apparently on the where sites already. Yes, that's awesome
[00:15:51.300 --> 00:15:54.940]   I can't wait to get a copy less than a week. I have to get a copy
[00:15:54.940 --> 00:15:57.780]   If anybody hasn't their email me
[00:15:57.780 --> 00:16:04.940]   What is this about Apple being a hardware company when now all the focus is on their potential takeover not anymore in the OS world
[00:16:04.940 --> 00:16:08.260]   So who predicted this last week this you did
[00:16:08.260 --> 00:16:15.860]   I didn't think it'd be cracked so fast this forces this forces them to sell it right it hasn't been cracked
[00:16:15.860 --> 00:16:19.540]   This has just been leaked off the developer systems, but you couldn't put on the system
[00:16:19.540 --> 00:16:26.300]   No, I would I'm saying is they have they have a they have a small number of systems are selling to developers as of the worldwide developers conference
[00:16:26.300 --> 00:16:31.620]   I don't think any of the scary security stuff. They're talking about doing for the release version
[00:16:31.620 --> 00:16:39.140]   Which is summer of 2006 has been implemented yet. Can you run this 10 point four point one on a white box PC now from what I hear
[00:16:39.140 --> 00:16:40.540]   That's the rumor
[00:16:40.540 --> 00:16:44.220]   I was speaking with a friend of mine who's a Mac developer and he was at the conference
[00:16:44.220 --> 00:16:46.620]   And he said he would actually got a chance to play around with the machine
[00:16:46.620 --> 00:16:47.620]   He was looking inside of it
[00:16:47.620 --> 00:16:53.500]   And it's just a standard Intel motherboard standard on board Intel graphics. There was nothing crazy nothing special
[00:16:53.500 --> 00:16:57.580]   No special Apple chipset on the board. It was you know off the shelf kind of stuff
[00:16:57.580 --> 00:17:01.220]   So I don't see any reason why not at this point anyway until they had that protection
[00:17:01.220 --> 00:17:03.460]   See the minute it's cracked if you think it forward
[00:17:03.460 --> 00:17:06.620]   It let's say it is cracked and they somebody does figure out a way to put it on a white box
[00:17:06.620 --> 00:17:10.500]   Then Apple's gonna have to do a shrink wrap release of it because otherwise
[00:17:10.500 --> 00:17:13.620]   They're losing all this revenue and then all of a sudden they are a software company
[00:17:13.620 --> 00:17:17.060]   I don't know it'll be interesting to see what happens. They screwed the pooch
[00:17:17.060 --> 00:17:24.420]   You're just not a happy man today Leo. They screwed me. I'm telling you I hate windows. I hate Apple. What's left Linux?
[00:17:24.420 --> 00:17:27.100]   Piece of crap
[00:17:28.580 --> 00:17:32.540]   Those boot CDs are cool long live nopics and the other boot CDs out there
[00:17:32.540 --> 00:17:38.100]   I'm just I'm not gonna install anything ever again. I'm just gonna run live CDs of everything
[00:17:38.100 --> 00:17:43.100]   Hey, at least with nopics you'd have about two gigs of apps on one CD
[00:17:43.100 --> 00:17:49.820]   So pretty amazing if you're open office and you're it is it is really amazing. That's the heck I want OS
[00:17:49.820 --> 00:17:53.060]   10.4.1 live CD baby
[00:17:57.180 --> 00:18:27.180]   How long before that happened tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick tick
[00:18:27.180 --> 00:18:29.580]   Digital signals by March 1st
[00:18:29.580 --> 00:18:37.980]   2006 instead of I guess it was gonna be see March April May June July 1st October or
[00:18:37.980 --> 00:18:41.140]   2006 and then all of the sets
[00:18:41.140 --> 00:18:47.940]   All the smaller sets they're gonna actually convert over seven months earlier than the original FCC deadline
[00:18:47.940 --> 00:18:50.420]   So they basically means they're gonna support
[00:18:50.420 --> 00:18:56.300]   Digital signals on these these are regular standards and not AT TVs. These are regular standard TVs
[00:18:56.300 --> 00:19:00.020]   The the CEA was pushing for this. Yeah, that sounds right
[00:19:00.020 --> 00:19:05.820]   the because a lot apparently a lot of retailers were were are convinced that consumers aren't gonna buy
[00:19:05.820 --> 00:19:11.900]   any of the digital televisions. So the the manufacturers didn't want to get stuck with a bunch of
[00:19:11.900 --> 00:19:17.420]   TVs that nobody would buy and the retailers want to get stuck with a bunch of digital TVs
[00:19:17.420 --> 00:19:22.460]   They didn't think they could sell so they lobbied the FCC to force the deadline earlier
[00:19:23.100 --> 00:19:28.980]   for the digital compatibility of televisions, you know, it's really just a raise awareness with consumers about the
[00:19:28.980 --> 00:19:32.580]   Say that you know what everything will transition to digital eventually
[00:19:32.580 --> 00:19:36.500]   Here's why and to get them simply thinking about it because I believe this week
[00:19:36.500 --> 00:19:44.380]   It was reported that Comcast is actually really almost forcing some of their original customers who are sticking with analog only
[00:19:44.380 --> 00:19:51.940]   reception in the home to move over to digital because then once all the analog consumers are done and the system is
[00:19:52.220 --> 00:19:56.660]   completely digital they can then start implementing okay digital on every channel and
[00:19:56.660 --> 00:20:02.540]   Increasing the quality of those digital channels as well through hopefully more bandwidth and the copy protection of course
[00:20:02.540 --> 00:20:09.580]   But the whole thing about digital TVs though is kind of like a so what odds are if we're moving to this digital
[00:20:09.580 --> 00:20:15.540]   Environment anyway who doesn't have a set-top box and that set-top box will do the digital conversion for you
[00:20:15.540 --> 00:20:17.540]   But I don't want a set-top box
[00:20:17.540 --> 00:20:22.460]   Don't confuse but don't confuse cable and broadcast this is this is you know
[00:20:22.460 --> 00:20:29.660]   This is to convert to digital broadcast technology so they can resell as much as the of the television bandwidth as possible
[00:20:29.660 --> 00:20:33.780]   Who still watches rabbit ears see I'm all for that too because I'm my favorite
[00:20:33.780 --> 00:20:40.060]   That's my favorite form of TV is digital over there apparently apparently something in the neighborhood of 30 million Americans
[00:20:40.060 --> 00:20:44.180]   But the Lord but that's what's there watching for channels. What are they watching?
[00:20:44.540 --> 00:20:47.860]   They're I mean they're watching ABC NBC CBS
[00:20:47.860 --> 00:20:52.860]   Fox and then a couple of uhf indies. That's nothing. There's also
[00:20:52.860 --> 00:20:57.740]   I mean the other thing is yeah, but you remember something later. You're also talking about you know all of the
[00:20:57.740 --> 00:21:04.220]   Spanish you know a huge percentage of the Spanish language channels Chinese language channels Korean language channels that are locally broadcast
[00:21:04.220 --> 00:21:09.820]   The communities are still going out on uhf or some of well and they need to go HD. Absolutely. Let's move
[00:21:10.020 --> 00:21:15.020]   Hey, if you're poor, let's go HD as of today. There are 1500 digital stations
[00:21:15.020 --> 00:21:20.100]   There are 1500 digital stations in 211 markets. It's the not HD. It's it's digital TV
[00:21:20.100 --> 00:21:25.020]   Well, which way is it gonna be Leo? You've just argued one way which is not one watches broadcast TV
[00:21:25.020 --> 00:21:29.980]   We should kill it all off and you just want the other direction which is so you're saying this is for people who are watching
[00:21:29.980 --> 00:21:38.100]   Broadcast television well, who is that it's somebody who is not the somebody who should be buying a digital TV
[00:21:38.100 --> 00:21:43.980]   It's somebody who's who's watching probably watching a 13 inch black and white television watching Chinese language
[00:21:43.980 --> 00:21:49.580]   Programming they need a digital TV like a hole in the head or those of us who watch PBS and HD
[00:21:49.580 --> 00:21:57.100]   Yeah, I think what the real market what's what's really going on here is they want this frequency you talked about this before with a yes
[00:21:57.100 --> 00:22:01.420]   They want to resell the broad they want this that's right. They want the 700 megahertz frequencies
[00:22:01.420 --> 00:22:05.100]   It's worth billions and screw consumers screw the public
[00:22:05.100 --> 00:22:12.340]   Do you think it has also anything to do with if it gets back to terrestrial broadcasting as a competitive media or medium or getting you your TV
