
[00:00:00.000 --> 00:00:01.360]   (upbeat music)
[00:03:12.240 --> 00:03:13.720]   of when we should be doing 1080p.
[00:03:13.720 --> 00:03:15.040]   I don't do 1080p today.
[00:03:15.040 --> 00:03:17.120]   We do 720p is the highest quality
[00:03:17.120 --> 00:03:18.840]   because who needs 1080p?
[00:03:18.840 --> 00:03:20.240]   I'm past 1080p now.
[00:03:20.240 --> 00:03:21.080]   I'm doing 4K.
[00:03:21.080 --> 00:03:22.280]   Are you doing 4K podcast?
[00:03:22.280 --> 00:03:23.120]   Yep.
[00:03:23.120 --> 00:03:24.320]   We're doing 4K production.
[00:03:24.320 --> 00:03:25.640]   Yeah.
[00:03:25.640 --> 00:03:27.240]   At the Pixel core, by the way,
[00:03:27.240 --> 00:03:28.920]   you posted a wonderful article on Facebook
[00:03:28.920 --> 00:03:30.280]   which I'm forwarding to everybody,
[00:03:30.280 --> 00:03:31.800]   how to work on a movie set.
[00:03:31.800 --> 00:03:32.640]   Oh man.
[00:03:32.640 --> 00:03:34.520]   Which actually applies to every job ever.
[00:03:34.520 --> 00:03:37.480]   Pretty much, but it is required reading for our guys.
[00:03:37.480 --> 00:03:38.320]   Yeah.
[00:03:38.320 --> 00:03:39.160]   If you're watching.
[00:03:39.160 --> 00:03:40.000]   Love it.
[00:03:40.000 --> 00:03:40.840]   Love it.
[00:03:40.840 --> 00:03:42.800]   We also should say hello to J.J. Stone.
[00:03:42.800 --> 00:03:45.080]   Owen J.J. Stone, who is friends.
[00:03:45.080 --> 00:03:46.760]   Oh, doctor.
[00:03:46.760 --> 00:03:48.400]   Nice to see you again.
[00:03:48.400 --> 00:03:50.360]   AKA the chat room champion.
[00:03:50.360 --> 00:03:52.280]   He is the champion.
[00:03:52.280 --> 00:03:56.280]   Do you use O doctor in the chat room?
[00:03:56.280 --> 00:03:57.280]   Yeah.
[00:03:57.280 --> 00:03:58.960]   I got to let people know what I've been here all day
[00:03:58.960 --> 00:03:59.960]   on Kaleel.
[00:03:59.960 --> 00:04:00.960]   I've been stalking you.
[00:04:00.960 --> 00:04:02.280]   Heard you answered some great calls,
[00:04:02.280 --> 00:04:04.160]   helping people with their virus situation.
[00:04:04.160 --> 00:04:05.360]   Not needing viruses.
[00:04:05.360 --> 00:04:06.360]   Why you need viruses?
[00:04:06.360 --> 00:04:07.360]   Who's got viruses?
[00:04:07.360 --> 00:04:09.160]   You know, I saw you doing your work.
[00:04:09.160 --> 00:04:10.560]   Never know what I'm in the chat room.
[00:04:10.560 --> 00:04:11.560]   That is the guy.
[00:04:11.560 --> 00:04:13.080]   I didn't do God's work on that radio show
[00:04:13.080 --> 00:04:16.280]   because I know I don't want to talk about viruses
[00:04:16.280 --> 00:04:17.280]   or malware.
[00:04:17.280 --> 00:04:19.640]   All I'm saying is do your job.
[00:04:19.640 --> 00:04:21.800]   You never know what I'm watching you, Uncle Leo.
[00:04:21.800 --> 00:04:22.800]   I know.
[00:04:22.800 --> 00:04:23.800]   You never know.
[00:04:23.800 --> 00:04:30.200]   Also, Jason Heiner is here from CBS Interactive,
[00:04:30.200 --> 00:04:31.760]   the tech republic.
[00:04:31.760 --> 00:04:32.760]   Hello, Jason.
[00:04:32.760 --> 00:04:33.760]   Yes.
[00:04:33.760 --> 00:04:36.360]   Hey, who do we hear as ever?
[00:04:36.360 --> 00:04:41.240]   And you've got a stack of volumes behind you of the new book.
[00:04:41.240 --> 00:04:42.240]   This side.
[00:04:42.240 --> 00:04:43.240]   Yeah.
[00:04:43.240 --> 00:04:44.240]   Yeah.
[00:04:44.240 --> 00:04:47.760]   Follow the geeks.
[00:04:47.760 --> 00:04:49.560]   It was a very interesting listen.
[00:04:49.560 --> 00:04:51.280]   I did not read it because I don't know how,
[00:04:51.280 --> 00:04:52.520]   but I listened to the audio version.
[00:04:52.520 --> 00:04:55.160]   Dan Patterson, I love the audio version of that.
[00:04:55.160 --> 00:04:57.160]   Danny Boy did yes.
[00:04:57.160 --> 00:04:58.520]   Very nice.
[00:04:58.520 --> 00:05:00.160]   How exciting are you?
[00:05:00.160 --> 00:05:01.160]   Are you?
[00:05:01.160 --> 00:05:03.880]   I noticed you said I have a lot of books to send out.
[00:05:03.880 --> 00:05:05.800]   You're doing your own fulfillment, huh?
[00:05:05.800 --> 00:05:07.280]   Well, for the crowdfunding.
[00:05:07.280 --> 00:05:08.840]   Oh, I get it.
[00:05:08.840 --> 00:05:09.840]   Yeah.
[00:05:09.840 --> 00:05:12.880]   Yeah, we originally crowdfunded the thing because we wanted to make ourselves responsible
[00:05:12.880 --> 00:05:14.760]   to readers and not publishers.
[00:05:14.760 --> 00:05:15.760]   Nice.
[00:05:15.760 --> 00:05:16.760]   Love it.
[00:05:16.760 --> 00:05:21.840]   And so, yeah, all the heartbacks came in.
[00:05:21.840 --> 00:05:26.720]   And so I've got all those going out this weekend to our awesome crowd funders.
[00:05:26.720 --> 00:05:30.560]   If you are a crowd funder, thank you, bless you.
[00:05:30.560 --> 00:05:31.560]   Love it.
[00:05:31.560 --> 00:05:35.040]   And I can't wait to get it in the hands of all those folks.
[00:05:35.040 --> 00:05:36.040]   Congratulations.
[00:05:36.040 --> 00:05:39.920]   I understand there's a very good chapter towards the end there.
[00:05:39.920 --> 00:05:41.880]   Oh, chapter nine.
[00:05:41.880 --> 00:05:42.880]   My favorite chapter nine.
[00:05:42.880 --> 00:05:43.880]   My favorite chapter.
[00:05:43.880 --> 00:05:44.880]   Yeah.
[00:05:44.880 --> 00:05:45.880]   Love that chapter.
[00:05:45.880 --> 00:05:48.120]   The closest thing to a biography I'm ever going to get.
[00:05:48.120 --> 00:05:52.000]   But I'm glad I was really glad to be a part of that.
[00:05:52.000 --> 00:05:55.280]   We've had so much great feedback on chapter nine, Leo.
[00:05:55.280 --> 00:06:00.680]   I mean, not only feedback, but before it was ever published or ever released that you
[00:06:00.680 --> 00:06:03.880]   are on there, I had the whole Twitter army harassing me for months.
[00:06:03.880 --> 00:06:05.360]   I mean, you come and tell him.
[00:06:05.360 --> 00:06:06.360]   You've come exactly.
[00:06:06.360 --> 00:06:07.360]   Exactly.
[00:06:07.360 --> 00:06:08.360]   Where are you going to cover Leo?
[00:06:08.360 --> 00:06:09.360]   This book is being terrible.
[00:06:09.360 --> 00:06:11.360]   It doesn't include Leo LeBort.
[00:06:11.360 --> 00:06:14.400]   Well, little did they know we'd already done the interview.
[00:06:14.400 --> 00:06:15.400]   Like it was a dumb deal.
[00:06:15.400 --> 00:06:17.880]   No, I already knew, but I wasn't going to say anything.
[00:06:17.880 --> 00:06:22.080]   So follow the geeks is about innovators, digital innovators, entrepreneurs.
[00:06:22.080 --> 00:06:23.080]   Yeah.
[00:06:23.080 --> 00:06:24.640]   So it's about the idea.
[00:06:24.640 --> 00:06:28.080]   You know, the main thesis is that the future works a lot more entrepreneurial, right?
[00:06:28.080 --> 00:06:30.360]   You know, companies are downsizing.
[00:06:30.360 --> 00:06:32.360]   Many of them are hiring more contractors.
[00:06:32.360 --> 00:06:36.400]   And so that creates a problem and an opportunity for many people, right?
[00:06:36.400 --> 00:06:40.800]   There aren't as many stable jobs with big companies, but there are in many cases more
[00:06:40.800 --> 00:06:43.480]   opportunities where you can contract with companies.
[00:06:43.480 --> 00:06:47.320]   It's kind of ironic because you're the only guy on this panel who actually has a job.
[00:06:47.320 --> 00:06:52.160]   I know that is very, I've heard of this thing going to the job.
[00:06:52.160 --> 00:06:54.440]   I tell you, I lost on me.
[00:06:54.440 --> 00:07:01.040]   Can I tell you that the future of work is actually looks a lot like work.
[00:07:01.040 --> 00:07:04.360]   Just like, I mean, it's not like it's not work.
[00:07:04.360 --> 00:07:05.360]   It's still work, right?
[00:07:05.360 --> 00:07:06.360]   Right.
[00:07:06.360 --> 00:07:07.360]   Yes.
[00:07:07.360 --> 00:07:09.800]   When you hear the boss, you just, you actually have to come in more, I think.
[00:07:09.800 --> 00:07:10.640]   Yes.
[00:07:10.640 --> 00:07:16.680]   I was picking up some wine for my wife and I was at the wine store and the guy said,
[00:07:16.680 --> 00:07:17.680]   "So what are you doing this weekend?"
[00:07:17.680 --> 00:07:18.680]   I'm like working.
[00:07:18.680 --> 00:07:19.680]   Working.
[00:07:19.680 --> 00:07:20.680]   He's like, "You own your own business, don't you?"
[00:07:20.680 --> 00:07:21.680]   Yeah.
[00:07:21.680 --> 00:07:22.680]   See?
[00:07:22.680 --> 00:07:23.680]   Yes.
[00:07:23.680 --> 00:07:25.680]   I've worked weekends for my own years.
[00:07:25.680 --> 00:07:26.680]   Yeah.
[00:07:26.680 --> 00:07:27.960]   For this book, I'm preparing for my own future.
[00:07:27.960 --> 00:07:31.320]   Also, the book itself, the project is its own business, right?
[00:07:31.320 --> 00:07:33.640]   It's its own kind of startup.
[00:07:33.640 --> 00:07:35.520]   So that's been a lot of fun.
[00:07:35.520 --> 00:07:36.520]   Absolutely.
[00:07:36.520 --> 00:07:37.520]   Absolutely.
[00:07:37.520 --> 00:07:38.520]   Yeah.
[00:07:38.520 --> 00:07:41.320]   So I'm going to read the book or listen to the book as I have.
[00:07:41.320 --> 00:07:46.280]   Make sure you go to Amazon or Audible and write a review and say how much you loved Chapter
[00:07:46.280 --> 00:07:50.400]   9 or a bare Tundays chapter or whatever chapter you go.
[00:07:50.400 --> 00:07:51.400]   Oh, yeah.
[00:07:51.400 --> 00:07:55.680]   Make sure you leave that review out there and share it to the world, share it as Karen.
[00:07:55.680 --> 00:07:58.440]   That's about as much work as I've done this week promoting that.
[00:07:58.440 --> 00:08:00.480]   Thank you.
[00:08:00.480 --> 00:08:01.480]   Thank you.
[00:08:01.480 --> 00:08:03.880]   Whatever you're doing, I want to copy that, OJ.
[00:08:03.880 --> 00:08:05.280]   Why do I call you OJ?
[00:08:05.280 --> 00:08:06.280]   I'm so sorry.
[00:08:06.280 --> 00:08:07.280]   You've been watching.
[00:08:07.280 --> 00:08:08.280]   The Simpsons, man.
[00:08:08.280 --> 00:08:11.040]   I've been watching the people versus OJ.
[00:08:11.040 --> 00:08:12.040]   Wow.
[00:08:12.040 --> 00:08:13.520]   I'm going to tell you two things real quick.
[00:08:13.520 --> 00:08:19.080]   When all that was going down, my initials are OJ S and I was dating a Caucasian girl named
[00:08:19.080 --> 00:08:20.180]   Nicole.
[00:08:20.180 --> 00:08:22.520]   Her father had a problem with the cow.
[00:08:22.520 --> 00:08:24.240]   Did you know a guy named Ron?
[00:08:24.240 --> 00:08:25.680]   Because it was the ninth grade.
[00:08:25.680 --> 00:08:26.680]   It was the issue.
[00:08:26.680 --> 00:08:27.680]   Did you have?
[00:08:27.680 --> 00:08:29.520]   So you added the second J just because of that?
[00:08:29.520 --> 00:08:30.520]   Oh, man.
[00:08:30.520 --> 00:08:33.760]   I added a second J because I lied about my middle name and I wanted to be something else.
[00:08:33.760 --> 00:08:34.760]   I like JJ.
[00:08:34.760 --> 00:08:37.360]   Yes, JJ Stone is a great name.
[00:08:37.360 --> 00:08:38.360]   It's a great name.
[00:08:38.360 --> 00:08:39.360]   Yeah.
[00:08:39.360 --> 00:08:40.360]   I added a solid.
[00:08:40.360 --> 00:08:41.360]   I really am.
[00:08:41.360 --> 00:08:44.760]   Well, if there's one thing you learned from follow the geeks is that really the best way
[00:08:44.760 --> 00:08:46.360]   to live life is to invent it.
[00:08:46.360 --> 00:08:48.000]   You don't have to take what you were given.
[00:08:48.000 --> 00:08:49.920]   You invent it as you go.
[00:08:49.920 --> 00:08:50.920]   Yeah.
[00:08:50.920 --> 00:08:54.880]   I mean, what if people were forced to become entrepreneurs, right?
[00:08:54.880 --> 00:08:57.840]   People that they either they lost their job or they couldn't get the job they wanted.
[00:08:57.840 --> 00:09:02.840]   And so they had to make the job they wanted, which is why I admire so many of them, including
[00:09:02.840 --> 00:09:03.840]   yourself.
[00:09:03.840 --> 00:09:05.120]   I had jobs.
[00:09:05.120 --> 00:09:06.520]   You worked at Lucas.
[00:09:06.520 --> 00:09:07.920]   You did the Star Wars.
[00:09:07.920 --> 00:09:10.080]   It was the last job I had.
[00:09:10.080 --> 00:09:13.320]   I worked in radio and I still kind of technically have a job.
[00:09:13.320 --> 00:09:14.920]   I have that radio thing.
[00:09:14.920 --> 00:09:19.720]   They pay me, I think.
[00:09:19.720 --> 00:09:23.960]   But you know, that was my clever hack, which was to always have like to segue.
[00:09:23.960 --> 00:09:27.280]   I didn't I didn't have the guts many people to leap into it.
[00:09:27.280 --> 00:09:28.920]   I've never leaped into anything.
[00:09:28.920 --> 00:09:30.920]   I always just kind of like lean towards it.
[00:09:30.920 --> 00:09:32.400]   I don't leave by just going to leave.
[00:09:32.400 --> 00:09:33.400]   You know, I always have.
[00:09:33.400 --> 00:09:35.360]   You have you have the job is paying the money.
[00:09:35.360 --> 00:09:37.760]   You have the job you're trying to get rid of and you have the job is taking you where
[00:09:37.760 --> 00:09:38.760]   you want to go.
[00:09:38.760 --> 00:09:41.880]   And it's just those three and it's like a little it's like a little just track, you
[00:09:41.880 --> 00:09:44.120]   know, you're slowly moving into play it soon.
[00:09:44.120 --> 00:09:45.960]   That's the safe way to do it.
[00:09:45.960 --> 00:09:49.360]   You also know how people think about things like, you know, I'm a secret ninja.
[00:09:49.360 --> 00:09:50.720]   Most people actually know what I do.
[00:09:50.720 --> 00:09:57.600]   But like IQMZ has been around since 2005 and from 2002, it was inquiring minds that
[00:09:57.600 --> 00:09:59.080]   combat people couldn't spell.
[00:09:59.080 --> 00:10:02.080]   So that's why I bought IQMZ and I got rid of inquiring minds.
[00:10:02.080 --> 00:10:06.960]   And what I started out doing was I used to do those surveys you would see on maximum.com
[00:10:06.960 --> 00:10:11.960]   and online and so like that, then we morphed into a website company, then we started doing
[00:10:11.960 --> 00:10:16.920]   clubs and party promotions, then we went back to making websites, then I started doing
[00:10:16.920 --> 00:10:22.160]   digital video photography, then I did social media consultant, then I did websites and
[00:10:22.160 --> 00:10:23.160]   stuff again.
[00:10:23.160 --> 00:10:25.280]   And now I'm back to doing content on my own.
[00:10:25.280 --> 00:10:28.720]   So I've been doing that since 2000, everybody somebody says like, Oh, you don't know anything
[00:10:28.720 --> 00:10:29.720]   about the internet.
[00:10:29.720 --> 00:10:33.720]   I've been on the internet since the internet was like the internet before you could do anything
[00:10:33.720 --> 00:10:34.720]   on the internet.
[00:10:34.720 --> 00:10:35.720]   I used to code and flat.
[00:10:35.720 --> 00:10:37.440]   Like, you know what I mean?
[00:10:37.440 --> 00:10:41.920]   So you know, it's just funny when people think about the internet, like there's so you
[00:10:41.920 --> 00:10:42.920]   got to be fluid.
[00:10:42.920 --> 00:10:45.800]   You got to be able to change and do what you need to do.
[00:10:45.800 --> 00:10:46.800]   And I've done everything.
[00:10:46.800 --> 00:10:49.080]   I don't write code anymore because writing code sucks.
[00:10:49.080 --> 00:10:50.080]   I used to do design.
[00:10:50.080 --> 00:10:52.560]   I don't do that anymore because it's two TDS got to do layers.
[00:10:52.560 --> 00:10:55.480]   Now I'm in the video photography and so like that.
[00:10:55.480 --> 00:10:57.880]   And I used to paint my Superman back there.
[00:10:57.880 --> 00:10:58.880]   I do you do everything.
[00:10:58.880 --> 00:10:59.880]   You got to work with the time.
[00:10:59.880 --> 00:11:00.880]   Wait a minute.
[00:11:00.880 --> 00:11:01.880]   Move your head.
[00:11:01.880 --> 00:11:02.880]   I want to see that Superman.
[00:11:02.880 --> 00:11:03.880]   You buy any of that?
[00:11:03.880 --> 00:11:04.880]   I did paint that.
[00:11:04.880 --> 00:11:05.880]   Yeah, that's nice.
[00:11:05.880 --> 00:11:08.480]   I'm thinking of getting a tattoo that looks like that.
[00:11:08.480 --> 00:11:09.480]   You should here.
[00:11:09.480 --> 00:11:10.480]   Look, I showed you closer.
[00:11:10.480 --> 00:11:12.400]   And I didn't need to put on my scapula.
[00:11:12.400 --> 00:11:13.880]   Oh, that's oh wait.
[00:11:13.880 --> 00:11:14.880]   Who's Superman?
[00:11:14.880 --> 00:11:15.880]   Who's the other guy?
[00:11:15.880 --> 00:11:19.760]   So the one Superman and the ones my black alter ego myself were hair.
[00:11:19.760 --> 00:11:23.160]   That's you see the Oh, see the Oh, it's Oh man.
[00:11:23.160 --> 00:11:24.160]   Oh, that's bro.
[00:11:24.160 --> 00:11:25.160]   You call yourself what?
[00:11:25.160 --> 00:11:26.160]   Oh man, the big O.
[00:11:26.160 --> 00:11:27.160]   Oh, Dr.
[00:11:27.160 --> 00:11:28.160]   The dummy.
[00:11:28.160 --> 00:11:29.160]   Who are you talking to?
[00:11:29.160 --> 00:11:30.160]   Oh, no.
[00:11:30.160 --> 00:11:31.160]   With hair.
[00:11:31.160 --> 00:11:34.760]   Oh, I just did a flip.
[00:11:34.760 --> 00:11:35.760]   Wow.
[00:11:35.760 --> 00:11:38.720]   So the chapters in the book follow the geeks.
[00:11:38.720 --> 00:11:40.440]   Baratunde thirst you.
[00:11:40.440 --> 00:11:44.880]   The thing is anybody who listens to the show will know almost all these people.
[00:11:44.880 --> 00:11:49.640]   Lisa Bettany, mostly Lisa was of course the first host of this weekend photography.
[00:11:49.640 --> 00:11:54.840]   Our great friend Gina Trappani Tom Merritt Ditto Veronica Belmont.
[00:11:54.840 --> 00:11:56.840]   I've never heard of her.
[00:11:56.840 --> 00:11:58.840]   No, I'm just going to say.
[00:11:58.840 --> 00:12:01.440]   Oh, Malik, I think they've all been on to it.
[00:12:01.440 --> 00:12:04.720]   Chase Jarvis, one of the great photographers, really an inspiration to.
[00:12:04.720 --> 00:12:07.640]   He is a true inspiration.
[00:12:07.640 --> 00:12:11.680]   And then some people I did not know, but I loved reading the story of Juliana Rotich.
[00:12:11.680 --> 00:12:13.320]   She found Usha Hidi.
[00:12:13.320 --> 00:12:14.320]   Usha Hidi.
[00:12:14.320 --> 00:12:17.000]   I met her in Tanzania.
[00:12:17.000 --> 00:12:18.000]   Oh, me.
[00:12:18.000 --> 00:12:20.040]   So you know her.
[00:12:20.040 --> 00:12:25.040]   There's some fat guy and then you end, which I love with the future, a 15 year old entrepreneur
[00:12:25.040 --> 00:12:26.040]   named Maya Penn.
[00:12:26.040 --> 00:12:28.920]   And there she is at TED.
[00:12:28.920 --> 00:12:32.560]   So just a great, I think this is a great inspiring book.
[00:12:32.560 --> 00:12:36.320]   And anybody who listens to Twit knows most of the people on this, I think.
[00:12:36.320 --> 00:12:37.320]   Yeah.
[00:12:37.320 --> 00:12:40.840]   And the Twit Army has been super, I sort of joked earlier, but the actually Twit Army's
[00:12:40.840 --> 00:12:44.280]   been super supportive every time I've been on the show and we talk about the book or there's
[00:12:44.280 --> 00:12:46.120]   a new chapter.
[00:12:46.120 --> 00:12:52.680]   You get so much interest on the site in email, on Twitter, social media.
[00:12:52.680 --> 00:12:54.440]   And so Twit Army's been awesome.
[00:12:54.440 --> 00:13:00.480]   So as a bonus, because the Twit Army's been so awesome, I actually have a coupon code for
[00:13:00.480 --> 00:13:02.480]   the Twit Army for 10% off.
[00:13:02.480 --> 00:13:03.960]   All you have to do is it's a Twit.
[00:13:03.960 --> 00:13:08.040]   You just put Twit in, if you buy the book and you check out, there you go.
[00:13:08.040 --> 00:13:11.120]   Twit Army, 10% off.
[00:13:11.120 --> 00:13:12.120]   Great.
[00:13:12.120 --> 00:13:13.720]   That's not a paid promotion, sorry.
[00:13:13.720 --> 00:13:14.720]   Great gifts.
[00:13:14.720 --> 00:13:15.840]   No, you don't have to pay for that.
[00:13:15.840 --> 00:13:16.840]   That's great.
[00:13:16.840 --> 00:13:19.840]   No, we love our, you know, our hosts get to plug whatever they want.
[00:13:19.840 --> 00:13:20.840]   It's great.
[00:13:20.840 --> 00:13:24.600]   And Jason, you're a good and old friend and I'm thrilled to be part of the book and thrilled
[00:13:24.600 --> 00:13:26.240]   to help support it.
[00:13:26.240 --> 00:13:27.240]   10% off.
[00:13:27.240 --> 00:13:28.240]   That's nice.
[00:13:28.240 --> 00:13:29.240]   Yes.
[00:13:29.240 --> 00:13:33.400]   And like, like, Oh, Dr. Was saying, actually one of the coolest things, my last thing is
[00:13:33.400 --> 00:13:39.360]   just that adaptability was one of the coolest things I thought that a theme that runs throughout
[00:13:39.360 --> 00:13:45.760]   all these people, all almost everybody in there in the book had to recreate themselves
[00:13:45.760 --> 00:13:49.560]   and sometimes multiple times at different times throughout their careers.
[00:13:49.560 --> 00:13:53.160]   And I find that to be when people talk, ask me about sort of the themes that run through
[00:13:53.160 --> 00:13:54.160]   it.
[00:13:54.160 --> 00:13:55.920]   That's actually one of the ones I bring up the most.
[00:13:55.920 --> 00:14:00.800]   And so I'm glad that I'm glad you guys have sort of touched on that too.
[00:14:00.800 --> 00:14:04.160]   Because it really is key for anybody that wants to learn that.
[00:14:04.160 --> 00:14:05.160]   Got to be fluid.
[00:14:05.160 --> 00:14:06.640]   Got to be like mind like water.
[00:14:06.640 --> 00:14:07.640]   Just keep on moving.
[00:14:07.640 --> 00:14:09.720]   Let's adapt to know.
[00:14:09.720 --> 00:14:11.880]   Let's adapt to know one of these stories, Uncle Leo.
[00:14:11.880 --> 00:14:13.440]   Okay, you want to flow?
[00:14:13.440 --> 00:14:16.840]   You people call Valentine's Day, but I call it all star weekend.
[00:14:16.840 --> 00:14:17.840]   Ha ha.
[00:14:17.840 --> 00:14:19.480]   There we go.
[00:14:19.480 --> 00:14:20.480]   Can't explain to me.
[00:14:20.480 --> 00:14:21.480]   I don't know.
[00:14:21.480 --> 00:14:22.840]   I'm missing it basketball all star weekend.
[00:14:22.840 --> 00:14:25.160]   Kobe Bryant's last all star games tonight.
[00:14:25.160 --> 00:14:28.120]   Last night with the dunk contest, I had to leave my day early when we didn't leave.
[00:14:28.120 --> 00:14:31.400]   We came home early so we could watch a dunk contest, but I don't know why they keep putting
[00:14:31.400 --> 00:14:32.400]   on Valentine's Day.
[00:14:32.400 --> 00:14:35.400]   I'm like, look, I got basketball to watch.
[00:14:35.400 --> 00:14:37.000]   Not, you know, it's important things.
[00:14:37.000 --> 00:14:42.160]   This is a true test of your romantic intentions.
[00:14:42.160 --> 00:14:44.440]   We went out early and we made it back home for the dunk contest.
[00:14:44.440 --> 00:14:45.440]   That's all I care about.
[00:14:45.440 --> 00:14:46.680]   That's a good test of your.
