;FFMETADATA1
title=Just Lean Forward
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=232
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.240]   It's time for Twig this week at Google. We will watch live Gina Trappani launch her new enterprise
[00:02:41.000 --> 00:02:43.760]   Is that something new because that's a great idea?
[00:02:44.920 --> 00:02:51.880]   No, we do that periodically when when there's a big story that's complicated and it's developing. So I
[00:02:51.880 --> 00:02:58.280]   Enjoy them because I enjoy reading them. So I try and make them, you know as to pick out all the good stuff
[00:02:58.280 --> 00:03:00.280]   So you you can just read one thing
[00:03:00.280 --> 00:03:05.280]   But that's exactly what I did and it's very useful for me because of course we have to talk about this thing and
[00:03:05.280 --> 00:03:12.120]   You know the initial media coverage just for people who haven't read about this
[00:03:13.080 --> 00:03:15.520]   the federal appeals court
[00:03:15.520 --> 00:03:24.120]   Over essentially some say overturned the notion of net neutrality by telling the FCC that it did not have
[00:03:24.120 --> 00:03:32.000]   jurisdiction in a case against Verizon Verizon had sued saying exactly that in the court said you're right now the
[00:03:32.000 --> 00:03:34.040]   FCC may appeal
[00:03:34.040 --> 00:03:39.600]   But there are other interpretations of this one interpretation is it's merely that the FCC
[00:03:40.520 --> 00:03:45.880]   Attempted jurisdiction in a way that perhaps was inappropriate because in the in the decision the judge
[00:03:45.880 --> 00:03:50.500]   Who wrote the decision was pretty clear that net neutrality did need to be protected
[00:03:50.500 --> 00:03:53.400]   Ah
[00:03:53.400 --> 00:03:54.400]   Am I right?
[00:03:54.400 --> 00:04:03.920]   They basically did it the wrong way. Yeah, so they instead of they they tried to treat the ISPs like common carriers without calling them common carriers
[00:04:03.920 --> 00:04:07.560]   Is it why you know that's an interesting point because
[00:04:10.040 --> 00:04:15.520]   Common carrier if they had said you are a broadband service providers are like telephone companies
[00:04:15.520 --> 00:04:23.840]   FCC regulates radio television telephone companies among others if you were a common carrier then we could regulate the internet the same way
[00:04:23.840 --> 00:04:26.680]   Why is the FCC reluctant to do that?
[00:04:26.680 --> 00:04:29.440]   Well, it's not just the FCC
[00:04:29.440 --> 00:04:36.080]   I think there's a lot of people who are reluctant to have it do that because if you recall they there was a big fuss when they were
[00:04:36.080 --> 00:04:39.840]   Talking about maybe regulating the internet people said no you shouldn't do that
[00:04:39.880 --> 00:04:46.480]   Right, so we kind of you know people kind of want them to so that we have net neutrality
[00:04:46.480 --> 00:04:52.120]   But don't want them to screw it up and so the risk is the FCC being what it is
[00:04:52.120 --> 00:04:57.080]   It tries to help and manages to screw everything up
[00:04:57.080 --> 00:05:02.160]   In fact, I remember talking with John Perry Barlow
[00:05:02.160 --> 00:05:09.360]   Who's on the board of the EFF one of its founding members and even within the board of the electronic frontier foundation
[00:05:09.360 --> 00:05:15.800]   There's this debate over well does a government protect the internet or is that the worst possible solution?
[00:05:15.800 --> 00:05:25.680]   right, right and I think you know even if you agree a group that agrees that the open internet unfettered net neutrality is something that needs
[00:05:25.680 --> 00:05:28.440]   protecting who does it
[00:05:28.440 --> 00:05:34.960]   Who makes that happen? Well the argument the argument that that Corey doctoral makes is that we're not trying to regulate the internet
[00:05:34.960 --> 00:05:38.720]   We're trying to not break the internet that the internet has always been
[00:05:39.680 --> 00:05:42.760]   Open in this way and the phone companies are the ones who are trying to
[00:05:42.760 --> 00:05:46.720]   Go to a new direction and you're trying to stop them from doing that
[00:05:46.720 --> 00:05:51.600]   And that's a good point and in fact if you see the internet as a sort of evolution of
[00:05:51.600 --> 00:05:58.120]   You know phone lines and phone service then then that sort of common carrier principles should
[00:05:58.120 --> 00:06:02.200]   Continue so all the court said was you need to make that explicit
[00:06:02.200 --> 00:06:07.920]   Mike was outside of the court of the FCC scene
[00:06:08.480 --> 00:06:10.480]   telcos as
[00:06:10.480 --> 00:06:18.880]   Common carriers in the internet context. So I actually there was a fascinating Twitter discussion last night that Mark Andreessen was involved in
[00:06:18.880 --> 00:06:24.800]   That that ohm started and I did a sort of pull together all of Mark Andreessen's tweets about it
[00:06:24.800 --> 00:06:30.920]   And his point was that he he very much wants an open internet and is very much in favor of net neutrality
[00:06:30.920 --> 00:06:36.080]   But he's afraid that the investments that are required in new networking technology won't occur
[00:06:36.440 --> 00:06:41.000]   If carriers and ISPs are treated like common carriers that they won't
[00:06:41.000 --> 00:06:45.560]   Invest the money because they're not going to be able to get the return Mark Andreessen
[00:06:45.560 --> 00:06:50.560]   That's where I'm attempting to square the circle. You can't you know how do you how do you encourage investment and
[00:06:50.560 --> 00:06:56.080]   Preserve net neutrality. Yeah, but but the problem with that is number one. They've invested so far
[00:06:56.080 --> 00:06:58.800]   This is how we got the internet. We have so far as my investment
[00:06:58.800 --> 00:07:06.120]   And and and neutrality so far they haven't had the balls to to go against it though AT&T just is just starting to try
[00:07:06.960 --> 00:07:13.600]   And and second a lot of these people are our phone companies that are losing their entire phone business and a lot of them are cable companies
[00:07:13.600 --> 00:07:19.200]   That are starting to lose their cable business. So having a decent internet service for consumers
[00:07:19.200 --> 00:07:22.680]   There's no question. There's market demand for that
[00:07:22.680 --> 00:07:29.560]   Double charging on both ends of it if you have a monopoly and you get away with it and if you're you know phone companies
[00:07:29.560 --> 00:07:32.080]   That's the way you treat people as prisoners. Yeah
[00:07:32.480 --> 00:07:39.000]   So the real solution in the long run isn't regulation the real solution in the long run has to be competition and
[00:07:39.000 --> 00:07:44.560]   Has to be consumers going to a to a decent choice. The problem is we don't have that competition. We don't have that choice
[00:07:44.560 --> 00:07:51.720]   The judge the judge specifically mentioned that yeah, you know he said even though I'm making this
[00:07:51.720 --> 00:07:57.000]   Ruling the risk is that that these companies will take advantage of the fact that there's very little choice
[00:07:57.200 --> 00:08:01.120]   So does the FCC appeal or does the FCC rewrite its regulations?
[00:08:01.120 --> 00:08:07.120]   There's also some concern because Tom wheel wheeler the chairman of the FCC is a former cable company lobbyist
[00:08:07.120 --> 00:08:15.160]   But he it seems he's saying the right words at least now maybe not in the past about net neutrality
[00:08:15.160 --> 00:08:20.400]   What is the FCC's next step there are gonna be a steady is going to upset he has not
[00:08:21.320 --> 00:08:27.840]   And in fact Mike Masnick at tector pointed out in his piece that even if it goes to the Supreme Court
[00:08:27.840 --> 00:08:32.760]   There there's no real indication that sort of in the law that
[00:08:32.760 --> 00:08:39.200]   The Supreme Court would find any you know any other way than then the appeals court did no
[00:08:39.200 --> 00:08:45.080]   In fact, I think that's why the decision was written so narrowly. It's very clear that the FCC does not have the jurisdiction
[00:08:45.080 --> 00:08:51.160]   If you don't declare broadband providers common carriers, and that's been the issue all along
[00:08:51.440 --> 00:09:00.240]   Who has jurisdiction and it's I don't I think I think Mike's right that Supreme Court now Mike is worried because he thinks that the outcome is going to increase government
[00:09:00.240 --> 00:09:01.960]   regulation
[00:09:01.960 --> 00:09:06.160]   Yeah, and then that is the risk I mean the the you know
[00:09:06.160 --> 00:09:11.000]   Mark Andreessen mentioned that as well the if you look at virtually any other example
[00:09:11.000 --> 00:09:19.200]   If you if you give a regulatory body like the FCC an inch they will take a mile and that's and the risk is that they just wind up
[00:09:19.200 --> 00:09:20.880]   you know
[00:09:20.880 --> 00:09:27.120]   Cluttering everything up and slowing it down instead of making it better for years. It was a hypothetical discussion that the
[00:09:27.120 --> 00:09:33.440]   AT&T and Verizon and Sprint said oh we would never do that. It's not hypothetical AT&T with this sponsored
[00:09:33.440 --> 00:09:37.200]   Content proposal is doing exactly
[00:09:37.200 --> 00:09:47.160]   The wrong thing they're saying sponsored data. They're saying if you are a company like oh, I don't know Netflix and you want to give us a little extra
[00:09:47.160 --> 00:09:48.720]   will
[00:09:48.720 --> 00:09:53.840]   We will make sure that it does not come out against the can't the bandwidth caps that our customers have
[00:09:53.840 --> 00:09:57.120]   But if you're a company like Twitter and you don't give us a little extra well
[00:09:57.120 --> 00:10:00.920]   I'm sorry, but every bit they download goes against their bandwidth caps that is
[00:10:00.920 --> 00:10:03.280]   very clearly
[00:10:03.280 --> 00:10:10.760]   The kind of discrimination we don't want and unfortunately, it's also really attractive if you have huge customers
[00:10:10.760 --> 00:10:15.520]   You know bills. Yeah, customers are gonna like it, but but it implements this toll road
[00:10:16.360 --> 00:10:22.640]   mentality Fred Wilson had a great post where he looked at you know imagine a startup going looking for VC funding
[00:10:22.640 --> 00:10:29.320]   They've got this great communications tool or this great feature photo sharing or whatever and and the VC says well
[00:10:29.320 --> 00:10:30.680]   Why would I?
[00:10:30.680 --> 00:10:36.780]   Subsidize you or fund you your competitor has paid money to the carriers so they get preferential treatment
[00:10:36.780 --> 00:10:39.840]   Hmm there's no upside
[00:10:39.840 --> 00:10:42.480]   Yep
[00:10:42.480 --> 00:10:45.720]   Yeah customers and we need to be educated I think
[00:10:46.360 --> 00:10:48.360]   Frankly that
[00:10:48.360 --> 00:10:50.360]   Yeah, this sounds like a good idea
[00:10:50.360 --> 00:10:52.960]   Netflix won't cost you anything
[00:10:52.960 --> 00:11:01.000]   YouTube won't cost you anything, but what it is it's fundamentally on democratic because and this is the power of the Internet
[00:11:01.000 --> 00:11:07.840]   It's this democratizing force and this is why you have to do this because these come I don't think there isn't there is a conflict between
[00:11:07.840 --> 00:11:14.320]   Innovation on the Internet and limiting what these companies can do because as you pointed out Jeff these companies are the incumbents
[00:11:14.680 --> 00:11:19.400]   Protecting old business models exactly and I think the two questions
[00:11:19.400 --> 00:11:22.080]   Go ahead, Matthew
[00:11:22.080 --> 00:11:22.560]   Yeah
[00:11:22.560 --> 00:11:30.120]   I mean the risk is if if we do get that model we're certain things like YouTube or Netflix or given preferential treatment and you get a
[00:11:30.120 --> 00:11:34.080]   Discount you're you're not even gonna know what you're missing because it won't be there
[00:11:34.080 --> 00:11:39.800]   You literally won't realize what you have seen yeah, and nobody would start something like twit you'd be nuts
[00:11:39.800 --> 00:11:42.360]   Yeah, yeah, I
[00:11:42.400 --> 00:11:46.000]   So so I'll get to that question in a second, but before I get there
[00:11:46.000 --> 00:11:50.520]   Is there a chance that the FCC is gonna declare them common carriers?
[00:11:50.520 --> 00:11:56.720]   You're anybody speculate to that end no one appeals decision instead we'll do what the court says and we'll go
[00:11:56.720 --> 00:11:58.720]   It seems like the right thing to do it
[00:11:58.720 --> 00:12:04.280]   I mean Wheeler seems to be hinting that he wants to do that there was another commissioner who
[00:12:04.280 --> 00:12:10.560]   But there everybody's dancing around it. I just don't think they've you know even though it's two small words
[00:12:10.560 --> 00:12:12.760]   It's it's it would be quite a huge step
[00:12:12.760 --> 00:12:15.880]   Tim Wu wrote would be something for the New Yorker
[00:12:15.880 --> 00:12:21.760]   Saying that you know effectively that's that's all they have to do. It's not that difficult
[00:12:21.760 --> 00:12:24.560]   But it's gonna have tremendous implications
[00:12:24.560 --> 00:12:30.240]   Second question so we we mobilized so put in people what's to mobilize here?
[00:12:30.240 --> 00:12:35.960]   Well, there's gonna be free presses trying to do that yeah online petition
[00:12:36.840 --> 00:12:40.680]   And freedom of the press who sound similar but are different
[00:12:40.680 --> 00:12:43.800]   organizations, but you know they're trying to get
[00:12:43.800 --> 00:12:51.680]   Sort of grounds while going I think it's a complicated issue for people understand and so it's hard to sort of rally behind
[00:12:51.680 --> 00:13:01.520]   And then third question Leo, how does this affect you well right now it doesn't these are this is all somewhat speculative right yes
[00:13:02.520 --> 00:13:09.000]   It presumes two things one that most viewers will start watching on mobile because this is all about mobile right now
[00:13:09.000 --> 00:13:11.480]   although it could easily extend to
[00:13:11.480 --> 00:13:16.400]   You know home internet service providers. There's no reason Comcast would watch
[00:13:16.400 --> 00:13:23.480]   AT&T sponsored data and say hey, that's not a bad idea. We ought to do that right of rise and may have agreed with Google some time ago
[00:13:23.480 --> 00:13:31.600]   That was in proposed FCC regulations that are now thrown out anyway, so right rise and says well what the way with Google who's that yeah?
[00:13:31.600 --> 00:13:36.440]   Yeah, you could see Comcast saying you know you if you if there's this deal
[00:13:36.440 --> 00:13:42.600]   You don't have a bandwidth cap and if there isn't this deal you do have a bandwidth cap so so a it doesn't disadvantage us
[00:13:42.600 --> 00:13:46.600]   It changes it not at all right now because right now everybody's charged
[00:13:46.600 --> 00:13:52.400]   Everything counts against your bandwidth cap so it wouldn't change anything for us right now
[00:13:52.400 --> 00:13:59.320]   but it would raise a barrier to entry to somebody coming in later and it could could affect us if we don't get the
[00:14:00.040 --> 00:14:05.440]   And I do think by the way most viewings gonna go mobile if all of a sudden we don't get the mobile viewing because people say well
[00:14:05.440 --> 00:14:10.720]   I don't see why I should watch Twitter because it's gonna cost me when when Netflix and YouTube do not
[00:14:10.720 --> 00:14:16.960]   Do you see have you seen a spike in mobile viewing is it is it is it relative to the kind of spike we're seeing in general internet?
[00:14:16.960 --> 00:14:22.440]   Usage a twit that's a good question. I haven't looked at those numbers. I don't know
[00:14:22.440 --> 00:14:24.200]   I mean I imagine that people should dream
[00:14:24.200 --> 00:14:29.320]   I don't know I'm sure that most of your listeners download the mp3's and listen
[00:14:29.440 --> 00:14:36.360]   That's changing rapidly and that is changing imagine. Yeah, so more streaming a lot more streaming streaming is coming on strong
[00:14:36.360 --> 00:14:41.480]   And everybody I think everybody agrees streaming is the future for content. Yeah. Yeah, so
[00:14:41.480 --> 00:14:48.680]   I just saw a number for somebody big like NBC or something like that flash by on Twitter and they
[00:14:48.680 --> 00:14:53.040]   Mobile was a huge proportion. I have to think it's gonna. I thought it would be yeah
[00:14:53.040 --> 00:14:59.020]   I have to think it's gonna be and it will all computing is moving to mobile all computing is related tablets and smartphones
[00:14:59.020 --> 00:15:02.680]   That's computing not just content consumption. That's computing
[00:15:02.680 --> 00:15:08.720]   so I'm you know, I mean people watch us on our on their Roku box is much to my surprise, but I
[00:15:08.720 --> 00:15:12.060]   Just feel like mobile is the future and
[00:15:12.060 --> 00:15:16.160]   You know anything that makes I'm not so much worried about to it
[00:15:16.160 --> 00:15:22.200]   I just I hate to see anything that makes it less democratic the power power the internet the reason the internet has wrought such change
[00:15:22.200 --> 00:15:27.060]   And we'll continue to write to rewrite the rules and change everything is it's a fundamentally democratic
[00:15:27.380 --> 00:15:29.380]   That's so much more important
[00:15:29.380 --> 00:15:30.880]   Isn't it?
[00:15:30.880 --> 00:15:35.040]   Then they yes, that's where yeah, and there's plenty of money to be made I
[00:15:35.040 --> 00:15:40.880]   Mean if there were rules made to protect Barnes and Noble against Amazon calm that would be bad
[00:15:40.880 --> 00:15:48.120]   We'd all agree on that well, but that's exactly what happens in in Europe. We know where in Germany. You cannot discount books, right?
[00:15:48.120 --> 00:15:52.640]   Not allowed to yeah, I don't I don't know whether allowed to give free shipping or not
[00:15:52.640 --> 00:15:59.260]   But but the bookstores are absolutely protected and and institutions protect institutions
[00:15:59.260 --> 00:16:01.500]   They don't protect their disruptors, right?
[00:16:01.500 --> 00:16:10.000]   Well anyway, I highly recommend if you want to and I so it looks like you're continuing to keep this up to date Matthew
[00:16:10.000 --> 00:16:13.620]   Which is cool? Yeah, I've been trying to add stuff as much as I can
[00:16:13.620 --> 00:16:20.840]   So go to giga home and look at Matthew Ingram's article that is continuing a continuing story
[00:16:21.300 --> 00:16:24.980]   What you need to know about the court decision that just struck down net neutrality
[00:16:24.980 --> 00:16:29.240]   And I you know I the only thing I'd quibble with is I don't know
[00:16:29.240 --> 00:16:31.480]   I don't know if it's clear that it struck down net neutrality
[00:16:31.480 --> 00:16:37.960]   It just told the FCC that it could not do it this way. Well, the only well, it's certainly on hiatus
[00:16:37.960 --> 00:16:42.740]   That neutrality takes a vacation. Yeah, the only
[00:16:42.740 --> 00:16:46.820]   Government statement of net neutrality was the FCC's ruling and that is now
[00:16:47.400 --> 00:16:51.580]   Boided there go there is no protection from that in trial. Yes, if you're a conspiracy theorist
[00:16:51.580 --> 00:16:56.900]   You could say the FCC didn't fan that. I think this is what ours technically said didn't fact screw it up intentionally
[00:16:56.900 --> 00:17:03.020]   Maybe you know that like well, we don't want to because I mean everybody saw this coming
[00:17:03.020 --> 00:17:06.180]   They did. Yeah. Yes. This is not a surprise
[00:17:06.180 --> 00:17:13.880]   Not a surprise and the FCC surely has intelligent lawyers who would know that the courts gonna say well you can't do it this way
[00:17:15.500 --> 00:17:22.600]   Yeah, and I know Tim Tim Wu who wrote he's he's the law professor who coined the term net neutrality
[00:17:22.600 --> 00:17:24.860]   he he wrote up quite a
[00:17:24.860 --> 00:17:28.060]   sort of rant about the FCC and how they
[00:17:28.060 --> 00:17:32.760]   Deliberately instead of using their big guns. They use the little guns or the pea shooter
[00:17:32.760 --> 00:17:40.800]   And it makes you wonder why why was it just arrogance or was it were they hoping it would somehow they could slide it through or?
[00:17:40.800 --> 00:17:44.080]   You know, or was it just it does seem strange
[00:17:44.080 --> 00:17:47.640]   I feel like Tim has a little bit of a bias here because his book
[00:17:47.640 --> 00:17:51.140]   the master switch the premise of it was
[00:17:51.140 --> 00:17:57.000]   Like every other innovative new technology. It's only free for a little while than the big guys come in
[00:17:57.000 --> 00:18:00.020]   He well expects this to happen
[00:18:00.020 --> 00:18:05.060]   Right, although his tip to be fair his his view is that it goes in cycles, right?
[00:18:05.060 --> 00:18:09.660]   So it's open then it closes because large players want to make money
[00:18:09.940 --> 00:18:15.240]   They influence policy then eventually it gets disrupted and open things
[00:18:15.240 --> 00:18:18.080]   It becomes more open and then closed and then open alright
[00:18:18.080 --> 00:18:23.360]   He starts off in the beginning of his we've tried to get him on by the way, and he now consults for somebody
[00:18:23.360 --> 00:18:26.260]   I can't remember who that makes an impossible for him to do interviews
[00:18:26.260 --> 00:18:28.320]   really
[00:18:28.320 --> 00:18:33.920]   Really? Yeah, he did one with the Washington Post. Yeah, maybe that's changed. I should I should inquire again
[00:18:33.920 --> 00:18:38.940]   Cuz I think it's I think he's very smart. He was teaches at Columbia. He's very smart. Yep
[00:18:39.440 --> 00:18:45.580]   Yeah, extremely smart. He actually worked or I think he worked at Google or consulted with Google for a while way back
[00:18:45.580 --> 00:18:52.820]   I actually was on a TV program with him up here in Toronto and we were talking about I think the master switch had just come out and
[00:18:52.820 --> 00:18:55.420]   and he was looking at sort of the
[00:18:55.420 --> 00:18:59.780]   You know from the earliest days of the net and and phones
[00:18:59.780 --> 00:19:07.640]   You know the cycle that that tends to come closed open closed open. I hate it. I mean yeah
[00:19:07.640 --> 00:19:11.520]   It's it's a good observation and he uses the radio TV newspapers
[00:19:11.520 --> 00:19:18.740]   And long distance starts with long distance service telephone service and says you know this all started open and
[00:19:18.740 --> 00:19:23.720]   freewheeling and innovative and then yeah the money came in and everything is shut down
[00:19:23.720 --> 00:19:30.460]   Yeah, but I think I think you'd also make the case the Internet is not like anything else we've ever seen before yes
[00:19:30.460 --> 00:19:34.440]   Yes in many many ways. I mean, it's truly global for one thing
[00:19:35.540 --> 00:19:39.020]   Agreed agreed although you you know the telegraph was global
[00:19:39.020 --> 00:19:46.280]   Yeah, I don't know what it didn't have animated gifts. It did not have cats
[00:19:46.280 --> 00:19:50.720]   And you couldn't deploy balloons and get telegraphs. Yeah
[00:19:50.720 --> 00:19:54.080]   That's where they really messed up yeah
[00:19:54.080 --> 00:19:58.540]   Balloon telegraphs let's take a break when we come back. We still have the change log
[00:19:58.540 --> 00:20:01.900]   I'm gonna get Gina to do that before she has to run off and save the servers at think up
[00:20:02.600 --> 00:20:06.580]   And then and then I would like to talk about a little thing called nest
[00:20:06.580 --> 00:20:13.700]   But first a word from 99 designs calm a great place to go if you need designer help
[00:20:13.700 --> 00:20:20.040]   The world should be a more beautiful place and it thanks if designers had their way it would be but so many of us
[00:20:20.040 --> 00:20:25.380]   Who can program or do a lot of other things don't have that magical design?
[00:20:25.380 --> 00:20:32.520]   Since that's why you're gonna want to go to 99 designs calm a community of 273,000 and growing all the time
[00:20:33.000 --> 00:20:38.520]   Designers who would love to create a design for you. It really is a great deal for both us as
[00:20:38.520 --> 00:20:43.900]   design challenged folk and designers there are right now
[00:20:43.900 --> 00:20:47.520]   2299 open contests a
[00:20:47.520 --> 00:20:53.920]   Million and a half dollars paid out last month to these designers sixty six million dollars of payouts
[00:20:53.920 --> 00:20:58.240]   To date if you need a new logo a mobile app a business card
[00:20:58.240 --> 00:21:05.120]   We've had t-shirts done at 99 designs are great any other kind of graphic design. There's a designer wedding for you 99 designs
[00:21:05.120 --> 00:21:14.360]   Dot com landing pages for instance, you know if you're a business and you're in your Facebook site looks like it was designed by your 14 year old
[00:21:14.360 --> 00:21:15.840]   maybe
[00:21:15.840 --> 00:21:22.960]   Maybe you want to try it 99 designs calm landing page design starts at 299 your next graphic project is low as 199 bucks
[00:21:22.960 --> 00:21:25.920]   And if you visit 99 designs calm slash
[00:21:26.400 --> 00:21:30.000]   Twig you'll get a $99 power pack of savings
[00:21:30.000 --> 00:21:33.680]   Free you get more designer time and attention
[00:21:33.680 --> 00:21:39.840]   They'll bold highlight and feature your project in the 99 designs marketplace. That's gonna give you twice as many designs
[00:21:39.840 --> 00:21:46.600]   99 designs dot com for web design for logo design for any kind of design make your stuff look better
[00:21:46.600 --> 00:21:49.600]   99 designs calm slash
[00:21:49.600 --> 00:21:55.160]   Twig for that $99 power pack. We thank them for their support of this week in
[00:21:56.080 --> 00:21:59.560]   Google, let's do the change log
[00:21:59.560 --> 00:22:12.080]   And the change you're in chief ginger penny
[00:22:12.080 --> 00:22:15.600]   I'm actually gonna help ask you guys help with the change log this week
[00:22:15.600 --> 00:22:19.440]   I'm less prepared than usual since I've been in launch mode a little busy are we?
[00:22:19.440 --> 00:22:21.240]   I'm gonna give it a little shot
[00:22:21.240 --> 00:22:26.760]   I'm honored that you took my website down Leo. You're the first it makes me happy that you're the first person to take down
[00:22:26.760 --> 00:22:31.680]   My app that it feels like a like I leveled as a human unlocked. It's a rite of passage
[00:22:31.680 --> 00:22:35.360]   Don't blame me blame the Twitter army my friends
[00:22:35.360 --> 00:22:38.800]   And it's running just fine
[00:22:38.800 --> 00:22:42.640]   I have great people so but thank you for doing that
[00:22:42.640 --> 00:22:45.080]   All right the change log
[00:22:45.800 --> 00:22:55.080]   Chrome 32 launches with my favorite feature ever in a browser in a really long time noisy tab indicators a new windows 8 look and
[00:22:55.080 --> 00:22:59.600]   Better malware blocking and supervised users. I just I man
[00:22:59.600 --> 00:23:01.920]   I just love this noisy tab indicator basically
[00:23:01.920 --> 00:23:08.320]   It's just a little icon on your tab that shows you which one of your tabs is playing a video streaming
[00:23:09.240 --> 00:23:16.280]   a sound music whatever or using your webcam or casting to your TV if you're using Chromecast so
[00:23:16.280 --> 00:23:22.960]   Really really helpful. I've always got you know dozens of tabs open and when you can't find the one that's playing that gosh darn music
[00:23:22.960 --> 00:23:27.480]   It's kind of a pain and that's chrome 32. What else do we have here?
[00:23:27.480 --> 00:23:32.220]   I'll try before you move on to mention we talked a lot about the new UI the new
[00:23:32.220 --> 00:23:38.540]   Chrome in chrome 32 on windows 8 and Paul Therat and Mary Jofoli on our windows weekly show were
[00:23:38.720 --> 00:23:44.080]   Pissed off. They felt it was an anti-competitive move the Google was trying to you know
[00:23:44.080 --> 00:23:49.240]   Get people to embrace the chrome UI because they want everybody to a chrome you OS
[00:23:49.240 --> 00:23:53.120]   I disagree strongly. I don't think Google's out to screw it
[00:23:53.120 --> 00:23:55.200]   I think Google wants people to use Chrome on windows
[00:23:55.200 --> 00:24:02.960]   But a lot of people are saying that the scroll bars to narrow the UI is not native. So it's not native. It's not native
[00:24:02.960 --> 00:24:08.040]   Yeah, that's that's interesting. It's a bold move. That's like you're gonna use our UI
[00:24:08.040 --> 00:24:12.680]   We see that all the time they say well in fact Microsoft does it all the time they did it with Windows
[00:24:12.680 --> 00:24:14.480]   Internet Explorer 11
[00:24:14.480 --> 00:24:16.480]   So it's not unusual
[00:24:16.480 --> 00:24:20.000]   In fact, that's what the chromium team pointed out. They said we have a new graphic engine
[00:24:20.000 --> 00:24:25.720]   We wanted to unify the controls across the board not just Chrome OS and Mac OS and windows
[00:24:25.720 --> 00:24:27.720]   but everywhere and
[00:24:27.720 --> 00:24:29.920]   it because of this new engine and
[00:24:29.920 --> 00:24:33.760]   They say hey Microsoft does it all the time
[00:24:34.440 --> 00:24:38.160]   But I have to say it's always a mistake to go non-native. Don't you think Gina as a programmer?
[00:24:38.160 --> 00:24:43.400]   Didn't to not go native. Yeah, you got to use native controls. Yeah, I mean it just yeah
[00:24:43.400 --> 00:24:45.400]   It feels better. It's just it's a jarring experience
[00:24:45.400 --> 00:24:50.880]   I think for the user when that the in app doesn't feel native look at Microsoft's Android apps
[00:24:50.880 --> 00:24:57.040]   Says Jimbo logic in the chat room good point. I mean they do it not to Android
