;FFMETADATA1
title=Jiggery Pokery
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=229
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.300]   It's time for Twig.
[00:02:00.960 --> 00:02:01.960]   Yeah.
[00:02:01.960 --> 00:02:02.960]   Do you...
[00:02:02.960 --> 00:02:03.960]   Now I remember when...
[00:02:03.960 --> 00:02:05.760]   Because my dad was a professor at commencement, you'd wear the gown of the college from which
[00:02:05.760 --> 00:02:07.960]   you graduated or got your graduate degree.
[00:02:07.960 --> 00:02:12.600]   Yes, but don't forget, I only have a bachelor's, so I don't have any hash for it.
[00:02:12.600 --> 00:02:13.600]   You have no gown.
[00:02:13.600 --> 00:02:14.600]   I have a gown.
[00:02:14.600 --> 00:02:15.600]   I have a cheap gown.
[00:02:15.600 --> 00:02:18.600]   It's a nylon thing that they rent.
[00:02:18.600 --> 00:02:22.040]   Yeah, dad had Columbia from a PhD Columbia.
[00:02:22.040 --> 00:02:27.120]   He had a blue velvet and stripes and it wasn't a mortar board.
[00:02:27.120 --> 00:02:28.120]   It was like a...
[00:02:28.120 --> 00:02:29.120]   A thing.
[00:02:29.120 --> 00:02:30.120]   Yeah.
[00:02:30.120 --> 00:02:31.120]   Oh yeah, that was a great thing.
[00:02:31.120 --> 00:02:32.120]   A bonnet.
[00:02:32.120 --> 00:02:33.120]   I get jealous of those.
[00:02:33.120 --> 00:02:36.880]   It's not worth it to go get a degree just to get the dress.
[00:02:36.880 --> 00:02:38.840]   That's a long way to go, just for the dress.
[00:02:38.840 --> 00:02:40.920]   Anyway, welcome and it's good to see you.
[00:02:40.920 --> 00:02:44.520]   We should mention once again Gina Trippani's taking the month of December off to relocate.
[00:02:44.520 --> 00:02:45.520]   We miss her.
[00:02:45.520 --> 00:02:47.600]   Yay, she'll be in New York.
[00:02:47.600 --> 00:02:50.200]   Baratunde just got his Brooklyn apartment.
[00:02:50.200 --> 00:02:51.200]   Oh wow.
[00:02:51.200 --> 00:02:54.200]   There's a massive tilt to the east.
[00:02:54.200 --> 00:02:57.120]   Yeah, you think Silicon Valley's all hip is not.
[00:02:57.120 --> 00:02:58.120]   Brooklyn is the...
[00:02:58.120 --> 00:02:59.640]   Oh god yeah.
[00:02:59.640 --> 00:03:05.200]   I interviewed Alexis O'Haney on triangulation on Wednesday and you found her read it.
[00:03:05.200 --> 00:03:07.920]   And of course, probably the King hipster.
[00:03:07.920 --> 00:03:09.480]   And people were coming over.
[00:03:09.480 --> 00:03:11.080]   They had people in the house.
[00:03:11.080 --> 00:03:13.840]   He actually gone into the bathroom to do the interview so that the people in the house,
[00:03:13.840 --> 00:03:18.160]   because they were all going to dinner afterwards, probably some, you know, polenta crust pizza
[00:03:18.160 --> 00:03:19.160]   parlor.
[00:03:19.160 --> 00:03:20.160]   I hate you.
[00:03:20.160 --> 00:03:21.720]   Oh, you make fun.
[00:03:21.720 --> 00:03:22.720]   You make fun of you.
[00:03:22.720 --> 00:03:23.720]   I'm just jealous.
[00:03:23.720 --> 00:03:24.720]   Hey, look who else is here.
[00:03:24.720 --> 00:03:25.720]   We got Kevin Marks.
[00:03:25.720 --> 00:03:29.520]   He is visiting us under his umbrella out in his garden as usual.
[00:03:29.520 --> 00:03:30.520]   Hello there.
[00:03:30.520 --> 00:03:31.720]   Nice to see you all.
[00:03:31.720 --> 00:03:36.000]   I'm going to resist the temptation to say the out of works Kevin Marks.
[00:03:36.000 --> 00:03:39.880]   I will say the consulting engineer Kevin Marks.
[00:03:39.880 --> 00:03:40.880]   There we go.
[00:03:40.880 --> 00:03:46.520]   The CEO of Google, Apple, Salesforce, British Telecom.
[00:03:46.520 --> 00:03:49.200]   This guy has left more jobs.
[00:03:49.200 --> 00:03:50.200]   Which one?
[00:03:50.200 --> 00:03:51.200]   BBC.
[00:03:51.200 --> 00:03:52.200]   That's right.
[00:03:52.200 --> 00:03:53.200]   He started at the beeb.
[00:03:53.200 --> 00:03:54.200]   Yep.
[00:03:54.200 --> 00:03:55.200]   That's where he gets up.
[00:03:55.200 --> 00:03:56.720]   He's on a good accent.
[00:03:56.720 --> 00:04:00.840]   And also with us Mike Elgin, who was soon to take the helm as news director here at...
[00:04:00.840 --> 00:04:03.040]   Oh, he's wearing Google glass glass.
[00:04:03.040 --> 00:04:04.040]   Yep.
[00:04:04.040 --> 00:04:05.040]   He brought me...
[00:04:05.040 --> 00:04:06.280]   You brought me burgundy of Twiff.
[00:04:06.280 --> 00:04:07.280]   Exactly.
[00:04:07.280 --> 00:04:08.280]   Stay classy.
[00:04:08.280 --> 00:04:09.280]   Jeff Jarvis.
[00:04:09.280 --> 00:04:10.280]   Growinger mustache now.
[00:04:10.280 --> 00:04:11.280]   Oh, wait a minute.
[00:04:11.280 --> 00:04:12.640]   Set up on head detection.
[00:04:12.640 --> 00:04:16.400]   Enable this feature to consume less power when you're not wearing glass.
[00:04:16.400 --> 00:04:17.480]   This is your son's glass.
[00:04:17.480 --> 00:04:19.480]   When is anybody not going to be wearing glass?
[00:04:19.480 --> 00:04:22.040]   You can wear it 24/7.
[00:04:22.040 --> 00:04:23.040]   This is the one that's...
[00:04:23.040 --> 00:04:24.760]   This is a 2.0, right?
[00:04:24.760 --> 00:04:25.760]   That's right.
[00:04:25.760 --> 00:04:30.920]   And supposedly I can wink, take off glass, put it back on and tap touchpad.
[00:04:30.920 --> 00:04:32.680]   And then they have a lovely lady doing it.
[00:04:32.680 --> 00:04:34.680]   And it is it.
[00:04:34.680 --> 00:04:35.680]   Okay.
[00:04:35.680 --> 00:04:36.960]   Done.
[00:04:36.960 --> 00:04:38.600]   You just did something.
[00:04:38.600 --> 00:04:39.600]   You heard the little click, right?
[00:04:39.600 --> 00:04:40.600]   Yeah.
[00:04:40.600 --> 00:04:41.600]   Something happened.
[00:04:41.600 --> 00:04:42.600]   Now I just see the Google logo.
[00:04:42.600 --> 00:04:43.600]   Is it rebooting?
[00:04:43.600 --> 00:04:47.600]   No, that's just to program the Google logo into your brain.
[00:04:47.600 --> 00:04:49.600]   That's what that means to us.
[00:04:49.600 --> 00:04:50.600]   Burned me in the eye-ris.
[00:04:50.600 --> 00:04:51.600]   Yeah.
[00:04:51.600 --> 00:04:52.600]   Do you have glass, Kevin?
[00:04:52.600 --> 00:04:53.600]   You're the only one here who...
[00:04:53.600 --> 00:04:54.600]   No.
[00:04:54.600 --> 00:04:55.600]   It's not a glass hole.
[00:04:55.600 --> 00:04:58.600]   I wear glasses all the time, so it was practical.
[00:04:58.600 --> 00:04:59.600]   No.
[00:04:59.600 --> 00:05:00.600]   They will be now, though.
[00:05:00.600 --> 00:05:01.600]   You can add prescription lenses to this.
[00:05:01.600 --> 00:05:04.000]   Glass hole is now a term of endearment.
[00:05:04.000 --> 00:05:06.400]   And so now we use glass wipe.
[00:05:06.400 --> 00:05:07.400]   Glass wipe.
[00:05:07.400 --> 00:05:12.200]   Stay glassy, Petaluma.
[00:05:12.200 --> 00:05:15.600]   I'll be sending my back in January, first week of January.
[00:05:15.600 --> 00:05:16.600]   I get my exchange.
[00:05:16.600 --> 00:05:17.600]   Ah, good.
[00:05:17.600 --> 00:05:19.960]   So you already got your 2.0s.
[00:05:19.960 --> 00:05:21.400]   This is my son's.
[00:05:21.400 --> 00:05:22.400]   He got it later.
[00:05:22.400 --> 00:05:24.360]   So he got his first start of 2.0.
[00:05:24.360 --> 00:05:25.800]   And I have 2.0 on the way.
[00:05:25.800 --> 00:05:26.800]   This is the old one.
[00:05:26.800 --> 00:05:27.800]   That's the new one.
[00:05:27.800 --> 00:05:28.800]   They look identical.
[00:05:28.800 --> 00:05:33.360]   But the 2.0 has faster speeds and additional capabilities.
[00:05:33.360 --> 00:05:35.440]   Have you found it to be fragile at all?
[00:05:35.440 --> 00:05:37.440]   I actually broke my first pair.
[00:05:37.440 --> 00:05:40.080]   Put it in my backpack in the case that they give you.
[00:05:40.080 --> 00:05:41.560]   And I bent it in half.
[00:05:41.560 --> 00:05:43.240]   And it's happened to a lot of people.
[00:05:43.240 --> 00:05:44.880]   They just replaced it, no questions.
[00:05:44.880 --> 00:05:46.040]   Scobles like on his third.
[00:05:46.040 --> 00:05:47.320]   Well, I think there's a little margin.
[00:05:47.320 --> 00:05:49.880]   Well, he showers with the thing, so.
[00:05:49.880 --> 00:05:50.880]   Yeah.
[00:05:50.880 --> 00:05:53.280]   Yeah, they should have refused Scoble on that basis.
[00:05:53.280 --> 00:05:56.400]   So one of the things, and this is, I think, a little controversial, that they have now
[00:05:56.400 --> 00:05:59.520]   enabled is blink to snap a picture.
[00:05:59.520 --> 00:06:05.160]   So in the past with glass, you had to touch the temple and then say, "Okay, glass.
[00:06:05.160 --> 00:06:06.400]   Take a picture."
[00:06:06.400 --> 00:06:07.400]   So it was.
[00:06:07.400 --> 00:06:08.400]   Or bring your head up and down and say, "Okay, glass."
[00:06:08.400 --> 00:06:09.400]   Yeah.
[00:06:09.400 --> 00:06:10.400]   Oh, you could do that, right?
[00:06:10.400 --> 00:06:11.400]   And that was way too.
[00:06:11.400 --> 00:06:12.400]   That was way too inconvenient.
[00:06:12.400 --> 00:06:17.320]   Well, it was a warning to those abouts that you were about to take a picture of them.
[00:06:17.320 --> 00:06:19.880]   Now you just wink and it takes a picture.
[00:06:19.880 --> 00:06:23.320]   Well, no, you always had the ability just to hit the little switch there.
[00:06:23.320 --> 00:06:24.320]   Yeah.
[00:06:24.320 --> 00:06:25.320]   And take a picture.
[00:06:25.320 --> 00:06:26.320]   Just the most subtle way.
[00:06:26.320 --> 00:06:27.320]   Or voice.
[00:06:27.320 --> 00:06:28.320]   Oh, so you could do this until it would take a picture?
[00:06:28.320 --> 00:06:31.680]   No, there's a little button right there on the top.
[00:06:31.680 --> 00:06:32.840]   On the top right there.
[00:06:32.840 --> 00:06:33.840]   Oh, yeah.
[00:06:33.840 --> 00:06:34.840]   That's it.
[00:06:34.840 --> 00:06:37.120]   Even that's more obvious than just blinking.
[00:06:37.120 --> 00:06:39.120]   And blinking also has a little bit of...
[00:06:39.120 --> 00:06:41.160]   Yeah, winking is a little creepy.
[00:06:41.160 --> 00:06:45.120]   Yeah, if you're taking pictures of strangers, winking doesn't help.
[00:06:45.120 --> 00:06:49.040]   And if you get a piece of dust in your eye, as Dr. Mom says, you could end up taking a
[00:06:49.040 --> 00:06:50.040]   lot of pictures.
[00:06:50.040 --> 00:06:51.040]   You don't know.
[00:06:51.040 --> 00:06:52.040]   I don't know.
[00:06:52.040 --> 00:06:53.440]   I think that this...
[00:06:53.440 --> 00:06:54.440]   I'm surprised.
[00:06:54.440 --> 00:06:56.240]   I remember it was a hack in the first class.
[00:06:56.240 --> 00:06:59.720]   I'm surprised Google actually enables this.
[00:06:59.720 --> 00:07:00.720]   Well, it's a...
[00:07:00.720 --> 00:07:02.200]   I think it's a speed thing.
[00:07:02.200 --> 00:07:06.480]   They've really tried hard to make it really fast to take a picture because that's really
[00:07:06.480 --> 00:07:07.480]   the only benefit.
[00:07:07.480 --> 00:07:11.240]   If you have to take out your phone and take a picture, that takes a while.
[00:07:11.240 --> 00:07:14.240]   But if you suddenly there's something crazy happening right in front of you, you can
[00:07:14.240 --> 00:07:15.640]   just wink and you've got the picture.
[00:07:15.640 --> 00:07:17.520]   Even if it's off, it'll work.
[00:07:17.520 --> 00:07:19.680]   It's actually kind of amazing.
[00:07:19.680 --> 00:07:25.560]   It's just a little creepy to take pictures of strangers because they think you're the
[00:07:25.560 --> 00:07:27.120]   one who is stranger.
[00:07:27.120 --> 00:07:28.120]   Yeah, no kidding.
[00:07:28.120 --> 00:07:29.520]   They're winking at people.
[00:07:29.520 --> 00:07:30.520]   Microsoft...
[00:07:30.520 --> 00:07:36.400]   Sorry, Google is very focused on photography, the additions to Google+, and now people are
[00:07:36.400 --> 00:07:41.080]   putting snow in their pictures by shaking their phone.
[00:07:41.080 --> 00:07:42.080]   That's their holiday.
[00:07:42.080 --> 00:07:43.080]   I've had enough of that.
[00:07:43.080 --> 00:07:44.080]   Yeah.
[00:07:44.080 --> 00:07:48.800]   I'm a big fan of the photo stuff, but the twinkling and the snowing, they're just...
[00:07:48.800 --> 00:07:52.680]   So you take an existing picture that's on your phone and all you do is you shake it and
[00:07:52.680 --> 00:07:54.640]   then it will generate snow like this.
[00:07:54.640 --> 00:07:55.640]   You can share that.
[00:07:55.640 --> 00:08:00.080]   And then yeah, it doesn't automatically share it, but if you save it, then you have a copy
[00:08:00.080 --> 00:08:01.080]   just like that.
[00:08:01.080 --> 00:08:02.080]   The other thing...
[00:08:02.080 --> 00:08:05.200]   It might be that it's one on mine, but except you'd manage to turn it upside down while
[00:08:05.200 --> 00:08:08.200]   it was doing it, so it's smooth for the ground options.
[00:08:08.200 --> 00:08:11.080]   You thought that's worth something.
[00:08:11.080 --> 00:08:12.880]   That's an error at the printing plant.
[00:08:12.880 --> 00:08:14.560]   Is this like a misprinted stamp?
[00:08:14.560 --> 00:08:15.560]   Is this a...
[00:08:15.560 --> 00:08:17.080]   I've got a collectable Google+, for that.
[00:08:17.080 --> 00:08:19.560]   I think so.
[00:08:19.560 --> 00:08:21.920]   But I guess it shows their capability.
[00:08:21.920 --> 00:08:22.920]   I don't know what it shows.
[00:08:22.920 --> 00:08:24.720]   They seem obsessed with snow globes.
[00:08:24.720 --> 00:08:29.840]   They had the temporary mall demo thing with the snow globes.
[00:08:29.840 --> 00:08:30.840]   You go inside the snow globes.
[00:08:30.840 --> 00:08:31.840]   Oh yeah, yeah.
[00:08:31.840 --> 00:08:33.080]   It's just snow globes.
[00:08:33.080 --> 00:08:34.080]   That's right.
[00:08:34.080 --> 00:08:36.480]   Anyway, it's a strange upset.
[00:08:36.480 --> 00:08:37.480]   Jeff?
[00:08:37.480 --> 00:08:42.400]   Just saying that one more glass story that just came out was that I think in a week or
[00:08:42.400 --> 00:08:47.360]   so, an independent facial recognition app was coming.
[00:08:47.360 --> 00:08:49.880]   Oh, well Google block it, right?
[00:08:49.880 --> 00:08:50.880]   They have to approve it, right?
[00:08:50.880 --> 00:08:52.880]   It doesn't just appear.
[00:08:52.880 --> 00:08:53.880]   Yeah.
[00:08:53.880 --> 00:08:54.880]   Unless you...
[00:08:54.880 --> 00:08:55.880]   Can you sideload unglass?
[00:08:55.880 --> 00:08:56.880]   You can't...
[00:08:56.880 --> 00:08:59.080]   Well, I mean, it won't be listed among the normal apps that are generally given...
[00:08:59.080 --> 00:09:00.080]   But it can be out there.
[00:09:00.080 --> 00:09:03.320]   They're kind of our rated apps and things like that.
[00:09:03.320 --> 00:09:04.800]   They don't approve that people can still...
[00:09:04.800 --> 00:09:06.560]   The world's tiniest porn.
[00:09:06.560 --> 00:09:07.560]   Yeah.
[00:09:07.560 --> 00:09:08.560]   Like I'd want to...
[00:09:08.560 --> 00:09:09.560]   That's ridiculous.
[00:09:09.560 --> 00:09:10.560]   I think that's a breast.
[00:09:10.560 --> 00:09:14.560]   I don't know what this is, but it's flesh color, and I like it.
[00:09:14.560 --> 00:09:15.560]   So they're gonna...
[00:09:15.560 --> 00:09:16.560]   See, that's the...
[00:09:16.560 --> 00:09:17.560]   See, this is...
[00:09:17.560 --> 00:09:20.240]   Okay, so there's two issues of privacy.
[00:09:20.240 --> 00:09:22.120]   One is that you're surrepticulously taking pictures.
[00:09:22.120 --> 00:09:26.480]   That's why I'm surprised that they approved the winking, but the other is this facial recognition,
[00:09:26.480 --> 00:09:28.560]   which I think is very, very valuable.
[00:09:28.560 --> 00:09:29.560]   Yeah, I think that's great.
[00:09:29.560 --> 00:09:36.240]   But Google has declined to do it, even though they can, because of the issue of stalkers,
[00:09:36.240 --> 00:09:37.240]   right?
[00:09:37.240 --> 00:09:40.000]   No, it's just because they think it sounded creepy.
[00:09:40.000 --> 00:09:42.480]   This was a directly a Schmidt thing, wasn't it?
[00:09:42.480 --> 00:09:44.480]   Cross is the creepy line.
[00:09:44.480 --> 00:09:49.120]   Because they built this years ago with Google Goggles.
[00:09:49.120 --> 00:09:53.920]   There was a version of that that would identify people that they tested and then said, "No,
[00:09:53.920 --> 00:09:55.080]   we don't want to do that.
[00:09:55.080 --> 00:09:56.080]   That's too creepy."
[00:09:56.080 --> 00:09:57.080]   Right.
[00:09:57.080 --> 00:09:58.080]   Let's be honest.
[00:09:58.080 --> 00:09:59.800]   Either find Google's not gonna do it.
[00:09:59.800 --> 00:10:00.880]   They're gonna wait for others to do it.
[00:10:00.880 --> 00:10:01.960]   It's gonna become popular.
[00:10:01.960 --> 00:10:02.960]   It's gonna work.
[00:10:02.960 --> 00:10:03.960]   You can't stop it.
[00:10:03.960 --> 00:10:04.960]   It's just knowledge.
[00:10:04.960 --> 00:10:06.200]   Knowledge is not dangerous.
[00:10:06.200 --> 00:10:07.600]   Being creepy is what's creepy.
[00:10:07.600 --> 00:10:08.600]   Right.
[00:10:08.600 --> 00:10:09.600]   Yep.
[00:10:09.600 --> 00:10:11.000]   The other thing is that it's just a convenience.
[00:10:11.000 --> 00:10:13.200]   You can already take a picture surreptitiously.
[00:10:13.200 --> 00:10:16.280]   Upload it to Google+, and Google+, will tell you who it is.
[00:10:16.280 --> 00:10:18.480]   So why not...
[00:10:18.480 --> 00:10:20.080]   Why wait?
[00:10:20.080 --> 00:10:23.080]   And as I've pointed out, I'm pointing out with back in the Goggles days, the government
[00:10:23.080 --> 00:10:24.080]   already does it?
[00:10:24.080 --> 00:10:25.080]   So shouldn't we?
[00:10:25.080 --> 00:10:26.080]   Yeah.
[00:10:26.080 --> 00:10:27.080]   Shouldn't we be able to?
[00:10:27.080 --> 00:10:28.080]   I'm not sure.
[00:10:28.080 --> 00:10:31.960]   One of my students, I think I told you a year ago, is trying to use class with people without
[00:10:31.960 --> 00:10:32.960]   timers.
[00:10:32.960 --> 00:10:36.480]   There'll be therapeutic uses of it that are valuable for people.
[00:10:36.480 --> 00:10:40.040]   Well, for all of us above a certain age, Jeff...
[00:10:40.040 --> 00:10:41.040]   Well yes.
[00:10:41.040 --> 00:10:42.760]   I'm Kaleo.
[00:10:42.760 --> 00:10:44.440]   I don't remember people's names.
[00:10:44.440 --> 00:10:45.680]   Oh god, no.
[00:10:45.680 --> 00:10:48.800]   I get introduced to people in five minutes later who they are.
[00:10:48.800 --> 00:10:53.040]   So having glass would be great.
[00:10:53.040 --> 00:10:54.720]   Face recognition glass anyway.
[00:10:54.720 --> 00:10:58.200]   There's also the problem of Phantom Glass Syndrome, which I've suffered from.
[00:10:58.200 --> 00:11:02.080]   I've actually looked up to get information and there was nothing there.
[00:11:02.080 --> 00:11:05.600]   I've also touched the side of my head and there was just nothing.
[00:11:05.600 --> 00:11:07.600]   Phantom Glass Syndrome.
[00:11:07.600 --> 00:11:09.760]   Or my Gell-Ginnam.
[00:11:09.760 --> 00:11:14.840]   He was a normal man until he got struck with Phantom Glass Syndrome.
[00:11:14.840 --> 00:11:18.320]   Google apparently is moving ahead with its photographic stuff.
[00:11:18.320 --> 00:11:25.360]   They just hired Blaze Aguirá Iárquez, who is the guy who did photosynthes for Microsoft,
[00:11:25.360 --> 00:11:29.840]   which is an amazing, wonderful technology.
[00:11:29.840 --> 00:11:34.360]   I think that was one that Robert Scobel said he was in tears when he saw.
[00:11:34.360 --> 00:11:39.880]   I may be wrong, but if he wasn't crying, he should have been.
[00:11:39.880 --> 00:11:41.680]   Photosynthes is really, really beautiful.
[00:11:41.680 --> 00:11:46.360]   He just helped Microsoft with the newest version of Photosynthes, which ironically appeared
[00:11:46.360 --> 00:11:49.840]   on iOS first, not on Microsoft's Windows phones.
[00:11:49.840 --> 00:11:55.680]   He's going to work on machine learning at Google according to the New York Times who,
[00:11:55.680 --> 00:11:59.720]   quote, "people with knowledge of his plans who has to remain anonymous because news of
[00:11:59.720 --> 00:12:02.760]   his hiring had not been publicly announced."
[00:12:02.760 --> 00:12:07.320]   Mr. Aguirá Iárquez has confirmed that he has left Microsoft to join Google but wouldn't
[00:12:07.320 --> 00:12:09.760]   say what he was going to do.
[00:12:09.760 --> 00:12:12.520]   Microsoft says we wish him well in his future endeavors.
[00:12:12.520 --> 00:12:14.880]   He's an amazing engineer because he's been involved.
[00:12:14.880 --> 00:12:20.000]   Well, he's been involved in a very wide variety of projects, including augmented reality, wearable
[00:12:20.000 --> 00:12:22.000]   computing.
[00:12:22.000 --> 00:12:26.520]   He was deeply involved in Bing, development of Bing.
[00:12:26.520 --> 00:12:32.240]   These are disparate, unrelated areas, and he's been involved in all of them.
[00:12:32.240 --> 00:12:33.240]   Which that makes sense.
[00:12:33.240 --> 00:12:34.680]   He is kind of an AI guy then.
[00:12:34.680 --> 00:12:37.680]   He's kind of a machine intelligence guy.
[00:12:37.680 --> 00:12:38.680]   Right.
[00:12:38.680 --> 00:12:41.560]   Who knows what he's going to do at Google, but it's a big blow to Microsoft.
[00:12:41.560 --> 00:12:43.520]   You know, this is the problem with Microsoft.
[00:12:43.520 --> 00:12:46.320]   They have such good research.
[00:12:46.320 --> 00:12:48.720]   They develop so much good technology.
[00:12:48.720 --> 00:12:49.720]   And then where is it?
[00:12:49.720 --> 00:12:51.120]   It reminds me of another company.
[00:12:51.120 --> 00:12:55.280]   It began with an X Xerox, I think was the name of it.
[00:12:55.280 --> 00:12:56.280]   Same thing, right?
[00:12:56.280 --> 00:13:02.560]   In fact, somebody once wrote a book on how Xerox invented the world and then lost it,
[00:13:02.560 --> 00:13:04.520]   never made it happen.
[00:13:04.520 --> 00:13:10.440]   The difference is, Microsoft is a company that rightly or wrongly, for various reasons,
[00:13:10.440 --> 00:13:11.720]   some people don't trust as much.
[00:13:11.720 --> 00:13:12.720]   It became more the Borg.
[00:13:12.720 --> 00:13:14.160]   Xerox was never a Borg company.
[00:13:14.160 --> 00:13:17.720]   It was just kind of, yeah, didn't go on and do its own stuff.
[00:13:17.720 --> 00:13:22.480]   I think some things that Microsoft tried to develop didn't develop because it was Microsoft.
[00:13:22.480 --> 00:13:23.480]   Right.
[00:13:23.480 --> 00:13:24.480]   Yeah.
[00:13:24.480 --> 00:13:29.120]   Photosynthesis really need technology, but it doesn't really fit the Windows Office Nexus.
[00:13:29.120 --> 00:13:30.120]   Yeah.
[00:13:30.120 --> 00:13:33.920]   And some of the content things they've done and when they try to do their version of the
[00:13:33.920 --> 00:13:35.720]   wallet, way, way, way back when.
[00:13:35.720 --> 00:13:38.040]   And people just didn't want to do it with Microsoft.
[00:13:38.040 --> 00:13:43.600]   Microsoft had a certain, it was limited itself to what it was envisioned to be.
[00:13:43.600 --> 00:13:49.040]   But I've seen things in Microsoft research that are the kinds of things that are becoming
[00:13:49.040 --> 00:13:50.040]   just now coming online.
[00:13:50.040 --> 00:13:51.880]   And I saw them a decade ago at Microsoft.
[00:13:51.880 --> 00:13:52.880]   Right.
[00:13:52.880 --> 00:13:53.880]   Things like voice recognition.
[00:13:53.880 --> 00:13:54.880]   Right.
[00:13:54.880 --> 00:14:00.000]   And they made a big point to say that all of these things were using off the shelf laptops
[00:14:00.000 --> 00:14:01.520]   and computers, nothing fancy.
[00:14:01.520 --> 00:14:03.760]   And this is old stuff by today's standards.
[00:14:03.760 --> 00:14:05.000]   And they were doing amazing things.
[00:14:05.000 --> 00:14:09.960]   They had this voice recognition thing that could give you a computer voice in any celebrity's
[00:14:09.960 --> 00:14:10.960]   voice.
[00:14:10.960 --> 00:14:11.960]   They had JFK, Marilyn Monroe.
[00:14:11.960 --> 00:14:14.680]   This was like 12 years ago.
[00:14:14.680 --> 00:14:17.360]   And you never even heard about it outside of their own.
[00:14:17.360 --> 00:14:19.680]   Maybe the computer voice sounded like Marilyn Monroe.
[00:14:19.680 --> 00:14:20.680]   Yes.
[00:14:20.680 --> 00:14:21.680]   Yes.
[00:14:21.680 --> 00:14:22.680]   Almost indistinguishable.
[00:14:22.680 --> 00:14:23.680]   That's kind of intriguing.
[00:14:23.680 --> 00:14:24.680]   It was fascinating.
[00:14:24.680 --> 00:14:25.680]   Yeah.
[00:14:25.680 --> 00:14:27.480]   It would also learn your voice and would speak in your voice.
[00:14:27.480 --> 00:14:28.480]   What?
[00:14:28.480 --> 00:14:29.480]   Yeah.
[00:14:29.480 --> 00:14:30.480]   And they were doing this kind of stuff.
[00:14:30.480 --> 00:14:34.440]   They also had this fascinating project they were working on which was 3D Avatar Chat
