;FFMETADATA1
title=Weiner, Weiner, Pizza Dinner
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=304
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.800]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin
[00:01:48.400 --> 00:01:54.060]   Got the day. Are you like it because you're a professor and I spell that P. E. R. F. E. S
[00:01:54.060 --> 00:01:59.940]   You're a professor does this mean you get the summer off? No, cuz I I
[00:01:59.940 --> 00:02:06.720]   Center so you profess all year round. Yes. I'm sorry. That's whether you want me to or not
[00:02:06.720 --> 00:02:17.400]   Also with us Mike Elgin the man in charge of tech news tonight our daily dose of tech news every Monday through Friday 10 a.m. Pacific
[00:02:17.920 --> 00:02:20.800]   Good to have you again ready to be here. I love the show
[00:02:20.800 --> 00:02:26.760]   It's so nice when I I always listen to it whether I'm on or not and usually when I'm in my kitchen doing the dishes
[00:02:26.760 --> 00:02:27.520]   This saves time
[00:02:27.520 --> 00:02:33.280]   Well, nobody can hear me when I'm shouting at the you know this time. I have a microphone and actually a lexicon here me now
[00:02:33.280 --> 00:02:40.960]   I have my Amazon Echo came yesterday. So did Kevin. Oh, it did. He's really impressed by it. He's he's pretty cool
[00:02:40.960 --> 00:02:45.040]   Yeah, so mine wasn't supposed to come till like August
[00:02:45.040 --> 00:02:50.800]   But they I think Amazon does this they drop it suddenly and then like literally yesterday said it's on its way what and it came
[00:02:50.800 --> 00:02:55.800]   That's great. Yeah, it's pretty cool. I
[00:02:55.800 --> 00:02:58.760]   Notice we're not I mean already set it up in the kitchen
[00:02:58.760 --> 00:03:01.720]   It's not like after Michael asked it a few times to tell a joke
[00:03:01.720 --> 00:03:05.560]   And I asked it to read my audio book and then said okay, that's enough
[00:03:05.560 --> 00:03:08.600]   The daily briefing I played with a little bit that's kind of cool
[00:03:08.600 --> 00:03:13.560]   You can say give me my daily briefing and you set that up ahead of time, but it has NPR another audio
[00:03:14.080 --> 00:03:20.000]   News. Yeah, that's kind of it's like the radio. Yeah, it's like a radio. You can talk to yeah, I guess yeah
[00:03:20.000 --> 00:03:22.000]   Did it read did it?
[00:03:22.000 --> 00:03:28.120]   Computerized reading of your book. No, you're you're you're you're it's my audible. It's audible Amazon owns audible
[00:03:28.120 --> 00:03:34.680]   So it makes sense. So and that features like 24 hours old something like pretty just launched that yeah, you know what I did discover
[00:03:34.680 --> 00:03:39.680]   Is because I was asking on on the shows yesterday
[00:03:40.000 --> 00:03:45.360]   Should I use my iOS or my Android device to set up because it works with both and then I thought you know
[00:03:45.360 --> 00:03:47.360]   I wonder if I use a Kindle fire
[00:03:47.360 --> 00:03:53.960]   If it'll be different the Amazon tablet and it is is it the fire interface much more elaborate really lots more
[00:03:53.960 --> 00:03:56.720]   You can do they give you suggestions to use the tablet space
[00:03:56.720 --> 00:03:58.760]   I think it's yeah
[00:03:58.760 --> 00:04:03.160]   I think it feels like it's you know kind of well Amazon's gonna favor you're using three phones now, aren't you?
[00:04:03.160 --> 00:04:05.920]   least
[00:04:05.920 --> 00:04:09.120]   Welcome to the future is not depressing
[00:04:09.120 --> 00:04:17.880]   All right, let's let's see what else is going on in the world you have a little scooplet mr. Mike
[00:04:17.880 --> 00:04:23.320]   Elgin well, this is this is some actually this is somebody who addressed this to me
[00:04:23.320 --> 00:04:25.760]   You're talking about the the Google survey around
[00:04:25.760 --> 00:04:33.720]   The idea of a Google monthly movie pass as a put a Google movies you can rent movies of course and buy them right right
[00:04:33.720 --> 00:04:38.080]   So somebody named Hugo Sejas or Seyas
[00:04:39.040 --> 00:04:45.760]   Got a survey in Google survey that's something you sign up for the Google opinion rewards exactly
[00:04:45.760 --> 00:04:50.040]   And he asked me if I knew if something was being developed and the answer is no
[00:04:50.040 --> 00:04:54.760]   I don't but it's interesting that somebody is asking about the possibility
[00:04:54.760 --> 00:05:01.880]   So it looks like a Google monthly movie pass is something they're thinking about and I really think this is the future of all
[00:05:01.880 --> 00:05:05.040]   streaming and downloading content as we see with Apple
[00:05:06.120 --> 00:05:09.560]   Music which is that one of their key differentiators is the family plan
[00:05:09.560 --> 00:05:13.080]   They're always looking for these ways to bundle and discount and so on
[00:05:13.080 --> 00:05:19.480]   Yeah, and I think that has everything to do with how they can make how they can lower prices in turn
[00:05:19.480 --> 00:05:26.880]   Even in a way that's acceptable to the content creators right right so presumably Google can go to Hollywood and say you know
[00:05:26.880 --> 00:05:31.200]   Yeah, we'd like to have this monthly movie pass which maybe gives you a discount or does this that the other thing
[00:05:31.200 --> 00:05:34.160]   Yeah, so who knows who knows where they're working who knows
[00:05:34.160 --> 00:05:39.120]   Or this guy's just getting trolled
[00:05:39.120 --> 00:05:44.720]   Well, what's strange is it asks him if he has one which he couldn't unless they're people who do
[00:05:44.720 --> 00:05:51.080]   And we just don't know about it a great AB test in the sky. Yes, like it's like
[00:05:51.080 --> 00:05:56.720]   Hey, just do you have one well no, I don't but where could I get one? It's like
[00:05:56.720 --> 00:06:00.080]   Hmm
[00:06:00.080 --> 00:06:04.840]   It makes sense, you know in fact that's in a way what Apple announced on Monday is that they're going to finally instead of just
[00:06:04.840 --> 00:06:07.880]   selling music
[00:06:07.880 --> 00:06:14.080]   They're gonna let you stream it kind of a monthly kind of like Google all access or Spotify actually Spotify had a big announcement
[00:06:14.080 --> 00:06:23.820]   Today they are boy are they taking off. Yeah? Yeah, what did they say a hundred they had now of 20 million paid subscribers?
[00:06:23.820 --> 00:06:25.820]   Now what's interesting about that is it took them?
[00:06:26.640 --> 00:06:30.120]   five years to get to the point where they had ten million and
[00:06:30.120 --> 00:06:36.840]   Then it took them one minute one year to go from to double that to go from ten million to twenty million
[00:06:36.840 --> 00:06:40.200]   So they've doubled in one year the number of paid
[00:06:40.200 --> 00:06:45.520]   streaming subscribers and something like a hundred million now or 80 million total
[00:06:45.520 --> 00:06:52.120]   Yes, like 75 something like that. I believe it's 55 unpaid. So yeah, that would be 75
[00:06:53.160 --> 00:07:01.000]   Million total which is a huge number and and the but really to have 20 million in this market. It's a very large number
[00:07:01.000 --> 00:07:04.880]   It is easily. I mean Pandora's the biggest with a hundred million users
[00:07:04.880 --> 00:07:10.800]   I don't know how many yeah subscribers they have Spotify's number two by the way this came out as part of a raise
[00:07:10.800 --> 00:07:17.080]   They're they're raising money. They just raised another more than half a billion dollars five hundred twenty six million dollars
[00:07:17.880 --> 00:07:23.960]   And that basically tells you investors feel like they have the inside track against Apple
[00:07:23.960 --> 00:07:26.640]   Yeah, this would be the time that Spotify would try to raise money
[00:07:26.640 --> 00:07:32.720]   But people might be reluctant to give them money waiting to see what Apple music does now that we've seen what Apple has announced
[00:07:32.720 --> 00:07:37.520]   I think Spotify is in a great position. I don't think what Apple announces really setting the world on fire
[00:07:37.520 --> 00:07:39.840]   I saw a lot of shrugs didn't you yeah?
[00:07:39.840 --> 00:07:47.400]   Absolutely clear that the only thing that would propel Apple music forward is just that it's Apple right that it's on every iPhone that
[00:07:47.400 --> 00:07:51.480]   It's on every I presume every iPad that you get three months free
[00:07:51.480 --> 00:08:01.080]   It's funny though the one thing that's a really a big differentiator for Apple music is this 24-hour radio station
[00:08:01.080 --> 00:08:07.200]   Which is not exactly innovative right that's where the DJ they hired from BBC one went
[00:08:07.200 --> 00:08:12.640]   There he'll be coming out of Los Angeles. There's a DJ. I think in New York and then one in London
[00:08:12.640 --> 00:08:15.920]   But that's free everybody you'll get that yep
[00:08:16.480 --> 00:08:21.040]   You don't have to buy it already was free BBC one if they're gonna essentially gonna recreate
[00:08:21.040 --> 00:08:27.040]   One BBC one has been available available globally to every single person with internet connection for years and
[00:08:27.040 --> 00:08:33.680]   Nobody has cared about it. Yeah, and so this is not a differentiator for Apple. I think it's kind of weird actually
[00:08:33.680 --> 00:08:39.040]   Yeah, the idea of a once-taught is fits all DJ'd radio station. It's weird
[00:08:39.040 --> 00:08:41.640]   I don't get it. Yeah
[00:08:41.760 --> 00:08:46.880]   And you know I keep thinking that this Connect service is essentially a place for
[00:08:46.880 --> 00:08:51.760]   Artists to post all their stuff their concerts to interact with fans and so on
[00:08:51.760 --> 00:08:55.520]   I think that could maybe kind of sort of be a differentiator for Apple
[00:08:55.520 --> 00:09:00.640]   Although we don't know what that's gonna look like but I can see that for a lot of super fans if
[00:09:00.640 --> 00:09:07.160]   Superstars like Lady Gaga and and and and really big artists like that
[00:09:08.840 --> 00:09:13.200]   are devoted to the Apple site to Apple Connect then I
[00:09:13.200 --> 00:09:20.080]   Can see a lot of fans going there and sort of taking away followers from Twitter and places where they're already interacting with fans
[00:09:20.080 --> 00:09:26.120]   Yeah, but maybe yeah, maybe and if anybody crazy Apple and Jimmy Iovine can do that
[00:09:26.120 --> 00:09:30.840]   I guess what people really seem to think a lot of Jimmy Iovine. I don't I feel like he's taken Apple down
[00:09:30.840 --> 00:09:36.800]   Basically antiquated road the old music label way of doing things down to the point of having a radio station
[00:09:37.560 --> 00:09:42.720]   Seems very retro, right my brother-in-law was it is is it Google?
[00:09:42.720 --> 00:09:44.560]   I'm sorry is it the Apple
[00:09:44.560 --> 00:09:47.840]   WWDC and he pointed out that they're selling Apple
[00:09:47.840 --> 00:09:50.680]   t-shirts for like 25 bucks
[00:09:50.680 --> 00:09:58.680]   In other words Apple makes really what they've become tons of money on literally every single thing that they offer in any context
[00:09:58.680 --> 00:10:01.400]   Yeah, they Apple is a recording superstar, right?
[00:10:01.400 --> 00:10:09.360]   So I think what Jimmy Iovine brings to Apple from Apple's point of view is is radical profitability in music whether they can pull it off
[00:10:09.360 --> 00:10:13.160]   Or not I don't know right I think I think generally speaking overall
[00:10:13.160 --> 00:10:18.840]   They're hatching a scheme where they're gonna make money not from the streaming not from downloads not from any of that stuff
[00:10:18.840 --> 00:10:24.080]   But from other stuff it's so funny because beats one which is their version as
[00:10:24.080 --> 00:10:30.120]   If like it's it's it's almost as if we've invented radio on the internet
[00:10:30.120 --> 00:10:36.080]   Yeah, if you have tuning in radio on your iPhone you have 30,000 radio stations
[00:10:36.080 --> 00:10:38.080]   Yeah available right now
[00:10:38.080 --> 00:10:45.480]   24/7 global the we invented radio on the internet is literally a joke on HBO South Valley radio on the internet
[00:10:45.480 --> 00:10:50.720]   We've invented it. Yeah, so I just I you know this is not the Apple show. We certainly discovered it
[00:10:50.720 --> 00:10:57.800]   Yeah, on Monday and Tuesday, but I think it's going on and there's a few other things in the rundown that I think that
[00:10:58.600 --> 00:11:01.300]   Apple is now attacking the advertising business model
[00:11:01.300 --> 00:11:07.840]   Hacking the attack in the average business model a couple ways. So that's that's what cooks whole
[00:11:07.840 --> 00:11:16.040]   Sweet about privacy is privacy depends upon data to target and Apple says well, we don't do that because we don't we never figured out how to do advertising
[00:11:16.040 --> 00:11:22.280]   But but having having lost that they attack Google that way. That's number one and then number two
[00:11:22.280 --> 00:11:25.080]   I just saw Josh Benton at Neiman
[00:11:25.480 --> 00:11:32.040]   I follow in news just had a panic attack because he saw that iOS 9. There's ad blocking
[00:11:32.040 --> 00:11:40.400]   Oh, interesting and so I think I think you see something coming together here where Apple's going to
[00:11:40.400 --> 00:11:47.560]   Like you know a news Corp say we're gonna make our money on on finding ways to charge consumers and
[00:11:47.560 --> 00:11:52.360]   Not to be dependent about advertising. That's gonna be our business differentiation area interest
[00:11:52.360 --> 00:11:54.600]   We're gonna attack we're gonna use the consumers we have
[00:11:55.080 --> 00:11:57.080]   to attack
[00:11:57.080 --> 00:12:02.840]   Those who are supported by advertising which includes not only Google but also all of media. Yeah
[00:12:02.840 --> 00:12:09.060]   Yeah, well, but that's so look at if I were Apple putting myself in their shoes. I'd go all in on that
[00:12:09.060 --> 00:12:13.040]   That's differentiator. Okay. That much is okay
[00:12:13.040 --> 00:12:17.000]   But when you build an ad blocker into your operating system
[00:12:17.000 --> 00:12:21.560]   You're having a huge impact on the entire media and especially journalism industries
[00:12:21.560 --> 00:12:27.720]   You're having an impact on society now you can argue that that you know a fast-forward button was built into BCR's got it
[00:12:27.720 --> 00:12:31.960]   You know, okay, there's no God given right to force advertising on people
[00:12:31.960 --> 00:12:36.460]   However, if you kind of make it too easy to block this because people don't like it
[00:12:36.460 --> 00:12:44.680]   Then there's an easy or a spot to impact just block iOS from your website. It's like who it's like people complaining about Google News
[00:12:44.680 --> 00:12:48.760]   Just you don't have to participate you say hey if you're an I always I'm sorry
[00:12:48.760 --> 00:12:52.440]   We can't show you ads so we were not gonna show you our site. Yeah, but there's also these these these
[00:12:52.440 --> 00:12:54.920]   black mailing ad blockers
[00:12:54.920 --> 00:13:00.240]   Right that ad blood plus will go to you and say if you would like to be seen
[00:13:00.240 --> 00:13:06.000]   All you have to do is be so that that is racketeering. It is just straight out racketeering
[00:13:06.000 --> 00:13:10.600]   but apparently legal and I think it's more complicated because they have a
[00:13:10.600 --> 00:13:18.240]   Approved ad policy that you can't have flash in the ad you can't have you say if they listen if they were truly
[00:13:18.240 --> 00:13:23.200]   Consumers they wouldn't charge they wouldn't they wouldn't well their extort the money out of the company. Yeah, there's ad block
[00:13:23.200 --> 00:13:29.520]   Which there's there's it's also that's the other thing. It's a little confusing. There's there's a business
[00:13:29.520 --> 00:13:34.440]   And then there's an open source project and actually I think I'm confusing them one of them is
[00:13:34.440 --> 00:13:37.280]   forget which one is
[00:13:37.280 --> 00:13:39.280]   Is it adblock plus
[00:13:39.280 --> 00:13:40.800]   That is
[00:13:40.800 --> 00:13:42.800]   pure and adblock that's not
[00:13:44.200 --> 00:13:46.840]   You know their competitors adblock plus says
[00:13:46.840 --> 00:13:53.440]   Used by over 50 million people a free ad blocker for Chrome adblock says the number one ad blocker with over 200 million downloads
[00:13:53.440 --> 00:14:00.760]   Ad which one switch I think adblock plus is the one that has approved
[00:14:00.760 --> 00:14:06.240]   They did the deal with Google they have the approved track where for a small fee
[00:14:06.240 --> 00:14:13.160]   You can get through and adblock I believe is the open source one, but I had a lot plus plus is a programming
[00:14:13.160 --> 00:14:15.160]   I
[00:14:15.160 --> 00:14:20.080]   Might be wrong on those it's certainly that is certainly controversial
[00:14:20.080 --> 00:14:21.920]   Yeah
[00:14:21.920 --> 00:14:23.920]   And up but I but I think
[00:14:23.920 --> 00:14:27.120]   This is where apples headed Apple wanted to have an ad model
[00:14:27.120 --> 00:14:33.600]   They they tried that but they failed because they don't have the whole world what we keep ignoring and I'm gonna get you know
[00:14:33.600 --> 00:14:35.960]   Apple fanboys going after me, but
[00:14:36.400 --> 00:14:43.200]   Android's the biggest by far Android is where the reach in the and the volume is and it's gonna be worldwide and
[00:14:43.200 --> 00:14:48.880]   So Apple sees that it's not gonna be able to kill the ad market. It's already failed at the ad market
[00:14:48.880 --> 00:14:50.960]   So why don't why not just attack the ad market?
[00:14:50.960 --> 00:14:56.960]   Yeah, and the downside for that the potential downside for Apple is that in fact advertising is a very
[00:14:56.960 --> 00:15:00.000]   democratizing form of monetization
[00:15:01.400 --> 00:15:07.840]   Simply because it's a it's a it's a transfer of wealth from the people who buy ads to to those who don't or can't so
[00:15:07.840 --> 00:15:13.320]   You know who in the world let me hear that again because I need to understand that why is that why is this democratizing?
[00:15:13.320 --> 00:15:16.480]   Okay, so let's say you have somebody who lives in who lives in
[00:15:16.480 --> 00:15:23.440]   Some country and makes $15 a month. Yeah, right? Okay, and and there's a story for it to pay a buck a month
[00:15:23.440 --> 00:15:25.800]   You're not gonna buy any of this stuff
[00:15:25.800 --> 00:15:31.040]   But you can he can use if he can get on the internet he can get everything you get on Twitter or
[00:15:31.040 --> 00:15:36.360]   You know Google search feed or Google search is supported by ads to get that for exactly and the reason
[00:15:36.360 --> 00:15:43.040]   You're absolutely right Mike and it goes further too is that now in a world where we all have our own websites that can be supported by advertising
[00:15:43.040 --> 00:15:45.080]   then
[00:15:45.080 --> 00:15:51.000]   That's democrat. That's doubly democratizing. Yeah, there's a can support more people speaking and you know
[00:15:51.000 --> 00:15:57.200]   You know just have a small 1% able to buy the content from a small oligarchy of media
[00:15:57.200 --> 00:16:03.960]   Which is where it heads if we kill advertising. Yeah, but but Apple's gonna say well, it's not our responsibility to preserve
[00:16:03.960 --> 00:16:06.800]   Media it's our
[00:16:06.800 --> 00:16:13.320]   Customers want well, but does that mean that means interfering with the business right when I when I give you a website and say I can
[00:16:13.320 --> 00:16:15.320]   Give this for free. I do it under
[00:16:15.320 --> 00:16:16.600]   some
[00:16:16.600 --> 00:16:20.000]   Business rule, so I say here's the website, but I have ads with it. That's the deal
[00:16:20.000 --> 00:16:22.000]   right and
[00:16:22.000 --> 00:16:24.080]   Apple is interfering with that
[00:16:24.080 --> 00:16:32.720]   They're they're they're enabling the changing of the site to do that. Yeah, and and and that would be like saying
[00:16:32.720 --> 00:16:33.800]   I'm gonna do a service
[00:16:33.800 --> 00:16:38.160]   Well, I'll take the newspaper and I'll cut out all the ads for you and deliver that to you
[00:16:38.160 --> 00:16:46.800]   Apple is yeah, and Apple's for the global 1%ers no question about that. Yes, but for them to suggest that
[00:16:47.240 --> 00:16:51.160]   that and that their attack on advertising is somehow a
[00:16:51.160 --> 00:16:56.360]   An ethical issue or something like that. I mean Tim Cook makes it like you know
[00:16:56.360 --> 00:17:01.180]   The those evil advertising companies are harvesting your data. Well, that's doing this bad thing
[00:17:01.180 --> 00:17:03.600]   We're the good pure and right people no
[00:17:03.600 --> 00:17:10.480]   We're the we're the people who sell really expensive stuff and make a ton of money on stuff that most of the world can't even dream of affording
[00:17:10.480 --> 00:17:13.960]   And so we have the luxury yeah kill some people
[00:17:14.440 --> 00:17:17.360]   Drive people suicide making these things, but never mind now. Yeah
[00:17:17.360 --> 00:17:20.400]   So but okay
[00:17:20.400 --> 00:17:25.320]   And every time I get this battle go on Apple. No, no, this is good every time I get no no
[00:17:25.320 --> 00:17:28.760]   This is a conversation. We cannot have too much. I think on this now
[00:17:28.760 --> 00:17:33.360]   We're gonna some we've had it many times that I met it with Steve Gibson because he loves ad blockers
[00:17:33.360 --> 00:17:35.760]   He's concerned about privacy more than almost anybody
[00:17:35.760 --> 00:17:42.640]   Part of this is the ad industries fault right for making ads that are so
[00:17:43.320 --> 00:17:49.040]   Terrificly over the top and annoying and and the response by the way to add blockers is to make it worse is not to make it
[00:17:49.040 --> 00:17:55.040]   Not to back down right and be you know peak about all the things that were used for targeting right?
[00:17:55.040 --> 00:18:02.240]   My my entire argument is the salvation of the news business is gonna have to be to be more relevant
[00:18:02.240 --> 00:18:07.480]   That means we have to know people as individuals. That means we have to have data otherwise known as information about them
[00:18:07.480 --> 00:18:11.600]   So we can give them greater relevance and when voluntary doesn't grow with that
[00:18:11.600 --> 00:18:15.600]   But the ad industry and the media industry and the technology industry all
[00:18:15.600 --> 00:18:21.240]   By being opaque allowed that to be demonized. We talked about that on the show many many times the wall's journals
[00:18:21.240 --> 00:18:23.880]   What do they know and now apples just playing right into that?
[00:18:23.880 --> 00:18:26.880]   the same as as news Corp has and
[00:18:26.880 --> 00:18:30.840]   You know, it's interesting we had on our webpage
[00:18:30.840 --> 00:18:32.640]   very
[00:18:32.640 --> 00:18:33.840]   kind of
[00:18:33.840 --> 00:18:39.760]   Odd eclectic privacy policy it's with that TV which I wrote many years ago and which was somewhat out of date saying
[00:18:39.760 --> 00:18:43.520]   We don't want anything about we don't want to know anything about you and so we're not gonna collect anything about you and
[00:18:43.520 --> 00:18:48.280]   Go on going about your business that changed over time because we put Google Analytics on there
[00:18:48.280 --> 00:18:50.600]   Cuz we do want to know how much we don't want to know anything about you
[00:18:50.600 --> 00:18:53.360]   But we do want to know how many people visit our page and stuff
[00:18:53.360 --> 00:18:59.160]   But Google Analytics then gives Google a kind of a window into our users plus there's ad banners on our site
[00:18:59.160 --> 00:19:04.800]   Which that those came later? Yeah, and of course whenever you serve an ad banner the ad server or whatever it might be
[00:19:04.800 --> 00:19:07.360]   And I believe it's Google
[00:19:07.360 --> 00:19:15.720]   It's Google. It's doing that gets information about you who anybody visits our website. So we got then we got approached by a
[00:19:15.720 --> 00:19:20.840]   organization created by the ad industry and
[00:19:20.840 --> 00:19:28.400]   They said you have to fix your site and tell people what you're doing or we're gonna report you
[00:19:28.400 --> 00:19:34.360]   We're gonna turn you into the FTC and I think that my initial reaction will screw you
[00:19:34.360 --> 00:19:40.000]   But I think what it really is is the ad industry responding probably to a consent decree with the FTC
[00:19:40.000 --> 00:19:44.600]   But maybe not maybe just proactively saying well, we better get this and so when you see that ad choices thing
[00:19:44.600 --> 00:19:50.320]   That's it. They said you need to have a much better privacy policy. That's very clear about what you're doing
[00:19:50.320 --> 00:19:52.840]   It's so interesting because this came from the ad industry
[00:19:52.840 --> 00:20:00.320]   Yeah, and you need to have a link that says add choices that shows what you can do to opt out and and it's it's the
[00:20:00.560 --> 00:20:06.160]   Industry trying to self-regulate before the government comes in. Yeah says well, you better you better get your house in order
[00:20:06.160 --> 00:20:12.000]   So there is some awareness of this yeah, and and we spend a lot of time and money by the way making that work
[00:20:12.000 --> 00:20:17.600]   Yeah, and personally, I don't think there's anything wrong with ad blockers when people choose
[00:20:17.600 --> 00:20:23.840]   I don't like the idea of ad blockers that are enabled by companies as an opt-out kind of thing
[00:20:23.840 --> 00:20:27.560]   But I think that for anybody who wants to opt into an ad blocker. That's fine and nobody
[00:20:27.920 --> 00:20:30.760]   You know advertising is not a requirement for you to
[00:20:30.760 --> 00:20:36.680]   To listen to or purchase the things that they're advertising or do any of that stuff if you are going to decide in advance
[00:20:36.680 --> 00:20:38.360]   You're not going to buy anything from advertising
[00:20:38.360 --> 00:20:41.120]   And you don't you're not going to read them anyway, and you don't care about them
[00:20:41.120 --> 00:20:43.120]   And you don't want to see them that's fine
[00:20:43.120 --> 00:20:48.320]   You know the vast majority of people who get ads served to them are never going to act on those ads
[00:20:48.320 --> 00:20:50.040]   They're never going to click on them or even look at them
[00:20:50.040 --> 00:20:56.360]   And so that's just that's fine. There's nothing wrong that even raises the issue of do ads work at all to banner ads work at all
[00:20:56.360 --> 00:21:00.920]   Does anybody even see him anymore? I don't see that's that's exactly the point and I think that's that's right
[00:21:00.920 --> 00:21:05.320]   But what what is going to make them work greater relevance? What fuels great relevance?
[00:21:05.320 --> 00:21:06.800]   for
[00:21:06.800 --> 00:21:10.000]   Information exactly and you know let's try another you know on the right or wrong
[00:21:10.000 --> 00:21:14.880]   Idea here. What if Apple provided a mechanism and we know the technology exists
[00:21:14.880 --> 00:21:20.720]   We see the jokes about it, you know millennials become snake people and said oh, we're not gonna bother your pretty little head
[00:21:20.720 --> 00:21:23.280]   We'll create a product that takes out anything that's
[00:21:25.360 --> 00:21:27.360]   Google related
[00:21:27.360 --> 00:21:32.560]   We'll take take out you know we will take a given publication and give it to you cleansed of something
[00:21:32.560 --> 00:21:37.480]   Yeah, we should mention ads cleanse of content that Apple themselves are not making the ad blockers
[00:21:37.480 --> 00:21:42.920]   They've just made it possible to do on iOS what they're or they're about to make it possible to do an iOS
[00:21:42.920 --> 00:21:44.920]   What you've been able to do on safari and sorry?
[00:21:44.920 --> 00:21:49.520]   Yes, and firefox all along which is they've enabled that capability for people to
[00:21:49.520 --> 00:21:52.160]   Add to safari for iOS
[00:21:53.920 --> 00:21:57.400]   So Apple hasn't really taken a stand in there. I mean it's kind of
[00:21:57.400 --> 00:22:06.040]   It's kind of like they're saying well you can if you want to and of course a user would have to download this right
[00:22:06.040 --> 00:22:09.000]   User would have to install it. I don't I
[00:22:09.000 --> 00:22:13.680]   Don't know I feel like it should be up to the user
[00:22:13.680 --> 00:22:19.960]   But well use it's the same thing. I feel like you don't this argument is very much like the Napster argument
[00:22:19.960 --> 00:22:29.040]   I feel like it's it's what we need to do is educate users and viewers and listeners and readers that this free content is provided to you
[00:22:29.040 --> 00:22:34.200]   Thanks to our advertisers. I think our audience knows that well there was a horrible
[00:22:34.200 --> 00:22:37.080]   It's like it's in the rundown there was what I think was I didn't read the whole study
[00:22:37.080 --> 00:22:39.080]   But what I've seen about an awful
[00:22:39.080 --> 00:22:43.600]   Pen study on advertising. Oh where to go was in the rundown wasn't it?
[00:22:46.760 --> 00:22:51.760]   By the way the group that called us is the digital advertising alliance
[00:22:51.760 --> 00:22:59.040]   And I I never really quite figured out why they were harassing us
[00:22:59.040 --> 00:23:02.400]   We did comply because it's the right thing to do
[00:23:02.400 --> 00:23:09.760]   But my sense is that this is probably funded by the yeah, you know the IAB and the other ad
[00:23:09.760 --> 00:23:12.560]   People saying well, we better do something here
[00:23:13.040 --> 00:23:17.400]   Because if we don't the government will some reason I can't get the
[00:23:17.400 --> 00:23:24.760]   Comments to work on there. We go. I just here's a story about it. So there's a there's a pen
[00:23:24.760 --> 00:23:27.280]   universe Pennsylvania study
[00:23:27.280 --> 00:23:32.720]   By three academics saying well consumers don't like this idea of exchanging data for for content
[00:23:32.720 --> 00:23:37.920]   But the way they worded every damn question was so loaded
[00:23:37.920 --> 00:23:42.800]   You know do you agree that it's okay to get to discount something if you're in love the story to monitor
[00:23:42.800 --> 00:23:48.400]   You you agree. It's okay to get content if it's okay for people to take information about you and you don't know it
[00:23:48.400 --> 00:23:53.160]   You know it just it's just stacks them puts the thumb on the scale on the way
[00:23:53.160 --> 00:23:58.680]   This is done you couldn't you could turn around and say would you like to have one one hundredth of the content you have today?
[00:23:58.680 --> 00:24:04.520]   Yeah, would you like to pay a huge fortune to companies that with the music industry has said though?
