;FFMETADATA1
title=93 Million Selfies
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=255
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.120]   It's time for Twig is Weekend Google and we are just back from the Google I/O keynote.
[00:03:22.520 --> 00:03:28.360]   What's that and if you look at it long enough you get what what's really interesting is just like the oculus rift
[00:03:28.360 --> 00:03:32.800]   This moves with your head yeah pretty quickly take that mark Zuckerberg
[00:03:32.800 --> 00:03:36.400]   Cardboard riff how much did he pay for oculus?
[00:03:36.400 --> 00:03:38.960]   four billions
[00:03:38.960 --> 00:03:42.000]   Apparently this was a 20% time project with the Google engineers
[00:03:42.400 --> 00:03:46.160]   Want to see what they could do with cardboard if you go to g.co
[00:03:46.160 --> 00:03:52.920]   cardboard you can see it yourself and even build it yourself if you really wanted to I
[00:03:52.920 --> 00:03:55.080]   not to
[00:03:55.080 --> 00:04:00.260]   Pull it on only out here genius spent quite a good while in the car figuring it out and I never I had no
[00:04:00.260 --> 00:04:03.280]   She was sticking her
[00:04:03.280 --> 00:04:06.160]   And then there isn't a
[00:04:06.160 --> 00:04:09.560]   I didn't I didn't RTFM at all. I was like I don't I don't care
[00:04:09.560 --> 00:04:15.520]   I'm sure that I could just stick the tabs where they need to go. Yes, there aren't but I did less than IKEA style directions
[00:04:15.520 --> 00:04:21.480]   Oh Gina Gina made it all figured out and then she went to the then she finally went to the page
[00:04:21.480 --> 00:04:28.480]   That's usually how it works virtual reality has made exciting progress over the past several years
[00:04:28.480 --> 00:04:33.560]   This really isn't up yours to mark is it is the result is cardboard and no frills enclosure
[00:04:33.560 --> 00:04:39.880]   Transforms a phone into a basic VR headset and the accompanying opening open software toolkit
[00:04:39.880 --> 00:04:45.280]   You know what this really is a little bit of a takeoff on that thing that the Motorola X does with the hat
[00:04:45.280 --> 00:04:50.080]   Yeah, the house allows you it's kind of fun play a game and aim up and down
[00:04:50.080 --> 00:04:54.160]   I'm not if we loaded up the hat and stuck it in the car door. It would probably be really cool
[00:04:54.160 --> 00:04:56.240]   And it uses the accelerator cooler than this
[00:04:56.240 --> 00:05:00.120]   What's that I know they didn't mention that at all
[00:05:01.000 --> 00:05:06.440]   Upgrade to two gigabytes, but you have to buy it to give bites a ram and as soon as Jeff saw the watch demo
[00:05:06.440 --> 00:05:09.640]   He turned around to me and said getting rid of this point into his glass
[00:05:09.640 --> 00:05:13.880]   Two thirds the function out of a more two thirds of the functionality that's right now. Go on
[00:05:13.880 --> 00:05:15.640]   Wow
[00:05:15.640 --> 00:05:22.320]   Alright, so so there you have it that was that was the big giveaway that I think it's gonna be a little easier to get into Google
[00:05:22.320 --> 00:05:24.320]   I/O next year
[00:05:24.320 --> 00:05:30.040]   But I said this I said a cool of course you can have trouble with Google I/O
[00:05:30.240 --> 00:05:33.040]   We had we had to try like the Dickens to get Gina
[00:05:33.040 --> 00:05:38.360]   Thank you
[00:05:38.360 --> 00:05:39.880]   But but
[00:05:39.880 --> 00:05:42.680]   I think part of that was because they gave away last year
[00:05:42.680 --> 00:05:47.400]   They gave away a lot of stuff the year before a lot of stuff and it seems like a good deal to spend
[00:05:47.400 --> 00:05:50.560]   What is it nine hundred bucks to get in yeah and get more than that worth the
[00:05:50.560 --> 00:05:55.840]   goodies right the pixel was a fifteen hundred dollar machine but for sale on eBay I bought this one
[00:05:55.840 --> 00:06:00.940]   I love this one you can make money at it, but I think this is not gonna sell for much
[00:06:00.940 --> 00:06:09.600]   But then we used to get two watches so I mean you get your choice of the Samsung or the LG and then the Moto later
[00:06:09.600 --> 00:06:15.400]   So what which ones do we get did they give any more information about these watches like what they're gonna sell for?
[00:06:15.400 --> 00:06:22.160]   Well, fine. Yeah, they said that they would be in sale in the play store this afternoon yet yet
[00:06:23.680 --> 00:06:28.080]   So when they go on sale, I guess we'll then know how much it's gonna be but
[00:06:28.080 --> 00:06:35.720]   They didn't and say a price and they didn't even say anything more than Moto 360 available sometime this summer
[00:06:35.720 --> 00:06:40.960]   Which was right say no, but we did see it is circular right in fact
[00:06:40.960 --> 00:06:44.880]   I think soon our patchine was wearing a circular here it is watch the
[00:06:44.880 --> 00:06:47.760]   I think it's what 99
[00:06:47.760 --> 00:06:52.040]   The gear live will be available for pre-order littered at 199.99
[00:06:52.040 --> 00:07:00.040]   So the gear the gear to is 300 bucks LG is 300 is 229. Okay, previously announced. Okay
[00:07:00.040 --> 00:07:05.000]   Which one you gonna pick which one should I oh you're asking me like I know I
[00:07:05.000 --> 00:07:10.160]   Don't know the difference is I mean see your view I think is the Samsung's been making
[00:07:10.160 --> 00:07:17.640]   Or I actually don't I liked the gear to I mean the limit it's limited as though they are I liked it
[00:07:17.640 --> 00:07:21.960]   The problem is very Samsung specific device. It may be the case with the effect
[00:07:21.960 --> 00:07:25.140]   That's what you should find out. It's probably won't work with your Nexus or your
[00:07:25.140 --> 00:07:30.240]   HTC I mean I got the question is Android where so it talks to Android no matter what see that would be great
[00:07:30.240 --> 00:07:34.760]   I mean right because yeah, I mean that's that's that's kind of there were some important things today
[00:07:34.760 --> 00:07:40.840]   But but and we'll go over them all but going across platform easily was really one of the main points and how
[00:07:40.840 --> 00:07:46.400]   The coming together of Android and Chrome and that's how they're going across platforms
[00:07:46.400 --> 00:07:51.920]   So that you can have an Android app on your computer your Android app can talk to your watch your watch is sinking with your Android app
[00:07:51.920 --> 00:07:57.680]   I mean it really has gotten fairly impressive going across here. Well, I made notes as we talked
[00:07:57.680 --> 00:07:59.240]   to
[00:07:59.240 --> 00:08:00.680]   to my
[00:08:00.680 --> 00:08:03.600]   My energy gave out and I just collapsed in a puddle
[00:08:03.600 --> 00:08:08.680]   And we can go through this one by one. They did of course start as every
[00:08:08.680 --> 00:08:15.640]   Of these big this is by the way the fourth big company developers keynote we've seen
[00:08:16.040 --> 00:08:19.600]   There it started with build Microsoft's build gosh months ago
[00:08:19.600 --> 00:08:24.960]   then WWDC Facebook's F8 conference you could throw in the
[00:08:24.960 --> 00:08:31.960]   The Amazon phone announcement that wasn't a developer announcement you could throw that in and now
[00:08:31.960 --> 00:08:35.240]   Google gets kind of the last word with Google IO
[00:08:35.240 --> 00:08:44.880]   This was the longest had the least sales pitch stuff in it and and it's easily the most developer specific stuff way way more specific
[00:08:45.800 --> 00:08:51.520]   Than any of the others, but they did begin with a little bit of marketing. They said and right now has one billion
[00:08:51.520 --> 00:08:54.600]   Monthly active users one billion with a B
[00:08:54.600 --> 00:09:02.120]   Easily dwarfing iOS has 800 million but only of the 800 million only 600 million our phones
[00:09:02.120 --> 00:09:09.280]   So but I guess you're including tablets here, too. So a one billion. Well, that was one of the great little swipes ones. It doesn't include
[00:09:09.280 --> 00:09:13.560]   Amazon but that wouldn't be very much
[00:09:13.560 --> 00:09:15.560]   I
[00:09:15.560 --> 00:09:22.800]   Was on is and there were a few very subtle swipes at Amazon and of course and Apple - and Microsoft
[00:09:22.800 --> 00:09:24.960]   They never used it. They didn't want to talk about Microsoft
[00:09:24.960 --> 00:09:26.960]   But a number of the things are targeted to Microsoft
[00:09:26.960 --> 00:09:29.960]   20 billion text messages a day sent over Android
[00:09:29.960 --> 00:09:34.640]   Ironically that dwarfs the number of text messages sent over WhatsApp
[00:09:34.640 --> 00:09:39.760]   Which is I looked it up, but it was more than I think was 23 billion or more a day
[00:09:40.080 --> 00:09:46.240]   So so so as many as they send as many text messages are sent over Android more are sent over WhatsApp
[00:09:46.240 --> 00:09:51.020]   So it doesn't dwarf it is the opposite. What's the opposite of dwarfing it? It giants it
[00:09:51.020 --> 00:09:55.200]   93 million selfies a day
[00:09:55.200 --> 00:10:00.240]   This is not something I would tout. Yeah, no, no, no, and how do they it's an art form?
[00:10:00.240 --> 00:10:02.240]   That's gotta be a joke cuz how do you know it's a selfie?
[00:10:02.240 --> 00:10:07.960]   What way
[00:10:07.960 --> 00:10:11.360]   Which way the camera is pointed, you know, how do you know it's also
[00:10:11.360 --> 00:10:17.080]   62% of tablets globally
[00:10:17.080 --> 00:10:24.480]   That's a big deal cuz the other 38% is iPads. Yeah, yeah, so that I think that's all they didn't have to go in
[00:10:24.480 --> 00:10:29.960]   Atoxic hells do or anything like that. They just had to say well, we got a billion monthly active users. What do you got? Yep? Yep?
[00:10:29.960 --> 00:10:35.400]   Yep, they did before they announced the L word they announced by the way
[00:10:35.400 --> 00:10:37.840]   That's what's gonna be called the L word. I just thought you know
[00:10:37.840 --> 00:10:40.760]   You're happy about that
[00:10:40.760 --> 00:10:43.920]   No a real L word before they announced that
[00:10:43.920 --> 00:10:50.080]   Android one which is a platform an interesting platform looks like a turnkey platform for
[00:10:50.080 --> 00:10:55.360]   handset makers in the developing world that allows them to quickly and easily make sub hundred dollar
[00:10:55.360 --> 00:11:02.600]   With Google services with guaranteed updates with all kinds of things guaranteed updates was
[00:11:03.200 --> 00:11:07.120]   And it's appropriate to the markets that you always want. I don't know why in India you always want double sims
[00:11:07.120 --> 00:11:11.160]   But you do and radio FM ran in the radio was born in the market and under a hundred dollars
[00:11:11.160 --> 00:11:16.360]   I'm surprised they didn't give that away just to say look people look what you can do and it's gonna explode
[00:11:16.360 --> 00:11:21.760]   Mobile to left. I mean the big thing today was to me. This is a mobile company
[00:11:21.760 --> 00:11:26.360]   It is mobile mobile mobile by the way, they even said that they said we're gonna talk about mobile design it mobile
[00:11:26.360 --> 00:11:29.080]   By the way, you can also make up the quaint thing we used to call the web browser
[00:11:30.360 --> 00:11:33.800]   It expand nicely for the web as well. Yeah, yeah
[00:11:33.800 --> 00:11:40.880]   It was it was do it for mobile. That was that was the whole message of the day to me and play it play supports auto installation
[00:11:40.880 --> 00:11:47.240]   A local content so like like so you can distribute these phones with with local relevant apps that will just get auto updated
[00:11:47.240 --> 00:11:53.440]   It looks for the scene. It sounded really nice. They they also kind of said in this was a response to toxic
[00:11:53.440 --> 00:11:59.040]   Hellstew that the 93% of all Android phones do at least have the latest version of play and
[00:11:59.480 --> 00:12:05.880]   That they are gonna start distributing security updates via play and doing an end around on the yes on the carriers end
[00:12:05.880 --> 00:12:06.840]   Which I said in Twitter
[00:12:06.840 --> 00:12:11.440]   That's that's their end around around fragmentation, but somebody else said well, but what what L is bringing
[00:12:11.440 --> 00:12:16.840]   That's why updates do matter because there's tons of functionality right and design that comes to L
[00:12:16.840 --> 00:12:20.440]   It's not gonna be in a play update. It won't help their places. It's always been a problem
[00:12:20.440 --> 00:12:27.480]   It's not that people don't want the latest version of Android is the carriers and manufacturers don't put it on their phones and
[00:12:28.520 --> 00:12:35.160]   So you have a hard time getting it and people are not really willing to get a new phone just so they can get the latest version of Android
[00:12:35.160 --> 00:12:36.240]   I know
[00:12:36.240 --> 00:12:42.800]   The latest version will be L. We know that K is a Kit Kat. Yep J was jelly bean H
[00:12:42.800 --> 00:12:46.080]   You know and then on back they're all desserts, so we know it'll be L
[00:12:46.080 --> 00:12:49.360]   But we don't know which dessert they haven't announced it leechy
[00:12:49.360 --> 00:12:54.680]   licorice so Kevin Marks had an unusual suggestion we heard laughing Taffy
[00:12:55.880 --> 00:13:01.080]   Last night said laughing does I thought it was Kevin suggested lintz L. I and DT
[00:13:01.080 --> 00:13:06.200]   Yeah, I don't think it'll be lint. No, you know the brand. It doesn't quite fit that brand doesn't quite fit
[00:13:06.200 --> 00:13:13.160]   Not quite it's not quite Jason's joke was laughing Taffy. Yeah, I you know, I maybe it may well be given that they made a relationship
[00:13:13.160 --> 00:13:15.880]   And I'm sure made some money on Kit Kat making a relationship with Nestle
[00:13:15.880 --> 00:13:19.880]   Maybe they'll do the same thing with for L. Maybe and that deal just hasn't closed. That's why we're just calling it L
[00:13:19.880 --> 00:13:25.320]   It was lemon heads. I found it strange referring to it as a don't have the little doll ready for the yard
[00:13:25.320 --> 00:13:27.600]   I mean, yeah, right the statue hasn't been shipped yet
[00:13:27.600 --> 00:13:33.240]   Well, this is one thing they said is we want to let developers look at the new version of Android much earlier from now on
[00:13:33.240 --> 00:13:39.360]   So this really is a release or an announcement of an release of an SDK well before the
[00:13:39.360 --> 00:13:41.480]   version comes out yeah
[00:13:41.480 --> 00:13:46.200]   I mean there's a tremendous amount of design changes here with the material design stuff the new themes
[00:13:46.200 --> 00:13:50.160]   This is something that developers want to get ahead of time to get ahead of well
[00:13:50.160 --> 00:13:54.880]   Apple announced 4,000 new APIs with iOS 8 now they've got 5,000
[00:13:54.880 --> 00:14:00.880]   But I thought a having learned 5,000 new APIs it wasn't a good thing
[00:14:00.880 --> 00:14:05.280]   I know it made me feel just kind of tired when I heard that I was a welding I had a long to-do list
[00:14:05.280 --> 00:14:13.160]   How do you do that when you I mean the each a each new API reflects either a change in the way you interact with an existing
[00:14:13.160 --> 00:14:15.720]   service or a new service entirely and
[00:14:16.080 --> 00:14:20.720]   Do you just wait till you need something and look it up or do you kind of browse it and say well?
[00:14:20.720 --> 00:14:25.240]   Let's see what I can do. I mean this is you can't you don't learn all 5,000 right?
[00:14:25.240 --> 00:14:26.560]   No, you don't learn all 5,000
[00:14:26.560 --> 00:14:31.600]   I mean it really depends for something like Android where this is a whole new device is a whole new category
[00:14:31.600 --> 00:14:36.520]   You want to be ahead of this curve you want when it when these watches hit the market for your app to be awesome on it
[00:14:36.520 --> 00:14:36.640]   Right?
[00:14:36.640 --> 00:14:42.040]   You want your app to be in the demos so that's something that you go ahead of go ahead on and try to learn all the Android
[00:14:42.040 --> 00:14:46.240]   Wear APIs and make your app do something special and interesting the rest of the 5,000
[00:14:46.240 --> 00:14:50.840]   You know look you have it you have an idea for something you want to build if it's if it's difficult
[00:14:50.840 --> 00:14:53.760]   You do some research does this new thing make it easier can I do this?
[00:14:53.760 --> 00:14:58.440]   You use it as you need it. Yeah, so you understand the basic outline of what's capable right? Yeah
[00:14:58.440 --> 00:15:06.720]   And by the way Tim doubt corrects me on Twitter, that's right Apple said 800 million devices sold to date
[00:15:06.720 --> 00:15:09.960]   not 800 million active users, so
[00:15:10.320 --> 00:15:13.500]   Yeah, I've got a few old I've got a few old unused yeah
[00:15:13.500 --> 00:15:18.360]   So a billion monthly active users is a big deal. That's a big deal
[00:15:18.360 --> 00:15:21.320]   That's that's Facebook numbers
[00:15:21.320 --> 00:15:29.700]   They did release SDKs for almost all the new stuff. Yeah, including the L
[00:15:29.700 --> 00:15:33.640]   What do they call it the L the L release release L preview?
[00:15:33.640 --> 00:15:36.280]   Do you mind if I caught the L word?
[00:15:36.280 --> 00:15:38.280]   Not at all
[00:15:38.280 --> 00:15:47.160]   To mind I'm sorry
[00:15:47.160 --> 00:15:50.880]   They they introduced Matthias Duarte who was
[00:15:50.880 --> 00:15:57.060]   Chilean wearing a shirt pounds to check coat and a paisley shirt
[00:15:57.060 --> 00:16:02.400]   Which moirade miserably on camera he's in charge of the look and
[00:16:02.400 --> 00:16:09.020]   I'm just saying the beard looked a little like the guy in the Silicon Valley the yeah, Avi at all. Yeah, I
[00:16:09.020 --> 00:16:18.960]   I'm not sure this is the guy
[00:16:18.960 --> 00:16:26.160]   You want developing, but it does look nice it does look nice it does call throughout was at great pains to point out that
[00:16:26.160 --> 00:16:28.600]   This is kind of what windows phones done the grid
[00:16:29.840 --> 00:16:31.840]   tiles yeah
[00:16:31.840 --> 00:16:33.840]   Things when you tap them move
[00:16:33.840 --> 00:16:37.400]   They at first I thought because he said material design
[00:16:37.400 --> 00:16:41.080]   I thought what are they gonna change the material they showed a screen and had things up
[00:16:41.080 --> 00:16:45.100]   But no, they're just the feeling that something's coming up out. There's an X Y and a Z
[00:16:45.100 --> 00:16:51.360]   Yeah, there's a Z right so you can have floating like buttons floating on top and and feel and feel distance
[00:16:51.360 --> 00:16:55.960]   I didn't ask you but last night on all about Android you all predicted what you think you were gonna see at Google
[00:16:55.960 --> 00:17:00.280]   I know how close you think you came. Oh, we did okay. We were on a few things
[00:17:00.280 --> 00:17:05.160]   I didn't think Android TV was gonna happen today. We were very pro
[00:17:05.160 --> 00:17:10.640]   I thought that the show I thought that they were gonna lead off the show with Android wear and fit right like that seemed like
[00:17:10.640 --> 00:17:15.800]   The most interesting things and that was sort of more toward the middle
[00:17:15.800 --> 00:17:21.400]   This was an opportunity lost a little bit that they now
[00:17:21.400 --> 00:17:25.880]   I understand this is a developer conference and we say that before we do before we did build
[00:17:25.880 --> 00:17:29.640]   Before we did WWDC and before this we said look this developer conference
[00:17:29.640 --> 00:17:31.240]   This is messaging for developers
[00:17:31.240 --> 00:17:38.320]   But you do have and as particularly with Google I owe all the press was there there was I we couldn't get anybody to help me on
[00:17:38.320 --> 00:17:41.600]   The show because everybody said no no I gotta cover this I gotta be there
[00:17:41.600 --> 00:17:46.720]   This is a this is really an important event and I feel like that they didn't do it
[00:17:46.720 --> 00:17:50.620]   But a lot of consumer messaging where that that's a little bit of a missed opportunity
[00:17:50.620 --> 00:17:55.840]   Yeah, I mean there's definitely a tension right because this is the thing they have to lay the groundwork with the developers
[00:17:55.840 --> 00:17:59.920]   I think the developers excited and they have to convince the developers that if they build for this they're gonna make money
[00:17:59.920 --> 00:18:04.840]   And they're gonna be successful right before the consumer launch at the consumer launch. Sorry. Sorry. Sorry
[00:18:04.840 --> 00:18:15.060]   So the consumer launch can be you know can have the apps and have the support for things that consumers want and it's it's tough
[00:18:15.060 --> 00:18:15.840]   It's a tough tension
[00:18:15.840 --> 00:18:21.440]   I mean I felt there are times when there have been developer conferences where I felt like this was this was obviously should have just been
[00:18:21.440 --> 00:18:26.660]   A press event like this is a show for consumers and that that bugs me right because it really is not that I understand that
[00:18:26.660 --> 00:18:31.720]   Then don't invite all the press there just says this isn't for you
[00:18:31.720 --> 00:18:32.880]   This is a key time
[00:18:32.880 --> 00:18:39.800]   I think Apple showed at WWDC that you can split the difference that you can you know have a show that's really for developers
[00:18:39.800 --> 00:18:44.200]   And of course it's the it's the breakout sessions that come later that are really for developers
[00:18:44.200 --> 00:18:46.200]   You could have left a lot of that
[00:18:46.680 --> 00:18:51.660]   That especially towards the end in breakout sessions and not you would have shortened the keynote
[00:18:51.660 --> 00:18:57.840]   And you wouldn't have diluted this message we as it is we have to dig for nuggets in this pile of stuff that yeah
[00:18:57.840 --> 00:18:59.840]   And it's a big pile. It's a
[00:18:59.840 --> 00:19:01.840]   There's a lot of good material
[00:19:01.840 --> 00:19:06.540]   Structured it well enough I don't think they demonstrate I think your point is rightly
[00:19:06.540 --> 00:19:11.440]   Oh, they could have demonstrated it more to real people right when they showed how the watch can do this so that
[00:19:11.440 --> 00:19:15.200]   Oh, you can you know write an app to call for pizza, right? That's that was cool
[00:19:15.200 --> 00:19:21.340]   That speaks to people from his wrist like that's cool. That's cool. So they didn't make it real enough because they had so much material
[00:19:21.340 --> 00:19:23.340]   They buried the lead they did
[00:19:23.340 --> 00:19:25.680]   But what was the lead?
[00:19:25.680 --> 00:19:31.900]   What was it all know our job is I'll tell you in a moment our job is to dig and find the pony in that pile of
[00:19:31.900 --> 00:19:36.520]   Information that Google has given us and we will find the pony in just in a little bit
[00:19:36.520 --> 00:19:40.400]   Jeff Jarvis nice to have you in studio. Oh, it's a man. I'm so happy
[00:19:40.400 --> 00:19:44.480]   I think Mike and Jason Mike Elgin and Jason are on their way back
[00:19:44.800 --> 00:19:46.960]   They may have stuck around a little longer than you did
[00:19:46.960 --> 00:19:51.160]   But if they do show up, we'll we'll get them on the panel as well
[00:19:51.160 --> 00:19:55.100]   I really thought they were gonna say and we're creating with Nest a
[00:19:55.100 --> 00:20:02.320]   hub for your home and your automation and we're gonna base it on Android home and none of that right
[00:20:02.320 --> 00:20:05.120]   But that's good news for smart things if you want to automate your home
[00:20:05.120 --> 00:20:10.880]   We've been looking for ages for a way to do this simply to find a hub that will talk you know at home
[00:20:10.880 --> 00:20:13.520]   I've got the hue lights. I've got the Sonos
[00:20:13.520 --> 00:20:17.760]   I want to get the Schlage door that unlocks autumn
[00:20:17.760 --> 00:20:26.360]   Automatically I want my curtains to open automatically when the Sun comes up and close when the Sun goes down all of those things and
[00:20:26.360 --> 00:20:33.280]   Smart things has actually put together a hub that is very very cool. I want to show you this is the smart things hub
[00:20:33.280 --> 00:20:38.800]   It is I want to say this was a Kickstarter project. I remember where this was and I actually backed it
[00:20:39.160 --> 00:20:43.880]   Yeah, and I and I got the kit and I love it. I can tell you tell us about it
[00:20:43.880 --> 00:20:47.880]   And I'll tell you what what they told me to tell you and then you could tell me what you want to tell
[00:20:47.880 --> 00:20:55.780]   So the hub is the thing that communicates with everything else and it does work across a lot of different platforms
[00:20:55.780 --> 00:20:58.760]   GE Schlage I have a list here honey well
[00:20:58.760 --> 00:21:01.360]   Ion
[00:21:01.360 --> 00:21:07.560]   Nest works absolutely Phillips hue works the wemo which is Belkin's really cool little sensors now
[00:21:07.560 --> 00:21:12.480]   You can get a kit and that's probably what you got the basic kit the smart home security kit
[00:21:12.480 --> 00:21:17.200]   329 bucks you're gonna get the hub you get a smart sense motion sensor
[00:21:17.200 --> 00:21:21.480]   So you could put this in the hallway to know when you you know when you get home
[00:21:21.480 --> 00:21:27.240]   Lots of different things you could do with a motion sensor obviously put it in the garage or outside to turn on the lights
[00:21:27.240 --> 00:21:31.120]   The smart sense presence sensor, which is kind of a neat thing
[00:21:31.120 --> 00:21:36.640]   You could put it on a keychain to let you know when the keys have left the house or on your dog or your cat
[00:21:36.720 --> 00:21:38.720]   To let you know when the cat has run away
[00:21:38.720 --> 00:21:42.240]   It'll tell you when people our cars arrive and leave your home
[00:21:42.240 --> 00:21:45.920]   It can help you where you found your left or left your keys. This is really cool
[00:21:45.920 --> 00:21:51.360]   You get one of those as well you also get the multi which is really the most amazing thing
[00:21:51.360 --> 00:21:57.420]   It looks a lot like those sensors that you've seen on alarm systems that go on windows and you could certainly use it that way
[00:21:57.420 --> 00:22:01.480]   It's a two-piece thing so when you open the window the con connection is broken
[00:22:01.480 --> 00:22:05.280]   But this does more than that it's got sensors in here that tell you the temperature
[00:22:05.280 --> 00:22:10.320]   It's got an accelerometer. It can alert you if you've left the garage door open it can do all sorts of things
[00:22:10.320 --> 00:22:14.400]   So you get this whole kit with this basic smart things kit
[00:22:14.400 --> 00:22:19.800]   That'll turn your home into a smart and smart home within minutes because it's very easy to pair
[00:22:19.800 --> 00:22:23.760]   You just pull the tab out of the device it all pairs up very automatically
[00:22:23.760 --> 00:22:27.520]   No wires to run it all plugs in it's all wireless
[00:22:27.520 --> 00:22:34.000]   And there is a growing community over 5,000 developers now or creating new ways to use smart things
[00:22:34.160 --> 00:22:39.480]   The the smarter home security kit adds an additional motion sensor a smart power outlet a
[00:22:39.480 --> 00:22:44.680]   Siren and strobe alarm and then the smartest kit for 599
[00:22:44.680 --> 00:22:50.600]   Gives you all of the all of the stuff I mentioned plus additional present sensor you get a power outlet
[00:22:50.600 --> 00:22:51.080]   That's nice
[00:22:51.080 --> 00:22:54.880]   You can put a light on there that turns on when you get home and an outdoor light
[00:22:54.880 --> 00:22:58.120]   Plug and control power outlet so that's really nice
[00:22:58.200 --> 00:23:05.600]   So pick your kit and then use the offer code twit 10 at checkout and you'll get free shipping within the US and 10% off
[00:23:05.600 --> 00:23:10.680]   The purchase of any home security kit. So yeah, I remember when this was a Kickstarter project
[00:23:10.680 --> 00:23:14.960]   And it was really designed to make this whole process a lot easier. So you yeah
[00:23:14.960 --> 00:23:18.480]   Got you excited about I back the project
[00:23:18.480 --> 00:23:21.080]   I hadn't done a whole lot of playing around with home automation stuff
[00:23:21.080 --> 00:23:24.480]   But it was a friend of a friend and I did the video got me and so I backed the project
[00:23:24.480 --> 00:23:28.520]   This is gosh. This is September 2012 a couple of years ago now and I got that one
