;FFMETADATA1
title=Name Your Child Fester
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=500
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.240]   It's time for twig this week in Google. We've got a great show for your Stacey Higginbotham is here
[00:08:22.560 --> 00:08:25.840]   We talked a little bit about Microsoft has a similar streaming
[00:08:25.840 --> 00:08:28.880]   uh plan for next year and
[00:08:29.680 --> 00:08:34.080]   Uh, we were talking about it on windows weekly today and really Microsoft is in a much better position from
[00:08:34.080 --> 00:08:39.760]   A gamers point of view already they have a reputation because of the xbox is a gaming company
[00:08:39.760 --> 00:08:42.320]   But also they have a ton of titles
[00:08:42.320 --> 00:08:46.000]   Google doesn't own any gaming titles. They're going to start a google studio
[00:08:46.000 --> 00:08:52.160]   And so it's unclear what games you'll be able to play on the other hand the idea that you could play a high quality
[00:08:52.160 --> 00:08:57.360]   You know triple-a title perhaps on your chrome book on your andrewade phone
[00:08:57.680 --> 00:09:02.080]   And best of all on a chrome cast ultra hooked up to your tv using a
[00:09:02.080 --> 00:09:04.880]   controller made by google
[00:09:04.880 --> 00:09:07.680]   Uh, that's an intriguing possibility
[00:09:07.680 --> 00:09:14.000]   Yeah, and it has to be said, uh, so first a little ice water on evanybody who's excited about this
[00:09:14.000 --> 00:09:16.880]   Uh, they announced something very similar to this
[00:09:16.880 --> 00:09:21.680]   Three or four years ago and it was going to be based around google plus
[00:09:21.680 --> 00:09:25.760]   And they were going and and google then the google play store
[00:09:26.160 --> 00:09:32.400]   Now it's primarily a function of youtube and vlad, uh, savaf has a really good piece in the verge today
[00:09:32.400 --> 00:09:38.800]   Talking about how this is really about saving youtube more than, uh, uh, beating microsoft
[00:09:38.800 --> 00:09:42.400]   They need to save the most successful video platform
[00:09:42.400 --> 00:09:45.680]   because this whole this whole world of
[00:09:45.680 --> 00:09:51.760]   Um gamers remember that pewdiepie started as just a guy who put a camera on himself
[00:09:51.760 --> 00:09:58.080]   Playing video games. That's right. And so there's a lot of video gaming stuff that is put as posted on youtube
[00:09:58.080 --> 00:10:01.840]   after the fact, but twitch, uh, is
[00:10:01.840 --> 00:10:07.120]   It's kind of a scary thing. It's live. Um, there's some live gaming going on youtube
[00:10:07.120 --> 00:10:09.280]   But that's kind of the future and I think
[00:10:09.280 --> 00:10:18.080]   Google sees the ability to stream directly and integrate youtube as a way to make it super compelling for the really
[00:10:18.240 --> 00:10:22.000]   um high-end gamers who want to stream and and do that sort of thing they also
[00:10:22.000 --> 00:10:26.960]   Love when there are products and services that require massive data center power
[00:10:26.960 --> 00:10:31.920]   Because they they excel in that area. They want people spending more time on the internet not on
[00:10:31.920 --> 00:10:35.680]   consoles or lo- you know using local files and stuff like that their whole
[00:10:35.680 --> 00:10:37.200]   uh, sort of
[00:10:37.200 --> 00:10:43.600]   Business models to get people streaming from the cloud and so this is very a very, uh, googly thing in lots of ways
[00:10:43.600 --> 00:10:47.600]   Um, but I have to also say a couple of points one one about
[00:10:47.840 --> 00:10:55.520]   Um, as a as a nomad as a digital nomad. This is like the greatest news ever because you know my my kids are playing
[00:10:55.520 --> 00:11:01.200]   Xbox constantly and I can't you know when i'm traveling i'm not gonna travel the next box even though my
[00:11:01.200 --> 00:11:03.680]   My younger son has done that. Um
[00:11:03.680 --> 00:11:10.160]   So i'm just like I can't play these games they're playing these multi massive multiplayer online games and i'm just like oh
[00:11:10.160 --> 00:11:13.680]   That's nice. I don't have any ability to do that with this. I
[00:11:14.560 --> 00:11:20.560]   Should be able to do that in most cases if I can find the the internet speeds and it's not just nomads who
[00:11:20.560 --> 00:11:24.160]   Don't want to buy a console don't have the the
[00:11:24.160 --> 00:11:29.280]   Spaced for a console, etc. It's great. It's going to be great
[00:11:29.280 --> 00:11:35.360]   Probably to play these kind of triple a games on a phone a tablet
[00:11:35.360 --> 00:11:42.320]   Uh chromebook or whatever it's also a great thing for chromebooks in general because they've optimized this thing for pixel remember they the uh, they
[00:11:42.320 --> 00:11:44.320]   sort of beta tested the
[00:11:44.320 --> 00:11:48.160]   Assassin's Creed game for a while with with select
[00:11:48.160 --> 00:11:55.520]   Uh pixel users. I actually signed up for it immediately but couldn't play it because I was in Italy or something. It was only for us users
[00:11:55.520 --> 00:12:02.400]   I think um, so that's that's really cool regarding the microsoft being way ahead. I don't really necessarily think that they are way ahead
[00:12:02.400 --> 00:12:03.520]   um
[00:12:03.520 --> 00:12:06.880]   Microsoft is way ahead in terms of gaming titles, but
[00:12:06.880 --> 00:12:10.720]   I think microsoft has a long way to go before they could stream them
[00:12:11.360 --> 00:12:13.840]   Uh, and and and essentially deliver them
[00:12:13.840 --> 00:12:17.440]   Two people who don't have the console who don't have an x xbox
[00:12:17.440 --> 00:12:22.080]   Maybe they could do it, but they may not be in cenetitude since they make consoles and pc's
[00:12:22.080 --> 00:12:26.720]   Uh, that may not be their business model, but they certainly have as your cloud
[00:12:26.720 --> 00:12:33.600]   And you know, I mean you've got you've got three big players here with big cloud services microsoft google and amazon
[00:12:33.600 --> 00:12:36.240]   All three have a foot in this space
[00:12:36.240 --> 00:12:40.080]   Amazon owns twitch so they very much have a foot in this space
[00:12:40.720 --> 00:12:46.160]   Um, yeah, right. I don't think that this is this is just google saying here's what we'd like to do. There's no
[00:12:46.160 --> 00:12:51.280]   Yeah, no having said that. I mean, I think they I think they could do something
[00:12:51.280 --> 00:12:56.480]   It's not it's not going to be as good as that what they showed for a long time. Yeah, I mean that was a demo
[00:12:56.480 --> 00:13:01.920]   Well, it also ignores a critical factor that's out of google's control, which is the last mile
[00:13:01.920 --> 00:13:04.240]   And yeah, you know
[00:13:04.240 --> 00:13:09.280]   Some people have a great experience people with great bandwidth and low latency will have a great experience
[00:13:09.280 --> 00:13:13.200]   And then the vast majority of americans will have a terrible experience
[00:13:13.200 --> 00:13:17.840]   And now stacey there is something that you are into that this is
[00:13:17.840 --> 00:13:24.000]   Relates to is I imagine some of this is the hope that 5g will solve that last mile problem for more people
[00:13:24.000 --> 00:13:30.560]   But that's a long way off right? Well, yeah, and it's not going to be okay
[00:13:30.560 --> 00:13:35.360]   Depending on how 5g works it
[00:13:38.480 --> 00:13:41.040]   You're going to have it convert to Wi-Fi in your house
[00:13:41.040 --> 00:13:46.080]   I'm trying to think logistically because the massive spectrum that we're going to use for
[00:13:46.080 --> 00:13:47.760]   fixed
[00:13:47.760 --> 00:13:49.760]   wireless 5g service
[00:13:49.760 --> 00:13:55.680]   The in to get the capacity they need you're going to need a lot of megahertz. You're going to be using some of those
[00:13:55.680 --> 00:13:56.880]   uh
[00:13:56.880 --> 00:14:01.600]   Upper gigahertz spectrum that doesn't penetrate walls. So you're going to have something outside your house
[00:14:01.600 --> 00:14:05.600]   That's going to funnel that into your Wi-Fi network. So logistically, that's what that's going to look like
[00:14:05.600 --> 00:14:07.680]   um
[00:14:07.680 --> 00:14:13.920]   Also, I'm sure google wants to see people doing this on an android device out and about two if you had the bandwidth
[00:14:13.920 --> 00:14:18.160]   Yeah, but
[00:14:18.160 --> 00:14:22.880]   Honestly, there's about 18 players in this including some non
[00:14:22.880 --> 00:14:28.400]   You know big companies and frankly this is this was tried years ago a company called on live
[00:14:28.400 --> 00:14:34.400]   Uh did this and the problem on live had was that they didn't have enough servers
[00:14:35.200 --> 00:14:39.840]   Because there was a lot of use during peak hours and very little use during off hours
[00:14:39.840 --> 00:14:45.440]   And they couldn't they didn't want to keep all those surfers online. This is a problem google will not have
[00:14:45.440 --> 00:14:49.440]   Um, maybe google's doing this to get a killer app for its gigabit
[00:14:49.440 --> 00:14:54.320]   internet and I know it doesn't want to do fiber anymore or the fiber kind of falter
[00:14:54.320 --> 00:14:58.240]   That's the big question like if you knew you were going to do this wouldn't you have pushed fiber harder?
[00:14:58.240 --> 00:15:04.240]   Well, I mean the the investors didn't want them to push that harder
[00:15:04.960 --> 00:15:09.840]   Um, and they also ran into technical troubles in the way they were doing it. They did it in a very googly way
[00:15:09.840 --> 00:15:11.680]   Which was they were like
[00:15:11.680 --> 00:15:18.080]   We will build the fiber loops around cities that is our plan and we will invent a new technique and then that didn't work out so well
[00:15:18.080 --> 00:15:23.600]   So they're like we will try something else and that didn't work out well and then they were like never mind
[00:15:23.600 --> 00:15:30.000]   And by the way, also we're not getting the subscribers. That's the other thing right when I talked to real users like my wife
[00:15:31.600 --> 00:15:37.840]   She this the but always comes up now when google announces something new is well how long before they kill that
[00:15:37.840 --> 00:15:40.720]   Google has really created a reputation
[00:15:40.720 --> 00:15:45.840]   And not just with geeks but with real world people of I mean inbox just went under right
[00:15:45.840 --> 00:15:49.040]   uh of of just killing things kind of
[00:15:49.040 --> 00:15:52.080]   Randomly and that doesn't help
[00:15:52.080 --> 00:15:57.120]   So that's why I think microsoft has a huge head start they're already in the gaming space
[00:15:57.760 --> 00:16:03.360]   They they you know, they're in it to stay they could have killed xbox a long time ago when they struggled against playstation
[00:16:03.360 --> 00:16:07.600]   But they didn't they have a lot of titles they have a studio google's announced a studio
[00:16:07.600 --> 00:16:13.200]   But they don't they haven't announced any titles or or even you know all they have is jade raman who is a legend
[00:16:13.200 --> 00:16:18.800]   In the business. She's running the studio, but they've got a convinced developers to develop games for this
[00:16:18.800 --> 00:16:21.280]   non-existent service
[00:16:21.280 --> 00:16:25.200]   Some you know if you think end users have to take a leap of faith
[00:16:26.000 --> 00:16:31.200]   Developers have the same problem. You mean i'm going to develop a game for the service who knows if it'll launch
[00:16:31.200 --> 00:16:38.000]   And if it does who knows how long it's around if i'm a developer I say i want to stick with sony and microsoft's
[00:16:38.000 --> 00:16:44.160]   Thank you very much. I really think they will be and should be a different set of games because
[00:16:44.160 --> 00:16:46.880]   The the sort of the best
[00:16:46.880 --> 00:16:49.200]   The greatest hits xbox games
[00:16:49.200 --> 00:16:54.000]   Are always going to be better on playstation xbox etc on consoles that
[00:16:54.240 --> 00:16:59.280]   NPC by the way steam steam on pc's it's going to totally dominate that but totally
[00:16:59.280 --> 00:17:03.840]   So this is this is not going to appeal to anybody who already has an xbox or playstation or a gaming pc
[00:17:03.840 --> 00:17:08.000]   That's just not it's going to appeal. That's right primarily to people who don't have any gaming
[00:17:08.000 --> 00:17:16.480]   Hardware right now. It's going to improve casual gaming. Yeah for casual gamers and so that's not how my it's not how google was pitching it though
[00:17:16.480 --> 00:17:19.920]   Yesterday it felt like that's right. They were going after the triple a titles
[00:17:20.560 --> 00:17:26.000]   Yeah, but I and i'm sure that they will exist but if you really are into gaming
[00:17:26.000 --> 00:17:31.840]   You're not going to want to do that streaming and there is going to be latency there will be latency
[00:17:31.840 --> 00:17:36.080]   And and it's going to vary based on a whole bunch of things. This by the way is another
[00:17:36.080 --> 00:17:42.480]   um kind of punch in the nose to rural users who have who are always get shafted in terms of
[00:17:42.480 --> 00:17:44.640]   Rural
[00:17:44.640 --> 00:17:48.960]   Exactly. So it's it's it's really problematic on that score. However
[00:17:49.360 --> 00:17:56.080]   I can see up and coming game companies or innovative game companies or even the big game companies developing
[00:17:56.080 --> 00:17:59.120]   games
[00:17:59.120 --> 00:18:04.960]   Optimizing them for streaming not not just a you know converting old titles streaming but but optimizing games
[00:18:04.960 --> 00:18:10.880]   And so hopefully I'd like to see it become a new like I mean look at the difference between console gaming and self
[00:18:10.880 --> 00:18:14.000]   You know smartphone games they're night and day. I mean to
[00:18:14.000 --> 00:18:18.000]   For the most part the most popular games on smartphones
[00:18:18.560 --> 00:18:22.960]   Are not the console style games. They're more like word games and you know
[00:18:22.960 --> 00:18:28.480]   You know silly cartoony type, you know true, you know get your mind off of you know
[00:18:28.480 --> 00:18:33.200]   You stand in line with the dmv type of type of distraction games. I was playing that game the other day
[00:18:33.200 --> 00:18:35.600]   Yes
[00:18:35.600 --> 00:18:40.160]   And but but I'd love to see streaming games sort of occupy the space between that you know
[00:18:40.160 --> 00:18:41.680]   I have to play out though
[00:18:41.680 --> 00:18:45.280]   There is one triple a title that people play on consoles they play on pcs
[00:18:45.600 --> 00:18:51.920]   And they play just as avidly on mobile devices and that's fortnite and I think that truthfully google's
[00:18:51.920 --> 00:19:01.040]   Prayer is that they can get the next fortnite one of the things they talked about was a battle royale fortnite style game with a thousand players
[00:19:01.040 --> 00:19:06.480]   They talked about cooperative gaming that they can do uniquely well because the servers are co located
[00:19:06.480 --> 00:19:13.440]   Run, you know high-end gaming hardware next to each other and so you at home can play a cooperative game
[00:19:13.680 --> 00:19:17.520]   And everybody can have a different device for instance and the latency between
[00:19:17.520 --> 00:19:20.240]   Game instances is zero
[00:19:20.240 --> 00:19:26.480]   Uh, so I think that's what I honestly think that's what google's just crossing their fingers for who knows maybe they have something in development
[00:19:26.480 --> 00:19:30.640]   The problem is you can create something doesn't mean it's going to be as successful as a fortnite
[00:19:30.640 --> 00:19:34.880]   But if they that that could be the make it a break it for stadia
[00:19:34.880 --> 00:19:42.000]   Is is just some game that you could only play on stadia that everybody in the world wants to play
[00:19:42.320 --> 00:19:45.200]   And you know, they do have a game kind of like that with pokimongo
[00:19:45.200 --> 00:19:52.000]   Uh harry potter wizards unites going to be like that. They need a title like they need a title that just takes the world by storm
[00:19:52.000 --> 00:19:57.840]   And then they need to get lucky. They need to get lucky. That's actually that's probably the best way to say it. They need to get lucky
[00:19:57.840 --> 00:20:01.120]   Yeah, here's what we asked a 14 year old gamer
[00:20:01.120 --> 00:20:04.880]   Carsten bondi sun zak
[00:20:04.880 --> 00:20:07.760]   Carson asked him what he thought and he said one
[00:20:08.480 --> 00:20:14.720]   He talks about the beginning where uh ceo sundor pachai took the stage and said i'm not a gamer. He said it's incredibly dumb
[00:20:14.720 --> 00:20:19.360]   To start off your gaming presentation with your ceo saying the words i'm not a gamer
[00:20:19.360 --> 00:20:24.640]   Kind of agree and i have to say that's an excellent point
[00:20:24.640 --> 00:20:28.240]   It doesn't set the stage gamers are looking at throwing well screw you
[00:20:28.240 --> 00:20:30.400]   Number two
[00:20:30.400 --> 00:20:33.520]   Why do they announce a gaming system without any games?
[00:20:34.880 --> 00:20:40.640]   Even the one game they said they were going to have a doom update. They never showed any gameplay from
[00:20:40.640 --> 00:20:48.160]   Uh during the keynote they confirmed doom, which is already playable on literally any this is zax
[00:20:48.160 --> 00:20:54.240]   Thought literally playable on anything that even vaguely resembles a computer including by the way
[00:20:54.240 --> 00:20:56.880]   There's doom versions for the apple watch and the ipod
[00:20:56.880 --> 00:21:02.000]   Uh, they have no exclusive games. The only first party title google has ever launched
[00:21:03.760 --> 00:21:05.760]   Do you know what it is?
[00:21:05.760 --> 00:21:09.600]   It's the one sundor pachai said is the most played game of all time the dinosaur game
[00:21:09.600 --> 00:21:13.520]   Which you get when you get a 404 on a website
[00:21:13.520 --> 00:21:16.880]   That is awesome
[00:21:16.880 --> 00:21:19.440]   And by the way, you can't play it on stadia
[00:21:19.440 --> 00:21:22.080]   Because your internet would be down
[00:21:22.080 --> 00:21:26.240]   If and zak is smart carsten
[00:21:26.240 --> 00:21:28.800]   Let me know when he's old enough for us to hire him
[00:21:28.800 --> 00:21:32.880]   Number three if your system is dependent on an internet connection
[00:21:33.600 --> 00:21:35.600]   It looks really bad
[00:21:35.600 --> 00:21:43.120]   When your announcement live stream glitches out twice in an hour and you don't even bother to fix it in your youtube video
[00:21:43.120 --> 00:21:50.720]   So this is what he's talking about and we we noted this when we were watching the event. This was everybody saw that
[00:21:50.720 --> 00:21:55.040]   And by the way, first of all the cameraman's butt is in the shot
[00:21:55.040 --> 00:22:01.840]   It's frozen and glitched and this was for everybody watching it. They didn't even bother to edit that out of the announcement
[00:22:02.480 --> 00:22:08.000]   On youtube 1.3 million people said well if that's how good it is I ain't playing it
[00:22:08.000 --> 00:22:10.960]   That happened several times
[00:22:10.960 --> 00:22:15.040]   So if you can't stream a video you can't I can stream a game
[00:22:15.040 --> 00:22:24.240]   Uh, so sec concludes maybe the dinosaur game will be playable on stadia after all final judgment worst game system announcement ever
[00:22:24.240 --> 00:22:28.480]   But I knew that in fact I even said carsten i don't know if you remember this during the event
[00:22:28.480 --> 00:22:32.560]   I said I could tell you right now. I can hear the hate from the gaming community
[00:22:32.560 --> 00:22:37.920]   Who are notoriously fickle anyway and are quick to jump on anything they feel is not
[00:22:37.920 --> 00:22:40.080]   You know, whatever
[00:22:40.080 --> 00:22:41.280]   gamish
[00:22:41.280 --> 00:22:46.880]   Uh, but that's not who this is for this is not for current gamers. I don't think I don't I don't think that's the goal
[00:22:46.880 --> 00:22:49.280]   But the question is it for anybody
[00:22:49.280 --> 00:22:51.920]   And we know it's not for stacey higgett bossom
[00:22:51.920 --> 00:22:53.440]   Nope
[00:22:53.440 --> 00:22:55.440]   I'm so i'm just i don't i don't game
[00:22:56.080 --> 00:23:00.640]   I mean, I'm excited from the technical perspective like you've never like on your phone played
[00:23:00.640 --> 00:23:03.360]   Like scrabble or anything
[00:23:03.360 --> 00:23:09.600]   Um, I think I play I used to play words with friends way back in the day. That's okay. Well. Yeah, and I play board games
[00:23:09.600 --> 00:23:12.400]   I just I don't like games at my computer
[00:23:12.400 --> 00:23:16.560]   I I played missed a long time ago. You're not a gamer
[00:23:16.560 --> 00:23:20.560]   Have you played the dinosaur game
[00:23:20.560 --> 00:23:24.880]   I've seen people playing the dinosaur game. Does that count? Yeah
[00:23:25.760 --> 00:23:27.760]   See the future of my inner
[00:23:27.760 --> 00:23:30.320]   Is my internet's down? I go read a book
[00:23:30.320 --> 00:23:35.680]   So it's so funny because it really is and I I am very guilty of this
[00:23:35.680 --> 00:23:40.080]   But there really is a reality distortion field in these keynotes and I always have to kind of
[00:23:40.080 --> 00:23:45.840]   Pinch myself slap myself on the wrist while i'm watching them because they're oh, you know, if they're well done
[00:23:45.840 --> 00:23:47.840]   They're exciting and you watch them you go
[00:23:47.840 --> 00:23:51.680]   The this is great. I can't wait to get this and then
[00:23:52.560 --> 00:23:55.680]   As you get farther and farther from the event and the real questions
[00:23:55.680 --> 00:23:59.840]   Seep in you start to realize maybe that's not so great
[00:23:59.840 --> 00:24:05.840]   Yeah, this is it's a lot of that potentially great. I mean really is it's all potential
[00:24:05.840 --> 00:24:11.600]   It's just that um, you know in the same week when they're closing google plus and aloe
[00:24:11.600 --> 00:24:17.040]   Yeah, it's kind of hard to be like, yes, i'm all in i'm doing this all the way, man
[00:24:17.040 --> 00:24:21.680]   This is like the greatest. This is the future. No, maybe it will be the future. Maybe it won't probably won't
[00:24:22.320 --> 00:24:27.200]   So, you know google's really you know, they i am surprised that they don't
[00:24:27.200 --> 00:24:31.280]   Do a better job of explaining this whole reputation
[00:24:31.280 --> 00:24:36.560]   They act like they don't have the reputation that they clearly have of closing things that
