;FFMETADATA1
title=Uber for Metaphors
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=291
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.500]   It's time for Twig this week in Google Gina Terpattie's back her monthly visit
[00:06:56.680 --> 00:07:01.880]   It looks exactly the same, right? I mean it doesn't look any different from the pretty much exactly the same. Yeah, yeah
[00:07:01.880 --> 00:07:08.680]   But it's got newer processors. I presume these are the broad ones the screen comparison. Does anybody know it's the same I think
[00:07:08.680 --> 00:07:13.800]   Same screen same screen. It's 3/2 still that weird aspect ratio
[00:07:13.800 --> 00:07:17.640]   2560 by 1700 still touch so it's
[00:07:17.640 --> 00:07:22.120]   Exactly the same in those specs the color gamut is wider
[00:07:24.680 --> 00:07:29.280]   That just means that you can show more colors. It's got a different color space. It is
[00:07:29.280 --> 00:07:31.960]   Cheaper
[00:07:31.960 --> 00:07:36.440]   999 for the I5 version and then they have an LS
[00:07:36.440 --> 00:07:42.560]   Which does not stand for a luxury style it stands for damn or luxuries sedan
[00:07:42.560 --> 00:07:47.200]   It stands for literally Google says ludicrous speed. It's an I7
[00:07:47.200 --> 00:07:51.400]   And I can't think of any reason you'd need an I7
[00:07:52.960 --> 00:07:54.960]   for a
[00:07:54.960 --> 00:07:56.960]   Chrome OS but
[00:07:56.960 --> 00:08:01.920]   Remember this is what these are mostly used. What do they say like 85% used in by Googlers? Yeah, yeah
[00:08:01.920 --> 00:08:04.280]   So obviously this is what Googlers wanted
[00:08:04.280 --> 00:08:10.840]   They said I want more speed more tabs to eight gigs on the base model of RAM 16 gigs on the LS version
[00:08:10.840 --> 00:08:15.000]   But 999 for the base model 1299 for the LS yeah
[00:08:15.000 --> 00:08:18.800]   Video said 12 hours of battery life. Yeah
[00:08:20.040 --> 00:08:24.720]   Within 50 minutes you get two hours of charge value. Yeah, that's the connector
[00:08:24.720 --> 00:08:28.920]   That's the biggest thing and this is the second device. We've seen now. There have been others
[00:08:28.920 --> 00:08:32.600]   I think there's a there's an Asus out there with type C connector
[00:08:32.600 --> 00:08:39.680]   But the Mac book that was announced on Tuesday was the first I'd seen with a type C charger
[00:08:39.680 --> 00:08:42.800]   This is good news. I would love to see a mass move
[00:08:42.800 --> 00:08:49.040]   From laptop makers to the type C port for charging because then we could use one charger for everything
[00:08:49.800 --> 00:08:55.240]   It's Apple once you see yes, that's really so unprecedented that they finally used us. I know
[00:08:55.240 --> 00:09:00.680]   It's just for the one Mac book the new Mac book. Yeah, that's gonna be the choice way type C
[00:09:00.680 --> 00:09:04.940]   Which is a USB 3 port? It's a standard 3 actually it's a 3.1 port
[00:09:04.940 --> 00:09:07.600]   will do
[00:09:07.600 --> 00:09:15.320]   Not only power in and out by the way you could charge a phone from it, but it will also do data
[00:09:16.040 --> 00:09:20.440]   Just like a regular USB port and video so that is your video port
[00:09:20.440 --> 00:09:23.360]   Oh, so you can't charge and do video at the same time
[00:09:23.360 --> 00:09:27.120]   Well, no Jason go back and what's on the other side because I see two USB ports
[00:09:27.120 --> 00:09:35.000]   Actually three with the type C and I see an SD card, but I don't see any other video ports. So yeah, I guess it's I'm seeing it
[00:09:35.000 --> 00:09:39.020]   What's that appears to be a type C on both sides or two C's?
[00:09:39.020 --> 00:09:44.000]   Okay, well that's better than actually so you could do both right. Yeah, you could yeah, I love your thing
[00:09:44.000 --> 00:09:48.160]   I am I think it's good to buy just for that. I wonder if you could charge from either side
[00:09:48.160 --> 00:09:52.760]   Man, I just it's a night the pixels just a nice computer. It's really
[00:09:52.760 --> 00:09:56.320]   Beautiful I just
[00:09:56.320 --> 00:10:01.040]   Price drop is nice, but you know what get it down 800 and then talk to me like it just seems like
[00:10:01.040 --> 00:10:08.720]   No, it's a beautiful computer, but look at the Wall Street Journal headline. I don't think it's that far off
[00:10:09.440 --> 00:10:14.060]   She doesn't buy retail 999 for a laptop that only
[00:10:14.060 --> 00:10:19.000]   Surfs the web that's such a lie first of all it doesn't just
[00:10:19.000 --> 00:10:26.040]   Right, that's a headline writer that yeah, yeah, yeah
[00:10:26.040 --> 00:10:30.640]   Like a thousand dollars is a is a place
[00:10:30.640 --> 00:10:36.120]   Phone what is where's the iPhone cost you it's a thousand dollars
[00:10:36.720 --> 00:10:41.040]   This is the iPhone of Chrome OS machines. This is this is the this is the
[00:10:41.040 --> 00:10:48.900]   Rain man computers if you want a technology cost you a thousand dollars if you want to buy it go to store
[00:10:48.900 --> 00:10:52.880]   Dot Google com it's on sale now in and the newly redesigned Google store
[00:10:52.880 --> 00:10:56.000]   whoa
[00:10:56.000 --> 00:11:03.000]   This is pretty huh? This is pretty this is pretty right now in excess six in excess nine some Android where watches
[00:11:03.800 --> 00:11:07.080]   I thought the next player was gone isn't the next player dead yet?
[00:11:07.080 --> 00:11:09.160]   Chromecast
[00:11:09.160 --> 00:11:11.160]   Nest learning thermostat
[00:11:11.160 --> 00:11:13.160]   ah
[00:11:13.160 --> 00:11:17.160]   And the Chromebook pixel alright, so let's see shop now. Can you buy it? Can you get it?
[00:11:17.160 --> 00:11:20.640]   Did you buy it? Yeah, you can buy it. Yeah, I bought it any nine
[00:11:20.640 --> 00:11:23.240]   So you really have all choices
[00:11:23.240 --> 00:11:30.120]   Why would you get an LS I guess why my background is because I'm that importantly? Oh, I deserve the best
[00:11:30.120 --> 00:11:32.600]   Should I should I should I buy it?
[00:11:32.600 --> 00:11:34.840]   Oh whoops, I slipped. Oh man
[00:11:34.840 --> 00:11:38.600]   I slipped
[00:11:38.600 --> 00:11:44.400]   Pay for I try to pay review your purchase. Oh, I see it's still oh
[00:11:44.400 --> 00:11:47.680]   Don't show that I'm not I'm off it right now
[00:11:47.680 --> 00:11:51.080]   No chances should I ship it here?
[00:11:51.080 --> 00:11:53.920]   Yeah, why not?
[00:11:53.920 --> 00:11:59.120]   $1,081.42 with tax you're not gonna get ludicrous speed no
[00:12:00.920 --> 00:12:03.280]   Sorry, I have to be the voice in your ear
[00:12:03.280 --> 00:12:06.520]   You to the next level to crispy
[00:12:06.520 --> 00:12:13.240]   Yeah, it's good that they named it that both clearly that's for the goolers. That's what they'll give you
[00:12:13.240 --> 00:12:16.320]   You are the god of the internet
[00:12:16.320 --> 00:12:27.720]   But really I do I do question the
[00:12:28.560 --> 00:12:32.960]   But this is just to show you can make a beautiful machine. I think this isn't oh, yeah
[00:12:32.960 --> 00:12:38.040]   Well, they really did was just update. I mean they did what I'm kind of willing to what I all longer about a real
[00:12:38.040 --> 00:12:42.320]   I think just updated the dinner. It said so they did one thing you didn't want or they didn't do one thing
[00:12:42.320 --> 00:12:46.640]   You did want I'm really unhappy about this what no LTE
[00:12:46.640 --> 00:12:49.680]   At all
[00:12:49.680 --> 00:12:54.160]   None maybe but didn't okay now, but this did this happen last time two years ago
[00:12:54.160 --> 00:12:57.800]   No, but I'm pretty sure they announced both at the same time
[00:12:57.800 --> 00:13:02.740]   Oh, they did they did he's a long wait for the LT it was and I waited for it and this time
[00:13:02.740 --> 00:13:05.040]   I was the LTE they gave out at I owe
[00:13:05.040 --> 00:13:07.200]   Yep
[00:13:07.200 --> 00:13:11.560]   This time no, I was always not happy that the LTE only work with Verizon
[00:13:11.560 --> 00:13:19.400]   I've been making kind of a point of looking at all the Chromebooks as they come out and even the low-end Chromebooks now the new Samsung Chromebook 2
[00:13:19.400 --> 00:13:27.400]   Acer there are a lot of really nice Chromebooks out there there are a lot less. I mean we're talking 300 bucks not
[00:13:27.560 --> 00:13:31.620]   Oh, yeah, yeah, so this is this is kind of ludicrous and
[00:13:31.620 --> 00:13:37.640]   Maybe I should you know, but the problem is I bought I bought the oh who wasn't not the
[00:13:37.640 --> 00:13:40.680]   It has HD screen
[00:13:40.680 --> 00:13:45.280]   So the problem is the text was just six. I know no no no no the
[00:13:45.280 --> 00:13:52.360]   Chromebook oh a Chromebook. Yes. Yeah. Yeah, there was a one with a touch screen 1080p touch screen that was almost impossible to use
[00:13:52.680 --> 00:13:56.600]   Because there's a tiny tiny tight. Yeah, I could you know my old eyes. I can't do it. Yeah
[00:13:56.600 --> 00:14:00.060]   Chrome it's a main the chatroom Scotland calling
[00:14:00.060 --> 00:14:03.360]   No, I'm sorry Scott in Fort Collins
[00:14:03.360 --> 00:14:06.680]   Chromebook is the answer to a problem that doesn't exist
[00:14:06.680 --> 00:14:13.480]   Is that is that fair? I don't know if that's go listen to your clock I
[00:14:13.480 --> 00:14:20.840]   Have been I have been saying you reference that's an old for Collins and we still listen to him
[00:14:20.840 --> 00:14:22.720]   I
[00:14:22.720 --> 00:14:28.000]   Have been saying for a while that the Chromebook really does make sense in certain environments in schools
[00:14:28.000 --> 00:14:32.840]   It makes a lot of sense not a thousand dollar one, but it makes a lot of sense for our students
[00:14:32.840 --> 00:14:38.240]   You know the journals of students who need to do video when they can stuff now
[00:14:38.240 --> 00:14:45.360]   But by social journalism students by entrepreneurial students. Yeah, they could use it and maybe and maybe a
[00:14:45.640 --> 00:14:50.280]   Lot of users who call the radio show for instance. I say what do you do web?
[00:14:50.280 --> 00:14:54.100]   Email web surfing. That's what they do. Well, here's the other one
[00:14:54.100 --> 00:15:01.100]   Secure it's it's you don't have I think a sale a sales force could use it. Yeah, right?
[00:15:01.100 --> 00:15:06.000]   You go out you make presentations. You're on the cloud. You're it's all you're doing and and you know
[00:15:06.000 --> 00:15:10.440]   You'd be absolutely fine for that and if you're a corporate IT. This is kind of a dream
[00:15:11.440 --> 00:15:14.740]   Because you just don't have problems with viruses and
[00:15:14.740 --> 00:15:18.000]   Support John for the very young and the very old
[00:15:18.000 --> 00:15:26.000]   I just bought one come on knock it off I'm supporting you
[00:15:26.000 --> 00:15:32.400]   Yeah, I've completely come around since we first started talking about this and I remember getting in a little tussle with Sundar Pichai
[00:15:32.400 --> 00:15:39.360]   And and he really was defending it. This was early on I said I don't understand it and I stand corrected Sundar you were right
[00:15:39.360 --> 00:15:44.280]   This is googlers googlers because we know there are a few of you out there watching if there's gonna be an LTE
[00:15:44.280 --> 00:15:49.720]   Blink twice. Yeah, well, yeah, yeah, something. Yeah, do something for me
[00:15:49.720 --> 00:15:53.480]   Oh Jeff here. I'm a bit a friend of the pixel blink blink
[00:15:53.480 --> 00:15:59.660]   To tide you over I was fed by Jason
[00:15:59.660 --> 00:16:09.100]   Anyway, that's exciting that we we had you know reported the rumor actually wasn't really a rumor was confirmed by a Google executive
[00:16:09.100 --> 00:16:17.040]   At a meeting and in fact there it is the new the new pixels here the new pixels here the phone books in the phone books in
[00:16:17.040 --> 00:16:19.880]   It's gonna be expensive a couple of months for me
[00:16:19.880 --> 00:16:23.180]   Apple watch
[00:16:23.180 --> 00:16:28.820]   $17,000 which one did you buy you didn't buy the $78,000 Apple watch you first of all you can't buy them to
[00:16:28.820 --> 00:16:30.660]   April 10th, but I will be buying one of them
[00:16:30.660 --> 00:16:38.560]   Can you still run Linux? I mean crew Tana is still vital and around and alive
[00:16:38.560 --> 00:16:42.560]   But there's somebody in the chatroom who says he's he's a developer
[00:16:42.560 --> 00:16:48.840]   He uses a Chromebook all the time. He uses Linux uses Linux editors a problem the problem unless they've changed this
[00:16:48.840 --> 00:16:52.040]   The problem is you needed well at the time you need a dev mode
[00:16:52.040 --> 00:16:57.100]   So it's flakier, right and then you couldn't now you can reverse but you couldn't reverse at the time
[00:16:57.100 --> 00:17:01.080]   Oh, really once you went ahead you couldn't go back that was a commitment
[00:17:01.080 --> 00:17:05.240]   Yeah, and so you could rebuild with a with a stick with a USB
[00:17:05.920 --> 00:17:08.880]   You know an image right but it was a real pain in the butt
[00:17:08.880 --> 00:17:13.760]   Chrome Linux is there what is your he's in the chatroom right now? What is your suggestion?
[00:17:13.760 --> 00:17:16.500]   For doing that is just is it still crew ton?
[00:17:16.500 --> 00:17:20.600]   I guess you know it's it's a little tricky to install but you did right?
[00:17:20.600 --> 00:17:27.520]   I even if I can do it. I went through a few bad features, but I finally got there sticking my tongue out. Yeah, I'll apply
[00:17:27.520 --> 00:17:34.060]   But if you're if you're a Linux jockey, then you're gonna be able to do what I couldn't do he uses
[00:17:34.060 --> 00:17:36.060]   I want to he says crew
[00:17:36.060 --> 00:17:38.540]   to use better than
[00:17:38.540 --> 00:17:40.700]   Chrome
[00:17:40.700 --> 00:17:42.700]   Well, I don't know is does that work with the
[00:17:42.700 --> 00:17:47.600]   The dual boot it's not really a dual boot. It's a it's because it's the same
[00:17:47.600 --> 00:17:50.060]   kernel
[00:17:50.060 --> 00:17:55.300]   You just you can start up and you could you could you can go great thing is you can flip back and forth with the key
[00:17:55.300 --> 00:17:59.340]   You don't have to boot right that's what's so amazing about it. Yeah
[00:17:59.340 --> 00:18:03.700]   Making me want to do it again
[00:18:03.700 --> 00:18:09.060]   But I don't know what you showed me that I feel like you were in the backseat of the car on the way up to Petaluma on a
[00:18:09.060 --> 00:18:11.980]   trip
[00:18:11.980 --> 00:18:13.340]   Yeah
[00:18:13.340 --> 00:18:17.500]   Yeah, I you see I've gotten you slathering over in a few times
[00:18:17.500 --> 00:18:22.820]   So the nice thing about kroblun 2 is it supports so the pixel isn't Intel
[00:18:22.820 --> 00:18:28.100]   x86 most of the other Chromebooks are arm aren't they or many of them some are Adam
[00:18:28.100 --> 00:18:31.420]   There's a mix, but to kroblun 2 apparently requires Intel
[00:18:32.700 --> 00:18:38.300]   I said it. Okay, so I will look into this because that sounds like what I want to do with my old
[00:18:38.300 --> 00:18:39.980]   I'll do it with the old pixel
[00:18:39.980 --> 00:18:41.980]   Yeah, right yeah, I'll do that
[00:18:41.980 --> 00:18:44.780]   kroblun 2 is also dual boots says chrome Linux
[00:18:44.780 --> 00:18:50.780]   Repartition your drive so that would be an argument to getting the ludicrous speed friction just for the
[00:18:50.780 --> 00:18:56.540]   Why yeah, if you're any if you're a googler. Yeah, that's usually the Linux and that makes sense
[00:18:56.540 --> 00:19:01.540]   So you don't have that crouton is the one that lets you do the flip back and forth by pressing a key
[00:19:01.540 --> 00:19:07.480]   You cannot do that. I thought there was a form that would allow you to run a Linux window on top of chromo
[00:19:07.480 --> 00:19:11.000]   X that would be my ideal if I had a little bash shell on top of Chrome
[00:19:11.000 --> 00:19:14.100]   Can you do that maybe not?
[00:19:14.100 --> 00:19:18.620]   Sounds familiar. I thought krooton could do that now anyway. I will yeah
[00:19:18.620 --> 00:19:21.820]   I don't I mean it's been it's been a year and a half since I ran it. Yeah, I'll have to do some research
[00:19:21.820 --> 00:19:30.260]   The other problem was at the time I couldn't get Netflix on the machine because Netflix wouldn't operate in dev mode because it wasn't secure to Netflix definition
[00:19:30.780 --> 00:19:33.500]   So that's that's the big story numero uno
[00:19:33.500 --> 00:19:36.100]   not much more to say about it except
[00:19:36.100 --> 00:19:43.540]   There I why I guess is the question does Google continue to make a thousand dollar Chromebook when no one else does
[00:19:43.540 --> 00:19:48.540]   It's three times. Well, I mean besides googlers. Who's the who's the market for this and besides googlers and Leo
[00:19:48.540 --> 00:19:51.460]   and Jeff
[00:19:51.460 --> 00:19:55.060]   Yeah, he was not really a market Leo buys everything I
[00:19:55.540 --> 00:20:02.280]   Literally I literally buy everything just because we want to review it and Leo Leo was the mickey of technology
[00:20:02.280 --> 00:20:09.140]   Well since Google doesn't you know like seed one to me three weeks earlier and and I wouldn't want them to because then I would feel
[00:20:09.140 --> 00:20:15.380]   Obligated so I would have replied it you would have done it and I would I buy it anyway
[00:20:15.380 --> 00:20:17.280]   I bought my last one. I buy this one. Yeah, I
[00:20:17.280 --> 00:20:21.540]   Did not buy the last one. I should be clear. That was a Google I/O gift
[00:20:22.140 --> 00:20:24.300]   Yeah, me too. Yeah, me too
[00:20:24.300 --> 00:20:26.660]   I my when my wife left her job in San Diego
[00:20:26.660 --> 00:20:32.500]   She handed in her computer and her phone and I gave her the pixel and we got got got her an excess five and she's she's still there
[00:20:32.500 --> 00:20:37.500]   She's her it's her main computer interest. Oh, yeah. Yeah. Yeah. Yeah
[00:20:37.500 --> 00:20:42.460]   Once I got the printer working that was the one thing once I got you know cloud print set up
[00:20:42.460 --> 00:20:45.740]   She's hasn't I expected her to you know come to me
[00:20:45.740 --> 00:20:47.740]   I'd be like I need to do this and I can't do it here
[00:20:47.740 --> 00:20:52.100]   She has it hasn't happened. It's been over a year and sometimes I see her using her computer and I'm like
[00:20:52.100 --> 00:20:58.860]   Oh, that's a nice machine. It is really pretty is weird. It's a three two. It's so strange to see a square screen in this day and age
[00:20:58.860 --> 00:21:02.500]   So do you guys still use your Nexus 6s?
[00:21:02.500 --> 00:21:07.780]   Yeah, I'm one plus one still yeah one plus one I'm six
[00:21:07.780 --> 00:21:09.780]   well
[00:21:09.780 --> 00:21:12.900]   You're in luck because apparently this Google
[00:21:14.060 --> 00:21:20.500]   Wireless carrier that they're about to start an MVNO that is a the weirdest thing of all may only work with the Nexus 6
[00:21:20.500 --> 00:21:22.980]   Are we we still haven't got?
[00:21:22.980 --> 00:21:27.260]   Confirmation or half-week that they're gonna do this Wall Street Journal leaked it out
[00:21:27.260 --> 00:21:35.660]   But I teased it at mobile world Congress. Yeah, but I don't know if we have exact confirmation of all of these details
[00:21:35.660 --> 00:21:38.220]   Yeah, he did say soon like the next few weeks
[00:21:38.220 --> 00:21:41.140]   So we're still waiting for the other shoe to drop on that that could happen anytime now
[00:21:41.420 --> 00:21:49.140]   But the rumor is first of all it will be an MVNO mobile virtual network operator with using both
[00:21:49.140 --> 00:21:52.620]   its T mobile and sprint and
[00:21:52.620 --> 00:22:01.660]   Wi-Fi and will seamlessly hand off from one to the other depending on which connection is better and it will be much less
[00:22:01.660 --> 00:22:07.020]   Expensive, I think that's the only reason that Google would want to do that is because the price would be so much better
[00:22:08.740 --> 00:22:14.860]   But the Wall Street Journal also says it will only work on a Nexus 6 and that I don't know if that's a technical
[00:22:14.860 --> 00:22:17.380]   That might just be to start
[00:22:17.380 --> 00:22:22.540]   They do say that it's not going to work on older Nexus devices. So if you have an exes five
[00:22:22.540 --> 00:22:27.540]   It wouldn't work with it. I you know, I don't know if that's a technical issue or not because I had a
[00:22:27.540 --> 00:22:31.460]   Republic wireless Moto
[00:22:31.460 --> 00:22:37.940]   I think it was a Moto G. I can't remember was a Moto of some kind from a public wireless that did that hand off from
[00:22:38.740 --> 00:22:45.220]   Sprint to Wi-Fi and it did it seamlessly did it beautifully. I actually tried it when I reviewed it for before you buy I started a call
[00:22:45.220 --> 00:22:51.020]   In the house actually what I did is I called my voicemail and I started leaving a message in the house
[00:22:51.020 --> 00:22:57.380]   Got in the car drove away and at no point was there any audible handoff and I just went from Wi-Fi to sprint
[00:22:57.380 --> 00:23:02.380]   Seamlessly and beautifully so there's a there's a piece I just put up on the rundown from Kevin Warbach
[00:23:02.380 --> 00:23:06.620]   Who's from the Wharton Business School Kevin's brilliant about the stuff he worked with the FCC
[00:23:06.620 --> 00:23:08.620]   He knows his stuff really well
[00:23:08.620 --> 00:23:13.100]   He argued that that this is the uber of wireless. Yeah
[00:23:13.100 --> 00:23:19.980]   That it disintermediates because because what it means is now anybody can provide wireless to the thing and back and forth
[00:23:19.980 --> 00:23:27.220]   It's gonna go to the hot women. No, that's not that's not what he meant. I really want to retire this like uber for
[00:23:27.220 --> 00:23:32.220]   I heard you moan. I just I'm so tired of
[00:23:33.140 --> 00:23:38.420]   Okay, but it'll be it'll be something else next month, you know, these it's this has been the light uber 4 though
[00:23:38.420 --> 00:23:44.060]   Has been around it's this has been sticky and persistent nothing against Kevin and I totally get what he's saying here
[00:23:44.060 --> 00:23:46.060]   But yeah, he says he doesn't like it either
