;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig136
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=136
title=This Week In Google 136: It's A Polar Bear
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.140]   It's time for Twig this week in Google. We're gonna talk about cookies
[00:04:18.180 --> 00:04:25.100]   Yeah, I wanted to learn how it also says whenever people say well, you're against paywalls, Germans
[00:04:25.100 --> 00:04:27.740]   You think kind of those values well, I'll sell you this too, you know
[00:04:27.740 --> 00:04:34.860]   Look we're all gonna have payroll soon and I hope you enjoy them
[00:04:34.860 --> 00:04:41.380]   That's all I could say I'm referring to an earlier conversation
[00:04:41.380 --> 00:04:45.460]   Which was not recorded and had nothing to do with coffee. So don't get all excited
[00:04:45.460 --> 00:04:51.860]   It's a world of first parties only I am sad that I did not go to Barcelona for many reasons
[00:04:51.860 --> 00:04:55.300]   Yes, but mobile world Congress has been amazing
[00:04:55.300 --> 00:04:59.620]   Including a keynote from our fearless leader Eric Schmidt. I
[00:04:59.620 --> 00:05:03.420]   Don't I can't remember him. He doesn't usually do keynotes
[00:05:04.100 --> 00:05:09.700]   He does mobile he did a mobile event in our technology and mobile event in Germany some time ago
[00:05:09.700 --> 00:05:13.780]   He does them on these kinds of industry events which would surprise you but he does do them occasionally
[00:05:13.780 --> 00:05:19.220]   It was good. I thought it was very good now according to Stephen Shanklin running writing for CNET
[00:05:19.220 --> 00:05:24.900]   He says the summary of Eric's speeches with the internet the week will be made strong
[00:05:24.900 --> 00:05:30.700]   Unless dictators try to keep too much control. Is that a fair? I didn't watch it. Is that a fair?
[00:05:31.500 --> 00:05:36.580]   Synopsis, oh it's not synopsis. He obviously showed off Android and everything else, but yeah, I think I think morally
[00:05:36.580 --> 00:05:39.660]   It's a synopsis that says beware people. It's the same discussion
[00:05:39.660 --> 00:05:42.860]   We don't want to have again that we were just having about regulation of things like goodness
[00:05:42.860 --> 00:05:46.860]   And we can you can talk. I'm just not gonna say a word
[00:05:46.860 --> 00:05:52.460]   My my my bottom is still sore
[00:05:52.460 --> 00:05:55.420]   I do not want to hear my more spanking
[00:05:58.620 --> 00:06:06.020]   but what so he was warning against regulation today that you think has this impact that in fact has another impact and
[00:06:06.020 --> 00:06:14.060]   So yeah, I think that that was the moral message here, but he was really also being terrible
[00:06:14.060 --> 00:06:17.900]   You know, it's it's he's he's a technology optimist even more than I am
[00:06:17.900 --> 00:06:26.140]   Talking about self-driving cars and how it's gonna save unbelievable numbers of lives and how robotics will make a difference and how more data will be helpful in our lives
[00:06:26.140 --> 00:06:32.180]   And and this goes to the conversation we were having before the show started that it is up to
[00:06:32.180 --> 00:06:36.580]   Generous saying up to media and advertising to show the benefit of
[00:06:36.580 --> 00:06:44.620]   It's up to I think technology companies like Google to show the benefit of what they do
[00:06:44.620 --> 00:06:50.700]   Encreating new technology and if they don't people are going to continue to be scared of it. I'm not sure that
[00:06:52.180 --> 00:06:58.260]   Extolling a highly optimistic some would say utopian futures necessarily going to be credible with everybody who's scared
[00:06:58.260 --> 00:07:04.700]   But I still think it's worthwhile saying if you if you tamp down here folks, this is what you may give up
[00:07:04.700 --> 00:07:07.340]   You know, it's funny. I used to be afraid
[00:07:07.340 --> 00:07:10.500]   For the net because of big
[00:07:10.500 --> 00:07:17.460]   companies net neutrality and companies like Comcast and other stakeholders trying to give the record industry the movie industry trying to
[00:07:17.460 --> 00:07:20.420]   Kill the net because they saw it as a threat to their business model now
[00:07:20.420 --> 00:07:22.900]   I realize what's gonna kill them that it's its users
[00:07:22.900 --> 00:07:27.820]   Wow
[00:07:27.820 --> 00:07:36.540]   I am stunned no, I mean really I truly believe that this knee jerk terror over tracking is
[00:07:36.540 --> 00:07:42.420]   It's gonna yeah, no, I think it's gonna really be a problem because it just makes it impossible to
[00:07:42.420 --> 00:07:45.340]   Create the free stuff that we create
[00:07:46.100 --> 00:07:50.940]   And you must you brought it up. We all that we clear here. Yes, I agree. Absolutely
[00:07:50.940 --> 00:07:54.580]   I think that's the danger is that we're getting into a moral panic over
[00:07:54.580 --> 00:08:00.180]   Technology and we're acting as if it's big companies doing it and yes some of them are yes
[00:08:00.180 --> 00:08:05.220]   They do bone-headed things but we have to be concerned about the unintended
[00:08:05.220 --> 00:08:11.580]   consequences of the impact on the tools that we so love and depend upon and the freedom that that brings
[00:08:12.220 --> 00:08:15.060]   I think my issue is I don't think people understand technology
[00:08:15.060 --> 00:08:21.780]   pretty much at all, you know most people people watch this show do but most people do not understand technology at all and
[00:08:21.780 --> 00:08:30.140]   so this is so complicated of a subject that even we who do have a difficult time explaining it and
[00:08:30.140 --> 00:08:34.220]   Understanding it I despair of normal people
[00:08:34.220 --> 00:08:37.980]   Getting it and the easy headline the easy takeaway is
[00:08:37.980 --> 00:08:40.780]   Google tracked you on the iPhone and
[00:08:41.340 --> 00:08:45.620]   That's it done. That's all you need to say and that's forever in people's minds and it's over
[00:08:45.620 --> 00:08:48.700]   Leo one of the most amazing
[00:08:48.700 --> 00:08:52.700]   Well, I think I think that not amazing one of the things that really fits in with that argument and what
[00:08:52.700 --> 00:08:58.140]   Eric Schmidt said was that he basically said I'm trying to find it here because I'm before some other earlier
[00:08:58.140 --> 00:09:01.100]   Technology will disappear. It will just be there
[00:09:01.100 --> 00:09:06.300]   Right, which is part of the view so so we don't have to know about it. It's underneath everything
[00:09:06.300 --> 00:09:10.860]   But when you're afraid of technology when it seems mysterious when you don't know what it does
[00:09:10.860 --> 00:09:13.160]   That's perhaps the wrong way to go
[00:09:13.160 --> 00:09:17.340]   Because then people get more frightened of what they don't know, right?
[00:09:17.340 --> 00:09:22.640]   Now Gina's of the opinion that the media companies is like this is what Eric Schmidt did
[00:09:22.640 --> 00:09:26.300]   But you know he's preaching to the converted when he's standing on a stage of mobile world Congress
[00:09:26.300 --> 00:09:34.200]   But it you think Gina that if that Eric needs to do more of this that everybody needs to explain this and is that gonna solve it?
[00:09:34.200 --> 00:09:40.540]   I mean, I think being clear about what you're doing what the what the benefits you can't be shared and aggregate data
[00:09:40.540 --> 00:09:46.240]   Is you can't be because it's too tough. It's too complicated technical subject people don't get Jeff's book public parts
[00:09:46.240 --> 00:09:53.100]   I'm just straight up plug. I mean he's doing the good work of saying hey with these are these are the benefits of living publicly putting your data out there sharing data
[00:09:53.100 --> 00:09:59.260]   I think things like flicker, you know defaulting to public it tools the default to public and the benefit that we get out of those things
[00:09:59.260 --> 00:10:04.660]   I think it's important to tell those stories to counteract the the moral panic stories
[00:10:04.660 --> 00:10:11.180]   I think Google with their privacy policy consolidation, which goes into effect tomorrow is in a really good position to say
[00:10:11.180 --> 00:10:15.700]   Look at this huge suite of products that we have and now that we can share data
[00:10:15.700 --> 00:10:21.900]   You've agreed to let us share behavioral data between them. Look at the value. We can provide you right?
[00:10:21.900 --> 00:10:25.020]   So they're in a really good position to show that
[00:10:25.020 --> 00:10:30.540]   And you know, I do think I do think it's about telling telling a better story
[00:10:30.540 --> 00:10:34.380]   I think that it's in the media company's best interests to just be
[00:10:34.380 --> 00:10:39.340]   Transparent and upfront about the fact that if they're offering free content, you know, you're the product
[00:10:39.340 --> 00:10:46.660]   Not them, you know, this this idea that if you're using free service, then you're handing over your information and we're providing value
[00:10:46.660 --> 00:10:47.660]   It's a fair trade
[00:10:47.660 --> 00:10:52.940]   I mean, I think that there there are a lot of people who aren't technologists who look at free services look at like Facebook and think
[00:10:52.940 --> 00:10:57.580]   How is this free? How does this company worth so much money and it's free?
[00:10:57.580 --> 00:11:02.220]   You know, why do I get to use this thing for free? We have to stop telling the free story and just be honest
[00:11:02.220 --> 00:11:04.220]   What it isn't free
[00:11:04.220 --> 00:11:10.260]   If your information and they provide a communication service and that and that is a and it's a really it's a fair trade
[00:11:10.260 --> 00:11:12.260]   And it's a beneficial in a lot of ways
[00:11:12.260 --> 00:11:15.700]   So I just and you know, this is what we do on the show
[00:11:15.700 --> 00:11:20.100]   This is what Jeff did with his book and I have more hope about it Leo. It sounds like you've had a rough week
[00:11:20.100 --> 00:11:26.420]   We can turn this around and that we can tell the story and in in a way
[00:11:26.420 --> 00:11:32.260]   That's not overly technical, but just be be more upfront about the idea that if you're not paying for a service
[00:11:32.260 --> 00:11:34.260]   Then you are then you are the product
[00:11:34.260 --> 00:11:35.900]   Maybe that's not such a great way to put it
[00:11:35.900 --> 00:11:40.500]   But just just get people used to the idea that sharing your information if you share your information
[00:11:40.500 --> 00:11:44.420]   Then you get these benefits and then you get to use these tools if you don't want to show you
[00:11:44.420 --> 00:11:47.740]   Then you don't get to use the tools. That's not gonna work. No
[00:11:53.540 --> 00:11:56.900]   People want Facebook. They want it for free. They have no idea that it costs money
[00:11:56.900 --> 00:11:59.940]   They don't understand the server cost money. They have no idea
[00:11:59.940 --> 00:12:02.380]   But I think there's some uneasiness about it
[00:12:02.380 --> 00:12:07.340]   I think this is where the moral panic comes from, you know, like there's some uneasiness with people who don't understand technology or like
[00:12:07.340 --> 00:12:10.340]   They love Facebook. They don't really understand why it's free
[00:12:10.340 --> 00:12:14.380]   You know, they're gonna see these stories about the IPO and because billions of dollars
[00:12:14.380 --> 00:12:18.460]   It's gonna involve and it's sort of I think it's just this like big mystery to folks
[00:12:18.460 --> 00:12:23.460]   Well, and then what happens because of the moral panic is the thing that Google did which I agree with
[00:12:23.500 --> 00:12:28.260]   Wrong on iOS is because of the moral panic because Google considered saying well
[00:12:28.260 --> 00:12:31.860]   We want this information and realized that people would
[00:12:31.860 --> 00:12:35.060]   Say, you know, they would be freaked out
[00:12:35.060 --> 00:12:38.820]   So the engineer and him said well, we're really not doing anything bad
[00:12:38.820 --> 00:12:44.420]   We're just gonna set this plus one button. So let's just do it and I think what you're gonna see is two things will happen
[00:12:44.420 --> 00:12:46.580]   So there's gonna be this moral panic
[00:12:46.580 --> 00:12:53.060]   Companies will try to sneak more because you can't I'm telling you you can't say
[00:12:53.060 --> 00:12:57.780]   Hey, we just want to track you for advertising purposes to give you a free service people go what the hell with that?
[00:12:57.780 --> 00:13:03.220]   It's like if you know, I look at this doesn't affect us to it doesn't use third party tracking cookies
[00:13:03.220 --> 00:13:09.520]   It literally does not affect us, but if somebody started if everybody started using ad blockers that would affect us, right?
[00:13:09.520 --> 00:13:11.780]   so I
[00:13:11.780 --> 00:13:15.220]   Could think in the in my head of that people just everybody uses ad blockers
[00:13:15.220 --> 00:13:16.900]   You said but wait a minute it's a free service use ad blockers
[00:13:16.900 --> 00:13:22.180]   We can't do it and people say well, you know figure out a way because we're gonna use it and we're gonna use ad blockers
[00:13:22.180 --> 00:13:25.460]   And then the companies do figure out a way they sneak around
[00:13:25.460 --> 00:13:30.120]   Then government gets into it and now we're really in trouble
[00:13:30.120 --> 00:13:34.500]   Right and I think that's exactly what's happening kind of right now
[00:13:34.500 --> 00:13:40.020]   Yep, anyway moving on at one point Google considered having its own currency
[00:13:40.020 --> 00:13:45.380]   By the way Facebook's already doing this. Yeah, is it Facebook doing this? Yes
[00:13:45.380 --> 00:13:47.380]   They've got those kind of those cards
[00:13:47.380 --> 00:13:53.820]   I've not the same way Google was Google was gonna do a like a Bitcoin appear to appear money system
[00:13:53.820 --> 00:14:01.300]   And they said the reason that the reason the reason they chose not to was not because of technology or logistics
[00:14:01.300 --> 00:14:06.580]   It was because it's illegal and governments fear it because they wouldn't have control
[00:14:06.580 --> 00:14:14.820]   And and people could just have exchange on their own and governments don't like that and oh government hate that idea. Oh, yeah
[00:14:15.380 --> 00:14:22.500]   Can we just take a moment and say how cool would a good about Bitcoin be how cool would a good go back but Bitcoin be
[00:14:22.500 --> 00:14:25.540]   They were gonna call on Google bucks
[00:14:25.540 --> 00:14:32.820]   Your Google box. I think they should have called googes or something else, but uh, now I should warn everybody that if Google did that it would be to make money
[00:14:32.820 --> 00:14:36.340]   Just so you understand
[00:14:36.340 --> 00:14:42.340]   They didn't do it. They didn't they didn't they wanted to do it not because they were nice people but because they wanted to make some money
[00:14:43.540 --> 00:14:45.700]   Damn you need the vacation damn them
[00:14:45.700 --> 00:14:51.620]   Can I show you a nice video from Barcelona? Please cheer me up. Here's this here's
[00:14:51.620 --> 00:14:56.340]   Mobile look at this is they do it outside, which is kind of cool or just the android
[00:14:56.340 --> 00:15:03.140]   So some of it's outside some of it's inside. I guess there's a robot cheery little robot. How could that be bad?
[00:15:03.140 --> 00:15:10.820]   But it gets better. They're making they're making all fleshy androids. Yeah, oh we want we want these
[00:15:12.020 --> 00:15:16.980]   There's ice cream sandwiches too. You see this is exactly how they subvert you. I just want to warn you
[00:15:16.980 --> 00:15:23.300]   This is how I get you think they're nice people with fuzzy little robots and then they make money off of you
[00:15:23.300 --> 00:15:26.420]   Oh
[00:15:26.420 --> 00:15:28.420]   Man
[00:15:28.420 --> 00:15:31.380]   Let's start singing the international
[00:15:31.380 --> 00:15:33.700]   I gotta find the ice cream sandwich
[00:15:33.700 --> 00:15:34.900]   Commies
[00:15:34.900 --> 00:15:39.300]   No, no, there's ice cream sandwiches in here. Wow. Where about jelly beans?
[00:15:39.620 --> 00:15:42.580]   Well, there was a jelly bean photo in a private meeting
[00:15:42.580 --> 00:15:49.060]   I really regret not going this year because this this is this is clearly where this is where the rubber meets the road and technology is
[00:15:49.060 --> 00:15:51.620]   And I think next year will have to be at my mobile world congress
[00:15:51.620 --> 00:15:55.620]   That was eric's main point too is that we're just at the point where
[00:15:55.620 --> 00:15:58.820]   uh, you know
[00:15:58.820 --> 00:16:03.060]   Two billion people are on our connected to the internet. There's seven big people in the world
[00:16:03.060 --> 00:16:06.820]   There's so much growth to go. They're going to come on through what we now would call smartphones
[00:16:06.820 --> 00:16:11.860]   We'll call something else and you know an android in every pocket and that's where he's headed
[00:16:11.860 --> 00:16:18.980]   And it's about connectivity. Yes, and then making money as a result. Well, of course, it's uh, Jason sparrow who's head of mobile sales
[00:16:18.980 --> 00:16:21.860]   sales folks
[00:16:21.860 --> 00:16:25.060]   Who said that I cannot take you to this
[00:16:25.060 --> 00:16:29.780]   Is that that a billion people will be using mobile as their number one way to get online by 2012?
[00:16:29.780 --> 00:16:33.620]   primary method this year a billion people
[00:16:33.620 --> 00:16:35.780]   No
[00:16:35.780 --> 00:16:41.380]   It's just a chain is mobile. Mobile's just mobile. We're always gonna be mobile. It's the future. It's connecting
[00:16:41.380 --> 00:16:44.100]   Problem it's going to know where you
[00:16:44.100 --> 00:16:49.540]   Well, that's and I think that that really is a big issue with mobile is that these things really are spy devices
[00:16:49.540 --> 00:16:55.060]   They've got gps built in I mean tracking cookies is like so 1990
[00:16:55.060 --> 00:17:01.460]   This stuff this stuff really knows exactly where you are and people like nowhere you ate pizza
[00:17:01.460 --> 00:17:03.460]   Dennis Crowley had on it
[00:17:03.460 --> 00:17:07.460]   Did you know dens is talking mobile world congress the guy who started four square
[00:17:07.460 --> 00:17:12.180]   He wants to do a new four square that lights up a map wherever you are you look at this map
[00:17:12.180 --> 00:17:16.340]   And it shows all the things that four square recommends all the places your friends have been in fact
[00:17:16.340 --> 00:17:21.620]   They've got an NFC chip now that instead of checking in and this actually is going to be critical to the success of four square
[00:17:21.620 --> 00:17:25.300]   You just tap your phone against the NFC thing and it says I'm here
[00:17:25.300 --> 00:17:28.820]   And uh, and if we could just get everybody to do that
[00:17:29.940 --> 00:17:32.740]   Then we could really make some money
[00:17:32.740 --> 00:17:40.420]   Seriously, this is the benefit you get from all that tracking is that now you know where your friends have been what places they like
[00:17:40.420 --> 00:17:45.940]   Um, but there's tracking involved. So I I wonder if this uh sudden
[00:17:45.940 --> 00:17:50.900]   Uh, uh, uh, it's feels like puritanism this sudden sudden
[00:17:50.900 --> 00:17:54.500]   Puritanical privacy uh concern
[00:17:54.500 --> 00:17:59.780]   Is going to just kind of make all this stuff shrivel up. I mean you need there's a trade you get some
[00:17:59.780 --> 00:18:01.540]   benefits from this
[00:18:01.540 --> 00:18:08.660]   And mobile is absolutely critical in all of this. I hate I hate to plug and make money because of it
[00:18:08.660 --> 00:18:12.420]   But that's exactly why I wrote the book. That's exactly what I feared
[00:18:12.420 --> 00:18:15.940]   That it's not about the privacy is important
[00:18:15.940 --> 00:18:20.100]   And it's worthy and it needs protection and we all have it and there's nothing wrong with it
[00:18:20.100 --> 00:18:27.620]   But it is being used as a guise to come in and regulate the technology same as piracy security
[00:18:28.020 --> 00:18:31.220]   Decency civilization in the case of sarco z
[00:18:31.220 --> 00:18:37.380]   These are all guys is of why governments are trying to come in and regulate the net and we're falling into a trap people
[00:18:37.380 --> 00:18:40.100]   We're falling into a terrible trap
[00:18:40.100 --> 00:18:45.300]   Uh
[00:18:45.300 --> 00:18:48.980]   I'm on a show with two crazy
[00:18:48.980 --> 00:18:52.980]   No, it's funny
[00:18:54.820 --> 00:19:00.260]   Jeff and I have have different you know jeff really is like he's slowly changing my mind from week to week
[00:19:00.260 --> 00:19:02.340]   I just I feel that I need to represent
[00:19:02.340 --> 00:19:07.620]   At the the the technologist and these aren't people that don't understand what's going on. I mean, this is our audience
[00:19:07.620 --> 00:19:09.780]   If you look what's going on in the chat room. This is our audience. Oh, yeah
[00:19:09.780 --> 00:19:10.900]   No, what's up?
[00:19:10.900 --> 00:19:17.060]   Yeah, that feel really wary about these things and I my default setting is to feel wary about these things
[00:19:17.060 --> 00:19:22.980]   And I think that comes from two things. I'm a woman and I've had a crazy guy sending me crazy emails for three three or four years
[00:19:22.980 --> 00:19:24.980]   So google's not a person
[00:19:24.980 --> 00:19:27.780]   Right now. I understand. I understand this is a human using tools
[00:19:27.780 --> 00:19:31.700]   I'm just saying that before I broadcast where I am. I think of this crazy guy
[00:19:31.700 --> 00:19:35.060]   I understand that and I think that that's part of this is that
[00:19:35.060 --> 00:19:37.460]   biologically we conflate
[00:19:37.460 --> 00:19:43.780]   A reader that's scanning your email with a human being reading your email. It isn't really reading your email
[00:19:43.780 --> 00:19:48.820]   What google right right but we conflate that because biologically that's the all we understand
[00:19:48.820 --> 00:19:52.740]   Right and even technologists conflate that. I mean you're a technologist
[00:19:53.140 --> 00:19:56.260]   Yes, that's true. Can you use the word read my email? I'm not reading your email
[00:19:56.260 --> 00:20:01.860]   But people there are people who run those servers and there are people who set up the security around those servers
[00:20:01.860 --> 00:20:06.100]   So there's always the issue of not not only unintentional data leaks
[00:20:06.100 --> 00:20:12.660]   So I opt into google latitude and it's kind of automatically, you know, and I opt into it automatically broadcasting my location
[00:20:12.660 --> 00:20:17.140]   You know, that's something that why didn't you worry about that when you were using email for the last 10 years
[00:20:17.140 --> 00:20:20.900]   Sending it through a not multiple anonymous servers un unencrypted
[00:20:21.220 --> 00:20:25.620]   I think about email like sending a postcard any any server that it goes through
[00:20:25.620 --> 00:20:29.860]   I just assume that it can be you know that there's a copy made and that it can be published
[00:20:29.860 --> 00:20:32.340]   I mean, that's is not new you
[00:20:32.340 --> 00:20:35.140]   Use the internet and you're in effect in public
[00:20:35.140 --> 00:20:39.060]   Yes
[00:20:39.060 --> 00:20:41.860]   If what you're worried about is malicious spying
[00:20:41.860 --> 00:20:47.860]   And actually google's done the work of the angels by putting hg tps on all of that traffic. So
[00:20:48.420 --> 00:20:51.540]   Uh, in fact, only google can read your email not anybody in the middle
[00:20:51.540 --> 00:20:55.220]   Only that that engineer only that guy
[00:20:55.220 --> 00:20:57.780]   Code monkey at google can read it
[00:20:57.780 --> 00:21:01.620]   When I feel victimized on the net, it's because of people
[00:21:01.620 --> 00:21:03.700]   it's because of
[00:21:03.700 --> 00:21:05.380]   dorks
[00:21:05.380 --> 00:21:07.380]   Idiots a holes
[00:21:07.380 --> 00:21:08.180]   people
[00:21:08.180 --> 00:21:14.420]   Right, but did you guys saw the the new yar times article about how target can can build up a profile of consumers?
[00:21:14.420 --> 00:21:20.740]   And so so I heal I'm comfortable with the idea that target knows that I'm pregnant before my parents do
[00:21:20.740 --> 00:21:27.700]   By the way fascinating story there because that was not the headline that the New York Times used on its very well thought out
[00:21:27.700 --> 00:21:31.460]   I think he was nine months writing that piece and it got very little traffic
[00:21:31.460 --> 00:21:36.500]   But when the was it the washington post jeff who was it that republished it with that headline?
[00:21:36.500 --> 00:21:39.060]   Are it was four forms
[00:21:39.060 --> 00:21:41.060]   They got all the traffic
[00:21:41.460 --> 00:21:48.820]   They got all the traffic this guy did this really wonderful article and all the traffic went to the sensational headline not the actual article
[00:21:48.820 --> 00:21:51.060]   Well, I mean, that's just an unfortunate
[00:21:51.060 --> 00:21:55.860]   But but it underscores no there's a reason I brought that up it underscores that there's a sensationalism there
[00:21:55.860 --> 00:22:00.260]   The truth is that that people like target to do it all the time and they do it without the internet
[00:22:00.260 --> 00:22:02.740]   Um, they do it in a variety of ways
[00:22:02.740 --> 00:22:04.420]   Well through your club card right?
[00:22:04.420 --> 00:22:07.140]   Club card they track when you call them for help
[00:22:07.700 --> 00:22:11.940]   They because you have a target id and they're aggregating every bit of information every time you
[00:22:11.940 --> 00:22:19.380]   Identify yourself to them of every kind of activity and it's it has been happening long before the internet marketers have always done this
[00:22:19.380 --> 00:22:21.620]   I can remember very well
[00:22:21.620 --> 00:22:23.620]   25 years ago
[00:22:23.620 --> 00:22:28.420]   Um a guy there was a great book. In fact, I should try to find this book where they just showed everything
[00:22:28.420 --> 00:22:30.420]   They know about you from where you live
[00:22:30.420 --> 00:22:34.500]   You know from your zip code I could tell you what magazines you subscribe to because people flock in the same
[00:22:34.980 --> 00:22:40.100]   Group it's it's not hard to get all this information without tracking cookies or anything else
[00:22:40.100 --> 00:22:42.500]   And it's been done for years
[00:22:42.500 --> 00:22:47.060]   Have I told on axiom if I told this in the show before if I have stopped me you can go to axiom today
[00:22:47.060 --> 00:22:54.100]   And you can request and pay for the names and addresses of it all really creep you out here
[00:22:54.100 --> 00:22:56.100]   You know, I can find women
[00:22:56.100 --> 00:22:59.140]   um single
[00:22:59.540 --> 00:23:05.460]   20 to 35 within two miles of my house who are college educated who earn at least this much
[00:23:05.460 --> 00:23:12.820]   I can get their names and addresses not because of the internet but because of pre internet databases that exist
[00:23:12.820 --> 00:23:15.700]   Right, right
