;FFMETADATA1
title=Stop Spocking My Bills!
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=290
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.580]   It's time for Twig this week in Google. Aaron Nukem joins Jeff Jarvis and me
[00:02:18.920 --> 00:02:25.760]   Amazon Kindle single called Gutenberg the geek which is quite good highly recommended like sure
[00:02:25.760 --> 00:02:28.080]   That's the benefit of it. It's short and cheap
[00:02:28.080 --> 00:02:34.200]   Yeah, he's also I know it says like you are forgetting it's been that there's a long I should just make the thing free now
[00:02:34.520 --> 00:02:37.960]   Yeah, you could right you can do that right give it away. We're giving it away
[00:02:37.960 --> 00:02:42.480]   Yeah, and geek sparing gifts is his latest and that's available in Amazon as well
[00:02:42.480 --> 00:02:44.960]   Thank you for the plug reinventing journal
[00:02:44.960 --> 00:02:50.520]   Then I saw you put on Facebook you want to you start to talk about what to do to make Facebook a better news outlet
[00:02:50.520 --> 00:02:55.580]   Yeah, I did a post about what Google could do for news and what news could do for Google and next in this series now
[00:02:55.580 --> 00:03:00.440]   A boring is Facebook and Facebook is actually already doing interesting things. I talked to them. Yeah yesterday. Yeah, so
[00:03:00.440 --> 00:03:02.920]   Nate they're doing it stuff. Nate
[00:03:03.640 --> 00:03:08.880]   And joining us in house Aaron Nukem is here. Yeah, he's with NetApp
[00:03:08.880 --> 00:03:12.960]   But he's also a regular on many of our shows at all about Androids last weekly
[00:03:12.960 --> 00:03:16.240]   He's looks like you brought a game controller just in case you got bored
[00:03:16.240 --> 00:03:19.400]   Well, I know that this is in the rundown to I don't know if we're gonna talk about it
[00:03:19.400 --> 00:03:25.280]   But there's some some gaming news with Nvidia from new shield. Yeah, yeah, so we can talk a little bit about that
[00:03:25.280 --> 00:03:28.920]   Are you a shield user? Oh, yeah, absolutely. This is mine. You have the K1 version. Oh, yeah
[00:03:28.920 --> 00:03:33.600]   Yeah, yeah, the first one. Yep. Yeah, she'll tabling. We'll talk about it. Yeah, we'll talk about that in a while
[00:03:33.680 --> 00:03:39.200]   But yeah, in fact mobile world Congress going on right now Mike Elgin is there Miriam Jour is there
[00:03:39.200 --> 00:03:43.640]   We've been doing I hope you've been watching our live coverage not only on TNT and TNT and two or news shows
[00:03:43.640 --> 00:03:46.760]   But we're also streaming live specials each day
[00:03:46.760 --> 00:03:49.960]   Day two went up and we'll date three will be going up soon
[00:03:49.960 --> 00:03:53.680]   Mike Ront wanders the show floor in search of cool stuff
[00:03:53.680 --> 00:04:00.880]   And we did cover live I got up at nine in the morning a Pacific time on Sunday to cover the Samsung event
[00:04:00.880 --> 00:04:03.600]   I didn't get up for the HTC event, which is like even earlier
[00:04:03.600 --> 00:04:10.840]   But HTC announced a new version of the HTC one is very much a evolution of the one the M9
[00:04:10.840 --> 00:04:17.360]   You guys probably talked about it last night on all about Android. Yes, you certainly love the M9 have been a big fan
[00:04:17.360 --> 00:04:22.280]   But it's there's nothing to knock me out there. You know, they replaced that silly ultra pixel
[00:04:22.280 --> 00:04:27.880]   What was it for mega pixel camera on the on the back with a 20-megapixel real camera?
[00:04:28.520 --> 00:04:34.160]   But they put the ultra pixel on the front everybody's doing spatter selfie cams. Mm-hmm. You know where I'm a little disappointed
[00:04:34.160 --> 00:04:39.400]   I really thought that we would start to see better audio dacks in phones high res DACs
[00:04:39.400 --> 00:04:45.520]   This year. I really expected HTC to do it. I thought Samsung might do it neither
[00:04:45.520 --> 00:04:51.360]   And so that's a little disappointing because I thought this was gonna be the year for a high res music to take off
[00:04:51.360 --> 00:04:57.400]   Not so waiting for a for a phone to have kind of a Korean stretchy thing. So you have a built-in selfie stick
[00:04:57.400 --> 00:05:00.720]   Yeah, I built it instead of a kickstand
[00:05:00.720 --> 00:05:08.760]   Kickstand thing didn't work out, but they're getting bigger if you just make them a little bit bigger. You wouldn't you know, just take a picture from the top
[00:05:08.760 --> 00:05:12.840]   It's out there
[00:05:12.840 --> 00:05:16.160]   And fortunately that phone though takes up a lot of space the OS
[00:05:16.160 --> 00:05:21.800]   OS is those what's where I've read anyways the OS takes up a nine. Mm-hmm. Yeah, like free space
[00:05:21.800 --> 00:05:26.480]   Right, so you I think it takes up a new sense even though it has more storage included it takes up
[00:05:26.480 --> 00:05:32.240]   Was like 30% of the storage your available storage is just taken up from the OS. That's not good now
[00:05:32.240 --> 00:05:36.080]   Samsung I think actually has the phone of the
[00:05:36.080 --> 00:05:39.840]   Show with the new Galaxy S6 edge
[00:05:39.840 --> 00:05:44.880]   Are you are you convinced with the double edge? Well, let me I'll say a couple of things first
[00:05:44.880 --> 00:05:46.880]   It's disappointing that Samsung
[00:05:47.040 --> 00:05:53.040]   Which really that was the last holdout for removable batteries and in SD cards, you know the back would come
[00:05:53.040 --> 00:05:56.360]   Yeah, but in order to do that you have to have a crappy plastic ugly back
[00:05:56.360 --> 00:06:02.960]   So they've gone to this full aluminum design with a glass back of all things kind of like the iPhone 4
[00:06:02.960 --> 00:06:10.000]   And so you but supposedly better battery life anyway with a better battery and more juice
[00:06:10.000 --> 00:06:12.840]   Protection in the X and O's processor
[00:06:13.280 --> 00:06:18.960]   It comes in 128 gig version as well as 32 and 64 so I guess that's okay. I guess it's okay
[00:06:18.960 --> 00:06:21.800]   I still like to have the option. I mean we've seen this before right?
[00:06:21.800 --> 00:06:24.240]   I mean no one's gonna need more was it no one's getting more than 4 meg of me
[00:06:24.240 --> 00:06:28.480]   Yeah, we've seen this before for most people. It's fine. I think for power users like me
[00:06:28.480 --> 00:06:34.840]   I always want to have that extra capacity just so that I can switch stuff out change things around but at least they're at least
[00:06:34.840 --> 00:06:40.040]   They're not giving you a device. That's you know 16 gig and no SD card, right? That's awful, right?
[00:06:40.520 --> 00:06:46.960]   Yeah, they've also touched touch which is if they've continued to step back with touch was it looks pretty pure lollipop?
[00:06:46.960 --> 00:06:53.680]   But it's still they're gonna still worried about is is you know even the the underlying OS in the Samsung phone
[00:06:53.680 --> 00:07:00.080]   You know the settings and stuff like that. I just find it's logic different. It is. Yeah, it is
[00:07:00.080 --> 00:07:07.480]   Here they're comparing their own two phones the I guess that's an s5 with the s6 or is that a note for with now?
[00:07:07.480 --> 00:07:13.080]   It's an s5 looks like that's fine the new design. I think the thing that really is interesting about the s6 actually is the edge
[00:07:13.080 --> 00:07:20.520]   This is not the same as the note for edge which I did not like they know for had two screens a flat one and a curved edge run
[00:07:20.520 --> 00:07:25.000]   That was a completely separate screen and could do a lot more than the galaxy s6
[00:07:25.000 --> 00:07:29.240]   You could have screensavers on it and you could really set a lot of different things in there
[00:07:29.240 --> 00:07:33.520]   But it just it didn't work very well. It was upside down for one thing which always bugged me
[00:07:33.520 --> 00:07:35.760]   I could never get it to work the way it was supposed to work
[00:07:37.080 --> 00:07:39.560]   This is not this is one screen that just curves
[00:07:39.560 --> 00:07:45.680]   They're melting the screen and curving it around and so it doesn't actually add a lot of functionality
[00:07:45.680 --> 00:07:48.400]   I guess you can't have because it's a super amoled screen
[00:07:48.400 --> 00:07:52.120]   You can't have the fact that you can have these five fringes are constantly on the edge
[00:07:52.120 --> 00:07:57.840]   But I don't use my phone for connecting with people. I mean I use it more for connecting with information than people
[00:07:57.840 --> 00:08:00.560]   Well, this is yeah, but this is I think the edge
[00:08:00.560 --> 00:08:06.280]   That's just using the extra screen real estate for something else the edge really is it I think about beauty about design. Yes
[00:08:06.280 --> 00:08:13.240]   It is it is and in this case and I think it's very pretty and of course everybody's worried about the fact that this phone is almost entirely glass
[00:08:13.240 --> 00:08:17.200]   Glass back and a curves edge screen
[00:08:17.200 --> 00:08:25.160]   Which will make it very vulnerable although it is gorilla glass for I think that's actually quite lovely. Yeah
[00:08:25.160 --> 00:08:29.720]   But we'll say Mike and and draw a company say it felt
[00:08:29.720 --> 00:08:35.800]   Miriam liked a while Miriam Miriam was raving about I don't know what Mike said. I don't know if Mike liked it or not
[00:08:35.800 --> 00:08:40.120]   I'm here. I'm talking about but the pricing we would don't get no confirmation on the really
[00:08:40.120 --> 00:08:41.480]   pricing
[00:08:41.480 --> 00:08:43.480]   unknown April 10th
[00:08:43.480 --> 00:08:49.880]   But you know Apple sells a phone the iPhone 6 plus that is a thousand dollars if you load it up
[00:08:49.880 --> 00:08:53.640]   There's a market for that they sold quite a quite a few of those
[00:08:53.640 --> 00:08:59.880]   So maybe Samsung has decided in addition to the low end phones. They continue to make to have one really nice
[00:08:59.880 --> 00:09:04.480]   Phone I think that's what you're gonna get out of the edge. You're gonna get a pretty expensive device
[00:09:04.480 --> 00:09:11.360]   Probably eight nine yeah around there the note for edge is I think a hundred twenty bucks more than the note for
[00:09:11.360 --> 00:09:16.960]   Something like that for that extra little screen on the side. Yeah, I don't know if it's worth it to me
[00:09:16.960 --> 00:09:20.960]   I don't think I would go for it. I mean unless there's some sort of
[00:09:20.960 --> 00:09:26.920]   Functionality there that I just can't live without I don't know I don't know it's style points more than anything. Yeah
[00:09:26.920 --> 00:09:28.920]   Well, that's why I want it cuz I'm a stylish guy
[00:09:28.920 --> 00:09:30.920]   Yeah
[00:09:30.960 --> 00:09:35.360]   I wanted to look good in my hand field. I think they'll feel good one of the things Miriam's
[00:09:35.360 --> 00:09:37.360]   I think it was Miriam who said this
[00:09:37.360 --> 00:09:41.740]   On phones where you're swiping in from the edge a lot that having a curved screen like that
[00:09:41.740 --> 00:09:44.560]   We're just kind of flows over it is cut it feels good
[00:09:44.560 --> 00:09:47.960]   Yeah, mm-hmm. That's just a thought
[00:09:47.960 --> 00:09:50.760]   so
[00:09:50.760 --> 00:09:52.840]   camera on the
[00:09:52.840 --> 00:09:53.960]   new
[00:09:53.960 --> 00:09:57.520]   S6 is the same number of megapixel 16
[00:09:57.880 --> 00:10:04.120]   But they have OIS in it which the note 4 has but not the s5 and they have a
[00:10:04.120 --> 00:10:07.000]   F19
[00:10:07.000 --> 00:10:11.000]   Aperture very fast lens that's faster than anything else on the market
[00:10:11.000 --> 00:10:19.400]   So we'll see I mean it looks pretty good. They showed low light performance head-to-head against an iPhone that was really remarkable
[00:10:19.400 --> 00:10:25.920]   Both instills and video, but that's Samsung's demo. Here's the big news that demo was normal
[00:10:26.080 --> 00:10:31.120]   There was no Broadway numbers. Yes. Yes, which was which was great. It was about the product
[00:10:31.120 --> 00:10:36.640]   It was two of the three presenters were professional women. Yes, so this the kind of the
[00:10:36.640 --> 00:10:40.840]   Subliminal sexism of previous Samsung events is gone
[00:10:40.840 --> 00:10:47.360]   They obviously are were sensitized a little finally listening. Yeah. Yeah, I remember the Broadway one
[00:10:47.360 --> 00:10:51.200]   I think you and I did that and oh, it's just it was really bad. I think I was here
[00:10:51.200 --> 00:10:54.800]   I mean, we didn't make it at the time. So I'm glad they're coming around
[00:10:54.800 --> 00:10:56.800]   I mean you need to do that
[00:10:56.800 --> 00:11:03.360]   I think and there was no fashion show weirdly dressed models prancing around it was just no ridiculous skits
[00:11:03.360 --> 00:11:08.320]   No, let's live life on our phone. Yeah, I mean, I think companies tend to do that
[00:11:08.320 --> 00:11:09.920]   they try to
[00:11:09.920 --> 00:11:14.320]   Appeal to a broader audience and when they start having a product that goes beyond the techie verse, right?
[00:11:14.320 --> 00:11:16.160]   Yeah, and they want to reach that consumer audience
[00:11:16.160 --> 00:11:21.600]   They start to they start to say well, we need to have we need to do these things without knowing what those things are right
[00:11:21.600 --> 00:11:24.240]   we need to have Broadway shows that'll appeal to people and
[00:11:25.200 --> 00:11:29.360]   You know, so it's nice to see that they're finally coming around what typically happens is that people go too far
[00:11:29.360 --> 00:11:34.400]   With that stuff without realizing it. It's nice that they're pulling it back in and connecting hopefully
[00:11:34.400 --> 00:11:37.920]   Connecting better with their core audience. They even said the words were listening now
[00:11:37.920 --> 00:11:42.160]   They were doing in reference to the phone, but I think they're also listening to what we're saying about their press events. Yeah
[00:11:42.160 --> 00:11:46.400]   Yeah, yeah, this is a kind of a chase in Samsung the s5 was such a flop
[00:11:46.400 --> 00:11:48.880]   That they realized oh
[00:11:48.880 --> 00:11:50.560]   Well, I think that's part of it too. I think they've got it
[00:11:51.200 --> 00:11:55.120]   They've maybe learned that understatement is better than overstatement
[00:11:55.120 --> 00:11:58.720]   Um, and even if you consider that we you know apple
[00:11:58.720 --> 00:12:03.680]   invented the understatement in its own weird way it became a new form of overstatement
[00:12:03.680 --> 00:12:06.320]   now, um
[00:12:06.320 --> 00:12:10.720]   I talked about this last week because I had to received it but wednesday morning in advance
[00:12:10.720 --> 00:12:13.680]   of uh, the mobile world congress
[00:12:13.680 --> 00:12:17.760]   Motorola sent us this this e now. This is the other side of the spectrum
[00:12:18.080 --> 00:12:23.760]   Here's a phone that's 150 bucks out the door the Motorola second generation e but is a great phone
[00:12:23.760 --> 00:12:27.280]   You make some sacrifices. This screen isn't as high res. It's not as big a phone
[00:12:27.280 --> 00:12:31.120]   but, um, I thought that was a I think to me
[00:12:31.120 --> 00:12:36.640]   More people will be interested in this and what that's going to do is and I think Samsung realizes is
[00:12:36.640 --> 00:12:41.040]   If you're going to make a phone that is more than 150 bucks, it better be premium. Yeah
[00:12:41.040 --> 00:12:43.840]   It better not compromise in any way
[00:12:44.560 --> 00:12:49.360]   And I think the HTC M9 is that I think the Samsung S6 is that the one plus one
[00:12:49.360 --> 00:12:57.200]   The one plus one is starting to look a little a little uh utility it is it is but I think I think it was interesting
[00:12:57.200 --> 00:13:01.760]   That it pushed the market it did when they said no compromises. I mean they meant it
[00:13:01.760 --> 00:13:08.640]   I think the X is six is a better phone. Yeah, but uh, it was a heck of a phone for the price and to show you what you can do
[00:13:08.640 --> 00:13:12.800]   And and and tried to put in the best of everything they could that was available to them
[00:13:13.280 --> 00:13:16.000]   Three gigs of ram in the s6 that's not an improvement
[00:13:16.000 --> 00:13:19.840]   Especially since they have a 64-bit processor and they could go quite a bit more
[00:13:19.840 --> 00:13:24.720]   Uh, they're putting their eight-way new exenos in there. Although it may be in the United States
[00:13:24.720 --> 00:13:27.600]   They use the snap drag and that's what they're done. They've done it fast. Yeah
[00:13:27.600 --> 00:13:32.560]   That has to do with the system on a chip more than the processor has to do with their radios. All right
[00:13:32.560 --> 00:13:37.200]   I think they're sticking with exenos. Are they gonna do exenos? I'm pretty sure they're sticking with exenos here in the U.S
[00:13:37.200 --> 00:13:39.280]   That's what the room was is that confirmed?
[00:13:39.280 --> 00:13:42.400]   Uh, you know, I actually that's a good question. I don't know if it's confirmed
[00:13:42.480 --> 00:13:44.960]   Samsung was saying of course, but they didn't have a bread
[00:13:44.960 --> 00:13:49.120]   Welcome chips at all. So yeah, right, um also, uh
[00:13:49.120 --> 00:13:52.240]   Uh, let's see what else
[00:13:52.240 --> 00:13:54.800]   No, uh
[00:13:54.800 --> 00:13:57.040]   I'm trying to remember
[00:13:57.040 --> 00:14:02.800]   Any other features we're missing? I wish the battery removal, but I think if they have better battery life, maybe it'll be okay
[00:14:02.800 --> 00:14:06.880]   They have quit. Oh fast charging. Yeah fast charging using no water resistance
[00:14:06.880 --> 00:14:09.280]   They're using ddr for ram
[00:14:09.280 --> 00:14:13.040]   No water resistance, which just shows that maybe that wasn't a selling point. Everybody cared about I
[00:14:13.040 --> 00:14:15.600]   Uh some did but uh
[00:14:15.600 --> 00:14:17.520]   No, um
[00:14:17.520 --> 00:14:23.360]   A ddr ram four which is faster and em's emmc storage, which is faster. Yep
[00:14:23.360 --> 00:14:28.960]   So, uh, we'll have to wait and see but everybody's played with the phone and barcelona says is really snappy
[00:14:28.960 --> 00:14:33.760]   With that fast processor fast memory and so forth. Yep, so
[00:14:33.760 --> 00:14:36.640]   We'll see
[00:14:36.640 --> 00:14:43.440]   We shall see it is interesting though like we're talking about Samsung, you know making changes and listening on one hand they did right
[00:14:43.440 --> 00:14:49.360]   For such a long time people have been complaining myself included about kind of the design
[00:14:49.360 --> 00:14:55.200]   Aspect of Samsung devices and how you know, I'm just not a huge fan of plastic and it feels cheap
[00:14:55.200 --> 00:15:01.360]   And so they've gone this this other direction and they're they're putting a lot of focus on design and peeling back
[00:15:01.680 --> 00:15:06.720]   Touchwiz and everything on the other hand a lot of their success was built on what they were doing
[00:15:06.720 --> 00:15:14.560]   Aside from this year, which wasn't so successful and what they were doing included removable battery included external storage
[00:15:14.560 --> 00:15:17.120]   You know, um included water resistance
[00:15:17.120 --> 00:15:22.240]   So they're really kind of betting on the fact that these changes are going to get them back to where they were
[00:15:22.240 --> 00:15:27.360]   Uh after such a uh difficulty Jason do you think it could be in a way too timid?
[00:15:27.360 --> 00:15:31.120]   You know, okay. Okay. We'd be like everybody else and we'll just do it more expensively
[00:15:31.680 --> 00:15:34.560]   Yeah, um, yeah, that that could be it too
[00:15:34.560 --> 00:15:39.120]   I don't know. I'm very curious to see if this if this works for them because they're really changing a lot
[00:15:39.120 --> 00:15:41.520]   After having so many years of doing
[00:15:41.520 --> 00:15:47.440]   Uh, you know of kind of following a very particular path. Yeah, they're straying off that path now big time
[00:15:47.440 --> 00:15:52.880]   It's it's a big bet. I wonder if the kind of the I mean it's just about a flop of the s5
[00:15:52.880 --> 00:16:00.560]   I mean I wonder if that kind of taught them a lesson or are they're trying to you know come back from that because I think that if the s6 is not as popular
[00:16:01.040 --> 00:16:08.080]   Then they're in big trouble. Right. Yeah. Yeah, two in a row would be bad. Yeah, the note still sells very well though
[00:16:08.080 --> 00:16:10.080]   Which is interesting. No for what's the success?
[00:16:10.080 --> 00:16:13.680]   Curvula wrong, but they invented the fablage. Oh, yeah, I think they were the first
[00:16:13.680 --> 00:16:17.600]   They pushed the whole market to the giant phone and then and then didn't know what to do
[00:16:17.600 --> 00:16:19.760]   It wasn't so apple that it was okay. Yeah
[00:16:19.760 --> 00:16:27.600]   Blackberry announced an interesting phone a five inch touch screen for only $279. That's the leap
[00:16:28.480 --> 00:16:31.520]   Blackberry does need to do something to leap back into the market
[00:16:31.520 --> 00:16:37.440]   Um, you know the last blackberry all touch screen. I had the storm was so girl god awful
[00:16:37.440 --> 00:16:40.960]   I'd have to really think twice about this it will run blackberry 10
[00:16:40.960 --> 00:16:46.880]   Uh five inch HD display HD though is 720p not 1080p
[00:16:46.880 --> 00:16:52.000]   So only 293 only only 293 pixels per inch only
[00:16:52.000 --> 00:16:56.960]   But but I have to say that's plenty obvious on a five inch device. Yeah, that's plenty
[00:16:57.520 --> 00:17:03.760]   But when you look at the 5.1 inch s6 which has 577 pixels per inch. That's crazy
[00:17:03.760 --> 00:17:09.440]   Numbers wise doesn't look as good. Um, I don't know if that matters at all every time I see somebody with a blackberry
[00:17:09.440 --> 00:17:14.240]   Now I have to admit that I giggled. Yeah, eight megapixel camera 10 a p hd
[00:17:14.240 --> 00:17:18.240]   They're just a little behind 1.5 gigahertz. Welcome two gigs of ram
[00:17:18.240 --> 00:17:25.840]   16 gigs of storage for firmware does have a micro SD card slot 25 hours. They're claiming a battery life
[00:17:27.200 --> 00:17:31.840]   So, uh, you know, I don't want to leave blackberry out. Yeah, you know what I say bring back the trio
[00:17:31.840 --> 00:17:36.160]   I don't know why you say that but i'm glad you say it
[00:17:36.160 --> 00:17:42.400]   I don't i'm gonna be nostalgic for some old brands the trio. I loved my trio. Yeah, I guess
[00:17:42.400 --> 00:17:43.280]   The word my trio
[00:17:43.280 --> 00:17:44.240]   Yeah, people did love this
[00:17:44.240 --> 00:17:48.160]   You know what I love my scion 3a now that was it because it wasn't a phone
[00:17:48.160 --> 00:17:50.080]   But you could have phoned in it
[00:17:50.080 --> 00:17:56.160]   Nowadays it'd be a phone. I love my trs 80 at the time. Yeah. Yeah. You know what I love my Atari 400
[00:17:56.160 --> 00:17:58.160]   You know what I love
[00:17:58.160 --> 00:17:59.680]   We could go on and on
[00:17:59.680 --> 00:18:03.040]   Sundar pachai spoke at the mobile world congress
[00:18:03.040 --> 00:18:09.200]   Uh google is going to give details of its us mobile network in the coming months. Yes google
[00:18:09.200 --> 00:18:12.320]   Is going to do a us mobile network
[00:18:12.320 --> 00:18:16.240]   He also talked about the loon balloons. They're apparently close to launch
[00:18:16.240 --> 00:18:19.760]   Yeah, that's that's global. That's global internet
[00:18:19.760 --> 00:18:26.080]   An experimental mobile network in the united states. They want to do an mvn. Oh that is sitting on top of
[00:18:26.640 --> 00:18:28.640]   We've mentioned this before the other carriers in fact
[00:18:28.640 --> 00:18:32.960]   Apparently what they're planning to do although pachai did not confirm it
[00:18:32.960 --> 00:18:36.880]   He said it will merge sell and Wi-Fi networks in a seamless way
[00:18:36.880 --> 00:18:43.360]   But apparently what they want to do is just pick whatever network works the best right now and use that right which would be my guess
[00:18:43.360 --> 00:18:47.200]   Yes, it's great. My guess is this word. I mean this is aimed
[00:18:47.200 --> 00:18:50.880]   Primarily at Kansas City and Austin and and such
[00:18:50.880 --> 00:18:53.680]   Because they keep on saying it's small and small and small
[00:18:53.840 --> 00:18:56.320]   If they have ubiquitous Wi-Fi around the markets
[00:18:56.320 --> 00:19:01.600]   Like that and you can do you know 95 percent of the time you're on Wi-Fi and only when it fails or you're out of town
[00:19:01.600 --> 00:19:05.280]   Is it on your public wireless does that that's that that's how republic wireless works?
[00:19:05.280 --> 00:19:09.600]   They prefer Wi-Fi and since there's so much open Wi-Fi around now
[00:19:09.600 --> 00:19:13.280]   But you know, but it's not really open. That's the problem
[00:19:13.280 --> 00:19:18.240]   You know the fact that I have to go to I used to have an app that would sign me into starbucks Wi-Fi and it just doesn't work anymore
[00:19:18.240 --> 00:19:20.640]   Yeah, and the fact that I have to go through the stupid page
[00:19:20.640 --> 00:19:22.640]   I've said this on the show before I'll say it again
[00:19:22.720 --> 00:19:28.960]   Folks, I want a universal statement of giving up my rights on my firstborn and I'll sign it once
[00:19:28.960 --> 00:19:31.680]   And I want everything
[00:19:31.680 --> 00:19:35.120]   Whenever it hits a Wi-Fi I say he's already signed it. He's already agreed
[00:19:35.120 --> 00:19:37.600]   You know, you know that does work
[00:19:37.600 --> 00:19:41.760]   Not that this is a great selling point with Comcast's XFINITY service
[00:19:41.760 --> 00:19:49.200]   So you remember we it was a little controversial if you're a Comcast Wi-Fi customer that your Wi-Fi router also has this
[00:19:49.600 --> 00:19:54.880]   Public network aspect and here in petaluma, that's it's a Comcast town
[00:19:54.880 --> 00:20:01.760]   I can get Wi-Fi almost anywhere and once you sign in with XFINITY Wi-Fi once you will that's now
[00:20:01.760 --> 00:20:08.320]   a registered Wi-Fi network, so I don't have to sign in ever again and I often find I'm on Wi-Fi
[00:20:08.320 --> 00:20:10.800]   Mostly because it's not working
[00:20:10.800 --> 00:20:14.720]   And I have to know gosh just sign in the XFINITY Wi-Fi again, right?
[00:20:14.720 --> 00:20:16.560]   I hate this
[00:20:16.560 --> 00:20:22.320]   So sometimes you might want to forget it but as they get better and better with better and better signal and better connectivity
[00:20:22.320 --> 00:20:29.760]   That's that's a mesh network. It's very interesting or could we have you know, bloom balloons or some other strange thing that they're thinking about
[00:20:29.760 --> 00:20:36.640]   You know, I don't know you saw that Mark Zuckerberg said it isn't sci-fi that's going to get internet to the the next billion people
[00:20:36.640 --> 00:20:39.280]   It's just carriers doing the job of you know
[00:20:39.280 --> 00:20:46.080]   Wiring and I think he makes a good point. We talk about Facebook's drones Google's balloons. It's you know
[00:20:46.080 --> 00:20:48.080]   There
[00:20:48.080 --> 00:20:53.600]   If you have water for the Android phone, there still is one Sony Xperia m4 aqua
[00:20:53.600 --> 00:20:56.560]   How long is Sony gonna stay in the business though?
[00:20:56.560 --> 00:21:02.480]   Well now that's a funny thing because there was uh there was some talk of them exiting the phone business
[00:21:02.480 --> 00:21:06.320]   I think their CEO some executives said we were probably we're thinking about it
[00:21:06.320 --> 00:21:11.840]   And then it was very vigorously denied by another Sony executive yesterday of the day before saying no
[00:21:12.320 --> 00:21:16.880]   We're in the phone. Well, maybe that's as long as the m4 aqua is available and then they'll get a hub and I don't know
[00:21:16.880 --> 00:21:18.640]   Um
[00:21:18.640 --> 00:21:20.640]   It's kind of a mid-range phone
[00:21:20.640 --> 00:21:23.760]   64-bit octa-core snapdragon 615
[00:21:23.760 --> 00:21:26.960]   Lollipop two-day battery life waterproof
[00:21:26.960 --> 00:21:30.000]   Uh up to one and a half meters
[00:21:30.000 --> 00:21:32.000]   Um
[00:21:32.000 --> 00:21:34.000]   And fresh water
[00:21:34.000 --> 00:21:39.840]   No salt water allowed no scuba and chlorinated not so good and you should rinse it if you get it
[00:21:39.920 --> 00:21:41.520]   Clark
[00:21:41.520 --> 00:21:44.160]   Just written the specs starting price of
[00:21:44.160 --> 00:21:49.680]   299 euros that's about four or 500 bucks. It'll be available in 80 countries, but not the us
[00:21:49.680 --> 00:21:54.400]   Not the us. They're gonna stick with their uh their flagship phones in the us. So
[00:21:54.400 --> 00:21:58.160]   Here's a question for you. Do you think Sony could Kodak?
[00:21:58.160 --> 00:22:01.600]   Could Sony die? Oh, yeah. Oh, yeah. Yeah, absolutely
[00:22:01.600 --> 00:22:08.560]   That's phenomenal. There's a big chance that might as important a company as Sony was in the consumer electronics. Yeah revolution
[00:22:09.440 --> 00:22:14.640]   Jesus. I mean, yeah, it's been suffering suffering suffering and I keep on just waiting somebody to come in somebody will fix it
