;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[00:02:35.960 --> 00:02:37.960]   He was bragging about that just moments ago.
[00:02:37.960 --> 00:02:38.960]   He wasn't.
[00:02:38.960 --> 00:02:41.960]   We were talking about Craig Newmark because it was a brag.
[00:02:41.960 --> 00:02:42.960]   It was a humble brag.
[00:02:42.960 --> 00:02:43.960]   Maybe a little bit.
[00:02:43.960 --> 00:02:44.960]   A humble brag.
[00:02:44.960 --> 00:02:45.960]   Right.
[00:02:45.960 --> 00:02:46.960]   How was Perugia this year?
[00:02:46.960 --> 00:02:47.960]   Did you, you don't go to Georgia?
[00:02:47.960 --> 00:02:49.960]   No, I, no, I, no, you were there too.
[00:02:49.960 --> 00:02:50.960]   You were there too.
[00:02:50.960 --> 00:02:51.960]   Oh, yeah.
[00:02:51.960 --> 00:02:52.960]   Yeah.
[00:02:52.960 --> 00:02:53.960]   Yeah.
[00:02:53.960 --> 00:02:54.960]   The weather wasn't that great.
[00:02:54.960 --> 00:02:58.960]   It's a journalism conference in one of the most beautiful towns in Italy, a beautiful medieval town.
[00:02:58.960 --> 00:02:59.960]   Great food.
[00:02:59.960 --> 00:03:02.960]   It's a wonderful conference and great discussions.
[00:03:02.960 --> 00:03:06.960]   I had, I had a debate about European regulation.
[00:03:06.960 --> 00:03:07.960]   Well.
[00:03:07.960 --> 00:03:11.960]   I had a session about the death of the story.
[00:03:11.960 --> 00:03:12.960]   Oh, interesting.
[00:03:12.960 --> 00:03:18.960]   I had a session about things that journalists know about the business of journalism.
[00:03:18.960 --> 00:03:19.960]   What about you, Matthew?
[00:03:19.960 --> 00:03:20.960]   What were yours?
[00:03:20.960 --> 00:03:26.960]   I did a one-on-one with Alan Rusperager, the former Guardian editor.
[00:03:26.960 --> 00:03:27.960]   And I did a.
[00:03:27.960 --> 00:03:28.960]   This new book.
[00:03:28.960 --> 00:03:29.960]   You should plug it.
[00:03:29.960 --> 00:03:31.960]   Breaking the news.
[00:03:31.960 --> 00:03:40.960]   And then I did a one-on-one with Martin Moore, who also has a book about the impact of technology
[00:03:40.960 --> 00:03:42.960]   and politics in society.
[00:03:42.960 --> 00:03:45.960]   And I had a couple of panels as well.
[00:03:45.960 --> 00:03:52.960]   I think the highlight for me was seeing Maria Ressa from Rappler, the usual.
[00:03:52.960 --> 00:03:53.960]   You know, Maria Ressa, Leo?
[00:03:53.960 --> 00:03:54.960]   News site.
[00:03:54.960 --> 00:03:57.960]   I don't, I don't even know Rappler, which is a French.
[00:03:57.960 --> 00:03:58.960]   It's French, Rappler.
[00:03:58.960 --> 00:04:00.960]   Rappler is, she's from Philippines.
[00:04:00.960 --> 00:04:01.960]   Oh, Philippines.
[00:04:01.960 --> 00:04:02.960]   Oh, Philippines.
[00:04:02.960 --> 00:04:05.960]   And very, the bravest journalist I know by far.
[00:04:05.960 --> 00:04:06.960]   Oh, yeah.
[00:04:06.960 --> 00:04:09.960]   She's been arrested now by Duterte eight times or nine times.
[00:04:09.960 --> 00:04:10.960]   Oh, my goodness.
[00:04:10.960 --> 00:04:14.960]   She was arrested again, who he came to Persia.
[00:04:14.960 --> 00:04:16.960]   Oh, that's, that's.
[00:04:16.960 --> 00:04:19.960]   And yet, and yet, soldiers on.
[00:04:19.960 --> 00:04:23.960]   Yeah, and she's relentlessly positive as well, which is amazing.
[00:04:23.960 --> 00:04:24.960]   Wow.
[00:04:24.960 --> 00:04:26.960]   For someone who's been through as much as she has.
[00:04:26.960 --> 00:04:31.960]   This is, you got her, you have to respect people of the press who continue to soldier
[00:04:31.960 --> 00:04:32.960]   on.
[00:04:32.960 --> 00:04:35.960]   And then there's, and then there's Julian Assange.
[00:04:35.960 --> 00:04:36.960]   Yeah.
[00:04:36.960 --> 00:04:38.960]   Were you in Persia when he got arrested?
[00:04:38.960 --> 00:04:40.960]   Because I would have loved her.
[00:04:40.960 --> 00:04:41.960]   Just after.
[00:04:41.960 --> 00:04:43.960]   Oh, man, the conversation there.
[00:04:43.960 --> 00:04:44.960]   Yeah.
[00:04:44.960 --> 00:04:49.960]   So Assange, of course, is the founder of WikiLeaks and was lionized, especially by the left
[00:04:49.960 --> 00:04:53.960]   early on, especially after collateral murder.
[00:04:53.960 --> 00:05:00.680]   That was the material leaked to WikiLeaks by Chelsea Manning, which showed footage of
[00:05:00.680 --> 00:05:06.920]   American drones killing journalists and other innocents and was a big revelation.
[00:05:06.920 --> 00:05:10.920]   Back in the Obama era, of course, Chelsea Manning went to jail.
[00:05:10.920 --> 00:05:14.680]   Obama later commuted her sentence.
[00:05:14.680 --> 00:05:19.960]   They've finally threw Julian out of the Ecuadorian embassy where he'd been hunkered down for,
[00:05:19.960 --> 00:05:20.960]   what is it, seven years?
[00:05:20.960 --> 00:05:21.960]   Seven years.
[00:05:21.960 --> 00:05:22.960]   Yeah.
[00:05:22.960 --> 00:05:23.960]   Initially he was.
[00:05:23.960 --> 00:05:24.960]   Seven years.
[00:05:24.960 --> 00:05:27.600]   He was fleeing a rape charge from Sweden.
[00:05:27.600 --> 00:05:33.800]   That charge eventually dropped, but he still dared not leave the Ecuadorian embassy in London.
[00:05:33.800 --> 00:05:36.280]   No, it hasn't actually technically been dropped.
[00:05:36.280 --> 00:05:37.280]   Oh, he's still there.
[00:05:37.280 --> 00:05:39.280]   They just gave up on a perse.
[00:05:39.280 --> 00:05:40.280]   They were going to perseal it.
[00:05:40.280 --> 00:05:41.280]   Yeah.
[00:05:41.280 --> 00:05:42.280]   Okay.
[00:05:42.280 --> 00:05:44.280]   And I have no comments about those charges.
[00:05:44.280 --> 00:05:48.960]   Assange himself said as soon as he started leaking stuff on WikiLeaks, it's just a matter
[00:05:48.960 --> 00:05:52.080]   of time before they come for me.
[00:05:52.080 --> 00:05:56.760]   He stayed in the Ecuadorian embassy, eventually wearing out his welcome.
[00:05:56.760 --> 00:06:01.120]   The Ecuadorians accused him of new government in Ecuador too had an impact.
[00:06:01.120 --> 00:06:02.120]   Yeah.
[00:06:02.120 --> 00:06:07.520]   However, the Ecuadorian government has been strong armed by the US government over aid
[00:06:07.520 --> 00:06:09.160]   for doing things the US didn't like.
[00:06:09.160 --> 00:06:11.720]   And I have to think this might have, there might have been some pressure on that along
[00:06:11.720 --> 00:06:17.240]   those lines as well because I would imagine as soon as he was thrust out of the embassy
[00:06:17.240 --> 00:06:24.160]   with his cat, the Metropolitan Police in London picked him up at the request of US authorities
[00:06:24.160 --> 00:06:27.040]   and they are now attempting to extradite him to the US.
[00:06:27.040 --> 00:06:35.480]   But the US is not charging him with the Espionage Act famously Obama, the Obama administration
[00:06:35.480 --> 00:06:38.960]   decided that that would be frankly too risky.
[00:06:38.960 --> 00:06:44.880]   They were afraid of using that big gun against Julian Assange and decided not to prosecute
[00:06:44.880 --> 00:06:50.560]   or attempt to prosecute him on those on grounds of espionage because they were afraid that
[00:06:50.560 --> 00:06:55.360]   that could then be used down the road against other journalists.
[00:06:55.360 --> 00:07:01.960]   So, but the Trump administration and the Department of Justice is going after him for hacking because
[00:07:01.960 --> 00:07:08.200]   there's an email that Assange sent to Chelsea Manning saying, right, it was Chelsea Manning
[00:07:08.200 --> 00:07:09.200]   saying, can you-
[00:07:09.200 --> 00:07:10.200]   It was a chat log.
[00:07:10.200 --> 00:07:11.200]   Chat log, not email.
[00:07:11.200 --> 00:07:12.200]   They're chatting about it.
[00:07:12.200 --> 00:07:13.200]   And Chelsea-
[00:07:13.200 --> 00:07:14.920]   I'll get my guys on this to help you.
[00:07:14.920 --> 00:07:15.920]   Right.
[00:07:15.920 --> 00:07:23.240]   She's trying to match a hash for a password because she was trying to get into the files using
[00:07:23.240 --> 00:07:28.320]   the FTP account rather than using her own account when she thought had been overused.
[00:07:28.320 --> 00:07:29.320]   Yeah.
[00:07:29.320 --> 00:07:30.320]   To cover her tracks.
[00:07:30.320 --> 00:07:36.600]   So, I give you all, and you guys know this obviously better than I, but I give everybody
[00:07:36.600 --> 00:07:41.240]   this background information so we can now have this conversation because the US still
[00:07:41.240 --> 00:07:43.920]   is not prosecuting him for espionage.
[00:07:43.920 --> 00:07:45.320]   No, yeah.
[00:07:45.320 --> 00:07:49.160]   Which would raise a First Amendment issue because of course Daniel Ellsberg who leaked
[00:07:49.160 --> 00:07:55.600]   the Pentagon Papers and the Nixon administration very much wanted to prosecute him for espionage.
[00:07:55.600 --> 00:07:57.480]   They did break into a psychiatrist office.
[00:07:57.480 --> 00:07:58.880]   So I think they're going to.
[00:07:58.880 --> 00:07:59.880]   You think they will?
[00:07:59.880 --> 00:08:00.880]   Yeah.
[00:08:00.880 --> 00:08:03.720]   I think this is just the, the same edge of the wedge.
[00:08:03.720 --> 00:08:04.720]   That's my fear anyway.
[00:08:04.720 --> 00:08:05.720]   I think they're-
[00:08:05.720 --> 00:08:11.200]   Now, the extradition agreement apparently he has with the Brits is he can be extradited
[00:08:11.200 --> 00:08:14.160]   only on this specific charge of hacking.
[00:08:14.160 --> 00:08:16.120]   They're at no political charges.
[00:08:16.120 --> 00:08:18.760]   Well, they can't get him and then add charges.
[00:08:18.760 --> 00:08:21.320]   I'm not sure that's what it says.
[00:08:21.320 --> 00:08:27.360]   So it says he can only be extradited for that specific charge, but officials have already
[00:08:27.360 --> 00:08:30.160]   told CNN they're, they're planning more charges.
[00:08:30.160 --> 00:08:31.160]   Interesting.
[00:08:31.160 --> 00:08:32.160]   I mean, as soon as I hear him.
[00:08:32.160 --> 00:08:33.160]   Here's the interesting thing.
[00:08:33.160 --> 00:08:37.440]   Obviously they didn't charge him with interfering in the US election, the Russians.
[00:08:37.440 --> 00:08:42.800]   And obviously the current president has over the time loved, but he leaves for what it
[00:08:42.800 --> 00:08:43.800]   did.
[00:08:43.800 --> 00:08:44.800]   Yeah.
[00:08:44.800 --> 00:08:46.000]   In fact, said that the Russians didn't hack the election.
[00:08:46.000 --> 00:08:49.160]   So there'd be no way the DOJ is going to go after for that.
[00:08:49.160 --> 00:08:50.160]   Although he claimed to know that-
[00:08:50.160 --> 00:08:51.560]   But I wonder his last quote-
[00:08:51.560 --> 00:08:52.560]   I wonder at some point.
[00:08:52.560 --> 00:08:53.560]   Oh, yeah.
[00:08:53.560 --> 00:08:56.600]   And Trump says I know nothing about WikiLeaks, even though he invoked them.
[00:08:56.600 --> 00:08:57.600]   Praise them.
[00:08:57.600 --> 00:08:59.480]   Many dozens of times during the campaign.
[00:08:59.480 --> 00:09:06.200]   I wonder if it's a pro forma prosecution and then Trump pardons him.
[00:09:06.200 --> 00:09:07.520]   Why would they do that?
[00:09:07.520 --> 00:09:08.520]   Well, why would they even-
[00:09:08.520 --> 00:09:11.320]   He not they he.
[00:09:11.320 --> 00:09:12.320]   But they-
[00:09:12.320 --> 00:09:13.320]   It's helpful to-
[00:09:13.320 --> 00:09:14.320]   Work for he.
[00:09:14.320 --> 00:09:15.320]   Don't they?
[00:09:15.320 --> 00:09:18.640]   No, he has the individual pardon power.
[00:09:18.640 --> 00:09:19.640]   Yeah.
[00:09:19.640 --> 00:09:24.760]   I mean, I think the hacking charge or the cracking of password charge is a fig leaf or whatever
[00:09:24.760 --> 00:09:25.760]   you want to call it.
[00:09:25.760 --> 00:09:32.840]   I think it's a Trojan horse or I actually think that they are going to try to make a case.
[00:09:32.840 --> 00:09:37.080]   If you read the affidavit, which goes into a lot more detail than the indictment, they're
[00:09:37.080 --> 00:09:42.360]   talking like 80% of what they describe in there are things that journalists do with
[00:09:42.360 --> 00:09:43.440]   sources all the time.
[00:09:43.440 --> 00:09:46.040]   They're talking about them using a secure drop.
[00:09:46.040 --> 00:09:48.320]   They're talking about them using Jabber talking about-
[00:09:48.320 --> 00:09:49.760]   None of which is illegal.
[00:09:49.760 --> 00:09:50.760]   Right.
[00:09:50.760 --> 00:09:51.760]   None of which is illegal.
[00:09:51.760 --> 00:09:57.200]   But the affidavit says that all of this is part of a conspiracy on the part of the two
[00:09:57.200 --> 00:09:59.720]   of them to get access to classified documents.
[00:09:59.720 --> 00:10:03.400]   According to the latest, according to Motherboard, the government admitted it doesn't even know
[00:10:03.400 --> 00:10:05.200]   if the password was cracked.
[00:10:05.200 --> 00:10:10.280]   An FBI agent admitted in a newly unsealed court document that DOJ does not know whether
[00:10:10.280 --> 00:10:13.040]   Assange's offer to help Manning came to fruition.
[00:10:13.040 --> 00:10:15.760]   So it sounds like a fairly weak case.
[00:10:15.760 --> 00:10:20.080]   Some experts have said they don't think based on what is said in these logs that it would
[00:10:20.080 --> 00:10:21.800]   even be possible.
[00:10:21.800 --> 00:10:24.800]   And there's certainly no evidence that Assange even tried.
[00:10:24.800 --> 00:10:27.600]   I mean, he lied to Chelsea Manning routinely.
[00:10:27.600 --> 00:10:30.120]   He could have just said, "Oh, sure, I'll help you crack that password.
[00:10:30.120 --> 00:10:31.120]   No problem.
[00:10:31.120 --> 00:10:32.360]   I'll get my guys on it."
[00:10:32.360 --> 00:10:34.320]   So this is the issue.
[00:10:34.320 --> 00:10:39.560]   And certainly, while Assange was the darling of the left after collateral murder, he became
[00:10:39.560 --> 00:10:45.720]   less so when he was seen as a Russian operative effectively working for the Russian government
[00:10:45.720 --> 00:10:48.040]   during the 2016 election.
[00:10:48.040 --> 00:10:57.320]   Nevertheless, it does raise the specter of, you know, restraint of free speech.
[00:10:57.320 --> 00:11:02.400]   James Ball writing in the Atlantic says, "You don't have to like Julian Assange to defend
[00:11:02.400 --> 00:11:03.400]   him.
[00:11:03.400 --> 00:11:07.240]   The effort to extradite and prosecute the WikiLeaks founder threatens the free media."
[00:11:07.240 --> 00:11:08.240]   In fact, it's...
[00:11:08.240 --> 00:11:13.920]   In fact, if you look at other people who've been forced to defend Larry Flint, who is
[00:11:13.920 --> 00:11:15.480]   no hero, that's for sure.
[00:11:15.480 --> 00:11:19.320]   You know, you can't choose the people that you build these cases around.
[00:11:19.320 --> 00:11:20.920]   It doesn't mean it's not a threat.
[00:11:20.920 --> 00:11:21.920]   It's the old saying.
[00:11:21.920 --> 00:11:24.760]   The free speech means nothing if you're defending the speech you agree with.
[00:11:24.760 --> 00:11:25.760]   Right.
[00:11:25.760 --> 00:11:26.760]   If it's always people you like.
[00:11:26.760 --> 00:11:27.760]   Right.
[00:11:27.760 --> 00:11:28.760]   Assange...
[00:11:28.760 --> 00:11:29.760]   Right.
[00:11:29.760 --> 00:11:30.760]   Assange...
[00:11:30.760 --> 00:11:31.760]   Go ahead.
[00:11:31.760 --> 00:11:32.760]   Yeah, Russ Bridger wrote it as well.
[00:11:32.760 --> 00:11:33.760]   All right.
[00:11:33.760 --> 00:11:34.760]   But you go first, Leo.
[00:11:34.760 --> 00:11:35.760]   Sorry.
[00:11:35.760 --> 00:11:38.760]   I think that's an A-hole, scratch that.
[00:11:38.760 --> 00:11:39.760]   Assange is an A-hole.
[00:11:39.760 --> 00:11:40.760]   But we're going to have to stand up for him anyway.
[00:11:40.760 --> 00:11:41.760]   What did Russ Bridger write?
[00:11:41.760 --> 00:11:45.760]   James, I think scratch, by the way, is an unfortunate verb in that choice.
[00:11:45.760 --> 00:11:48.760]   Maybe not so accidental, but unfortunate.
[00:11:48.760 --> 00:11:49.760]   Probably not.
[00:11:49.760 --> 00:11:50.760]   No, he's James.
[00:11:50.760 --> 00:11:53.360]   James, by the way, has a book coming out about the Internet.
[00:11:53.360 --> 00:11:54.360]   Let's plug that.
[00:11:54.360 --> 00:11:56.600]   James is a wonderful journalist who worked for Assange.
[00:11:56.600 --> 00:11:57.600]   We can work for him.
[00:11:57.600 --> 00:11:58.600]   We can work for him.
[00:11:58.600 --> 00:11:59.600]   He works for Assange.
[00:11:59.600 --> 00:12:00.600]   So he knows his son.
[00:12:00.600 --> 00:12:01.600]   Yeah.
[00:12:01.600 --> 00:12:02.600]   He knows him.
[00:12:02.600 --> 00:12:03.600]   He knows him.
[00:12:03.600 --> 00:12:04.600]   He volunteered to take Assange as a cat.
[00:12:04.600 --> 00:12:05.600]   Well, the equity-
[00:12:05.600 --> 00:12:06.600]   So, which thing?
[00:12:06.600 --> 00:12:07.600]   Yeah.
[00:12:07.600 --> 00:12:13.880]   Says partnering with Assange was unpleasant, but his work is crucial.
[00:12:13.880 --> 00:12:17.360]   Many conservatives despise him for supposedly, apparently, national security.
[00:12:17.360 --> 00:12:22.720]   Liberals will never forgive him for what he did to Hillary Clinton.
[00:12:22.720 --> 00:12:26.280]   He's an information anarchist dumping vast oceans of material in a cyberspace with barely
[00:12:26.280 --> 00:12:27.920]   a thought for the consequences.
[00:12:27.920 --> 00:12:30.880]   He's often portrayed as a useful idiot to Putin.
[00:12:30.880 --> 00:12:34.400]   He jumped bail in Britain, costing his two trusted supporters a small fortune.
[00:12:34.400 --> 00:12:38.760]   He's rude, aggressive, pompous, self-regarding, unreasonable, and even, as multiple sources
[00:12:38.760 --> 00:12:39.760]   say, "smelly."
[00:12:39.760 --> 00:12:40.760]   Smelly.
[00:12:40.760 --> 00:12:45.840]   There is, in short, not to love about Julian Assange.
[00:12:45.840 --> 00:12:48.520]   But he goes on, of course, and says that it depends.
[00:12:48.520 --> 00:12:51.440]   The laws, particularly in free speech, should not depend on likeability, mental health,
[00:12:51.440 --> 00:12:54.840]   or personal hygiene of those in the firing line.
[00:12:54.840 --> 00:13:00.480]   Assange is now very much a target being threatened, the extradition to the US to face charges.
[00:13:00.480 --> 00:13:02.880]   I wonder, is there any chance, Matthew, have you heard?
[00:13:02.880 --> 00:13:05.920]   Is there any chance the extradition would not be granted?
[00:13:05.920 --> 00:13:07.280]   So I think there is a chance.
[00:13:07.280 --> 00:13:13.760]   I mean, the UK, in particular, if the US didn't take the death penalty off the table, if they
[00:13:13.760 --> 00:13:18.840]   didn't promise that there's no way that the death penalty would become an option.
[00:13:18.840 --> 00:13:22.440]   I don't think the UK would extradite if the death penalty was an option.
[00:13:22.440 --> 00:13:30.960]   So they might resist on that basis, or they might decide that it doesn't justify extradition.
[00:13:30.960 --> 00:13:32.920]   I mean, it's a pretty weak case.
[00:13:32.920 --> 00:13:38.240]   If you look at the indictment, there's no actual proof that Assange did anything except
[00:13:38.240 --> 00:13:41.600]   say something in a chat log.
[00:13:41.600 --> 00:13:49.920]   So it's funny because the Obama administration did not want to prosecute ultimately, and
[00:13:49.920 --> 00:13:55.320]   they wanted to, but they didn't, ultimately, because of exactly this issue.
[00:13:55.320 --> 00:13:56.320]   Is he a journalist?
[00:13:56.320 --> 00:13:57.320]   I think that's the fear.
[00:13:57.320 --> 00:14:03.360]   Fear is that this government, the Trump administration, has been attacking the press verbally and
[00:14:03.360 --> 00:14:07.520]   otherwise, and that this is going to be part of their argument.
[00:14:07.520 --> 00:14:12.520]   The irony of it is that the Trump administration likes Assange and we do it.
[00:14:12.520 --> 00:14:13.520]   That's what that's like.
[00:14:13.520 --> 00:14:14.520]   Right.
[00:14:14.520 --> 00:14:16.680]   When they were doing something, they wanted it.
[00:14:16.680 --> 00:14:17.680]   So it's.
[00:14:17.680 --> 00:14:18.680]   But they could use this.
[00:14:18.680 --> 00:14:22.560]   The last thing the president Trump wants to do is carry President Obama's water.
[00:14:22.560 --> 00:14:23.560]   Right.
[00:14:23.560 --> 00:14:31.280]   But if they want to go after leakers, which I think they do, then they're going to try
[00:14:31.280 --> 00:14:34.200]   to criminalize journalists source relationships.
[00:14:34.200 --> 00:14:35.520]   And this allows them to do that.
[00:14:35.520 --> 00:14:39.120]   And that's the fundamental risk of this.
[00:14:39.120 --> 00:14:40.120]   Right.
[00:14:40.120 --> 00:14:44.680]   Is that if you start, and this has been attacked, in fact, during the Obama administration,
[00:14:44.680 --> 00:14:46.520]   was attacked again and again.
[00:14:46.520 --> 00:14:49.600]   They threw people in jail for not revealing sources.
[00:14:49.600 --> 00:14:56.480]   The fundamental risk in this is if journalists can't use sources safely, sources will dry
[00:14:56.480 --> 00:15:02.240]   up and we won't know what's going on.
[00:15:02.240 --> 00:15:07.920]   And end result of this is the public will lose because there would no way to see through
[00:15:07.920 --> 00:15:09.920]   the veil of government.
[00:15:09.920 --> 00:15:11.400]   Yeah.
[00:15:11.400 --> 00:15:17.520]   Speaking of veils though, and trying to go through a number of them in this story, what
[00:15:17.520 --> 00:15:21.240]   do we imagine that we can lease has on Donald Trump?
[00:15:21.240 --> 00:15:23.040]   Well they might have the dossier.
[00:15:23.040 --> 00:15:27.440]   Well, they are well, the dot we all have the dossier might have the tape.
[00:15:27.440 --> 00:15:29.400]   We all have the tape because I'd like to see it.
[00:15:29.400 --> 00:15:30.960]   If there's a tape, no, we have the dossier.
[00:15:30.960 --> 00:15:31.960]   Oh, the tape.
[00:15:31.960 --> 00:15:32.960]   We need the tape.
[00:15:32.960 --> 00:15:33.960]   They might have the tape.
[00:15:33.960 --> 00:15:34.960]   Okay.
[00:15:34.960 --> 00:15:36.520]   They, you know, okay.
[00:15:36.520 --> 00:15:42.120]   So that now if the president believed that was the case, that would explain why even though
[00:15:42.120 --> 00:15:46.760]   Assange could have been a Russian cutout acting on his behalf during the election, he
[00:15:46.760 --> 00:15:49.920]   damn well doesn't want the guy out of the Ecuadorian embassy.
[00:15:49.920 --> 00:15:51.960]   He wants him somewhere.
[00:15:51.960 --> 00:15:54.800]   By the way, the Ecuadorian took away the deal.
[00:15:54.800 --> 00:16:02.720]   I wonder whether there's not a scenario where oddly he gets jailed and oddly he gets prosecuted.
[00:16:02.720 --> 00:16:06.560]   But there's a talking about, you know, trust, but willing to offer.
[00:16:06.560 --> 00:16:07.560]   He just did it.
[00:16:07.560 --> 00:16:09.720]   He just offered his own employees pardons.
[00:16:09.720 --> 00:16:10.720]   Yeah.
[00:16:10.720 --> 00:16:14.560]   Yeah, which by the way, I believe is illegal to.
[00:16:14.560 --> 00:16:15.560]   It's pretty illegal.
[00:16:15.560 --> 00:16:16.560]   Yeah.
[00:16:16.560 --> 00:16:20.640]   Because you're supporting a witness if you say, hey, just even the same thing and I will
[00:16:20.640 --> 00:16:23.240]   pardon you when the time comes.
[00:16:23.240 --> 00:16:26.240]   Even the fact that that happened and no one really said anything.
[00:16:26.240 --> 00:16:27.800]   And we all just moved on.
[00:16:27.800 --> 00:16:29.440]   It's my fault.
[00:16:29.440 --> 00:16:31.960]   The state of affairs is incredible.
[00:16:31.960 --> 00:16:32.960]   Incredible.
[00:16:32.960 --> 00:16:39.920]   So I just use the scenario in which Assange is prosecuted on the lease charge and there's
[00:16:39.920 --> 00:16:44.680]   already a deal in play, a quiet deal in place that go through this and then you'll double
[00:16:44.680 --> 00:16:48.440]   jeopardy all that will, I'll pardon you for everything you've done and we're done.
[00:16:48.440 --> 00:16:49.440]   Oh, why?
[00:16:49.440 --> 00:16:50.440]   Why bother?
[00:16:50.440 --> 00:16:53.440]   Because he might have things on Trump.
[00:16:53.440 --> 00:16:54.440]   I don't.
[00:16:54.440 --> 00:16:55.440]   Yeah.
[00:16:55.440 --> 00:17:00.600]   I mean, if anybody in the administration knows Assange at all, I'm sure that guy would turn
[00:17:00.600 --> 00:17:02.680]   on you in a second right after.
[00:17:02.680 --> 00:17:05.680]   Yeah, but we're not talking about.
[00:17:05.680 --> 00:17:09.960]   I know they're not genius over there, but but someone will have thought of that, presumably.
[00:17:09.960 --> 00:17:12.600]   Yeah, you don't want to get fed with Assange.
