;FFMETADATA1
title=Google Forked Itself
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=285
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Twig this week in Google Danny Sullivan and Jeff Jarvis are here
[00:03:25.680 --> 00:03:27.680]   Vaccine you thought well, let's just get it out of the way
[00:03:27.680 --> 00:03:35.880]   Really? No, it's hard to be to be fair Jason. They would put them in the back of the car with no no car seat
[00:03:35.880 --> 00:03:42.280]   And with a cigarette coming out of their mouth and a fear in the other hand is a different time
[00:03:42.280 --> 00:03:48.840]   You know Don Draper was having the chicken pox party. What would you do? That's right? Was that a madman? Did that there you go?
[00:03:48.840 --> 00:03:51.720]   Chicken pox let's all get it
[00:03:51.720 --> 00:03:57.080]   Well, you want to do it kind of you want to do it kind of when it's convenient as opposed to
[00:03:57.080 --> 00:03:59.480]   During the school year as well
[00:03:59.480 --> 00:04:02.040]   Anyway
[00:04:02.040 --> 00:04:04.120]   So Leo here's my question for you. Yes
[00:04:04.920 --> 00:04:06.920]   When do you get enough hair to comb? Oh?
[00:04:06.920 --> 00:04:13.360]   Sooner than I not soon enough but at least I have hair there's some shading
[00:04:13.360 --> 00:04:17.840]   On the dome so it doesn't look quite so I don't look like a skinhead anymore
[00:04:17.840 --> 00:04:22.280]   I just look like maybe I got a little over aggressive. Maybe it's trying to be Bruce Willis or something
[00:04:22.280 --> 00:04:25.240]   And you're still not quite back near as Eve
[00:04:25.240 --> 00:04:27.720]   No, I'm not
[00:04:27.720 --> 00:04:32.560]   You're not I still have sciatica in my right leg from the doctor said did you
[00:04:33.080 --> 00:04:35.480]   Went to the doctor said doc my legs numb
[00:04:35.480 --> 00:04:42.280]   He said sounds like sciatica. Did you do anything when you know remember when it started? I said yeah, no January 1st
[00:04:42.280 --> 00:04:44.280]   He said did you do anything unusual?
[00:04:44.280 --> 00:04:50.800]   That day and I said not too much. Let's see I rode a mechanical bull
[00:04:50.800 --> 00:04:55.000]   I learned how to do saber lightsaber fighting. I
[00:04:55.000 --> 00:05:01.960]   Worked with a stuntman to learn throwing I we had a pop and lock dance group to teach me some dance moves
[00:05:01.960 --> 00:05:08.360]   I stood for 24 hours straight. No, that's a few things and I shared my head and got a tattoo
[00:05:08.360 --> 00:05:10.360]   He said well, it could be sad
[00:05:10.360 --> 00:05:13.600]   Were you really drunk he says no?
[00:05:13.600 --> 00:05:20.360]   No, I recommend to go straight for you Leo. No, you just said you'll get better eventually and they threw me out of his office
[00:05:20.360 --> 00:05:27.800]   Anyway, good to see you back from Davos. It's odd to come back from Switzerland and have more snow in New York City
[00:05:27.800 --> 00:05:35.400]   I know I know and I'm jetlight now. Did you have fun at Davos? Yeah? I did in dld before that in Munich
[00:05:35.400 --> 00:05:39.160]   Yeah, it's it's a good week. It's an exhausting week. I have my roommate again this year was Bill gross
[00:05:39.160 --> 00:05:45.640]   I like bill a lot which is which is cool bills bills the greatest. He is just as nice as guy on earth. Yeah, I love him and
[00:05:45.640 --> 00:05:53.320]   a lot of interesting sessions a lot of talk about publishers and Google and all that any difference from previous
[00:05:53.320 --> 00:05:56.520]   So this is the world economic forum
[00:05:57.400 --> 00:06:02.680]   And what is it exactly? It's a bunch of as you call a mockers who got together
[00:06:02.680 --> 00:06:08.840]   Yeah, it's 2,500 mockers and I sneak my way in I give them advice about blogging nine years ago
[00:06:08.840 --> 00:06:14.120]   And they forgot to disinvite you're like the court gesture gesture. Yeah. Yeah, we call it faculty Leo
[00:06:14.120 --> 00:06:16.760]   Faculty
[00:06:16.760 --> 00:06:19.160]   Under to amuse and run sessions and things
[00:06:19.160 --> 00:06:25.800]   But you know, you just talk with your not go. How could you not have you're once invited? I think you should go with scoble there this year
[00:06:26.440 --> 00:06:31.240]   No, no, it was weird. It was less less of the big there used to be the club hotel the crew
[00:06:31.240 --> 00:06:32.440]   hotel
[00:06:32.440 --> 00:06:34.440]   used to be filled with scobles and
[00:06:34.440 --> 00:06:42.120]   And other folks and they're not there as much more bankers, but that's so maybe they've gotten over their fascination with new media and now they're back to
[00:06:42.120 --> 00:06:44.920]   Well, but then again, you know, the forum is pretty amazing
[00:06:44.920 --> 00:06:52.200]   It does everything in new media and everything about it started publishing on medium before medium asked them to it has stuff all over there
[00:06:52.200 --> 00:06:53.800]   pretty good at that
[00:06:53.800 --> 00:06:57.720]   any anything new any new trends there among the
[00:06:57.720 --> 00:07:04.040]   Everybody asked you every year. You know, what's the mood of Davos? I goodness. I didn't hear anybody ask that this year
[00:07:04.040 --> 00:07:08.120]   I practically just did so sorry. What's the mood?
[00:07:08.120 --> 00:07:12.200]   Truck I don't know
[00:07:12.200 --> 00:07:14.120]   Uh
[00:07:14.120 --> 00:07:15.080]   Yeah
[00:07:15.080 --> 00:07:20.840]   So it's not like they're all hot and bothered about something like hollow lenses or something. They're not going crazy all over that
[00:07:21.720 --> 00:07:27.320]   Well, no, but nadala did talk about that and tried I tried to understand what the heck of hollow lens would look like in the world
[00:07:27.320 --> 00:07:29.960]   But I don't I don't sure I cared. Yeah
[00:07:29.960 --> 00:07:33.880]   Um, okay. There you go. There's your report from
[00:07:33.880 --> 00:07:42.040]   Really boring report from it was I think you sandbagging. I think adavos is probably like the best party ever. You just don't want us to know
[00:07:42.040 --> 00:07:50.520]   Um, uh, mark, but he throws a great party. Mm-hmm. No on friday night google hasn't had a nice party with um, no, I can't
[00:07:51.400 --> 00:08:01.880]   That was a banyos party. The killer is performed. Oh wow. Oh, um, I can't remember who was the google party because i'll don't forget and it was cold
[00:08:01.880 --> 00:08:06.280]   And um a lot of talk about freedom of speech
[00:08:06.280 --> 00:08:08.920]   After charlie and doe
[00:08:08.920 --> 00:08:13.720]   a lot of talk about uh, you know google panic at dld I met the new
[00:08:14.760 --> 00:08:23.080]   G the new head of digital for for the eu and he's talking about reopening copyright all across europe that's going to be a lot of fun
[00:08:23.080 --> 00:08:27.320]   A lot of talk about level playing fields and trying to
[00:08:27.320 --> 00:08:31.480]   Disadvantage american companies that are now taking advantage of easier regulation
[00:08:31.480 --> 00:08:36.200]   Well, and I say why not bring the regulation down for everybody rather than rising up for everybody
[00:08:36.200 --> 00:08:39.240]   Um
[00:08:39.240 --> 00:08:40.840]   Do you think i'm stuff?
[00:08:40.840 --> 00:08:46.360]   Does I never ask you this but you travel more than almost anybody. I know does your you use an xs six now or uh,
[00:08:46.360 --> 00:08:49.480]   And does it work well wherever you go?
[00:08:49.480 --> 00:08:55.560]   Yeah, except this time I tried in an emergency the hotel wifi just just was as good as non-existent
[00:08:55.560 --> 00:09:03.080]   I tried in an emergency to uh, and I have the of the t-mobile free band t a limited. Oh, 18t. Okay
[00:09:03.080 --> 00:09:05.960]   18t and I couldn't
[00:09:05.960 --> 00:09:06.840]   um
[00:09:06.840 --> 00:09:08.840]   do the tethering
[00:09:09.320 --> 00:09:14.200]   I couldn't make a hot spot. Uh, and you wouldn't want to the cost of that would be prohibitive
[00:09:14.200 --> 00:09:19.080]   Just for it just for an emergency moment. I wanted to and I couldn't do it. It wouldn't let me do it which would you set me?
[00:09:19.080 --> 00:09:23.960]   Yeah, uh, but you know, we're gonna we're gonna have a story about unlimited and then run down later. Maybe she'll talk
[00:09:23.960 --> 00:09:27.800]   I'm actually uh briefly maybe not so briefly gone back to the
[00:09:27.800 --> 00:09:34.360]   One plus one they had his deal last on january 20th. I think that uh for two hours
[00:09:34.360 --> 00:09:36.760]   You didn't need an invite. I said, oh, what the heck?
[00:09:37.560 --> 00:09:41.640]   And you bought another one and I ended up buying another one because i've given my old one to father robert
[00:09:41.640 --> 00:09:44.920]   Jason still has his I you know and coming back to it
[00:09:44.920 --> 00:09:50.680]   It this is a great phone and I love cyanogen. Mom. We'll actually be talking a little bit about cm 11 and maybe cm 12
[00:09:50.680 --> 00:09:54.840]   I find that the the next six is better engineered on things like
[00:09:54.840 --> 00:09:57.720]   odd things like bluetooth connections
[00:09:57.720 --> 00:10:02.600]   Just one plus one was was flaky for me. Maybe yeah, I mean, it's not official actually
[00:10:02.600 --> 00:10:06.120]   Might as well talk about it now according to green bot cyanogen
[00:10:07.320 --> 00:10:11.000]   wants to take and right away from google we do a better job
[00:10:11.000 --> 00:10:13.880]   let us uh, let us maintain
[00:10:13.880 --> 00:10:17.880]   Android kirk mcmast kirk mcmaster
[00:10:17.880 --> 00:10:25.320]   wants to build a cyanogen which you know, so the the story the history of cyanogen is kind of interesting it was originally a
[00:10:25.320 --> 00:10:32.200]   Custom rom that people would you know root their android phones and put cyanogen on there and it was
[00:10:32.200 --> 00:10:34.440]   you know, basically
[00:10:34.440 --> 00:10:36.920]   An aosp version of android that you would then
[00:10:36.920 --> 00:10:44.600]   I don't know quasi legally download the all the google apps and make it a google phone. Sorry google. I wasn't talking
[00:10:44.600 --> 00:10:46.840]   Oh, do you need something? I'm here
[00:10:46.840 --> 00:10:52.680]   Don't get it wrong. We're all right
[00:10:52.680 --> 00:10:59.080]   Look up something about cyanogen. I can do that. You know i'm right here. Oh, well, let's go for one
[00:10:59.640 --> 00:11:03.560]   McMaster and so it's and I think you're putting it on one plus one gave it some real
[00:11:03.560 --> 00:11:07.720]   Uh credibility because now it is the official
[00:11:07.720 --> 00:11:10.200]   operating system on at least one
[00:11:10.200 --> 00:11:16.600]   High-end android phone and frankly those of us who used it jina was oh it was always very complimentary. I know you were too
[00:11:16.600 --> 00:11:23.160]   Really liked it. Um, so kirk mcmaster is saying he helps to build cm into a full-fledged android rival
[00:11:23.160 --> 00:11:25.960]   He wants its own app store a more open structure
[00:11:25.960 --> 00:11:28.760]   Uh, it's no sense to me
[00:11:29.560 --> 00:11:30.760]   Uh
[00:11:30.760 --> 00:11:37.240]   You're gonna fight against another app store developers have to build for another app store
[00:11:37.240 --> 00:11:43.720]   Uh, well, that's true, but I but I do agree with him when he says that android is really becoming
[00:11:43.720 --> 00:11:46.360]   a commercial product favoring google
[00:11:46.360 --> 00:11:49.000]   services
[00:11:49.000 --> 00:11:49.880]   and uh
[00:11:49.880 --> 00:11:56.440]   While there is aosp nobody want aosp is the is the open source android minus google stuff
[00:11:57.160 --> 00:11:59.160]   uh, and no no
[00:11:59.160 --> 00:12:04.600]   Sane phone manufacturers gonna do that amazon is the best example of somebody who took aosp and
[00:12:04.600 --> 00:12:07.160]   Forked it and did without use
[00:12:07.160 --> 00:12:17.160]   You know the whole reason I use android because it is integrated with with google plus and google mail with with um gmail and and google maps and
[00:12:17.160 --> 00:12:20.520]   And so on that's exactly the selling point. Yeah
[00:12:20.520 --> 00:12:23.560]   For you, but if you were
[00:12:23.560 --> 00:12:28.600]   You know if you were in a developing country where you just wanted a cheap phone that worked
[00:12:28.600 --> 00:12:35.080]   Pretty much is the way the iphone does it didn't come with that price tag then you might not care that it has to work with google
[00:12:35.080 --> 00:12:44.920]   Now this cm 11 on one plus one has all the google services on it. Yeah, but you're not saving money if it doesn't work with jimmyle
[00:12:44.920 --> 00:12:52.760]   Well, yeah, you're gonna you're gonna save money if you're able to produce an inexpensive device that is not apple's device
[00:12:52.920 --> 00:12:56.120]   And yet it still can run popular app does it cost anything for
[00:12:56.120 --> 00:12:58.840]   Samsung and others to
[00:12:58.840 --> 00:13:05.240]   Make it a google services compatible version of android. They don't pay google money. I don't think they
[00:13:05.240 --> 00:13:11.000]   Pay no, do it. Do you have to go but you have to go through and be like you have to get certified
[00:13:11.000 --> 00:13:13.720]   Yeah, but that's that's what and I can't remember
[00:13:13.720 --> 00:13:18.680]   I'm not gonna pronounce the name of the chinese company is it chami chami. Thank you
[00:13:19.160 --> 00:13:23.560]   But you know their strategy I don't think is that they're running android google android
[00:13:23.560 --> 00:13:26.760]   They're just seem to be running their own vanilla version of android
[00:13:26.760 --> 00:13:30.520]   But it means that they can produce a device that costs less
[00:13:30.520 --> 00:13:35.640]   But is like an iphone in a market where iphones are popular but expensive
[00:13:35.640 --> 00:13:39.880]   Hence the guy who you know comes through the airport with 800 of them strapped to his body, right?
[00:13:39.880 --> 00:13:42.040]   Well, if i'm chami, I also
[00:13:42.040 --> 00:13:45.320]   Want to make a version a phone that is more chinese centric
[00:13:46.120 --> 00:13:50.120]   Yeah, and so you know and if you're in here and try this like I can't get google search
[00:13:50.120 --> 00:13:53.000]   Well, that's fine. I couldn't get google search even if it wasn't right then
[00:13:53.000 --> 00:13:55.960]   So I I think that
[00:13:55.960 --> 00:14:00.440]   You know, I think there there is opportunity for those alternative systems
[00:14:00.440 --> 00:14:03.640]   And I think we're already seeing some of these countries have those alternative systems
[00:14:03.640 --> 00:14:09.000]   But you know in the us I think it would be a huge challenge to try to say go we're going to come out with android
[00:14:09.000 --> 00:14:13.800]   And it'll be just like google android except you know none of this stuff you want
[00:14:14.360 --> 00:14:19.720]   Right they've they're they're talking about deeper integrations in ways that google doesn't give you access and that to me
[00:14:19.720 --> 00:14:23.640]   Just screams forking in the same way that like you're talking to any working
[00:14:23.640 --> 00:14:27.480]   Shao me. I mean really what we're seeing right now. It's very interesting
[00:14:27.480 --> 00:14:29.960]   It's suddenly in the past year especially
[00:14:29.960 --> 00:14:35.960]   All eyes are on developing countries and all of the money and all of the users that are there that aren't
[00:14:35.960 --> 00:14:41.080]   Using smartphones yet. So I think what we're seeing here is is cyanogen going from this
[00:14:41.240 --> 00:14:44.920]   Hey look what we can do with android and turning into a company that is
[00:14:44.920 --> 00:14:52.360]   Specifically targeting themselves towards those developing countries because there's a lot of money potentially in the long run to make there in the next five years
[00:14:52.360 --> 00:14:55.560]   Yeah, santa care so much about that but I care more about the the political
[00:14:55.560 --> 00:15:00.440]   Se and mcmaster says he says android today and ios are essentially shells
[00:15:00.440 --> 00:15:04.360]   For google and apple services everybody else exists
[00:15:04.360 --> 00:15:10.360]   In these sandboxes with no let our access to the lower levels of the operating system kernel
[00:15:11.320 --> 00:15:13.960]   So he says you know this we could make it more open
[00:15:13.960 --> 00:15:20.280]   But the cost is you don't you don't get google services and for jeff. That's a non-starter
[00:15:20.280 --> 00:15:28.280]   And the cost of the ecosystem is that you get is it developers that you get you have another store developers have to develop for another thing
[00:15:28.280 --> 00:15:32.440]   I think it's a high high risk for him. Now we can create phones
[00:15:32.440 --> 00:15:38.280]   Where you know you're going to quality software? You're going to have plenty of apps. You're going to have a you know quality
[00:15:38.920 --> 00:15:41.160]   environment, uh, I think it's hubris
[00:15:41.160 --> 00:15:46.520]   I don't think it's hubris. I think it's a political statement, but I think it is
[00:15:46.520 --> 00:15:51.880]   Like many political statements one that is fraught with peril and perhaps not even feasible
[00:15:51.880 --> 00:15:55.560]   I think it's a correct political statement. I would like
[00:15:55.560 --> 00:16:01.800]   Come on so good big bag google shouldn't be promoting gmail. How awful of you we're gonna
[00:16:01.800 --> 00:16:07.240]   We're gonna take your software that you created google and we're gonna use it against you could be with you because you're so evil
[00:16:07.880 --> 00:16:11.480]   You want to do that it's not that they shouldn't be promoting it
[00:16:11.480 --> 00:16:16.360]   It's just that over the past four to six years since we've had android
[00:16:16.360 --> 00:16:18.840]   They have flipped it around and
[00:16:18.840 --> 00:16:23.320]   Talk out of both sides of their mouths where they say oh android it's all open
[00:16:23.320 --> 00:16:26.920]   But in fact it's not open if you want to call it android
[00:16:26.920 --> 00:16:34.360]   If you want to call it android use that trade about android the other complaint about android is that it forked in too many variations
[00:16:34.360 --> 00:16:36.360]   And the fragmentation was awful
[00:16:36.520 --> 00:16:39.800]   So so people praised google for bringing some control back to android
[00:16:39.800 --> 00:16:44.440]   There's a difference there's a difference between bringing control back into android and another different
[00:16:44.440 --> 00:16:46.920]   There's a difference between saying we're gonna have a set of guidelines
[00:16:46.920 --> 00:16:51.080]   You should follow for good android operating system and saying hey
[00:16:51.080 --> 00:16:57.880]   If you want us to license you out so you can call yourself android and then be able to have our google play services
[00:16:57.880 --> 00:17:02.280]   You have to sign this agreement with the samsung that says you got to put google on the front page of this
[00:17:02.280 --> 00:17:04.840]   You got to put all this stuff over here and all these other things
[00:17:05.560 --> 00:17:11.400]   As opposed to all the friends that wasn't about that wasn't about making sure that we had a consistent android experience
[00:17:11.400 --> 00:17:14.600]   That was about making sure we had a consistent google experience
[00:17:14.600 --> 00:17:19.160]   But I know that's where I think you see some of the the frustration that comes in
[00:17:19.160 --> 00:17:24.120]   You know that they want to play the open card as google often does when it sounds good
[00:17:24.120 --> 00:17:29.000]   When they're competing against somebody who's not dominant and they've done this many times
[00:17:29.000 --> 00:17:33.720]   And then when they get dominant suddenly opens out the window you've never you know
[00:17:33.720 --> 00:17:38.600]   Ever seen the network one last thing you have never for all the google want to talk about openness
[00:17:38.600 --> 00:17:40.840]   You have never seen them say hey
[00:17:40.840 --> 00:17:45.640]   We should have the open web index initiative where we'll have one big crawler
[00:17:45.640 --> 00:17:50.440]   Everybody goes out there and gets this data and then anybody can build search applications on top
[00:17:50.440 --> 00:17:55.160]   It's because they've got you know they own that so they don't know sense of making that open
[00:17:55.160 --> 00:18:01.640]   But I think you're mixing apples and apples and convocles there that's not so much a question if you just stick with android
[00:18:01.640 --> 00:18:03.640]   um
[00:18:04.120 --> 00:18:07.560]   You know what what I don't get is the attitude the cyanogen
[00:18:07.560 --> 00:18:12.840]   Announcement a company makes up where we're talking about apple this way apple will lose crap
[00:18:12.840 --> 00:18:16.200]   Right or or or they do at such a lower level
[00:18:16.200 --> 00:18:20.920]   Of the of the toolkit that you can use but it doesn't doesn't have any of the value
[00:18:20.920 --> 00:18:23.320]   Who has an operandi?
[00:18:23.320 --> 00:18:25.880]   I'm in the position of defending google again. I don't always want to be here, but
[00:18:25.880 --> 00:18:30.200]   Because it's because apple made any other degree
[00:18:30.760 --> 00:18:37.960]   Because apple made apple never made any pretense of saying hey ios. It's the open operating system. Everybody can use
[00:18:37.960 --> 00:18:45.480]   But people did and so it's more pr thing right
[00:18:45.480 --> 00:18:47.960]   That you know it's a nice thing to poke at them
[00:18:47.960 --> 00:18:52.600]   It's not going to make much of a difference for you know the typical person who's going to buy a phone
[00:18:52.600 --> 00:18:58.680]   I don't think they're going oh, I don't want to buy this android phone because that was google and they didn't tie it in with all
[00:18:58.680 --> 00:19:02.440]   You know, there's like what's the best phone the lots of people are using that it's affordable that
[00:19:02.440 --> 00:19:05.640]   It has the key apps that I want to run and in the
[00:19:05.640 --> 00:19:12.600]   Go ahead try to tune the same antigen announce, but it's the attitude of acting is of google's bad
[00:19:12.600 --> 00:19:18.760]   By by doing what's in its interest and now i'm going to take the the the o s that google gives me for free
[00:19:18.760 --> 00:19:23.640]   By the way and now i'm going to turn it against google because google is somehow bad for promoting its own stuff
[00:19:26.280 --> 00:19:32.360]   The reason i get upset about this is the same thing in europe where the well google promotes its own promotes youtube
[00:19:32.360 --> 00:19:36.920]   Of course they do and spiegel doesn't promote focus and focus doesn't promote spiegel
[00:19:36.920 --> 00:19:43.320]   But there's this different expectation somehow that google and android should do that if you want to fully open o s
[00:19:43.320 --> 00:19:47.800]   Then make a firefox phone make it make up make a linux phone fine
[00:19:47.800 --> 00:19:53.960]   Google's a company what's so what's so bloody surprising about this they they are a company but it is
[00:19:54.840 --> 00:20:02.040]   A company that is inconsistent with its messaging to say you can't have our services on your version of android
[00:20:02.040 --> 00:20:08.440]   Right and that's what they do because if you if you're going to create you know, hey androids free
[00:20:08.440 --> 00:20:10.040]   Everybody can use it
[00:20:10.040 --> 00:20:15.240]   But if you're building a version that we think is going to be too popular or going to threaten our version and the control
[00:20:15.240 --> 00:20:18.440]   We want to have over ours. We will not let you have our services
[00:20:18.440 --> 00:20:22.920]   That is not crappy Danny or is going to be bad. What if it's really great?
[00:20:23.080 --> 00:20:28.520]   Leave it to the users to figure that out if it's crappy the users won't buy it but to say I can't show me
[00:20:28.520 --> 00:20:35.080]   Because it doesn't use google way. No, I can't get my hands on one. I don't know I can I can tell you it's not
[00:20:35.080 --> 00:20:37.000]   um
[00:20:37.000 --> 00:20:41.640]   McMaster says we believe 35 plus percent of android today is non google android
[00:20:41.640 --> 00:20:43.480]   Obviously a lot of that is china
[00:20:43.480 --> 00:20:47.880]   But we believe that trend is going to continue that 50 plus of the market will be non google
[00:20:48.360 --> 00:20:54.440]   Android he wants to capture 20 percent of that. We're making a version of android that is more open
[00:20:54.440 --> 00:21:00.840]   This to me this to me is what's interesting so admittedly by the way and I I acknowledge this
[00:21:00.840 --> 00:21:06.600]   Cyanogen built on a OSP which google which we you know google created in effect
[00:21:06.600 --> 00:21:14.280]   Yeah, I mean Andy Rubin created android before there was google but then google bought it and it's been google. It's from you know building it
[00:21:14.840 --> 00:21:19.240]   Um, so thank you google for that, but I don't think that there's anything wrong with saying
[00:21:19.240 --> 00:21:21.160]   you
[00:21:21.160 --> 00:21:24.360]   That we're going to take this open version of android
[00:21:24.360 --> 00:21:30.360]   And make it oh and continue it and make it be better. That's all finally. Oh, I think that's all fine
[00:21:30.360 --> 00:21:32.440]   What got me immediately announced what was the attitude
[00:21:32.440 --> 00:21:39.480]   It was the attitude of saying google's bad for promoting google's own products in its own product that we're also allowing you to use for free
[00:21:39.480 --> 00:21:41.800]   I think it could I think it was ungracious
[00:21:42.120 --> 00:21:45.240]   I think it was I think it was hubristic. I'm looking at his statements
[00:21:45.240 --> 00:21:50.680]   I I think that might have been an analysis by other authors. I don't
[00:21:50.680 --> 00:21:56.440]   Well, he does say android today as as I mentioned is a shell for google services
[00:21:56.440 --> 00:22:00.200]   He says he wants to move away from google. He's treating google as bad
[00:22:00.200 --> 00:22:05.320]   That's all see the notion of what google now is can be taken to the next level because we leveraged other services
[00:22:05.320 --> 00:22:09.160]   It can become complementary rather than just google's services
[00:22:09.160 --> 00:22:11.960]   um
[00:22:12.840 --> 00:22:16.120]   It's fine. It's just it's just I don't I don't have a problem with the fork
[00:22:16.120 --> 00:22:22.440]   Sensitive is this european thing that I'm just back from europe where I hear all this crap about how dare google
[00:22:22.440 --> 00:22:25.000]   Ever promote youtube
[00:22:25.000 --> 00:22:30.040]   Um, you know, and of course if you go back ask for maps in google you'll get competitors maps right up there
[00:22:30.040 --> 00:22:36.040]   And it's just it's a ridiculous argument the issue and so people understand it is that unfortunately
[00:22:36.600 --> 00:22:41.640]   Uh, while there does exist this aosp this open version of android it doesn't have
[00:22:41.640 --> 00:22:45.320]   A very critical piece google of the google services
[00:22:45.320 --> 00:22:49.800]   Which most apps rely on or many apps rely on to do what they do
[00:22:49.800 --> 00:22:56.600]   So most apps won't work or many apps many of the apps you want won't work on aosp without considerable modification
[00:22:56.600 --> 00:23:02.840]   I think what cyanogen's proposing which would be great is to provide an alternate set of services
[00:23:03.400 --> 00:23:10.520]   That aren't google specific so that developers who are writing, you know, the next, uh, serie or instagram
[00:23:10.520 --> 00:23:12.520]   could
[00:23:12.520 --> 00:23:16.680]   Have a choice and maybe and I if I were developer I depending on how different it is if it's
[00:23:16.680 --> 00:23:20.360]   Uh, if it's a similar api, maybe develop both versions
[00:23:20.360 --> 00:23:24.920]   So that there's an opportunity and you know what he says is when you're a developer
[00:23:24.920 --> 00:23:26.520]   um
[00:23:26.520 --> 00:23:33.320]   You would like more options than just creating a stupid little application that inevitably gets acquired by google or app
[00:23:33.880 --> 00:23:36.920]   He says these companies can thrive on a non google android
[00:23:36.920 --> 00:23:40.680]   But I also hear developers complaining about having a right for too many platform
[00:23:40.680 --> 00:23:43.320]   No, that's a choice. I mean that's because they feel like
[00:23:43.320 --> 00:23:48.600]   I mean that you can make look, uh, there there's firefox os there are many other
[00:23:48.600 --> 00:23:51.960]   Phone os's but andrew is a pretty good os
[00:23:51.960 --> 00:23:58.200]   Uh, and the only thing that makes it not open right now is that without google services. It's not complete
[00:23:58.200 --> 00:24:03.000]   And I think if they wrote as as uh lutheran art charam says
[00:24:03.320 --> 00:24:06.440]   An api compatible version of google services. Maybe that would be
[00:24:06.440 --> 00:24:12.680]   It's funny because oracle and a google are in a fight over whether an api can be copyrighted
[00:24:12.680 --> 00:24:19.240]   This would be interesting to see google on the other side of that fight with sianich and sianichan duplicates google's android api
