;FFMETADATA1
title=Honey, I Livestreamed the Kid
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=353
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.760]   It's time for a twig this week in Google and of course it's our post I/O keynote show
[00:06:26.480 --> 00:06:34.280]   Absolutely happy to be here was kind of exciting wasn't it? This is a first time ever at the Shoreline Amphitheater
[00:06:34.280 --> 00:06:37.800]   Can you remember anybody an outdoor keynote ever before I don't?
[00:06:37.800 --> 00:06:44.160]   I think I think we've ever done something like that. I know Google hasn't I think Moses was the last time
[00:06:44.160 --> 00:06:47.760]   Moses yes, I have some commandments for you
[00:06:47.760 --> 00:06:50.960]   That was the last time we had now it's like you know
[00:06:50.960 --> 00:06:54.720]   These are the thinnest lightest commandments we've ever made
[00:06:54.720 --> 00:07:00.160]   So let's start with Matt now. I know your Google employee
[00:07:00.160 --> 00:07:03.440]   But could contextualize what we saw today for us
[00:07:03.520 --> 00:07:06.000]   What does it all mean?
[00:07:06.000 --> 00:07:09.200]   Well, I really liked that
[00:07:09.200 --> 00:07:14.760]   Google is not giving up on trying to figure out getting messaging right and you know
[00:07:14.760 --> 00:07:16.840]   Some of the stuff like aloe
[00:07:16.840 --> 00:07:22.800]   I think is really interesting because you've always got people who can criticize and they can say oh it's gonna do this or what about
[00:07:22.800 --> 00:07:26.200]   This or that but I think it's really promising to see
[00:07:26.200 --> 00:07:29.880]   Google really not willing to give this up yet
[00:07:29.880 --> 00:07:33.840]   We're gonna try to figure out what makes the right sense for for Android and for iOS
[00:07:33.840 --> 00:07:35.280]   How do you get a platform?
[00:07:35.280 --> 00:07:39.800]   And then there was also this underlying backbone of artificial intelligence and machine learning?
[00:07:39.800 --> 00:07:45.440]   Where whether it's Google Home or aloe all the way through a lot of the different things you could see soon
[00:07:45.440 --> 00:07:47.680]   Darmenching that and as a web guy
[00:07:47.680 --> 00:07:54.440]   I was really happy to hear him call out progressive web apps and the accelerated mobile pages because you know to have the CEO saying
[00:07:54.440 --> 00:07:58.600]   Hey, this is important and here's the kind of speed improvement you can get I think that's really nice
[00:07:58.600 --> 00:08:00.600]   I actually stand corrected
[00:08:00.600 --> 00:08:08.920]   Windows 95 launch was an outdoor launch. I think in a big Seattle event, but what?
[00:08:08.920 --> 00:08:11.400]   Windows 95 launch had
[00:08:11.400 --> 00:08:18.840]   Which the Google launch did not have is a bunch of geeks biting their lower lips and dancing
[00:08:18.840 --> 00:08:22.200]   in the most ungainly fashion
[00:08:22.200 --> 00:08:26.440]   Possible
[00:08:27.760 --> 00:08:32.080]   Thank you, we're not gonna dance. No dancing. No dancing. No, I agree with you
[00:08:32.080 --> 00:08:37.240]   In fact, I've been wondering for a while what Google was gonna do in messaging, you know, here's Facebook announcing bots
[00:08:37.240 --> 00:08:40.000]   apples coming on strong with messages
[00:08:40.000 --> 00:08:47.680]   Google kind of looked like they were hangouts was kind of abandoned when I got my Google 5 phone and said oh don't use hangouts use messages and
[00:08:47.680 --> 00:08:49.680]   I thought well
[00:08:49.680 --> 00:08:53.280]   What are you doing Google? You're leaving this on the table. So
[00:08:53.800 --> 00:08:58.560]   In fact, I would say overall and I'd love to hear what you guys think my sense of this is
[00:08:58.560 --> 00:09:03.320]   Google's in a challenging position because they're kind of capitalizing on
[00:09:03.320 --> 00:09:07.280]   Something that's been going on for 10 years is machine learning platform
[00:09:07.280 --> 00:09:13.680]   Artificial intelligence is getting smarter and smarter, but it's not it's not like a revolutionary new product
[00:09:13.680 --> 00:09:19.040]   So it's not like they can say hey as Apple might we've had this under the covers for 10 years
[00:09:19.040 --> 00:09:25.600]   Here's machine learning. No, but what I do think is that they're finally step do they're stepping forward in saying?
[00:09:25.600 --> 00:09:32.440]   You know when I when I see other companies doing things with bots and messaging Google didn't jump on that bandwagon
[00:09:32.440 --> 00:09:37.120]   They worked on it and they had something very compelling with I think Aloe and we'll talk about it
[00:09:37.120 --> 00:09:40.520]   Same thing with you know, I was looking at my Amazon Echo
[00:09:40.520 --> 00:09:46.720]   Gosh, you know, where's Google and all this and Apple and Microsoft and everybody else and they've responded
[00:09:47.240 --> 00:09:48.920]   and I think so
[00:09:48.920 --> 00:09:54.400]   These are these are evolutionary products, but they are a very exciting product. You agree Jeff
[00:09:54.400 --> 00:10:00.540]   Yeah, I think I think it is interesting that that Google is playing catch-up. Let's be honest to Amazon with
[00:10:00.540 --> 00:10:03.360]   echo now home to
[00:10:03.360 --> 00:10:09.160]   Facebook with WhatsApp and now Aloe and to
[00:10:09.160 --> 00:10:12.280]   FaceTime with
[00:10:12.280 --> 00:10:13.640]   duo
[00:10:13.640 --> 00:10:21.400]   So that feels a little yucky that it's catch-up on the other hand if you think of the advantages that Google has in these areas that the
[00:10:21.400 --> 00:10:27.960]   It knows more about me in my needs it has the the artificial intelligence at work
[00:10:27.960 --> 00:10:34.240]   It has certainly the national language processing and the database of language that beats anybody and so what's really important today
[00:10:34.240 --> 00:10:38.280]   I think is Google assistant and the fact that it
[00:10:39.360 --> 00:10:46.140]   It's kind of the overarching capability to all of these products. Well, I don't understand is I guess in a sense Google had to start
[00:10:46.140 --> 00:10:49.080]   Aloe so it had a platform for that
[00:10:49.080 --> 00:10:56.360]   But I would imagine that that that underlying intelligence Google knows you Google will anticipate what your needs are and be assistive to you
[00:10:56.360 --> 00:11:01.240]   Could occur across many many platforms in many directions and that's where that goes
[00:11:01.240 --> 00:11:06.320]   The you know the be honest. I think though with aloe aloe whatever how you say it?
[00:11:06.600 --> 00:11:08.600]   Hello, hello, hello
[00:11:08.600 --> 00:11:10.760]   is is that it
[00:11:10.760 --> 00:11:15.480]   Sorry to bring this up Gina, but it does have a little bit of the sniff of wave
[00:11:15.480 --> 00:11:18.960]   But that no in a good way in a good way
[00:11:18.960 --> 00:11:22.040]   Yeah in a good way, but but it's it's kind of like
[00:11:22.040 --> 00:11:26.320]   Do they have to go through a lot of hoops to raise this up and get their big adoption?
[00:11:26.320 --> 00:11:30.560]   Which could lose the attention to the underlying technology, which is really good
[00:11:30.560 --> 00:11:36.360]   God, I hope not I mean you're saying not to you're saying that we're a little snake
[00:11:36.360 --> 00:11:40.240]   Bit from all of the great things that Google has announced and abandoned over time
[00:11:40.240 --> 00:11:45.080]   And it's getting hard for Google to say oh, we got a new messaging app
[00:11:45.080 --> 00:11:48.600]   This is the one you want to use you should all use it and move all your contacts over there
[00:11:48.600 --> 00:11:50.400]   That gets on the same as that's gonna be very hard
[00:11:50.400 --> 00:11:52.160]   So my fear is people are gonna say well
[00:11:52.160 --> 00:11:58.240]   They did messaging it sure failed when that's not the point the point and neither is the point to shout or whisper
[00:11:58.240 --> 00:12:04.680]   That was kind of silly, but it'll be fun the idea that you could make your text larger or smaller with a little slighter
[00:12:05.560 --> 00:12:11.240]   Padre and I was standing around when Jason was trying to to message Colleen here to make sure we were all in sequence
[00:12:11.240 --> 00:12:13.560]   And so we just we've been said you know just shout it and she'll hear it
[00:12:13.560 --> 00:12:16.760]   So
[00:12:16.760 --> 00:12:21.600]   My my fear is that I think people will look at the numbers of aloe and say well Google tries again
[00:12:21.600 --> 00:12:25.320]   And that's not really the point the underlying technology and the underlying
[00:12:25.320 --> 00:12:33.640]   New relationship it has with me to truly be my it's the bottom all bots. That's what it's really about. I think that's kind of how I feel Jason
[00:12:33.640 --> 00:12:34.600]   how
[00:12:34.600 --> 00:12:41.040]   You know we've all kind of at this point kind of made fun of and experienced the Facebook bots and how annoying
[00:12:41.040 --> 00:12:44.320]   They feel like stalkers. I had a kind of finally just I
[00:12:44.320 --> 00:12:47.400]   Literally had the block
[00:12:47.400 --> 00:12:54.560]   That stupid weather one. I couldn't turn it off. I can't say cancel stop go away finally had a block it
[00:12:54.560 --> 00:12:59.680]   This seems it feels to me Jason like this is Google has got has done it right
[00:12:59.680 --> 00:13:02.280]   This is how bots ought to be you're really not talking to a bot
[00:13:02.280 --> 00:13:07.640]   You're talking about an intermediary who then summons the appropriate bot. Yeah, I'm definitely looking forward to that
[00:13:07.640 --> 00:13:10.320]   I want to kind of dig in a little bit on
[00:13:10.320 --> 00:13:14.560]   Kind of that interaction with assistant from within the messaging app
[00:13:14.560 --> 00:13:19.360]   I will say though that I feel a little stung at this point kind of what you were talking about Jeff right like
[00:13:19.360 --> 00:13:25.720]   I feel like there's so many different like outside of just Google's efforts in messaging just messaging in general
[00:13:25.720 --> 00:13:30.360]   Yes, it's super important, but it's like even for today
[00:13:30.520 --> 00:13:34.560]   Just kind of coordinating this meeting. I have so many different options
[00:13:34.560 --> 00:13:39.200]   I have a folder filled with messaging options every new entrant to the category
[00:13:39.200 --> 00:13:44.360]   Be you know brings with it more confusion on what person is attached to that particular messaging platform?
[00:13:44.360 --> 00:13:48.880]   I think that the things that aloe is offering are new they're different
[00:13:48.880 --> 00:13:53.440]   They're they're interesting because it's kind of that smart contextual stuff behind the scenes
[00:13:53.440 --> 00:14:00.420]   I just wonder why it wasn't I don't know sandwiched into something they already had that because I think kind of splintering it out
[00:14:00.420 --> 00:14:03.020]   Into its own thing might send the wrong message to people
[00:14:03.020 --> 00:14:11.000]   I know what do you think Jana? I don't know. I think maybe the weariness with all the different app choices might be an early adopter problem
[00:14:11.000 --> 00:14:13.340]   And maybe not I mean stream problem
[00:14:13.340 --> 00:14:14.420]   I mean I get it
[00:14:14.420 --> 00:14:15.880]   I mean I think the messaging problems
[00:14:15.880 --> 00:14:17.960]   I think of people and then think oh are they on fate?
[00:14:17.960 --> 00:14:22.480]   You know like on a Facebook did I hang out with them last like what was the last way that I communicated with this person?
[00:14:22.480 --> 00:14:26.720]   Successfully and then I go to that app and that's a problem had a bigger bigger than Google
[00:14:27.480 --> 00:14:31.860]   But as for aloe, I mean I and I was saying please don't say wave
[00:14:31.860 --> 00:14:33.860]   I mean
[00:14:33.860 --> 00:14:39.820]   They were introducing a whole new category of app like there really wasn't anything like wave before and that it just you know
[00:14:39.820 --> 00:14:44.760]   Was a conglomeration of a bunch of things. It's very clear what aloe is right like it's a messaging app
[00:14:44.760 --> 00:14:50.380]   We all know what that is and what I like about it is that there's there's some there's some genuinely good or at least
[00:14:50.380 --> 00:14:55.820]   From what I could tell from the from the keynote good innovation there. I was like oh yeah, I want to use that
[00:14:55.820 --> 00:14:57.340]   I want to try that
[00:14:57.340 --> 00:15:01.340]   There were there were things about it that that I really like so I welcome that and I mean
[00:15:01.340 --> 00:15:03.500]   I don't know Google does tend to be like alright
[00:15:03.500 --> 00:15:06.820]   Well, let's just you know build this new app instead of trying to improve you know
[00:15:06.820 --> 00:15:08.740]   This old one like in hangouts in this case
[00:15:08.740 --> 00:15:13.420]   But you know I think that might be just kind of part of the game with social apps
[00:15:13.420 --> 00:15:18.820]   You know you just kind of have to you know build a thing and see what kind of adoption it gets and then just start you know
[00:15:18.820 --> 00:15:21.220]   Start fresh at least from a branding perspective
[00:15:21.220 --> 00:15:25.300]   Here's the key that we all need to use a messaging app right if you're using a smartphone
[00:15:25.780 --> 00:15:30.420]   You have to use a messaging app and Google has made it possible in Android to use
[00:15:30.420 --> 00:15:33.980]   I'm using Google Messenger as my standard SMS app
[00:15:33.980 --> 00:15:39.720]   Which means I can I use it for SMS and I have some of those features in SMS, but then I can also use it as a
[00:15:39.720 --> 00:15:46.560]   Data-only messaging app with other people who use Facebook Messenger kind of like Apple's messages
[00:15:46.560 --> 00:15:53.420]   Isn't that kind of make it a little bit different because you have to choose one and if Google starts bundling this into Android and make it
[00:15:53.420 --> 00:15:57.260]   The default I hope they will make it the default messaging in up in Android doesn't that
[00:15:57.260 --> 00:16:02.580]   Give you this great starting point and then people's things like the instant replies from inbox
[00:16:02.580 --> 00:16:05.020]   Well are so useful in inbox
[00:16:05.020 --> 00:16:09.620]   It's crazy how much I use those and wouldn't you want that in the texting app?
[00:16:09.620 --> 00:16:15.180]   Go ahead Jeff no
[00:16:15.180 --> 00:16:17.860]   Because you're all in the same room
[00:16:17.860 --> 00:16:21.900]   What we're gonna do is I'm gonna I'm gonna call on you so Jeff Jarvis
[00:16:22.540 --> 00:16:27.260]   And then Matt you're next it takes away my usual obnoxious interrupting all well you can interrupt it
[00:16:27.260 --> 00:16:30.180]   We'll just hear you in the distance. I could fill a buster now
[00:16:30.180 --> 00:16:40.340]   The instant replies in inbox you're talking about and how that
[00:16:40.340 --> 00:16:45.620]   All you need is one wedge in an app like this to get people using it and then and then it can snowball
[00:16:45.620 --> 00:16:47.980]   Here's the thing I said this a few weeks ago
[00:16:47.980 --> 00:16:53.060]   On the show or I said it on dot NYC what I what I imagine is gonna happen is somebody's gonna say
[00:16:53.060 --> 00:16:56.100]   Did you say that or did was that cool was reply?
[00:16:56.100 --> 00:17:03.420]   Yeah, but they don't I you know isn't this your experience it learns and it gives it gives replies that are
[00:17:03.420 --> 00:17:08.860]   Unkindly like the ones you would be giving and they're you they even said this they're unique to everybody
[00:17:08.860 --> 00:17:12.220]   Yeah, it's a lot of points in my case. I
[00:17:12.220 --> 00:17:14.500]   Wonder why Jeff?
[00:17:14.500 --> 00:17:19.180]   Matt have you been using this? I mean are they are they soak testing this with Googlers or?
[00:17:19.180 --> 00:17:22.740]   They usually do a lot of testing with Googlers
[00:17:22.740 --> 00:17:28.060]   I've been trying to ramp down my dog food in a little bit to kind of get a regular person's experience. Oh, no
[00:17:28.060 --> 00:17:32.940]   You don't want a regular person's experience trust me. No, it's it's handy to sort of see okay
[00:17:32.940 --> 00:17:35.700]   What's you know like for example last night? I was
[00:17:35.700 --> 00:17:41.260]   Danny Sullivan's in town for Google I/O and so we were talking but we were DMing on Twitter
[00:17:41.460 --> 00:17:45.460]   but was what was interesting to me is I was navigating to that hotel and
[00:17:45.460 --> 00:17:52.260]   It was the first time in six months that I remember like whoa the Google voice recognition didn't exactly nail when I was
[00:17:52.260 --> 00:17:57.620]   Type you know saying a destination. So I think if you think about what Google's good at there's a lot of machine learning
[00:17:57.620 --> 00:18:04.660]   There's a lot of artificial intelligence. There's a lot of voice recognition stuff and and then Google needs to figure out how to encapsulate that
[00:18:04.660 --> 00:18:07.460]   Well, whether it's an agent a bot, you know an app
[00:18:08.260 --> 00:18:14.260]   That's a difficult problem, but I think it's heartening to me that Google is trying to figure out the right way to approach that
[00:18:14.260 --> 00:18:21.100]   And I do think that there's a lot of value to be added just like with the smart replies in inbox smart replies to chat smart, you know
[00:18:21.100 --> 00:18:22.740]   there's a lot of
[00:18:22.740 --> 00:18:27.780]   Just annoyance in the world that Google could really help with if we can find a way or if Google can find a way to
[00:18:27.780 --> 00:18:34.300]   Balance that all the constraints correctly. I also think that and this was at the very end of the keynote
[00:18:34.660 --> 00:18:38.980]   they threw this thing at the Android instant apps in and and
[00:18:38.980 --> 00:18:44.980]   The idea is you don't have to have an app installed if you call on your phone to do something
[00:18:44.980 --> 00:18:46.980]   It doesn't know how to do it will get
[00:18:46.980 --> 00:18:50.100]   the a little piece of the appropriate app and it'll
[00:18:50.100 --> 00:18:56.220]   Quickly know how to do it and I think that this ties this dovetails interestingly with aloe and I think it makes
[00:18:56.220 --> 00:18:58.420]   What what's it gonna start happening?
[00:18:58.420 --> 00:19:05.220]   I think it's about time is instead of a bunch of siloed apps on your smartphone then you have to know which app to run
[00:19:05.220 --> 00:19:07.220]   You have to install the app first and blah blah blah
[00:19:07.220 --> 00:19:13.500]   Your what basically becomes your spots smartphone becomes more monolithic and I think aloe has the option as the
[00:19:13.500 --> 00:19:16.340]   Chance of becoming that kind of user interface
[00:19:16.340 --> 00:19:22.180]   Aloe plus the Google assistant aka. Okay Google that your phone
[00:19:22.660 --> 00:19:28.940]   Now is getting more and more like an assistant with multiple capabilities and the ability to learn more capabilities as you ask it to do
[00:19:28.940 --> 00:19:31.100]   We won't think about apps anymore
[00:19:31.100 --> 00:19:36.460]   We will just interact with our phone and I will just and that's where I think aloe is gonna be genius
[00:19:36.460 --> 00:19:40.700]   I'm gonna say I need a reservation for dinner for - Jeff
[00:19:40.700 --> 00:19:47.220]   Doing what it does these days which is strike blows for the open web
[00:19:47.220 --> 00:19:54.340]   And so I think that the instant apps pulls the pieces out of an app out to make them useful without you having to install them
[00:19:54.340 --> 00:19:56.060]   Which is good for both sides right?
[00:19:56.060 --> 00:20:00.980]   It's good for the open web because the web can now get to earlier search could get the things in apps now
[00:20:00.980 --> 00:20:05.700]   And you could interact with apps otherwise now you can get to the pieces of app without installing them
[00:20:05.700 --> 00:20:09.660]   But also if you like what you see when you're there you might install it as well and become a user
[00:20:09.660 --> 00:20:13.700]   So it does become customer acquisition for apps in the play world
[00:20:13.700 --> 00:20:17.620]   So it works to me very well both ways, but it really is I think an open web
[00:20:17.620 --> 00:20:22.740]   Initiative I don't know what a rails thinks or open platform because it's not just the web
[00:20:22.740 --> 00:20:27.620]   I mean it's if I say I want to be out into the web into the web. Yeah, the app into browser
[00:20:27.620 --> 00:20:31.460]   Well, yeah, yeah, it means to me that the phone is less monolithic. Yes
[00:20:31.460 --> 00:20:38.180]   What's Android only though, right? I mean this is as far as I understood that's not gonna work on on iOS
[00:20:38.180 --> 00:20:40.780]   I actually am actually aloe is available on iOS
[00:20:41.140 --> 00:20:46.740]   Well, I was available the Android instant apps it's not and that's gonna be a little problem for Apple
[00:20:46.740 --> 00:20:51.380]   You know what else is available on iOS is G board the new Google keyboard
[00:20:51.380 --> 00:20:56.500]   Which already introduced some of these features and I was actually a little bereft when I tried it on iOS
[00:20:56.500 --> 00:20:58.500]   I said I want this on Android
[00:20:58.500 --> 00:21:05.660]   They're mo that's why they didn't make one for Android. They're moving these capabilities into Android in a very interesting way
[00:21:05.660 --> 00:21:08.460]   You're an iOS user, I guess
[00:21:09.940 --> 00:21:13.880]   Me yeah, yeah, I have an iPod touch just to like try out stuff that I
[00:21:13.880 --> 00:21:21.700]   enjoyed but I gotta tell you the instant apps announcement like that for me that was the big like boom my drop
[00:21:21.700 --> 00:21:25.940]   How is this happening?
[00:21:25.940 --> 00:21:29.060]   I mean like as an Android developer I was like wait, what how is this happening?
[00:21:29.060 --> 00:21:33.780]   What is they're downloading part of the app on the fly and displaying the color?
[00:21:35.140 --> 00:21:43.140]   So cool so cool and does it mean they implied that you you would be your same app you'd have to modularize it more
[00:21:43.140 --> 00:21:47.020]   There must be some mechanism for saying well
[00:21:47.020 --> 00:21:51.540]   I need these resources if you want this part these are the parts of the app you could call on
[00:21:51.540 --> 00:21:52.300]   Yeah
[00:21:52.300 --> 00:21:57.420]   I mean, you know, honestly Android development has like been moving in that way like fragments and like the way that you structure your app is
[00:21:57.420 --> 00:22:02.300]   Are these kind of are is very modular and it has been for several iterations now?
[00:22:02.300 --> 00:22:05.300]   So I can see I imagine that that modulus
[00:22:05.300 --> 00:22:10.860]   Modularization process which I'm not sure what the details are but I'm sure it's not that difficult to implement
[00:22:10.860 --> 00:22:15.980]   So yeah, I still I'm still just like how does that work like that?
[00:22:15.980 --> 00:22:22.060]   How fast like how fast can perform in a real-world situation if I want 4G or even 3G, you know, like how does that work?
[00:22:22.060 --> 00:22:25.140]   I really want to see it, but I was yeah, I was really
[00:22:25.140 --> 00:22:30.420]   Impressed and excited about that as an Android developer from as it you know as a you know
[00:22:30.420 --> 00:22:36.080]   It's just a firm point from from an acquisition point of view user acquisition point of view is do you feel like Aloe?
[00:22:36.080 --> 00:22:38.080]   it is kind of
[00:22:38.080 --> 00:22:43.640]   the the on phone analog of Google home the new physical hub that they
[00:22:43.640 --> 00:22:46.620]   announced it feels like
[00:22:46.620 --> 00:22:54.620]   Really what Google is doing is putting Google everywhere and Google is there they've now coined the name is this new Matt calling it Google Assistant?
[00:22:54.620 --> 00:22:56.780]   Is that something new or is it is new?
[00:22:56.780 --> 00:23:02.700]   Okay, but they needed that because we didn't know what to call it. We have Siri we have Cortana. We have Alexa, but yeah, yeah
[00:23:02.700 --> 00:23:09.340]   Yeah, so so Google Assistant now and and the idea is let's put it everywhere. It's on your phone. It's in your house
