;FFMETADATA1
title=You Can't Taste the Crickets
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=529
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.320]   It's time for Twig this week in Google and Pruitt's here, Jeff Jarvis, Stacy Hickenbotham.
[00:45:12.520 --> 00:45:33.520]   I'm cold.
[00:45:33.520 --> 00:45:54.520]   I'm cold.
[00:45:54.520 --> 00:46:15.520]   I'm cold.
[00:46:15.520 --> 00:46:36.520]   I'm cold.
[00:46:36.520 --> 00:46:57.520]   I'm cold.
[00:46:57.520 --> 00:47:18.520]   I'm cold.
[00:47:18.520 --> 00:47:39.520]   I'm cold.
[00:47:39.520 --> 00:48:00.520]   I'm cold.
[00:48:00.520 --> 00:48:21.520]   I'm cold.
[00:48:21.520 --> 00:48:42.520]   I'm cold.
[00:48:42.520 --> 00:49:03.520]   I'm cold.
[00:49:03.520 --> 00:49:24.520]   I'm cold.
[00:49:24.520 --> 00:49:45.520]   I'm cold.
[00:49:45.520 --> 00:50:06.520]   I'm cold.
[00:50:06.520 --> 00:50:27.520]   I'm cold.
[00:50:27.520 --> 00:50:48.520]   I'm cold.
[00:50:48.520 --> 00:51:09.520]   I'm cold.
[00:51:09.520 --> 00:51:30.520]   I'm cold.
[00:51:30.520 --> 00:51:51.520]   I'm cold.
[00:51:51.520 --> 00:52:12.520]   I'm cold.
[00:52:12.520 --> 00:52:33.520]   I'm cold.
[00:52:33.520 --> 00:52:54.520]   I'm cold.
[00:52:54.520 --> 00:53:15.520]   I'm cold.
[00:53:15.520 --> 00:53:36.520]   I'm cold.
[00:53:36.520 --> 00:53:57.520]   I'm cold.
[00:53:57.520 --> 00:54:18.520]   I'm cold.
[00:54:18.520 --> 00:54:39.520]   I'm cold.
[00:54:39.520 --> 00:55:00.520]   I'm cold.
[00:55:00.520 --> 00:55:21.520]   I'm cold.
[00:55:21.520 --> 00:55:42.520]   I'm cold.
[00:55:42.520 --> 00:56:03.520]   I'm cold.
[00:56:03.520 --> 00:56:24.520]   I'm cold.
[00:56:24.520 --> 00:56:45.520]   I'm cold.
[00:56:45.520 --> 00:57:06.520]   I'm cold.
[00:57:06.520 --> 00:57:27.520]   I'm cold.
[00:57:27.520 --> 00:57:48.520]   I'm cold.
[00:57:48.520 --> 00:58:09.520]   I'm cold.
[00:58:09.520 --> 00:58:30.520]   I'm cold.
[00:58:30.520 --> 00:58:51.520]   I'm cold.
[00:58:51.520 --> 00:59:12.520]   I'm cold.
[00:59:12.520 --> 00:59:33.520]   I'm cold.
[00:59:33.520 --> 00:59:54.520]   I'm cold.
[00:59:54.520 --> 01:00:15.520]   I'm cold.
[01:00:15.520 --> 01:00:36.520]   I'm cold.
[01:00:36.520 --> 01:00:57.520]   I'm cold.
[01:00:57.520 --> 01:01:18.520]   I'm cold.
[01:01:18.520 --> 01:01:39.520]   I'm cold.
[01:01:39.520 --> 01:02:00.520]   I'm cold.
[01:02:00.520 --> 01:02:21.520]   I'm cold.
[01:02:21.520 --> 01:02:42.520]   I'm cold.
[01:02:42.520 --> 01:03:03.520]   I'm cold.
[01:03:03.520 --> 01:03:24.520]   I'm cold.
[01:03:24.520 --> 01:03:45.520]   I'm cold.
[01:03:45.520 --> 01:04:06.520]   I'm cold.
[01:04:06.520 --> 01:04:27.520]   I'm cold.
[01:04:27.520 --> 01:04:48.520]   I'm cold.
[01:04:48.520 --> 01:05:09.520]   I'm cold.
[01:05:09.520 --> 01:05:30.520]   I'm cold.
[01:05:30.520 --> 01:05:51.520]   I'm cold.
[01:05:51.520 --> 01:06:12.520]   I'm cold.
[01:06:12.520 --> 01:06:33.520]   I'm cold.
[01:06:33.520 --> 01:06:54.520]   I'm cold.
[01:06:54.520 --> 01:07:15.520]   I'm cold.
[01:07:15.520 --> 01:07:36.520]   I'm cold.
[01:07:36.520 --> 01:07:57.520]   I'm cold.
[01:07:57.520 --> 01:08:18.520]   I'm cold.
[01:08:18.520 --> 01:08:39.520]   I'm cold.
[01:08:39.520 --> 01:09:00.520]   I'm cold.
[01:09:00.520 --> 01:09:21.520]   I'm cold.
[01:09:21.520 --> 01:09:42.520]   I'm cold.
[01:09:42.520 --> 01:10:03.520]   I'm cold.
[01:10:03.520 --> 01:10:24.520]   I'm cold.
[01:10:24.520 --> 01:10:45.520]   I'm cold.
[01:10:45.520 --> 01:11:06.520]   I'm cold.
[01:11:06.520 --> 01:11:27.520]   I'm cold.
[01:11:27.520 --> 01:11:48.520]   I'm cold.
[01:11:48.520 --> 01:12:09.520]   I'm cold.
[01:12:09.520 --> 01:12:30.520]   I'm cold.
[01:12:30.520 --> 01:12:51.520]   I'm cold.
[01:12:51.520 --> 01:13:12.520]   I'm cold.
[01:13:12.520 --> 01:13:33.520]   I'm cold.
[01:13:33.520 --> 01:13:54.520]   I'm cold.
[01:13:54.520 --> 01:14:15.520]   I'm cold.
[01:14:15.520 --> 01:14:36.520]   I'm cold.
[01:14:36.520 --> 01:14:57.520]   I'm cold.
[01:14:57.520 --> 01:15:18.520]   I'm cold.
[01:15:18.520 --> 01:15:39.520]   I'm cold.
[01:15:39.520 --> 01:16:00.520]   I'm cold.
[01:16:00.520 --> 01:16:21.520]   I'm cold.
[01:16:21.520 --> 01:16:42.520]   I'm cold.
[01:16:42.520 --> 01:17:03.520]   I'm cold.
[01:17:03.520 --> 01:17:24.520]   I'm cold.
[01:17:24.520 --> 01:17:45.520]   I'm cold.
[01:17:45.520 --> 01:18:06.520]   I'm cold.
[01:18:06.520 --> 01:18:27.520]   I'm cold.
[01:18:27.520 --> 01:18:48.520]   I'm cold.
[01:18:48.520 --> 01:19:09.520]   I'm cold.
[01:19:09.520 --> 01:19:30.520]   I'm cold.
[01:19:30.520 --> 01:19:51.520]   I'm cold.
[01:19:51.520 --> 01:20:12.520]   I'm cold.
[01:20:12.520 --> 01:20:33.520]   I'm cold.
[01:20:33.520 --> 01:20:54.520]   I'm cold.
[01:20:54.520 --> 01:21:15.520]   I'm cold.
[01:21:15.520 --> 01:21:36.520]   I'm cold.
[01:21:36.520 --> 01:21:57.520]   I'm cold.
[01:21:57.520 --> 01:22:18.520]   I'm cold.
[01:22:18.520 --> 01:22:39.520]   I'm cold.
[01:22:39.520 --> 01:23:00.520]   I'm cold.
[01:23:00.520 --> 01:23:21.520]   I'm cold.
[01:23:21.520 --> 01:23:42.520]   I'm cold.
[01:23:42.520 --> 01:24:03.520]   I'm cold.
[01:24:03.520 --> 01:24:24.520]   I'm cold.
[01:24:24.520 --> 01:24:45.520]   I'm cold.
[01:24:45.520 --> 01:25:06.520]   I'm cold.
[01:25:06.520 --> 01:25:27.520]   I'm cold.
[01:25:27.520 --> 01:25:48.520]   I'm cold.
[01:25:48.520 --> 01:26:09.520]   I'm cold.
[01:26:09.520 --> 01:26:30.520]   I'm cold.
[01:26:30.520 --> 01:26:51.520]   I'm cold.
[01:26:51.520 --> 01:27:12.520]   I'm cold.
[01:27:12.520 --> 01:27:33.520]   I'm cold.
[01:27:33.520 --> 01:27:54.520]   I'm cold.
[01:27:54.520 --> 01:28:15.520]   I'm cold.
[01:28:15.520 --> 01:28:36.520]   I'm cold.
[01:28:36.520 --> 01:28:57.520]   I'm cold.
[01:28:57.520 --> 01:29:18.520]   I'm cold.
[01:29:18.520 --> 01:29:39.520]   I'm cold.
[01:29:39.520 --> 01:30:00.520]   I'm cold.
[01:30:00.520 --> 01:30:21.520]   I'm cold.
[01:30:21.520 --> 01:30:42.520]   I'm cold.
[01:30:42.520 --> 01:31:03.520]   I'm cold.
[01:31:03.520 --> 01:31:24.520]   I'm cold.
[01:31:24.520 --> 01:31:45.520]   I'm cold.
[01:31:45.520 --> 01:32:06.520]   I'm cold.
[01:32:06.520 --> 01:32:27.520]   I'm cold.
[01:32:27.520 --> 01:32:48.520]   I'm cold.
[01:32:48.520 --> 01:33:09.520]   I'm cold.
[01:33:09.520 --> 01:33:30.520]   I'm cold.
[01:33:30.520 --> 01:33:51.520]   I'm cold.
[01:33:51.520 --> 01:34:12.520]   I'm cold.
[01:34:12.520 --> 01:34:33.520]   I'm cold.
[01:34:33.520 --> 01:34:54.520]   I'm cold.
[01:34:54.520 --> 01:35:15.520]   I'm cold.
[01:35:15.520 --> 01:35:36.520]   I'm cold.
[01:35:36.520 --> 01:35:57.520]   I'm cold.
[01:35:57.520 --> 01:36:18.520]   I'm cold.
[01:36:18.520 --> 01:36:39.520]   I'm cold.
[01:36:39.520 --> 01:37:00.520]   I'm cold.
[01:37:00.520 --> 01:37:21.520]   I'm cold.
[01:37:21.520 --> 01:37:42.520]   I'm cold.
[01:37:42.520 --> 01:38:03.520]   I'm cold.
[01:38:03.520 --> 01:38:24.520]   I'm cold.
[01:38:24.520 --> 01:38:45.520]   I'm cold.
[01:38:45.520 --> 01:39:06.520]   I'm cold.
[01:39:06.520 --> 01:39:27.520]   I'm cold.
[01:39:27.520 --> 01:39:48.520]   I'm cold.
[01:39:48.520 --> 01:40:09.520]   I'm cold.
[01:40:09.520 --> 01:40:30.520]   I'm cold.
[01:40:30.520 --> 01:40:51.520]   I'm cold.
[01:40:51.520 --> 01:41:12.520]   I'm cold.
[01:41:12.520 --> 01:41:33.520]   I'm cold.
[01:41:33.520 --> 01:41:54.520]   I'm cold.
[01:41:54.520 --> 01:42:15.520]   I'm cold.
[01:42:15.520 --> 01:42:36.520]   I'm cold.
[01:42:36.520 --> 01:42:57.520]   I'm cold.
[01:42:57.520 --> 01:43:18.520]   I'm cold.
[01:43:18.520 --> 01:43:39.520]   I'm cold.
[01:43:39.520 --> 01:44:00.520]   I'm cold.
[01:44:00.520 --> 01:44:21.520]   I'm cold.
[01:44:21.520 --> 01:44:42.520]   I'm cold.
[01:44:42.520 --> 01:45:03.520]   I'm cold.
[01:45:03.520 --> 01:45:24.520]   I'm cold.
[01:45:24.520 --> 01:45:45.520]   I'm cold.
[01:45:45.520 --> 01:46:06.520]   I'm cold.
[01:46:06.520 --> 01:46:27.520]   I'm cold.
[01:46:27.520 --> 01:46:48.520]   I'm cold.
[01:46:48.520 --> 01:47:09.520]   I'm cold.
[01:47:09.520 --> 01:47:30.520]   I'm cold.
[01:47:30.520 --> 01:47:51.520]   I'm cold.
[01:47:51.520 --> 01:48:12.520]   I'm cold.
[01:48:12.520 --> 01:48:33.520]   I'm cold.
[01:48:33.520 --> 01:48:54.520]   I'm cold.
[01:48:54.520 --> 01:49:15.520]   I'm cold.
[01:49:15.520 --> 01:49:36.520]   I'm cold.
[01:49:36.520 --> 01:49:57.520]   I'm cold.
[01:49:57.520 --> 01:50:18.520]   I'm cold.
[01:50:18.520 --> 01:50:39.520]   I'm cold.
[01:50:39.520 --> 01:51:00.520]   I'm cold.
[01:51:00.520 --> 01:51:21.520]   I'm cold.
[01:51:21.520 --> 01:51:42.520]   I'm cold.
[01:51:42.520 --> 01:52:03.520]   I'm cold.
[01:52:03.520 --> 01:52:24.520]   I'm cold.
[01:52:24.520 --> 01:52:45.520]   I'm cold.
[01:52:45.520 --> 01:53:06.520]   I'm cold.
[01:53:06.520 --> 01:53:27.520]   I'm cold.
[01:53:27.520 --> 01:53:48.520]   I'm cold.
[01:53:48.520 --> 01:54:09.520]   I'm cold.
[01:54:09.520 --> 01:54:30.520]   I'm cold.
[01:54:30.520 --> 01:54:51.520]   I'm cold.
[01:54:51.520 --> 01:55:12.520]   I'm cold.
[01:55:12.520 --> 01:55:33.520]   I'm cold.
[01:55:33.520 --> 01:55:54.520]   I'm cold.
[01:55:54.520 --> 01:56:15.520]   I'm cold.
[01:56:15.520 --> 01:56:36.520]   I'm cold.
[01:56:36.520 --> 01:56:57.520]   I'm cold.
[01:56:57.520 --> 01:57:18.520]   I'm cold.
[01:57:18.520 --> 01:57:39.520]   I'm cold.
[01:57:39.520 --> 01:58:00.520]   I'm cold.
[01:58:00.520 --> 01:58:21.520]   I'm cold.
[01:58:21.520 --> 01:58:42.520]   I'm cold.
[01:58:42.520 --> 01:59:03.520]   I'm cold.
[01:59:03.520 --> 01:59:24.520]   I'm cold.
[01:59:24.520 --> 01:59:45.520]   I'm cold.
[01:59:45.520 --> 02:00:06.520]   I'm cold.
[02:00:06.520 --> 02:00:27.520]   I'm cold.
[02:00:27.520 --> 02:00:48.520]   I'm cold.
[02:00:48.520 --> 02:01:09.520]   I'm cold.
[02:01:09.520 --> 02:01:30.520]   I'm cold.
[02:01:30.520 --> 02:01:51.520]   I'm cold.
[02:01:51.520 --> 02:02:12.520]   I'm cold.
[02:02:12.520 --> 02:02:33.520]   I'm cold.
[02:02:33.520 --> 02:02:54.520]   I'm cold.
[02:02:54.520 --> 02:03:15.520]   I'm cold.
[02:03:15.520 --> 02:03:36.520]   I'm cold.
[02:03:36.520 --> 02:03:57.520]   I'm cold.
[02:03:57.520 --> 02:04:18.520]   I'm cold.
[02:04:18.520 --> 02:04:39.520]   I'm cold.
[02:04:39.520 --> 02:05:00.520]   I'm cold.
[02:05:00.520 --> 02:05:21.520]   I'm cold.
[02:05:21.520 --> 02:05:42.520]   I'm cold.
[02:05:42.520 --> 02:06:03.520]   I'm cold.
[02:06:03.520 --> 02:06:24.520]   I'm cold.
[02:06:24.520 --> 02:06:45.520]   I'm cold.
[02:06:45.520 --> 02:07:06.520]   I'm cold.
[02:07:06.520 --> 02:07:27.520]   I'm cold.
[02:07:27.520 --> 02:07:48.520]   I'm cold.
[02:07:48.520 --> 02:08:09.520]   I'm cold.
[02:08:09.520 --> 02:08:30.520]   I'm cold.
[02:08:30.520 --> 02:08:51.520]   I'm cold.
[02:08:51.520 --> 02:09:12.520]   I'm cold.
[02:09:12.520 --> 02:09:33.520]   I'm cold.
[02:09:33.520 --> 02:09:54.520]   I'm cold.
[02:09:54.520 --> 02:10:15.520]   I'm cold.
[02:10:15.520 --> 02:10:36.520]   I'm cold.
[02:10:36.520 --> 02:10:57.520]   I'm cold.
[02:10:57.520 --> 02:11:18.520]   I'm cold.
[02:11:18.520 --> 02:11:39.520]   I'm cold.
[02:11:39.520 --> 02:12:00.520]   I'm cold.
[02:12:00.520 --> 02:12:21.520]   I'm cold.
[02:12:21.520 --> 02:12:42.520]   I'm cold.
[02:12:42.520 --> 02:13:03.520]   I'm cold.
[02:13:03.520 --> 02:13:24.520]   I'm cold.
[02:13:24.520 --> 02:13:45.520]   I'm cold.
[02:13:45.520 --> 02:14:06.520]   I'm cold.
[02:14:06.520 --> 02:14:27.520]   I'm cold.
[02:14:27.520 --> 02:14:48.520]   I'm cold.
[02:14:48.520 --> 02:15:09.520]   I'm cold.

