;FFMETADATA1
title=More Burritoshot than Moonshot
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=378
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.400]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin is in studio with us
[00:05:43.760 --> 00:05:46.680]   Dot-com and we should say a Clinton supporter
[00:05:46.680 --> 00:05:49.760]   You don't want innovation to happen in isolation
[00:05:49.760 --> 00:05:55.880]   He says and have people just deal with that disruption without having a plan in a world where government and technology are sort of acting in isolation
[00:05:55.880 --> 00:05:57.880]   In other words if Trump doesn't do anything
[00:05:57.880 --> 00:06:04.000]   Pro-work on for Silicon Valley what we're going to get is negative consequences from disruption in other words government
[00:06:04.000 --> 00:06:11.000]   Should be levy things planning for the inevitable disruption the new technologies are going to offer
[00:06:11.000 --> 00:06:16.200]   Yeah, and and figure out ways to keep people in working and and so forth
[00:06:16.200 --> 00:06:20.400]   Yeah, but look it's very it's very instructive look at the stock market because they're you know much
[00:06:20.400 --> 00:06:23.320]   I always gonna it's gonna implode it's gonna implode and last night the futures are down there
[00:06:23.320 --> 00:06:28.280]   They were down because people had the wrong bets on the market and they had to they had to deal the shorts
[00:06:28.280 --> 00:06:32.080]   They had the long as they hadn't figure that out and today the stock market was up to 56
[00:06:32.080 --> 00:06:36.040]   Why because this is somebody who's going to reduce taxes on companies as much as possible
[00:06:36.040 --> 00:06:41.600]   The company is gonna be happy. Yeah, if if it's for companies then that's you can presume
[00:06:41.600 --> 00:06:47.240]   That's what he'll do. Yeah, I think unless it's a company. He doesn't like well the H1B visa is an interesting one because of course
[00:06:47.240 --> 00:06:48.600]   he's
[00:06:48.600 --> 00:06:50.600]   campaign on an
[00:06:50.600 --> 00:06:52.600]   immigrant
[00:06:52.600 --> 00:06:55.640]   platform the H1B visa is a visa that allows
[00:06:55.640 --> 00:06:58.240]   foreign workers
[00:06:58.240 --> 00:07:03.800]   To come and work for tech companies tech companies want this expanded. They want more foreign workers, right?
[00:07:03.800 --> 00:07:11.960]   When questioned on it, I'm not sure he even understood what the program was but he said that he wanted to
[00:07:11.960 --> 00:07:19.780]   Encourage he said the problem was you have people coming to universities the United States
[00:07:19.780 --> 00:07:24.840]   Getting skills and leaving yes, that is a problem and he wants to keep them in the United States
[00:07:24.840 --> 00:07:31.400]   But he also said he wants to raise the wages of H1B workers to a point where it doesn't undermine
[00:07:31.400 --> 00:07:37.200]   The American workers who could do the same job. They're not cheaper than American workers in other words, which is actually sounds
[00:07:37.200 --> 00:07:42.560]   Sensible Silicon Valley says we can't get enough high tech workers with the skills we need we have to
[00:07:42.560 --> 00:07:51.160]   Bring in overseas workers using H1B visa that has has been abused Disney used it for instance to bring in lots of workers
[00:07:51.160 --> 00:07:53.160]   they had the American
[00:07:53.160 --> 00:07:56.680]   IT professionals train these workers and then fired him yeah
[00:07:56.680 --> 00:08:03.120]   What kind of visa did his current wife get one sheep on the got it. Have you seen that reported? I don't know
[00:08:03.120 --> 00:08:06.080]   Now Jeff you've got to stop fighting these old battles
[00:08:06.080 --> 00:08:09.760]   I we're not the elections over no no no
[00:08:09.760 --> 00:08:13.880]   I tweeted David Ferren hold the Washington Post last night and I just said please don't stop
[00:08:13.880 --> 00:08:21.680]   Well, no no we have to we didn't get enough coverage of his character and his history
[00:08:22.520 --> 00:08:27.080]   One way or the other by God there's gonna be some wonderful Edward Snowden somewhere
[00:08:27.080 --> 00:08:30.720]   Oh, we gotta bring that up to some wonderful Edward Snowden somewhere who?
[00:08:30.720 --> 00:08:36.480]   Will reveal at peril his taxes, you know, we got it. We gotta go for transparency
[00:08:36.480 --> 00:08:40.040]   It's too late. He is elected. What does it matter? What his taxes are the
[00:08:40.040 --> 00:08:44.360]   Cuz you'll be in office because you'll be in office. Well, that's what that's where I'm headed
[00:08:44.360 --> 00:08:49.900]   Oh, Lord. I mean I think that this point it would be a good thing to say he's the president
[00:08:49.900 --> 00:08:54.380]   It will be the president January 20th. Let's give him the benefit of the doubt and let's
[00:08:54.380 --> 00:09:01.900]   Hope that he does a great job when he stopped if he doesn't then we can protest we can take to the streets
[00:09:01.900 --> 00:09:07.940]   But until then he hasn't done anything. Oh, we know is campaign rhetoric. That's campaign rhetoric. So so
[00:09:07.940 --> 00:09:13.060]   I've been thinking about this for a couple months, you know, what if this could happen because I believed it could
[00:09:13.060 --> 00:09:17.820]   For some time and and I've been trying to get my head around this notion of resistance
[00:09:17.820 --> 00:09:20.060]   Right as we believe and he did not
[00:09:20.060 --> 00:09:27.100]   We believe in an early transfer of power Hillary Clinton did the right thing Barack Obama did the right thing in spades
[00:09:27.100 --> 00:09:32.900]   They they they were elegant and and graceful and they've done the absolute right thing
[00:09:32.900 --> 00:09:38.620]   And and that is right and yes, we do have a transfer of power and I'm not gonna question the legitimacy of the office
[00:09:38.620 --> 00:09:45.740]   Fine, however, let's say this guy just for the sake of argument goes out and starts routing up little children
[00:09:45.740 --> 00:09:47.740]   inside and back to Mexico
[00:09:47.740 --> 00:09:51.820]   What does resistance look like in that kind of work?
[00:09:51.820 --> 00:09:54.140]   We could cross that bridge when we come to it well
[00:09:54.140 --> 00:09:55.020]   Well, but I think it's no
[00:09:55.020 --> 00:10:00.620]   I think it's something that we want to start because because the lines are there what what is still respectful of the office but
[00:10:00.620 --> 00:10:06.780]   respects the law so I can't this is an off the record session so being being being a
[00:10:06.780 --> 00:10:11.500]   Patriot means also protesting something you don't agree with so would you
[00:10:12.300 --> 00:10:15.860]   Iraq I went what took to the streets marched carried signs
[00:10:15.860 --> 00:10:19.500]   I mean I that doesn't mean you have to agree with everything he does
[00:10:19.500 --> 00:10:25.900]   But I he hasn't done anything yet one of the great ironies of this election which is radically under under discussed
[00:10:25.900 --> 00:10:27.900]   Which is the whole immigration issue?
[00:10:27.900 --> 00:10:30.460]   Trump has hinted that he wants to deport
[00:10:30.460 --> 00:10:33.500]   illegal immigrants and
[00:10:33.500 --> 00:10:37.820]   Mexico has had things to say about that people say they're gonna move to Canada if he does that
[00:10:38.460 --> 00:10:42.300]   Both Canada the Canada immigration website down all that's nice
[00:10:42.300 --> 00:10:48.180]   Both Canada and Mexico deport illegal immigrants as a matter of practice and policy
[00:10:48.180 --> 00:10:50.380]   So to win I think that the perfect
[00:10:50.380 --> 00:10:58.620]   The perfect immigration system for Trump to emulate is in fact candidates because Canada what Canada does is they cherry pick immigrants
[00:10:58.620 --> 00:11:03.060]   They're H1B. Oh, yeah program is is their whole immigration policy, right?
[00:11:03.060 --> 00:11:07.660]   they basically say we want the best and the brightest from all over the world to come in all of them and
[00:11:08.220 --> 00:11:14.580]   Everybody else not so not so you know yes if it's a much a few that by the way is a knee jerk reaction
[00:11:14.580 --> 00:11:19.460]   Maybe not knee jerk. It's a reaction to Canada's open immigration policy of about 30 years ago
[00:11:19.460 --> 00:11:21.740]   Yes, Canada is a very diverse as you know
[00:11:21.740 --> 00:11:24.420]   Yes, it's a very it has to China town
[00:11:24.420 --> 00:11:29.180]   Yes very diverse nation because they had open immigration and then there was they had what was called a green paper
[00:11:29.180 --> 00:11:32.620]   Yeah, but you know it's it's in this Canada is a is a
[00:11:33.300 --> 00:11:36.660]   exemplary democracy however, it has to be said that the
[00:11:36.660 --> 00:11:44.780]   immigration policy that Trump has been raked over the calls for is Canada's immigration policy right the best and the brightest so
[00:11:44.780 --> 00:11:49.940]   Best and brightest and deport the illegal immigrants. They do not also so I think we talked in Canada
[00:11:49.940 --> 00:11:54.500]   I we had this quiz. I think some some months ago Leo where I asked would you?
[00:11:54.500 --> 00:11:58.740]   Harbor hide in your house a
[00:12:00.580 --> 00:12:04.260]   Young Mexican immigrant was gonna be sent back for no reason other than spite
[00:12:04.260 --> 00:12:11.140]   Separated from his parents, you know, I mean maybe you know get the heartstrings going
[00:12:11.140 --> 00:12:17.900]   Give me some sympathy here. Yeah, yeah, yeah, you know, let's let's let's stack exactly and Frank, but uh,
[00:12:17.900 --> 00:12:23.180]   Oh, but facing deportation so churches churches have
[00:12:23.900 --> 00:12:30.220]   Thanks, right, right so that I also I was an off-the-record things so I can't say who but a fairly important
[00:12:30.220 --> 00:12:32.860]   I'll just say either intelligence or military official
[00:12:32.860 --> 00:12:38.940]   Very high level I heard in an event two weeks ago and was asked by the very good interviewer
[00:12:38.940 --> 00:12:42.700]   okay, so Donald Trump was in office a turtle in the room hug and
[00:12:42.700 --> 00:12:46.540]   He orders you to waterboard
[00:12:46.540 --> 00:12:51.900]   And this when you say no and in fact, that's exactly that's this no military is told to do that
[00:12:51.900 --> 00:12:54.940]   You cannot you have the right to refuse an illegal order
[00:12:54.940 --> 00:13:02.060]   But what and we prosecuted the germ as a who said I were just following orders. I know I know I think I
[00:13:02.060 --> 00:13:05.580]   I think the military will say no to illegal orders
[00:13:05.580 --> 00:13:11.980]   But all I'm saying is I think that that if he does start doing some of the things that I find heinous that he's threatened to do
[00:13:11.980 --> 00:13:16.940]   Against the press as well changing libel laws suing the journalist for they say something he doesn't like
[00:13:16.940 --> 00:13:19.580]   What kind of resistance?
[00:13:19.580 --> 00:13:21.580]   Should I as an individual consider?
[00:13:21.580 --> 00:13:25.900]   You know one of the great things about having worked in the campaign and don't worry people. I'm not going to go off
[00:13:25.900 --> 00:13:27.900]   It's too late
[00:13:27.900 --> 00:13:30.620]   But I thought this the other day
[00:13:30.620 --> 00:13:33.420]   I relearned how to become a citizen
[00:13:33.420 --> 00:13:37.980]   As a journalist you separate yourself from the public you have this this view that you're apart from at all
[00:13:37.980 --> 00:13:43.980]   No, we don't have a problem. So apparently exactly and so by being a partisan by being involved
[00:13:43.980 --> 00:13:46.060]   I felt my citizenship
[00:13:46.060 --> 00:13:50.380]   again, you know in my soul I cared about something I allowed myself to care about something
[00:13:50.380 --> 00:13:55.900]   And and with that comes tremendous responsibility and I felt the responsibility not of being a journalist first
[00:13:55.900 --> 00:13:57.660]   but to being a citizen as well
[00:13:57.660 --> 00:14:03.740]   And so if you believe in the principles of this country and someone does start violating them
[00:14:03.740 --> 00:14:06.300]   Then I'm just saying it hasn't happened yet. You're quite right Leo
[00:14:06.300 --> 00:14:12.140]   But I'm starting to just get the wheel spinning about what would I do? What would my response be? What does resistance mean?
[00:14:12.220 --> 00:14:18.380]   What what protects the principles but doesn't destroy the office for future holders if that happens
[00:14:18.380 --> 00:14:25.820]   I'm not saying is what I'm gonna do when you do here, but I am asking the question. Yeah, well you you and you and I you write about journalism
[00:14:25.820 --> 00:14:28.620]   Exactly then that's where I'm taking this
[00:14:28.620 --> 00:14:31.100]   And we all write about social media
[00:14:31.100 --> 00:14:36.860]   Before you head to that I want you I know you want to go that's what I want one more point about Silicon Valley
[00:14:36.860 --> 00:14:41.580]   There was at least one person in Silicon Valley who made a bet on Donald Trump, but that's people Peter Teal
[00:14:41.740 --> 00:14:43.740]   Yes, and we talked about this
[00:14:43.740 --> 00:14:47.500]   there was a move to oust him from the
[00:14:47.500 --> 00:14:50.620]   Facebook why combinator board the Facebook board
[00:14:50.620 --> 00:14:55.260]   Both companies defended his right to donate one and a quarter million to the trump campaign
[00:14:55.260 --> 00:15:01.580]   And I think it was my position at the time that that was his right. He was the republican candidate. However you feel about him
[00:15:01.580 --> 00:15:04.140]   Teal
[00:15:04.140 --> 00:15:08.460]   Made it looks like a second good early bet. Remember he was the first a bit on facebook
[00:15:08.780 --> 00:15:13.340]   He might be made secretary of the cyber. I wonder I wonder if you'll have a a role
[00:15:13.340 --> 00:15:18.940]   He was of course co-founder of PayPal or early backer of facebook. He's on the facebook board. He is
[00:15:18.940 --> 00:15:22.140]   and a libertarian
[00:15:22.140 --> 00:15:28.140]   And uh, so one of the things he said and he's not about a week ago at the national press club is
[00:15:28.140 --> 00:15:33.420]   When I work in silicon valley people are doing just great most americans have not been part of that prosperity
[00:15:33.420 --> 00:15:38.460]   It shouldn't be surprising to see people vote for bernie sanders of Donald trump is the only outsider left in the race
[00:15:39.180 --> 00:15:40.460]   So I don't know
[00:15:40.460 --> 00:15:45.500]   Uh, if teal was angling for a position in the cabinet or just supporting the guy he liked but yeah
[00:15:45.500 --> 00:15:51.580]   He will be sitting in the catbridge. He will be influential regardless and but but I you know, is that a bad thing?
[00:15:51.580 --> 00:15:55.580]   I don't I don't even know teals polnot not politics, but but you know technical
[00:15:55.580 --> 00:15:59.900]   Accumen
[00:15:59.900 --> 00:16:04.780]   Um, it's funny because meg Whitman republican meg Whitman was a clinton supporter. Yeah
[00:16:04.780 --> 00:16:05.980]   um
[00:16:05.980 --> 00:16:09.180]   teal had supported carly fierina in the primaries
[00:16:09.180 --> 00:16:11.980]   Um
[00:16:11.980 --> 00:16:13.100]   I don't know
[00:16:13.100 --> 00:16:16.940]   But the the thing that I think um is is a is a is a really
[00:16:16.940 --> 00:16:18.780]   great
[00:16:18.780 --> 00:16:24.780]   uh thing for this show particularly to focus on on an ongoing basis is the fact that trump in fact
[00:16:24.780 --> 00:16:27.180]   um did promise to
[00:16:27.180 --> 00:16:30.380]   He wasn't specific about it, but he basically said that
[00:16:30.380 --> 00:16:34.300]   The internet is one choke point where we can prevent isis for example from
[00:16:34.860 --> 00:16:39.020]   Understands obviously the technology, but he misunderstands it but somebody you know, he's gonna
[00:16:39.020 --> 00:16:44.220]   He may drive that point. He's we have no reason to believe he won't so you think what do you think treble do on?
[00:16:44.220 --> 00:16:49.980]   Uh surveillance mass surveillance. I was the encryption. He's gonna. He's gonna try to get laws passed
[00:16:49.980 --> 00:16:54.700]   Requiring back doors into encryption. So we're gonna have to use encryption from outside this country
[00:16:54.700 --> 00:16:58.540]   And he will have by the way the support of probably a republican congress. Oh, yes, I would guess
[00:16:58.540 --> 00:16:59.980]   Sure
[00:16:59.980 --> 00:17:05.660]   But but when he goes to facebook and says okay, I want you to do xyz and he goes to twitter and say I want to shut down
[00:17:05.660 --> 00:17:10.220]   All these uh these accounts said he was gonna call bill gates on that one. Yeah
[00:17:10.220 --> 00:17:14.460]   Well first he's calling he said this first he's calling poutine
[00:17:14.460 --> 00:17:18.540]   All right, well he wants to meet with poutine as soon as he gets in office
[00:17:18.540 --> 00:17:23.660]   We shall see what what happens teal uh on uh tuesday night last night issued a statement
[00:17:24.220 --> 00:17:28.140]   Congratulating uh the president elect says he has an awesomely difficult task
[00:17:28.140 --> 00:17:33.420]   Since his long past time for us to face up to our country's problems. We're going to need all hands on deck
[00:17:33.420 --> 00:17:37.900]   Uh, they asked max levchin who was with teal co-founding paypal
[00:17:37.900 --> 00:17:42.300]   And this was interesting max said peter is very shrewd very smart. He bets
[00:17:42.300 --> 00:17:44.300]   contrarian
[00:17:44.300 --> 00:17:46.860]   As he did this time, but not when he knows he'll win
[00:17:46.860 --> 00:17:53.180]   But when he knows that his odds of winning are much better than most people think so teal was crazy like a fox. Yeah
[00:17:53.740 --> 00:18:00.060]   He um, he knew what to do now teals also the guy who funded hell coagens lawsuit against galker. Yep
[00:18:00.060 --> 00:18:03.180]   Um one that one too and oh yeah
[00:18:03.180 --> 00:18:08.300]   Teals uh wrote in his book that his dream had once been to the supreme court clerk
[00:18:08.300 --> 00:18:13.340]   Well, I think this this raises a another central issue which which you know teal trump
[00:18:13.340 --> 00:18:19.980]   Um, I think there's a movement of foot for billionaires to get involved in the media in a big way in the in the case of teal
[00:18:20.540 --> 00:18:27.660]   There's this idea that oh somebody criticized me. I will bankrupt that publication and trump is as has gone after
[00:18:27.660 --> 00:18:33.180]   uh publications that criticize them of which there are many I don't he his major endorsements were
[00:18:33.180 --> 00:18:36.860]   Um the kkk newspaper and one other major newspaper
[00:18:36.860 --> 00:18:40.380]   Um, but most newspapers didn't support him
[00:18:40.380 --> 00:18:44.700]   But you know for example, he'd be criticized new york times and then he would call the failed failing new york times
[00:18:44.700 --> 00:18:45.260]   Etc
[00:18:45.260 --> 00:18:49.900]   So there's there's a movement of foot for billionaires and people who are powerful to shut down the publications
[00:18:50.460 --> 00:18:52.620]   uh per teal punish punish them by
[00:18:52.620 --> 00:18:54.220]   Ending them
[00:18:54.220 --> 00:19:00.380]   Uh with their money with their influence with their power with whatever resources they have at their disposal with the power of lawyers and lawsuits
[00:19:00.380 --> 00:19:03.340]   Um, and so this is something that I think it needs to be a concern
[00:19:03.340 --> 00:19:09.500]   I'm a little concerned because it's very clear that in the in the trump supporters. There's a very strong anti media
[00:19:09.500 --> 00:19:11.660]   Yeah feeling right they were oh
[00:19:11.660 --> 00:19:13.740]   CNN sucks. They were chanting and uh
[00:19:13.740 --> 00:19:16.540]   Well, and I actually have I have I have
[00:19:17.420 --> 00:19:21.580]   I wrote a piece a few weeks ago that that now more telling than ever
[00:19:21.580 --> 00:19:26.060]   Which I argued that that that is indeed our fault in liberal media. This is another post I wrote
[00:19:26.060 --> 00:19:33.820]   Um post mortemism journalism. Yeah, I wrote this kind of refers back to this where what I argued was that we in liberal media
[00:19:33.820 --> 00:19:39.260]   And let's be honest media or liberal i'm media i'm liberal and when we're not honest about really
[00:19:39.260 --> 00:19:42.300]   That's wrong
[00:19:42.300 --> 00:19:47.340]   We in liberal establishment media left a void in a vacuum that was filled readily by
[00:19:47.340 --> 00:19:53.980]   Movements masquerine is media starting with fox and there's bright art and and drudge and and many far worse
[00:19:53.980 --> 00:19:59.420]   And it's our fault. We left that there because we didn't respect that half of the country
[00:19:59.420 --> 00:20:03.020]   And and my second argument is that we didn't um
[00:20:03.020 --> 00:20:10.780]   We didn't empathize with we didn't listen to and understand the concerns and the worldview of that half of the country
[00:20:11.100 --> 00:20:14.860]   And as a result that half of the country said you never reflect us you why should we trust you?
[00:20:14.860 --> 00:20:20.700]   We don't trust you you don't understand us. That's our fault. I take that fully on in journalism and media
[00:20:20.700 --> 00:20:29.260]   I actually believe that we should invest in um responsible fact-based journalistic conservative media because the only outlets the conservative side had
[00:20:29.260 --> 00:20:32.460]   We're fox news and bright bar and such and so what do we expect?
[00:20:32.460 --> 00:20:36.620]   They were gonna think about climate change and other things when that was the only real you're talking about a
[00:20:36.620 --> 00:20:41.660]   In echo chamber um and and so we abandoned half of america
[00:20:41.660 --> 00:20:46.780]   And I take that fully on that was that was media's fault and and they don't trust media and they don't trust media for a reason
[00:20:46.780 --> 00:20:50.060]   I don't think journalists abandoned half of america
[00:20:50.060 --> 00:20:53.580]   I think that I mean they used to be that every tiny little small town
[00:20:53.580 --> 00:20:58.460]   I started my career in small-time newspaper small small town newspaper journalism
[00:20:58.460 --> 00:21:02.860]   And every small and one of the amazing things about the united states was that there were
[00:21:03.420 --> 00:21:07.740]   Thousands of newspapers every little town had its own newspaper representing local views. I heard a
[00:21:07.740 --> 00:21:11.020]   Terry gross interview with with the cartoonist
[00:21:11.020 --> 00:21:13.660]   Gary Trudeau recently
[00:21:13.660 --> 00:21:19.340]   Uh, and he was talking about how he never felt bitter when they when they censored or canceled or you know
[00:21:19.340 --> 00:21:23.900]   Eliminated his cartoon because he said each of those small town newspapers has a response
[00:21:23.900 --> 00:21:30.620]   But that's just called editing that's not censorship. They all have a responsibility to reflect the values and concerns of their readership in the local communities
[00:21:30.940 --> 00:21:36.140]   And that's how it used to work. I don't think journalists walked away from I think journalists would love to have a million newspapers
[00:21:36.140 --> 00:21:38.620]   I think no, I don't think it's that
[00:21:38.620 --> 00:21:42.700]   every every news organization available to every citizen and people
[00:21:42.700 --> 00:21:45.580]   Gravitated to the national and international
[00:21:45.580 --> 00:21:51.740]   Publications, I think I think journalists love the old system of having a little local paper where they could begin and work
[00:21:51.740 --> 00:21:58.380]   Their way up to I mean that that's how it used to work. Why so what so you think that it's because
[00:22:00.300 --> 00:22:05.180]   I mean, it's an I guess in many ways that the trump movement is an anti-elite movement, right?
[00:22:05.180 --> 00:22:09.660]   And so yeah, the so journalists are media elites and so yes
[00:22:09.660 --> 00:22:19.180]   Um, here's a t-shirt. Uh, somebody cited at a trump rally rope tree journalist some assembly required. Yeah, um, you know
[00:22:19.180 --> 00:22:25.180]   But I but I'll have to say and when I talk to friends and family members who are
[00:22:25.180 --> 00:22:27.740]   Uh, or trump voters
[00:22:27.980 --> 00:22:29.660]   Pretty much to a person
[00:22:29.660 --> 00:22:34.860]   They revile the new york times they reviled mainstream media as reflecting
[00:22:34.860 --> 00:22:40.380]   They say liberal. I think what they're really saying is an elitist point of view
[00:22:40.380 --> 00:22:43.580]   Yes, but the thing is that phenomena beyond control
[00:22:43.580 --> 00:22:49.820]   But it's phenomena beyond the control of individual journalists led to this for you know
[00:22:49.820 --> 00:22:56.780]   This idea that journalists are inherently elitist is just provably false when I started an instagram business
[00:22:57.180 --> 00:23:02.460]   I I I made far below the poverty level when I started. Oh, you can be an elite without making good
[00:23:02.460 --> 00:23:06.300]   Well, I mean, I had a I had a bachelor's degree and so I guess that makes me yeah, you know
[00:23:06.300 --> 00:23:11.260]   And I think like I think journal unless I every single journalist I've been with in the last week
