;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig150
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=150
title=This Week In Google 150: SIM surgery
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.220]   Coming up, it's Twig.
[00:02:18.400 --> 00:02:18.920]   I love Toronto.
[00:02:18.920 --> 00:02:20.120]   It is a magnificent town.
[00:02:20.120 --> 00:02:21.400]   I almost moved here twice.
[00:02:21.400 --> 00:02:22.120]   Really?
[00:02:22.120 --> 00:02:23.440]   Oh, you like it that much?
[00:02:23.440 --> 00:02:24.320]   I don't like it that much.
[00:02:24.320 --> 00:02:25.320]   It's too cold.
[00:02:25.320 --> 00:02:26.320]   Well, yeah.
[00:02:26.320 --> 00:02:27.320]   I don't think I could.
[00:02:27.320 --> 00:02:29.040]   Now we have an unusual guest.
[00:02:29.040 --> 00:02:33.640]   We're going to start off with James Spann, who is a wonderful fellow.
[00:02:33.640 --> 00:02:34.640]   He's a meteorologist.
[00:02:34.640 --> 00:02:36.320]   He along with Kevin Sell.
[00:02:36.320 --> 00:02:37.320]   Is it Sells?
[00:02:37.320 --> 00:02:38.320]   Is that how Kevin pronounces?
[00:02:38.320 --> 00:02:39.320]   It's less than Selly.
[00:02:39.320 --> 00:02:40.320]   Selly.
[00:02:40.320 --> 00:02:41.320]   Kevin Selly.
[00:02:41.320 --> 00:02:45.320]   Does a podcast called Weather Brains because he's a meteorologist.
[00:02:45.320 --> 00:02:51.600]   And James has done an amazing work in the past with hurricanes using Twitter and social
[00:02:51.600 --> 00:02:52.960]   media.
[00:02:52.960 --> 00:02:57.280]   Was this last year that you were warning people?
[00:02:57.280 --> 00:03:00.600]   Yeah, our big day Leo was April 27th of last year.
[00:03:00.600 --> 00:03:05.600]   We had a generational tornado outbreak in which just in my state alone, the death toll
[00:03:05.600 --> 00:03:08.840]   was 252 and around the region it was wherever 300.
[00:03:08.840 --> 00:03:10.480]   So that was the 27th of last year.
[00:03:10.480 --> 00:03:12.240]   These are the Alabama herd, tornadoes.
[00:03:12.240 --> 00:03:13.880]   And he's in Birmingham, right?
[00:03:13.880 --> 00:03:15.080]   Yes, that's correct.
[00:03:15.080 --> 00:03:16.080]   WBMA?
[00:03:16.080 --> 00:03:18.800]   Yes, the ABC affiliate here.
[00:03:18.800 --> 00:03:21.400]   And WCFT and WJSU Hoover, Alabama.
[00:03:21.400 --> 00:03:24.480]   I'm actually more excited about being on Twitter than anything.
[00:03:24.480 --> 00:03:26.280]   I'm a Twitter fan.
[00:03:26.280 --> 00:03:30.360]   Well, and I'm a fan of Weather Brains because you know, it's something about weather.
[00:03:30.360 --> 00:03:33.160]   People get fascinated and addicted and hooked.
[00:03:33.160 --> 00:03:34.720]   So James is doing good stuff.
[00:03:34.720 --> 00:03:38.920]   I mean, yeah, he's on TV, but by using Twitter, you were using your Twitter feed to follow
[00:03:38.920 --> 00:03:43.960]   the tornado's path to warn people that they, the tornado was on the way.
[00:03:43.960 --> 00:03:46.640]   Was it really a remarkable thing you were doing?
[00:03:46.640 --> 00:03:51.400]   Well, social media is very powerful, Leo, and I think I have learned a lot, there's still
[00:03:51.400 --> 00:03:52.400]   a lot to learn.
[00:03:52.400 --> 00:03:57.960]   But I think we used it very effectively last year to not only warn people about the danger
[00:03:57.960 --> 00:04:02.480]   on that day, which was historic, but also for us to gather information back.
[00:04:02.480 --> 00:04:06.760]   You know, it used to be I could not buy a report from some rural parts of this state,
[00:04:06.760 --> 00:04:11.240]   but now with social media, we can get them by crowdsourcing it almost any time.
[00:04:11.240 --> 00:04:17.480]   So it's a two way kind of thing and social media is absolutely crucial to what we do.
[00:04:17.480 --> 00:04:22.280]   And it's an interesting use of so you use Google plus for this as well.
[00:04:22.280 --> 00:04:26.400]   Yes, I was in there like, like all of you at the beginning.
[00:04:26.400 --> 00:04:27.400]   Right.
[00:04:27.400 --> 00:04:32.600]   I find it a very robust platform and it almost was my exclusive platform this past weekend.
[00:04:32.600 --> 00:04:38.280]   Well, and that's kind of why we're having you on because I guess Facebook deleted your
[00:04:38.280 --> 00:04:41.480]   page. What happened?
[00:04:41.480 --> 00:04:43.240]   I don't know.
[00:04:43.240 --> 00:04:48.920]   This past weekend, I was getting set to post some information on the Facebook like page.
[00:04:48.920 --> 00:04:51.680]   And again, a lot of people live in that world.
[00:04:51.680 --> 00:04:53.360]   I don't, but many people do.
[00:04:53.360 --> 00:04:56.680]   And as you know, you've got to go where people are, which is what we try and do.
[00:04:56.680 --> 00:05:03.600]   And that page has about 99,000 likes and we were getting set to have an active day the
[00:05:03.600 --> 00:05:05.800]   next day and I couldn't pull it up.
[00:05:05.800 --> 00:05:10.280]   And I noticed at the same time an email came in from Facebook that said your account has
[00:05:10.280 --> 00:05:14.360]   been disabled with no explanation.
[00:05:14.360 --> 00:05:18.720]   And of course, you know, the regular account has been maxed out at the 5,000 limit, like
[00:05:18.720 --> 00:05:19.720]   everybody else for a long time.
[00:05:19.720 --> 00:05:21.640]   And now you can subscribe, of course.
[00:05:21.640 --> 00:05:24.920]   And that means that you can have many more people following.
[00:05:24.920 --> 00:05:28.680]   What is then now the counts back, we should say it was it right?
[00:05:28.680 --> 00:05:32.480]   It came up 12 hours later, but for those 12 hours, I had, I didn't know what to do.
[00:05:32.480 --> 00:05:37.680]   So I finally found a form for those people that have had their accounts disabled.
[00:05:37.680 --> 00:05:41.880]   And I went through that form and filled it out and got an email back, which I guess was
[00:05:41.880 --> 00:05:47.840]   automated, and they asked for my driver's license, which I thought was a little bizarre.
[00:05:47.840 --> 00:05:49.920]   This is when it started getting creepy.
[00:05:49.920 --> 00:05:51.560]   They thought you were impersonating James.
[00:05:51.560 --> 00:05:54.120]   I guess they did.
[00:05:54.120 --> 00:06:02.320]   So I had to, you know, scan my state driver's license, photo ID and send that to this Facebook
[00:06:02.320 --> 00:06:03.320]   email account.
[00:06:03.320 --> 00:06:05.760]   I did not know a specific person I was dealing with.
[00:06:05.760 --> 00:06:07.160]   There was no name.
[00:06:07.160 --> 00:06:11.440]   And I blacked out all of my personal information, the driver's license number, the address.
[00:06:11.440 --> 00:06:16.040]   I just had my photo showing in my name and I woke up the next morning just assuming it
[00:06:16.040 --> 00:06:17.880]   was a mistake and it was still down.
[00:06:17.880 --> 00:06:23.000]   So, you know, I started the Twitter stink bomb thing, which I didn't know what else to
[00:06:23.000 --> 00:06:27.160]   do because later that day with active weather, I needed that account back because a lot of
[00:06:27.160 --> 00:06:32.280]   people get weather information during severe weather only by social media.
[00:06:32.280 --> 00:06:36.240]   Many young people don't watch, you know, these newscasts we do, you know, this is Ron
[00:06:36.240 --> 00:06:40.920]   Burgundy stuff from the 70s and it's just for older people.
[00:06:40.920 --> 00:06:44.760]   And we reach a lot of younger people with social media.
[00:06:44.760 --> 00:06:49.320]   So I had great concern and, you know, I do okay on Twitter.
[00:06:49.320 --> 00:06:54.000]   I don't have your numbers, Leo, but I think I've got about 62,000 there and they're pretty
[00:06:54.000 --> 00:06:55.160]   vocal.
[00:06:55.160 --> 00:06:58.360]   And that started to kind of, you know, started to roll.
[00:06:58.360 --> 00:07:04.160]   It's like a snowball going downhill and it just came back magically mid-morning Sunday.
[00:07:04.160 --> 00:07:08.240]   So it was out for about 12 hours and there was no email to tell me it was back.
[00:07:08.240 --> 00:07:11.400]   There was no communication explaining why they yanked it.
[00:07:11.400 --> 00:07:16.960]   And it's horrifying because, you know, we are using that platform as a very critical
[00:07:16.960 --> 00:07:19.040]   way of disseminating severe weather information.
[00:07:19.040 --> 00:07:23.760]   And understand when you've got an F4F5 tornado on the ground, this is serious business.
[00:07:23.760 --> 00:07:24.760]   This is life-threatening.
[00:07:24.760 --> 00:07:26.800]   So it's scary stuff.
[00:07:26.800 --> 00:07:30.440]   And I guess I'd love to know, number one, why they disabled it.
[00:07:30.440 --> 00:07:31.440]   Did they think I was imposter?
[00:07:31.440 --> 00:07:32.960]   Did they think I was posting something ugly?
[00:07:32.960 --> 00:07:36.080]   I mean, there's nothing on that page but just weather information that there's nothing
[00:07:36.080 --> 00:07:38.880]   controversial and politics.
[00:07:38.880 --> 00:07:40.320]   It makes no sense at all.
[00:07:40.320 --> 00:07:45.720]   And I tried to, you know, send people over to, you know, Google+, and hopefully I, you
[00:07:45.720 --> 00:07:50.760]   know, got a lot of people signed up for that and it's just, you know, it's very scary.
[00:07:50.760 --> 00:07:55.320]   It shows the strength of social media but also its weakness, which is, you know, these
[00:07:55.320 --> 00:07:56.320]   are private companies.
[00:07:56.320 --> 00:07:58.200]   We don't really control.
[00:07:58.200 --> 00:08:01.920]   It's not broadcasting, which is licensed by the Federal Communications Commission, you
[00:08:01.920 --> 00:08:05.440]   know, it's, it's just a private company and they can do it.
[00:08:05.440 --> 00:08:07.480]   They effectively can do what they want.
[00:08:07.480 --> 00:08:09.960]   What people said, we'll just get a lawyer and sue these people.
[00:08:09.960 --> 00:08:13.200]   Well, you can't sue them because they can yank that account anytime they want.
[00:08:13.200 --> 00:08:14.200]   It's their privilege.
[00:08:14.200 --> 00:08:15.200]   Yeah.
[00:08:15.200 --> 00:08:16.760]   They have the right to do that.
[00:08:16.760 --> 00:08:23.320]   I have emailed the heads of PR at Facebook in Washington and in California to ask them.
[00:08:23.320 --> 00:08:25.680]   And so we can get some facts here and actually discuss the facts.
[00:08:25.680 --> 00:08:26.680]   Yeah.
[00:08:26.680 --> 00:08:27.680]   It's bizarre.
[00:08:27.680 --> 00:08:30.880]   And I think it probably is a case of wanting to make sure that you were who you say you
[00:08:30.880 --> 00:08:31.880]   were.
[00:08:31.880 --> 00:08:32.880]   What is it?
[00:08:32.880 --> 00:08:34.160]   So you're @spann on Twitter.
[00:08:34.160 --> 00:08:35.160]   What is the Facebook?
[00:08:35.160 --> 00:08:37.280]   It's facebook.com/JamesSpan.
[00:08:37.280 --> 00:08:41.480]   I have two ends on my name and that's the like page.
[00:08:41.480 --> 00:08:48.840]   My personal account is just span, but the page that we use for content is that one.
[00:08:48.840 --> 00:08:52.200]   And again, if you look at it, it's on a day like today, we have calm weather here today.
[00:08:52.200 --> 00:08:53.440]   It's about weather information.
[00:08:53.440 --> 00:08:54.440]   I promoted it.
[00:08:54.440 --> 00:08:57.240]   By the way, you've got the weather weenies of the world over here now.
[00:08:57.240 --> 00:09:00.960]   The weather brains crowd have invaded the twig audience.
[00:09:00.960 --> 00:09:03.800]   We were, I see you were watching the Venus transit as we were.
[00:09:03.800 --> 00:09:05.240]   We were fascinated by that.
[00:09:05.240 --> 00:09:07.000]   Oh, that was great stuff.
[00:09:07.000 --> 00:09:09.280]   Yeah, that NASA video, we can't stop watching that.
[00:09:09.280 --> 00:09:10.440]   The sun is so beautiful.
[00:09:10.440 --> 00:09:12.400]   Well, James, I'm sorry that happened.
[00:09:12.400 --> 00:09:14.400]   We'll try to find out.
[00:09:14.400 --> 00:09:16.400]   Thank you, Jeff, for doing some actual reporting.
[00:09:16.400 --> 00:09:19.960]   Yeah, when I, obviously it was the last minute, but as soon as I hear something all along.
[00:09:19.960 --> 00:09:21.680]   We'll give their point of view on it.
[00:09:21.680 --> 00:09:23.600]   Leo and Jeff and Gina here.
[00:09:23.600 --> 00:09:26.200]   These are three big shots that can try and find out some answers.
[00:09:26.200 --> 00:09:29.840]   Well, I know, and I certainly don't want to slam Facebook because we don't know what
[00:09:29.840 --> 00:09:35.600]   happened, but I think the takeaway is that we more and more are relying on social media
[00:09:35.600 --> 00:09:41.320]   and private companies for this kind of dissemination of information and there is no, there's no
[00:09:41.320 --> 00:09:42.320]   protection.
[00:09:42.320 --> 00:09:46.120]   I mean, it's just, you know, it's up to them what they want to do.
[00:09:46.120 --> 00:09:49.120]   It makes you wonder if our relationship has to change.
[00:09:49.120 --> 00:09:50.120]   Right.
[00:09:50.120 --> 00:09:51.120]   Gina, go ahead.
[00:09:51.120 --> 00:09:52.120]   No, no, sorry, Jeff.
[00:09:52.120 --> 00:09:55.560]   What was you going to say, you know, when these networks become these very important,
[00:09:55.560 --> 00:10:00.680]   you know, vital distribution platforms, you wonder if the relationship between the user
[00:10:00.680 --> 00:10:02.000]   and the company has to change.
[00:10:02.000 --> 00:10:04.640]   I mean, right now it's a free service that's advertising based, right?
[00:10:04.640 --> 00:10:10.200]   But in a situation like this, you know, do you want to be able to purchase the service,
[00:10:10.200 --> 00:10:15.800]   you know, or purchase access to a live help person, for example, in this case?
[00:10:15.800 --> 00:10:17.520]   I mean, who knows what this was.
[00:10:17.520 --> 00:10:19.360]   It's possible that maybe the page was hacked.
[00:10:19.360 --> 00:10:20.360]   Maybe there was unusual activity.
[00:10:20.360 --> 00:10:24.800]   Maybe there were just algorithms that detected unusual activity and it was a security issue.
[00:10:24.800 --> 00:10:27.080]   I mean, who knows what it was.
[00:10:27.080 --> 00:10:32.040]   But you know, James, I'm wondering like, does what happened make you rethink the way
[00:10:32.040 --> 00:10:34.080]   that you use Facebook at all?
[00:10:34.080 --> 00:10:38.960]   Do you feel like are you thinking, you know, that you could move off to, you know, a separate
[00:10:38.960 --> 00:10:42.720]   site or I mean, it's you really kind of in a tough position, right?
[00:10:42.720 --> 00:10:45.160]   Because you're trading control for distribution.
[00:10:45.160 --> 00:10:46.160]   Yeah.
[00:10:46.160 --> 00:10:49.840]   And again, you know, it's like Leo, you know, Leo, you tried to get off Facebook once.
[00:10:49.840 --> 00:10:50.840]   You can't back.
[00:10:50.840 --> 00:10:51.840]   You can't.
[00:10:51.840 --> 00:10:52.840]   You're right.
[00:10:52.840 --> 00:10:53.840]   You can't pull it back.
[00:10:53.840 --> 00:10:55.040]   That's where people are living.
[00:10:55.040 --> 00:10:58.400]   It's this wall garden a oil 2.0 thing.
[00:10:58.400 --> 00:11:00.520]   And I have to reach them out there.
[00:11:00.520 --> 00:11:04.800]   Of course, we try and bring them to our sites, you know, the blog we do and all of that.
[00:11:04.800 --> 00:11:06.560]   But a lot of people will not go there.
[00:11:06.560 --> 00:11:08.640]   They just get the information by Facebook.
[00:11:08.640 --> 00:11:14.640]   And so I would pay, you know, I need some kind of consistency with this.
[00:11:14.640 --> 00:11:18.320]   So I know that the products are distributing the other thing that frustrates us, I guess,
[00:11:18.320 --> 00:11:20.600]   is the fact that I can't monetize this.
[00:11:20.600 --> 00:11:23.920]   You know, now if I start putting ad messages on here, yeah, that they will.
[00:11:23.920 --> 00:11:25.680]   Oh, yeah, sure they will.
[00:11:25.680 --> 00:11:26.680]   In a hard way.
[00:11:26.680 --> 00:11:27.680]   Well, you can.
[00:11:27.680 --> 00:11:29.880]   And I think that's our starting to use the Facebook reader.
[00:11:29.880 --> 00:11:33.400]   You have the Washington Post, the Wall Street Journal and the Guardian.
[00:11:33.400 --> 00:11:36.760]   And so there is a beginning of a model where your company could monetize.
[00:11:36.760 --> 00:11:40.480]   The other thing is that, you know, when my credit card company suddenly says there's
[00:11:40.480 --> 00:11:43.040]   suspicious activity in the one hand, it's inconvenient.
[00:11:43.040 --> 00:11:48.240]   It's a pain, but I'd far rather them do that if they're if in the end it's happened and
[00:11:48.240 --> 00:11:50.960]   they protect me and protect my identity.
[00:11:50.960 --> 00:11:53.880]   And that's part of what's going on here is is protecting identity.
[00:11:53.880 --> 00:11:54.880]   And I don't know why.
[00:11:54.880 --> 00:11:59.880]   I just got this email back from head of PR in the Washington office of Facebook.
[00:11:59.880 --> 00:12:03.920]   And this was obviously very last minute, but he contacted his ops team and he said that
[00:12:03.920 --> 00:12:07.680]   I can say that Facebook has confirmed this was an error and they apologize for any inconvenience.
[00:12:07.680 --> 00:12:08.680]   There you go.
[00:12:08.680 --> 00:12:09.680]   Okay.
[00:12:09.680 --> 00:12:10.680]   Well, there you go.
[00:12:10.680 --> 00:12:11.680]   That's fine.
[00:12:11.680 --> 00:12:14.040]   It really is about the larger issue, which we've talked about so many times in this show
[00:12:14.040 --> 00:12:18.040]   about having your own website that you control.
[00:12:18.040 --> 00:12:21.600]   And of course, we all agree that Gina and I have talked about this a lot that you have
[00:12:21.600 --> 00:12:22.800]   to do that.
[00:12:22.800 --> 00:12:24.320]   But you make the excellent point, James.
[00:12:24.320 --> 00:12:29.160]   When you're talking to normal people as opposed to our audience, which are geekier people,
[00:12:29.160 --> 00:12:33.520]   you talk to normal people who that's how they are on the net.
[00:12:33.520 --> 00:12:36.680]   They see Facebook as the as the internet.
[00:12:36.680 --> 00:12:37.680]   Yeah.
[00:12:37.680 --> 00:12:40.480]   And I can't reach them with the traditional television method.
[00:12:40.480 --> 00:12:44.720]   And having said that, you know, obviously during tornado outbreaks, television is still
[00:12:44.720 --> 00:12:46.560]   a primary distribution method.
[00:12:46.560 --> 00:12:48.320]   The numbers are huge.
[00:12:48.320 --> 00:12:54.080]   But on the day of April 27th last year on Ustream, we had 70,000 concurrent live streams
[00:12:54.080 --> 00:12:58.720]   in the Facebook and the Twitter usage, I think, was critical.
[00:12:58.720 --> 00:13:03.440]   I will tell you right now, there are people that are walking around in Tuscaloosa, Alabama.
[00:13:03.440 --> 00:13:08.300]   And that was one of the many towns hit so hard that day because these people got the
[00:13:08.300 --> 00:13:11.000]   tornado warning via Facebook or Twitter.
[00:13:11.000 --> 00:13:13.000]   We didn't have a Google+ back then.
[00:13:13.000 --> 00:13:15.240]   It is a critical platform for us.
[00:13:15.240 --> 00:13:20.280]   And I'm hoping that our friends within these companies understand the critical nature of
[00:13:20.280 --> 00:13:21.280]   that.
[00:13:21.280 --> 00:13:24.920]   And I guess the only thing I was looking for was a warning.
[00:13:24.920 --> 00:13:28.360]   But if it was a mistake, I feel better that Jeff found out.
[00:13:28.360 --> 00:13:30.160]   So that's a nice thing about being on this show.
[00:13:30.160 --> 00:13:31.880]   You got important people that find out things.
[00:13:31.880 --> 00:13:32.880]   I had no clue.
[00:13:32.880 --> 00:13:34.480]   I mean, I had no clue.
[00:13:34.480 --> 00:13:35.480]   Jeff has the context.
[00:13:35.480 --> 00:13:38.080]   So thank you for pursuing that, Jeff.
[00:13:38.080 --> 00:13:40.200]   And thank you, James, for joining us.
[00:13:40.200 --> 00:13:46.080]   James is on Twitter, SPA and N. And of course, it's James SPA and N on Facebook.
[00:13:46.080 --> 00:13:48.760]   And it is up now, 100,000 people.
[00:13:48.760 --> 00:13:52.400]   You get 100,000 in one because I just liked it, like it.
[00:13:52.400 --> 00:13:56.360]   And it is, if you're in the Birmingham or the Alabama area, certainly something you'll
[00:13:56.360 --> 00:13:57.360]   want to use.
[00:13:57.360 --> 00:14:03.680]   I just wish there were some sort of way to do this that we're guaranteed to be up.
[00:14:03.680 --> 00:14:05.880]   But there isn't.
[00:14:05.880 --> 00:14:08.080]   That's kind of the nature of the internet.
[00:14:08.080 --> 00:14:09.080]   Thank you, James.
[00:14:09.080 --> 00:14:10.080]   Hey, thanks, guys.
[00:14:10.080 --> 00:14:11.720]   I got to go do some local television across the hall.
[00:14:11.720 --> 00:14:12.720]   You'll have a great day.
[00:14:12.720 --> 00:14:13.720]   My privilege to be here.
[00:14:13.720 --> 00:14:14.720]   Thanks, James.
[00:14:14.720 --> 00:14:19.000]   The old fashioned way.
[00:14:19.000 --> 00:14:20.240]   I do TV the old fashioned way.
[00:14:20.240 --> 00:14:21.240]   It was cameras.
[00:14:21.240 --> 00:14:22.240]   Expedibly.
[00:14:22.240 --> 00:14:23.240]   Yeah, really.
[00:14:23.240 --> 00:14:24.240]   Yeah.
[00:14:24.240 --> 00:14:25.240]   Thank you, James.
[00:14:25.240 --> 00:14:27.600]   Thank you, Jeff, for pursuing that.
[00:14:27.600 --> 00:14:30.680]   And I mean, that's I think that's what we thought had happened.
[00:14:30.680 --> 00:14:32.080]   That something went wrong.
[00:14:32.080 --> 00:14:37.640]   And there was some issue about verification and they said, oh, well, we can, you know,
[00:14:37.640 --> 00:14:38.720]   send us your driver's license.
[00:14:38.720 --> 00:14:41.360]   But this is a problem with Google with all these companies.
[00:14:41.360 --> 00:14:46.640]   Now, they're so big when you have 800 million users, how do you, how do you do support?
[00:14:46.640 --> 00:14:47.640]   You can't.
[00:14:47.640 --> 00:14:48.640]   Yeah.
[00:14:48.640 --> 00:14:53.960]   James podcast is at weatherbrains.com, by the way, and I forgot to mention the official
[00:14:53.960 --> 00:14:55.520]   net cast for people who love weather.
[00:14:55.520 --> 00:14:56.520]   There it is.
[00:14:56.520 --> 00:14:57.520]   Weatherbrains.com.
[00:14:57.520 --> 00:15:02.560]   And they've done more of those than we have done of quick, 332 weather episodes.
[00:15:02.560 --> 00:15:04.280]   It's actually really always weather.
[00:15:04.280 --> 00:15:05.920]   It's a really good podcast.
[00:15:05.920 --> 00:15:08.000]   I really enjoy it.
[00:15:08.000 --> 00:15:13.920]   All right, let's move on to more news from the world of Google.
[00:15:13.920 --> 00:15:15.320]   From the cloud to the cloud.
[00:15:15.320 --> 00:15:16.320]   Yeah.
[00:15:16.320 --> 00:15:17.320]   Can I show you my new phone?
[00:15:17.320 --> 00:15:18.320]   Oh, please.
[00:15:18.320 --> 00:15:19.320]   Yeah.
[00:15:19.320 --> 00:15:20.320]   What if we said no, Leo?
[00:15:20.320 --> 00:15:22.280]   What if we said we don't want to see it?
[00:15:22.280 --> 00:15:23.760]   No, we don't want to go home.
[00:15:23.760 --> 00:15:24.760]   Just another Android.
[00:15:24.760 --> 00:15:26.200]   Yes, please show it to us.
[00:15:26.200 --> 00:15:28.720]   Well, we didn't, you know, it's funny when they did the announcement.
[00:15:28.720 --> 00:15:32.120]   We debated whether we should cover the announcement live as we would do, certainly with an iPhone
[00:15:32.120 --> 00:15:33.120]   announcement.
[00:15:33.120 --> 00:15:35.120]   And that's the problem with Android.
[00:15:35.120 --> 00:15:39.880]   Yes, this is going to be a big deal, but is there are there's a new Android handset every
[00:15:39.880 --> 00:15:44.720]   week and the HTC one, which is fantastic, the Galaxy Note, which I have been using for
[00:15:44.720 --> 00:15:45.760]   a long time.
[00:15:45.760 --> 00:15:48.800]   My favorite on before the note was the Galaxy S2.
[00:15:48.800 --> 00:15:52.840]   A lot of attention when Samsung announced that they were going to do a Galaxy S3.
[00:15:52.840 --> 00:15:54.480]   I ordered and I did this.
[00:15:54.480 --> 00:15:56.000]   I've done this before.
[00:15:56.000 --> 00:16:00.200]   If you want it is now, we know going to be available on all four major carriers in the
[00:16:00.200 --> 00:16:07.320]   Galaxy S4 Ryzen, AT&T, Sprint and T-Mobile, that it will be available June 21st on some
[00:16:07.320 --> 00:16:08.320]   of them.
[00:16:08.320 --> 00:16:13.000]   Verizon won't have it until July, but you know, as always, you can order an unlocked European
[00:16:13.000 --> 00:16:17.240]   version if you're willing to spend the unlocked price, which in this case was $650.
[00:16:17.240 --> 00:16:19.720]   And it won't go to full speed here, right?
[00:16:19.720 --> 00:16:20.960]   It will on AT&T.
[00:16:20.960 --> 00:16:22.920]   It's not LTE, but it will go.
[00:16:22.920 --> 00:16:25.960]   Let me, let me go back here.
