;FFMETADATA1
title=Flying Cellphones
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=326
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.620]   It's time for Twig this week in Google. Oh, I'm so excited Jeff Jarvis has the day off
[00:01:49.880 --> 00:01:55.900]   It's time for this week in Google to show we cover the latest not just from Google
[00:01:55.900 --> 00:01:59.360]   But from the Google verse from the cloud from Facebook from Twitter
[00:01:59.360 --> 00:02:06.880]   And look who lo and behold Jeff Jarvis has the day off, but we decided to bring in a ringer Gina Trippani is here
[00:02:06.880 --> 00:02:14.400]   Founding editor of life hacker. She's now at think up calm and where she does make your base as well Gina
[00:02:14.400 --> 00:02:17.720]   Hi Gina
[00:02:17.720 --> 00:02:21.160]   Good to see you getting ready for winner number two in New York
[00:02:21.160 --> 00:02:25.760]   This one's gonna be better Leo. This is what I'm telling myself. Good be any worse
[00:02:25.760 --> 00:02:30.880]   It's gonna be better a little more used to it a little more prepared. I'm ready. I'm stealing myself
[00:02:30.880 --> 00:02:35.160]   Holy cow
[00:02:35.160 --> 00:02:37.880]   And I'm thrilled we had him in the chatroom
[00:02:37.880 --> 00:02:43.400]   I think a couple of weeks ago, and I said is that is that Chris Michael get him on the show Chris Michael drove up
[00:02:43.400 --> 00:02:47.720]   He is now a venture capitalist an angel investor with nautilus ventures
[00:02:47.720 --> 00:02:52.920]   A photographer in fact I see you brought a pretty nice camera a couple of pretty nice cameras along with you
[00:02:52.920 --> 00:02:59.720]   But it's really appropriate that you're here on Veterans Day because we met because you founded military.com a website very early website
[00:02:59.720 --> 00:03:04.600]   For the military we used to talk to you all the time on the news on the old screen savers loved it
[00:03:04.600 --> 00:03:10.800]   Yeah, 1999 did you sell it? I did to monster to monster remember that company. Are they still running it?
[00:03:10.880 --> 00:03:14.000]   They are still around good 16 years. That's great
[00:03:14.000 --> 00:03:17.980]   And of course you were in the military yourself. Tell us about your service
[00:03:17.980 --> 00:03:22.440]   I flew p3 Orion sub hunters as an avigator and mission commander
[00:03:22.440 --> 00:03:28.000]   Cool seven years loved it worked in the Pentagon and we'll want to have to in the Navy the Air Force Navy you were naval aviator
[00:03:28.000 --> 00:03:31.320]   I naval flight officer flight up like goose in Maverick except. Yeah
[00:03:31.320 --> 00:03:35.560]   Anyway, it's really great to have Chris here
[00:03:35.560 --> 00:03:37.840]   We were just looking a little bit at the veterans the little tiny
[00:03:37.840 --> 00:03:44.280]   But I think still pretty moving veterans day parade we have near betaluma and we get the vets from you know going all the way back to
[00:03:44.280 --> 00:03:47.200]   WW2 and you have a lot of Coast Guard here
[00:03:47.200 --> 00:03:51.160]   I saw a lot of coast because there's a coast guard space nearby and so we get a lot of coasties and it's fun
[00:03:51.160 --> 00:03:55.040]   It's really it's a nice time of year and it's a great parade
[00:03:55.040 --> 00:03:59.040]   But I think it's also I'm really thrilled that we can have you here to to
[00:03:59.040 --> 00:04:06.120]   Remember the men and women who served in the armed forces the United States. I'm psyched you bigger. I love this office. It's amazing. Is it great?
[00:04:06.120 --> 00:04:11.120]   Yeah, it's incredible. Nice. I'm so excited to be here with Gina. I've been a fanboy forever. So she's the great
[00:04:11.120 --> 00:04:13.360]   She's the greatest. She's the great. That's why I'm actually here
[00:04:13.360 --> 00:04:20.240]   Just as we begin where should people go if they want to see your photography because Chris is doing such great stuff
[00:04:20.240 --> 00:04:25.120]   Portraiture primarily although I mean your travel photos are amazing too
[00:04:25.120 --> 00:04:29.320]   So I just did a piece for outside magazine on the North Pole, which was pretty interesting
[00:04:29.320 --> 00:04:31.280]   But if you go to my name Christopher Michael
[00:04:31.280 --> 00:04:37.760]   My chgl comm you can see some of the photos or I post them on Twitter and yeah, I follow you on Instagram
[00:04:37.760 --> 00:04:42.320]   I see a lot of stuff on Instagram great portraiture. Yeah, that was my net geo picture
[00:04:42.320 --> 00:04:50.400]   That's the penguin jumping out of the water kind of near the the South Pole and that's a classic huh and
[00:04:50.400 --> 00:04:58.720]   By the way is that you in a flight suit there? Are you is that you in a you two it is? Yeah, that's that's
[00:04:58.720 --> 00:05:03.420]   That ass photo. Yeah, I'm basically like an astronaut
[00:05:03.420 --> 00:05:13.920]   You do do great astronaut pictures. Thank you. Yeah, I think you were you into photography back in the military calm days or is it just a little bit but
[00:05:13.920 --> 00:05:20.520]   After my second company said what is it? I really want to do and it's all stories with photos and it's really fun
[00:05:20.520 --> 00:05:24.280]   Isn't there's a problem with the you two flight though is it was a one-off thing
[00:05:24.280 --> 00:05:26.760]   So after my week of training and my flight up to the edge of space
[00:05:26.760 --> 00:05:32.400]   I realized that that might have been the greatest moment of my life and it was all downhill rat you know how buzz Aldrin felt
[00:05:32.400 --> 00:05:37.200]   It's tricky. That's it, baby. You're done now. Oh
[00:05:37.200 --> 00:05:42.480]   That is that is pretty cool. That's how it looks a little afraid though. I'm a little worried for you
[00:05:42.480 --> 00:05:49.600]   The space suit helps a lot makes everyone look epic. Yeah, you could probably get your ride. What yeah, really? Yeah, maybe I
[00:05:49.600 --> 00:05:53.860]   You know, we've had really possibly have a fan as a YouTube pilot. He was here
[00:05:53.860 --> 00:05:59.100]   We were talking that is a very tough assignment. You spend how long in that plane when you're on well
[00:05:59.100 --> 00:06:06.120]   They can spend like ten hours and it is and they're alone physically demanding. Yeah, cuz you're you're practically at the edge of the atmosphere
[00:06:06.120 --> 00:06:10.480]   This is me doing weightless training at the at Star City in Moscow
[00:06:10.480 --> 00:06:16.600]   So I went and did a shoot for Yahoo around one of the launches and I got to do some fun space training was pretty fun
[00:06:16.600 --> 00:06:18.860]   You're getting to live the the dream now
[00:06:18.860 --> 00:06:19.780]   Well, it's interesting
[00:06:19.780 --> 00:06:24.880]   You know, is it about the pictures or the experiences the camera brings you and sometimes it's about the experiences, you know
[00:06:24.880 --> 00:06:29.000]   And the photos are a byproduct. Yeah, I just use it as excuse to travel first
[00:06:29.000 --> 00:06:33.780]   If I were this good, I might take more may take it more seriously
[00:06:33.780 --> 00:06:39.720]   I'm usually taking more from all these interesting people here. Yeah, you know, that's one of the things you've been doing which I love is taking
[00:06:39.720 --> 00:06:42.720]   beautiful black and white portraits of
[00:06:42.720 --> 00:06:44.480]   startups
[00:06:44.480 --> 00:06:50.320]   Startup founders in San Francisco. You kind of hang out at a blue bottle and just and just wait a little little
[00:06:50.320 --> 00:06:51.340]   Well, it's funny
[00:06:51.340 --> 00:06:56.320]   I go to board meetings and I'm the only person that in the heat of the moment of the most difficult like conversation
[00:06:56.320 --> 00:06:58.200]   I pull out my camera and take a few photos
[00:06:58.200 --> 00:07:00.600]   But you know the funny thing is we don't remember well
[00:07:00.600 --> 00:07:05.840]   We don't also don't remember those conversations because they go pie and right ten years later. What do you remember? Maybe somebody took a photo?
[00:07:05.840 --> 00:07:07.360]   Yeah
[00:07:07.360 --> 00:07:09.360]   Really awesome. What's your preferred distribution?
[00:07:10.440 --> 00:07:14.720]   Method for your photos. This is your personal site that Leo's looking at. Yeah, it's my personal site
[00:07:14.720 --> 00:07:21.480]   So I mean I use I have a blog explorers calm and I tweet stuff. I put stuff up on smug mug flicker
[00:07:21.480 --> 00:07:25.560]   I'm liking the new Google photos. Really? Oh, yeah
[00:07:25.560 --> 00:07:30.360]   It's a you know, Bradley Horowitz was at the lobby and we've been talking for a long time
[00:07:30.360 --> 00:07:35.080]   So I had like I don't know 1.8 million people following me on Google+ and it just wasn't working
[00:07:35.080 --> 00:07:38.280]   You know, you'd post a photo and you get all these people comment
[00:07:38.280 --> 00:07:43.080]   You didn't know them and I just knew there was a problem and you know, that's not Google's strength is social
[00:07:43.080 --> 00:07:47.100]   There's strength is sort of utility. So I think there is a bigger opportunity
[00:07:47.100 --> 00:07:51.680]   But honestly, I'm generally worried about all of our digital photos because you know if
[00:07:51.680 --> 00:07:57.760]   Flicker or Microsoft or even Google decides they don't want to give you that storage or something happens to these companies
[00:07:57.760 --> 00:08:03.080]   That would never happen. Why would somebody like Microsoft just turn off your storage? Well, you can count on them forever
[00:08:03.080 --> 00:08:07.880]   But I mean we could lose the photos, you know, it's a problem
[00:08:07.920 --> 00:08:13.280]   That's why I store them on all I do I use I use drop bucks. Yeah one drive Google photos
[00:08:13.280 --> 00:08:16.660]   Flicker and Amazon has a free upload service, too
[00:08:16.660 --> 00:08:21.080]   So I put them on all of my figure they're not gonna all go it's not bad at the same time. I have an opportunity
[00:08:21.080 --> 00:08:26.260]   Yeah, you're probably right. I probably once you do a book, you know blur book print a book print a book
[00:08:26.260 --> 00:08:30.000]   That's probably the safest way that's gonna last especially if they use good paper, right?
[00:08:30.000 --> 00:08:34.880]   And you keep it and you store it well, it's kind of funny through all this technology what we're trying to do on this paper
[00:08:34.880 --> 00:08:38.280]   Oh, this is one of my I love this picture here. Oh, that was from
[00:08:38.280 --> 00:08:43.680]   These are we these are amazing. Yeah, I saw this in your Instagram Wow
[00:08:43.680 --> 00:08:47.120]   Yeah, I just want to set my Chromecast background to your photo
[00:08:47.120 --> 00:08:49.680]   I agree
[00:08:49.680 --> 00:08:52.960]   Gosh, these are really gorgeous
[00:08:52.960 --> 00:08:58.280]   Well, I hope both of you are taking a lot of photos because you know you meet all these interesting people and there's an opportunity
[00:08:58.280 --> 00:09:00.280]   We should meet Gina
[00:09:00.280 --> 00:09:02.920]   Yeah, it's true. Yeah, some stories. Yeah. Yeah, yeah
[00:09:03.880 --> 00:09:11.120]   Speaking of Google plus Vic Gundro tris found a job. Thank goodness. He's gainfully employed once again
[00:09:11.120 --> 00:09:15.400]   Remember Vic was the guy who pretty much put Google plus on the map
[00:09:15.400 --> 00:09:21.080]   Tells me his job search wasn't too onerous for him. I wasn't really looking
[00:09:21.080 --> 00:09:26.940]   But along comes a very interesting startup that allows you to do an E
[00:09:26.940 --> 00:09:32.000]   EKG on your smartphone and
[00:09:32.920 --> 00:09:36.600]   He's now the as of today the CEO
[00:09:36.600 --> 00:09:39.840]   But you I think you're exactly right
[00:09:39.840 --> 00:09:47.040]   He probably didn't need the job in fact if you look at this picture of Vic from recode it looks like he's on the beach
[00:09:47.040 --> 00:09:55.200]   By the way, I'm sorry if you're helicopters and planes going over the veterans days. There's some really cool sunglasses. He has yeah
[00:09:55.200 --> 00:09:57.400]   Yeah, I think there's Chanel. Yeah
[00:09:57.400 --> 00:10:00.920]   Vic has joined a live core
[00:10:01.920 --> 00:10:03.920]   And this is one of the few
[00:10:03.920 --> 00:10:10.000]   Devices that has gone through the expense and trouble of FDA approval
[00:10:10.000 --> 00:10:15.280]   So it can do a full ECG. I always call the EKG
[00:10:15.280 --> 00:10:19.960]   I'm not sure if there's a difference that you get you get these
[00:10:19.960 --> 00:10:23.600]   Which I I gather you probably put on your chest
[00:10:23.600 --> 00:10:26.440]   and EKG requires
[00:10:26.440 --> 00:10:31.320]   More than two electrodes, but maybe this is enough for them to do what they do kind of jumpstart you
[00:10:31.320 --> 00:10:35.880]   It looks like paddles. It does look it does look like it might be a defibrillator as well
[00:10:35.880 --> 00:10:40.520]   That's that's what you want to happen in the board meetings. Well, I just different rate myself
[00:10:40.520 --> 00:10:42.520]   Yeah, who do you give the control to?
[00:10:42.520 --> 00:10:49.680]   He said, you know, he was seven people don't remember he's 15 years at Microsoft then seven years at Google
[00:10:49.680 --> 00:10:57.000]   The story goes he he just badgered Larry Page until Larry said all right all right. We'll do social
[00:10:57.000 --> 00:11:04.200]   Google plus and then once Larry kind of moved upstairs to alphabet there was actually even before then once Larry kind of
[00:11:04.200 --> 00:11:07.160]   With through his patreon she was not much more for fit to do and he left
[00:11:07.160 --> 00:11:11.800]   In April of 2014 apparently Veenaut Koshla
[00:11:11.800 --> 00:11:14.080]   persuaded him
[00:11:14.080 --> 00:11:19.160]   to join the the team he would notice a well-known VC and
[00:11:19.160 --> 00:11:24.720]   He he has a stake in a life core a live core
[00:11:25.640 --> 00:11:27.160]   He's a CEO
[00:11:27.160 --> 00:11:33.040]   Bix the new CEO. Yeah. Yeah. Yes, you say probably not too on our so-good job search. Yeah
[00:11:33.040 --> 00:11:36.920]   On yes wandering around looking for things to do
[00:11:36.920 --> 00:11:43.120]   I get the new iPad pro we were talking about this before the show. I guess I should show this I haven't done
[00:11:43.120 --> 00:11:45.660]   I just got it this morning Apple put it on sale at
[00:11:45.660 --> 00:11:48.760]   Shortly after midnight this morning Pacific time
[00:11:48.760 --> 00:11:53.640]   And you know what gang it's a giant iPad
[00:11:54.320 --> 00:12:00.360]   That's what it is now. I've attached it to this is interesting Apple selling the keyboard that they mentioned
[00:12:00.360 --> 00:12:07.320]   When they did the the reveal but I decided not to get the Apple keyboard. It was a hundred sixty nine dollars
[00:12:07.320 --> 00:12:15.320]   And Apple's also selling at the same time the Logitech creative keyboard for 20 bucks
[00:12:15.320 --> 00:12:19.160]   Has Logitech branding on it. Yeah, it's well
[00:12:19.160 --> 00:12:25.880]   It's a lot it's not an Apple product but Apple selling it at the Apple stores 20 bucks less and unlike the let me unlock this here
[00:12:25.880 --> 00:12:27.360]   unlike the
[00:12:27.360 --> 00:12:32.740]   Which finger did I I've just been setting this up unlike the Apple keyboard it has dedicated keys?
[00:12:32.740 --> 00:12:40.000]   for the iPad which is oddly something there's the lock key it's oddly something that the
[00:12:40.000 --> 00:12:44.800]   The Apple keyboard itself does not have this finger
[00:12:45.600 --> 00:12:50.360]   This has a lot of built-in keys just go to home screens search switch tab
[00:12:50.360 --> 00:12:59.200]   It's enormous. It is a giant. Yeah, let's talk about the iPad enough about the keyboard actually when you so you were smart because you brought a
[00:12:59.200 --> 00:13:05.120]   Nice small Mac book along with you Christopher you could fit like three of those inside of that one
[00:13:05.120 --> 00:13:10.680]   Maybe it could be a carrying case for the Mac for a little more expensive not much
[00:13:10.680 --> 00:13:15.400]   I bet it's not no actually this was nine hundred forty nine dollars for the one hundred twenty eight gig
[00:13:16.000 --> 00:13:17.840]   plus
[00:13:17.840 --> 00:13:19.840]   150 for the keyboard
[00:13:19.840 --> 00:13:24.280]   So roughly it's maybe a hundred bucks less than than the starting
[00:13:24.280 --> 00:13:28.320]   I mean, it's a cool device if you can forgive them for the charging port. It's heavy
[00:13:28.320 --> 00:13:33.960]   Much heavier than the Mac book and Apple's really trying to sell the new iPad
[00:13:33.960 --> 00:13:38.360]   Pro as a replacement for laptops Tim Cook told the telegraph
[00:13:38.360 --> 00:13:43.480]   Earlier this week. Oh, you don't you don't need a laptop anymore. You've got this
[00:13:43.480 --> 00:13:48.560]   I do everything on my Apple watch. I mean, it's basically a desktop replacement. Of course
[00:13:48.560 --> 00:13:50.380]   I just I have a Bluetooth keyboard for my
[00:13:50.380 --> 00:13:56.520]   I don't I don't I don't know really the reviews. They started to coming out last night
[00:13:56.520 --> 00:14:02.200]   Most people including Walt Mossberg and others said hey it's neat technology, but no it can't replace a laptop
[00:14:02.200 --> 00:14:08.360]   It's just a giant iPad Microsoft though. We were talking to windows weekly earlier today
[00:14:09.600 --> 00:14:14.360]   The whole office is on here. So obviously Microsoft thinks this is an opportunity or
[00:14:14.360 --> 00:14:17.640]   Somebody a Microsoft can use it as a phone
[00:14:17.640 --> 00:14:20.480]   No
[00:14:20.480 --> 00:14:27.000]   Please people people I beg of you do not take this to concerts. Yeah as a camera
[00:14:27.000 --> 00:14:33.320]   It's the I don't want to see people. Oh, that's great. Look at that. Look at that shot. That's terrible
[00:14:33.320 --> 00:14:35.320]   I don't want to see people doing that
[00:14:35.440 --> 00:14:41.600]   The thing that was most intriguing to me about the pro is the pen which isn't out yet. Yeah, that's also another thing
[00:14:41.600 --> 00:14:47.000]   Thank you Apple. You've been the pen is of course the most interesting part of this won't be out for a month
[00:14:47.000 --> 00:14:54.800]   A month so December December 7th they said a day that will live in infamy
[00:14:54.800 --> 00:15:04.080]   So I mean it feels like this is this like other this like light computing kind of category like where the surface it is and maybe even the chrome book
[00:15:05.000 --> 00:15:09.080]   This idea that there's like a cell be kind of a laptop, but not really
[00:15:09.080 --> 00:15:17.160]   That's a great. Yeah, I don't know. It's a high see I think if Apple was smart with
[00:15:17.160 --> 00:15:20.720]   I think if Apple was
[00:15:20.720 --> 00:15:23.080]   If Apple was skills man
[00:15:23.080 --> 00:15:29.720]   If Apple was smart, that's what they would say is this is a unique category because otherwise what happens is people go
[00:15:29.720 --> 00:15:36.400]   Well, wait a minute. How is this different from the surface pro and I think the surface pro is better because it's a full operating system
[00:15:36.400 --> 00:15:42.800]   I just I feel like this is not this is an interesting product, but I
[00:15:42.800 --> 00:15:46.200]   Know it remains to be seen whether it's gonna be
[00:15:46.200 --> 00:15:53.680]   Reinvent the world and and that's what Apple should be saying is this is a unique product not it's gonna replace your life
[00:15:53.680 --> 00:15:59.000]   I'm thumbs down right right. You haven't even held I don't need to handle it. I've seen everything I need to see
[00:15:59.840 --> 00:16:01.840]   It's a great photo
[00:16:01.840 --> 00:16:10.040]   Can you window apps can you run app side by side on yeah, you can affect let me let me let me let me do that so
[00:16:10.040 --> 00:16:16.360]   Pro only or is that for it's iOS 9 can do it on on even on your on your phone
[00:16:16.360 --> 00:16:21.880]   I don't know if you'd really want to on a small screen, but let me see you could slide this over see I
[00:16:21.880 --> 00:16:24.400]   said
[00:16:25.240 --> 00:16:31.520]   There is a long way to go and for some reason I have no idea why I'm seeing unplayed episodes of
[00:16:31.520 --> 00:16:34.760]   Twit on here, but apparently that's what Apple thinks I want to do
[00:16:34.760 --> 00:16:39.520]   And then you can I think you can change that's the greatest photo of all time
[00:16:39.520 --> 00:16:47.240]   I'm not an expert on this so but yeah, the idea is you could you can't have half and half somehow
[00:16:47.240 --> 00:16:52.160]   I don't I haven't I just got it. So I don't I don't really know. That's the notification bar
[00:16:52.160 --> 00:16:58.000]   This is all the second you're gonna cut me out of your Facebook profile picture. I know that's just another photo. No, that's just another photo
[00:16:58.000 --> 00:17:08.440]   It is a beautiful scram a resolution wise it's a gorgeous high res screen, but you know I we shouldn't knock anybody who
[00:17:08.440 --> 00:17:15.520]   Wants to innovate in this space, right? I mean why not that's great. Let me look okay
[00:17:15.520 --> 00:17:18.600]   I'll tell you what I'll open I've got inbox open now
[00:17:18.600 --> 00:17:23.200]   If I look can I slide that we expect a little more from Apple though seems a bit linear
[00:17:23.200 --> 00:17:26.680]   Just harder
[00:17:26.680 --> 00:17:30.400]   harder yeah, I don't know I
[00:17:30.400 --> 00:17:35.040]   I'm doing something wrong. This is not a review right
[00:17:35.040 --> 00:17:39.880]   This is just I got it. I haven't had a chance to play with it
[00:17:39.880 --> 00:17:44.900]   I do have to say this key if you're gonna get a case a keyboard. I guess this is a good idea
[00:17:45.400 --> 00:17:51.880]   Although it makes the thing damn bulky and very heavy and it keeps turning my
[00:17:51.880 --> 00:18:01.640]   Dollars down the tubes I
[00:18:01.640 --> 00:18:10.920]   Will I will learn and I will show at a later date. I haven't had a chance to do to do anything
[00:18:10.920 --> 00:18:13.680]   with that
[00:18:14.280 --> 00:18:19.760]   Google has acquired a new company called fly labs speaking of Google photos
[00:18:19.760 --> 00:18:24.520]   This is actually in fact. I have this on the iPad a really nice little video editor
[00:18:24.520 --> 00:18:27.440]   That's very easy
[00:18:27.440 --> 00:18:30.320]   That's really loud isn't it
[00:18:30.320 --> 00:18:42.440]   Staff members you can still buy you're actually download fly
[00:18:43.560 --> 00:18:52.080]   It's really kind of a cool editing app that lets you very simply create multi camera edits you can have picture in picture you can have
[00:18:52.080 --> 00:18:58.400]   Sorry inspiration videos not available. Okay. There's flaw number one
[00:18:58.400 --> 00:19:02.600]   Because of the acquisition I think fly labs is starting to take assets offline
[00:19:02.600 --> 00:19:06.560]   So if you want to get the fly labs at you might want to quickly get it
[00:19:06.560 --> 00:19:11.840]   All the plugins are free for the time being the clips video editor the tempo video editor and crops on the fly
[00:19:11.880 --> 00:19:15.400]   Those three add ins used to be paid add ins
[00:19:15.400 --> 00:19:20.600]   But it's a nice little video editor. It's interesting that they acquired this. I would imagine
[00:19:20.600 --> 00:19:23.760]   What that they will
[00:19:23.760 --> 00:19:30.200]   They say that they're gonna continue to make these apps available all for iOS for the next three months
[00:19:30.200 --> 00:19:33.560]   And you'll be able to continue to use them, but there won't be any more updates
[00:19:33.560 --> 00:19:39.200]   I'm impressed by the app. I had never heard of it until I till Google announced that they had a question though
[00:19:39.200 --> 00:19:44.000]   Are they gonna port over the features that they just want the team? That's always the question
[00:19:44.000 --> 00:19:51.920]   The team is good I would love to see Google does Google have any video editing shops?
[00:19:51.920 --> 00:19:56.480]   No, they got they have pretty good photo editing capabilities built into Google photos
[00:19:56.480 --> 00:20:00.520]   So it wouldn't this be smart to have a nice clean simple video editor
[00:20:00.520 --> 00:20:03.920]   Seems like it especially one that could take stills and videos
[00:20:04.560 --> 00:20:08.080]   Mix them you can add music to it and all of that
[00:20:08.080 --> 00:20:13.200]   So three more months if if you want to get it. It's a iOS product. I think it's great
[00:20:13.200 --> 00:20:19.280]   And I think it makes sense for Google photos to have a video editor. So I hope they keep the product alive
[00:20:19.280 --> 00:20:25.680]   Let's see are you using Google photos
[00:20:25.680 --> 00:20:26.920]   Yeah, I love it
[00:20:26.920 --> 00:20:30.840]   I'm actually surprised to hear you that you use it because I don't see it as a pro product
[00:20:30.840 --> 00:20:34.400]   I see it is very consumer focused product. Well, I'm back to your point
[00:20:34.400 --> 00:20:38.640]   I mean I I want to have like a multi-modal backup system because I'm worried about everything
[00:20:38.640 --> 00:20:41.680]   So this thing just operates in the background and right now I'm fine
[00:20:41.680 --> 00:20:43.960]   I mean I have I don't know a million photographs
[00:20:43.960 --> 00:20:46.920]   It's taking forever to get up there, which is one of their problems
[00:20:46.920 --> 00:20:51.560]   But one of the great things is they're doing a lot of sort of image analysis. So I can I do love that
[00:20:51.560 --> 00:20:53.360]   Yeah, so I can sort I can find your photos
[00:20:53.360 --> 00:20:57.240]   I can look back and you know you could see where this is going this this is playing to their strength
[00:20:57.240 --> 00:21:02.440]   So I think they will probably be the best online catalog available and you know, it's just it's free
[00:21:02.440 --> 00:21:09.320]   I don't I don't I don't send them up to you. You don't do the high-res so you do the free you have unlimited free
[00:21:09.320 --> 00:21:11.800]   low res images, right
[00:21:11.800 --> 00:21:18.560]   And it'll cost me a lot to do the high-res. Yeah, I'm using smug mug, which I love so which costs you 140 bucks a year
[00:21:18.560 --> 00:21:21.080]   So I'm like that's incredible. I love smug mug - I
[00:21:21.080 --> 00:21:25.400]   But smug mug doesn't have any of his back-end stuff and that is really
[00:21:26.440 --> 00:21:31.800]   Intense interesting to be able to tie them together and that you know that would actually be possible for a third party to do that
[00:21:31.800 --> 00:21:37.280]   Which is you know you do all the analysis on Google and then it finds you the most appropriate
[00:21:37.280 --> 00:21:40.200]   Right file right
[00:21:40.200 --> 00:21:46.280]   Yeah, but I think the categorization is interesting. You know what would be really great is
[00:21:46.280 --> 00:21:53.800]   If you could keep the raw original photos on a hard drive and somehow have them be linked to the Google online
[00:21:54.640 --> 00:21:58.000]   Thumb name and treat that as a way to find
[00:21:58.000 --> 00:22:03.880]   You're on the big idea the big idea is they're the catalog and it points to the original file wherever it is
[00:22:03.880 --> 00:22:08.000]   Right exactly it tells you it's also on Flickr or somebody else's mug mug
[00:22:08.000 --> 00:22:14.680]   Yeah, or anyone else who's picked it up it could even do that couldn't say hey by the way, you know that that picture is being stolen
[00:22:14.680 --> 00:22:20.800]   Or it's being used under creative comments, right? Yeah. Yeah, I use that on Flickr. Yeah. Yeah
[00:22:20.800 --> 00:22:24.080]   Creative comments I do
[00:22:24.080 --> 00:22:28.160]   Wow, wow, that's that's because you don't have to make a living. I don't
[00:22:28.160 --> 00:22:33.920]   You know I have this debate all the time with professional photographers
[00:22:33.920 --> 00:22:39.720]   Which you know a lot of pros hate the idea that if they put an image on the internet they lose control of it forever and
[00:22:39.720 --> 00:22:45.880]   They said but no, I mean this is how I make this is my product is how I make a living and I'm of the opinion that
[00:22:45.880 --> 00:22:48.760]   Whether you're a musician or a photographer or a writer
[00:22:48.760 --> 00:22:55.240]   It's not a bad thing to put your stuff out there. You have to find a way to monetize and some people still pay for a lot of the images
[00:22:55.240 --> 00:22:58.960]   But I could available and you know the main reason I make it available is for Wikipedia
[00:22:58.960 --> 00:23:01.320]   So my photos are many many of the Wikipedia pages
[00:23:01.320 --> 00:23:05.240]   Yeah
[00:23:05.240 --> 00:23:09.240]   And people get in touch with me and they say they want the original image or whatever and then that there's an opportunity there
[00:23:09.240 --> 00:23:13.880]   But I make stuff pretty available and don't freak out about you don't worry about it. No, yeah
[00:23:14.240 --> 00:23:19.240]   Trade is a citre rec lift is the same thing. I feel good about it more people use the photo. The better makes me feel yeah
[00:23:19.240 --> 00:23:24.880]   Gee know you've always been all about that. You don't hold hold back stuff
[00:23:24.880 --> 00:23:28.000]   Yeah, I mean, you know, but I'm go both ways
[00:23:28.000 --> 00:23:30.360]   I mean I thought about it mostly in terms of writing
[00:23:30.360 --> 00:23:35.480]   You know I've been approached by lots of websites that asked me to contribute and you know get paid in distribution
[00:23:35.480 --> 00:23:39.960]   You know that's a battle that that rages on I think people should get paid for that work
[00:23:39.960 --> 00:23:46.200]   But I also believe that you know it also makes me feel good when I have the chance to to you know reach people that I might not have
[00:23:46.200 --> 00:23:47.360]   reached otherwise
[00:23:47.360 --> 00:23:52.440]   So it's it's tricky business, but I tend to err on the side of generosity generosity
[00:23:52.440 --> 00:23:54.640]   I try to open source on my code when I can and
[00:23:54.640 --> 00:23:57.240]   It's usually paid back
[00:23:57.240 --> 00:24:04.080]   You know down the road and in lots of other ways that I didn't necessarily expect I just read an article
