;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[00:02:18.400 --> 00:02:21.480]   Just those are speakers and they sound terrible. Oh too bad
[00:02:21.480 --> 00:02:24.360]   So that was a that was a con it's kind of a show-offy thing
[00:02:24.360 --> 00:02:30.120]   Yeah, I put that grill down there like maybe you have stereo speakers. They look like great speakers if that's worth anything, right?
[00:02:30.120 --> 00:02:32.360]   also with us
[00:02:32.360 --> 00:02:35.560]   From the lake. I'm so jealous Matthew Ingram
[00:02:36.880 --> 00:02:43.800]   Formerly of giga oh now fortune calm and celebrating his anniversary. There was lovely wife you two were so young
[00:02:43.800 --> 00:02:51.720]   Yeah, we got married in elementary school yours is that on Facebook or Instagram? I'm seeing that I can't remember but
[00:02:51.720 --> 00:02:54.720]   Probably both yeah, just great pictures
[00:02:54.720 --> 00:02:58.920]   Congratulations, and I'm jealous. We're all jealous of your lake house there
[00:02:58.920 --> 00:03:04.480]   So pleasant. I'll take a paddle for you. Yeah, have the black flies started yet. Oh
[00:03:06.240 --> 00:03:07.680]   Damn, yep
[00:03:07.680 --> 00:03:12.800]   Trying to find some negative something yeah something wrong with it. It's so beautiful too hot yesterday. Oh
[00:03:12.800 --> 00:03:17.480]   Way hot it too bad. There's in the lake. Yeah, it's a shame. There's no
[00:03:17.480 --> 00:03:24.400]   Body of water in which to cool yourself and Jeff Jarvis is here. We're so thrilled Jeff has been champing at the bit for
[00:03:24.400 --> 00:03:29.600]   When it went when when was the alphabet announcement? We have our new theme song we do
[00:03:29.600 --> 00:03:41.960]   Record that printed we're done we were done
[00:03:41.960 --> 00:03:45.000]   Jeff is probably a rights issue
[00:03:45.000 --> 00:03:48.800]   You know we're
[00:03:48.800 --> 00:03:56.480]   Was his 65th birthday was yesterday and and we're waiting for a mass a major court decision that will finally free
[00:03:56.480 --> 00:03:58.680]   happy birthday
[00:03:58.800 --> 00:04:02.320]   Because Warner Chappelle music has been charging people rights
[00:04:02.320 --> 00:04:08.120]   Thousands of dollars in some cases for the right to play the song happy birthday or a rocket
[00:04:08.120 --> 00:04:13.060]   But there's a smoking gun they had somewhere in the back office there at Warner Chappelle a
[00:04:13.060 --> 00:04:20.240]   printed version of happy birthday without a copyright announcement I guess in the 30s if you did that you seated
[00:04:20.240 --> 00:04:24.920]   This seems like a real loophole you seated copyright it made it made this the thing not
[00:04:26.880 --> 00:04:29.400]   not copyrighted public domain and
[00:04:29.400 --> 00:04:31.720]   We're waiting for the court to rule on that
[00:04:31.720 --> 00:04:35.000]   But I'm hoping that will happen during the new screen savers on Saturday
[00:04:35.000 --> 00:04:39.080]   We're gonna be discussing it and we could maybe sing happy birthday. Yes. Yeah, finally
[00:04:39.080 --> 00:04:45.760]   To was unencumbered if that's your birthday. You want to be here. Yeah, because everybody will see you too
[00:04:45.760 --> 00:04:49.480]   Is there anything like three million dollars a year from that?
[00:04:49.480 --> 00:04:55.120]   That's crazy. It was a song written in the 1800s
[00:04:55.840 --> 00:05:00.760]   But then the the two kindergarten teachers who wrote the lyrics
[00:05:00.760 --> 00:05:08.720]   I something they changed it post 1927 and of course anything that's copyright post 1927 is copyright forever
[00:05:08.720 --> 00:05:13.440]   Thanks to would Mickey Mouse. Yeah, it originally was something for kids and
[00:05:13.440 --> 00:05:17.040]   They just wrote the lit they didn't even write the music right
[00:05:17.040 --> 00:05:23.160]   No lyric the music already existed there were a bunch of different lyrics and they yeah anyway
[00:05:23.560 --> 00:05:28.600]   So Jeffrey Jeffrey Jeffrey let's kick it off. We're gonna have to talk about alphabet at some point
[00:05:28.600 --> 00:05:30.600]   Let's start the show with alphabet. Yeah
[00:05:30.600 --> 00:05:33.680]   ABC
[00:05:33.680 --> 00:05:39.160]   XYZ that's the page because Google forgot to get alphabet calm
[00:05:39.160 --> 00:05:41.960]   No, it's not WTF
[00:05:41.960 --> 00:05:50.440]   With well, I guess that's one question will anybody ever go to alphabet calm because it isn't really a day
[00:05:51.160 --> 00:05:56.360]   Yeah, my question my related question is will there be alphabet swag because I want it. Yeah
[00:05:56.360 --> 00:06:02.640]   So we'll let you kick things off Jeff because you wrote a good piece of buzz machine calm
[00:06:02.640 --> 00:06:05.080]   I know you've been thinking hard about this
[00:06:05.080 --> 00:06:08.040]   What the hell
[00:06:08.040 --> 00:06:14.120]   You know what in the second day we've seen lots people trying to find some cynical motive which I find ridiculous because
[00:06:14.120 --> 00:06:19.720]   Larry pages I think the least cynical CEO I can imagine I think it is what they say it is
[00:06:20.120 --> 00:06:25.120]   This allows Larry page and Sergey Brin to rise up to the strategic stratosphere
[00:06:25.120 --> 00:06:31.520]   It allows them to do crazy things without affecting directly the business of Google apart from taking Google's revenue to pay for it
[00:06:31.520 --> 00:06:35.200]   It provides more transparency to Wall Street about what's being spent on one
[00:06:35.200 --> 00:06:42.200]   We'll see how exactly that plays itself out. It allows them to put Sundar Pichai who's done brilliant work in full charge of
[00:06:42.200 --> 00:06:47.840]   The business and and the many Sundar Pichai's there are many people that are more easily retained through this
[00:06:47.840 --> 00:06:49.840]   look at NAST look at other places and
[00:06:49.840 --> 00:06:53.280]   You know the thing about it is you know
[00:06:53.280 --> 00:06:58.880]   But the anecdote I told is and I don't know if I told us on the show before but when I think I did when I met Larry at
[00:06:58.880 --> 00:07:00.800]   I owe by way of introduction
[00:07:00.800 --> 00:07:03.840]   I said on the guy who wrote the book what would Google do and he said oh yes
[00:07:03.840 --> 00:07:08.640]   I remember and then he said what would Google do I want to know tell me what and
[00:07:08.640 --> 00:07:11.560]   You know so it makes a punchline to this story
[00:07:11.560 --> 00:07:15.040]   But I think that the point is is that Larry page doesn't know what Google will do
[00:07:15.040 --> 00:07:18.240]   That's exactly the point is that is that even he will be surprised
[00:07:18.240 --> 00:07:24.780]   They're looking for big problems and big solutions and moonshots and all that kind of stuff and and there's been efforts also to make
[00:07:24.780 --> 00:07:30.080]   Analogues here to call this Berkshire Hathaway, but that's not it's not close. It's brilliant as but it is
[00:07:30.080 --> 00:07:32.280]   He doesn't invent things. I've though
[00:07:32.280 --> 00:07:36.160]   I'll be don't call it close to the old AT&T Bell labs, but it's not that either
[00:07:36.160 --> 00:07:43.460]   That was you know pure science pure research amazing things happened because there was that freedom to do that and the monopoly to support it
[00:07:44.120 --> 00:07:46.960]   But I think that in this case this is about
[00:07:46.960 --> 00:07:54.440]   invention and entrepreneurship and its purest form and the ability to go and try big things and that's why I'm delighted with this
[00:07:54.440 --> 00:07:59.520]   The final point to make is the question about what this impact this will have on dear old Europe and its
[00:07:59.520 --> 00:08:02.520]   regulators from the old world
[00:08:02.520 --> 00:08:07.840]   And and one argument says that this will make it better because
[00:08:07.840 --> 00:08:11.760]   Part of the problem Google gets into is what it shares stuff across divisions
[00:08:11.760 --> 00:08:15.680]   But the truth is that everything that we've gotten in trouble for sharing across is still in Google ink
[00:08:15.680 --> 00:08:22.120]   And and I'm afraid that well I guarantee you will see just really saw the cover of their Spiegel a few months ago
[00:08:22.120 --> 00:08:24.120]   But the world government of Silicon Valley
[00:08:24.120 --> 00:08:30.480]   This will probably I guarantee you it'll get it'll get cited as see Larry Page wants to take over the world and do all these huge things
[00:08:30.480 --> 00:08:35.120]   Yeah, he does and damn good for it. That's what we should be supporting. That's what capitalism is for
[00:08:35.120 --> 00:08:37.840]   So I don't think Europe's problems will go away at all for this
[00:08:37.840 --> 00:08:40.800]   I don't think there's some gigantic secret agenda to this
[00:08:40.800 --> 00:08:48.920]   I think it's what it appears to be which is freedom to innovate you take the post that Larry put at ABC.xyz at face value
[00:08:48.920 --> 00:08:54.480]   It's it's exactly as he said it is. Yeah, I don't see because why else do this right?
[00:08:54.480 --> 00:08:57.080]   I you know, there's a lot of efforts to say it's funny
[00:08:57.080 --> 00:09:02.960]   How many posts if you look I just wrote a I just started a new column minutes ago for the observer in New York on media
[00:09:02.960 --> 00:09:07.600]   And I wrote about all how we all write the same story over and over and over again and how I hate that yeah
[00:09:07.600 --> 00:09:13.160]   How many blue moon stories we have well in this case how many times did I see the the headline?
[00:09:13.160 --> 00:09:21.040]   Why Google did this as if everybody knows exactly why Google did this well Google said why Google did this and you could believe them or not
[00:09:21.040 --> 00:09:27.440]   But yeah, I think you know if listen if Comcast did something like this rising to something like this if companies like that did something
[00:09:27.440 --> 00:09:29.440]   Would I be cynical or at least?
[00:09:29.440 --> 00:09:36.240]   Skeptical better put of their motives. Yeah, but I don't think we've had the cause to be skeptical and cynical about
[00:09:36.440 --> 00:09:41.840]   Larry Page I think that he's trying to do good things and make good products and yeah
[00:09:41.840 --> 00:09:44.320]   I make a lot of money along the way and so far
[00:09:44.320 --> 00:09:50.640]   That's what he's done and the crazy stuff that mean who else who else would have the audacity to say let's save thousands of lives
[00:09:50.640 --> 00:09:53.640]   on the roads by inviting self-driving cars and
[00:09:53.640 --> 00:09:57.880]   The entrepreneurial vision and technological vision to make it into a business
[00:09:57.880 --> 00:10:02.680]   That's the kind of audacity that made this country great. I'm it not Donald Trump's hat
[00:10:02.680 --> 00:10:04.720]   and
[00:10:04.720 --> 00:10:07.800]   And and that's what we want to encourage you agree Matthew
[00:10:07.800 --> 00:10:17.160]   Well, I mean sure I mean I I don't see any ulterior motive. I don't see the
[00:10:17.160 --> 00:10:23.280]   You know, I don't see it being some vast evil plan, but I submit I do wonder whether
[00:10:23.280 --> 00:10:25.600]   They're out a bunch of different motives
[00:10:25.600 --> 00:10:33.040]   I mean obviously freeing Larry and Sir JF to do whatever they want is one of those motives to get them away from the sort of humdrum
[00:10:33.440 --> 00:10:38.120]   Day-to-day Google which which turns out all the cash, but but has become quite boring
[00:10:38.120 --> 00:10:40.800]   But I wonder if some of it isn't a
[00:10:40.800 --> 00:10:47.320]   Little bit of not slight of hand a little bit of a shell game to try and keep the regulator's eyes off
[00:10:47.320 --> 00:10:51.820]   What you know is happening with Google or to keep Google part of this
[00:10:51.820 --> 00:10:54.880]   You have to be pretty dumb to be fooled
[00:11:02.040 --> 00:11:04.040]   Play it through for me
[00:11:04.040 --> 00:11:10.080]   About how this puts fences around things in a way that I'm not asking this in a hostile way
[00:11:10.080 --> 00:11:15.440]   I'm curious to try to figure out that that obviously that's a factor in what Google does right now is to try to have that
[00:11:15.440 --> 00:11:17.440]   So they don't wonder anything. It's gonna make it worse
[00:11:17.440 --> 00:11:25.100]   How do you think it could make it better for the regulation question? I don't think it necessarily puts fences around things
[00:11:25.100 --> 00:11:27.100]   but when you think about the
[00:11:27.800 --> 00:11:34.920]   Public entity, you know the traded one the one that has to report its results is gonna be alphabet now not Google
[00:11:34.920 --> 00:11:37.880]   so to some extent and I'm not saying they're going to
[00:11:37.880 --> 00:11:43.440]   Confuse things deliberately you're in an illegal way or I'm just saying it takes the focus off
[00:11:43.440 --> 00:11:48.200]   Google to some extent and puts it on this other thing called alphabet which is gonna have
[00:11:48.200 --> 00:11:54.640]   multiple different things doing multiple different, you know businesses and markets and business models
[00:11:54.640 --> 00:11:57.520]   And there's gonna be things flowing back and forth none of which
[00:11:57.520 --> 00:12:03.440]   Alphabet will have to talk about it if it doesn't want to it won't have to report
[00:12:03.440 --> 00:12:10.560]   Anything that those underlying operating subsidiaries do if it doesn't want to right including Google
[00:12:10.560 --> 00:12:14.580]   So Google was the reporting entity before to see what I mean
[00:12:14.580 --> 00:12:19.680]   Whereas now alphabet's okay, but when it comes to the activities of what's their privacy
[00:12:20.880 --> 00:12:25.160]   You know my contention is that Google is a personal services company and as a result
[00:12:25.160 --> 00:12:28.040]   It needs to know me as a person and serve me across all his divisions
[00:12:28.040 --> 00:12:30.160]   So it serves me still across
[00:12:30.160 --> 00:12:36.480]   The browser and Android and Gmail and docs and so on and so forth and maps and ways and so on so forth
[00:12:36.480 --> 00:12:40.800]   So all that's where they've gotten in trouble lately in the ones right the other way they've gotten in trouble
[00:12:40.800 --> 00:12:46.080]   Let's all the privacy the other way they've gotten in trouble in Europe in the current antitrust is they promote their own products
[00:12:48.440 --> 00:12:52.720]   Well, they're still gonna promote maps within Chrome and within search
[00:12:52.720 --> 00:12:55.600]   And it doesn't matter whether they promote
[00:12:55.600 --> 00:13:01.480]   Self-driving cars and say that or not fine. They'll buy ads for that whatever that'll make it a corporate exchange
[00:13:01.480 --> 00:13:06.880]   So I think that the areas where they've gotten in trouble in Europe and let's be clear that's mainly in Europe
[00:13:06.880 --> 00:13:14.600]   It's still the case within Google and it's not about financial reporting. It's about behavior is what they'd say
[00:13:14.600 --> 00:13:19.160]   But I am but I'm also thinking they're probably thinking about the future
[00:13:19.160 --> 00:13:22.720]   They're not just thinking about the things they've gotten into trouble for already
[00:13:22.720 --> 00:13:27.920]   In fact many of those things are have become irrelevant or are becoming irrelevant
[00:13:27.920 --> 00:13:32.920]   I think they're thinking about what they may do in the future which includes acquiring other companies
[00:13:32.920 --> 00:13:41.160]   Twitter whatever else, you know, and they will become presumably operating units of alphabet and then they can do whatever they want
[00:13:41.160 --> 00:13:47.800]   Within those operating units. Do you know what I mean? They can they can not not I'm not just talking about the sort of public facing
[00:13:47.800 --> 00:13:53.200]   promotional aspect that they've gotten into trouble for I'm talking about the actual structural
[00:13:53.200 --> 00:14:00.080]   aspect of the company itself and the things it owns and the things that those businesses do between each up by the way
[00:14:00.080 --> 00:14:06.320]   I was on Bloomberg about this yesterday and the other guy who was on the show said that the price jump that came from this announcement
[00:14:06.320 --> 00:14:08.320]   Itself was just enough to buy Twitter
[00:14:10.240 --> 00:14:15.840]   Loves it. Yeah, it went up 5% in an hour. That's enough to buy Twitter. That's 20 billion dollars
[00:14:15.840 --> 00:14:22.840]   Yeah, and which is odd in a way because you know Wall Street typically hates holding companies it hates
[00:14:22.840 --> 00:14:31.080]   Giant things that you can't make sense of the argument is there'll be more transparency here because they'll have to report results for these other divisions
[00:14:31.080 --> 00:14:36.000]   Well, yeah, they won't but they're saying it's the same expected to they'll be expected to well
[00:14:36.000 --> 00:14:43.000]   They've said they will they don't have to in fact they could say hey alphabets doing great. Here's our all our operating units
[00:14:43.000 --> 00:14:45.680]   Google made this much. Thanks for stopping by
[00:14:45.680 --> 00:14:53.480]   Really is that the case? I mean isn't it isn't the so the Google stock is being transferred to alphabet stocks
[00:14:53.480 --> 00:15:00.400]   So if you're a stockholder don't they have the same responsibility now to report alphabet results that they had for Google results?
[00:15:00.400 --> 00:15:02.320]   Yeah, the point Matthew's point exactly right
[00:15:02.320 --> 00:15:08.120]   They don't have to say just as Google never had to say exactly what YouTube was they could say alphabet as a whole. Yes
[00:15:08.120 --> 00:15:10.760]   That's all they have to report. Okay
[00:15:10.760 --> 00:15:14.800]   I've heard all around is there'll be more transparency rather than less that there will be
[00:15:14.800 --> 00:15:17.600]   There could be and it also
[00:15:17.600 --> 00:15:22.680]   I mean one of the benefits I can see is this structure makes it a lot easier to say in the future
[00:15:22.680 --> 00:15:29.320]   spin off or spin out part of YouTube for example spin off or spin out part of nest take that
[00:15:29.320 --> 00:15:34.840]   Which is a danger. Don't you think Matthew if you're up starts to think about about saying let's break up Google because it's too big
[00:15:34.840 --> 00:15:36.840]   Which we hear all the time
[00:15:36.840 --> 00:15:40.120]   Then then then does this beg that question?
[00:15:40.120 --> 00:15:43.240]   Mike else you haven't had a chance to weigh in let's let Mike
[00:15:43.240 --> 00:15:47.040]   Tell us what he's okay, and then I'm gonna tell you how you're all wrong go ahead
[00:15:47.040 --> 00:15:54.560]   Well first of all first of all this is a groundbreaking move because I think I believe that alphabet right now has three employees and
[00:15:54.560 --> 00:15:57.280]   their valuation Larry
[00:15:57.280 --> 00:16:00.760]   Sergey and and more at the yeah, yeah, and Dave Dave drum
[00:16:00.760 --> 00:16:03.360]   I think maybe it's five or six even if it's ten
[00:16:03.360 --> 00:16:09.900]   Billion dollars, but they have all the valuation of all the companies and so from evaluation per employee or an employee
[00:16:09.900 --> 00:16:14.040]   It's very high. It's very high. So and that's a completely irrelevant point
[00:16:14.040 --> 00:16:18.960]   But interesting nonetheless. I think there are other reasons that make that I agree with both of you actually
[00:16:18.960 --> 00:16:22.480]   I think that this makes a ton of sense. I don't think there's reason for cynicism and
[00:16:22.480 --> 00:16:26.560]   There are reasons they didn't mention I think one of these for example is
[00:16:27.240 --> 00:16:32.840]   For example when they bought nest they told Tony Fidel we would keep it independent like a completely separate company
[00:16:32.840 --> 00:16:35.680]   And that's been a little bit of a challenge
[00:16:35.680 --> 00:16:37.440]   It's a challenge because you have a
[00:16:37.440 --> 00:16:38.520]   other
[00:16:38.520 --> 00:16:45.040]   exact and and also there are other divisions within Google who would like that status but just because they weren't acquired under the same
[00:16:45.040 --> 00:16:50.020]   Circumstances and so this sort of normalizes all this but I think one of the least appreciated
[00:16:50.020 --> 00:16:55.760]   Benefits of this is the timeline issue if you compare like two extreme examples like nest and
[00:16:56.160 --> 00:17:02.600]   Calico, okay, nest is selling products right now. They have 2.0 3.0 products right now
[00:17:02.600 --> 00:17:08.280]   They are actively shipping and developing new products is a going concern Calico is like in the year
[00:17:08.280 --> 00:17:10.680]   3000 we will alleviate death
[00:17:10.680 --> 00:17:13.800]   And so the timelines of those two
[00:17:13.800 --> 00:17:20.640]   Enterprises are so out of whack with each other that that each of these organizations seems to be based on
[00:17:20.640 --> 00:17:24.400]   timeline for the to a very large extent. What is the timeline that these?
[00:17:25.200 --> 00:17:32.040]   initiatives and projects and and products are going to come online and be developed and so I think that's a very
[00:17:32.040 --> 00:17:35.280]   liberating fact and we talked about Google's gigantism
[00:17:35.280 --> 00:17:38.920]   Jeff mentioned it, but
[00:17:38.920 --> 00:17:46.080]   This is a company that not only doesn't know how big things are going to be they want things to be as big as they can possibly be and every container
[00:17:46.080 --> 00:17:51.560]   I've been farm-sitting this week. I've been taking care of somebody's farm. Imagine a farm then
[00:17:51.800 --> 00:17:56.720]   So it lets you have chickens and you have cows and you have goats and pigs and everything and they're all in the same cage
[00:17:56.720 --> 00:17:59.840]   That's one thing if you right-size all the cages
[00:17:59.840 --> 00:18:04.640]   Then you have a much healthier ecosystem all the animals can be free to do it
[00:18:04.640 --> 00:18:11.120]   You think Senator Pachara was about to pick Ruth Porat's eyes out? Yes, I am a peck and it was really getting bad
[00:18:11.120 --> 00:18:13.120]   We're gonna have to slaughter one of them
[00:18:13.120 --> 00:18:16.640]   But at your point, but I think you're like your point about the CEOs
[00:18:16.800 --> 00:18:24.120]   But those operating units having CEOs is a big one that a bunch of people have made that it makes it easier to retain people
[00:18:24.120 --> 00:18:30.000]   It makes it easier to offer people things because they're going to be a CEO of an actual operating subsidiary
[00:18:30.000 --> 00:18:33.600]   Not just a part of Google, you know the thing that makes all the money
[00:18:33.600 --> 00:18:39.720]   I think that's a bigger problem than people appreciate it's not just CEOs. It's CFO's. It's it's all right now
[00:18:39.720 --> 00:18:41.720]   It's not but eventually I presume though
[00:18:43.080 --> 00:18:49.360]   Divisional habits on sea levels. Yes, and it's and they have been bleeding employees over the last year or so Google has been losing
[00:18:49.360 --> 00:18:52.000]   Sure, wouldn't you rather be the CFO of Galico?
[00:18:52.000 --> 00:18:55.880]   Then a low-level employee at Google there they're basically saying you know
[00:18:55.880 --> 00:18:59.120]   They're you know, they're implying that if you want to do a startup
[00:18:59.120 --> 00:19:05.720]   Don't leave Google and start a startup start a new company under alphabet and and will you know
[00:19:05.720 --> 00:19:08.560]   Retown the talent zone. I think it's brilliant all the way around you know
[00:19:09.240 --> 00:19:13.520]   One thing I wondered about which I which I wrote about I'd like to get your guys thoughts
[00:19:13.520 --> 00:19:17.600]   Why didn't why didn't YouTube become a separate subsidiary like Nez?
[00:19:17.600 --> 00:19:19.600]   I think I mean it's because they don't want to
[00:19:19.600 --> 00:19:25.440]   YouTube from from a business perspective YouTube very much belongs with Google because
[00:19:25.440 --> 00:19:32.360]   Absolutely because it's it's an algorithmically based advertising business exactly the the signals are harvested and
[00:19:32.720 --> 00:19:39.880]   From YouTube and signals from search and other places are used in YouTube to provide relevant results and stuff
[00:19:39.880 --> 00:19:42.400]   It's it's all about the algorithms and the advertising yep
[00:19:42.400 --> 00:19:47.360]   I absolutely agree, but I think you could make I think you can make just as strong an argument that it should be its own thing
[00:19:47.360 --> 00:19:53.360]   I mean it wants to become much more than just the search engine. It wants to become much more I think then just
[00:19:56.960 --> 00:20:03.880]   Regulatory issue that Google faces most strongly the issue of promoting its own properties in search
[00:20:03.880 --> 00:20:06.400]   One of the issue I mean from my point of view
[00:20:06.400 --> 00:20:10.520]   I'd love to see Google get I've said this many times get out of the content business. Why not spin off YouTube?
[00:20:10.520 --> 00:20:16.720]   But I have this argument regularly. It's not really in the content businesses in the content serving business
[00:20:16.720 --> 00:20:19.840]   It doesn't own the content it wants to be in the content business
[00:20:22.480 --> 00:20:27.600]   It wants to be in any business can be generated with algorithms, but the reason people are concerned
[00:20:27.600 --> 00:20:32.760]   You know it's not crazy to think that YouTube would have been spun out as a separate company because it was already a subsidiary
[00:20:32.760 --> 00:20:40.480]   It already has a CEO right you know so it is surprising in that sense. I think I think you guys are overthinking this
[00:20:40.480 --> 00:20:43.200]   Here's what I think this is all about you were professionals
[00:20:43.200 --> 00:20:51.560]   Here's what I think this is all about and I and I do believe them when they say this has been something they the story is that
[00:20:51.560 --> 00:20:53.560]   Salman Kamengar came to
[00:20:53.560 --> 00:20:58.480]   The board years ago like several years ago and said you know you guys should think about this
[00:20:58.480 --> 00:21:02.320]   And then they've been chewing on it and something like this doesn't happen overnight
[00:21:02.320 --> 00:21:06.720]   It's probably been in the make works for a year or so, but here's what I really think is happening
[00:21:06.720 --> 00:21:11.040]   I think what really happened is that Larry wants to give wants to step down once
[00:21:11.040 --> 00:21:13.560]   Sundar Pichai to be CEO and
[00:21:13.560 --> 00:21:19.000]   Because I think Larry's tired and he even kind of implies this tired of taking meetings about search and ads
[00:21:19.000 --> 00:21:21.160]   Yeah, you don't want to go to those meetings anymore
[00:21:21.160 --> 00:21:26.120]   But he knows it would be a big hit if if he said I am gonna
[00:21:26.120 --> 00:21:28.280]   I'm going to become executive chair and
[00:21:28.280 --> 00:21:35.160]   Because truthfully then this is my question. Couldn't you do everything they've done without this compartment?
[00:21:35.160 --> 00:21:42.520]   This is just what you totally there's a reorg many many companies have done this Google themselves done this Larry is too big for the normal
[00:21:42.520 --> 00:21:46.040]   Route the normal route you become a VC. I think this is hand waving
[00:21:46.040 --> 00:21:50.720]   I think this is all saying pay no attention to the fact that I'm gonna step down and send her's gonna be the CEO
[00:21:51.360 --> 00:21:54.400]   I think you're right to the right in the tactical view Leo
[00:21:54.400 --> 00:21:59.280]   But in the strategic view I think they're also trying to build a company for the ages and if I agree
[00:21:59.280 --> 00:22:05.840]   I'm not saying that there aren't some city area benefits. Yes. Yes, they're absolutely subsidiary benefits. They're also subsidiary
[00:22:05.840 --> 00:22:07.880]   negatives
[00:22:07.880 --> 00:22:13.400]   Risks because they've they've said specifically they're gonna provide Q4 reports for every
[00:22:13.400 --> 00:22:18.960]   segment and this makes Larry as somebody said a capital allocator. That's really his job
[00:22:18.960 --> 00:22:24.720]   And that's what he says is job to your point. It's it's you know, he is a VC and not we will rigorously
[00:22:24.720 --> 00:22:30.320]   This is this is the salient paragraph alphabet is about businesses prospering through strong leaders and
[00:22:30.320 --> 00:22:38.560]   Independence in general our model is to have a strong CEO who runs each business with Sergey and me in service to them as needed
[00:22:38.560 --> 00:22:45.200]   That means not running it. I mean service means oh you got a you need some money. Let me get the checkbook out
[00:22:45.200 --> 00:22:50.280]   He will rigorously handle capital allocation rigorously handle capital allocation
[00:22:50.280 --> 00:22:56.400]   That term rigorously is interesting sounds painful and work to make sure each business is executing well
[00:22:56.400 --> 00:23:02.800]   We'll also make sure we have a great CEO for each business and we'll determine their compensation in addition with this new structure
[00:23:02.800 --> 00:23:05.320]   And this is interesting that you pointed out this doesn't have to be done
[00:23:05.320 --> 00:23:10.160]   But they've said with this new structure we plan to implement segment reporting for our Q4 results
[00:23:10.480 --> 00:23:16.160]   Google financials and we provided separately than those for the rest of the alphabet businesses as a whole they don't have to do that
[00:23:16.160 --> 00:23:22.160]   Sounds to me like there may be this will facilitate spinouts by doing spin-offs by doing that
[00:23:22.160 --> 00:23:26.000]   When you say risks leo when you say risks think about this
[00:23:26.000 --> 00:23:29.600]   So now you have larry and sir gay sitting there
[00:23:29.600 --> 00:23:33.520]   With a big pile of money that google has produced on the jet
[00:23:33.520 --> 00:23:35.760]   That's still the growth engine
[00:23:35.760 --> 00:23:40.320]   And and they've got all these CEOs they're no longer vp's of such and such a unit
[00:23:40.320 --> 00:23:47.360]   They're now CEOs of operating subsidiaries who have to come and say I want x percent of google's money
[00:23:47.360 --> 00:23:56.240]   To do this and then larry and sir you have to slice up the dough and hand it out to those ceos it could actually create a lot more
[00:23:56.240 --> 00:23:58.960]   Problems, I'm a
[00:23:58.960 --> 00:24:02.320]   Is that is that
