
[00:00:00.000 --> 00:00:04.000]   Hi Jason Snell sitting in for Leo Laporte this week on Macbreak Weekly. There's so much going on
[00:04:34.520 --> 00:04:38.280]   Keycap screen, which was which would require support from developers
[00:04:38.280 --> 00:04:42.840]   Which is why everyone was expecting that to be announced at wwdc so they could prime the pump
[00:04:42.840 --> 00:04:46.520]   So it's possible that it was scheduled for earlier and they had it put it off
[00:04:46.520 --> 00:04:52.920]   And then now that they they can only release it after they've given a few key developers chance to actually write software for it
[00:04:52.920 --> 00:04:54.920]   So they'll have something out when it's out
[00:04:54.920 --> 00:04:59.960]   It's if there's one hot button hardware issue in the entire mac community. Excuse me in the entire apple community
[00:04:59.960 --> 00:05:04.440]   It's that where are my new max? I have a mac that's four years old
[00:05:04.440 --> 00:05:09.240]   And when I bought that it still had the same case as the one I bought eight years ago
[00:05:09.240 --> 00:05:14.360]   So if apple's feeling any pressure to roll out anything they got to do something with the mac soon, don't they?
[00:05:14.360 --> 00:05:20.840]   Yeah, I mean it's interesting to me because as much as we feel this apple feels this this pressure too because they not only do they love the mac
[00:05:20.840 --> 00:05:24.440]   But apple retail loves selling the mac. They love selling it through back to school season
[00:05:24.440 --> 00:05:28.360]   They love selling it through the holiday season. Those are hugely profitable
[00:05:28.360 --> 00:05:32.120]   hugely popular products for them and of course there are all these rumors that
[00:05:32.120 --> 00:05:39.480]   For the next generation of macbook pro apple isn't just back bumping the macbook pro every every ultra book looks like the macbook air now
[00:05:39.480 --> 00:05:45.000]   Every high end notebook essentially is it's similar to a macbook pro and they don't really stand out and they hate that
[00:05:45.000 --> 00:05:48.920]   There's nothing they hate more than just being one of a bunch of similarly colored boxes
[00:05:49.080 --> 00:05:52.440]   So every once in a while they try to do something spectacular and once in a while it works
[00:05:52.440 --> 00:06:01.480]   You like the new mac pro was great at launch has absolutely languished since then but you hear things about OLED displays or beamforming microphones for hay syri or hay commissary
[00:06:01.480 --> 00:06:03.560]   or
[00:06:03.560 --> 00:06:09.240]   Things like touch ID sensors, which would be really hard to secure on a mac the way they're secured on ios
[00:06:09.240 --> 00:06:14.600]   Because apple doesn't control the whole solar con stack from an eight series processor through to the keychain
[00:06:15.400 --> 00:06:21.480]   So they probably need super tight integration with intel and AMD and the rumor is that that is just keeps getting delayed
[00:06:21.480 --> 00:06:28.600]   It keeps getting delayed if that is true super frustrating because apple again has no control over those component parts, but either way it's
[00:06:28.600 --> 00:06:34.520]   The computers now are fine, but if you're charging apple prices, they have to just be the latest specs
[00:06:34.520 --> 00:06:39.640]   I don't think there's any way around that it's awfully hard to charge full price for that mac pro now that it's been languishing for a
[00:06:39.640 --> 00:06:42.760]   Couple of years. That's the thing I can't I feel so bad if somebody buys me a photo today
[00:06:42.840 --> 00:06:47.320]   It's like you're getting an old computer for full price. It's pretty it's pretty rough
[00:06:47.320 --> 00:06:49.640]   Now, what do you guys think about the idea of doing an apple event?
[00:06:49.640 --> 00:06:54.440]   You know when they had the town hall event in the spring they said basically this will probably be the last time we'll do this
[00:06:54.440 --> 00:06:58.760]   And we're gonna move into our new campus, but at that time I think we all thought that
[00:06:58.760 --> 00:07:04.920]   Uh that they would they would have maybe these products at wwc and now that hasn't happened
[00:07:04.920 --> 00:07:07.320]   Do you think we're gonna get an event?
[00:07:07.640 --> 00:07:13.560]   In october and uh, i'm also curious if you think it'll be a big event or maybe they will
[00:07:13.560 --> 00:07:16.840]   Bring town hall back out of mothballs one more time rene. What do you think?
[00:07:16.840 --> 00:07:21.400]   Uh, I I would love to see an event because I believe that when apple tries to do something different
[00:07:21.400 --> 00:07:24.680]   They really need to explain it. We saw the battery case launch last year
[00:07:24.680 --> 00:07:28.440]   And nobody understood it. Nobody understood it until the same tech journalist who panned it
[00:07:28.440 --> 00:07:32.120]   We're forced to carry it around ces because their other alternatives just weren't as good
[00:07:32.120 --> 00:07:35.320]   And if apple can't get up there and make their case then people are gonna look at and go
[00:07:35.560 --> 00:07:40.280]   Yeah, well ed screen or whatever new features it has that it'll it'll land with a thud instead of a boom
[00:07:40.280 --> 00:07:44.680]   So if they can it absolutely behooves them and we've been to those october events
[00:07:44.680 --> 00:07:49.320]   They've had october mac events not last year, but the year before the year before the last four years. Yeah, yeah
[00:07:49.320 --> 00:07:57.240]   Absolutely the new iMac with with retin the five k display uh debuted there. Uh, it's it's a great venue for those sort of smaller mac centric events
[00:07:57.240 --> 00:08:00.920]   Andy what about you uh event this month you think
[00:08:01.960 --> 00:08:09.240]   If it's an OLED screen, then I think they kind of have to like just like when they said so much so many times when apple releases something
[00:08:09.240 --> 00:08:15.640]   You can't just say hey look we've got this new touch sensor or hey look we've got this new 5k output
[00:08:15.640 --> 00:08:19.960]   You really they really want to explain why they made the decision that they made
[00:08:19.960 --> 00:08:24.200]   And I think there's no finer example of this than when they
[00:08:24.200 --> 00:08:28.360]   You got rid of the headphone jack on the iphone seven obviously that's going to be a big
[00:08:29.000 --> 00:08:35.480]   Event anyway when they release a new iphone, but it's not enough for them to simply say in two lines of a press release or a statement on the
[00:08:35.480 --> 00:08:41.640]   On the website. We decided that we can make better space of this so and here's how we're making sure it's not going to affect you whatsoever
[00:08:41.640 --> 00:08:43.800]   They really want to tell the story
[00:08:43.800 --> 00:08:46.680]   They apple really is more than any other company
[00:08:46.680 --> 00:08:50.200]   They're like storytellers and every device they put out is
[00:08:50.200 --> 00:08:57.080]   Another chapter in this character that they're building so and authors like to explain why they decided to kill off a certain character and issue
[00:08:57.160 --> 00:09:02.760]   Three of eight issue mini series. Yeah, that's how I feel about the headphone jack is that we all knew it was going to get removed
[00:09:02.760 --> 00:09:07.240]   But we all wanted to hear what the story was going to be were they gonna be jerks about it or were they gonna be
[00:09:07.240 --> 00:09:12.440]   We just forgot. I mean we were gonna make the phone. We knew we forgot something. It suddenly came out of the factory
[00:09:12.440 --> 00:09:18.440]   You ever been planning a wedding seating shirt that oh my god. We don't have a chair for the father of the bride
[00:09:18.440 --> 00:09:23.560]   Oh, no, we can sit him around that table. Just stick another chair in there and and do a red card
[00:09:24.280 --> 00:09:31.080]   He'll have his own little room. I agree with you guys that the the major new feature of a key product like the macbook pro is not something
[00:09:31.080 --> 00:09:35.320]   I think you anyone wants to release by press release. I know this is a new apple
[00:09:35.320 --> 00:09:41.480]   I know they're trying a whole lot of new things. You could try in this day and age. I mean they could do a live webcast that's just them
[00:09:41.480 --> 00:09:45.880]   Right don't even invite anybody they could do that if they wanted to honey hypo
[00:09:45.880 --> 00:09:51.400]   I mean there's so many things that they could do but it feels like this is the perfect thing for a small scale event
[00:09:51.400 --> 00:09:58.440]   People don't understand who maybe aren't on the inside baseball like we are in terms of covering this stuff that the iPhone the presence of the iPhone
[00:09:58.440 --> 00:10:04.680]   Especially at an apple event makes it huge because the iPhone is an incredibly popular product and incredibly popular worldwide
[00:10:04.680 --> 00:10:07.960]   And I love the mac. I'm not saying the mac isn't a great product
[00:10:07.960 --> 00:10:12.600]   But the interest in an event that's focused on the mac is a lot less the press interest
[00:10:12.600 --> 00:10:17.160]   The streaming video interest in an event like that is a lot less than an iPhone event
[00:10:17.240 --> 00:10:23.800]   So it's it would be a lot easier for them to do a mac event even perhaps at town hall on their campus one last for one last ride
[00:10:23.800 --> 00:10:29.720]   But I feel like Andy said you got to do the storytelling you got to explain why this oled touch bar exists
[00:10:29.720 --> 00:10:34.920]   You've got to explain how touch ID got integrated into the mac and why that's the greatest thing ever that they can do that now
[00:10:34.920 --> 00:10:39.320]   It's awfully suspicious those features apple pay and the watch unlock in sierra
[00:10:39.320 --> 00:10:44.440]   Those do feel like features that would perhaps be better served to some new hardware
[00:10:44.840 --> 00:10:50.120]   That has a touch ID sensor built into it. Don't you think? Absolutely? Yeah, but then there's also another part of this
[00:10:50.120 --> 00:10:54.680]   I think apple had think they realized that they also have another avenue for getting their word out
[00:10:54.680 --> 00:10:56.760]   We've been seeing over the past couple of years
[00:10:56.760 --> 00:10:58.760]   them
[00:10:58.760 --> 00:11:05.880]   Choosing a journalist or a media outlet that they've worked with in the past that they know that they're known quantity
[00:11:05.880 --> 00:11:07.240]   They have a good relationship
[00:11:07.240 --> 00:11:11.720]   And i'm going to tell this story to this one reporter this one journalist
[00:11:11.960 --> 00:11:16.680]   And then they're going to tell the story for us over the next two thousand three thousand words
[00:11:16.680 --> 00:11:19.800]   Which is not in any way manipulation or anything
[00:11:19.800 --> 00:11:23.000]   But rather than speak to a room full of 500 people
[00:11:23.000 --> 00:11:26.040]   They know that they can talk to one person and then
[00:11:26.040 --> 00:11:31.080]   Because that one person has uh has the only microphone at least for the first day or two
[00:11:31.080 --> 00:11:37.480]   That's that can be just as an effective way of getting that story out as getting in something that involves
[00:11:37.480 --> 00:11:39.480]   Setting up catering
[00:11:39.480 --> 00:11:43.960]   Yeah, it is so far what they've done is not do the full rollout that way, but do a lot of the details
[00:11:43.960 --> 00:11:51.160]   So like matthew panzerino at tech crunch got the story about the two cameras and the and the portrait mode in the iphone 7 plus
[00:11:51.160 --> 00:11:54.120]   Right, that was that was one that he did and we've seen that from other sources too
[00:11:54.120 --> 00:11:58.200]   Where where they picked somebody to sort of relay the behind the scenes story
[00:11:58.200 --> 00:12:04.120]   But it's more like the the icing on on top of the cake of a product announcement rather than being the whole thing
[00:12:04.120 --> 00:12:05.320]   It would be
[00:12:05.320 --> 00:12:09.400]   Which is not to say they couldn't do it, but it feels like it's more likely that we'll go to that
[00:12:09.400 --> 00:12:12.440]   Event and the moment that they announce a product like this
[00:12:12.440 --> 00:12:19.800]   We'll discover that there's a story there by somebody that's the behind the scenes of why they decided to do the OLED
[00:12:19.800 --> 00:12:21.880]   Yeah, and somebody who's probably not us
[00:12:21.880 --> 00:12:27.080]   Why they decided to do that OLED display and and what went into the design of it and that'll come from matthew panzerino
[00:12:27.080 --> 00:12:29.160]   Maybe or maybe it'll be jimmed out rimple. I don't know
[00:12:29.160 --> 00:12:34.600]   Well, you know, it's people all in jiffs. It could be yeah, maybe uh, or maybe it'll be christina warren
[00:12:34.600 --> 00:12:38.600]   I don't know there there there are people but uh that sounds like something that they'll do
[00:12:38.600 --> 00:12:44.280]   I the flip side of it is that it is such a big effort even to do a town hall event that they decided they decided not to do one last year
[00:12:44.280 --> 00:12:47.000]   They did four or five products in a row at the september event
[00:12:47.000 --> 00:12:50.600]   Just so they wouldn't logistically have to support a town hall event in october
[00:12:50.600 --> 00:12:54.440]   So i'm sure they're looking at it and they're like, uh, I wish you could have shipped this at wwdc
[00:12:54.440 --> 00:13:00.520]   Uh, I wish we had a ship this in september, but seriously get piano bar out of mothballs get that place cleaned up
[00:13:00.520 --> 00:13:04.520]   Yeah, you know take take drink as much coffee as you need. We're doing this one more time folks
[00:13:04.680 --> 00:13:07.880]   Yeah, I think that's I think that's gonna be and the good thing about it is by doing a mac event
[00:13:07.880 --> 00:13:10.360]   That is a mac only event for those of us who care about the mac
[00:13:10.360 --> 00:13:16.680]   I think it's really exciting that they that they might devote the bulk of oppress event to the mac and the macbook pro sure but
[00:13:16.680 --> 00:13:21.720]   Um, all of these products, right? We would hope what do you guys think about? Are we gonna see?
[00:13:21.720 --> 00:13:25.000]   Um, and i'm max speed bump. We've seen one last year
[00:13:25.000 --> 00:13:32.520]   It's sort of going on that cycle and what about the mac pro and the mac mini and uh, and the rumors about maybe a a macbook air too
[00:13:34.440 --> 00:13:38.440]   It's the most glowing thing on the horizon for me is what are they going to follow up the macbook?
[00:13:38.440 --> 00:13:44.680]   Nothing with because that was clearly a it was clearly a device that we like to see apple make which is this is the device
[00:13:44.680 --> 00:13:49.160]   We want to make we're not sure if there's a market for it yet, but boy are we excited about the manufacturing?
[00:13:49.160 --> 00:13:57.240]   Technique of this boy are we excited about making a system board that is about as so as little as a as a usb thumb drive
[00:13:57.240 --> 00:14:02.120]   And then remember that after they did that with the first macbook air a year or two later
[00:14:02.200 --> 00:14:07.240]   They said okay, and now here's one that you would actually want to use or they said that's that's more mainstream
[00:14:07.240 --> 00:14:11.880]   So i'm really excited to see what they would do with that. Although speed bumps everywhere else would be really great
[00:14:11.880 --> 00:14:17.880]   Uh, I really want to see we've seen chapter one of of the macbook. Nothing. I really want to see them develop that story
[00:14:17.880 --> 00:14:22.840]   Yeah, the the the adjectivalist macbook as I like to call it that didn't catch on
[00:14:22.840 --> 00:14:27.960]   I don't know why but uh, it did get an update in the spring. It's actually the most up-to-date mac that exists
[00:14:27.960 --> 00:14:32.040]   So I do wonder if it's on a different time frame and that we might not see anything there until the next year
[00:14:32.040 --> 00:14:37.720]   Like a second you a second us BC port. Yeah, imagine there's the headphone jack they could take that right off and put one right there
[00:14:37.720 --> 00:14:41.560]   Oh boy, they're more likely to take away your one us BC port
[00:14:41.560 --> 00:14:44.360]   Then the article you a second way
[00:14:44.360 --> 00:14:49.400]   Good the good news is that the new version gets over a 30 hours of battery life
[00:14:49.400 --> 00:14:53.080]   The bad news is that it's a one use battery and it's not replaceable
[00:14:53.080 --> 00:14:57.880]   Hot plate every dorm room. It's the most recyclable i've macbook ever
[00:14:57.880 --> 00:15:01.560]   Renee, what do you think about this rumor? There's a rumor out there and it's a little bit hazy
[00:15:01.560 --> 00:15:06.680]   But it's the idea that there may be a 13 inch laptop update and whether it's a new version of the
[00:15:06.680 --> 00:15:10.120]   adjectiveless macbook or whether it is a sort of
[00:15:10.120 --> 00:15:15.960]   Back from the dead macbook air that potentially could have us BC ports or a retina display
[00:15:15.960 --> 00:15:20.920]   What do what's your read on that rumor because that's an interesting and weird one where we don't seem to have a lot of
[00:15:20.920 --> 00:15:25.640]   Detail but it sounds like there might be some product out there that we that we don't know about yet
[00:15:25.640 --> 00:15:28.360]   Yeah, I think the original rumor was that the macbook
[00:15:28.920 --> 00:15:33.240]   Well, it's gonna replace the macbook air and then sort of anyone who looked at the macbook air replacing the original macbook
[00:15:33.240 --> 00:15:35.640]   This is sort of the revenge of that the macbook is back
[00:15:35.640 --> 00:15:40.440]   And you have it at two sizes because that seems to be the the scale apple believes they can address the most
[00:15:40.440 --> 00:15:45.960]   Consumer demands for so you have one at 12 inches one at 13 point something which is essentially 14 inches
[00:15:45.960 --> 00:15:48.040]   And then people can choose between the two
[00:15:48.040 --> 00:15:51.720]   And the first one I mean that the the 12 inch gets this rumor of being the man
[00:15:51.720 --> 00:15:56.840]   Sorry this this nigga being the manager book because like it's great to carry around meetings and take on planes
[00:15:56.920 --> 00:16:01.000]   But it's just not good for anyone who codes for a living or does intense video work for a living
[00:16:01.000 --> 00:16:03.560]   It really is you know sort of that executive product
[00:16:03.560 --> 00:16:06.600]   And the 14 inch would be similar to that
[00:16:06.600 --> 00:16:11.960]   I think it doesn't solve the same problem that the macbook air does which is I can buy a mac for 900 or a thousand
[00:16:11.960 --> 00:16:14.840]   Dollars and until that dynamic changes it's going to just be
[00:16:14.840 --> 00:16:18.200]   though these those you know sort of apples lamb regini product there
[00:16:18.200 --> 00:16:23.400]   Look to the future product that'll eventually trickle down to normal sizes and prices
[00:16:23.560 --> 00:16:27.080]   I mean the other problem with the adjective with macbook is that it's just not without the fan
[00:16:27.080 --> 00:16:31.000]   It just doesn't have they've got the quorum processors in there and they're okay
[00:16:31.000 --> 00:16:35.320]   But they're not the power that you can get even in a macbook air the macbook air can be a nice
[00:16:35.320 --> 00:16:41.480]   In there right so yeah, so you've got this weird kind of tweener product, but this is why the macbook air still exists
[00:16:41.480 --> 00:16:46.600]   Is it it's 999 that's one reason it exists and also it provides a level of speed that
[00:16:46.600 --> 00:16:53.000]   Otherwise you need to go all the way up to the macbook pro to buy so i'm kind of intrigued by the idea that there might be a macbook
[00:16:53.080 --> 00:16:55.080]   Air revival a little bit
[00:16:55.080 --> 00:17:01.640]   Especially if it also had a retina display, but certainly if they brushed it up and kept it around a little bit more
[00:17:01.640 --> 00:17:05.560]   It does seem a little weird. It seemed logical that it would go away in the macbook
[00:17:05.560 --> 00:17:09.080]   Which would just sort of be its replacement, but that that may not be the case. I don't know
[00:17:09.080 --> 00:17:12.520]   My my wondering is my my wondering is that maybe they're gonna
[00:17:12.520 --> 00:17:19.000]   Maybe they're decided that the macbook airline is going to be their intel based super portable mac
[00:17:19.480 --> 00:17:24.840]   Portable line and the macbook nothing is going to be the arm based macintosh line
[00:17:24.840 --> 00:17:29.640]   He said making sure he points out that I have no information that apple is
[00:17:29.640 --> 00:17:33.720]   Is has firm plans about switching the platform over to arm at any point
[00:17:33.720 --> 00:17:37.160]   But when you open up the macbook nothing and take a look inside it
[00:17:37.160 --> 00:17:44.840]   Every decision seemed to have been made to my eye to transitioning to creating a mac that could run on an arm processor
[00:17:45.000 --> 00:17:50.040]   Very very easily you look at just looking at the size of that of that logic board
[00:17:50.040 --> 00:17:53.560]   Just looking at the the way that it handles heat just the looking at the ways that
[00:17:53.560 --> 00:18:00.280]   It's maximized for for battery and they pretty much at excuse me to fit more battery in there
[00:18:00.280 --> 00:18:02.280]   The expensive pretty much everything else
[00:18:02.280 --> 00:18:09.560]   If they have that five-year plan on the whiteboard and they know that at one point in this choose your own adventure story
[00:18:10.200 --> 00:18:14.760]   Apple starts to transition the low power version of the max into arm
[00:18:14.760 --> 00:18:19.960]   This is exactly what they would do and if they want to be really clear about what they're doing
[00:18:19.960 --> 00:18:24.280]   They could keep all the tooling they could keep all the engineering that they have in the macbook air
[00:18:24.280 --> 00:18:30.440]   And then divert everything they need to do to make arm based macbooks into this brand new platform
[00:18:30.440 --> 00:18:35.480]   They've created that's designed to be as similar to a iPad as they can probably make it
[00:18:36.440 --> 00:18:41.960]   Yeah, I mean there also is the thought out there that they might partner with intel and make a custom intel processor
[00:18:41.960 --> 00:18:43.960]   Which is another intriguing idea?
[00:18:43.960 --> 00:18:47.640]   I I guess we'll see there's a lot of again. It's craylonology corner with a K
[00:18:47.640 --> 00:18:53.480]   So anything is possible. I wanted to talk about the iphone eight so people are oh, it's it's hard to
[00:18:53.480 --> 00:18:57.000]   Wait for it. Yep. Wait for it. It doesn't spoilers
[00:18:57.000 --> 00:18:59.800]   Crilogor has a special
[00:18:59.800 --> 00:19:06.280]   Area for the iphone eight that we'll get to but I want to ask about I was I was too busy airbrushing out people standing next to Stalin
[00:19:06.760 --> 00:19:10.600]   That's true. That's true. Where was Phil Shiller when he wasn't on stage the
[00:19:10.600 --> 00:19:13.320]   Mac rumors had a story
[00:19:13.320 --> 00:19:19.320]   About a report that since we're talking criminal analogy about iPad pros new iPad pros next year
[00:19:19.320 --> 00:19:22.840]   And this is an interesting story because they suggest a new 12.9 model
[00:19:22.840 --> 00:19:28.120]   Okay fair enough a 10.1 inch model so a little bit larger than the existing 9.7
[00:19:28.120 --> 00:19:35.160]   And a 7.9 inch iPad pro which essentially is what if the iPad mini was called an iPad pro
[00:19:35.400 --> 00:19:40.280]   And that they would all be available next spring which makes sense from a timing perspective because that seems to be
[00:19:40.280 --> 00:19:43.320]   iPad time now is the spring that
[00:19:43.320 --> 00:19:49.400]   And there are a lot of rumors about the idea that there'll be an iOS update in that time frame that would add iPad features and that they're sort of
[00:19:49.400 --> 00:19:51.640]   uncoupling the
[00:19:51.640 --> 00:19:57.320]   iOS development so that iphone stuff can happen in the fall and then some iPad stuff can happen in the spring
[00:19:57.320 --> 00:20:00.260]   Renee, what do you think about this prospect of
[00:20:00.260 --> 00:20:04.520]   Multiplying iPad pros and a larger mid-range iPad pro?
[00:20:05.080 --> 00:20:08.120]   Makes me feel like the incredible the fall iPads are pro then none of them are pro
[00:20:08.120 --> 00:20:13.240]   They're just iPads again, and I really can't wait to see the 7.9 inch smart keyboard
[00:20:13.240 --> 00:20:15.400]   I think that's just gonna be apples best keyboard ever
[00:20:15.400 --> 00:20:21.720]   But but that aside I think you know it makes sense that those features if they're gonna keep the 7.9 inch iPad around
[00:20:21.720 --> 00:20:27.000]   It makes sense that all those features go across the line that we have true tone across the line that we have the at least eight megapixel
[00:20:27.000 --> 00:20:33.080]   Camera across the line because right now you have concessions no matter which of those devices you buy USB 3s only
[00:20:33.400 --> 00:20:37.480]   Apple's only iOS device with USB 3 is still the 12.9 inch i'm at
[00:20:37.480 --> 00:20:42.200]   Sorry, try my just iPad pro 10.1 is interesting if it's just another
[00:20:42.200 --> 00:20:44.440]   4x3 aspect ratio
[00:20:44.440 --> 00:20:50.520]   It's not as interesting if apple starts experimenting with a 4k display in 69. Maybe that is more interesting
[00:20:50.520 --> 00:20:55.160]   I don't know but it seems that three sizes is probably a good idea four sizes
[00:20:55.160 --> 00:20:56.920]   I'm I'd like to hear them make the case for
[00:20:57.480 --> 00:21:04.520]   Yeah, I do wonder if there's a bezel reduction story going on there too where the 10.1 might not actually be that much bigger
[00:21:04.520 --> 00:21:08.280]   But with a much smaller bezel. I don't know you need a bezel hold the iPad
[00:21:08.280 --> 00:21:14.760]   Hold it from the bottom. Yeah, I don't know you get a clamp and you just I don't I don't even know what do you think Andy?
[00:21:14.760 --> 00:21:16.760]   I mean I was surprised by the small
[00:21:16.760 --> 00:21:21.800]   Uh, the iPad mini we were wondering like does the iPad mini need to exist in a world where we've got the you know
[00:21:21.800 --> 00:21:23.800]   iPhone 7 plus
[00:21:23.800 --> 00:21:26.760]   And this suggests this story suggests perhaps it does. What do you think?
[00:21:27.640 --> 00:21:32.600]   It's interesting if if apple starts adding more sizes to the iPad line
[00:21:32.600 --> 00:21:36.040]   I think it's mostly to figure out what size people really really want
[00:21:36.040 --> 00:21:39.880]   remember that we had the original iPad for years and
[00:21:39.880 --> 00:21:48.680]   We had to be a little bit surprised that sales maybe flattened out once smaller alternatives both made by apple and other companies started coming out
[00:21:48.680 --> 00:21:55.000]   It's not as though the 9.7 inch was the perfect size was the size that we all had and now that I have my 12.9 inch iPad pro
[00:21:55.240 --> 00:21:57.240]   Absolutely adore it. I don't leave the house without it
[00:21:57.240 --> 00:22:00.440]   Uh, so I think there's a lot of room for apple to start thinking okay
[00:22:00.440 --> 00:22:08.440]   Is the is the problem that we're not giving them the exact right size would be be selling more 12.9 inch or rather top of the line
[00:22:08.440 --> 00:22:12.600]   iPads if it were just a little bit smaller and easier to carry around
[00:22:12.600 --> 00:22:17.960]   I personally think that there is plenty of room for a an iPad mini because
[00:22:17.960 --> 00:22:23.320]   A tablet is a totally different beast from even a large size phone
[00:22:23.880 --> 00:22:29.880]   I do have an iPad mini I you basically treat it as though it's the netbook version of my 12.9 inch iPad
[00:22:29.880 --> 00:22:33.640]   But it also means that if i'm on the subway or someplace where I don't want to be
[00:22:33.640 --> 00:22:40.440]   I don't want to be that guy on the train or on the bus or whatever who's carrying this big lunch train looking at it
[00:22:40.440 --> 00:22:44.440]   I want to be that guy who seems to be holding an e-book reader or a large phone
[00:22:44.440 --> 00:22:51.320]   And using it that way so I think there's definitely room for a smaller iPad smaller iPad and I agree with rene
[00:22:52.040 --> 00:22:57.160]   Obviously the it's a big big get for them to make sure that as much of the apple line is possible
