
[00:00:00.000 --> 00:00:05.120]   Coming up next, I'm Philian for vacationing Leo Laporte and we're talking about Apple music and
[00:02:49.320 --> 00:02:53.320]   No, I can't do the accent Mac break Mac break one
[00:02:53.320 --> 00:02:59.040]   We still believe Christina's I've been interviewing Apple executives all day. I'm so tired bit. We still might
[00:02:59.040 --> 00:03:07.600]   That's a great reason to be tired more like well, I was been watching Seinfeld on Hulu. I didn't realize was 530
[00:03:09.200 --> 00:03:13.400]   That was over the weekend Andy that wasn't last night. That was like Saturday and Sunday night
[00:03:13.400 --> 00:03:18.560]   I got the Mac. I got the Mac put in that apartment man. That's all I care about
[00:03:18.560 --> 00:03:26.640]   We all we all we're all here to fight the battles we feel as though we're best qualified to fight
[00:03:26.640 --> 00:03:34.000]   I I had an experience like that where there is a high-profile product in which they use the wrong plural form in the user interface
[00:03:35.680 --> 00:03:39.120]   You might want to change those to this like oh wow good catch
[00:03:39.120 --> 00:03:41.240]   Thank you and then I felt like you know what it's 2 p.m
[00:03:41.240 --> 00:03:45.640]   But I'm gonna knock off work for the day because I spoke truth to power and I affected social change
[00:03:45.640 --> 00:03:55.200]   Also with us is Kelly Guymont of Mac Observer and app camp for girls. How you doing Kelly? I'm well Andy. How are you?
[00:03:55.200 --> 00:04:04.720]   It's it's not that nice. I'm hoping for you know sub arctic sub arctic things going on here
[00:04:04.720 --> 00:04:07.360]   No matter how many windows I open it's just not working
[00:04:07.360 --> 00:04:12.200]   Yeah, it's we're having the same thing here. So and it's not what we do as
[00:04:12.200 --> 00:04:19.200]   Portlanders. It's this is not a thing and so we've had like a week of 90 degree temperatures and it's not okay
[00:04:19.200 --> 00:04:27.280]   Yeah, I was looking at the they they're they on twitter someplace. They had the national map talking about a national heatwave and
[00:04:27.280 --> 00:04:33.600]   I'm normally very happy to live in the northeast, but I'm also happy because the northeast right now is the only place that's colored
[00:04:34.000 --> 00:04:41.120]   Orange trending towards yellow as opposed to red. Oh geez trending towards a redder version of red. So yes
[00:04:41.120 --> 00:04:49.120]   Well, they were Andy before we move on. I think it should be noted that we now have an official logo for Mac break one
[00:04:49.120 --> 00:04:56.080]   So anytime we do a sounder or a bumper we have something to jump to that's thanks to f and done
[00:04:56.080 --> 00:04:58.960]   Also lost in New York
[00:04:58.960 --> 00:05:03.360]   And as personal as your living room it's Mac break one
[00:05:03.840 --> 00:05:05.840]   Also
[00:05:05.840 --> 00:05:10.080]   Also, we each get a taste today show of the merchandising on on mv1
[00:05:10.080 --> 00:05:13.600]   So I'm glad to know that you know, we're we're giving back to the community
[00:05:13.600 --> 00:05:16.480]   But also hoping to put that Tesla in our driveway
[00:05:16.480 --> 00:05:21.360]   But of course today's because is okay, that would look good on a t-shirt. Let's just point out
[00:05:21.360 --> 00:05:27.680]   Also, we would fit in pretty much everywhere. It's one of those great logos that could mean just about anything
[00:05:27.680 --> 00:05:29.360]   So
[00:05:29.360 --> 00:05:36.000]   It could it could be like our music our own personal music group or it could mean that we have like sort of a
[00:05:36.000 --> 00:05:41.680]   Leveraged financial holding company that managed to finish the third stage of the transaction deal
[00:05:41.680 --> 00:05:46.480]   And everyone gone the team got a t-shirt or maybe it's a solution for property. I don't know
[00:05:46.480 --> 00:05:50.400]   It looks as if Jason
[00:05:50.400 --> 00:05:55.600]   Literally lifted the logo off the internet and we've repurposed it for Mac break weekly
[00:05:55.600 --> 00:05:59.440]   So it could be a number of things it would be it would be very apple for us to say well
[00:05:59.440 --> 00:06:02.800]   Actually, we really do need that trademark. We can really have to lodge on this date
[00:06:02.800 --> 00:06:05.200]   We'll set it out. We'll settle it in the courts later on
[00:06:05.200 --> 00:06:12.320]   We'll see whether that whether mv1 becomes better better well known for our brand new next generation iPhone
[00:06:12.320 --> 00:06:15.840]   Or this little property holding company somewhere that no one's ever heard of
[00:06:15.840 --> 00:06:22.640]   Good luck to you again. I if I were you I'd be take I'd be accepting the $6,000 settlement we're offering but hey
[00:06:23.360 --> 00:06:26.240]   We're both businessmen. I guess we're just in different businesses
[00:06:26.240 --> 00:06:34.240]   Okay, so yes today was the official launch of apple music including the launch of of of beats one there
[00:06:34.240 --> 00:06:36.080]   the the
[00:06:36.080 --> 00:06:37.280]   internationally
[00:06:37.280 --> 00:06:39.600]   100 country live radio station
[00:06:39.600 --> 00:06:46.640]   Those of you who were tuning in at noon on the dot and had updated to ios 8.4 on your ios devices
[00:06:46.640 --> 00:06:48.880]   This is what you got to hear
[00:06:50.880 --> 00:06:56.320]   First about three hours of brine, you know, music like on hold screaming music
[00:06:56.320 --> 00:06:58.160]   a little bit of
[00:06:58.160 --> 00:06:59.120]   microphone chatter
[00:06:59.120 --> 00:07:02.560]   We spent the last three months trying to build this radio station and now we can build no more
[00:07:02.560 --> 00:07:05.280]   We must launch
[00:07:05.280 --> 00:07:08.880]   We've had all sorts of ideas about the first song things that are made statements things with fanfare
[00:07:08.880 --> 00:07:14.480]   But ultimately there's been one song that all of us keep coming back to we've tested sound to it
[00:07:14.480 --> 00:07:18.400]   I've referred to it lyrically when I needed a boost because it's been strange all the times, you know
[00:07:18.400 --> 00:07:24.000]   And exciting and challenging we've even cut demos to it to convince people to continue to support this radio station
[00:07:24.000 --> 00:07:29.920]   This band put this ep out a few months ago with little or no fanfare outside of core fans
[00:07:29.920 --> 00:07:34.240]   But they're building that's exactly the kind of story. They kind of record
[00:07:34.240 --> 00:07:37.840]   We need to kick this whole thing off with because man, it's not about fanfare
[00:07:37.840 --> 00:07:42.000]   That's fireworks and a hangover the next day. It's about quality and consistency
[00:07:42.000 --> 00:07:44.880]   Where beats one we're worldwide
[00:07:44.880 --> 00:07:47.440]   And from now on
[00:07:47.440 --> 00:07:49.440]   We're always on
[00:07:49.440 --> 00:07:53.920]   And it's city by spring king
[00:07:53.920 --> 00:08:03.760]   Called it
[00:08:03.760 --> 00:08:11.120]   Yeah, so basically the next two and a half years of pub trivia questions that has been settled is going to be
[00:08:11.120 --> 00:08:13.920]   spring king's city
[00:08:13.920 --> 00:08:18.320]   Now uh, kelly, I think you're the only one who hasn't listened to beats one yet
[00:08:18.320 --> 00:08:22.000]   Uh, so let's let's share our own experiences with it. Uh, Renee
[00:08:22.000 --> 00:08:24.560]   What was your first impression when you first got the here the radio station?
[00:08:24.560 --> 00:08:27.680]   So I don't I have to say I don't listen to a lot of music
[00:08:27.680 --> 00:08:29.280]   I'm much more a video person
[00:08:29.280 --> 00:08:31.840]   So I have Netflix running all day instead of music running all day
[00:08:31.840 --> 00:08:33.840]   And I haven't listened to music in a long time
[00:08:33.840 --> 00:08:37.200]   But I put it on because I was curious and it instantly reminded me of everything
[00:08:37.200 --> 00:08:41.280]   I loved about FM radio back in high school when I could name all the DJs
[00:08:41.680 --> 00:08:43.920]   And it's something Christina Warren actually said to me a long time ago
[00:08:43.920 --> 00:08:45.280]   We were talking on twitter
[00:08:45.280 --> 00:08:48.960]   And it's like, you know, if you have the dvd on the shelf you still don't want to you're too lazy to go get it
[00:08:48.960 --> 00:08:50.480]   So streaming is great
[00:08:50.480 --> 00:08:53.680]   And it immediately gave me music. I didn't have to figure out what to play
[00:08:53.680 --> 00:08:55.360]   It was just playing for me
[00:08:55.360 --> 00:09:01.520]   And it was like nostalgae all the best bits of nostalgia wrapped up in all the advantages of mobile always on connected devices
[00:09:01.520 --> 00:09:03.760]   So I thought it was thought it was great to listen to it all morning
[00:09:03.760 --> 00:09:08.400]   Yeah, I I've not listened to it was it felt a little bit
[00:09:08.960 --> 00:09:12.720]   Intrusive that you occasionally hear Zane talking over parts of the music
[00:09:12.720 --> 00:09:19.360]   It felt really really weird that the first three or four songs they would be saying like little like station IDs in the middle of the songs
[00:09:19.360 --> 00:09:22.640]   But then I realized that I have not listened to FM radio
[00:09:22.640 --> 00:09:26.560]   I can't I don't can't even remember the I think the last time I listened to radio
[00:09:26.560 --> 00:09:31.600]   Seriously was the last time we had like a two-day power outage and that was the only way to get the only thing right?
[00:09:31.600 --> 00:09:33.840]   Yeah
[00:09:33.840 --> 00:09:35.840]   Christina, what did you think
[00:09:35.840 --> 00:09:39.440]   Well, so I used to listen to Zane's show on a bpc radio one
[00:09:39.440 --> 00:09:47.840]   Speaking of before of trademark abuse. I wonder if apple's gonna get in trouble for calling it beats one when it's so clearly kind of a call to to radio one
[00:09:47.840 --> 00:09:50.160]   And in his show, you know
[00:09:50.160 --> 00:09:53.200]   It was a lot kind of like what the apple show seems to be and
[00:09:53.200 --> 00:10:01.040]   I used to like basically because I don't live in the UK, you know pirate somebody's iPlayer login to to listen to his show
[00:10:01.120 --> 00:10:05.040]   Um, so I mean I liked it. I haven't had a ton of a chance to listen to it
[00:10:05.040 --> 00:10:08.240]   But it's I like that it's a weird novelty isn't it?
[00:10:08.240 --> 00:10:15.440]   It's weird how like in in a period of you know 15 20 years we've gone from radio kind of being ubiquitous and being one of the main places we get music to
[00:10:15.440 --> 00:10:18.160]   a live radio station being
[00:10:18.160 --> 00:10:23.440]   With people actually talking and with people actually spinning tracks and not being algorithmically determined playlists
[00:10:23.440 --> 00:10:27.680]   Um is is like a novelty and and it's like oh my god. This is this great experience
[00:10:27.680 --> 00:10:31.520]   I was like no, this is actually like how music was done for like, you know 50 years
[00:10:31.520 --> 00:10:36.560]   um, so but but uh, I've been impressed with kind of I guess the
[00:10:36.560 --> 00:10:40.320]   The point of view um at least in the song selection so far
[00:10:40.320 --> 00:10:47.760]   um, which uh, I mean, I'm hearing a ton of stuff that I wouldn't hear maybe on anything else unless it was like a more obscure like serious
[00:10:47.760 --> 00:10:54.480]   Exum channel, but um no, I mean so far it's it's it's cool. I don't know if it's going to ultimately work or not
[00:10:54.480 --> 00:10:56.560]   But uh so far so good
[00:10:56.560 --> 00:11:01.600]   Actually, that was the thing that I was excited about when I heard that um apple had picked up zane in the first place
[00:11:01.600 --> 00:11:03.920]   Was because I used to also listen to his show a lot on
[00:11:03.920 --> 00:11:11.200]   Radio one and I really liked um the shows that he did he did this series called masterpieces where he really dug into albums
[00:11:11.200 --> 00:11:19.040]   And uh they would play it and then they would have like interviews and and how like sort of the aftermath of music after this album came out
[00:11:19.040 --> 00:11:26.240]   And they were things like uh nirvana nevermind and led Zeppelin for an okay computer and public enemy
[00:11:26.560 --> 00:11:31.680]   Like he did a wide variety of stuff with these and I remember getting to hear some of the early ones
[00:11:31.680 --> 00:11:34.800]   And it's um so I was really excited to hear about it
[00:11:34.800 --> 00:11:36.320]   um and
[00:11:36.320 --> 00:11:42.720]   And it felt weird to be looking forward to something that was sort of radio related because I actively do not listen to the radio and haven't for a long
[00:11:42.720 --> 00:11:46.800]   Time because a lot of stations here in portland have become those robo stations
[00:11:46.800 --> 00:11:51.040]   Where there is no dj and there really isn't any personality and it's all being
[00:11:51.520 --> 00:11:59.360]   Dictated by some guy in a tower somewhere else who says like all of the stations today should be this thing, you know
[00:11:59.360 --> 00:12:04.000]   Uh, you know everybody's gonna play this song now and it's gonna be popular
[00:12:04.000 --> 00:12:08.320]   And I think about just in the amount of time that I've had the car that I have
[00:12:08.320 --> 00:12:14.880]   um I updated the cd player in a I got my car in two the car I have now I got in 2004
[00:12:14.880 --> 00:12:18.320]   And when I got my car I was really excited to
[00:12:19.040 --> 00:12:23.920]   Upgrade the cd player so that it was one that would play discs that I had burned mp3s too
[00:12:23.920 --> 00:12:30.320]   That was the most exciting thing I could do with this and one of the side options was someday
[00:12:30.320 --> 00:12:36.640]   When I got an iPod I would be able to plug it in and connect it and then once I was able to
[00:12:36.640 --> 00:12:38.720]   Do that effectively with my phone?
[00:12:38.720 --> 00:12:43.040]   I basically quit burning those CDs and that's all I use to listen to it now now
[00:12:43.040 --> 00:12:46.400]   The ox cable that I use I've plugged a bluetooth receiver into the end of it
[00:12:46.400 --> 00:12:49.200]   Every time I get in my phone connects and I just move on with my day
[00:12:49.200 --> 00:12:54.880]   Um, I don't do a lot of radio. So I was like wait, they got zane low and he's gonna build this radio station
[00:12:54.880 --> 00:12:58.720]   That's gonna be awesome. That's really weird that I think that that's gonna be so awesome
[00:12:58.720 --> 00:13:01.760]   So I can't wait to see how it ultimately ends up evolving
[00:13:01.760 --> 00:13:04.880]   That sounds cool. So I'm ready
[00:13:04.880 --> 00:13:12.720]   I never I've never heard zane before so is he known for doing these like really like a collected playlist because one of the things
[00:13:12.720 --> 00:13:17.840]   I've really liked about my first half hour with it is that it wasn't all like music for people who
[00:13:17.840 --> 00:13:24.160]   Have a six-month window of uh of interest in music. They had the ac dc for those about to
[00:13:24.160 --> 00:13:29.920]   They had some feral they had some some Beck they had some new artists that I had never heard of but I liked a lot
[00:13:29.920 --> 00:13:34.320]   Is this like is zane like known for like just cool music wherever it comes from he's deep
[00:13:34.320 --> 00:13:38.800]   He's got some deep music cred and it's and it's broad too like that's the thing is very broad
[00:13:39.040 --> 00:13:45.360]   He's got cred all the way down but also all the way across so um he's sort of like john piel in that way where john piel
[00:13:45.360 --> 00:13:51.040]   Really didn't care if it was a rock song or a pop song or an electronic song. He just cared that it was great
[00:13:51.040 --> 00:13:57.680]   and um zane is zane low somehow has a similar sort of knack for that kind of like this is a great song
[00:13:57.680 --> 00:13:59.680]   Oh, yeah
[00:13:59.680 --> 00:14:05.280]   Exactly and when I talked to uh when I talked to Trent russner yesterday and I promise you guys i'm not gonna say that too many times
[00:14:05.280 --> 00:14:07.360]   But but say that
[00:14:07.840 --> 00:14:10.880]   Say that as many times as you want because that's awesome
[00:14:10.880 --> 00:14:15.200]   I had the opportunity to say that I would say it an awful lot if I got an interview with dave growl
[00:14:15.200 --> 00:14:20.320]   It would be I would be worried. I talked to dave growl hat here and it'd be my first hat too
[00:14:20.320 --> 00:14:21.840]   Yeah
[00:14:21.840 --> 00:14:27.120]   I I would when I when I talked to trent yesterday because um beats one was well a lot of it was his idea
[00:14:27.120 --> 00:14:31.600]   He said that I mean a lot of the genesis came from hearing zane's show in the uk
[00:14:31.600 --> 00:14:35.760]   And and when he was going back and forth to London to to complete his his last album
[00:14:36.080 --> 00:14:39.840]   He um would listen to uh radio one a lot and zane's show
[00:14:39.840 --> 00:14:43.600]   And so when they started kind of playing around with the idea of doing a radio station
[00:14:43.600 --> 00:14:46.480]   He said that the first and only choice was zane
[00:14:46.480 --> 00:14:50.080]   So they approached him and basically said we want you to take half full control
[00:14:50.080 --> 00:14:56.880]   Put your dna put your judgment put everything into kind of the the the you know essence of this station
[00:14:56.880 --> 00:15:04.800]   Um, so um, yeah, he's really well known for having a good uh in a unique voice and not being the typical kind of um
[00:15:05.360 --> 00:15:08.560]   DJ and I think that what's interesting about that is because this is a
[00:15:08.560 --> 00:15:13.680]   An international radio station which in and of itself is actually kind of unique in this day and age
[00:15:13.680 --> 00:15:14.880]   Um
[00:15:14.880 --> 00:15:20.240]   There are so many people who who haven't been exposed to him like kelly and i we we've listened to him and we like went through like
[00:15:20.240 --> 00:15:23.760]   Weird ways to try to like listen to him, but like a lot of people in america
[00:15:23.760 --> 00:15:28.400]   Have never been exposed to him and maybe people in other parts of the world haven't and I think that's uh, that's interesting
[00:15:28.400 --> 00:15:31.920]   That that they're able to do that and I think that's one of the the things that
[00:15:32.320 --> 00:15:36.960]   Uh, probably only apple can do because of just their their broad scale and the fact that they have so much money that they can
[00:15:36.960 --> 00:15:40.960]   You know invest in experiments like this to see if something like this is going to work
[00:15:40.960 --> 00:15:43.440]   I can't see other companies bothering
[00:15:43.440 --> 00:15:48.960]   Um to create a alive, you know, uh, 24 hour international radio station
[00:15:48.960 --> 00:15:52.880]   That was a huge thing for me. It's because uh, you know, it's not going to make as much money
[00:15:52.880 --> 00:15:56.000]   Uh, all all of apple music is not going to make as much money as the iphone
[00:15:56.000 --> 00:15:59.920]   I'm not even the ipad probably not even in the apple tv for them in the long scale of things
[00:16:00.000 --> 00:16:05.120]   But they're willing to they they literally do love music so much that they put it at the very top of apple.com
[00:16:05.120 --> 00:16:10.960]   They've got everyone at itunes all the way to the highest levels deeply invested in this throwing resources at it
[00:16:10.960 --> 00:16:15.200]   And they they believe they don't apple doesn't need this apple could lose music and not you know
[00:16:15.200 --> 00:16:17.600]   It would it would not be a very big hit on their bottom line
[00:16:17.600 --> 00:16:23.280]   But they really believe that they need music to be part of their dna and that they haven't they haven't had music since the height of the ipod
[00:16:23.280 --> 00:16:27.120]   And this is their big shot to get it back and I think it's wonderfully human and optimistic
[00:16:27.360 --> 00:16:34.480]   And whether it wins or loses at the very least people on twitter are having a worldwide conversation about music and a shared experience now, which is amazing
[00:16:34.480 --> 00:16:37.360]   Yeah, I mean, I had a
[00:16:37.360 --> 00:16:40.960]   I think all a lot of us were a little bit puzzled by what apple music was going to be
[00:16:40.960 --> 00:16:46.400]   During the during the keynote because I don't think they made a really good comment on what they're going to be doing that was different
[00:16:46.400 --> 00:16:47.600]   uh, and
[00:16:47.600 --> 00:16:52.560]   And a unique position that apple is in is that they're unlike spotify unlike artyo
[00:16:52.560 --> 00:16:54.880]   They don't have to make a fortune off of music
[00:16:55.280 --> 00:17:00.000]   And off of a streaming service. They just have to make it sure that it does okay because like with google music
[00:17:00.000 --> 00:17:01.840]   It's just part of a larger portfolio
[00:17:01.840 --> 00:17:06.080]   And so it's really really encouraging to see that they didn't just simply say well, you okay fine
[00:17:06.080 --> 00:17:12.240]   We'll have a streaming internet station too. We'll just hire some consultants to put together a playlist that will just loop for 24 hours
[00:17:12.240 --> 00:17:19.360]   Uh, proceed did the did trent resner have anything else to say about how the what the intent of the radio station was going to be because it
[00:17:19.360 --> 00:17:21.040]   I was
[00:17:21.040 --> 00:17:26.800]   Impressed that someone who was so deeply ingrained with music got so much power to simply shape here's what the content is going to be like
[00:17:26.800 --> 00:17:29.520]   It does. Did not have very corporate decision
[00:17:29.520 --> 00:17:31.120]   No, no, not at all
[00:17:31.120 --> 00:17:37.440]   Well, so I mean a lot of this comes back from the you know from really goes back to beats music and and what beats music was trying to be
[00:17:37.440 --> 00:17:43.440]   And so, you know, I think it shows a couple of things one it shows that when apple acquired beats and and obviously beats music
[00:17:43.440 --> 00:17:47.040]   Um, they've done a really good job and and I've seen this kind of interliven people
[00:17:47.040 --> 00:17:49.440]   I've known who've gone from one place to the other of
[00:17:49.920 --> 00:17:55.440]   um, I guess keeping the beats culture intact and so um, I think that some of the ideas that that the trent had
[00:17:55.440 --> 00:17:58.960]   Were things he wanted to do at beats and then he felt like okay at apple
[00:17:58.960 --> 00:18:02.640]   I'll actually have the opportunity and the scale and the money to to get this done
[00:18:02.640 --> 00:18:05.200]   Um, but he actually made a comment. It was kind of interesting
[00:18:05.200 --> 00:18:10.720]   We're talking about how you rene is mentioning that we're having this like kind of global conversation about a radio station right now
[00:18:10.720 --> 00:18:15.600]   And that's kind of what their intention is they kind of wanted to have a throwback when I when I talked to somebody
[00:18:16.000 --> 00:18:20.000]   From from apple music at ww dc. He kind of likened it to
[00:18:20.000 --> 00:18:26.480]   You know remember when when mtv was new and it was the sort of thing where everybody had kind of a conversation about what was happening
[00:18:26.480 --> 00:18:32.080]   On mtv and they kind of want to create something that has I think trent resner said if I have to look at my notes
[00:18:32.080 --> 00:18:39.280]   I'm like like, you know have like a cultural, you know, resonance like like be like culturally relevant and um
[00:18:39.280 --> 00:18:41.840]   That's I you know
[00:18:41.840 --> 00:18:45.920]   I think a big part of about what they want the product to be and I think part of the reason that they're investing in
[00:18:46.000 --> 00:18:49.280]   This is is I talked to eddy about this and in jimmy iving too
[00:18:49.280 --> 00:18:53.440]   Um is that they firmly believe that the only way that this really works is
[00:18:53.440 --> 00:18:57.120]   Um and can make money for everybody the only way it scales, you know jimmy
[00:18:57.120 --> 00:19:01.600]   Iving said is that if it's a service and not a utility and he sees the existing
[00:19:01.600 --> 00:19:08.400]   streaming services not as services but as utilities where you know, basically they haven't taken any kind of you know, um
[00:19:08.400 --> 00:19:15.040]   Curated artistic approach editorialized approach to the music they just kind of dump you in maybe they have some some playlists
[00:19:15.120 --> 00:19:19.600]   Maybe they have some, you know, um, you know curators and that sort of thing, but they're not really taking
[00:19:19.600 --> 00:19:25.600]   um a really handpicked kind of you know deep dive level into creating a great music experience
[00:19:25.600 --> 00:19:28.480]   Um, and so if this is going to work
[00:19:28.480 --> 00:19:33.840]   If people are going to pay the experience has to be key and they think that the way that you do that is by doing things like having
[00:19:33.840 --> 00:19:36.960]   You know the place that you can listen to live radio anywhere in the world
[00:19:36.960 --> 00:19:42.320]   The fact that they're going to be doing it 24/7 the fact that they will have artists doing unique types of shows
[00:19:42.400 --> 00:19:45.680]   So even though zane show will be accessible to the mainstream
[00:19:45.680 --> 00:19:50.320]   There will be an hour programming each night that might be like out of the mainstream where you might have like, you know
[00:19:50.320 --> 00:19:56.960]   Once a week, you know, like like st. Vincent she'll have a show where she's going to be kind of creating a custom mix tape for for people based on
[00:19:56.960 --> 00:20:02.160]   um their request and the letters that they send her and so so I kind of described that uh
[00:20:02.160 --> 00:20:06.240]   The beats guys or the apple guys. I was like, oh so you like the lilah that doesn't suck
[00:20:06.240 --> 00:20:08.800]   um and and I think that that's
[00:20:09.520 --> 00:20:16.720]   What they're it came to cross to me. Anyway, like this is a core part of their mission is is to really have a good solid music experience
[00:20:16.720 --> 00:20:18.720]   Because that's what we'll keep people
[00:20:18.720 --> 00:20:22.080]   In it and that's what we'll make people subscribe and ultimately pay for it
[00:20:22.080 --> 00:20:24.160]   Is that they can get something out of it?
[00:20:24.160 --> 00:20:28.640]   It isn't just you know dumping them into a catalog of music with a search bar
[00:20:28.640 --> 00:20:32.880]   How many zane lows are available to run your curated physics radio station?
[00:20:32.880 --> 00:20:37.040]   Right. Yeah, that's a valid question and it's really not that many
[00:20:37.840 --> 00:20:45.600]   What's really been interesting to me and in a lot of this is watching how Trent resner's role in the music world has evolved from
[00:20:45.600 --> 00:20:49.600]   Let's just paint in some broad strokes from pretty hate machine to now
[00:20:49.600 --> 00:20:53.120]   like that's a pretty that that's a pretty wide and
[00:20:53.120 --> 00:21:00.640]   and winding path that he's taken and it's been really interesting to watch and we were talking about him in the chat room and
[00:21:00.640 --> 00:21:03.680]   Like he had a streaming radio station ages ago
[00:21:04.080 --> 00:21:09.040]   If i'm if i'm remembering properly and i i feel like i am because i was only interested because it was Trent resner
[00:21:09.040 --> 00:21:14.960]   Um and he did like an internet radio station a long time ago where it was like his handpicked stuff out of
[00:21:14.960 --> 00:21:17.520]   his record collection and and
[00:21:17.520 --> 00:21:21.680]   That kind of stuff is always really great and i never really got into the celebrity playlists
[00:21:21.680 --> 00:21:23.920]   And so i'm hoping on itunes
[00:21:23.920 --> 00:21:28.880]   So i'm hoping that with the connect stuff that they're doing that maybe that will be a little nicer
[00:21:28.880 --> 00:21:34.000]   But of course all of that leads to a conversation about how apple wants me to spend more time in itunes
[00:21:34.160 --> 00:21:36.960]   When all i want in life is to feed it to a wood chipper so
[00:21:36.960 --> 00:21:41.040]   There's some tension there right now in that relationship
[00:21:41.040 --> 00:21:45.760]   How big do we think that connect is going to be to the experience we've already had some artists
[00:21:45.760 --> 00:21:52.080]   They're posting like full studio for uh, uh tracks without audio. We've had uh lost tracks being posted
[00:21:52.080 --> 00:21:53.040]   um
[00:21:53.040 --> 00:21:58.000]   My point of confusion about connect is whether it's going to be more like soundcloud where
[00:21:58.000 --> 00:22:00.480]   Anybody can come in and post their
[00:22:01.120 --> 00:22:05.200]   Their own creations or whether it's going to be more like a marketing thing
[00:22:05.200 --> 00:22:10.800]   Where if there's someone who's selling a lot of stuff the right tunes they can use connect tracks and connect bonus materials to encourage people to buy
[00:22:10.800 --> 00:22:13.520]   What what fiber is anybody else getting from this?
[00:22:13.520 --> 00:22:16.000]   I think they wanted to be a mix of both
[00:22:16.000 --> 00:22:23.680]   So when i talked to to in rogers who was the ceo abuse music and now kind of runs like the itunes radio stuff and it's heavily involved with apple music
[00:22:23.680 --> 00:22:29.280]   He basically kind of described connect it's kind of their vision of wanting to kind of take what you saw in soundcloud and bring it
[00:22:29.680 --> 00:22:31.680]   um to you know
[00:22:31.680 --> 00:22:34.080]   To itunes so you wouldn't have to go to a bunch of other apps
[00:22:34.080 --> 00:22:36.960]   Um and and they've been very clear, you know, right?
[00:22:36.960 --> 00:22:41.440]   There was an update to a garage band that was issued today where you can actually publish directly from garage band to
[00:22:41.440 --> 00:22:45.840]   Uh connect and and the artists have complete control over whether they want
[00:22:45.840 --> 00:22:50.640]   Um, you know, there's the music to be paid, you know behind the paywall or not. Um, how accessible they want it to be
[00:22:50.640 --> 00:22:54.960]   It can be you know their own track. It can brand new it doesn't have to be associated with anything else
[00:22:54.960 --> 00:22:58.240]   Like you said, you know, trent he released, you know the with teeth album
[00:22:58.720 --> 00:23:05.120]   Without vocals, um, i am moored. Um, he posted some track yesterday. I saw that, you know, it was like some
[00:23:05.120 --> 00:23:09.600]   Live track from from a kcrw performance from a couple of years ago
